MAT.1.1	Abraham nu David, David nuo Jisu Khrista shühye lüsida; 
MAT.2.15	Süosü Nyepoo sadzühküse-oe po die; “I Egypt lüno a nuo cipüh pariyi;” zipüh kümüta züo thi tsühyi kütona.
MAT.2.16	Sücesü Herod-e mhaküse süko pu shüh küva seyi die pu nümo shüh ta, sidie mi kütsüh püh mhaküseko celüno putü-o setü küyi bi die Bethlehem mo sushi sümhü küba thüpunumi tse küna mo sükhroko mütü dokhri tsova. 
MAT.2.17	Süosü Jeremiah sadzühküse-oe po püh kümüta; 
MAT.2.18	Rama lü mhakhü püh se, kra mo thükri thi shüh; Rachel po pu nuneko kri krakra, sidie di kütako na pupo pulü luyi mota; süzi küsüo po tsühyi küto na.
MAT.2.19	Süsa Herod sata mütha, Yhie, Nyepoo shoyimi püh Egypt lüno Joseph mholü puce vori die pu yisü; 
MAT.2.20	Sürite, die unu-o mo Pu zu unyi züh ta Israelmi cejülü lavo tate, kükrenamoli unu-o kürhühro phu kübako sü sata kütina. 
MAT.2.21	Süsa pu süri die unu-o mo Pu zu unyi züh ta Isrealmi cejü lü la vori ta. 
MAT.2.22	Eli, pu Archelaus pupo sühlü Judea cejülü küde thi küba seyi die sülüvo müprüh ta. Süri pu mholü Nyepoo celü zü seyi die ta sü Galilee co vota. 
MAT.2.23	Sidie pu vo Nazareth li küti rüna pühlü lhü bata süosü Pu yisü Nazarethmi li die cito; zidie sadzühküsemiko po püh kümüta züo tsühyi küto na.
MAT.3.1	Süze sütüce sü John dzülukhaküsüoe Judea nhatsalümütha die; 
MAT.3.2	Nieko thülü küdeyite, tüyo küde münoto ba küta na. 
MAT.3.3	Süze hiohi Isaiah sadzühküseo pu dzüh po die; mipüh nhatsalü se die; neko Nyepoo sho küsühyite, Pu shopriko thi kümüziyite; zi küta khüo sü pu zo. 
MAT.3.4	Mo John hi Utma püh pu khüne thi, thigi shepha püh pu shepha, süze kopre mo mükhizü püh pu co thi. 
MAT.3.5	Sücesü Jerusalem, Judea, cejü mütü mo Jordan kümütu rüna mütü lüno mi puce vori. 
MAT.3.6	Sidie u küphomako phra sü die pupo Jordan lüno puko püh dzülu püyi. 
MAT.3.7	Eli, pu Phariseeko mo Sadduceeko kükro pu dzülu khaküsülü vori küba ngo küyice puko yisü, Yhie! Nyhibüpü shüyieko, sopühno neko po vori küzü lükhuo mhuzülü tayi no die neko ce po sü-a? 
MAT.3.8	Süna thülü küde küyi se-o po rüthi pariyite. 
MAT.3.9	Sidie nelüno hari Abraham sü hapo zo; süzi küti lüta hite, I neko ce po süto, Jihova-e kütsü hiko yori Abraham nuneko mülhü süyi vezo. 
MAT.3.10	Mo tsüri sühdorü-o püh sühbo phelü müzüzo. Süna sühbo kühopüri u se zhiyi kümokhü ve va die kügü püh melü sü vato. 
MAT.3.11	I-e dzülüno thülü küde küyi dzülu püh neko prüyo küti zo. Eli, asa vori küzüo aceri zhoku, I pu pheku rhiri phrüyi shümo pühyi sümo, 
MAT.3.12	Pue Kümüsa Rüpü mo melü neko püh dzülu püto. Pu lhahüri Pubelü ba, Pu atalha münu die hü kümüsa to, sidie atalhako püh Pu khilü künguyito; eli sabühko püh mhü tayi külho melü müto vato.
MAT.3.13	Sücesü Jisu Galilee lüno tasü Jordan rülü John po Pu püh dzülu pü tozu vori. 
MAT.3.14	Eli, John-e Pu kha die Pu yisü, I npo apüh dzülu küpü müsüh-o lü No ace vori zü me? zita. 
MAT.3.15	Süri Jisu pu zü küla die, tsüzo na a kha hite, kükrenamoli, süzi küsü lüno avü künanyi yono kümatho zho mütü thitsüh sü tozu ba küta na; zita. Süsa John ri thisü toli zita. 
MAT.3.16	Süsa Jisu dzülu pü küyi sa dzülüno ta mha parita; sücesü, Yhie tüko khri Pu prü mo John-e Jihova Rüpüo mükhro püh bi die vekrüzo Pu yo kiri küti ngo. 
MAT.3.17	Sücesü Yhie, Tüyono mhakhü püh; Hihi anu a khrü-o zo, I Pungo a künü thoo zo, zi kiri.
MAT.4.1	Süsa Jisu-e Satan po pu küdo tozu die Rüpüo po Pu hüzüh nhatsalü vota. 
MAT.4.2	Mo Pu tüsozho hieda mo tüzühzho hieda mvo kütasa Pu müri ta. 
MAT.4.3	Süsa küdo küti-o Puce vori die sü, No Jihova nuo zo lize kütsü hiko ce po sü die süko po tsükhrüda thiyite, zita. 
MAT.4.4	Süri pu süo küla die sü, Thümae tsükhrüda libi na mori Jihova talü küpari zü kühopüh ri na rhühyi to; zi küti thopüh müta, zita. 
MAT.4.5	Süsa Satan Pu züh rüna kümüsao lü vo die Pu po kürüsuce pilüyo bayi. 
MAT.4.6	Sidie Pu yisü; No Jihova nuo lize, ntho rütu prüte, kükrenamoli, Pu na Pu shoyimi mülü sü die, kühopühtüce zori n po rütu prü kütsü-püh yori n phe rha mo küto na puko be püh n rhapühyi tato, zi küti thopüh ma küti na. 
MAT.4.7	Jisu puce po die, no n Nyepoo Jihova küdo sü, zi küti tho püh müta zo, zita. 
MAT.4.8	Süsari, Küsüo Pu züh cejüthu kürükrü shüh pühyo vo die cejülü küdeko mo sülü thüshühthürhoko thapüh Pu ka: 
MAT.4.9	Sidie Pu yisü, No tüprü a rüsu to lize I hiko mütü püh n prüto, zita. 
MAT.4.10	Süsa Jisu puce, Satan no tatayi, kükrenamoli, no n Nyepoo Jihova libi rüsu mo Pu shoyi libi thiyi mosü, zi die tho püh kümüzü na. 
MAT.4.11	Süsa küsüo Pu kha va die tata, mo Yhie, Tüyo shoyimi vori die Pu khrühi yita.
MAT.4.12	Süsa Jisu mi John tüpüh küdücelü sü küva seyi die ta sü Galileelü vota. 
MAT.4.13	Sidie Pu Nazareth khava die tasü Zebulun mo Naphtali nyi taralü dzüküzho shice Kapernaumlü vo lhü bata. 
MAT.4.14	Süosü Isaiah sadzühküse-oe po püh kümüta: 
MAT.4.15	Jordan rüshi prüh küvo Zebulun cejü mo Naphtali cejü küsa mo Naphtali cejü dzüküzho sho Galileemi mülü kümoko; 
MAT.4.16	Thüma küzühlü kütako küve küzhopüh ngote; süze cejü küsa mo pu khrilü kübako yori küve prarite; zi müzü. 
MAT.4.17	Süyogwino Jisu mi mütha shühdü die, nelü küdeyite, tüyo küde münoto ba küta na, zita.
MAT.4.18	Süze Jisu Galilee dzüküzho shice ta vo küzüce Pu mi küna sazühzüra nyi Simon Peter liyo kütio mo pü sazüh-o Andrew unyi khuma püh dzüküzholü kügü ta die ngo, kükrenamoli unyi-e khukütümi zo küti na. 
MAT.4.19	Mo Pu unyi yisü, A samüdziyite, I nenyi po thüma kütümi thito; zisü. 
MAT.4.20	Süzi sü mütha unyi khüma kha mha va die Pu sa müdzi ta. 
MAT.4.21	Süsari Pu sülüno ta vo küzüce sazühzüra mi kükre küna Zebedee nu James mo pu sazüh-o John unyi unyi khuma mükhu ba die ngoyi, mo Pu unyi cisü. 
MAT.4.22	Süsa unyi unyi po mo püzu-o khamha va die Pu sa müdzita.
MAT.4.23	Sidie Jisu Galilee cejü mütülü rühu die synagogueko lü mi mütha mo küde züyi küve dzühpo mika, mo thüma dolü küthi künyi lünyiko thi küsührho sü. 
MAT.4.24	Sücesü Syria cejü mütülü Pu dzüh po kümüle shüh vota; momi küthikünyi kükrekre kütiko, küsü rüpü po u kübü kütako, mülo kütako, lasako, mo thürüyozü mütü züh Puce vori mo Pu süko mütü thi küsührho sü. 
MAT.4.25	Süna Galilee lü mo Decapolislü mo Jerusalem mo Judea cejü lüri mo Jordan rü shico thüma krodepüh Pu sa müdzi tata.
MAT.5.1	Süze Pu thümakro-o ngo südie ta cejüthu-o khota, mo Pu kho ba küyice Pu müthaküyiko Pu ce khori. 
MAT.5.2	Sidie Pu Pu ta taga sü puko mütha küsü hibi. 
MAT.5.3	Rüpü celaco kütsakhuko yhevetho, kükrenamoli tüyo küde-e süko sü zo tina. 
MAT.5.4	Krayo kütiko yhevetho, kükrenamoli süko ulü luyi zoto tina. 
MAT.5.5	Ulü kümünüko yhevetho, kükrenamori süko cejüo püh uzü thi zoto tina. 
MAT.5.6	Kümatho dzüh phu küthüri kümüri thiyo kütiko yhevetho, kükrenamoli süko u küchukühi ngozoyi to tina. 
MAT.5.7	Phikümüzhe küneko yhevetho, kükrenamoli süko phikümüzhe ngo zoyi to tina. 
MAT.5.8	Thülü kümüsako yhevetho, kükrenamoli süko Jihova ngo zoto tina. 
MAT.5.9	Vetho küthiko yhevetho, kükrenamoli süko yisü Jihova nune lie ci zoto tina. 
MAT.5.10	Kümatho dzühvena thilinyi kütako yhevetho, kükrenamoli tüyo küde süko zü zo tina. 
MAT.5.11	A na mipo neko mushüh, müthimünyi mo kücezü lünyi po püh neko mütsuyo lize neko yhevetho; 
MAT.5.12	Nenü mo nenü müzüriyite, kükrenamoli tüyo ne zhokhro ve shüh zoto tina, mi süsü bi thazü neko mhuzü sadzüküseko ri mushüh süri zo tina.
MAT.5.13	Neko-e cejüo tsa-o zo; eli mütsa zori pu külhü müdi va lize dipüh püh süo va mülhü layi veta? Süo pu küve pühri di ta die mipo kügü püh zürhüh küdü küva zota to. 
MAT.5.14	Neko cejü küveo zo, cejüthu yo küba rüna mi pu ngomo tayi lhozo; 
MAT.5.15	Mi me müto püh mürhakhro mori metobüh bayo dü mayo, sülize celü kübako mütü va nve bayo. 
MAT.5.16	Süsü bi mipo ne mhatho küve ngo die tüyo küba neko Po Jihova za thikümüleyi küto na ne küve po vekrü zoyite.
MAT.5.17	I thüzhoo mo sadzühküseko zü thi müdi va tozu die vori küti neko lüta hite, I süko thi müdi va mori thi tsüh sü to küvori zo. 
MAT.5.18	Süze I neko ce potü süto, Tü mo cejü dita kümothe mo mha hiko pühri thitsühyi kümothe, thüzhoo lü tü sü küve mori züco ne pühri mhapühceri di tayilho. 
MAT.5.19	Süna thüma kühopühri zü khaküsüko dolü künyithoo zori varhü die süh mi mütha yo lize tüyo küdelü pu yisü künyithoo thi tato. Eli, thüma kühopühri süko müdzi tso die süh mi müthayo lize tüyo küdelü pu yisü künyetho-o thito. 
MAT.5.20	Süti-omoli, I neko ce po süto, neko kümatho po lüsiküseko mo Phariseeko kümatho yezüyi zo kümosa, neko mhapüh dori thi die tüyo küde lü lüküyi di zo.
MAT.5.21	Thazü popüh kümüta; No mi dokhri sü, mo kühopühri küdokhrimi sheti-olü pu müjo va küto kümüprühlü ba küta neko ri se bate. 
MAT.5.22	Süri I nekoce potü süto, thüma kühopühri mhacomhala küdilü pu sazüh züra yo pu nümo, mori pulü rüdayo lize pue shetilü pu müjo küva kümüprühlü bate. Mo thüma kühopühri pu sazühzürami yisü ‘raca’ puco mhama pühri di süziyo lize pue mülhiko kühulü pu kümüprühbate; süri thüma kühopühri ‘No kümüloo’ zidie po lize pu Gehenna mezalü pu kümüprüh bate. 
MAT.5.23	Süna no mhapüh kürüsucelü vo küzüce n sazühzürami n yo künyo küba nsa lüyi lize. 
MAT.5.24	N mha khapüh kürüsüba-o mhuzülü ma die tala vo n sazühzüra süo züh vetho thiva müra die la vori n rüsu thi mosü. 
MAT.5.25	No n yo kenyo küzüo zühdie sholü küta lü küzühve mhayite; molize n yo künyo küzüo n tüpüh sheti küzhoo belü sü, mo küzho süo n tüpüh pu mhu küzhoo belü sü die küzho süo po n tüpüh küdücelü süva ri se lhomo. 
MAT.5.26	I nce potü süto, no vo die presa daprane pühri shu tsova kümothe no sülüno pariyi lho ta zoto.
MAT.5.27	No rügü rüzü sü süzidie popüh küma neko seyi ta zoe; 
MAT.5.28	Süri I neko ce po süto, thüma kühopühri thünomi püh müho die süpü peyo lize pu lüno süpü züh mhaküsü thiva zo. 
MAT.5.29	Süsübi die mhaceno nmhü nzaco nthi müsü tayo lize n moyono süo khi kügü vate; kükrenamoli, nmo mütü kügü püh mezalü sü küva ceri nmoyo zatho püh müdi küva veku. 
MAT.5.30	Mhaceno, nbe nzaco nthi müsü tayo lize, n yono süo da kügü vate; kükrenamoli nmo mütü püh mezalü kügü küva ceri nmoyo zatho püh müdi küva veku.
MAT.5.31	Süze thüma kühopühri pu cemi khava to lize pukha küva lüsi püh pu prüte, zi küti po püh müzü. 
MAT.5.32	Süri, I nekoce po süto, thüma kühopühri kürügükürüzü na zo kümo sa pu cemi khava lize pu püh kürügükürüzülü süva zo; mo kühopühri pu khaküva pü yi lize pu ri kürüzü thi tazo.
MAT.5.33	Süsari, no kücezü po rushühta mori; n Nyepo-oce n zü khaküsüko thitsühyite; zidie thazü küramiko celü popüh kümüta nekori seyita zo. 
MAT.5.34	Eli, I nekoce po süto, mhapühri po rushüh hi; türi po rüshüh hi; süosü Jihova küdeba zo kütina: 
MAT.5.35	Mori, cejüri po rushüh hi; kükrenamoli, süosü Jihova phekhra-o zo tina, mori Jerusalem ripo rushüh hi; süosü Küde küzhoo nade zo tina. 
MAT.5.36	Mori, no npi ripo rushüh hi; kükrenamoli no thüpitha pri pühri thi mütü, mori thi müga ri yilho tina. 
MAT.5.37	Süri n zü ‘I’ zilize ‘I’ ziyi mo ‘MO’ zilize ‘MO’ ziyi; modie sü zü ta lize süko küsüo celü pari tazo.
MAT.5.38	Mhü püh khü mhü püh, hu püh khü hu püh, zi püh kümüta neko ri se bata zo. 
MAT.5.39	Eli, I nekoce po süto, thüma küsümi müsüh thihi; süzi kütao mori thüma kühopühri n bro n zaco vü lize, kükreco ri kürüh püh prüte. 
MAT.5.40	Mo, thüma kühopühri n bola khiyi ta nyi die thüzhoolü künyo sü ta lize n khü ri rhüpüh prü vate. 
MAT.5.41	Süze thüma kühopühri n kümu thi die n züh maldo püh vo to ta lize, pu züh maldo küna ri vovate. 
MAT.5.42	Mha khapüh nce shoyo kütimi prüte, mu nce lü thüpo mosü küvori-mi po müthu tala ta hite.
MAT.5.43	No n sühzanumi khrüyi mo n ngomumi phi mütsüyite; süzi püh küma neko seyi tazo; 
MAT.5.44	Eli, I nekoce po süto, ne ngomumi khrüyi, mo galiphi püh ne rüphi kütimi prüyi, ne phimu yo kütimi na mha küve thiyi, n phimu die n müthimünyiyo kütimi na shoyite. 
MAT.5.45	Sülize, nekoe tüyo küba neko Poo nuneko thiyi küto na; Kükrenamoli Pün ace mütho püh küsümi rimo küvemi ri vasüyo, mo tü mürü püh küzüthomi ri kümomi ri prü süyo tina. 
MAT.5.46	Süzomoli, neko mi neko khrüyo kütiko libi khrüyo lize; neko dipüh zhokhro ba? Khazhonu kükhrümi ri süziyo zo mome? 
MAT.5.47	Mo ne ne sazühzürako libi küluyo lize; ne dipüh thi rükri kuyi ta. Khazhanu kükhrümi ri süziyo zo mo me? 
MAT.5.48	Süna, tüyo küba neko Po vezhosü küti bi die neko ri vezhosüyite.
MAT.6.1	Thüma po ngo zo küto na ne mi mhuzülü phikümüzhethoko thizo mo küto lü türüyite; kümosa tüyo küba neko Poo celü ne zhokhro ngoyi lhozo. 
MAT.6.2	Süze ne mha müthu püh mi küprü ce küthürakütiko-e thüshüh ngoyi nyi die synagogue ceko lü mo shopüsholiko lü thiyo küti bi die sekhu zota hite. I nekoce po süto. Süko zo-e puko zhokhro ngoyi bate. 
MAT.6.3	Eli, nekoe mha khaküsüce ne be ne zaco-e khaküsüo ne veco po se hite. 
MAT.6.4	Sidie no mhaküsüo kümükhrühlü khasü te, süze kümükhrüh mütü ngoyo küti ne Po-e mi mhüngolü ne zhokhro thipüh ne prüto tina.
MAT.6.5	Süze no küsho küthice küthüra kütiko bi ta hite: Kükrenamoli, sükoe mi po ngo küto na synagogkolü mo shopü shiceko tha die sho küti puko nüyo, eli, I nekoce po süto, süko zo-e u zhokhro ngoyi bate. 
MAT.6.6	Süri, noe sho kütice n celüsühku lü die n cekha khayi, die kümükhrühlü küba n Po ce shote. Süze kümükhrüh mütü ngoyo küti n Po putho mi mhüngolü n zhokhro thipüh n prüto. 
MAT.6.7	Eli, no zo-e sho kütice mülükümomi bi die uco küdi küpo sapo lala hi, kükrenamoli, puko-e zü kükro küpo na puko küsho rünyiyi küto lüyo tina. 
MAT.6.8	Süna nekoe süko bi ta hite; kükrenamoli, neko Po-e ne küsho mhuzü ne tsakhuko se batayo tina. 
MAT.6.9	Süze nekoe sho kütice hibi die shoyiyi te; tüyo küba ha Po N zapo kümüsao thiyite 
MAT.6.10	N küde thi vorite Tüyo bi cejü hiri püh n müdo thiyite. 
MAT.6.11	Tha tha va kha ha prüte 
MAT.6.12	Ha mi küjo va küsü bi, ha küjo ri va ha prüte 
MAT.6.13	Ha züh müdoküphilü vo hite, eli küsüo belü ha küla süte. Kükrenamoli, Küde, kuku mo Zapozale sü tülhülü nzüzo tina. 
MAT.6.14	Süze no mi küjo vasü mi prüyo lize tüyo küba ne Pori ne küjo va sü ne prüto. 
MAT.6.15	Süri ne mi küjo vapüh mi prü mu lize; tüyo küba ne Pori ne küjo va süyi lho.
MAT.6.16	Sülibizomoli, neko kümvo tice küthürakütiko bi die ne thusü sa tatahite, süko mi po ngo küto na puko zü thi mükre pu tayo. I neko ce po süto; süko zo-e puko zhokhro ngo bate. 
MAT.6.17	Eli, no kümvo kütice tier püh n pi künhüyi mo n zü chu vate. 
MAT.6.18	Sidie n kümvo püh thüma po ngo zota moli kümükhrühlü bayo küti n Po po ngote; süzi lize mha kümükhrühko ngoyo küti n Po tho mhulhelü n zhokhro thi n prüto.
MAT.6.19	Silhü mu gitsü poti vayo küti mo kürügomi po rhelü die rügoyi tayo küti cejülü küngu hite. 
MAT.6.20	Süziküti-omoli, silhü mori gitsü ri ti müdi vayi külho mo kürügomi ri rhelü rügo yi külho tüyo neko cene künguyi te. 
MAT.6.21	Kükrenamoli, n cene kübara nlü ri vo sülü ba tayo tina. 
MAT.6.22	Umo meto sü u mhü zo; mhaceno n mhü ve ba lize n mo ri vekrü pü bato. 
MAT.6.23	Eli, n mhü sü ta lize, n mo mütü ri zühbüh ta zoto. Süna n yo küba küveo züh ta lize, süsa küdithüdüpüh züh ta ta?
MAT.6.24	Mi cetami pühri nyepo küna ceta thi küduyi ndi; süzi lize pu mipüh mütsü mo kükreo ngo pü nü tato; mori pu mipüh-o va ta die kükreo the tato. Ne Jihova mo züthokümo cene unyi ceta thi küduyi ndi zo. 
MAT.6.25	Süna I nekoce po süto, ne külhü hio na dipüh ti mori dipüh kraba teshi küti; mori ne mo na dipüh bemüne ba teshi küti rüleko lü ne lü künyi thi hite; U kürhüro-e kütikükra ceri mo u mo-e khümüne ceri veku mo me? 
MAT.6.26	Tüyo rako pe süte; süko prühyo mo, mo rühriyo mo; mori süh vo ulhacelü künguri yo mo, süzori tüyo küba neko Po süko va thori thisü bayo. Neko-e süko ceri veku mo me? 
MAT.6.27	Neko sopühno mhalü shüh küsü na pu külhüzho bothopüh the ri thi müshoyi ve ta? 
MAT.6.28	Süze ne dipüh na khüne rüleko lü zo la? Neko yilü thürüba puko dibi die lhü bayo sheli lü süte, süko mhathi mhayi kümüzhe yo mo, süko türhi türha thiyo mo. 
MAT.6.29	Süzori, I nekoce po süto, Solomon zapozale thishü zori, süko mipüh düri kürütso mo. 
MAT.6.30	Süna Jihova-e nha tha lhüba die südo papüh mephülü müto va kütoko rütso thori thi süyo lize, neko kümülü kütsako, Pu süko ceri neko rütso thiku sü mo to me? 
MAT.6.31	Süna neko dipüh ti mo kra ba teshi, mori dipüh be müne ba teshi küti rüleko lü die nelü künyi thiba zohite. 
MAT.6.32	Mülükümoko-e mha hikohi rüle libi lü die phu bayo eli tüyo küba neko Po-e neko tsakhu hikohi mütü se bayo kütina. 
MAT.6.33	Süri neko Pu küde küthi mo Pu kümatho phu mürayite, sülize mha hikohi mütü püh neko sa süto. 
MAT.6.34	Süna neko sühdo rüle lü neko lü kümüzhe hite. Kükrenamoli, tüsonha putho pu kürüh batso tina.
MAT.7.1	Neko mi müjo hi; sülize miri ne müjo talho; 
MAT.7.2	Kükrenamoli, ne-e süh mi müjo küsüo miri süo süh ne müjo zoto tina. 
MAT.7.3	Sülize, no dipüh bi die ntho n mhülü sühthü kübao lü mozo die n sazüh-o mhülü sühco kübao pe yo la? 
MAT.7.4	Mori, no dipüh bi die ntho n mhülü sühthü kübao lü mozo die n sazüh-o yisü, apo n mhülü sühco-o ka vate, sidie poyo la? 
MAT.7.5	No küthüra küti-o, ntho n mhülü sühthü-o khiva mürate, sülize no nsazüh-o mhülü sühco-o ngo müle mülu die khi vato. 
MAT.7.6	Mhakümüsa khapüh tüshi prü hite; mori ti püma kürühpü kügü püh thüvo mhuzülü sü hite, süko u phe püh süko küdu mo rürüh pra ukü püh ne rhe ri zoto küti na.
MAT.7.7	Shote, süze khapüh ne prüto, phute, süze ne ngoyito; cekha küdü züzo te, süze khrisü ne prüto. 
MAT.7.8	Süze thüma kühopühri shoyo kütimi ngoyi yo, mo phuyo kütimi ngoyi yo; cekha küdüyo kütimi ri mi khrisü sümi prüyo. 
MAT.7.9	Süze, ne dolü sopühno unu-e tsükhrüda sho lize kütsü püh prüyo la? 
MAT.7.10	Mori, pu khu sho lize tünyhi khi püh prüyo la? 
MAT.7.11	Ne küsümi thori mhaküve püh nenu nene küprü do seyo lize tüyo küba neko Po-e mhaküve dithüdüpüh püh mi Puce shoyo kütiko prü süta? 
MAT.7.12	Süna mi neyo mha dipüh thisü lize nenü sheli neri süsü bi die thipüh miyo süte, kükrenamoli, thüzhoo mo sadzühküseko zübo hihi zo tina.
MAT.7.13	Neko kharü kümürüho züh lüyi te, kükrenamoli, mi züh kükalü küvo khrü-o müyo mo sho süo müthi, mo thüma kükro sho süo züh lü tayo. 
MAT.7.14	Süri, mizüh kürhüh lü küvo kharüo mürüh mo pu shori kürühbüh, mo süo ngo küyi thüma tsa.
MAT.7.15	Kücezü sadzühküseko yo neko münuyi te, süko tüko khüne süh die neko ce vori yo; eli puko lü lükhrono tüküti saceko zo. 
MAT.7.16	Neko puko se yono puko se yito; mi tsahubo yono khubüh se rayi yo me? Mori hushihu bo yono shedüse rayi yo me? 
MAT.7.17	Sühbo küve kühopühri use küve jiyiyo; eli sühbo küsü khü use küsü ji tayo. 
MAT.7.18	Sühbo küve püh-e use küsü ji ta ndi, mori sühbo küsü püh-e use küve ji ta yomo. 
