MAT.1.1	Lungolo lwa Yesu Kilisto, kibelei cha Daudi, ngi kibelei chu Ulaimu.
MAT.1.15	Eliudi ngapoto mwana Eliazeli, Eliazeli ngapoto mwana Matani, Matani ngapoto mwana Yakobo, 
MAT.1.16	Yakobo ngapoto mwana Yusufu, ojwakiba angwana ba Maliamu amama ba Yesu ojwakonda Kilisto.
MAT.1.17	Penia ikapeta ibelei komi na ncheche kuboka pu Ulaimu mpaka Daudi, ni ibelei komi na ncheche kuboka pa Daudi mpaka pa Akayahudi pabatoligwa ubanda Kujenda ku Babiloni, ni ibelei komi na ncheche kuboka pabatoligwa ubanda kuika kingobu cha Kilisto Nkomboi.
MAT.1.18	Kubelekwa kwa Yesu Kilisto kukiba yene, Maliamu amamundu Yesu akankobeka Yusufu. Nambu tangu nu kutamangaje pamwe andi pibi analome na akege, Maliamu ngabonekana abi na ndumbo kuwecho gwa Uhuke jwa Chwapi. 
MAT.1.19	Magambu Yusufu akiba na majendo ga mbone nnongi ja Nnoongo, apaije kunkoya oni Maliamu, ngapala kunneka kukunyegela. 
MAT.1.20	Pakiba akaacha genia Mpakachi jwa Angwana kuboka Kumbengu ngampitila mumaloto kulenga, “Yusufu, mwana jwa Daudi, makajobokaje kuntola Maliamu kube aanabinu magambu ndumbo ejabinajo kuwecho gwa Uhuke jwa Chwapi. 
MAT.1.21	Abakupoto mwana munalome mumpa liina lyakwe Yesu, magambu jwenio nga ojwapakakombola bandu bakwe mumabaja gabe.”
MAT.1.22	Genia goa gapitila lilenganile lilobe lya Angwana elibalenga kupete nnondoli jwa Nnoongo, 
MAT.1.23	“Munkege jwangamanya analome aiba na ndumbo apotola mwana munalome, nangweto binkema Imanueli” kulenga, “Nnoongo abi pamwe natwenga.”
MAT.1.24	Yusufu apajimuka mulugono, ngatenda genia agalenga mpakachi jwa Angwana kuboka Kumbengu, nganto Maliamu kube aanamundu. 
MAT.1.25	Nambu bagolokingeje kindanda chimweje mpaka Maliamu apapotola mwana munalome Yusufu ngampe liina mwana jwenio Yesu.
MAT.2.1	Yesu abelekwa kukilambo chuku Beteleemu kunkoa gwa Kuyudea, kingobu Helode pakiba Nngwana. Kingobu tu kuboka pu kubelekwa, akamanyi ba ndondwa ngabaika Kuyelusalemu kuboka kumbwani. 
MAT.2.2	Ngabakonya, “Kibiko kilemba, chikibelwike ojwabakube Nngwana jwa Akayahudi? Tulubweni lutondwa lwakwe kuboka kumbwani natwe tuikita kunng'ongalela.”
MAT.2.3	Nngwana Helode pajoa genia, ngaechuka muno pamwe na boa abatama Kuyelusalemu. 
MAT.2.4	Helode ngabakemanga akakolongwa ba Akakung'i boa na akaboli ba malagilo ga Musa, ngabakonyanga, “Kilisto Nkomboi apakubelekwa koo?” 
MAT.2.5	Angweto ngabajanga, “Apakubelekwa kukilambo chuku Beteleemu, nkoa gwa Yudea. Andi piandikigwe na nnondoli jwa Nnoongo,
MAT.2.6	‘Mwe Beteleemu kilambo cha Kuyuda,
MAT.2.6	mwe machokochokoje panakati ji ilambo Ikuyuda,
MAT.2.6	gambu kwinu apakupiti kilongoi
MAT.2.6	ojwapakalongaleya bandu bango, bu Kuisilaeli.’ ”
MAT.2.7	Penia Helode ngabakemanga pantemela akamanyi ba ndondwa, ngaba konyanga kingobu gani pulupitila lutondwa. 
MAT.2.8	Kuboka penia ngabatuma bajendange ku Beteleemu ngabalagi, “Nnyendange makaingikiye nhwalo gwa mwana jwenio, anda mampatite unetele nhwalo gwenio nane nyende nakang'ongalele.”
MAT.2.9	Kuboka pa kapenikia angwana, akamanyi ba ndondwa ngabajabula. Penia lutondwa lubalubona kingono cha kalelo kumbwani ngulwalongaleya mpaka ngulujenda kujema panani pakiba mwana. 
MAT.2.10	Pubulubona lutondwa lwenio ngabaala mwojo muno. 
MAT.2.11	Ngabajingila unyumba ngabammona mwana jwenio pamwe na amamundu Amaliamu, ngabakilikitila, ngabanng'ongalela. Kuboka penia ngabakulugula mikoba jabe ngabampe hupo, jaabu nu ubani na mauta ga bei ngolongwa agakemigwa manemane.
MAT.2.12	Penia ngababuja kachabe kundela jenge gambu Nnoongo akatekakelebuya mumaloto bakammujije Helode.
MAT.2.13	Kuboka pa akageni kujabula, mpakachi jwa Angwana kuboka kumbengu ngampitila Yusufu mumaloto ngannenge, “Nnyimuke muntole mwana pamwe na amamundu ntilile kukilambo cha Kumisili. Ntamanga kwenio mpaka pambakunnengela, gambu Helode apa kunkoma mwana jwenio.”
MAT.2.14	Yene Yusufu ngajimuka, ngantola mwana na amamundu, ngababokanga kilo kujenda Kumisili. 
MAT.2.15	Ngabatama kwenio mpaka Helode pajomokaga. Kilebe chenie kipitila kupala lilobe libalongela Angwana kupete nnondoli jwa Nnoongo lilenganile, “Nganankema manango kuboka Kumisili.”
MAT.2.16	Helode apang'anyama kutenda akamanyi ba ndondwa bala batekunkoloya, ngachimwa muno. Ngalagi ingota yoa ikinalome ya kilambo chuku Beteleemu na eibi papipi jakwe eibi nayaka ibena kubuja unyuma ikomigwe. Atenda genia akombakela machoba kuboka pagaika akamanyi ba ndondwa. 
MAT.2.17	Yene nga pagalenganila malobe agalenga Nnondoli jwa Nnoongo Yelemia,
MAT.2.18	“Lilobe lijoanika kukilambo chuku Lama
MAT.2.18	nguto nukokaleka muno.
MAT.2.18	Laeli aiguti ingota yakwe,
MAT.2.18	na apaije kumpembeleya,
MAT.2.18	magambu yoa ijomwike.”
MAT.2.19	Kuboka pu kujomoka Helode, Mpakachi jwa Angwana kuboka kumbengu ngampiti Yusufu mumaloto ukwako Kumisili. 
MAT.2.20	Ngannenge, “Nyimuke muntole mwana na amamundu mmuje kukilambo cha Kuisilaeli, magambu abapalangita kunkoma mwana jwenio bawilangite.” 
MAT.2.21	Yusufu ngajimuka ngantola mwana pamwe na amamundu ngababuja kukilambo chuku Isilaeli.
MAT.2.22	Nambu Yusufu pajoa kita Akelao Atawala Kuyudea paali pa awamundu Helode, ngajoboka kujenda kwenio. Kuboka pukunkelebuya mumaloto, ngajenda kunkoa guku Galilaya, 
MAT.2.23	Na ngaami kukilambo chi Kunazaleti. Yene ngagalenganila malobe agalenga Nnondoli jwa Nnoongo, “Binkema Nnazaleti.”
MAT.3.1	Machoba genia Yohana Mmatichi ngapitila papongoti kukilambo cha Kuyudea ngatumbu katangachi bandu. 
MAT.3.2	Ngalenga, “Nnapange mabaja ginu. Magambu Kingwana chu kumbengu kibandakile!” 
MAT.3.3	Yohana jwenio, nga ojwannenga Isaya ojwakiba nnondoli jwa Nnoongo apalenga,
MAT.3.3	“Mundu achobe papongoti kanonoya kulenga,
MAT.3.3	‘Mapanganakie Angwana ndela jabe,
MAT.3.3	mmeke kipola ndela jabe!’”
MAT.3.4	Yohana akwinda ngobo ejilokigwe namajuni ga nyama ojwakemigwa ngamia, nu luunga lu limbendela akwinda mukibuno chakwe, chakulya chakwe kikiba maige na buchi gu kupongoti. 
MAT.3.5	Bandu kuboka kukilambo cha Kuyelusalemu nu Kuyudea, ni ilambo yoa ibi umbwega ju lukemba lwa Yolidani ngabannyendelela. 
MAT.3.6	Ngabalapanga mabaja gabe, na jwenio ngababatichanga mulukemba lwa Yolidani.
MAT.3.7	Nambu Yohana pababonanga Mafalisayo na Masadukayo ajingi bukunhwikalila kupala babatichigwe, ngalenga, “Mangweto machamajoka! Beneke abannengi nhwotwi kujepa lilaka lya Nnoongo eliika? 
MAT.3.8	Ntendange agalaya kutenda nnapangite mabaja. 
MAT.3.9	Makaachangaje kutenda nhwotwile kujepa lilaka kukuneme, ‘Awabito ana Ulaimu.’ Nannenge Nnoongo aotwi kagatenda mabwe aga gabe ingota yu Ulaimu. 
MAT.3.10	Libago libekigwe pamanhina ga mikongo, kila nkongo gwangapambika ubakupenguligwa nu kuleke pamwoto. 
MAT.3.11	Nenga nammatichanga kwa mache kulaya nnapangite mabaja ginu. Nambu ojwapakuika kuboka pangunenga akweti uwecho muno kumbeta ne, nenga kuotoje kupoto ilatu yakwe. Jwenio ammatichanga kwa Uhuke jwa Chwapi na kwa mwoto. 
MAT.3.12	Jwenio akamwi kipalwe chakwe chukupete mapemba. Aikongola mapemba nukubeka mukikokwe, nambu mapoi aitinia mwoto gwangaimika.”
MAT.3.13	Kuboka penie Yesu ngaboka kukilambo chuku Galilaya ngaika mulukemba lwa Yolidani, kupala abatichigwe na Yohana. 
MAT.3.14	Nambu Yohana ngatumbu kunkanalila kulenga, nenga mbaligwa kubatichigwa na mwenga, “Lele, mwe nhwika kwango nenga?”
MAT.3.15	Nambu Yesu ngannyanga, “Ngoe magaleke genia gabe yene. Gambu genia nga agapala Nnoongo.” Penia Yohana ngajeketela.
MAT.3.16	Kuboka pa Yesu kubatichigwa, ngapita umache. Kingobu ucho mbengu ngijiekuka, ngammona Uhuke jwa Nnoongo akauluka anda ngunda nukutola panani jakwe. 
MAT.3.17	Lilobe kuboka kumbengu, ngililenga, “Jwenio nga manango, junampala jwanhalalila.”
MAT.4.1	Kuboka penia Uhuke jwa Chwapi ngannongaleya Yesu mpaka kupongoti kupala alondoigwe na Mmaja. 
MAT.4.2	Ngapunga machoba alubaini kilo na mui pangalye kilebe chachoa pajomola ngajijoa njala. 
MAT.4.3	Mmaja nganhwikalila, ngannenge, “Anda mwenga Mamwana ba Nnoongo, magaamuliche mabwe aga gabe mikate.”
MAT.4.4	Nambu Yesu ngajanga, “Iandikigwe Mumajandiko Gachwapi,
MAT.4.4	‘Mundu alama kukulye nkate tuje,
MAT.4.4	nambu ku kila lilobe elyalonge Nnoongo.’ ”
MAT.4.5	Kuboka penia Mmaja ngantola Yesu mpaka kukilambo chu Kuyelusalemu, Kilambo cha Chwapi, ngammeka kunani pulengo gwa Nyumba ja Nnoongo, 
MAT.4.6	ngannenge, “Anda mwe Mamwana ba Nnoongo mikileke pae gambu andikigwe,
MAT.4.6	Nnoongo maamulicha akapakachi bakwe kuboka kumbengu kwa magambu ginumwe,
MAT.4.6	mabannyanganga kumaboko gabe,
MAT.4.6	kata mukikipotekaje mumaganga.”
MAT.4.7	Kwa magambu genia Yesu ngajanga kulenga, uyo Mumajandiko Gachwapi, iandikigwe, “Makategaje Angwana ana Nnoongo binu.”
MAT.4.8	Kuboka penia Mmaja ngantola Yesu mpaka kunani kukitombi kitandamau, ngannaya kingwana chi ilambo yoa ya padunia na gwambone gwakwe. 
MAT.4.9	Mmaja ngannenge, “Yenie yoa nhotwi kumpe mwe anda nkilakatile nu kung'ongalela.”
MAT.4.10	Penia Yesu ngannenge, “Nnyabule mwe Malichetani! Iandikigwe Mumajandiko Gachwapi, ‘Magongalela Angwana ana Nnoongo binu na mabegelela benia jika jabe.’ ”
MAT.4.11	Penia Mmaja nganneka Yesu, akapakachi kuboka kumbengu ngabaika ngabammegalela.
MAT.4.12	Yesu pajoa kita Yohana Mmatichi bantabite mukipungo ngajenda Kugalilaya. 
MAT.4.13	Ngaboka kilambo chuku Nazaleti ngajenda kukilambo chuku Kafalanaumu, kilambo chikibi umbwega ja lilaba lya Galilaya, mumpaka gwa kilambo cha Zabuloni na Naftali, ngatama kwenio. 
MAT.4.14	Yene pililenganila lilobe elyalongela Nnondoli Isaya,
MAT.4.15	“Kilambo chuku Zabuloni na Kilambo chuku Naftali,
MAT.4.15	Kujenda kubaali kwiye julukemba lwa Yolidani,
MAT.4.15	ku Galilaya, kilambo cha bandu banga Akayahudi!
MAT.4.16	Bandu abatama pulubendu
MAT.4.16	bijibweni ndaa.
MAT.4.16	Angweto abatama miwili ja kiu,
MAT.4.16	Lumuli lwamulakile.”
MAT.4.17	Kuboka kingobu chenie Yesu ngatumbu kutangacha ngalenga, “Nnapange mabaja ginu, magambu Kingwana chu kumbengu kibandakile!”
MAT.4.18	Yesu pakiba akatyanga umbwega ji lilaba lya Galilaya ngababona bandu abena alungolo akakoki, bandu benia bakiba Simoni ojwa konda Petulo na nnuna gwakwe Andulea bakakoka yamaki ku lipelele mulilaba. 
MAT.4.19	Yesu ngabalenge, “Ungengamange nenga manammekanga mme makakoki ba bandu.” 
MAT.4.20	Kingobu tu ngabagaleka mapelele gabe ngabankengama Yesu.
MAT.4.21	Pajenda nnongi kachoko ngababona bange akalongo abena, Yakobo na Yohana, ingota ya Zebedayo. Bakiba muntumbwi pamwe na awamundu Zebedayo, batendekea mapelele gabe. Yesu ngabakema, 
MAT.4.22	benia kingobu tu ngubuleka ntumbwi pamwe na awamundu, ngabankengama Yesu.
MAT.4.23	Yesu ngajenda kila paali mukilambo chu Kugalilaya kabolanga bandu mu nyumba ju kunng'ongale Nnoongo nu kutangacha Nhwalo Gwambone gu kingwana cha Nnoongo ngabalamia bandu itamwe yoa eibakiba nayo. 
MAT.4.24	Nhwalo gwakwe ngujoanika mukilambo chuku Silia, akatamwe boa bina itamwe ya kila aina nu kulaga, bandu bina michepela, akatamwe kiinduindu, na bandu abakiba bapolite mibele, ngabapeleka kwa Yesu, jwenio ngabalamia boa. 
MAT.4.25	Bandu ajingi ngabankengama kuboka kukilambo chuku Galilaya, kilambo echikibi ni ijiji komi, Kuyelusalemu na Kuyudea na kwie ja lukemba lwa Yolidani.
MAT.5.1	Yesu pababona bandu ajingi ngaombe pikitombi ngatama. Akinapunji bakwe ngabannyendelela, 
MAT.5.2	jwombe ngatumbu kabolanga,
MAT.5.3	“Mbaya ababi nu uwocho muhuke,
MAT.5.3	gambu Kingwana chu kumbengu nga chabe!
MAT.5.4	Mbaya ababi nu kuechuka,
MAT.5.4	gambu Nnoongo mabapembelea.
MAT.5.5	Mbaya mundu jwa jali,
MAT.5.5	gambu mapokela malagano ga Nnoongo!
MAT.5.6	Mbaya ababi na njala na nyota ju kutenda gapala Nnoongo,
MAT.5.6	Nnoongo mababeka bajukute!
MAT.5.7	Mbaya ababi na kia,
MAT.5.7	gambu Nnoongo mababonela kia!
MAT.5.8	Mbaya abampala Nnoongo kwa mwojo chwapi,
MAT.5.8	gambu mabammona Nnoongo!
MAT.5.9	Mbaya akachikichani,
MAT.5.9	gambu bikemigwa ingota ya Nnoongo!
MAT.5.10	Mbaya abapotekigwa kwa magambu gu kutenda agapala Nnoongo,
MAT.5.10	gambu Kingwana cha kumbengu nga chabe!
MAT.5.11	“Mbaya mangweto anda bandu bantukine na bamponjite nu kunkopakeya kilebe chachoa chubaja kwa magambu gango nenga. 
MAT.5.12	Nhwalalange mwojo nu kululuta gambu hupo inu ngolongwa kumbengu. Yene ngapaba bonelanga akalondoli ba Nnoongo abakiba tango namangweto kubeje.
MAT.5.13	“Mangweto nga mwinyo panakati ja bandu padunia. Nambu anda mwinyo uoite kulaa kwakwe ipakolelwa na nike? Kuchataje kabele, nambu kuleke panja nu kulebatigwa na bandu.
MAT.5.14	“Mangweto nga lumuli lwa dunia. Kilambo chikichengigwe panani pa kitombi kuotoje kukiia. 
MAT.5.15	Na bandu kupambaje lumuli nu kuluekelela lidebe, nambu kulubeka panani putala, kupala bamulakile bandu boa ababi unyumba. 
MAT.5.16	Mangweto uyo mpaka oti lumuli lwinu lumulike nnongi ja bandu, bagabone maengo ginu gabe chwapi na bakoigwe Awawa binu ababi kumbengu.
MAT.5.17	“Makakita nhikila kuboya Malagilo ga Musa na maboulo ga akalondolije. Nhikila kuboyaje, nambu nhikila kulenganakia. 
MAT.5.18	Nannenge kweli mpaka mbengu na dunia pipakupeta, napachokoje pa Malagilo ga Musa pukuboigwa, mpaka goa galenganile. 
MAT.5.19	Mundu jwajwoa ojwapakulemwa amuli ejibi njokochoko kupeta joa na kabola bange batendange jenia, jwenio apakube nchokochoko mukingwana chu kumbengu. Nambu jwajo ojwapakagakamula na kabola bange, jwenio apakube nkolongwa mukingwana chu kumbengu.” 
MAT.5.20	“Nannengelanga kweli nukamuje gambone gapala Nnoongo kapeta Mafalisayo na aboli ba Malagilo ga Musa, nnyingije ngu mukingwana chu kumbengu.”
MAT.5.21	“Nnyoaninge kutenda bandu ba lolo balengigwe, ‘Makakomaje! Abapakoma bapa kuhukumigwa.’ 
MAT.5.22	Nambu nenga nannenge, jwajwoa ojwapa kunchimwa nnunu gwakwe apakuhukumigwa. Ojwapa kummembula nnunu gwakwe apakuntakiana kana jumbe na ojwapa kunkema nnuna gwakwe, ‘Matokamau!’ Apaligwa kujingi mumwoto gwangaimika machoba goa. 
MAT.5.23	Anda mpelike lilumbo lya hupo linu kukitembe cha Nnoongo na penia nkombakile nnunugwinu abi na bulwa na mwenga, 
MAT.5.24	mileke hupo inu pikitembe, nnyabule oti makachikachane na nnunugwinu, kuboka penia mmuje makapange hupo inu.”
MAT.5.25	“Nchikachane na mundu ojwantakiine kiti mmi undela, makajenda kanajumbe. Andaje ojwantakiine apakunkamuya kana akimu na akimu apa kunkamuya ku linjolinjoli na kubekigwa mukipungo. 
MAT.5.26	Nannenge kweli mpitaje mwenio mpaka nnyomole kulepa uloi gwoa.”
MAT.5.27	“Nnyoaninge kube bandu balengigwe, ‘Makatendaje ngongola!’ 
MAT.5.28	Nambu ne nannenge, ojwapa kunnolakea munkege nu kunnokolela bai ateile nakwe ngongola umwojo gwakwe. 
MAT.5.29	Anda lio linu lyakalelo lipakunnyambuki kulemwa, muliboye mililekele kutali namwenga! Mbaya kuoya kipagwa chimwe cha mmele gwinu, kuliko kuoya mmele gwoa kukulekeligwa kumwoto gwangaimika machoba goa. 
MAT.5.30	Anda luboko lwinu lwa kalelo lupakunnyambukia kulemwa, mbaya muluekete mululekele kutali namwenga! Mbaya kuoya kipagwa chimwe cha mmele gwinu, kuliko mmele gwoa ujende kumwoto gwangaimika machoba goa.”
MAT.5.31	“Uyo ilengigwe, ‘Ojwapakaleka anamundu apaligwa kape talaka.’ 
MAT.5.32	Nambu nenga nannengelanga, mundu jwajoa ojwabaleka aanamundu, nambu tu gambu ga ngongola, jwenio ammeka munkege jwenio abe nngongola na mundu anda antoi munkege jwenio atenda ngongola.”
MAT.5.33	“Kabe nyoininge kube bandu ba lolo balengaligwe, ‘Mikikilekaje channapila, nambu mpaka ntende channapile Kangwana.’ 
MAT.5.34	Nambu nenga nannenge, makalapije. Nu kumbenguje, gambu kwenio nga kukibi kitebu cha Nnoongo, 
MAT.5.35	na pannemaje, gambu penia nga pukubeka makongono gabe, nuku Yelusalemuje, gambu chenie nga kilambo cha Angwana Akolongwa. 
MAT.5.36	Na makalapije kwa mutwe gwinu, gambu mwe kuotoje kulubeka lunywili lube luhu andaje lupili. 
MAT.5.37	Andannengite, ‘Elo’, Ibe ‘Elo’, Anda nnengite, ‘Ije’, Ibe ‘Ije’, Chachoa chikipeta genia kiboka kwa Mmaja.”
MAT.5.38	“Ngannyoanga kube galengigwe, ‘Nnyinu anda ammoite lio namwe mammoya lio, nnyinu anda ankolite lino namwe mankola lino.’ 
MAT.5.39	Nambu nenga nannengela, makammukije ubaja mundu mmaja. Mundu anda amputite likopi lijego lya kalelo, mantendebukie lenge. 
MAT.5.40	Mundu anda ampelike kamahakama kupala kutola lichati linu munnekele nilikoti linu atole. 
MAT.5.41	Mundu anda anhwamuliche kupotola nhwigo gwakwe mwanja gwa maili jimwe mpotola maili ibena. 
MAT.5.42	Ojwapakunyopa kilebe mumpe, makannyimaje ojwaika kunnyaika kilebe.”
MAT.5.43	“Ngannyoa kutenda ilengigwe, ‘Mumpale nndami nyinu, na manchimwe nngondwa jwinu.’ 
MAT.5.44	Nambu nannenge, mapalange akangondwa binu, na majopele ku Nnoongo abampoteka, 
MAT.5.45	kupala mmegange makinangota ba Awabinu ababi kumbengu. Gambu benia bamulakila lumuli lwabe bandu boa akabaja na bambone, na kakomelekea ula bandu bambone na bandu akabaja. 
MAT.5.46	Bo, mpakupata upo nike ku Nnoongo, kwa kapala abampalanga mangweto tu? Magambu ata akatocha kodi bakamulanga ugo! 
MAT.5.47	Anda mapatangite abali akalongo binu tu, ngimikikamwa ni kiyono? Mbone na bandu bangammanya Nnoongo bakamu ugogo! 
MAT.5.48	Mmeganga makambone, anda Awabinu bu kumbengu pababi bambone!”
MAT.6.1	“Ntamanga maha makakamuje itendwa yambone kupala mmonekane nnongi ja bandu. Awawa binu ababi kumbengu bampeje hupo.”
MAT.6.2	“Pamampe kilebe nhwocho, makalandulije. Makabe mandendemunduje andi bandu ababikitenda bambone pababeganga unyumba ju kunng'ongale Nnoongo nu undela kupala bandu balumbalile. Nannenge kweli, bai bapatangite hupo yabe tegatega. 
MAT.6.3	Nambu mwe pamankola nhwocho wala nng'anja gwinu jwa mpalana akamanyaje panteile. 
MAT.6.4	Mpange kilebe chinu kukuiya na Awawa binu ba kumbengu ababibona ilebe iigwe mabampa hupo inu.”
MAT.6.5	“Panng'ongalela, makabeje andi bandu akandendemundu. Angweto kupala kujema munyumba ju kunng'ongale Nnoongo nu umbwega ja ndela kupala bandu babone. Nanenge kweli Angweto bapatangite hupo yabe. 
MAT.6.6	Nambu mwe papakunng'ongalela Nnoongo, nnyingile kuchumbi chinu nu kujigala nniango, nng'ongalela ka Awawa binu bangabonekana. Na benia Awawa binu abagabona agaiigwe mabampa hupo.”
MAT.6.7	“Panng'ongalela, makalonge malobe nduuje andi apabatenda bandu bangammanya Nnoongo. Magambu angweto bapemele Nnoongo jwabe bajoange gambu ga malobe gabe majingi. 
MAT.6.8	Makabe andi angwetoje. Gambu Awawa binu bagamanyi malola ginu tango nakajopaje. 
MAT.6.9	Mpaligwa kugongalela yene,
MAT.6.9	‘Awawa bito mammi kumbengu,
MAT.6.9	lina linu lya chwapi likoliigwe,
MAT.6.10	Kingwana chinu kiike,
MAT.6.10	Lyampala libe kudunia andi kumbengu.
MAT.6.11	Mutupe lele chakulya chito.
MAT.6.12	Mugalekekeye malemwa gito,
MAT.6.12	Andi twe putugalekekeya malemwa ga ababutulemwite.
MAT.6.13	Mukutubekaje mumitambo,
MAT.6.13	nambu mutukombole na Mmaja.’
MAT.6.13	Magambu kingwana nga chinu na makakala, nu ukolongwa machoba goa pangapela. Unhyo.
MAT.6.14	“Anda malekekiye bandu malemwa gabe, Awawa binu ba kumbengu maba nnekekeya uyo. 
MAT.6.15	Nambu anda kalekekeyaje bandu malemwa gabe, na Awawa binu bannekekeyaje malemwa ginu.”
MAT.6.16	“Pampunganga, makabeje andi bandu ababikitenda bambone angweto kubeka lukenja kumio jabe babonekane na bandu bamanye kita batekupunga nannenge kweli angweto balepigwe hupo yabe. 
MAT.6.17	Nambu mwenga, pampunga mpakala mauta umutwe jinu na nkuye kumio jinu nu kwemulila nywili inu, 
MAT.6.18	ibe mundu jwajwoa akamanyaje kiti nte kupunga, imanyekane tu na Awawa binu bangabonekana. Na Awawa binu abagabona agaiigwe bampa hupo.”
MAT.6.19	“Mikikibekeje ilebe padunia, mwenio idudu na nguu kualabia na akajibi kujingila nu kujiba. 
MAT.6.20	Nambu mikibekele lupambo kumbengu kwenio idudu na nguu kuotoje kualabia, na akajibi kujingije nu kujiba. 
MAT.6.21	Gambu machoba goa apulubi lupambo lwinu na mwojo gwinu uba upo.”
MAT.6.22	“Mio nga lumuli lwa mmele. Anda mio ginu gabi chwapi na mmele gwinu gwoa upakube mulumuli. 
MAT.6.23	Nambu anda mio ginu mabou mmele gwinu gwoa ubakube mulubendu. Bai anda lumuli olubi nkati jinu ngulubendu, mmanya lwenio ngu lubendu lukujogoya!”
MAT.6.24	“Abije mundu ojwaotwile kabegele akangwana abele. Gambu apakunchimwa jumwe nu kumpala jonge. Apakube na jumwe nu kummembu jonge. Nhwotwaje kummegelela Nnoongo nu uloi.”
MAT.6.25	“Nga kwa mana nannengelanga, makapweleje ndya nike na nywanike na wala ngobo yukwinda. Bo, bwomi gwambonije kupeta chakulya na ngobo yambone kupeta mmele? 
MAT.6.26	Miloleke ijuni ikamanyai ibi kupandaje nu kuunaje, na ikwetije ikokwe. Nambu Awawa binu bu kumbengu kipe kulye. Bo mangweto mamboneje kupeta ijuni? 
MAT.6.27	Bene kati jinu kwa magambu ga mbwele yabe, baotwile kukijonjake kingobu chukulama pangaje lichoba limwe?”
MAT.6.28	“Kwanike kube na mbwele ya ikwindo? Magalolakeye maloba ga kamanyai pagalembulila. Gabi kamuje maengo wala kutendakea ikwindo. 
MAT.6.29	Nambu nannengelanga, wala bene Angwana ana Solomoni pamwe nu ukolongwa gwakwe gwoa banakwindaje chwapi andi pagabi maloba aga. 
MAT.6.30	Anda ibi Nnoongo agakwindiya manyai ga mpongoti agabi leleno na malabo kagalekela kumwoto, bo, Nnoongo ankwindiaje mangweto muno? Makangweto mina imani njokochoko!”
MAT.6.31	“Makapweleje kutenda, ‘Tupakulye nike?’ Andaje ‘Tupakunywe nike?’ Andaje ‘Tupakwinda nike!’ 
MAT.6.32	Gambu genia goa bagabegelela bandu bangammanya Nnoongo. Awawa binu ababi kumbengu bagamanyi agampala goa. 
MAT.6.33	Nambu ntumbu kikibegelela oti kingwana cha Nnoongo kupeta goa na agapala Nnoongo, penia Nnoongo mampage goa nu kujonjekea. 
MAT.6.34	Bai, makapweleje ga malabo, gambu malabo ikweti malola gakwe. Kila lichoba likibegele lyene.”
MAT.7.1	“Makahukumuje bandu, manhwika kuhukumuligwa na Nnoongo, 
MAT.7.2	gambu pamahukumula ajinu na mangweto mpakuhukumigwa uyo, ni kipemo chamapeme bange ucho echapakumpeme Nnoongo. 
MAT.7.3	Mboni mwe milibona lipandi mulio lya nnunagwinu, na kongo lipalamandi elibi mulio linu kulibonaje? 
MAT.7.4	Nhwotobo kunnenge ‘Nnunu gwinu, nnyeme nammoye lipandi mulio linu na kongo mmene nkweti lipalamandi mulio linu? 
MAT.7.5	Mwe mandendemundu! Mmoye oti lipandi elibi mulio linu penia pampakulola tela kuboya kipalamandi chikibi mulio lya nnuna gwinu.’ ”
