MAT.1.1	Jesus Kristo, Dawi panaa, Abaraãm panaa. Hahỹ ta wahë makũ sa häd heen n'aa kerih doo:
MAT.2.1	Ti m' panang Berẽnh häd näng doo bä, Judah häj n'aa bä Jesus benäng sa wahë n'aa Eróts häd näng do bag'ããs noo gó. Tabenäng do jawén paa bä ajyy tak'ëp ma kamet'ëëk doo, sagõõh ky n'aa ma kamahet'ëëk do kaj'aa Jerusarẽnh bä. Sa häj n'aa papỹỹj hana hẽnh rahana. 
MAT.2.2	Ti m' rakajaa bä kä rabeaanh:
MAT.2.2	—Nyy bä tabadäg däk Judah buuj sa wahë n'aa nag'aap hẽ henäng doo? —näk mäh. —Ãã hapäh sagõõh tabenyy däk do heen n'aa. Papỹỹj nu ganyy hẽnh tahana. Ãã wén na bë wahë n'aa nag'aap hẽ henäng do ãã weh'ëëh hyb n'aa —näk mä sagõõh ky n'aa ma kamahet'ëëk do sa kyyh. 
MAT.2.3	Ti m' tak'ëp mä Judah buuj sa wahë n'aa Eróts häd näng do hyb n'aa tón mä taky n'aa napäh bä sagõõh ky n'aa ma kamahet'ëëk do raher'oot doo. Sahõnh hẽ Jerusarẽnh panang buuj na-ããj hẽ m' rahyb n'aa tón mäh.
MAT.2.4	Ti m' Eróts mejũũ ranaëënh hyb n'aa ta wë sahõnh hẽ Judah buuj sa rod n'aa P'op Hagä Do wë wahë n'aa, Mosees ky n'aa jaw'yyk do ma mehetëk do na-ããj hẽ. Ti m' tabeaanh mä sa hã nyy bä P'op Hagä Do kyy kerih do ky däng Kristo, P'op Hagä Do H'yyb Däng Do benäng doo.
MAT.2.5	Ti m' raky hadoo:
MAT.2.5	—Berẽnh panang bä, Judah häj n'aa bä tabenäng da —näk mäh. —Hahỹỹ da P'op Hagä Do ky n'aa rod see erii wät paa ta ti ky n'aa —näk mäh:
MAT.2.6	“Panang Berẽnh, Judah häj n'aa bä badäk doo,
MAT.2.6	õm ky n'aa netsëëh do nado panang ky n'aa etsëëh do sa mahang, Judah häj n'aa bä.
MAT.2.6	Ky n'aa etsëëh da õm, a babuuj mahang ganyyh do hyb n'aa ta bagã n'aa,
MAT.2.6	Isaraéw buuj, karapé haa h'yyb mahũũm doo.”
MAT.2.6	—Tii d' né hẽ P'op Hagä Do kyyh, ta ky n'aa rod see erih do paah —näk mä Mosees ky n'aa jaw'yyk do ma mehetëk do sa kyyh Eróts hã.
MAT.2.7	Ti m' Eróts mejũũ rabats'yyt ta wë kejën doo gó sagõõh ky n'aa ma kamahet'ëëk doo. Ti m' tabeaanh mä sa hã ny noo gó ti sagõõh ganyyh. Ti m' rabaher'oot ta hã. 
MAT.2.8	Ti m' Eróts mejũũ mä Berẽnh hẽnh rabahõm hyb n'aa. Ti m' ky ken'yym doo gó m' taky hadoo sa hã:
MAT.2.8	—Bë ahõm, baad bë esóts karapee —näng mäh. —Karapee bë awyyd bä, nayyw hẽ ỹ karẽn ỹ bë maher'ood, karapee ỹ weh'ëëh hyb n'aa bë nemuun —näng mä Eróts kyyh.
MAT.2.9	Ti m' sa hã Eróts maher'oot do jawén paa bä, ratsyym kasog kän mäh. P'aa hẽnh mä sagõõh rabahapäh ẽnh ramahõm me. Sa pooj jé m' sagõõh bahõm. Ti m' sagõõh bayyw kä kän tób karapee t'aah yt sooh do pong jó. 
MAT.2.10	Tak'ëp mä ratsebee bong sagõõh rabahapäh bä kä. 
MAT.2.11	Ti m' tób gó rabajëë p'ëë bä kä rabawyyd kän mä karapee Marija moo gó kä. Ti m' rabehyy b'ëëh tũũ sa taron nu paa me karapee t'aah wë. Ti m' rawehëë kän ta hã. Ti m' raban'oo däk ta hã ta matym n'aa tak'ëp hanäm doo, ky n'aa gebah doo. K'ããts tëg gabarëëh do s'ëëb, b'aa täg buu benyym do s'ëëb in-sijẽẽn häd näng doo, b'aa täg buu benyym do s'ëëb miir häd näng do raban'oo kän ta matym n'aa. 
MAT.2.12	Ti m' sa s'ëë gó kä P'op Hagä Do maher'oot ranabaaj hõm hyb n'aa Eróts magä doo me, Eróts ramanaher'oot hyb n'aa. Ti m' ta tyw n'aa see me m' rababaaj hõm kän sa häj n'aa hẽnh. 
MAT.2.13	Ti m' sagõõh ma kamahet'ëëk do ratsyym kasok do jawén paa bä, Tak'ëp Hyb N'aa Jawyk Do ããs kasee mä Joséh hã ta s'ëë gó. Ti m' ta s'ëë gó taky hadoo ta hã:
MAT.2.13	—As'ëëg g'ëëd! —näng mäh. —Mamahũũm wäd karapee t'aah ta ỹỹn daheeh Esit häj n'aa hẽnh, t'ĩĩ hẽnh bë kejën hõm hyb n'aa. Eróts mejũũ da resoos karapee t'aah tadaj'ëëp hyb n'aa. Ti hyb n'aa da Esit bä bë ayyw dó, õm ỹ maher'oot bä kä da mabana —näng mä ããs kyyh Joséh hã.
MAT.2.14	Ti m' nayyw hẽ Joséh ty gawëëj däk. Ti m' atsëm né hẽ Joséh bado däk karapee t'aah, ti m' karapee ỹỹn daheeh ratsyym kasog kän Esit hẽnh hah'ũũm doo. 
MAT.2.15	Ti m' Esit häj n'aa bä rabajeej kän Eróts bedëp nä bä. Tii d' tawén hadoo P'op Hagä Do kyyh ta ky n'aa rod see her'oot do paa kaja däk hyb n'aa. Hahỹỹ d' mä P'op Hagä Do kyyh ta ky n'aa rod erih do paah: “Ỹ naëëj wät tah ỹỹ, Esit bä naa tabanyyh hyb n'aa”,
MAT.2.16	Ti m' Eróts h'yy kadaw'uuh sagõõh ky n'aa ma kamahet'ëëk do rawadii doo. Ti hyb n'aa tak'ëp mä takawajããn. Ti m' tamejũũ mä radej'ëëp hyb n'aa Berẽnh panang bä, panang nedaa bä na-ããj hẽ, sahõnh hẽ karepé ajyy pawóp hẽ ta baab n'aa hedo padëëk doo, ti yd jé ta baab n'aa hedoo do na-ããj hẽ. Tii d' tawén d'oo, pawóp däg mä ta baab sagõõh ky n'aa ma kamahet'ëëk do pooj jé rabahapäh sagõõh karapee henäng do heen n'aa ganyyh doo.
MAT.2.17	Tii d' né kä m' kaja däk P'op Hagä Do kyyh ta ky n'aa rod Jeremiij häd näng do erih do paa kä. Hahỹỹ da paa m' ta kyyh:
MAT.2.18	“Panang Rama
MAT.2.18	Tak'ëp h'yy kat'oon do sa kyyh ji maa napäh da.
MAT.2.18	Rakéw panaa kyyh né hẽ tii, sa taah p'ãã 'oot doo.
MAT.2.18	Dooh wäd sa taah. Ti hyb n'aa dooh rakarẽn bä ta wób rah'yyb enäw bä sa hã”,
MAT.2.19	Ti m' Eróts dajëp do jawén paa bä, ta s'ëë gó m' ããs kas'ee wät Joséh hã. 
MAT.2.20	Hahỹỹ da ããs kyyh ta hã:
MAT.2.20	—As'ëëg g'ëëd! —näng mäh. —Mamabaj hõm karapee t'aah ta ỹỹn daheeh Isaraéw häj n'aa hẽnh kä. Dejëp karapee majĩĩ —näng mäh.
MAT.2.21	Ti m' Joséh bas'ëëg gëët mäh, tado däk karapee t'aah, ti m' karapee ỹỹn daheeh ratsyym kasog kän Isaraéw häj n'aa hẽnh hah'ũũm doo. 
MAT.2.22	Ti m' Joséh ky n'aa napäh bä Akeraw häd näng do bag'ããs mä Judah häj n'aa
MAT.2.23	Ta tii bä, panang Nasaréh häd näng do bä rabajeej kän. Tii b' mä kaja kän hahỹ P'op Hagä Do ky n'aa rod raher'oot do paa P'op Hagä Do ky däng do ky n'aa hã: “Ramaneëënh da Nasaréh buuj”, näk paa sa kyyh.
MAT.3.1	Ti m' ta see pé noo gó, nu gemuun do paah, Jowãw häd näng do bahõm kän Judah häj n'aa bä tabanawäng hẽnh. T'ĩĩ hẽnh mä tamaher'oot maa new'ëë do sa hã P'op Hagä Do kyyh. 
MAT.3.2	Hahỹỹ d' mä ta kyyh:
MAT.3.2	—Edaa däk hỹ pong jé hawät do ji tabag'ããs doo. Ti hyb n'aa bë eréd hõm nesaa doo, P'op Hagä Do wë bë h'yy kawareem hyb n'aa —näng mä Jowãw kyyh.
MAT.3.3	Jowãw né hẽ ti aj'yy ta ky n'aa P'op Hagä Do ky n'aa rod Isajas häd näng do her'oot do paa hahỹ tabaher'oot noo gó:
MAT.3.3	“Hahỹỹ da tabanawäng bä her'oot do kyyh:
MAT.3.3	Bë tyw n'aa bak'ood däg da Tak'ëp Hyb N'aa Jawyk Doo.
MAT.3.3	Baad ub da bë tyw n'aa daj'aah”,
MAT.3.4	Jowãw saroor mä kameer wii s'ëëb, ta pan'aa. Ta baa wyd paa m', ta byyh. Sabakar paa m' tawëh ta tä, mabaa bëëh paa m' ta waa. 
MAT.3.5	Ti m' hajõk Jerusarẽnh babuj n'aa, Judah häj n'aa buuj, tamii Joradãn nabyy me habong do na-ããj né hẽ m' rabahõm Jowãw wë. 
MAT.3.6	Nesaa do rakawoom bä, Jowãw nu gemuun hõm tamii Joradãn häd näng doo me.
MAT.3.7	Ti m' hajõk Pariséw ramaneëënh doo, hajõk Saduséw ramaneëënh do na-ããj hẽ ta wë, tanu gemuun doo bä rabana Jowãw bahapäh bä, taky hadoo mä sa hã:
MAT.3.7	—Aw'yy p'yym näng do taah hadoo bëëh! —näng mäh. —Nyy da bë ed'oo bë kejën nesaa do bë hã P'op Hagä Do banoo do mahǟnh? J'ooj madäk doo me bë ed'oo bë nu kemuun nesaa do mahǟnh? 
MAT.3.8	Taw'ããts hẽ pooj jé bë metäh te hub tado bä nesaa do bë eréd hõm bä. Bë metäh hanäm do bë moo bok do hã. 
MAT.3.9	Bë daab yb manä Abaraãm panaa bë hanäk do hã. Bë edoo manäh: “Ãã P'op Hagä Do gadoo Abaraãm panaa ãã bahadoo do hyb n'aa.” P'op Hagä Do karẽn bä tahajaa hahỹ pä tawareem bä, Abaraãm panaa rado padäg bä —näng mäh. 
MAT.3.10	—Edaa däk h'yy kawanereem do P'op Hagä Do ky n'aa etyy doo. Aj'yy myym joom kóm pa tadahëë däk do tabagëëm hyb n'aa hadoo tii. Sahõnh hẽ joom tëëg neaak do tagëëw jat da, ti tabaju hõm da —näng mä Jowãw kyyh.
MAT.3.11	Ti m' Jowãw ky hadoo ẽnh:
MAT.3.11	—Ỹ ti hỹỹh, bë ỹ nu gemuun naëng me, baad hadoo do wë bë h'yy kawareem do metëë n'aa. Ti awät da jawén ỹỹ tak'ëp hyb n'aa jawyk do bahǟnh ỹỹ. Hã ỹỹ, ỹ hyb n'aa sakog its ta hã. Ti hyb n'aa dooh ỹ haja bä ta tsyym suun ỹ patsä bä —näng mäh. —Tii kä P'op Hagä Do Sahee tabajëë suun bë h'yyb tym gó, bë tah'yyb mahũũm hyb n'aa. Tëëg hõõ hadoo doo me bë d' tametyy baad tabanäw däk hyb n'aa bë h'yyb tym —näng mäh. 
MAT.3.12	Tsyt hẽ tabetyn hõm da P'op Hagä Do karẽn do moo heb'ook doo, tsyt hẽ ta wób. P'op Hagä Do karẽn do moo b'ook doo, banäm doo hẽnh tabetyn hõm, tabanesaa hẽnh ta wób, aj'yy ta nahëë me tetyn hõm do hadoo tiriig ta bóg mahǟnh. Ta joom ag tiriig tabataa ta tób n'aa yt hã. Ta bóg taju toonh tëëg hõõ me, nadëëk doo me —näng mä Jowãw kyyh Kristo ky n'aa hã. 
MAT.3.13	Ti m' ti noo gó Garirej häj n'aa bä naa Jesus bawëënh tamii Joradãn häd näng doo hẽnh, Jowãw nu gemuun hyb n'aa. 
MAT.3.14	Ti m' Jowãw geǟm paawä, ti m' taky hadoo:
MAT.3.14	—Hëd n'aa wë ỹ mabana õm ỹ nu gemuun hyb n'aa? Ỹ paawä ti manu gemuun —näng mä Jowãw kyyh.
MAT.3.15	Ti m' Jesus ky hadoo ta hã:
MAT.3.15	—Taw'ããts hẽ ta tii da dó. Ỹ manu gemuun né hẽ. Taw'ããts hẽ ër bad'oo sahõnh hẽ ër hã P'op Hagä Do karẽn doo —näng mäh.
MAT.3.15	Ti m' tii d' taky hadoo do hyb n'aa m', Jowãw nu gemuun kän Jesus.
MAT.3.16	Jesus nu kemuun wät do jawén paa bä, nayyw hẽ tabanyyh tame naa. Tabanä sii hẽ m' wë kabasëëts hõm. Ti m' tahapäh mä P'op Hagä Do Sahee ahyng mä ta wë. Gurii-i bahyng doo da P'op Hagä Do Sahee bahyng. Ta hã m' tabadäng. 
MAT.3.17	Ti m' hỹ pong jé naa tamaa ena kän P'op Hagä Do kyyh. Hahỹỹ da m' ta kyyh:
MAT.3.17	—Hahỹ tah ỹỹ, tak'ëp ỹ kamahǟn up doo. Baad ỹ h'yy gadajang tan'oo bä —näng mäh.
MAT.4.1	Ti m' P'op Hagä Do Sahee mahũũm kän Jesus tabanawäng hẽnh, rabanabok hẽnh, Dijab metyy hyb n'aa Jesus. 
MAT.4.2	Ti m' 40 ta ǟ noo gó dooh m' Jesus awa bä, dooh m' tawëë bä. Ti jawén mä Jesus basa däk. 
MAT.4.3	Tii bä Dijab, ji h'yyb tahet'uuk doo, ana ta wë, ti m' taky hadoo:
MAT.4.3	—P'op Hagä Do T'aah mado bä, —näng mäh —mamejõ hahỹ pä rakawereem padëëk pãw —näng mäh.
MAT.4.4	Ti m' Jesus ky hadoo:
MAT.4.4	—Dooh. Hahỹỹ da P'op Hagä Do kyy kerih doo: “Ji waa hã had'yyt nado ji bedëp. Sahõnh hẽ P'op Hagä Do kyyh hyb n'aa ji bedëb heh'äät”
MAT.4.5	Ti m' Jesus Dijab mahũũm kän Jerusarẽnh hẽnh, panang tsyt hẽ P'op Hagä Do wë kasëëw däk doo hẽnh. Ti m' tabatsyyd hõm P'op Hagä Do tób n'aa jó p'op nu däk doo hẽnh tabasëëk hyb n'aa. Ti m' taky hadoo:
MAT.4.6	—P'op Hagä Do T'aah mado bä, —näng mäh —keréd hyy tũũ. Hahỹỹ da P'op Hagä Do kyy kerih doo —näng mä Dijab kyyh: “P'op Hagä Do mejũũ da ta ããs, baad õm rabahag'ããs hyb n'aa. Õm da ragadoo p'op pä hã a tsyym taganadas hyb n'aa”,
MAT.4.7	Ti m' Jesus ky gadoo:
MAT.4.7	—Hahỹỹ da na-ããj hẽ P'op Hagä Do kyy kerih doo: “Mamety manä P'op Hagä Doo, a hagã n'aa”
MAT.4.8	Ti m' Jesus Dijab masäk waëë p'op nu däk do jó. Tii b' naa m' tametëëh ta hã sahõnh hẽ badäk hahỹỹ hã hanäng do häj n'aa rabag'ããs doo, sahõnh hẽ hanäm doo, hetsooh do badäk hahỹỹ hã hanäng do na-ããj hẽ. 
MAT.4.9	Ti m' taky hadoo ta hã:
MAT.4.9	—Sahõnh hẽ ta ti ỹ anoo da a hã, wë ỹỹ, tũũ a taron nuu me ỹ mawehëë bä —näng mä Dijab kyyh.
MAT.4.10	Ti m' Jesus ky hadoo:
MAT.4.10	—Ahõm mahǟnh ỹỹ, Nesaa Do Yb! —näng mäh. —Hahỹỹ da P'op Hagä Do kyy kerih doo: “Jããm hẽ P'op Hagä Doo, bë hagã n'aa, bë wehëë. Jããm hẽ ta ti bë hyb n'aa jew'yyk, bë ky daheeh”,
MAT.4.11	Ti m' Dijab bahõm kän Jesus mahǟnh. Ti m' ããs rabana, rahag'ããs mä Jesus, ranoo mä ta hã ta waa kä.
MAT.4.12	Ti m' Jowãw nu gahem'uun do radawäts gëët do Jesus ky n'aa napäh bä m', tababaaj hõm kän mä Garirej häj n'aa hẽnh. 
MAT.4.13	Ti m' panang Nasaréh bä tabaym dó jawén paa bä m', takahỹỹd gä panang Kapar-Naũm häd näng doo hẽnh. Karaj'aa Garirej häd näng do nabyy me Kapar-Naũm badäk, Seburũn, Napatawi sa häj n'aa bä.
MAT.4.14	Tii da tawén d'oo, P'op Hagä Do ky n'aa rod Isajas häd näng do her'oot do paa takaja däk hyb n'aa. Hahỹỹ d' paa m' Isajas kyyh:
MAT.4.15	“Seburũn, Napatawi häj n'aa babuuj,
MAT.4.15	karaj'aa nabyy me, tamii Joradãn tamyyj däk hã badäk do buuj.
MAT.4.15	Garirej sa häj n'aa häd, hajõk do Judah buuj nadoo do rabaj'eenh bä.
MAT.4.16	Ta tii bä, gadagyp do hadoo doo gó habok doo, P'op Hagä Do nahap'ëëh doo,
MAT.4.16	rahapëë däg kän ta bag ty eh do hadoo doo.
MAT.4.16	Dajëb bawät bä habok do sa hã ganä wät ta bag”,
MAT.4.17	Ti m' ti noo gó Jesus du do däk tamaher'oot sahõnh hẽ sa hã. Hahỹỹ d' mä ta kyyh:
MAT.4.17	—Edaa däk hỹ pong jé hawät do ji tabag'ããs doo. Ti hyb n'aa bë eréd nesaa doo, P'op Hagä Do wë bë h'yy kawareem hyb n'aa —näng mä Jesus kyyh.
MAT.4.18	Ti m' karaj'aa Garirej häd näng do nabyy me Jesus bawät bä m', tabahapäh mä pawóp hẽ ajyy. Simaw, Peed ramaneëënh doo, ta hỹỹj Ãn-Deréh daheeh. Tah'ỹỹb mä res'aak karahi me. Tah'ỹỹb sag né hẽ m' tii. 
MAT.4.19	Ti m' Jesus ky hadoo sa hã:
MAT.4.19	—B'ëëp bë ana, si ỹỹ bë abooh. Tah'ỹỹb sag nado boo da bë hỹỹ kä. Ajyy, ỹỹj sag hadoo da bë hỹỹ kä P'op Hagä Do hã rah'yy ka'eeh hyb n'aa —näng mä ta kyyh.
MAT.4.20	Ti m' nayyw hẽ m' raberéd hõm karahi. Ah'ũũm kän mä ta sii.
MAT.4.21	Ti bahǟnh mä Jesus bahapäh ajyy Tsijaag, Jowãw daheeh, Sebedew häd näng do taah. Marakate gó m' rabat'oonh, sa yb mä sa hata. Karahi m' renäm. Ti m' Jesus bats'yyt ta sii rabahõm hyb n'aa. 
MAT.4.22	Ti m' nayyw hẽ m' ragatsëg n'yyh pong hẽnh. Ti m' raberéd hõm sa yb, marakate. Ti m' Jesus sii rabahõm kän mäh.
MAT.4.23	Ti m' jé pad'yyt hẽ Garirej häj n'aa bä, tób P'op Hagä Do panyyg rayd naherot do yt hã, Jesus ma metëëk mäh, tamaher'oot mä sa hã P'op Hagä Do ji tabag'ããs do ky n'aa hanäm doo. Jé pad'yyt hẽ m' tabaheso hõm sahõnh hẽ sa nahëëh. Tabaheso hõm na-ããj hẽ h'yyb nahejooj padëëk do nahëë haj'aa. 
MAT.4.24	Ti hyb n'aa, Sirija häd näng do häj n'aa bä na-ããj hẽ raky n'aa napäh mä Jesus mo haj'aa hã. Ti hyb n'aa ramena kän ta wë nahëë enäh doo. Hajõng mä ramenaa do sa nahëëh. Tak'ëp datés do hahoop do ta wób, karap'aar h'yyb nesaa do pahadëëk do ta wób, mera do kaj'uun do ta wób, nabong do ta wób. Ta ti sahõnh hẽ sa nahëë Jesus hahëën hõm mäh. 
MAT.4.25	Hajõk mä Jesus jawén hah'ũũm. Ta s'ee hẽnh naa m' hena ta jawén hah'ũũm doo. Garirej häj n'aa bä naa m' ta wób, Dekaporis häd näng do häj n'aa hẽnh naa ta wób, Jerusarẽnh bä naa m' ta wób, Judah häj n'aa bä naa m' ta wób, hëëj Joradãn häd näng do tamyyj däk hẽnh naa m' ta wób kä.
MAT.5.1	Ti m' hajõk do ta jawén han'aa do Jesus bahapäh bä m', tabasëëk waëë hã m', ti m' tabahyy sooh. Ti m' ta ma metëëk do rabana ta wë, 
MAT.5.2	ti m' tadu doo tama metëëk do sa hã. Hahỹỹ d' mä ta kyyh:
MAT.5.3	—P'op Hagä Do ky n'aa edëng sa hã hẽ daab na'yyp doo, sa h'yyb gó jããm hẽ P'op Hagä Do hã daab 'yyp doo. Rawén ky n'aa kedëng, hỹ pong jé hawät do bag'ããs do karapee rabahadoo do hyb n'aa.
MAT.5.4	—Ky n'aa kedëng da jé ha'oot do hah'oop doo, P'op Hagä Do h'yyb en'yym do hyb n'aa da sa hã.
MAT.5.5	—P'op Hagä Do ky n'aa edëng kaja hẽ sa h'yyb mahũũm doo, sa hejój hã h'yy kana'eeh doo. Rawén ky n'aa kedëng, hëëj papuuj
MAT.5.6	—P'op Hagä Do ky n'aa edëng takarẽn doo da ji bawät do hã tak'ëp h'yyb pad'ëëk doo. Rah'yyb pahadëëk do kan'oo däk da sa hã.
MAT.5.7	—P'op Hagä Do ky n'aa edëng ta wób t'yyd mehĩĩn doo. P'op Hagä Do t'yyd mehĩĩn da sa hã kä.
MAT.5.8	—P'op Hagä Do ky n'aa edëng baad hedoo do had'yyt hẽ h'yyb enäh doo. Ky n'aa kedëng da tii, rahapäh do hyb n'aa da P'op Hagä Doo sa matym me.
MAT.5.9	—P'op Hagä Do ky n'aa edëng h'yyb nyyw gó habok do du n'aa doo. Ta ti hedoo doo ramaneëënh da P'op Hagä Do taah.
MAT.5.10	—P'op Hagä Do ky n'aa edëng da P'op Hagä Do karẽn do ramoo bok do hyb n'aa rarahejãã do hah'oop doo. Rawén ky n'aa kedëng, hỹ pong jé bag'ããs do karapee rabahadoo do hyb n'aa da.
MAT.5.11	—Ky n'aa kedëng bëëh, hëp ỹ n'aa bë raky n'aa rejã bä, bë rarahejã bä, daap hẽ nesaa do bë ky n'aa ran'oo bä. 
MAT.5.12	Baad had'op do P'op Hagä Do anoo da bë hã ta säm hỹ pong jé. Ti hyb n'aa da bë h'yy gadejah, bë tsebee da, tii d' bë hã radoo bä né paawä! Tii d' né paa sa wahë makũ rabad'oo P'op Hagä Do ky n'aa rod sa hã, rarahejãã né paa sa hã —näng mä Jesus.
MAT.5.13	Ti m' Jesus ky hadoo:
MAT.5.13	—Jukiir hadoo bëëh, badäk hahỹỹ hã habong do sa mahang.
MAT.5.14	—Badäk hahỹỹ hã habong do sa bag hadoo bëëh. Dooh ji haja bä ji jejën bä panang waëë jó badäk doo. 
MAT.5.15	Dooh ta bag ji gataa so bä ji waa hood yt hã ji dasooh hyb n'aa. Dooh. Ta bag ji dasooh ta tyng jó, sahõnh hẽ tób yt hã haj'eenh do rabag enä hyb n'aa. 
MAT.5.16	Ti hadoo ẽnh bë hã. Bë metäh, rabahapäh hyb n'aa, baad hedoo do bë babok doo, baad hadoo do bë moo bok doo, bë Yb hỹ pong jé hawät do hã raj'aa etsë hyb n'aa kä bë hã rahapäh do hyb n'aa —näng mä Jesus. 
MAT.5.17	Ti m' Jesus ky hadoo:
MAT.5.17	—Ỹ ahyng babä ỹ gawats'iik hyb n'aa nado P'op Hagä Do ky n'aa jaw'yyk doo, P'op Hagä Do ky n'aa rod rerih do paa na-ããj hẽ. Tii d' bë edoo manäh. Ỹ wén hyng P'op Hagä Do ky n'aa jaw'yyk doo, P'op Hagä Do ky n'aa rod rerih do paa na-ããj hẽ, takaja däk hyb n'aa, hã ỹ kametëëh hyb n'aa na-ããj hẽ. 
MAT.5.18	Baad bë ỹ maher'oot. Wë, badäk hahỹ hëëj bawät nä bä, P'op Hagä Do ky n'aa jaw'yyk do dooh tagawatsig bä. Dooh ta bód had'os pé gawatsik péh, sahõnh hẽ ta hã kerih do kametëëh bä kä. Né hup ỹ né hẽ ta ti ỹ her'oot doo —näng mäh. 
