MAT.1.1	Disi na den afo fu Yesus Kristus. Yesus ben de wan bakapikin fu David, nanga fu Abraham.
MAT.4.3	Dan didibri go tesi Yesus. A taigi En taki: “Efu Yu na a Manpikin fu Gado, taigi den ston disi fu den tron brede.”
MAT.4.4	Ma Yesus piki en taki: “A skrifi taki:
MAT.4.4	Wan sma no sa libi
MAT.4.4	fu brede wawan,
MAT.4.4	ma fu ala wortu di Gado e taki.” 
MAT.4.5	Baka dati didibri tyari Yesus go na a santa foto Yerusalem, dan a poti En tnapu na a lantyi fu a daki fu a mamakerki fu den Dyu. 
MAT.4.6	A taigi En taki: “Efu Yu na a Manpikin fu Gado, trowe Yusrefi go na gron. Bika a skrifi taki:
MAT.4.6	Gado sa seni den engel fu En
MAT.4.6	fu tyari Yu na tapu den anu,
MAT.4.6	fu Yu no stotu Yu futu
MAT.4.6	na wan ston.” 
MAT.4.7	Ma Yesus piki en taki: “A skrifi tu taki: Yu no mus tesi Masra yu Gado.” 
MAT.4.8	Te fu kba didibri tyari Yesus go tapu wan bun hei bergi. A sori En ala den kondre fu grontapu, nanga a gudu fu den. 
MAT.4.9	Dan a taigi En taki: “Mi sa gi Yu ala den sani dati, efu Yu fadon tapu Yu kindi fu anbegi mi.”
MAT.4.10	Ne Yesus piki en taki: “Kmoto na Mi tapu, Satan! Bika a skrifi taki:
MAT.4.10	Yu mus anbegi Masra yu Gado,
MAT.4.10	èn na En wawan yu mus dini.” 
MAT.4.11	So didibri gwe libi Yesus. Ne engel kon sorgu gi En.
MAT.4.12	Di Yesus yere tak' den poti Yohanes a Dopuman na ini straf'oso, A go na a distrikti Galilea. 
MAT.4.13	A no tan ini Nasaret, ma A go libi ini Kafarnaum di ben de sei a Meer fu Galilea, ini a kontren fu den bakapikin fu Sebulon nanga Naftali. 
MAT.4.14	Na so a sani san a profeiti Yesaya ben taki kon tru. 
MAT.4.15	A ben taki:
MAT.4.15	Un arki,
MAT.4.15	sma fu Sebulon nanga Naftali,
MAT.4.15	di e libi na a pasi di e go na se,
MAT.4.15	ini a kontren di de na a tra sei
MAT.4.15	fu a Yordanliba,
MAT.4.15	un sma fu Galilea,
MAT.4.15	pe furu sma e tan di no de Dyu:
MAT.4.16	Unu di e libi na ini dungru,
MAT.4.16	si wan bigi faya.
MAT.4.16	Unu di e libi ini a kondre
MAT.4.16	pe un de fu dede,
MAT.4.16	wan faya opo kon gi unu.
MAT.4.17	Bigin fu a ten dati, Yesus bigin taigi den sma taki: “Un drai un libi, bika her'esi Gado o bigin tiri libisma.” 
MAT.4.18	Di Yesus ben e waka na a syoro fu a Meer fu Galilea, A si tu fis'man di ben e fisi nanga den tyasneti. Den tu man disi ben de brada. A wan ben nen Simon, di den sma ben e kari Petrus, èn a trawan ben nen Andreas. 
MAT.4.19	Yesus taigi den taki: “Un kon waka nanga Mi, dan Mi o meki un tron fis'man fu libisma.” 
MAT.4.20	Wantron den man poti den tyasneti na wan sei, dan den bigin waka na Yesus baka.
MAT.4.21	Di den waka pikinso moro fara, Yesus si tu tra brada, Yakobus nanga Yohanes. Den ben de ini wan boto nanga den p'pa Sebedeus e lapu den tyasneti. Dan Yesus kari den. 
MAT.4.22	Wantron den libi a boto nanga den p'pa, dan den bigin waka na Yesus baka.
MAT.4.23	Yesus waka ini heri Galilea, èn A gi den sma leri ini den Dyukerki. A ferteri den sma a Bun Nyunsu tak' Gado o bigin tiri libisma, èn A dresi ala sortu siki di den sma ben abi. 
MAT.4.24	Dan a nyunsu fu Yesus panya go te na ini heri Siriakondre. So den tyari ala sma di ben siki tranga kon na Yesus: sma nanga ala sortu siki nanga hebi skin-ati, sma nanga takruyeye na den tapu, nanga sma di ben e kisi stoipi. Srefi sma di ben lan den ben tyari kon na Yesus. Dan Yesus meki ala den sma dati kon betre. 
MAT.4.25	Bun furu sma ben e waka na Yesus baka: sma fu Galilea, sma fu Dekapolis, sma fu Yerusalem, sma fu Yudea, nanga sma fu a tra sei fu a Yordanliba.
MAT.5.1	Di Yesus si ala den sma di ben e waka na En baka, A kren go sidon tapu wan bergi. Dan den sma di ben e teki leri fu En teki presi lontu En. 
MAT.5.2	Dan Yesus bigin leri den taki:
MAT.5.3	“Blesi de tapu den sma
MAT.5.3	di kon si
MAT.5.3	tak' den abi Gado fanowdu,
MAT.5.3	bika A e tiri den leki Kownu.
MAT.5.4	Blesi de tapu den sma
MAT.5.4	di e sari,
MAT.5.4	bika Gado sa trowstu den. 
MAT.5.5	Blesi de tapu den sma
MAT.5.5	di abi sakafasi,
MAT.5.5	bika heri grontapu sa de fu den. 
MAT.5.6	Blesi de tapu den sma
MAT.5.6	di abi wan tranga angri
MAT.5.6	fu de bun ini Gado ai,
MAT.5.6	bika A sa gi den san den wani. 
MAT.5.7	Blesi de tapu den sma
MAT.5.7	di abi sari-ati nanga trawan,
MAT.5.7	bika Gado sa abi sari-ati
MAT.5.7	nanga den.
MAT.5.8	Blesi de tapu den sma
MAT.5.8	di e dini Gado wawan,
MAT.5.8	bika den sa si En. 
MAT.5.9	Blesi de tapu den sma
MAT.5.9	di e tyari freide kon
MAT.5.9	na trawan mindri,
MAT.5.9	bika Gado sa kari den En pikin.
MAT.5.10	Blesi de tapu den sma
MAT.5.10	di trawan de na den baka
MAT.5.10	fu du den ogri
MAT.5.10	fu di den bun ini Gado ai,
MAT.5.10	bika A e tiri den leki Kownu. 
MAT.5.11	Blesi de na yu tapu te sma e broko yu saka, te den de na yu baka fu du yu ogri, èn te den e lei taki ala sortu takru fu yu, fu di yu e waka na Mi baka. 
MAT.5.12	Yu mus prisiri, yu mus breiti, bika wan bigi pai e wakti yu na heimel. Bika na so den ben du nanga den fosten profeiti tu.” 
MAT.5.13	“Yu de leki sowtu gi den sma na grontapu. Ma efu sowtu lasi en tesi, fa a o kon sowtu baka? Yu no man du noti moro nanga en, dan fu trowe en gwe meki sma waka na en tapu. 
MAT.5.14	Yu de leki wan faya gi den sma na grontapu. Wan foto di de na tapu wan bergi no kan tan kibri. 
MAT.5.15	Yu no e leti wan kokolampu, dan yu e poti en ondro wan embre. Ma yu e poti en tapu wan tafra fu a gi faya na ala sma ini a oso. 
MAT.5.16	Na so a faya fu yu mus de fu si gi trawan, fu den kan si den bun wroko fu yu. Dan den o gi yu P'pa na heimel bigi nen.” 
MAT.5.17	“Yu no mus prakseri tak' Mi kon fu poti a wèt nanga den sani di den profeiti skrifi na wan sei. Mi no kon fu poti den na wan sei, ma Mi kon fu du san den e taki. 
MAT.5.18	Bika fu tru Mi e taigi un taki: Solanga heimel nanga grontapu sa de, no wan pikin pisi fu san skrifi ini a wèt sa puru. Ala san skrifi sa psa. 
MAT.5.19	Dat' meki a sma di e poti a moro pikin pisi srefi fu den wèt na wan sei, dan a e leri trawan fu du a srefi sani, a sma dati sa kisi a moro lagi presi na mindri den sma di Gado e tiri. Ma a sma di e du san den wèt e taki, èn a e leri trawan fu du a srefi sani, sa kisi wan hei presi na mindri den sma di Gado e tiri. 
MAT.5.20	Bika Mi e taigi un taki: Efu yu no e libi moro bun ini Gado ai moro den sabiman fu Gado wèt nanga den Fariseiman, dan noiti yu o man tron wan sma di Gado e tiri.”
MAT.5.21	“Un yere tak' a wèt fu Moses leri den bigisma fu unu taki: ‘Un no mus kiri wan tra sma,’ èn owktu taki: ‘Krutubakra sa leisi strafu gi a sma di du a sani dati.’ 
MAT.5.22	Ma Mi e taigi un taki: Suma ati e bron nanga en brada, sa fadon ini anu fu krutubakra. A sma di sa kari en brada ‘don kaw,’ o fadon ini anu fu a grankrutu, èn a sma di sa kari en brada ‘lawman,’ o feni ensrefi te ini a faya fu hel. 
MAT.5.23	Dat' meki efu yu e tnapu fesi a altari fu tyari wan offer gi Gado, ma yu memre tak' yu brada abi wan sani nanga yu, 
MAT.5.24	libi a offer let' drape dan yu go meki en bun nanga yu brada. Baka dati yu kan drai kon baka fu tyari a offer gi Gado.
MAT.5.25	Efu wan sma di abi wan sani nanga yu, e tyari yu go na krutu, dan yu mus meki muiti fu meki en es'esi bun nanga en fosi un doro drape. Bika te un doro drape a sa gi yu abra na a krutubakra. Dan a dati sa gi yu abra na skowtu, di sa poti yu na ini straf'oso. 
MAT.5.26	Fu tru Mi e taigi yu taki: Yu no o kmoto drape solanga yu no pai te nanga a laste koprosensi.”
MAT.5.27	“Un yere tak' a skrifi taki: ‘Yu no mus huru.’ 
MAT.5.28	Ma Mi e taigi un taki: A sma di luku wan uma nanga a prakseri tak' a wani en, huru na ini en ati nanga a uma dati kba. 
MAT.5.29	Dat' meki efu yu let' ai meki yu sondu, diki en puru dan yu trowe en gwe. Bika a moro bun gi yu tak' wan pisi nomo fu yu skin e lasi, dan tak' yu feni yusrefi nanga yu heri skin ini hel. 
MAT.5.30	Efu na yu let'anu meki yu sondu, kapu en puru dan yu trowe en gwe. Bika a moro bun gi yu tak' wan pisi nomo fu yu skin e lasi, dan tak' yu feni yusrefi nanga yu heri skin ini hel.” 
MAT.5.31	“A skrifi tu taki: ‘Wan man di e prati nanga en frow, mus gi en wan brifi di e sori tak' a trow broko.’ 
MAT.5.32	Ma Mi e taigi un taki: Wan man no mus broko trow nanga en frow sondro tak' a frow ben huru gi en. Efu a man du dati, a e meki tak' a frow libi wan huru libi efu a trow baka, èn a e meki a man di trow nanga en libi wan huru libi tu.” 
MAT.5.33	“Un yere tu tak' a wèt fu Moses leri den bigisma fu unu taki: ‘Yu no sa broko wan sweri di yu meki, ma yu sa du san yu sweri gi Masra.’ 
MAT.5.34	Ma Mi e taigi un taki: Yu no mus meki sweri kwet'kweti. No sweri na heimel, bika heimel na a kownusturu fu Gado. 
MAT.5.35	Yu no mus sweri na grontapu, bika grontapu na a futubangi fu Gado. Yu no mus sweri na Yerusalem, bika Yerusalem na a foto fu a bigi Kownu. 
MAT.5.36	No sweri tu na yu ede, bika yu no kan meki no wan fu yu edewiwiri kon blaka noso weti. 
MAT.5.37	So dan, meki te yu e taki ‘iya,’ a tan ‘iya,’ èn meki te yu e taki ‘no,’ a tan ‘no.’ Bika ala san yu e taki moro leki dati, kmoto fu didibri.”
MAT.5.38	“Un yere tak' a skrifi taki: ‘Efu wan sma naki wan trawan broko en ai, den mus broko a ai fu a sma dati baka. Èn efu wan sma naki wan trawan broko en tifi, den mus broko a tifi fu a sma dati baka.’ 
MAT.5.39	Ma Mi e taigi un taki: No meki trobi nanga a sma di e du yu ogri. Efu wan sma naki yu na a let'sei fu yu fesi, drai a tra sei gi en tu. 
MAT.5.40	Efu wan sma tyari yu go na krutu fu yu empi ede, gi en a dyakti fu yu tu. 
MAT.5.41	Efu wan sma dwengi yu fu tyari a lai fu en wan kilometer,
MAT.5.42	Efu wan sma aksi yu wan sani, gi en san a aksi. Èn efu a wani leni wan sani fu yu, leni en.”
MAT.5.43	“Un yere tak' a skrifi taki: ‘Yu mus lobi yu mati, èn yu mus hori yu feyanti na ati.’ 
MAT.5.44	Ma Mi e taigi un taki: Lobi yu feyanti, èn begi gi den sma di de na yu baka fu du yu ogri. 
MAT.5.45	Dan so yu sa de wan trutru pikin fu yu P'pa di de na heimel. Bika A e meki a son opo gi den sma di e du ogri, nanga gi den sma di e du bun. A e meki alen kon gi den sma di bun ini En ai, nanga den sma di no bun ini En ai. 
MAT.5.46	Bika efu yu lobi soso den sma di lobi yu, sortu pai yu abi? Bika srefi den man di e piki edemoni e du dati. 
MAT.5.47	Efu yu e gi odi soso na den sma nanga san yu de bun, dan na wan aladei sani yu e du. Den sma di no sabi Gado e du a srefi sani. 
MAT.5.48	Ma yu mus bun dorodoro, soleki fa yu P'pa na heimel bun dorodoro.” 
MAT.6.1	“Sorgu tak' te yu e du tra sma wan bun, yu no e du en fu sma si. Noso yu no abi pai na yu P'pa di de na heimel. 
MAT.6.2	Te yu e gi wan pôtisma wan sani, no du en nanga pranpran. Bika na so den hoigriman e du ini den kerki nanga tapu strati, soso fu sma kan gi den grani. Fu tru Mi e taigi un taki: Den kisi den pai kba. 
MAT.6.3	Ma te yu e gi wan pôtisma wan sani, yu kruktu-anu no mus sabi san yu let'anu e du. 
MAT.6.4	Na so a e tan wan kibri sani. Dan yu P'pa di si san yu du, sa pai yu.”
MAT.6.5	“Te yu e begi, yu no mus de leki den hoigriman. Bika den lobi fu tnapu begi ini den kerki nanga tapu uku fu strati fu sma kan si den. Fu tru Mi e taigi un taki: Den kisi den pai kba. 
MAT.6.6	Ma te yu e begi, go na ini yu kamra èn tapu a doro. Dan yu e taki nanga yu P'pa di no wan sma e si. Ma yu P'pa di e si yu drape, sa pai yu. 
MAT.6.7	Te yu e begi yu no mus begi langabere begi leki den sma di no sabi Gado. Bika den e prakseri tak' te den begi langa, den o kisi san den e aksi. 
MAT.6.8	Yu no mus begi leki den, bika yu P'pa sabi san yu abi fanowdu fosi yu aksi En. 
MAT.6.9	Ma disi na a fasi fa yu mus begi:
MAT.6.9	Wi P'pa di de na heimel,
MAT.6.9	Yu nen mus de santa.
MAT.6.10	Kon tiri wi,
MAT.6.10	meki Yu wani psa na grontapu
MAT.6.10	soleki fa a e psa na heimel.
MAT.6.11	Gi wi tide a nyanyan
MAT.6.11	di wi abi fanowdu.
MAT.6.12	Gi wi pardon fu wi sondu,
MAT.6.12	soleki fa wi e gi trawan pardon
MAT.6.12	di du wi wan sani.
MAT.6.13	No meki tesi kon na wi pasi,
MAT.6.13	ma kibri wi fu didibri.
MAT.6.13	Bika na Yu na a Kownu,
MAT.6.13	èn ala makti nanga ala glori
MAT.6.13	na fu Yu, fu têgo. Amen.
MAT.6.14	Bika efu yu e gi sma pardon di du yu wan sani, yu P'pa na heimel sa gi yu pardon tu. 
MAT.6.15	Ma efu yu no e gi sma pardon, yu P'pa no sa gi yu pardon tu.”
MAT.6.16	Yesus taigi den moro fara taki: “Te yu e faste, yu no mus poti wan sari fesi leki den hoigriman. Bika den e masi den fesi soso fu sma kan si tak' den e faste. Fu tru Mi e taigi un taki: Den kisi den pai kba. 
MAT.6.17	Ma te yu e faste, yu mus wasi yu fesi èn yu mus kan yu wiwiri. 
MAT.6.18	Sma no abi fu sabi tak' yu e faste, ma soso yu P'pa di no wan sma e si. Dan yu P'pa di e si san yu e du na wan kibri fasi, sa pai yu.”
MAT.6.19	“Yu no mus suku gudu dya na grontapu, pe kakalaka e nyan den, pe frustu e meki den pori gwe, èn pe fufuruman kan broko kon ini yu oso, fufuru den. 
MAT.6.20	Ma meki yu gudu de na heimel, pe kakalaka no man nyan den, pe frustu no man meki den pori gwe, èn pe fufuruman no man broko kon ini yu oso, fufuru den. 
MAT.6.21	Bika pe yu gudu de, na drape yu ati o de tu.
MAT.6.22	Yu ai de leki wan lampu di e tyari leti gi yu skin. Efu yu ai krin, yu heri libi o krin. 
MAT.6.23	Ma efu yu ai dungru, dan yu heri libi o dungru. Sobun, efu a sani di mus tyari leti kon gi yu, tyari dungru kon, a no spotu dungru yu libi sa dungru.
MAT.6.24	No wan sma kan wroko gi tu basi. Bika a sa hori a wan na ati, dan a lobi a trawan. Noso a sa lespeki a wan, ma a no teri a trawan. Yu no kan dini Gado makandra nanga den gudu fu grontapu.”
MAT.6.25	“Fu dat'ede Mi e taigi un taki: No broko yu ede nanga san yu o nyan noso dringi fu tan na libi, noso san yu o weri fu tapu a skin. A libi warti moro leki nyanyan, èn yu skin warti moro leki krosi. 
MAT.6.26	Luku den fowru di e frei na loktu. Den no e prani, den no e koti, den no e kibri nyanyan ini maksin. Ma toku un P'pa na heimel e gi den nyanyan. Un no warti moro leki den fowru dan? 
MAT.6.27	Sortu wan fu unu kan meki tak' a e libi pikinso moro langa te a e broko en ede? 
MAT.6.28	Fu sanede yu e broko yu ede nanga krosi? Luku fa den bromki e gro. Den no e wroko èn den no e meki krosi. 
MAT.6.29	Ma Mi e taigi un taki: Wan bigi kownu leki Salomo srefi no ben man weri so moi leki den bromki disi. 
MAT.6.30	We, efu Gado e weri so moi krosi gi a grasi di e gro tide èn tamara sma e bron en, A no sa weri moro moi wan gi yu dan? Fa yu bribi pikin so?
MAT.6.31	Dat'ede yu no mus broko yu ede nanga san yu o nyan, san yu o dringi, noso san yu o weri. 
MAT.6.32	Bika na sma di no sabi Gado e broko den ede nanga den sani disi. Ma yu P'pa na heimel sabi tak' yu abi ala den sani disi fanowdu. 
MAT.6.33	Ma tapu a fosi presi yu mus suku fu de ondro a tiri fu Gado, èn fu libi bun ini En ai, dan A sa gi yu ala den sani disi tu. 
MAT.6.34	So, no broko yu ede nanga a dei fu tamara. Tamara sa abi en eigi broko-ede. Den broko-ede fu wan dei sari kba.”
MAT.7.1	“No krutu trawan, dan trawan no o krutu yu. 
MAT.7.2	Bika tapu a srefi fasi fa yu e krutu trawan, den o krutu yu baka. Èn a srefi marki san yu e teki fu krutu trawan, den o teki fu krutu yu baka. 
