MAT.1.1	Diꞌoraz kuwai idaꞌa kakuwaapa-karu Jesus Christ dokozu-daunnao sakadinan ikiꞌo dauꞌanaꞌo.
MAT.2.5	“Bethlehem ii, Judea Baara iaꞌoraz,” ĩkian uꞌati. “Naꞌapa Tominkaru dyuudan paprophetin saadan udauꞌan. Kaikapaꞌa ukianuꞌu:
MAT.2.6	‘Pugaru Bethlehem, Judah Baara
MAT.2.6	umanawunuꞌo nii, baꞌoran wiizainao naꞌan kidaꞌo ai.
MAT.2.6	Ushaꞌapanum idi puꞌidiꞌikiꞌo nii naobanai niꞌo tominan.
MAT.2.6	Uruu taapaꞌo nii naꞌiki naꞌakapaꞌo nii kaimanaꞌo idaꞌan
MAT.2.6	õpidanannao Israelitenaouz kaznizo taapiki kawan.’”
MAT.2.7	Sariapa King Herod dapada-kidan wuruꞌu tawarainao aitapaabainaouz. Aonaa uaitapa-kao ukadakoinpan ĩtuma. Paꞌidiwaru sodi upishautan ĩdyaun, naꞌapaꞌoram naa ukotuꞌan ĩtukapan wuruꞌu wizi aidinan, naobanai shakatan kainaaribanaaz. Ukauꞌan ĩkowaada uꞌatiz. 
MAT.2.8	Udaunaꞌan udyuudan naa ĩdyaun Bethlehem iti. Ukian ĩꞌati, “Udorotankaꞌa naa wuruꞌu koraidaonaaz. Aizii uikodan donozu, ukowaada paꞌi õꞌati, õmakonaka kizi õkodoruꞌuka kizi uꞌati kapam unaobanain idi.”
MAT.2.9+MAT.2.10	Paabatapaꞌakan daunaꞌan, naꞌapam King Herod kian paꞌati, ĩdobatan naa. Sariapa wuruꞌu ĩtukapauzoniaz wizi aidinan naa ĩꞌati koshan. Uruu idi ukauꞌan ĩkonaukian tuukii. Naꞌiki wuruꞌu wizi makon ĩꞌuaꞌati atii umashaadinan dokoꞌo koraidaonaa mashaapa-kizi kabaun paꞌinamun. 
MAT.2.11	Ĩkaawan kabaun idaꞌati, naꞌiki ĩmorotaꞌakan naa. Uruꞌu naa ĩtukapan naꞌii wuruꞌu koraidaonaaz, padaro Mary tuma. Sariapa ĩkodoruꞌukan ukanaapu ati unaobanain idi. Udaunaꞌan ĩsoꞌotaꞌakan naa panaꞌakapanii kida, gold naꞌiki frankincense naꞌiki myrrh,
MAT.2.12	Udaunaꞌan ĩkiwan panaꞌanaꞌa naa pawaꞌati-kizi ai, aonaa ĩmakouaꞌakan King Herod idaꞌan. Ĩshaꞌapainapanuz kaikapaꞌa Tominkaru kakinaowan idiꞌo pazandaꞌawun ii ĩdyaun.
MAT.2.13	Tawarainao kiwaꞌakan daunaꞌan, Tominkaru dyuudan angel kakuwaapaꞌanan Joseph ati uzandaꞌawun ii. Ukian uꞌati, “Pumako kai, punaꞌaka wuruꞌu koraidaonaaz padaro tuma, pukidoapa-kida ĩdyaun Egypt iti. Ushaꞌapanum kauꞌan Herod dorotapa-kidaꞌazon naa wuruꞌu koraidaonaaz naꞌiki uzowii-kidaꞌazoonuz. Punaꞌii paꞌi atii õdapada-kidan an zii pugaru powaa ati.” 
MAT.2.14	Joseph pokodaꞌakan, unaꞌakan naa wuruꞌu koraidaonaaz padaro tuma Egypt iti. 
MAT.2.15	Naꞌii ĩmashaapan atii Herod mawakan. Wuruꞌu naꞌapaꞌoraz shaꞌapan Tominkaru Paradan mishiinan, ukianuz paprophetin idaꞌan: “Õdapadan õDani Egypt iki.”
MAT.2.16	Aizii Herod aitapankan naa naꞌapam tawarainao, waoko ikiinaouz mariidan paugaru, ĩmakiwakan idi powaa an paꞌidaꞌan, tuukii utoꞌoran. Uruu idi udyuudan pasoldyaannao zowian ipai daonaioranao sodi kida dyaꞌutam wunu kidainao naꞌiki awutapainao ĩwunun kida, ipai Bethlehem iainao naꞌiki maonapa kidaꞌo ĩmashaapan. Ushaꞌapainpan kaikapaꞌa, ushaꞌapanum kauꞌan aitapaabainao tawarainao waoko ikiinaouz kowaadan kawanaꞌatiꞌo naꞌapam ukotuꞌan naa ĩtukapan wuruꞌu wizi aidinanuz. 
MAT.2.17	Wuru idaꞌanaꞌa Tominkaru Paradan mishiinan prophet Jeremiah kiauzonuz.
MAT.2.18	“Ramah
MAT.2.18	ĩzaadinan naꞌiki ĩmuraapan diiwaꞌo idaꞌan.
MAT.2.18	Rachel
MAT.2.18	aonaa omishidauan pamashaata-kao
MAT.2.18	paudainao mawakan idi.”
MAT.2.19	Aizii King Herod mawakan daunaꞌan, Tominkaru diꞌikiꞌo angel aidinan Joseph ati uzandaꞌawun ii, Egypt ii. 
MAT.2.20	Angel kian uꞌati, “Mawakaꞌa naa aizii zowiaꞌazoinaouz wuruꞌu koraidaonaaz. Ukauꞌan punaꞌakaꞌa naazu padaro tuma powaa iti Israel iti.” 
MAT.2.21	Joseph pokodaꞌakan, unaꞌakan naa ĩdyaun powaa iti Israel iti. 
MAT.2.22	Mazan Joseph abatan idi King Herod dani Archelaus naobanai nii Judea Baara ii, ukauꞌan utarii pamakon naꞌiti. Mazan uzandaꞌawun ii Tominkaru kakinaowanuz, uruu idi ĩmakon Galilee Baara iti, 
MAT.2.23	naꞌiaꞌa naa ukauꞌan ĩmashaapan wiizai Nazareth ii. Wuruꞌu naꞌapaꞌoraz shaꞌapan Tominkaru Paradan mishiinan ukianuz paprophetin idaꞌan: “Udakota-kao nii Nazareth san.”
MAT.3.1	Kotuaꞌiki uruu daunaꞌan John Chikaawunuupauzo sakadan pakaudinan pakakinaopan dauꞌu mapidantakaꞌo amazada ii aka, Judea Baara iaꞌoraz. 
MAT.3.2	Kaikapaꞌa ukakinaopauzonuꞌo: “Utanawatinaꞌa naa uꞌoian ai, ushaꞌapanum kauꞌan ataꞌazoo Tominkaru Naobanai-tinan pidannao ati.” 
MAT.3.3	Uruu John dauꞌatiꞌo, tawaruꞌu kotuaꞌoraz Tominkaru prophetin Isaiah saadanuz. Ukianuz.
MAT.3.3	“Pidan kadakoinpan diiwa mapidantakaꞌo amazada ii aka.
MAT.3.3	‘Usaabaꞌa naa naobanai mako kizi nii,
MAT.3.3	utoma uaꞌii sakitapaꞌo uponaa nii.’”
MAT.3.4	John kamichan toma-kao camel idi idiꞌo, ukazadawutinpan wuzada-kariwai madai idiꞌo, naꞌiki uwanyukunuu nii manorunao
MAT.3.5	Iriba pidannao waꞌatin John idaꞌati ĩabataꞌanan ukakuwaapan. Jerusalem, Judea Baaraꞌaꞌoraz donoi iki, naꞌiki ipai baꞌoran wiizai kida Judea Baaraꞌaꞌoraz diꞌiki, naꞌiki Jordan Waꞌo zaꞌanainao ĩmashaapan kida kaawan uꞌidaꞌati. 
MAT.3.6	Ĩkowaadan paꞌoian kida, uruu idi John chikaawunuuan ĩdyaun Jordan Waꞌo ii.
MAT.3.7	Iriba Jewnao, ĩdakota-kao Phariseenao
MAT.3.8	Ushaꞌapataꞌa naa kaiman kidaꞌo aimaakan, uaida kizi mishi utanawatinaꞌa uꞌoian ai. 
MAT.3.9	Aonaa uzauda-kidaꞌanaꞌa unao Abraham takaan-daunnaoun idaꞌanaꞌo nii mani ukazannaatinan uꞌoian ai. Õkowaadan nii uꞌati aizii, turuu Tominkaru toman Abraham takaan-daunnao nii diꞌoraz kuba kida idiꞌi. 
MAT.3.10	Kainaꞌa baro, minziiwapaꞌoraꞌa naa barotaꞌo nii atamun kida. Ipai atamun wuruꞌu aonaꞌoraz ukaakan kaiman naꞌiki wuruꞌu dikauda kidaꞌoraz uꞌaka kida, ipaiꞌo nii ubarota-kao, udaunaꞌan ukaboota-kao nii ipai tikazi wuꞌiti.”
MAT.3.11	Udaunaꞌan John kian pidannao ati, “Õchikaawunuupan unao wunu idi utanawatinan dikin ii uꞌoian ai Tominkaru idaꞌati, mazan wuru daunaꞌanaꞌa, kainiꞌikiꞌo nii chikaawunuupaꞌo nii unao tikazi idi naꞌiki Kaimanaꞌo Doronaa idi paꞌan. Uruu kainaꞌiki uruu powaꞌaꞌo zii umanawunun õꞌai, aonaa õkaꞌiitan ukaudin-kizi. Upuꞌu zii aonaa õturuan õnaꞌakan udazkidi uꞌidaꞌati.
MAT.3.12	Kainaꞌaꞌa naa unaꞌakapan pawidauapa-kinaa papaoriba aka kida. Ipaiꞌo nii uwidauan kaiman kidaꞌo papaoriba aka, naꞌapa zaishi widau-kao kawan pamada ai. Udaunaꞌan usaabaa-kao niꞌi naa kaiman padapunaa iti. Mazan wuruꞌu dikauda kidaꞌoraz, ipaiꞌo nii paꞌan ukaboota-kao tikazi aonaꞌo umakadauzon wuꞌiti.”
MAT.3.13	Uruu dono Jesus kaawan Galilee Baara iki Jordan Waꞌo ati, uchikaawunuu-kidinaꞌanan John ati. 
MAT.3.14	Mazan aonaa John kaꞌiitan paabatan pashaꞌapatan naꞌapaꞌo uꞌati, ukauꞌan utiwaan papanaꞌadan Jesus nyukunuu. Ukian uꞌati, “Kanom nii puchikaawunuu-kidinaꞌazon õꞌati? Õgaru mishiꞌoraiman turuu puchikaawunuuan.”
MAT.3.15	Mazan Jesus kian uꞌati, “Naꞌapaꞌo niꞌi naa paꞌan aizii washaꞌapatinan, ushaꞌapanum kauꞌan washaꞌapatinaꞌazon ipai Tominkaru aipan kawanaꞌati.” Uruu zii John naꞌapatan panyukunuu.
MAT.3.16	Jesus koditaꞌakan daunaꞌan wunu diꞌiki pachikaawunuu-kao dono, sariapa aokazi daꞌata-kao uꞌati, naꞌiki utukapa Tominkaru Doronaa waꞌatin orid kawan, aokazi ikinapu. Taau, upakotan uꞌidaꞌati. 
MAT.3.17	Mashaꞌapakiaka parada-karu aokazi ikiꞌo kian, “Diꞌi õDaniꞌi, õmarainapanii manawun, shaꞌapatinaꞌo õnyukunuu kawanaꞌati.”
MAT.4.1	Uruu daunaꞌan Kaimanaꞌo Doronaa naꞌakan Jesus mapidantakaꞌo amazada diꞌiti, Satan tiwaa-kidapa kizi uruu naꞌii. 
MAT.4.2	Aonaa kanom Jesus nikan 40 kamoo, ukauꞌan tuukii uzamazin. 
MAT.4.3	Uruꞌu naa Satan kaawan Jesus idaꞌati. Sariapa ukian uꞌati, “Tominkaru Danin an pugaru, pudyuuda diꞌoraz kuba kida tominan bread nii.”
MAT.4.4	Mazan Jesus kian uꞌati, “Tominkaru Paradan saada-kariwaiz kian, ‘Aonaa pidan mashaapan soo bread idaꞌan mani karikaonan. Mazan aiapa-karu nii Tominkaru diꞌikiꞌoraz parada-karu mashaapa-kinai nii.’”
MAT.4.5	Udaunaꞌan Satan naꞌakan Jesus Jerusalem kaimanaꞌoraz wiizai iti. Ukadishita-kidanuz dokoaꞌo Tominkaru Dapu dokoo-dinpan paawa ii manawun, 
MAT.4.6	naꞌiki ukian uꞌati, “Tominkaru Danin an pugaru, puzakaꞌuta diꞌikiꞌi imiꞌi baara iti. Ushaꞌapanum kauꞌan Tominkaru Paradan saadinpaꞌoraz kian, ‘Tominkaru awunuutapa-kidan nii pugaru paꞌangelinnao ati, ĩzaamatapan nii pugaru, aonaꞌo nii pukaziwan pukidiba puwaotan an kuba kida diꞌiti.’”
MAT.4.7	Jesus kian uꞌati, “Mazan kaikapaꞌo shaꞌatii Tominkaru Paradan saadinpaꞌo kian kapam, ‘Manaꞌa putiwaa-kidapauzoꞌonaꞌa uNaobanaa Tominkaru.’”
MAT.4.8	Udaunaꞌan Satan naꞌakan Jesus dokoaꞌo midukuo paawa iti, naꞌiki uaida-kida Jesus ati ipai umanawun naꞌiki konaunam kidaꞌo donoi, ipai amazada tokon iti. 
MAT.4.9	Ukian Jesus ati, “Ipaiꞌo nii õtaan puꞌati wuru kidaꞌa putaainan an õꞌati pukodoruꞌukan idaꞌan õkanaapu ati.”
MAT.4.10	Sariapa Jesus kian uꞌati, “Pumako õꞌai, Satan! Tominkaru Paradan saadauzo-kariwaiz kian,
MAT.4.10	‘Pukodoruꞌuka soo baudaꞌapaꞌo Naobanai puTominkarun ati.
MAT.4.10	Pushaꞌapatin soo uruu aipan kawanaꞌati.’”
MAT.4.11	Uruu daunaꞌan Satan marinaꞌataꞌakan naa Jesus. Uruꞌu naa angelnao kaawan uꞌidaꞌati ĩkaminkaꞌutan naazu.
MAT.4.12	Jesus abatan daunaꞌan John taraa-kao, uruꞌu naa umakon powaa iti Galilee Baara itinapu, Nazareth iti. 
MAT.4.13	Mazan naꞌikiꞌo umakon umashaapaꞌanan Capernaum iti, wiizai maonapaꞌo Galilee Karishiiz ati. Naꞌanaꞌoraz Zebulun naꞌiki Naphtali takaan-daunnao wiizi baara an kidaꞌoraz. 
MAT.4.14	Aimaakan shaꞌapanuz naꞌapa, parada-karu mishiinan naa tawuruꞌu prophet Isaiah kianuz pakaaritan idaꞌa:
MAT.4.15	“Pidannao mashaapainao Zebulun amazadati an,
MAT.4.15	naꞌiki Naphtali amazadati an,
MAT.4.15	naꞌiki dobaapa-kizai karishii an,
MAT.4.15	atii tarauka Jordan Waꞌo,
MAT.4.15	Galilee an kidaꞌo Gentilenao mashaapan. Puabata!
MAT.4.16	Puabata pidannao mashaapainao naꞌiiꞌaka marutaꞌo biiꞌi,
MAT.4.16	ĩtukapan nii umanawunuꞌo kanadaꞌo.
MAT.4.16	Mashaapainao naꞌan kichanaꞌiki-kiaꞌo marutaꞌo bii ii,
MAT.4.16	kanada-karu kanadapan nii ĩdyaun.”
MAT.4.17	Naꞌapainiꞌi naa Jesus sakadan pakakuwaapan. Ukian, “Utanawatin uꞌoian ai, ushaꞌapanum kauꞌan ataꞌazoo Tominkaru naobanai-tinan pidannao ati.”
MAT.4.18	Jesus makopan puꞌu maonapa Galilee Karishiiz danomata, utukapa dyaꞌutam kopautapauzonao, Simon, uruu Peter kiaꞌo udakotapa-kao, naꞌiki uꞌinawuzu Andrew. Ĩzaamaapan kopau karishii ii pasairon idaꞌan. 
MAT.4.19	Jesus kian ĩꞌati, “Uwaꞌati õtuma, õtominapa-kida kizi unao, uzaamaapan dauꞌu pidannao.” 
MAT.4.20	Sariapa ĩwaꞌakaꞌakan pasairon kida, naꞌiki ĩdaꞌanan naa uruu.
MAT.4.21	Naꞌikiꞌo udobataꞌakan, utukapa dyaꞌutam pidannao koshan kanawa idaꞌa. Wuruꞌu ĩnaouz Zebedee dainao, James naꞌiki John. Ĩdaru Zebedee naꞌiaꞌo ĩtuma kapam, ĩminziiwatin-kidan pasairon kida. Jesus dapadan ĩdyaun. 
MAT.4.22	Sariapa ĩmakon Jesus tuma, ĩwaꞌakaꞌakan naa padaru pakanawan diꞌii.
MAT.4.23	Jesus makon ipai Galilee Baara an kidaꞌo wiizai kawanaꞌati. Utominapa-kidan pidannao synagogue
MAT.4.24	Uunamunaa abata-kao ipai Syria Baara ii aka. Uruu idi naꞌikinpuinao pidannao naꞌakan pairibannao karinainao pabiꞌinaakaꞌo ĩrinaa kida: kaziwainao, oiaꞌo doronai morotinniinao, mawakaziitapainao, naꞌiki machiꞌika-kainao; ipai Jesus kakudan ĩdyaun. 
MAT.4.25	Iriba pidannao daꞌananuzu Galilee Baara ikiinao, naꞌiki Decapolis
MAT.5.1	Aizii Jesus tukapan iriba pidannao kasabaꞌukinan paꞌidaꞌati, sariapa uzaidan naawazi daara iti. Naꞌiaꞌa naa usakanatan. Pidannao, utominapa-kidaniinaouz maonapadinan uꞌidaꞌati. 
MAT.5.2	Usakadaꞌakan naa patominapa-kidan ĩdyaun.
MAT.5.2	Kaikapaꞌa ukian ĩꞌatiꞌi:
MAT.5.3	“Konaukiaꞌo wunaouꞌu aitapainaouz
MAT.5.3	aonaꞌo paturuan paaipan ati padoronaa ii,
MAT.5.3	ĩnao kaduz atiꞌo wuruꞌu Tominkaru naobanai-tinapanuz.
MAT.5.4	Konaukiaꞌo wunaouꞌu kashaꞌoratinainaouz ĩnyukunuu,
MAT.5.4	Tominkaru saabaan nii ĩnyukunuu.
MAT.5.5	Konaukiaꞌo wunaouꞌu aonaꞌoraz ĩatadinpauzon,
MAT.5.5	Tominkaru taan nii ipai imiꞌi baara ĩꞌidiwau nii.
MAT.5.6	Konaukiaꞌo wunaouꞌu tuukiaꞌoraz ĩtaan panyukunuu ati
MAT.5.6	pashaꞌapataꞌazon Tominkaru aiapanii kida ushaꞌapata-kao,
MAT.5.6	Tominkaru turuuda-kidan nii ĩdyaun kaimanaiman.
MAT.5.7	Konaukiaꞌo wunaouꞌu kamunanbainaouz,
MAT.5.7	Tominkaru kamunanun nii ĩꞌati.
MAT.5.8	Konaukiaꞌo wunaouꞌu baudaꞌapatainaouz panyukunuu Tominkaru ati,
MAT.5.8	ĩtukapan nii Tominkaru.
MAT.5.9	Konaukiaꞌo wunaouꞌu kaudinainaouz pakaimanaaka-kidan dauꞌu pidannao,
MAT.5.9	Tominkaru daniitan nii ĩdyaun.
MAT.5.10	Konaukiaꞌo wunaouꞌu patakaꞌuta-kariwainaouz
MAT.5.10	kaimanaꞌo mashaapa-karu Tominkaru atiꞌo dauꞌan,
MAT.5.10	ĩnao atiꞌo nii wuruꞌu Tominkaru naobanai-tinapanuz.
MAT.5.11	“Konaukiaꞌo nii unao, pidannao dakoopan an unao, naꞌiki ĩpatakaꞌutan an unao, naꞌiki ĩmariidinan an unao dauꞌu, soo õpidanannaoun idiꞌo unao. 
MAT.5.12	Ukonaukii tuukii manawun, ushaꞌapanum kauꞌan kainaꞌa umanawunuꞌu uwinipinaa niꞌo aokazi ii. Kotuaꞌa naa naꞌapaꞌo Tominkaru prophetinnao patakaꞌutauzo-kao kapam.
MAT.5.13	“Duwu kawanuꞌo wuruꞌu unaouz daꞌaꞌa pidannao ati. Mazan duwu manaun anaꞌa naa, aonaꞌa naa naꞌapam ukuzuban powaꞌa. Aonaꞌa naa turuu ukaiwaapa-kao, mazan ukabootaꞌaka-kao niꞌi naa amazada iti. Uruꞌu naa dobaapainao naꞌiiꞌaka dakazatanuz.
MAT.5.14	“Kanadaꞌo kawanuꞌo wuruꞌu unaouz daꞌaꞌa pidannao ati. Aonaa naawazi paawaꞌaꞌo donoi toma-kao dizinpan. 
MAT.5.15	Aonaa naꞌiam zii pidan suuauzon lamp, udaunaꞌan utaratanuzu boon waranuꞌu. Mishiꞌoraiman lamp muuda-kao nii kaimanaꞌo pawiizi dokoaꞌo idaꞌa. Naꞌikiꞌo nii ukanadapan ipai kabaun nazo ainao. 
MAT.5.16	Naꞌapa paꞌi unao lamp kawan, upuꞌukapan kanada pidannao kanaapu ati, ĩtukapa kizi kaimanaꞌo ushaꞌapatanii. Uruu naꞌapaꞌo idaꞌanaꞌo nii ĩkonaukii-kidan uDaru Tominkaru aokazi iaꞌo umanawunun.
MAT.5.17	“Aonaa uzauda-kidaꞌanaꞌa, õmarinaꞌata-kidaꞌanan mani kakinaorii Tominkaru taaniaz Moses idaꞌan kida, naꞌiki kotuaꞌo prophetnao saadanii kida, wuruꞌu õwaꞌatinuz daꞌatiꞌi. Õwaꞌatin aonaa õmarinaꞌata-kidaꞌanan mani ĩdyaun, mazan õmishiaꞌanan naa naꞌiki õshaꞌapataꞌanan naa naꞌapaꞌoram ĩkian kidaz. 
MAT.5.18	Õkakuwaapan mishiꞌo uꞌati, atii aokazi naꞌiki diꞌoraꞌa imiꞌi baara naꞌan kawanaꞌati, aonaꞌo nii baudaꞌapa kakinaorii paradannaa sodi marinaꞌata-kao, atii kaiman-daun kakinaorii mishiinan. 
MAT.5.19	Ukauꞌan kanom dikintapan an masakaudaꞌu sodiꞌo kakinaorii paradannaa, naꞌiki tominapa-kidaꞌo naꞌapa baokoinao, awutapa sodiꞌo nii umanawunun, Tominkaru naobanai-tinan diꞌii. Mazan kanom izoꞌatiꞌo, shaꞌapatatinaꞌo kakinaorii kawanaꞌati, naꞌiki tominapa-kidaꞌo naꞌapa baokoinao kapam, umanawunuꞌo kii-karu nii udauꞌan, Tominkaru naobanai-tinan diꞌii. 
MAT.5.20	Ukauꞌan õkian nii uꞌati, aonaꞌo nii umorotan Tominkaru naobanai-tinan diꞌiti, soo umashaapan an kaiman Tominkaru aipan kawanaꞌati powaꞌa zii wunao aiaꞌa, tiichaapauzonao Moses kakinaori dauꞌu naꞌiki Phariseenao
MAT.5.21	Jesus kian koshan, “Uaitapanii shaꞌatii naꞌapam kiauzo-karu pidannao ati kotuaꞌa naa, ‘Manaꞌa puzowiaꞌanaꞌa pidan.
MAT.5.22	Mazan aizii õkian nii uꞌati, naꞌiaꞌoram pidan toꞌoran an paꞌinawuzu ati, patakaꞌuta-karu niizu udikin ii. Naꞌiaꞌoram pidan kiaꞌo paꞌinawuzu ati ‘pugaru maturuaukaꞌo,’ naꞌaka-karu niizu kazowautapainao kanaapu ati, marii kizi upatakaꞌuta-kao naꞌii. Naꞌiki naꞌiaꞌoram dakoopaꞌo paꞌinawuzu, ‘yaakaru, maaitapin-kaꞌo!’ kii, kaboota-karu niizu Tuubaruꞌo Tikazi wuꞌiti.
MAT.5.23	“Ukauꞌan putaainaꞌanan dono Tominkaru ati, punaꞌakan idaꞌan aimaakan uꞌati altar uzai kawaodapa-kizinao diꞌiti, naꞌiki punyukunuiankan an kainaꞌaꞌo daꞌi pukasharutan puꞌinawuzu nyukunuu, 
MAT.5.24	puwaꞌakaꞌa naa zii wuruꞌu putaaꞌazooniaz altar dazabaꞌa, pumako puꞌinawuzu diꞌiti, pusaabaa-kidanaka punyukunuu utuma. Udaunaꞌan putaaꞌanan niꞌi naa wuruꞌu putaaꞌazooniaz Tominkaru ati.
MAT.5.25	“Aizii pukasharutaakapan an pidan tuma. Uruu dikin ii unaꞌakan pugaru kootowapa-kizai iti. Mazan ukaawa-kidan uaꞌii pugaru naꞌiti, putiwaa pusaabaa-kidan puparadan utuma. Aonaan an pushaꞌapatinan naꞌapa, mishiꞌo nii unaꞌakan pugaru kootowapa-kizai iti, naꞌiki utaan nii pugaru kootowapa-kidauzo pidan ati. Udaunaꞌan kootowapa-kidauzo taan niꞌi naa pugaru police kaꞌu iti, uruꞌo niꞌi naa kaboota pugaru taraa-kizai diꞌiti. 
MAT.5.26	Õkian puꞌati, punaꞌian nii, aonaꞌo nii pukodita-kida-kao atii pukawinipinaatan anaꞌo nii zii ipai daunuudaꞌu aiapa-kariwai pukodita-kinaa nii.
