MAT.1.1	Ɗèlèwèr nzlembaƋ ndohi te verzi Yèsu Kristi, kra David, kra Abraham.
MAT.3.7	Aman a rka ndohi pharisie a ndohi sadducée ta shkè a sam baptême kumba, a ngaƋa ta:
MAT.3.7	Kinè wud tsebarhai, n'ngreda kinè wa, aman kin slaha kin hi kinè a ndzoan Zhiklè man a di a shkè? 
MAT.3.8	Vangreda auda zura'a, ara man kin ngwode ndav kinè! 
MAT.3.9	Kin hur ɓai, a kin gaƋa, Abraham bab nga! Aman i gaƋa kinè: Zhiklè a slaha a nyoko na wuda a Abraham te kwahi haha. 
MAT.3.10	Antanta dzana te verzi wof, a wof staƌ staƌ tèlèba man a yi wuda zura'a azɓai, ta ngélè'a, a ta kalda a vogwa.
MAT.3.11	Iyè i ga kinè baptême te iyam, te man kin ngwoda ndav kinè. Aman ndo ngiƋè a di a shkè te deɓ ga, man a fena wuƌi ga, i gi huyokoko'a, i slaha a i gshè kotokoroh nenga'a a ri ɓai. Nenga'a a da ga kinè baptême te Mèzhèɓ Zhiklè nkezla'a, a vogwa. 
MAT.3.12	Kokwi te ri nenga'a. A nenga'a a da pèvè dau a hedak tèlèba. Dau nenga'a a da ɓicè a wov, aman topok dau a fa na vogwa man a mbècè asaɓai.
MAT.3.13	Te deɓa'a Yèsu a mshkè te kokwar Galilée a ma woyam Jourdain, a sam Jean, aman Jean a ga na baptême. 
MAT.3.14	Aman Jean a m'mende va na a deɓa, a ngaƌa:
MAT.3.14	Sèi ka gay baptême ar ka! Anai ka, ka shkè a sam ga Ƌè?
MAT.3.15	Aman Yèsu a m'mbeƋa na a ma:
MAT.3.15	Sèi ka gi ar haha; na haha ambaba nga, aman nga ndeva ngizura'a tèlèba.
MAT.3.15	A Jean a nco. 
MAT.3.16	Aman Jean a n'nga na baptême a Yèsu ma, a Yèsu a mshkè auda te iyam, na haha giƋfèk a mwin na, a nrka Mèzhèɓ Zhiklè man a shkèhai a gèƋ na, ara nkuƋhom. 
MAT.3.17	Na haha ta tsena ngèƌè te zhiklè te géƌè'a, man a gaƌa:
MAT.3.17	Nenga kra ga man i woya'a a ndav ga. Ndav ga a wuffè kumba a géƋ nenga'a.
MAT.4.1	Te deɓa'a Mèzhèɓ Zhiklè a n'nda Yèsu a hèshèkèƋ, aman bi madzagai a mpi a wai. 
MAT.4.2	M'mèn 40 a n'nda skwi n'ndi ɓai, a mi a nkeƌa'a. 
MAT.4.3	A ndompendoawai a mshkè a sam na, a ngaƋa:
MAT.4.3	Aman ka, ka kra Zhiklè, gaƋa ta kwahi haha, a ta ngwèdè va ta a movar!
MAT.4.4	Yèsu a m'mbeƋa na a ma:
MAT.4.4	Ta windo te Ƌèlèwèr Zhiklè: Ndo a nzi a nshèffè a géƋ movar genè ka ɓai; aman a géƋ ma staƋ staƋ tèlèba, man a shkè auda te ma Zhiklè.
MAT.4.5	A bi madzagai a n'nda Yèsu a kokwar nkezla'a, a géƋ gi Zhiklè, 
MAT.4.6	a ngaƋa na:
MAT.4.6	Aman ka, ka kra Zhiklè, kalde va ngaya a hai! Aman ta windo te Ƌèlèwèr Zhiklè: Zhiklè a da gaƋa ta golahi nenga'a, aman a ta ɓer ka, a ta ndaw ka, aman kwa a da tsama ka sak azɓai.
MAT.4.7	A Yèsu a ngaƋa na:
MAT.4.7	Ta windo te Ƌèlèwèr Zhiklè za'a: Ka jkeda Bi Zhiklè ngaya ɓai!
MAT.4.8	A bi madzagai a n'nda Yèsu a géƋ za mbia'a, a n'ngreda na kokwar-Bihiherkeda tèlèba, a n'njèl tenga'a, 
MAT.4.9	a ngaƋa na:
MAT.4.9	Skwi haha tèlèba i woy man a i va ka, aman ka kèlèhi a deɓ sak ga, a ka slebardyè.
MAT.4.10	Aman Yèsu a ngaƋa na:
MAT.4.10	Kazla ngay auda a tsagi ga, SaƋan! Aman ta windo te Ƌèlèwèr Zhiklè: Sèi ka slébèrdè Bi Zhiklè ngaya staƋ genè, a ka gi mizlinè nenga'a staƋ genè.
MAT.4.11	Te deɓa'a bi madzagai a njèkeda Yèsu a pa. Na haha, golahi Zhiklè ta shkè a sam Yèsu, a ta takaha. 
MAT.4.12	Aman Yèsu a ntsena'a, ta gso Jean ma, a n'ndo na a kokwar Galilée. 
MAT.4.13	A njèkeda kokwar Nazareth, a mshkè, a n'nza te kokwar Capemaum, a ma iyam mbia'a, a ma kokwar Zabulon a Nephthali. 
MAT.4.14	Gar haha a ngu ara man Esaie, ndo nhadka ma, a goƌ a géƌ
MAT.4.15	ndohi Zabulon, a ndohi Nephthali, a ma iyam mbia'a, te wud woyam Jourdain, a ndohi herkeda te kokwar Galilée, 
MAT.4.16	ndohi man ta nza te ruva, ta rka skwi nhél sam mbia'a; a sam ndohi man ta nza a sam m'metsai, te mèzhèɓ m'metsai, skwi nhél sam a nhulko gèƋ.
MAT.4.17	A pats nasa, Yèsu a nhüno man a njè ta ma Zhiklè, a ngaƋa:
MAT.4.17	Vangwode ndav kinè, aman kokwar-Bi-Zhiklè a zhè ndul ndul!
MAT.4.18	Aman Yèsu a shèwèlè a ma iyam mbia'a te Galilée, a nrka ta ndohi cèw, ta a kramam na. Simon, man ta baba na Pierre, a André, kramam na. A ta kèldè lata a iyam, aman tenga'a ndohi mpèr klèf. 
MAT.4.19	A Yèsu a ngaƋa ta:
MAT.4.19	Vadzadzarkayè, a i ndede kinè a ndohi mpèr ndo!
MAT.4.20	A nasa nasa ta jèkeda latahai, a ta dzodzora. 
MAT.4.21	Aman Yèsu a n'ndo a ma, a nrka ta ndohi ngiƋè cèw, ta a kramam na: Jacques, kra Zébédée, a Jean, kramam na. Ta te wurom a Zébédée, bab ta, a ta til latahi ta. A Yèsu a mbaba ta. 
MAT.4.22	Tsam-tsam ta jèka na wurom a bab ta, a ta dzodzor Yèsu.
MAT.4.23	Yésu a nsawala te kokwar Galilée tèlèba, a nsenda ta te gi-njèngè-ma-Zhiklè, a n'njè ta ma mbela'a man a kokwar-Bi-Zhiklè, a m'mbel ta ndohi matakwan te skwi ndzi tsaƌ tsaƌ.
MAT.4.24	A labar ma nenga'a a zlèzlèmè te kokwar Syrie tèlèba. A ta cko ndohi man skwa a dza ta tèlèba a sam na, a matakwan tsaƋ tsaƋ, a skwi ndzi tsaƋ tsaƋ, ndohi zluèƋ a ndohi man mèzhèɓ ambaɓia'a a ga ta, a ndohi man sak m'metsa, ri m'metsa; a nenga'a a m'mbel ta. 
MAT.4.25	A ndohi rèdèdè'a ta dzodzora, te Galilée, te Dècapole, te Jèrusalem, te Judèe, te wud woyam Jourdain.
MAT.5.1	Mrke nhèyè ndo, a nteva a gèƋ za, a n'nzahai, a golahi nenga'a ta herde va a sam na. 
MAT.5.2	Te deɓa'a a nhüno man a slebda ta, a ngaƋa:
MAT.5.3	Mwuffé a sam tenga'a man ndohi ngiƋé ta sla ta ndohi ntawassa'a te maya. 
MAT.5.4	Mwuffé a sam ndohi man ta kuƋi te ndav ta; aman Zhiklé a da bid ta. 
MAT.5.5	Mwuffé a sam ndohi man ndav lüɓekwa'a; aman ta da gi a ndohin'ndiherkeda. 
MAT.5.6	Mwuffè a sam ndohi man ngizura'a a zle ta, ara skwi n'ndai, ara iyam nsai; aman sèi ta da ngézhè"a. 
MAT.5.7	Mwuffé a sam ndohi man ndo a se ta te va; aman tenga'a ta da si Bi Zhiklé te va. 
MAT.5.8	Mwuffé a sam ndohi man ndav ta mpana; aman ta da rka Bi Zhiklè.
MAT.5.9	Mwuffé a sam ndohi man ta tsi gumai; aman ta da baba ta wud Bi Zhiklè. 
MAT.5.10	Mwuffé a sam ndohi man ta paraha ta a géƋ ngizura'a; aman kokwar-Bi-Zhiklè a tenga"a. 
MAT.5.11	Mwuffé a sam kiné, aman taga kiné ma a va, a ta paraha kine, a ta cékélma ambaɓi tsaƋ tsaƋ a géƌ kiné, a géƌ ga. 
MAT.5.12	Vawuffa, vagu langlanga"a, aman skwi ntul kiné a gi a mbia'a te zhiklé, te géƋè'a. Aman ta paraha ta ndohi nhadka ma hala'a lèmèlèmè.
MAT.5.13	Kinè boma herkeda. Boma man a jèn ɓai wurzkwurzka'a, ta da gi a wotata'a a mè Ta gi skwa a vna asaɓai, sèi ta wushedaussa, a ndohi ta mbècè a pa a sak. 
MAT.5.14	Kinè skwi nhél sam herkeda. Kokwar mbia"a a géƋ za a nghédè azɓai. 
MAT.5.15	Ta vècè vogwa pitirla, aman ta fi a hwaƋ gadagar azɓai; aman ta fia a géƌè'a, a sam nfi pitirla, te deɓa"a a hela ta sam a ndohi tèlè man ta te gai.
MAT.5.16	Gar haha vagu aman skwi nhél sam kinè a hél sam a sam di ndohai, aman ta rka mizlinè kinè man amba, a ta slébèrdè bab kinè te zhiklè. 
MAT.5.17	Kin hur a kin gaƌa, i shkè a ngéƌéshé ma kita Zhiklè, a ma ndohi nhadka ma, ka ɓai. I shkè a ngéƌéshé ka ɓai, aman i a nrufa'a. 
MAT.5.18	I gaƌa kinè a vava: Ha giƌfèk a herkeda ta ndev ta, ko lamba staƌ, ko skwi nvèlèhè'a staƌ te ma kita Zhiklè, a zi azɓai, sèi tèlèba n'nga'a.
MAT.5.19	Ko wawa man a jèkèda staƌ te va ma kita Zhiklè, ko ma nkèshè'a genè, a slebda ta ndohi ngiƌè arsa, ta da baba na nkèshè'a te kokwar-Bi-Zhiklè. Aman ndo man a da fi gèƋè'a, a slebda ta ndohi ngiƋè a ta fi gèƋè'a arsa, ta da baba na ndo mbia'a te kokwar-Bi-Zhiklè. 
MAT.5.20	Aman iyè i gaƋa kinè: Sèi ngizura kinè a fena ngizura malamhai a ndohi pharisie mbelembela, man ɓai kin dè a kokwar-Bi-Zhiklè azɓai.
MAT.5.21	Kin tsena'a, ara man ta gaƋa ta babababhi kinè: Ka kuƋ ndo ɓai! Ndo man a kéƋè ndo, a kèlé a kita. 
MAT.5.22	Aman iyè, i gaƋa kinè: Ndo man a gi ndav a géä kramam nenga'a, a kèlè a kita. Aman ndo man a gaƋa na kramam nenga'a 'medekam ndo', a ngu malai, aman ta cémma a géƋè'a. A ndo man a gaƋa: Ka, skwa a ga ka! A ngu malai, aman a dè a vogwa kita.
MAT.5.23	Gar haha, aman ka vi skwi ngaya a sam mvi skwi a Zhiklè, a pa ka héré'a, ara man ma a zhé te ndav kramam ngaya a géƌ ngaya, 
MAT.5.24	jékeda skwi man ka woy a ka va na Zhiklè a sam mvi skwi a Zhiklè; a ko do nshèlèkura'a, a kin menda gumi a hai a kramam ngaya, ga ka shkè, a ka da vi skwi ngaya.
MAT.5.25	Aman mayam ngaya a pin ka, valèmda ma kinè a civèƋ dai, man ɓai a de ka a sam ndo kita, a ndo kita a da va ka a ri a sojè, a ta fe ka a gi dangai. 
MAT.5.26	I gaƋa ka a vava: Ka shkè auda te pa ambalai azɓai, sèi ka pi suli tèlèba, ko sissi a pcè a deɓa azɓai.
MAT.5.27	Kin tsena'a, ara man ta gaƋa: Ka gu mphömè ngwoz ɓai! 
MAT.5.28	Aman iyè, i gaƋa kinè: Ndo man a cèkè di a ngwoz, a ngu mphömè a vna te ndav na ma. 
MAT.5.29	Aman di ngaya nte civèƋ ri mandai a kalde ka a malai, vedotkoƋauda, a ka kaldaussa. Dara nfèfèn va ngaya staƋ a gedas na, a géƋ va ngaya tèlèba man ta kalda a vogwa kita.
MAT.5.30	Aman ri mandi ngaya a kalde ka a malai, ngela na auda, a ka kaldaussa. Dara nfèfèn va ngaya staƋ a gedas na, a géƋ va ngaya tèlè man ta kalda a vogwa kita. 
MAT.5.31	Ta gaƋa nga a va'a: Ndo man a kwola ngwoz na, sèi a va na Ƌèlèwèr njèkè ngwoz. 
MAT.5.32	Aman iyè, i gaƋa kinè: Ndo man a kwola ngwoz na, a géƋ mphömè ka ɓai, a kalde ngwoz a mphömè. A ndo man a cè ngwoz man ndo ngiƋè a njèkeda, a gi mphömè.
MAT.5.33	Kin tsena a va'a, ara man ta gaƋa ta babababhi kinè: Ka mbaƋa ambali ɓai! Aman sèi ka gi ara ma man ka gaƋa na hi a Bi Zhiklè. 
MAT.5.34	Aman iyè, i gaƋa kinè: Kin mboƋ ɓi fèt ba! Kin mbaƋa a nzlembaƋ giƋfèk ɓai, aman nenga'a sam n'nzi Bi Zhiklè. 
MAT.5.35	Kin mbaƋa a nzlembaƋ herkeda ɓai, aman nenga'a sam nfi sak Bi Zhiklè. Kin mbaƋa a nzlembaƋ kokwar Jérusalem ɓai, aman nenga'a kokwar Bi mbia'a.
MAT.5.36	Ka mbaƋa a géƋ va ngaya ɓai, aman ka slaha a ka slekaƋa a ka madza gwots gèƋ ngaya azɓai, ko staƋ ba. 
MAT.5.37	Vagu aman halau kinè, a gi a halau, a a'ai kinè, a gi a a'ai; skwi man kin gèƋè a va'a, ambaɓai.
MAT.5.38	Kin tsena'a, ara man ta gaƋa: Dai te di man a dai; zlè'èn te di man a zlè'èn. 
MAT.5.39	Aman iyè, i gaƋa kinè, aman kin sala va, man ta ga kinè skwi ambaɓia'a ɓai. Man ndo a tsama ka bazlazlam ri mandi ngaya, ka ngwoda na civèƋ ngiƋè. 
MAT.5.40	Ndo man a woy ma a ka, a ncèma ka maslaka nt'hwaƌa'a, va na dawar a va'a. 
MAT.5.41	Ndo man a tsa ka rai, a ka feda na ma, ngelka na di cèw! 
MAT.5.42	Va na ndo man a dzhaƌ ka, ka kalda ma a ndo man a dzhaƌ ka ɓai.
MAT.5.43	Kin tsena'a, ara man ta gaƋa: Woy nslamagi ngaya, gu shèwa a ndo mayam ngaya! 
MAT.5.44	Aman iyè, i gaƋa kinè: Vawoy ndohi mayamhi kinè! Vatsu ri a géƋ ndohi man ta paraha kinè! Vaga ta skwi man amba a ndohi man ta ga kinè shèwa, 
MAT.5.45	aman kin ndi a wudahi Bab kinè te zhiklè. Nenga'a a gi aman pats a vèngè a géƋ ndohi ambaɓihia'a, a géƋ ndohi man amba, a gi aman iyam a shkèhai a géƋ ndohi nzura'a, a géƋ ndohi nzura ka ɓai, cèw ba.
MAT.5.46	Aman kin woy ndohi man ta woy kinè genè, kin ngècè mè? ncèkèlè skwai ta gi arsa azɓi ƌè? 
MAT.5.47	Aman kin ga ta mbalai a kramamhi kinè genè, kin fen ta a mè? Ndohi nte deɓa ta gi arsa azɓi Ƌè? 
MAT.5.48	Gar haha sèi kin ndikè a sam jèlèlè'a, ara Bab kinè te zhiklè, jèlèlè'a.
MAT.6.1	Vagu maya a géƋ ngizura kinè, aman kin da gu a sam di ndohi ɓai, a ta rka kinè; aman kin da gu arsa, skwi ntul kinè asaɓai a sam Bab kinè te zhiklè. 
MAT.6.2	Aman ka vi skwai, ka babeda ɓai, ara ndohi n'ngwèdè ndo ta gia'a te gi-njèngè-ma-Zhiklè, a civèƋ, a ta woy a ndohi ta slebarde ta. A vava i gaƋa kiné: Ta ngots skwi ntul ta ma.
MAT.6.3	Aman ka vi skwai, gu aman ri gula ngaya a sun skwi man ri mandi a gia ɓai. 
MAT.6.4	A woy skwi man ka via'a, n'ngheda'a; a Bab ngaya man a rka a sam n'ngheda'a, a da menda ka a deɓa.
MAT.6.5	Aman kin tsi rai, kin gu ara ndohi n'ngwèdè ndo ɓai, man ta woy a ta zlècè, a ta tsi ri te gi-njèngè-ma-Zhiklè, a zolom civèƋ, a ta woy a ndohi ngiƋè ta rka ta. A vava i gaƋa kinè: Ta ngots skwi ntul ta ma. 
MAT.6.6	Aman ka tsi rai, do a gi ngaya nt'hwaƋa'a, a ka tsi ri a Bab ngaya, a sam n'ngheda'a. A Bab ngaya man a rka a sam n'ngheda'a a da va ka skwia'a.
MAT.6.7	Aman kin tsi rai, kin ndurh ma kumba ɓai, ara ndohi nte deɓa; aman ta hur te ndav, Zhiklè a tsena'a, aman ta ndérh ma kumba. 
MAT.6.8	Gar haha kin gu lèmèlèmè ara tenga ɓai! Ga kin tsi rai, Bab kinè a sun skwi man kin tèkwènè'a. 
MAT.6.9	Ani haha sèi kin tsi ri arsa:
MAT.6.9	Bab nga, man ka zhè te zhiklè te géƋè'a. 
MAT.6.10	A woy ta kezla nzlembaƋ ngaya. Kokwar-Bi ngaya da shkè. Skwi man ka woya'a, da gu t'herkeda lèmèlèmè ara nte zhiklè. 
MAT.6.11	Vaka nga skwi n'ndi nga te di mpatsna ba. 
MAT.6.12	Pra nga mali nga, ara man nga pra mali ndohai man ta gu mali a sam nga. 
MAT.6.13	Ka de nga a sam man a pe nga a wi ɓai, aman ɓer nga te ri nenga'a man ambaɓai. Aman kokwar-Bi a ngaya, a wuƌai, a n'njèlè, pèc pècèk a mèdèp ba. Amen. 
MAT.6.14	Aman kin prè mali ndohai, Bab kinè te zhiklè a dè prè mali kinè arsa. 
MAT.6.15	Aman kin prè mali ndohi azɓai, Bab kinè te zhiklè a dè prè mali kinè azɓai arsa.
MAT.6.16	Aman kin jèkeda skwi n'ndai, kin da gursa di ɓai, ara ndohi n'ngwèdè ndo. Tenga'a ta min dai, aman ndohi ngiƋè ta rka'a, ara man ta jèkeda skwi n'ndai. A vava i gaƋa kinè: Ta ngots skwi ntul ta ma. 
MAT.6.17	Aman ka jèkeda skwi n'ndai, pana di ngaya, tila va ngaya, 
MAT.6.18	aman ndohi ngiƋè ta da rka ɓai, ara man ka jèkeda skwi n'ndai, sèi Bab ngaya man a zhè a sam n'ngheda'a. A Bab ngaya man a rka a sam n'ngheda'a a da va ka skwia'a.
MAT.6.19	Kin ɓüco skwi mèshèlè t'herkeda ɓai, a sam man pombok a hezai ta ndia'a, a sam man ndohi metsarhai ta zlinè'a, a ta hilè'a. 
MAT.6.20	Aman vaɓüco skwi mèshèlè te zhiklè te géƋè'a, a sam man pombok a hezai ta ndia azɓai, a metsarhai ta zlinè'a, a ta hilè'a azɓai. 
MAT.6.21	A sam man skwi mèshèlè ngaya a pa, ndav ngaya ba a pa.
MAT.6.22	Dai, ara pitirla va. Aman di ngaya amba, va ngaya tèlèba nhela'a. 
MAT.6.23	Aman di ngaya di n'ngwèdè ndo, va ngaya tèlèba nara ruva. Aman skwi nhél sam a va ngaya a hél sam azɓai, ruva a ndi a mbia'a. 
MAT.6.24	Ɓèl azɓai, man a slaha a ngi mizlinè babgihi cèw. Gar a gi shèwa a nstaƌ, a woy ngiƋè a ndav na, gar a gshè va a nstaƋ, a nkwola ngiƋè. Kin slaha kin gi ɓèl Zhiklè a ɓèl skwi mèshèlè cèw ɓai.
MAT.6.25	Gar haha i gaƋa kinè: Kin hur gèƋ zlau ɓai, a géƋ nshèffè kinè, a géƋ skwi man kin ndia'a, a kin sia'a, a géƋ va kinè, a géƋ skwi man kin fi a va. Nshèffè a nfena skwi n'ndi ɓi Ƌè? Va a nfena skwi nfi a va ɓi Ƌè? 
MAT.6.26	Varka Ƌiakihi t'hwaƋ giƋfèk: ta zleki azɓai, ta ɓicè skwa a wov azɓai, aman Bab kine te zhiklè a va ta skwi n'ndi genè. Kin fen ta mbelembela ɓi ƌe? 
MAT.6.27	Te ndev kinè nslaha a nhérdè nshèffè na kèshkata a ma a ri na, wa? Ko a nhér gèƌ.
MAT.6.28	Kin hér gèƌ a géƌ maslaka èhèmè? Varka nwurzhè bèmbèzh te gi dau, ara man ta grè, ta grè: ta gi mizlinè azɓai, ta tsi maslaka azɓai. 
MAT.6.29	I gaƌa kinè, ko Salomon a n'njèl nenga'a, az ara tenga'a ɓai, ko staƌ te va'a. 
MAT.6.30	Aman Zhiklè a va na va a kuza arsa, kuza man a patsna a zhè, angoslèm ta wusheda a vogwa: a sam kinè a gi arsa azɓi ƌe? Kinè ndohi man kin ca a ndav kumba ɓaií
MAT.6.31	Gar haha kin hur gèƌ zlau ɓai, a kin gaƌa: Nga da ndi mè, nga da si mè, nga da fì a va mè? 
MAT.6.32	Ndohi herkeda ta hér arsa. Aman Bab kinè te zhiklè a sun skwi man kin tèkwènè'a. 
