MAT.1.1	ابراهیم و داوود اُغلی بُلان عیسی مسیحینگ نِسلی اینه، شِیلِدیر:‏
MAT.1.22+MAT.1.23	بولارینگ هِمِّسی خودایینگ پیغامباری سِبَبی:‏
MAT.1.22+MAT.1.23	‏«‏اینه، بیر باکِره قیز گُورِلی بُلوپ، اُغول دُغرار.‏
MAT.1.22+MAT.1.23	اُنونگ آدینا عِمانوئیل داقارلار»‏
MAT.1.22+MAT.1.23	دییّپ آیدان سُزونینگ بِرجای بُلماغی اوچین بُلدی.‏ بو آد ‏«‏خودای بیزینگ بیلِندیر»‏ دییِن مَعنینی بیلدیردیَر.‏
MAT.1.24	یوسف اوقودان اُیانانسُنگ، خودایینگ پِریشده‌سینینگ دِستورینی یِرینه یِتیردی-ده، مریم بیلِن اُیلِندی.‏ 
MAT.1.25	اِمّا مریم اُغلونی دُغوریانچا، یوسف اُنگا یاناشمادی.‏ یوسف دُغان چاغانینگ آدینا عیسی داقدی.‏
MAT.2.1	عیسی هیرودیس پادیشاهینگ زامانیندا، یهودیه‌نینگ بِیت‌لِحِم شَهرینده دُغدی.‏ شُندا مونِجّیملِر گوندُغاردان اورشلیمه گِلیپ:‏ 
MAT.2.2	‏«‏یَهودیلِرینگ پادیشاهسی بُلوپ دُغان چاغا نیرِده؟ بیز اُنونگ ییلدیزینی دُغاندا گُردوک و اُنگا سِجده اِتمَگه گِلدیک»‏ دییدیلِر.‏ 
MAT.2.3	هیرودیس پادیشاه مونی اِشیدِنده، اُنونگ اُزی-ده، هِمّه اورشلیم خالقی-دا باشاغایلیغا دوشدی.‏ 
MAT.2.4	اُل هِمّه یُلباشچی کاهینلاری و دین عُلَمالاری ییغناپ، اُلاردان مسیح نیرِده دُغمالی دییّپ سُرادی.‏ 
MAT.2.5	اُلار شِیله جُغاپ بِردیلِر:‏ ‏«‏اُل یهودیه‌دَکی بِیت‌لِحِم شَهرینده دُغمالی، سِبَبی پیغامبار شِیله یازیپدیر:‏
MAT.2.6	‏”‏اِمّا سِن، اِی، یهودا یوردونداقی بِیت‌لِحِم!‏
MAT.2.6	یهودا حُکومدارلارینگ ایچینده آصلا اینگ کیچیسی دَلسینگ.‏
MAT.2.6	چونکی سِندِن بیر حُکومدار چیقار،
MAT.2.6	خالقیم اسرائیل‌ینگ چُپانیدیر اُل.‏“‏»‏
MAT.2.7	سُنگرا هیرودیس مونِجّیملِری گوزگین چاغیریپ، اُلاردان ییلدیزینگ هاچان گُرنِندیگی بارادا جیکمه-جیک سُرادی.‏ 
MAT.2.8	اُل:‏ ‏«‏بارینگ، چاغا باراداقی خابارینگ آنگیرسینا یِتینگ.‏ اُنی تاپان واقتینگیزا، مانگا دِرِّو خابار بِرینگ.‏ مِن هِم باریپ، اُنگا سِجده اِتجِک»‏ دییّپ، اُلاری بِیت‌لِحِمه ایبِردی.‏ 
MAT.2.9	اُلار پادیشاهی دینگلَپ، یُلا دوشدولِر.‏ اینه، اُلارینگ گُرِن دُغلوش ییلدیزی اُولِرینه دوشوپ، چاغانینگ دُغان یِرینینگ اوستونه گِلیپ دوردی.‏ 
MAT.2.10	ییلدیزی گُرِنلِرینده، اُلارینگ شاتلیقلارینینگ اِندازاسی یُقدی.‏ 
MAT.2.11	اُیه گیریپ، چاغا بیلِن اِنه‌سی مریمی گُردولِر.‏ اُلار دیزا چُکوپ، اُنگا سِجده اِتدیلِر-ده، صاندیقلارینی آچیپ، قیزیل، عاطیر و مُر سُوغات بِردیلِر.‏ 
MAT.2.12	هیرودیسینگ یانینا قایدیپ بارمازلیق حاقدا دیش گُرِن اوچین خابارلی بُلانسُنگ، مونِجّیملِر اُز یورتلارینا باشغا یُل بیلِن قایتدیلار.‏
MAT.2.13	مونِجّیملِر گیدِندِن سُنگ، خودایینگ بیر پِریشده‌سی یوسفینگ دیشینه گیریپ:‏ ‏«‏تور!‏ چاغا بیلِن اِنه‌سینی آل-دا، مصره قاچ.‏ اُزوم خابار بِریَنچَم، شُل یِرده قال، سِبَبی هیرودیس چاغانی اُلدورمِک اوچین اُنی گُزلِمَگَه چیقماقچی بُلیار»‏ دییدی.‏ 
MAT.2.14	شِیلِلیکده، یوسف توردی-دا، چاغا بیلِن اُنونگ اِنه‌سینی آلیپ، شُل گیجه مصرَه طاراف یُلا دوشدی.‏ 
MAT.2.15	اُل تا هیرودیس اُلیَنچَه، شُل یِرده قالدی.‏ شونلوقدا، خودایینگ:‏ ‏«‏مِن اُغلومی مصردِن چاغیردیم»‏
MAT.2.16	مونِجّیملِرینگ آلدانینی بیلیپ، هیرودیس قاهار-غاضابا میندی.‏ اُل مونِجّیملِردِن سُراپ دوشونِن واقتینا گُرَه، بِیت‌لِحِم بیلِن اُنونگ داش-تُوِرِگیندَکی اُبالاردا دُغان ایکی یاشیندَکی و ایکی یاشا یِتمِدیک اِرکِک چاغالارینگ هِمِّسینی اُلدورتدی.‏ 
MAT.2.17	شِیدیپ، اِرمیا پیغامبارینگ شو آیدانلاری بِرجای بُلدی:‏
MAT.2.18	‏«‏رامه‌دِن بیر سِس اِشیدیلدی،
MAT.2.18	آغیر و آجی فِریاد سِسلِری،
MAT.2.18	راحیل چاغالاری اوچین آغلایار،
MAT.2.18	تِسِلّی بِریلمِگینی ایسلِمِیَر،
MAT.2.18	سِبَبی اُلار ایندی یُق.‏»‏
MAT.2.19	هیرودیس اُلِندِن سُنگ، خودایینگ بیر پِریشده‌سی مصرده یوسفینگ دیشینه گیریپ:‏ 
MAT.2.20	‏«‏تور، چاغا بیلِن اُنونگ اِنه‌سینی آل-دا، اسرائیلا دُلان، سِبَبی چاغانینگ جانینینگ قاصتینا چیقانلار اُلدی»‏ دییدی.‏ 
MAT.2.21	سُنگرا یوسف چاغا بیلِن اِنه‌سینی آلیپ، اسرائیلا قایتدی.‏ 
MAT.2.22	یُنه آرکِلایوسینگ اُز آتاسی هیرودیسینگ یِرینه یهودیه‌نینگ پادیشاهسی بُلانینی اِشیدیپ، اُل یِره بارماغا قُرقدی.‏ دیش گُرِن اوچین خابارلی بُلانسُنگ، اُل جلیل وِلایاتینا طاراف یُلا دوشدی.‏ 
MAT.2.23	اُل یِره باریپ، ناصِره دییِن شَهرده مِسگِن توتدی.‏ شِیدیپ، ‏«‏اُنگا ناصِره‌لی دییلِر»‏ دییّپ، پیغامبارلار سِبَبی آیدیلان سُزلِر بِرجای بُلدی.‏
MAT.3.1	شُل گونلِرده یحیی تَعمید بِریَنچی گُرونوپ، یهودیه بیابانیندا واغیظ اِتمَگه باشلادی.‏ 
MAT.3.2	اُل:‏ ‏«‏توبا اِدینگ، سِبَبی آسمانینگ پادیشاهلیغی قُلایلادی»‏ دییَّردی.‏ 
MAT.3.3	اینه، اِشعیا پیغامبارینگ اُل دییّپ:‏
MAT.3.3	‏«‏بیاباندا قیغیریانینگ سِسی:‏
MAT.3.3	‏”‏خودایینگ یُلونی تاییارلانگ!‏
MAT.3.3	اُنونگ یُل‍لارینی دُغرولانگ!‏“‏ دییَّر»‏
MAT.3.3	دییّپ آیدان شُل آدامی یحیادیر.‏
MAT.3.4	یحیانینگ دویه یونگوندِن لِباسلاری، بیلینده قاییشدان قوشاغی باردی.‏ اُنونگ اییمیتی چِکیرتگه بیلِن بیابانینگ بالیدی.‏ 
MAT.3.5	سُنگرا اورشلیمینگ، هِمّه یهودیه‌نینگ و اُردُن اِطرافینینگ هِمّه خالقی اُنونگ یانینا گِلدیلِر.‏ 
MAT.3.6	اُلار گونَه‌لِرینی بُیون آلیاردیلار، یحیی هِم اُلاری اُردُن آرناسیندا تَعمید بِریپ چیقاریاردی.‏
MAT.3.7	یحیی فَریسی‌لِرینگ و صادّوقی‌لارینگ اِنچِمه‌سینینگ تَعمید بِریلمِک اوچین اُز یانینا گِلیَندیکلِرینی گُرِنده، اُلارا شِیله دییدی:‏ ‏«‏اِی ییلانینگ نِسلی!‏ گِلجِک غاضابدان قاچماغی سیزه کیم بیلدیردی؟ 
MAT.3.8	موندان بِیلَک اِدِن توبانگیزا میناسیپ میوه بِرینگ.‏ 
MAT.3.9	اُز یانینگیزدان:‏ ‏”‏بیزینگ آتامیز ابراهیمدیر“‏ دییّپ فیکر اِتمَنگ.‏ مِن سیزه شونی آیدایین:‏ خودای ابراهیم اوچین شو داشلاردان هِم فِرزِنت یارادیپ بیلیَندیر!‏ 
MAT.3.10	و شو زامان پالتا باغلارینگ دویبونده یاتیر:‏ قاوی میوه بِرمِیَن هِر بیر باغ چاپیلیپ، اُدا آتیلار.‏ 
MAT.3.11	توبا اِدِندیگینگیزینگ نیشانی حُکمونده مِن سیزی سووا تَعمید بِریَرین، اِمّا مِندِن سُنگرا گِلجِک مِندِن-ده خاص گویچلیدیر.‏ مِن اُنونگ کُووشلِرینی گُتِرمَگه-ده میناسیپ دَلدیرین.‏ اُل سیزی مُقادِّس روحا هِم-ده اُدا تَعمید بِرِر.‏ 
MAT.3.12	اُنونگ خارمان آراسّالایان چارشاخی اِلیندِدیر.‏ اُل خارمان یِرینی سوپوریپ، بوغدایینی آمّارا ییغنار.‏ سامانی بُلسا سُنمِز اُتدا یاقار.‏»‏
MAT.3.13	سُنگرا عیسی یحیی طارافیندان تَعمید بِردیریلمِک اوچین جلیل‌دِن اُردُنا، یحیانینگ یانینا گِلدی.‏ 
MAT.3.14	اِمّا یحیی اُنی ساقلاپ:‏ ‏«‏سِن مِنی تَعمید بِرمِلی، سِنینگ اُزونگ مِنینگ یانیما گِلیَرسینگمی؟»‏ دییدی.‏ 
MAT.3.15	عیسی اُنگا:‏ ‏«‏دِگمه، حَضیر شِیله بُلسون، سِبَبی بیزه خودایینگ ایسلِگینی بِرجای اِتمِک گِلیشیَندیر»‏ دییّپ جُغاپ بِردی.‏
MAT.3.16	عیسی تَعمید بِریلیپ، سودان چیقان واقتیندا آسمان آچیلدی.‏ عیسی خودایینگ روحونی کِپدِره مِنگزِش اُز اوستونه اینیپ گِلیَنینی گُردی.‏ 
MAT.3.17	شُندا آسماندان گِلِن بیر سِس:‏ ‏«‏بو مِنینگ عزیز اُغلومدیر.‏ مِن اُندان کَن راضیدیرین»‏ دییدی.‏
MAT.4.1	سُنگرا عیسی شِیطان طارافیندان ایمتِحان بُلماق اوچین مُقادِّس روح سِبَبی بیابانا اَکیدیلدی.‏ 
MAT.4.2	عیسی قیرق گیجه-گوندیز آرازا توتاندان سُنگرا آجیقدی.‏ 
MAT.4.3	شُل واقت اُنونگ یانینا وِسوِسه‌چی شِیطان گِلیپ:‏ ‏«‏اِگِر سِن خودایینگ اُغلی بُلیان بُلسانگ، اُندا شو داشلارینگ چُرِگه اُورولمِگینی بویور»‏ دییدی.‏ 
MAT.4.4	اِمّا عیسی اُنگا:‏ ‏«‏‏”‏اینسان یِکه چُرِک بیلِن یاشامایار، اُندان باشغا خودایینگ آغزیندان چیقان هِر بیر سُز بیلِن هِم یاشایاندیر“‏ دییّپ یازیلاندیر»‏ دییّپ جُغاپ بِردی.‏
MAT.4.5	سُنگرا شِیطان عیسانی مُقادِّس شَهره گِتیردی.‏ اُنی عیباداتخانانینگ دِپه‌سینه چیقاریپ:‏ 
MAT.4.6	‏«‏اِگِر سِن خودایینگ اُغلی بُلسانگ، اُزونگی آشاق اُقلا.‏ چونکی شِیله یازیلاندیر:‏ اُل پِریشده‌لِرینه سِن باباتدا دِستور بِرِر، آیاغینگ داشا بودوریمِز یالی، اُلار سِنی اِل‍لِرینده گُتِرِر»‏ دییدی.‏
MAT.4.7	عیسی اُنگا:‏ ‏«‏‏”‏تانگری خودایینگیزی ایمتِحان اِدمَنگ“‏ دییّپ هِم یازیلاندیر»‏ دییدی.‏
MAT.4.8	شِیطان بو گِزِک عیسانی اولی بیر داغینگ باشینا چیقاردی.‏ اُنگا دونیَه‌نینگ هِمّه شاهلیقلارینی و اُلارینگ بِییکلیگینی گُرکِزیپ:‏ 
MAT.4.9	‏«‏اِگِر دیزینگا چُکوپ، مانگا سِجده اِتسِنگ، بولارینگ بارینی سانگا بِرِیین»‏ دییدی.‏ 
MAT.4.10	عیسی اُنگا:‏ ‏«‏یُق بُل، شِیطان!‏ ‏”‏تانگری خودایینگیزا سِجده اِدینگ، یِکه اُنگا خیدمات اِدینگ“‏ دییّپ یازیلاندیر»‏ دییدی.‏
MAT.4.11	شوندان سُنگ شِیطان عیسانی قُیوپ گیتدی.‏ پِریشده‌لِر گِلیپ، عیسی خیدمات اِتدیلِر.‏
MAT.4.12	عیسی یحیانینگ زیندان اِدیلِندیگینی اِشیدِنده، جلیلَه دُلانیپ گِلدی.‏ 
MAT.4.13	اُل اَوَّل ناصِره شَهرینه گِلدی، اِمّا اُل یِرده اوزاق اِگلِنمَن، زِبولون بیلِن نافتالی وِلایاتیندَکی جلیل دِریانینگ کِناریندا یِرلِشیَن کَفَرناحوم‌دا جایلاشدی.‏ 
MAT.4.14	شونلوقدا، اِشعیا پیغامبارینگ اوستو بیلِن آیدیلان شو سُز بِرجای بُلدی:‏
MAT.4.15	‏«‏اِی زِبولون و نافتالی یوردی،
MAT.4.15	دِریا یُلونینگ تُوِرِگیندَکی،
MAT.4.15	اُردُن آرناسینینگ گوندُغاریندَکی یورت،
MAT.4.15	بیگانه میلِّتلِرینگ یاشایان یِری بُلان جلیل‌سی!‏
MAT.4.16	قارانگقیلیقدا باریان خالق اولاقان نور گُردی،
MAT.4.16	اُلوم کُلِگه‌ده یاشایانلارینگ اوستونه نور سِچیلدی.‏»‏
MAT.4.17	شُل واقتدان باشلاپ، عیسی:‏ ‏«‏توبا اِدینگ!‏ آسمانینگ پادیشاهلیغی قُلایلادی»‏ دییّپ، واغیظ اِتمَگه باشلادی.‏
MAT.4.18	عیسی جلیل دِریانینگ کِناریندان گِچیپ باریارقا، ایکی دُغانینگ دِریایا تُر زینگیپ دورانلارینی گُردی.‏ اُلارینگ بیری پِطرُس لاقابی شمعون، بِیلِکیسی هِم آندرِیاسدی.‏ اُلار بالیقچیدیلار.‏ 
MAT.4.19	عیسی اُلارا:‏ ‏«‏مِنینگ ایزیما دوشونگ، مِن سیزی اینسان توتیان بالیقچیلار یالی اِدِرین»‏ دییدی.‏ 
MAT.4.20	اُلار هِم شُل واقتینگ اُزونده تُرلارینی قُیوپ، اُنونگ ایزینا دوشدولِر.‏
MAT.4.21	بیرآز یُرییِنلِریندِن سُنگ، عیسی باشغا ایکی دُغانی، زِبِدینینگ اُغول‍لاری یعقوب بیلِن یوحنانی گُردی.‏ اُلار قاییقینگ ایچینده آتالاری زِبِدی بیلِن تُرلارینی بِجِریپ اُتیردیلار.‏ عیسی اُلاری چاغیردی.‏ 
MAT.4.22	اُلار هِم دِرِّو قاییق بیلِن آتالاری زِبِدینی تِرک اِدیپ، عیسانینگ ایزینا دوشدولِر.‏
MAT.4.23	عیسی هِمّه جلیلی آیلانیپ چیقدی، اُل یِردَکی کِنیسه‌لِرده تَعلیم بِردی و آسمانینگ پادیشاهلیغینینگ خوش خابارینی واغیظ اِتدی، خالقینگ آراسینداقی هِر هیلی دِرتلِری و مِریضچیلیکلِری شِفا بِردی.‏ 
MAT.4.24	اُنونگ آد-آوازاسی هِمّه سوریه یایرادی، هِر هیلی دِرتلِره دوچار بُلان هِمّه مِریضلِری، دیوانالاری، توتماغلیلاری و فِلِجلِری عیسانینگ یانینا گِتیردیلِر، اُل هِم اُلاری شِفا بِردی.‏ 
MAT.4.25	جلیل‌دِن، دِکاپولیسدِن، اورشلیمدِن، یهودیه‌دِن و اُردُنینگ گوندُغار طارافیندان اولی جِماغات اُنونگ ایزینا دوشدی.‏
MAT.5.1	عیسی اویشِن جِماغاتی گُروپ، داغا چیقیپ اُتوردی.‏ شَگیرتلِری اُنونگ یانینا گِلدیلِر، 
MAT.5.2	عیسی هِم اُلارا اُورِتمَگه باشلادی:‏
MAT.5.3	‏«‏روحی قاریپلار خوشواقتدیر،
MAT.5.3	چونکی آسمانینگ پادیشاهلیغی اُلارینگقیدیر.‏
MAT.5.4	یاس توتیانلار خوشواقتدیر،
MAT.5.4	چونکی اُلارا تِسِلّی بِریلِر.‏
MAT.5.5	فُروتَن آداملار خوشواقتدیر،
MAT.5.5	چونکی اُلار یِر یوزونی میراث آلارلار.‏
MAT.5.6	عادالاتلیغا آجیغیپ-سوسانلار خوشواقتدیر،
MAT.5.6	چونکی اُلار دُیارلار.‏
MAT.5.7	رِحم اِدیَنلِر خوشواقتدیر،
MAT.5.7	چونکی اُلارا-دا رِحم اِدیلِر.‏
MAT.5.8	قالبی پَکلِر خوشواقتدیر،
MAT.5.8	چونکی اُلار خودایی گُرِرلِر.‏
MAT.5.9	پاراحاتلیق دُرِدیَنلِر خوشواقتدیر،
MAT.5.9	چونکی اُلارا خودایینگ اُغول‍لاری دییلِر.‏
MAT.5.10	تاقوالیق اوچین آزارلانانلار خوشواقتدیر،
MAT.5.10	چونکی آسمانینگ پادیشاهلیغی اُلارینگقیدیر.‏
MAT.5.11	‏«‏مِن سِبَپلی سِوولِن، آزارلانان و ناحاق یِره هِر هیلی غیباتینگیز اِدیلِن ماحالی سیز خوشواقتسینگیز!‏ 
MAT.5.12	شاتلانینگ، بِگِنینگ، سِبَبی آسماندا آلجاق سیلاغینگیز اولودیر.‏ سیزدِن اُنگ پیغامبارلار-دا شِیدیپ آزارلاندیلار.‏
MAT.5.13	‏«‏سیز دونیَه‌نینگ دوزوسینگیز، اِمّا دوز طاغامینی ییتیرسه، اُندا اُل نَمه بیلِن دوزلانار؟ داشاری زینگلیپ، آیاق آشاغیندا دِپِلِنمِکدِن باشغا هیچ زادا یاراماز.‏
MAT.5.14	‏«‏سیز دونیَه‌نینگ نوریسینگیز.‏ دِپه‌ده قورلان شَهری گوزگَپ بُلماز.‏ 
MAT.5.15	چیراغی یاقیپ، قابینگ آشاغیندا قُییان دَلدیرلِر.‏ اُنی چیراغدانینگ اوستونده قُییاندیرلار، شُندا اُل اُیدَکیلِرینگ هِمِّسینه نور بِریَندیر.‏ 
MAT.5.16	دِگمه، سیزینگ نورینگیز آداملارینگ اُوونده پارلاسین، شُندا اُلار قاوی ایشلِرینگیزی گُروپ، آسمانداقی آتانگیزی اُوسینلِر.‏
MAT.5.17	‏«‏مانگا تُورات بیلِن پیغامبارلارینگ یازغیلارینی باطل اِتمَگَه گِلِندیر دییّپ گومَن اِتمَنگ.‏ مِن باطل اِتمَگَه دَل-ده، اُلاری یِرینه یِتیرمَگَه گِلدیم.‏ 
MAT.5.18	سیزه دُغروسینی آیدیارین، آسمان بیلِن یِر گِچیپ گیتیانچا، هِمّه زات یِرینه یِتیَنچَه، تُورات‌دان یِکِجه حارپ-دا، بیر نُقتا-دا ییتمِز.‏ 
MAT.5.19	شُنونگ اوچین هِم کیم بو دِستورلارینگ اینگ کیچیسیندِن بیرینی پُزسا و شِیله اِتمِگی باشغالارا اُورِتسه، اُل آسمانینگ پادیشاهلیغیندا اینگ کیچی حاساپلانار.‏ اِمّا کیم بولاری بِرجای اِدیپ، باشغالارا-دا اُورِتسه، اُل آسمانینگ پادیشاهلیغیندا اولی حاساپلانار.‏ 
MAT.5.20	مِن سیزه شونی آیدیارین:‏ دُغرولیغینگیز دین عُلَمالارینگقی بیلِن فَریسی‌لِرینگکیدِن اولی بُلماسا، آسمانینگ پادیشاهلیغینا آصلا گیرمِرسینگیز.‏
MAT.5.21	‏«‏سیز آتا-بابالاریمیزا:‏ ‏”‏آدام اُلدورمه، کیم آدام اُلدورسه، حُکومه سِزِوار بُلار“‏ آیدانلارینی اِشیدِنسینگیز.‏
MAT.5.22	اِمّا مِن سیزه شونی آیدایین:‏ اُز دُغانینا قاهارلانان آدام هِم حُکومه سِزِوار بُلار.‏ کیم اُز دُغانینا ‏”‏سامسیق“‏ دییسه، اولی حُکومینه سِزِوار بُلار.‏ حتّیٰ هیچ کیم ‏”‏آحماق“‏ هِم دییمِسین، یُغسام دُوزاخینگ اُدونا سِزِوار بُلار.‏
MAT.5.23	‏«‏شُنونگ اوچین قربانلیق جاییندا صاداقا بِرمَگه باریارقانگ، دُغانینگ سِندِن اُیکه-کینِسینینگ باردیغی یادینگا دوشسه، 
MAT.5.24	قربانلیق جایینگ اُوونده قُی-دا، گیدیپ اُوونچَک دُغانینگ بیلِن یاراش.‏ سُنگرا گِلیپ، صاداقانگی هُدورله.‏
MAT.5.25	‏«‏سِن داعواچینگ بیلِن هِنیز یُلدا باریارقانگ یاراش، یُغسام اُل سِنی قاضییا، قاضی هِم زیندان ساقچیسینا تابشیرایماسین.‏ شِیدیپ، سِن زیندانا دوشمِگینگ آخمال.‏ 
MAT.5.26	سانگا دُغروسینی آیدیارین، اینگ آخیرقیجا سِکّه‌نگی تُلِیَنچَنگ، اُل یِردِن آصلا چیقمارسینگ.‏
MAT.5.27	‏«‏سیز:‏ ‏”‏زینا اِتمه“‏ آیدانلارینی اِشیدِنسینگیز.‏
MAT.5.28	اِمّا مِن سیزه، بیر آیالا هُوِس بیلِن باقان آدام اُز یورِگینده اِییَم اُنونگ بیلِن زینا اِدِندیر دییَّرین.‏ 
MAT.5.29	ساغ گُزونگ سِنینگ گونَه اِتمِگینگه سِبَپ بُلسا، اُنی سُغروپ چیقار.‏ بیر بُلِک بِدِنینگ یُق بُلماغی هِمّه بِدِنینگ دُوزاخا زینگیلماغیندان قاوودیر.‏ 
MAT.5.30	ساغ اِلینگ سِنینگ گونَه اِتمِگینگه سِبَپ بُلسا، اُنی چاپیپ زینگ.‏ بیر بُلِک بِدِنینگ یُق بُلماغی هِمّه بِدِنینگ دُوزاخا زینگیلماغیندان قاوودیر.‏
MAT.5.31	‏«‏شِیله هِم:‏ ‏”‏کیم آیالینی کُووپ گُیبِرسه، اُنگا طالاق نامه‌سینی بِرسین“‏ آیدیلاندیر.‏
MAT.5.32	اِمّا مِن سیزه دییَّرین، هِر کیم زینادان باشغا سِبَپ بیلِن آیالینی طالاق بِرِن آدام اُنونگ زینا اِتمِگینه سِبَپ بُلیاندیر.‏ طالاق آلان آیال بیلِن اُیلِنِن آدام هِم زینا اِدیَندیر.‏
MAT.5.33	‏«‏سیز یِنه قادیمقیلارا:‏ ‏”‏یالاندان قاسام ایچمه، اِمّا خودایینگ اُوونده ایچِن قاساملارینگی بِرجای اِت“‏ آیدانلارینی هِم اِشیدِنسینگیز.‏
MAT.5.34	اِمّا مِن سیزه آصلا قاسام ایچمَنگ دییَّرین:‏ نه آسمانا، چونکی آسمان خودایینگ تاختیدیر؛ 
MAT.5.35	نه یِره، چونکی یِر اُنونگ آیاقلارینینگ دوشِکدیر؛ نه-ده اورشلیمه، چونکی اُل بِییک پادیشاهنینگ شَهریدیر.‏ 
MAT.5.36	اُز باشینگیزا هِم قاسام ایچمَنگ، سِبَبی سیز اُنونگ یِکه قیلینی-دا آق یا قارا اِدیپ بیلیَن دَلسینگیز.‏ 
MAT.5.37	سیزینگ ‏”‏هاووانگیز“‏ هاووا، ‏”‏یُغونگیز“‏ یُق بُلسون.‏ موندان آرتیغی شِیطانداندیر.‏
MAT.5.38	‏«‏سیز:‏ ‏”‏گُزه — گُز، دیشه — دیش“‏ آیدانلارینی اِشیدِنسینگیز.‏
MAT.5.39	اِمّا مِن سیزه شونی آیدایین:‏ یامان آداما قارشی دورما.‏ سِنینگ ساغ یانگاغینگا اورانا، بِیلِکی یانگاغینگی-دا توت.‏ 
MAT.5.40	سِنینگ بیلِن داعوالاشیپ، کُینِگینگی آلجاق بُلیانا دُنونگی-دا بِر.‏ 
MAT.5.41	کیم سِنی اُزی بیلِن بیر کیلومِتر یُل یُریمَگه مِجبور اِتسه، سِن اُنونگ بیلِن ایکی کیلومِتر یُل یُری.‏ 
MAT.5.42	دیلَنه — بِر، قارض دیلِیَندِن یوزونگی اُوورمه.‏
MAT.5.43	‏«‏سیز:‏ ‏”‏هِمسایانگی سُی، دوشمانینگی ییگرِن“‏ آیدانلارینی هِم اِشیدِنسینگیز.‏
MAT.5.44	اِمّا مِن سیزه شونی آیدایین:‏ دوشمانلارینگیزی سُیونگ، اُزونگیزی اِذیِت بِریَنلِر اوچین دُغا-دیلِگ اِدینگ.‏ 
