MAT.1.1	Ini ne ban tepuʹun tepun Yesus Keristus cen mela Daut, iaʹ ina mela Ibrahim.
MAT.2.3	Dalau Herudis kenahan dau denga ina, tai maru ne kaʹ kimet te, pekina pe ketoʹ de diaʹ dalem lepoʹ Yerusalim. 
MAT.2.4	Sulo Herudis kelimpun mung detaʹu lataʹ, ngan diaʹ guru Katuk Adet, penco ho lemutu ida, un dau ue: “Lan Tuhan Allah petuket ke naʹ ca laki paren bioʹ milu. Kempi ukoʹ o kenai pempet baʹan dau ue?”
MAT.2.5	Un dau re mipa Herudis: “Kaʹ lepoʹ Bitlahim kaʹ tanaʹ Yudia. Uban ne pekini dau iaʹ pegawa Tuhan nyurat are:
MAT.2.6	‘Ahaʹ lepoʹ Bitlahim kaʹ tanaʹ Yudia:
MAT.2.6	Ayen kuma ikoʹ iaʹ iʹut laleʹ neng ahang diaʹ paren Yudia,
MAT.2.6	uban cen ikoʹ kenai ca tuʹa,
MAT.2.6	iaʹ ke mampin pemanak keʹ lepoʹ Israil.’ ”
MAT.2.7	Sulo Herudis nyelem petiraʹ ngan kelunan diaʹ mencam ngetisen sen betuʹen dina, apan ne tisen lan cen ida midan tading nte taʹan betuʹen ina. 
MAT.2.8	Sulo Herudis cuk ida tai kaʹ Bitlahim. Un dau ue: “Tai ne ikem nugen ngan ngetisen puyan anak ina. Buk kem tegoʹ ia ʹo, badaʹ lete makeʹ, apan nceʹ tisen tai tunuk ngan nyelama ia ʹo.”
MAT.2.9	Sulo ketai diaʹ mencam ngetisen sen betuʹen dina puke. Neng ahang janan ida taʹan ne betuʹen iaʹ ida lepa taʹan tahaʹ sek tau ading nte. Betuʹen ina tai masat tahaʹ tena ida, penco ngelineʹ kempau kukoʹ anak ina un. 
MAT.2.10	Uʹo re taʹan betuʹen ina, bangen laleʹ ne tekaʹ kimet de dina. 
MAT.2.11	Tai re kedalem amin ina, penco re taʹan anak ina, ngan ueʹ e Mariam. Sulo re sutlep nyelama anak ina. Sulo re mesik buhan inu re, penco re naʹ mia pengencai mas, kemenyan, ngan lisan tumu.
MAT.2.12	Lepa ina Tuhan Allah badaʹ me kelunan diaʹ mencam ngetisen sen betuʹen dina dalem kenupi re, mulen ida tai uleʹ palaʹ Herudis laʹa. Ina ukoʹ tuman nte tai uleʹ kaʹ lepoʹ de cen janan diaʹ ca.
MAT.2.13	Uʹo kelunan diaʹ mencam ngetisen sen betuʹen dina tai mecin, sulo nai ca melikat luhaʹ dalem kenupi Yusup, un dau ue: “Beteʹ ne ikoʹ, alaʹ anak ina ngan ueʹ e. Tai ne ikem kelap kaʹ lepoʹ Masir. Ngelineʹ ne ikem kina pa nai heʹ badaʹ isiu mikem laʹa, ban ne Herudis kenai pita anak ini, ubaʹ ke lematai ia.”
MAT.2.14	Nai Yusup taga alem ina, penco ho alaʹ anak ina peging ngan ueʹ e, penco re mecin tai kaʹ lepoʹ Masir. 
MAT.2.15	Sulo ngelineʹ ne ida kaʹ lepoʹ Masir pa Herudis matai.
MAT.2.15	Ini lepa nuyan kuʹun isiu Tuhan iaʹ ban pegawa Tuhan lepa badaʹ, pekini dau ue: “Cen lepoʹ Masir lete akeʹ ke mengin Anak keʹ.”
MAT.2.16	Tisen ne Herudis ban kelunan diaʹ mencam ngetisen sen betuʹen dina ngaken ia, buseʹ laleʹ ne kaʹ a. Penco ho cuk dulu tai lematai ketoʹ anak laki diaʹ kaʹ lepoʹ Bitlahim peging ngan dale iaʹ pipa kina, diaʹ dua uman pengebioʹ de ngan diaʹ dumit kentaʹ kina. Herudis pekihoʹ pekina, ban lepa ne ia nugen kelunan diaʹ mencam ngetisen sen betuʹen dina midan tading nte taʹan nai betuʹen ina luhaʹ.
MAT.2.17	Ngan puyan ini tai nuyan ne dau isiu pegawa Yeremia iaʹ kuma ha:
MAT.2.18	“Kaʹ dale Rama dulu ke kenahan dau tuyau tidau ngan tange.
MAT.2.18	Rakil ke nidau diaʹ anak ke.
MAT.2.18	Abeʹ e ubaʹ dulu ke niga kimet te,
MAT.2.18	uban ia nawai mung anak ke diaʹ lepa matai.”
MAT.2.19	Uʹo Herudis matai, Yusup ngenupi kaʹ tanaʹ Masir, sulo nai ca melikat Tuhan luhaʹ palaʹ ia. 
MAT.2.20	Un dau melikat ina neng ia: “Beteʹ ne, ngkin anak ina ngan ueʹ e ngeliwet kaʹ tanaʹ Israil, ban kelunan diaʹ ten ke lematai anak ina are, lepa ne ida matai.” 
MAT.2.21	Penco nai Yusup beteʹ, alaʹ anak ina ngan ueʹe, tai ngeliwet kaʹ tanaʹ Israil.
MAT.2.22	Dalau Yusup tisen puyan Akelaus anak Herudis tai nuyan paren bioʹ kaʹ tanaʹ Yudia saliu amai ie, takut ne tekaʹ kimet Yusup ke ngelineʹ kina. Mepit pelaʹa Tuhan badaʹ mia dalem kenupi ie. Ina ukoʹ o tai kaʹ tanaʹ Galilia, 
MAT.2.23	ngan uyan amin ne kaʹ ca lepoʹ ngadan ne Nasarit. Yusup uyan puyan ina apan ne pekuaʹ ngan dau isiu diaʹ pegawa cen naʹaʹ kuma ha: “Dulu ke pisiu ia kelunan Nasarit.”
MAT.3.1	Ngajan udip inaʹ nai Yaya Guru Batis nading pedenga katuk Tuhan neng tanaʹ lenga kaʹ tanaʹ Yudia. 
MAT.3.2	Un dau Yaya: “Nyepuleʹ ne kimet cem cen penyalaʹ kem. Abeʹ e majan laʹa kenai luhaʹ ne puyan pengaren Tuhan Allah ke ngaren ilu kelunan.” 
MAT.3.3	Un dau isiu pegawa Yesaya cen naʹaʹ sihoʹ neng puyan Yaya, iaʹ pekini dau ue:
MAT.3.3	“Un ca kelunan iaʹ ngelengap kaʹ tanaʹ lenga.
MAT.3.3	Un dau ue: ‘Petenup ne janan me Tuhan.
MAT.3.3	Petelit ne janan ukoʹ kenai ie.’ ”
MAT.3.4	Un gelam Yaya cen bulu pun unta, ngan seketeng nge anit pun. Ngan penguman ne pahu ngan nyihoʹ layuk. 
MAT.3.5	Nai dulu cen lepoʹ Yerusalim ngan cen tanaʹ Yudia peging ngan ketoʹ dale pipa sungai Yardin. Nai re nuʹa Yaya Guru Batis. 
MAT.3.6	Kelunan dina are, ngahaʹ badaʹ puyan penyalaʹ de, sulo Yaya ngebatis ida kaʹ sungai Yardin.
MAT.3.7	Dalau ina kun Yaya taʹan kadoʹ kenai kelunan Perisi ngan kelunan Seduki nai palaʹ ia, ke cuk ia ke ngebatis ida. Un dau Yaya neng ida: “Ikem diaʹ kimet ncung ulai, aheʹ iaʹ badaʹ mikem iaʹ un janan ncem senteng ke takau cen kenca Tuhan Allah iaʹ ke nai ʹo? 
MAT.3.8	Uyan ne pemuyan iaʹ ke badaʹ ban ncem lepa nyepuleʹ kimet cem cen penyalaʹ kem. 
MAT.3.9	Ayen ngata kuma ikem senteng ke peteneng puyan ncem man isiu hem kuma: ‘Ibrahim ina tepun meʹ.’ Akeʹ badaʹ mikem, Tuhan Allah senteng ke uyan mela Ibrahim cen batu dini. 
MAT.3.10	Asai lepa tenup neng puʹun kayu. Ketoʹ inan buaʹ iaʹ abeʹ un ke un buʹan iaʹ tiga, dulu ke nepeng nge ngan pet te kaʹ luten. 
MAT.3.11	Akeʹ ngebatis ikem man sungai, ke nedanaʹ ikem lepa nyepuleʹ kimet cem cen penyalaʹ kem. Ban ne un ca iaʹ kenai bayaʹ akeʹ ini ʹo, ia iaʹ ke ngebatis ikem man Berua Buheʹ ngan luten. Ia iaʹ atek bioʹ neng ʹo akeʹ, di pe ke ngkang sepatu ue, abeʹ pe akeʹ tekep. 
MAT.3.12	Un koʹ baʹan ca tapan are neng ujoʹ o, petenup ke napan mung padai ie. Padai ie ia ke pempun kaʹ dalem lepubung. Un sepe tang nge ia ke nutung kaʹ luten iaʹ abeʹ un tisen tai pataʹ.”
MAT.3.13	Dalau ina, tai kun Yesus puke cen lepoʹ Galilia, tai palaʹ Yaya Guru Batis kaʹ sungai Yardin, apan Yaya ke ngebatis ia. 
MAT.3.14	Un sepuʹo Yaya ten ke ngaliu kimet Yesus man isiu iaʹ pekini dau: “Akeʹ iaʹ tekep ikoʹ ke ngebatis. Inu adeʹ akeʹ iaʹ ikoʹ cuk ke ngebatis ikoʹ?”
MAT.3.15	Un dau Yesus mipa Yaya: “Talan ne. Inu pia pekini naʹkini, uban kuʹun puyan iaʹ pekini tua ke bayaʹ dau mung pengubaʹ Tuhan Allah.”
MAT.3.15	Sulo Yaya mayo dau Yesus. 
MAT.3.16	Lepa Yaya ngebatis Yesus, sulo Yesus pejakaʹ nai kempau cen sungai ina. Beliau pesik ne langit me Yesus, sulo ho taʹan kenai Berua Buheʹ cen mpau, koʹ baʹan puyan ca sui garaʹ are, penco ngedung neng Yesus. 
MAT.3.17	Uʹo ina un dau ca isiu cen langit iaʹ pekini dau ue: “Ini ne Anak keʹ iaʹ pengemalaʹ keʹ, ngan ia lete iaʹ atek sihoʹ neng pengubaʹ keʹ.”
MAT.4.1	Lepa ina, Berua Buheʹ penco ngkin Yesus kaʹ tanaʹ lenga apan Bali ke ten ia. 
MAT.4.2	Pat puloʹ tau ngan pat puloʹ alem Yesus abeʹ un uman. Uʹo ina, laʹu ne tekaʹ a. 
MAT.4.3	Un dau kenai Bali neng ia: “Buk koʹ Anak Tuhan Allah, tiga hoʹ cuk batu dini ngaliu kanen.”
MAT.4.4	Un dau ipa Yesus neng Bali ina: “Un ca jo isiu dalem Kitap iaʹ kuma ha: ‘Abeʹ e kuʹun penguman tuaʹ le kelunan senteng ke mudip, un sepuʹo kuʹun singket luʹung tiraʹ iaʹ Tuhan Allah pisiu milu.’ ”
MAT.4.5	Uʹo ina tai Bali ngkin Yesus kaʹ Yerusalim, naʹ ia kukoʹ iaʹ mpau kaʹ belubung Umaʹ Palan Allah. 
MAT.4.6	Kun dau Bali mia: “Buk lan ncoʹ Anak Tuhan Allah, nai ne ikoʹ petuhun kentaʹ, moʹ un dau isiu dalem Kitap iaʹ kuma ha: ‘Un Tuhan Allah ke cuk melikat te ke jagaʹ ikoʹ, ngan ke nahek ikoʹ man ujoʹ de, apan taket coʹ abeʹ un ke pegoʹ neng batu.”
MAT.4.7	Un dau Yesus mipa ia: “Un pe laʹa dau isiu dalem Kitap iaʹ kuma ha: ‘Ayen ncoʹ ten Allah, Tuhan ncoʹ.’ ”
MAT.4.8	Lepa ina tai Bali ngkin Yesus neng usun ca mudung iaʹ atek mpau. Kina ha badaʹ mia mung seʹ puyan pengaren usun tanaʹ ini, ngan seʹ pengebioʹ de. 
MAT.4.9	Sulo dau Bali neng Yesus: “Mung dini akeʹ ke naʹ mikoʹ buk koʹ sutlep ngan lemameʹ palaʹ akeʹ.”
MAT.4.10	Dau Yesus mipa ia: “E Sitan, tai nikoʹ kelap. Un dau isiu dalem Kitap: ‘Tekep koʹ lemameʹ palaʹ Allah iaʹ Tuhan ncoʹ. Bang tunuk ne palaʹ ia tengen le.’ ”
MAT.4.11	Uʹo ina ne Bali tai mecin Yesus, sulo nai kudaʹ kadoʹ melikat mepo ia.
MAT.4.12	Tegoʹ Yesus kenahan dau denga dulu nyepin Yaya, penco ketai ie kaʹ tanaʹ Galilia. 
MAT.4.13	Abeʹ e majan ngelineʹ kaʹ lepoʹ Nasarit, un sepuʹo penco tai ie ngelineʹ kaʹ lepoʹ Kapernaum, ca lepoʹ bioʹ kaʹ sada bahi leteng Galilia dalem dale Sebulun ngan Naptali. 
MAT.4.14	Puyan ini tai nuyan apan isiu pegawa Yesaya cen naʹaʹ ketai palup, iaʹ pekini dau:
MAT.4.15	“Ahaʹ tanaʹ Sebulun ngan tanaʹ Naptali,
MAT.4.15	iaʹ jo sileʹ tahaʹ leteng bioʹ, ngan tahaʹ dipa sungai Yardin,
MAT.4.15	tanaʹ Galilia, dulu diaʹ ca iaʹ nganun ne.
MAT.4.16	Kelunan diaʹ mudip dalau ntem ke taʹan ca serema iaʹ bioʹ.
MAT.4.16	Neng usunida diaʹ mudip dalau ntem neng tanaʹ jaka, serema inaʹ iaʹ ke ngedema ida.”
MAT.4.17	Cen dalau ina Yesus nading ke penco badaʹ katuk ke, pekini dau ue: “Nyepuleʹ ne kimet cem cen penyalaʹ kem, ban abeʹ majan laʹa kenai luhaʹ ne puyan pengaren Tuhan Allah ke ngaren ilu kelunan.”
MAT.4.18	Tegoʹ tai Yesus masat kaʹ sada bahi leteng Galilia, kun ne taʹan dua re padeʹ diaʹ pegayeng mita atuk. Simun iaʹ dulu pisiu Peterus, ngan Anderias iaʹ sadin ne. Dalau re nejalaʹ, 
MAT.4.19	un dau Yesus neng ida dua: “Nai ne ikem dua tugung akeʹ. Akeʹ ke pekatuk ikem kumpin puyan ke nejalaʹ kelunan.” 
MAT.4.20	Sulo re dua padeʹ mahung tejalaʹ re dua, penco tai bayaʹ Yesus.
MAT.4.21	Tai Yesus penco asat te laʹa, kun ne taʹan dua re padeʹ pelaʹa, ngadan nte dua Yakup ngan Yaya anak Sapdi, kaʹ dalem alut lepe ida dua peging ngan amai re dua, dalau seʹ re petenup tejalaʹ de. Sulo Yesus mengin ida. 
MAT.4.22	Dalau ina lete ida dua mecin alut de ngan amai re dua, penco tai bayaʹ Yesus.
MAT.4.23	Yesus tai masat pa tipo tanaʹ Galilia, mentung nge pekatuk dalem singket amin sebayang. Kun Yesus badaʹ denga tiga neng puyan pengaren Tuhan Allah ke ngaren ilu kelunan. Sulo Yesus paget dulu neng ketoʹ naʹan penyakit. 
MAT.4.24	Purat ne denga Yesus pa libut tanaʹ Siria, pabeʹ kenai dulu ngkin kadoʹ kelunan diaʹ sihoʹ kadoʹ naʹan penyakit palaʹ ia. Un palai diaʹ keta ngan tuyen. Un palai diaʹ bali nelasek. Un palai sepen. Un palai diaʹ sakit uhat. Sulo Yesus paget ida mung. 
MAT.4.25	Kadoʹ dulu nai bayaʹ ia cen tanaʹ Galilia ngan cen dale puloʹ lepoʹ, cen Yerusalim, cen Yudia, ngan cen tanaʹ tahaʹ dipa sungai Yardin.
MAT.5.1	Dalau Yesus taʹan kelunan kadoʹ dina, sulo tai ie neng usun ca mudung ngan madung kidi. Mung nte diaʹ bayaʹ dau katuk ke pempun teliling ia. 
MAT.5.2	Sulo ho nading pekatuk ida:
MAT.5.3	“Bangen ne kelunan diaʹ tisen ida kasip tekaʹ neng berua re;
MAT.5.3	ban ne ida iaʹ ke kahum dalem puyan pengaren
MAT.5.3	Tuhan Allah ke ngaren ilu kelunan.
MAT.5.4	“Bangen ne kelunan diaʹ nange;
MAT.5.4	ban ne Allah iaʹ ke niga kimet de.
MAT.5.5	“Bangen ne kelunan diaʹ ngelibaʹ kimet de;
MAT.5.5	ban ne ida ne diaʹ ke alaʹ inu iaʹ Allah lepa
MAT.5.5	petuket ke naʹ milu.
MAT.5.6	“Bangen ne kelunan diaʹ lemuto bayaʹ dau pengubaʹ Allah;
MAT.5.6	ban ne ida ne diaʹ ke tisen tekaʹ pengebeso
MAT.5.6	kuʹun peniga Allah.
MAT.5.7	“Bangen ne kelunan diaʹ un pengelesau neng dulu diaʹ ca;
MAT.5.7	ban ne Allah iaʹ ke un pengelesau neng ida lete.
MAT.5.8	“Bangen ne kelunan diaʹ telit kimet de;
MAT.5.8	ban ne ida lete diaʹ ke taʹan Allah.
MAT.5.9	“Bangen ne kelunan diaʹ uyan tiga neng ahang ikem kelunan;
MAT.5.9	ban ne Allah ke pisiu ida diaʹ anak ke.
MAT.5.10	“Bangen ne kelunan diaʹ dulu nyakit tuman
MAT.5.10	pemuyan nte bayaʹ pengubaʹ Allah;
MAT.5.10	ban ne ida iaʹ ke kahum dalem puyan pengaren
MAT.5.10	Allah ke ngaren ilu kelunan.
MAT.5.11	“Bangen ne ikem buk dulu ke pejaʹat dau neng ikem, ngan nyakit ikem, ngan pekabi ikem man naʹan naʹan isiu palo, ban tuman ncem bayaʹ akeʹ. 
MAT.5.12	Bangen ne ikem ngan tiga ne saheʹ kem, ban ne bioʹ ne bang kem iaʹ lepa tenup kaʹ surga. Kumpin puyan dulu nyakit pegawa Tuhan cen naʹaʹ, pekina lete puyan dulu neng ikem naʹkini.”
MAT.5.13	“Kumpin seʹ usen tekep un neng penguman le, pekina lete ikem un neng usun tanaʹ ini. Buk usen ina ke tai jeling, kumpin seʹ le ke pelaʹit te ne laʹa. Abeʹ un ca inu iaʹ bang nge. Ina le dulu ke pet te ngan cut te.
MAT.5.14	“Kumpin seʹ puyan serema ngedalau ntem, pekina lete ikem ne iaʹ sereket dema neng usun tanaʹ ini. Lepoʹ iaʹ un neng usun ca mudung, abeʹ e ke suhuk. 
MAT.5.15	Abeʹ ca kelunan iaʹ pejiget peritaʹ a sulo ho mekep pe man ca tukaʹ, di lareʹ ia ke mahung nge neng usun padung peritaʹ ina, apan serema ina ke ngedema mung dulu diaʹ un kaʹ dalem amin ina. 
MAT.5.16	Pekina lete tekep serema hem ke ngedema kelunan apan nte taʹan mung seʹ pemuyan ncem un tiga, sulo re pempau Amai hem iaʹ un kaʹ surga.”
MAT.5.17	“Ayen ncem kuma akeʹ ke nai mesau Katuk Adet Musa ngan katuk diaʹ pegawa Tuhan cen naʹaʹ. Akeʹ nai ne, abeʹ uban nceʹ ke mesau dina, di lareʹ akeʹ nai ke pedaʹam me. 
MAT.5.18	Nawai tiga le. Ngajan langit ngan usun tanaʹ ini un, peletoʹ-letoʹ Katuk Adet abeʹ un senteng ke pesau ne, di pe ca bute iʹut le, pekina pe ca keruek kalung le, nyahut te senteng ke pesau ne pa kenai tau bioʹ kuʹo udip kusun tanaʹ ini. 
MAT.5.19	Tuman ina, aheʹ iaʹ ngesa katuk ukum, naʹ pia iʹut le, ngan sulo ho pekalai dulu diaʹ ca uyan pekina, kelunan ina dulu ke pisiu iʹut le tegoʹ ke nai puyan pengaren Allah ke ngaren ilu kelunan. Un sepuʹo, aheʹ iaʹ ke ngkang Katuk Adet ngan pekalai dulu diaʹ ca uyan pekina, kelunan ina dulu ke pisiu bioʹ tegoʹ nai puyan pengaren Allah ke ngaren ilu kelunan. 
MAT.5.20	Ini dau heʹ mikem, ikem senteng kahum neng puyan pengaren Allah ke ngaren kelunan buk kem tangen bayaʹ dau pengubaʹ Allah, pelapa cen ʹo penangen diaʹ guru Katuk Adet ngan diaʹ Perisi bayaʹ dau pengubaʹ a.”
MAT.5.21	“Ikem lepa ngeringa dau katuk kelunan cen naʹaʹ iaʹ kuma ha: ‘Ayen ncem lematai kelunan. Aheʹ iaʹ lematei kelunan, dulu ke ngkin ia tai palaʹ diaʹ pebetep ukum.’ 
MAT.5.22	Naʹkini akeʹ badaʹ mikem, aheʹ iaʹ buseʹ neng cenganak ke, dulu ke ngkin ia tai palaʹ diaʹ pebetep ukum. Ngan pekina pe iaʹ kuma cenganak ke apaʹ seʹ, dulu ke ngkin ia tai palaʹ Mpun diaʹ Lataʹ diaʹ ke pebetep ukum. Ngan pekina pe iaʹ kuma cenganak ke untau, abeʹ pesau ia iaʹ un kuʹo ho dalem ukum luten. 
MAT.5.23	Tuman ina ne, buk kem tai naʹ pengencai hem palaʹ Tuhan Allah, sulo hem petawai cenganak kem sakit saheʹ neng ikem, 
MAT.5.24	mahung ne pengencai hem ina kena kaʹ juma padung pengencai ina, tai ne ikem ading uyan tiga saheʹ neng ahang ikem ngan cenganak kem. Uʹo ina hem nai ngeliwet ngan naʹ pengencai hem ina palaʹ Tuhan Allah.
MAT.5.25	“Buk un ca usa iaʹ ubaʹ ke ngadu ikem kukoʹ dulu pebetep tiraʹ, uyan ne tiga ngan ne jinan un seʹ awang nge lepe, kena dulu tai ngkin ikem kukoʹ dulu pebetep tiraʹ. Buk ne ikem lepa abeʹ kina, seʹ kelunan ina ke naʹ ikem palaʹ diaʹ pebetep ukum, ngan diaʹ pebetep ukum dina ke naʹ ikem palaʹ pulis, penco pulis ke naʹ ikem kaʹ dalem amin sepin. 
MAT.5.26	Ini dau heʹ mikem, ikem ke ngelineʹ kaʹ dalem amin sepin ina pa hem kuʹo nyuaʹ ukum ngkem.”
MAT.5.27	“Ikem lepa ngeringa isiu diaʹ pekini dau: ‘Ayen pemung nyelem.’ 
MAT.5.28	Naʹkini akeʹ badaʹ mikem, aheʹ aheʹ iaʹ naʹat leto mentung nge ngimet ke ngan ne, lepa ne ia pemung nyelem dalem kimet te. 
MAT.5.29	Buk mata hem iaʹ tahaʹ taʹu ke ngkin ikem uyan penyalaʹ, tiga pulang ngkem miluk mata hem ina ngan pet te. Ban ne tiga pulang ngkem sau ca sangat usa hem, neng ʹo mung usa hem tai kedalem ukum luten. 
MAT.5.30	Buk ujoʹ kem tahaʹ taʹu ke ngkin ikem uyan penyalaʹ, netek ne ia ngan pet te. Tiga pulang ca sangat usa hem pesau, neng ʹo mung usa hem tai kaʹ dalem ukum luten.”
MAT.5.31	“Cen kena dulu badaʹ: ‘Aheʹ iaʹ petat ngan leto ho, tekep laki ina naʹ ca surat iaʹ badaʹ ia petat ngan leto ho.’ 
MAT.5.32	Naʹkini akeʹ badaʹ mikem, aheʹ iaʹ petat ngan leto ho, ngan leto ina abeʹ e petaro neng diaʹ laki ie, un sepuʹo laki ina are, atek ke salaʹ lete uban ne uyan taro me leto ho tegoʹ leto ho alaʹ laki mading. Ngan laki mading iaʹ ke alaʹ leto ina laʹa, atek ke petaro lete ina.”
MAT.5.33	“Lepa ne ikem kenahan kumpin dau katuk dulu cen naʹaʹ iaʹ kuma ha: ‘Ayen ncem lepo isiu iaʹ ikem lepa ban petuket. Kanan ne isiu iaʹ ikem lepa ban patek neng juma Tuhan.’ 
MAT.5.34	Un sepuʹo iaʹ akeʹ ke badaʹ mikem naʹkini, ayen peletoʹ uyan santet neng inu inu buk kem ke patek isiu hem. Ayen ncem nyantet man ngadan langit, ban langit ina adan pengaren Allah; 
MAT.5.35	pekina pe man ngadan tanaʹ, ban tanaʹ ina senap taket te; ngan pekina pe Yerusalim, ban Yerusalim ina lepoʹ paren bioʹ. 
MAT.5.36	Ngan pekina pe ayen ncem nyantet man ngadan ulu hem tengen, ban abeʹ kem senteng uyan ca uhat puk kem tai puteʹ, ngan pekina pe tai saleng. 
MAT.5.37	Talan ne ikam kuma ha ‘Ahaʹ’ neng iaʹ ahaʹ, ngan ‘Naʹun’ neng iaʹ naʹun. Mung isiu diaʹ lapa neng ina, cen Bali Jaʹat kenai ie.”
MAT.5.38	“Lepa ne ikem ngeringa isiu iaʹ pekini dau: Mata saliu mata, ngan jipen saliu jipen.’ 
MAT.5.39	Un sepuʹo iaʹ akeʹ ke badaʹ mikem naʹkini, ayen ncem nyuaʹ kelunan diaʹ un salaʹ neng ikem. Di lareʹ buk aheʹ iaʹ ke nepap pinga hem tahaʹ taʹu, talan ne ia nepap pinga hem tahaʹ kabing laʹa. 
MAT.5.40	Buk aheʹ iaʹ ke ngadu ikem tai kaʹ juma diaʹ pebetep ukum, ban ne ubaʹ ke alaʹ sapai hem, talan ne ia alaʹ sapai dadoʹ kem pe laʹa. 
MAT.5.41	Buk ca usa sedadu lepoʹ dulu ke lemejen ikem baʹ mpin ne ca batu coʹ o, tiga hem baʹ mpin ina ca batu tekinco ho laʹa. 
MAT.5.42	Buk ca kelunan ke nyat inu neng ikem, tiga hem naʹ mia. Ngan buk ca kelunan ke kanan inu hem kena, naʹ ne mia kena.”
