GEN.1.1	Koluw koluw mamu kinna, Ngindrai imangsani kol pwan pe hu kol yang. 
GEN.1.20	Pwen Ngindrai ipa, “Hu ni pe hu melit masih handra-handra makunuwehu hu kapep mbulu ndras pe ndran. Pe hu norukan handra-handra para wohowoh hu kohowoh paingan.” 
GEN.1.21	Pwen Ngindrai imangsani hu kan namandran para ndras iyapolo hu melit masih hu tora tokai pe rangangai mbulndras. Pe melit masih aro andre hu kapo noruhu pe karayah soyon iya tehe yihu kopu. Pe Ngindrai inimei tehe kintayah hiyan. 
GEN.1.22	Pwen Ngindrai itoholi hu pe ipa, “Kapo noru wawu hu kaya soyon pe ndras andre kihon kiya ta wawu. Pe hu norukan para wohowoh ara hu karayah soyon iya koro kol pwan.” 
GEN.1.23	Piyahon iyamasan ndroulang ara — lang yimah.
GEN.1.24	Pwen Ngindrai ipa, “Kol pwan kipep katahu kan masih pe kapo noruhu tehe yihu kopu. Yihu kan para wum, hu kan para seselek, pe hu kan puyap para yangiy ara hu kasarayah pe hu kapo noruhu tehe yihu kopu.” Pwen melit masih ipwai ara husarayah topwei. 
GEN.1.25	Tehen tora ko Ngindrai imangsani hu kan puyap para yangiy, pe hu kan para wum, iyasura hu kan para seselek husarayah, pe hupo noruhu tehe yihu kopu. Pe Ngindrai inimei tehe kintayah hiyan.
GEN.1.26	Pwen napwai, Ngindrai ipa, “Yorou tukamangsani hu ndramat hukasarayah tehe yorou opu. Pwen andre hukanimnim katahu ni tora ndras pe hu norukan hu horawoh yang. Pe andre hu kanimnim katahu kan para wum pe hu kan para yangiy.”
GEN.1.27	Pwen Ngindrai imangsani hu ndramat husarayah, mwensen tehe yiy opu.
GEN.1.27	Imangsani hu ndramat malpat,
GEN.1.27	kamai pe pihin.
GEN.1.28	Pwen Ngindrai itoholi hu pe ipwai iyatahu ipa, “Wawu kapo noru wawu kasarayah soyon, pe wawu kapep kol pwan, pe kaya mbukena melit masih tora ndrita kol pwan. Pe wawu kapwokerani hu ni tora ndras pe hu norukan para wohowoh, iyasura hu kan masikene makunuwehu hu tora tokai ndrita pwan.”
GEN.1.29	Pwen Ngindrai ipwai ipa, “Yo uhungini wawu hu ndromndriu handra-handra iyapolo hu kei handra-handra mambuwahu pe mapekehu para kasarayah anandrina wawu. 
GEN.1.30	Pe hu kan masikene para pwan pe hu norukan para paingan iyasura hu kan para seselek — melit masih makunuwehu ara — yo uhungini hu youkei masih iyasura ndromndriu masih para kasarayah anandrinahu.” Pwen isarayah tehe Ngindrai ipwai.
GEN.1.31	Pwen Ngindrai inime melit masih kinmangsaniy ara kinsarayah hiyan iya. Piyahon iyamasan ndroulang ara — lang annoh.
GEN.2.1	Tehen torako, Ngindrai imangsani kol pwan pe hu kol yang iyasura melit masih iripo aliy.
GEN.2.2	Nondriya lang manonoh ara, mbulya Ngindrai kinhipwen topwei. Pwen pe lang sih i ara ingoh iya mbulyan masih. 
GEN.2.3	Ngindrai itoholi lang andrtoyoh ara pe ihaiyaniy, paratesah, kinmangsani melit masih ihipwen, pe ingoh iya lang ara.
GEN.2.4	Iye ara titiye para Ngindrai imangsani kol pwan pe hu kol yang isarayah.
GEN.2.4	Tandrohonga 
GEN.2.5	hu kei, hu malikei, pe hu ndromndriu handra-handra ara hu kanilek ndrita pwan mapu, pe mbulou mapu kindrut pe hamou ndramat para kipo mbulen kiya ndrita pwan ara kinsarayah mapu. 
GEN.2.6	Hapeko ndran ara ngara kisuw mbulu pwan pe ngara kingas kisa paingan, pe ndrita pwan masih ara ipep iya ndran. 
GEN.2.7	Pwen napwai 
GEN.2.8	Pwen 
GEN.2.9	Pe 
GEN.2.10	Pe ndran handrang itarah iyau Yiten, ngara kiyki ndran kiya piyang; pe sohopele ndran ara mahaandrang. 
GEN.2.11	Ngala ndran handrang ara Pison, irah irakayani kol namandran Hawila mepo 
GEN.2.12	 para kol Hawilah ara hiyan iya, pe kei hakou italiy, ngonoho ndreyen ara layin iya. Pe pat handra kenen namandran italiy yi, ngalan ara 
GEN.2.13	Pe ndran lundrang ngalan ara Kihon, pe irah irakayani kol namandran Kus. 
GEN.2.14	Pe ndran tindrang ngalan ara Taikris; pe irah irakayani ngilse kol namandran Assiriya iya pwen te kup. Pe ndran haandrang ngalan ara Yuparates.
GEN.2.15	Pwen 
GEN.2.16	Pwen pe 
GEN.2.17	hapeko kei hakou o — kei para kapahasani hiyan pe mwomwan — ara mbunayan mbuwan. Kapa ayan, andre amat lang ara ko.”
GEN.2.18	Pwen pe 
GEN.2.19	Pe 
GEN.2.20	Tehen torako iyoh topwe ngalahu norukan masih para wohowoh, pe hu kan para wum pe hu kan para yangiy.
GEN.2.20	Hapeko mwelenga hu kan pe norukan masikene ara, andre hamou tahu kinlahiy para kisopwat Atam
GEN.2.21	Pwen pe 
GEN.2.22	Pwen 
GEN.2.23	Pwen Atam ipwai ipa,
GEN.2.23	“Yiy ara ndruwin iro ndruwi,
GEN.2.23	pe sangin ara iro sangi.
GEN.2.23	Pe ngalan ara ‘pihin,’
GEN.2.23	paratesah, yiy isarayah ipwen te kili kamai.”
GEN.2.24	Tehen torako kapa kamai kitali taman pe tinan pe kipo hamou pihin kiya nambuyun, pwen andre hilu kasarayah hamou opu.
GEN.2.25	Atam pe nambuyun ara mwaye hilu pwi, hapeko hilu kanmasi ta hilu pwi.
GEN.3.1	Pe mwat ara kan hamou mwelenga hu kan masikene mepo 
GEN.3.2	Pwen pihin ipwai iyata mwat ipa, “Yolu andre kayan mbuwakei masikene ita piyang. 
GEN.3.3	Hapeko Ngindrai ipwatisingiy isa kili yolu tehe yolu mbuna kayan mbuwakei para kei hakou o iripo ndrokolo piyang. Ngindrai kinpwatisingiy pwen kinsa kili yolu toro: ‘Walu mbunakayan ndre mbunakambultuwe mbuwakei ara. Kapa walu kambusiy, andre walu kamat.’ ”
GEN.3.4	Pwen mwat ipwai iya kili pihin ipa, “Walu andre kanmat pwi! 
GEN.3.5	Ngindrai tanan kapa walu kayan andre mara walu kileu, pe walu karayah tehe yiy opu, pe andre walu kapahasani hiyan pe mwomwan.”
GEN.3.6	Pwen pe pihin inime mbuwakei ara mwayih para kaniyai pe lahayan iya, iya maran, pe ihingorowei tehe mbuwakei ara andre kiyki lohongai hiyan kiya kili yiy. Pwen pe irihi sih pe iyniy, pe iyki haroh iya kili nambuyun. 
GEN.3.7	Pwen pe mara hilu malmou kene ara ileu, pe hilu nimei tehe mwaye hilu ara pwi. Pwen pe hilu rihi hu yowi 
GEN.3.8	Kol ipiyah pe inowu, pwen hilu hilingi ngasa 
GEN.3.9	Pwen 
GEN.3.10	Pwen Atam isomwiy ipa, “Yo uhulingi ngasam iripo piyang, pe yo ara mwaye pwi, pwen pe unoh pe ukohoni yo.”
GEN.3.11	Pe Yapan Ngindrai isikei ipa, “Hiyeh ipwai satam tehe mwayem pwi? Wou pwokene aniyan mbuwakei nepo upwatisingiy satam para mbunayan ara.”
GEN.3.12	Pwen Atam ipa toro: “Pihin nepo aiki yiy isa iripo kili yo ara, iyki mbuwakei ara isano pe uniy.”
GEN.3.13	Pwen pe 
GEN.3.13	Pe ipwai iyatan ipa, “Mwat ara ipwahihiri yo pe uniy.”
GEN.3.14	Pwen pe 
GEN.3.14	pwen pe mahapo uten anam tehe wou andre akuni nopwaran namandran iya mwalinga hu kan
GEN.3.14	pe hu melit masih!
GEN.3.14	Pe andre aro selek kiya pundriyam
GEN.3.14	pe aroyan kohu pwan tehen torako lang masih.
GEN.3.15	Pe yo andre kumbusi mwelem pe mwele pihin,
GEN.3.15	pe mwele ndrayem hu pe ndraye pihin ara andre kiroho mwomwan.
GEN.3.15	Pe ndraye pihin hamou ara andre kiraluluwi payam,
GEN.3.15	pe wou andre ayantani mbutindrikan.”
GEN.3.16	Pe yiy ipwai iya kili pihin ipa,
GEN.3.16	“Yo andre kuiki nopwaran namandran kisa kili wou kiro mwonen mapwindriyam.
GEN.3.16	Pe kiro mwonen lang para amwalahiy ta mbunah, andre akuni ngandran namandran.
GEN.3.16	Hapeko wou andre aro namili nambuyum manau,
GEN.3.16	pe wou andre aro pahandran.”
GEN.3.17	Pe Yapan Ngindrai ipwai iya kili Atam ipa, “Nahapo anhilingi nongna nambuyum, pe anyani mbuwakei nepo uiki songot iyaliy para walu mbunakayan. Mwomwan tam o ambusiy,
GEN.3.17	pwen uten ana pwan tehe
GEN.3.17	mbulyam masih narombusi andre aro pisingat
GEN.3.17	lang sih tehe sih tehen torako.
GEN.3.18	Hu malkei maporon pe hu mwisi maskei handra-handra andre hu kalek pe karamburuhi pingem.
GEN.3.18	Pe wou andre aroyan mbuwakei para yangiy opu.
GEN.3.19	Andre apombulen pe apisingat kiya mwomwan,
GEN.3.19	pe tehen torako pwen anandrinam andre kirayah pe ayan ipo aya mat.
GEN.3.19	Yo umangsani wou iya pwan,
GEN.3.19	pe andre amat pe andre amui aya pwan i.”
GEN.3.20	Pe Atam iyoh ngala nambuyun ara Ewa, paratesah, andre yiy kisarayah tinahu ndramat masih mwalehu.
GEN.3.21	Pe 
GEN.3.22	Pe 
GEN.3.23	Pwen pe 
GEN.3.24	Iyamulan para irase hilu ya mawen piyang Yiten, iyki angelou hamou iwiri semen hapai tehe mwan ngannganan iya iro tine iya pwen te kup para piyang Yiten pe iro rapaiwani haroh iya haroh para memerani hilu andre kansa pakeh kili keye taleh ara pwi.
GEN.4.1	Atam imatin iyapolo nambuyun Ewa, pe nambuyun ikuniy pe imwalahiy iyata norun Kain. Pe Ewa ipa, “Iya hiyan ta 
GEN.4.2	Iyamulan imwalahiy ta nalin hamou ngalan Apel.
GEN.4.2	Pe Apel ara yiy ndramat ngara kiro nimnim katahu sipsip, pe Kain ara yiy ndramat para mbulya piyang. 
GEN.4.3	Iyamulan hape, Kain iya piyang pe iya kuni hu ndroha anandrinai tan iman pe iykiy iya kili 
GEN.4.4	Hapeko Apel iwiri noru sipsip tan hamou ndrihou imuh pe iykiy iya kili 
GEN.4.5	Hapeko kinpwesani totohun ta Kain pwi yoh. Pwen Kain ara ndrinan ilokuh pe mbulmaran ara ikohut.
GEN.4.6	Pwen pe 
GEN.4.7	Kapa wou ambusi melit hiyan, yo andre kupwes kiyaliy. Hapeko kapa ambusi melit kinna hiyan pwi, andre mwomwan ita memerani wou. Pe mwomwan ara ita polndrikam, pe inamili wou pwokeyan iya. Pwen apwoke arapiyani; kapa pwi, andre kiramate wou.”
GEN.4.8	Porosih aro, Kain ipwai iyata nalin Apel ipa, “Kiya, takayau kaya yangiy na.” Hilya hilto yangiy, pe Kain ihilak o itingundru nalin pe imat.
GEN.4.9	Pwen 
GEN.4.9	Pe Kain isomwiy ipa, “Yo ukowu tan o. Apa ndre kuro memerani nali ko?”
GEN.4.10	Pe 
GEN.4.11	Pwen mahapo uten anam pe urase wou aya mawen pwan iye, paratapeh, ndreye nalim ara imuw kinsusuhi pwan, pe mwoiwa ndreye nalim ara ita nimam i. 
GEN.4.12	Kapa wou apa amangse piyang kiya ndrita pwan, andre hu anandrinai tam kasongut topwei. Pe wou andre ohorakohoyou hakol ka hakol tehen torako.”
GEN.4.13	Pwen Kain ipwai iya kili 
GEN.4.14	Mahapo napiyani yo nakuya mawen pwan iye, pe andre kunto nondriya pwokere tam pwi; andre kuro rakohoyou kol pwan hakol ka hakol torako. Kapa hamou kipuhunani yo ara andre kirayi yo.”
GEN.4.15	Hapeko 
GEN.4.16	Pwen Kain iya mawen mbulmara 
GEN.4.17	Kain imatin iyapolo pihin tan pe ikuniy, pe iyamulan imwalahiy iyata norun kamai ngalan Enok. Kain ihi kol hakol namandran pe ipohowe ngala kol ara iya pihisali norun Enok. 
GEN.4.18	Iyamulan Enok iyki norun hamou kamai isarayah, ngalan ara Irat. Pe Irat iyki Mehuyayel, pe Mehuyayel iyki Metusayel, pe Metusayel iyki Lamek.
GEN.4.19	Lamek iwiri pihin malmou, hamou ngalan Atah pe hamou ngalan Sillah. 
GEN.4.20	Atah imwalahiy ta Yapal, pe Yapal ara tumbuhu ndramat masih ngara hu koro yopai pe yihu ngara kahang hu kan para wum. 
GEN.4.21	Ngala nalin hamou ara Yupal pe yiy ara tumbuhu ndramat masih nepo ngara kara ndramiy pe kuwah.
GEN.4.22	Sillah ara imwalahiy iyata norun hamou kamai ngalan Tupal-Kain; pe Tupal-Kain ara yiy ngara kimbusi hu menmena mbulen iyau kili pras pe hayen.
GEN.4.23	Lamek isikiye yiy iyata hilu pihin tan malmou ipa,
GEN.4.23	“Atah pe Sillah, alkahalingi yo na;
GEN.4.23	walu nambuyu malmou kene kahalingi nongno.
GEN.4.23	Ndramat hamou irayi yo pe uwiri neken, hapeko kunitingundrun kinmat;
GEN.4.23	wihou hamou ara ihisili yo, pe kunta yiy kinmat.
GEN.4.24	Kapa hamou pakirayi Kain andre kiwiri ngandran maporoandrtisap (7);
GEN.4.24	pe kapa hamou pakirayi Lamek ara, nopwaran tan andre kirayah namandran iya, tehe maporoandrtingui pe andrtisap (77).”
GEN.4.25	Atam imatin iyasura nambuyun paiwe pe imwalahiy iyata norun hamou kamai yi, pe iyoh ngalan Set.
GEN.4.26	Pe Set ara iyki norun hamou kamai, pe ipohowe ngalan Enos.
GEN.4.26	Tandrohongan ara iya, pwen hu ndramat huyoh ngala 
GEN.5.1	Iye ara titiye ta ndraye noru Atam hu.
GEN.5.1	Iro lang Ngindrai imangsani hu ndramat, imbusi hu pe husarayah tehe yiy opu. 
GEN.5.2	Imangsani hu ndramat, kamai pe pihin, pe iyoh yihu “ndramat” pe itoholi hu iro mwonen lang mepo imangsani hu.
GEN.5.3	Pwen Atam ara iyen pe hayou tan iro sangat pe tingui (130), pe iyki norun hamou kamai isarayah, mwensen tehe yiy opu, pe iyoh ngalan Set. 
GEN.5.4	Iyamulan para iyki Set isa iro, Atam iyen pe hayou tan iro mandrolngat i (800), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.5	Pwen Atam ara, hayou tan masikene iya harong isarayah andrsongat pe tingui (930), pwen pe imat.
GEN.5.6	Pwen Set ara iyen pe hayou tan iro sangat pe yimah (105) pe iyki mbunah kamai hamou ngalan Enos. 
GEN.5.7	Pe iyamulan para iyki Enos, Set iyen pe hayou tan iro androlngat pe andrtoyoh i (807), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.8	Pwen Set ara, hayou tan masikene iya harong isarayah andrsongat songui pe luwoh (912), pwen pe imat.
GEN.5.9	Pwen Enos ara iyen pe hayou tan iro andrsongui (90) pe iyki mbunah kamai hamou ngalan Kenan. 
GEN.5.10	Pe iyamulan para iyki Kenan, Enos iyen pe hayou tan iro androlngat songui pe yimah i (815), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.11	Pwen Enos ara, hayou tan masikene iya harong isarayah andrsongat pe yimah (905), pwen pe imat.
GEN.5.12	Pwen Kenan ara iyen pe hayou tan iro andrtingui (70) pe iyki mbunah kamai hamou ngalan Mahalalel. 
GEN.5.13	Pe iyamulan para iyki Mahalalel, Kenan iyen pe hayou tan iro androlngat pe haangui yi (840), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.14	Pwen Kenan ara, hayou tan masikene iya harong isarayah andrsongat pe songui (910), pwen pe imat.
GEN.5.15	Pwen Mahalalel ara iyen pe hayou tan iro annongui pe yimah (65) pe iyki mbunah kamai hamou ngalan Yaret. 
GEN.5.16	Pe iyamulan para iyki Yaret, Mahalalel iyen pe hayou tan iro androlngat pe tingui yi (830), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.17	Pwen Mahalalel ara, hayou tan masikene iya harong isarayah androlngat andrsongui pe yimah (895), pwen pe imat.
GEN.5.18	Pwen Yaret ara iyen pe hayou tan iro sangat annongui pe luwoh (162) pe iyki mbunah kamai hamou ngalan Enok. 
GEN.5.19	Pe iyamulan para iyki Enok, Yaret iyen pe hayou tan iro androlngat i (800), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.20	Pwen Yaret ara, hayou tan masikene iya harong isarayah andrsongat annongui pe luwoh (962), pwen pe imat.
GEN.5.21	Pwen Enok ara iyen pe hayou tan iro annongui pe yimah (65) pe iyki mbunah kamai hamou ngalan Metuselah. 
GEN.5.22	Pe iyamulan para iyki Metuselah, Enok iro tokai sura Ngindrai nondriya hayou matingat i (300), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.23	Pwen Enok ara, hayou tan masikene iya harong isarayah tingat annongui pe yimah (365). 
GEN.5.24	Enok irotokai sura Ngindrai, pwen yiy ara imun o mwaihei o, paratesah, Ngindrai kinwiri yiy kinnau.
GEN.5.25	Pwen Metuselah ara iyen pe hayou tan iro sangat androlngui pe andrtoyoh (187) pe iyki mbunah kamai hamou ngalan Lamek. 
GEN.5.26	Pe iyamulan para iyki Lamek, Metuselah iyen pe hayou tan iro andrtingat androlngui pe luwoh i (782), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.27	Pwen Metuselah ara, hayou tan masikene iya harong isarayah andrsongat annongui pe androsih (969), pwen pe imat.
GEN.5.28	Pwen Lamek ara iyen pe hayou tan iro sangat androlngui pe luwoh (182) pe iyki mbunah kamai hamou. 
GEN.5.29	Yiy iyoh ngalan Nowah
GEN.5.30	Pe iyamulan para iyki Nowah, Lamek iyen pe hayou tan iro yimingat andrsongui pe yimah i (595), pe iyki mundruwa norun hu hayah kamai pe pihin. 
GEN.5.31	Pwen Lamek ara, hayou tan masikene iya harong isarayah andrtingat andrtingui pe andrtoyoh (777), pwen pe imat.
GEN.5.32	Iyamulan, Nowah ara hayou tan iro mayimingat (500), pe iyki hu mbunah kamai matimou — Sem, Ham, pe Yapet.
GEN.6.1	Iro tandrohonga hu ndramat iro kol pwan ara ndromweyahu iropo iya soyon iya, pe huiki noruhu pihin. 
GEN.6.2	Pwen hu noru Ngindrai kamai tiken ara hu nime hu mbunah pihin ara lahayahu iya, pe hupo hu iya lohongai tahu ko. 
GEN.6.3	Pwen pe 
GEN.6.4	Imwonen tandrohonga lang ara pe kiya mulan i, yihu noru Ngindrai kamai ara huiki hu mbunah iyatahu pihindrahin para kol pwan. Pe noruhu ara husarayah hu ndramat namandran, niwen,
GEN.6.5	Pe 
GEN.6.6	Pe 
GEN.6.7	Pwen 
GEN.6.8	Hapeko 
GEN.6.9+GEN.6.10	Iye ara titiye ta Nowah pe norun hu.
GEN.6.9+GEN.6.10	Noru Nowah hu matimou kamai, ngalahu ara iye: Sem, Ham, pe Yapet.
GEN.6.9+GEN.6.10	Pwen Nowah ara ndramat hamou kultuwayin hiyan masih iya kili hu ndramat masih tandrohongan ara. Hu ndramat konoho yirowe mwomwan ta Nowah pwi. Pe Nowah irotokai iyasura Ngindrai lang masih.
GEN.6.11	Hapeko hu ndramat huropo kol pwan, kultuwayi hu ara mwomwan masih iya mbulmara Ngindrai, pe tahatai ipwoke iro kol pwan masih. 
GEN.6.12	Pe Ngindrai inimnim isa kol pwan pe inime kultuw tahu ndramat masikene para kol pwan masih ara mwomwan opu.
GEN.6.13	Pwen Ngindrai ipwai iya kili Nowah ipa, “Yo andre kupwasili topwe hu ndramat masih kiyasura kol pwan i, paratesah, kol pwan ipep iya tahatai pe kultuw mwomwan tahu ko. 
GEN.6.14	Kiya, Nowah, asah pe aselehe hakou ndroyem kiya kei pwokeyan pe ndrisiyon. Arandrihi nondriyan, pe awiri nalit pe apene nondriyan pe ngawan kene. 
GEN.6.15	Ambusi ndrohonga ndroi ara tehe toro: andrtingui pe yimingah (75) ara niwen, pe mulai paraliy ara songui pe lungah pe haroh (12.5). Pe niwen para mbulu ndroi iro pwan pe iya paingan ara andrtingah pe haroh (7.5).
GEN.6.16	Pe kapa ambusi ndrindroh kihipwen, pwen aiki mwelenga ndrupwokou pe kanuh ara pwopwowe lumou kiho paingan.
GEN.6.17	Pe yo andre kuiki non namandran kirasumuluwani kol pwan kiyasura memelit masih makunuwehu, andre hu kahapwen topwei. 
GEN.6.18	Yo andre kurapaniu tisingiy kisa kili wou, pwen pe wou, nambuyum, norum hu pe mbuyu norum hu ara andre wawu masikene kaya nondriya ndroi. 
GEN.6.19	Pe awiri hu kan hamou-handra hamou-handra makunuwehu — hamou kamai pe hamou pihin — awiri hu kaya nondriya ndroi ka polo wou, pwen andre hu kanmat pwi. 
GEN.6.20	Hu norukan para wohowoh malmou-malmou, hu kan para yangiy pe para wum malmou-malmou, pe hu kan para seselek malmou-malmou andre hu masih kasa kili wou pe kaya nondriya ndroi, pwen andre hu kanmat pwi. 
GEN.6.21	Awiri anandrinai masih para kaniyai handra-handra ana wawu pe anahu kan i, pe aikiy kiya kaisowa anandrinai.”
GEN.6.22	Pwen Nowah ihilingiy pe imbusi melit masih tehe Ngindrai ipwatisingiy iyatan.
GEN.7.1	Pwen 
GEN.7.2	Pe awiri hu kan para kaniyai — manandrtimou kamai pe manandrtimou pihin. Pe yihu kan nepo konoho yan pwi ara awiri malmou — hamou kamai pe hamou pihin. 
GEN.7.3	Pe hu norukan ara tehen aliy yi; awiri hu manandrtimou kamai pe manandrtimou pihin, para hu kapo noruhu paiwe koro kol pwan. 
GEN.7.4	Kiro lang manandrtoyoh andre kuiki mbulou kindrut kisa pwan. Pe andre kindrut kiya manne lang mahaangui pe ping mahaangui. Tehen torako andre kupwasili topwe memelit masih makunuwe hu iripo kol pwan nepo umangsani hu.”
GEN.7.5	Pwen Nowah imbusi melit masih tehe 
GEN.7.6	Iro tandrohonga mbulou indrut isa kol pwan, Nowah ara hayou tan iho mannongat (600). 
GEN.7.7	Nowah iyapolo nambuyun, norun hu pe mbuyu ngundran hu, yihu masikene huya nondriya ndroi, paratesah, non pakeh nakirah.* 
GEN.7.8	Hu kan para kaniyai pe hu kan para kaniyai pwi, iyasura hu kan masih para seselek pe norukan nepo para wohowoh, 
GEN.7.9	ara hu masikene kamai pe pihin huya kili Nowah pe huya nondriya ndroi, tehe Ngindrai ipwatisingiy kinna tan. 
GEN.7.10	Pwen lang manandrtoyoh ara ihipwen, pwen non irah kol pwan.
GEN.7.11	Nowah hayou tan iro mannongat (600), pe iro mwonen lang songui pe andrtoyoh para walah maluwoh, pwen pwan iramburing pe ndran isuw pe irambumbusau pe ingas isa ndrita pwan, pe mbulou indrut ikas iro paingan yang pe isa kol pwan masih. 
GEN.7.12	Mbulou irondrut, irondrut, irondrut ipoo lang mahaangui pe ping mahaangui.
GEN.7.13	Pe iro mwonen lang nepo mbulou indrut, Nowah, nambuyun pe norun hu matimou Sem, Ham, pe Yapet, iyasura nambuyu hu, huya nondriya ndroi. 
GEN.7.14	Pe hu kan para wum pe hu kan puyap para yangiy, pe hu kan para seselek iyasura hu norukan masikene huya nondriya ndroi. 
GEN.7.15	Hamou kamai pe hamou pihin para kan handra-handra pe norukan handra-handra hu memelit masikene makunuwehu ara husa kili Nowah pe huya nondriya ndroi. 
GEN.7.16	Hu kan masikene, hamou kamai pe hamou pihin, huya nondriya ndroi tehe Ngindrai ipwatisingiy iyata Nowah, pwen pe 
GEN.7.17	Non irotah, irotah ipo lang mahaangui, pe non ingas pe irasumuluwani kol pwan pe ihiri ndroi iho hin ndrita pwan. 
GEN.7.18	Non irah iya namandran iya iro kol pwan, pe ndroi ara iho raipit ndrita non. 
GEN.7.19	Non ingas iya paingan masih, pe iramburuhi hu ngondron namandran masikene para kol pwan. 
GEN.7.20	Irah pe ingas iya paingan masih pe irasumuluwani hu ngondron topwei. Pe ndrohonga ngondron pe ndrita non ara pakeh mahaangah.
GEN.7.21	Melit masih makunuwehu iripo kol pwan hu kanmat topwei — hu norukan masih, hu kan namandran pe mendreheh masih para wum pe para yangiy, iyapolo hu ndramat masih, ara hu masikene hu kanhipwen topwei. 
GEN.7.22	Melit masih tora hiringoha hu iyau ngara ndrohonguhu ara hu kanmat topwei. 
GEN.7.23	Pe 
GEN.7.24	Pe non ara kintamat pwi ipo iya lang sangat pe yimingui (150).
GEN.8.1	Hapeko Ngindrai ara ilohongani Nowah iyasura hu kan pe hu melit masih makunuwehu huropolo yiy nondriya ndroi. Pwen Ngindrai imbusi nohai imayum, pe ndras pe non iro tayos iya pwan. 
GEN.8.2	Pwan mepo iramburing pe ndran isuw pe irambumbusau isa paingan ara kinhipwen, pe mbulou indrut ikas ara kinhipwen i. 
GEN.8.3	Lang sangat pe yimingui (150) ihipwen, pwen non ara iro tayos hape, 
GEN.8.4	pe lang songui pe andrtoyoh para walah manandrtoyoh ihipwen, pwen ndroi ara iya kuw iya ngondron Hararat.
GEN.8.5	Pe non iro tayos isa pwan, pe hu ngondron sih-sih husarayah iro lang sih para walah songui.
GEN.8.6	Iyamulan para lang mahaangui ihipwen, pwen Nowah itepe marasip para ndroi nepo imbusiy. 
GEN.8.7	Pe Nowah ipwandrisa norukan hamou lokuran iya pe kinmui pwi; yiy iya ihowoh pe irakayani ndroi ipo non irayos pe pwan ipwasau. 
