MAT.1.1	Lunu niirwo olulyo lwa Yesu Kurisito omwizukulu wa Dawudi, iye eyabbaire omwizukulu wa Ibbulaimu:
MAT.1.24	Era oYusufu oweyalamukire, nʼakola ngʼomalaika oyo oweyamulagiire era nʼatwala oMalyamu e ika e wuwe nʼabba mukaliwe. 
MAT.1.25	Neye tiyeegaitire naye paka oweyabyaire, era oYusufu nʼayerula omwana oyo ati, Yesu.
MAT.2.1	OYesu owebamubyaliire omu kibuga e Bbeserekeemu, omwitwale lyʼe Buyudaaya, oKerode yabbaire niiye okabaka wʼeitwale eryo. Era abasaiza abeetegereza ebyʼenkota ni bazwera omu kyalo kyʼe buzwaisana, ni baaba omu kibuga e Yerusaalemi. 
MAT.2.2	Kale eeyo ni babuulya abantu bati, “Omwana ogubabyaire okubba okabaka wʼaBayudaaya ali nkonaki? Twaboine onkota alaga ati bamubyaire ngʼaizira eenu, kale twizire kusinza mwana oyo nago.”
MAT.2.3	Awo abantu owebakobeire okabaka oKerode ebintu ebyo, ni yeeraliikirira, era nʼabantu abakira obungi omu Yerusaalemi ni beeraliikirira. 
MAT.2.4	Kale awo oKerode nʼakumbaania abakabona abakulu bonabona, nʼabakugu omu byʼaMateeka ga Musa, kaisi nʼababuulya ati, “OKurisito ogubasukireku amafuta iye babbaire nʼokumubyala yaina?” 
MAT.2.5	Ibo ni bamwiramu bati, “Balimubyala mu kibuga e Bbeserekeemu, omwitwale lyʼe Buyudaaya. Ekyo kityo olwakubba onaabbi yakiwandiikire ati:
MAT.2.6	‘Inywe abantu bʼomu kibuga Bbeserekeemu ekyʼomu Buyudaaya,
MAT.2.6	ekibuga kyanywe tiniikyo ekisembayo okubba ekyʼekitiisya omu Buyudaaya,
MAT.2.6	olwakubba mwikyo mwalizwamu omufugi,
MAT.2.6	iye yakubbemberanga abantu bange abʼe Isirairi.’ ”
MAT.2.7	Kale awo oKerode nʼayeta abasaiza abo abeetegereza ebyʼenkota, nʼababuulya mu kyama ekiseera ekinanyerenyeere onkota ekiyabonekeiremu. 
MAT.2.8	Awo nʼabatuma e Bbeserekeemu ngʼabakoba ati, “Mwabe munoonererye nakusani omwana oyo, era owemwabba nga mumuboine, mwaira ni munkobera egyali zena ni njaba ni mmusinza.”
MAT.2.9+MAT.2.10	Atyanu owebamalire okuwulira ebibono bya kabaka oKerode ni baaba. Awo ni bairamu okubona onkota onyere oyo ogubabbaire baboine e buzwaisana. Cooka owebaboine onkota oyo nago ni basangaalira nakimo ino. Era onkota oyo yabeekubbembereire paka oweyatuukire nʼayemerera e ngulu wʼenyumba omwana omu yabbaire. 
MAT.2.11	Kale abasaiza abo owebatuukire ni baingira omu nyumba, era ni babona omwana ngʼali nʼomaaye oMalyamu, bakomere amazwi ni basinza omwana oyo. Awo ni basindibula emigangi gyabwe, era ni bamutonera ebirabo. Bamutoneire ezaabbu, nʼobubbaani nʼebyakaloosa ebibeeta miira.
MAT.2.12	Neye olwakubba oKibbumba yabbaire abalabwire omu kirooto ati tibakanga egiri oKerode, kale owebabbaire bakanga omu kyalo kyʼe waabwe babitiire mu nzira gendi.
MAT.2.13	Awo abasaiza abeetegereza ebyʼenkota owebazwire e Bbeserekeemu, omalaika wa Musengwa oKibbumba nʼabonekera oYusufu omu kirooto, nʼamukoba ati, “Osetuke, oyanguweku otwale omwana nʼomaaye mwirukire omu kyalo kyʼe Misiri. Era mubbe eeyo paka owenalibakoba okuzwayo olwakubba oKerode ayaba okunoonia omwana okumwita.” 
MAT.2.14	Kale awo oYusufu obwire obwo nʼasetuka nʼakwata omwana nʼomaaye ni baaba e Misiri. 
MAT.2.15	Era ni babba eeyo paka oKerode oweyafiire. Ebyo byabbairewo kaisi oMusengwa oKibbumba ekiyatumwire ngʼabitira omu naabbi kituukirire, ekikoba kiti: “Nayetere omwana wange okuzwa omu Misiri.”
MAT.2.16	Awo oKerode oweyamanyicirye ati abasaiza abeetegereza ebyʼenkota bamubbeyere-bubbeyi, nʼanyiiga ino. Kale nʼatuma abaisulukale okwita abaana abaisuka bonabona omu Bbeserekeemu nʼomu byalo ebikyeruguuliriirye, abo ababbaire abʼemyanka emibiri nʼokwika ansi. Ekyo yakikolere ngʼasinzirira ku kiseera abasaiza badi nago ekibamukobeire ekibaboneiremu onkota.
MAT.2.17	Ekyo oKerode ekiyakolere kyatuukiriirye kiikyo oKibbumba ekiyatumwire ngʼabitira omu naabbi Yeremiya, ekikoba kiti:
MAT.2.18	“Abantu bawulira amazingo
MAT.2.18	nʼokukuukulya okwʼamaani omu kibuga e Laama.
MAT.2.18	OLakeeri
MAT.2.18	era tataka okumusirica.
MAT.2.18	Ekyo kityo olwakubba abaanabe abantu babamalirewo.”
MAT.2.19	Kale oluzwanyuma oKerode oweyafiire, omalaika wa Musengwa oKibbumba nʼabonekera oYusufu omu kirooto ngʼali e Misiri. 
MAT.2.20	Nʼakoba oYusufu ati, “Osetuke, okanje omwana nʼomaaye, omu kyalo kyʼe Isirairi olwakubba oodi abbaire anoonia omwana okwita afiire.” 
MAT.2.21	Awo oYusufu nʼakwata omwana nʼomaaye na bakanja e Isirairi. 
MAT.2.22	Neye oYusufu oweyawuliire ati Alukeraawo niiye ogubasikisirye oiteeye oKerode era niiye afuga eitwale lyʼe Buyudaaya, awo nʼatya okwaba omwitwale eryo. Neye oluzwanyuma oKibbumba oweyamulabwire olundi omu kirooto tete, awo nʼayaba mwitwale lyʼe Galiraaya. 
MAT.2.23	Kale ni baaba ni babba batyami bʼomu kibuga ekibeeta Naazaleesi. Ekyo kyabbaire kityo kaisi onaabbi ekiyatumwire oku Kurisito kituukirire, ekikoba kiti: “Balimweta owʼe Naazaleesi.”
MAT.3.1	Omu naku egyo, oYokaana oMubatizi nʼayaba omu kitera ekyʼe Buyudaaya, era nʼalaabba obukwenda bwa Kibbumba eeri abantu. 
MAT.3.2	Obukwendabwe bwabbaire buti, “Mwenenye, olwakubba obwakabaka bwʼomwigulu bwigereire.”
MAT.3.3	OYokaana oyo, niiye onaabbi oIsaaya oguyatumwireku ati:
MAT.3.3	“Waliwo atumulira omu kitera
MAT.3.3	nʼeigono eryaminkirira ati,
MAT.3.3	‘Mutegeke oluguudo lwa Musengwa aiza,
MAT.3.3	mutereerye amanzirage.’ ”
MAT.3.4	OYokaana oyo, yazwalanga ekizwalo ekibakolere omu byoya bya kisolo ogubeeta ongamira, ngʼomu nkende yeesiba musipi gwʼeidiba. Era yaalyanga nzige nʼomujenene gwʼenzoki egyʼomu kigona.
MAT.3.5	Awo abantu ni bazwanga omu kibuga e Yerusaalemi, nʼomu byalo byʼomu Buyudaaya mwonamwona, nʼomu byalo ebyeruguuliriirye oMwiga oYoludaani, ni baabanga egiri oYokaana, 
MAT.3.6	ni babbutulanga ebikole byabwe ebibbibibbi era nʼababatiziranga omu mwiga oYoludaani.
MAT.3.7	Neye oYokaana oweyaboine ngʼaBafalisaayo nʼaBasedukaayo bangi baaba egyali okubabatiza, nʼabakoba ati, “Inywe abakabbikabbi ooti mpiri enfulugundu! Naani abalabwire ati eenu niiyo engeri eyʼokwiruka obusungu bwa Kibbumba obwaba okwiza?
MAT.3.8	Aale atyanu mukole ebikole ebiraga biti dala mwenenyere ebikole byanywe ebibbibibbi. 
MAT.3.9	Era timwaseega muti mwezya okubunuka nga mukoba muti, ‘Kasita iswe tuli baizukulu ba Ibbulaimu,’ olwakubba mbakobera nti omu mabbaale ganu, oKibbumba ayezya okusuuciryamu oIbbulaimu abaizukulu abandi.
MAT.3.10	Mumanye muti muli ooti misaale, nga nʼamambaizi agagitema bamalire okugabiikirya oku kikolo kya buli musaale. Ogwo ogutaneneka ebineneka ebisa baaba kugutema, era bagudyake omu musyo.
MAT.3.11	Nze mbabatiza na maizi okulaga nti mwenenyere, neye waliwo ankiraku obwezye aali kwiza oluzwanyuma lwange, oguntasaanira naire okusibindula obusibiro bwʼengaitogye ni ngitoola omu bigerebye. Iye, yalibabatiza na Mwoyo oMweru era na musyo. 
MAT.3.12	Iye ayaba okwabulamu abantu ooti muntu owaakwata olugali nʼasenyenta, empeke nʼebisusungu. Empeke igyo yaligikumbaanirya omu kideerokye, kaisi ibyo ebisusungu nʼabyoca nʼomusyo ogutalikira.”
MAT.3.13	Awo oYesu nʼazwa omwitwale lyʼe Galiraaya, nʼayaba oku mwiga oYoludaani egiri oYokaana okumubatiza. 
MAT.3.14	Neye oYokaana nʼagezyaku okuloberya oYesu ngʼamukoba ati, “Nze neetaaga niiwe okumbatiza, tete iwe wena oiza giri ninze nkubatize?”
MAT.3.15	Neye iye oYesu nʼamwiramu ati, “Oganye kibbe kityo omu kiseera kinu, ikyo kituuce iswe okukola obutuukirirye bwonabwona.” Kale awo oYokaana nʼaikirirya okubatiza oYesu. 
MAT.3.16	Amangu ago ngʼoYesu bankamubatiza, nʼazwa omu maizi, era omu kiseera ekinanyere ekyo eigulu ni lyeigula, oYesu nʼabona oMwoyo wa Kibbumba ngʼaika ooti njiiwa, era nʼayemerera oku Yesu. 
MAT.3.17	Era eigono ni lizwa omwigulu, nga likoba liti, “Oyo niiye oMwana wange omutake era ogunsiima eino.”
MAT.4.1	Ebyo owebyawoire, oMwoyo oMweru nʼatwala oYesu omu kitera oSitaani okumukema.
MAT.4.2	OYesu oluzwanyuma lwʼokumala enaku 40 nga talya omusana nʼobwire, awo enzala nʼemuluma. 
MAT.4.3	Kale oSitaani iye omukemi nʼayaba egiri oYesu era nʼamukoba ati, “Ngʼoli Mwana wa Kibbumba, aale olagire amabbaale ganu gasuuke kyokulya.”
MAT.4.4	OYesu nʼamwiramu ati, “Bakiwandiikire bati: ‘Omuntu tabba mwomi omu bwizulye ngʼalya kyokulya kyonkani, neye yeetaaga nabuli kibono oKibbumba ekyatumula.’ ”
MAT.4.5	Awo oSitaani nʼatwala oYesu omu kibuga ekyeru,
MAT.4.6	Awo nʼakoba oYesu ati, “Ngʼoli Mwana wa Kibbumba, ojuuke ogwe ansi olwakubba bakiwandiikire bati:
MAT.4.6	‘OKibbumba yalagiranga abamalaikabe okukukuuma,
MAT.4.6	era balikubbaka omu ngalo gyabwe,
MAT.4.6	kaisi nandi ni weekontola ekigerekyo okwibbaale.’ ”
MAT.4.7	OYesu nʼairamu ati, “Era bakiwandiikire bati: ‘Tokemanga oMusengwa oKibbumbawo.’ ”
MAT.4.8	Tete oSitaani nʼalungamya oYesu okuniina angulu oku lusozi oluwanvu eino, nʼamulagisya obwakabaka obwʼamawanga gonagona obwʼoku kyalo nʼebintu ebyʼamaani byonabyona ebirimu. 
MAT.4.9	Kaisi awo oSitaani nʼamukoba ati, “Atyanu ebyo byonabyona njaba okubikuwa singa oikirirya okunkomera amazwi nʼonsinza.”
MAT.4.10	Awo oYesu nʼamukoba ati, “Sitaani! Onzwe omu maiso, bakiwandiikire bati: ‘Osinzenge Musengwa oKibbumbawo, era guwaweereryanga yenkani.’ ”
MAT.4.11	Kale oSitaani nʼazwawo nʼaleka oYesu, era abamalaika ni baiza ni bamulabirira.
MAT.4.12	Awo oYesu oweyawuliire ati oYokaana omubatizi bamwigaliire omu mabbuusu, nʼazwa e Yerusaalemi nʼakanga omwitwale lyʼe Galiraaya.
MAT.4.13	Awo nʼazwa omu kabuga kʼe Naazaleesi nʼayaba nʼabba mutyami omu kibuga e Kaperenawumu ekiri oku nyanza omu bitundu byʼeigwanga lya Zabbulooni nʼebya Nafutaali.
MAT.4.14	Ekyo kyabbairewo kaisi oolwo oKibbumba ekiyatumwire ngʼabitira omu naabbi oIsaaya kituukirire, ekikoba kiti:
MAT.4.15	“Inywe abantu bʼomu bitundu byʼe Zabbulooni, nʼoNafutaali,
MAT.4.15	ebiri okumpi nʼenyanza oGaliraaya oku lubba lwʼomwiga oYoludaani,
MAT.4.15	abantu ababba omwitwale lyʼe Galiraaya eeyo aBatali Bayudaaya egibabba.
MAT.4.16	Abantu abali omu ndikiirya
MAT.4.16	baboine ekitangaala ekyʼamaani.
MAT.4.16	Era nʼabafu omu myoyo,
MAT.4.16	ekitangaala kibaakiire.”
MAT.4.17	Okuzwa omu kiseera ekyo, oYesu nʼatandiika okulaabba eeri abantu ati, “Mwenenye olwakubba obwakabaka bwʼomwigulu bwigereire.”
MAT.4.18	Lumo, oYesu oweyabbaire ngʼabita oku mbale kwʼenyanza oGaliraaya, nʼabona abaganda babiri, oSimooni ogubeeta oPeetero nʼomugandawe Andereya. Babbaire batega akatimba omu nyanza olwakubba babbaire bazibuli. 
MAT.4.19	Awo oYesu nʼabeeta ati, “Mwize mubbe beegi bange! Nalibasuuca bazibuli bʼabantu omu kifo kya bazibuli bʼenyanyi.” 
MAT.4.20	Amangu ago ni baleka aawo obutimba bwabwe, ni baaba naye.
MAT.4.21	Oweyazwire awo ni yeeyongeraku omu maiso, oYesu nʼabona abantu abandi babiri abaganda, oYaakobbo nʼoYokaana abataane ba Zebedaayo. Babbaire bali omu lyato nʼoitewaabwe oZebedaayo nga bakwania obutimba bwabwe, awo oYesu nʼabeeta babbe beegibe. 
MAT.4.22	Era amangu ago ni baleka aawo eryato nʼoitewaabwe, ni baaba nʼoYesu.
MAT.4.23	Awo oYesu nʼatambula omwitwale lyʼe Galiraaya lyonalyona ngʼayegesya omu makumbaaniro gaabwe, ngʼalaabba eeri abantu aMawuliro aMasa agʼobwakabaka bwʼomwigulu, era ngʼalamya abantu buli ndwaire nʼobunafu omu mubiri.
MAT.4.24	Kale amawuliro agamukwataku ni gasalaanira omu kyalo kyʼe Siiriya mwonamwona. Era ni bamuleeteranga abalwaire abʼendwaire egitali gimo, nʼababbaire bakaanya obulumi obubitiriri, nʼabaliku emizimu, nʼabʼempimbu, nʼabasanyalaire, bonabona nʼabalamyanga. 
MAT.4.25	Awo ebiyindi byʼabantu bingi ino okuzwa omu Galiraaya nʼomwitwale lyʼe Dekapooli, nʼomu kibuga e Yerusaalemi, nʼomu Buyudaaya, era nʼoku lubba lwʼe buzwaisana lwʼomwiga oYoludaani ni bamusengererya.
MAT.5.1	Awo oYesu oweyaboine ekiyindi kyʼabantu kinene nga kiigerera egyali, nʼaniinaniina oku lusozi era nʼatyama okwegesya, awo abeegibe ni bakumbaanira egyali okumuwulisisya. 
MAT.5.2	Kaisi nʼatandiika okubeegesya ati,
MAT.5.3	“Bʼenkabi abadoobi omu bwomi bwabwe obwʼomwoyo
MAT.5.3	olwakubba abo obwakabaka bwʼomwigulu ibwo bwabwe.
MAT.5.4	Bʼenkabi abo abakunga,
MAT.5.4	olwakubba oKibbumba yalibasaninkirirya.
MAT.5.5	Bʼenkabi abo abeiwooyo,
MAT.5.5	olwakubba oKibbumba yalibawa byonabyona ebiyabasuubizire.
MAT.5.6	Bʼenkabi abo abanzalwa nʼabʼenyonta okukola oKibbumba ebyataka,
MAT.5.6	olwakubba oKibbumba yalibaikutya.
MAT.5.7	Bʼenkabi abo abakola ebyʼekisa,
MAT.5.7	olwakubba oKibbumba yalibakwatira ekisa.
MAT.5.8	Bʼenkabi abo abaseega ku biibyo oKibbumba ebyasiima byonkani,
MAT.5.8	olwakubba ibo balibona oKibbumba.
MAT.5.9	Bʼenkabi abo ababbeera abantu okusyania,
MAT.5.9	olwakubba abo oKibbumba yalibeeta baanabe.
MAT.5.10	Bʼenkabi abo abantu abebayiigaania olwʼokukola oKibbumba ebyataka,
MAT.5.10	olwakubba abo obwakabaka bwʼomwigulu ibwo bwabwe.”
MAT.5.11	Awo oYesu ni yeeyongera ati, “Muli bʼenkabi singa abantu owebabazumanga, era owebabayiigaanianga, era owebabatumulangaku ebibbibibbi olwakubba muli beegi bange.
MAT.5.12	Kale ebyo owebibbangawo mujaagaanenge era musangaalenge ino, olwakubba oKibbumba yalibawa empeera eyʼamaani omwigulu. Kyalibba kityo nakimo ngʼoKibbumba oweyawaire abanaabbi empeera abo ababbairewo nga inywe mukaali okubbaawo, ibo abazeiza baanywe abebayiigaanirye.”
MAT.5.13	Awo oYesu ni yeeyongera okukoba abeegibe ati, “Inywe oku kyalo kunu mugasa abantu ooti muunyu omugaanike owegugasa omu byokulya. Neye singa gusuuka mujaalaali, bagwiryamu batya ensa? Gubba tigukaali gugasa omu kintu kyonakyona, okutoolaku okugudyaka-obudyaki eedi abantu ni bagwemyagira eeyo.
MAT.5.14	“Niinywe ekitangaala ekyʼoku kyalo abantu ekibatakaya okubona. Kityo nakimo ngʼowebatakaya okubona ekibuga ekibombekere oku lusozi.
MAT.5.15	Era abantu tibakwatisya eitaala kaisi ni balifuunikaku ekiibo, wazira balyanika ku kikondo, ni limolekera buli muntu abba omu nyumba.
MAT.5.16	Kale omu ngeri enanyere eyo, ekitangaala kyanywe kyakenge kityo omu bantu, kaisi babone ebikole byanywe ebisa, era olwʼebyo bawuujanga oItewaanywe aali omwigulu.”
MAT.5.17	Awo oYesu ni yeeyongera ati, “Muleke okuseega muti naizire oku kyalo kuvunawo Mateeka ga Musa waire Biwandiike byʼabanaabbi. Nze tinaizire kubivunawo, wazira naizire kaisi ebyo bituukirire. 
MAT.5.18	Mbakobera amazima, eigulu nʼekyalo nga bikaali biriwo, waire akasale akatyayi eino akʼoku kanyukuta akamo oku Mateeka ga Musa tikaligotaku paka byonabyona ebyo ebiri nʼokutuukirira nga bituukiriire.
MAT.5.19	Kale atyanu buli avunaku erimo oku Mateeka, waire liiryo erisembayo obutono, era nʼokwegesya nʼayegesya abantu okukola batyo, oyo oKibbumba yalimutwala okubba tiwamugaso omu bwakabaka bwʼomwigulu. Neye oyo akwata aMateeka ago era nʼayegesya nʼabandi okugakwata, oyo oKibbumba yalimutwala okubba wa mugaso ino omu bwakabaka bwʼomwigulu. 
MAT.5.20	Nʼolwekyo mbakobera nti singa obutuukirirye bwanywe owebutakirengeku obwo obwʼaBafalisaayo nʼabakugu omu byʼaMateeka ga Musa timwalingira omu bwakabaka bwʼomwigulu.”
MAT.5.21	Tete oYesu ni yeeyongera ati, “Mumaite muti oKibbumba yakobere abazeiza baanywe ati, ‘Tiwaitanga omuntu; eyaitanga omuntu balimusingisya omusango.’
MAT.5.22	Neye nze mbakoba nti buli omuntu asunguwalira omuntu omwinaye,
MAT.5.23	“Kale atyanu owoobbanga otwaire ekirabokyo oku kyoto
MAT.5.24	kisa oleke awo ekirabokyo omu maiso gʼekyoto. Osooke oyabe osyanie naye, kaisi okange oweeyo ekirabokyo.”
MAT.5.25	Awo oYesu ni yeeyongera tete ati, “Omuntu yenayena owakuwaabiranga, osyanie naye mangu nga mukaali muli naye mu nzira nga mwaba omu kooti. Owootakola otyo, akuwaabiire yalikuwaayo e wʼomulamuzi, era nʼomulamuzi nʼakuwaayo egiri omwisulukale, era nʼomwisulukale nʼakuteeka omu mabbuusu. 
MAT.5.26	Era nkukobera amazima nti, owewalituuka oomwo, tiwalizwamu paka owewalisasula empiiya gyonagyona egyʼomugaito.”
MAT.5.27	Awo oYesu ni yeeyongera okwegesya ati, “Mumaite muti oKibbumba yakobere ati, ‘Tiwayendanga.’
MAT.5.28	Neye nze mbakoba nti buli alingirira omukali olwʼokwegomba okwegaita naye, oyo abba abbengere ogwʼobulendi omu biseegobye. 
MAT.5.29	Abba ngʼeriisolyo eryʼoku ngalo endiiro niiryo erikuzweraku okukola ekikole ekibbikibbi, olyokolemu era olimume eedi. Kikiraku iwe okufiirwa ekimo oku bitundu byʼomubirigwo, okukiraku omubirigwo gwonagwona oKibbumba okugusindika omu geyeena.
MAT.5.30	Era singa engaloyo endiiro niiyo ekuzweraku okukola ekikole ekibbikibbi, ogitemeku era ogimume eedi. Kikugasa iwe okufiirwa ekimo oku bitundu byʼomubirigwo, okukiraku omubirigwo gwonagwona oKibbumba okugusindika omu geyeena.”
MAT.5.31	Era tete oYesu ni yeeyongera okwegesya ati, “Bakiwandiikire omu Mateeka bati, ‘Buli muntu abbinga omukaliwe, amuwenge ekiwandiiko ekikakasa kiti amubbingire.’
MAT.5.32	Neye nze mbakoba nti buli abbinga omukaliwe, azweraku omukali oyo okubba mulendi okutoolaku ngʼamubbingire lwa bulendi. Era omusaiza yenayena atwala omukali oyo ogubabbingire, abba abbengere ogwʼobulendi.”
MAT.5.33	Awo tete oYesu ni yeeyongera okwegesya ati, “Tete mumaite muti oKibbumba eira yakobere abazeiza baanywe ati, ‘Tolayiranga ebyobubbeyi, neye ebyosuubiza oMusengwa oKibbumba omu kirayiro, obituukiriryenge.’
MAT.5.34	Neye nze mbakoba nti, tolayiranga kadi katyayi kati, waire okulayira ngʼoijuluza eigulu, olwakubba niiyo entebe ya Kibbumba.
MAT.5.35	Waire okulayira ngʼoijuluza ekyalo kinu, olwakubba ekyalo niikyo omukonkolo oKibbumba ogwawuumuliryaku ebigerebye. Waire okulayira ngʼoijuluza eriina lyʼekibuga oYerusaalemi, olwakubba niikyo ekibuga oKibbumba iye okabaka omukulu ekyafuga.
MAT.5.36	Era tolayiranga waire ngʼowaayo omutwegwo, olwakubba iwe toyezya okucuusa erangi ya nziiri omoiza okubba enjeru ooba enjirugazu. 
MAT.5.37	Wazira mukobenge muti, ‘Niikyo’ nga mutegeeza muti ‘niikyo,’ ooba muti, ‘bbe’ nga mutegeeza muti, ‘bbe.’ Ebindi byonabyona ebimwongerangaku byabbanga bizwire wa Mubbimubbi oSitaani.”
MAT.5.38	Era awo oYesu ni yeeyongera okwegesya ati, “Mwawuliire eiteeka erikoba liti, ‘Eyatoolangamu omwinaye eriiso yena bamutoolangamu liiso. Era nʼeyabbongolangamu omwinaye eriino yena bamubbongolangamu liino.’
MAT.5.39	Neye nze mbakoba nti, Timwanyaaŋanga, wazira omuntu owakukubbanga okwitama eryʼoku ngalo endiiro, omucuusiranga nʼerindi lidi lyona nʼakubba.
MAT.5.40	“Era singa omuntu yenayena owaatakanga okuwozya na iwe atwale esaatiyo omulekeranga nʼekizibaawokyo kyona. 
MAT.5.41	Era omuntu yenayena owakukakanga okutambula naye ekiromita emoiza nʼekitundu, otambulanga naye ekiromita isatu. 
MAT.5.42	Kaisi omuntu owakusabanga ekintu omuwanga, era omuntu owaatakanga iwe okumukoopa ekintu, omukoopanga.”
MAT.5.43	Awo oYesu ni yeeyongera okwegesya ati, “Mwawuliire eiteeka erikoba liti: ‘Otakenge omuntu omwinawo, era ocaawenge omulabewo.’
MAT.5.44	Neye nze mbakoba nti, mutakenge abalabe baanywe, era musabirenge abo ababayiigaania. 
MAT.5.45	Era owemwakolanga mutyo mwabbanga mulagire muti muli baana ba Itewaanywe aali omwigulu. Ekyo kityo olwakubba ayakisya eisana eeri abakola ebisa nʼabakola ebibbibibbi, era atonyesya oikendi eeri abatuukirirye nʼabatali batuukirirye. 
MAT.5.46	Aale singa owemutaka baabo ababataka bonkani, mubba musuubira oKibbumba kubawa mpeera eetya? Ibo abasolooji ba musolo inywe abemweta muti bakola ebibbibibbi bona kaisi tibataka baabo ababataka? 
