MAT.1.1	Buk towen waseg delen Yeisuw Kelis, tabun kweiboug Deibid, kweiboug tonen tabun Ebelam.
MAT.1.20	Ininuway ma̱wan ee... imasis, anmikon waseg Yowbad nataka̱yob ikin neim, idibek, ilana, “Yosep, ya̱koum Deibid tabun yak, bweina kuvays soum Meliy. Awoum beivag nanoum babaw. Yowbad Kululuwan isek mo isum ikakuda̱pom.
MAT.1.21	“Igaw mo bikop natun kuda̱taw; e, kudok yagan Yeisuw, mtowen bikatinabwes nagamag sinap kalbaleb waseg.” 
MAT.1.22	Youd towen ikamat peinan Yowbad anilivan ma̱wan. Napalopit kweiboug nilivnek mamagina:
MAT.1.23	“Nakubukwab igaw naptabod mo bikop natun kuda̱taw, yagan bidokes Ima̱nuwel.”
MAT.1.23	Wawun yeg towen ‘Yowbad sod tasesus.’
MAT.1.24	Yosep imasis ikous, ikit, ikanow aygan Yowbad nataka̱yob, ivays son nakwav.
MAT.1.25	Ta-imasis son; tana̱ban ises ee... mo ikop natun, taman mo idok natun yagan Yeisuw.
MAT.2.1+MAT.2.2	Tutan inan nikop Yeisuw ven Betelem waseg, wawnuwan ven Yudiy, ven babaw siking Elod. Tassinaps mwasanin siven wanuvid mo imeis Yelusalem, ilansa, “Yakamiy min-Yudiy miking kweivaw, avanuy mikopweyas? Peinan nakakin anwutun kweivaw neipel, mwana nakam kid bakakulul wamatan.”
MAT.2.3	King Elod iligen mamagin, ivag aspwa̱yat siney min-Yelusalem.
MAT.2.4	Mapun ilivan va̱gan meivek tasiyas tanuwgwes lun, sisiyas takatimlakeins kaleiwag, katuyouns bimeis.
MAT.2.4	Imeis mo ikatugan, ilana, “Kelis avanuy mikopweyas?”
MAT.2.5	Ilansa, “WaBetelem, wawnuwan ven Yudiy; peinan palopit teitan nilel Yowbad anilivan mamagina:
MAT.2.6	‘Ya̱koum ven Betelem wawnuwan ven Yudiy, bo kumug.
MAT.2.6	Nag kukuyeim Yud guyawaw watiblous, nag.
MAT.2.6	Peinan takaleiwag bikamat ven Betelem waseg;
MAT.2.6	mtowen mo bikaleiwag gungamag Yisleil wasigeis.’
MAT.2.6	Palopit towen anilivan mamagin.”
MAT.2.7	Wankuyeim Elod mo idawes bimeis tassinaps, tasiyas mwana nimeis; siney tasiyas illivans, ikatugan, ilana, “Wutun towen nukukines, avei-yam waseg neipel?”
MAT.2.8	Ilivans ikous, mo ikayabes bineis Betelem, ilana, “Gwad towen kuneves beibwein; kukin bukuba̱nes, kuyums kumeis, kudibakeigs; yey mo ban akulul wamatan.”
MAT.2.9	Iliganes aygan King towen, mo inounas ineis. Wutun towen, kweiboug nikines wanuvid, bo imgwayes in, iton wakunuwatan a̱pwaw nabunatum nimsikey-yay.
MAT.2.10	Ikines wutun towen, mo imwa̱saws avakaein.
MAT.2.11	E, isiws bunatum wanuwan, ikines a̱pwaw son inan Meliy, ikululs wamatan, iya̱kawns waseg. Ikous, mo ikaliyowes siwliyoug isiwyoubus a̱pwaw towen, isekes goul, o pilankisens simasim seikwan, o mul silma̱nin won takanig biptumis. Imulouls ma̱wan ikous.
MAT.2.12	Wankuyeim asmikon waseg Yowbad mo ikatimlakes awoum beiyum binekes Elod, mapuna iyums inoyes kadetan ked, ineis wasiven.
MAT.2.13	Wankuyeim Yowbad nataka̱yob teitan mo inek Yosep, Yosep anmikon waseg, ilana, “Kutamanaw, kutokes gwad son inan, kusawls kuneis Yidipt, kusesus ee... tutan balivan mo kuyums. Peinan Elod binineiv gwad towen, biban kid bikatimet.”
MAT.2.14	Yosep ikanow aygan, itamanaw boug waseg, itokes gwad son inan, ineis Yidipt.
MAT.2.15+MAT.2.16+MAT.2.17+MAT.2.18	Elod gog bikayyamat tasiyas tassinaps, ikayyamata ee... nag; nanon ilana, “O bo ikatidavigs.” Kapasal nuwan, ikayabes nagamag, beiweiys kid a̱pwaw tasiyas tawaw Betelem o walasin ven wasigeis, ilana, “Tasiyas asibweilim katanok o akweiy kuwaweiysa beikous.” Peinan nikatugwan tassinaps wasigeis avei-tut nikop gwad towen.
MAT.2.15+MAT.2.16+MAT.2.17+MAT.2.18	Idok kid Yeisuw bikatimet, tage Yowbad anilivan kweiboug napalopit Yelemay nilivnek mamagina:
MAT.2.15+MAT.2.16+MAT.2.17+MAT.2.18	“Ven Lem waseg mo biliganes va̱lam avakaein.
MAT.2.15+MAT.2.16+MAT.2.17+MAT.2.18	Lakel o vinay-nen Yisleil biva̱lams nitsiyas pines.
MAT.2.15+MAT.2.16+MAT.2.17+MAT.2.18	Ta-ma̱wan bivkakes beitout ninous, peinan nitsiyas bo imtakous.”
MAT.2.15+MAT.2.16+MAT.2.17+MAT.2.18	Yelemay anilivan kweiboug, bo ikamat tut towen waseg. E, Yosep siney angamag Yidipt waseg isesus ee... ikanig Elod. Peinan kweiboug napalopit nilivnek mamagina:
MAT.2.15+MAT.2.16+MAT.2.17+MAT.2.18	“Natug waYidipt mo adouw im.”
MAT.2.19+MAT.2.20	E, Elod ikanig, Yowbad nataka̱yob mo inek Yosep, anmikon waseg, igaw nises Yidipt, ilana, “Kutamanaw, kutokes gwad son inan, kuneis Yisleil; peinan towen sivinan beiweiy gwad bo ikanig. Kameiliw bo ikous.”
MAT.2.21	Mtowen Yosep itamanaw, itokes gwad son inan ineis Yisleil. 
MAT.2.22+MAT.2.23	Iligen Elod ikanig, o Elod natun Alkelaw, taman nakaleiwag bo ikow, ikaleiwag ven Yudiy waseg. Yosep anpwa̱yat beiyum ven towen waseg, kweitan sinap ikakin anmikon waseg, mo inoyes kidenen Galiliy, ineis ven Nasalet, isiwas. Mapuna ikamat palopit anilivan mamagina:
MAT.2.22+MAT.2.23	“Bidokes towen gum-Nasalet.”
MAT.3.1+MAT.3.2	Igaw nisesus Nasalet mo Yon isilamaw nageiguy ven Yudiy wanawoud, mtowen tabibapta̱ysein gamags, ilana, “Bikanavin ninoumiy, sinap kalbaleb kulavewas, peinan Yowbad kakita bisilamaw nakaleiwag.”
MAT.3.3	Palopit towen Isaya kweiboug nilivnek Yon nawotet, ilana,
MAT.3.3	“Aygan bivakaein wanawoud, bilivan,
MAT.3.3	‘Kukidumwa̱lus daGuyaws inaked; kuva̱ges beibwein.’”
MAT.3.4	Mtowen Yon anakweim wunuwunun kamel, anawat kaleivin kamel, kan gog kulipaw son kitoul.
MAT.3.5+MAT.3.6	Mo inounas inekes Yon, min-Yelusalem sisiyas Yudiy gimgilis, sisiyas wunsiyas ven wadadan lay yagan Yoldan, ika̱mats asisinap kalbaleb, Yon mo ibapta̱yses tasiyas lay Yoldan waseg.
MAT.3.7+MAT.3.8+MAT.3.9+MAT.3.10	Ikin tasiyas Palisiy sisiyas tasiyas Sadusiy imimeis va̱gan bibapta̱yses, mo ika̱nes, ilana, “Mwatet yakamiy, adok teitan tan niguyeimiy mapuna kuwenes Yowbad, amipwa̱yat igaw mo bikatimop amisinap kalbaleb. Adok nag kupiyaves amisinap kalbaleb. Kwatimlakeigs miwotet bwein va̱gan bakin amisinap kweivaw nukukwawes, bwanabwein. Awoum kuninuways, kulansa, ‘Yakamey bwein, peinan Ebelam delen yakamey.’ Nag gog, Yowbad kadilok dakul tasiyas bivag mo bimlavags Ebelam delen. Ebelem delen mamagina kay. Tut kadilakus mo beiteiy kay kasiyas. Kukin amata kay nag beivag anagin mo beiteiy, bilev bein wa̱kov.”
MAT.3.11+MAT.3.12	Yon mo ilivan, ilana, “Yey, bo nabapta̱yseimiy yevagam waseg, peinan bo kulavewas amisinap kalbaleb. Igaw teitan beim, tatawtoun; yey nag kadilok ba̱kew inasandol, peinan guyaw avakaein. Mtowen beim mo bibapta̱yseimiy Kululuwan Bwanabwein waseg, mamagina kov. Mamagina nakaytuk wanaman biwaway anawit, va̱gan bikow anagin bwanabwein binow waseigous, simwan gog bisen bigigob kov tuta babaw.”
MAT.3.13	Wankuyeim Yeisuw mo ilisow Galiliy in Yoldan, inek Yon, va̱gan kid bibaptays.
MAT.3.14	Yon idok kid bisilbwed, ilana, “Kadilok kubapta̱yseig yey, awoum yey babapta̱yseim yak.”
MAT.3.15	Iw to Yeisuw, ilana, “Bweina kuvag nagein. Kadiloka sinap babaw bwanabwein bitayakous.” Mo itam.
MAT.3.16	Ibaptays Yeisuw ikous, iga̱lag, liba̱lab bo itavis, Yowbad Kululuwan mo ikin, ankakin ma̱wana bwabun italbelub im, iton Yeisuw wakunun.
MAT.3.17	Aygan teitan walba̱lab mo iligen, ilana, “Towen Natug bwanabwein; singay ibwein nanoug waseg.”
MAT.4.1	Yowbad Kululuwan mo itok Yeisuw, inow wanawoud, va̱gan Seitan biyakwen.
MAT.4.2	Ipos sinawavas yam; ta-kweitan kan ikam yam waseg o boug waseg, nag. Ikous, mo ivag anamoun.
MAT.4.3	Tayakwanein gamags mo isap, ilana, “Magat ya̱koum Yowbad Natun yak, amlivan kusek dakul tasiyas mo bimlavag bled bukukwam.”
MAT.4.4	Yeisuw ikatimop aygan, ilana, “Bukitab waseg livan nises mamagina:
MAT.4.4	‘Kan makaw nag biyamov gamag; nag. Tage Yowbad anilivan kweitan kweitan mo biyamoves gamags.’”
MAT.4.5+MAT.4.6	Ikous sinap towen, Seitan mo itok Yeisuw inow Yelusalem waseg, itamnow Yowbad nabunatum wakunuwatan, idibek, ilana, “Magat ya̱koum Yowbad Natun yak, kwaspepel kun watinow. Nag aveiyag bivag, peinan livan nises Bukitab waseg mamagina:
MAT.4.5+MAT.4.6	‘Bo bisek nataka̱yobs siwotet va̱gan bimtakavateims, binupeims yak; mata ge dakul iweiy kakeim.’”
MAT.4.7	Yeisuw idibek, ilana, “Kweitan livan nises mamagina:
MAT.4.7	‘Awoum kuyakwen muGuyaw Yowbad.’”
MAT.4.8	Sivtounun mo itok Yeisuw, inow koy singay avakaein, ikatimlek vena babaw ikous, ikin vena babaw bwana̱bweins.
MAT.4.9	Yeisuw ikin ikous, Seitan mo idibek ilana, “Kukulul wamatag mo basekeim vena babaw, wunsiyas ven mukwaleiwag ya̱koum.”
MAT.4.10	Yeisuw mo ikan Seitan, ilana, “Kusineikik. Bukitab waseg kweitan livan nises mamagina:
MAT.4.10	‘DaGuyaws Yowbad bukukulul wamatan;
MAT.4.10	Towen anmwa̱net bukutapwa̱loul waseg.’”
MAT.4.11	Seitan mo ilisow Yeisuw, inoun. Yowbad nataka̱yobs mo imeis, ilabes Yeisuw.
MAT.4.12	Wankuyeim kweitan tut gamag mwasanin mo inekes Yeisuw, ilansa, “Bo iyousis Yon inawes wa̱deil.” Yeisuw iligen mo inoun in Galiliy.
MAT.4.13	In Nasalet, ilisow, in Kapaneyum mo isin. Ven towen wakawalaw, kweiboug tasiyas Seblon son Naptal siven.
MAT.4.14+MAT.4.15+MAT.4.16	Palopit kweiboug Isaya nilivnek mamagina:
MAT.4.14+MAT.4.15+MAT.4.16	“Seblon son Naptal siven, palata-dadan Yoldan,
MAT.4.14+MAT.4.15+MAT.4.16	yol niweiw, ven towen Galiliy nimeim;
MAT.4.14+MAT.4.15+MAT.4.16	tasiyas igaw dadub misikes.
MAT.4.14+MAT.4.15+MAT.4.16	Kweiboug dadub, kamnat avakaein mo ikines.
MAT.4.14+MAT.4.15+MAT.4.16	Kweiboug ven kanig-nen misikes, kamnat mo isap wasigeis.”
MAT.4.14+MAT.4.15+MAT.4.16	Kweiboug palopit nilivnek, tut towen bo ikamat.
MAT.4.17	Yeisuw mo isilamaw nageiguy, ilana, “Kulavewas amisinap kalbaleb, peinan Yowbad kakita bisilamaw nakaleiwag.”
MAT.4.18	Ivayal yevagam towen yagan Galiliy, ikin taw teitan son bwadan iplapouls, mtowen Saymon, kweitan yagan Pita, bwadan Andiluw, peinan siwotet poul-wan.
MAT.4.19	Yeisuw idibakes, ilana, “Kukikuns waseg yey, mo basekeimiy kweitan miwot, waseg bukukwanes gamag.”
MAT.4.20	Iliganes, ipiyaves wot towen, ikikuns Yeisuw waseg.
MAT.4.21+MAT.4.22	Inounas, ineis mo ikines tawaw asteiy, Sebidiy nitun, Yemes son bwadan Yon, tasiyas sisiy times wa̱wag iymiyeims siwot. Yeisuw idawes, mo ilisawes wag towen, ilisawes times, mo ikikuns Yeisuw waseg.
MAT.4.23	Ita̱vin ven babaw Galiliy waseg, igeiguy buntuman tapwa̱loul sinagog wasigeis, livan bwanabwein isekes va̱gan bikakins Yowbad nakaleiwag; takatouns ivag ibweins; tasiyas abes igeg, ilabes mo ibweins.
MAT.4.24	Tasiyas min-Siliy mo iliganes butun Yeisuw, imeyes takatouns, askatoun kweitan kweitan, ivag mo ibweins, tasiyas igidaged wous, tasiyas bwagaw neiweiys, takabalamats, tayda̱gwegs, ivag mo ibweins asibabaw.
MAT.4.25	Gamag babaw mo ikikuns waseg, tasiyas min-Galiliy, min-Dikapolis, min-Yelusalem, min-Yudiy, sisiyas tasiyas palata-dadan Yoldan, ikikuns waseg Yeisuw.
MAT.5.1+MAT.5.2	Yeisuw ikin gamag singay babaw, ikatulag, in wa̱koy, isin, inavamul inekes, mo isilamaw nageiguy, ikatimlakes mamagina:
MAT.5.3	“Yakamiy waninoumiy kulansa, ‘Nag aveiyag bwanabwein nises wakululuwem,’ bweina kumwa̱saws, peinan bukusiws Yowbad wanakaleiwag.
MAT.5.4	“Kumwa̱saws yakamiy tavva̱lams, Yowbad bilabeimiy mo beitout ninoumiy.
MAT.5.5	“Kumwa̱saws yakamiy tamma̱nums, igaw Yowbad mo bisekeimiy youda babaw.
MAT.5.6	“Kumwa̱saws yakamiy magat biseiw nuwamiy sinap didumwal silma̱nin, igaw mo bivakaein wasigeis yakamiy.
MAT.5.7	“Kumwa̱saws yakamiy bukusiwyoubus tasiyas abes igeg, Yowbad mo bisiwyoubumiy yakamiy.
MAT.5.8	“Kumwa̱saws yakamiy tatoukums, igaw mo bukukines Yowbad.
MAT.5.9	“Kumwa̱saws yakamiy bukulabes gamag va̱gan biyakousis sikameiliw sisiyas, igaw Yowbad bilivan, ‘Nitug yakamiy.’
MAT.5.10	“Kumwa̱saws yakamiy, kukin gamag bikamliweimiy peinan amisinap didumwal, bukusiws Yowbad nakaleiwag wanuwan yakamiy.
MAT.5.11+MAT.5.12	“Kumwa̱saws magat gamag bitawyageimiy, bikamliweimiy, o peinan gungamag yakamiy, siyaweid avakaein bivtokeimiy livan; bweina kumwa̱saws avakaein, maysamiy bwanabwein igaw mo bukulivatus walba̱lab. Ma̱wan magin gamag nikamliwes tasiyas palopits kweiboug. Yakamiy bo ma̱wan bikamliweimiy.
MAT.5.13	“Yakamiy mamagina sol silma̱nin ven babaw sabal-nen yakamiy. Kukin sol sabal-nen bigeg, ta-ma̱wan bitavkek bisabal vayuwein. Peinan bo igeg, misinaka bitalev bein watoulan, gamag mo bivva̱nis.
MAT.5.14	“Yakamiy vena babaw sikamnat yakamiy. Magat wunovek ven bibunis koy wakunuwatan, makava kimna̱yawl ven towen. Ma̱wan magin gamag babaw bikines mikamnat yakamiy.
MAT.5.15	“Lamp nigidaged, awoum takow loutan takatugibliken kunuwatan tage tasen wateibol mo bimteil bunatum, nakamnat kadilok bunatum.
MAT.5.16	“Ma̱wan magin yakamiy kummiteilis gamag babaw va̱gan bikines miwotet bwanabwein, mo biyakawanes Tamads nises wanakaew.
MAT.5.17	“Awoum kudokeigs yey nam tagulekwein Moses nakaleiwag o tasiyas palopit sikaleiwag, awoum. Yey nam va̱gan bakatimweis sikaleiwag, bivakaein.
MAT.5.18	“Mounid adibakeimiy, nag kweitan sikaleiwag beikous tut towen waseg. Tut towen ven watinow son liba̱lab nisesus. Ma̱wan magin tasiyas Moses siney palopits sikaleiwag bisesus ee... igaw mo bikamat anagin.
MAT.5.19	“Kavel yak bukulivan, ‘Kaleiwag towen kakit, bweina tanumlaves talavewas,’ yak singay bukubus Yowbad nakaleiwag waseg. Tage bukwanow kaleiwag tasiyas, bukwatimlakes gamag, igaw mo bukumwen Yowbad nakaleiwag waseg.
MAT.5.20	“Taninuways tasiyas takatimlakeins kaleiwag sisiyas tasiyas Palisiy, gamag babaw idokes asisinap bwein. Tage yakamiy amisinap bwanabwein bivakaein; waseg kwalsawes tasiyas. Kukin gog nag, tama̱wan bukusiws Yowbad wanakaleiwag.
MAT.5.21	“Kukwakins tammwayas sikaleiwag kweiboug mamagina:
MAT.5.21	‘Awoum kuweiy gamag.
MAT.5.21	Kukin bukkwatimet gamag, takalleiwags mo biyateleims yak.’
MAT.5.22	Tage yey gunakaleiwag mamagina:
MAT.5.22	‘Kukin yak bukkwamliw soum, takalleiwags mo biyateleims yak.
MAT.5.22	Kukin bukuyeg soum, tasiyas takaleiwag kawka̱veks wasigeis mo biyateleims yak.
MAT.5.22	Kukin go bukuyeg avakaein, adok Yowbad bilaveim bukun wadiginasim, kov bigabum yak.’
MAT.5.23+MAT.5.24	“Kukin aveiyag bukukow va̱gan bukulun Yowbad waseg mo kunuw kavel nanon igeg waseg yak, bweina kusem mulun abeilun wadadan, kunoun, kun, kulun gamag towen waseg; beikous, mo kuyum kum, kulun Yowbad waseg.
MAT.5.25	“Kukin kavel soum biyateleim, kadiloka wa̱ked kulun amiteiy; kukin gog nag, adok soum towen bitokeim takaleiwag to gabman waseg, gabman mo bidibek plisman, bitokeim binaweim wa̱deil.
MAT.5.26	“Mounid adibakeimiy, bukusesus wa̱deil ee... bukupa̱yin soum beikous, mo bispuyeim bukun wamnat. Kukin gog nag, bukusesun-wan wa̱deil.
MAT.5.27	“Kukwakins tammwayas sikaleiwag mamagina:
MAT.5.27	‘Awoum kwanavay mav.’
MAT.5.28	Tage yey gunakaleiwag mamagina:
MAT.5.28	‘Kavel yak bukumet vin, wananoum kid bo kukwanavay soum mana̱wen vin. Amsinap towen igeg.’
MAT.5.29	“Kukin gog matam wamkwa̱tay bikaleiwag mo bukukwalouw, kadiloka kugut kulev bein tana̱ban. Bweina kuyamkwen matam palatanok; mata ge tamkwa̱lan mo son woum bigob wadiginasim.
MAT.5.30	“Kukin mukwa̱tay bikaleiwag va̱gan bukukwalouw, kuboub, kulev bein tana̱ban. Bweina palatanok namam; mata ge bukuyamkwen woum sona tamkwa̱lan wadiginasim.
MAT.5.31	“Kukwakins kaleiwag kweitan mamagina:
MAT.5.31	‘Kukin kal yak bukupiyev mukwav, kusek inalet mo kwayeb binoun.’
MAT.5.32	Tage yey gunakaleiwag mamagina:
MAT.5.32	‘Kukin kal yak, nag bukutanid, tage bukupiyev mukwav, mo kuva̱ges tasiyas bikaninavays mav son namwan teivaw.’
MAT.5.33	“Kukwakins tammwayas kweitan sikaleiwag kweiboug mamagina:
MAT.5.33	‘Awoum kutabudabod mav. Bukutabudabod, bweina kuvag ma̱wan, daGuyaws silma̱nin.’
MAT.5.34+MAT.5.35+MAT.5.36	Tage yey gunakaleiwag mamagina:
MAT.5.34+MAT.5.35+MAT.5.36	‘Awoum kutatabdabod, misinaka amlivan mounid kusek.
MAT.5.34+MAT.5.35+MAT.5.36	Awoum kutabudabod liba̱lab waseg, peinan Yowbad a̱ban.
MAT.5.34+MAT.5.35+MAT.5.36	Awoum kutabudabod ven watinow waseg, peinan Yowbad nakabva̱wot kaken.
MAT.5.34+MAT.5.35+MAT.5.36	Awoum kutabudabod Yelusalem waseg, peinan daGuyaws inaven.
MAT.5.34+MAT.5.35+MAT.5.36	Awoum kutabudabod kunum waseg, peinan ta-ma̱wan bukuvkek bipwapwa̱kaw o bigunugoun walitanok kunum, nag.’
MAT.5.37	Kukin bukutam, misinaka kulivan, kulana, ‘E!’; o kukin bukupiyev misinaka kulivan, kulana, ‘Nag.’ Peinan tabudabod babaw meinoy neim Seitan waseg.
MAT.5.38	“Kukwakins tammwayas sikaleiwag mamagina:
MAT.5.38	‘Soum matan nukuweiy inalug matam yak beiweiy.
MAT.5.38	Soum kudun nukwatimoun, inalug kudum bikatimoun.’
MAT.5.39+MAT.5.40+MAT.5.41	Tage yey gunakaleiwag mamagina:
MAT.5.39+MAT.5.40+MAT.5.41	‘Awoum kwatimop soum peinan ansinap kalbaleb.
MAT.5.39+MAT.5.40+MAT.5.41	Kukin binep silapam wamkwa̱tay, bweina kutouvin binep paliyuwein silapam.
MAT.5.39+MAT.5.40+MAT.5.41	Kukin soum biyateleim bikow amukweim, bweina kusek-vak musag.
MAT.5.39+MAT.5.40+MAT.5.41	Kukin soum bikaleiwag, bilana, “Kwanag kukow katanok veit,” bweina kutam, mo kukow kwayuwein veit.’
MAT.5.42	Aveiyag soum bilivan, bweina kusek, o kukin soum binitoug, awoum kwayus.
MAT.5.43	“Kukwakins tammwayas sikaleiwag mamagina:
MAT.5.43	‘Kusiwyoubus taliwom, kwamliwes gog tasiyas nikamliweims yak.’
MAT.5.44+MAT.5.45	Tage yey gunakaleiwag mamagina:
MAT.5.44+MAT.5.45	‘Kusiwyoubus tasiyas nikamliweimiy; kunitougs Yowbad waseg va̱gan kid bilabes tasiyas iyagageimiy.’
MAT.5.44+MAT.5.45	Bo ma̱wan bukumlavags Tamads nitun yakamiy, peinan mtowen wanakaew nilabes takalba̱lebs sisiyas toubweins, ka̱las ivag ikal yam katanok katanok wasigeis, o kweis isekes asibabaw-wan.
MAT.5.46	“Kukin bukuyamanes siwa̱youb wasigeis tasiyas nisiwyoubumiy, adok nag kweitan la̱lan bukuba̱nes, kulatanes gog simiyas tasiyas takaweins ta̱kis; peinan tasiyas iyamanes siwa̱youb wasigeis tasiyas nisiwyoubus. Ma̱wana tasiyas, ma̱wana yakamiy.
MAT.5.47	“Kukin misinaka simiyas tawlimiyas bukumulouls, amisinap nag bitawtoun, peinan tobwag ven gimgilis asisinap ma̱wan.
MAT.5.48	“Kadiloka bukuyakousis sinap bwanabwein, ma̱wan magin ansinap mtowen Tamads wanakaew.
MAT.6.1	“Kukin bukumulouls wasigeis tasiyas tasimavs, awoum gamag babaw bikakins, mo bilansa, ‘Singay tasiwa̱youbs tasiyas’; awoum! Magat amisinap ma̱wan, ta-kweitan maysamiy bukuba̱nes waseg Tamads, walba̱lab nises.
MAT.6.2	“E, bukumulouls wasigeis tasiyas tasimavs, awoum tayikin bwa̱gig bimgwayeimiy, mamagina tayyaweids tasiyas wavtakon ven o buntuman tapwa̱loul waseg ikaypamwes butus, va̱gan kid gamag babaw bikavasis. Mounid adibakeimiy tut towen mayses iba̱nes, tage wanakougwaw bo nag.
MAT.6.3	“Kavel yak bukumuloul wasigeis tasiyas tasimavs, kadiloka kukwawum mumuloul; awoum teitan gamag bikakin.
MAT.6.4	“Mamagina kusowm mumuloul, Tamads anmwa̱net bikin, igaw maysam mo bisekeim.”
MAT.6.5	Yeisuw ilivan, “Gamag mwasanin bo initougs Yowbad waseg, itamanaws itowas wabunatum yagan sinagog, o itowas wavtakon ven mo initougs; tayyaweids gog. Peinan sivines gamag babaw bikakins, bo kid bilansa, ‘O singay tantougins Yowbad tasiyas.’ Ivavags mav, gamag tasiyas. Mounid adibakeimiy tut towen mayses iba̱nes; tage igaw gog wanakougwaw bo nag.
MAT.6.6	“O yakamiy awoum kuva̱ges ma̱wan. Kal yakamiy binitoug, kadiloka beisiw wanbunatum wanuwan, bikatibog koukwed, anmwa̱net bikulul wamatan Yowbad, mo binitoug. O Tamads bikin anmwa̱net ininitoug, igaw maysan mo bisek.
MAT.6.7+MAT.6.8	“Kukin bukunitougs, awoum kulivans ma̱wana tamgamegs igaw dadub. Idokes kid biba̱nes youd babaw, peinan asilivan babaw, aveiyov. Awoum kunitougs ma̱wan. E, bukunitougs Tamads waseg, bo ikakin nanawan aveiyag sivinamiy.
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	“Kadiloka kunitougs mamagina:
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	‘Timem walba̱lab,
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	Yagam bakagoul,
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	Mukwaleiwag beim.
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	Aveiyag aw-nanoum sivinam ven watinow bakavag, ma̱wan ivva̱ges walba̱lab.
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	Kaem bukusekem nagein.
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	Kunumlev makalbaleb ma̱wan kanumlev gamag sikalbaleb wasigeis yakamey.
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	Awoum bukusenam abiyokon waseg.
MAT.6.9+MAT.6.10+MAT.6.11+MAT.6.12+MAT.6.13	Igaw kalbaleb waseg kwatinabwem.’
MAT.6.14	“Bukunumlaves o bukuwidis youd babaw wasigeis gamag tasiyas niyagageimiy, igaw gog Tamads mo biwid amisinap kalbaleb yakamiy.
MAT.6.15	“Tage nag bukunumlaves o bukuwidis asisinap tasiyas niyagageimiy, Tamads gog nag biwid amisinap kalbaleb yakamiy.
MAT.6.16	“Igaw tutan bukupos, tapwa̱loul silma̱nin, awoum bimma̱yag mitamiy, awoum beivag amisinap ma̱wan tasiyas tayyaweids, ivag mamagina siwsawoul wous, va̱gan gamag bikines, bilansa, ‘O singay tapsapos tasiyas.’ Mounid adibakeimiy, tut towen mayses iba̱nes, tage tut wanakougwaw bo nag.
