MAT.1.1	Yisas Karaisi maen Abaraamun nú Kin Devitin núi anan pintéi afoká ukhan mi ma ven anafuyan aví ino.
MAT.2.21	Máa síkan Yosepi esé ana e manten iyampon má be anóen má avíaren evaránen Isarerí barafá oren mino. 
MAT.2.22	Oriven iníkan Erotin anin Arkerausi ano ve afóeni varu varen Yudiá kayoi kiní ukheimpin Yosepi mai akhempá orin nan péden mai ma ena khaimpin Tiyarafenu ano véin tiamikhá einí en Kariri varafá oren mino. 
MAT.2.23	Orein mano Nasaretí barurá o varen mino. Máan ma ein manon sakhanampa vanta kayo ano ma siyáken béin nan Nasaretí banta ino sen aranten mino ma sikhá ein pura sen afoká en mino.
MAT.3.1	Maí damú Yudiá barafá banta ída van kámápin monó non péantan banta Yoni afoká uven banasi monó baya máa sen tiamemí, 
MAT.3.2	“Tiretí ankan ará baerano. Inaru yafisin inka ádé erikhen mino.”
MAT.3.3	Sakhanampa vanta Aisaiyan oorá Tiyarafenu ano Yonin nan mi máa sikharen mino,
MAT.3.3	“Banta ida van kámá bara fáké mana vanta ano oovaren máa siyan mino,
MAT.3.3	‘Bafani aa uvídeya
MAT.3.3	veni aa funtáantano.’” 
MAT.3.4	Yoni véi kameri ayo fóké uvaran au anamun uren kao au fóké amú anan uren báken panon má bonkampun anu vá niyaren mino.
MAT.3.5	Yerusaremíke nanin banta vá Yudiá bara fáke nanin banta vá minó Yodaní non akhen páke nanin banta vá ano vanta ída van kámá barafá Yonini vaya ineno van ore ore en mino. 
MAT.3.6	Oriven mo vetí ankani ume sian páman urákan Yoni ano Yodaní nompin monó non péanten mino. 
MAT.3.7	Yoni ma monó non péantiyan onákan Farasisi kayo vá Sadyusi kayo vá mairá eríkan betí ankan máa sen tiamemí, “Tiretí ankan namu osafáe akhafanan banan Tiyarafenui arananá uman mano siretimpin ereno van iyan mifo mai van iye anó tiamikhayá mai uman pinté karan orono van iya fono.
MAT.3.8	Máan tiya ompo siretí ankan ma fura seya ará baédanteya mai siretí ankani avúavá pókesá aní oro. 
MAT.3.9	Téi siretí ankan tiamé umpo siretí ída vá Abaraamu nan tetin tinafu ino se vá ineno. Tiyarafenu ano kanaíen ma onámaná kayo sintin Abaraamun anavasiní inten mino. 
MAT.3.10	Minó daa ma ída aran iran nain tíkaré irafin karú dano van mai yaa kayo anafin tantume fe van mino.
MAT.3.12	Béin ayampin bakhari in danka van mino. Bei uviti namumpin bakhari iyan uviti aítan mápin kaiyáken ída kípan irafin aítan taman kaurinten mino.”
MAT.3.13	Yoni ma vaya siyákan maen Yisasi Karirifá me ampiren Yoni ano véin monó non péantano van Yodení non arufá oren mino. 
MAT.3.14	Oríkan Yoni ano véin ayópá ono van temí, “Éi ano ma séi monó non pétintaren mifo éi fará téi varunafá eriya fono.”
MAT.3.15	Máa síkan Yisasi evaránen béin tiamemí, “Ída ifo séi ma siyarunaí ma éi esin mi Tiyarafenu ano ma erasan nan ma funtákein avúavá barano ma sikhá ein baya ano mo kanaí inten mino.” Síkan Yoni iniren beni vaya vákuren monó non péanten mino.
MAT.3.17	Eriyain má inaru fáké mana oova ano máa semí, “Mai sen tanin mino. Téi ven nan moéké tinunu ukhé te sú káká ben nan moéké timusin iyá uno.”
MAT.4.2	Aviren mo khain báken foti (40) inuran má bayan má dunan auraren baréin arafan puren mino. 
MAT.4.3	Arafan nan iyan baré íkan béin ma akhenókain banta ano enóben béin máa sen tiamemí, “Éi ma fura se Tiyarafenu Anin ma vanteya sesin ma onámaná kayo ano veretií ino.”
MAT.4.4	Máa síkan Yisasi evaránen tiamemí, “Tiyarafenui vompon dókifin máa sen baya uvanten mino, ‘Banasi ano yunantá ana ída kanaíen para van oriyan ban aunan baranten mifo Tiyarafenu oo fenté ma kuviyain baya ánain ma vákurinten mai fara van oriyan ban aunan baranten mino.’” 
MAT.4.5	Máa síkan Ban Anon mano véin do aviren kantasí ukhein baru Yerusaremí oren mo kákan monó namun amonta suron mantaanten mino. 
MAT.4.6	Mo mantaantáden Ban Anon mano véin máa sen tiamemí, “Éi Tiyarafenu Anin ma vanteya káuse aravono. Para vara seyo, Tiyarafenui vompon dókifin máa sikhen mino:
MAT.4.6	“‘Béi ano vei enisori kayo siantantin
MAT.4.6	éintá dafíben betí ankan ayan do uvídantiya
MAT.4.6	mairá káusesin ída mana onámaná ano arantan aru finten mino.’” 
MAT.4.7	Yisasi evaránen béin tiamemí, “Tiyarafenui vompon dókifin enádá máa sikhen mino, ‘Éi ída vá ei Bafan Tiyarafenun akhenóka uan onano.’” 
MAT.4.8	Máa siran Ban Anon mano véin evaránen do aviren mana yan bain anu yontá mun kaúdaren ma varará ma ákona vara kayofin ma ara ara kama yanasinta vain aníen mino. 
MAT.4.9	Aní uren béi máa sen Yisasin tiamemí, “Éi ma aron durafúdeya matime sentá ma monó tiresí maé ma ma oniyaona yanasintá minó éin amenté uno.”
MAT.4.10	Máa síkan Yisasi evaránen béin tiamemí, “Ban Anon noe, sifó ono. Tiyarafenui vompon dóki ano máa sikhen mino, ‘Ei Bafan Tiyarafenu veyáká aránaópá bákeya ventá ana vá monó teno.’” 
MAT.4.11	Máa síkan Ban Anon mano me ifá en orivin enisori kayo ano eriven ben me ayaen mino.
MAT.4.13	Nasaretí barurá manáa yamú o varen mairá me ifá uren Seburunin má Naftarin mái varafin ma Karirí non ankinafá bain baru Kapeniamú o varen mino. 
MAT.4.14	Yisasi ma mai avúavá barein mai Tiyarafenu ano ma sakhanampa vanta Aisaiyan oorá máa sikharé ein mi fura sen afoká en mino,
MAT.4.15	“Seburuni vá Naftari vái varafin ma vain nanin banta vá
MAT.4.15	Karirí non akhempá ma orikhein aayana vá Yodan non arufá ma vain nanin banta vá
MAT.4.15	maen mai ena anan nanin bantan Kariri varafin baren mino.
MAT.4.16	Mai kayo ano kákan títípafin baré íkan
MAT.4.16	kákan oon inka khan onen mino.
MAT.4.16	Purin mano ma sítípa uádan duntein barafin baré ein nanin bantafin
MAT.4.16	inka kakhan afoká en mino.” 
MAT.4.19	Ódaren Yisasi vékanan máa sen tiamemí, “Tirékanan taréa noyana vaseí iya ompo sen má eresí banasi ma aviran aní uantano.” 
MAT.4.20	Máa siyain má ana vékanan base unan me ampiren béin dakhafen oren mino.
MAT.4.21	Yisasi mai ráké oriyan onákan Yemisin nú Yonin nú anavasan botifin kumanten be afóe Sebetin má base avové iyá íkan békanan má aren mino. 
MAT.4.22	Ariyain má anan békanan mai voti vá betíi afóen má me ampiren Yisasin bákuren oren mino.
MAT.4.24	Máan tiyákan beni vaya ano minó Siriai varafá orera íkan minó nanin banta ano ara ara namu aí ma vákan ai san iyá ein má namu aunan ma varé ein kayo vá auvayaní ma iyá ein kayo vá ai ayan ma fukaré ein kayo vá aviren eríkan Yisasi minó evaránen ayofiyan kama uanten mino. 
MAT.4.25	Kariri vara fáke nanin banta vá Dekoporisíke nanin banta vá
MAT.5.1	Maná damú Yisasi onákan kokhon nanin banta átaru iyaimpin béi me onen anuí ukhein akhempá kena un kumamin bei eyo iyampon kayo ano véi vaintá eren mino.
MAT.5.2	Enóbin béi araíen betí ankan afova vaya amiyan temí,
MAT.5.3	fara vara seyo inaru yafisin baru vetí ankan nina ino.
MAT.5.4	fara vara seyo Tiyarafenu ano ará kusiantanten mino.
MAT.5.5	fara vara seyo Tiyarafenu ano auyen bara vetí ankan aminten mino.
MAT.5.6	fara vara seyo Tiyarafenu ano kanaí uantanten mino.
MAT.5.7	Ena nanin banta van ma arunan uantiyain kayo ano vá amusin ino
MAT.5.7	fara vara seyo Tiyarafenu ano vei arunaná betin aní inten mino.
MAT.5.8	Ará ano ma avusese ukhein kayo ano vá amusin ino
MAT.5.8	fara vara seyo vetí ankan Tiyarafenun onanten mino.
MAT.5.9	Aruve asiveimpin ma kusin avúavá pákaren bain kayo ano vá amusin ino
MAT.5.9	fara vara seyo vetí ankan nan Tiyarafenu akhafana ino sen aranten mino.
MAT.5.10	fara vara seyo inaru yafisin baru vetí ankan nina ino.
MAT.5.12	Para vara seyo, inarufá tiretíi kákan miyan ave ukhen mifo siretin ará ano kama ukhantiya vá moékeya amusin ná ono. Tiretin ma aan uantein erikhá ein sakhanampa vanta kayo aurá ma namu uantaká ein avúavái afoká inten mino.”
MAT.5.13	Yisasi evaránen temí, “Tiretí ankan un ma einíi ukha ono. Uni ase ma kípavinti mai un intesá uresin ná evaránen ase inten nafino. Máan tukhein un ída veni ase vanti fase karúdaresin mai yaró onóbe enóbein manan ban mino.
MAT.5.15	Banasi ano ída oon uruan kurafin kuferé iyan mifo sakhókái uruan kain báken mápin ma vain nanin banta kakhaanté iyan mino. 
MAT.5.16	Máan mana eya vá tiretí ankani oon áesin ná banasi avorá panu siyantin ná tiretíi kama avúavasá oniyáken inarufá bain Afóen avisá daní ino.
MAT.5.18	Téi fura siré tiretí ankan tiamé uno ínaimpáké inaru vá bara vá kípanten mifo man baya fintena sitó bompon ná uvantá inten nafi inká tító kasá usikhá inten nafi ída aiyoran para vantin mi minó mai ma uvantá ein daná afoká inten mino. 
MAT.5.19	Máan tukhen mifo mana vanta ano ma man baya kayo finte sító máa yurafúden ena nanin banta afova amintin ma vetí ankan mai ánain bákuriyaré intin maen inaru yafisimpin títókái ven aví aminten mino. Máan tinten mifo mana vanta ano ma minó man baya ánain bákuriyan ma minó nanin banta van mai ánain bákurino van ma afova amiyaren maen mai vanta ano inaru yafisimpin kákan bí baranten mino. 
MAT.5.20	Máan tukhái séi siretí ankan tiamiyá uno. Tiretí ma ída Tiyarafenui anunu ánain ma vákuresin ma siretíi funtákein avúavá ano ma man baya ma afová ukhein banta kayo vá Farasisi kayo vái funtákein avúavá ma ída esantakhá intiya siretí ankan ída kanaíeya inaru yafisimpin oferan nono.
MAT.5.21	“Mosesini man baya ma anafu aráon amikhá ein mano sikhen mino, ‘Ída vá banta aruan purono. Banta ma aruan purin nain mano vá kópin ná orino sikhaya siretí ankan inka inikha ono. 
MAT.5.24	ei íkun uan amin daná mairá me khaúde vá esé ana ore mo mai vaya afá aváen má puntáde vá ovaráne me íkun uan ameno.
MAT.5.25	“Éin kó tiantan banta ano ma aviren kó barufá ma kó tiantano van oriyantiya aine vá ayanafá béin má mai vaya funtarano. Ída ma aine funtaresin maen kó inin banta ayampin ma éin kaintin kó inin banta ano aruvin banta ayampin kaintin aruvin banta ano éin karavusifin aviren mo khainten mino. 
MAT.5.26	Téi fura siré éin tiamiyá uno. Éi karavusi namumpin para vákeyai mai ma éin aví tiantein kó miyan máa miyaní uan kípan nono.
MAT.5.27	“Tiretí ankan pefái ída vá ena aná ba safi ena avafun ma safi vá e vare vare e nono síka inikha ono. 
MAT.5.28	Máan tukhen mifo séi siretí ankan tiamé uno. Mana vanta ano ma mana nanin ódaren ma ineinefin aran nanteya mai vanta ano e aúpin inka ven má bare umeí e ono. 
MAT.5.29	Máan tukhen mifo ayan kurompáke auu ano ma éin e yarifaan umefin ma kaintiya mai auu vá do vían karúdano. Mana vukhafa ma yo síkaan karúdaresin ma minó bukhafa ída karúdantin ma ira khiyan uman baren berai siyan purin barufin ma karúdantin orin manan kanaí inten mino. 
MAT.5.30	Inká éin ayan kurompá ano ma e yarifaan umefin ma kaintiya vá mai yáman ná do síkaan karúdano. Mana vukhafa ma yo síkaan karúdaresin ma minó en au ída ira kiyan uman baren berai siyan purin barufin orin manan kanaí inten mino.
MAT.5.34	Máan tukhái séi siretí ankan tiamiyá umpo ída vá mana vayará ma ákona ono van inarufá ódino sireya ayan befió ono. Mai fara vara seyo, Tiyarafenui kumanin kin karái inaru van mino. 
MAT.5.35	Tiretí ankan ída vá mana vayará ákona ono van bara aví teno. Mai fara vara seyo, Tiyarafenui arantan kain kará ino. Tiretí ankan ída vá mana vayará ákona ono van Yerusaremí aví teno. Mai fara vara seyo, Kákan Kini varu ino. 
MAT.5.36	Máan tukhen mifo éi ída vá mana vayará ákona ono van e ánon aví teno. Mai fara vara seyo, éi ída kanaíeya ánon do maman efanteni safi sókonteni safi in nono. 
MAT.5.37	Tiretí ankan ná eyo ana seya vá ída ino ana seya vá inompo manáa vaya ma mairá mo asotúin maen Ban Anon pintéi eriyan mino.
MAT.5.38	“‘Mana vanta ano ma auu ankaman dufúkinti vá ben auu ankaman dufúkono. Inká aveantun ankaman duvíkanti vá ben aveantun ankaman duvíkano,’ sen Mosesini man baya ano fefá tikhaya inikha ono. 
MAT.5.39	Máa sikhen mifo séi siretí ankan tiamiyá uno. Mana vanta ano ma siretí ankan namu avúavasí uantantiya siretí ída vá béin evaráneya namu avúavasí uantano. Mana vanta ano ma mana ufáke ápa ankádanti vá ena ufáke ápa yo vaédesin ná ankan mino. 
MAT.5.40	Inká mana vanta ano eni au anamun kó tiré barano van ma intiya vá ei ayá au anamun masá béin ameno. 
MAT.5.41	Mana vanta ano ma éin nan ona siya uan manáa ayáká mo simeno ma sinti vá éi enavá ayáká mo asotú ure vá aya uan mo ameno. 
MAT.5.42	Mana vanta ano ma éi vaonafá mana yana san inantinti mae véin amiyáke inká mana vanta ano ma mana yana san éi vaonafá ma simikharéesí anona evaráné ameno ma sin nain banta ída vá oyan ameno.
MAT.5.43	“Mosesini man baya ano ‘E arona avábá ureya vá’ ei namuro ída vá avábá ono sikhaya siretí ankan pefá inikha ono. 
MAT.5.45	Máan ma inte mae siretí ankan Afóe ma inarufá báken áau yan ma namu nanin banta vá kama nanin banta vá amaniná ma kiyain má inká á dákan ma funtákein nanin banta vá ída funtákein nanin banta amaniná bá ma yan eriyain akhafanaíi inono. 
MAT.5.46	Tiretí ankan ma avábá iyan nain kéká ana ma avábá inteya mai intéa miyan ná barante fono. Ídá takisi varan banta kayo vá dere máan té iyan nafino. 
MAT.5.47	Tiretí ankan ma e afá aváeyan mana ma avábá iyanteya mai éi intéa avúavasá ena avorá mo variya fono. Monó ída inin kayo vá ano yeren ídá manaí avúavasí é iyan nafino. 
MAT.5.48	Para vara seyo, siretí ankan Afóe ma inarufá báken puntáken bainisá ukhe funtákein nanin banta vá bano.
MAT.6.2	“Éi ma ona ída van nanin banta ma manáa yaná ameno van ma inteya ída vá manáa kéká an deya kampun baya sire ída mai ánain dakhafin banasi ano ma amo sino van tiantan oriyan ma monó átaru namumpin nafi ayanafa safi ma ufen aseiní ono. Téi fura siré tiretin tiamiyá uno. Mai vanta kayo ano inká minó miyan baren mino. 
MAT.6.3	Máan té iyan mifo éi ma ona i van nanin banta kayo ma aya inteya vá en ayan kuron mano ma variyain daná ída vá ayan ópá ano áesin afová ino. 
MAT.6.4	Máan tesin maen eni ayain mano umefá bantin e Afóe ma inarufá báken aú páke ma variyain danasinta ma oné iyain mano éin miyan aminten mino.
MAT.6.6	Manten mifo siretí ankan ma amúkono van ma inteya vá ei karafarampin un pébe ona munkure vá aúpá bain Afóe vaípasá amúkono. Máan tesin maen aúpá bariyain danasinta ma oniyain Afóe ano éin miyan aminten mino. 
MAT.6.7	Inká monó ída inin nan ma afokhampin bain kayo ano ma Tiyarafenu ano inino van muno siren ma ayáká amúké iyainí ída vá ono. 
MAT.6.8	Tiretí ída vá betí ankan an dano fara vara seyo siretí Afóe ano intéa yanasará inanteno van iya fo, mai véi fe afová ukhen mino.
MAT.6.9	“Máan tukhen mifo siretí ankan ná máan amúkirisá ono.
MAT.6.9	“‘Tetin Tifóe inarufá baona
MAT.6.9	en aví kantasá bano.
MAT.6.10	Inarurá ma éin oo yaiyiyainí erá
MAT.6.10	teti má barará éin oo yaiyono.
MAT.6.11	Má damú kena yunan éi setin timeno.
MAT.6.12	inká tétin má dere máan manaé enai ume ampiantano.
MAT.6.13	Ban Anon ayan pinte vá tétin do sivían ka ono.’
MAT.6.15	Máan tukhen mifo siretí ankan ma ena nanin bantai ume ma ída ampiantesin maen tiretí Afóe ano siretíi ume vá ída ampiantanten mino.
MAT.6.17	Máan tukhen mifo éi ma yunan aurare amúkiyante auná tesé ure vá ánontá uveri vana ono. 
MAT.6.18	Máan tesin ná minó nanin banta kayo ano ída afová intin ná e Afóe ma aúpá bain mai ano ana vá afová iyan inká minó daná ma aúpá bariyain daná ma afová iyain Afóe anon eni miyan aminten mino.
MAT.6.20	Ída vá máan tin nompo mai ma ída antan danú nan ma karokharon iran ma inká umoyan banta ano varákuren baré iyain mai inarufasá tiretíi kama ona vá kaono. 
MAT.6.21	Para vara seyo, éini kama ona ma vain mai varurái eni ineine vá aú amafon má banten mino.
MAT.6.22	“Auu ma vain mai aui on mifo éin auu ma kama ukhantin maen éin au fimpá kakhan mano víkakhen banten mino. 
MAT.6.23	Bíkanten mifo éin auu ma namu ukhantin mai minó éin aufimpá títípá inten mino. Mai oon ma éin aufin títípá ukhantin maen eni minó bukhafa ano moéken títípá en kumayusí inten mino.
MAT.6.24	“Ída mana vanta ano kanaíen kankanan ayafai yorarí inten mino. Máan ma inten maen mana ayafa oman kaumpan uantáden ena ayafa avábá uanten inká manai oo yaiyen ena oofá átakharé uantanten mino. Máan tukhanti siretí ankan ída kanaíeya Tiyarafenu vá moní bái yoran bantaí inono.
MAT.6.26	Tiretí ankan ayompin ma vain nun kayo vá onano. Betí ankan ída yunan doren unafen uan mápin kaé iyan mifo siretí ankan Afóe ma inarufá bain manon betin dunan amé iyan mino. Tiretí ankan ídá mai nun kayo esantakhé unó té inikhe fono. 
MAT.6.27	Máan tukhen mifo siretí ankan pinté mana ano ma kamaé bano van ma kokhon ineine inten maen mai ano kanaisá ená bei van manáa vá mo asotú inten nafino.
MAT.6.28	“Máan tukhen mifo siretí ankan pará auí dana san kokhon ineine iya rafono. Tiretí ankan paravan kayo ma ampantein ná onano. Betí ankani yoran ída vákan auí daná ina ída amué iyan mino. 
MAT.6.29	Máan té iyan mifo séi siretí ankan tiamé uno. Pefá Kin Soromoni ano minó buí daná amu uren iyaren mifo veni auí daná kayo ano faravan kayo ma kiyain má ída manaí ukharen mino. 
MAT.6.30	Mai ma sare ampantaré intin inuran ma síkaren ira saran nain káta mai Tiyarafenu ano kamaen auí uanté iyain mifo sító mumunan má baona nanin banta oe, véi ídá kanaíen ná tiretin auí uantanten nafino. 
MAT.6.31	Máan tukhanti nái yunan má non masá naré báké intéa vuí danasá onte rafuno se siretí ankan ída vá kokhon ineine iya vá bano. 
MAT.6.32	Para vara seyo, afokhampin ma vain nanin banta kayo ano mai yanasinta van dosé iyan mifo siretí ankan Afóe ma inarufá bain mano siretin nan mai yanasintan barano van iya ono sen pefái afová ukhen mino. 
MAT.6.33	Máan tukhen mifo esé daná Tiyarafenui yafisin má beni funtákein avúavá bá dosiresin ná mai yanasinta yere minó tiretin amino. 
MAT.6.34	Máan tukhen mifo vá inurantena yana san ída vá tiretí ankan kokhon ineine ono, fara vara seyo inun damú ano veyan inurantena van ineine inten mifo mana mana yamúpin bei uman barú barú ukhen mino.
MAT.7.2	Tiretí ankan ma ena nanin banta yaimiyá inona mai avúaváká anan Tiyarafenu ano siretin daiminten mino. Tiretí ankan inte avúavákasá ena nanin banta yaimiyá inte fo mai avúaváká anan ten Tiyarafenu ano siretin daiminten mino.
MAT.7.3	“Éi fará e afá aváen auufen ma sitó daa antan bain oniyá bákeyá e auufen ma yaa khaéádan bain nan ída iniya fono. 
MAT.7.4	Daa khaéádan maen auufen bantiya éi mai intesá eyá e afá aváen nan tifá tiváe oe, en auu fentena yaa antan do manantano van muno sinte fono. 
MAT.7.5	Éi vaya ma sire ída mai ánain dakhafin banta ompo vá e auufen ma yaa khaéáádan bain nare vá do máde vá auu kamaeya óde vá e afá aváen auu fentena yaa antan do manantano.
MAT.7.6	“Tiretí ankan ída vá Tiyarafenu ma siantádantin kantasí ukhan nain daná maman iyan kayo ameno. Amesin naren mai iyan kayo ano vaéaren tiretin untaranten mino. Tiretíi kama ukhein ankaroro kayo arantampó dasamin nafo ída vá pon kayo karúdaan ameno.
