GEN.1.1	起初，上帝創造天地。 
GEN.3.11	耶和華上帝說：「誰告訴你，你是赤身露體呢？莫非你吃了那樹上所出的，就是我吩咐你不可吃的嗎？」 
GEN.3.12	那人說：「你賜給我、與我一起的女人，是她把那樹上所出的給我，我就吃了。」 
GEN.3.13	耶和華上帝對女人說：「你怎麼會做這種事呢？」女人說：「那蛇引誘我，我就吃了。」
GEN.3.14	耶和華上帝對蛇說：
GEN.3.14	「你既做了這事，就必受詛咒，
GEN.3.14	比一切的牲畜和野獸更重。
GEN.3.14	你必用肚子行走，
GEN.3.14	終生吃土。
GEN.3.15	我要使你和女人彼此為仇，
GEN.3.15	你的後裔和女人的後裔也彼此為仇。
GEN.3.15	他要傷你的頭，
GEN.3.15	你要傷他的腳跟。 」
GEN.3.16	又對女人說：
GEN.3.16	「我必多多加增你懷胎的痛苦，
GEN.3.16	你生兒女時必多受痛苦。
GEN.3.16	你必戀慕你丈夫，
GEN.3.16	他必管轄你。」
GEN.3.17	又對
GEN.3.17	「你既聽從你妻子的話，
GEN.3.17	吃了那樹上所出的，
GEN.3.17	就是我吩咐你不可吃的，
GEN.3.17	土地必因你的緣故受詛咒；
GEN.3.17	你必終生勞苦才能從土地得吃的。
GEN.3.18	土地必給你長出荊棘和蒺藜來；
GEN.3.18	你也要吃田間的五穀菜蔬。
GEN.3.19	你必汗流滿面才有食物可吃，
GEN.3.19	直到你歸了土地，
GEN.3.19	因為你是從土地而出的。
GEN.3.19	你本是塵土，仍要歸回塵土。」
GEN.3.20	那人給他妻子起名叫
GEN.3.21	耶和華上帝用獸皮做衣服給
GEN.3.22	耶和華上帝說：「看哪，那人已經像我們中間的一個，知道善惡，現在恐怕他又伸手摘生命樹所出的來吃，就永遠活著。」 
GEN.3.23	耶和華上帝就驅逐他出
GEN.3.24	耶和華上帝把那人趕出去，就在
GEN.4.1	那人和他妻子
GEN.4.2	她又生了
GEN.4.3	過了一些日子，
GEN.4.4	也把他羊群中頭生的和羊的脂肪獻上。耶和華看中了
GEN.4.5	卻看不中
GEN.4.6	耶和華對
GEN.4.7	你若做得對，豈不仰起頭來嗎？你若做得不對，罪就伏在門前。它想要控制你，你卻要制伏它。」
GEN.4.9	耶和華對
GEN.4.10	耶和華說：「你做了甚麼事呢？你弟弟血的聲音從地裏向我哀號。 
GEN.4.11	現在你必從這地受詛咒，這地開了口，從你手裏接受你弟弟的血。 
GEN.4.12	你耕種土地，它不再給你效力；你必流離飄蕩在地上。」 
GEN.4.13	對耶和華說：「我的懲罰太重，過於我所能承當的。 
GEN.4.14	看哪，今日你趕我離開這塊土地，不能見你的面；我必流離飄蕩在地上，凡遇見我的必殺我。」 
GEN.4.15	耶和華對他說：「既然如此 ，凡殺
GEN.4.16	於是
GEN.4.18	生
GEN.4.19	娶了兩個妻子：一個名叫
GEN.4.20	生
GEN.4.21	的兄弟名叫
GEN.4.22	又生了
GEN.4.23	對他兩個妻子說：
GEN.4.23	大人傷我，我把他殺了；
GEN.4.23	小孩損我，我把他害了
GEN.4.24	若殺
GEN.4.24	殺
GEN.4.26	也生了一個兒子，起名叫
GEN.5.1	這是
GEN.5.2	他造男造女。在他們被造的日子，上帝賜福給他們，稱他們為人。
GEN.5.4	生
GEN.5.5	共活了九百三十年，就死了。
GEN.5.7	生
GEN.5.8	共活了九百一十二年，就死了。
GEN.5.10	生
GEN.5.11	共活了九百零五年，就死了。
GEN.5.13	生
GEN.5.14	共活了九百一十年，就死了。
GEN.5.16	生
GEN.5.17	共活了八百九十五年，就死了。
GEN.5.19	生
GEN.5.20	共活了九百六十二年，就死了。
GEN.5.22	生
GEN.5.23	共活了三百六十五年。 
GEN.5.24	與上帝同行，上帝把他接去，他就不在了。
GEN.5.26	生
GEN.5.27	共活了九百六十九年，就死了。
GEN.5.29	給他起名叫
GEN.5.30	生
GEN.5.31	共活了七百七十七年，就死了。
GEN.6.1	當人開始在地面上增多、又生女兒的時候， 
GEN.6.2	上帝的兒子們看見人的女子美貌，就隨意挑選，娶來為妻。 
GEN.6.3	耶和華說：「人既屬乎血氣，我的靈就不永遠住在他裏面；然而他的年歲還可到一百二十年。」 
GEN.6.4	那時候有巨人在地上，後來也有；上帝的兒子們和人的女子們交合，生了孩子。那些人就是古代的勇士，有名的人物。
GEN.6.5	耶和華見人在地上罪大惡極，終日心裏所想的盡都是惡事， 
GEN.6.6	耶和華就因造人在地上感到遺憾，心中憂傷。 
GEN.6.7	耶和華說：「我要把所造的人和走獸，爬行動物，以及天空的飛鳥，都從地面上除滅，因為我造了他們感到遺憾。」 
GEN.6.8	只有
GEN.6.9	這是
GEN.6.10	生了三個兒子，就是
GEN.6.11	這地在上帝面前敗壞了，地上充滿了暴力。 
GEN.6.12	上帝觀看這地，看哪，它敗壞了，因為凡血肉之軀在地上的行為都敗壞了。 
GEN.6.13	上帝對
GEN.6.14	你要為自己用歌斐木造一艘方舟，並在方舟內造房間，內外都要抹上瀝青。 
GEN.6.15	方舟的造法是這樣：要長三百肘，寬五十肘，高三十肘。 
GEN.6.16	方舟上面要造天窗，向上一肘。方舟的門要開在旁邊。方舟要分上、中、下三層。 
GEN.6.17	看哪，我要使洪水氾濫在地上，毀滅天下凡有生命氣息的血肉之軀，地上的一切都要滅亡。 
GEN.6.18	但我要與你立約；你同你的兒子、妻子和媳婦都要進入方舟。 
GEN.6.19	凡有血肉的動物，每樣一對，一公一母，你要帶進方舟，好跟你一起保全生命。 
GEN.6.20	飛鳥各從其類，牲畜各從其類，地上的爬行動物各從其類，每樣一對，都要到你那裏，好保全生命。 
GEN.6.21	你要拿各樣可吃的食物，儲存在你那裏，作你和牠們的糧食。」 
GEN.6.22	就去做了；凡上帝吩咐他的，他都照樣去做。
GEN.7.1	耶和華對
GEN.7.2	凡潔淨的牲畜，你要各取七公七母；不潔淨的牲畜，你要各取一公一母； 
GEN.7.3	天空的飛鳥也要各取七公七母，為了要留種，活在全地面上。 
GEN.7.4	因為再過七天，我要降雨在地上四十晝夜，把我所造的一切生物從地面上除滅。」 
GEN.7.5	就遵照耶和華吩咐他的去做。
GEN.7.6	當洪水
GEN.7.7	同他的兒子、妻子和媳婦都進入方舟，躲避洪水。 
GEN.7.8	潔淨的牲畜和不潔淨的牲畜，飛鳥及所有爬行在土地上的， 
GEN.7.9	都一對一對，有公有母，到
GEN.7.10	過了七天，洪水氾濫在地上。
GEN.7.12	四十晝夜有大雨降在地上。 
GEN.7.13	正在那日，
GEN.7.14	他們和一切走獸，各從其類；一切牲畜，各從其類；地上爬的一切爬行動物，各從其類；一切的鳥，就是一切有翅膀的飛禽，各從其類； 
GEN.7.15	凡有生命氣息的血肉之軀，都一對一對到
GEN.7.16	凡有血肉的，都一公一母進入方舟，正如上帝所吩咐
GEN.7.17	洪水在地上氾濫四十天，水往上漲，使方舟浮起，方舟就從地上漂起來。 
GEN.7.18	水勢洶湧，在地上大大上漲，方舟在水面上漂蕩。 
GEN.7.19	水勢在地上極其浩大，普天下所有的高山都淹沒了。 
GEN.7.20	水勢洶湧，比山高出十五肘 ，山嶺都淹沒了。 
GEN.7.21	凡有血肉在地上行動的，就是飛鳥、牲畜、走獸和地上成群的群聚動物，以及所有的人，都死了。 
GEN.7.22	在乾地上凡鼻孔裏有生命氣息的都死了。 
GEN.7.23	耶和華除滅了地面上各類的生物，包括人和牲畜、爬行動物，以及天空的飛鳥；他們就都從地上除滅了，只剩下
GEN.7.24	水勢洶湧，在地上共一百五十天。
GEN.8.1	上帝記念
GEN.8.2	深淵的泉源和天上的窗戶都關閉了，雨不再從天降下。 
GEN.8.3	水從地上逐漸消退。過了一百五十天，水就退了。 
GEN.8.4	七月十七日，方舟停在
GEN.8.5	水繼續退去，直到十月；十月初一，山頂都露出來了。
GEN.8.6	過了四十天，
GEN.8.7	放出一隻烏鴉。那烏鴉飛來飛去，直到地上的水都乾了。 
GEN.8.8	他又從他那裏放出一隻鴿子，要看水從地面上退了沒有。 
GEN.8.9	但全地面都是水，鴿子找不到落腳之地，就回到方舟
GEN.8.10	又另外等了七天，再把鴿子從方舟放出去。 
GEN.8.11	到了晚上，鴿子回到他那裏，看哪，嘴裏有一片剛啄下來的橄欖葉，
GEN.8.12	他又另外等了七天，再放出鴿子，這次鴿子不再回到他那裏了。
GEN.8.13	當
GEN.8.14	到了二月二十七日，地就都乾了。 
GEN.8.15	上帝對
GEN.8.16	「你同你的妻子、兒子、媳婦都要出方舟。 
GEN.8.17	凡與你一起有血肉的生物，就是飛鳥、牲畜和地上爬的一切爬行動物，都要帶出來。 牠們要在地上滋生，繁殖增多。」 
GEN.8.18	於是
GEN.8.19	一切走獸、爬行動物和飛鳥，地上所有的動物，各從其類，也都出了方舟。
GEN.8.21	耶和華聞了那馨香之氣，耶和華心裏說：「我不再因人的緣故詛咒土地，因為人從幼年就心裏懷著惡念；我也不再照我曾做的毀滅一切生物了。 
GEN.8.22	地還存在的時候，撒種、收割、寒暑、冬夏、晝夜都永不止息。」
GEN.9.1	上帝賜福給
GEN.9.2	地上一切的走獸、天空一切的飛鳥、所有爬行在土地上的和海裏一切的魚都必怕你們，畏懼你們，牠們都要交在你們手裏。 
GEN.9.3	凡活的動物都可作你們的食物。這一切我都賜給你們，如同綠色的菜蔬一樣。 
GEN.9.4	只是帶著生命的肉，就是帶著血的，你們不可吃。 
GEN.9.5	流你們血、害你們命的，我必向他追討；我要向一切走獸追討，向人和向人的弟兄追討人命。 
GEN.9.6	凡流人血的，他的血也必被人所流，因為上帝造人，是照自己的形像造的。 
GEN.9.7	你們要生養眾多，在地上繁衍昌盛。」
GEN.9.8	上帝對
GEN.9.9	「看哪，我要與你們和你們後裔立我的約， 
GEN.9.10	包括和你們一起所有的生物，就是飛鳥、牲畜、地上一切的走獸，凡從方舟裏出來地上一切的生物。 
GEN.9.11	我與你們立我的約：凡有血肉的，不再被洪水滅絕，也不再有洪水毀壞這地了。」 
GEN.9.12	上帝說：「這是我與你們，以及和你們一起的一切生物所立之約的記號，直到萬代： 
GEN.9.13	我把彩虹放在雲中，這就是我與地立約的記號了。 
GEN.9.14	我使雲遮地的時候，會有彩虹出現在雲中， 
GEN.9.15	我就記念我與你們，以及各樣有血肉的生物所立的約：不再有洪水氾濫去毀滅一切有血肉的了。 
GEN.9.16	彩虹出現在雲中，我看見了，就要記念上帝與地上一切有血肉的生物所立的永約。」 
GEN.9.17	上帝對
GEN.9.19	這是
GEN.9.20	是農夫，是他開始栽葡萄園的。 
GEN.9.21	他喝了一些酒就醉了，在他的帳棚裏赤著身子。 
GEN.9.22	的父親
GEN.9.23	於是
GEN.9.24	酒醒以後，知道小兒子向他所做的事， 
GEN.9.25	就說：
GEN.9.25	「
GEN.9.25	必給他弟兄作奴僕的奴僕。」
GEN.9.26	又說：
GEN.9.26	「耶和華—
GEN.9.26	願
GEN.9.27	願上帝使
GEN.9.27	願他住在
GEN.9.27	願
GEN.9.28	洪水以後，
GEN.9.29	共活了九百五十年，就死了。
GEN.10.1	這是
GEN.10.2	的兒子是
GEN.10.3	的兒子是
GEN.10.4	的兒子是
GEN.10.5	從這些人中有沿海國家的人散居各處，有自己的土地，各有各的語言、宗族、國家。 
GEN.10.6	的兒子是
GEN.10.7	的兒子是
GEN.10.8	又生
GEN.10.9	他在耶和華面前是個英勇的獵人，所以有話說：「像
GEN.10.10	他王國的開始是在
GEN.10.11	他從那地出來往
GEN.10.12	以及
GEN.10.13	生
GEN.10.14	人、
GEN.10.16	和
GEN.10.17	人、
GEN.10.18	人、
GEN.10.19	的疆界是從
GEN.10.20	這就是
GEN.10.22	的兒子是
GEN.10.23	的兒子是
GEN.10.24	生
GEN.10.25	生了兩個兒子，一個名叫
GEN.10.26	生
GEN.10.27	、
GEN.10.28	、
GEN.10.29	、
GEN.10.30	他們所住的地方是從
GEN.10.31	這就是
GEN.10.32	這些是
GEN.11.1	那時，全地只有一種語言，都說一樣的話。 
GEN.11.2	他們向東遷移的時候，在
GEN.11.3	他們彼此商量說：「來，讓我們來做磚，把磚燒透了。」他們就拿磚當石頭，又拿柏油當泥漿。 
GEN.11.4	他們說：「來，讓我們建造一座城和一座塔，塔頂通天。我們要為自己立名，免得我們分散在全地面上。」 
GEN.11.5	耶和華降臨，要看世人所建造的城和塔。 
GEN.11.6	耶和華說：「看哪，他們成了同一個民族，都有一樣的語言。這只是他們開始做的事，現在他們想要做的任何事，就沒有甚麼可攔阻他們了。 
GEN.11.7	來，我們下去，在那裏變亂他們的語言，使他們彼此語言不通。」 
GEN.11.8	於是耶和華使他們從那裏分散在全地面上；他們就停止建造那城了。 
GEN.11.9	因為耶和華在那裏變亂了全地的語言，把人從那裏分散在全地面上，所以那城名叫
GEN.11.10	這是
GEN.11.11	生
GEN.11.13	生
GEN.11.15	生
GEN.11.17	生
GEN.11.19	生
GEN.11.21	生
GEN.11.23	生
GEN.11.25	生
GEN.11.27	這是
GEN.11.28	死在他父親
GEN.11.29	、
GEN.11.30	不生育，沒有孩子。
GEN.11.32	共活了二百零五年，就死在
GEN.12.1	耶和華對
GEN.12.2	我必使你成為大國，我必賜福給你，使你的名為大；你要使別人得福
GEN.12.3	為你祝福的，我必賜福給他；詛咒你的，我必詛咒他。地上的萬族都必因你得福。」
GEN.12.5	帶著他妻子
GEN.12.6	經過那地，直到
GEN.12.7	耶和華向
GEN.12.8	從那裏他又遷到
GEN.12.9	後來
GEN.12.10	那地遭遇饑荒。
GEN.12.11	將近
GEN.12.12	人看見你會說：『這是他的妻子』，他們就會殺我，卻讓你活著。 
GEN.12.13	所以，請你說你是我的妹妹，使我可以因你得平安，我的性命也因你存活。」 
GEN.12.14	到達
GEN.12.15	法老的臣僕看見了她，就在法老面前稱讚她。那女人就被帶進法老的宮中。 
GEN.12.16	法老就因她厚待
GEN.12.17	耶和華因
GEN.12.18	法老召了
GEN.12.19	為甚麼說『她是我的妹妹』，以致我把她接來要作我的妻子呢？現在 ，看哪，你的妻子在這裏，帶她走吧！」 
GEN.12.20	於是法老吩咐人把
GEN.13.2	的牲畜和金銀極多。 
GEN.13.3	他從
GEN.13.4	也是他起先築壇的地方。
GEN.13.5	與
GEN.13.6	那地容不下他們住在一起；因為他們的財物非常多，使他們不能同住一起。 
GEN.13.7	當時，
GEN.13.9	遍地不都在你眼前嗎？請你離開我吧！你向左，我就向右；你向右，我就向左。」 
GEN.13.10	舉目，看見
GEN.13.11	於是
GEN.13.12	住在
GEN.13.13	人在耶和華面前罪大惡極。
GEN.13.15	你所看見一切的地，我都要把它賜給你和你的後裔，直到永遠。 
GEN.13.16	我要使你的後裔好像地上的塵沙，人若能數地上的塵沙，才能數你的後裔。 
GEN.13.17	你起來，縱橫走遍這地，因為我必把這地賜給你。」 
GEN.13.18	就遷移帳棚，來到
GEN.14.1	當
GEN.14.2	他們攻打
GEN.14.3	這些王都會合在
GEN.14.4	他們已經服事
GEN.14.5	第十四年，
GEN.14.6	在
GEN.14.7	他們轉回，來到
GEN.14.8	於是
GEN.14.9	就是與
GEN.14.10	有許多柏油坑。
GEN.14.11	四王就把
GEN.14.12	他們也把
GEN.14.13	有一個逃脫的人來告訴
GEN.14.14	聽見他姪兒 
GEN.14.15	在夜間，他和他的僕人分隊擊敗了敵人，並且追殺他們，直到
GEN.14.16	他把一切被擄掠的財物奪回，也把他姪兒
GEN.14.18	又有
GEN.14.19	他為
GEN.14.19	「願至高的上帝、
GEN.14.19	天地的主賜福給
GEN.14.20	至高的上帝把敵人交在你手裏，
GEN.14.20	他是應當稱頌的！」
GEN.14.21	王對
GEN.14.22	對
GEN.14.23	凡是你的東西，就是一根線、一條鞋帶，我都不拿，免得你說：『是我使
GEN.14.24	我甚麼都不要，只是僕人所吃的，以及與我同去的
GEN.15.1	這些事以後，耶和華的話在異象中臨到
GEN.15.2	說：「主耶和華啊，我還沒有兒子，你能賜我甚麼呢？承受我家業的是
GEN.15.3	又說：「看哪，你沒有給我後嗣。你看，那生在我家中的人要繼承我。」 
GEN.15.4	看哪，耶和華的話又臨到他，說：「這人不會繼承你，你本身所生的才會繼承你。」 
GEN.15.5	於是耶和華帶他到外面，說：「你向天觀看，去數星星，你能數得清嗎？」又對他說：「你的後裔將要如此。」 
GEN.15.6	信耶和華，耶和華就以此算他為義。
GEN.15.7	耶和華又對他說：「我是耶和華，曾領你出
GEN.15.8	說：「主耶和華啊，我怎能知道我必得這地為業呢？」 
GEN.15.9	耶和華對他說：「你為我取一頭三歲的母牛犢，一隻三歲的母山羊，一隻三歲的公綿羊，一隻斑鳩和一隻雛鴿。」 
GEN.15.10	就把這些都取來，每樣從中間劈成兩半，一半對著另一半排列，只有鳥沒有劈開。 
GEN.15.11	當鷙鳥下來，落在這些屍體上時，
GEN.15.12	日落的時候，
GEN.15.13	耶和華對
GEN.15.14	但我要懲罰他們所服事的那國，以後他們必帶著許多財物從那裏出來。 
GEN.15.15	至於你，你要平平安安歸到你祖先那裏，必享長壽，被人埋葬。 
GEN.15.16	到了第四代，他們必回到這裏，因為
GEN.15.17	日落天黑的時候，看哪，有冒煙的爐和燒著的火把從那些肉塊中經過。 
GEN.15.18	在那日，耶和華與
GEN.15.19	就是
GEN.15.20	人、
GEN.15.21	人、
GEN.16.2	對
GEN.16.3	於是
GEN.16.4	與
GEN.16.5	對
GEN.16.6	對
GEN.16.7	耶和華的使者在曠野的水泉旁，在
GEN.16.8	對她說：「
GEN.16.9	耶和華的使者對她說：「你要回到你的女主人那裏，屈服在她手下。」 
GEN.16.10	耶和華的使者對她說：
GEN.16.10	「我必使你的後裔極其繁多，
GEN.16.10	多到不可勝數。」
GEN.16.11	耶和華的使者又對她說：
GEN.16.11	「看哪，你已懷孕，
GEN.16.11	要生一個兒子。
GEN.16.11	你要給他起名叫
GEN.16.11	因為耶和華聽見了你的苦楚。
GEN.16.12	他為人必像野驢。
GEN.16.12	他的手要攻打人，
GEN.16.12	人的手也要攻打他；
GEN.16.12	他必常與他的眾弟兄作對 
GEN.16.14	所以這井名叫
GEN.16.15	後來
GEN.16.16	為
GEN.17.2	我要與你立約，使你的後裔極其繁多。」 
GEN.17.3	臉伏於地；上帝又對他說： 
GEN.17.4	「看哪，這就是我與你立的約，你要成為多國的父。 
GEN.17.5	從今以後，你的名字不再叫
GEN.17.6	我必使你生養極其繁多；國度要從你而立，君王要從你而出。 
GEN.17.7	我要與你，以及你世世代代的後裔堅立我的約，成為永遠的約，是要作你和你後裔的上帝。 
GEN.17.8	我要把你現在寄居的地，就是
GEN.17.9	上帝又對
GEN.17.10	這就是我與你，以及你的後裔所立的約，是你們所當遵守的，你們所有的男子都要受割禮。 
GEN.17.11	你們要割去肉體的包皮，這是我與你們立約的記號。 
GEN.17.12	你們世世代代的男子，無論是在家裏生的，或是用銀子從外人買來而不是你後裔生的，都要在生下來的第八日受割禮。 
GEN.17.13	你家裏生的和你用銀子買的，都必須受割禮。這樣，我的約就在你們肉體上成為永遠的約。 
GEN.17.14	不受割禮的男子都必從民中剪除，因他違背了我的約。」
GEN.17.15	上帝又對
GEN.17.16	我必賜福給她，也要從她賜一個兒子給你。我必賜福給
GEN.17.17	就臉伏於地竊笑，心裏想：「一百歲的人還能有孩子嗎？
GEN.17.18	對上帝說：「但願
GEN.17.19	上帝說：「不！你妻子
GEN.17.20	至於
GEN.17.21	到明年所定的時候，
GEN.17.22	上帝和
GEN.17.23	在那一天，
GEN.17.24	受割禮時，年九十九歲。 
GEN.17.25	他兒子
GEN.17.26	在那一天，
GEN.17.27	家裏所有的男人，無論是在家裏生的，或是用銀子從外人買來的，也都一同受了割禮。
GEN.18.1	耶和華在
GEN.18.2	他舉目觀看，看哪，有三個人站在他附近。他一看見，就從帳棚門口跑去迎接他們，俯伏在地， 
GEN.18.3	說：「我主，我若在你眼前蒙恩，請不要離開你的僕人走過去。 
GEN.18.4	容我拿點水來，請你們洗腳，在樹下休息。 
GEN.18.5	既然你們來到僕人這裏了，我再拿點餅來，讓你們恢復心力，然後再走。」他們說：「就照你說的去做吧。」 
GEN.18.6	急忙進帳棚到
GEN.18.7	又跑到牛群裏，牽了一頭又嫩又好的牛犢來，交給僕人，僕人就急忙去預備。 
GEN.18.8	取了乳酪和奶，以及預備好了的牛犢來，擺在他們面前，自己在樹下站在旁邊，他們就吃了。
GEN.18.9	他們對
GEN.18.10	有一位說：「明年這時候 
GEN.18.11	和
GEN.18.12	心裏竊笑，說：「我已衰老，我的主也老了，怎能有這喜事呢？」 
GEN.18.13	耶和華對
GEN.18.14	耶和華豈有難成的事嗎？到了所定的時候，我必回到你這裏。明年這時候，
GEN.18.15	因為害怕，就不承認，說：「我沒有笑。」那人說：「不，你的確笑了。」
GEN.18.16	三人從那裏起程，面向
GEN.18.17	耶和華說：「我所要做的事豈可瞞著
GEN.18.18	必要成為強大的國；地上的萬國都必因他得福。 
GEN.18.19	我揀選他
GEN.18.20	耶和華說：「
GEN.18.21	我要下去察看他們所做的，是否真的像那達到我這裏的聲音一樣；如果不是，我也要知道。」
GEN.18.22	二人轉身離開那裏，往
GEN.18.23	近前來，說：「你真的要把義人和惡人一同剿滅嗎？ 
GEN.18.24	假若那城裏有五十個義人，你真的還要剿滅，不因城裏這五十個義人饒了那地方嗎？ 
GEN.18.25	你絕不會做這樣的事，把義人與惡人一同殺了，使義人與惡人一樣。你絕不會這樣！審判全地的主豈不做公平的事嗎？」 
GEN.18.26	耶和華說：「我若在
GEN.18.27	回答說：「看哪，我雖只是塵土灰燼，還敢向主說話。 
GEN.18.28	假若這五十個義人少了五個，你就因為少了五個而毀滅全城嗎？」他說：「我在那裏若找到四十五個，就不毀滅。」 
GEN.18.29	又對他說：「假若在那裏找到四十個呢？」他說：「為這四十個的緣故，我也不做。」 
