MAT.1.1	Jeacuu tiene aay ke bang Deabid kedea Deabid tiene aay ke bang Abraahm.
MAT.3.8	A teed lubo me ne cohg yihru: thubu kaa awaahn kan ke tiihy giih me beeye beere ngo ke ngeyo rogu kejea anyoohne giihu ge alogu ngahdhu. Kaano e kare nud umuoja wudhu ke luogwahy. 
MAT.3.9	 Yaage, wudhu keá paru kejea ne nahgu nyethea Abraahm e Juog wu buu ukihme. Wu kihm Juoge kihmo keehd maa akwanye wun ne joe. Kare nud yihr Juog ukaabe wey leele giih ni uloge gen udoohng gene ne kwaay Abraahm. 
MAT.3.10	 Ukihm mar Juog muu uroomo wa ley maa apaag me ngol yen piny keehd biey gen agwiire ke nyingu. E kwaad yaadh gihn nyuol ke nyethen me be cam dhiil kaa ngod piny cang uthoohre yi maaj ne waang.
MAT.3.12	 Ataaj me wa gihr kuor beel nii cinge, noono e nyoge ge kuore kuoro wa beel, ukedhe liil yi gala abea coang ge ucwinye ke deeh maaj me waang e ngo be gug.”
MAT.3.13	Yihdh nihn nu, e Jeacuu anaa abeehn koohr naam Joohrdoan bang Joon e ngo beehn kaa yoohn Gaalili. Abeehno uteede ngo yihr Joon kea, “Cub luogwahy yihra neehn mar yaa ni.” 
MAT.3.14	Abea Joon adaahd ukweere ke cub luogwahy yihr ngo. Gihn nu e arubo yihr Jeacuu kea, “Ke ne diih! Kare tooro ucuba luogwahy yihri. Nea kare ne cohg ngahda ne nahg yihn ne ne cub luogwahy yihra ne?”
MAT.3.17	 Kaano e duol ake lihngo kii lwahd maalo e ngo urubo kea, “Gihn e naa Waahda maa anhyaara kedea cwihnya med ree.”
MAT.4.2	 Jeacuu abeehdo yi ukang ke kar nihn jiehariow ne roang roang e cam be gweele. Gihn nu e abeehn kahje ke ne bango ne cohg. 
MAT.4.3	Ge abang kahje Jeacuu e naa abeehn atiihb ukeehge ne tum ngo ke dwaahngo kobe, “Nea yih beehda Waahd Juog ne cohg, kea log leele giih ni naa amune.”
MAT.4.4	Maa abeehr Jeacuue ngo yihre kea, “Bekihde! Wa ngo agweed yi kitaab Juog naa,
MAT.4.4	‘Padh amono cog e ne bodh nyoge keehde
MAT.4.4	abea gihn boadh nyoge ne cohg
MAT.4.4	beehda kwaad gihn rob Juoge.’ ”
MAT.4.5	Jeacuu acahg atiihb ukeehge ke kaabo ucube ngo alidh Wod Juog gihr Jeruucalem. 
MAT.4.6	Maa arube yihre kobe, “Nea yih Waahd Juog ne cohg kea thoohr rihi piny bang gihn ngo agweed yi kitaab Juog naa,
MAT.4.6	‘Juog wuohdjuog giihe ge uoohre bangi
MAT.4.6	urihng gene ukoal gene yihn beer mee.
MAT.4.6	Yih uboam gene uthaang gene yihn kii cing gen
MAT.4.6	beer mee utoor leele me cwaany tieni.’ ”
MAT.4.7	Maa arob Jeacuue ngo yihre kea, “Gahng! Ka me tuma Juog tooro ne weey weey. Ngo agweed yi kitaab Juog naa,
MAT.4.7	‘Juog ge e naa Juog Ruohdhi ngo keá tum now ke dhieny.’ ”
MAT.4.9	“Awaahn kan, nea congi arungi piny uwuori an ne Juog, e alwaa amahr giih aniidi cang ge cuba cubo yihri kedea unahgi ruohdh wiih ngoom.”
MAT.4.10	Maa arob Jeacuue ngo yihre kobe, “Atiihb ukeehg! Kaa coohr rihi oogo buuda! Agweed yi kitaab Juog naa,
MAT.4.10	‘Nahge Juog keede e ne wuor kedea e ne gihre tiihj.’ ”
MAT.4.11	Kaano e atiihb ukeehg a'aay kedea uguo wuohnjuoge beehno ne gwiir gihn daahde.
MAT.4.13	 Jeacuu a'aay Naajaread kaa abeede ubeehne ne piih geen Kaparnaam. Kaparnaam beehda geew me ne dieng naam duohng me guge be niid kedea beehda geew me ne wudh pinye giih Jebulun maa Neptaali. 
MAT.4.14	E naa kaa abeehn gihn anaa arob Juoge ke leeb agamloohngjuog me nyinge Yicaaya upahdhe kare. Anaa akob Juoge kea,
MAT.4.15	“Wu yaa Jebulun maa yaa Neptaali
MAT.4.15	ge beed buud naam duohng
MAT.4.15	kedea wu yaa buud naam Joohrdoan
MAT.4.15	maa yaa padh Judea ge beed piny Gaalili,
MAT.4.15	Ciig Beer ngo ulihngu.
MAT.4.16	thiow kedea udoohng gene ne nyoge maa ayiih lum Juog.
MAT.4.16	Ge udoohng wa nyoge maa anaa yi muudho ke nying lwahy thoo.
MAT.4.16	Naa ameeny gen e ge ake niido.”
MAT.4.18	Cahng man e Jeacuu anaa ake caahdho ke dieng naam duohng gihr Gaalili e nyoge ariow ge aniide, dhaano ge kuu umen. Cimoane, me nying tuode Piihter maa Andrya umen. Ge anaa ke mahyo ke rej e booy thoohr gene kii naam duohng bang gihn ge anahg yaa maay. 
MAT.4.19	Maa acuohn Jeacuue gen bange ukobe ngo yihr gen kea, “Beehnu unahgu yaa waahdha. Adaahd udoohngu ne yaa kahl nyoge yihra wa kwaad kaano kahlu rej oogo nu.” 
MAT.4.20	 Ke wong kaano e booy giih gen awii gene piny ubuodh gene batiene.
MAT.4.21	Naa abar Jeacuue wong maalo e nyoge ariow mooge ge acahge kaa niido. Nyoge maa wuud meehe thiow, Jeamij waahd Jebeade kedea Joon umen. Ge anaa yi baabuur keehd wur gen e ge tuohj thool giih acoohd. Maa acuohn Jeacuue gen bange. 
MAT.4.22	Ke wong kaano, e yaa ni wur ge awiihw gene kedea uwii gene baabuur gihr gen yihr wur gen. Maa abuodh gene batien Jeacuu.
MAT.4.24	Gihn nu e nyinge awiihj kaano yi piny Ciihrya. Noono uwaahd nyoge bange ne kahl yaa tuu beere ge thiehdhe thiehdho. Nyoge mooge rog gen anaa atwaanye me ledh, e mooge koohm gen anaa atiihb ukeehg. Mooge dahng wudh gen anaa pol e mooge thiow ge nyoge maa adwaany. Amahr yaa nu cang ge athiehdhe. 
MAT.4.25	Amahr yaa abeehno ke yoohn Gaalili kedea amahr muu abeehno ke yoohn Geedhe Apaar maa Jeruucalem kedea piny Judea maa amahr muu abeehno ke yoohn miehr loog naam Joohrdoan, alwaa amahr akuud yaa nu cang ge ake caahdho ke batien Jeacuu.
MAT.5.2	Noono uthube ke puohny kobe,
MAT.5.3	“Med cwihny yihr nyoge me ngahy ngo kejea ge angoohng yi wong Juog,
MAT.5.3	bang gihn Dhaahr Juog beehda gihr gen.
MAT.5.4	Med cwihny yihr yaa cwihny gen yuog
MAT.5.4	bang gihn cwihny gen uciihm.
MAT.5.5	Med cwihny yihr yaa kweer ke nyoadh bad,
MAT.5.5	bang gihn piny Juog ulag gene.
MAT.5.6	Med cwihny yihr yaa adeehj tiihy ngaa maa abiohgrwaal yi koohdh gen,
MAT.5.6	bang gihn Juog gihn me beer ucube yihr gen.
MAT.5.7	bang gihn Juog cwihnye uduue caahn rog gen.
MAT.5.8	Med cwihny yihr yaa bahdh yej,
MAT.5.8	bang gihn Juog uniid gene.
MAT.5.9	bang gihn ge nuu ucuohn ne nyethen Juog.
MAT.5.10	bang gihn Dhaahr Juog unahg gihr gen.
MAT.5.12	 Nea giih nu ke yugo rogu kea mihn cwihnyu bang gihn akoohg nud yihru Paar Juog. Kwaad giih nu ayug rogu ge kwaad giih anaa ayug rog yaa agamloohngjuog naa anudo umodho nyumu.
MAT.5.14	“Doohngu ne lama umeenyu piny yihr nyoge. Geew maa ageer wiih good maalo rom kaa kano ubahnge ngo be niid ne? 
MAT.5.15	 Ngaa e ne ahb lama ucahge ngo ke wum piny kaa adiido? Ngahda ngo cub maalo ka me meenye piny cang yihr yaa ne wod ne? 
MAT.5.16	 Wa gihn nu thiow, wu ge meeny piny, beehn nyoge niid gene giihu ge beey ge atiihyu ni, noono ubeehn gene uwuor gene Juog ge Maalo.”
MAT.5.18	 Beehda gihn maa athiir e ne roba yihru. Maalo ge ke piny kare nud ugug gene, abea kare tooro uwaar gihn me thiin mee me ne yihdh loohnge. Kihd gihn me waar yihdh gen tooro ne weey weey nea padh giih yihdh loohnge cang ge ne pahdh kar gen wa kaa agweehg Juoge gen. 
MAT.5.19	Kwaad dhaano muu uwaar loohng, keehd me nahge gihn me ne yahng e naa awaare kedea upuohnye gihn nu, e ngaan nu ka me ne yahng yi Dhaahr Juog e nuu ucub Juoge yihre. Abea kwaad ngaan utiihy giih ne yihdh loohng Juog ke kwaan gen cang kedea upuohnye dhe yoohn ka mag gen kii ngo, e ngaan nu ucub Juoge wong maalo ka me beer yi Dhaahr Juog. 
MAT.5.20	Ngo dhiila kaa robo yihru kejea ngaa me rom cidho yi Dhaahr Juog kiinu tooro nea padh ngaa abiohgrwaal mare akaale wiih mar Paarijea maa mar yaa loohng Juog, yaa kob naa lum Juog amag gene ke cing apaar.
MAT.5.21	“Yaage anaa lihngu e arob yihr yaa acoon kejea,
MAT.5.21	‘Dhaano keá nahgi,
MAT.5.21	nea ngaa nahg dhaano
MAT.5.21	e ngo dhiil kaa maa ukedhe yi lug.’
MAT.5.23	“Thiow nea yih daahd ucii kar lam ne cub gihri me beer yihr Juog, abea apari kejea ater nud kiinu ke ngaa moogo, kea wii gihri noono piny tudi, 
MAT.5.24	 udoogi bang ngaan nu udoohru keehde. Nea wu adoohr arumo kea duui uyoadi gihri ge daahdi ke cubo yihr Juog ukweehri ngo.
MAT.5.26	 Athiir e ne roba yihri kejea, kar beehni oogo tooro keehdo, nea padh giih akihm yihri ge ne dhiili ke cub piny utoor gihn me doohng oogo.
MAT.5.27	“Yaage, beehde ngahyu kejea anaa apuohny naa,
MAT.5.27	‘Ciih ngaa moogo keá kaabi.’
MAT.5.29	 Nea wong kwiihyi e ne meehg yihn yug adhemuohm, kea oohl ngo oogo uthoohri ngo dom. Bang gihn ngo beer urwaahny goan kuohmi, yihr man thoohr yihn Paar Maaj ke kuohmi ne roang roang. 
MAT.5.30	Nea cing kwiihyi e ne meehg yihn yug adhemuohm, kea ngul ngo oogo uthoohri ngo dom. Bang gihn ngo beer urwaahny goan kuohmi, yihr man cidhi Paar Maaj ke kuohmi ne roang roang.
MAT.5.31	‘Ngaa pahy ke ciihe,
MAT.5.31	kea dhiile wargahng paah ke kahl oogo yihr dhaago.’
MAT.5.33	‘Gihri maa ateedi ukuohngi rihi ke nyinge keá piem keehdo.
MAT.5.33	Abea dhiil cuungo yi gihn nu akuohngi rihi ke nyinge
MAT.5.33	utiihyi ngo yihr Juog.’
MAT.5.36	Keá ngaan tum ngo ukuohnge ree ke wiihe, bang gihn kare tooro yihre uyuge yiehno acielo yi wiihe ubuure wale uyuge ngo udoohnge col. 
MAT.5.37	 Adiehj dhaano nahge, ‘Ayiih kedea gahng.’ Kwaad lubo me dog ke jwaa wiih lum nu ngo beehn ke bang atiihb ukeehg.
MAT.5.38	“Yaage, ngahyu kejea anaa arob naa,
MAT.5.38	‘Nea ngaa tooy wong dhaano
MAT.5.38	e wonge ke tooyo thiow,
MAT.5.38	e ngaa toar leehj dhaano
MAT.5.38	e leehye ke toar thiow.’
MAT.5.40	 Thiow, nea ngaa moogo daahd yihn ke kedh yi lug, bang ukaabe athoohr gihri, kea mad melaayo yihre thiow. 
MAT.5.41	Nea ujaadya yih amage ne tiehd giihe ne ngol good, kea bari keehde ungoli bar thiow. 
MAT.5.42	Nea dhaano yih peehnye peehnyo ke gihr nyepiny kea cub ngo yihre. Thiow kwaad ngaa me cej amihdho bangi, kea cub ngo, yih keá kweer.”
MAT.5.43	‘Nhyaar wadu umaani ngad mahni.’
MAT.5.45	 Kaano e wu udoohng ne nyethen Juog Wuru ge Maalo ni, bang gihn Juog e ne meehg cahng lier wudh nyoge cang, jo reje kedea jo beeye. E ne oohr kodh yihdh puohdh nyoge cang, ngaa me raaj maa ngaa me beer. 
MAT.5.46	Kwaad gihn me beer me yoadu tooro bang Juog nea wu nhyaar yaa nhyaar wun cog. Keehd yaa reje ni, ge jwaar cuol yihr ukuuma, ngahda yaa nhyaar gen ge nhyaar gene nhyaaro thiow? 
MAT.5.47	Yaa reje uyoohmu kaa gihn nea wu baahb ne maahdh yaa nhyaaru cog? Keehd yaa kwihj Juog ngahda ge baahb rog gen ke maahdho? 
MAT.5.48	Dhiilu beehdo ne nyoge me beeye nyum Juog, bang gihn Juog Wuru ge ne Maalo ni beer keter ke nyoge.
MAT.6.2	“Nea ngaa maa angoohng daahdu kaa muojo, e ngo keá muoju ne nyoadh rogu yihr nyoge kejea ngaa maa angoohng amuoju. Beehda yaa waane, ge ne yug kwaad giih nu ke bang yihdh kuohn amaade maa ke bang yihdh yiehdhe beere ge ke leeyo. Athiir e ne teeda yihru kejea leej gihn daahd gene ke cwihny gen e naa koog mar gen ne yoad gene bang nyoge. 
MAT.6.3	Abea nea wu daahde ucubu gihr kony maru yihr ngaa maa angoohng, e kea yugu ngo ke dhe yooh me keehd cing caam e gihn cub ke cing kwiihj kwihye. 
MAT.6.4	Noono e gihn acubu kuu aniid nyoge mooge, abea unahg Juog Wuru ge ngahy dhe yoohn ka muoj nyoge ke piny kii ngo e keede cog, e nuu ucub gihn kooge wun keehde.
MAT.6.5	“Nea wu ukwahyo, rogu keá yugu neehn mar yaa waane ge nyoadh rog gen nea ge ukwahyo. Bang gihn kwaad yaa nu ge kwahyo e ge ucuungo yihdh wuud amaad kedea ke bang yihdh yiehdhe ka me niid gen e ge ukwahyo. Athiir e ne teeda yihru, kejea gihn moogo tooro me cahg gene ke yoado, bang gihn koog mar gen ayoad gene bang nyoge. 
MAT.6.6	Abea nea wu daahde ukwayu Juog, kea aay dhaane ucea kare keede ne kway Juog, ge beehda Juog me be niid dhaane. Noono e Juog dhaano ukooge ke nying giihe naa atiihye kare e keede e ge kuu aniid nyoge. 
MAT.6.7	Nea dhaano uthubo ke kwaj Juog arumo, e ngo keá piih ne ber kwaj acielo tiel me thoohdh wa mar yaa kuu ayiiho. Yaa kuu ayiiho mar gen cuohn gene kejea ber kwaj tiel me thoohdh e ne meehg Juog lihng kwaj gihr gen. 
MAT.6.8	 Dhe yoohn kway gen noono keá ngooru ne weey weey. Bang gihn Juog Wuru kwaad giih daahdu ke cwihnyu ge ngahye e wu poohd kuu athubo ke kwaj.
MAT.6.9	“Nea wu ukwahyo yihr Juog kea kwahyu ke wa gihn,
MAT.6.9	‘Wur wan ne Maalo,
MAT.6.9	nyingi ke wuoro.
MAT.6.10	Mari ke yugo Paar Maalo kedea wiih piny thiow.
MAT.6.11	cub ngo yihr wan tihn noono ni.
MAT.6.12	Neehn ma wii wane giih anyoohne piny yihr nyoge thiow.
MAT.6.13	Abea lony wan oogo yi gihn me raaj.’
MAT.6.15	 Abea nea lubo be wii ke piny yihr nyoge mooge, e Juog Wuru kwaad giih reje atiihyi ree ni, ge be wiie piny thiow yihri.
MAT.6.17	Abea nea wu daahd kweehr kejea wu be cahmo ke nying kwaj Juog, kea beehn dhaane luoge wonge beer mee uwiihre ke mow 
MAT.6.18	beere kwihj nyoge kejea ngo ukweehro ke cam. Noono unahge Juog Wuru ge be niid dhaane e nuu ngahy ngo kejea wu ukweehro kedea ukooge wun.
MAT.6.20	 Abea beehn dhaane cube wiihe ne kan giih lonyo ke Paar Maalo ka toor biih maa keadh kedea jo kahwe yea. 
MAT.6.21	Bang gihn ka ne giih lony dhaane yea e naa ka beed aduune.
MAT.6.22	“Wong e naa gihn me wa lama me meeny kuohm. Nea dhaano wonge kwel kedea cwihnye cang bang lum Juog, e kuohme thiow ree meenye meenyo ke kare cang udoohnge ne cal cal. 
MAT.6.23	Abea nea wong dhaano col, e keehd kuohme cang udoohng col mee. Abea gihn me room ke con aduun dhaano tooro, bang gihn nea aduun dhaano col e gihn me kaal wiih con nu tooro.
MAT.6.26	 Maanyu winy ge paahr ke maalo do! Koohdhe me piidh gene tooro kedea giih me kaj gene tooro maa dune me peg gene tooro. Abea ngahda Juog Wuru ge Maalo ni, e naa ngaa miihdh gen ne? Ngahda kuowo maru wiihe ne maalo yihr mar gen ne? 
MAT.6.27	Keehd me nahgu rogu ke diero, e ngaa kiinu e ne rom rune ke jwaa beere be laar thoo?
MAT.6.28	“Gihn e ne nahg diere wun ke nying waare me ngaabu? Maahnyu kaa doong thiiwe yihdh puohdh kii ngo! Ge be tiihyo maa waare me cwaahj gene tooro. 
MAT.6.29	Abea roba robo yihru kejea keehd Caloamon ke buur ngude yi deeh ngaab wuohbo gihre naa anaa ngahbe e kuu anaa angahbo keehd ngaab gihn angaab Juoge thiiw acielo kiin thiiwe cang kii ngo. 
