MAT.1.1	Dool asaame hana juduud Isa al-Masiih ibn Dawuud ibn Ibraahiim. 
MAT.1.23	wa binaaduuh Immaanuwiil}. Wa l-usum Immaanuwiil ma’anaatah hu Allah gaa’id ma’aana. 
MAT.1.24	Wa wakit Yuusuf gamma min al-noom, hu sawwa al-cheyy al-malak Allah gaalah leyah wa chaal martah fi beetah. 
MAT.1.25	Wa laakin ma limisaaha lahaddi wildat wileed wa sammaah Isa.
MAT.2.1	Wildo Isa fi hillit Beet Laham fi daar al-Yahuudiiya fi zaman al-malik Hiruudus. Wa ba’ad wildooh, musaafiriin waahidiin jo le Madiinat al-Khudus min al-sabaah. Wa humman munajjimiin
MAT.2.2	Wa sa’alo al-naas wa gaalo : Ween malik al-Yahuud al-dahaabah wildooh ? Chifna najmatah fi l-sabaah wa jiina achaan nasjudu leyah.
MAT.2.3	Wa l-malik Hiruudus simi’ al-kalaam da wa barjal. Wa kulla naas Madiinat al-Khudus barjalo ma’aayah. 
MAT.2.4	Wa l-malik naada kubaaraat rujaal al-diin wa l-ulama achaan yilimmu giddaamah. Wa sa’alaahum wa gaal : Ween al-bakaan al-yaldo foogah al-Masiih ?
MAT.2.5	Wa humman raddo leyah wa gaalo : Yaldooh fi Beet Laham fi daar al-Yahuudiiya achaan kalaam al-nabi al-maktuub fi l-Kitaab buguul ke 
MAT.2.6	{Ya Beet Laham fi daar Bani Yahuuza, inti ma hille sakhayre le kubaaraat Yahuuza, achaan naadum waahid yamrug minki wa hu al-haakim al-yabga raa’i hana ummati Bani Israa’iil}.
MAT.2.7	Wa fi l-bakaan da, Hiruudus naada al-munajjimiin be achiir wa sa’alaahum achaan ya’arif minhum al-yoom al-awwal baanat beyah al-najma. 
MAT.2.8	Wa wakit simi’ kalaamhum rassalaahum fi Beet Laham wa gaal leehum : Amchu wa fattuchu adiil. Wa wakit ligiitu al-sakhiir, ta’aalu ooruuni achaan ana kula namchi nasjud leyah.
MAT.2.9	Wa wakit sim’o kalaam al-malik, chaalo al-derib wa faato. Wa chaafo al-najma al-chaafooha awwal fi l-sabaah wa hi tazhaf giddaamhum lahaddi wigfat fi l-bakaan al-gaa’id foogah al-wileed. 
MAT.2.10	Wa wakit chaafo al-najma bigo farhaaniin marra waahid. 
MAT.2.11	Wa dakhalo fi lubb al-beet wa ligo al-sakhiir ma’a ammah Mariyam wa sajado leyah. Wa jaabo khumaam khaali wa fakkooh wa gaddamooh le Isa. Antooh dahab wa dukhkhaan wa riihe murra al-usumha sibir. 
MAT.2.12	Wa Allah hajja leehum fi hilim wa ooraahum waajib ma yigabbulu le Hiruudus wa khalaas faato fi daarhum be derib aakhar.
MAT.2.13	Ba’ad al-munajjimiin faato khalaas, waahid min malaa’ikat Allah ja le Yuusuf fi hilim wa gaal leyah : Yalla gumm. Chiil al-sakhiir wa ammah wa amchi beehum fi Masir. Agood hinaak wa ma tigabbil lahaddi nantiik izin. Hiruudus yifattich al-sakhiir wa yidoor yaktulah.
MAT.2.14	Wa ajala ke fi ust al-leel, Yuusuf gamma chaal al-sakhiir wa ammah wa jara beehum fi Masir. 
MAT.2.15	Wa ga’ad hinaak lahaddi Hiruudus maat. Wa misil da, al-kalaam al-Allah gaalah zamaan be khachum al-nabi tamma {Min Masir naadeet Ibni}.
MAT.2.16	Wakit Hiruudus irif al-munajjimiin khachchooh, hu bigi za’laan bilheen. Wa fakkar fi l-kalaam al-gaalooh leyah fi l-wakit al-najma baanat foogah wa rassal askarah fi Beet Laham wa l-hillaal al-jambaha. Wa amaraahum achaan yaktulu kulla wileed al-umrah naagis min sanateen. 
MAT.2.17	Wa misil da, al-kalaam al-Allah gaalah zamaan be khachum al-nabi Irmiiya tamma. 
MAT.2.18	Hu gaal {Sim’o karooraak fi hillit Al-Raama. Baki wa hizin chadiid. Raahiil amm iyaal Yaakhuub gaa’ide tabki le iyaalha wa galibha aba ma yargud achaan humman maato khalaas}.
MAT.2.19	Wa wakit Hiruudus maat, Yuusuf gaa’id fi Masir wa waahid min malaa’ikat Allah ja leyah fi hilim. 
MAT.2.20	Wa gaal : Gumm, chiil al-sakhiir wa ammah wa gabbil beehum fi daar Israa’iil achaan al-naas al-dawwaro yaktulu al-sakhiir maato khalaas.
MAT.2.21	Wa Yuusuf gamma wa chaal al-sakhiir wa ammah wa gabbal beehum fi daar Israa’iil. 
MAT.2.22	Wa laakin Arkhalaawus bigi malik fi daar al-Yahuudiiya fi badal abuuh Hiruudus wa min Yuusuf simi’ al-khabar da, khaaf wa ma dawwar yamchi hinaak. Wa Allah kallam leyah fi hilim wa hu chaal derib hana daar al-Jaliil. 
MAT.2.23	Wa wisil fi hille usumha al-Naasira wa ga’ad hinaak. Wa misil da, al-kalaam al-nubuuwa gaalo tamma. Gaalo {Binaaduuh Naasiri}.
MAT.3.1	Fi l-zaman daak, al-nabi Yahya al-Mukhattis ja yiballikh kalaam Allah fi kadaade hana daar al-Yahuudiiya. 
MAT.3.2	Wa gaa’id yuguul : Yalla, tuubu min zunuubku achaan mamlakat Allah garrabat.
MAT.3.3	Wa Yahya hu al-naadum al-hajja beyah zamaan al-nabi Icha’ya. Wa l-nabi gaal {Hiss hana naadum gaa’id binaadi fi l-khala wa buguul jahhuzu derib al-Rabb wa addulu leyah al-chawaari’}. 
MAT.3.4	Wa Yahya laabis khalag min suuf al-albil wa raabit sulbah be farwa wa yaakul jaraad wa asal al-nahal. 
MAT.3.5	Wa l-naas marago leyah min Madiinat al-Khudus wa min kulla daar al-Yahuudiiya wa min kulla l-hillaal al-jamb bahar al-Urdun. 
MAT.3.6	Wa i’tarafo be zunuubhum wa Yahya khattasaahum
MAT.3.7	Wa Yahya chaaf ambeenaathum naas katiiriin min turukh al-Fariisiyiin wa l-Sadduukhiyiin. Wa humman maachiin leyah achaan hu yikhattishum. Wa gaal leehum : Ya iyaal al-daabi ! Yaatu al-gaal leeku ajru min al-azaab al-jaayi ? 
MAT.3.8	Sawwu al-amal al-yiwassif intu tubtu be l-sahiih. 
MAT.3.9	Wa ma tukhuchchu nufuusku. Ma tuguulu «Ma indina eeb achaan aniina iyaal Ibraahiim». Nuguul leeku Allah yagdar yichiil hujaar min al-turaab wa yisawwi minhum iyaal le Ibraahiim fi badalku. 
MAT.3.10	Chiifu, al-faas jaahize le tagta’ al-chadara min irigha. Ayyi chadara al-ma talda iyaal adiiliin yagta’ooha wa yazguluuha fi l-naar.
MAT.3.11	Ana nikhattisku fi l-almi achaan intu tubtu min zunuubku wa laakin waahid jaayi waraayi gaadir minni bilheen wa ana ma tammeet leyah khaddaam kula. Wa hu yikhattisku be l-Ruuh al-Khudduus wa be l-naar. 
MAT.3.12	Wa indah tabag fi iideenah le yikharbil al-khalla. Wa yilimm khallitah wa yusubbuha fi dabangitah. Wa laakin al-uttaab yutuchchah fi l-naar al-ma tumuut abadan.
MAT.3.13	Wa Isa marag min daar al-Jaliil wa macha fi bahar al-Urdun achaan Yahya yikhattisah. 
MAT.3.14	Wa laakin Yahya bada yaaba wa gaal : Waajib ana naji leek achaan inta tikhattisni wa kikkeef tidoor ana nikhattisak ?
MAT.3.15	Wa Isa gaal leyah : Ma taaba. Khalli yabga misil da achaan nitimmu kulla cheyy al-Allah bidoorah.
MAT.3.15	Wa khalaas, Yahya khassad wa khattasah. 
MAT.3.16	Wa wakit khattasah khalaas, Isa gamma min al-almi wa ajala ke al-samaawaat anfataho wa chaaf Ruuh Allah naazil min al-sama misil hamaama wa dalla foogah. 
MAT.3.17	Wa sim’o hiss min al-sama al-buguul : Da bas Ibni wa nihibbah. Ana farhaan beyah bilheen.
MAT.4.1	Wa l-Ruuh al-Khudduus wadda Isa fi l-khala achaan Ibliis yijarribah. 
MAT.4.2	Wa hu saayim leel wa nahaar arba’iin yoom wa ba’ad da juu’ sawwaah. 
MAT.4.3	Wa Ibliis ja leyah wa gaal : Kan sahiih inta Ibn Allah, guul le l-hujaar al-dugaag dool yabgo leek akil.
MAT.4.4	Wa Isa radda leyah wa gaal : Maktuub fi Kitaab Allah {Al-insaan ma yi’iich be l-akil wiheedah laakin yi’iich be kulli kilme al-maarge min khachum Allah}.
MAT.4.5	Wa Ibliis waddaah fi Madiinat al-Khudus wa khattah fi bakaan aali fi raas Beet Allah. 
MAT.4.6	Wa gaal leyah : Kan sahiih inta Ibn Allah, nutt aga’ tihit achaan fi l-Kitaab maktuub {Allah yirassil malaa’ikatah achaan yahfadook} wa {Yichiiluuk fi iideenhum achaan rijileenak ma yintaggu fi hajar waahid}.
MAT.4.7	Wa Isa gaal leyah : Wa kula maktuub fi l-Kitaab {Ma tijarrib Rabbak Allah}.
MAT.4.8	Wa Ibliis waddaah battaan wa khattah fi raas hajar tawiil bilheen wa wassaf leyah kulla l-mamaalik al-fi l-dunya wa darajithum. 
MAT.4.9	Wa gaal le Isa : Nantiik kulluhum ke kan inta tasjud giddaami wa ta’abudni.
MAT.4.10	Wa Isa gaal leyah : Amchi minni ba’iid, ya Cheetaan, achaan maktuub fi l-Kitaab {Le Rabbak Allah bas tasjud wa hu wiheedah ta’abudah}.
MAT.4.11	Wa khalaas Ibliis khallaah wa malaa’ika jo saa’adooh.
MAT.4.12	Wa Yahya karabooh fi l-sijin. Wa Isa simi’ al-khabar da wa gabbal fi daar al-Jaliil. 
MAT.4.13	Wa khalla hillit al-Naasira wa macha sakan fi hillit Kafar Naahuum al-gaa’ide fi jamb al-bahar fi daar Bani Zabuluun wa daar Bani Naftaali. 
MAT.4.14	Wa macha hinaak achaan misil da, al-kalaam al-Allah gaalah be khachum al-nabi Icha’ya yitimm. Al-nabi gaal 
MAT.4.15	{Daar Bani Zabuluun wa daar Bani Naftaali fi derib hana l-bahar khaadi le bahar al-Urdun wa daar al-Jaliil, daar al-ajaanib. 
MAT.4.16	Al-naas al-gaa’idiin fi l-dalaam chaafo deyy aziim wa l-naas al-gaa’idiin fi daar al-moot wa fi dull hana l-moot, nuur tala’ fooghum}.
MAT.4.17	Wa min al-wakit daak Isa bada yiballikh kalaam Allah wa gaal : Tuubu min zunuubku. Mamlakat Allah garrabat.
MAT.4.18	Wa wakit Isa raayikh fi khachum bahar al-Jaliil, hu chaaf akhwaan itneen wa humman Sim’aan al-binaaduuh Butrus wa akhuuh Andareeyas. Wa humman hawwaatiin wa gaa’idiin yazgulu charakhum fi l-bahar achaan yakurbu huut. 
MAT.4.19	Wa Isa gaal leehum : Ta’aalu taabu’uuni. Awwal intu gaa’idiin tikarrubu huut wa ana nisawwiiku hawwaatiin al-naas wa tikarrubuuhum le derib Allah.
MAT.4.20	Wa ajala ke khallo charakhum wa taaba’ooh.
MAT.4.21	Wa Isa macha giddaam chiyya wa battaan chaaf akhwaan itneen wa humman Yaakhuub wa Yuuhanna awlaad Zabadi wa humman gaa’idiin fi l-markaba ma’a abuuhum wa gaa’idiin yi’addulu charakhum. Wa Isa naadaahum achaan yitaabu’uuh. 
MAT.4.22	Wa ajala ke khallo al-markaba wa khallo abuuhum wa taaba’o Isa.
MAT.4.23	Wa Isa gamma raakh fi kulla bakaan hana daar al-Jaliil wa gaa’id yi’allim al-naas fi buyuut al-sala wa yiballikh leehum bichaarat mamlakat Allah wa gaa’id yidaawi kulla l-naas al-mardaaniin wa l-ta’baaniin. 
MAT.4.24	Wa usmah tala’ fi kulla balad al-Chaam wa naas jaabo leyah akhwaanhum al-ma’duuriin wa l-ta’baaniin min ayyi marad. Jaabo al-muchootiniin wa l-naas al-induhum amfitfit wa l-naas al-jilidhum mayyit wa daawaahum kulluhum. 
MAT.4.25	Wa naas katiiriin marra waahid taaba’ooh. Jo min daar al-Jaliil wa min al-Mudun al-Achara wa min Madiinat al-Khudus wa min daar al-Yahuudiiya wa min al-buldaan al-khaadi le bahar al-Urdun.
MAT.5.1	Wa wakit Isa chaaf al-naas al-katiiriin al-yidooru yasma’o kalaamah, hu tala’ fi l-hajar wa ga’ad tihit wa talaamiizah jo leyah. 
MAT.5.2	Wa bada yi’allimhum wa gaal : 
MAT.5.3	Mabruuk le l-naas al-ya’arfu nufuushum masaakiin giddaam Allah, achaan mamlakat Allah hanaahum. 
MAT.5.4	Mabruuk le l-naas al-haznaaniin, Allah yantiihum al-salaam. 
MAT.5.5	Mabruuk le l-naas al-daluuliin, humman yawrusu al-ard. 
MAT.5.6	Mabruuk le l-naas al-yidooru yabgo saalihiin misil al-jii’aan yidoor yaakul wa l-atchaan yidoor yachrab. Allah yichabbi’hum. 
MAT.5.7	Mabruuk le l-naas al-yarhamo akhwaanhum, humman yalgo rahma min Allah. 
MAT.5.8	Mabruuk le l-naas al-galibhum taahir, humman yichiifu Allah. 
MAT.5.9	Mabruuk le l-naas al-yijiibu al-salaam, Allah yaj’alhum iyaalah. 
MAT.5.10	Mabruuk le l-naas al-yita’’ubuuhum fi chaan al-hagg, Mamlakat Allah hanaahum.
MAT.5.11	Mabruuk leeku intu wakit al-naas yi’ayyuruuku wa yaturduuku wa be l-kidib yukhuttu foogku kalaam cheen achaan intu talaamiizi. 
MAT.5.12	Afraho wa anbastu katiir achaan ajurku fi l-aakhira yabga kabiir bilheen. Achaan awwal al-naas ta’’abo misil da al-anbiya al-jo gubbaalku wa khalaas intu bigiitu misilhum.
MAT.5.13	Intu misil mileh le naas al-ard. Wa kan ta’aam al-mileh bigi ma fiih, chunu yigabbilah ? Ma indah faayde wa khalaas yidaffuguuh barra wa l-naas yifajjukhuuh. 
MAT.5.14	Wa intu nuur le naas al-dunya. Kan hille kabiire gaa’ide fi raas hajar ma mumkin yilabbuduuha. 
MAT.5.15	Wa l-naas ma yiwallu’u faanuus wa yidissuuh fi tihit doozam laakin yukhuttuuh fi bakaan foog achaan yidaawi le kulla l-naas al-fi l-beet. 
MAT.5.16	Wa misil da, khallu nuurku yidaawi giddaam al-naas. Wa khalluuhum yichiifu khidmitku al-samhe wa yachkuru abuuku Allah al-gaa’id fi l-samaawaat.
MAT.5.17	Ma tifakkuru ana jiit achaan nibattil al-Tawraat wa la kutub al-nubuuwa. Ana ma jiit achaan nibattilhum, laakin achaan nitammimhum. 
MAT.5.18	Nuguul leeku al-hagg, harif waahid ma yingachcha min al-Tawraat wa la nugta’ waahide kula lahaddi al-sama wa l-ard yabgo ma fiihum wa kulla cheyy yitimm. 
MAT.5.19	Wa ayyi naadum al-yikhaalif wasiiye min al-wasaaya dool, kan hi al-sakhayre kula, wa yi’allim akhwaanah yisawwu nafs al-cheyy, yaj’alo al-naadum da al-sakhayyar fi mamlakat Allah. Wa laakin al-naadum al-yitabbig al-wasaaya dool wa yi’allimhum le akhwaanah, yaj’alooh kabiir fi mamlakat Allah. 
MAT.5.20	Nuguul leeku kan intu ma bigiitu saalihiin ziyaada min al-ulama wa l-Fariisiyiin, abadan ma tadkhulu fi Mamlakat Allah.
MAT.5.21	Wa simi’tu Allah kallam le naas al-zamaan wa gaal {Ma taktul} wa {Al-naadum al-katal waajib yichaaru’uuh}. 
MAT.5.22	Wa laakin ana nuguul leeku ayyi naadum al-khadbaan min akhuuh waajib yichaaru’uuh. Wa ayyi naadum al-yuguul le akhuuh «inta ajami», waajib yigaddumuuh giddaam al-Majlis al-Kabiir. Wa ayyi naadum al-yuguul le akhuuh «inta jaahil», waajib yazguluuh fi naar Jahannam. 
MAT.5.23	Wa kan taji fi bakaan al-ibaada achaan tigaddim dahiiye le Allah wa hinaak bas tifakkir kadar akhuuk indah muchkila ma’aak, 
MAT.5.24	khalli al-bahiime al-tidoor tadbahha wa amchi ajala wa assaamaho ma’a akhuuk. Wa ba’ad da bas, gabbil wa gaddim dahiiye le Allah. 
MAT.5.25	Wa kan naadum mazluum foogak, yalla assaamaho ma’aayah ajala wakit intu lissaa’ fi l-derib wa gubbaal ma tawsulu fi bakaan al-charii’a. Assaamaho ma’aayah gubbaal ma yiwaddiik le l-gaadi achaan al-gaadi ma yiwaddiik le l-boliis wa yakurbuuk wa yidissuuk fi l-sijin. 
MAT.5.26	Nuguul leeku al-hagg. Inta ma tamrug illa kan kaffeet kulla l-gurus al-yidooruuh minnak.
MAT.5.27	Simi’tu Allah gaal {Ma tazna}. 
MAT.5.28	Wa laakin ana nuguul leeku ayyi raajil al-gaa’id yichiif mara be chahwa, hu zanaaha khalaas fi galbah. 
MAT.5.29	Wa kan eenak al-zeene tidoor tamurgak min al-derib al-adiil, sillaha. Azgulha ba’iid minnak achaan kan waddart cheyy waahid min jildak akheer leek min yazgulu kulla jildak fi naar Jahannam. 
MAT.5.30	Wa kan iidak al-zeene tidoor tamurgak min al-derib al-adiil, agta’ha. Azgulha ba’iid minnak achaan kan waddart cheyy waahid min jildak akheer leek min yazgulu kulla jildak fi naar Jahannam.
MAT.5.31	Wa gaalo leeku kula {Ayyi naadum al-tallag martah waajib yantiiha chahaada hana l-talaag}. 
MAT.5.32	Wa laakin ana nuguul leeku ayyi naadum al-yitallig martah ma be sabab hana l-zina yisawwiiha zannaaye. Wa l-naadum al-yaakhud al-mara al-mutallaga yazna.
MAT.5.33	Simi’tu gaalo le naas al-zamaan {Ma tafchul haliiftak, laakin al-cheyy al-inta gultah le Allah, da bas waajib titimmah}. 
MAT.5.34	Wa laakin ana nuguul leeku ma tahlif marra waahid wa la be l-sama achaan hu kursi Allah 
MAT.5.35	wa la be l-ard achaan da bakaan rijileenah wa la be Madiinat al-Khudus achaan hi madiinat al-Malik al-aziim. 
MAT.5.36	Wa ma tahlif be raasak achaan ma tagdar tisawwi suufaay waahide beeda walla zarga. 
MAT.5.37	Kan kalaamak «aywa» guul «aywa». Wa kan kalaamak «la», guul «la». Wa ayyi kalaam al-ziyaada min da jaayi min al-Cheetaan.
MAT.5.38	Simi’tu gaalo {Een be een wa sinn be sinn}. 
MAT.5.39	Wa laakin ana nuguul leeku ma tigabbil al-fasil le l-naadum al-sawwa leek al-fasil. Wa kan naadum daggaak fi chidgak al-zeene, antiih al-isra kula. 
MAT.5.40	Wa kan naadum yiwaddiik le l-charii’a achaan yichiil jawwaaniiytak, khalaas khalliih yichiil jalaabiiytak kula. 
MAT.5.41	Wa kan naadum jabbaraak achaan tiwaddi khumaamah kiilomitir waahid, khalaas amchi ma’aayah kiilomitir itneen. 
MAT.5.42	Wa kan naadum sa’al minnak chokhol, antiih leyah. Wa kan naadum yas’al minnak deen, ma tigabbilah yaabis.
MAT.5.43	Simi’tu gaalo «Hibb akhuuk wa akrah aduuk». 
MAT.5.44	Wa laakin ana nuguul leeku hibbu aduuku wa as’alo be l-kheer Allah fi chaan al-naas al-yita’’ubuuku wa yaturduuku. 
MAT.5.45	Wa kan tisawwu ke, intu tabgo iyaal abuuku Allah. Achaan hu yamrug al-harraay le l-naas al-fasliin wa le l-naas al-saalihiin kula wa yikhalli al-matar yusubb foog al-naas al-adiiliin wa foog al-naas al-ma adiiliin kula.
MAT.5.46	Wa kan tihibbu al-naas al-bihibbuuku bas, ajurku chunu ? Naas al-jamaarik al-fasliin dool ma bihibbu al-naas al-bihibbuuhum walla ? 
MAT.5.47	Wa kan intu tisallumu akhwaanku bas, intu ma tisawwu kheer ziyaada min ayyi naadum. Al-kuffaar kula ma yisawwu nafs al-cheyy walla ? 
MAT.5.48	Khalaas, abgo naas ma induhum eeb misil abuuku Allah ma indah eeb.
MAT.6.1	Aw’u baalku. Kan tisawwu amal diinku giddaam al-naas achaan tidooru humman yichiifuuku bas, da ma yanfa’. Ma talgo ajur min abuuku Allah. 
MAT.6.2	Wakit tanti sadakha le naadum miskiin, ma tisawwi haraka katiire misil al-munaafikhiin. Humman yantu sadakha fi buyuut al-sala wa fi l-chawaari’ achaan al-naas yachkuruuhum. Nuguul leeku al-hagg, ma yalgo ajur illa l-chukur al-ligooh min al-naas. 
MAT.6.3	Laakin inta wakit tanti sadakha, ma tikhalli iidak al-isra ta’arif al-cheyy al-iidak al-zeene gaa’ide tisawwiih. 
MAT.6.4	Wa misil da, wakit tanti sadakha ma tikhalli naadum waahid ya’arfah wa abuuk Allah al-yichiif al-cheyy al-naas ma yichiifuuh, hu bas yantiik ajrak.
MAT.6.5	Wa wakit tisallu, ma tisallu misil al-munaafikhiin. Humman yiriidu yisallu fi buyuut al-sala wa fi l-chawaari’ achaan al-naas bichiifuuhum. Nuguul leeku al-hagg, ma yalgo ajur illa l-chukur al-ligooh min al-naas. 
MAT.6.6	Wa laakin inta wakit tidoor tisalli, amchi daakhal fi beetak wa sidd derbak wa salli le Allah abuuk al-ma binchaaf. Wa abuuk Allah al-bichiif al-cheyy al-naas ma bichiifuuh, hu bas yantiik ajrak. 
MAT.6.7	Wa wakit tisallu ma tiraddudu kalaam al-ma indah faayde misil al-naas al-ma ba’arfu Allah. Fi fikirhum, Allah ma yasma’ kalaamhum illa kan kalaamhum katiir. 
MAT.6.8	Ma tabgo misilhum achaan al-cheyy al-intu tidooruuh, Allah ba’arfah gubbaal ma tas’alooh minnah.
MAT.6.9	Khalaas, sallu misil al-sala di. Ya Abuuna al-fi l-samaawaat, majjid usmak al-khudduus. 
MAT.6.10	Khalli mamlakatak taji. Khalli yisawwu muraadaatak fi l-ard misil yisawwu muraadaatak fi l-sama. 
MAT.6.11	Antiina al-yoom al-akil al-yitimmina. 
MAT.6.12	Saamih leena khataana misil aniina nisaamuhu al-naas al-khito foogna. 
MAT.6.13	Ma tiwaddiina fi l-bakaan al-yijarrib iimaanna, laakin najjiina min charr Ibliis. Wa l-mamlaka wa l-gudra wa l-majd hanaak inta bas daayman wa ila l-abad. Aamiin.
MAT.6.14	Kan intu saamahtu al-naas al-khito foogku, abuuku Allah yisaamihku. 
MAT.6.15	Wa kan intu ma saamahtu al-naas al-khito foogku, abuuku Allah ma yisaamih leeku khataayaaku.
MAT.6.16	Wa wakit tusuumu, ma tarbutu wijihku misil al-munaafikhiin. Humman yikarchumu wujuuhhum achaan yidooru al-naas ya’arfu humman saaymiin. Nuguul leeku al-hagg, ma yalgo ajur illa l-chukur al-ligooh min al-naas. 
MAT.6.17	Wa laakin inta, wakit inta saayim, khassil wijhak wa massih raasak be itir misil naadum yi’ayyid 
MAT.6.18	achaan naadum waahid ma ya’arif inta saayim illa abuuk Allah al-ma binchaaf. Wa abuuk Allah, al-bichiif al-cheyy al-naas ma bichiifuuh, hu bas yantiik ajrak.
MAT.6.19	Ma tudummu al-maal fi l-ard achaan hini fi l-ard al-arda wa l-sagar bitallufuuh wa l-saraariig yadkhulu yasurguuh. 
MAT.6.20	Akheer tudummu al-maal fi bakaan Allah fi l-samaawaat. Hinaak al-arda wa l-sagar ma bitallufuuh wa l-saraariig ma yadkhulu yasurguuh. 
MAT.6.21	Achaan al-bakaan al-maalak gaa’id foogah, da bas al-bakaan al-galbak gaa’id foogah. 
MAT.6.22	Al-een hi faanuus hana l-jilid. Kan eenak taybe
MAT.6.23	Wa kan eenak talfaane, inta gaa’id fi l-dalaam. Wa kan nuurak bigi adlam, inta gaa’id fi dalaam azrag marra waahid. 
MAT.6.24	Ma mumkin naadum yabga abid le siyaad itneen. Achaan hu yakrah al-waahid wa yiriid al-taani walla yihibbah le l-awwal be kulla galbah wa yahgir al-aakhar. Wa intu kamaan ma tagdaro tabgo abiid le Allah wa abiid le l-maal.
MAT.6.25	Wa fi chaan da, nuguul leeku ma tihimmu le hayaatku leechaan al-akil wa la leechaan al-churaab wa ma tihimmu le jilidku leechaan al-khulgaan. Al-haya ma akheer min al-akil walla ? Wa l-jilid ma akheer min al-khulgaan walla ? 
MAT.6.26	Chiifu al-tuyuur wa fakkuru fiihum. Humman ma yiteerubu wa la yahartu wa la yagta’o wa la yakhzunu wa laakin abuuku Allah yi’ayyichhum. Wa intu ke ma akheer le Allah ziyaada min al-tuyuur walla ? 
MAT.6.27	Wa kan naadum minku yihimm katiir bilheen kula, al-hamm da yagdar yiziid umrah be saa’a waahide walla ? 
MAT.6.28	Wa maala tihimmu leechaan al-khulgaan ? Chiifu al-nuwaar fi l-kadaade wa fakkuru kikkeef yugumm. Ma yakhdim wa ma yisawwi kiswe. 
MAT.6.29	Wa laakin nuguul leeku akiid al-malik Suleymaan zaatah fi darajatah al-kabiire abadan ma libis khalag jamiil misil jamaal al-nuwaar da. 
