GEN.1.1	Diad gapoy gapo nen pinalsa na Dios iray katawenan tan say dalin,
GEN.1.18	manoley no agew tan labi, tan mangibiig na liwawa ed bilonget. Say Dios anengneng to a maung so agawa. 
GEN.1.19	Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumapat ya agew.
GEN.1.20	Insan ingganggan na Dios, “Sikan danum, mamawala ka na amayamay a klasiy mabilay a bengatla, tan sikan liwang, mamawala ka na amayamay a klasiy manok.” 
GEN.1.21	Onya so impamalsa na Dios ed saray ankakabaleg a dragon ed dayat, amin a klasiy pinalsa a manaayam ed danum, tan amin a klasiy manok. Say Dios anengneng to a maung so agawa. 
GEN.1.22	Binindisionan to ran amin a kuantod sikara, “Sikayo ran pinalsan manaayam ed danum, mamparakel kayo tan pano yoy dayat, tan sikayo ran manok, mamparakel kayo.” 
GEN.1.23	Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumaliman agew.
GEN.1.24	Insan ingganggan na Dios, “Sika a dalin, mamawala ka na amin a klasiy mabilay ya ayep, saray amo tan saray atap, saray baleg tan saray melag”—et agawa. 
GEN.1.25	Onya so impamalsa na Dios ed sarayan amin ya ayayep. Say Dios anengneng to a maung so agawa.
GEN.1.26	Insan inkuan na Dios, “Natan mamalsa tayoy too; gawaen tayo ran kaparparay indengan tayo tan kaolibay tayo. Sikaray manoley ed saray sira, saray manok, tan amin ya ayayep, saray amo tan saray atap,
GEN.1.27	Onya so impamalsa na Dios ed too; pinalsa to ra a kaparay indengan to. Pinalsa toy laki tan say bii, 
GEN.1.28	binindisionan to ra, tan inkuantod sikara, “Mamparakel kayoy anak, makmakan yoy intiron mundo, tan oleyan yo. Oleyan yo ray sira, saray manok, tan amin iray ayayep. 
GEN.1.29	Inter kon tagano yo iray amin a tanaman a mangiter na ilik tan amin a kiew a mambungay prutas a nambokel; 
GEN.1.30	balet inter kod saray ayayep tan saray amin a manok iray dika tan tanaman a tagano ra”—et agawa. 
GEN.1.31	Ninengneng na Dios iray pinalsa to, et maung a tuloy iran amin. Linmabas so labi tan sinmabiy kabwasan—sikato ya so kumanem ya agew.
GEN.2.1	Asumpal sirin ya apalsa so tawen tan dalin tan amin a logan da. 
GEN.2.2	Diad loob na anem agew asumpal na Dios a pinalsa ira yan amin, insan diad kumapiton agew nampainawa ed amin a kimey to. 
GEN.2.3	Binindisionan na Dios yan kumapiton agew tan imbiig ton sakey a masanton agew, ta diad sayan agew asumpal toy impamalsa tod ganagana
GEN.2.4	Onya so istoria na inkapalsa na sansinakuban.
GEN.2.4	Nen kayari na 
GEN.2.5	anggapo ni ray tanaman ed dalin odino bokel a tinmubo, lapud ag to ni pinaoran, tan anggapoy toon ondalus ed dalin. 
GEN.2.6	Balet pinmaway so danum ed saray sobul tan aparanuman so dalin.
GEN.2.7	Insan say 
GEN.2.8	Insan say 
GEN.2.9	Pinatubo to rad may amin a klasiy mararakep a kiew tan pinabunga to ra na masasamit a prutas. Diad pegley na tanamanan so kawalaan na kiew a mangiiter na bilay, tan say kiew a mangiiter na pakaamta ed maung tan maoges.
GEN.2.10	Walay ilog ya onaagos ed Eden tan sasalugen to may tanamanan; diad paway na Eden nansanga na apatiran ilog. 
GEN.2.11	Pison so ngaran na onaan ya ilog; onaagos ed kaliber-liber na bansa na Havila. (
GEN.2.12	Dia naalmoy puron balituk, tan pati nidoma-doman pabalingit tan saray ankablin batoy alahas.) 
GEN.2.13	Gihon so ngaran na kumadwan ilog; onaagos ed kaliber-liber na bansa na Cus.
GEN.2.14	Tigris so ngaran na kumatlon ilog; onaagos ed bandad bokig na Asiria, tan Eufrates so ngaran na kumapat ya ilog.
GEN.2.15	Insan say 
GEN.2.16	Ingganggan tod sikato, “Nayarian mon kaney bunga na antokaman a kiew ed tanamanan, 
GEN.2.17	balet ag ka mamangan na bunga na samay kiew a mangiiter na pakaamta ed maung tan maoges. Ag nepeg a kanen so bunga na saman a kiew; ta no kanen mo, ompatey ka diad agew a pangan mo.”
GEN.2.18	Insan inkuan na 
GEN.2.19	Kanyan nanmoli na dalin tan sayan minoli to ginawa ton ayayep tan manomanok. Insan to ra inyakar ed samay too, ta nengnengen to no antoy pangingaran tod sikara. No antoy impanawag tod balang sakey, sikatoy ngaran to. 
GEN.2.20	Samay too sirin initdan toy kangaranan iray amin a manok tan ayayep; balet anggapod saraya so manepeg a kaiba to tan katulongan to.
GEN.2.21	Insan say 
GEN.2.22	Ginawa ton bii imay taglang, insan to inyakar ed samay laki.
GEN.2.23	Inkuanto may laki,
GEN.2.23	“A, salamat, sikato yan siansiay kaparak.
GEN.2.23	Pokel ya inalad saray pokel ko, tan laman ya inalad laman ko.
GEN.2.23	‘Bii’ so ngaran to, ta inala ed laki.”
GEN.2.24	Sikato ya sirin so makasengeg no akin et taynan na laki so ama to tan say ina to tan mikasakey ed asawa to, et magmaliw iran saksakey a laman.
GEN.2.25	Labus-lakseb imay laki tan samay asawa to, balet ag da ya imbaing.
GEN.3.1	Say oleg so sankasiliban ed saray amin ya ayayep a pinalsay 
GEN.3.2	Inmebat imay bii, “Nayarian min kanen so bunga na dinanman a kiew ed tanamanan, 
GEN.3.3	likud ed bunga to may kiew a walad pegley to. Imbagay Dios ed sikami ya ag mi kanen odino diwiten so bunga to man a kiew; no kanen mi o diwiten mi, ompatey kami.”
GEN.3.4	Inkuanto may oleg, “Aliwan tua tan; ag kayo ompatey. 
GEN.3.5	Imbagay Dios itan ta amta to a no kanen yo, magmaliw kayon singa Dios
GEN.3.6	Anengneng na samay bii a marakerakep imay kiew tan masamsamit a kanen so bunga to, tan sakey a pampilpilalekan a pakagamuray kakabatan. Kanyan amorbor na bunga, insan to kinan. Initdan toy asawa to, tan kinan to met. 
GEN.3.7	Kapangan da, naitdan iray pakatalus tan naamtaan da a labus-lakseb ira; kanyan nandadait iray bolung na igos, insan da intapi-tapi.
GEN.3.8	Nen ngarngarem la arengel da so tanul na panaakar na 
GEN.3.9	Balet tinawag na 
GEN.3.10	Inmebat imay laki, “Arengel ta kad tanamanan; antakot ak ta labus-lakseb ak, kanyan inamutan ta ka.”
GEN.3.11	Tinepet na Dios, “Siopay angibagad sikan labus-lakseb ka? Kinan mo sirin imay bunga ya imbagak ed sikan ag mo kanen?”
GEN.3.12	Inmebat imay laki, “Samay biin inter mon kaibak et inter tod siak imay bunga, insan ko kinan.”
GEN.3.13	Tinepet na 
GEN.3.13	Inmebat imay bii, “Pinalikdo ak na samay oleg, et angan ak na samay bungay kiew.”
GEN.3.14	Insan inkuan na 
GEN.3.15	Pambosulan ta ka tan samay bii; mambosulan lawas so anak mo tan say anak to. Temeken na anak to so olom tan ketketen mo so mokur da.”
GEN.3.16	Inkuanto natan ed samay bii, “Aruman koy gunigon mo no manlokun ka tan nairapan ka ed pananak mo. Anggaman ontan, pampilalekan mo nin siansiay asawam tan sikatoy manoley ed sika.”
GEN.3.17	Inkuantod samay laki, “Dinengel moy asawam tan kinan moy prutas ya imbagak ed sikan ag mo kanen. Lapud sayan ginawam, nisambay dalin. Nakaukolan a mansagput kay baleg legan mon mambilay, pian mangiter so dalin na malaem a taganom. 
GEN.3.18	Patuboen to ray dika-rika tan sabisabit, tan mangan ka ray tantanaman a balang. 
GEN.3.19	Nakaukolan moy manlinget tan mansagput na baleg, pian makaiter so dalin na antokaman a napambilay ya anggad ipatey tan ipawil mod dalin a nanlapwan mo. Nanlapu kad dalin, tan magmaliw ka lamet a dalin.”
GEN.3.20	Eva
GEN.3.21	Insan say 
GEN.3.22	Insan inkuan na 
GEN.3.23	Kanyan say 
GEN.3.24	Diad bandad bokig na tanamanan na Eden angipasen na saray kirubin
GEN.4.1	Inakdulan nen Adan si Eva ya asawa to. Nanlokun si Eva tan nananak na sakey a laki. “Diad tulong na 
GEN.4.2	Et nananak lamet na sakey a laki a si Abel. Nagmaliw a pumapastol si Abel, balet sakey a dumaralus si Cain. 
GEN.4.3	Kalabas na pigaran taon, angyakar si Cain na pigaran naani to tan imbagat tod 
GEN.4.4	Insan angyakar met si Abel na kordiron besag na sakey ed saray karniro to, pinatas to, tan imbagat to ray sankaabigan a parti. Akaliket so Dios ed kinen Abel tan samay bagat to, 
GEN.4.5	balet ag akaliket ed kinen Cain tan samay bagat to. Mapalaloy pasnuk nen Cain tan binmilonget so lupa to. 
GEN.4.6	Inkuan na 
GEN.4.7	No maung so ginawam, manimimis ka komun;
GEN.4.8	Insan inkuanen Cain ed kinen agi ton Abel, “Mamasyar ta ed kaalogan.”
GEN.4.9	Tinepet na 
GEN.4.9	Inmebat, “Ag ko amta. Siak tay managasikasod agik?”
GEN.4.10	Insan inkuan na 
GEN.4.11	Nisamba ka; ag mo la nadalusan so dalin a singa inlokas toy sangi to nen inesep toy dala na agim a pinatey mo. 
GEN.4.12	No ondalus ka, anggapoy naanim; magmaliw kan anggapoy abung tan akar-akar ka diad tapew na dalin.”
GEN.4.13	Inkuanen Cain ed 
GEN.4.14	Patataynanen mo ak ed dalin tan diad arap mo. Magmaliw ak ya anggapoy abung tan akar-akar diad tapew na dalin, tan pateyen ak na siopaman a makalmod siak.”
GEN.4.15	Balet inmebat so 
GEN.4.16	Tinmaynan si Cain ed arap na 
GEN.4.17	Inakdulan nen Cain so asawa to, et nanlokun tan inngaran toy Enoc. Insan amaalagey na siudad si Cain tan inngaran tod ngaran na sayan anak to. 
GEN.4.18	Walay lakin anak nen Enoc a manngaray Irad ya ama nen Mehujael, say ama nen Metusael ya ama nen Lamec. 
GEN.4.19	Duaray inasawa nen Lamec, si Ada tan si Zilla. 
GEN.4.20	Inyanak nen Ada si Jabal a sengeg na boleg da ray totoon walaan na ayayep tan diad saray tulda so panaayaman da. 
GEN.4.21	Say agi to si Jubal a sengeg na boleg da ray managtogtog na arpa tan plauta. 
GEN.4.22	Inyanak nen Zilla si Tubal-cain a nanggawa na amin a klasiy kagawaan
GEN.4.23	Inkuanen Lamec ed saramay asawa to,
GEN.4.23	“Ada tan Zilla, dengel yo ak:
GEN.4.23	Pinatey koy sakey a lakin tubon-balo,
GEN.4.23	ta kinabil to ak a sinugatan.
GEN.4.24	No pitoran totoo so pateyen a
GEN.4.24	pinagkabales na impamatey ed kinen Cain,
GEN.4.24	Pitomplo tan pito a totoo so pateyen a
GEN.4.24	pinagkabales na pamatey ed siak.”
GEN.4.25	Inakdulan nen Adan so asawa to, et nananak na sakey a laki ya inngaran to na Set.
GEN.4.26	Walay anak nen Set ya inngaran to na Enos. Diad sayan panaon, inggapo na katoowan so ontawag ed masanton ngaran a Yahweh.
GEN.5.1	Sikato yay listaan na saray kabyangay boleg nen Adan. (Nen pinalsay Dios so too, ginawa ton kaolibay to. 
GEN.5.2	Pinalsa to ran laki tan bii, binindisionan to ra, tan tinawag to ra na “Katoowan.”) 
GEN.5.3	Nen sanlasus tan talomploy taon nen Adan, walay anak ton laki a kaolibay to, tan inngaran to na Set. 
GEN.5.4	Kasumpal to ya, nambilay niy Adan na walon lasus taon. Wala ni ray arum ya anak ton lalaki tan bibii, 
GEN.5.5	tan inatey nen mantaoy siam a lasus tan talomplo.
GEN.5.6	Nen sanlasus tan limay taon nen Set, walay anak ton laki a si Enos, 
GEN.5.7	tan nambilay ni na walon lasus tan pitoy taon. Wala ni ray arum ya anak ton lalaki tan bibii, 
GEN.5.8	tan inatey nen mantaoy siam a lasus tan labindua.
GEN.5.9	Nen siamaploy taon nen Enos, walay anak ton laki a si Kenan, 
GEN.5.10	tan nambilay ni na walon lasus tan labin limay taon. Wala ni ray arum ya anak ton lalaki tan bibii, 
GEN.5.11	tan inatey nen mantaoy siam a lasus tan lima.
GEN.5.12	Nen pitomploy taon nen Kenan, walay anak ton laki a si Mahalalel, 
GEN.5.13	tan nambilay ni na walon lasus tan apataploy taon. Wala ni ray arum ya anak ton lalaki tan bibii, 
GEN.5.14	tan inatey nen mantaoy siam a lasus tan samplora.
GEN.5.15	Nen anemaplo tan limay taon nen Mahalalel, walay anak ton laki a si Jared, 
GEN.5.16	tan nambilay ni na walon lasus tan talomploy taon. Wala ni ray arum ya anak ton lalaki tan bibii, 
GEN.5.17	tan inatey nen mantaoy walon lasus tan siamaplo tan lima.
GEN.5.18	Nen sanlasus tan anemaplo tan duay taon nen Jared, walay anak ton laki a si Enoc, 
GEN.5.19	tan nambilay ni na walon lasus. Wala ni ray arum ya anak ton lalaki tan bibii, 
GEN.5.20	tan inatey nen mantaoy siam a lasus tan anemaplo tan dua.
GEN.5.21	Nen anemaplo tan limay taon nen Enoc, walay anak ton laki a si Matusalem. 
GEN.5.22	Kasumpal to ya, nambilay si Enoc na talon lasus taon a kaibiba toy Dios, tan wala ni ray arum ya anak ton lalaki tan bibii. 
GEN.5.23	Nambilay si Enoc na talon lasus tan anemaplo tan limay taon. 
GEN.5.24	Nambilay a kaiba toy Dios, insan naandipat, ta inalay Dios.
GEN.5.25	Nen sanlasus tan walomplo tan pitoy taon nen Matusalem, walay anak ton laki a si Lamec, 
GEN.5.26	tan nambilay ni na piton lasus tan walomplo tan duay taon. Wala ni ray arum ya anak ton lalaki tan bibii, 
GEN.5.27	tan inatey nen mantaoy siam a lasus tan anemaplo tan siam.
GEN.5.28	Nen sanlasus tan walomplo tan duay taon nen Lamec, walay anak ton laki 
GEN.5.29	tan inkuanto, “Itdan to itayo na sayan ogaw na inawa ed amin da ray mairap a kimey tayo ed sayan dalin ya insamba na 
GEN.5.30	Nambilay ni si Lamec na liman lasus tan siamaplo tan limay taon. Wala ni ray arum ya anak ton lalaki tan bibii, 
GEN.5.31	tan inatey nen mantaoy piton lasus tan pitomplo tan pito.
GEN.5.32	Kayariy liman lasus taon nen Noe, nanilalak na taloran lalaki a di Sem, Ham, tan Jafet.
GEN.6.1	Nen ondarakel la ray katoowan tan akayatan da lay intiron mundo, dakel met la ray nianak a bibii. 
GEN.6.2	Saray anak na Dios
GEN.6.3	Insan inkuan na 
GEN.6.4	Diad saraman ya agew, tan anggan diad saray ontombuk, wala ray alan a manaayam ed dalin ya anak ira na saramay magangganan bibii tan saramay anak na Dios. Sikaray matalonggaring a bayani tan bantug a lalaki nen saman a panaon.
GEN.6.5	Nen anengneng na 
GEN.6.6	naermenan ed impamalsa tod totoo tan diad impangipasen tod sikara ed tapew na dalin. Diad ontan lan pagbabawi to, 
GEN.6.7	inkuanto, “Paandipaten kod tapew na dalin ira yan totoo a pinalsak, saray ayayep, tan saray manok, ta maermen ak ed impamalsak ed sikara.” 
GEN.6.8	Balet pakaliliketan na 
GEN.6.9+GEN.6.10	Saya so impanbilay nen Noe. Wala ray taloran anak ton lalaki a di Sem, Ham, tan Jafet. Si Noe labat so maung a too nen panaon to. Anggapoy pakabalawan ed sikato, ta kaibiba toy Dios. 
GEN.6.11	Balet maoges ya amin iray arum a totoo, tan kinmayat so kaogsan ed amin a pasen. 
GEN.6.12	Say Dios ninmengneng ed mundo tan anengneng ton maoges, lapud maoges so pambibilay na amin a katoowan.
GEN.6.13	Inkuan na Dios ed kinen Noe, “Tinibokel ko lad kanunotan ko a panganggaen koy bilay na amin a katoowan. Sigput ko ran deralen, ta napnoy mundo na maoges a gawgawa ra. 
GEN.6.14	Manggawa kay biong para sika; ikanam so maung a klasiy kiew, igawaan mo na saray kuarto, tan balkut mo na alkitran ed loob tan diad paway to. 
GEN.6.15	Gawam a sanlasus tan limamplon mitro so karokey to, duamplo tan liman mitro so kaawang to, tan labinliman mitro so kaatagey to. 
GEN.6.16	Igawaan moy atep,
GEN.6.17	Delapen koy intiron dalin, pian naderal so antokaman a mabilay. Ompatey ya amin iray walad tapew na dalin, 
GEN.6.18	balet misipanan ak ed sika. Loob kayod samay biong, sika tan say asawam, saray anak mo tan saray kaasawaan da. 
GEN.6.19+GEN.6.20	Pian mambilay ira, mangawit kad biong na sankaparis ed amin a klasiy ayayep, tan sankaparis ed amin a klasiy manok. 
GEN.6.21	Mangawit ka met na amin a klasiy kakanen a para sikayo tan sikara.” 
GEN.6.22	Sinumpal nen Noe ya amin iray ingganggan na Dios.
GEN.7.1	Inkuan na 
GEN.7.2	Mangawit kay pitoran kaparis ed amin a klasiy ayep a malinis, balet sankaparis labat ed amin a klasiy ayep a marotak. 
GEN.7.3	Mangawit ka met na pitoran kaparis na balang klasiy manok. Gawam ya, pian amin a klasiy ayep tan manok et nabilay ira tan walay napanmonatan ed intiron tapew na dalin. 
GEN.7.4	Pitoy agew ni, manlapud natan, paoranen ko ed loob na apataploy agew tan apataploy labi, pian naderal ya amin iray mabilay a pinalsak ed tapew na dalin.” 
GEN.7.5	Sinumpal nen Noe ya amin iray ingganggan na 
GEN.7.6	Anem a lasus so taon nen Noe nen adelap so mundo. 
GEN.7.7	Sikato tan say asawa to, saray anak ton lalaki tan saray kaasawaan da et linmoob irad biong, pian ag ira ompatey ed delap. 
GEN.7.8+GEN.7.9	Onung na ingganggan na Dios ed Noe, akilad kinen Noe diad dalem na biong iray sankaparis ed amin a klasiy ayep tan manok, malinis man o marotak onung ed ganggan. 
GEN.7.10	Kalabas na pitoy agew, sinmabiy delap.
GEN.7.11	Nen mantaon si Noe na anem a lasus taon, diad kumalabimpiton agew na kumadwan bulan, sinmasangi ray dalin tan pinmapaway iray ankakabaleg a sobul ed dalem na dalin tan linmokas ya amin iray puirtay tawen, 
GEN.7.12	tan inmoran ed dalin na apataploy agew tan apataploy labi. 
GEN.7.13	Diad saman ya agew, si Noe tan say asawa to et linmoob irad biong a kaiba da ray anak dan lalaki a di Sem, Ham, Jafet, tan saray kaasawaan da. 
GEN.7.14	Kaiba ra met ya amin iray klasiy ayep, atap man o amo, baleg man o melag, tan amin a klasiy manok. 
GEN.7.15	Onung na ingganggan na Dios, sankaparis ed amin a klasiy mabilay a pinalsa 
GEN.7.16	iray kaiba nen Noe a linmoob ed biong. Insan kinaputan na 
GEN.7.17	Ag tinmondan inmaralem so delap ed loob na apataploy agew, ya anggad linmetaw imay biong. 
GEN.7.18	Inmaralem niy danum, tan manletletaw imay biong. 
GEN.7.19	Inmaralem lan inmaralem tan asalinap ton amin iray sankaatageyan a palandey; 
GEN.7.20	siansian inmaralem ya anggad pitoran mitroy kaatagey tod toktok na saray palandey. 
GEN.7.21	Inatey ya amin iray pinalsan mabilay ed tapew na dalin—amin a manok, amin ya ayep, tan amin a too. 
GEN.7.22	Inatey ira yan amin sirin. 
GEN.7.23	Dineral na 
GEN.7.24	Ag inmabebay danum ya anggad kalabas na sanlasus tan limamplon agew.
GEN.8.1	Ag alingwanan na Dios si Noe tan amin ya ayep a kaiba tod dalem na biong; pinasiplug na Dios so dagem, et ginmapon inmabebay danum. 
GEN.8.2	Kinmopit ira may sinmasangin dalin, et tinmondan pinmaway iray sobul ed dalem na dalin tan kinmaput iray puirtay tawen. Tinmonday oran, 
GEN.8.3	tan diad loob na sanlasus tan limamploy agew nankalkalnan inmabebay danum. 
GEN.8.4	Diad kumalabimpiton agew na kumapiton bulan, sinmarsar ed palandey na Ararat imay biong. 
GEN.8.5	Tuloy-tuloy ya inmabebay danum, tan diad onaan ya agew na kumaplon bulan pinmaway iray toktok na kapalandeyan.
GEN.8.6	Kasumpal na apataplon agew inlokas nen Noe so sakey a bintana a ginawa to, 
GEN.8.7	ta imbolus toy sakey a wawak. Ag pinmawil, no ag ta nantikyab lan nantikyab ya anggad amaga lay dalin. 
GEN.8.8	Legan to ya, imbolus toy sakey a malapati, ta nengnengen to no inmabeba lay danum. 
GEN.8.9	Balet lapud wala niy danum ed intiron dalin, anggapoy natoonan to may malapati. Kanyan pinmawil ed biong, siningkat nen Noe tan inloob to lamet. 
GEN.8.10	Nanalagar na pitoy agew, insan pinatikyab to lamet imay malapati. 
GEN.8.11	Pinmawil na labi a sankatangal toy sakey a balon bolung na oliba. Naamtaan ed satan nen Noe ya ataptapew lay danum. 
GEN.8.12	Nanalagar ni na pitoy agew, insan to pinatikyab lamet imay malapati; natan ag la pinmawil.
GEN.8.13	Nen mantaon si Noe na anem a lasus tan sakey, diad ononan agew na onaan a bulan, anggapo lay delap. Inekal toy tarung na biong, ninengneng toy kaliber-liber, tan anengneng ton namamagaan lay dalin. 
GEN.8.14	Diad kumaduamplo tan pitoy agew na kumadwan bulan, amaga lay dalin.
GEN.8.15	Inkuan na Dios ed kinen Noe, 
GEN.8.16	“Paway ka lad biong, pati say asawam, saray anak mon lalaki, tan saray kaasawaan da. 
GEN.8.17	Papaway mo met la ra may manok tan saramay ayayep, ta mamparakel ira tan onkayat irad intiron mundo.” 
GEN.8.18	Pinmaway la sirin si Noe, pati say asawa to, saray anak ton lalaki, tan saray kaasawaan da. 
GEN.8.19	Pinmaway met ira may ayayep tan saramay manok a nanoolup so balang klasi.
GEN.8.20	Nanggaway Noe na altar a para 
GEN.8.21	Akapaliket ed 
GEN.8.22	Anggad wala niy mundo, walan walay panaon na panagtanem tan panaon na panagani, walay panaon na ambetel tan say panaon na ampetang, say tiagew tan say nepnep, say agew tan say labi.”
GEN.9.1	Si Noe tan saray anak ton lalaki et binindisionan ira na Dios ya inkuanto, “Mamparakel kayoy anak, pian nakayatan day intiron mundo. 
GEN.9.2	Ontakot ed sikayo ray amin ya ayayep, manok, tan sira. Inter ko ra yan amin ed silong na pakayari yo. 
GEN.9.3	Nayarian yo ran kanen, tan nayarian yo met a pambilay iray tantanaman; iter kon tagano yo ra yan amin. 
GEN.9.4	Say ag nayarin kanen yo et say karni a nandala, ta walad dala so bilay. 
GEN.9.5	Nadusa so siopaman a mamatey na too. Dusaen ko na patey so anggan anton ayep a mamatey na too. 
GEN.9.6	Siopamay mamatey na too pateyen met na kapara ton too, ta apalsan kaolibay na Dios so too.
GEN.9.7	“Natan, nakaukolan a mamparakel kayoy anak, pian onkayat ed intiron mundo iray kabyangay boleg yo.”
GEN.9.8	Inkuan na Dios ed kinen Noe tan saray anak ton lalaki, 
GEN.9.9	“Misipanan ak ed sikayo tan saray kabyangay boleg yo, 
GEN.9.10	tan diad amin a mabilay a pinalsa—saray manok, saray ayayep—amin da ray kaiba yon pinmaway ed biong. 
GEN.9.11	Diad sarayan balikas misipanan ak ed sikayo: Isipan ko ya ag lan balut deralen na delap iray amin a mabilay a pinalsa. Ag lan balut deralen na delap so dalin. 
GEN.9.12	Niay pakanengnengan na sayan andi-anggaan a pisipanan kod sikayo tan amin da ray mabilay a pinalsa: 
GEN.9.13	paletawen kod lorem so bunlalakaw. Sikato yay tanda na impisipanan kod mundo. 
GEN.9.14	Kapag sakuban koy tawen na lorem tan onletaw so bunlalakaw, 
GEN.9.15	nanunotan koy sipan kod sikayo tan diad amin ya ayayep ya ag lan balut deralen na delap iray amin a mabilay. 
GEN.9.16	Kapag onletaw so bunlalakaw ed lorem, nengnengen ko tan nanunotan koy impisipanan ko ed amin a mabilay ed tapew na dalin. 
GEN.9.17	Sikato yay tanda na impisipanan ko.”
GEN.9.18	Sikara yay anak nen Noe a pinmaway irad biong: Si Sem, si Ham ya ama nen Canaan tan si Jafet. 
GEN.9.19	Sarayan taloran anak nen Noe et sikaray sengeg na amin a totoo ed tapew na dalin.
GEN.9.20	Sakey a dumaralus si Noe tan sikatoy onaan a nantanem na ubas. 
GEN.9.21	Aminsan ya agew inminom na alak si Noe, et abuek; inekal toy amin a kawes tod laman to, insan akaogip ed dalem na tulda to. 
GEN.9.22	Nen anengneng nen Ham ya ama nen Canaan a labus-lakseb si ama to, pinmaway tan imbaga tod saray duaran agagi to. 
GEN.9.23	Angalay kolibemben si Sem tan si Jafet, inyan dan duad takeb da, insan ira nampasoner a linmoob ed tulda, ta ag da labay a nanengneng so ama ran labus-lakseb. 
GEN.9.24	Nen amawmawan lay Noe, tan naamtaan toy ginawad sikato na kayogtanan ya anak ton laki, 
GEN.9.25	inkuanto,
GEN.9.25	“Nisamba komuy Canaan!
GEN.9.25	Magmaliw ya aripen na saray agagi to.
GEN.9.26	Nagalang komun so 
GEN.9.26	Magmaliw ya aripen nen Sem si Canaan.
GEN.9.27	Say Dios parakelen to komuy Jafet!
GEN.9.27	Saray kabyangay boleg to miayam ira komun ed totoo nen Sem!
GEN.9.27	Magmaliw ya aripen nen Jafet si Canaan.”
GEN.9.28	Kasumpal na delap, nambilay niy Noe na talon lasus tan limamploy taon, 
GEN.9.29	tan inatey nen mantaoy siam a lasus tan limamplo.
GEN.10.1	Kasumpal na delap, naniilalak ira di Sem, Ham, tan Jafet ya anak nen Noe. Sikara yay kabyangay boleg da.
GEN.10.2	Saray lalakin anak nen Jafet sikara di Gomer, Magog, Madai, Javan, Tubal, Mesec, tan Tiras. 
GEN.10.3	Saray lalakin anak nen Gomer et di Askenaz, Rifat, tan Togarma. 
GEN.10.4	Saray lalakin anak nen Javan sikara di Elisa, Espanya, Chipre, tan Dodanim. 
GEN.10.5	Sikara yay sengeg na saray totoon manaayam ed saray gilig na dayat tan diad saray isla. Anak tan apo nen Jafet ira yan amin; manaayam so balang sakey ed dilin tribu tan bansa to, tan walay dilin salita na balang tribu.
GEN.10.6	Saray lalakin anak nen Ham et di Cus, Egipto, Libia, tan Canaan. 
GEN.10.7	Saray lalakin anak nen Cus sikara di Seba, Havila, Sabta, Raama, tan Sabteca. Saray lalakin anak nen Raama et di Saba tan Dedan. 
GEN.10.8	Si Cus walay anak ton laki a manngaray Nimrod, a sikatoy onaan a makapanyarin manoley a nianak diad mundo. 
GEN.10.9	Lapud tulong na 
GEN.10.10	Diad gapo sakop na nanarian to so Babilonia, Erec, tan Acad, a wala ran amin ed dalin na Babilonia. 
GEN.10.11	Manlapud saman a dalin, linmad Asiria, tan impaalagey to ray siudad na Ninive, Rohobotir, Cale, 
GEN.10.12	tan Resen a walad nanleetan na Ninive tan say matalonggaring a siudad na Cale.
