GEN.1.1	Indeeŋe ta matapopoten kat na, Anutu iur saamba mi toono mi koroŋ ta boozomen.
GEN.1.31	Anutu ire koroŋ boozomen ta iur zin na mi iso: “Wai! Iŋgi ambai komboono.” Mbeŋ imar ila, mi mankwoono mini na, aigule iwe lamata mi ta.
GEN.2.1	Ina zaala ta saamba, toono, mi koroŋ ta boozomen tipet.
GEN.2.2	Indeeŋe aigule iwe lamata mi ru pa na, Anutu keteene su pa uraata kini. Pa uraata kini ta boozomen, ta ni iposop ma imap kek.
GEN.2.3	Mi iur kampeŋana kini pa aigule tana, mi ipakur ma iwe potomŋana. Paso, indeeŋe aigule tana, ni keteene su pa uraata kini tau iur saamba mi toono na. 
GEN.2.4	Ina mbol ta iso pa zaala ta saamba mi toono tipet.
GEN.2.5	Indeeŋe Merere Anutu iur saamba mi toono matapopoten na, kosa sa indom ma ise pa toono zen. Ke som, mbutmbuutu som. Paso, ni ikam yaŋ ma isu pa toono zen, mi tomtom sa imbot be ikam uraata pa toono zen. 
GEN.2.6	Tamen yok izze pa meleebe, mi ipembesmbeeze toono. 
GEN.2.7	Mi Merere Anutu ikam toono, mi imbuuzu ma iwe tomtom, to iwi bubuŋana mata yaryaaraŋana ilela pa kuzuunu, mi tomtom tana imaŋga ma mataana iyaryaara.
GEN.2.8	Lele ta, ta imbotmbot la ki zoŋ uunu, zaana Eden. Lele tana Merere Anutu iur ma iwe mokleene. To iur tomtom ta itunu iuri na ma ila imbot pa. 
GEN.2.9	Mi Merere Anutu ikam ma ke ndabokbokŋan matakiŋa tindomdom pa mokleene tana. Ke tana ambai be tere mibe takan. Mi mokleene lukutuunu na, ke ru timendernder. Ta na, ke ki mbotŋana mata yaryaaraŋana. Mi toro na, irao be ikam ma tikilaala ŋgar sananŋana mi ŋgar ambaiŋana.
GEN.2.10	Mi yok ta, ta irereere ma ipet pa mokleene tana mi ipembesmbeeze toono. Yok tana ipet mat pa mokleene, to ibogboogo ma iwe namannaman paŋ. 
GEN.2.11+GEN.2.12	Namaana ta, zaana Pison. Ina ireere ma ila pa toono Abila. Toono Abila tina na, gol ambaiŋana mi pat ndabokbokŋan pakan timbotmbot pa. 
GEN.2.13	Mi yok namaana toro ta iwe ru pa, zaana Gion. Ina ireere ma ila pa toono Kus. 
GEN.2.14	Mi namaana toro ta iwe tel pa, zaana Tigris. Ina ireere ma ila pa lele pakaana ki Asiria ta zoŋ ise pa i. Mi namaana ta iwe paŋ pa na, zaana Euprates.
GEN.2.15	Tana Merere Anutu ikam tomtom ta imbuuzi na, mi ila iuri su mokleene Eden, be ikam uraata mi mataana pa. 
GEN.2.16+GEN.2.17	Mi iur sua pini ta kembei: “Ke ŋonon boozomen ta timbotmbot pa mokleene ti, ina nu irao kan. Mi ke ta irao ikamu ma kilaala ŋgar sananŋana mi ŋgar ambaiŋana na, ke tana, nu kan pepe. Pa aigule ta sombe kan, na kola meete.”
GEN.2.18	To Merere Anutu ikam ŋgar ta kembei: “Tomtom itutamenŋana ta kembei na, ambai som. Kenako aŋur le gaabaŋana sa ta irao be iuuli.” 
GEN.2.19	Tana Merere Anutu ikam toono, mi imbuuzu ma iwe koroŋ ta tiwwa pa toono na, mi man ta tirie pa maŋaanaŋana na, mi ikokor zin ma tila ki tomtom, bekena ire: Ko tomtom ipaata zin be parei. Mi tomtom ipaata koroŋ tana zanzan ma timap. 
GEN.2.20	Ta kembena ta tomtom iur zan ma ikot zin mbili kar kan, mi koroŋ su kan, mi man ma timap. Mi ni itunu na, le gaabaŋana sa ta irao be iuuli na som.
GEN.2.21	To Merere Anutu ipametmeete tomtom ma ikeene ma izemke i, mi ipas ka siel ta ma ipet, mi ipasirimkaala pa mazaana. 
GEN.2.22	To ikam ka siel tana, mi iurpe ma iwe moori, mi ikam moori tina mi iuri ma ila ki tomooto.
GEN.2.23	Beso tomooto ire i na iso:
GEN.2.23	“Aa buri.
GEN.2.23	Tiroono kembei ta nio tiroŋ,
GEN.2.23	mi mazaana kembei ta nio mozoŋ.
GEN.2.23	Iŋgi Adam ri.
GEN.2.23	Tana nio ko aŋpaati be waeŋ.
GEN.2.23	Paso, ni iyooto pa ituŋ.”
GEN.2.24	Uunu tina ta tomooto sa, sombe iwoolo, na bela izem tamaana mi naana, mi ziru kusiini tiparlup zin ma tiwe tamen.
GEN.2.25	Indeeŋe mazwaana tana na, tomooto ziru waene len mburu sa be ipakaala zin som. Tamen kan miaŋ som.
GEN.3.1	Mooto, ni tomini imbotmbot mokleene. Mi ni le ŋgar biibi kat pa pakaamŋana ma ilip pa koroŋ boozomen ta Merere Anutu iur zin na. Aigule ta na, ni imaŋga mi iwi moori. Iso: “Parei, Anutu iŋgalsek pa niomru be kakan ke ŋonoono sa ta imbot mokleene tiŋgi pepe? Ina ŋonoono?”
GEN.3.2	Mi moori ipekel sua kini ma iso: “Soom, ke ta boozomen ti, niamru irao amkan ŋonon makiŋ. 
GEN.3.3	Tamen ke ta imender la mokleene lukutuunu na, Anutu iso yam pa ta kembei: ‘Kakan pepe, keteege pepe. Kokena kemeete.’”
GEN.3.4+GEN.3.5	To mooto iso pa moori mini: “Soom, niomru ko irao kemeete na som. Anutu, ni iute: Sombe kakan, inako motoyom ikam pak, mi ŋgar tiom ipet ma kembei ta ni itunu, mi kikilaala ŋgar ambaiŋana mi ŋgar sananŋana.”
GEN.3.6	Moori ire ke tana ŋonoono na, kembei ambai pa kanŋana. Tabe mata berber pa. Mi isombe ke tana ŋonoono ko ikam le ŋgar. Tana ikam mi ikan. Mi ikam waene ta ziru timbotmbot na kana ma ikan tomini.
GEN.3.7	Ziru tikan makiŋ, to matan ikam pak mi tikilaala zitun kembei timbot sorok. Tabe tila ma tikam ke runrun mi timbat, bekena tipakaala zin pa.
GEN.3.8	Rorou, ma lele iluumu, to Merere Anutu isu mi iwwa pa mokleene. Mi ziru tikanamaali, to tiko ma tila tike lela ke lene. 
GEN.3.9	To Merere Anutu iboobo tomooto ma iso: “Adam, nu mbot swoi?”
GEN.3.10	Mi ni ipekel sua kini ma iso: “Nu wa pa mokleene mi nio aŋkanamaalu, tabe aŋmoto mi aŋmar aŋke i. Pa iŋgi aŋbot sorok.”
GEN.3.11	To Anutu iwi i ma iso: “Asiŋ iso u ta kembena? Nu tana, ke tau aŋur ŋgalseki pu be kan pepe, ta ko kan sa kek, na?”
GEN.3.12	Tomooto iso: “Nio som. Moori ta nu uri pio ta ikam ma aŋkan.” 
GEN.3.13	Tona Merere Anutu iso la pa moori: “Wai, nu kam mbulu taiŋgi paso?” Mi moori iso: “Nio som. Mooto ipakaam yo, tabe aŋkan.”
GEN.3.14	To Merere Anutu iso la pa mooto ta kembei:
GEN.3.14	“Nu kam mbulu sananŋana kat,
GEN.3.14	tana kadoono tabe aŋkam pu i ko biibi ma ilip.
GEN.3.14	Mbotŋana ku ko ipa ndel pa zin mbili ma koroŋ su kan ta boozomen.
GEN.3.14	Ketem ruunu ko iwe kumbum keteene, mi pa pa.
GEN.3.14	Mi kom kini na, musmuuzu ki toono.
GEN.3.14	Mi ko mbotmbot ta kembena ma irao swom.
GEN.3.15	Mi nio ko aŋkam ma niomru moori kaparwe koyom koi.
GEN.3.15	Mi popoŋana ku mi popoŋana kini ko tiparwe kan koi tomini.
GEN.3.15	Popoŋana kini sa ko ipapaala utem,
GEN.3.15	mi nu ŋase pa kumbu dibiini.”
GEN.3.16	Mi moori na, Anutu iso pini ta kembei:
GEN.3.16	“Nu sombe kopom, nako pataŋana ikamu.
GEN.3.16	Mi sombe kam tomtom, na nio ko aŋkam ma re yoyouŋana biibi kat.
GEN.3.16	Tamen ŋgar ku ko iko pa waem na som.
GEN.3.16	Mi nu ko mbot la ni kopo mbarmaana mi ni imboro u.”
GEN.3.17	Mi Adam na, Anutu iso pini ta kembei:
GEN.3.17	“Nu leŋ la waem kalŋaana,
GEN.3.17	mi kan ke ŋonoono ta aŋur ŋgalseki pa na.
GEN.3.17	Uunu ku tana, ta ikam ma iŋgi be aŋpasaana toono i.
GEN.3.17	Mazwaana ta so nu mbotmbot su toono,
GEN.3.17	nako kam uraata ma biibi, to ndeeŋe kom kini.
GEN.3.18	Toono ko ipiyotyooto ro sananŋan mi worwooro matanmatanŋan pu.
GEN.3.18	Mi nu ko kan zeere ma kini ta izze pa toono tana.
GEN.3.19	Tana ko mbel uraata ma kom uze ipet, tona ndeeŋe kom kini.
GEN.3.19	Mi ko tekteegi ta kembena ma irao meete mi sula mini toono.
GEN.3.19	Pa nu tina, nio aŋbuuzu u pa toono.
GEN.3.19	Tana ko miili mini pa toono.
GEN.3.19	Pa nu sa toono na.”
GEN.3.20	Tomooto na, ni ipaata kusiini zaana be Eba. Paso, ni iwe tomtom ta boozomen nan. 
GEN.3.21	Mi Merere Anutu iurpe len mburu pa mbili kulin, mi ipakaala zin pa.
GEN.3.22	To Merere Anutu iso: “Wai! Iŋgi tomtom le ŋgar kembei ta iti. Pa iute ŋgar ambaiŋana mi ŋgar sananŋana kek. Kokena isemboron namaana pa ke ki mbotŋana mata yaryaaraŋana tomini ma ikan sorok, to imbotmbot ta kembei ma alok.”
GEN.3.23	Tana Merere Anutu iziiri zin pa mokleene Eden, bekena tila tikam uraata pa toono ta ni iur zin ma tipet pa na. 
GEN.3.24	Iziiri zin ma tipet, to iur aŋela mbolŋan ma timbot la mokleene Eden zilŋaana ta imbot la ki zoŋ uunu na, ramaki buza ta you ikanan la mi itortoori, bekena tipakaala zaala ta ila pa ke ki mbotŋana mata yaryaaraŋana.
GEN.4.1	Tona Adam ziru kusiini Eba tikeene. Mi Eba kopoono, to ipeebe pikin tomooto ta, zaana Kain. Pikin isu, mi Eba iso: “Merere iuulu yo, tana aŋkam pikin tomooto ti.”
GEN.4.2	Kaimer to Eba ikam pikin tomooto toro, zaana Abel. Ni ziru toono Kain timbot ma tiwe tomtom, to Abel imborro zin mbili mi Kain ikamam uraata pa mokleene.
GEN.4.3	Aigule ta na, Kain ikam kini pakan ma ila be ipatoron Merere pa. 
GEN.4.4	Mi Abel, ni ikam sipsip kini muŋgamuŋga ta ndekndekŋan, mi ipun zin ma ikam mazan mi mbuyen be ipatoron Merere pa. Mi Merere leleene pa Abel mi patoronŋana kini.
GEN.4.5	Tamen Kain mi patoronŋana kini na, Merere leleene pa som. Tabe Kain keteene malmal kat, mi mataana isukuundu.
GEN.4.6	Tana Merere iso pa Kain ma iso: “Parei ta nu ketem malmal mi motom isukuundu? 
GEN.4.7	Sombe kam kat mbulu, inako nio leleŋ pu mi irao nim ise mini. Nu tina, kozo re u. Pa sanaana izaŋzaaŋu su kataama kwoono. Tana gabiizi itum, mi koto ŋgar sananŋana tana.”
GEN.4.8	Tona Kain isu mi iso pa tiziini Abel. Iso: “A barau, mar na ituru tala tawwa lende ri.” Ziru tipa ma tilae ri, to Kain burup mi ipun tiziini Abel ma imeete.
GEN.4.9	Tona Merere iso pa Kain: “Ai, tizim Abel ila parei?” Ni ipekel kwoono ma iso: “Wa, nio aŋute i? Uraata tio be aŋborro tiziŋ?”
GEN.4.10	Tona Merere iso pini ta kembei: “Wai, nu kam mbulu sananŋana taiŋgi paso? Tizim siŋiini ta ireere su toono ta iboboobo se pio be aŋpokot.
GEN.4.11	Nu pun tizim ma siŋiini ireere, mi toono kwoono ikaaga mi iwin kek. Tana iŋgi aŋur lem kadoono ta kembei: Nu ko irao mbot toono tiŋgi mini na som. 
GEN.4.12	Mi sombe kam uraata pa toono mi paaza kom kini pa, nako ise som. Tana ko zirri u mi wwa pa toono. Mi ko lem kar sa be mbot pa na som.”
GEN.4.13	Kain ileŋ sua tana, to iso pa Merere ma isombe: “Kadoono ta ur pio na, biibi mete. Irao be aŋbaada na som. 
GEN.4.14	Pa iŋgi be nu ser yo pa toono tiŋgi ma aŋla leŋ kat pa nu motom i. Mi ko leŋ kar sa be aŋbot pa na som. Tana ko aŋwwa leŋ sorok, mi sombe tomtom sa indeeŋe yo, nako ipun yo ma aŋmeete.”
GEN.4.15	Tamen Merere iso: “Na som. Tomtom sa isombe ipunu, nako nio aŋpokot pa lamata mi ru.” To iur kilalan ta ise ki Kain, beso tomtom tire i, na irao tipuni som. 
GEN.4.16	Tona Kain izem Merere, mi ila imbot su toono pakaana ta zaana Nod. Toono tana imbot la lele pakaana ki mokleene Eden ta zoŋ izze pa i.
GEN.4.17	Kaimer to Kain ziru kusiini tikeene. Mi moori kopoono, to ikam pikin tomooto ta, zaana Enok. Timbotmbot ma kaimer tona Kain iur kar biibi ta, mi ipaata lutuunu Enok zaana pa.
GEN.4.18	Timbot ma Enok iwoolo, to ipeebe Irad. Irad imbot ma iwoolo, to ipeebe Meuyael. Meuyael imbot ma iwoolo, to ipeebe Metusael. Mi Metusael, ni ipeebe Lamek.
GEN.4.19	Lamek, ni iwoolo moori ru. Ta zaana Ada, mi toro zaana Zila. 
GEN.4.20	Ada, ni ipeebe Yabal. Yabal popoŋana kini timbotmbot la beeze men mi timborro mbili. 
GEN.4.21	Yabal tiziini zaana Yubal. Yubal, ni ikam maata pa gita punŋana, mi mamaaza wiŋana.
GEN.4.22	Lamek kusiini Zila ipeebe Tubal-Kain. Tubal-Kain, ni ikam maata pa mburu uraata kana matakiŋa ta tiurpe pa baras mi ain na. Mi Tubal-Kain lunuri zaana Naama.
GEN.4.23	Lamek, ni iso pa kusiini bizin ru ta kembei:
GEN.4.23	“Ada niomru Zila, kuŋgun talŋoyom pio.
GEN.4.23	Kusiŋ bizin ru, keleŋ sua tio ti.
GEN.4.23	Tomtom tasa isombe ipun yo, nako aŋpuni ma imeete.
GEN.4.23	Mi sombe naŋgaŋ tasa ipeeze poŋoŋ, na ni tomini, ko aŋpuni ma imeete.
GEN.4.24	Tomtom tasa isombe ipun Kain ma imeete, nako tipokot pa lamata mi ru.
GEN.4.24	Tamen nio na, tomtom tasa isombe ipun yo ma aŋmeete, nako tipokot pa tomto tel laamuru mata mi ru (77).”
GEN.4.25	To Adam ziru kusiini Eba tipeebe pikin tomooto toro, mi Eba iso: “Kain ipun Abel ma imeete kek, tanata Anutu ikam leŋ pikin toro ti, be ikam Abel muriini.” Tana Eba ipaata pikin tana zaana be Set. 
GEN.4.26	Kaimer to, Set ipeebe pikin tomooto ta, mi ipaata zaana be Enos.
GEN.4.26	Indeeŋe gorgor tana na, zin tomtom timaŋga be tikam suŋŋana pa Merere mi tipakur zaana.
GEN.5.1	Iŋgi Adam popoŋana kini tipet ta kembei:
GEN.5.1	Indeeŋe Anutu iur zin tomtom na, iur zin kembei ta itunu ruŋguunu. 
GEN.5.2	Iur tomooto mi moori. Iur zin makiŋ, to ipombol zin mi ipaata zin be ‘tomtom.’ 
GEN.5.3	Adam ndaama kini irao kembei 130, to ipeebe pikin tomooto ta ma kembei ta itunu ruŋguunu, mi ipaata zaana be Set. 
GEN.5.4	Set isu, to Adam imbot pa ndaama 800 tomen, mi ipeebe pikin tomooto mi moori pakan. 
GEN.5.5	Ndaama ki Adam irao 930, mana imeete.
GEN.5.6	Set ndaama kini irao 105, to ipeebe pikin tomooto ta, zaana Enos. 
GEN.5.7	Enos isu, to Set imbot pa ndaama 807 tomen, mi ipeebe pikin tomooto mi moori pakan. 
GEN.5.8	Ndaama ki Set irao 912, mana imeete.
GEN.5.9	Enos ndaama kini irao 90, to ipeebe pikin tomooto ta, zaana Kenan. 
GEN.5.10	Kenan isu, to Enos imbot pa ndaama 815 tomen, mi ipeebe pikin tomooto mi moori pakan. 
GEN.5.11	Ndaama ki Enos irao 905, mana imeete.
GEN.5.12	Kenan ndaama kini irao 70, to ipeebe pikin tomooto ta, zaana Malalel. 
GEN.5.13	Malalel isu, to Kenan imbot pa ndaama 840 tomen, mi ipeebe pikin tomooto mi moori pakan. 
GEN.5.14	Ndaama ki Kenan irao 910, mana imeete.
GEN.5.15	Malalel ndaama kini irao 65, to ipeebe pikin tomooto ta, zaana Yared. 
GEN.5.16	Yared isu, to Malalel imbot pa ndaama 830 tomen, mi ipeebe pikin tomooto mi moori pakan. 
GEN.5.17	Ndaama ki Malalel irao 895, mana imeete.
GEN.5.18	Yared ndaama kini irao 162, to ipeebe pikin tomooto ta, zaana Enok. 
GEN.5.19	Enok isu, to Yared imbot pa ndaama 800 tomen, mi ipeebe pikin tomooto mi moori pakan. 
GEN.5.20	Ndaama ki Yared irao 962, mana imeete.
GEN.5.21	Enok ndaama kini irao 65, to ipeebe pikin tomooto ta, zaana Metusela. 
GEN.5.22	Metusela isu, to Enok ziru Anutu tiwwa ma irao ndaama 300. Mi Enok ipeebe pikin tomooto mi moori pakan.
GEN.5.23+GEN.5.24	Tana Enok ziru Anutu tiwwa mi ndaama ki Enok irao 365, tona Enok imbiriizi ma tire i mini som. Paso, Anutu ikami ma ila kini kek. 
GEN.5.25	Metusela ndaama kini irao 187, to ipeebe pikin tomooto ta, zaana Lamek. 
GEN.5.26	Lamek isu, to Metusela imbot pa ndaama 782 tomen, mi ipeebe pikin tomooto mi moori pakan. 
GEN.5.27	Ndaama ki Metusela irao 969, mana imeete.
GEN.5.28	Lamek ndaama kini irao 182, to ipeebe pikin tomooto ta 
GEN.5.29	mi iso: “Anutu ipasaana toono kek, tanata ikam ma takamam uraata biibi kat. Tamen tori ti ko iuulu iti ma ketende su pa uraata kiti.” Tana Lamek ipaata pikin zaana be Noa. 
GEN.5.30	Noa isu, to Lamek imbot pa ndaama 595 tomen, mi ipeebe pikin tomooto mi moori pakan. 
GEN.5.31	Ndaama ki Lamek irao 777, mana imeete.
GEN.5.32	Noa ndaama kini irao 500, tona ipeebe pikin tomooto tel, ta zan Sem, Ham mi Yapet.
GEN.6.1+GEN.6.2	Indeeŋe tana zin tomtom timasak ma tiwe boozo kek. Mi Anutu lutuunu bizin tire zin tomtom lutun moori bizin ruŋgun ambaimbaiŋan, tona tikam zin mi tiwoolo zin. To tipeebe.
GEN.6.3+GEN.6.4	Takenata zin tomtom us ta mburanŋan mi zanŋan mi malmalŋan na, tipet ma timbot su toono. Tona Merere iso: “Zin tomtom na, toono kan men. Tana ko bubuŋoŋ imbot raama zin ma alok na som. Kozo ko timbot irao ndaama tomto lamata mi ta (120) men, mana swon imap.”
GEN.6.5	Merere ire mbulu kizin tomtom ta timbot su toono na, isaana ma isaana kat, mi tikamam ŋgar mi lelen iurur pa mbulu sananŋana totomen.
GEN.6.6	Tana ni leleene ipata kat pizin tomtom ta itunu iur zin su toono na mi ipeles pizin. 
GEN.6.7	To iso: “Aiss, toŋgo, iŋgi ko aŋpambiriizi zin wal ta boozomen ramaki zin mbili mi man mi koroŋ boozomen ta tikarra pa toono i ma tila len lup. Ŋonoono, nio ituŋ aŋur zin. Tamen mbulu kizin sananŋana ta ikam yo ma aŋpeles kat pizin.”
GEN.6.8	Tamen Noa na, Merere leleene ambai pini, mi ikampewe i.
GEN.6.9+GEN.6.10	Iŋgi Noa ziŋan popoŋana kini mbol kizin.
GEN.6.9+GEN.6.10	Noa ipeebe pikin tomooto tel, zan Sem, Ham, mi Yapet. Mi Noa, ni le sosor sa som. Ni itutamen ta tomtom ndeeŋeŋana imbot la wal ta boozomen lelen. Mi ileŋleŋ la Anutu kalŋaana mi ziru tiwwa.
GEN.6.11+GEN.6.12	Indeeŋe tana Anutu ire mbulu sananŋana kat ilol toono ma imap. Pa malmal imbot pa lele ta boozomen. Tana Anutu ire toono isaana kek. Pa tomtom timap ma tikamam mbulu sananŋana men.
GEN.6.13	To Anutu iso pa Noa: “Toono ipen pa mbulu ki malmal. Tana nio leleŋ iur kek be aŋpasaana zin tomtom ramaki koroŋ boozomen ta timbotmbot toono na. 
GEN.6.14	Tana maŋga be po lem wooŋgo sa. Re ke mbolŋan, to taara mi sap be po wooŋgo pa. Mi sombe po wooŋgo, na didi wooŋgo leleene be iwe boozo mi ŋgal zim pa leleene mi pa mat tomini. Naso imbol kat. 
GEN.6.15	Ur wooŋgo ka kin ta kembei: molo kini irao re tomto tel lamoromata (133 mita), mi babaŋana kini irao re laamuru mi ru (22 mita), mi kor kana irao re lamata mi ru (13 mita). 
GEN.6.16	Po ruumu uteene isala wooŋgo ŋwaana, mi sombe pun didi, na isala tuŋ sala mbal pepe. Zem mazwaana ri be iwe miiri kwoono. To ur wooŋgo ka kataama imbot la zilŋaana. Mi ur wooŋgo leleene tel: ta imbot meleebe, toro imbot lukutuunu, mi toro imbot kor.
GEN.6.17	Leŋ. Nio kola aŋkam ma nonor biibi ipet pa toono, bekena ipasaana koroŋ kalaŋan ta boozomen. Ko aŋpomon zin ma timap. Tana koroŋ boozomen ta timbotmbot pa toono i, ko timetmeete lup. 
GEN.6.18	Tamen nu ituru taparlup ti ma tewe tamen kek. Tana kam kusim, mi lutum bizin ziŋan rwom moori bizin, mi kelela wooŋgo leleene.
GEN.6.19+GEN.6.20	Mi yo zin mbili, man, mi koroŋ matakiŋa ta tikarra pa toono i tomini, ruŋaruŋa, tomooto mi paŋgaara, mi kamap ma kelela wooŋgo leleene. Naso zin tomini timbot ambai. 
GEN.6.21	Mi yo kini matakiŋa ta boozomen mi ur lela wooŋgo be iwe niomŋan zin mbili mi koroŋ munmun ta boozomen koyom kini.”
GEN.6.22	Anutu iso sua tana ma imap, tona Noa ila ma ikam ka uraata. Ito Anutu sua kini ta boozomen.
GEN.7.1	Kaimer to Merere iso pa Noa ta kembei: “Nio aŋre kembei nu itum tamen ta kamam mbulu ndeeŋeŋana pa nio motoŋ. Tana niomŋan kusim, mi lutum bizin, mi rwom moori bizin, kala ma kelela wooŋgo.
GEN.7.2	Mi zin mbili matakiŋa boozomen ta ambaimbaiŋan pa patoronŋana i, kam tomooto lamata mi ru, mi paŋgaara lamata mi ru ma tilela wooŋgo. Mi zin mbili ta ambai pa patoronŋana som i, ina kam ruruŋa men, tomooto ta mi paŋgaara ta. 
GEN.7.3	Mi man matakiŋa ta boozomen tomini, kam tomooto lamata mi ru, mi paŋgaara lamata mi ru. Naso kaimer tipeebe mi timasak ma tirao pa toono. 
GEN.7.4	Pa aigule lamata mi ru imap, tonabe aŋkam yaŋ ma isu toono ma irao aigule tomtooru mi mbeŋ tomtooru, bekena aŋpambiriizi koroŋ kalaŋan boozomen ta aŋur zin na, ma timap pa toono ma tila len.”
GEN.7.5	Merere iso sua tana makiŋ, tona Noa ila ma ikam ka uraata. Ito Merere sua kini ta boozomen.
GEN.7.6	Indeeŋe Noa ndaama kini 600 na, nonor biibi be ipet pa toono. 
GEN.7.7	Tana Noa ma kusiini mi lutuunu bizin ziŋan rwoono moori bizin timap ma tilela wooŋgo leleene bekena timbot ambai. Kokena nonor ipasaana zin. 
GEN.7.8+GEN.7.9	Mi zin mbili ta ambai pa patoronŋana i, ramaki zin mbili ta ambai pa patoronŋana som i, mi koroŋ boozomen ta tikarra pa toono i, zin ruŋaruŋa timar ki Noa mi ziŋan tilela wooŋgo. Tito sua ta Anutu iso na. 
GEN.7.10	Tilela wooŋgo mi aigule lamata mi ru imap, tona nonor biibi ipet ma ilol toono.
GEN.7.11	Indeeŋe ta Noa ndaama kini iwe 600 na, ka puulu iwe ru pa mi ka mbeŋ iwe lamoromata mi ru na, toono kwoono ikaaga, mi yok biibi ta imbot meleeba na, ise raama mburaana biibi. Mi saamba tomini, kwoono ikaaga mi yok ta imbot kor na itop ma zaza. 
GEN.7.12	Tana yaŋ mosoolo isu toono ma irao aigule tomtooru mi mbeŋ tomtooru. 
GEN.7.13	Indeeŋe kat aigule tana na, Noa ma kusiini mi lutuunu bizin tel Sem, Ham, mi Yapet ziŋan kusin bizin tilela wooŋgo leleene 
