MAT.1.1	Uvva ukua aglaŋich sivulliaŋiñ Jesus Christ-ŋum, kiŋuviaŋupluni David-miñ Abraham-miñḷu.
MAT.2.4	Tavra katipkaqługich iluqaisa qaukłiŋich agaayuliqsit aglaliqirit, iliŋich apiqsruġniġai sumi Christ, anniqsuqti akiqsruutauruaq, aniñiaqmagaan. 
MAT.2.5	Iliŋisa kiuniġaat, “Bethlehem-mi Judea-miittuami, itna sivuniksriqiri aglaŋatigun ittuq,
MAT.2.6	‘Iñuich iñuuruasii Bethlehem-mi, nunaŋaniittuami Judah-m,
MAT.2.6	kamanaiññiqsrauŋuruasii akunġatni iñuiñ Judah-m,
MAT.2.6	ilipsitñiñ sivulliuqti aggiġisiruq
MAT.2.6	aŋalatchityaqtuaġuni iñugikkamnik Israel-ŋum.’ ”
MAT.2.6	Micah 5:2
MAT.2.7	Herod atanġum nalunautchipḷuni puqiksaat aŋutit tikisinniġai, iḷitchuġiviginiallapiaqługich napmun iḷipman uvluġiaq sagviqmagaan. 
MAT.2.8	Iḷitchuġianikamiuŋ Bethlehem-muquniġai nipliqhuni, “Aullaġusi pakallapiaqsiuŋ iḷiḷgauraq, aasiiñ paqitkupsiuŋ iḷitchuġipkaġumagipsitŋa. Uvaŋaptuuq utlakkumagiga sitquġvigityaqtuaġlugu.” 
MAT.2.9	Taavrumiŋa umialgum uqautianikmatiŋ aullaġniqsut. Tautuŋniġaat uvluġiaq qiñikkaqtiŋ kivaknamiñ. Sivulliukkauniqsut uvluġiam nutqaġniałhanunaglaan inimun iḷiḷgauram nayukkaŋanun. 
MAT.2.10	Tautukamitruŋ uvluġiaq quviatchallapiaġniqsut. 
MAT.2.11	Isiqhutiŋ tupiġmun tautuŋniġaat iḷiḷgauraq aakaŋalu Mary. Sitquġviginiġaat sivuġaanun iḷiḷgauraq. Aŋmaġniġaich akisuruaġikkatiŋ qaitchipḷuguasiiñ maniŋñik kaviqsaanik tipraġiksautiniglu, frankincense-nik suli myrrh-niglu. 
MAT.2.12	Aasiiñ kilikkauniqsut siññaktukun utiquŋitḷugich Herod-mun. Tavra aiñiqsut atlakun apqutikun.
MAT.2.13	Taapkua aullaanikmata isaġulga atanġum sagviġñiqsuq Joseph-mun siññaktukun nipliqhuni, “Makillutin. Pigruutiuŋ iḷiḷgauraq aakaŋalu Egypt-mun, aasiiñ taamaniitchumausi uvamnun uqautiniałłapsiknunaglaan. Atakkii Herod pakaŋniaġaa iḷiḷgauraq tuqqutchuglugu.” 
MAT.2.14	Joseph makitluni aullautiniġaa iḷiḷgauraq aakaŋalu unnuami Egypt-mun. 
MAT.2.15	Immiġñiqsuq Atanġum uqauttutigikkaŋa tumigiplugu sivuniksriqiri, “Egypt-miñ tuqłuġiga Iġñiġa.” Taatnamik tavraniinniqsut tuquniałhanunaglaan Herod-ŋum.
MAT.2.16	Herod iḷitchuġikami saglutaqtilaaġmiñik puqiksaanun aŋutinun qinnallapiaġniqsuq. Tilisiñiqsuq tuqqutquplugich nukatpiaġruurapayaat Bethlehem-miittuat suli iluqaisa avataaniittuat, tamatkua ukiuqaqtuat malġuŋnik nutautluktuatlu, atakkii iḷitchuġiplugu puqiksaat aŋutit uqautigikkaŋat uvluġiam sagvił̣hagun. 
MAT.2.17	Uqauttutauruaq tumigiplugu sivuniksriqiri Jeremiah taimña immiumaniqsuq,
MAT.2.18	“Nipi tusaġnaġniqsuq Ramah-mi
MAT.2.18	qiaruaq kiŋuvġupluni.
MAT.2.18	Rachel-ŋum qianiġai qitunġaurani arayunaiqhuniunniiñ
MAT.2.18	atakkii qitunġaŋich iluqatiŋ tuquplutiŋ.”
MAT.2.18	Jeremiah 31:15
MAT.2.19	Herod tuquanikman isaġulga Atanġum sagviġñiqsuq Joseph-mun siññaktukun Egypt-mi uqaqhuni, 
MAT.2.20	“Makillutin aullautiuŋ iḷiḷgauraq aakaŋalu nunaŋanun Israel-ŋum. Taipkua tuqqutchiñiaqtuat iḷiḷgauramik tuqurut.” 
MAT.2.21	Makitluni aullautiniġaa iḷiḷgauraq aakaŋalu nunaŋanun Israel-ŋum. 
MAT.2.22	Aglaan tusaakamiuŋ Archelaus atanġunipḷugu Judea-mi inaani aapami Herod sivuuġatchaŋniqsuq aullałiksraġmiñik. Kilikkaukami siññaktukun aullaġniqsut nunaŋanun Galilee-m. 
MAT.2.23	Aasiiñ iñuuniagaqsipḷutiŋ nunaaqqimi Nazareth-mi. Immiumaniqsuq uqautaumaruaq tumigiplugich sivuniksriqirit, “Taiguutiqaġisiruq Nazareth-miumik.”
MAT.3.1	Taipkunani uvluni John Paptaaqtitchiri quliaqtuaġniqsuq iñuiḷaami Judea-mi, 
MAT.3.2	uqaqhuni, “Isummitqigitchi atakkii Agaayyutim aŋaayuqautaa qalliruq.” 
MAT.3.3	Taamna John ilaaŋuruq sivuniksriqirim Isaiah-m uqautigikkaŋa nipliqhuni,
MAT.3.3	“Iñuk tuqłiraqtuq iñuiḷaamiñ,
MAT.3.3	Itqanaiyautisiuŋ apqutiksraŋa Atanġum,
MAT.3.3	nalġuġlugu tumiksraŋa.”
MAT.3.3	Isaiah 40:3
MAT.3.4	John atnuġaaqaġniqsuq pikukturuam amian nuyaiñik, qisiŋmik tapsiqaqhuni, niqiqaqhuni pigliġianik suli igutchaich siiġñaqtaalliaŋitñik nanipayaaq paqitchumiuŋ. 
MAT.3.5	Iñuich utlaŋniġaat John Jerusalem-miñḷu, Judea-miñḷu, nunaaqqiñiñḷu avataani kuuŋan Jordan-ŋum ittuat. 
MAT.3.6	Iñuich quliaġiniġaich killuqsautitiŋ aasiiñ John-ŋum paptaaġniġai kuuŋani Jordan-ŋum. 
MAT.3.7	Aglaan tautukamigich iñugiaktuat Pharisee-ŋuruat Sadducee-ŋuruatlu utlautiruat paptaaġvianun uqautiniġai, “Tuqunaliktun nimiġiatun ittusi. Qimakkumiñaitchusiasu aggiġñiaqtuamiñ qinnautaaniñ? 
MAT.3.8	Qiñiqtittitchi iñuuniałłapsigun isummitqiḷḷapiaqtilaapsitñik. 
MAT.3.9	Suli isumaniaqasi, ‘Uvagut Abraham-mik aapaqaqtugut.’ Nipliutiniaġipsi uumiŋa, uyaġaŋniñ makunakŋa Agaayyun iñiqsił̣hiñauruq iḷiḷgaanik Abraham-mun. 
MAT.3.10	Ipiġautaqaqtuaq kiprił̣hiñaaġuqtuq napaaqtunik kaŋiŋisigun. Napaaqtupayaaq asirritḷaitchuaq kipikkaugisiruq aasiiñ igitauluni ikniġmun.
MAT.3.11	“Iḷumun paptaaġipsi imiġmik isummitqił̣iġmun, aglaan aqupkun aggiġisiruq kamanatluktuaq uvaŋniñ. Nakuuŋitchuŋa saagałiksramnik aluġutiknik. Paptaaġisigaasi Ipqitchuamik Irrutchimik suli ikniġmik. 
MAT.3.12	Tigummiaġigaa tiktittaun salummallapiaġukługich mukkaaksrat sanikłuŋniñ. Katitkisigai mukkaaksrat siġḷuaġmiñun, aglaan ikipkaġisigai sanikłuich ikniġmun qamiyumiñaitchuamun.”
MAT.3.13	Aquagun Jesus tikiññiqsuq Galilee-miñ Jordan-mun John-mun paptaaqupluni ilaanun. 
MAT.3.14	Aglaan John-ŋum paptaaġuŋitkaluagaqsiñiġaa uqautiplugu, “Ilvich paptaaqtaksraġigaluaġikma. Suvaata utlautivich uvaŋnun paptaaquplutin?” 
MAT.3.15	Aglaan Jesus kiuniġaa, “Nakuuruq. Taamna taatnaġuptigu taŋiġñiaġikpuk iluqaan Agaayyutim iŋiaŋa.” John taatna piyumaliġñiqsuq. 
MAT.3.16	Jesus paptaakkauŋanikami mayuġniqsuq imiġmiñ. Aasiiñ qiḷak aŋmaqhuni tautuŋniġaa Irrusia Agaayyutim atqaqtuaq tiŋmiaġruuratun mitḷuni ilaanun. 
MAT.3.17	Aasiiñ nipi qiḷaŋmiñ nipliġñiqsuq, “Taamnatavra piqpagikkaġa Iġñiġa. Quyalisimaaġaaŋa.”
MAT.4.1	Taatnaanikman Ipqitchuam Irrutchim sivulliġñiġaa Jesus iñuiḷaamun uuktuaqsiutyaqtitlugu tuunġaġmun. 
MAT.4.2	Aasiiñ uisauraaqhuni malġukipiani uvluni unnuaniḷu niġisuliġñiqsuq. 
MAT.4.3	Uuktuaqtitchirim utlakamiuŋ uqautiniġaa, “Iġñiġipiaqpatin Agaayyutim makua uyaġaich qaqqiaġuqtitkich.” 
MAT.4.4	Aglaan Jesus kiuniġaa, “Aglausimaruq Agaayyutim uqałhani, ‘Iñuk iñuuniaŋitchuq niqiłhiñakun aglaan uqałipayaatigun aniruatigun qanġaniñ Agaayyutim.’ ” 
MAT.4.5	Tavrani tuunġaum aullautiniġaa Jesus Jerusalem-mun, aasiiñ inillakługu qutchiŋñiqsraŋanun nuvukkaŋan agaayyuvikpaum, 
MAT.4.6	uqautiplugu, “Iġñiġipiaqpatin Agaayyutim nutigiaġiñ. Aglausimaruq,
MAT.4.6	‘Tiligisigai isaġuligikkani munaġitqulutin.
MAT.4.6	Argagikkaġmiknik akigaġisigaatin.
MAT.4.6	Atniŋitchumaittin isigaktin uyaġaŋnun.’ ”
MAT.4.6	Psalms 91:11, 12
MAT.4.7	Jesus-ŋum uqautiniġaa, “Aglausimaruqsuli, ‘Uuktuaġumiñaitchiñ Ataniq Agaayyutin.’ ” 
MAT.4.8	Tuunġaum aullautitqiḷgiññiġaa Jesus qutchiḷḷapiaqtuamun iġġimun, aasiiñ qiñiqtitlugu atanġuvipayaaŋiñik nunam kamanautiŋitñiglu. 
MAT.4.9	Uqautiniġaa, “Tamatkua supayaat qaitkisigitka ilipnun sitquġvigigupŋa sivumnun.” 
MAT.4.10	Jesus-ŋum kiuniġaa, “Tuunġaaq, piiġiñ! Atakkii aglausimaruq, ‘Ataniq Agaayyutigikkan kisian agaayyuvigiyumagiñ savautilugulu.’ ” 
MAT.4.11	Tavra tuunġaum uniññiġaa, aasiiñ isaġulgich tikiññiġaat savautityaqługu Jesus.
MAT.4.12	Jesus-ŋum tusaakamiuŋ John isiqtaunipḷugu aullaġniqsuq Galilee-mun. 
MAT.4.13	Unitḷugu Nazareth utlautiniqsuq Capernaum-mun itchaqtuaqhuni siñaani narvaqpaum nunaŋakni Zebulun-ŋumlu Naphtali-mlu. 
MAT.4.14	Taamna immiumatquplugu uqauttutauruaq tumigiplugu sivuniksriqiri Isaiah,
MAT.4.15	“Iñuich tamatkua nunaŋakni Zebulun-ŋumlu Naphtali-mlu
MAT.4.15	tuŋaani narvaqpaum, taaganitchiaŋani Jordan-ŋum,
MAT.4.15	Galilee-mi nunaŋatni Jew-ŋuŋitchuat,
MAT.4.16	tamatkua iñuuniaqtuat taaqtuami
MAT.4.16	tautuŋniġaat kamanaqtuaq qauma,
MAT.4.16	aasiiñ qaumam qaggutiniġai iñuuniaqtuat taġġaŋani tuqułhum.”
MAT.4.16	Isaiah 9:1,2
MAT.4.17	Tikiñŋanikami Capernaum-mun Jesus-ŋum aullaġniiñiġaa quliaqtuałłi, “Isummitqigitchi atakkii Agaayyutim aŋaayuqautaa qalliruq.”
MAT.4.18	Jesus pisukhuni siñaagun narvaqpaŋan Galilee-m tautuŋniġik aniqatigiik, Simon taiguutiqaqtuaq Peter-mik suli Andrew aniqataa, kuvriqsuak narvaqpaŋmun aqaluŋniaqtauplutik. 
MAT.4.19	Uqautiniġik, “Maliksikŋa, uvakŋaniñaglaan piññaŋniaġisirutik iñuŋnik aqaluŋniaqtitun.” 
MAT.4.20	Tavrauvaa Simon-ŋum suli Andrew-m uniññiġaik kuvratik malikługuasiiñ. 
MAT.4.21	Jesus igliqtuiñaqhuni apqusaaqługu narvaqpaŋa Galilee-m. Tautukmiñiġik aniqatigiik James-lu John-lu, iġñak Zebedee-m, ikimmiruak umiami aapariŋlu Zebedee iḷaaqtuiruat kuvramiknik. Jesus-ŋum tuqłuġniġik maliqupluni. 
MAT.4.22	Tavrauvaa uniññiġaak umiaqtik aapariŋlu malikługu Jesus.
MAT.4.23	Jesus kukiḷuŋniqsuq iluqaani Galilee-mi, iḷisautripḷuni Jew-ŋuruat katraġviŋitñi suli quliaqtuaġiplugu tusaayugaallautaq Agaayyutim aŋaayuqautaata, mavruuqługiḷḷu iñuich atniġñautipayaaŋitñik. 
MAT.4.24	Tusaayugaallautaq Jesus-kun siaminniqsuq iluqaanun Syria-ŋum, aasiiñ iñuich tikiutruġniġaich atniġñapayaaqtuat naŋirrutipayaaqtuatlu, iḷaŋich irrusiqł̣uqaqhutiŋ qiiqsruqtaqhutiŋlu suli avatiŋich tuquŋaplutiŋ. Jesus-ŋum mavruuġniġai iluqaitñik. 
MAT.4.25	Iñugiaktuat iñuich maliŋniġaat, aggiqhutiŋ Galilee-miñ, avataaniittuaniñḷu nunamiñ atiliŋmiñ Decapolis-mik, Jerusalem-miñ, Judea-miñḷu, suli nunamiñ igḷuani ittuam Jordan-ŋum kuuŋan.
MAT.5.1	Jesus-ŋum qiñiqamigich iñugiallapiaqtuat mayuġniqsuq qimiġaamun, aquvitluniasii. Maliġuaqtai Jesus-muŋniqsut.
MAT.5.2	Ilaan iḷisautiaqsiñiġai nipliqhuni,
MAT.5.3	Quvianamiurut tamatkua iḷitchuqsriruat inuqsrałiġmiknik irrutchikun,
MAT.5.3	atakkii Agaayyutim aŋaayuqautaa pigigaat.
MAT.5.4	Quvianamiurut tamatkua kiŋuvġuruat,
MAT.5.4	atakkii Agaayyutim arakkisigai.
MAT.5.5	Quvianamiurut tamatkua piisaaŋitchuat,
MAT.5.5	atakkii nunapayaaq pigigisigaat.
MAT.5.6	Quvianamiurut tamatkua kimmutiqaqtuat nalaunŋaruałiġmik,
MAT.5.6	atakkii Agaayyutim pisuiqsimaaqtitkisigai.
MAT.5.7	Quvianamiurut tamatkua nagliktauruat,
MAT.5.7	atakkii Agaayyutim nagliktuġisipmigai.
MAT.5.8	Quvianamiurut tamatkua uummatiqaqtuat ipqitchuamik,
MAT.5.8	atakkii qiñiġisigaat Agaayyun.
MAT.5.9	Quvianamiurut tamatkua tutqiutiqaqtitchiruat akunġatni iñuich,
MAT.5.9	atakkii Agaayyutim taiguutiqaġisigai qitunġaġmiñik.
MAT.5.10	Quvianamiurut tamatkua piyuaqsiuruat piqutigiplugu nalaunŋaruałiq,
MAT.5.10	atakkii Agaayyutim aŋaayuqautaa pigigaat.
MAT.5.11	Quvianamiurusi piiŋiḷaqsruutigikpasi suli piyuaġusi suli niplialutiŋ qanusipayaanik pigiitchuanik ilipsigun sagluturuaġilusi pisigilugu maliġuaqtaułiqsi uvamnun. 
MAT.5.12	Quviatchapiaġataġitchi atakkii kamanaqtuq akiḷiusiaksraqsi ittuaq qiḷaŋmi. Taatnatuntuuq piyuaqsiupmiñiqsut taipkua sivuniksriqirit sivupsitñi iñuuniaqtuat.
MAT.5.13	“Ilipsi taġiuġigaasi nunam. Taġiuq taġiuġniiġumi qanuġuni taġiuġniḷitqikkisiva? Atuġumiñaiqsuq aglaan igitaksraġułhiñaqtuq tutmiġaġuqhuni iñuŋnun. 
MAT.5.14	Naniġigaasi nunam. Nunaaqqiq nappakkauruaq qimiġaamun iriqsimatlaitchuq. 
MAT.5.15	Kisupayaam ikitnamiuŋ naniq iḷitḷaitkaa ataanun utkusium aglaan naniqaġviŋmun qaummatautlasipḷugu tupqum iḷuani ittuapayaanun. 
MAT.5.16	Taatnatun qaumapkaqsigik nannisi sivuġaatni iñuich. Tautukkumagaat savaallautaqsi, aasiiñ kamaksruaqsiḷugu aapari ittuaq qiḷaŋmi.
MAT.5.17	“Isumanasi aggiġñiḷuŋa piyaqquġiaġlugich maliġutaksraŋi Moses-ŋum naagaqaa iḷisauttutiŋich sivuniksriqirit. Aggiŋitchuŋa piyaqquġiaġlugich aglaan taŋiġiaġlugich. 
MAT.5.18	Uqautigipsi, Qiḷaglu nunalu piiġumiñaitchuk aglausimaruapayaaq maliġutaksrani immiumagaluaqnagu. 
MAT.5.19	Kiñapayaaq navguiruaq kamanaiññiqsrallapiaŋatnik tillisit aasiiñ iḷisautripḷuni atlanik iñuŋnik taatnaquplugich, taamna iñuk kamanaiññiqsrauniaqtuq ukunakŋa iñuŋniñ Agaayyutim aŋaayuqautaani. Aglaan kiñapayaaq kamaksriruaq tillisiñik iḷisautripḷuniasiiñ atlanik taatnaquplugich, taamna iñuk taiguutiqaġisiruq kamanaqtuamik ukunakŋa iñuŋniñ Agaayyutim aŋaayuqautaani. 
MAT.5.20	Uvva uqautigipsi, Nalaunŋaruałiqsi nakuutluŋitpan iñuuniaġusiatniñ aglaliqirit suli Pharisee-ŋuruat suuramikunniiñ isiġumiñaitchusi aŋaayuqautaanun Agaayyutim.
MAT.5.21	“Tusaamarusi uqautauruamik iñuŋnun iŋiḷġaan, ‘Iñuaġniaqnak’. Kiñapayaaq iñuaqtuaq tikiutraugisiruq atanniiviŋmun. 
MAT.5.22	Aglaan uqautigipsi, Kiñapayaaq qinnautriruaq aniqatmiñik tikiutraugisiruq atanniiviŋmun, suli kiñapayaaq nipliraqtuaq aniqatmiñun suksrauŋiññipḷugu tikiutraugisiruq uqaqsittaaġviŋmun, suli kiñapayaaq nipliraqtuaq aniqatmiñun kinnaunipḷugu tikiutraugisiruq ikniŋanun anasiñŋuqsaġvium. 
MAT.5.23	Taatnamik, aatchuityaġniġuvich aatchuutiksraqnik Agaayyutmun tuniḷḷaqtuġviŋmi itqaġluguasiiñ aniqatvich sua-tasamma akikŋautaa ilipnun, 
MAT.5.24	uniḷḷugu aatchuutiksrautin sivuġaanun tuniḷḷaqtuġvium aasiiñ iłuaqsityaqqaaġlugu taimña akiŋautaa aniqatiupnun, aasiiḷi utiġutin aatchuutigityaġlugu aatchuutiksrautin. 
MAT.5.25	Akiḷḷiġikkaqpich uqaqsittaaġviŋmuutiniaqpatin iḷauraaġiliutiyumagiñ qilamik piqatigiŋŋaan apqutmi. Aatchuutigiviaġaatin atanniqsuqtimun, aasiiñ atanniqsuqtim qaiḷḷutin qaunaksrimun isiqtautqulutin. 
MAT.5.26	Uqautigikpiñ, Aniyumiñaipiaqtutin kisianik akiḷiiguvich akiqsruutipnik ilaanun.
MAT.5.27	“Tusaamarusi itna uqaqsimaruamik, ‘Atlatuġniaqnak.’ 
MAT.5.28	Aglaan uqautigipsi, Kiñapayaaq qiñiqtuaq aġnamik ikł̣igiplugu atlatuaniktuq isumamiñi. 
MAT.5.29	Taliqpium irivich killuqsaqtitpatin piiġḷugu igirruŋ. Nakuutluŋniaqtuq piyaqquġupku iḷaviñġa timivich uumakŋa iluqaan timivich igitaułiksraŋaniñ anasiñŋuqsaġviŋmun. 
MAT.5.30	Suli taliqpium argakpich killuqsaqtitpatin kipilugu igirruŋ. Nakuutluŋniaqtuq piyaqquġupku argałhiñan uumakŋa iluqaan timivich aullałiksraŋaniñ anasiñŋuqsaġviŋmun.
MAT.5.31	“Uqaqsimaruqsuli, Kisupayaam avitkumiuŋ nuliani qaitchiḷiuŋ aglaamik nalupqinaiġutinik avinnikun. 
MAT.5.32	Aglaan uqautigipsi, Aŋutim nuliani tuniqsimagaluaŋŋaan ilaanun avitkumiuŋ atlatuqtitkaa. Taamna avittuaq patchisauruq. Suli aŋun nuliaqtuaq avittuamik atlatuqmiuq.
MAT.5.33	“Tusaasimagiksisuli itna uqautaumaruaq iñugikkaptiknun iŋiḷġaan, Akiqsruqtaġuvich naviŋñiaqnagu aglaan atuumayumagiñ akiqsruutigikkan iñuŋnun Atanġum sivuġaani. 
MAT.5.34	Aglaan uqautigipsi, Sumiunniiñ akiqsruġumiñaitchusi qiḷakun atakkii qiḷak Agaayyutim aquppiutaġigaa, 
MAT.5.35	naagalu nunakun atakkii iñiqtuiqsiaqvigigaa isigaŋmiñun, naagalu Jerusalem-kun atakkii nunaaqqiġigaa kamanaqtuam umialgum. 
MAT.5.36	Naagaqaa akiqsruġumiñaitchutin niaqupkun, atakkii atausiq nuyaq qatiqsipkaġumiñaitkiñ unniiñ taaqsipkaġlugu. 
MAT.5.37	Taatnamik, aŋiġniaġuvich aŋillapiaġumuutin suli naagaaġniaġuvich naagaallapiaġutin, atakkii supayaam uqałhum iḷḷatauruam tamatkuŋnuŋa pigiitchuamitŋaqtauruq.
MAT.5.38	“Tusaamagiksi uqauttutauruaq, ‘Iri akisautiqaġli irimik, kiguttuuq kigutmun.’ 
MAT.5.39	Aglaan uqautigipsi, Akisaqtuġniaqnagu iñuum pimaqłuktaqpatin. Kisupayaam isaksaqpatin taliqpiagun iqsraqpich alaġumagiñ igḷuanik iqsraqpich. 
MAT.5.40	Kisupayaam akiḷiipkaġniaqpatin atnuġaapnik uqaqsittaaġviŋmi pipkaġumagiñ quppiġaan. 
MAT.5.41	Suli aŋuyaktim nunuriḷusi saagaqtitpasi natmaŋmiknik atautchimik mile-lamik saagautiyumagiñ malġuŋnik mile-laaknik. 
MAT.5.42	Iñuum iŋiqpatin sumik-tasamma qaitchumagiñ ilaanun. Suli iñuk atugaksraġukpan itigautipkaġniaqnagu.
MAT.5.43	“Tusaamagiksi itna uqaqsimaruaq, ‘Piqpagiyumagisi iñuuniaqatiusi aasiiñ uumigilugich uumiksrigikkasi.’ 
MAT.5.44	Aglaan uqautigipsi, Piqpagiyumagisi uumiksrigikkasi suli agaayutilugich tamatkua piyuaqtigikkasi. 
MAT.5.45	Taatnaġupsi qiñiqtitkiksi iñuŋnun iłuaqqun atripḷugu aapari qiḷaŋmi ittuaq, atakkii siqiñini siqiññaaġiksitkaa pigiitchuanunlu nakuuruanunlu suli sialuktitlugu nalaunŋaruanunlu nalaunŋaitchuanunlu. 
MAT.5.46	Piqpagigupsigik kisiitñik tamatkua piqpaksrigikkasi, suvaata akiññaktaaqaġniaqpisi Agaayyutmiñ? Taatnatun tax-siliqirit pitḷapmiut. 
MAT.5.47	Suli paġlagupsigik kisiitñik aniqatiusi, savaaqaġniqpisi pitḷukhusi atlaniñ? Taatnatuntuuq tax-siliqirit pitḷapmiut. 
MAT.5.48	Taatnamik nalaunŋaruksraurusi atriḷugu aapagikkaqsi qiḷaŋmi nalaunŋallapiaqtuaq.”
