MRK.1.1	Dhaŋum ŋuwakurrun yana dhäwu. Ga dhäwum dhaŋu God-Waŋarrwuruy Gäthuꞌmiŋuwuruy,
MRK.1.10	Ga banha nhan Djesu bitjuwayiŋ garmakŋurum walman, bala banha djiwarrꞌma ḻapthuwanan. Ga God-Waŋarrwum Dhuyu Birrimbirrma yarrupthuwanan nhanguḻ bilanyan bitjuwayiŋ bäwarraṉ murryil. 
MRK.1.11	Bala dhanal ŋäkulan rirrakaynha garruwan gayŋan bitjan,
MRK.1.11	“Dhaŋun banha nyäku marrkapma gäthuꞌmiŋu.
MRK.1.11	Ga marimin yana ŋaya bayiŋ gayŋa dhaŋu goŋmiyim nhanguḻ.”
MRK.1.12	Ga dhurrwaraŋuru bewaḻiyam, bala banha Dhuyu-Birrimbirryum ḏupthuwanan Djesunham gänaŋuḻin ŋirrimaḻi wiraŋḻin. 
MRK.1.13	Ga banhalayan ŋayilpiꞌŋan nhan gayŋan banha nyenanam 40-n walum. Ga waripum gayŋan banhalaya nyenan wakinŋumin wäyinꞌ malany. Ga banhalayan nhanany gayŋan banha Djaytindhum bitjuwayiŋ dharrwunuwan. Ŋarru nhan ŋangawul bitjuwayiŋ malthuwanam nhangu. Bala banha djiwarrꞌwuyma dhäwumim yolŋu warra waythuwanan guŋgaꞌyundawum nhangu.
MRK.1.14	Waŋganymim waluyu dhanal ŋayathanan Djonnham banha Ḏämbu-ḻupthumandaminham bala dhethuŋganan dharruŋguḻin. Bala nhanmam banha Djesum ŋarran balan Galaliḻin makaḻi, mä nhan ŋarru rakaraman God-Waŋarrwuruynha ŋuwakurrun dhäwu banhalayan. 
MRK.1.15	Ga bitjan nhan gayŋan garruwanam,
MRK.1.15	“Ŋäkan warra! Garraywum dhaŋu walu ḻinygun waythuwanan!
MRK.1.15	Ga yolŋum ŋarru banha bukmaknha yana marŋgiyim banha God-Waŋarryum barkthu romma nhanguway ŋarranharamiŋgana, ga dhaŋun banha yulŋum djinaŋun bala.
MRK.1.15	Gatjuy, biluwan warra mayaliꞌ-wutjparrundamiŋurum romŋuru,
MRK.1.15	bala ḏirruwan, bala malthuwan nhangun God-Waŋarrwun yängum.
MRK.1.15	Bala mä-wulitjtjiyan bayikuyan God-Waŋarrwun ŋuwakurruwun yana dhäwuꞌwum.”
MRK.1.16	Waŋganymiyum nhan gayŋan Djesum ŋarran ŋunha wuḏuy-djakawarruwan guḻungu Galaliwuywu. Ga banhalayam nhan maḻŋꞌthuman yolŋuny yäkuny Djäymannhan ga guthaꞌmiŋuny nhangu Wanduruny. Banhalaya dhupal nyin ŋarirri guwatharan ganybuyu. Banhayan ḻinygu dhupaliŋgu djämam. 
MRK.1.17	Bala nhan Djesum guykuyyuwanan dhupaliŋgu bitjanan, “Wäy, warapulay, gu! Malthuwan wulay nyäkun. Ŋayam ŋarru nhumaliny marŋgikum nhuma ŋarru gayŋa gaṯthuman yolŋunhan warrany.” 
MRK.1.18	Ga banha dhupal ŋäkulam bilanyawuyma bala dhupal guŋnharrumanan banha ganybum bala dhuṉḏaynha yana malthuwanan nhangu.
MRK.1.19	Ga bitjan bala nhan Djesu ŋarran ga nhäŋal nhan Djibidiwun yothuny wulanynha. Ga wakinma banha wäwaꞌmiŋum yäku Djayim ga guthaꞌmiŋum nhangu yäku ga Djon. Ga bitjanya ḻinygu dhupalim gayŋan ganybu dhuṉḏaykuwan marthaŋayŋa. 
MRK.1.20	Bala nhan Djesum guykuyyuwanan dhupaliŋgu bitjanan, “Way, gu malthuwan wulay nyäkun!” Bala yana dhupal guŋnharrumanan dhupaliŋguway moriꞌmiŋunham ga djämaminham warrany balayan marthaŋayḻin. Bala dhupal ŋarranan malthuwanan nhangu.
MRK.1.21	Bala dhanal waythuwanan ŋunhalan Gapuniyamnha waŋgalaŋa, nhan Djesu ga banhaya yolŋu warra banha dhanal gayŋan bämaraꞌyuwan nhanany. Ga Nyenanharamiyun Waluyu,
MRK.1.22	Ga banha gayŋan yolŋuyum warrayu bitjuwayiŋ ŋäkulam nhanany garrundam, ṉirruwanan, ḻinygu nhan banha marŋgin bitjuwayiŋ marimin bayikuyam mala dhäwuꞌwu. Ga djuḻkthumana gayŋa banha Djuwwum rom-marŋgikunhamiwu warrawu marŋgiyumanda.
MRK.1.23	Ga bilanyamiyu ḻinygu nhanmam yolŋu barrakinymi birrimbirrmi gulŋiyan balaya biryamiḻi buṉbuḻi ŋarru dhä-rirrakaymin, 
MRK.1.24	yatjuwan ŋarran bitjan, “Wäy, Djesu ŋirrima Nätjuritjpuy, nhä nhunu rälim gämurruꞌ ŋupan? Nhalpiyana nhunu ŋarru, baḏuwaḏuyuna ŋanapiliny ŋatja? Ŋanapum dhaŋu dharaŋganatj nhuna, nhunum dhaŋu banhayan banha Maŋutji-yunupayumanda yolŋu God-Waŋarrwuŋun dhawuꞌ-nhinathuŋganda ŋätjiliŋuwuynha. Nhunum dhaŋu God-Waŋarrwun banha Dharrpalnha Yolŋu, nhänharran.”
MRK.1.25	Bala nhan Djesum yän-guŋanminan, dhaykuwanan manapan nhanany bitjanan, “Maꞌ mukthuwan, ga walmiyan djinakuḻiyam yolŋuwuru!”
MRK.1.26	Bala nhan bayiŋuya barrakinydhum birrimbirryu rurrꞌrurryuwanan banhaya yolŋunham mariminan yana. Bala yana nhan banha dhawaṯthuwanam dhä-rirrakaymin. 
MRK.1.27	Ga yolŋuyum warrayu banha banhalayam biryamiŋam buṉbuŋa nhäŋalam mä-maŋmaŋdhuwanan. Bala dhanal ŋarran garrunminan bitjanan, “Nhä dhaŋum? Dhaŋu nhan gayŋa yän-ŋayathan ŋunha barrakinygu birrimbirrwu dhawaṯthumandawu, ga dhanalim gayŋa nhanany ŋunha yänma warraṯthuna yana. Nhän nhan gayŋan dhaŋu ŋalmaliny yuṯan romma marŋgikum?
MRK.1.28	Bala gayŋan banha dhäwum ŋarranan ḻatjuwarrꞌyuwanan banhalayam makaŋa ŋirrimaŋa Galalim. Yolŋum warra ŋarran banha rakaranhaminan.
MRK.1.29	Ga banha dhanal ŋarran dhawayawaṯthuwanam bewaḻim banha biryamiŋurum buṉbuŋuru, bala nhan Djesum ŋarran balan Djäymanguḻin ga Wanduruwuḻin ŋirrimaḻi. 
MRK.1.30	Ga banhalaya gayŋan Djäymangu mukulꞌmiŋu rumaruꞌ rirrikthuwan gorrmurꞌyu. Ga banha nhan Djesu ga guyurrꞌmiŋu warra nhangu gulŋiyanam, bala nhanmam baya yolŋu gätthuwan bala rakaranan bitjanan, “Dhaŋu nyin worruŋu rirrikthun gorrmurꞌyu.”
MRK.1.31	Bala nhan Djesum ŋarranan balayan banha baṯamiwuḻin, bala ŋayathanan nhanany ŋarambiyan bala ṉakanharamiŋganan. Bala dhuṉḏaynha yana banha gorrmurꞌma winyaꞌyuwanan. Bala nhan banha baṯamim dhawaṯthuwanan bala ŋarran galŋa-rrarrayuwanan ŋathawun dhanaliŋgu.
MRK.1.32	Ga banha ŋarran bitjuwayiŋ walum gulŋiyan bala ŋarran banha yolŋuyum warrayu rerriminhan warrany gutjpaꞌ-gutjparruwan ga barrakinyminhan birrimbirrminy yolŋuny warrany balayan Djesuwuḻin ḏukthumandawun. 
MRK.1.33	Ga guḻkun banha marimin yolŋum warra ḻuŋꞌthuwan balayam buṉbuḻi, be mu gayŋan mala-nhinathuŋganmin. 
MRK.1.34	Ga guḻkunhan nhan gayŋan banha yolŋunham warrany bitjuwayiŋ ḏukthuman, waripuŋuru waripuŋuru rerriŋuru. Ga ḏukthumanam nhan dhanaliny gayŋan bukmaknhan yana. Ga guḻku nhan gayŋan dhawaṯthuman barrakinyma birrimbirr mala. Ga dhanalim banha barrakinyma birrimbirr mala marŋgiyin nhangu, bala nhan Djesuyum dhurrwara-mukthumanan dhanaliny.
MRK.1.35	Ga waripuyun waluyu ŋarru munhamurrun, nhan Djesum bitjuwayiŋ ṉakamanan bala nhan walmanan buṉbuŋurum. Ga ŋarranam nhan banha gänaŋuḻin bukumiŋgandawun mä dhupal ŋarru moriꞌmiŋu nhangu garrunmi. 
MRK.1.36	Ga banha nhan Djäyman ga waripum banha guyurrꞌmiŋu warra bitjuwayiŋ ḏurruwanam yakurrŋurum bala dhanal gayŋan ranganan nhangu. 
MRK.1.37	Ga banha dhanal nhanany maḻŋꞌthumanam bala dhanal bitjanan garruwan, “Marrkapmi, guḻkun gayŋa dhaŋu yolŋum warra nhuŋu rangam.”
MRK.1.38	Ga nhanmam bitjan dhanaliŋgu ḏämbu-ganitjuman, “Ŋuwakurru dhuwanma. Ŋarru ŋalma ŋarru dhaŋu ŋurruŋum gayŋa ŋarra ḻiwꞌyuman ŋunha waripumurru ŋirrimamurru mala. Dhaŋu banha ŋirrima mala banha ŋarra galkiwatj djingaꞌ-djingaryun. Ḻinygu ŋaya gayŋa djälmiyi ŋaya ŋarru rakaram dhanaliŋgu bitjuwayiŋ Ŋuwakurru Dhäwu, ḻinygu dhuwaniya mu nyäku banha warkma.”
MRK.1.39	Ga dhurrwaraŋuru bewaḻiyam, bala nhan gayŋan ŋarranan djuḏuꞌyuwanan Galalimurrun makamurru, mä nhan ŋarran rakaranan dhäwun ŋuwakurrun God-Waŋarrwuruynha ŋunhalayan Djuwwuḻ biryamiŋan buṉbuŋa malaŋuŋa. Ga bitjanya ḻinygu nhan gayŋan banha barrakinyma birrimbirr malany ŋaŋꞌŋaŋdhuwan yolŋuwurum warrawuru.
MRK.1.40	Ga bilanyamiyum waluyu yolŋu burrundhiyaꞌmi ŋarran nhanguḻ Djesuwuḻ. Bala nhan bunꞌkumu-djipthuwanan ŋäŋꞌthuwanan guŋgaꞌyundawun bitjanan, “Marrkapmi, guŋgaꞌyuwa nhänany! Ŋayam marŋgi banha nhunu ŋarru dhaŋu burrunhdhiyany rerriny nyäkuru winyaꞌyuman, bayiŋ walꞌŋu nhunum djäl, mä ŋarru gayŋa yolŋum warra nyäku ŋangawulnha biyapulma bitjuwayiŋ milnyaŋꞌthun.”
MRK.1.41	Bala nhan Djesum wuyuwanan nhangu bala ŋarambiyaꞌ djarryuwanan, bala ŋayathanan nhanany bala garruwanan, “Djäl ŋaya dhaŋu, ŋaya ŋarru ḏukthumana nhuna. Ḻinygun nhunu dhaŋu ŋuwatjinan!” 
MRK.1.42	Ga dhuṉḏaynha yana nhan banha ḏirramum ŋuwatjinan, winyaꞌyuwanan banhaya rerrim nhanguru. 
MRK.1.43	Ga garruwan nhan Djesu wanyuyu yändhu bala yänguwanan nhanany ŋirrimaḻin, 
MRK.1.44	bitjanan, “Ŋuwatjuma yana guyaŋiyam! Ḻinygun nhunu dhaŋu ŋuwatjinan ga ŋangawulnha nhunu ŋarru rakaramam yolŋuwuḻim warrawuḻ. Bayikuya ḻinygu yana mala-ŋurrkanhayŋuwu Mawtjitjku romgum malthuwa banha ŋätjiliŋuwu. Bala ŋatjil ŋurruŋum maŋgarra ŋunha ḏalkarramiwuḻ yolŋuwuḻ ga nhän ŋarru nhuna dhuwan rumbal bitjuwayiŋ nhäma banha nhuŋu rerrim gulitjnha yana winyaꞌyuwan. Bala nhunu ŋarru mundhurrnha guŋan buku-wuŋana, mä ŋarru banha bukmaknha yolŋum warra bitjuwayiŋ marŋgiyi banha nhunu dhuwan ŋuwakurrun.”
MRK.1.45	Ga banha nhan banhaya yolŋu bitjuwayiŋ dhawaṯthuwanam bala nhan ŋarran ḻiwꞌyumanan warri rakaranam dhäwum bawalamiŋan ŋirrimaŋam. Ga guḻkun gayŋan banha yolŋum warra bitjuwayiŋ ranganam nhangu Djesuwum. Ga ŋangawulnha banha nhanbayim ŋarran ŋunha yolŋu guḻkumiḻim ŋirrimaḻi ḻinygu banha yolŋuyum warrayu nhanany bitjuwayiŋ djorkuwanan, banham nhan gayŋan banhalayan bäyman bitjuwayiŋ wirwiryuwanam ŋayilpiꞌŋan waŋgalaŋam. Ŋarru gayŋan banha yolŋum warra ŋaykan rangan yana, nhänharawu gayŋan djälmiyin nhangu.
MRK.2.1	Ga bilaŋ nhämunhaꞌ bitjuwayiŋ walu djuḻkthuwan, bala nhan Djesum ḏirruwanya bala Gapuniyamḻi. Ga yolŋum warra ŋarran banha rakaranhaminan Djesunham banha nhan gayŋan ḻinygun banhalayan bitjuwayiŋ ŋirrimaŋam nyenan. 
MRK.2.2	Ga yolŋum warra ŋarran ḻuŋꞌthuwanam bawalamiŋurun. Ga gulŋiyan ŋarran ga dhaŋaŋ, be mu gayŋan malaꞌyuwan, dhurrwaramurrum ŋaṉbawꞌyuwan. Bala nhan Djesuyum gayŋan marŋgikuwanan dhäwun rakaran God-Waŋarrwuruynha ŋayaŋuwuy.
MRK.2.3	Ga banha nhan gayŋan baḏak bitjuwayiŋ garruwan, dhanalim ḏämbunharrayum yolŋuyu gayŋan gutjparruwan gaṉuŋnhan yolŋuny balaya Djesuwuḻ. 
MRK.2.4	Ga ḻinygun banha guḻkun marimin bitjuwayiŋ yolŋum warra gayŋan mala-nhinathuŋganmin banhalayam, ga ŋangawulnha banha bitjuwayiŋ dhanaliŋgum batjiwarr ŋalawitjan dhanal ŋarru yolŋuny banhaya gutjparrun Djesuwuḻ. Bala dhanal ŋalthuwanan ŋunha ŋapaḻin balaꞌpalaḻi bala ŋarŋgan dhanal warkthuwan ŋunhalam garramatꞌma dhuṉḏay yana ŋalaŋa gayŋan Djesu dhäyan. Ga banha ŋunha balaꞌpalam bitjuwayiŋ ḻapthuwan bala dhanal yarrupthumanan banha yolŋunham gayanhꞌthaminhan.
MRK.2.5	Ga banha nhan Djesuyum dhanaliny nhäŋal bala nhan yana marŋgiyinan banha dhanal gayŋan gulitj yana nhanguḻ mä-wulitjmiyin. Bala nhan banha gaṉuŋguḻim yolŋuwuḻ bitjanan garruwan, “Ḻinygun ŋaya dhaŋu nhuŋgu barrakinyma rom baya-rakaranan.”
MRK.2.6	Ga banhalaya gayŋan ŋaḻapaḻmi Rom-marŋgikunhami yolŋu warra ḏäpthuwan. Ga banha dhanal ŋäkulam Djesunham bilanyawuyma garrunda bala dhanal ŋayaŋum barrakinydjinan, ŋangawulnha dhanal galŋa-ŋuwatjin bayiŋuyam. 
MRK.2.7	Bala dhanal bitjanan garrunmin, “Nhä nhan dhaŋu goṉanharran bilanyawum garrundawu. Dhaŋu bayiŋ gayŋa nhanbay yana God-Waŋarryu yolŋuwum warrawu baya-rakaram barrakinybuyma rombuy. Nhalpiyan nhan gayŋa dhaŋu guyaŋinyaramim, yana warri nhan dhaŋu rrambaŋin dhupalin God-Waŋarrnha? Dhaŋum nhan dhä-waripuŋuyinan bitjanam!”
MRK.2.8	Ŋarru nhanmam banha Djesum dhanaliŋgu marŋgiyin, bala nhan bitjanan garruwan, “Ŋangawul warra bitjaya guyaŋiya! 
MRK.2.9+MRK.2.10	Nhalpiyan dhika ŋaya ŋarru garrunma? Bayiŋ ŋaya ŋarru bitjanma, ‘Maꞌ, ḻinygun ŋaya nhuŋgu barrakinyma baya-rakaranan’, nhumam dhaŋu ŋangawul marŋgi banha ŋarru bitjanyam maḻŋꞌthun, wilak ŋangawulnha. Ga banha ŋaya ŋarru garrun bitjanma, ‘Maꞌ warraṯthuwan nhuŋguway dhuwan gayanhꞌtham bala maŋgarran ŋirrimaḻin’, ga ŋärrun nhuma ŋarru banha nhämam banha ŋayam dhaŋu Gulitjŋum walꞌŋu Yolŋu dhaŋun. Ga ŋaya mu gayŋa dhaŋu ganydjarrma ŋayathan baya-rakaranhawum yolŋuwum warrawu barrakinygum.”
MRK.2.11	Ga dhurrwaraŋuru bewaḻiyam bala nhan Djesuyum garruwanan banhaya gaṉuŋnham yolŋuny bitjanan, “Yo, ŋäkan! Dhaŋum nhunu ḻinygun bitjuwayiŋ ḏukthuwanan, gatjuy, ṉakaman ga warraṯthuwan nhuŋguway gayanhꞌtham bala maŋgarran waŋgalaḻin.”
MRK.2.12	Ga banha nhan bayiŋuya yolŋuyu ŋäkulam, bala yana nhan ṉakamanan. Ga gayanhꞌtha nhan nhanguway warraṯthuwan bala yana ŋarranan dhawaṯthuwanan. Ga dhanalim banha yolŋuyum warrayu nhäŋalam maŋutji-dhawaṯthuwanan, ganyimꞌthuwanan manapan bitjanan, “Dhaŋum ŋanapu gäthuran djinaŋun djunama bilanyawuyma nhäŋal. Gulitj yana nhan dhaŋu God-Waŋarrma ganydjarr murrukay.”
MRK.2.13	Ga bewaḻiyam nhan Djesu biyapulya bitjuwayiŋ ŋarran raŋiḻin Galaliḻin guḻunꞌḻi. Ga guḻku banha yolŋum warra gumurr-gätthuwanam nhangu bala nhan gayŋan rakaranan dhanaliŋguḻ God-Waŋarrwun ŋayaŋu.
MRK.2.14	Ga banhalaya gayŋan yolŋu nyenan yäku Lebay, Yalpiyatjku gäthuꞌmiŋu. Ga warkthuwanam nhan gayŋan banha rrupiya ḻuŋꞌthuman yäku 
MRK.2.14	Ga banha nhan Djesuny bilanyawuyma ŋäkul, bala nhan Lebayma ṉakamanam bala dhuṉḏaynha yana malthuwanan nhangu.
MRK.2.15	Ga bewaḻiyam bala nhan Djesum ga guyurrꞌmiŋum warra nhangu gayŋan nyenan banhalayan Lebaywuḻim ŋirrimaŋa, rrambaŋin dhanalin ḻunduꞌmiŋun warra nhangu Lebaywu banha rrupiya-wapthumandamin warra. Ga waripum gayŋan banhalaya yolŋu warra nyenan banha bayiŋ gayŋa Djuw malayu dhanaliny rakaram banha dhanal raypirri-waḏatjmin. Ga ŋunhalaya ḻinygu ŋurrukŋa gayŋan ḏäpthuwan yolŋu warra banha dhanal bayiŋ gayŋa djälmiyi bitjuwayiŋ buthuru-bitjundawu nhangu Djesuwu.
MRK.2.16	Ga bilanyamiyu banhalaya gayŋan nyenan rom-marŋgikunhami warra Baratjiwuru ŋurrukŋuru. Bala dhanal nhäŋalan nhanany Djesunham nhan gayŋan ŋatha bitjuwayiŋ guwaman bayikuḻya banha 
MRK.2.17	Ga nhanmam banha Djesuyum dhanaliny ŋäkul, bala nhan bitjanan dhanaliŋgu garruwan, “Rerrimi yana yolŋu warra ŋarru ŋarra marrŋgitjkuḻim, ŋangawul ḏäwalamim. Ŋayam dhaŋu ŋarran rälim barrakinymiwu yolŋuwu warrawu, ŋangawul bayikuyam yolŋuwu banha dhanal bayiŋ gayŋa be rom-dhunupa rakaranhamim.”
MRK.2.18	Waŋganymiyum, yolŋu warra Baratjiwuru ŋurrukŋuru gayŋan ŋoy-ŋathanharramin nyenan yana bayiŋ romgun malthuwan. Yo, ga nhäŋal dhanal Djongu banha Ḏämbu-Ḻupthumandamiwu malthundaminy warrany dhanal gayŋan bitjanya ḻinygu ŋoy-ŋathanharrami nyenan. Ga ŋangawul dhanal banha Djesuwum guyurrꞌmiŋuny warrany nhäŋal bilanyaḻim bitjuwayiŋ. Bala banha yolŋum warra waythuwanan nhangu Djesuwum bala dhä-wirrkaꞌyuwanan bitjanan, “Wäy, ŋanapum bayiŋ gayŋa dhaŋu ŋoy-ŋathanharrami nyena, romgu bitjuwayiŋ malthun. Ga ŋunha gayŋa Djongum malthundami warra bitjanya ḻinygu. Ga nhäwu bayiŋ gayŋa banha nhuŋgum guyurrꞌmiŋu warra ŋangawulma bitjanya nyena?”
MRK.2.19	Bala nhan Djesuyum mayaḻiꞌmin dhäwu rakaran bitjanan, “Ḻinygu mu nhuma dhaŋu marŋgi: Banha bayiŋ yolŋu wulay bitjuwayiŋ warraṯthunmi, ga yolŋum warra bayiŋ banha ŋangawul dhurrwara-yupthu ŋathaŋurum, banham dhanal bayiŋ ŋarra ŋatham guwaman mu maranhukunharami. Ga banhaya ḏirramu banha nhan ŋarru warraṯthun baṯaminy nhanguway, banha nhan ŋarru gayŋa banhalayam nyena, banham ŋarru gayŋa yolŋuyum warrayu ŋatham guwaman mu. 
MRK.2.20	Ga banha nhan ŋarru banhayany ḏirramuny bitjuwayiŋ djakawarruna, bala ŋarru banha ḻunduꞌmiŋum warra nhangu ŋayaŋu-barrakinydjin ga ŋärrun dhanal ŋarru gayŋa ŋoy-ŋathanharramim nyena.”
MRK.2.21	Bala nhan Djesuyum waripun dhäwu dhanaliŋgu rakaran mayaliꞌmi, “Ŋangawul ŋarru dhaŋu yolŋuyu dhamin-yarpum yuṯa bitjuwayiŋ manydjarrkaꞌ ŋunha ŋätjiliŋuḻ manapan. Ḻinygu yalala nhan ŋarru banha girrimꞌ rurrwuyun, bala ŋarru banha yuṯam manydjarrkaꞌ dhurŋꞌthuna yutjuwaḻyin, bala ŋarru banha girrimꞌ bitjuwayiŋ barruna. 
MRK.2.22	Ga bilanya ḻinygu: Ŋangawul ŋarru dhaŋu yuṯa borum wiyikaꞌ rarrun ŋunha ŋätjiliŋuḻ yilipiḻ, ḻinygu nhan ŋarru banha barruna bala ŋarru wiyikamꞌ gätthuna. Yuṯam borum wiyikaꞌ ŋarru rarrun yuṯaḻ yana yilipiḻ.” [Bitjan nhan gayŋan banha dhanaliŋgu Djesuyum rakaran, banha nhanguŋum yuṯam marŋgiyumanda ŋarru ŋangawulnha maŋutji-manapan balam banha nhä bayiŋ dhanal gayŋa Baratjiyu warrayu marŋgiyuman]
MRK.2.23	Waŋganymiyu Nyenanharamiyu Waluyu Djesu ga guyurrꞌmiŋu warra nhangu ŋarran ŋaykan batjiwarr-ŋupan, ŋarru gätnimurru berrathamimurru. Bala nhanguru ŋarran guyurrꞌmiŋuyum warrayu ganitjumanan muḻkurrnha ŋathan bala ŋarran guwamanan, ḻinygu dhanal djaṉŋarryin.
MRK.2.24	Ga dhanalim banha Baratjiyum yolŋuyu warrayu nhäŋal dhanaliny, bala bitjanan rakaran Djesuwuḻim, “Nhäwu gayŋa dhaŋu nhuŋgurum guyurrꞌmiŋuyu warrayu romma ŋalmaliŋgu ganitjuman? Dhaŋu dhanal ŋarra ŋatha ŋunha wapthuman djinaŋ warri Nyenanharamiyun Waluyu. Ŋangawul dhanal ŋarru gayŋa bitjan!”
MRK.2.25+MRK.2.26	Bala nhan dhanaliŋgu ḏämbu-wanitjumanan, “Wäy, waraparra, guyaŋi mu nhuma gayŋa banhayam dhäwu banha bilinyamiyu waluyu banha Ḻiya-ŋärraꞌmi yäku Yabithaya gayŋan nyenan? Ga dhanalim banha Daybitma ga malthundamim warra nhangu djaṉŋarryinan bala dhanal yana ŋaykanan bala gulŋiyanan balayan Djuwwuḻin biryamiḻin warrawꞌḻi bala dhanal ŋarran wapthumanan banha ŋatham. Ga rom gayŋan barraŋgaꞌyuwan banha ŋarru ḏalkarramiyun yana guwaman banhayam ŋatha, ŋangawulnha bitjuwayiŋ bukmakthum. Ga nhanmam banha Daybitthum ga malayum nhanguru guwaman yana ga ŋangawul dhanaliny banha yolŋuyum warrayu bitjuwayiŋ rom-nyamirꞌyuwan.”
MRK.2.27	Ga biyapul nhan Djesu bitjan garruwan, “Wäy waraparra, yaka warra meṉguŋ, banha God-Waŋarryum Nyenanharamim Walu djäma guŋgaꞌyundawu yolŋuwu. Ŋangawul nhan banha yolŋuny djäma nhan ŋarru gayŋa bayikuyan ḻinygu yana Nyenanharamiwun Waluwu romgu malthun. 
MRK.2.28	Ḻinygu ŋayam dhaŋu Gulitjŋum Walꞌŋu Yolŋu, nyäkuwaynha dhaŋu dhunupam bitjuwayiŋ ŋaya ŋarru garrun yolŋuny nhä nhan ŋarru djäma, wo ŋangawul nhan ŋarru djäma bilanyayu Nyenanharamiyu Waluyu.”
MRK.3.1	Ga bewaḻiyam nhan Djesu ḏirruwanan balan Djuwwuḻin biryamiḻin buṉbuḻi. Ga ŋunhalayam nhan maḻŋꞌthuman yolŋuny ŋarru ŋarambiya-dhoṯnhan. 
