MAT.1.1	Bwen, aj ntzanije' kye tijajil Jesukrist aj tijajil Dawid aj tijajil Abran:
MAT.2.3	Ya ma tz'ok xhcha'o' te Eródes te twitzale' k'ulul mandad tuq tzi, tetz oje b'isun b'ix ax kyaqil kye xjal aj nkyenajan tuq tuj Jerusalen, ax kyetz oje kyeb'isun. 
MAT.2.4	E'ok xtxoko' kyaqil kye pal aj nim kyajwalil b'ix kyaqil kye xnaq'tzal Kawb'il, b'ix oxik xhcha'o' kyetz ja' tuq owitz'jel te Koloyon Aj Q'umankaj Oqtxi'.
MAT.2.5	Ntons kyetz oxik kyq'uma' tetz ikxjani: «Tuj Belen tuj tkwentil Judey tzan tpaj ikxji okaj stz'ib'a' te aj yolil tyol Dios oqtxi': 
MAT.2.6	“Etetz aj Belen tuj tkwentil Juda, etetz etamaq' nya'tx jun tal amaq' aj k'onti'l-wit token, tzan tpaj exol etetz ojawel jun twitzale' k'ulul mandad aj oxe'l txnaq'tza' kye aj nxjalil aj tijajil Israel.”»
MAT.2.7	Ntons te Eródes ewj etzaj tuk'le' kye xjal aj xnaq'tzal che'w, b'ix oxik xhcha'o' kyetz janik'le tuq tjawlen kanet te che'w. 
MAT.2.8	Yaji eb'ajxik tlajo' Belen, oxik tq'uma' kyetz ikxjani: «Pex waq txini b'ix intok echa'o' kyaqil ti'j te k'wa'l, b'ix oj toknoj etitza', eq'uma'tz wetz, tzan nxik wetz na'ol tetz.»
MAT.2.9	Ntons kye xjal eb'ajxik iktza'x txiklen q'uma' kyetz tzan te twitzale' k'ulul mandad. B'ix te che'w aj oxik kyen, atqet tuq tb'ayon kywitz, b'ix yaji owa'let tajsik te luwar aj ja' tuq atqet te k'wa'l. 
MAT.2.10	Aj txik kyen te che'w ojetq tuq wa'let, kyetz oje kyeb'ajchalaj. 
MAT.2.11	Ya ma kye'ox tuj te jay, oxik kyen te k'wa'l b'ix te Liy aj tnan; yaji eb'ajqet mejlet b'ix e'okten na'ol te ne'. Ojaw kyjaqo' te kykaxh b'ix oxik kyoye' tetz oro, pom b'ix mir. 
MAT.2.12	Yaji otzaj q'uma' kyetz tuj jun kywitzik' tzan k'on tuq kymeltz'jik aj ja' tuq atqet te Eródes, ntons eb'ajmeltz'jik tuj kyamaq' per tuj junky b'ey.
MAT.2.13	Ya aj ojetq tuq kyaj kye xnaq'tzal che'w, jun ángel tlajen Qajawil ojaw kanet tuj twitzik' te Chep, b'ix oxik tq'uma': «Pajaw, intxik awin te k'wa'l b'ix te tnan, b'ix pe'etoqik max Ejipt. Ax pe'eten tzi max oj nxik q'umal yatz junky'el, tzan tpaj te Eródes tetz owelal joyol te k'wa'l tzan tqet tkansa'.»
MAT.2.14	Ntons te Chep ya ma tzaj k'asik ti'j twitzik', oxik tin te k'wa'l b'ix te alon, b'ix oxik kyuky'i'l aj aq'b'ilji, eb'ajxik max Ejipt, 
MAT.2.15	b'ix txini ekajten max aj tkamik te Eródes. Ikxji oky'ik tzan tponkix tuq te aj ojetq tuq tq'umaj te Qajawil tuky'i te aj yolil tyol oqtxi' ikxjani: “Otzaj wuk'le' te nk'wa'al max Ejipt.”
MAT.2.16	Ntons te Eródes ya ma tz'ok ten ojetq tuq qet eq'i' tzan kye xnaq'tzal che'w, ntons otzaj nim tq'oj, b'ix oxik tk'ulu' mandad tzan kyqet kansa' kye tal ichan aj man tuq kyitz'jlen jun aq'b'i qatzun kab'e' aq'b'iji tuj te amaq' Belen b'ix kyaqil kye luwar qaynin tzi, oxik tin tkwentil janik'lexi' tuq aj stzaj kyq'uma' kye xjal xnaq'tzal che'w.
MAT.2.17	Ikxji oponkixi' iktza'x okaj stz'ib'a' te Jeremiy aj yolil tyol Dios oqtxi': 
MAT.2.18	«Twi' jun xuj oxik cha'o' tuj amaq' Rama, ajun oq'el b'ix b'is; a te Rakel b'an n'oq' tuq kyi'j tal, b'ix k'on tuq tgan tzan tjaw in tk'u'j tzan tpaj ojetq tuq kye kamik kye tal.»
MAT.2.19	Per ya ma kamik te Eródes, jun ángel tlajen Qajawil ojaw kanet twitz te Chep tuj twitzik' tuj Ejipt, 
MAT.2.20	b'ix oxik tq'uma' tetz te Chep ikxjani: «Pajaw wa'let, intxik awin te k'wa'l b'ix te tnan b'ix pameltz'jik tuj tkwentil Israel, tzan tpaj ajna'l oje kyekamik kye aj kygan tuq tzan kykansan tetz.»
MAT.2.21	Ntons b'eyxnajji te Chep oxik tin te k'wa'l b'ix te alon, b'ix exik tuj tkwentil Israel. 
MAT.2.22	Per ya ma tz'ok xhcha'o' te Chep qa te Arkelaw nk'ulun mandad tuq tuj Judey tky'ixel te Eródes aj stat, te Chep otxob'lej tzan txik txini, b'ix tzan tpaj otzaj q'uma' tetz tuj twitzik' ntons oxik tuj tkwentil Galiley, 
MAT.2.23	b'ix opon najayon tuj jun tal amaq' tb'i Nasaret. Te ntzani oky'ik tzan tponkix tuq iktza'x okyq'umaj kye aj yolil tyol Dios oqtxi', qa [te koloyon kyi'j] “owokel q'uma'kix tuq jun aj Nasaret.”
MAT.3.1	Ntons, tuj jun tyemp owul te Wa'nch Aj Swal A' npakb'an tuq tuj tkwentil Judey tuj te ky'ixk'oj tx'o'tx' aj ja' k'onti'l najayon. 
MAT.3.2	Nxik tuq tq'uma' ikxjani: «Sek' intjaw eky'ixpu' enab'lin tzan tpaj ma'tx pon te tyemp b'ix ajna'l exol, te Qtat aj nnajan tuj ka'j ok'uluyon mandad tuky'i nim tajwalil.»
MAT.3.3	Te Wa'nch, a tetz te aj oqet tz'ib'a' ti'j b'an oqtxi' tzan te Chay aj yolil tyol Dios, oqet tz'ib'a' ti'j ikxjani: “Jun xjal opakb'ayon tuky'i nim twi' tuj jun luwar aj ky'ixk'oj tx'o'tx' aj ja' k'onti'l najayon b'ix tzi oxe'l tpakb'a' kye xjal aj okyepoyon tuky'i'l, oxe'l tq'uma' ikxjani: ‘Intqet ek'ulu' [etib'] tzan tpaj tzul te Qajawil, intjaw eky'ixpu' enab'lin tzan eten list oj tul te Qajawil.’ ”
MAT.3.4	Tq'anaq te Wa'nch, k'ulu' tuq tuky'i pur xtx'otx'al stzamal kway kamey, b'ix n'ok tuq tsi' ti'j tuky'i jun tsinch pur tz'u'm,
MAT.3.5	Kye xjal tuj Jerusalen b'ix tuj kyaqil tkwentil Judey b'ix kye luwar qaynin ti'j te Jordan A', kyetz nkyepon tuq cha'oyon ti'j. 
MAT.3.6	Njatz tuq kyq'uma' kchoj b'ix te Wa'nch njaw tuq tsi' a' kywi' tuj te Jordan A'. 
MAT.3.7	Per ya ma tz'ok ten te Wa'nch ky'ila'j tuq kye aj b'uch'uj Parisey b'ix kye aj b'uch'uj Sadusey nkyepon tuq tuky'i'l tzan tuq tjaw tsi' a' kywi', oxik tq'uma' kyetz ikxjani: «Etetz a'ix tijajil kan.
MAT.3.8	Pe'eb'et waq tuj jun tume'l galan b'ix intqet eyek'u' tuky'i ek'ulb'en galan qa b'an'ax ma'tx jaw eky'ixpu' enab'lin. 
MAT.3.9	B'ix k'onti'l tzan txik eq'uma' tuj etanim “qetza a'o'na tijajil Abran.”
MAT.3.10	Ch'inky tul te jwisy kyajsik kyaqil aj k'on kygan tzan tjaw kky'ixpu' kynab'lin, iktza'x tajawil jun tze', qa te tze' k'onti'l nkaj twitz, njaw xtx'emu' tuky'i ach b'ix te tze' owokex xo'o' tuj q'aq'.
MAT.3.11	Wetz b'an'ax oj tjaw nsi' a' ewi' telponx ma'tx jaw eky'ixpu' enab'lin. Per yatzun te aj tzul mas yaj nwitz wetz, tetz mas nim tajwalil nwitz; wetz twitz tetz k'onti'l npon wajwalil ni iktza' jun aq'unon aj n'el tkotpi'
MAT.3.12	Tetz [iktza'] eq'i' txpulb'il tuj tq'ab', owelal tpawa' te triw ti'j tib'en, b'ix oqtex tk'u'u' tuj tkajon, per oqtel tky'e'sa' te ky'is tuj jun q'aq' aj ni nlay qex tzaj.»
MAT.3.13	Ntons te Jesus owetz tuj Galiley b'ix opon stzi' te Jordan A' tzan tuq tjaw si' a' twi' tzan Wa'nch. 
MAT.3.14	Tb'ay te Wa'nch k'on tuq tgan tzan tjaw tsi' a' twi' Jesus, oxik tq'uma' ikxjani: «A'in-tal wetz aj presis tzan tjaw asi' a' nwi'. ¿A'in petzun wetz ojawel nsi' a' awi'?» 
MAT.3.15	Per te Jesus owaj stzaq'b'e': «Tzoqpij tzan tky'ik kyaqil ikxji ajna'l, presis tzan tb'antik kyaqil tuj jun tume'l galan iktza' te Qtata Dios tgan.» 
MAT.3.16	Ntons ya ma jaw si' a' twi' te Jesus, tetz ojatz tuj te a' b'ix te ka'j owel jaqlik, b'ix te Jesus oxik ten te Txew Dios ikja'n tuq tqetz tajsik iktza' jun palom. 
MAT.3.17	Ntons oxik cha'o' twi' [te Qtata Dios] ntzaj yolin tuq tuj ka'j ikxjani: «Aj ntzani wetz nk'wa'al aj gani' nim witza' b'ix b'an nkyinchalaj ti'j.»
MAT.4.1	Ntons, yaji te Jesus oxik in tzan te Txew Dios tuj te ky'ixk'oj tx'o'tx' aj ja' k'onti'l najayon, tzan tok ten titza' te Tajaw Choj oqtel tsi' jun preb ti'j tzan tuq tqet tz'aqik titza'.
MAT.4.2	Ntons, tzi otipaj wa'ij kawnaq (40) q'ij tuky'i kawnaq aq'b'il [tzan txnaq'tzan], b'ix otzaj wa'ij ti'j. 
MAT.4.3	Ntons te [Tajaw Choj] aj njoyon tume'l tzan jqet tz'aqik titza', tetz owok laq'chet ti'j b'ix oxik tq'uma' ikxjani: «Qa yatz b'an'ax a'ich Tk'wa'al Dios, intxik aq'uma' kye ja ab'jni tzan kyok wab'j.»
MAT.4.4	Per yaji te Jesus oxik tq'uma' tetz ikxjani: «[Tuj te Tu'jal Dios] tz'ib'ankaj ikxjani: “Nya'tx a'ox tuky'i wab'j itz'oj jun xjal sinoke ax tuky'i kyaqil aj ntyoli' te Qtata Dios.”»
MAT.4.5	Yaji te Tajaw Choj oxik tin tuj [Jerusalen], te amaq' aj pawa' te Qtata Dios, b'ix ojax tin twi' te Nin Jay Nab'il Qtata Dios aj ja' mas nim twa'lkal, 
MAT.4.6	b'ix oxik tq'uma' tetz ikxjani: «Qa yatz b'an'ax a'ich Tk'wa'al Dios, intxik axon awib' qetl, komo tz'ib'ankaj [tuj Tu'jal Dios] ikxjani: “Ochkajel tsi' tuj kyq'ab' kye ángel aj nkye'aq'unan te tetz,” b'ix “ochjawel kyin tuj kyq'ab' tzan k'on aqet tz'aqik ti'j ab'j.”»
MAT.4.7	Yaji te Jesus owaj stzaq'b'e' ikxjani: «Ax tz'ib'enkaj tuj Tu'jal Dios ikxjani: “K'on qet asi' tuj preb te Qtata Dios aj Awajawil.”»
MAT.4.8	Yaji te Tajaw Choj oxik teq'i' twi' jun ma nim witz, b'ix oxik tyek'u' tetz kyaqil amaq' twitz tx'o'tx' b'ix kyaqil aj b'an tb'anil aj at te kyetz, 
MAT.4.9	b'ix oxik tq'uma' ikxjani: «Wetz oxe'l nsi' kyaqil ntzani te yatz, qa yatz ochtel mejlet nwitz b'ix okyinqtel ana'o'.»
MAT.4.10	Yaji te Jesus oxik tq'uma' ikxjani: «¡Pax yatz Satanas! Komo te Tu'jal Dios nyolin ikxjani: “Intqet ana'o' a'ox te Qtata Dios aj Awajawil, b'ix intqet awoksla' a'ox te tetz.”»
MAT.4.11	Ntons te Tajaw Choj okaj tsi' te Jesus b'ix yaji txq'an ángel eb'ajpon onel tetz.
MAT.4.12	Ntons ya ma tz'ok xhcha'o' te Jesus te Wa'nch ojetq tuq qex si' tuj pres,
MAT.4.13	Per k'onti'l okaj najan tuj Nasaret, sinoke oxik najayon tuj Capernaúm
MAT.4.14	Te ntzani oky'ik tzan tponkix iktza'x okaj stz'ib'a' te Chay aj yolil tyol Dios oqtxi', aj okaj stz'ib'a' ikxjani: 
MAT.4.15	“Etetz aj xtx'o'otx' Sabulon b'ix etetz aj xtx'o'otx' Nep, etetz aj qaynin ti'j te nim a', etetz aj junxla' te Jordan A', tb'eyil te Galiley A', te Galiley aj ja' nkyenajan kye aj nya'tx tijajil Israel, 
MAT.4.16	etetz aj atikxqex tuq tuj jun qlolj, otzaj jun chk'atunal b'an nim exol, jun chk'atunal b'an ntxaqtxon kxol kye aj nkyenajan tuq tuj qlolj aj nqoxik tin tuj jkamiky.”
MAT.4.17	Atxji te Jesus owaq'ik tzan tpakb'an ikxjani: «Sek' intjaw eky'ixpu' enab'lin, tzan tpaj ma'tx pon te tyemp b'ix ajna'l te Qtat aj nnajan tuj ka'j ok'uluyon mandad exol tuky'i jun tajwalil.»
MAT.4.18	Ntons te Jesus nb'et tuq stzi' te Galiley A', aj txik te'e' kab'e' xjal kyerman tuq kyib', jun Simon tb'i aj n'ok q'uma' tuq Xhpe'y, b'ix te junky Lexh. Kyetz kyaq'un tzyul kyiy tuq, b'ix nqex tuq ksi' te kypa tuj te a'. 
MAT.4.19	Te Jesus oxik tq'uma' kyetz ikxjani: «Pe'etok lapet wi'j b'ix wetz nk'ulu'tz tzan etok chimol xjal [tzan kyok lapet wi'j].» 
MAT.4.20	B'eyxnajji okaj ksi' te kypa b'ix e'ok lapet ti'j Jesus. 
MAT.4.21	Yaji ch'inky ikxjani, te Jesus oxik te'e' kab'e'ky xjal ax kyerman tuq kyib', Jacobo
MAT.4.22	b'ix kyetz b'eyxnajji okaj ksi' te kybark b'ix te kytat, b'ix e'ok lapet ti'j Jesus.
MAT.4.23	Te Jesus nb'et tuq tuj kyaqil tkwentil Galiley, nxnaq'tzan tuq kyuj kye jay nab'il Dios tuj junjun luwarchaq. Nxik tuq tpakb'a' tpakb'alil galan ti'j titza' te Qtata Dios nkolon qi'j tzan jkaj tuj tq'ab' b'ix nkyeqet tuq tq'ana' kye xjal ti'j kyaqil kyyab'il b'ix kyaqil aj tidi' ncho'on kyetz.
MAT.4.24	Te tpakb'alil ti'j te Jesus ja'chq owok cha'o' tuj kyaqil tkwentil Siry b'ix nkyetzaj kyin tuq twitz kyaqil aj yab'e' tuq tuky'i tidi'chq kyyab'il b'ix xhcho'nal b'ix ax kye aj akyeqex tuq malspirit tuj kyanim b'ix kye aj n'ukul tuq atak kyi'j b'ix aj kamnaq tuq kchi'jel, b'ix te Jesus, tetz nkyeqet tuq tq'ana'. 
MAT.4.25	Ky'ila'j xjal aj tuj tkwentil Galiley b'ix tuj tkwentil Dekapl b'ix tuj amaq' Jerusalen b'ix tuj tkwentil Judey b'ix a'e' aj tuj tkwentil junky palaj te Jordan A' nkye'ok tuq lapet ti'j Jesus.
MAT.5.1	Ya ma kyexik ten b'an ky'ila'j kye xjal, tetz ojax twi' te mulu'j b'ix oqet wit'let txini. Yatzun kye xjal aj nkye'ok tuq lapet ti'j, eb'aj'ok laq'chet ti'j tzan tok kcha'o' 
MAT.5.2	b'ix tetz owaq'ik tzan kxik txnaq'tza' ikxjani: 
MAT.5.3	«Galanx-alo kye aj n'el kyniky' qa b'an presis te Qtata Dios te kyetz, komo a'e' kyetz okyekajel tuj tq'ab' Qtata Dios tzan kyox tuj ka'j.
MAT.5.4	Galanx-alo kye aj n'ok kyen twitz xhcho'nal, komo kyetz owokel nimsa' kyk'u'j.
MAT.5.5	Galanx-alo kye aj lo'ik kyk'u'j ti'j Qtata Dios b'ix nya'tx kyi'jx kyetz, komo kyetz okyk'amo'tz tuky'i Qtat kyaqil te twitz tx'o'tx' iktza'x ojetq xik tsi' tyol kyetz.
MAT.5.6	Galanx-alo kye aj kygankix tzan tb'antik kyaqil tuj tume'l iktza' te Qtata Dios tgan, komo kyetz owokel kyenkix titza' [te Qtat] ok'uluyon kyaqil tuj tume'l.
MAT.5.7	Galanx-alo kye aj n'ok lo'et kyk'u'j kyi'j txq'anky, komo te Qtata Dios owokel lo'et tk'u'j kyi'j kyetz.
MAT.5.8	Galanx-alo kye aj saq kyanim, komo kyetz owokel kyen te Qtata Dios.
MAT.5.9	Galanx-alo kye aj nkyejoyon jun tume'l tzan kyten galan kye xjal kxolx, komo kyetz okye'okel q'uma' tk'wa'al Dios-e'.
MAT.5.10	Galanx-alo kye aj nkyejaw lajo' tzan tpaj nkyek'ulun kyaqil tuj tume'l iktza' tgan te Qtata Dios, komo kyetz okyekajel tuj tq'ab' Qtata Dios tzan kyox tuj ka'j.
MAT.5.11	Galanx-alo etetz a'ix oj etok yaso' b'ix cha'oj ejaw lajo' b'ix cha'oj tjaw kynik'o' tidi'chq nya'tx galan eti'j tzan npaj wetz b'ix nya'tx b'an'ax kyitza'.
MAT.5.12	Pe'echalaj waq, pe'eten kontent tzan tpaj ek'amo'tz jun nim b'an tb'anil tuj ka'j; komo ax ikxji ejaw lajo' kye aj yolil tyol Dios oqtxi'.»
MAT.5.13	«Etetz a'ix kxol kye xjal twitz ja tx'o'tx'ni, etetz a'ix iktza' te atz'an [aj nim token]; per qa te atz'an owelal tq'ab',
MAT.5.14	Etetz a'ix iktza' jun chk'atunal kxol kye xjal twitz ja tx'o'tx'ni.
MAT.5.15	B'ix ax k'onti'l n'ok qtxaqo' jun jq'anal tzan tox qsi' tjaq' jun almun; sinoke njaw si'let jawnaq tajsik jun mos tzan txik tq'anali' kyaqil kye aj ate' tuj jay.
MAT.5.16	Ax ikxji etetz intok esi' enab'l tzan ek'ulun jun ek'ulb'en galan kxol kye xjal tzan txik en eti'j iktza' jun chk'atunal tuj kywitz b'ix tzan tqet kyjiq'b'a' Qtata Dios aj atjax tuj ka'j.»
MAT.5.17	«K'on kxb'isun waq etetz qa wetz ma'tx kyin'ul tzan tpon nnajsa' te Kawb'il b'ix te ktz'ib'en kye aj yolil tyol Dios oqtxi'; wetz k'onti'l ma kyin'ul tzan tpon nnajsa' sinoke tzan tponkix ikxji iktza'x nyolin. 
MAT.5.18	Komo oxe'l nq'uma' b'an'ax etetz, aj man atqet te twitz ka'j b'ix te twitz tx'o'tx', ni jun ch'i tal letr nlay tz'el eq'i' ti'j te Kawb'il sinoke oky'el kixi' kyaqil aj tz'ib'ankaj.
MAT.5.19	Astilji ab'l te aj nlay qet toksla' jun tidi' aj nyolin te Kawb'il, anke jun tidi' aj nya'tx nim, b'ix ikxji nxik txnaq'tza' kye txq'anky, tetz nlay qet jiq'b'a' tuj ka'j. Per ab'l te aj oqtel toksla' b'ix nxik txnaq'tza' kye txq'anky tzan kyk'ulun ikxji, tetz oqtel jiq'b'a' nim tuj ka'j.
MAT.5.20	Komo qa etetz nlay qet ek'ulu' tuj tume'l mas galan kywitz kye xnaq'tzal Kawb'il b'ix kye aj b'uch'uj Parisey, ikxji etetz nlay kxkaj tuj tq'ab' Qtata Dios tzan etox tuj ka'j.»
MAT.5.21	«Etetz oje tz'ok echa'o' te aj oxik q'uma' kye a'e' etijajil oqtxi': “K'on chkansan,” b'ix “ab'l te aj okansayon, oxe'l si' tuj il.”
MAT.5.22	Per wetz oxe'l nq'uma' etetz, ab'l jun aj exol ojawel q'ojlik tuky'i junky terman, oxe'l si' tuj il. B'ix ab'l te aj owokel tyaso' junky terman, oxe'l si' tuj il tzan kye tijxjal aj at mas kyajwalil; b'ix ab'l te aj oxe'l tq'uma' “b'an kuch a'ich” te junky terman, tetz tmeres tzan txik tuj te nim q'aq' aj ja' te xhcho'nal k'onti'l nmankun.
MAT.5.23	Astilji qa oj txik awin te awoyej tajsik te tz'e'sb'il b'ix otzajel tiktz'an tuj awanim jun awerman at tidi' tq'oj awi'j, 
MAT.5.24	ntons intkaj asi' te awoyej tzi twitz te tz'e'sb'il b'ix tb'ay pax yoliyon tuky'i'l tzan eten galan exol, b'ix yaji b'a'n tzan ameltz'jik junky'el tzan txik aq'apo' te awoyej.
MAT.5.25	Qa at ab'l aj tgan tzan txik qaniyon awi'j, intok asi' ak'u'j tzan axik qanil najsb'il tuky'i'l, tzunx tuq at tyemp ajna'l, tzan k'on axik q'apo' tuj tq'ab' te pujul il, qa k'on yaji te pujul il otxe'l tq'apo' tuj tq'ab' te mulon
MAT.5.26	Oxe'l nq'uma' b'an'ax, yatz nlay chjatz tuj te pres qa mina' tuq xhchojet kyaqil te amult.»
MAT.5.27	«Etetz oje tz'ok echa'o' [oqtxi'] otzaj q'uma' ikxjani: “K'on chk'ajajin.”
MAT.5.28	Per wetz oxe'l nq'uma' etetz, ab'l aj owelal tq'ajab' ti'j jun xuj, ma'tx k'ajajin tuky'i'l tuj tanim.
MAT.5.29	Astilji qa te awitz
MAT.5.30	B'ix qa te aq'ab' aj ab'anq'ab' ntk'ulu' tzan ajoyon choj, mejor intel atx'emu' b'ix intex axon, mejor tzan tponaj a'ox cha jun aq'ab' b'ix nya'tx tzan txik xo'o' kyaqil achi'jel tuj te luwar aj ja' te xhcho'nal k'onti'l nmankun tuj te nim q'aq'.»
MAT.5.31	«B'ix okaj q'uma' oqtxi' ikxjani: “Ab'l aj oqtel tpawa' tib' tuky'i txu'jel, presis tzan tb'antik jun tu'jal titza'.”
MAT.5.32	Per wetz oxe'l nq'uma' etetz, qa jun ichan oqtel tpawa' tib' tuky'i txu'jel b'ix qa nya'tx tzan tpaj te txu'jel nk'ajajin, cha ntk'ulu' tzan tk'ajajin. B'ix ab'l te aj owokel junan tuky'i jun aj cha oqet tpawa' tib' tuky'i tichmil, ax ikxji cha nk'ajajin.»
MAT.5.33	«Ax oje tz'ok echa'o' etetz, oqtxi' oxik q'uma' kye etijajil ikxjani: “K'on xik asi' ayol tuky'i tb'i Qajawil qa nya'tx b'an'ax awitza', sinoke ak'ulu'tz kixi' kyaqil iktza'x oje xik asi' ayol tuky'i tb'i Qajawil.”
MAT.5.34	Per wetz oxe'l nq'uma' etetz, k'on txik esi' eyol tuky'i tb'i nijunwt. K'on xik esi' eyol ti'j te ka'j tzan tpaj aji te twit'lel Qtata Dios,
MAT.5.35	b'ix k'on xik esi' eyol ti'j te twitz tx'o'tx' tzan tpaj aji tujlb'il toq Qtata Dios. B'ix nya'tx ti'j Jerusalen tzan tpaj aji tamaq' te Qtata Dios aj twitzale' k'ulul mandad qi'j.
MAT.5.36	B'ix ax k'onti'l tzan txik esi' eyol ti'j [jun stzamal] ewi', tzan tpaj etetz k'onti'l nb'antik etitza' tzan tqet esjukinsa' ni jun stzamal ewi' qatzun tzan sten q'eq etitza'ji. 
