GEN.1.1	Kezdetben teremtette Isten az eget és a földet. 
GEN.3.1	A kígyó pedig ravaszabb volt minden vadállatnál, amelyet az 
GEN.3.2	Az asszony így felelt a kígyónak: A kert fáinak gyümölcséből ehetünk, 
GEN.3.3	csak annak a fának a gyümölcséről, amely a kert közepén áll, mondta Isten: Ne egyetek abból, ne is érintsétek, hogy meg ne haljatok! 
GEN.3.4	A kígyó erre így felelt az asszonynak: Dehogy haltok meg! 
GEN.3.5	Hanem jól tudja Isten, hogy azon a napon, amelyen esztek belőle, megnyílik a szemetek, és olyanok lesztek, mint az Isten: tudni fogjátok, mi a jó és mi a rossz. 
GEN.3.6	Az asszony úgy látta, hogy jó volna enni arról a fáról, hogy csábítja a szemet, és kívánatos is az a fa, mert okossá tesz: szakított hát a gyümölcséből, és evett. Adott a vele levő férjének is, és ő is evett. 
GEN.3.7	Ekkor megnyílt mindkettőjük szeme, és észrevették, hogy meztelenek. Ezért fügefaleveleket fűztek össze, és ágyékkötőket készítettek maguknak.
GEN.3.8	Amikor aztán meghallották az 
GEN.3.9	De az 
GEN.3.10	Az ember így felelt: Meghallottam hangodat a kertben, és megijedtem, mert meztelen vagyok, és ezért elrejtőztem. 
GEN.3.11	Az Isten erre azt kérdezte: Ki mondta meg neked, hogy meztelen vagy? Talán ettél arról a fáról, amelyről azt parancsoltam, hogy ne egyél? 
GEN.3.12	Az ember így felelt: Az asszony, akit mellém adtál, ő adott nekem a fáról, ezért ettem. 
GEN.3.13	Akkor az 
GEN.3.14	Akkor ezt mondta az 
GEN.3.14	Mivel ezt tetted, átkozott légy
GEN.3.14	minden jószág és minden vadállat között:
GEN.3.14	hasadon járj, és port egyél egész életedben! 
GEN.3.15	Ellenségeskedést támasztok közted és az asszony között,
GEN.3.15	a te utódod és az ő utódja között:
GEN.3.15	ő a fejedet tapossa,
GEN.3.15	te pedig a sarkát mardosod. 
GEN.3.16	Az asszonynak ezt mondta:
GEN.3.16	Igen megnövelem terhességed fájdalmát,
GEN.3.16	fájdalommal szülöd gyermeked.
GEN.3.16	Vágyakozni fogsz férjed után,
GEN.3.16	ő pedig uralkodni fog rajtad. 
GEN.3.17	Az embernek pedig ezt mondta:
GEN.3.17	Mivel hallgattál feleséged szavára,
GEN.3.17	és ettél arról a fáról,
GEN.3.17	amelyről megparancsoltam, hogy ne egyél,
GEN.3.17	legyen a föld átkozott miattad,
GEN.3.17	fáradsággal élj belőle egész életedben! 
GEN.3.18	Tövist és bogáncsot hajtson neked,
GEN.3.18	és a mező növényét egyed! 
GEN.3.19	Arcod verejtékével egyed a kenyeret,
GEN.3.19	míg visszatérsz a földbe, mert abból vétettél!
GEN.3.19	Bizony por vagy, és vissza fogsz térni a porba! 
GEN.3.20	Az ember Évának nevezte el a feleségét, mert ő lett az anyja minden élőnek. 
GEN.3.21	Az 
GEN.3.22	Azután ezt mondta az 
GEN.3.23	kiűzte az 
GEN.3.24	És miután kiűzte az embert, odaállította kelet felől az Éden kertjéhez a kerúbokat és a villogó lángpallost, hogy őrizzék azt az utat, amely az élet fájához vezet.
GEN.4.1	Azután Ádám a feleségével, Évával hált, aki teherbe esett, megszülte Kaint, és azt mondta: Fiút kaptam az 
GEN.4.2	Majd újból szült: annak testvérét, Ábelt. Ábel juhpásztor lett, Kain pedig földművelő.
GEN.4.3	Egy idő múlva Kain áldozatot vitt az 
GEN.4.4	Ábel is vitt elsőszülött bárányaiból, azok kövérjéből. Az 
GEN.4.5	de Kainra és áldozatára nem tekintett. Kain emiatt nagy haragra gerjedt, és lehorgasztotta a fejét.
GEN.4.6	Ekkor azt kérdezte Kaintól az 
GEN.4.7	Hiszen ha jól cselekszel, emelt fővel járhatsz. Ha pedig nem jól cselekszel, a bűn az ajtó előtt leselkedik, és rád vágyódik, de te uralkodjál rajta! 
GEN.4.8	Ezután azt mondta Kain a testvérének, Ábelnek: Menjünk ki a mezőre! Amikor a mezőn voltak, rátámadt Kain a testvérére, Ábelre, és meggyilkolta. 
GEN.4.9	Akkor az 
GEN.4.10	De az 
GEN.4.11	Most azért légy átkozott, kitaszítva arról a földről, amely megnyitotta a száját, hogy befogadja testvéred vérét, amelyet kiontottál! 
GEN.4.12	Ha a földet műveled, többé ne adja neked termőerejét! Bujdosó és kóborló légy a földön!
GEN.4.13	Ekkor Kain azt mondta az 
GEN.4.14	Íme, elűztél ma erről a termékeny vidékről, és el kell rejtőznöm színed elől. Bujdosó és kóborló lettem a földön, és meggyilkolhat bárki, aki rám talál. 
GEN.4.15	De az 
GEN.4.16	Ezután elment Kain az 
GEN.4.17	És Kain a feleségével hált, aki teherbe esett, és megszülte Énókot. Majd várost épített Kain, és a fiáról Énóknak nevezte el. 
GEN.4.18	Énóknak született Írád, Írád nemzette Mehújáélt, Mehújáél nemzette Metúsáélt, és Metúsáél nemzette Lámeket.
GEN.4.19	Lámek két asszonyt vett feleségül: az egyiknek Ádá volt a neve, a másiknak Cillá. 
GEN.4.20	Ádá szülte Jábált. Ő lett a sátorlakók és pásztorok ősatyja. 
GEN.4.21	Testvérének Júbál volt a neve. Ő lett minden citerás és fuvolás ősatyja. 
GEN.4.22	Cillá is szült: Túbalkaint, mindenféle réz- és vasszerszám kovácsmesterét, továbbá Túbalkain húgát, Naamát. 
GEN.4.23	Egyszer ezt mondta Lámek a feleségeinek:
GEN.4.23	Ádá és Cillá, hallgassatok szavamra!
GEN.4.23	Lámek asszonyai, figyeljetek mondásomra!
GEN.4.23	Embert ölök, ha megsebez,
GEN.4.23	gyermeket is, ha megüt.
GEN.4.24	Ha hétszeres a bosszú Kainért,
GEN.4.24	hetvenhétszeres az Lámekért. 
GEN.4.25	Ádám újból a feleségével hált. Az fiút szült, és Sétnek nevezte el, mert azt mondta: Adott nekem Isten másik utódot Ábel helyett, akit meggyilkolt Kain. 
GEN.4.26	Sétnek is született fia, akit Enósnak nevezett el. Akkor kezdték segítségül hívni az 
GEN.5.1	Ez Ádám nemzetségének könyve. Amikor Isten megteremtette az embert, Istenhez hasonlóvá alkotta. 
GEN.5.2	Férfivá és nővé teremtette, megáldotta, és embernek nevezte őket teremtésük napján. 
GEN.5.3	Ádám százharminc éves volt, amikor fiút nemzett, magához hasonlót, a maga képmására, és elnevezte Sétnek. 
GEN.5.4	Sét születése után Ádám nyolcszáz évig élt, és még nemzett fiakat és leányokat; 
GEN.5.5	Ádám teljes életkora tehát kilencszázharminc év volt, amikor meghalt. 
GEN.5.6	Sét százöt éves volt, amikor Enóst nemzette. 
GEN.5.7	Enós születése után Sét nyolcszázhét évig élt, és még nemzett fiakat és leányokat; 
GEN.5.8	Sét teljes életkora tehát kilencszáztizenkét év volt, amikor meghalt. 
GEN.5.9	Enós kilencvenéves volt, amikor Kénánt nemzette. 
GEN.5.10	Kénán születése után Enós nyolcszáztizenöt évig élt, és még nemzett fiakat és leányokat; 
GEN.5.11	Enós teljes életkora tehát kilencszázöt év volt, amikor meghalt. 
GEN.5.12	Kénán hetvenéves volt, amikor Mahalalélt nemzette. 
GEN.5.13	Mahalalél születése után Kénán nyolcszáznegyven évig élt, és még nemzett fiakat és leányokat; 
GEN.5.14	Kénán teljes életkora tehát kilencszáztíz év volt, amikor meghalt. 
GEN.5.15	Mahalalél hatvanöt éves volt, amikor Jeredet nemzette. 
GEN.5.16	Jered születése után Mahalalél nyolcszázharminc évig élt, és még nemzett fiakat és leányokat; 
GEN.5.17	Mahalalél teljes életkora tehát nyolcszázkilencvenöt év volt, amikor meghalt. 
GEN.5.18	Jered százhatvankét éves volt, amikor Énókot nemzette. 
GEN.5.19	Énók születése után Jered nyolcszáz évig élt, és még nemzett fiakat és leányokat; 
GEN.5.20	Jered teljes életkora tehát kilencszázhatvankét év volt, amikor meghalt. 
GEN.5.21	Énók hatvanöt éves volt, amikor Metúselahot nemzette. 
GEN.5.22	Énók az Istennel járt, Metúselah születése után háromszáz évig élt, és még nemzett fiakat és leányokat; 
GEN.5.23	Énók teljes életkora tehát háromszázhatvanöt év volt. 
GEN.5.24	Énók az Istennel járt, és egyszer csak eltűnt, mert Isten magához vette őt. 
GEN.5.25	Metúselah száznyolcvanhét éves volt, amikor Lámeket nemzette. 
GEN.5.26	Lámek születése után Metúselah hétszáznyolcvankét évig élt, és még nemzett fiakat és leányokat; 
GEN.5.27	Metúselah teljes életkora tehát kilencszázhatvankilenc év volt, amikor meghalt.
GEN.5.28	Lámek száznyolcvankét éves volt, amikor fiút nemzett. 
GEN.5.29	Nóénak nevezte el, és ezt mondta: Ő vigasztal meg bennünket kezünk fáradságos munkájában a termőföldön, amelyet megátkozott az 
GEN.5.30	Nóé születése után Lámek ötszázkilencvenöt évig élt, és még nemzett fiakat és leányokat; 
GEN.5.31	Lámek teljes életkora tehát hétszázhetvenhét év volt, amikor meghalt. 
GEN.5.32	Nóé ötszáz éves volt, amikor fiakat nemzett: Sémet, Hámot és Jáfetet.
GEN.6.1	Történt pedig, hogy amikor az emberek kezdtek elszaporodni a földön, és leányaik születtek, 
GEN.6.2	látták az istenfiak, hogy szépek az emberek leányai, ezért feleségül vették közülük mindazokat, akiket kiválasztottak maguknak. 
GEN.6.3	Akkor ezt mondta az 
GEN.6.4	Abban az időben, amikor az istenfiak bementek az emberek leányaihoz, és azok gyermekeket szültek nekik – sőt még azután is –, óriások éltek a földön. Ők voltak az ősidők nagy hírű vitézei. 
GEN.6.5	Amikor látta az 
GEN.6.6	megbánta az 
GEN.6.7	Azért ezt mondta az 
GEN.6.8	De Nóé kegyelmet talált az 
GEN.6.9	Nóénak ez a története: Nóé igaz ember volt, feddhetetlen a maga nemzedékében. Az Istennel járt Nóé. 
GEN.6.10	Nóé három fiút nemzett: Sémet, Hámot és Jáfetet. 
GEN.6.11	A föld pedig egyre romlottabb lett az Isten színe előtt, és megtelt a föld erőszakossággal. 
GEN.6.12	És látta Isten, mennyire megromlott a föld, mert minden ember rossz útra tért a földön. 
GEN.6.13	Akkor ezt mondta Isten Nóénak: Elhatároztam, hogy véget vetek minden élőlénynek, mert megtelt erőszakossággal miattuk a föld. Elpusztítom hát őket a földdel együtt. 
GEN.6.14	Csinálj magadnak bárkát góferfából, készíts rekeszeket a bárkában, és vond be kívül-belül szurokkal! 
GEN.6.15	Így készítsd el: a bárka hossza háromszáz könyök legyen, szélessége ötven könyök, magassága pedig harminc könyök! 
GEN.6.16	Ablakot is csinálj a bárkára: egy könyökre hagyd azt felülről! A bárka ajtaját az oldalára helyezd! Készíts bele egy alsó, egy középső és egy felső emeletet! 
GEN.6.17	Mert én özönvizet fogok hozni a földre, hogy elpusztítsak minden élőlényt az ég alatt. Minden el fog pusztulni, ami a földön él.
GEN.6.18	Veled azonban szövetségre lépek: menj be a bárkába fiaiddal, feleségeddel és fiaid feleségeivel együtt! 
GEN.6.19	És vigyél be a bárkába minden élőlényből, mindenből kettőt-kettőt, hogy életben maradjanak veled együtt: hímek és nőstények legyenek! 
GEN.6.20	A madaraknak, a szárazföldi állatoknak és a föld minden csúszómászójának különböző fajtáiból, mindegyikből kettő-kettő menjen be hozzád, hogy életben maradjon! 
GEN.6.21	Vigyél magaddal mindenféle eledelt, ami csak ehető; gyűjtsd be magadhoz, hogy legyen ennivalótok, neked is, meg azoknak is! 
GEN.6.22	Nóé így is tett: mindenben úgy járt el, ahogyan Isten megparancsolta neki. 
GEN.7.1	Az 
GEN.7.2	Minden tiszta állatból hetet-hetet vigyél magaddal, hímet és nőstényt! Azokból az állatokból, amelyek nem tiszták, kettőt-kettőt, hímet és nőstényt! 
GEN.7.3	Az égi madarakból is hetet-hetet, hímet és nőstényt, hogy maradjon utódjuk az egész földön! 
GEN.7.4	Mert hét nap múlva negyven nap és negyven éjjel tartó esőt bocsátok a földre, és eltörlök a föld színéről minden élőt, amelyet alkottam. 
GEN.7.5	Nóé úgy is tett mindent, ahogyan az 
GEN.7.6	Nóé hatszáz éves volt, amikor özönvíz lett a földön.
GEN.7.7	Bement tehát Nóé fiaival, feleségével és fiainak feleségeivel a bárkába az özönvíz elől. 
GEN.7.8	A tiszta állatok közül, de a nem tiszta állatok közül is, a madarak és mindenféle földi csúszómászók közül 
GEN.7.9	kettő-kettő bement Nóéhoz a bárkába: hím és nőstény, ahogyan megparancsolta Isten Nóénak. 
GEN.7.10	A hetedik napon özönvíz lett a földön.
GEN.7.11	Nóé életének hatszázadik évében, a második hónap tizenhetedikén: fölfakadt ezen a napon a nagy mélység minden forrása, megnyíltak az ég csatornái, 
GEN.7.12	majd negyven napon és negyven éjen át ömlött az eső a földre. 
GEN.7.13	Ugyanazon a napon bement Nóé és Nóé fiai: Sém, Hám és Jáfet meg Nóé felesége és fiainak három felesége a bárkába, 
GEN.7.14	és velük együtt mindenféle vadállat, mindenféle jószág, mindenféle csúszómászó, amely csak csúszik-mászik a földön, és mindenféle repdeső állat: az összes madár és egyéb szárnyasok. 
GEN.7.15	Kettő-kettő ment be Nóéhoz a bárkába mindenféle élőlényből. 
GEN.7.16	Hím és nőstény ment be minden élőből; bementek, ahogyan Isten Nóénak parancsolta. Az 
GEN.7.17	Amikor már negyven napja tartott az özönvíz a földön, annyira megnövekedett a víz, hogy nekifeszült a bárkának, és az fölemelkedett a földről. 
GEN.7.18	A víz egyre áradt és növekedett a földön, úgyhogy a bárka a víz színén úszott. 
GEN.7.19	A víz egyre erősebben áradt a földön, és elborította a legmagasabb hegyeket is mindenütt az ég alatt; 
GEN.7.20	sőt, még tizenöt könyöknyit áradt a víz azután is, hogy elborította a hegyeket. 
GEN.7.21	Elpusztult minden élőlény, amely a földön mozgott: madár, jószág és vadállat, a földön nyüzsgő minden egyéb élőlény és minden ember. 
GEN.7.22	Minden meghalt, aminek orrában az élet lehelete volt, és ami a földön élt. 
GEN.7.23	Eltörölt az Isten minden élőt, ami a föld színén volt, embert és állatot, csúszómászót és égi madarat. Mindent eltörölt a földről, csak Nóé maradt meg, és azok, akik vele voltak a bárkában. 
GEN.7.24	A víz százötven napig áradt a földön.
GEN.8.1	Isten azonban nem feledkezett meg Nóéról, sem azokról a vadállatokról és jószágokról, amelyek vele voltak a bárkában. Szelet bocsátott Isten a földre, és a víz apadni kezdett. 
GEN.8.2	Bezárultak a mélység forrásai és az ég csatornái; nem esett több eső az égből. 
GEN.8.3	Azután a víz egyre jobban visszahúzódott a földről, és százötven nap múlva leapadt a víz. 
GEN.8.4	A bárka pedig a hetedik hónap tizenhetedik napján megfeneklett az Ararát hegységben. 
GEN.8.5	A víz állandóan fogyott a tizedik hónapig. A tizedik hónap első napján láthatókká váltak a hegyek csúcsai.
GEN.8.6	Negyven nap múlva kinyitotta Nóé a bárka ablakát, amelyet csinált, 
GEN.8.7	és kiengedett egy hollót. Az újra meg újra kirepült és visszatért, amíg föl nem száradt a víz a földről. 
GEN.8.8	Kiengedett egy galambot is, hogy lássa: vajon leapadt-e a víz a föld színéről. 
GEN.8.9	De a galamb nem tudott leszállni, ezért visszatért hozzá a bárkába. Víz borította ugyanis az egész földet. Ő pedig kinyújtotta a kezét, megfogta, és bevette magához a bárkába. 
GEN.8.10	Várakozott még újabb hét napig, és ismét kiengedte a galambot a bárkából. 
GEN.8.11	Estére megjött hozzá a galamb, és íme, már egy leszakított olajág volt a csőrében. Ebből tudta meg Nóé, hogy leapadt a víz a földről. 
GEN.8.12	Várakozott még újabb hét napig, és kiengedte a galambot, de az már nem tért vissza hozzá. 
GEN.8.13	A hatszázegyedik esztendőben az első hónap első napjára fölszáradt a víz a földről. Ekkor Nóé eltávolította a bárka fedelét, és látta, hogy már fölszáradt a föld. 
GEN.8.14	A második hónap huszonhetedik napjára felszikkadt a föld.
GEN.8.15	Ekkor így szólt Isten Nóéhoz: 
GEN.8.16	Jöjj ki a bárkából feleségeddel, fiaiddal és fiaid feleségeivel együtt! 
GEN.8.17	Mindenféle élőlényt, amely csak veled van: madarat, szárazföldi állatot és minden földi csúszómászót hozz ki magaddal, hadd nyüzsögjenek a földön, szaporodjanak és sokasodjanak a földön! 
GEN.8.18	Kijött tehát Nóé fiaival, feleségével és fiainak feleségeivel együtt. 
GEN.8.19	Minden élőlény, minden csúszómászó, minden madár, minden, ami mozog a földön, csoportonként kijött a bárkából. 
GEN.8.20	Azután oltárt épített Nóé az 
GEN.8.21	Amikor az 
GEN.8.22	Amíg csak föld lesz, nem szűnik meg
GEN.8.22	a vetés és az aratás, a hideg és a meleg,
GEN.8.22	a nyár és a tél, a nappal és az éjszaka. 
GEN.9.1	Isten megáldotta Nóét és fiait, és ezt mondta nekik: Szaporodjatok, sokasodjatok, és töltsétek be a földet! 
GEN.9.2	Féljen és rettegjen tőletek minden földi állat és minden égi madár, kezetekbe adom őket minden földi csúszómászóval és a tenger minden halával együtt. 
GEN.9.3	Minden, ami csak él és mozog, legyen a ti eledeletek! Nektek adom mindezt éppúgy, mint a zöld növényt. 
GEN.9.4	De ne egyétek a húst az éltető vérrel együtt! 
GEN.9.5	Bizony, számon kérem a benneteket éltető vért! Minden állattól számon kérem azt, és az embertől is számon kérem az ember életét: egyik embertől a másikét. 
GEN.9.6	Aki ember vérét ontja,
GEN.9.6	annak vérét ember ontja.
GEN.9.6	Mert Isten a maga képmására
GEN.9.6	alkotta az embert. 
GEN.9.7	Ti azért szaporodjatok, sokasodjatok,
GEN.9.7	népesítsétek be a földet,
GEN.9.7	sokasodjatok rajta! 
GEN.9.8	Isten azt mondta Nóénak és fiainak: 
GEN.9.9	Íme, szövetségre lépek veletek és utódaitokkal, 
GEN.9.10	meg minden élőlénnyel, amely veletek van: madárral, jószággal és minden szárazföldi vaddal, mindennel, ami a bárkából kijött, minden földi élőlénnyel. 
GEN.9.11	Szövetségre lépek veletek, és egyetlen élőlény sem pusztul el többé özönvíz miatt, mert nem lesz többé özönvíz, hogy elpusztítsa a földet. 
GEN.9.12	Majd azt mondta Isten:
GEN.9.12	Ez a jele a szövetségnek, amelyet most szerzek veletek
GEN.9.12	és minden élőlénnyel, amely veletek van,
GEN.9.12	minden nemzedékkel örökre:
GEN.9.13	szivárványívemet helyezem a felhőkre,
GEN.9.13	az lesz a jele a szövetségnek,
GEN.9.13	amelyet most a földdel megkötök.
GEN.9.14	Amikor felhővel borítom be a földet,
GEN.9.14	és feltűnik a szivárvány a felhőn,
GEN.9.15	akkor visszaemlékezem a szövetségemre, amelyet veletek
GEN.9.15	és minden élőlénnyel kötöttem, amely testben él,
GEN.9.15	és nem válik többé a víz özönvízzé
GEN.9.15	minden élőlény pusztulására.
GEN.9.16	Ha ott lesz a szivárvány a felhőn,
GEN.9.16	látni fogom, és visszaemlékezem
GEN.9.16	az örök szövetségre,
GEN.9.16	amelyet Isten kötött minden élőlénnyel,
GEN.9.16	amely testben él a földön.
GEN.9.17	Akkor ezt mondta Isten Nóénak: Ez lesz a jele annak a szövetségnek, amelyet minden földi élőlénnyel kötöttem.
GEN.9.18	Ezek voltak Nóé fiai, akik kijöttek a bárkából: Sém, Hám és Jáfet. Hám Kánaán ősatyja. 
GEN.9.19	Ezek hárman Nóé fiai, és ők népesítették be az egész földet.
GEN.9.20	Nóé, a földműves volt az első, aki szőlőt ültetett. 
GEN.9.21	Egyszer bort ivott, megrészegedett, és meztelenre vetkőzött a sátrában. 
GEN.9.22	Hám, Kánaán ősatyja meglátta apja szemérmét, és elmondta kint levő két testvérének. 
GEN.9.23	Akkor Sém és Jáfet fogták a ruháját, a vállukra terítették, s háttal bemenve betakarták apjuk szemérmét, de elfordították arcukat, és így nem látták apjuk szemérmét. 
GEN.9.24	Amikor Nóé kijózanodott, és megtudta, hogy mit tett vele a kisebbik fia, 
GEN.9.25	ezt mondta:
GEN.9.25	Átkozott Kánaán!
GEN.9.25	Szolgák szolgája legyen testvérei között! 
GEN.9.26	Ezután ezt mondta:
GEN.9.26	Áldott az 
GEN.9.26	Legyen Kánaán a szolgája!
GEN.9.27	Terjessze ki Isten Jáfetet, lakjék Sém sátraiban!
GEN.9.27	Legyen Kánaán a szolgája!
GEN.9.28	Az özönvíz után Nóé még háromszázötven évig élt. 
GEN.9.29	Nóé teljes életkora kilencszázötven év volt, amikor meghalt.
GEN.10.1	Ezek a leszármazottai Nóé fiainak, Sémnek, Hámnak és Jáfetnek, akiknek az özönvíz után születtek fiaik. 
GEN.10.2	Jáfet fiai: Gómer, Mágóg, Mádaj, Jáván, Túbal, Mesek és Tírász. 
GEN.10.3	Gómer fiai: Askenáz, Rífat és Tógarmá. 
GEN.10.4	Jáván fiai: Elísá, Tarsís, Kittím és Dódáním. 
GEN.10.5	Ezektől ágaztak szét országaikba a szigetlakó népek, mindegyik a maga nyelve alapján, nemzetségeik és népeik szerint.
GEN.10.6	Hám fiai: Kús, Micrajim, Pút és Kánaán. 
GEN.10.7	Kús fiai: Szebá, Havílá, Szabtá, Ramá és Szabteká. Ramá fiai: Sába és Dedán.
GEN.10.8	Kús nemzette Nimródot. Ez kezdett hatalmaskodni a földön. 
GEN.10.9	Hatalmas vadász volt ő az 
GEN.10.10	Országa először Bábelben, Erekben, Akkádban és Kalnéban, Sineár földjén volt. 
GEN.10.11	Arról a földről ment Assúrba, és építette Ninivét, Rehóbót-Írt, Kelahot 
GEN.10.12	és Reszent, ezt a nagy várost Ninive és Kelah között.
GEN.10.13	Micrajim nemzette a lúdiakat, anámiakat, lehábiakat és naftúhiakat, 
GEN.10.14	a patrósziakat, a kaszlúhiakat és a kaftóriakat. Innen származtak a filiszteusok.
GEN.10.15	Kánaán nemzette elsőszülöttét, Szidónt, azután Hétet, 
