MAT.1.2	Abraham Aisak tegi, Aisak Zekop tegi. Zekop Zuda gum ntogi tegi. 
MAT.3.14	Zon ana thɨvɨr zav khaŋ ana nzuai, “Gu, ndu na ruarga. Ndu ram muuŋgiap wo ruar zav na han zi?” 
MAT.3.15	Ana maaŋ nzuaim, Zisas ana ŋgarkarav, khaŋ ana nzuai, “Mbara muuŋ, ndu ntigem gu nzuai kameŋ, ndu ne zɨn ŋgɨri. Ndu maaŋ muuŋgirga, ŋka mba Fhe Bakɨme muun zav suaŋgi buni, ŋka za nta zɨn vui.” Ana maaŋ suaŋgim, Zon ana suaŋgi kameŋ zɨn vui.
MAT.3.17	Ana ana han zerim, guma mbe kamthooŋ buivar kav khaŋ nzuai, “Khe nan Kam ma. Gu guigira ana vuzvugi. Na ndav vhee ana ndikndigi.”
MAT.4.2	Zisas vugap maaŋ kav 40 rari gu mbarir, ana mba mbegi fhu. Ana maaŋ muuŋgiap guigira thɨ mbatɨk hegi. 
MAT.4.3	Ana thɨhegim, ana mpari guma, zav ana hɨgap khaŋ ana nzuai, “Ndu maaŋ muuŋgip guigira Fhe Bakɨmen Kam, ndu suaŋrim, kha ŋkɨɨa vikntuua gegɨri.” 
MAT.4.4	Ana maaŋ nzuaim, Zisas ana ŋgarkarav khaŋ ana nzuai, “Fhe Bakɨmen buni vhuuiŋ ki gap khaŋ suaŋgi, ‘Gumgi gu mbigi mbara nzuav bɨɨŋbɨɨŋ ndiav ŋkasŋkagia ki fhuvara. Zakɨra fhuvara! Mbe Fhe Bakɨme suaŋgi buni mbe vhɨra za nta zɨn ŋgɨrga mbe bɨɨŋbɨɨŋ ndiv ŋkasŋkagip kɨrga.’ ”
MAT.4.5	Zisas maaŋ suaŋgim, Satan mbaram, Zisasan kov Fhe Bakɨme ŋgu ŋaar Zerusareman vugap, ana ko vov Fhe Bakɨme Phena shɨ guarara ndagi. 
MAT.4.6	Satan ana kov ndav, khaŋ ana nzuai, “Ndu maaŋ muuŋgip guigira Fhe Bakɨmen Kama guar, ndu khaŋ thɨgɨp fegɨmbɨra. Fhe Bakɨme buni vhuuiŋ ki gap khaŋ muuŋgi kameŋ ki. Mba kameŋ khaŋ nzuai, ‘Ana wo enseri ga suaŋrim, mbe ndu ganɨnga, bigɨn the ndun farfagirga tuktɨgi fhuvara. Mbe ndu suirav ndu vun fegɨrga, mba kɨma the ndu ŋkari thɨgɨrga tuktɨgi fhu.’ ” 
MAT.4.7	Ana maaŋ nzuaim, Zisas ana ŋgarkarav khaŋ ana nzuai, “Fhe Bakɨme buni vhuuiŋ ki gavar ki buna mueŋ wom vhɨra khaŋ nzuai, ‘Ndu Fhe Bakɨme, ana ndu Bakɨme ma! Ndu fhura ana ŋkasŋka ganɨ saŋv anan panɨ thari.’ ”
MAT.4.8	Zisas maaŋ suaŋgim, Satan wom Zisas ndigap guigira vun ndagi mbɨkshɨma bakɨ mben ndagi. Ana ana kov ndav, za kha nuianan ki bigir vhuuiŋ gu ana ki ŋgui bakɨvi gum ntan ŋkasŋkagi, ana ntan ana khɨvigi. 
MAT.4.9	Ana ntan Zisas khɨvav khaŋ ana nzuai, “Ndu maaŋ muuŋgip thɨvani phɨrgip na nɨman fav, na rotur muuŋgirga, gu za kha bigir ndun nɨɨŋgirga.” 
MAT.4.10	Ana maaŋ nzuaim, Zisas khaŋ ana nzuai, “Satan ndu sari. Fhe Bakɨme buni vhuuiŋ ki gap khaŋ suaŋgi, ‘Ndu Fhe Bakɨmera piin kɨri, ana nduara ndu Bakɨme ma. Ndu ara rotur muuŋri.’ ”
MAT.4.13	Ana zɨgap, Nasaret ŋgu thav vov Kaperneaman ki. Kaperneam ana Gariri mbasɨk taaŋra ki. Ana Seburuniŋ gum Naptariŋ nuianan ki. 
MAT.4.14	Zisas mba tɨva muuŋgiap ana mba fhum Fhe Bakɨme won kamthooŋ guma Aisaia ga suaŋgim, ana suaŋgi kameŋra zɨn vugi. Mba kameŋ khaŋ nzuai. 
MAT.4.15	“Mba Seburuniŋ gu Naptarin nuianen ki gumgi gu mbigi, mba nuianeŋ mba mbasɨk taan veri tuav bakɨme hara ki. Mba Zordan mbɨ gaar muen ki nuianeŋ, ne Gariri fhain nuianeŋ ma. Mba fhaiŋ ki nuianeŋ harigi ŋgui gumgi gu mbigi vhɨrve, mbe vhɨra mba nuianen ki. 
MAT.4.16	Mba nuianen ki gumgi gu mbigi, mbe ndava vura tɨvi ga mbuav ntan gɨngɨnan ki. Mbe gɨngɨnan kav, mbe vhava ŋaara gangi. Mba tɨvi mbatɨgi gɨngɨnan kav vhɨzgi fara muuŋgi gumgi, vhava ŋaar mben hɨgi.”
MAT.4.18	Zisas mba ŋaara mbuav Gariri mbɨ gaa ga rui. Ana ruav vov fek gu ŋguga phuni gangi. Saimon, mbe kha zɨ phorga anan kaai, Pita, ana ŋguk Andru, ana mani gangi. Mani wo vhaaŋ ndi mbɨ suav ki. Mani mbagan shɨga mbui gumani ma. 
MAT.4.19	Zisas mani gangiap khaŋ mani ga nzuai, “Ŋko na zɨn zɨri, gu gumgi gu mbigi ndirga tɨvar ŋko khɨvɨrga.” 
MAT.4.20	Ana maaŋ mani ga nzuavra thagim, mani fhura wani wo vhaaiŋ thav ana zɨn vui.
MAT.4.21	Mani ana phorga vuim, Zisas wom vov harigi fek gu ŋguga gari. Sebedin kam Zems won ŋguk Zonan kov, ana mani gangi. Mani won ndia Sebedin kov, mbe won keman kav, mben vhaaiŋ goreŋ regim, mbe ntan thoori sai. Zisas mani gangiap, manin kamgi. 
MAT.4.22	Zisas manin kamgim, mani vhemkora wo kema thav, wo ndia thav, mani Zisas phorga vui.
MAT.4.24	Zisas maaŋ mbuim, ana bun nzuai kameŋ za mba Siria fhaiŋ ga ruigi. Maaŋ muuŋgiap, mba gumgi gu mbigi, mbe mbarkɨrga rɨmrɨɨ kav nta zaagi ndi gumgi gu mbigi, ŋiniŋgi mbatɨgi vhen ndagi gumgi gu mbigi, gum suira gu hari rimgi gumgi gu mbigi, mbe mbe ndiav Zisas han zim, Zisas mbe rɨmrɨɨ ga mbuim, mbe taagia nzezerigi. 
MAT.4.25	Zisas maaŋ mbuim, Gariri gumgi gu mbigi vhɨrve, gum Dekaporis fhaiŋ gumgi, Zerusarem gumgi, Zudia gumgi, mueŋ kovan Zordan mbɨ gaar ki gumgi, mbe za Zisas zɨn vui.
MAT.5.1	Zisas garim, gumgi gu mbigi vhɨrve guarira ana zɨn zim, ana thav vov, mbɨkshɨma mbe gaar ndav peregi. Ana ndav peregim, ana phorga rui gumgi ana han zi.
MAT.5.2	Mbe ana han zim, ana mbaram Fhe Bakɨme buni vhuuin mbe khɨvav, mbe nzuai. 
MAT.5.3	Ana khaŋ mbe nzuai, “Nde tuituigiap Fhe Bakɨme tɨvi kaŋgir za ana nzuav gari gumgi, nde ndikndigɨri. Nde mba khesharigi gumgi, nde Fhe Bakɨme piin ki ana gari bigi nta Hevenan ki nde za nta ndirga.
MAT.5.12	Nde ne suaŋv ndavi simɨ thari. Nde ndavi mbɨrav wari kɨri. Nden vheza bakɨme nde rarga Hevenan ki. Mbe fhum nde nɨma tɨga fhara vegi Fhe Bakɨmen kamthooŋ gumgi, mbe mba tɨvara mbe muuŋgi.”
MAT.5.15	Khueŋ vhɨra, gumgi thari fhum raa ga mpov nta ndiv ndarir vhee vhui fhuvara. Mbe nta mpov nta ndi kaagir vurir mbaim, nta vhava ŋaarar mba phenan ki gumgi ga ndɨɨi. 
MAT.5.16	Nde vhɨra mba tɨvara muuŋri. Nden tɨvar vhuuŋ, ana vhava ŋaara farar muuŋgip, mba gumgi gu mbigi ga shɨrarim, mbe nden mbui tɨvir vhuuŋ ganɨv, nde Ndia kha Hevenan ki, mbe ana zɨ ndiv vun kuamkuarga.”
MAT.5.18	Gu guigira khar nde nzuai, kha nuian gu buip vhɨzgirga, kha Fhe Bakɨme Moses ga nɨɨŋgi tɨva, thueŋ, ne vhɨzgirga tuktɨgi fhuvara. Zakɨra fhuvara! Mbe kha Fhe Bakɨme Moses nɨɨŋgi tɨvi, mbe nta khergi, mba ŋkeera thueŋ gu mba ana tɨgi tɨvi thaneŋ vhɨzgirga tuktɨgi fhuvara. Mba tɨvi mbara muuŋgip kɨrim, Fhe Bakɨme mba suaŋgi bigi za hegɨrga. 
MAT.5.19	Maaŋ muuŋgip, guma the Fhe Bakɨme Moses ga nɨɨŋgi tɨva thueŋ gangip, khaŋ ne ga suanga, ne fhura ki tɨveŋ ma. Ana maaŋ suaŋgip, ana harigi guma the suaŋrim, ana vhɨra ana zɨn ŋgɨp, mba ndɨkndɨgen vhɨra mba tɨven muunga. Mba tɨveŋ ne kɨvgi fhu, ne guigira tɨva bisaneŋ ma. Maaŋ mbui guma Hevenan ana zɨ guigira bisaŋgirga. Guma, ana Fhe Bakɨme Moses ga nɨɨŋgi tɨvi, ana nta zɨn vov, mba tɨvir harigi gumgi khɨvav mbe nzuai guma, ana Hevenan Fhe Bakɨme gari bigi, ana mba ŋanan, ana zɨ bakɨme ki. 
MAT.5.20	Gu nde nzuai, nde guigira Fhe Bakɨme vuzvugi zɨn vui fhu. Nden tɨvi vhuuiŋ, nta Zudaiŋ tɨvi vhuuiŋ kaŋgi gumgi gum Fherasiŋ gumgi tɨvi kambarigi fhuvara, nde maaŋ muuŋgip, Hevenan Fhe Bakɨme piin kegɨrga tuktɨgi fhuvara.”
MAT.5.22	Gu ntigem khaŋ muuŋgia tɨga nde nzuai, Guma, ana won fek the, ana vhega mbatɨgir ana muuŋgi, mba guma, ana vhɨra bigi ndi thɨgar mbai guman pana nɨma thɨgɨrga. Guma the vhɨra buni mbatɨgir won fek the suaŋgirga, mba guma, ana vhɨra buaadegi gumgir guman pana vhari nɨma thɨgɨrga. Guma the vhɨra khaŋ harigi guma the suanga, ‘Ndu ŋanŋangi guma ma.’ Maaŋ ana suaŋgi guma, ana Herar vhavar ŋgirgɨrga.
MAT.5.24	Nde mba Fhe Bakɨme nzuav shaman muun zav ndiga zɨgi bigi, nde nta ndiv mba artara hara mbarav, nde taagi ŋgɨp, wari wo fek phorgɨp suaŋ mba bigeŋ ndiv thɨgar mbarari. Nde ne ndiv thɨgar mbarav, nde taagi ŋgɨp Fhe Bakɨme suaŋv shaman muuŋri.
MAT.5.26	Gu guigira nde nzuai, ndu mbara muuŋgip bɨnan kɨv kɨv, ndu mbe vhezɨr za ndu suaŋgi ŋkɨɨa, ndu za nta vheza vhezgirga.”
MAT.5.28	Gu kha kamen nde nzuai, nde guma the fhura mbiga the ganɨv ndɨkndɨga mbatɨgar ana muuŋgirga, mba guma ana wo ndava vhen ruan mba mbiga ndiga kegi tɨva muuŋgi.
MAT.5.30	Ndu maaŋ muuŋgip ndun guva hareŋ ndun muuŋgirim, ndu rɨgɨp tɨva mbatɨga thueŋ muuŋgip, nde mba hareŋ sigip, ne fekhɨngiri. Ndu fhava ndera bueŋra mba rɨgi ne nzerara, ne ndun kɨrga, ndu tɨvi mbatɨgir muunga, mbe za ndu fegɨp Her khɨngi rivgi.”
MAT.5.32	Mbe maaŋ mbui, gu kha kamen nde nzuai, guma ana muuŋ ruan harigi guma kɨmgi fhu, ana man fhura ana thagi. Mba guma ana won muuaŋ muuŋgim, ana mani wani ga tɨgi tɨva phɨrgi. Ne khaŋ muuŋgi ana ana thagim, ana vov harigi guma ga tɨgi. Mba mbik, ana ruan harigi guma kɨmgi tɨva muuŋgi. Guma vhɨra, harigi guma wo muuŋ tharga ana kɨrga, guma the ana tɨgɨrga, mba guma vhɨra man gu mburi wari ga rɨgi tɨva khara thɨgap, ana vhɨra ruan harigi guman muuŋ kɨmgi tɨva muuŋgi.”
MAT.5.34	Gu nde nzuai, nde fhura vu guma zitɨ thari. Guigi guarara! Nde wo buna thueŋ havharɨ saŋv Heven zitɨ thari. Ne khaŋ muuŋgi, Heven, ana Fhe Bakɨme ŋgui vhɨrve gari guman pan kav pigi mpirmpirɨk ma. 
MAT.5.35	Nde vhɨra wari wo buna the havharɨ saŋv nuiana zitɨ thari. Ana vhɨra khaŋ muuŋgi, ana Fhe Bakɨme perav won ŋkarveni ndi si ŋaneŋ ma. Nde vhɨra wari wo buna thueŋ havharɨ saŋv Zerusarem zitɨ thari. Zerusarem, ana vhɨra ŋgui vhɨrve gari guman panan vharir ŋgu bakɨme ma. 
MAT.5.36	Nde vhɨra wari wo buna thueŋ havharɨ saŋv wari wo panira zitɨ thari. Ne khaŋ muuŋgi, nde nduarira wari wo pana rɨgin muuŋgirim, nta hurgirga tuktɨgi o, nta phɨgirga tuktɨgi fhuvara. 
MAT.5.37	Nde buni suaŋv fhura khara suaŋri, ‘Ahaŋ’ o, ‘Fhuvara.’ Nde mbara suaŋri. Nde maaŋ suaŋ thav, nde fhura buni thari suaŋgirga, mba buni nta Satan nde nzuaim, nde nzuai.”
MAT.5.39	Gu maaŋ muuŋgiap khaŋ nde nzuai, nde harigi gumgi nde muuŋgi tɨvi mbatɨgi, nde nta ŋgarka thari. Maaŋ muuŋgip, guma the nde kureŋ phɨrgirim, nde dorgɨp harigi kuren ana phɨrarim, ana vhɨra ne phɨrgiri. 
MAT.5.40	Guma the maaŋ muuŋgip ndu fhava shaara ndir suaŋv ndu suaŋ suaŋrim, ndu vhɨra wo fhava shaara mpeeŋ phorgɨv ana nɨɨŋgiri. 
MAT.5.41	Guma the maaŋ muuŋgip wo bigi ndigɨp kiromitar then ŋgɨr saŋv ndu suaŋrim, ndu ana bigi ndigɨp kiromitar phunini ŋgɨgɨri. 
MAT.5.42	Guma the maaŋ muuŋgip bigɨn then ndun nzarim, ndu ana nɨɨŋri. Guma the ndun ŋgarɨgar muun saŋv muuŋrim, ndu kɨr ana sɨ thari.”
MAT.5.44	Mbe maaŋ nzuaim, gu khaŋ nde nzuai, nde guigira wari won pana gumgi vuzvugɨri. Nde mbe vuzvugɨp, mba tɨvi mbatɨgir nde mbui gumgi, nde mbe suaŋv Fhe Bakɨme phorgɨv suaŋrim, ana mben korar muuŋri. 
