PSA.1.1	 Blažen 
PSA.4.5	 Prinesite žrtve pravedne, i u GOSPODA se pouzdajte!
PSA.4.6	 Mnogi govore: “Tko će nam pokazati 
PSA.4.7	 Ti si u srce moje stavio veselje, više nego 
PSA.4.8	 U miru ću i leći i zaspati: jer mi samo ti, GOSPODE, daješ da prebivam u sigurnosti.
PSA.5.1	 Prikloni uho, GOSPODE, riječima mojim, promišljanje moje razmotri!
PSA.5.2	 Poslušaj glas vapaja mojega, Kralju moj i Bože moj, jer ću se tebi moliti!
PSA.5.3	 Jutrom ćeš, GOSPODE, glas moj čuti; jutrom ću 
PSA.5.4	 Jer ti nisi Bog koji uživa u zloći, niti će zlo s tobom prebivati.
PSA.5.5	 Bezumni se neće pred licem tvojim održati; ti mrziš sve one koji čine bezakonje.
PSA.5.6	 Ti ćeš uništiti one koji laž govore; GOSPOD se gnuša krvoločna čovjeka i čovjeka koji vara.
PSA.5.7	 A ja ću u dom tvoj doći po mnogom milosrđu tvome; u strahu tvome štovat ću 
PSA.5.8	 Vodi me, GOSPODE, u svojoj pravednosti radi neprijatelja mojih; poravnaj put svoj pred licem mojim.
PSA.5.9	 Jer vjernosti nema u ustima njihovim; nutrina je njihova puna zloće; grlo im je otvorena grobnica, jezikom svojim laskaju.
PSA.5.10	 Uništi ih, Bože! Neka padnu od vlastitih savjeta; otjeraj ih zbog mnoštva prijestupa njihovih, jer su se pobunili protiv tebe.
PSA.5.11	 A svi koji se u tebe pouzdaju, neka se raduju; neka zauvijek od radosti kliču jer ih ti štitiš; i neka oni koji ljube ime tvoje budu radosni u tebi;
PSA.5.12	 jer ti ćeš, GOSPODE, blagosloviti pravednog, kao štitom ga okružiti naklonošću.
PSA.6.1	 GOSPODE, nemoj me koriti u srdžbi svojoj, niti me u žestini svojoj odgajati kažnjavanjem!
PSA.6.2	 Smiluj mi se, GOSPODE, jer sam slab; ozdravi me, GOSPODE, jer se muče kosti moje.
PSA.6.3	 I duša se moja jako muči, a ti, GOSPODE, dokle ćeš
PSA.6.4	 Vrati se, GOSPODE, dušu moju izbavi, spasi me radi milosrđa svojega!
PSA.6.5	 Jer u smrti nema spomena na tebe; tko će ti u grobu dati hvalu?
PSA.6.6	 Iznemogao sam od uzdisaja svojega; cijelu noć postelju svoju natapam; suzama svojim ležaj svoj zalijevam.
PSA.6.7	 Oko moje od jada se iscrpilo; postaje staro zbog neprijatelja mojih.
PSA.6.8	 Odlazite od mene svi vi koji bezakonje činite, jer je GOSPOD čuo glas plača mojega.
PSA.6.9	 GOSPOD je čuo molbu moju; GOSPOD će primiti molitvu moju.
PSA.6.10	 Neka se posrame svi moji neprijatelji i uznemire jako, neka se vrate i smjesta postide.
PSA.7.1	 GOSPODE, moj Bože, u tebe se pouzdajem, spasi me od svih koji me progone, i izbavi me,
PSA.7.2	 da mi dušu ne rastrgnu kao što lav razdire dok nikoga nema da izbavlja.
PSA.7.3	 GOSPODE, moj Bože, ako sam učinio ovo: ako je nepravda na rukama mojim;
PSA.7.4	 ako sam zlom uzvratio onome koji je u miru bio sa mnom (da, izbavio sam onoga koji mi je bez razloga neprijatelj!),
PSA.7.5	 neka neprijatelj dušu moju progoni i zgrabi 
PSA.7.6	 Ustani, GOSPODE, u srdžbi svojoj, podigni se zbog bijesa neprijatelja mojih; i probudi se, radi mene 
PSA.7.7	 Tako će zajednica naroda tebe okružiti; radi njih se stoga vrati u visinu!
PSA.7.8	 GOSPOD će suditi narodu; sudi mi, GOSPODE, po pravednosti mojoj i po čestitosti mojoj 
PSA.7.9	 Neka se zloća opakih dokrajči, a 
PSA.7.10	 Štit je moj od Boga koji spašava čestitog u srcu.
PSA.7.11	 Bog sudi pravedno, i srdi se Bog na 
PSA.7.12	 Ako se taj ne obrati, on će mač svoj naoštriti; luk je svoj napeo i pripremio ga.
PSA.7.13	 I za njega je pripremio oruđe smrti; određuje strijele svoje protiv progonitelja.
PSA.7.14	 Gle, on ima trudove nepravde; i začeo je nevaljalštinom, a izrodio laži.
PSA.7.15	 Kopao je rupu i iskopao, te upao u jamu 
PSA.7.16	 Njegova će se nevaljalština vratiti na glavu njegovu, i nasilje njegovo spustiti na tjeme njegovo.
PSA.7.17	 Slavit ću GOSPODA prema pravednosti njegovoj; i pjevati hvalu imenu GOSPODA Svevišnjega.
PSA.8.1	 GOSPODE, Gospodinu naš, kako je 
PSA.8.2	 Iz usta djece i dojenčadi snagu si odredio zbog neprijatelja svojih, da možeš ušutkati neprijatelja i osvetnika.
PSA.8.3	 Kad promatram nebesa tvoja, djelo prstiju tvojih: mjesec i zvijezde koje si odredio,
PSA.8.4	 što je čovjek da ga se spominješ i sin čovječji da ga posjećuješ?
PSA.8.5	 Jer si ga učinio tek malo manjim od anđela, te ga ovjenčao slavom i čašću.
PSA.8.6	 Dao si mu vlast nad djelima ruku svojih, sve si postavio pod noge njegove:
PSA.8.7	 sve ovce i goveda, da, i zvijeri poljske;
PSA.8.8	 ptice nebeske i ribe morske, i sve što prolazi stazama morskim.
PSA.8.9	 GOSPODE, Gospodinu naš, kako je veličanstveno ime tvoje po svoj zemlji!
PSA.9.1	 Slavit ću te, GOSPODE, svim srcem svojim, objavljivat ću sva čudesna djela tvoja.
PSA.9.2	 Veselit ću se i radovati u tebi, pjevat ću hvalu imenu tvome, o Svevišnji!
PSA.9.3	 Kad neprijatelji moji budu vraćeni natrag, past će i propasti u prisutnosti tvojoj.
PSA.9.4	 Jer ti si podržao pravo moje i parnicu moju; ti si sjeo na prijestolje sudeći pravedno.
PSA.9.5	 Ti si ukorio pogane, uništio opake, ime si im izbrisao uvijek i zauvijek.
PSA.9.6	 O ti neprijatelju, pustošenja su trajno prestala, a ti si gradove rušio; spomen njihov s njima je propao.
PSA.9.7	 Ali će GOSPOD ostati zauvijek, prijestolje je svoje pripremio za sud.
PSA.9.8	 I on će svijetu suditi u pravednosti, presudit će narodu u čestitosti.
PSA.9.9	 GOSPOD će biti i utočište potlačenom, utočište u vremenima nevolje.
PSA.9.10	 A oni koji poznaju ime tvoje u tebe će se pouzdati; jer nisi, GOSPODE, napustio one koji te traže.
PSA.9.11	 Pjevajte hvale GOSPODU koji na Sionu prebiva; objavite među ljudima djela njegova!
PSA.9.12	 Kad on istražuje krvi 
PSA.9.13	 Smiluj mi se, GOSPODE, promotri nevolju moju 
PSA.9.14	 da bih objavio svu slavu tvoju na vratima kćeri Sionske. Radovat ću se u spasenju tvome.
PSA.9.15	 Pogani su upali u jamu 
PSA.9.16	 GOSPOD je poznat po sudu 
PSA.9.17	 Opaki će u pakao skrenuti, 
PSA.9.18	 Jer potrebit neće biti uvijek zaboravljen, iščekivanje siromaha 
PSA.9.19	 Ustani, GOSPODE, neka čovjek ne nadvlada, neka pogani budu osuđeni pred licem tvojim.
PSA.9.20	 Strah im utjeraj, GOSPODE, da narodi mogu sebe upoznati 
PSA.10.1	 Zašto stojiš daleko, GOSPODE, 
PSA.10.2	 Opaki u oholosti siromaha progone; neka se uhvate u sprave koje su sami izmislili.
PSA.10.3	 Jer se opaki hvališe željom srca svojega, i blagoslivlja pohlepnog 
PSA.10.4	 U oholosti lica svojega opaki 
PSA.10.5	 Putevi su njegovi uvijek tegobni; tvoji su sudovi daleko gore, izvan vidika njegova, 
PSA.10.6	 U srcu je svojem rekao: “Neću se pokolebati, 
PSA.10.7	 Usta su mu puna kletve i prijevare i podvale; pod jezikom 
PSA.10.8	 Sjedi u skrovištima seoskim, na tajnim mjestima ubija nedužnog; oči mu vrebaju siromaha.
PSA.10.9	 U zasjedi čeka potajno kao lav u jazbini svojoj, čeka u zasjedi da uhvati siromaha; hvata siromaha kad ga uvlači u mrežu svoju.
PSA.10.10	 Čuči, saginje se, da bi siromah pao od siline njegove.
PSA.10.11	 U srcu je svojemu rekao: “Bog je zaboravio, skriva lice svoje; nikada vidjeti neće!”
PSA.10.12	 Ustani, GOSPODE, Bože, podigni ruku svoju, ne zaboravi ponizne!
PSA.10.13	 Zašto opaki Boga prezire? U srcu je svojemu rekao: “Ti nećeš 
PSA.10.14	 Ti si 
PSA.10.15	 Satri ruku opakomu i zlomu, istraži zloću njegovu 
PSA.10.16	 GOSPOD je kralj uvijek i zauvijek, pogani su nestali iz zemlje njegove.
PSA.10.17	 GOSPODE, čuo si želju poniznih, ti ćeš pripremiti srce njihovo, priklonit ćeš svoje uho da čuje:
PSA.10.18	 da dosudiš 
PSA.11.1	 U GOSPODA se uzdam; kako vi duši mojoj govorite: “Utekni kao ptica u goru svoju”?
PSA.11.2	 Jer, evo, opaki su luk svoj napeli, strijelu su svoju na tetivu namjestili, da mogu tajno ustrijeliti čestitog u srcu.
PSA.11.3	 Ako temelji budu uništeni, što pravedni može učiniti?
PSA.11.4	 GOSPOD 
PSA.11.5	 GOSPOD ispituje pravednog, ali opakog i onoga što ljubi nasilje duša njegova mrzi.
PSA.11.6	 Na opake će dažditi zamkama, ognjem i sumporom, i burom strašnom; 
PSA.11.7	 Jer pravedan GOSPOD ljubi pravednost; lice njegovo čestiti gledaju.
PSA.12.1	 Pomozi, GOSPODE, jer ponestaje čovjeka pobožnog; jer vjerni nestaju među sinovima ljudskim!
PSA.12.2	 Oni ispraznosti govore, svaki sa bližnjim svojim; usnama laskavim i srcem dvoličnim govore.
PSA.12.3	 GOSPOD će zatrti sve usne laskave, i jezik što oholosti govori.
PSA.12.4	 Tko je rekao: “Jezikom svojim mi ćemo nadvladati, usne 
PSA.12.5	 “Zbog tlačenja siromaha, zbog uzdisaja potrebitog sada ću ustati”, govori GOSPOD, “stavit ću 
PSA.12.6	 Riječi GOSPODNJE riječi su čiste, 
PSA.12.7	 Ti ćeš ih održati, GOSPODE, sačuvati ih od naraštaja ovoga zauvijek.
PSA.12.8	 Opaki hodaju na sve strane kad su najpodliji ljudi uzvišeni.
PSA.13.1	 Dokle ćeš me, GOSPODE, zaboravljati? Zauvijek? Dokle ćeš lice svoje od mene skrivati?
PSA.13.2	 Dokle ću se savjetovati u duši svojoj, svakodnevno se žalostiti u srcu svome?
PSA.13.2	Dokle će se neprijatelj moj nada mnom uzdizati?
PSA.13.3	 Razmotri, čuj me, GOSPODE, Bože moj! Prosvijetli oči moje da ne zaspim 
PSA.13.4	 da neprijatelj moj ne kaže: “Nadvladao sam ga!”, 
PSA.13.5	 Ali sam se ja u milosrđe tvoje pouzdao; moje će se srce radovati u spasenju tvojemu!
PSA.13.6	 Pjevat ću GOSPODU, jer mi je dobrostiv bio.
PSA.14.1	 Bezumnik je u srcu svome rekao: “Nema Boga!” Pokvareni su, odvratna su djela činili, 
PSA.14.2	 GOSPOD je s neba pogledao na sinove ljudske da vidi ako ima ondje netko tko je razumio 
PSA.14.3	 Svi su zastranili, zajedno se okaljali, nitko da čini dobro, nema ni jednoga.
PSA.14.4	 Zar svi koji bezakonje čine nemaju spoznaju, koji narod moj izjedaju 
PSA.14.5	 Ondje su bili u strahu velikom, jer Bog 
PSA.14.6	 Osramotili ste savjet siromaha, jer mu je GOSPOD utočište.
PSA.14.7	 O, da spasenje Izraelu 
PSA.15.1	 GOSPODE, tko će obitavati u Šatoru tvome, tko će prebivati na svetoj gori tvojoj?
PSA.15.2	 Onaj tko hodi čestito i postupa pravedno, i govori istinu u srcu svome;
PSA.15.3	 ne kleveće jezikom svojim, ne čini zlo bližnjemu svome, niti nanosi pogrdu susjedu svome;
PSA.15.4	 u čijim je očima podlac prezren; ali poštuje one koji se boje GOSPODA; 
PSA.16.1	 Sačuvaj me, Bože, jer se u tebe pouzdajem!
PSA.16.4	 Umnožit će patnje svoje oni koji žure 
PSA.16.5	 GOSPOD 
PSA.16.6	 Pali su mi konopi na mjesta ugodna; da, imam krasnu baštinu!
PSA.16.7	 Blagoslivljat ću GOSPODA koji mi je dao savjet; nutrina me moja i noćima upućuje.
PSA.16.8	 GOSPODA sam uvijek pred sebe postavio; jer mi je zdesna, pokolebati se neću.
PSA.16.9	 Stoga se srce moje veseli i slava se moja raduje; i tijelo će moje u nadi počivati,
PSA.16.10	 jer nećeš dušu moju u paklu ostaviti, niti dopustiti da Sveti tvoj ugleda trulež.
PSA.16.11	 Pokazat ćeš mi put života; u nazočnosti svojoj puninu radosti, u desnici tvojoj zadovoljstva 
PSA.17.1	 Čuj pravicu, GOSPODE, na vapaj se moj obazri; poslušaj molitvu moju što ne
PSA.17.2	 Neka mi iz nazočnosti tvoje presuda izađe, neka oči tvoje ugledaju ono što je pravo.
PSA.17.3	 Ti si srce moje ispitao, noću si me pohodio; iskušaj me 
PSA.17.4	 Glede djela ljudskih, po riječi usana tvojih sačuvao sam se od staza rušitelja.
PSA.17.5	 Zadrži korake moje na stazama svojim, 
PSA.17.6	 Prizvao sam te, Bože, jer ćeš me čuti; prigni k meni uho svoje 
PSA.17.7	 Pokaži čudesnu blagost svoju, o ti, koji one koji se 
PSA.17.8	 Čuvaj me kao zjenicu oka; sakrij me pod sjenu krila svojih
PSA.17.9	 od opakih koji me tlače, 
PSA.17.10	 Zatvorili su se u svoja vlastita sala, ustima svojim oholo govore.
PSA.17.11	 Naše su korake sada opkolili; uprli su oči svoje usmjerivši ih se na zemlju
PSA.17.12	 kao kad lav žudi za plijenom svojim i kao lavić što vreba na tajnim mjestima.
PSA.17.13	 Ustani, GOSPODE, predusretni ga, obori ga! Izbavi dušu moju od opakog 
PSA.17.14	 od ljudi 
PSA.17.15	 A što je do mene, ja ću u pravednosti lice tvoje gledati; bit ću zadovoljan, kad se probudim s tvojim obličjem.
PSA.18.1	 Ljubit ću te, GOSPODE, snago moja.
PSA.18.2	 GOSPOD je stijena moja i utvrda moja i izbavitelj moj; Bože moj, snago moja u koju ću se pouzdati; zaštitniče moj i rože spasenja moga, visoka kula moja.
PSA.18.3	 Prizvat ću GOSPODA, dostojnog da bude proslavljen; tako ću biti spašen od neprijatelja svojih.
PSA.18.4	 Opkolile su me smrtne patnje, i prestrašile me bujice bezbožnika.
PSA.18.5	 Okružile su me patnje paklene, zamke smrti su me zapriječile.
PSA.18.6	 U tjeskobi sam svojoj prizvao GOSPODA, i zavapio Bogu svome; on je iz hrama svoga čuo glas moj i vapaj je moj pred njega stigao, 
PSA.18.7	 Tada se zemlja potresla i uzdrhtala, i temelji se gora pokrenuli i potresli, jer se on razgnjevio.
PSA.18.8	 Iz nosnica se njegovih dim podizao, a iz usta je njegovih oganj proždirao, ugljevlje se od toga zapalilo.
PSA.18.9	 I nebesa je on svinuo te sišao, a tama mu 
PSA.18.10	 i sjeo je na kerubina te poletio; da, na krilima je vjetra odletio.
PSA.18.11	 Tamu je načinio svojim tajnim mjestom; zaklon su njegov oko njega 
PSA.18.12	 Od sjaja pred njim prolazili su gusti oblaci, tuča i ugljevlje ognjeno.
PSA.18.13	 I zagrmio je GOSPOD u nebesima, i Svevišnji je zaorio glasom svojim, tučom i ugljevljem ognjenim.
PSA.18.14	 Da, strijele je svoje odapeo i raspršio ih, i munje je ispalio te ih rastjerao.
PSA.18.15	 Tada su se korita voda pokazala i otkrili se temelji svijeta od prijekora tvoga, GOSPODE, od olujnog daha nosnica tvojih.
PSA.18.16	 Pokrenuo se s visine, prihvatio me, izvukao me iz voda mnogih;
PSA.18.17	 izbavio me od jakoga neprijatelja moga i od onih koji su me mrzili, jer su bili prejaki za mene.
PSA.18.18	 Pretekli su me u dan nesreće moje, ali mi je GOSPOD bio podrška;
PSA.18.19	 te me izveo na prostrano mjesto, i izbavio me, jer sam mu omilio.
PSA.18.20	 GOSPOD me je nagradio po pravednosti mojoj, po čistoći ruku mojih uzvratio mi,
PSA.18.21	 jer sam čuvao puteve GOSPODNJE i nisam zlobno odstupio od Boga svoga.
PSA.18.22	 Jer su svi sudovi njegovi preda mnom, i nisam odredbe njegove od sebe odbacio.
PSA.18.23	 I bio sam čestit pred njim i čuvao sam se od bezakonja svoga.
PSA.18.24	 Stoga mi je GOSPOD uzvratio po pravednosti mojoj, po čistoći ruku mojih u očima njegovim.
PSA.18.25	 S milosrdnim ti si milosrdan, s čestitim čovjekom ti si čestit;
PSA.18.26	 s čistim ti si čist, a s prkosnima ti se pokazuješ prkosan.
PSA.18.27	 Jer ti ćeš spasiti narod potišten, a ponizit ćeš ponosite.
PSA.18.28	 Jer ti ćeš svjetiljku moju upaliti; GOSPOD, Bog moj, osvijetlit će tminu moju.
PSA.18.29	 Jer s tobom sam jurišao na četu neprijateljsku, i s Bogom sam svojim preko zida preskakao.
PSA.18.31	 Jer tko 
PSA.18.33	 on čini noge moje kao u košute, i postavlja me na visine moje.
PSA.18.34	 On ruke moje za boj poučava, tako da je luk čelični polomljen mišicama mojim.
PSA.18.35	 Ti si mi dao i štit spasenja svoga, i desnica me je tvoja podigla, a blagost me tvoja velikim učinila.
PSA.18.36	 Ti si korake moje poda mnom proširio, da se noga moja nije okliznula.
PSA.18.37	 Progonio sam neprijatelje svoje i sustigao ih; i nisam se vratio dok nisu bili istrijebljeni.
PSA.18.38	 Ranio sam ih da se nisu mogli podići; pali su pod noge moje.
PSA.18.39	 Jer ti si me snagom opasao za borbu, pod noge si moje podložio one koji su se protiv mene podizali.
PSA.18.40	 Predao si mi i šije neprijatelja mojih, da bih uništio one koji me mrze.
PSA.18.41	 Zavapili su, ali nikoga da 
PSA.18.42	 Tada sam ih smrvio kao prašinu na vjetru, bacio sam ih kao blato na ulice.
PSA.18.43	 Ti si me izbavio od ljudskih prepiranja; postavio si me poglavarom poganima; narod 
PSA.18.44	 Čim budu čuli o meni, bit će mi poslušni; tuđinci će se meni pokoriti.
PSA.18.45	 Tuđinci će iščeznuti i prestrašeni izaći iz ograđenih mjesta svojih.
PSA.18.46	 GOSPOD živi i neka bude blagoslovljena stijena moja; i neka Bog spasenja moga bude uzvišen!
PSA.18.47	 Bog 
PSA.18.48	 On me izbavlja od neprijatelja mojih; da, ti me podižeš iznad onih koji se protiv mene podižu; ti si me izbavio od čovjeka nasilnog.
PSA.18.49	 Stoga ću ti zahvaljivati među poganima, GOSPODE, i pjevati hvale imenu tvojemu.
PSA.18.50	 Veliko izbavljenje on kralju svome daje; i milosrđe iskazuje pomazaniku svome, Davidu, i sjemenu njegovu za sva vremena.
PSA.19.1	 Nebesa objavljuju slavu Božju, i svod 
PSA.19.2	 Dan danu iznosi besjedu, i noć noći obznanjuje spoznaju.
PSA.19.3	 Nema govora ni jezika 
PSA.19.4	 Mjera se njihova raširila po svoj zemlji, a riječi njihove do kraja svijeta. U njima je razapeo šator suncu
PSA.19.5	 koje kao mladenac iz odaje svoje izlazi, 
PSA.19.6	 Izlazak 
PSA.19.7	 Zakon 
PSA.19.8	 Odredbe 
PSA.19.9	 Strah 
PSA.19.10	 Poželjniji 
PSA.19.11	 Štoviše, sluga je tvoj po njima opominjan; u držanju 
PSA.19.12	 Tko će shvatiti 
PSA.19.13	 Čuvaj slugu svoga i od drskosti; neka nemaju vlasti nada mnom. Tada ću biti čestit, i bit ću nedužan od velikog prijestupa.
PSA.19.14	 Neka budu ugodne riječi usta mojih i promišljanje srca moga neka bude ugodno pred tobom, GOSPODE, snago moja i otkupitelju moj!
PSA.20.1	 GOSPOD te uslišio u dan nevolje; branilo te ime Boga Jakovljeva!
PSA.20.2	 Poslao ti pomoć iz Svetinje i osnažio te sa Siona!
PSA.20.3	 Spomenuo se svih prinosa tvojih i primio tvoju žrtvu paljenicu! Sela.
PSA.20.4	 Odobrio ti po srcu tvome i ispunio svaki savjet tvoj!
PSA.20.5	 Radovat ćemo se u spasenju tvome i u ime Boga svoga dizat ćemo stjegove. Ispunio GOSPOD sve molbe tvoje!
PSA.20.6	 Sada znam da GOSPOD spašava pomazanika svoga; uslišit će ga iz svog svetog neba spasonosnom snagom desnice svoje.
PSA.20.7	 Neki se 
PSA.20.8	 Oni su se poskliznuli i pali, a mi smo se digli i uspravno stojimo.
PSA.20.9	 Spasi, GOSPODE! Neka nas kralj usliši kad ga prizovemo!
PSA.21.1	 Kralj će se u snazi tvojoj veseliti, GOSPODE, a u spasenju tvome kako će se silno radovati!
PSA.21.2	 Ti si mu ostvario želju srca njegova, i nisi odbio molbu usana njegovih. Sela.
PSA.21.3	 Jer ga predusrećeš blagoslovima dobrote, na glavu mu stavljaš krunu od čistoga zlata.
PSA.21.4	 On je od tebe život zatražio, 
PSA.21.5	 Velika 
PSA.21.6	 Jer si ga učinio najblagoslovljenijim zauvijek; jako si ga obradovao licem svojim.
PSA.21.7	 Jer se kralj pouzdaje u GOSPODA i po milosrđu Svevišnjega neće se pokolebati.
PSA.21.8	 Ruka će tvoja naći sve neprijatelje tvoje; desnica će tvoja pronaći sve one koji te mrze.
PSA.21.9	 Postupit ćeš s njima kao peć užarena u vrijeme srdžbe svoje; GOSPOD će ih progutati u gnjevu svome, i oganj će ih proždrijeti.
PSA.21.10	 Plod ćeš njihov zatrti sa zemlje, i sjeme njihovo među sinovima ljudskim.
PSA.21.11	 Jer su smjerali zlo protiv tebe; smišljali su zloban plan 
PSA.21.12	 Zato ćeš učiniti da okrenu leđa svoja; pripremit ćeš 
PSA.21.13	 Budi uzvišen, GOSPODE, u snazi svojoj! Mi ćemo pjevati i slaviti moć tvoju.
PSA.22.1	 Bože moj, Bože moj, zašto si me ostavio? 
PSA.22.2	 Bože moj, vapim danju, ali ti ne čuješ; i noću, i nisam se utišao.
PSA.22.3	 Ali ti 
PSA.22.4	 Naši su se očevi u tebe pouzdavali, pouzdavali su se i ti si ih izbavio.
PSA.22.5	 Tebi su zavapili, i bili su izbavljeni; u tebe su se pouzdavali i nisu se postidjeli.
PSA.22.6	 Ali ja 
PSA.22.7	 Svi koji me vide, podsmjehuju mi se, prće usnu, mašu glavom, 
PSA.22.8	 “Pouzdao se u GOSPODA da ga izbavi; neka ga izbavi, budući da je u njemu uživao.”
PSA.22.9	 Ali ti 
PSA.22.10	 Na tebe sam upravljen od utrobe; ti 
PSA.22.11	 Ne udaljuj se od mene, jer blizu 
PSA.22.12	 Bikovi su me mnogi opkolili, jaki su me 
PSA.22.13	 Razvalili su na mene usta svoja, 
PSA.22.14	 Razlio sam se kao voda, i sve su kosti moje iščašene, srce je moje kao vosak; rastopilo se usred grudi mojih.
PSA.22.15	 Snaga se moja kao razlomljeni crijep isušila, i jezik se moj lijepi uz nepce moje; i ti si me stavio u prah smrtni.
PSA.22.16	 Jer su me psi opkolili, skup opakih me okružio; proboli su ruke moje i noge moje.
PSA.22.17	 Prebrojiti mogu sve kosti svoje; oni gledaju 
PSA.22.18	 Odjeću moju dijele među sobom, a za moje ruho bacaju ždrijeb.
PSA.22.19	 Ali ti, GOSPODE, ne budi daleko od mene, o snago moja, požuri mi u pomoć!
PSA.22.20	 Izbavi dušu moju od mača, ljubljenu moju od pasje snage.
PSA.22.21	 Spasi me od lavljih ralja, od rogova jednorogih, jer si me uslišio!
PSA.22.22	 Objavljivat ću ime tvoje braći svojoj, usred zajednice tebe ću slaviti.
PSA.22.23	 Vi koji se bojite GOSPODA, hvalite ga; sve sjeme Jakovljevo, veličajte ga; i bojte se njega sve sjeme Izraelovo!
PSA.22.24	 Jer on nije prezreo niti se gnušao patnje patnika, niti je sakrio od njega lice svoje; nego, kad je k njemu zavapio, čuo 
PSA.22.25	 Od tebe će biti hvala moja u zajednici velikoj; izvršit ću zavjete svoje pred onima koji se njega boje.
PSA.22.26	 Krotki će jesti i biti zadovoljni, hvalit će GOSPODA koji ga traže; 
PSA.22.27	 Svi će se krajevi svijeta spomenuti i okrenuti ka GOSPODU; i sva će plemena naroda iskazivati štovanje pred tobom.
PSA.22.28	 Jer kraljevstvo 
PSA.22.29	 Svi koji su pretili na zemlji jest će i iskazivati štovanje, svi koji u prah silaze pred njim će se pokloniti; i nitko ne može živom očuvati dušu svoju.
PSA.22.30	 Sjeme 
PSA.22.31	 Doći će i objavljivati pravednost njegovu narodu koji će se rađati, da je on 
PSA.23.1	 GOSPOD 
PSA.23.2	 Odmara me na zelenim pašnjacima; vodi me do mirnih voda.
PSA.23.3	 Obnavlja dušu moju; vodi me stazama pravednosti radi imena svoga.
PSA.23.4	 Da, kad bih kroz dolinu sjene smrti hodio, zla se neću bojati, jer ti 
PSA.23.5	 Ti prostireš trpezu preda mnom u nazočnosti neprijatelja mojih; uljem si mi glavu pomazao, čaša se moja prelijeva.
PSA.23.6	 Doista, dobrota i milosrđe pratit će mene sve dane života moga; u GOSPODNJEM ću domu prebivati zauvijek.
PSA.24.1	 Zemlja 
PSA.24.2	 Jer on ga je na morima utemeljio i na bujicama ga učvrstio.
PSA.24.3	 Tko će uzaći na goru GOSPODNJU? Tko će stajati na svetom mjestu njegovu?
PSA.24.4	 Onaj koji ima nedužne ruke i čisto srce, onaj koji ne uzdiže dušu svoju ka taštini, niti se kune prijevarno.
PSA.24.5	 On će od GOSPODA primiti blagoslov, i pravednost od Boga spasenja svojega.
PSA.24.6	 Ovo 
PSA.24.7	 Podignite glave svoje, o vrata; i budite uzdignute dveri vječne, pa će ući Kralj slave!
PSA.24.8	 Tko 
PSA.24.9	 Podignite glave svoje, o vrata, i uzdignite se, dveri vječne, pa će ući Kralj slave!
PSA.24.10	 Tko je taj Kralj slave? GOSPOD nad vojskama, on 
PSA.25.1	 K tebi, GOSPODE, dušu svoju uzdižem.
PSA.25.2	 Bože moj, u tebe se pouzdajem, ne dopusti da se posramim, ne dopusti da neprijatelji moji likuju nada mnom!
