MAT.1.1	Jisu Khrista David atu ate Abraham sanao pa puhang pahang na jiekka shi. 
MAT.3.13	Jisu na Galily hai thou wa Jordan turel la Johon kolla baptias ae ranga phao. 
MAT.3.14	Chutiweta Johon na ae no ranga rilleh, “Keita nangna baptias ae pi anga ae, hatiweta nangna keita alo ae pi oh ta phao ah che meh?”
MAT.3.15	Jisu na sange, “Ashu oh; hijongpa hina adiek tullu lu ranga ani taranga ahra sa ae hanapa chu Johon na ngei pi so.”
MAT.3.16	Jisu na baptias ae su len tui sunga thou mashuk juija thangwan honga Chungthieng muihla na urhu hekta tumma junga machunga mawar war riso. 
MAT.3.17	Akha chu thangwan tieng hai thou wa sanrol akha na ril. “Nahi kasanao pa ae machunga keina lunghsi inge keina amota leima lung tin shinge.”
MAT.4.1	Jisu ta hlem ranga dijabol na amota ramrukka muihla na rui thingso. 
MAT.4.2	Suon somly akha chu jan somly bakno een no na amo hi wontarma hangso. 
MAT.4.3	Dijabol ahlem na makolla phaoveta ril, “Ejonga nang na Chungthieng sanao mak ata lea chu nangna allung hita budol wul ranga rillo.” 
MAT.4.4	Jisu na sang, “Hita jiek shi ae, budol chakna malmashi ringna no ae, chuna Chungthieng kol hai thou phao rou lim na ring ange.” 
MAT.4.5	Hana hrano dijabolna athieng inn wangtekti am na Jerushalem athieng huluk hana amota ruija thingso. 
MAT.4.6	“Ejonga nangna Chungthieng asanaopa lea chu,” nangna chom ma tummo, amona ril rouram chu hita jiekka shi so ae,
MAT.4.6	“Amo na mawanrui ngeita hla weta mani
MAT.4.6	kut na nangta lang ah,
MAT.4.6	nakae allung chunga
MAT.4.6	theng pi ang no ae.”
MAT.4.7	Jisu na sange, “Hita jiek ka shi sho ae, nang na narengpu Chungthieng ta chang an no oh.” 
MAT.4.8	Woiha pakom dijabol na mullon chungtekti mun na rui oh thinga akha chu simlei chunga rengram lim ma ahra ahoi eja ta ripi. 
MAT.4.9	Hana amo na ril, “Nalim hi keina nangta pe-ange, ejonga nangna keita huk rhun weta mok ta lea chu.” 
MAT.4.10	Jisu na amota ril, “Ka am na hai thou wa thing jou oh, Saitan! rouram chu hita jieka shi so ae nangna narengpa Chungthieng mo ta chak mokkanga ae.” 
MAT.4.11	Hana chu dijabol na amota houphur weta wanrui na makolla phao weta amha so.
MAT.4.12	Johon ta aral inn sunga shi so ae ta Jisu na thei pha pa chu amona Galily tienga lea so. 
MAT.4.13	Hana Nazarete houphur weta Jebulun akha chu Naptaly Galily tuipi ramtienga Kapharnahum ma thing so. 
MAT.4.14	Rouphu Isaiah ril sha adiek takka shuk ranga, 
MAT.4.15	“Jebulun ram akha chu Naptaly ram tuipi lam tienga mun ha ah Jordan, ral ha ah meejat adang Galily. 
MAT.4.16	Ramthim ma ringa am malmashi ngei na alok mawar ripha so. Hana athi hla ram ma ringa am ngei tarang mawar war thou so.” 
MAT.4.17	Hana apha thou wa Jisu na rou sam thouso. “Lung hlongo, rouram chu thangwan rengram nei so ae.”
MAT.4.18	Jisu na Galily tuipi ralla mathing juija Saimon Pitar akhu chu manou Andrew manui na tuipi sunga len junna am riso, manui ha tuirik mant mee ae. 
MAT.4.19	Jisu na ril, “Wa oh kanutieng juijo, akha chu keina nangei ta mee mant mee changpi ange.” 
MAT.4.20	Hana makka manui na mani len haouphur weta manutieng jui so. 
MAT.4.21	Amunt hana thou thinga amo na Zebedi spa ulehnao Jacob akha chu Johon riso. Manui ha mapa hitta kung sunga len photta am ha Jisu na manuita kok. 
MAT.4.22	Apha hana makka manuina kung akha chu mapa ta houphur weta manutieng jui so ae.
MAT.4.23	Jisu na Galily ram sung lim ma thing weta Synagoge sunga Reng maram ahra rou chupi rilpi ah akha chu malmashi ana rai eja ta dampi ae. 
MAT.4.24	Syria ram sunga am malmashi ngei na routhar lim hi thei ah akha chu malmashi ngei na makolla rai adang adang eja hana ehakta dongneno arot asha ngei hana thikirdon, dijabol na mant, akha chu tak ahui athisa ngei eja amo na dampi sho weh. 
MAT.4.25	Chuna Galily, Dekapoli, Jerushalem, Judiah akha chu Jordan ralha tieng hai thou wairul riha ngei na manutieng jui.
MAT.5.1	Jisu na wairul riha ta mari juija amo na mullon tienga kal hang weta ong so weh, hana marui ngei na makolla wa ah. 
MAT.5.2	Akha chu amo na manita chupi thou so weh:
MAT.5.3	“Muihla ah ringrei ngei ha jaihra ae;
MAT.5.3	ti chu thangwan rengram ha mani tarange!
MAT.5.4	“Ningshi tah olla am mani ha jaihra ae;
MAT.5.4	rouram chu mani ta hoipi ange!
MAT.5.5	“Lung nem ngei ha jaihra ae;
MAT.5.5	rouram chu mani na alei ram hi chang ange!
MAT.5.6	“Adiek taranga tuiral wantam ngei ha jaihra ae;
MAT.5.6	rou ram chu mani ta won shi pi ange!
MAT.5.7	“Lungshi ngei ha jaihra ae; rouram chu
MAT.5.7	mani chunga meelungshit pha nge!
MAT.5.8	“Lung thieng ngei ha jaihra ae;
MAT.5.8	rouram chu mani na chung thieng ta ri ange!
MAT.5.9	“Adai semthei ngei ha jaihra ae;
MAT.5.9	rouram chu manita Chungthieng sanao ngei ta kokkange!
MAT.5.10	“Adiek taranga aol ana dong ngei ha jaihra ae;
MAT.5.10	rouram chu thangwan rengram mani ta ae!
MAT.5.11	“Kasaruk ka sharei ah nangei ta mee na anar ah ehai lim na hra no tullu lu, diekno rou ril, aol ana dong akha chu ajak pha ngei ha jaihra ae. 
MAT.5.12	Ariem mo akha chu lella hoi oh. Rouramchu wanram ma natarang alok amant shi sho weh rouram chu nangei matienga roumaril shuk thiempu ngei ta kom aol ana pe ae.
MAT.5.13	“Nangei chu alei ram ma chi chau ae. Chutiweta ejonga chi na ma-al am no lea, alo ta amota al rang sem mang meh? Chu lea chu lea sier ra amo ta eheilim ma ahra rang am no ae, denga hou weta mee na to ah hou no wa chu.
MAT.5.14	“Nangei ha aleiram ma awar chau ae, mullon na hulok ta eitick ko thumpa shi ngai no ae. 
MAT.5.15	Atuna kom awar dewankari ta tai sunga shi no ae; hana shi ang hutta mani na adui na chunga shi ae, akha chu mawar ha inn sunga am limpa na pha ae. 
MAT.5.16	Hihekta nawar hakom mee ngei maikunga warpi oh, chuleh chu mani na ahra natullu lu ri weta akha chu wanram ma napathieng ta kom malmashi ngei na dom mange.
MAT.5.17	“Nangei na keita hal no oh rouphon hou ranga akha chu rouphusuk ngei ta mangpi junge ta; manita mangpi jung nonge chuti weta mami ta tinpi jung singe. 
MAT.5.18	Keina adiek rou ril inge thangwan akha chu shimlei tiem ma lim chu jiekka shi sintekti rou akha chu chilepti akhaphao rouphun na mapung pha malim chu mang ang no ae. 
MAT.5.19	Chuna sarukka atu jongpa na, natrongsan hita kuipi weta meeta atante chupi takpi lea chu amo ta kom thangwan rengram ma amo ta kom asintekti kok kange, chuti weta atu jongpa na natrongsan hita hrabakta chupi takpi ah tullu lu lea chu thanwan rengram ma amota alokka kok kange. 
MAT.5.20	Rouram chu keina nangei ta rilla aminge nangeina Pharisi ngei akha chu rouphun ocha ngei ta hella ngoiring am no lea chu nangei na thangwan rengram ma lut nea ang no ae.
MAT.5.21	“Apha eja matienga malmashi ngei ta rilphur rou ha nangna thei ang chau ae, ‘meeta that no oh; akha chu atu jongpa amona meeta that lea chu amota i routreem mang.’ 
MAT.5.22	Hana keina nangei kolla rilla aminge: atu jongpa na ma-u-manao ta eko nowa lungsha meeta kom routreem mange, woi hapa kom atu-jongpa na ma-u-manao ta ‘Raca’ (wonpilok) ta rilleh chu ulenchang ngei mai ah ajak tukkange, hana atu jongpa ta ‘he lungmo!’ ta ril mee kom sarmei kum ma aol pha ange. 
MAT.5.23	Chuna sarukka ejonga nangna Chungthieng kolla napek rang pot nadon ha, maicham ma tung ma tienga na-u-nonao na nangta anda ah am meh ta angei thei oh. 
MAT.5.24	Napot ha maicham matieng houphur weta, masha ah lea weta na-u-nanao kolla ngei hlak su thingo; hana napot ha choiweta pe oh.
MAT.5.25	“Nang hitta anda hlak ha ranga lungleh hlakko. amona nangta ruisanga rui ange, nangna amohitta lampi hana thingha amlei ah, anoleh amona nangta routreem ae ngeita pekom ngei ange hana routreem pangei na nangta aral inn na si ange. 
MAT.5.26	Keina nakolla adiek rou rillinge maleh pi phung shuk som ha naleh pi malium chu nangna amunt hana thou wa shukne ang no che ae.
MAT.5.27	“Nangei na rilsa rou thei pha ang chau ae, ‘mee namei mee pashal lal no oh.’ 
MAT.5.28	Chuna keina nangei kolla rilla amminge: atujong akha na mee nameinu ta amitta adi apam ma an thing lea alungsunga namei nu hata lal thing shu sa hekti ae. 
MAT.5.29	Ejonga namit changtieng pana pak tapi ang lea chu kolweta denga hou oh. Rouram chu natak lim pa sarmei ah luttang masing chu natakka tum akha sal pana lella hra tekkae. 
MAT.5.30	Akha chu nakut changtieng pana nangta pak tul pi ang lea chu, tan weta denga hou oh, rouram chu napum limpa sermei kum ma luttang ma sinchu napum ma tum akha sal pana lella hra tekkae.
MAT.5.31	“Nahi rilla am meh, atujong amo na anamei ta hranhlak lea chu hran sange ti na ajiek pe shu oh. 
MAT.5.32	Chuti weta kaina nangei ta rillinge atu jong akha na anamei ta emo rou sarukka hran hlakka, mee pasal ta lalla hranhlak anowa chu, ahran namei ta nei mee amo ha namei ta lal mee ae.
MAT.5.33	“Woihakom amatienga nangei na malmashi ngeita ril thei pha ange, ‘Diekno saro ei no oh, chuti weta nasaro ei nu juija narengpu kolla hata shi oh.’ 
MAT.5.34	Chuti weta keina nangei ta rillinge Chungthieng minga saro ei no oh, apha chang honna ano lea thanwan hai ah rouram chu Chungthieng phum lu ae. 
MAT.5.35	Anoleh simlei phu ah, rouram chu makae tro na ae anoleh. Jerushalem phu ah, rouram chu Rengram alok hupi sa ae. 
MAT.5.36	Akha chu nalu thamma saro ei no oh, rou ram chu nangei na tou sam angou hal ahanghal akha phao sem nea no che; 
MAT.5.37	Chuna cham prekta nangna ngai sange nati ha ngai sange ta ammo, akha chu ngai nong nati ha ngai nonge ta am mo, nahina hei thou ralha ah phao chu hra no sa ae.
MAT.5.38	“Nangei na hita ril thei pha sho chou ae, mit akha tarang mit akha, akha chu ha akha tarang ha akha, 
MAT.5.39	Chuti weta atun chu keina nangeita rillinge hrano ae mee ta mangshak lea no oh. Ejonga atujong akha na nabe changtienga bengleh chu woitieng tiengpa kom wulla pe shir oh amo ta. 
MAT.5.40	Akha chu atu jong akha na naling lut nie lea chu napun pai kom amota pe ngal oh. 
MAT.5.41	Ejonga atu jong akha na nangta mile akha thing ranga kalla rilleh chu amo hita mile ani thing ha oh. 
MAT.5.42	Nakolla mee akha na nie lea chu amo ta pe oh, akha chu nakolla pu phao ngei ta kom pu pi oh.
MAT.5.43	“Nangna hita ril theipha ang che ae na inn ning tuh tieng ta lungshi oh akha chu nangta anda meeta atier ro. (“Nangei na rilla hou phurha thei so chou weh, nangei tonpi ngeita lungshi oh na ngei ta an da ngei ta atir ou oh.”) 
MAT.5.44	Chutiweta keina nanta rillinge anda meeta lungshi oh akha chu nangta aol ana pe mee tarang nie oh. (Chutiweta atun chu keina rillinge nangei ta anda mee ngei ta lungshi oh, akha chu wut rel ngei taranga nie pi oh.) 
MAT.5.45	Chuleh chu thangwan na napathieng sanao akha chang ange amona ahra mee tarang kom hrano mee tarang kom nienu shukpi, hana dramo chel mee tarang kom chelno mee tarang kom ru surpi. (Chuleh chu nangei hi thangwan ram ma pathieng spa ngei chang ange, rouram chu amo na hrano mee ngei chunga kom ahra mee ngei chunga kom ni war warpi ah ru shur pi ae.) 
MAT.5.46	Eje ah nangta lungshi meeta nangna lungshi ta lea chu, echu pha anga meh? Hajongpa chu khasanu thou ngei nakom hata ae. (Nungei ta lungshi ngei ta chak nang na lungshi ta lea chu, Chungthieng na amant e pe ang meh? Hajongpa chu pak chel ngei na kom ae ah am meh.) 
MAT.5.47	Akha chu na-u-nanao ta chak riemtuk pe ta lea chu adangei hitta nangna ejongpa hella ae ah che? Hojong chu adang jat na kom ae sa ae. (Chuna nangei na nangei tonpi ngei ta chak trongthou lea chu, adangei ta chu ejongpa tullu lu ah che? Hojong chu jat adang na kom ae sha.) 
MAT.5.48	Mapung pha oh, thangwan napathieng mapung pha hekta. (Thawan pathieng rakit hek ta nangei kom rakit anga ae.)
MAT.6.1	“Malmashi ngei mai ah mani na ri ong shu oh ta nangei dramo am na tullu lu no ranga shilung lutta tullu lu oh. Nangna ejonga hata ae ta lea chu thangwan ram ma napa thieng kolla naolmant am mang no ae.
MAT.6.2	“Chuna sarukka nalung lokka napek juija dang halla tumpet tum ma hypokrate (ahra sangei) na synagoge sunga akha chu lampi ah malmashi ngei na ajak atri ranga pek kha keina nakolla adiek rou rillinge, mani ha mani lommant pha shu so ae. 
MAT.6.3	Chuna nalung lokka napek juija nakut chang tieng pana dangpha no shu oh nakut woitieng pa lu tullu. 
MAT.6.4	Chuna napek juija aruhan ta pe oh, chuleh chu napathieng na, na lu tullu riveta amant pe ange.
MAT.6.5	“Akha chu naniek juija hypokret (ahra sangei) hek ta ae no oh. Mani dit niek chu synagoge sunga kom ngir thou weta akha chu lamhou wa akha ah malmashi ngei na ri ranga keina nangei kolla adiek rou rillinge, mani ha mani kemant pha su so ae. 
MAT.6.6	Chuti weta nangei niek jui apha ah na inn ki sunga thing weta eenhar kalveta meena mitta rillou napa thieng kolla nie oh aru hanta na lu tullu ri ah am pa na lumant pe ange.
MAT.6.7	“Akha chu naniek juija malmashi jat adangei hekta arimsalla lea ah, lea ah nie no oh rouram chu rou atam ril hana mani ril theipi shijo weta mani na hal hekta. 
MAT.6.8	Mani hekta ae no oh, rouram chu napathieng na dange naniek matienga nakolla dang no ha. 
MAT.6.9	Chuta lea chu nangei na hitta nie yo oh. “Wanram ma kanilim pathieng maming athieng ha chang shu oh:
MAT.6.10	‘Narengram jung shu oh:
MAT.6.10	wanram ma nahal hekta aleiram ma kom
MAT.6.10	nahal ha chang shu oh;
MAT.6.11	Awoni kani ahoppang rak pepi oh.
MAT.6.12	Kani pak hai thou wa kanita ngakpi oh,
MAT.6.12	kani na kom kanita diekno ae ngei ta ngakpi hek.
MAT.6.13	Akha chu kanita ahlem na nea no ranga,
MAT.6.13	chuti weta hrano kut chung hai thou sanpi oh.’
MAT.6.14	Rouram chu nangei na meengei hrano hoino ngak ta lea chu wanram ma pathieng na kom nangta ngak ange. 
MAT.6.15	Chuti weta nangna mee ngei hrano hoino ngak no taleh chu, pathieng na kom nahoino hratno ngak pi ang no ae.
MAT.6.16	“Nangeina buhei ah niek juija hipokrate (ahra sangei) ngei hek ti no oh. Mani chu malmashi ngei na rijuija buhei mee ae ta dang ranga mani mai thiem ma am meh. Keina nangei ta adiek rou rillinge mani ha olmant ha pha shu so ve. 
MAT.6.17	Chuti weta buhei ah amjuija nalukanga sharik not ta akha chu namai kom hrabakta phi oh. 
MAT.6.18	Chuleh chu malmashi ngei na nanghi buhei ah am meh ta dang ang no ae, chuti weta mitna ri-low pathieng na chak na tullu lu rija am nangta olmant pe ange.
MAT.6.19	Leitha akha chu thir-rek na mangpi nea, akha chu aru thei pana kom ru nea na simlei ram ma nataranga chak selsum homma shino oh. 
MAT.6.20	Chuti weta leitha akha chu thir rek na mangpi no na akha chu aru thei panakom ru wa thingno na thangwan ram ma nataranga homma shi oh. 
MAT.6.21	Rouram chu naselthul am na ah nalung kom hana am mange.
MAT.6.22	“Pum hina awar chu mit ae, ejonga namit na hra lea chu napum lim pa kom warrange. 
MAT.6.23	Chuti weta ejonga namit na hra no lea chu napum lim pa kom athiem na shi hakti ange. Ejonga nakolla am awar na thiemma am lea chu athiem ha eja ah thiem mang sha!
MAT.6.24	“Atu akha na mitpu ani shuk chang nea no ae, rouram chu akha tana anda weta akha tana lungshi ange anoleh, amo na akha ta chu mok weta akha ta chu hlou nal ange nangna Chungthieng akha chu lal sum ani hina hlou jui nea ang no ae.
MAT.6.25	“Chuna saruka keina nang eita rillinge naring chang tarang ekom olno oh. E-bak inn ang mota, anoleh, napum taranga, echoi epai ang mo. Ringchang na bak rang-inn ta lella chung tekno meh, akha chu pum na punchoi dirchoi ta lel no meh!” 
MAT.6.26	Junga am awa ngei ta anno; mani muchi kom wor no ae hom ko hom no ae hana shangpang sunga kom shi no ae chuti phao sunga thungwan na pathiengna awon hoppi ah shi ae nang chu mani ta lel no wa cha meh? 
MAT.6.27	Nalung ol weta naring chang atan te atuna lonne ah meh? 
MAT.6.28	“Akha chu eje ranga napun dier taranga olla che? Anno loulei ahlam rei na alo ta tou mo manina tullu kom ae no la kom har no ae. 
MAT.6.29	Chuna keina nangei ta rillinge, Reng Solomon na machong mareng reita kom lella hra tek no ae. 
MAT.6.30	Awoni ah diekka am hina atuk chu sermei ah denga hou ang loulai ah tou rampa aphul ngei ta rukka Chungthieng na hija jonpi lea chu alowa ngoiring bet ngei oh malmashi nangei ta chu amo na punchoi hella jonpi ang mo weh? 
MAT.6.31	Chuna olla hita rilno oh, ‘ejongpa bakkang monu? anoleh,’ Ejongpa inn nang monu? ‘anoleh,’ ejongpa seng ang mo nu? 
MAT.6.32	Rouram hi jati adangei na hijongpa lim jonge akha chu wanram ma pathiengna nadit ang lim danga am meh. 
MAT.6.33	Chuti weta masha ah reng ram akha chu adiek lim jong masha oh. Akhu chu nalim pa hi amo na nangta lon pi ange. 
MAT.6.34	Chuna sarukka atuk taranga ekom hlawai no oh rouram chu atuk taranga atuk na ol shu oh, marung nie hana marungnie taranga ha ta chap cha ange.
MAT.7.1	“Routreem no oh, natak chunga routreem no ranga. 
MAT.7.2	Rouram chu nangei na routreem ae thing hana nangei ta kom routreem ange. Akha chu nangei na vul thingna chang hona nangeita kom vullange. 
MAT.7.3	Hana namit makka tulu la no weta na-u-nanao mitta alota an thinga che? 
MAT.7.4	Chuna alo ta na-u-nanao mitta tulu la tikkae ta rillang che, namit makka tulu ta la no the na am leija? 
MAT.7.5	Ahra sangei oh masha ah namitta tulu ha la ta lea chu nangna na u-nanao mitta tulu ha hrabak ah riweta hou nea ang che.
MAT.7.6	“Athieng pot ha ui ta pe no oh. Hana aman tam pot ha wokta denga hla no oh. Ejonga nangna deng taleh chu manina akae takka to wa therra hou ange.
MAT.7.7	“Nie ta lea chu nangeita pe ange; jong ta lea chu nangeita tuk pi ange; akha chu rei ta lea chu nangta innkal hongpi ange. 
MAT.7.8	Rouram chu atu jongpa anie mee na chu pha ae; atu mo ajong mee na chu tukkae akha chu eenkal nok mee ta chu hongpi ae. 
MAT.7.9	Nangei kar sunga asanao na budol nie weta alung pe mo weh? 
MAT.7.10	Ano lea ejonga amo na tuirik nie weta arul pe mo weh? 
MAT.7.11	Ejonga nang na hrano che hal nasanao ta napekjui ja ahra pek rang dang che ae chuna thangwam na pathieng na chu eja lella anie meeta ahra pe ang sha!
MAT.7.12	Chuna sarukka nangei na mee ngei ta nangei kolla ae pi num hekta nangei na kom mani ta hata ae oh, rau ram chu nahina roukung hina akha chu rouma ril rouphu ngei na ril ae.
MAT.7.13	“Nangei na achip lam hana lutto, roulam chu, sarmei kum lut ranga chu inn harlan lokkae, hana thing mee tam meh. 
MAT.7.14	Chuti weta ring rang lam ha chu a chip lam ae hana lut malmashi chu tam no ae.
MAT.7.15	“Shingthei oh hrano rouphu rou maril ngei ha, mani ha na am na ah phao ange kelmo pun wurra, chuti weta asunga chu wontam rammui ae. 
MAT.7.16	Manita nadangpha ang chu mani ara hana, malmashi ngei na alingbom sunga angur lei no ae, anoleh alingbom sunga theichang ra meh? 
MAT.7.17	Chuhekta ahra akunga ahra theira ra ae, chuti weta hrano akunga hrano theira ra ae. 
