MAT.1.1	E̱i̱ tjít'a ntje̱he̱ Jesucristo̱. Ntje̱he̱ David nibaha̱ ra̱ ko̱ ntje̱he̱ Abraham nibaha̱ ra̱.
MAT.1.20	—Ji Kuse xi ntje̱he̱ David, najmi tu̱ binkjuin nga n'e̱kjáín saha̱ ri̱ Maria̱ xi ja tjíndako̱hi nga ku̱i̱nchjunko̱hi. A̱t'aha̱ ntí xi y'a Espiri̱tu̱ Santo̱ kitsjáha̱. 
MAT.1.21	Nku ntíx'i̱n tsíhin ko̱ Jesu t'et'aihi̱ ntíu̱, a̱t'aha̱ kui xi ts'i̱ín nda̱íhi̱ ngatitsuhu̱n xu̱ta̱ xi ts'e̱ nga ts'i̱ínk'anki.
MAT.1.22	B'a̱ kama ngayjee̱ ni xu'bi̱ tu̱ xi tsitjusuhun én xi kitsú Nti̱a̱ná nga kits'ínkinchja̱ nda̱ profeta̱:
MAT.1.23	Ta̱kjín xu̱nkúu̱ k'u̱a̱ nku ntí.
MAT.1.23	Nku ntíx'i̱n tsíhi̱n ko̱ Emanuel k'úín ntíu̱.
MAT.1.23	Kui j'áín xi tsuhu̱ ra̱: Nti̱a̱ná tíjñajinná.
MAT.1.24	Nk'ie nga j'áha̱ Kuse nga kik'a̱i̱ chi̱nihi̱, a̱s'a̱i kits'ín xi nkú nga kitsúhu̱ ntítsjehe̱ Nti̱a̱ná. Kits'ínkjáíhi̱n nga Maria̱ ka̱ma chju̱úhún. 
MAT.1.25	Tu̱nga najmi kits'ínko̱hó santa nkúhu nga kitsin ntíu̱, ko̱ kitsjá j'áíhi̱n nga Jesu k'úín.
MAT.2.1	Belen kitsin Jesu, nanki xi tíjñajihi̱n a̱nte Judea̱, ni̱stjin nga tjíhi̱n xá nda̱ rei̱ Herode̱. Kui ni̱stjiu̱n j'ai nanki Jerusalen já nkjink'un xi nibaha xi má tjuhu ts'íu̱ 
MAT.2.2	ko̱ b'a̱ i̱ncha kitsú nga kingjásjaiya:
MAT.2.2	—¿Má tíjña nda̱ rei̱hi̱ xu̱ta̱ xi ntje̱ judio̱ tje̱he̱n ra̱ xi ja kitsiu̱n? A̱t'aha̱ santaha ján a̱nteni̱ má xi tje̱hen tju ts'íu̱, kiyai̱ niñu xi ts'e̱ ko̱ kjúái̱ n'etsjoi̱hi̱ ntíu̱.
MAT.2.3	Nk'ie nga kint'é nda̱ rei̱ Herode̱ ni xu'bi̱, tu̱ ni xí kis'enta̱há ra̱ ko̱ ta̱ kis'enta̱ha̱ ra̱ ngayjee̱ xu̱ta̱ nanki Jerusalen. 
MAT.2.4	A̱s'a̱i kinchja̱ ñjaha̱ nda̱ rei̱ ngatentee̱ já na̱'mi k'aku̱ ko̱ já chji̱ne̱'éhe̱n kju̱a̱téxumoo̱. Kingjásjaiyaha̱ má xi tje̱hen tsín xi Cristo̱. 
MAT.2.5	B'a̱ i̱ncha kitsú jóo̱:
MAT.2.5	—Xi tje̱hen Belen, nanki xi tíjñajihi̱n a̱nte Judea̱. A̱t'aha̱ b'a̱ ts'ín y'ét'a éhe̱n Nti̱a̱ná nda̱ profeta̱:
MAT.2.6	Máha Belen, nanki xi tíjñajihi̱n a̱nte xi ts'e̱ xu̱ta̱ Juda̱,
MAT.2.6	najmi kui xi 'yún i̱chí sa a̱jihi̱n já tjíxáha̱ xu̱ta̱ Juda̱.
MAT.2.6	A̱t'aha̱ yo̱ stjújin nku nda̱ tjíxá
MAT.2.6	kui xi kúnnta xu̱ta̱ ts'a̱n xi xu̱ta̱ Israel.
MAT.2.7	A̱s'a̱i Herode̱ kinchja̱ 'maha̱ já nkjink'uu̱n ko̱ kingjásjaiya ch'ich'ihi̱n mí ni̱stjihin kama chji niñuu̱. 
MAT.2.8	Nga ja kama, a̱s'a̱i kits'ínkji nanki Belen nga b'a̱ kitsúhu̱ jóo̱:
MAT.2.8	—Tankíún ko̱ cha̱sjaiya sisiun ntíu̱. Nk'ie nga sa̱kúsjainu̱u, t'inya ngáhanú tu̱ xi ko̱ an kfín ts'intsjoho̱ ra̱.
MAT.2.9	Nk'ie nga ja tsasínñju já nkjink'uu̱n én xi kitsú nda̱ rei̱, i̱ncha kits'ín ngáha ni̱yá. Ko̱ niñu xi kikie a̱ntehe̱ má xi tje̱hen tju ts'íu̱, tu̱ nku tje̱n títjuhún ra̱ santa nkúhu nga tsichu sasin'yún má kjijña ntíu̱. 
MAT.2.10	Nk'ie nga kikie ngáha jóo̱ niñuu̱, tu̱ ni xí tsjohó kamaha̱. 
MAT.2.11	I̱ncha jas'en ni'yoo̱ ko̱ kikie ntíu̱ ko̱ Maria̱ xi na̱aha̱ maha. Tsinchakúnch'int'aha̱ ntíu̱ nga kits'íntsjoho̱. A̱s'a̱i kikjex'á kaxa̱ha̱ ko̱ kitsjáha̱ ntíu̱ ni xi i̱ncha y'a. Kitsjáha̱ to̱onsine, ko̱ ni xi sinjne̱ xi 'mi incienso̱, ko̱ ni xi sinjne̱ xi 'mi mirra̱.
MAT.2.12	A̱s'a̱i kik'óya ngáha já nkjink'uu̱n a̱ntehe̱. Kj'a̱í ni̱yá i̱ncha jakj'á, a̱t'aha̱ kik'inya títjuhu̱n nga niñjá ján nga najmi ta̱ tjíhin nga kj'u̱a̱ha má tíjña Herode̱.
MAT.2.13	A̱skahan nga ja ngji já nkjink'uu̱n, nku ntítsjehe̱ Nti̱a̱ná tsakúchjihi̱ yjoho̱ Kuse nga nijñá ján ko̱ b'i̱ kitsúhu̱:
MAT.2.13	—Ti̱síntje̱i̱n, chjúbéí ntíu̱ ko̱ na̱aha̱. A̱nte Egipto̱ ti̱yúko̱i̱. Yo̱ ti̱nchin santa nkúhu nga xínya kixi̱ ngáhara. A̱t'aha̱ Herode̱ ku̱a̱ngisjai ntíu̱ tu̱ xi ts'i̱ínk'iehen.
MAT.2.14	A̱s'a̱i tsisintje̱n Kuse, jakj'á ntíu̱ ko̱ na̱aha̱ ntíu̱ ko̱ tsitjuko̱ jyún nga ngji Egipto̱. 
MAT.2.15	Yo̱ y'ejña santa nkúhu nga k'ien Herode̱. B'a̱ kama tu̱ xi tsitjusuhun éhe̱n Nti̱a̱ná xi kits'ínkinchja̱ha̱ nda̱ profeta̱: “Egipto̱ kinchjaha̱ ra̱ Ntína̱.”
MAT.2.16	Nk'ie nga kamankjihi̱n Herode̱ nga najmi kits'íntjusun já nkjink'uu̱n ni xi kitsúhu̱, tu̱ xí kjahán kamaha̱. Kitsjá kju̱a̱ nga n'e̱k'ien ngatentee̱ ntíx'i̱n xi tjín Belen ko̱ xi tjín a̱ndai na̱nti̱o̱. Kits'ínk'ien ngatentee̱ xi tjíhi̱n santaha jo nú, a̱t'aha̱ kik'axki̱ ni̱stjin xi kitsú já nkjink'uu̱n nga kikie niñuu̱.
MAT.2.17	B'a̱ ts'ín tsitjusuhun éhe̱n Nti̱a̱ná xi y'ét'a nda̱ profeta̱ Jeremia̱:
MAT.2.18	Kinu'yá nanki Rama nku nta̱,
MAT.2.18	tjín xi tíkjintáya ko̱ tu̱ xí uhún tíbehe̱.
MAT.2.18	Kui xi Rakel xi tíkjintát'a ntíhi̱.
MAT.2.18	Najmi ta̱ mjehe̱ ra̱ n'e̱k'íéjyu a̱t'aha̱ ja k'ien ntíhi̱.
MAT.2.19	A̱skahan nga k'ien Herode̱, nk'ie nga tíjña sa Kuse Egipto̱, nku ntítsjehe̱ Nti̱a̱ná tsakúchjihi̱ yjoho̱ nga nijñá ján ko̱ b'i̱ kitsúhu̱:
MAT.2.20	—Ti̱síntje̱i̱n, chjúbéí ntíu̱ ko̱ na̱aha̱. T'inko̱ ngáhani má tjíntu xu̱ta̱ xi ntje̱ Israel tje̱he̱n ra̱. A̱t'aha̱ ja jesun já xi mjehe̱ ts'i̱ínk'ien ntíu̱.
MAT.2.21	A̱s'a̱i tsisintje̱n Kuse, jakj'á ntíu̱ ko̱ na̱aha̱ ntíu̱ ko̱ niba ngáha má tjíntu xu̱ta̱ Israel. 
MAT.2.22	Kitsankjún nga ngju̱a̱i̱ a̱nte Judea̱ a̱t'aha̱ kint'é én nga Arkelao̱ tíbatéxuma yo̱ a̱ntehe̱ Herode̱ xi kama na̱'mihi̱. Tu̱nga kik'a̱i̱ chi̱ni títjuhún ra̱ xi má nga kik'inyaha̱ nga a̱nte Galilea̱ ngju̱a̱i̱.
MAT.2.23	A̱s'a̱i ngjik'iejña nanki xi 'mi Nazaret. B'a̱ kama tu̱ xi tsitjusuhun éhe̱n Nti̱a̱ná xi kinchja̱ já profeta̱, nga nku nda̱ xi nibáha Nazaret k'úín Jesu.
MAT.3.1	Kui ni̱stjin ján j'aik'íéni̱jmí Jua Bautista̱ a̱nte kixi xi tjín a̱nte Judea̱. 
MAT.3.2	B'i̱ kitsú nga y'éni̱jmí:
MAT.3.2	—Tankínchj'a̱ha̱ ru̱u ani̱ma̱nu̱u, a̱t'aha̱ ja 'yún tiña tíjñanu̱u Nti̱a̱ná nga tíbatéxumanu̱u nd'a̱i̱.
MAT.3.3	Jua kinchja̱ni̱jmíyaha nda̱ profeta̱ Isaia̱ nk'ie nga b'i̱ ts'ín y'ét'a:
MAT.3.3	Tínu'yá nta̱ha̱ nku nda̱ xi tíkjintáya a̱nte kixiu̱:
MAT.3.3	“T'endo ni̱yáha̱ Nti̱a̱ná. Tjen na̱xu̱u ni̱yáha̱.”
MAT.3.4	Nk'ie nga y'ejña Jua, najyun xi kamandako̱ho ntsja̱ha̱ chu̱ camello̱ bja ko̱ nku tja̱ba̱xín b'ékjá. Chju̱ba̱ ko̱ ntsjényá kjine. 
MAT.3.5	Tsitju xu̱ta̱ nanki Jerusalen ko̱ ngayjee̱ xu̱ta̱ xi tjín a̱nte Judea̱ ko̱ a̱ndai ntáje̱ Jordan nga j'aisehe̱ Jua. 
MAT.3.6	I̱ncha kisaténtájin ntáje̱ Jordan nk'ie nga kits'ínkie yjoho̱ nga tjíhi̱n ngatitsun.
MAT.3.7	Nk'ie nga kikie Jua nga nkjin já fariseo̱ ko̱ já saduseo̱ tíi̱ncha f'ai nga mjehe̱ nga sa̱téntá, a̱s'a̱i b'i̱ kitsúhu̱:
MAT.3.7	—¡Já ch'onk'un xi b'a̱ k'un! ¿Yá xi b'a̱ kitsúnu̱u nga ku̱i̱yúhu̱u kju̱a̱kjaha̱n Nti̱a̱ná xi ja tje̱n tiña? 
MAT.3.8	Tu̱ sahá n'o̱o ni xi ku̱a̱kúchji nga ja tsankinchj'aha̱ ru̱u ani̱ma̱nu̱u. 
MAT.3.9	Najmi tu̱ yjonu̱u ch'ana̱cho̱ho̱o: “Ntje̱he̱ Abraham ñá”, tsa ku̱i̱xíún. A̱t'aha̱ an b'a̱ tíxinnu̱u nga santaha kui ndji̱o̱i̱ Nti̱a̱ná ka̱ma ts'i̱ín ma ntje̱he̱ Abraham. 
MAT.3.10	Ja tíjña nda icho̱ nd'a̱i̱ nga ku̱a̱te kja̱ma̱ha̱ yóo̱. Kui nga ngayjee̱ yá xi najmi nda tu xi tsjáha, kui xi stísun ko̱ chja̱nikj'ajin a̱jin nd'íu̱.
MAT.3.11	’An ntánijua tíbatentáko̱ho̱nu̱u tu̱ xi ku̱a̱kínchj'a̱ha̱ ru̱u ani̱ma̱nu̱u. Tu̱nga xi nibáha a̱skahan nga an 'yún nk'a tje̱n sa, xi ndaha̱chí najmi tsuhuna tsa kfínko̱ho̱ ntéhe̱. Kui xi Espiri̱tu̱ Santo̱ ko̱ nd'í ku̱a̱téntáko̱ho̱nu̱u. 
MAT.3.12	Kui xi nkú joyaha nda̱ xi ts'ín chuhu̱n tuni̱ñu̱. Ja kjiya ntsja yá xi ts'ín chunko̱ho̱ ra̱ tuni̱ñu̱hu̱, tu̱ xi ts'i̱ínkj'a t'axíhin tuni̱ñu̱ ko̱ xin ts'i̱ínkj'a tja̱ba̱ha̱. A̱s'a̱i kj'u̱átjo tuni̱ñu̱ ni'ya nji̱hi̱ ko̱ k'u̱éti tja̱ba̱ha̱ a̱jin nd'í xi najmi ta̱ ka̱maha̱ ra̱ ku̱a̱yáyaha.
MAT.3.13	A̱s'a̱i tsitju Jesu a̱nte Galilea̱. Ntáje̱ Jordan j'aisehe̱ Jua tu̱ xi ku̱a̱téntáha̱ ra̱. 
MAT.3.14	Tu̱nga najmi títs'ín yuhú Jua nga tjuhun. B'i̱ kitsúhu̱ Jesu:
MAT.3.14	—Ji ní xi tjíhin nga ku̱a̱tentání. ¿Nkú tjíhi̱n ra̱ nga an tínibásehení nga kuatentáhara?
MAT.3.15	Tu̱nga b'i̱hí kitsú Jesu:
MAT.3.15	—N'e̱ yi nd'a̱i̱, a̱t'aha̱ nda tjín nga n'e̱tjusaán ngatentee̱ ni xi mjehe̱ Nti̱a̱ná.
MAT.3.15	A̱s'a̱i kits'ín yu Jua. 
MAT.3.16	Nk'ie nga ja kisaténtá Jesu, a̱s'a̱i tsitjujin ntánijuo̱ ko̱ tu̱ tsix'áhá nk'a ján ko̱ kikie Jesu Espiri̱tu̱hu̱ Nti̱a̱ná xi nkú joyaha nku chu̱tuju nga nibajennehe̱. 
MAT.3.17	A̱s'a̱i kinu'yá nk'a ján nku nta̱ xi b'a̱ kitsú:
MAT.3.17	—Kui xu'bi̱ xi Ntína̱. 'Yún tjona. Tsjo ṉkjún mana Ntína̱.
MAT.4.1	A̱s'a̱i Espiri̱tu̱ Santo̱ ngjiko̱ t'axíhi̱n Jesu a̱nte kixiu̱ tu̱ xi kjút'ayák'uhu̱n ra̱ nda̱nindoo̱. 
MAT.4.2	Yo̱ y'ejña kjintíá yachán ni̱stjin ko̱ yachán ni̱stje̱n. A̱skahan kama bjoho̱. 
MAT.4.3	A̱s'a̱i nda̱nindoo̱ j'ai kjut'ayák'uhu̱n nga b'i̱ kitsúhu̱:
MAT.4.3	—Tsa kju̱axi̱ nga ji xi Ntíhi̱ Nti̱a̱ná, b'a̱ t'ihi̱n ndji̱o̱i̱ nga ni̱nku̱a̱n katuma.
MAT.4.4	B'i̱ kitsú Jesu:
MAT.4.4	—B'i̱ títsu xu̱ju̱n éhe̱n Nti̱a̱ná: “Najmi nku tutu ni̱nku̱o̱n xi ts'ín nga b'entu tík'un xu̱ta̱. Ko̱ ní ngayjee̱ éhe̱n Nti̱a̱ná machjéhe̱n xu̱ta̱.”
MAT.4.5	A̱s'a̱i nda̱nindoo̱ ngjiko̱ Jesu nanki Jerusalen. Kits'ín s'esun má 'yún nk'aha̱ ni̱nku̱ 
MAT.4.6	ko̱ b'a̱ kitsúhu̱:
MAT.4.6	—Tsa kju̱axi̱ nga ji xi Ntíhi̱ Nti̱a̱ná, chja̱nikj'anki yjohi̱. A̱t'aha̱ b'a̱ títsu xu̱ju̱n éhe̱n Nti̱a̱ná:
MAT.4.6	Nti̱a̱ná k'u̱éxá ntítsjehe̱ xi má nga kúhin.
MAT.4.6	Kjésíntje̱nya ntsjahi
MAT.4.6	tu̱ xi ndaha nku ndji̱o̱ najmi sa̱ténkihi tsu̱kui.
MAT.4.7	A̱s'a̱i b'i̱ kitsú Jesu:
MAT.4.7	—Ko̱ b'i̱ ta̱ ts'ín tjít'a éhe̱n Nti̱a̱ná: “Najmi tu̱ ji chjut'ayák'uin Nti̱a̱ná, kui xi Nti̱a̱hi̱ maha.”
MAT.4.8	A̱s'a̱i tu̱ sa nkuhú a̱sunntu tje̱nki̱ xi 'yún nk'a ngjiko̱ ngáha nda̱nindoo̱. Yo̱ tsakúyjehe̱ má batéxuma já rei̱ xi tjín a̱sunntee̱ ko̱ kju̱a̱chánka xi tjíhi̱n nga nkúnkú 
MAT.4.9	ko̱ b'a̱ kitsúhu̱:
MAT.4.9	—Ts'inkjas'ehen ngatentee̱ ni xu'bi̱ tsa ku̱i̱si̱nkúnch'int'aní nga cha̱nkjúnní.
MAT.4.10	B'i̱ kitsú Jesu:
MAT.4.10	—T'in t'axínní, Satana. A̱t'aha̱ b'a̱ ts'ín tjít'a éhe̱n Nti̱a̱ná: “Cha̱nkjúín Nti̱a̱ná, kui xi Nti̱a̱hi̱ maha ko̱ nkuhú kui ku̱i̱nú'yá'éíhi̱n.”
MAT.4.11	A̱s'a̱i ngji t'axín nda̱nindoo̱ nga y'éjña suba Jesu, ko̱ i̱ncha j'ai ntítsjehe̱ Nti̱a̱ná nga j'aisinko̱ho̱.
MAT.4.12	Nk'ie nga kint'é én Jesu nga kjiya'yún Jua, ngji a̱nte Galilea̱. 
MAT.4.13	Tsitju nanki Nazaret nga ngjik'iejña Capernaum, nanki xi tíjña a̱ndai ntáchak'uu̱n xi tje̱hen má nga y'entu xu̱ta̱ xi y'aha̱ ra̱ ntje̱ chá Zabulon ko̱ xi y'aha̱ ra̱ ntje̱ chá Neftali. 
MAT.4.14	B'a̱ kama tu̱ xi tsitjusuhun éhe̱n Nti̱a̱ná xi y'ét'a nda̱ profeta̱ Isaia̱ nga b'i̱ kitsú:
MAT.4.15	A̱ntehe̱ xu̱ta̱ xi y'aha̱ ra̱ Zabulon
MAT.4.15	ko̱ a̱ntehe̱ xu̱ta̱ xi y'aha̱ ra̱ Neftali,
MAT.4.15	a̱nte xi tiña maha̱ a̱ndai ntáchak'uu̱n,
MAT.4.15	ngabantá ntáje̱ Jordan,
MAT.4.15	Galilea̱ má nga ta̱ tjíntu xu̱ta̱ xi najmi ntje̱ Israel y'aha̱ ra̱.
MAT.4.16	Xi tjíntu má jyuu̱n ja kikie nku nd'í chánka.
MAT.4.16	Xi tjíntu má tje̱n nk'íéhe̱n ngabayoo̱ ja kitsjehe̱n nku nd'í.
MAT.4.17	Kui ni̱stjiu̱n kik'atuts'i̱hi̱n Jesu nga y'éni̱jmí. B'i̱ kitsú nga kinchja̱ko̱ xu̱ta̱:
MAT.4.17	—Tankínchj'a̱ha̱ ru̱u ani̱ma̱nu̱u, a̱t'aha̱ ja 'yún tiña tíjñanu̱u Nti̱a̱ná nga tíbatéxumanu̱u nd'a̱i̱.
MAT.4.18	Nk'ie nga tsú'ba Jesu a̱ndai ntáchak'un Galilea̱, kikie jo já xi nts'e̱ maha xinkjín. Kui xi Simon xi ta̱ 'mi Pedro̱ ko̱ Andre. Tíi̱ncha kjaníkj'a na̱'ya tji̱o̱ho̱ a̱jin ntóo̱, a̱t'aha̱ tji̱o̱ i̱ncha tsuba jóo̱. B'i̱ kitsú Jesu:
MAT.4.19	—Jun já, tsjénnkinú. An ts'ian nga xu̱ta̱ nu̱bo̱o.
MAT.4.20	Ta̱ kuihi chu̱bo̱ y'éntu jóo̱ na̱'yaha̱ ko̱ kitsjennkíhi̱ Jesu. 
MAT.4.21	A̱s'a̱i ngjindju sa ko̱ yo̱ kikie jo já xi ta̱ nts'e̱ maha xinkjín. Kui xi Santiago̱ ko̱ Jua xi jáha̱ Zebedeo̱. Tjíntuyáko̱ tsutsuhu̱ na̱'mihi̱ nga tíi̱ncha b'énda na̱'yaha̱. A̱s'a̱i kinchja̱ha̱ Jesu jóo̱. 
MAT.4.22	Ta̱ kuihi chu̱bo̱ y'éntu jóo̱ tsutsuu̱ ko̱ na̱'mihi̱ nga kitsjennkíhi̱ Jesu.
MAT.4.23	Kikjatsú'ba Jesu ngayjee̱ a̱nte xi tjín Galilea̱. Tsakúya a̱ya ni'ya sinagoga̱ xi tjín yo̱ ko̱ y'éni̱jmí én nda tsuhu̱ Nti̱a̱ná nga Nti̱a̱ná xi batéxuma. Kits'ínnkihi̱ tu̱ mí ch'ihín ni xi k'uhu̱n xu̱ta̱. 
MAT.4.24	A̱s'a̱i ngayjee̱ a̱nte xi tjín a̱nte Siri̱a̱ kichubani̱jmíyaha Jesu. J'aich'áha̱ ngatentee̱ xu̱ta̱ un xi tjín yo̱, xi tíneya yjoho̱ nga nkjin tíkjá ch'in xi k'uhu̱n, xi un tíbehe̱, xi tjíntujíhi̱n jánindoo̱, xi tjíhi̱n ch'in b'atsé, ko̱ xi najmi ma fi. Kits'ínnkihi̱ Jesu ngatentee̱ xu̱ta̱ uu̱n. 
MAT.4.25	Kitsjennkíhi̱ Jesu nkjin ṉkjún xu̱ta̱ xi nibaha a̱nte xi tjín Galilea̱ ko̱ Decapo̱li̱, xi nibaha nanki Jerusalen ko̱ a̱nte xi tjín Judea̱ ko̱ xi tjín ngabantá ntáje̱ Jordan.
MAT.5.1	Nk'ie nga kikie Jesu nga tíma ñjakú ṉkjún xu̱ta̱, a̱s'a̱i ngjinji nku a̱sunntu tje̱nki̱ ko̱ yo̱ y'ejña. Yo̱ kama ñjat'áha̱ xu̱ta̱ ni'yakuyáha̱, 
MAT.5.2	ko̱ b'i̱ kitsú Jesu nga tsakúyaha̱:
MAT.5.3	—Á b'a̱ nda tjíhin ts'e̱ xu̱ta̱ xi najmi tjíhi̱n ra̱ kju̱a̱nchi̱ná xi tíma 'yún k'un, a̱t'aha̱ kui xi tjíntujín má batéxuma Nti̱a̱ná.
MAT.5.4	’Á b'a̱ nda tjíhin ts'e̱ xu̱ta̱ xi tíkjintáha, a̱t'aha̱ kui xi n'e̱k'íéjyu.
MAT.5.5	’Á b'a̱ nda tjíhin ts'e̱ xu̱ta̱ xi ni̱ma̱kju̱a̱ha, a̱t'aha̱ kui xi ts'i̱ínkjáíhi̱n nga ka̱ma ts'e̱ t'anankiu̱.
MAT.5.6	’Á b'a̱ nda tjíhin ts'e̱ xu̱ta̱ xi mangimjehe̱ ra̱ nga na̱xu̱ ka̱maha, a̱t'aha̱ kui xi na̱xu̱ ka̱ma.
MAT.5.7	’Á b'a̱ nda tjíhin ts'e̱ xu̱ta̱ xi ma ni̱ma̱ha̱ ra̱ xu̱ta̱, a̱t'aha̱ kui xi cha̱se̱ ni̱ma̱ha̱.
MAT.5.8	’Á b'a̱ nda tjíhin ts'e̱ xu̱ta̱ xi je tjíyaha ani̱ma̱ha̱, a̱t'aha̱ kui xi sku̱e̱ Nti̱a̱ná.
MAT.5.9	’Á b'a̱ nda tjíhin ts'e̱ xu̱ta̱ xi tsjáha kju̱a̱jyu má nga tjín kju̱a̱chán, a̱t'aha̱ kui xi k'úín ntíhi̱ Nti̱a̱ná.
MAT.5.10	’Á b'a̱ nda tjíhin ts'e̱ xu̱ta̱ xi tín'e unchaha nk'ie nga na̱xu̱ ts'ín, a̱t'aha̱ kui xi tjíntujín má batéxuma Nti̱a̱ná.
MAT.5.11	’Á b'a̱ nda tjíhin ts'a̱jun nk'ie nga ch'on ku̱i̱tsu̱nu̱u xu̱ta̱ ko̱ nga tsjénnki unkienu̱u ko̱ nga nkjin tíkjá én tsank'á ch'on tsu ku̱i̱tsu̱nu̱u tu̱ nga̱t'ana̱. 
MAT.5.12	Tsjo katumanu̱u ko̱ 'yún tsjo kat'enu̱u, a̱t'aha̱ 'yún chánka chjí xi n'e̱kjáín ngáha̱ ru̱u ndji̱o̱jmi ján. A̱t'aha̱ b'a̱ ta̱ kin'ehe̱ já profeta̱ xi tjun kis'e nga jun.
MAT.5.13	’Jun xi nkú joyaha na̱xa̱ha̱ a̱sunntee̱. Tu̱nga tsa ndyja̱ nga'yúhu̱n na̱xo̱, ¿nkú ts'ín ka̱ma ntia ngáha? Nku ni xi najmi chumi ni chjíhi̱ ra̱ ka̱ma. Tu̱ ngju̱a̱i̱yahá sa na̱tsin ján ko̱ ku̱a̱si̱nnehe̱ xu̱ta̱.
MAT.5.14	’Jun xi nkú joyaha nd'íhi̱ a̱sunntee̱. Nku nanki xi tíjñasun nku a̱sunntu tje̱nki̱ najmi ma s'ejña 'ma. 
