GEN.1.1	Muga na maki lobo ni rata, a Vure i rata rike a hunu a malala. 
GEN.1.29	Muri a Vure i ta maea, “Iau a habi marua a maka maki ni varo, turana a maka kai ri tahoka a kanena i vona a vutuna, bara a maki ni kani ne marua.”
GEN.1.30	Na maka kadirovo, a maka maki kiroko ri karaka na malala, a maki lobo i mahuri, a Vure i habi ne ria a maka pagana rau bara ri kani. Muri i bele manga a hini i taki.
GEN.1.31	A Vure i matai a maka maki i rata i kamumu hateka. I rodo i palala. Iea a polotarana parava.
GEN.2.1	Na naro iea kunana, a Vure i rata rike a hunu a malala, turana a maki lobo.
GEN.2.3	A Vure i gamaia a poloruana parava, i ru hereherea, a vuhuna na parava iea i lobo a leho vona ni rata rike a maki lobo, i malo.
GEN.2.4	A ngava na hunu a malala ni rata rike i maea:
GEN.2.4	Na tahuna e BAKOVI DAGI a Vure i rata rike a hunu a malala, 
GEN.2.5	a varili i uka ma i gaga ma na malala. A maka kai na robo ranga, i uka ma ri mapoda ma, a vuhuna e BAKOVI DAGI a Vure i uka ma i vakaboru a vala. A malala, i uka viri ge leho vona. 
GEN.2.6	Pali a maka naru ri tua rike kunana na malala, ri vakamea a hini polomeli na malala. 
GEN.2.7	Muri e BAKOVI DAGI a Vure i pipia na habulo a bakovi, i vaki dilia na ruperena a bangona nimahuri, i bele a bakovi mahuri.
GEN.2.8	Muri, e BAKOVI DAGI a Vure i varoa a hania o Iden na nirikena haro. I rua vonga a bakovi i rata rikea. 
GEN.2.9	E BAKOVI DAGI a Vure i rata rike a maka kai legelege ri mapoda na malala, a maka kai mata kamumu, i kamumu a kanena ni kanina. Na kurukuruna hania a kai i rua ru pesi: a kai i habi a nimahuri, turana a kai i habi a lohokanga na naro kamumu na naro hale.
GEN.2.10	A naru dagi i tua tala vonga o Iden i bako va, ne vona ni vakamea a hania. 
GEN.2.11	A bakona muga ni gale e Pison, i tua marogo lae na robo e Havila, a robo na gol. 
GEN.2.12	A robo iea i vona a kai manginoro, a gol kamumu turana a maka kedo na mahala ranga. 
GEN.2.13	A ruana bakona naru dagi ni gale e Gihon, i tua marogo lae na robo e Kus. 
GEN.2.14	A rana toluna bakona naru dagi tara e Tigris. I tua na tabeke na nirikena haro na robo e Asiria. A vana bakona naru dagi ni gale e Iupretis.
GEN.2.15	E BAKOVI DAGI a Vure i bolea a bakovi i vakamadea na hania o Iden ge leho vona ge matakaria. 
GEN.2.16	E BAKOVI DAGI a Vure i vakukua a bakovi, i ta maea, “A maka kanena kai lobo o kani, 
GEN.2.17	pali a kai i habi a lohokanga na naro kamumu na naro hale, naha ni kania a kanena. Muholi hateka, na tahuna o kania bara o mate.”
GEN.2.18	E BAKOVI DAGI a Vure i ta maea, “I uka ma i kamumu a bakovi ge ia kikeri. Ga ratea tara turana ge tuhoria.”
GEN.2.19	E BAKOVI DAGI a Vure i rata rike pali na malala a maka livoa na robo turana a maka kadirovo. I bole lakea na bakovi ge matai ria ge vunu a rane ria takutaku. E rei a rana i vunu ria vona takutaku bara i tabuli liu a rana. 
GEN.2.20	A bakovi i vunu a rana a maka sipsip a bulmakau, a kadirovo, a livoa na robo, pali i uka tara ge mata manga e Adam ga rihina. 
GEN.2.21	Lakea e BAKOVI DAGI a Vure i ratea e Adam i mahita mate. Na tahuna i mahita mate i paru talea a karona, muri i kavitagu mulea na bobona. 
GEN.2.22	Muri i pipia a ngatavine na karo i paru talea na bakovi, muri i tuli lakea vona a ngatavine.
GEN.2.23	E Adam i masia, i ta maea,
GEN.2.23	“Iea ngane a turagu
GEN.2.23	a vuhuna ni bole tala na tuhagu,
GEN.2.23	na bobogu,
GEN.2.23	ga galea a ‘ngatavine’.”
GEN.2.25	A bakovi rua e girihina ru bobo, i uka ma ru maruhu.
GEN.3.2	A ngatavine i koli, i ta maea, “Maria bara miri kani lobo a maka kanena kai na hania, 
GEN.3.3	pali a Vure i taki maria tabu nahea miri gi kani a kanena kai na kurukuruna hania, nahea miri gi padoi ia, ma ga miri gi mate.”
GEN.3.4	Lakea a mata i takia a ngatavine, “I uka ma muru gu mate. I uka liu. 
GEN.3.5	A Vure i lohoka, bara muru kania, a matane marua bara i palala, bara muru manga a Vure na nilohoka na naro kamumu na naro hale.”
GEN.3.6	Ngane a ngatavine i masia a kanena kai i kamumu na nikanina, i kamumu na matana, i ngaru ni tahoka a niluhoi dagi. I bolea, i kania. Muri i bole a kalavana i habia ne girihina, ia tara i kani. 
GEN.3.7	Muri a matane rua i palala, ru matakilala rua ru bobo, pali ru rahi a pagana kai a pik, ru kapikari rua vona.
GEN.3.8	Muri a bakovi turana e girihina ru longoa e BAKOVI DAGI a Vure i lalaho na hania na malunga. Lakea ru vano ru pesi kapiloho vona na kai na hania.
GEN.3.9	Lakea e BAKOVI DAGI a Vure i galea a bakovi, “Adam, ioe vai?”
GEN.3.10	E Adam i koli mule, i ta maea, “A longo ioe o laho na hania, a mangenge. A kapiloho a vuhuna a bobo.”
GEN.3.11	Lakea a Vure i nanea, “E re i taki ioe o bobo? Ra ioe, o kania a kanena kai a ta pupukari ioe vona?”
GEN.3.12	A bakovi i koli, i ta maea, “Ra ngatavine o vakamade turagu, ia kunana i habia nau a kanena kai, a kania.”
GEN.3.13	Lakea a ngatavine i koli, “A mata i tami iau a kania a kanena kai.”
GEN.3.14	Pali e BAKOVI DAGI a Vure i takia a mata,
GEN.3.14	“Ngane a ruduraha ioe bara o bole a nimadihi
GEN.3.14	polomeli liu na maka sipsip a bulmakau, a livoa, a vuhuna ioe o rata a naro hale.
GEN.3.14	Ngane bara o laho na ngalamu,
GEN.3.14	o todo a habulo
GEN.3.14	na parava vakaroro.
GEN.3.15	e huriki a hamomu ranga bara ria a pile na hamona ngatavine.
GEN.3.15	A hamona ngatavine bara i paha momo a gimu,
GEN.3.15	pali ioe bara o kara tatea a vahana.”
GEN.3.16	Muri a Vure i takia a ngatavine, i ta maea,
GEN.3.16	“Ioe bara o bole a nimadihi dagi ni singou,
GEN.3.16	ni poda a koma.
GEN.3.16	Ra nimadihi, i uka ma go hatakia.
GEN.3.16	Pali bara o ngarua e girihimu,
GEN.3.16	e girihimu bara i matakari ioe.”
GEN.3.17	Ngane a rudurahea a malala a vuhuna o longotaro iau.
GEN.3.17	Na parava vakaroro bara o leho, o kani.
GEN.3.18	A malala bara i vakabele a poto a barakau.
GEN.3.18	Ioe bara o kani a maki o varo na hania.
GEN.3.19	Bara i kani ioe a mavidia,
GEN.3.19	o kani.
GEN.3.19	Bara o rura i vano, i harena na tahuna o mate vona.
GEN.3.19	Muri, bara o hamule lakea na habulo ra a vakabele ioe vona.
GEN.3.19	Ioe a habulo, bara o hamule lakea tabu na habulo.”
GEN.3.20	E Adam i vunua a rane girihina e Eva, a vuhuna bara ia e kinane huriki lobo.
GEN.3.21	E BAKOVI DAGI a Vure i rahi a varakia na kulina kanirau, i vakarea rua.
GEN.3.23	Lakea e BAKOVI DAGI a Vure i tono talea na hania o Iden a bakovi, ge hamule, ge leho na malala ni rata rike ia vona. 
GEN.3.24	A Vure i tono talea pali a bakovi, muri i vakapesi na nirikena haro na hania o Iden ranga agelo, turana a vito i hube i vito vito lae, ri gi tagaria a dala lakea na kai na nimahuri.
GEN.4.1	E Adam i mahita turana e girihina, e Eva, i singou, i podea e Kain. Lakea e Eva i ta maea, “I tuhori iau e BAKOVI DAGI, a vakabelea a bakovi.” 
GEN.4.2	Muri i podea e Abel, e tarine Kain.
GEN.4.2	E Abel i matakari a sipsip, e Kain i leho na hania. 
GEN.4.3	Na parava tara e Kain i bole ranga maki ni kani na hania ge a nihabi ne BAKOVI DAGI. 
GEN.4.4	Pali e Abel i bole a maka tuna sipsip a tabua i vi. Lakea e BAKOVI DAGI i ngarua a nihabi ne Abel, 
GEN.4.5	pali a nihabi ne Kain, i uka ma i ngarua. Ngane e Kain i madihi a hatena, i robo a matana. 
GEN.4.6	Muri e BAKOVI DAGI i nanea e Kain, “I navai i madihi a hatemu, i robo a matamu? 
GEN.4.7	Ioe bara o rata a rabu malamala bara ngarua a nihabi vomu. Ioe, i uka ma o rata a rabu malamala, a rabu hale i pesi kalidoga ge rabalaki ioe. O matakari a nilaho vomu, bara i lobo a naro hale vomu.”
GEN.4.9	Muri e BAKOVI DAGI i nanea e Kain, “Avia e tarimu e Abel?”
GEN.4.9	E Kain i koli mule i ta maea, “I uka ma a masia. Ra iau, ge iau a vora ni matakari e tarigu?”
GEN.4.11	Ngane bara ruduraha ioe, ga lili tala ioe na malala, ra i todo a darane tarimu na limamu. 
GEN.4.12	Ngane na tahuna o leho na malala, i uka ma ge vakabele a maki ni kani vomu. I uka ma go made tata, bara o kanipede viliha.”
GEN.4.13	E Kain i kide i ta maea, “I kupo polo a maka maregoa nau. 
GEN.4.14	Ngane o lili tala iau na malala bara kapiloho na matamu. Bara a uka tanga, a kanipede. Pali e re i matavisi iau bara i rabalaki iau.”
GEN.4.15	E BAKOVI DAGI i koli mule, i ta maea, “I uka ma ge mavonga. A viri bara i rabalaki ioe bara i bolea a nikoli dagi balaka polorua.” Muri i rua ne Kain tara kilakila ne vona ni matakilaka vona, i uka ma ni gi rabalaki. 
GEN.4.16	Muri e Kain i pea e BAKOVI DAGI, i vano i made na robo e Nod, na tabeke na nirikena haro o Iden.
GEN.4.17	E Kain i mahita turana e girihina, muri i singou e girihina, i podea e Enok. E Kain i ratea a tanga dagi i vunua e Enok, i muri mai a rane tuna. 
GEN.4.18	E Enok i vakabelea e Irad, e Irad e tamane Mehusael, e Mehusael e tamane Metusael, e Metusael e tamane Lamek.
GEN.4.19	E Lamek i parangi a ngatavine ala rua. A rane rua e Ada e Sila. 
GEN.4.20	E Ada i podea e Iabal. Iabal e tamane huriki ri matakari a sipsip a bulmakau, ri made na kape. 
GEN.4.21	E turana a rana e Iubal, e tamane huriki ri lohoka ni sigi a gita, ni vaki a piloli. 
GEN.4.22	E Sila tara i tahoka e tuna, a rana e Tubal-Kain, ia a mari ni rata a kira na aen a kapa. E kurabana a rana e Nama.
GEN.4.23	E Lamek i vakalongo e girihina rua, i ta maea, “Ada o Sila, muru longo valai muru longo a ngavagu. Iau a rabalakia a bakovi i rata tuhare iau, i tolo iau, a koma tamuhane. 
GEN.4.24	A viri bara i rabalakia e Kain, a nikoli vona bara i bole dagi. Pali a viri bara i rabalaki iau, muholi hateka a nikoli vona bara i bole dagi hateka!”
GEN.4.25	E Adam i mahita turana tabu e girihina, lakea e girihina i podea a koma bakovi, i vunua e Set. Lakea e girihina i ta maea, “A Vure i habi tabua nau a koma ge bole a murine Abel, ra i rabalakia e Kain.”
GEN.4.26	E Set i tahoka e tuna bakovi, i vunua e Enos. Na tahuna iea, e huriki a bakovi ri vakatubu ni kavurikea a rane BAKOVI DAGI.
GEN.5.1	Na tahuna a Vure i rata rike a bakovi, i ratea i manga ia. 
GEN.5.2	I rata rike a bakovi a ngatavine, muri i gamai rua. Na tahuna i rata rike rua, i vunu rua a “bakovi.”
GEN.5.3	Na tahuna e Adam i tahoka a pida i 130 i vakabelea e tuna a bakovi i manga ia. I vunua e Set. 
GEN.5.4	Muri ne Set ni poda, ni poda tabu ranga e tuna a bakovi a ngatavine. Muri e Adam i tahoka tabu a pida i 800. 
GEN.5.5	A pida ne Adam, ni gi palupu lobo, i 930, muri i mate.
GEN.5.6	E Set i tahoka a pida i 105 ngane, i vakabelea e Enos. 
GEN.5.7	Muri ne Enos ni poda, e Set i tahoka tabu a pida i 807, i vakabele tabu ranga e tuna a bakovi a ngatavine. 
GEN.5.8	A pida ne Set, ni gi palupu lobo, i 912, muri i mate.
GEN.5.9	Na tahuna e Enos i tahoka a pida i 90, i vakabelea e Kenan. 
GEN.5.10	Muri ne Kenan ni poda, e Enos i tahoka tabu a pida i 815, i vakabele tabu ranga e tuna a bakovi a ngatavine. 
GEN.5.11	A pida ne Enos, ni gi palupu lobo i 905, muri i mate.
GEN.5.12	Na tahuna e Kenan i tahoka a pida i 70, i vakabelea e Mahalale. 
GEN.5.13	Muri ne Mahalale ni poda, e Kenan i tahoka tabu a pida i 840, i vakabele tabu ranga e tuna a bakovi a ngatavine. 
GEN.5.14	A pida ne Kenan, ni gi palupu lobo, i 910, muri i mate.
GEN.5.15	Na tahuna e Mahalale i tahoka a pida i 65, i vakabelea e Iared. 
GEN.5.16	Muri ne Iared ni poda, e Mahalale i tahoka tabu a pida i 830, i vakabele tabu ranga e tuna a bakovi a ngatavine. 
GEN.5.17	A pida ne Mahalale ni gi palupu lobo, i 895, muri i mate.
GEN.5.18	Na tahuna e Iared i tahoka a pida i 162, i vakabelea e Enok. 
GEN.5.19	Muri ne Enok ni poda, e Iared i tahoka tabu a pida i 800, i vakabele tabu ranga e tuna a bakovi a ngatavine. 
GEN.5.20	A pida ne Iared, ni gi palupu lobo, i 962, muri i mate.
GEN.5.21	Na tahuna e Enok i tahoka a pida i 65, i vakabelea e Metusela. 
GEN.5.22	Muri ne Metusela ni poda, e Enok i laho turana Vure na pida i 300, i vakabele tabu ranga e tuna a bakovi a ngatavine. 
GEN.5.23	A pida ne Enok, ni gi palupu lobo, i 365. 
GEN.5.24	Muri a Vure i bolea e Enok, i uka ma ni matai tabu, a vuhuna a Vure i ngaru hatekea.
GEN.5.25	Na tahuna e Metusela i tahoka a pida i 187, i vakabelea e Lamek. 
GEN.5.26	Muri ne Lamek ni poda, e Metusela i tahoka tabu a pida i 782, i vakabele tabu ranga e tuna a bakovi a ngatavine. 
GEN.5.27	A pida ne Metusela, ni gi palupu lobo, i 969, muri i mate.
GEN.5.28	Na tahuna e Lamek i tahoka a pida i 182, i vakabelea e tuna a bakovi, 
GEN.5.29	i vunua e Noa. Lakea e tamana i ta maea, “Hosi e BAKOVI DAGI i rudurahea a malala, mi leho hateka mi bole a nimadihi, pali a koma iea bara i vakasihomo mia.” 
GEN.5.30	Muri ne Noa ni poda, e Lamek i tahoka tabu a pida i 595 i vakabele tabu ranga e tuna a bakovi a ngatavine. 
GEN.5.31	A pida ne Lamek, ni gi palupu lobo, i 777, muri i mate.
GEN.5.32	Na tahuna e Noa i tahoka a pida i 500, ni gale e tamane Sem, e Ham, e Iapet.
GEN.6.2	E huriki a tuna Vure
GEN.6.3	Muri e BAKOVI DAGI i ta maea, “A hanugu i uka ma ge made pololilo na bakovi na parava vakaroro, a vuhuna ia a bakovi na malala kunana. A pida ne ria ge harena kunana ne 120.” 
GEN.6.4	Na tahuna iea, e huriki a kabu ne Nepilin ri made na malala. Lakea e huriki a tuna Vure bakovi ri parangi na ngatavine na malala, ri vakabele huriki a hamone ria. Re huriki nga, ria a bakovi hateka, a rane ria i dagi na tahuna iea.
GEN.6.6	I kilu vona a hini i rata rike e huriki koea na malala. 
GEN.6.7	I tapuhaki i ta maea, “Iau ga vakalobo koea na malala e huriki a bakovi a rata rike. Pali ga vakalobo tabu a maka livoa, a kadirovo, turana a maka maki lobo ri laho na robo, a vuhuna iau a kilu vona a hini a rata rike a maka maki nga.”
GEN.6.8	Pali e BAKOVI DAGI i vivi vona e Noa.
GEN.6.9	E Noa ia a bakovi kamumu, a narona i kiripiripi na matane huriki a bakovi na tahuna iea. I laho turana Vure. 
GEN.6.10	E Noa i tahoka e tuna i ala tolu: e Sem, e Ham e Iapet.
GEN.6.11	Na matana Vure, a malala i vonu na maka naro hale. E huriki ri tagege, ri vaubi lae. 
GEN.6.12	A Vure i masia a malala i vonu na maka naro hale, a vuhuna a maka narone ria i hale hateka. 
GEN.6.13	Lakea, a Vure i takia e Noa, “Iau ga ratapile e huriki lobo, a vuhuna a malala i vonu vona a maka naro hale ne ria. Muholi hateka, iau ga ratapile lobo e huriki a bakovi, turana a malala. 
GEN.6.14	Pali ioe, o haea a agarungu vomu, o haea na kai a saipres. O nagi pololiloa, muri o kavitagu a hini pololilo, a hini polovavo na kasita. 
GEN.6.15	Ra agarungu iea o hae maea: a niolana ge 150 mita, a nibolana ge 25 mita, a nipesina ge 15 mita. 
GEN.6.16	Na tahuna o hae a mapana roho na agarungu, nahea a mapana ge padoi liu a gagana. Ge tabuli a hini ge 5 mita. A tabekena agarungu ge tolu: ge polotano tara, na kurukuruna tara, ge polomeli tara. Na gagana tara o rua a hinebi. 
GEN.6.17	Iau ga rudua a marungulolo ge ratapile a maka maki polotano na hunu, a maka maki mahuri ri bango na ruperene ria, a maki lobo na malala bara ri mate. 
GEN.6.18	Pali iau ga rata a ngava dagi turamu, muri bara o rike na agarungu vomu turana e girihimu, e tumu, e kamu. 
GEN.6.19	O vakaha dili na agarungu a maki lobo ri laho na robo, ge ruarua, a toga, a kinana. 
GEN.6.20	O vakaha turane mua, ge ruarua a maka kadirovo, a livoa, a maki lobo mahuri legelege. 
GEN.6.21	O bole tabu a maki ni kani, o ru kamumu, ne vona e mua turana a maka maki mahuri o vakarike.”
GEN.7.1	E BAKOVI DAGI i takia e Noa, “O dili na agarungu turane huriki a kabu vomu, a vuhuna ioe kikeri a bakovi kamumu ne huriki a bakovi lobo. 
GEN.7.2	O bole turamu na kabu na kanirau kabakaba, a toga ge polorua, a kinana ge polorua. Na kanirau mutomuto, a toga ge polorua, a kinana ge polorua. 
GEN.7.3	Na kadirovo, a toga ge polorua, a kinana ge polorua, ne vona ni vakabele a hamone ria na malala. 
GEN.7.4	Muri na parava ge polorua, ga vakaborua na malala a vala. Ge boru na parava ge ravulu va, a rodo ge ravulu va. Iau ga vakalobo a maka maki mahuri a rata rike koea na malala.” 
GEN.7.5	Lakea e Noa i muri mai a ngava lobo e BAKOVI DAGI i vakuku ia vona.
GEN.7.6	Na tahuna a marungulolo i bele koea na malala, e Noa i tahoka a pida i 600. 
GEN.7.7	Muri e Noa turana e girihina, e tuna mai e kana mai, ri rike na agarungu, ri gi kapiloho vona a marungulolo. 
GEN.7.8	A maka kanirau ri varihi, a kanirau kabakaba, a kanirau mutomuto, a kadirovo turana a maki lobo ri karaka na robo, 
GEN.7.9	a kinana, a toga ri valai mai e Noa, ri rike na agarungu, i manga a hini a Vure i vakukua e Noa vona. 
GEN.7.10	Pali i lobo a parava i polorua, i bele ngane na malala a marungulolo.
GEN.7.12	A vala dagi i boru ngane na malala na parava i ravulu va, a rodo i ravulu va. 
GEN.7.13	Na parava iea kunana e Noa turane girihina, e tuna ala tolu: e Sem, e Ham, e Iapet turane girihine tou, ri rike na agarungu. 
GEN.7.14	Ri rike turana a kabu na kanirau lobo, a kabu na sipsip a bulmakau lobo, a kabu na maki lobo ri laho na malala, a kabu na kadirovo, a maki lobo i tahoka a karapane ria. 
GEN.7.15	A maka maki legelege ri mahuri, ri bango na ruperene ria, ri valai turana a rihine ria, ri valai mai e Noa, ri rike na agarungu. 
GEN.7.16	A maka livoa, a toga a kinana, ri rike na agarungu, i muri maia a nitana Vure i vakuku e Noa vona. Muri e BAKOVI DAGI i tukari tahoa e Noa. 
GEN.7.17	Na parava i ravulu va, a vala i boru mavonga, i vonu a naru i kavitagua a malala, lakea a agarungu i pasi langa na naru polomeli liu na malala. 
GEN.7.18	A naru i lolo rike hateka, i kavitagua a malala, lakea a agarungu i pasi na bokona dari. 
GEN.7.19	A naru i bubu rike mavonga, i kavitagu a maka lolo dagi lobo. 
GEN.7.20	Muri a naru i kavitagu a maka mapana lolo i polomeli na mita i polorua. 
GEN.7.21	A maki lobo ri laho na malala ri pasiri: e huriki a bakovi lobo turana a sipsip a bulmakau, a livoa, a maka maki ri laho na robo. 
GEN.7.22	A maki lobo na malala ri bango na ruperene ria, ri mate. 
GEN.7.23	A maki lobo ri mahuri koea na malala, ri lobo liu. E huriki a bakovi a ngatavine, a maka kanirau, a kadirovo turana a maki lobo ri laho na robo, ri lobo liu na malala. A kabu ne Noa turana a maka maki mahuri pololilo na agarungu kunana ri mahuri. 
GEN.7.24	A naru i kavitagua a malala na parava i 150.
GEN.8.1	Pali a Vure, i uka ma i longo­kabu­rungi e Noa turana a maka kanirau, a sipsip a bulmakau ra ri kapiloho na agarungu. I rudua a vilu i ngalu langa vona a dari, lakea a dari i hoho puru. 
GEN.8.2	Ngane a Vure i tukari a maka matana naru na bobona malala a hunu, lakea a vala i lobo na niboru valai meli na hunu. 
GEN.8.3	Pali a naru i vakatubu ni hoho puru na malala. Muri na parava i 150 a naru i hoho puru lobo. 
GEN.8.4	Na parava i ravulu a polona i polorua, na poloruana keva, a agarungu i koro na mapana lolo e Ararat. 
GEN.8.5	A dari i hoho puru, lakea na mugana parava na ravuluna keva i lele a maka mapana lolo.
GEN.8.6	I lobo a parava i ravulu va, lakea e Noa i talea a matatalana agarungu, 
GEN.8.7	i vakabebe talea a kokoa, i bebe lae polovavo, i davea a dari ge hoho puru. 
GEN.8.8	Muri i vakabebe talea a balu ge kasisia a dari i hoho puru pali, o i tabana. 
GEN.8.9	A balu i uka ma i puruvisi a hini ge toka vona, a vuhuna a naru i tabana ni kavitagua a malala, lakea i bebe mule ne Noa na agarungu. E Noa i toto tala a limana i bole dilia a balu. 
GEN.8.10	I dava na parava i polorua tabu na agarungu, muri i vakabebe tabua a balu. 
GEN.8.11	Na tahuna a balu i hamule na malunga, i gogoa a pagana kai a oliv i karaputu karabea. Ngane e Noa i lohoka a dari i hoho puru pali. 
GEN.8.12	I dava tabu na parava i polorua, muri i vakabebe tabua a balu, pali na tahuna iea a balu i uka ma i hamule.
GEN.8.13	Na tahuna e Noa i tahoka a pida i 601, na mugana parava na mugana keva, a naru i hoho puru liu na malala. I kalipidea a hini polomeli na agarungu, i masia a malala i kere. 
GEN.8.14	Na parava i ravulu rua a polona i polorua (27) na ruana keva, a malala i kere liu. 
GEN.8.15	Muri a Vure i takia e Noa, 
GEN.8.16	“Ioe, turana e girihimu, e tumu mai turana e girihine tou, mu pagitala na agarungu. 
GEN.8.17	O vakalaho tala a maka maki mahuri takutaku, ra ri turamu. A maka kadirovo, a maka kanirau, a maka maki lobo ri karaka na robo, ri gi poda kupo na malala, ri gi vole, ri gi vakavonu a malala, a kabune ria.” 
GEN.8.18	Muri e Noa i pagitala, turana e girihina, e tuna mai, turana e girihine tou. 
GEN.8.19	A maka kanirau, a maki lobo ri laho na robo, a kadirovo lobo, a maki legelege lobo ri mahuri na malala ri laho na tete, ri pagitala na agarungu. 
GEN.8.20	Muri e Noa i kisia a dede-kedo ne BAKOVI DAGI, i bole ranga kanirau kabakaba, a kadirovo kabakaba, i rabalaki i gutu-vuro ria i habi ne Bakovi Dagi. 
GEN.8.21	Na tahuna e BAKOVI DAGI i burongi a mangina maki nga i huli lakea vona, lakea i taki mulea, “Iau i uka ma ga ruduraha tabua a malala ne vona ni koli a naro hale ne huriki. I muholi a naro hale ne ria i vakatubu na tahuna ri kiroko vona. Pali ngane, i uka ma ga ratapile tabu a maka maki mahuri, ge manga a hini a rata pali.
GEN.8.22	“A malala bara i tahoka a parava, a rodo,
GEN.8.22	a tahuna ni varo a hania, a tahuna ni mirio a hania,
GEN.8.22	a tahuna na malangia, a tahuna ni kakarongo,
GEN.8.22	a tahuna na haro, a tahuna na vala.
GEN.8.22	A maka tahuna nga i uka ma ge lobo, bara ri tabuli vakaroro na malala.”
GEN.9.2	A kanirau lobo na malala, a kadirovo lobo, a maki lobo ri karaka na malala, a manu lobo, bara ri mangenge ne mua. Ngane a ru na limane mua. 
GEN.9.3	A maka maki mahuri ri laho ga maki ni kani ne mua, i manga a hini muga a habi ne mua a kobo mu kani. Pali ngane a habi a maki lobo ga maki ni kani ne mua. 
GEN.9.4	Pali a bobona maki i vona a dara, naha ni kani, a vuhuna a dara i habi a nimahuri. 
GEN.9.5	Pali e rei a bakovi, a kanirau, a livoa hateka i rabalakia tara viri, i muholi hateka bara kolia. E rei i rabalaki a viri tara, iau bara kolia vona a naro i ratea.
GEN.9.6	ia kunana bara i mate na limana bakovi,
GEN.9.6	a vuhuna iau a Vure
GEN.9.6	a rata rikea a bakovi i manga iau.
GEN.9.8	Muri a Vure i takia e Noa turana e tuna mai, 
GEN.9.9	“Ngane ga vakatubua a ngava dagi turamu, turana e huriki a hamomu ri gi bele muri ma, 
