GEN.1.1	Paphibangga, Tingwang niu ting-kadih damsubo tingga,
GEN.1.21	Sichiujiu Tingwang niu duipui gu kadibo khaoringdung khatdi tadui jiuga lungbo khaoring pajat hina khatdi thingna pajat hinatu damkhaide. Khatdi Tingwang paniu sise ngaoboga palung kim mide. 
GEN.1.22	Paniu paliu mathiutu thoikhaide, sichiujiu tadui jiuga lungbo khaoringdung hinatu king-kajiu duipui gase lungphui mira thoikhai bide, paniu thingnadung hinatudi king-kajiu lungra thoikhai bide. 
GEN.1.23	Nchun loijiu nsuan padmide, sise pamangiubo tingmik mide.
GEN.1.24	Sibosai Tingwang niu chamtan pikhaide, “Kadihpiriga khaoring-khaona jat hina, chaky-khaorui tadi, nkan khaoring tadi, katidi, kadidi pijiu padmilo” siga sise padmide. 
GEN.1.25	Sichiujiu Tingwang niu wahinatu damkhai lujiu, sise paniu ngaoboga palung kimde.
GEN.1.28	Panaitu thoikhaijiu din-e, “Nanai kai-kik kengjiu lunglo, sichiujiu nanai kai-kikdung siniu kadihpiri thinjiu lungrabo-e. Iniu nanaitu wakhao hina riga, thingnadung riga khatdi khaoring-khaona hina riga pumtan bamra pikhaibo-e. 
GEN.1.29	Iniu nanaileng alin-tara hina khatdi charasy hina tiura pikhaibo-e. 
GEN.1.30	Chiudi khaoring khaona khatdi thingna hina lengra chapiubuan chaganniwse paliu tatek leng pikhaibo-e” siga sise padmide. 
GEN.1.31	Tingwang paniu damkhaibo hinatu ngaolujiu palung kimchang kim mide, Nchun loijiu nsuan padlande--sise pacharukbo tingmik mide.
GEN.2.1	Sichiujiu ting-kadih pakhiangna damloi mide. 
GEN.2.3	Paniu chinniabo tingmik situ thoikhaijiu nkiubo tingmik leng kamtam khaide, palamra paniu sibo tingmik gase pagu gandam hina loilujiu mathak mide. 
GEN.2.4	Haichiujiu ting-kadih haitu damkhaide.
GEN.2.4	Sichiujiu 
GEN.2.5	kadihpiriga chapiubuan wadi lungmak bamniu-e, khatdi alin tara wadi bammak niu-e, palamra paniu pijiu tingriu khai makge, khatdi kadih ga tatien tenra maidi lungmak niu-e. 
GEN.2.6	Chiudi tadui siniu kadih hanglamsu pinpadjiu rampumgen situ pitim khaijiu bamniu-e.
GEN.2.8	Sigasu 
GEN.2.9	Paniu ngao wibo singbang jat hina damlujiu pasy pimasi khaide. Kareng n-gang gase ringting pikhaibo singbang khat, khatdi ningting kawi kasa sibo
GEN.2.10	Eden lungga kareng situ tadui kajin khaira singgiu khat piluang khai-e, Eden lenlam sise singgiu madai thiujiu luongra padle. 
GEN.2.11	Karaibo singgiu siniu Pishon giu-e, haisiniu Havilah kadihtu luong magui bamme. 
GEN.2.12	(Masanbo kachia khatdi kakungbo parim wibo wasa, khatdi paman kungbo tudung siga dao-e). 
GEN.2.13	Niabo singgiu siniu Gihon giu-e; Haise Kush
GEN.2.14	Pasumbo singgiu siniu Tigris giu-e, haise Assyria gu tingbanglam luong bamme, khatdi pamadaibo singgiu siniu Euphrate giuki-e.
GEN.2.15	Sichiujiu 
GEN.2.16	Paniu pakhuga din-e, “Kareng lungga bambo singbang rasy hina nang tiubo sui-e. 
GEN.2.17	Chiudi ningting kawi kasa sibo, singbang sira tiubo suimakge. Nangniu sibo rasy tiugapbo nai nang shai rabo-e.
GEN.2.18	Sichiujiu 
GEN.2.19	Sichiujiu paniu kadih gasu taniang khoilujiu chakhao hina khatdi thingna hina damkhaide, sibosai paniu chamaina siniu pazan mathak khaira puiwang khai bide. Sichiujiu paliu mathiu zanse mathak khaide. 
GEN.2.20	Sijengniu thingna hina khatdi chakhao hina zanse chamaina siniu mathak khaide; chiudi paliu ruangga khatniudi paka leng kabuibo daomakge.
GEN.2.21	Sigasu 
GEN.2.22	Paniu sibo tupekra gasu npuimai khat damlujiu pakhuga patu maluang wang khai bide.
GEN.2.23	Siga chamaina siniu din-e,
GEN.2.23	“Kanamboga, haiga ajat khat bamme,
GEN.2.23	charahse arahga su-e, khatdi tatiase atia gasu-e.
GEN.2.23	pazanse “Npuimai” chiujiu kurabo-e,
GEN.2.23	palamra pahai npiumai khugasu padbo-e.”
GEN.2.25	Maipui nai maipiuse panai pumruang bamniu-e, chiudi panaise mangambo thiumak bamniu-e.
GEN.3.2	Maipui siniu paokakge, “N-gangga bambo singbang rasyse makjiu, kareng lungga bambo singbang rasy hina anainiu tiubo sui-e. 
GEN.3.3	Sibo singbang rasy tiumakra, maksai niadi nia makra, Tingwang niu anai khuga dinkhai-e; sichiu maksai anai shairabo-e chiu-e.”
GEN.3.4	Kaniu siniu paokakge, “Sise maji makge, nanai shai lakge. 
GEN.3.5	Tingwang niu sise dinbo rambara, nanainiu uibo rasy tiugap khaisai, nanaidi Tingwang kum mirabo-e, khatdi kawi kasa simi rabo-e, chiubo pah sibo jengniu tiutulo chiubo-e”.
GEN.3.6	Maipui siniu singbangse dejiukha ngao wilo, parasydi dejiukha tiuwi ralo khatdi ningting misai dejiukha maisuang haralo chiubo maning sude. Sijengniu paniu charasyse railujiu tiusude, khatdi paniu pakina leng kasia pikhaide, sichiujiu padi tiulude. 
GEN.3.7	Panainiu sise tiukhai kaji-kari, panai chun thiupad mide, sichiujiu panaise panai pumruang-e chiubo simide, siga panainiu ndutniw charui lujiu panaitu topman sude.
GEN.3.8	Sibonai chawanse 
GEN.3.9	Chiudi 
GEN.3.10	Paniu paokakge, “Kareng lungga nang wangkinbo khuan chiuboga, natu pingjiu nbai bambo-e, palamra I hai apumruang bamniu-e.”
GEN.3.11	Tingwang niu maniu-e, “Nang hai napumruang-e chiubo saoniu nakhuga dinjiulo? Iniu natu tiutulo chiubo rasyse nang tiumi jiuma?”
GEN.3.12	Maipiu siniu paokakge, “Nangniu akhuga pikhaibo maipui siniu atu pijiu I tiumide.”
GEN.3.13	Paniu paokakge, “Kaniu siniu atu tiura sonjiu-e.”
GEN.3.14	Sigasu 
GEN.3.15	Iniu maipui nanai kakga marengbo pikhai rabo-e; pakai-pakik nai nakai-nakik hai tingtheng mikrejiu lung rabo-e. Pakai pakik siniu napi kampang rabo-e, khatdi nangniu paliu phimik machao rabo-e.”
GEN.3.16	Sichiujiu paniu maipui khuga din-e, “Nangniu nawon phungbo tingga khatdi manabo tingga, magenthiu nkiura Iniu khaisan mide, Sichiujiu bamdi, naluni hina nakina khuga bamrabo-e, khatdi pahangga nang lungrabo-e.”
GEN.3.18	Iniu chapiuniw nai tathu-kara pilung khaine, sichiujiu nkan piubuan nang tiurabo-e. 
GEN.3.19	Nangniu wahina kampad raleng nakasuangdui padjiu, natu damkhaibo taniang gase malanwang makthen matan rabo-e, Natu taniang gasu damkhaibo-e, siniu nang taniang mawilan rabo-e.”
GEN.3.20	Adam
GEN.3.21	Sichiujiu 
GEN.3.23	Sichiujiu 
GEN.3.24	Sigasu paniu karenggu tingbanglamse pake machang marijiu bambo taobambo heng thin bambo karingbo wakhao khat situ khai mide. Sichiu kambo sira, sibo ringting pikhaibo singbang mungga mai khattudi pijiu wang manamak raleng-e.
GEN.4.1	Sichiujiu Adam niu panao Eve tu nphiuji khaide, siga pah pawon phung mide. Paniu panah npiumai khat manalujiu din-e, “
GEN.4.2	Pasai paniu npiumai nah khat, Abel tu lunglan-e. Abel niu mily khuanmai khat thiukhang-e, khatdi Cain niu chalu tien thiumai khat thiukhang-e. 
GEN.4.3	Wathengkha sai Cain niu palu atiat lubo gasu miusy phungwang 
GEN.4.4	Sigasu Abel niu pagu piangraithubo mily khattu kamshat lujiu withubo damse kadkhai-e. 
GEN.4.5	Chiudi Cain tu khatdi pagu kadkhaibo situ lukhai makge. Siga Cain palung pomchang pom mide, chiujiu palung pomboniu pazu mangtik mide. 
GEN.4.6	Siga 
GEN.4.7	Nangniu majibose kamkhai bamsai, nang nuibam rabo-e,
GEN.4.9	Paniu paokakge, “I simakge, Iniu asaikariupiutu alukin jiuma?”
GEN.4.11	Nang tasiang hangga bam mide, nang wadaodi tatien tentiu silak mide. Nangniu nasai kariupiutu kamshat mibo jengniu, haise pazainiu chungkham mide. 
GEN.4.12	Nangniu alin-tara lingkhai bamdi kadih-tam siniu wadi lungpad ngamlak mide, kadihpiriga naky hajiu rontadjiu lungra mide.”
GEN.4.13	Siga Cain niu 
GEN.4.14	Nangniu atu nakhu gasu khatdi haibo kadih gasu hathon mide. Kadihpiriga aky hajiu Iniu rontad kinsai, atu kadaomai siniu kamshat mirabo-e.”
GEN.4.15	Chiudi 
GEN.4.16	Sichiujiu Cain niu 
GEN.4.17	Cain nai panaoniu panai nah npiumai khat lung-e, pazanniu Enoch chiu ku-e. Siga Cain niu namdi khat thiukhang lujiu, sise panah zan champonjiu mathak khai-e. 
GEN.4.18	Enoch niu piumai nah khat lung-e, pazanniu Irad chiujiu mathak khai-e, pahai Mahujael piu-e, khatdi Mahujael niu piumai nah khat lung-e, pazanniu Mathushael chiujiu mathak khai-e, pahai Lamech piu-e, 
GEN.4.19	Lamech niu panao nia thiu-e,, panai zan siniu Adah nai Zillah chiu-e. 
GEN.4.20	Adah niu Jabal tu mana-e, pahai chakhao maruijiu mathenkyga lungmai paopeh si-e. 
GEN.4.21	Pasaikariupiu Jubal hainiu chalui kathiumai khatdi nthiam nai tara thinmai paopeh si-e. 
GEN.4.22	Zillah niu Tubal Cain tu mana-e, pahai chagi khatdi tanaagi gasu wa mania hina kampadbo piu-e. Tubal Cain tanpui khat bam-e, pazanniu Naamah chiu ku-e
GEN.4.23	Lamech niu panao kania khuga din-e,
GEN.4.23	Adah nai Zillah yo, alad nkinglo,
GEN.4.23	Iniu akhangmai khattu kamshat mide,
GEN.4.23	palamra paniu atu dapbo gasu-e.
GEN.4.24	Cain tu kamshatboga khang chinniatu kamshatne chiusai,
GEN.4.24	atu kamshat maitura khang riakchinnia-je-chinniakiu kamshat rabo-e,.
GEN.4.25	Adam nai panao siniu npiumai nah khat lung lan-e. Siga paniu din-e, “Cain niu kamshat mibo sung Tingwang niu aleng npiumai nah khat pikhai lande.” Sichiujiu paniu patu Seth
GEN.4.26	Seth niu npiumai nah khat lung-e, paniu pazan Enosh chiu mathak khai-e. Haichiujiu chamaina hainiu 
GEN.5.2	Paniu npiumai khatdi npuimaitu damkhai-e, sichiujiu panaitu thoikhaijiu “Chamaina” chiujiu kukhaide). 
GEN.5.3	Adam niu tingkum 130 tangmiboga, pakumbo npiumai nah khat lung-e, paniu Seth chiujiu pazan mathak khai-e. 
GEN.5.4	Sibosai, Adam hai tingkum 800 lung lan-e. Panah kakibodungdi lungkhai-e. 
GEN.5.5	Sichiujiu pah tingkum 930 ga shai mide.
GEN.5.6	Sichiujiu Seth niu tingkum 105 miboga, piumai nah khat, Enosh tu lung-e. 
GEN.5.7	Sibosai pah tingkum 807 lungkhai-e. Panah kakibodungdi lungkhai lan-e, 
GEN.5.8	sichiujiu pah tingkum 912 ga shai mide.
GEN.5.9	Enosh niu tingkum 90 miboga, piumai nah khat, Kenan tu lung-e, 
GEN.5.10	sibosai pah tingkum 815 lungkhai-e, panah kakibodungdi lungkhai lan-e, 
GEN.5.11	sichiujiu pah tingkum 905 ga shai mide.
GEN.5.12	Kenan niu tingkum 70 miboga, piumai nah khat, Mahalalel tu lung-e, 
GEN.5.13	sibosai pah tingkum 840 lungkhai-e, panah kakibodungdi lungkhai lan-e, 
GEN.5.14	sichiujiu pah tingkum 910 ga shai mide.
GEN.5.15	Mahalalel niu tingkum 65 miboga, piumai nah khat Jared tu lung-e, 
GEN.5.16	sibosai pah tingkum 830 lungkhai-e, panah kakibodungdi lungkhai lan-e, 
GEN.5.17	sichiujiu pah tingkum 895 ga shai mide.
GEN.5.18	Jared niu tingkum 162 miboga, piumai nah khat, Enoch tu lung-e, 
GEN.5.19	sibosai pah tingkum 800 lungkhai-e, panah kakibodungdi lungkhai lan-e, 
GEN.5.20	sichiujiu pah tingkum 962 ga shai mide.
GEN.5.21	Enoch niu tingkum 65 miboga, piumai nah khat, Methuselah tu lung-e, 
GEN.5.22	Sibosai, Enoch niu Tingwang tu maluang akadjiu tingkum 300 lungkhai-e, panah kakibodungdi lungkhai-e. 
GEN.5.23	Pah tingkum 365 lungkhai-e. 
GEN.5.24	Paniu Tingwang tu maluang akadjiu lung-e, sichiujiu patu ngaota mide, palamra Tingwang niu patu lutad mide.
GEN.5.25	Methuselah niu tingkum 187 miboga, piumai nah khat, Lamech tu lung-e, 
GEN.5.26	sibosai pah tingkum 782 lungkhai-e, panah kakibodungdi lungkhai lan-e, 
GEN.5.27	sichiujiu pah tingkum 969 ga shai mide.
GEN.5.28	Lamech niu tingkum 182 miboga, piumai nah khat lung-e, 
GEN.5.29	sichiujiu paniu din-e, “
GEN.5.30	Sibosai, Lamech niu tingkum 595 lungkhai-e, panah kakibodungdi lungkhai lan-e, 
GEN.5.31	sichiujiu pah tingkum 777 ga shai mide.
GEN.5.32	Noah niu tingkum 500 mibo saiga, panah piumai khang sum, Shem, Ham, khatdi Japheth tu lung-e.
GEN.6.2	chara nahdung
GEN.6.3	Siga 
GEN.6.4	Sibo tingga khatdi sibo saiga, kadihpiriga lungkamai thiujiu maipuidung nai chara nahdung maluang lungkhaibo nahdung kengjiu lungpadde. Paliu hai nda katan-kahumai khatdi pazan katadmai thiujiu lungkhai mibo-e.
GEN.6.6	paniu paliutu damkhai lujiu kadihpiriga pilung khaibo jengniu palungmak mide. Palung makju mibo jengniu, 
GEN.6.7	paniu din-e, “Iniu damkhai mibo chamaina khatdi chakhao thingna hinatu kam maha mine, palamra Iniu paliutu damkhaibo jengniu alung chariu mide.” 
GEN.6.8	Chiudi 
GEN.6.11	chiudi mai hina Tingwang masuangga sakam bamniu-e, khatdi pabam hinaga kasabo siniu phuibam niu-e. 
GEN.6.12	Tingwang niu kadihpiri haitu phuikiuboga kasabo haitu ngaode, palamra chamaina hina kasabo lunlungga lungkam mide.
GEN.6.13	Tingwang niu Noah khuga din-e, “Iniu chamaina haitu kam mahamira alung chap mide. Iniu paliu mathiutu kam mahakam mine, palamra paliugu n-gi-athaobo ngamkam siniu kadihpiri pakhiangna phuimide. 
GEN.6.14	Tasing kawibo gasu naleng malee khat ruisulo; sibo lungga pachen-chen kam khailo, sichiujiu palung lamdi, palen lamdi kaliangtamniu taimilo. 
GEN.6.15	Sise pathenniu gaphek 133, padetniu gaphek 22, khatdi pakodniu gaphek 13 kamlo. 
GEN.6.16	Malee lung gase paliap khat kamlujiu singgen
GEN.6.17	Iniu duidet langwangjiu kadihpiriga bambo hinatu kam maha mine. Kadihpiriga bambo hina shaikam mine, 
GEN.6.18	chiudi Iniu nakhuga ladriat thiukhai bine. Nanao, nanahmai khatdi paliu naodungtu puilujiu malee lung gase ngut milo. 
GEN.6.19+GEN.6.20	Sichiujiu malee lung gase thingna, chakhao hinagu papui, pareng khat khat jam khailulo. 
GEN.6.21	Naleng khatdi paliuleng katiu-kasak hina khailulo.” 
GEN.6.22	Tingwang niu dinbo kumjiu Noah niu wahina kam khaide.
GEN.7.2	Chara-chengga masanbo khaoring hina ndah chinnia, chiudi masan makbo khaoringra ndah khat khailulo. 
GEN.7.3	Thingna hinadi ndah chinnia khailulo. Kadihpiriga pi lungpad lanra jengniu khaoring hina khatdi thingnatu haichiu kam lulo. 
GEN.7.4	Tuhoi gasu jeng chinnia sailam, Iniu nchun n-nien saomakjiu jeng atai tingriu langwang khaine, sichiujiu Iniu damkhai mibo khaoring-khaona hinatu kam maha mine.” 
GEN.7.5	Sichiujiu 
GEN.7.6	Kadihpiriga tadui diwangbo tingga Noah hai tingkum kai charuk tangmide. 
GEN.7.7	Panao panai, khatdi panahmaidung nai pamumaidung paliu duidet situ marira malee lungga ngut mide. 
GEN.7.8	Khaoring hina khatdi thingna hina, chara-chengga masanbodi, masan makbodi tammakjiu, 
GEN.7.9	malee lung gase Tingwang niu chamtan pikhaibo kumjiu Noah saisui ngut mide. 
GEN.7.10	Jeng chinnia saiga duidetse wangsude.
GEN.7.12	nchun n-nien saomakjiu jeng atai kadihpiriga tingriu kiu sude. 
GEN.7.13	Sibo nai siak Noah niu panao khatdi panahmai khang sum, Shem, Ham khatdi Japheth khatdi paliu naodungtu majang lujiu malee lungga ngut mide. 
GEN.7.14	Sichiujiu chaky-khaodi, nkan-khaodi, kati kadi tammakjiu, khatdi thingna hinatu paliuniu majang ngut mide. 
GEN.7.15	Tingwang niu chamtan pikhaibo saisuijiu malee lung gase karingbo khaoring hina, papui pareng khat khat Noah saisui lujiu ngut mide. 
GEN.7.16	Sibosai 
GEN.7.17	Tadui naibo hai jeng atai khangmide, sichiujiu maleese maten khangra tadui hai kusui mide. 
GEN.7.18	Tadui hai kubi-bi khangjiu malee hai malam khangsude. 
GEN.7.19	Tadui hai kengkhangjiu kuthubo maluong sidi naimide; 
GEN.7.20	haise kukhangjiu maluongton riga tachao kariu-je-mangiukiu tangbo kukhang mide. 
GEN.7.21	Kadihpiriga bambo khaoring hina—thingna, chakhao khatdi chamaina hina shai mide. 
GEN.7.22	Kadihpiriga bambo pasiu kathi hina shai mide. 
GEN.7.23	 niu kadihpiriga bambo khaoring-khaona—chakhao, chamai khatdi thingna hinatu kam maha kammide. Masiak khaibo sira Noah khatdi pasai suilujiu malee lungga ngutmai ronna-e. 
GEN.7.24	Naimikpui kai khat-je-ringiu lungga tadui hai npikiu makge.
GEN.8.1	Malee lungga bambo Noah khatdi pasai suikinbo khaoringdungtu Tingwang niu mangai makge; Paniu tingkai tu hunra kamkhaijiu tadui hai npikiu sude. 
GEN.8.2	Kadihpiriga bambo aladky khatdi tingpukga bambo duidet tingriuki hina kham mide. Siga tingriu tamide, 
GEN.8.3	sichiujiu tadui hai naimikpui kai khat-je-ringiu lungga npibi-bi mide. 
GEN.8.4	Chahiu chinniabogu tingmik kariu-je-chiniakiubo nai maleese Ararat Luongga kiujiu nbeng khai mide. 
GEN.8.5	Tadui hai npikiujiu chahiu kariubogu raithubo naise maluanggen ngaopad sude.
GEN.8.6	Jeng atai sai Noah niu kiranki khat lepadde khatdi n-gek khattu langkhaide. 
GEN.8.7	Haise wanglan makge, chiudi tadui hai npikiu makthen len maguijiu bammide. 
GEN.8.8	Sibo lungga, Noah niu tadui npikiu mima chiubo phuira, makhao khattu langkhai-e, 
GEN.8.9	chiudi tadui hainiu phuiting bamkhabo jengniu, makhaose taokhaira hajiu, malee gase lenwang lanne. Sichiujiu Noah niu paben henpadjiu minkhai lan-e. 
GEN.8.10	Paniu jeng chinnia saiga, makhao situ langkhai lan-e. 
GEN.8.11	Haisiniu chawan pamun-juangga takiniu karingbo khat ponlujiu pakhuga wang lan-e. Sijengniu tadui hai npikiu mide chiubo Noah niu silude. 
GEN.8.12	Sibosai jeng chinnia saiga paniu makhao situ langkhai lan-e; sigara makhaose malan wang tamide.
GEN.8.13	Noah niu tingkum 601 tangmiboga, raithubo hiugu raithubo naise, taduise npikiu mide. Noah niu malee gomse lepadjiu phuiboga, kadih hai sangkiu mibose ngaode. 
GEN.8.14	Chahiu niabogu tingmik makai-je-chiniakiubo naise kadih hai sangkang mide.
GEN.8.15	Tingwang niu Noah khuga din-e, 
GEN.8.16	“Malee lung gasu nanao, nanahpiudung khatdi paliu naodungtu maluang lujiu npad sulo. 
GEN.8.17	Chakhao thingna hinatudi puilujiu npad sulo, sichiujiu kadihpiri pakhiangnaga pijiu lungkingpad karen sulo.” 
GEN.8.18	Sijengniu panao, panahmai khatdi pamupuidungtu Noah niu malee gasu maluang npad mide. 
GEN.8.19	Sichiujiu chakhao thingna hina pajat-jat, paphom-phom thiujiu malee gasu npad kam mide.
GEN.8.20	Noah niu 
GEN.8.21	Rathakga rukhaibo rimse 
GEN.8.22	Kadihpiriniu bamthen, lingbo wan khatdi atiatbo wan bamrabo-e. Siga ka-agibo nai kathiubo, tathe nai kariak, khatdi nchun nai n-nien chiujiu bamrabo-e.”
GEN.9.2	Chakhao thingna hinaniu natu pingjiu lungrabo-e. Paliu mathiutu nahangga pikhaibo-e. 
GEN.9.3	Tuhoira nangniu paliutu tiura leng; khatdi chapiubuan chaganniwdi tiura leng; Iniu naleng pikhai mibo-e. 
GEN.9.4	Nangniu tazai kampad makbo misira tiumak rabo-e; Iniu haise suimakge, palamra karingriangse tazaiga bambo-e. 
GEN.9.5	Mai khatniu chamainagu ringting kam mahasai, patu sajai pirabo-e. Wakhao khatniu chamainagu karingting kam mahasai, kashaibo siniu patu sajai pirabo-e. 
GEN.9.6	Chamainatu Tingwang lun kumjiu damkhai mibo-e, siniu mai khat kumboniu mai khattu kamshat sai, patudi mai khatniu kamshat rabo-e.
GEN.9.8	Tingwang niu Noah nai panahmai khuga din-e, 
GEN.9.9	“Tuhoi Iniu nakhuga khatdi nakai-kikdung khuga, 
GEN.9.10	khatdi malee lung gasu nasaisui npadbo pasiu kathi hina, chakhao thingna pakhiangna khuga ladriat thiukhaibo-e. 
GEN.9.11	Iniu haibo ladkeng thinlujiu naliu khuga ladriat thiukhaibo-e: khaoring-khaona hinatu duidetniu wadaodi Iniu kam maha lanlak mide; wadao khatdi duidetniu kadihpiri haitu kam maha lanlak mide. 
GEN.9.12	Iniu naliu khuga khatdi khaoring-khaona hina khuga tingtheng leng ladriat thiukhaibo situ madan thiujiu. 
GEN.9.13	Iniu kamuong jiuga agu tavaipi hai kamkhaibo-e. Haisiniu ting-kadihga agu ladriatgu madan thiurabo-e. 
GEN.9.14	Iniu tingpukga kamuong nai takimalyse ngaoboga, 
GEN.9.15	Iniu naliu khuga khatdi khaoring-khaona hina khuga duidetniu wadao khatdi pasiu kathi hinatu kam maha lanlakge chiubo ladriatse maningtao rabo-e. 
GEN.9.16	Kamuongjiuga takimaly hai ngaoboga, Iniu kadihpiriga lungbo pasiu kathi hina khuga ladriat thiukhai mibose maningtao khairabo-e. 
GEN.9.17	Pasiu kathi hina khuga Iniu ladriat thiukhai mibo madanse hainiu thiurabo-e.”
GEN.9.18	Malee lung gasu npadbo Noah nahdung sira Shem, Ham khatdi Japheth hai-e. (Ham hai Canaan piu-e). 
GEN.9.19	Noah nahmai khang sum hainiu kadihpiriga lungmai hina paopeh-e.
GEN.9.20	Noah hai chalu tien thiumai khatle, paniu mumsy hai lingrai thubo piu-e. 
GEN.9.21	Paniu jaw poinakha sak khaiboga, maniu mijiu, pagu mathenky gase pafai-pani lupad lujiu papumruang jibamme. 
GEN.9.22	Canaan piu, Ham hainiu papiu pumruang jibam niubo ngaolujiu, pasingna kania khuga wang paokhai-e. 
GEN.9.23	Mathenky lung gase Shem nai Japheth niu tadlujiu, papiu pumruang situ ngaomakra, panai makhuakga chafai khailujiu,, sailam nkhinwang thaptom khai bide. 
GEN.9.24	Noah niu pachun marakpad lanboga, panah nathubopiu siniu pakhuga degu kam khailo chiubo siluboga, 
GEN.9.25	paniu dinsude,
GEN.9.25	“Canaan riga tasiang bam milo!
GEN.9.25	Pahai pasingnamai vang thiurabo-e.
GEN.9.26	Shem Rawang, 
GEN.9.27	Tingwang niu pijiu Japheth tu nkiukhangbo thiu milo!
GEN.9.27	Shem tu pijiu pakai-pakikdungtu maluang lung milo! Canaan hai Japheth vang thiurabo-e.”
GEN.9.28	Tadui nailubo sai Noah niu takum 350 lungkhai-e, 
GEN.9.29	sichiujiu pah takum 950 ga shai mide.
GEN.10.1	Haimaidungse Noah nahpiudung, Shem, Ham, khatdi Japheth kaikikdung-e. Panah npiumai khang sum hainiu tadui nailubo sai paliu nahdung lung-e.
GEN.10.2	Japheth nahdung hainiu Gomer, Magog, Madai, Javan, Tubal, Meshech khatdi Tiras haisi-e, paliu hai paliu paopeh zan thinjiu lungmai-e. 
GEN.10.3	Gomer kaikikdung siniu Ashkenaz, Riphath khatdi Togarmah-e. 
GEN.10.4	Javan kaikikdung siniu Elishah, Spain, Cyprus khatdi Rhodes paliu-e; 
GEN.10.5	paliu hai singgiu mungga khatdi chapiu kakga lungmaidung-e. Haimaidungse Japheth kaikikdung-e. Sichiujiu jat tam-tamboga khatdi kadih tam-tamboga lungjiu palad-lad tam mibo-e.
GEN.10.6	Ham nahdung siniu Kush, Egypt, Libya khatdi Canaan paliu-e, paliu hai paliu paopeh zan thinjiu lungmai-e. 
GEN.10.7	Kush kaikikdung siniu Seba, Havilah, Sabtah, Raamah khatdi Sabteca paliu-e. Raamah kaikikdung siniu Sheba nai Dedan maidung si-e. 
GEN.10.8	Kush nahpiu Nimrod kubo khat lung-e, pahai kadihpiritu ngamrai thubo kadibopiu si-e. 
GEN.10.9	 gu nkha khaibo jengniu pahai tathiu hasipiu khat thiu-e, sijengniu maidungniu haichiu dinjiu bambo-e, “
GEN.10.10	Karaigara pagu chawang kadih hai Babylon, Erekh khatdi Accad, haidung sumse Babylon ga bamniu-e. 
GEN.10.11	Sibo kadih gasu paniu Assyria lam tadlujiu Nineveh, Rehoboth Ir, Kalah, 
GEN.10.12	khatdi Resen namdidungse Nineveh nai kadibo namdi Calah kakga thiukhai-e.
GEN.10.13	Egypt kaikikdung siniu Lydia, Anam, Lehab, Naphtuh, 
GEN.10.14	Pathrus, Kasluh khatdi Crete paliu-e, paliu khugasu Philistine maidung lung padbo-e.
GEN.10.15	Canaan nah tingthubo siniu Sidon-e, sibosai Heth si-e, paliu hai paliu paopeh zan thenjiu lungmai-e. 
