GEN.1.1	Er penn-kentañ, Doue a grouas an neñvoù hag an douar. 
GEN.3.17	Lavarout a reas da Adam: Pa ec'h eus sentet ouzh mouezh da wreg ha pa ec'h eus debret eus ar wezenn em boa roet dit an urzh-mañ diwar he fenn: Ne zebri ket diouti! e vo an douar milliget abalamour dit. Debriñ a ri e frouezh gant poan e-pad holl zeizioù da vuhez, 
GEN.3.18	hag e produo dit spern hag askol, hag e tebri geot ar parkeier. 
GEN.3.19	Debriñ a ri bara dre c'hwezenn da zremm betek ma tistroi en douar ma'z out bet kemeret anezhañ, rak poultr out hag e tistroi er poultr. 
GEN.3.20	Adam a anvas e wreg Eva
GEN.3.21	An 
GEN.3.22	An 
GEN.3.23	An 
GEN.3.24	Kas eta a reas an den kuit, hag e lakaas e sav-heol liorzh Eden ar cherubined, gantañ ur c'hleze flammus o treiñ a bep tu, evit diwall hent ar wezenn a vuhez.
GEN.4.1	Adam a anavezas Eva e wreg. Houmañ a zeuas brazez hag a c'hanas Kain, hag e lavaras: Un den am eus bet gant sikour an 
GEN.4.2	Genel a reas c'hoazh e vreur Abel. Abel a voe mesaer ha Kain a voe labourer. 
GEN.4.3	A-benn un nebeud amzer, Kain a ginnigas frouezh eus an douar e prof d'an 
GEN.4.4	hag Abel a ginnigas ivez eus ar re gentañ-ganet eus e dropell hag eus o lard. An 
GEN.4.5	met ne reas van ebet eus Kain nag eus e brof. Kain a voe gwall fuloret, hag e zremm a voe goeñvet. 
GEN.4.6	Hag an 
GEN.4.7	Ma rez mat, ha ne adsavi ket? Met ma ne rez ket mat, ar pec'hed a zo gourvezet ouzh an nor, hag e c'hoant a zo troet war-zu ennout. Ret eo dit ren warnañ. 
GEN.4.8	Ha Kain a gomzas da Abel e vreur. Evel ma oant er parkeier, Kain en em savas a-enep Abel e vreur hag en lazhas. 
GEN.4.9	An 
GEN.4.10	Hag e lavaras: Petra ac'h eus graet? Mouezh gwad da vreur a gri eus an douar betek ennon. 
GEN.4.11	Bremañ e vi milliget gant an douar en deus digoret e c'henou evit degemer eus da zorn gwad da vreur. 
GEN.4.12	Pa labouri an douar, ne roio ken dit e frouezh. Ur c'hantreer hag un tec'her e vi war an douar. 
GEN.4.13	Kain a lavaras d'an 
GEN.4.14	Setu, ec'h eus va argaset hiziv eus an douar-mañ hag e vin kuzhet pell diouzh da zremm. Bez' e vin ur c'hantreer hag un tec'her war an douar, hag en em gavo penaos piv bennak am c'havo am lazho. 
GEN.4.15	An 
GEN.4.16	Neuze Kain a yeas kuit a-zirak an 
GEN.4.17	Kain a anavezas e wreg. Houmañ a goñsevas hag a c'hanas Enok. Hag e savas ur gêr a c'halvas Enok, eus anv e vab. 
GEN.4.18	Enok a voe tad da Irad, Irad a voe tad da Vehujael, Mehujael a voe tad da Vetushael, Metushael a voe tad da Lemek. 
GEN.4.19	Lemek a gemeras div wreg: anv unan a oa Ada, anv eben Zilha. 
GEN.4.20	Ada a c'hanas Jabal. Tad e voe d'ar re a chom en teltennoù hag e-kichen an tropelloù. 
GEN.4.21	Anv e vreur a oa Jubal. Tad e voe d'ar re holl a c'hoari eus an delenn hag an ograoù. 
GEN.4.22	Zilha ivez a c'hanas Tubalkain, an hini a vorzholie pep seurt binvioù lemm a arem hag a houarn. C'hoar Tubalkain a voe Naama. 
GEN.4.23	Lemek a lavaras d'e wragez: Ada ha Zilha, selaouit va mouezh gwragez Lemek, roit skouarn da'm c'homz: Ya, lazhet em eus un den evit va gloazadenn hag un den yaouank evit va bronduenn. 
GEN.4.24	Rak mar d-eo veñjet Kain seizh gwech, Lemek a vo seitek gwech ha tri ugent. 
GEN.4.25	Adam a anavezas c'hoazh e wreg. Houmañ a c'hanas ur mab hag a c'halvas anezhañ Sed, rak Doue, emezi, en deus roet din ur mab all e-lec'h Abel a zo bet lazhet gant Kain. 
GEN.4.26	Sed a voe tad ivez d'ur mab hag a c'halvas anezhañ Enosh. Neuze eo en em lakaed da c'hervel anv an 
GEN.5.1	Setu amañ levr lignez Adam. E deiz ma krouas Doue an den, ober a reas anezhañ en heñveledigezh Doue. 
GEN.5.2	Krouiñ a reas anezho den ha denez, bennigañ a reas anezho hag e roas dezho an anv a Adam e deiz ma voent krouet. 
GEN.5.3	Adam a vevas kant ha tregont vloaz hag a voe tad da ur mab en e heñveledigezh, hervez e skeudenn, hag e roas dezhañ an anv a Sed. 
GEN.5.4	Deizioù Adam, goude ganedigezh Sed, a voe eizh kant vloaz, hag a voe tad da vibien ha da verc'hed. 
GEN.5.5	An holl amzer ma vevas Adam a voe eta nav c'hant ha tregont vloaz, neuze e varvas. 
GEN.5.6	Sed a vevas kant pemp bloaz hag a voe tad da Enosh. 
GEN.5.7	Sed, goude ma voe bet tad da Enosh, a vevas eizh kant seizh vloaz, hag a voe tad da vibien ha da verc'hed. 
GEN.5.8	An holl amzer ma vevas Sed a voe eta nav c'hant daouzek vloaz, neuze e varvas. 
GEN.5.9	Enosh a vevas dek vloaz ha pevar-ugent hag a voe tad da Genan. 
GEN.5.10	Enosh, goude ma voe bet tad da Genan, a vevas eizh kant pemzek vloaz, hag a voe tad da vibien ha da verc'hed. 
GEN.5.11	An holl amzer ma vevas Enosh a voe eta nav c'hant pemp bloaz, neuze e varvas. 
GEN.5.12	Kenan a vevas dek vloaz ha tri-ugent hag a voe tad da Vahalaleel. 
GEN.5.13	Kenan, goude ma voe bet tad da Vahalaleel, a vevas eizh kant ha daou-ugent vloaz, hag a voe tad da vibien ha da verc'hed. 
GEN.5.14	An holl amzer ma vevas Kenan a voe eta nav c'hant dek vloaz, neuze e varvas. 
GEN.5.15	Mahalaleel a vevas pemp bloaz ha tri-ugent hag a voe tad da Jered. 
GEN.5.16	Mahalaleel, goude ma voe bet tad da Jered, a vevas eizh kant ha tregont vloaz, hag a voe tad da vibien ha da verc'hed. 
GEN.5.17	An holl amzer ma vevas Mahalaleel a voe eta eizh kant pemzek vloaz ha pevar-ugent, neuze e varvas. 
GEN.5.18	Jered a vevas kant daou vloaz ha tri-ugent hag a voe tad da Enok. 
GEN.5.19	Jered, goude ma voe bet tad da Enok, a vevas eizh kant vloaz, hag a voe tad da vibien ha da verc'hed. 
GEN.5.20	An holl amzer ma vevas Jered a voe eta nav c'hant daou vloaz ha tri-ugent, neuze e varvas. 
GEN.5.21	Enok a vevas pemp bloaz ha tri-ugent hag a voe tad da Vetushela. 
GEN.5.22	Enok a gerzhas gant Doue e-pad tri c'hant vloaz goude ma voe bet tad da Vetushela, hag a voe tad da vibien ha da verc'hed. 
GEN.5.23	An holl amzer ma vevas Enok a voe eta tri c'hant pemp bloaz ha tri-ugent. 
GEN.5.24	Enok a gerzhas eta gant Doue, ha ne voe gwelet mui rak Doue a gemeras anezhañ. 
GEN.5.25	Metushela a vevas kant seizh vloaz ha pevar-ugent hag a voe tad da Lemek. 
GEN.5.26	Metushela, goude ma voe bet tad da Lemek, a vevas seizh kant daou vloaz ha pevar-ugent, hag a voe tad da vibien ha da verc'hed. 
GEN.5.27	An holl amzer ma vevas Metushela a voe eta nav c'hant nav bloaz ha tri-ugent, neuze e varvas. 
GEN.5.28	Lemek a vevas kant daou vloaz ha pevar-ugent hag a voe tad da ur mab. 
GEN.5.29	Gervel a reas anezhañ Noe, en ur lavarout: Hemañ hon dic'hlac'haro eus hol labour hag eus ar boan a ro d'hon daouarn an douar en deus milliget an 
GEN.5.30	Lemek, goude ma voe bet tad da Noe, a vevas pemp kant pemzek vloaz ha pevar-ugent, hag a voe tad da vibien ha da verc'hed. 
GEN.5.31	An holl amzer ma vevas Lemek a voe eta seizh kant seitek vloaz ha tri-ugent, neuze e varvas. 
GEN.5.32	Noe a vevas pemp kant vloaz hag a voe tad da Sem, da Cham ha da Jafed.
GEN.6.1	Pa voe deuet an dud da greskiñ war c'horre an douar, ha ma voe ganet merc'hed dezho, 
GEN.6.2	mibien Doue, o welout penaos e oa koant merc'hed an dud, a gemeras gwragez a-douez ar re holl a blije dezho. 
GEN.6.3	An 
GEN.6.4	Ramzed a oa war an douar en amzer-se, hag ivez diwezhatoc'h, goude ma voe aet mibien Doue etrezek merc'hed an dud hag o doe roet dezho bugale. Ar re-se eo harozed brudet an amzer gozh. 
GEN.6.5	An 
GEN.6.6	An 
GEN.6.7	An 
GEN.6.8	Met Noe a gavas trugarez dirak daoulagad an 
GEN.6.9	Setu amañ lignez Noe: Noe a voe un den reizh hag eeun en e amzer, Noe a gerzhas gant Doue. 
GEN.6.10	Noe a voe tad da dri mab: Sem, Cham ha Jafed. 
GEN.6.11	An douar a oa saotret dirak Doue, an douar a oa leun a fallagriezh. 
GEN.6.12	Doue a sellas ouzh an douar ha setu, e oa saotret, rak pep kig en doa saotret e hent war an douar. 
GEN.6.13	Doue a lavaras da Noe: Diwezh pep kig a zo deuet dirazon, rak an douar a zo leun a fallagriezh drezo. Setu, ez an d'o distrujañ gant an douar. 
GEN.6.14	Gra dit un arc'h gant koad gofer; ober a ri lojelloù enni, hag e lifri anezhi gant peg-du en diabarzh hag en diavaez. 
GEN.6.15	Setu amañ penaos e ri anezhi: Hirder an arc'h a vo tri c'hant ilinad (  150 m), he ledander hanter-kant ilinad (  25 m), hec'h uhelder tregont ilinad (  15 m). 
GEN.6.16	Ober a ri ur prenestr d'an arc'h hag ec'h echui anezhañ dre un ilinad (  50 cm) ouzh krec'h. Lakaat a ri dor an arc'h war he c'hostez. Ober a ri anezhi gant un estaj izel, un eilvet hag un trede. 
GEN.6.17	Ha me, setu, a ya da zegas al liñvadenn-veur war an douar, evit distrujañ kement kig en deus c'hwezhadenn a vuhez dindan an neñvoù. Kement a zo war an douar a varvo. 
GEN.6.18	Met lakaat a rin va emglev ganit. Mont a ri en arc'h, te, da vibien, da wreg ha gwragez da vibien ganit. 
GEN.6.19	Eus kement a vev a-douez pep kig, lakaat a ri da vont en arc'h daou a bep rumm evit o mirout bev ganit: par ha parez e vint. 
GEN.6.20	Laboused hervez o rumm, chatal hervez e rumm, holl stlejviled an douar hervez o rumm, daou eus pep rumm a zeuio davedout evit m'o miri bev. 
GEN.6.21	Te, kemer ganit eus kement boued a vez debret, gra evel-se ur bourvezañs evidout, evit ma servijo kement-se da voued dit kenkoulz ha dezho. 
GEN.6.22	Noe a reas kement-se, pep tra en doa gourc'hemennet Doue dezhañ.
GEN.7.1	An 
GEN.7.2	Kemer a ri ganit eus an holl loened c'hlan seizh koublad a bep rumm, ar par hag e barez, hag eus al loened n'int ket glan, daou, ar par hag e barez. 
GEN.7.3	Kemer a ri ivez eus laboused an neñvoù seizh koublad, par ha parez, evit mirout o gouenn war c'horre an douar holl. 
GEN.7.4	Rak a-benn seizh deiz, e lakain ar glav da gouezhañ war an douar e-pad daou-ugent devezh ha daou-ugent nozvezh, hag e lamin a-ziwar c'horre an douar an holl draoù bev am eus graet. 
GEN.7.5	Noe a reas kement en doa gourc'hemennet an 
GEN.7.6	Noe a oa oadet a c'hwec'h kant vloaz pa voe al liñvadenn-veur ha ma teuas an doureier war an douar. 
GEN.7.7	Noe a yeas e-barzh an arc'h gant e vibien, e wreg ha gwragez e vibien, abalamour da zoureier al liñvadenn. 
GEN.7.8	Loened c'hlan ha loened n'int ket glan, laboused hag eus kement a ruz war an douar, 
GEN.7.9	daou ha daou, par ha parez, a yeas etrezek Noe en arc'h, evel m'en doa gourc'hemennet Doue da Noe. 
GEN.7.10	Hag e c'hoarvezas, a-benn ar seizh devezh, ma voe doureier al liñvadenn war an douar. 
GEN.7.11	Er bloavezh c'hwec'h kant eus buhez Noe, en eilvet miz, er seitekvet deiz eus ar miz, en deiz-se, mammennoù an donder bras a strinkas ha stouvelloù an neñvoù a zigoras. 
GEN.7.12	Ar glav a gouezhas war an douar e-pad daou-ugent devezh ha daou-ugent nozvezh. 
GEN.7.13	En hevelep deiz-mañ, Noe, Sem, Cham ha Jafed, mibien Noe, gwreg Noe ha teir gwreg e vibien ganto, a yeas e-barzh an arc'h, 
GEN.7.14	int, hag an holl loened hervez o rumm, an holl chatal hervez e rumm, an holl stlejviled a ruz war an douar hervez o rumm, an holl laboused hervez o rumm, pep labous bihan, kement en deus divaskell. 
GEN.7.15	Mont a rejont eta etrezek Noe e-barzh an arc'h, daou ha daou, eus kement kig en doa c'hwezhadenn a vuhez. 
GEN.7.16	Ar re a zeuas a oa par ha parez, a bep kig, evel m'en doa gourc'hemennet Doue dezhañ. Hag an 
GEN.7.17	Al liñvadenn a voe daou-ugent devezh war an douar. An doureier a greskas, a c'horrojont an arc'h, hag an arc'h a savas a-us d'an douar. 
GEN.7.18	An doureier a vrasaas hag a greskas kalz war an douar, hag an arc'h a neuñvas war c'horre an doureier. 
GEN.7.19	An doureier a vrasaas meurbet war an douar, an holl venezioù uhel a zo dindan an neñvoù a voe goloet. 
GEN.7.20	An doureier en em savas pemzek ilinad (  7,5 m) a-us dezho hag ar menezioù a voe goloet. 
GEN.7.21	Pep kig en em fiñve war an douar a varvas, kenkoulz al laboused evel ar chatal, al loened hag an holl stlejviled a ruze war an douar, hag an holl dud. 
GEN.7.22	Kement en doa ur c'hwezhadenn a vuhez en e fronoù ha kement a oa war an douar kalet a varvas. 
GEN.7.23	An holl draoù bev a oa war c'horre an douar a voe distrujet, adalek an dud betek al loened, betek ar stlejviled ha betek laboused an neñvoù, hag e voent distrujet a-ziwar c'horre an douar. Ne vanas nemet Noe hag ar pezh a oa gantañ en arc'h. 
GEN.7.24	An doureier a oa bras war an douar e-pad kant hag hanter-kant devezh.
GEN.8.1	Doue a zeuas memor dezhañ eus Noe hag eus an holl loened hag eus an holl chatal a oa gantañ en arc'h. Doue a lakaas da dremen un avel war an douar hag an doureier a sioulaas. 
GEN.8.2	Mammennoù an donder ha stouvelloù an neñvoù en em stankas, hag ar glav a voe dalc'het en neñvoù. 
GEN.8.3	An doureier en em dennas a-ziwar c'horre an douar, en em denn a rejont, an doureier a vihanaas a-benn kant hag hanter-kant devezh. 
GEN.8.4	D'ar seizhvet miz, d'ar seitekvet devezh eus ar miz, an arc'h a ehanas war Venezioù Ararad. 
GEN.8.5	An doureier a yeas en ur vihanaat betek an dekvet miz. D'an dekvet miz, d'ar c'hentañ eus ar miz, pennoù ar menezioù en em ziskouezas. 
GEN.8.6	A-benn daou-ugent devezh, e c'hoarvezas ma tigoras Noe ar prenestr en doa graet en arc'h. 
GEN.8.7	Leuskel a reas ar vran, a yeas o vont hag o tont betek ma voe disec'het an doureier a-ziwar an douar. 
GEN.8.8	Neuze e laoskas ar goulm digantañ, evit gwelout hag-eñ e oa bihanaet kalz an doureier a-ziwar c'horre an douar. 
GEN.8.9	Met ar goulm ne gavas ket ul lec'h da lakaat sol he zroad, hag e tistroas d'e gavout en arc'h rak dour a oa war c'horre an douar. Noe a astennas e zorn, he c'hemeras hag he zegasas d'e gavout en arc'h. 
GEN.8.10	Gortoz a reas c'hoazh seizh devezh all, neuze e laoskas a-nevez ar goulm er-maez eus an arc'h. 
GEN.8.11	Ar goulm a zistroas d'e gavout war-dro an abardaez ha setu, e oa ganti un delienn olivezenn fresk en he beg. Noe a gomprenas penaos an doureier o doa gwall vihanaet war an douar. 
GEN.8.12	Gortoz a reas c'hoazh seizh devezh all, neuze e laoskas ar goulm met ne zistroas ken d'e gavout. 
GEN.8.13	Hag e c'hoarvezas er bloaz c'hwec'h kant unan a vuhez Noe, d'ar c'hentañ miz, d'ar c'hentañ deiz eus ar miz, ma oa an doureier disec'het a-ziwar an douar. Noe a lamas golo an arc'h hag a sellas: setu, gorre an douar a oa sec'het. 
GEN.8.14	D'an eilvet miz, d'ar seizhvet warn-ugent eus ar miz, an douar a voe sec'h. 
GEN.8.15	Neuze Doue a gomzas da Noe, o lavarout: 
GEN.8.16	Deus er-maez eus an arc'h, te, da wreg, da vibien ha gwragez da vibien ganit. 
GEN.8.17	Laka da zont er-maez an holl loened a zo ganit, a bep kig, kenkoulz al laboused, evel ar chatal hag an holl stlejviled a ruz war an douar, ha ra builhint war an douar, ra vint frouezhus ha ra greskint war an douar. 
GEN.8.18	Noe a zeuas er-maez gant e vibien, e wreg ha gwragez e vibien. 
GEN.8.19	An holl loened, an holl stlejviled, an holl laboused, kement a ruz war an douar, hervez o rumm, a yeas er-maez eus an arc'h. 
GEN.8.20	Noe a savas un aoter d'an 
GEN.8.21	An 
GEN.8.22	Keit ha ma pado an douar, an haderezh hag an eost, ar yenijenn hag an tommder, an hañv hag ar goañv, an deiz hag an noz n'ehanint ket.
GEN.9.1	Doue a vennigas Noe hag e vibien, hag e lavaras: Bezit frouezhus, kreskit ha leugnit an douar. 
GEN.9.2	Aon ha spont dirazoc'h o devo holl loened an douar, holl laboused an neñvoù, kement a fiñv war an douar, hag holl besked ar mor. Lakaet e vint holl etre ho taouarn. 
GEN.9.3	Kement a fiñv hag en deus buhez a vo deoc'h evel boued, reiñ a ran kement-se holl evel ar geot glas. 
GEN.9.4	Hogen, ne zebrot ket ur c'hig gant e ene, e wad. 
GEN.9.5	Hag a-dra-sur me a adc'houlenno ho kwad, hini hoc'h eneoù. E c'houlenn a rin digant pep loen. Me a adc'houlenno ene an den eus dorn an den, eus dorn e vreur. 
GEN.9.6	An hini a skuilho gwad an den, dre an den e wad a vo skuilhet, rak Doue en deus graet an den en e skeudenn. 
GEN.9.7	C'hwi eta, bezit frouezhus ha kreskit, fonnit war an douar ha kreskit warnañ. 
GEN.9.8	Doue a gomzas c'hoazh ouzh Noe hag ouzh e vibien gantañ, o lavarout: 
GEN.9.9	Setu, e lakaan va emglev ganeoc'h ha gant ho lignez war ho lerc'h, 
GEN.9.10	gant an holl voudoù bev a zo ganeoc'h, kenkoulz al laboused evel ar chatal hag holl loened an douar ganeoc'h, ar re holl a zo deuet er-maez eus an arc'h, holl loened an douar. 
GEN.9.11	Lakaat a ran va emglev ganeoc'h: kig ebet ne vo ken distrujet gant doureier al liñvadenn-veur, ha ne vo liñvadenn ebet da zistrujañ an douar. 
GEN.9.12	Ha Doue a lavaras: Setu arouez an emglev a lakaan etrezon-me ha c'hwi hag an holl voudoù bev a zo ganeoc'h, evit ar rummadoù da viken: 
GEN.9.13	lakaat a ran va gwareg er c'hoabrennoù, hag e servijo da arouez an emglev etrezon-me hag an douar. 
GEN.9.14	Hag e c'hoarvezo penaos, pa em bo dastumet koabr war an douar ha ma en em ziskouezo va gwareg er c'hoabrennoù, 
GEN.9.15	em bo soñj eus va emglev a zo etrezon-me ha c'hwi ha kement boud bev a bep kig, hag an doureier ne zeuint ken ul liñvadenn evit distrujañ pep kig. 
GEN.9.16	Ar wareg a vo eta er c'hoabrennoù, hag e sellin outañ evit kaout soñj eus an emglev peurbadus etre Doue hag an holl voudoù bev a bep kig a zo war an douar. 
GEN.9.17	Doue a lavaras da Noe: Houmañ eo arouez an emglev a lakaan etrezon-me ha pep kig a zo war an douar. 
GEN.9.18	Mibien Noe a zeuas er-maez eus an arc'h a voe Sem, Cham ha Jafed. Cham a voe tad da Ganaan. 
GEN.9.19	Ar re-se eo tri mab Noe; drezo eo e voe poblet an douar holl. 
GEN.9.20	Noe en em lakaas da labourat an douar ha da blantañ ur winieg. 
GEN.9.21	Evañ a reas gwin, en em vezvas, hag en em zizoloas e-kreiz e deltenn. 
GEN.9.22	Cham tad Kanaan, o vezañ gwelet noazhder e dad, a zeuas er-maez da gontañ d'e zaou vreur. 
