MAT.1.1	Абраһамай үри һадаһан болохо Давидай үри һадаһан Иисус Христосой уг гарбалынь иимэ:
MAT.1.22	Тиигэжэл Дээдын Эзэнэй лүндэншөөрөө иигэжэ дамжуулжа айладхаһаниинь бүтэбэ даа:
MAT.1.23	«Басаган хээлитэй болоод, хүбүү түрэхэ, тэрээниие Эммануил гэжэ нэрлэхэ», энэ нэрэнь Бурхан мантай хамта байна гэһэн удхатай. 
MAT.1.24	Иосиф нойрһоо һэреэд, уданшьегүй Бурханай Эльгээмэлэй захирһан ёһоор Мариятайгаа гэрлэжэ һууба. 
MAT.1.25	Хүбүүнэйнгээ түрэтэр Иосиф һамгантайгаа хамта унтаагүй һэн. Хүбүүндээ тэрэ Иисус гэжэ нэрэ үгөө һэн.
MAT.2.1	Иисус болбол Иудейн Вифлеем хотодо Ирод хаанай зонхилжо байха үедэ түрэбэ. Тэрэ үедэ зүүн зүгһөө Иерусалим хотодо сэсэшүүл ерээд, 
MAT.2.2	хүнүүдһээ иигэжэ асууба:
MAT.2.2	«Иудейн хаан болохоор заяагдажа түрэһэн үхибүүн хаанаб?
MAT.2.2	Бидэ тэрээнэй одоной зүүн зүгтэ мандахые хараад,
MAT.2.2	тэрээндэ мүргэхэеэ ерээбди».
MAT.2.3	Энээниие дуулаад, Ирод хаан, тэрээнтэй хамта бүхы Иерусалимай зон һанаата болобо. 
MAT.2.4	Тиигээд Ирод бүхы ахамад санаартаниие, Хуули заадаг багшанарые суглуулаад: «Бурханай табисуурта Христос хаана түрэхэ ёһотой байгааб?» – гэжэ тэдэнһээ һураба. 
MAT.2.5	Тэдэнь иимэ харюу үгэбэ: «Иудейн Вифлеемдэ түрэхэ ёһотой байгаа, лүндэншын иигэжэ бэшэһэн ёһоор:
MAT.2.6	„Иудейн орон дайдын Вифлеем хото,
MAT.2.6	ши Иудын мэдэлэй бусад шухала хотонуудһаа
MAT.2.6	юугээрээшье дутанагүйш, юундэб гэхэдэ,
MAT.2.6	минии Израилиин арад зониие хүтэлхэ
MAT.2.6	ехэ ударидагша шамһаа мүндэлэн гараха юм“».
MAT.2.7	Тиихэдэнь Ирод зүн зүгһөө ерэһэн сэсэшүүлые нюусаар дуудаад, одоной мандаһан саг тэдэнһээ мэдэжэ абаба. 
MAT.2.8	Тиигээд тэдэниие Вифлеем эльгээхэ зуураа:
MAT.2.8	«Ошоод, тэрэ хүбүүе һайнаар бэдэрэгты. Тэрэниие олоод, намда дуулгаарайгты. Би баһа ошожо тэрээндэ мүргэхэ һанаатайб», – гэжэ хэлэбэ.
MAT.2.9+MAT.2.10	Тэдэнь хаанай хэлэһэн үгэ шагнаад, замдаа мордобо. Зүүн зүгтэ хараһан одоёо дахин харахадаа тэдэнэр угаа ехээр баярлаба. Тэрэ одон тэдэниие хүтэлэн, урдань ябажа, һүүлэй һүүлдэ хүбүүнэй байһан газарта асараад тогтошобо. 
MAT.2.11	Сэсэшүүл гэртэ ороод, хүбүүнэй Мария эхэтэйгээ байхыень хараба, тиигээд газар хүрэтэр дохин тэрээндэ мүргэбэ. Асарһан бэлэгүүдээ дэлгэжэ, хүбүүндэ алта мүнгэ, сан санзай, һайхан үнэртэй ургамалай тоһо үргэбэ.
MAT.2.12	Зүүдэндээ тэдэ Иродтэ бусажа бү ошогты гэһэн һэргылэмжэ Бурханһаа абаһан хадаа ондоо харгыгаар өөрынгөө нютаг орондо бусаба.
MAT.2.13	Тэдэ сэсэшүүлэй ябаһан хойно Бурханай Эльгээмэл Иосифой зүүдэндэ үзэгдөөд, иигэжэ хэлэбэ:
MAT.2.13	– Ирод энэ хүбүүе алахаяа һанаашалаад, бэдэржэ орохонь. Тиимэһээ ши бушуухан бодоод, хүбүүгээ эхэтэйнь абажа, Египет руу тэрьедэ. Тиигээд минии шамда дуулгатар тэндээ байгаарай.
MAT.2.14	Иосиф үхибүүгээ эхэтэйнь абажа, тэрэл һүниндөө Египет ябаба. 
MAT.2.15	Тэдэнэр Иродэй үхэтэрынь тэндэ байгаа. Тиигэжэл Дээдын Эзэнэй лүндэншөөрөө дамжуулан: «Би Египедһээ өөрынгөө Хүбүүе дуудааб», – гэжэ айладхаһаниинь бүтэбэ даа.
MAT.2.16	Сэсэшүүлдэ мэхэлүүлһэнээ мэдэрхэдээ, Ирод аргагүй ехээр сухалдаба. Тиигээд Вифлеем хото болон тэрэниие оршон тойроһон нютагуудай хоёр наһанһаа доошо хүбүүдые алагты гэһэн захиралтатайгаар сэрэгшэдээ эльгээбэ. Үхибүүнэй наһа Ирод сэсэшүүлһээ мэдэжэ абаһан сагаар багсааһан байна.
MAT.2.17	Тиигэжэл Иеремия лүндэншын айладхаһан ёһоор Дээдын Эзэнэй найдуулһаниинь бүтэбэ даа:
MAT.2.18	«Рама соо
MAT.2.18	уйлаха бархирха абяан дуулдана.
MAT.2.18	Рахель хюдуулһан үхибүүдээ шаналан уйлана,
MAT.2.18	һанааень заһахын аргагүйл».
MAT.2.19	Иродэй үхэһэн хойно Египедтэ байһан Иосифой зүүдэндэ Бурханай Эльгээмэл үзэгдөөд:
MAT.2.20	«Ши бодоод, хүбүүгээ эхэтэйнь абажа, Израиль нютагаа бусажа ошо. Хүбүүнэй ами хороохоёо һанагшад мүнөө хосороо», – гэжэ хэлэбэ.
MAT.2.21	Иосиф үхибүүгээ эхэтэйнь абажа, Израиль нютагаа бусаба. 
MAT.2.22	Иродэй орондо Архелай хүбүүниинь Иудейдэ хаан болоо гэжэ дуулаад, Иосиф тиишэ ошохоёо айгаа. Харин Иосиф зүүдэндээ дахин зүблэл абаад, Галилейн можо зүглэбэ. 
MAT.2.23	Тэндэ Иосиф гэр бүлэтэйгөө Назарет хотодо түбхинэн нютагжаба. Тиигэжэл «Тэрэ Назаредэй гэжэ нэрлүүлхэ» гээд лүндэншэдэй айладхаһаниинь тудаа.
MAT.3.1	Тэрэ сагта Уһаар Арюудхагша Иоанн Иудейн сүл губи ерээд, номнол хэбэ. 
MAT.3.2	«Бурханай хаан түрэ һаяар мандахань, тиимэһээ нүгэл үйлэдэхэеэ болёод, Бурханда хандагты», – гэжэ тэрэ хэлэбэ. 
MAT.3.3	Иоанн тухай лүндэншэ Исайя иигэжэ хэлээ:
MAT.3.3	«Дээдын Эзэнэй ябаха замынь бэлдэгты,
MAT.3.3	алхаха харгыень дардам сэхэ болгогты гэжэ
MAT.3.3	хэн бэ даа сүл губида хашхарба».
MAT.3.4	Иоанн тэмээнэй нооһон хубсаһа үмдэдэг, һур бэһэ бэһэлээд ябадаг бэлэй. Тэрэ таршаагаар, зэрлиг зүгын балаар хооллодог байгаа. 
MAT.3.5	Тиихэдэ Иерусалимайхид, Иудей можын хамаг зон, Иордан гол тойрон һуугшад булта тэрээндэ ошобо. 
MAT.3.6	Тэдэ зон нүгэл шэбэлнүүдээ мэдэрэн гэмшэбэ, тиин Иоанн тэдэниие Иордан голдо шунгуулан уһаар арюудхаба.
MAT.3.7	Уһанда арюудхуулхаяа олон фарисейнүүдэй, саддукейнэрэй
MAT.3.8	Таанар буянтай һайн юумэ бүтээжэ, Бурханда хандаһанаа харуулагты. 
MAT.3.9	Үбгэ эсэгэмнай Абраһам юм гэжэ өөһэд тухайгаа бү бодогты, юундэб гэхэдэ, Бурхан энэ хэбтэһэн шулуугааршье Абраһамда үри хүүгэдые бүтээжэ шадаха юм гэжэ танда хэлэхэ байнаб. 
MAT.3.10	Модо үндэһөөрнь таһа сабшаха алма һүхэ бэлэн байна: һайн үрэ жэмэс үгэдэггүй алишье модон таһа сабшагдаад, галда хаягдаха. 
MAT.3.11	Нүгэлөө гэмшэһыетнай баталан би таанадые уһаар арюудханаб, теэд минии хойноһоо Заларан ерэгшэ таанадые Нангин Һүлдэ гал хоёроор арюудхаха. Тэрэ намда ороходоо агууехэ юм. Би тэрэнэй гуталыеньшье абажа ябаха эрхэгүйб. 
MAT.3.12	Тэрэ таряагаа сэбэрлэхээр хүрзэеэ гартаа адхаад байна: таряагаа суглуулжа амбаартаа хадагалха, харин мэхиинэ һолоомыень залиршагүй галда шатааха».
MAT.3.13	Тэрэ сагта Иисус Иоаннһаа уһан арюудхалда хүртэхэеэ Галилейһээ Иордан голдо ерэбэ. 
MAT.3.14	Тиихэдэнь Иоанн Иисусай һанал хубилгаха зорилготойгоор:
MAT.3.14	«Би шамһаа уһан арюудхалда хүртэхэ ёһотойлби, тиигэн гэһээ ши намда ерэбэ гүш?» – гэбэ.
MAT.3.15	Теэд Иисус тэрээндэ:
MAT.3.15	«Мүнөө энээниие хэе, бидэ иигэжэл Бурханай эрхэ хүсэл бүтээхэбди», – гэбэ. Тиихэдэнь Иоанн зүбшөөбэ. 
MAT.3.16	Уһаар арюудхууламсаараа Иисус уһанһаа гараба. Тиихэдэнь тэрээндэ огторгой сэлигдэн нээгдэбэ, тэрэ гулабхаадал мэтэ Бурханай Һүлдын дээрэнь буухые хараба. 
MAT.3.17	«Энэ минии хайрата Хүбүүмни гээшэ, һанаа сэдьхэлдэмни таатай юм», – гэһэн абяан огторгойһоо дуулдаба.
MAT.4.1	Удаань Һүлдэ Иисусые альбан шолмосоор һорюулха туршуулхаяа сүл губи руу хүтэлжэ абаашаба. 
MAT.4.2	Иисус дүшэн үдэр, дүшэн һүни масаглаад, һүүлдэнь гэдэһэниинь аргагүй ехээр үлдэбэ. 
MAT.4.3	Тиихэдэнь һоригшо шолмос тэрээндэ ерээд: «Хэрбээ ши Бурханай Хүбүүн юм һаа, эдэ шулуунуудта хилээмэн болохыень захира», – гэбэ.
MAT.4.4	Тиихэдэнь Иисус: «„Хүн гансал хилээмээр амидардаг бэшэ, харин Бурханай хэлэһэн үгын ашаар амиды ябадаг юм“, – гэжэ Нангин Бэшэгтэ хэлэгдэнэ», – гэжэ харюусаба.
MAT.4.5	Һүүлдэнь Иисусые шолмос нангин Иерусалим хото абаашажа, Бурхан Һүмын орой дээрэ байлгаба. 
MAT.4.6	«Хэрбээ ши Бурханай Хүбүүн юм һаа, эндэһээ доошоо һүрэ. Тиигэбэлшни, „Бурхан өөрынгөө Эльгээмэлнүүдтэ шинии тушаа захиралта үгэхэ, шулуунда бүдэржэ унахагүйншни тулада тэдэ шамайе гар дээрээ үргөөд ябаха“, – гээд Нангин Бэшэг соо хэлэгдэнэ ха юм», – гэжэ Иисуста шолмос хэлэбэ.
MAT.4.7	Тиихэдэнь Иисус: «Бурханшни болохо Дээдын Эзэнээ бү турша гээд баһа тэндэ бэшээтэй юм», – гэжэ шолмосто харюусаба.
MAT.4.8	Иисусые шолмос дахин үндэр гэгшын хада дээрэ абажа гараад, дэлхэйн бүхы хаан оронуудые, тэдэнэй һүр жабхалангые харуулна. 
MAT.4.9	«Хэрбээ хүлдэм унажа мүргөө һаашни, би эдэ бүгэдые шамда үгэхэб!» – гэжэ тэрээндэ шолмос хэлэбэ.
MAT.4.10	Тиихэдэнь Иисус шолмосто: «Ай, сатана!
MAT.4.11	Тиихэдэнь шолмос Иисусые орхижо ошобо, харин Бурханай Эльгээмэлнүүд тэрээндэ туһалхаяа ерэбэ. Иисус Галилей можодо ажалаа хэжэ эхилбэ. 
MAT.4.12	Иоаниие түрмэдэ хаагаа гэжэ дуулаад, Иисус Галилей можо ошобо. 
MAT.4.13	Теэд Назарет хотодоо байхын орондо тэрэ Капернаум хотодо һуурижаба. Тэрэ хото Галилей далайн хажууда, Забулон ба Нафталим обогуудай газарта оршожо байгаа. 
MAT.4.14	Тиигэжэл лүндэншэ Исайягаар дамжуулан Бурханай айладхаһаниинь бүтэбэ даа:
MAT.4.15	«Забулоной газар, Нафталимай газар,
MAT.4.15	нуурай шадархи харгын дэргэдэхи газарнууд,
MAT.4.15	Иордан голой саада бэе,
MAT.4.15	бусад үндэһэтэнүүдэй Галилейн газар дайда,
MAT.4.16	харанхы мунхагта һуугаашад
MAT.4.16	тон ехэ гэрэл туяа үзэхэ!
MAT.4.16	Үхэлэй ороной һүүдэртэ һуугаашадта
MAT.4.16	гэрэл туяа сасарха!»
MAT.4.17	Тэрэ сагһаа хойшо Иисус: «Нүгэл үйлэдэхэеэ болижо, Бурханда хандагты, Бурханай хаан түрын мандахань ойртоод байнал», – гээд номножо эхилбэ.
MAT.4.18	Нэгэтэ Галилей далайн хажуугаар ябажа ябахадаа, Иисус аха дүү хоёрые хараба. Тэдэ загаһашадай нэгэнь Пётр гэжэ ара нэрэтэй Симон, нүгөөдэнь тэрэнэй Андрей гэдэг ахань байгаа. Тэдэ хоёр загаһашад гүльмэеэ далайда хаяжа байба. 
MAT.4.19	«Таанар хойноһоомни ябагты, загаһа барихын орондо хүнүүдые намда хандуулха албанда би таанадые һургахаб», – гэжэ Иисус тэдэндэ хэлэбэ. 
MAT.4.20	Тиигэхэдэнь тэдэнэр дары гүльмэеэ орхёод, Иисусай хойноһоо ябаба.
MAT.4.21	Тэндэһээ саашалжа ябатараа Иисус Зэбэдэйн хүбүүдые, Яков Иоанн хоёрые хараба. Аха дүү хоёр Зэбэдэй эсэгэтэеэ хамта онгосодо һуугаад, гүльмэеэ заһажа байгаа. Иисус тэдэниие хамта ябалсахаарнь дуудаба. 
MAT.4.22	Тэдэнь дары онгосоёо, эсэгэеэ орхёод, Иисустай ябаба.
MAT.4.23	Иисус бүхы Галилей можоор ябажа, мүргэлэй гэрнүүдтэ арад зониие һургаба, Бурханай хаан түрэ тухай Һайн мэдээсэл номнобо, элдэб янзын үбшэ хабшатай хүнүүдые эмнэн эдэгээбэ. 
MAT.4.24	Иисус тухай алдар суу бүхы Сири ороноор хаа хаанагүй тараба. Тиимэһээ тэрээндэ ехээр үбдэжэ зобожо байһан, досоогоо ада шүдхэртэй болоһон, унадаг үбшэнтэй, саа үбшэнтэй, мүн бусадшье элдэб янзын үбшэ хабшантай зониие олоор асаржа байба, тиин Иисус тэдэниие бултыень эдэгээбэ. 
MAT.4.25	Галилей можоһоо, Арбан хото можоһоо, Иерусалимһаа, Иудей можоһоо, Иордан голой саада бэеһээ ерэһэн үй түмэн зон Иисусые дахажа ябаба.
MAT.5.1	Хажуудаа олон зоной сугларһые харахадаа, Иисус хада дээрэ гаража, тэндээ һууба. Тэрэниие тойроод шабинарынь сугларба. 
MAT.5.2	Иисус тэдэ зониие һургажа эхилбэ.
MAT.5.3	«Бурханай Һүлдөөр дуталдагшад, жаргалтайл,
MAT.5.3	Огторгойн хаан түрэ тэдэнэй ха юм.
MAT.5.4	Гуниглан уйлаашад жаргалтайл,
MAT.5.4	Бурхан тэдэнэй һанаае амаруулхал.
MAT.5.5	Даруу номгон зон жаргалтайл,
MAT.5.5	тэдэнэр дэлхэйе уг залгамжалхал.
MAT.5.6	Үнэн зүбые угаа ехээр хүсэгшэд жаргалтайл,
MAT.5.6	тэдэнэр һанаһандаа хүрэхэ юм.
MAT.5.7	Бусад зониие хайрлаашад жаргалтайл,
MAT.5.7	тэдэниие өөһэдыень хайрлахал.
MAT.5.8	Арюун сэдьхэлтэн жаргалтайл,
MAT.5.8	тэдэнэр Бурханиие үзэхэл.
MAT.5.9	Амгалан байдал найруулагшад жаргалтайл,
MAT.5.9	Бурхан тэдэниие үхибүүдни гэжэ нэрлэхэл.
MAT.5.10	Бурханай эрхэ хүсэлөөр ажаһууһанайнгаа түлөө хашуулагшад жаргалтайл,
MAT.5.10	Огторгойн хаан түрэ тэдэнэй ха юм.
MAT.5.11	Минии түлөө доромжолуулһан, хашуулжа намнуулһан, элдэбээр хардуулһан байбал, таанад жаргалтайт.
MAT.5.12	Баярлажа, хүхижэ ябагты!
MAT.5.12	Тэнгэридэ таанадта агууехэ шагнал бэлдээтэй байна.
MAT.5.12	Эртэ урда ажамидарһан лүндэншэдые баһал иигэжэ хашажа үлдэжэ байһан юм».
MAT.5.13	Таанад газар дэлхэйн зоной дабһан хужарынь гээшэт. Хэрбээ дабһанай амтаяа гээгээ һаань, дахин тэрэниие яажа гашуун болгохоб? Тиигээ һаа дабһан юундээшье хэрэггүй болоод, миил хаягдажа, хүнэй хүлдэ гэшхүүлхэ зэргэтэйл.
MAT.5.14	Таанад газар дэлхэйн зоной гэрэл туяа гээшэт. Хада дээрэ бодхоогдоһон хото хоргодожо шадахагүйл. 
MAT.5.15	Зула аһаагаад, хэншье тэрэнээ амһарта доро табидаггүй, харин гэртэ байһан зониие бултыень гэрэлтүүлжэ байхын тула зулын табюур дээрэ бадараадаг юм. 
MAT.5.16	Энээндэл адляар танай гэрэл туяа улад зоной урда гэрэлтэжэ байхань болтогой, тиигэбэл дэмбэрэлтэ һайхан хэрэгүүдыетнай зон хараад, тэнгэридэхи Эсэгэдэтнай магтаал соло дуудахал.
MAT.5.17	Моисейн Хуули гү, али лүндэншэдэй бэшээшые болюулхаяа намайе ерээ гэжэ бү бодогты. Би эдээниие болюулхаяа бэшэ, харин үнэн дээрэнь бүтээхэеэ ерээб. 
MAT.5.18	Газар тэнгэри хоёрой байгаал сагта, Хуулиин багаханшье зүйл, бишыханшье үзэгынь үгы болохогүй гэжэ таанадта баталан хэлэнэб. Досоонь бэшээтэй бүхы юумэнүүд заабол бэелхэ зэргэтэй юм. 
MAT.5.19	Тиин Хуулиин тон эгээлэй заабариие эбдэһэн, улад зониие тиимэ юумэндэ һургаһан хүн Огторгойн хаан орон дотор тон бирагүй хүн байха. Зүгөөр эдэ заабаринуудые сахидаг, улад зониие тиимэ юумэндэ һургадаг хүн Огторгойн хаан орон дотор агууехэ хүн байха. 
MAT.5.20	Хэрбээ таанар Бурхантай баталһан Хэлсээе Хуули заадаг багшанарһаа, фарисейнүүдһээ үлүү һайнаар дүүргэдэггүй һаа, Огторгойн хаан орондо орохогүйт гэжэ баталан хэлэнэб.
MAT.5.21	«Хүниие бү ала, алууршан зарга шүүбэридэ үгтэхэ», – гэжэ эртэ урда сагта хүнүүдэй хэлэдэгые таанар дуулаһан бэзэт. 
MAT.5.22	Хүндэ дэмы уурлаһан хүн зарга шүүбэридэ орохо зэргэтэй гэжэ би мүнөө таанадта хэлэнэб. Хүниие «рака»
MAT.5.23	Хэрбээ ши үргэлэй шэрээгэй хажууда үргэл хэхэеэ ябаһанаа, хүнэй шамда гомдолтой байһые һанаандаа оруулбал, 
MAT.5.24	үргэлэй шэрээгэй хажууда үргэлөө орхи. Тиигээд бушуухан ошожо, нүгөө хүнтэеэ эбтэй боло, тиигэһэн хойноол үргэл мүргэлөө үргөөрэй.
MAT.5.25	Хэрбээ хэн нэгэн шинии урдаһаа зарга барижа, шамайе зарга шүүбэридэ абаашажа байбал, зарга шүүгшын мэдэлдэ ороогүйдөө, замдаа хэрэгээ түргэхэн шиидхэхые оролдо. Тиигээгүй һааш, шамайе зарга шүүбэридэ үгэхэ, зарга шүүгшэ шамайе түрмын харуулшанда тушааха, харин харуулшан шамайе түрмэдэ һуулгаха. 
MAT.5.26	Үри шэриеэ дууһан, һүүлшын хашарһан хүрэтэр түлөөгүй һаа, ши тэндэһээ гарахагүйш гэжэ шамда баталан хэлэнэб.
MAT.5.27	«Эрэдээ гү, али эхэнэртээ бү урба», – гэжэ эртэ урда сагта хүнүүдэй хэлэдэгые таанар дуулаһан бэзэт. 
MAT.5.28	Харин би мүнөө иигэжэ хэлэхэ байнаб: ондоо эхэнэр тээшэ хараад, тэрээнтэй ниилэхэ һанаатай байһан алишье хүн һанал бодолдоо тэрэ эхэнэртэй орёолдон, өөрынгөө һамганда урбаба гээшэ. 
MAT.5.29	Хэрбээ баруун нюдэншни шамайе нүгэлдэ оруулаа һаа, тэрэнээ һуга татаад хая. Бүрин эрхэтэнтэйгээ гал тамада хаягдахын орондо гансахан эрхэтэнгүй ябабалшни шамда дээрэ байха. 
MAT.5.30	Хэрбээ баруун гаршни шамайе нүгэлдэ оруулаа һаа, тэрэнээ таһа отолоод хая. Бүрин бүтэн эрхэтэнтэйгээ гал тамада хаягдахын орондо гансахан лэ мүсыншни хосорбол, шамда дээрэ байха.
MAT.5.31	Һамганһаа һалажа байһан эрэ бүхэн һалаһан тухайгаа гэршэлгэ һамгандаа бэшэжэ үгэхэ ёһотой гэжэ баһа хэлэгдэһэн байдаг. 
MAT.5.32	Харин би мүнөө таанадта иигэжэ хэлэхэб: өөртэнь урбаагүй эхэнэрһээ бусад шалтагаануудаар һалаһан алишье эрэ һамгаяа урбалтада түлхинэ; мүн тиимэ эхэнэрээр һамга хэһэн хүн баһал урбагша болоно.
MAT.5.33	«Дээдын Эзэндэ үгэһэн тангаригаа бү эбдэ, тэрэнээ сахижа яба», – гэжэ эртэ урда сагһаа хүнүүдтэ хэлэдэгые таанар баһа дуулаа һэн бэзэт. 
MAT.5.34	Харин би мүнөө танда иигэжэ хэлэхэб: найдуулга үгэхэдөө огто бү тангаригла, огторгой тэнгэреэршье бү тангаригла, юундэб гэбэл, огторгой хадаа Бурханай һуудаг шэрээ гээшэ. 
MAT.5.35	Газар дэлхэйгээршье бү тангаригла, юундэб гэбэл, газар дэлхэй Бурханай хүлэйнь түшэг гээшэ. Иерусалимааршье бү тангаригла, юундэб гэбэл, Иерусалим агууехэ Хаанай хото гээшэ. 
MAT.5.36	Өөрынгөө толгойгооршье бү тангаригла, юундэб гэхэдэ, гансаханшье үһэеэ сагаан болгожо гү, али хара болгожо шадахагүйш. 
MAT.5.37	Зүгөөр, найдуулгаа үгэхэдөө, «зай, зай», али «үгы, үгы» гэжэл хэлэ. Энээнһээ үлүү үгэ муу мэхэтэй шолмосһоо гарадаг.
MAT.5.38	«Нюдэнэй харюу нюдэн, шүдэнэй харюу шүдэн» гэжэ хэлэдэгые таанар дуулаа ёһотойт. 
MAT.5.39	Харин би мүнөө танда иигэжэ хэлэхэб: хоротоноор бү үһөөрхэлдэ. Хэрбээ баруун хасарыешни хүнэй альгадабал, тэрэ хүндэ зүүн хасараа табижа үгэ. 
MAT.5.40	Хэрбээ хэн нэгэнэй шамтай заргалдаад, самсыешни буляаха һанаатай байбалнь, ши тэрээндэ дэгэлээ тайлажа үгэ. 
MAT.5.41	Хэрбээ нютагыешни эзэлһэн сэрэгшэд шамайе нэгэ модоной зайда юумыень шэрэжэ абаашахыешни хүсөөр баалабалнь, ши тэдэнэй юумэ хоёр модоной зайда абаашажа үгөөрэй. 
MAT.5.42	Шамһаа юумэ эриһэн хүндэ үгэ, шамһаа юумэ урьһаар абаха гээ һаань, буруу бү хараарай.
MAT.5.43	«Нүхэртөө дуратай бай, дайсанаа үзэн яда» гэжэ хэлэдэгые таанад дуулаа бэзэт. 
MAT.5.44	Харин би мүнөө танда иигэжэ хэлэхэб: дайсадтаа дуратай байгты, таниие хашагшадай түлөө зальбаржа байгты. 
MAT.5.45	Тиигээ һаа, огторгойдо байгша Эсэгэдээл адли бэеэ абажа ябадаг болохот. Юундэб гэбэл, Эсэгэтнай өөрынгөө муушуулдашье, һайшуулдашье нара гэрэлтүүлнэ, мүн зүбтэндэшье, буруутандашье хура бороо оруулна. 
MAT.5.46	Хэрбээ өөртөө хайра дуратай зонииел хайрлажа байбалтнай, Бурхан яагаад таанадые шагнаха юм? Алба татаашадшье тиидэг бэшэ аал? 
MAT.5.47	Баһа хэрбээ гансал өөрынгөө нүхэдые мэндэшэлжэ ябабал, таанад үлэмжэ һайн ямар юумэ хэнэ гээшэбта? Мүн бусад арадуудшье баһал тиидэг бэшэ аал? 
MAT.5.48	Тиимэһээ эрхим түгэс Огторгойн Эсэгэдээл адли таанадшье эрхим һайн байгты.
MAT.6.1	Хүнүүдтэ харагдаха мэдэгдэхын лэ тула тэдэндэ туһа хүргэжэ бү байгты. Тиигээ һаа, Огторгойдохи Эсэгэһээ шагналда хүртэхэгүйт. 
MAT.6.2	Тиин үгытэйшүүлдэ бадар үгэхэдөө, тэрээн тухайгаа бүхы хото хүдөөгөөр бү донгодо. Хоёр нюуртан лэ тиигэжэ бэеэ магтуулхын тула мүргэлэй гэрээр дүүрэн, газаагууршье тунхагладаг ха юм. Тэдэнэр өөһэдынгөө шагнал энэ дээрээл абажа байна гэжэ танда үнэниие хэлэнэб. 
MAT.6.3	Үгытэйшүүлдэ бадар үргэхэдөө, тэрээн тухайгаа хани нүхэдтөөшье бү мэдүүлэ. 
