GEN.1.2	Umhlaba wawulihlane lelingenalutfo, bumnyama babumbonye emanti nekujula kwawo; Moya waNkulunkulu
GEN.2.6	Noko kwenyuka inkhungu, iphuma emhlabatsini, yanisela wonkhe umhlaba.
GEN.2.8	Nkulunkulu Simakadze wahlanyela insimi yase-Edeni ngasemphumalanga; wambeka khona-ke lomuntfu labesamentile. 
GEN.2.9	Nkulunkulu Simakadze wamilisa emhlabatsini tonkhe tihlahla letibukekako letimnandzi; ekhatsi nensimi wamilisa sihlahla sekuphila kanye nesihlahla sekwati lokuhle nalokubi.
GEN.2.10	Kwavela umfula lowageleta wanisela insimi yase-Edeni, udzabula ekhatsi nayo, bese wehlukana uba ngimifula lemine. 
GEN.2.11	Libito lemfula wekucala yiPhishoni; ngulona logeleta utungelete lonkhe live laseHavila, lapho kunegolide khona. 
GEN.2.12	Igolide yalelo live yinhle kakhulu; kunenhlaka yebhedola kanye nelitje isholamu kulelo live. 
GEN.2.13	Umfula wesibili yiGihoni; ngiwo logeleta utungelete lonkhe live laseKushe. 
GEN.2.14	Libito lemfula wesitsatfu yiThigrisi, logeletela ngasemphumalanga ye-Asiriya. Umfula wesine yiYufrathe.
GEN.2.15	Nkulunkulu Simakadze wamtsatsa umuntfu wambeka ensimini yase-Edeni kutsi ayilime, ayilindze. 
GEN.2.16	Nkulunkulu Simakadze wamyala umuntfu watsi kuye: “Ungadla ngekutsandza kwakho tonkhe titselo letilapha ensimini; 
GEN.2.17	kodvwa ungasidli sitselo sesihlahla sekwati lokulungile nalokungakalungi, ngobe mhlazana usidla uyakufa nekufa.”
GEN.2.19	Ngako-ke Nkulunkulu Simakadze wabumba ngemhlabatsi tonkhe tilwane tesiganga, netinyoni letindiza emoyeni, watiletsa kumuntfu kutsi abone kutsi utetsa njani. Lawo mabito latetsa wona tabitwa ngawo. 
GEN.2.20	Ngako-ke umuntfu watetsa emabito tonkhe tifuyo, netinyoni letindiza emoyeni, nato tonkhe tilwane tesiganga. Kepha Adamu
GEN.2.21	Ngako-ke Nkulunkulu Simakadze wamehlisela umuntfu butfongo lobukhulu; walala. Nkulunkulu wase ukhipha lolunye lwetimbambo takhe wagcwalisa sikhala ngenyama. 
GEN.2.22	Nkulunkulu Simakadze wambumba lomsikati ngelubhambo labelukhiphe kulomdvuna, wase umyisa endvodzeni.
GEN.2.23	Indvodza yatsi:
GEN.2.23	“Lona-ke sewulitsambo lematsambo ami,
GEN.2.23	nenyama yenyama yami.
GEN.2.23	Uyawubitwa ngekutsi: ‘yindvodzakati’,
GEN.2.23	ngobe utsetfwe endvodzeni.”
GEN.2.25	Babehamba ngcunu, bobabili, lendvodza nemkayo, bate emahloni.
GEN.3.2	Umfati waphendvula inyoka watsi: “Singatidla titselo tetihlahla letisensimini, 
GEN.3.3	ngaphandle kwesitselo sesihlahla lesisekhatsi nensimi; Nkulunkulu utsite: ‘Ningasidli sitselo sesihlahla lesisekhatsi nensimi, ningasitsintsi nekusitsintsa, kuze ningafi.’ ”
GEN.3.4	Inyoka yatsi kumfati: “Ningeke nife. 
GEN.3.5	Kepha Nkulunkulu uyati kutsi mhlazana nisidla, emehlo enu ayawuvuleka, bese nifanana naNkulunkulu nikwati lokuhle nalokubi.”
GEN.3.7	Emehlo abo bobabili ase ayavuleka, batibona kutsi bangcunu; base batfunga emacembe emkhiwa, batentela kwekuvunula.
GEN.3.8	Ekupholeni kwelilanga beva Nkulunkulu Simakadze ahambahamba ensimini; bo-Adamu nemkakhe bambhacela Nkulunkulu Simakadze emkhatsini wetihlahla tensimi. 
GEN.3.9	Kodvwa Nkulunkulu Simakadze wabita Adamu watsi: “Ukuphi?”
GEN.3.10	Waphendvula watsi: “Ngive livi lakho ensimini, ngase ngiyesaba, ngobe ngihamba ngcunu; ngabhaca.”
GEN.3.11	Nkulunkulu wambuta watsi: “Ngubani losakutjele kutsi uhamba ngcunu? Sewusidlile yini lesitselo salesihlahla lengakuyala ngaso kutsi ungabosidla?”
GEN.3.12	Adamu waphendvula watsi: “Ngulomfati lowanginika yena kutsi ahlale nami, nguye lona longinike lesitselo, ngase ngiyasidla.”
GEN.3.13	Nkulunkulu Simakadze watsi kumfati: “Yini-ke lena lose uyentile?”
GEN.3.13	Umfati watsi: “Ngikhohliswe yinyoka, ngase ngiyadla.”
GEN.3.14	Nkulunkulu Simakadze watsi enyokeni:
GEN.3.14	“Njengobe sewente loku,
GEN.3.14	sewucalekiswe
GEN.3.14	ngetulu kwato tonkhe tilwane:
GEN.3.14	tonkhe tifuyo,
GEN.3.14	nato tonkhe tilwane tesiganga.
GEN.3.14	Sewuyawuhamba ngesisu sakho,
GEN.3.14	ngesikhatsi sonkhe sekuphila kwakho
GEN.3.14	udle lutfuli lwemhlabatsi.
GEN.3.15	emkhatsini wakho nemfati,
GEN.3.15	nasemkhatsini wentalo yakho nentalo yemfati.
GEN.3.15	Yona iyawufihlita inhloko yakho,
GEN.3.15	wena uyawuluma sitsendze sayo.”
GEN.3.16	“Ngitakwandzisa buhlungu ekukhulelweni kwakho,
GEN.3.16	bube bukhulu kakhulu;
GEN.3.16	uyawutala bantfwana kabuhlungu.
GEN.3.16	Kufisa kwakho kuyawubasendvodzeni yakho,
GEN.3.16	yona iyakukubusa.”
GEN.3.17	“Njengobe ulalele livi lemfati wakho,
GEN.3.17	wasidla lesitselo salesihlahla
GEN.3.17	lengakuyala ngaso ngatsi: ‘Ungasidli,’
GEN.3.17	umhlaba sewucalekisiwe ngenca yakho.
GEN.3.17	Sewuyakudla kuwo kamatima
GEN.3.17	onkhe emalanga ekuphila kwakho.
GEN.3.18	Uyawukuvetela emanyeva nelukhula,
GEN.3.18	wena uyakudla lokumila esigangeni.
GEN.3.19	ukujulukele kudla kwakho,
GEN.3.19	udzimate ubuyele emhlabatsini,
GEN.3.19	ngobe vele watsatfwa kuwo;
GEN.3.19	njengobe ulutfuli,
GEN.3.19	uyawubuyela elutfulini.”
GEN.3.20	Adamu wametsa umkakhe watsi ngu-Eva,
GEN.3.21	Nkulunkulu Simakadze wentela bo-Adamu nemkakhe kwekwembatsa kwetikhumba, wabembatsisa.
GEN.3.22	Nkulunkulu Simakadze watsi: “Ase nibuke, Adamu sewunjengatsi, sewuyakwati lokuhle nalokubi. Angahle akhe kulesihlahla sekuphila adle, bese uphila kuze kube phakadze naphakadze.” 
GEN.3.23	Ngako-ke Nkulunkulu Simakadze wamcosha ensimini yase-Edeni, kutsi alime umhlabatsi labetsatfwe kuwo. 
GEN.3.24	Wamkhipha lo-Adamu; kwase kutsi ngasemphumalanga nensimi yase-Edeni wabeka emakherubhi kanye nenkemba lenelilangabi lephendvuphendvukako ilindze indlela leya esihlahleni sekuphila.
GEN.4.1	Adamu wamati Eva, umkakhe; Eva wakhulelwa watala Khayini, watsi: “Ngitfole indvodzana ngekusitwa nguSimakadze.” 
GEN.4.2	Emvakwaloko watala Abela, umnakabo. Yena-ke Abela waba ngumelusi wetimvu, Khayini waba ngumlimi wemhlabatsi. 
GEN.4.3	Ngekuhamba kwesikhatsi Khayini waletsa umnikelo wetitselo temhlabatsi kuSimakadze. 
GEN.4.4	Na-Abela waletsa ematubulo etimvu takhe letikhuluphele. Simakadze wanaka Abela nemnikelo wakhe; 
GEN.4.5	kepha Khayini nemnikelo wakhe akazange amnake. Ngako-ke Khayini watfukutsela kakhulu; buso bakhe banyukumala, bahlwa. 
GEN.4.6	Simakadze watsi kuKhayini: “Utfukutseleleni? Buso bakho bunyukumaleleni? 
GEN.4.7	Angitsi nawenta lokulungile, uyemukeleka? Nawungenti lokulungile, sono siyakucatsamela ngasemnyango. Sifuna wena, kodvwa wena kufanele usincobe.”
GEN.4.9	Simakadze wabuta kuKhayini watsi: “Uphi umnakenu Abela?”
GEN.4.9	Watsi: “Angimati. Ngingumlindzi wemnaketfu yini mine?”
GEN.4.11	Sewucalekisiwe emhlabatsini lekunguwona ukhamise umlomo wawo wemukela ingati yemnakenu esandleni sakho. 
GEN.4.12	Nawulima umhlabatsi, ngeke usakunika sivuno sawo lesihle; wena sewuyawuba ngumhambuma neluzulane emhlabeni.”
GEN.4.13	Khayini watsi kuSimakadze: “Sijeziso sami singetulu kwemandla ami. 
GEN.4.14	Asubuke, sewuyangicosha lamuhla la emhlabatsini, ngisuke nasebukhoneni bakho, ngibe ngumhambuma neluzulane emhlabeni; kantsi futsi wonkhe lohlangana nami uyawungibulala.”
GEN.4.15	Kodvwa Simakadze watsi: “Cha, akunjalo! Lowo lobulala Khayini kuyawuphindziselwa kuye kuze kube kasikhombisa.” Simakadze wabeka Khayini luphawu, khona kutewuba secwayiso sekutsi lowo lohlangana naye angambulali. 
GEN.4.16	Khayini wase uyesuka ebukhoneni baSimakadze wayawuhlala eveni laseNodi, ngasemphumalanga yase-Edeni.
GEN.4.17	Khayini wamati umkakhe, lowakhulelwa, watala Enoki. Khayini wase wakha lidolobha laletsa ngemsa wakhe, watsi yi-Enoki. 
GEN.4.18	Enoki watala Iradi; Iradi waba nguyise waMehujayeli; Mehujayeli waba nguyise waMethushayeli; Methushayeli waba nguyise waLameki. 
GEN.4.19	Lameki watsatsa bafati lababili; libito lalomunye kwakungu-Ada, lomunye-ke anguSila. 
GEN.4.20	Ada watala Jabale; yena waba nguyise walabo bebahlala emathendeni, bafuye tinkhomo. 
GEN.4.21	Libito lemnakabo kwakunguJubale; yena-ke waba nguyise wabo bonkhe lababedlala lugitali nemntjingozi. 
GEN.4.22	Sila watala Thubali Khayini; yena-ke waba nguyise wabo bonkhe labakha emathulusi ngelitfusi nensimbi. DzadzewaboThubali Khayini kwakunguNama.
GEN.4.23	Lameki wase utsi kubafati bakhe:
GEN.4.23	“Ada naSila, lalelani livi lami;
GEN.4.23	nine bafati baLameki,
GEN.4.23	lalelani lengitakusho:
GEN.4.23	Indvodza nayingilimata, ngitayibulala;
GEN.4.23	lijaha nalingilimata, ngitalibulala.
GEN.4.24	Nangabe Khayini ayawuphindziselelwa
GEN.4.24	emahlandla lasikhombisa,
GEN.4.24	Lameki uyawuphindziselelwa
GEN.4.24	kuze kube ngemahlandla langema-77.”
GEN.4.25	Adamu waphindze wamati umkakhe, watala indvodzana, wayetsa libito watsi nguSethi, ngobe abetsi: “Nkulunkulu sewungiphe lomunye umntfwana esikhundleni sa-Abela lowabulawa nguKhayini.” 
GEN.4.26	NaSethi watala indvodzana layetsa libito watsi ngu-Enoshi; ngaleso sikhatsi bantfu bacala kukhuleka kuSimakadze.
GEN.5.2	Wabadala lomdvuna nalomsikati, wababusisa, wabanika libito mhlazana abadala watsi bantfu. 
GEN.5.3	Kwatsi Adamu asaneminyaka leli-130, watala indvodzana leyamfuta, yafanana naye; wayetsa libito watsi nguSethi. 
GEN.5.4	Emalanga a-Adamu emvakwekutalwa kwaSethi aba ngiminyaka lengema-800, asatele emadvodzana nemadvodzakati. 
GEN.5.5	Adamu wafa asaneminyaka lengema-930.
GEN.5.6	Kwatsi Sethi nasaneminyaka leli-105, watala Enoshi. 
GEN.5.7	Emvakwekutalwa kwa-Enoshi Sethi waphila iminyaka lengema-807, asatele emadvodzana nemadvodzakati. 
GEN.5.8	Sethi wafa asaneminyaka lengema-912.
GEN.5.9	Kwatsi Enoshi nasaneminyaka lengema-90, watala Khenani. 
GEN.5.10	Emvakwekutalwa kwaKhenani Enoshi waphila iminyaka lengema-815, asatele emadvodzana nemadvodzakati. 
GEN.5.11	Enoshi wafa asaneminyaka lengema-905.
GEN.5.12	Kwatsi Khenani nasaneminyaka lengema-70, watala indvodzana lekwakunguMahalaleli. 
GEN.5.13	Emvakwekutalwa kwaMahalaleli, Khenani waphila iminyaka lengema-840, asatele emadvodzana nemadvodzakati. 
GEN.5.14	Khenani wafa asaneminyaka lengema-910.
GEN.5.15	Kwatsi Mahalaleli nasaneminyaka lengema-65, watala Jaredi. 
GEN.5.16	Emvakwekutalwa kwaJaredi, Mahalaleli waphila iminyaka lengema-830, asatele emadvodzana nemadvodzakati. 
GEN.5.17	Mahalaleli wafa asaneminyaka lengema-895.
GEN.5.18	Kwatsi Jaredi nasaneminyaka leli-162, watala Enoki. 
GEN.5.19	Emvakwekutalwa kwa-Enoki, Jaredi waphila iminyaka lengema-800, asatele emadvodzana nemadvodzakati. 
GEN.5.20	Jaredi wafa asaneminyaka lengema-962.
GEN.5.21	Kwatsi Enoki nasaneminyaka lengema-65, watala Methusela. 
GEN.5.22	Emvakwaloko Enoki wahamba anebudlelwane naNkulunkulu iminyaka lengema-300, watala emadvodzana nemadvodzakati. 
GEN.5.23	Enoki waphila iminyaka lengema-365. 
GEN.5.24	Enoki abehamba naNkulunkulu, wase uyanyamalala ngobe Nkulunkulu abesamtsatsile.
GEN.5.25	Kwatsi Methusela nasaneminyaka leli-187, watala Lameki. 
GEN.5.26	Emvakwekutalwa kwaLameki, Methusela waphila iminyaka lengema-782, asatele emadvodzana nemadvodzakati. 
GEN.5.27	Methusela wafa asaneminyaka lengema-969.
GEN.5.28	Lameki nasaneminyaka leli-182, watala indvodzana. 
GEN.5.29	Lendvodzana wayetsa libito, watsi nguNowa, atsi: “Lona-ke nguye lotasidvudvuta emsebentini wetfu nasekukhatsatekeni kwetfu kuwo lomhlabatsi lowacalekiswa nguSimakadze.” 
GEN.5.30	Emvakwekutalwa kwaNowa, Lameki waphila iminyaka lengema-595, asatele emadvodzana nemadvodzakati. 
GEN.5.31	Lameki wafa asaneminyaka lengema-777.
GEN.5.32	Nowa wakhula waba neminyaka lengema-500 budzala, watala emadvodzana lamatsatfu: BoShemi, naHhamu, naJafethi.
GEN.6.1	Kwatsi kube bantfu bacale kwandza nemhlaba wonkhe, batala tintfombi, 
GEN.6.2	emadvodzana aNkulunkulu
GEN.6.3	Simakadze wase utsi: “Moya wami angeke asabenta bantfu baphile kuze kube phakadze,
GEN.6.4	Kulawo malanga, nangasemva kwawo, kwakunetichwaga letatitalwa bantfu emhlabeni. Emadvodzana aNkulunkulu nasangene kuletintfombi tebantfu, tawatalela bantfwana. Labantfwabato bekungemachawe asendvulo labenemandla neludvumo.
GEN.6.6	Simakadze watisola ngekudala kwakhe umuntfu kutsi abe khona emhlabeni, wadzabuka enhlitiyweni yakhe. 
GEN.6.7	Ngako Simakadze watsi: “Ngitabacitsa labantfu lengibadalile emhlabeni; yebo, bantfu, netifuyo, netilwane letihamba ngesisu, netinyoni letindiza emoyeni, ngobe sengiyatisola ngekutsi ngakwenta.” 
GEN.6.8	Kodvwa Nowa watfola umusa kuSimakadze.
GEN.6.10	Nowa abenemadvodzana lamatsatfu: BekuboShemi, naHhamu, naJafethi.
GEN.6.11	Umhlaba wawonakele emehlweni aNkulunkulu; umhlaba wawugcwele budlova. 
GEN.6.12	Nkulunkulu wabuka umhlaba wabona kutsi wonakele, ngobe bonkhe bantfu babetiphetse ngemonakalo emhlabeni.
GEN.6.13	Nkulunkulu watsi kuNowa: “Sengincume kutsi ngibacedze bonkhe bantfu; ngobe umhlaba ugcwele budlova ngenca yabo. Ngitawubabhubhisa, ngibesuse bonkhe emhlabeni. 
GEN.6.14	Yakha umkhumbi ngemapulangwe egofari;
GEN.6.15	Utakuwakha kanje: Budze bemkhumbi butawuba ngemamitha langaba li-133, bubanti bube ngemamitha langaba ngema-22, kuphakama kube ngemamitha langaba li-13. 
GEN.6.16	Wente loluphahla
GEN.6.17	Ngitawuletsa zamcolo emhlabeni, utawufika abulale yonkhe inyama lenemoya wekuphila, lengaphansi kwelizulu. Konkhe lokusemhlabeni kutawubhubha. 
GEN.6.18	Kodvwa ngitakwenta sivumelwane sami nawe: Utawungena emkhunjini wena, nemadvodzana akho, nemkakho, nabomalukatana bakho. 
GEN.6.19	Kuto tonkhe tilwane utawungenisa lesidvuna nalesisikati kulolo nakulolo luhlobo, khona titawuphila kanye nawe. 
GEN.6.20	Kuto tinyoni tinhlobo ngetinhlobo tato, nakuto tifuyo tinhlobo ngetinhlobo tato, nasetilwaneni letihamba ngesisu emhlabatsini tinhlobo ngetinhlobo tato, kutawufika kuwe tibe timbili talolo nalolo luhlobo, kuze kutsi tihlale tiphilile. 
GEN.6.21	Utsatse tonkhe tinhlobo tekudla, utigcine; kutawuba kudla kwakho nekwato.”
GEN.6.22	Nowa wakwenta konkhe layalwa nguNkulunkulu kutsi akwente.
GEN.7.1	Simakadze watsi kuNowa: “Ngena emkhunjini wena nendlu yakho, ngobe sengibonile kutsi nguwe wedvwa lolungile kulesitukulwane. 
GEN.7.2	Kuto tonkhe tinhlobo tetilwane letihlambulukile tsatsa tibe sikhombisa letindvuna naletinsikati tibe sikhombisa, nakuto tinhlobo tetilwane letingakahlambuluki utsatse tibe timbili lesidvuna nalesisikati. 
GEN.7.3	Nakuto tonkhe tinhlobo tetinyoni tsatsa tibe sikhombisa letindvuna naletinsikati; khona lungetiwuphela lolo nalolo luhlobo emhlabeni. 
GEN.7.4	Emvakwemalanga lasikhombisa kusukela lamuhla ngitawutfumela imvula emhlabeni, emalanga langema-40 nebusuku bawo; konkhe lokuphilako lengikwentile emhlabeni ngitakubhubhisa.”
GEN.7.5	Nowa wakwenta konkhe labekutjelwe nguSimakadze.
GEN.7.6	Nowa abesaneminyaka lengema-600 budzala, mhlazana kufika zamcolo emhlabeni. 
GEN.7.7	Nowa wangena emkhunjini yena nemadvodzana akhe, nemkakhe, nebafati bemadvodzana akhe, babalekela emanti azamcolo. 
GEN.7.8	Kuto tonkhe tilwane letihlambulukile naletingakahlambuluki, nasetinyonini, nakuto tonkhe tilwane letihamba ngesisu, 
GEN.7.9	tangena ngatimbili, lesidvuna nalesisikati, tangena naNowa emkhunjini, njengobe Nkulunkulu abemtjelile. 
GEN.7.10	Emvakwemalanga lasikhombisa layitsela imvula yazamcolo emhlabeni.
GEN.7.12	Lana emhlabeni emalanga langema-40 nebusuku bawo. 
GEN.7.13	Ngalelo langa Nowa nemkakhe wangena emkhunjini, naboShemi, naHhamu, naJafethi, emadvodzana akhe, nebafati bawo. 
GEN.7.14	Bangena nato tonkhe tilwane: tonkhe tifuyo ngetinhlobo tato, nato tonkhe tilwane letihamba ngesisu ngetinhlobo tato, nato tonkhe tinyoni ngetinhlobo tato. 
GEN.7.15	Tangena kuNowa emkhunjini ngatimbili tako konkhe lokunemoya wekuphila. 
GEN.7.16	Letangena tangena kwaba ngulesidvuna nalesisikati senyama yonkhe, tangena, njengobe Nkulunkulu abetjele Nowa. Simakadze wavala umnyango.
GEN.7.17	Layitsela imvula emhlabeni emalanga langema-40 nebusuku bawo; emanti akhula adzimate awuphakamisa umkhumbi, wasukuma emhlabatsini. 
GEN.7.18	Emanti akhula andza kakhulu emhlabeni, nemkhumbi wantanta etikwemanti. 
GEN.7.19	Emanti achubeka akhukhumuka, adzimate ambonya tonkhe tintsaba temhlaba naletindze kakhulu. 
GEN.7.20	Emanti akhukhumuka, adzimate aba ngemamitha lasikhombisa ngetulu kwetintsaba. 
GEN.7.21	Konkhe lokuphilako lokwakusemhlabeni kwafa: tinyoni netifuyo, netilwane tesiganga, nako konkhe lokwakugcwalise umhlaba, nebantfu bonkhe. 
GEN.7.22	Konkhe lokwakusemhlabeni lokwakuphefumula umoya wekuphila emakhaleni, kwafa. 
GEN.7.23	Simakadze wakucitsa kanjalo-ke konkhe lokwakuphila emhlabeni; wacitsa bantfu, netifuyo netilwane letihamba ngesisu, netinyoni letindiza emoyeni. Kwasala Nowa kanye nalabo abenabo emkhunjini. 
GEN.7.24	Emanti ahlala emhlabeni emalanga lali-150.
GEN.8.1	Nkulunkulu wamkhumbula Nowa, netilwane tonkhe, kanye nato tonkhe tifuyo labenato emkhunjini. Nkulunkulu waletsa umoya waphuphutsa etikwemhlaba, emanti etja. 
GEN.8.2	Tiyalu temhlaba tavaleka, emafasitelo elizulu avaleka, imvula yahhamuka. 
GEN.8.3	Emanti aya ngekuya etja emhlabeni. Emvakwemalanga lali-150 emanti ancipha. 
GEN.8.4	Ngelilanga leli-17, enyangeni yesikhombisa umkhumbi watinta etikwetintsaba tase-Ararathi. 
GEN.8.5	Emanti achubeka nekwetja, kwadzimate kwatsi ngelilanga lekucala enyangeni yelishumi, tihloko tetintsaba tavela tabonakala.
GEN.8.6	Ekupheleni kwemalanga langema-40 Nowa walivula lelifasitelo labelakhile. 
GEN.8.7	Watfumela lihubhulu, kodvwa alizange libuye, lazulazula kwaze kwasha emanti emhlabeni. 
GEN.8.8	Wase utfumela lituba kutsi liyewuhlola kutsi emanti asanciphile yini emhlabatsini. 
GEN.8.9	Kepha lituba lehluleka kutfola indzawo, ngisho neyekubeka lunyawo lwalo, lancandzeka labuyela kuye emkhunjini, ngobe emanti abesemanyenti emhlabeni wonkhe. Ngako welula sandla sakhe walitsatsa, walingenisa emkhunjini kuye. 
GEN.8.10	Walindza emalanga lasikhombisa, waphindze watfumela lituba walikhipha emkhunjini. 
GEN.8.11	Lituba lancandzeka lefika kuye kusihlwa liphetse licembe lesihlahla semncumo lelalisandza kukhiwa. Ngako Nowa wati kutsi emanti asetjile emhlabeni. 
GEN.8.12	Waphindze walindza emalanga lasikhombisa, wase utfuma lituba futsi; alizange liphindze libuye.
GEN.8.13	Ngemnyaka wakhe wema-601, mhlazana lulunye enyangeni yekucala emanti abesashile emhlabeni. Nowa walususa luphahla lwemkhumbi, wahlola, wabona umhlabatsi sewomile. 
GEN.8.14	Mhlazana tingema-27 enyangeni yesibili umhlaba wase womile.
GEN.8.15	Nkulunkulu wakhuluma kuNowa, watsi: 
GEN.8.16	“Phuma emkhunjini wena, nemkakho, nemadvodzana akho, nebafati bemadvodzana akho. 
GEN.8.17	Phuma kanye nato tonkhe tilwane letiphilako letinawe tayo yonkhe inhlobo: tinyoni, netifuyo, nato tonkhe tilwane letihamba ngesisu, khona titekwandza emhlabeni titalane tigcwalise umhlaba.” 
GEN.8.18	Ngako-ke Nowa waphuma nemkakhe, nemadvodzana akhe, nebafati bemadvodzana akhe. 
GEN.8.19	Tonkhe tilwane, ngisho naletihamba ngesisu, nato tonkhe tinyoni, konkhe lokuhamba emhlabatsini kwaphuma ngetinhlobo tako emkhunjini.
GEN.8.20	Nowa wakhela Nkulunkulu lilati, watsatsa kuto tonkhe tifuyo letihlambulukile nakuto tonkhe tinyoni letihlambulukile, wanikela kuNkulunkulu umnikelo wekushiswa elatini. 
GEN.8.21	Nkulunkulu waliva leliphunga lelinuka lusi lolumnandzi, watsi enhlitiyweni yakhe: “Ngingeke ngiphindze ngiwucalekise umhlabatsi ngenca yemuntfu, ngobe imizindlo yenhlitiyo yemuntfu mibi kwasebusheni bakhe. Ngingeke ngiphindze ngikubhubhise konkhe lokuphilako, njengobe ngentile.
GEN.8.22	“Yingci nawusekhona umhlaba,
GEN.8.22	kuhlanyela nekuvuna,
GEN.8.22	kucandza nekushisa,
GEN.8.22	lihlobo nebusika,
GEN.8.22	imini nebusuku
GEN.8.22	kungeke kuncamuke.”
