GEN.1.1	Me'ttia'ye Chigaja sefacco, andeve'qque agattoen. 
GEN.2.14	Faesu na'ema tsu Tigrisve inisian. Tsa na'en ja'je'choja Asiria joccani chiga sombo'jefa tsu. Toya'caen faesu na'ema tsu Eufratesve inisian.
GEN.2.15	Tsonsi Na'su Chigaja a'ima Edéni'su jombachoccunga ccutsian cuintsu tsama semamba coiraye. 
GEN.2.16	Ccutsiamba a'ima su: “Poiyi'cco jombachoccu'su tetachoma qui añe osha. 
GEN.2.17	Tsa'ma tsa ñotssia, egama atesuya'cho quini'cco'su tetachomajan anjama. Nane maqui a'ta tsama an'da qui paya.”
GEN.2.18	Tsomba Na'su Chigaja asi'ttaemba in'jan: “Ñotssimbi tsu tsandie tisuyi can'jeñe. Tisema fuite'suve gi ñoñaña tisia'can'me cuintsu tisei'ccu fae'ngae canseye.” 
GEN.2.19	Tsa'caen in'jamba Na'su Chigaja tayo andema osha'cho ande'ye jacanqque'su, sefa'ye chhajeqque'su chhiririave'qque ñoña'choma tsandienga i. Ipa tsandiema manda cuintsu osha'chove inisiañe. Tsa'cansi osha'cho tsu tsandie tise'pama inisianqquia'caen tsangae jincho. 
GEN.2.20	Nane tsandie tsu poiyi'cco aiña'cho vaura'can'ma sefani'su chhiririama, tsampini canseqque'suma'qque inisian. Tsa'ma ñoa'me tsandiei'ccu fae'ngae cansepa fuite'suve me'i'on. 
GEN.2.21	Tsa'cansi Na'su Chiga tisema anaesi tsandieja ana. Ana'jensi Chigaja tsandie utuccu'su tsu'ttama somboemba ttonoi'ccu changoma picco. 
GEN.2.22	Utuccu'su tsu'ttama Na'su Chigaja pushesuve ñoña. Ñoñamba tsandienga afe. 
GEN.2.23	Afesi tsandieja pushesuma attepa su: “¡Va tsu ñoa'me ña tsu'ttai'ccu, ña ttonoi'ccu ñama'caen ñoña'cho! Tisemanda gi inisiaña pushesuve. Nane Chigaja tsandie'suma tise've isusi ‘pushesu’ tsu.”
GEN.2.24	Tsa'cansi tsu ja'ño tsandieja tise yaya, tise mamama catipa tise pushei'ccu can'jen'faya. Nane tsa dos tsu fae a'ia'caeñi da'faya.
GEN.2.25	Toya'caen tsa'caen ñoñasi tsandie, pushesu'qque chu'cco can'jen'fa. Tsa'ma tsa'caen can'jen'ma ansangembe'yi can'jen'fa.
GEN.3.1	Nane canjansi tsu poi Na'su Chiga agattoen'cho tsampini canseqque'suma ti'tsse injama'pa'can. Canjansija jipa pushesuma iñajampaña:
GEN.3.1	—¿Ñoa'me ti Chigaja jombachoccu'su quini'cco nama añe se'pi?
GEN.3.2	Iñajampañasi pushesuja su:
GEN.3.2	—Jombachoccu'su quini'cco namajan añe gi osha'fa. 
GEN.3.3	Tsa'ma tsa jombachoccumbe enttinge'su quini'cco nameñi tsu Chigaja añe se'pi. Ni pporaeñe'qque tsu se'pi. Nane tsa'caen tson'da gi pa'faya.
GEN.3.4	Tsa'ma canjansija pushesuma su:
GEN.3.4	—Ñoa'me paya'bi qui. 
GEN.3.5	Nane Chiga tsu atesu que'ija tsama an'da qui ñotsse injiengepa Chiga'caen osha'cho majan ñotssia, majan egave atesu'faya.
GEN.3.6	Pushesuja tsama pañamba quini'ccoma camba ñotssi tsu qquen in'jan. Toya'caen tsambe na ñotssia anqque'susi an'da ñotssiave toya'caen egave'qque atesuye qquen in'jamba nama pishopa an. Amba faesuma pishopa tise tsa'ndunga afe. Afesi tise'qque an. 
GEN.3.7	Amba, tso'fe fettayeqquia'caen, injama'choni tisupa chu'cco can'jen'choma in'jamba ansange'fa. Ansangepa higuera ccaquejema anchon setsaemba tise'pa ai'vonga tandamba picco'fa.
GEN.3.8	Tsonsi sime tayo tumbiansi Na'su Chiga Quitsaja andenga andepa jombachoccu'ye tsui ja'je. Tsandie, pushesu tisema pañamba jombachoccu sheque'chombe enttingenga a'tu'fa, Na'su Chiga tise'pama attesa'ne. 
GEN.3.9	Tsa'ma Na'su Chiga Quitsaja tsandiema ttu'sepa su:
GEN.3.9	—¿Mani qui can'jen?
GEN.3.10	Tsandieja su:
GEN.3.10	—Que jombachoccunga pasia'je'choma pañamba gi chu'cco can'jemba dyopa a'tu'fa.
GEN.3.11	Tsonsi Chigaja su:
GEN.3.11	—¿Majan tsu que'inga conda chu'cco can'jen'chove? ¿An'fa ti qui ña se'pi'cho quini'cco'su tetachoma?
GEN.3.12	A'ija pañamba su:
GEN.3.12	—Que ñanga afe'cho pushesu tsu tsa quini'cco'su nama ñanga afesi gi an.
GEN.3.13	Tsonsi Na'su Chiga Quitsaja pushesuma iñajampaña:
GEN.3.13	—¿Jongoesie qui tsa'caen tson?
GEN.3.13	Pushesuja su:
GEN.3.13	—Canjansi ñama afopoensi gi an.
GEN.3.14	Tsonsi Na'su Chigaja canjansima su:
GEN.3.14	—Queja tsa'caen egae tsincomba qui poiyi'cco aiña'cho vaura'can'ma, poiyi'cco tsampini canse'chondeccuma bove me'detsse vanaña. Nane tisu injamáccui'ccu qui mangú jacamba andema amba canseya. 
GEN.3.15	Toya'caen queja pushesui'ccu chi'gaccopa iyicco'fasi tsu que dushundeccu'qque tise dushundeccui'ccu chi'gaccopa iyicco'faya. Nane tsambe du'shu tsu que tsove'ye tsui sapiaña. Tsa'ma queja tise tsutuccu'choma sinttuya.
GEN.3.16	Tsomba Chigaja pushesuma su:
GEN.3.16	—Ja'ño gi ti'tsse quema vanaeña cuintsu vanamba du'shuma isuye. Nane ti'tsse aiye'jepa qui dushundeccuma isuya. Tsa'ma que tsa'nduma ñotsse in'jamba qui tisema pañaña. Tise tsu quema mandaya.
GEN.3.17	Tsomba Chigaja tsandie, Adánma su:
GEN.3.17	—Queja que pushema pañamba ña se'pi'cho quini'cco'su nama ansi gi quema'qque vanaeña. Nane andema egae tsonsi ñotsse sho'yombisi qui paya'ngae vanamba semamba que anqque'suma taipa aña. 
GEN.3.18	Ñoa'me tsu nopa'siyi atapaya. Tsa'cansi qui vanamba tta'ttapa aqquia sho'yo'cho tetachoma taipa an'faya. 
GEN.3.19	Poipa'sui'ccu quian'me semamba qui que cui'ccuma cu'i'faya. Nane papa queve ñoña'cho andeve ccase daya'ngae qui tsa'caen vana'jeña. Nane andema ñoña'chopa qui ccase andeve daya.
GEN.3.20	Tsonsi tsandie, Adán, tise pushema inisian Evave. Nane tiseja poi a'imbe chaña'si tsa'caen inisian. 
GEN.3.21	Tsomba Na'su Chiga Quitsa tise'pama ondiqquian. Nane ttonoma ondiccu'jeve ñoñamba tsandie, tise pushema'qque ondiqquian. 
GEN.3.22	Ondiqquiamba asi'ttaemba su:
GEN.3.22	—Ja'ño tsu a'ija ingi'caeñi da. Nane pa'cco ñotssia, pa'cco egave tsu atesu. ¿Jongoesu tsu tisema se'piya tsa Cansiaña'cho Quini'cco'su nama'qque añe? Tsama an'choecan'da tsu tsangae canseye'can.
GEN.3.23	Tsa'caen asi'ttaemba Na'su Chigaja a'ima Edéni'su jombachoqquie tteyamañamba manda tise've ñoñaqque'su andema semañe. 
GEN.3.24	Tsandiema tteyamañamba dos Chiga sefacconi'su sundarondeccuma ccutsian Edéni'su jombachoccu sombo'ttinga. Nane tseni Edénima chiga sombo'jefanga tise'pama ccutsiamba si'nge matichima'qque manda cuintsu ccafa ccafa ccafa jaye majan tsa Cansiaña'cho Quini'cconga já catsesa'ne.
GEN.4.1	Tsomba tse'i Adán tise pushe, Evai'ccu ccuisi Evaja surie dapa tsandie du'shuve isu. Tisema inisian Caínme. Evaja Caínma isupa su: “Na'su Chiga ñanga afesi gi tsandieve isu.” 
GEN.4.2	Omboe tsambe quinshin, Abelve isu. Nane coemba Abelja oveja coira'suve da. Caínjan andema nasipave sema'su tsu.
GEN.4.3	Can'jemba jai'ngae Caínjan andenga sho'yoqque'su nama taipa Na'su Chiganga afeye i. 
GEN.4.4	Toya'caen Abelja tseyi isu'cho oveja du'shuma fi'ttipa yayapatssi nama ipa afe. 
GEN.4.5	Tsa'caen afe'fasi Chigaja Abelma in'jamba tise afe'choma'qque in'jan. Tsa'ma Caínma ni tise afe'choma'qque tiseja in'jambi. Tsa'cansi Caín iyicca'yesi 
GEN.4.6	Na'su Chigaja tisema su:
GEN.4.6	—¿Jongoesie qui iyicca'ye? 
GEN.4.7	Nane que ñotsse tson'ninda gi queve ñotsse in'jaña. Tsa'ma ñotsse tsombi'ta —injama'tse, ñoa'me tsu egae tsincon'cho quema qqueñañe tson'jen. Nane quema patsuye tsu in'jan. Tsa'ma queja egae tsincon'choma patsuya'cho.
GEN.4.8	Tsomba tse'i fae a'ta Caínjan tise quinshin Abelma ttu'se nasipani pasia'ngaye. Tsomba nasipani can'jemba Caínjan iyicca'yepa jangipa tise quinshin Abelma fi'tti. 
GEN.4.9	Tsa'caen fi'ttipa jisi Na'su Chigaja Caínma iñajampaña:
GEN.4.9	—¿Mani tsu que quinshin, Abelja?
GEN.4.9	Caínjan su:
GEN.4.9	—¿Ma'caen gi atesuya? ¿Ñanda ti gi ña quinshinma coira'su?
GEN.4.10	Tsonsi Na'su Chigaja su:
GEN.4.10	—¿Jongoesie qui tsa'caen tson? Que quinshimbe anjampa tsu andenga tssamba ñama fundopa ttu'se ccane'qque quema fi'ttiye. 
GEN.4.11	Tsa'cansi qui ja'ñojan ti'tsse vana'ma va ande'ye teyamoeñemba ñotsse isuya'bi. Nane andeja, aya'fama sharuqquia'caen que quinshin anjampama que tive'ye cu'ipa tsu quenga afeye se'piya. 
GEN.4.12	Ja'ño andema dyan'dyapa jon'ni'qque tsu sho'yaeñe se'piya que jongoesuma taisa'ne. Ñoa'me qui biani injanga jacamba poiyi'ccoma dyopa ccuyin ja'suve daya.
GEN.4.13	Tsa'caen susi Caínjan Na'sunga su:
GEN.4.13	—Ñoa'me gi oshambi tsa'caen canseye. Panshaen qui ñama vanae. 
GEN.4.14	Ja'ño qui ñama tteyamoeña va ande'ye. Biani poiyi'ccoma dyopa ccuyin japa injanga jacan'suve dasi majan ñama atte'ta tsu fi'ttiya. Ni quema gi ccase atteya'bi.
GEN.4.15	Tsonsi Na'su Chigaja tisema su:
GEN.4.15	—Tsa'caña'bi tsu. Nane majan Caínma fi'tti'ninda gi tisema ñoa'me ti'tsse vanaeña. Siete se ti'tsse tsu vanaña.
GEN.4.15	Tsa'caen supa Na'suja canjaeña'choma Caínga afe cuintsu poiyi'cco majan tisema cachui'a'qque fi'ttimbecañe. 
GEN.4.16	Tsonsi Caínjan tseni Na'su Chigai'ccu condase'jene sombopa Edénima chiga sombo'jefanga Nod andeni ja.
GEN.4.17	Tsomba tse'i Caín tise pushei'ccu ccui'jesi surie dapa Enocve isu. Omboe Caínjan canqqueve canqquian. Tsa canqqueve canqquiamba inisian tise du'shu Enoc iniseningae. 
GEN.4.18	Enocja Irad quitsa tsu. Iradja Mehujael Quitsa. Mehujaelja Metusal quitsa. Metusalja Lamec quitsa. 
GEN.4.19	Lamecja dos pusheve tsu pushe. Fae'ccombe iniseja Adave. Faesuja Zila. 
GEN.4.20	Adaja Jabalve isu. Isusi tiseja poiyi'cco carpani canjensundeccumbe yayave tsu da. Poiyi'cco tsu vaura'can'ma'qque coirasundeccu. 
GEN.4.21	Jabal quinshinjan Jubal tsu. Tsambe dushundeccu tsu poiyi'cco majan gitara'cain'ccu, fendo'ccoi'ccu'qque jeñasundeccu. 
GEN.4.22	Toya'caen Lamec faesu pushe Zilaja Tubal-caínme isu. Tsaja coemba yoshava, cu'a yoshavama'qque semamba osha'chove ñoña'su tsu. Tubal-caín que'tteja Naama tsu.
GEN.4.23	Fae a'ta Lamecja tise dos pushendeccuma ttu'sepa su:
GEN.4.23	“Ada, toya'caen Zila, que'ima gi pushe.
GEN.4.23	Ña su'choma ñotsse paña'faja.
GEN.4.23	Tsandie ñama iñaccaensi gi tisema fi'tti.
GEN.4.23	Nane tsa chu'a tsandie ñama tssaisi gi tisema fi'tti.
GEN.4.24	Tsa'cansi majan Caínma fi'tti'suja
GEN.4.24	siete se ti'tsse vanaña'cho qquen su'chomanda
GEN.4.24	ñoa'me majan ñama fi'tti'ta setenta y siete se
GEN.4.24	tsu ti'tsse vanaña'cho.”
GEN.4.25	Ccase Adán tise pushe Evai'ccu ccuisi faesu tsandie du'shuve isu. Tisema inisian Setve. Nane Evaja su: “Caín Abelma fi'ttisi pasi tsu Chiga Quitsaja ñanga faesu du'shuma afe.”
GEN.4.26	Toya'caen Set'qque coemba pushepa du'shuve an'biamba tisema inisian Enósve. Tise can'jeinte tsu aindeccuja Na'suma iñajañe ashaen'fa.
GEN.5.1	Va tsu Adán omba'su dutssiyendeccumbe inisema tevaen'cho. Chigaja a'ima agattoemba tsu tisia'caen agattoen. 
GEN.5.2	Toya'caen tsu tsandie, pushesuve agattoen. Agattoemba tise'pama ñotsse tsoña'chove afapa a'ive inisian.
GEN.5.3	Adánjan ciento treinta canqque'fave an'bian'ni tise dutssi'ye Setve isu. Ñoa'me tsu tiseja tise yaya Adán'cañi. 
GEN.5.4	Omboe Adánjan faesu ochociento canqque'fave can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.5	Nane noveciento treinta canqque'fave can'jemba tsu pa.
GEN.5.6	Setja ciento cinco canqque'fave an'bian'ni tise dutssi'ye Enósve isu. 
GEN.5.7	Omboe Setja faesu ochociento siete canqque'fave can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.8	Nane noveciento doce canqque'fave can'jemba tsu pa.
GEN.5.9	Enósja noventa canqque'fave an'bian'ni tise dutssi'ye Cainánme isu. 
GEN.5.10	Omboe Enósja faesu ochociento quince canqque'fave can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.11	Nane noveciento cinco canqque'fave can'jemba tsu pa.
GEN.5.12	Cainánjan setenta canqque'fave an'bian'ni tise dutssi'ye Mahalaleelve isu. 
GEN.5.13	Omboe Cainán faesu ochociento cuarenta canqque'fave can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.14	Nane noveciento diez canqque'fave can'jemba tsu pa.
GEN.5.15	Mahalaleelja sesenta y cinco canqque'fave an'bian'ni tise dutssi'ye Jaredve isu. 
GEN.5.16	Omboe Mahalaleelja faesu ochociento treinta canqque'fave can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.17	Nane ochociento noventa y cinco canqque'fave can'jemba tsu pa.
GEN.5.18	Jaredja ciento sesenta y dos canqque'fave an'bian'ni tise dutssi'ye Enocve isu. 
GEN.5.19	Omboe Jaredja faesu ochociento canqque'fave can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.20	Nane noveciento sesenta y dos canqque'fave can'jemba tsu pa.
GEN.5.21	Enocja sesenta y cinco canqque'fave an'bian'ni tise dutssi'ye Matusalénme isu. 
GEN.5.22	Enocja ñoa'me Chiga in'janqquia'caen canse. Matusalénme isusi Enocja faesu tresciento canqque'fave tsa'caen can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.23	Nane Enocja tresciento sesenta y cinco canqque'fave can'jen. 
GEN.5.24	Tsa'ma Chiga in'janqquia'caen cansesi Chigaja tisema anga. Nane pambe'yi tsu metsse da.
GEN.5.25	Matusalénjan ciento ochenta y siete canqque'fave an'bian'ni tise dutssi'ye Lamecve isu. 
GEN.5.26	Omboe Matusalénjan faesu seteciento ochenta y dos canqque'fave can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.27	Nane noveciento sesenta y nueve canqque'fave can'jemba tsu pa.
GEN.5.28	Lamecja ciento ochenta y dos canqque'fave an'bian'ni tise dutssi'yeve isu. 
GEN.5.29	Isusi tisema inisian Noéme. Nane Lamecja su: “Na'su Chiga andema egae tsonsi ñotsse sho'yombisi gi paya'ngae vanamba sema'jen'fa. Tsa'ma va du'shuja ingima ño'faen'su tsu ingi tive quimbisa'ne,” qquen supa du'shuma inisian Noéme. 
GEN.5.30	Noéme isusi Lamecja faesu quiniento noventa y cinco canqque'fave can'jemba ti'tsse tsu tsandie, pushesu du'shuve an'bian. 
GEN.5.31	Nane seteciento setenta y siete canqque'fave can'jemba tsu pa.
GEN.5.32	Noéjan quiniento canqque'fave an'biamba du'siañe ashaemba tise dutssiyendeccu Sem, Cam, toya'caen Jafetve isu.
GEN.6.1	Aindeccuja poi andenga atapapa pushesu du'shuve'qque an'bian'fa. 
GEN.6.2	Tsonsi Chigave in'jan'cho tsandiendeccuja in'jambindeqquiambe onquengendeccu me'detssisi in'jamba tise'pama pushe'fa majame in'jan'da. 
GEN.6.3	Tsa'caen tson'fasi Na'su Chigaja su: “In'jambi gi aindeccu egae tsincomba tsangae canse'faye. Nane ciento veinte canqque'fave can'jemba tsu pa'je'faya'cho.”
GEN.6.4	Tsa'caen Chigave in'jan'cho tsandiendeccu faesu aindeccumbe onquengendeccuma pushepa du'shuve isu'fasi tsu rande quin'an aindeccuja andenga attian'fa. Nane bo'tsse tsa'caen pushe'je'fasi tise'pa dushundeccuja tayopi'su ti'tsse'tssia aindeccu tsu.
GEN.6.5	Poi ande'su aindeccu egae tsincomba canse'fasi Na'su Chigaja attepa in'jan. Nane aindeccu poi a'ta injama'choni egaveyi asi'ttaemba in'jansi 
GEN.6.6	attepa in'jamba ñombi'ye aindeccuve tayo agattoemba. Nane Tise agattoen'chone asi'ttaemba injama'choni ñombi'yepa 
GEN.6.7	su: “Pa'cco andema gi ccuchaya poiyi'cco ña agattoen'cho aindeccuma sefaeñe. Nane a'i, osha'cho cansepa andenga jacanqque'su, andenga manguqque'su, sefani chhajeqque'suma'qque gi ccucha fi'ttiya. Ñombi'ye gi tise'pave tayo ñoñamba.”
GEN.6.8	Tsa'ma Na'su Chigaja Noéma ñotsse in'jan.
GEN.6.9	Va tsu Noéne condase'cho:
GEN.6.9	Noéjan ño'an a'isi poiyi'cco tise cansuite'su aindeccu'suma tise'veyi tsu Chigaja in'jan. Nane tiseja Chigama ñotsse pañamba canse. 
GEN.6.10	Noéjan tres dutssi'yeve an'bian: Sem, Cam, toya'caen Jafet.
GEN.6.11	Chigane'da poi ande tsu dañongeqquia'caen egae da. Nane a'ija iyiccopa fi'ttipa egae tsincomba canse'fa. 
GEN.6.12	Poi aindeccu tsa'caen egae tsincomba osha'choma daño'jensi attepa Chigaja 
GEN.6.13	Noéma su: “Asi'ttaemba gi in'jan poi aindeccuma fi'tti sefaeñe. Tise'paja egae tsincomba poi andeni jacamba fi'ttipa daño'fa. Ñoa'me gi tise'pama fi'tti sefaemba pa'cco andema'qque sefaeña. 
GEN.6.14	Ñotssia congo'masia quini'ccoma shavoñajan rande tsa'o shavove. Tsain'bitssi cuartove ñoñajan. Toya'caen naccuma, sepaccoma'qque ccoqqui'ccu ñotsse ccoqquianjan. 
GEN.6.15	Qquen tsu ñoñaña'cho randeve: Bia'suve ciento treinta y cinco metro. Attaja'suve veinte tres metro. Sefa'suve catorce metro. 
GEN.6.16	Nane tres ppappaccove ñoñajan. Tsaocajepa'fa jin'fanga ventaname'qque ñoñajan enttinge metro attaja'suve. Toya'caen faefangayi fae rande sombo'ttive ñoñajan. 
