MAT.1.1	Ujawawu wata situuba Yéesu 
MAT.4.5	Muñeˈe Sayitaane li ájowetum Yéesu boot Yeelusalem, ésukayi yanabaayi, min ajow akaanool haatiya tiya 
MAT.4.6	Nan kúliiŋ dómuu, Sayitaane li aan Yéesu:
MAT.4.6	— Nokoomuu loon awu ommuu añiilawu ata Ateemit, li ufum boot teetaam, mata hulimahu hata Ateemit hoone:
MAT.4.6	«Ateemit fan alob mooli 
MAT.4.7	Yéesu li aanool:
MAT.4.7	— Hulimahu hata Ateemit honsoon foof: «Jakum ubuntoo 
MAT.4.8	Sayitaane li alaañen ájowetum Yéesu boot haatiya huyuuy hagimbe ŋáa’, min áhiisool úyiiyawu feh wata etaamayi, boot li máyiineniyamu feh mata wo. 
MAT.4.9	Ban li aanool:
MAT.4.9	— Ukúntuŋumuu hákilom min umanenom, fan iseni wahawu unwu feh.
MAT.4.10	Yéesu li aanool:
MAT.4.10	— Uyinno, 
MAT.4.11	Muñeˈe Sayitaane li akat Yéesu. Kumalaka li kubil boot tan Yéesu alakomuu min kulambenool.
MAT.4.12	Nan Yéesu ajamumuu kaanaku Elod lajoojok Saŋ akul̥, li ajow boot li etaamayi yata Gálile. 
MAT.4.13	Li áfulum li ésukayi yata 
MAT.4.14	Yéesu lakankaan mo bájum kulimaku kan 
MAT.4.15	«Etaam yata Sábuloŋ li yata Natali,
MAT.4.15	laañ loon bata húwajahu,
MAT.4.15	kageb kaaka katunkaku kaaneyimuu 
MAT.4.15	Gálile, etaam dán bukan kalet Kusuwif kukine.
MAT.4.16	Esúkayi yammuu li élimayi,
MAT.4.16	fan ejuk mawuŋe máamak.
MAT.4.16	Ban bukanabuku kammuu li etaam yata élim yata eket,
MAT.4.16	mawuŋe fan muhiiteniil
MAT.4.17	Yan no unnu, Yéesu li átoŋ awaale aan:
MAT.4.17	— Jikat uhoofoolawu wooluul, min jiŋa’ buloŋ buwunkul; mata Jáyiiyaju jata Ateemit jíkoojulo!
MAT.4.18	Yéesu li alako éjowum bata katantaku kata húwajahu hata Gálile, li ajuk kutuyaay kúl̥uba: 
MAT.4.19	Yéesu li aaniil:
MAT.4.19	— Jínabul lí ínje, min ikaanuul jilako kúŋalula bukan boot lí ínje.
MAT.4.20	Li kuyaan kukat to simbaalasu sooliil, min kunab li akila.
MAT.4.21	Nan Yéesu ayinno bomuu, li ajuk kutuyaay kukee kúl̥uba: 
MAT.4.22	Li kuyaan kukat to busaanaabu li atuubayiil, min kunab li akila.
MAT.4.23	Yéesu li ajow tanootan li etaamayi feh yata Gálile, min anaak aliiken bukanabuku Hulimahu hata Ateemit li 
MAT.4.24	Mó lí múji Yéesu li ajamo li etaamayi feh yata Siili. Muñeˈe li kunaak kúŋalulool bukan kata úsomut wanoowan, li jilum janoojan; bukan kan Sayitaane ájufoye, bukan katujowe, li kubob. Yéesu li afakeniil. 
MAT.4.25	Kúmim kata bukan káfummulo li etaamayi yata Gálile, li halaabahu hata Sísukasu kuŋen, li ésukayi yata 
MAT.5.1	Nan Yéesu ajukumuu búsukabu, li aŋito ajow abah li huyuuyahu. 
MAT.5.2	Yéesu li aŋa’ hulimahu min awaaleyiil aan:
MAT.5.3	— Awólo, kahaasumuu koon káyinenaku kooliil kutitititi hákil Ateemit,
MAT.5.3	mata 
MAT.5.4	Awólo, káamimuu li jíl̥ok,
MAT.5.4	mata Ateemit fan abil átintimbeniil.
MAT.5.5	Awólo, kata uyinum wájoobiye,
MAT.5.5	mata Ateemit fan abil aseniil etaamayi kutowo.
MAT.5.6	Awólo, kafañumuu ban li kuŋes kuu, min kuloŋ buloŋ bacole hákil Ateemit,
MAT.5.6	mata wahawu wan kuŋesumuu fan kubaj wo.
MAT.5.7	Awólo, káyiyenemuu bukan, mata Ateemit fan áyiyeniil.
MAT.5.8	Awólo, kaŋalumuu kayinooliil feh kukaan li Ateemit,
MAT.5.8	mata fan kubil kujuk Ateemit.
MAT.5.9	Awólo, kakaanemuu min kásuumaay kubaj li bukanabuku,
MAT.5.9	mata fan kuhooñi bañiil bata Ateemit.
MAT.5.10	Awólo, kan kúlaatenemuu mata kulolloŋ buloŋ bacole hákil Ateemit,
MAT.5.10	mata Jáyiiyaju jata Ateemit jooliil.
MAT.5.11	Awólowuul, bukanabuku bageleluul, li kúlaatenuul, ban li kulob kulim kanookan kajakut kalet mal̥egen kuya li bukuluul, mata ínje íji. 
MAT.5.12	Esúumahukow yáamak elako li bukuluul, ban li jíbaaloo, mata bacaamabu booluul fan buluuk ŋáa’ li emitayi. Mata li mal̥egenamu, muñaˈa kunaake kúlaamenumuu 
MAT.5.13	— Bukuluul jinokoonokoo loon musis li tut bukanabuku kata adunaayi. Bale kacabaku kata musisamu kúfulumuu, buu luyilo ukaan mo min mulaañen mucab?
MAT.5.14	«Bukuluul jinokoonokoo loon ehiitum li tut bukanabuku kata adunaayi. Esúk élunlumaay yateefi li huyuuy, an ayilaat ayog yo. 
MAT.5.15	Loon foof, an ayilaatumuu ayaben ehiitum aban li aŋa’ yo akaan li éking. Bale fan aŋa’ ehiitumayi akaan li yiil, min ehiiten bukanabuku feh kammuu li eluufayi. 
MAT.5.16	Muñaˈa foof jóotimuu jiwuŋen loon ehiitum hákil bukanabuku feh. Bájum li kujuk makaanelamu mooluul majakaamu, min kusal Atuubawuul ammuu haatiya.
MAT.5.17	— Jakum jiyin li joon libiibil boot kábuj 
MAT.5.18	Mata li mal̥egenamu, boot min ilobuul, emitayi li etaamayi sifiyo to min sifiyo to, maayeet jano li jikiicaju jahaŋumuu matiti let jíbuji. Maayeet hano li husotahu hahaŋumuu matiti hata eluwaayi let húbuji, boot yok nan wahawu feh wommuu uban. 
MAT.5.19	Wahawu unwu újimuu, an átuulutumuu maayeet eluwaayi yahaŋumuu matiti li siluwaasu unsu, ban li aliiken kaabuku kátuulaati eluwaayi, anawu ummu ammuu ahaŋ matiti li Jáyiiyaju jata Ateemit. Bale an átuulumuu eluwaayi ban li aliiken kaabuku kátuul yó, anawu ummu fan alako an áamak li Jáyiiyaju jata Ateemit. 
MAT.5.20	Fan ilobuul eenuul, jítuulutumuu Hulimahu hata Ateemit jihaŋ bukanabuku kaliikenemuu ésukayi eluwaayi yata Móyiis li 
MAT.5.21	— Jijanjam kaanaku kulollob kata naanaŋ kooniil: «Jakum umuk an. An amukumuu an, fan atiibi
MAT.5.22	Bale ínje fan eenuul, an awuñetumuu atuyool, fan atiibi. An aanumuu atuyool «esoŋaye,» fan ájowetumi bata 
MAT.5.23	Li bil nokoo loon lúŋaluloŋa’ bujuuñaki boot ukaan li 
MAT.5.24	ukat to bujuuñakabu booli hákil husilaahu, min ujow jijand jíjamoolul li atuyi. Banumuu, li ílaañul ubil usen bujuuñakabu Ateemit.
MAT.5.25	Li bil nokoo loon an jibajoole, ban li ájowetumi li bútin, usommen jijamoo bukuluul li ejowayi boot bata tilibinaalayi. Ukaan mo jakum bil abeti li kuŋenaku kata atiibaawu, jakum bil atiibaawu aseni sandalum kukul̥. 
MAT.5.26	Li mal̥egenamu fan ilobi, let úfulumul ló awu balaañenut sídalamasu feh san ookoolumuu, boot yok li édalamayi ébanumayi.
MAT.5.27	— Jijanjam kaanaku Hulimahu hata Ateemit hoone: «Jakum uhinten anaale alet ooli
MAT.5.28	Bale ínje boot min eenuul, ánayine ajukelumuu anaale ban li ásiibowool, layaane ahinten anaalaawu ummu aban li buyinumool. 
MAT.5.29	Nokoomuu loon jíkilaju jooli jílilaju joote jíjiyi li ulo li kahoofoo, úkool̥ul jó ubeten lóyiyi. Mata wah wano li eniili ukajenumuu, kóyume eniilayi yooli feh mabeteneli li sambun. 
MAT.5.30	Li bil nokoo loon kaŋeni kúli koote kújiyi li ulo li kahoofoo, ufalen ko ubeten lóyiyi. Mata wah wano li eniili ukajenumuu, kóyume eniilayi yooli feh mabeteneli li sambunasu sáhokoweliitumuu.
MAT.5.31	— Hulimahu hata Ateemit honsoon foof: «Anáyine aanumuu aseekool ábalo, laate akiic eleetal yata kakatoo asenool
MAT.5.32	Bale ínje fan eenuul: ánayine aanumuu aseekool ábalo, akila bahintowut li ánayine akee, fan áji anaalaawu li alo li kahoofoo akila balaañene ayabo. Li bil nokoo loon an ayabe anaale ábalowe bata áyinool, lahintenhinten anaale alet oola.
MAT.5.33	— Jijanjam foof kaanaku Hulimahu hata Ateemit honsoon kata naanaŋ: «Jakum ukat bakaanut wahawu wan unuumuu kakaan
MAT.5.34	Bale ínje boot min eenuul, jakum jinuu maayeet tuf. Jakum jinuulum emitayi, mata yo yommuu efenjeŋayi yata Jáyiiyaju jata Ateemit. 
MAT.5.35	Jakum foof jinuulum etaamayi, mata li yo Ateemit alembenemuu kootool. Jakum jinuulum 
MAT.5.36	Jakum foof unuulum húkoyi, mata uyilaat ukaan kal kano li húkoyi kuhiit, mantee foof kul̥ayen. 
MAT.5.37	Jilob hulim hano bale: «Eéhe’», ló balakowe éehe’, «A’aa’», ló balakowe a’aa’. Jifamen tomuu hulim hakee, li Sayitaane húfulumulo.
MAT.5.38	— Jijanjam min lobumuu kaanaku: «An ahumumuu jíkil jata an, li jihumool foof jíkil. An ahaatumuu káŋiiŋ kata an, li jihaatool foof káŋiiŋ
MAT.5.39	Bale ínje boot min eenuul, jakum an akaani majakut, li uluken. Bale an atekimuu eheejen li kalaab káli, ukatool foof min ateki li kamay. 
MAT.5.40	Li bil nokoo loon an aŋesi elob, ayiliwum aŋa’ kájufaaku kooli, ukatool foof min aŋa’ hulaalahu hooli. 
MAT.5.41	Li nokoo loon an afañe min aŋa’ sembewool min akaani úteb búteb min jijow simeetal soono énjunne, awu li uteb bo min jijow simeetal soono sínjunne síl̥uba li akila ló. 
MAT.5.42	An al̥ayimuu wah, usenool. An li afañ min ucaagenool wah, jakum uhoy.
MAT.5.43	— Jijanjam min lobumuu kaanaku: «Fan ufañ afaali an, min uhoy alatoolayi
MAT.5.44	Bale ínje li eenuul, jifañ kulatoolawuul, ban li jil̥aw boot li kálaatenewuulumuu. 
MAT.5.45	Bájum li jilako bañiil bata Atuubawuul ata haatiya. Mata lakaanekaan banakabu bulumul li kál̥afutumuu, loon foof lakaane bomuu bulumul li kajakumuu. Li akaan emitayi élaalul li mata kajakumuu, li mata foof bukanabuku kal̥afutumuu. 
MAT.5.46	Mata jifañumuu bukanabuku kafañuulumuu bale, bacaam buu joote jíbajum tó li Ateemit? Kama inti bukanabuku kajakutumuu foof mo kukaanemuu? 
MAT.5.47	Ban jinaakumuu jisaaf kutuyuul bale, waa jikaan to waluuke. Kama inti maayeet bukanabuku kákaanumutumuu li Ateemit balewool, kukaanekaan mo? 
MAT.5.48	Jilako bukan kabajut kahoofoo loon Atuubawuul ata haatiya abajutumuu kahoofoo.
MAT.6.1	— Jíkaanum, jakum jikaan wahawu wan Ateemit afañumuu hákil ésukayi feh, mantee bukanabuku li kujukuul. Mata jikaan momuu, Atuubawuul ata haatiya let acaamuul.
MAT.6.2	«Mó mújimuu, usenumuu asukateen wah, jakum ul̥ok kasiin. Mata muñaˈa káhoolomuu kukaanemuu li 
MAT.6.3	Bale usenumuu asukateen wah, jakum ukat maayeet abukeyi ata húkow min ahaas. 
MAT.6.4	Bájum li lako wah wakaani li huyoloo. Ateemit, Atuubayi ajukemuu wah wakaani li huyoloo, fan alaañeni wo.
MAT.6.5	— Jilakomuu kal̥aw, jakum jiliikoo li káhoolomuu, kafañemuu kuyito min kul̥aw li 
MAT.6.6	Bale awu, ufañumuu kal̥aw, li ujow ubaboo li káfitaku kooli, min ul̥aw Atuubayi aano tomuu tan yolomuu. Atuubayi Ateemit, ajukemuu wah wakaani li huyoloo, fan alaañeni wo.
MAT.6.7	«Jilakomuu kal̥aw, jakum jilob kulim kameeŋe kabajut jáliŋ loon kákaanumutumuu li Ateemit balewool kukaanemuu. Kuyinooyinoo li koon kulobumuu kulim kameeŋe, Ateemit fan ajanteniil. 
MAT.6.8	Mó mújimuu jakum jiliikoo li buko, mata Atuubawuul Ateemit lahaase wahawu wan jifañumuu jítowum jil̥aw wo.
MAT.6.9	— Muñeˈe jóotimuu jinaak jil̥aw eeno:
MAT.6.9	«Atúubawoli ammuu haatiya,
MAT.6.9	kajawi kúkaanumi.
MAT.6.10	Jáyiiyaju jiya jibil.
MAT.6.10	Húfañumahu huya ubaj li etaamayi loon haatiya.
MAT.6.11	Usénoli síyaat wahawu wan jóotimuu jitiñ síyaat.
MAT.6.12	Ban li ubonket bafetabu bóololi loon jibonketemuu foof kafetemuu li óloli.
MAT.6.13	Ban jakum úkatoli min jilo li jabunt,
MAT.6.13	bale úfakenoli li 
MAT.6.13	Mata awu ukile jáyiiyaju, li sembaasu, li máyiineniyamu boot nanoonan, 
MAT.6.14	«Mata jibonketumuu kafetumuu li bukuluul, Atuubawuul ammuu haatiya fan abonket foof bafetabu booluul. 
MAT.6.15	Bale jibonketutumuu kafetumuu li bukuluul, Atuubawuul let foof abonketuul bafetabu booluul.
MAT.6.16	— Jilakomuu kamommo boot kal̥aw, jakum jíyiyenoo loon káhoolomuu kukaanemuu, kañootenemuu wuuliil bájum ésukayi li ehaas yoon kamommo kóomi lí kó. Li mal̥egenamu fan ilobuul, bacaamabu booliil kuyab bo kuban. 
MAT.6.17	Bale ulakomuu kamommo boot kal̥aw, ufos buuli ban li úl̥aasul walawu wooli. 
MAT.6.18	Bájum ésukayi jakum ehaas yoon kamommo lóomi lí kó, min Atuubayi bale ahaas, aano tomuu tan yolomuu. Ateemit, Atuubayi ajukemuu wah wakaani li huyoloo, fan alaañeni wo.
MAT.6.19	— Jakum jiŋes min jibaj ebaj yáamak boot li bukuluul li etaamayi, dán bulolabu li búkolabu buyilimuu bukajen wah, li dán ékuuwayi eyilimuu élu kuteefaku min ékuwet wah. 
MAT.6.20	Bale jiŋes min jibaj ebaj boot li bukuluul híndo emitayi, dán bulolabu li búkolabu buyilaatumuu bukajen wah, li dán ékuuwayi eyilaatumuu élu kuteefaku min ékuwet wah. 
MAT.6.21	Mata tan ebajayi yooli yommuu, to foof buyinumabu booli bommuu bulako.
MAT.6.22	— Kúkilaku kommuu ehiitumayi yata eniilayi. Mó mújimuu kúkilaku kooli kujakumuu, eniilayi yooli feh inyu foof li mawuŋe. 
MAT.6.23	Bale kúkilaku kooli kujakutumuu, eniilayi yooli feh fan elako li élim yáamak. Mó mújimuu mawuŋeyamu máamimuu li awu mulaañumuu mulako élim, élim yay yóomi li ehaŋ élimayi inyu.
MAT.6.24	— An ayilaat alako aloka ata kunahaan kúl̥uba li mano, mata fan alat akee min afañ aahu, mantee foof fan átuul akee, min abes aahu. Jiyilaat jilako li mano emiikeel yata Ateemit li foof yata sídalam.
MAT.6.25	— Mó mújimuu li eenuul: Jakum jiyinoo ŋáa’ mata buloŋabu booluul. Jakum jiyinoo ŋáa’ waa jóomi li jitiñ, li waa jommuu li jihob
MAT.6.26	Fan jijuke basuuwabu báyititoolemuu haatiya. Búwañeliit, búcaceliit; bújoojeneliit mutiñaay bujow butah li bulaŋen. Atuubawuul ata haatiya inti ummu min ákuumene bomuu? Ban inti bukuluul jihaŋ bo? 
MAT.6.27	Ayi li bukuluul buyinawool boote búji li afamen buloŋool jatit?
MAT.6.28	«Waa li úji li jiyinoo ŋáa’ mata búkoko? Fan jilaso élunfenayi yata mahosamu mata siŋamasu buu el̥iilemuu eeno. Elókeliit, éheceliit. 
MAT.6.29	Bale fan eenuul, maayeet áyiiyawu 
MAT.6.30	Ateemit afan ásangen élunfenayi inyu yammuu síyaat li siŋamasu, yan jihaasumuu joon kajom fan ebeteni li sambun, háŋum bukuluul humumuul? Mó káyinenuul kukite kutiti! 
MAT.6.31	Mo emmuu jakum jiyina min jinaak joon: “Waa lootaale utiñaal? Waa lootaale uhobaal? Waa lootaale ukokowaal?” 
MAT.6.32	Mata kákaanumutumuu li Ateemit balewool, buko kuyinoolemuu mata wahawu unwu feh. Bale Atuubawuul ata haatiya lahaase aan, wahawu unwu feh jifañ wo. 
MAT.6.33	Jijand jiyinoo mata Jáyiiyaju jata Ateemit ban li jiloŋ loon afañumuu, wah waawu feh fan asenuul wo afamen to. 
MAT.6.34	Jakum jiyinoo ŋáa’ yata kajom, mata kajom fan jibaj uyinoo wakee. Hunakoohunak sílaam ho sifite.
MAT.7.1	— Jakum jitiib an, jakum bil Ateemit atiibuul. 
MAT.7.2	Mata Ateemit fan atiibuul loon jitiibemuu kaabuku. Kaliikumaku kan bukuluul humumuul jiŋalemuu min jiliik bukanabuku, ko foof Ateemit ammuu li abil aŋa’ min aliikuul. 
MAT.7.3	Waa wommuu úji li ujuk kakaawaku kammuu li jíkilaju jata atuyi, ban ujukut kawunkaku kammuu li jíkilaju jooli? 
MAT.7.4	Mantee foof buu luyilo oon atuyi: «Ukobom min ífulen kakaawaku kammuu li jíkilaju jooli,» ban awu kawunk li koono li jíkilaju jiya? 
MAT.7.5	Búhoolowabe! Ujand úfulen kawunkaku kammuu li jíkilaju jooli ubanumuu, fan ukit ujuk jak min uyili úfulen kakaawaku kammuu li jíkilaju jata atuyi.
MAT.7.6	«Jakum jisen wah wañawo bukanabuku kajakutumuu, kanokoomuu loon sijangi, jakum bil kúlaañul kukaanuul majakut. Jakum foof jiŋa’ usisawu wooluul jitahen bukanabuku kanokoomuu loon sifulugunasu, jakum bil kúkakul wo.
