MAT.1.1	Jesucristowa kwal an ñamin kwal uztuza wian kit ka munara: Davidpa kwalkas Abrahampa kwalkas.
MAT.1.17	Sunkanain catorce kwaltuzne Abramtas Davidtakima uzat kit ka munara. Davidtas Babilonia awa Judío awaruza piznat kit mɨlnarakima, mamaz catorce kwaltuzne uzara. Sun payuras mamaz catorce kwaltuzne uzara, Dios nɨrɨtmika kawinakima.
MAT.1.18	Sunkana Jesucristone kawirɨt. Paiña akkuhshne Josékasa kasara kin namtɨt, pareju uztachasmin. Pareju uztachasmin, usne pɨja wa wanmalta, Dios Sɨnam Izpul akwa. Dios Sɨnam Izpulne Maríara winta, sun pashpa mɨlnapa. 
MAT.1.19	Joséne, paiña ampune, uskasa kasara kin namtɨt. Wat awa azi. Mane María pɨja warɨt mɨrawane, usne sun awa iztakin Maríara kwaimtus kainanashitchi. Usne Maríara puintain kwaishimtu, awa piankamamanpa. 
MAT.1.20	Sun mintuasmin, pitmɨzta. José kainkizpamtuasmin, Anpatpa ángelne Joséra ka kaizta:
MAT.1.20	—Mɨza. Nune Davidpa kwal i. Nune Maríara mɨlna ishkumun, up ashampa namnapa. Maríane sun painkul mɨjanpai, Sɨnam Izpul akwa. 
MAT.1.21	Usne maza painkul mɨjanpai. Nune ussa Jesús munnaka. Awa ussa Jesús munaanazi, Judío awaruza watsat mɨlnamtu akwa, kwail kiamanpa, ka kizta.
MAT.1.22	Sunkana kirɨt, wan awa Anpat kaizta aizpa nɨjkulanapa. Dios kainammmikane ka kaizta:
MAT.1.23	“Nimpihsh ashampane pɨja wanazi.
MAT.1.23	Usne maza painkul mɨjanazi.
MAT.1.23	Uspane ussa Emanuel munanazi.”
MAT.1.23	(Sun mun kizkane, “au Diosne aukasa uztu” kizmuspas.)
MAT.1.24	Kainkizpamtu izkultawane, Joséne Anpatpa ángel ɨninta aizpa kit kit Maríara mɨlta, paiña ashampakana. 
MAT.1.25	Uspane pareju pitpailtachi, pashpa mɨlnakima. Pashpa mɨlkane, Joséne ussa Jesús munta. 
MAT.2.1	Jesús Belén pɨpulukin kawimɨzkane, Herodesne Judea sura mikwa azi. Sun payu wat piantuzne, pãn puzmumans attuzne, katsa Jerusalén pɨpulura piannara. Kɨma izat akwa, uspane anza wat piankamara. 
MAT.2.2	Uspane ka mɨmaara:
MAT.2.2	—¿Mɨntama sun pashpa mɨlta? Usne Judío awaruza ɨninnanazi. ¿Mɨntama tui? Aune paiña kɨma pãn puzmukin izanash. Sun akwa aune apain aanash, ussa wakpuj wainñana.
MAT.2.3	Katsa mikwa Herodeskas wan Jerusalén pɨpulukin uztuzkas sun mɨat kit ishkuara. 
MAT.2.4	Suasne Herodesne wan pariya ɨnintuzakas Moisés kaizta aizpa kamtamtuzakas akwanara, Cristo mɨnta kawishina kiz mɨmana. 
MAT.2.5	Uspane ka kaizara:
MAT.2.5	—Belén pɨpulukin, Judea sukin kawinazi. Sunkanain Dios kainammmikane ka parɨt:
MAT.2.6	“Belén pɨpulune Judea sukin ainki pɨpulu i.
MAT.2.6	Akkwan awa an ainki pɨpulukin uzamtuchikas,
MAT.2.6	anza katsa mikwane sun pɨpulukin kawinazi,
MAT.2.6	ap Judío awaruza kiwainanapa.”
MAT.2.7	Suasne Herodesne kɨma iztaruza puintain akwanat kit ka mɨmanara:
MAT.2.7	—¿Chi payuma kɨma izanash? Mɨmarawane, usne kɨma kai izpanka piankamta. 
MAT.2.8	Suasne usparuza Belén pɨpulura ɨninnat kit ka kaiznara:
MAT.2.8	—Ta ɨat kit an pashpa sairain. Ussa wanmaltawane, apain kail kit nawa kainanaka, nakas ussa wakpuj wainna, kiznara.
MAT.2.9	Mikwa kaizta aizpa mɨarawane, kɨma izmuruzne ɨamɨzta. Paiña suras puztachasmin, pashpa tura ɨarachasmin, uspane sun kɨmara pãn puzmukin ñamin izarɨt. 
MAT.2.10	Kɨma iztuasmin, uspane kwisha wat minñat kit 
MAT.2.11	yalta nappat kit pashparakas Maríarakas, paiña akkuhshta, izara. Suasne uspane pashpa tukin wakpuj wainñara. Kwiztane uspa kara aizpa azpiz kit urukas inciensokas mamaz mirra piamkas ukkat kit ussa mɨlaara. 
MAT.2.12	Kwiztane kɨmu izmuruz kainkizpamtuasmin, pittamtuasmin, Diosne usparuza kurunnara, Herodes tuwara kaiyamanpa. Suasne uspane uspa sura mamaz miwarain kaiyamɨzta.
MAT.2.13	Kɨmu izmuruz kaiyarawane, Joséne kainkizpamtuazi. Anpatpa ángelne ussa izpan kit ka kaizta: “Kuhsakti. Nukas pashparakas paiña akkuhshtakas Egipto sura azain ɨrain. Sua nukkulti, na kaiznakima. Herodesne pashpara sainanpain, ussa piantana,” kizta.
MAT.2.14	Joséne kuhs kit pashparakas paiña akkuhshtakas munat kit amtawara pɨpulukis puzat kit Egipto surakima ɨara. 
MAT.2.15	Suain nukkulara, Herodes inakima. Egipto sura nukkultɨt akwa, uspane Anpatpa kainammmika kaizta aizpa kiarɨt. Sunkana kaizta: “Nane ap painkulta Egipto suras akwarau.”
MAT.2.16	Herodes wat pianturuz awa kaiyarachi piankamtawane, usne kwisha pilchapuzta, uspa ussa kutkwarɨt akwa. Suasne Herodesne wan ampu pashparuza, kuna asmin paas añokima, Belén pɨpulurakas kasharuzakas piantana ɨninnara. Sun kɨma izaruzne, sun wat piantuzne, “paas año pɨnnapain,” kizara. 
MAT.2.17	Suasne Jeremías kainammmikane parat aizpa sunkana kirɨt:
MAT.2.18	“Akkwan ashampa tɨnta azamtuasmin,
MAT.2.18	wan ashampane Rama pɨpulukin mɨara.
MAT.2.18	Wan Israel ashamparuzne azara, uspa painkul akwa.
MAT.2.18	Uspa tayaltɨt akwa, mɨnminkas usparuza kiwainnasachi,
MAT.2.18	uspa painkultuz iarɨt akwa.”
MAT.2.19	Herodes irawane, Joséne kainkizpanmɨzta Egipto sura. Suasne Anpatpa ángelne ussa izpan kit ka kaizta:
MAT.2.20	“Kuhs kit pashparakas paiña akkuhshtakas mɨl kit kail kit Israel surakima, pashpara piantashimtuz iarɨt akwa.”
MAT.2.21	Suasne Joséne kutpat kit pashparakas paiña akkuhshtakas mɨl kit Israel sura kaiyara. 
MAT.2.22+MAT.2.23	Arquelaone papihshkanain mikwa namɨz kit Judea sura ɨninmɨzta. Usne Herodespa painkul azi. Joséne Arquelaowa sun piankam kit Judea sura ɨn ishkwarɨt. Mamasa José kainkizpamtuasmin, Diosne ussa Galilea sura ɨnka kizta. Galilea sura pianatpane, usne Nazaret pɨpulura uzna ɨrɨt. Dios kainammmika parɨt aizpa sunkana kirɨt: “Awane ussa Nazaret pɨpulukis atmika mun munanazi”.
MAT.3.1	Sun payura Juanne, awaruza pikin munnammikane, Judea sura ɨrɨt.
MAT.3.2	kit kaiznara: “U kwail kiarɨt aizpa maiztain, ma Dios awaruza ɨninnashimtu akwa. Diosne awaruza us kaizta aizpa mɨanapa akwanamtu, au kwail kiamanpa.” 
MAT.3.3	Ñamin Isaíasne, Dios kainammmikane, sunkana Juanpa parɨt:
MAT.3.3	“Mɨnpazha pul sura awaruza tɨnta kwinta kinat kit ka kaiznanazi:
MAT.3.3	‘Uruzpain watsarain, Anpat kuruntu aizpa kianapa.
MAT.3.3	Une Dios iztakin nil uzarawa,’ ” kizta.
MAT.3.4	Juanpa pĩn kwara aizpa camello ashkasa sɨpta. Aya tɨt pɨjakin kuhtɨt. Ittalkanakas mishkikas kwat. 
MAT.3.5	Jerusalén pɨpuluras awakas wan Judea suras awakas wan Jordán pimakin uztuzkas puzat kit ussa mɨna aara. 
MAT.3.6	Uspane uspa kwail akwa tayalat kit uspa kwail kiarɨt aizpa kaizara, Dios usparuza wat kulninnanapa. Suasne Juanne usparuza Jordán pira munnanara.
MAT.3.7	Mɨnpazha Fariseo awaruza kanpamtuzkas mɨnpazha Saduceo awaruza kanpamtuzkas Juanta aara, usparuza munnanapa. Aakane, Juanne usparuza kaiznara: “¿Une apkin aamtumakkiwas? Une kain pɨrail kaizmuruzkana mai. U kamtakana mai, sula kumtu akwa. U pit kaizamtu aizpa kamta pininukana mai. Dios kwail kirɨttuza ilnamtu akwa, u kwail kiamtu aizpa chɨhkarain. 
MAT.3.8	Dios uruza iltachasmin, u kwail kiarɨt aizpa maiztawa, wan awa u Diosta kaiyarɨt piankamanapa. 
MAT.3.9	Une ‘aumin Abrahampa kwal makpas’ kizamtu. Sun minñamtu akwa, Diosne uruza sapnamanazi. Diosne sun katsa ukkasa Abrahampa kwal namninnashina. 
MAT.3.10	Diosne uruza ilnanapain. Mane une katsa tɨkanain izarɨt, pippa wakainkanain. Wan tɨ pippa wakainne, tɨt kit ĩnta kiain kit ĩn paktarawa. 
MAT.3.11	U kwail kiarɨt aizpa Diosta kaizarawane, Dios uruza wat kulninnarawane, nane uruza watcha pira kwazikasa munna kinanash. Na uruza pira kwazikasa munnanamtukas, mamazne nakin anza tɨnta anazi, sun pitmin kainanapa. Na uruza pira kwazikasain munnanamtukana, usne paiña Sɨnam Izpulta ɨnninnazi, ukasa tuanpa, uruza kiwainanapa. Uskas kwail kimtuza ilnanazi. Usne wan awakin anza tɨnta mikwa namtɨt. Na uskana tɨnta chi akwa, nane paiña kiwainmikakana namtɨt ish, us kaizta aizpa kin. Us kwisha wat akwa, nane ussa wat kiwainnapa piankamsachish. 
MAT.3.12	Usne tɨkasa chara aya kihshkul kit tɨmkasa suninapain. Sunkanain usne awaruza kwail kiarɨt aizpa kiznanazi. Wat awaruzne wat chara pippakanain wanmaktat kit mamaz yalta watsanazi. Awa chara aya impaktamtukanain, Jesúsne kwail awaruza naizninnanazi. Sun ĩnne kwikain.” Sunkana Juanne Fariseo kampamtuzakas Saduceo kanpamtuzakas pilchashina.
MAT.3.13	Suasne Jesúsne Galilea suras puz kit Jordán pirakima piannara, Juan ussa munnapa. 
MAT.3.14	Juan ussa munna kishitchi akwa, Juanne Jesústa ka kaizta:
MAT.3.14	—Nune nawa munna kinatkin. Nu nakima amtukas, nane nua chinkas mɨlasachish, kizta.
MAT.3.15	Jesúsne ussa ka sɨnkara:
MAT.3.15	—Mane nune nawa munna kinatpa, wan Dios aumɨza kaizta aizpa kinpa. Suasne Juanne ussa pikin munnara.
MAT.3.16	Juan ussa kapal muntawane, Jesúsne piras puzta. Masain chiyu kai kultakane, Jesúsne Dios Izpulta izta. Sunne utkurukana chiyuras kihsh kit ussa taizta. 
MAT.3.17	Suasne awane Dios chiyuras kaizka mɨara. Dios ka kaizta: “Anne ap painkul i. Ussa pashimtus. Uskasa kwisha warish,” kizta.
MAT.4.1	Kwiztane Dios Izpulne Jesústa pul sura mɨlta, Satanás ussa kwail kininshit akwa, Dios ɨninta aizpa kimanpa.
MAT.4.2	Jesúsne cuarenta payukima payuwarakas amtawarakas kwatchi. Kwiztane yak kimɨzta. 
MAT.4.3	Suasne Diablone ustukin pianara. Ussa kwail kininshimtu akwa, ussa kaizta:
MAT.4.3	—Nu “na Dios Painkul ish” kiztune, suasne an ukkasa pan sari, kizta.
MAT.4.4	Jesúsne ussa sɨnkara:
MAT.4.4	—Diosne paiña pɨnkɨhta ka parɨt: “Awane kumirain kuat kit uzanazi. Kumira kwatkas, awane Dios pit para aizpa izarawa, an wat uzanapa.”
MAT.4.5	Suasne Diablone Jesústa Diospa pɨpulura, Jerusalén pɨpulura, mɨl kit iglesia yal mitmal kunninta. 
MAT.4.6	Sua ussa kaizta:
MAT.4.6	—Nune “na Dios Painkul ish” kizta. Katmizna akkis pɨlainti, awa nua izat kit nɨjkulanapa. Dios pɨnkɨhta ka parɨt:
MAT.4.6	“Diosne paiña ángeltuza ɨninnanazi, nua kiwainanapa.
MAT.4.6	Uspane uspa chihtɨkasa nua sappaanazi,
MAT.4.6	mittɨ ukta kilmanpa.”
MAT.4.7	Jesúsne sɨnkara:
MAT.4.7	—Diosne pɨnkɨhtakas ka parɨt: “Up Anpat Diosta kwail kinpa kishininmun”.
MAT.4.8	Mamasa Diablone Jesústa katsa ɨnkal ɨzara mɨl kit chiwal watsal sura ussa anta. Ussa wan pãn sun suras iznintawane, 
MAT.4.9	Diablone ussa kaizta:
MAT.4.9	—Nawa wakpuj waintane, nane nu iztu aizpa nua mɨlanash, kizta.
MAT.4.10	Suasne Jesúsne ussa kaizta:
MAT.4.10	—Satanás, nu akkis ɨt. Dios pɨnkɨhta ka parɨt: “Anpat Diostain wakpuj waintawa, us kaizta aizpa kin. Mamazta wakpuj wainkain,” ka parɨt.
MAT.4.11	Suasne Satanásne Jesústas paimpa ɨrɨt. Sun urain ángeltuzne ussa kiwainñara.
MAT.4.12	Juanta kajchira sɨptɨt mɨrawane, Jesúsne Galilea sura kailta. 
MAT.4.13	Nazaret pɨpulukis puztawane, Jesúsne Capernaum pɨpulura uzna ɨrɨt. Sun pɨpulune pimamin uz. Sua Zabulón sukas Naftalí sukas kashain uz. 
MAT.4.14	Diosne sun kinintɨt. Isaíasne, Dios kainammimikane, ñamin ka pat kit kaizta:
MAT.4.15	“Zabulón suras awakas
MAT.4.15	Naftalí suras awakas Jordán pi kwakara, pãn puzmuras, uzamtu.
MAT.4.15	Suane Judío awachiruzne Galilea pi kwakara uzamtu.
MAT.4.16	Diosta pianchi akwa, uspane tɨlkwilkinkana uzara.
MAT.4.16	Diosta piankamturuzne watsal kiarɨnazi, kaikinkana uzamtu akwa.
MAT.4.16	Ñamin irɨt awakanain uzarakas,
MAT.4.16	mane uspane kai kultɨt miwara chaamtu.”
MAT.4.17	Sun payuin Jesúsne kamtanamɨz kit kaiznara: “Ayukta maiztain, an kwail kiamanpa, Dios awaruza mamin ɨninnashimtu akwa.”
MAT.4.18	Galilea pimamin chamtuasmin, Jesúsne paas aimpihshta izta. Mazane Simónkas Pedrokas muntɨt. Mamazne Andrés muntɨt. Uspane pishkaru pizmuruz azi. Uspa pira ɨmmu kiainpailmɨzta. 
MAT.4.19	Suasne Jesúsne usparuza kaiznara:
MAT.4.19	—Kanpazhain, ap kammuruz namanapa. Ñamin pishkaruin pizpailta. Kawarain makis nane uruza ɨninnanash, mamaz awaruza kamtananapa, ap kammuruz namanapa.
MAT.4.20	Masain uspane uspa ɨmmu chɨhkat kit ussa kanpailta, kamanapa. 
MAT.4.21	Ma pitchin ɨmtuasmin, Jesús mamaz paas aimpihshta izta. Uspane Santiagokas Juankas muntɨt. Uspane Zebedeowa painkul azi. Uspane paiña papihshkasa kanuara pishkaru sulmu putpailta. Jesúsne usparuza akwanara, uskasa wanmak kit ɨn. 
MAT.4.22	Masain uspane papihshta tuij ɨt kit kanuaras kihsh kit ussa kanpailta.
MAT.4.23	Jesúsne wan Galilea suwara ɨmɨz kit wan Judío kammu yalta nap kit awara kamtanara. Usne Dios watsal pit kamtanara. Usne Dios awaruza ɨnnashimtu kamtanara. Wan inturuzakas wan ishturuzakas kakulninnara. 
MAT.4.24	Siria sura uztuzkas Jesúspa piankamara. Uspane wan inturuzakas wan ishturuzakas wan naizaruzakas Jesúspakin karaara, Jesús usparuza kakulninnanapa. Saliz piztɨttuzakas ultu piztɨttuzakas chasachiruzakas ussa karaara, Jesús usparuza kakulninnanapa.
MAT.4.25	Akkwan Galilea suras awane Jesús ɨmtumal aara. Mɨnpazha Decápolis pɨpuluras awane aara. Mɨnpazha Jerusalén pɨpuluras awane aara. Mɨnpazha Judea suras awane aara. Jordán pi kwakaras awakas, pãn puzmumals, aara.
MAT.5.1	Akkwan awa wanmakkarɨt iznarawane, Jesúsne ɨnkal ɨzara nut kit sua uzta. Paiña kammuruzne ussa wanmakkara. 
MAT.5.2	Usne paiña pit usparuza kamtanamɨz kit sunkana kaiznara:
MAT.5.3	“Diosta piankamshimturuzne Dios kaizta aizpa kiat kit watsal uzanazi.
MAT.5.4	Awa tayalamtukas, Diosne usparuza wat kiwainanazi, tayalamanpa.
MAT.5.5	Na mamazkin an warish kiztuchimikane an watsal uznazi,
MAT.5.5	Dios an sukin pa kin namta akwa.
MAT.5.6	Nil kishimturuzkas wat kishimturuzkas an watsal uzanazi,
MAT.5.6	Dios pashimtu aizpa kiamtu akwa.
MAT.5.7	Diosne mamaztuza kiwainmuruza kiwainnanazi, watsal uzanapa.
MAT.5.8	Ayukta kaijchura sɨnam sarɨttuzne an watsal kulat
MAT.5.8	kit Diosta izanazi. Dios ayukta kaijchura sɨnam saninnamtu akwa,
MAT.5.8	uspane an wat kulat kit Diosta izanazi.
MAT.5.9	Awaruza kalpain uzanapa paninturuzne kalpain uzanazi.
MAT.5.9	Diosne usparuza ‘u ap pashparuz mai’ kiznanazi.
MAT.5.10	Awa nil uztuzakas Dios kaizta aizpa kimtuzakas pizamtukas,
MAT.5.10	awa usparuza kwail kiashimtukas,
MAT.5.10	Diosne paiña ɨninturuza, paiña ɨnintukin
MAT.5.10	watsal uzninnanazi.
MAT.5.11	Une ap wat kanpamtuz mai.
MAT.5.11	Mamaz awane na akwa ‘u kwail awa mai’ kizanazi.
MAT.5.11	Awane na akwa uruza kwail kianazi.
MAT.5.11	Uspane na akwa u kwail kiamtu pɨrail appanazi.
MAT.5.12	Sunkana uruza kinakane, watsal kiat kit watsal nɨjkultain. Diosne chiyura uruza watsal mɨlam mɨlananazi. Ñamin Dios kainammtuz uzasmin, awane kawarain usparuza naizninnara.”
MAT.5.13	“Ñam ñara nɨrane, ña pɨtkain. Une ñamkanain wat uztain, awa an kwail kiamanpa. Wat ñam chine, ñara kulkain. Tɨhwi. Ñam kultachine, kiakpɨntɨm, awa mittɨ kuliztɨnpa.
MAT.5.14	Une au sukin wat uztain, mamaz awara watsal kamtananapa, watsal uzanapa. Une impil kai aiztukanain nil uzarawa, awa nil uzna piankamanapa. Pɨpulu malta uztane, wanne pɨpulura kai izanazi. Kulasachi. 
MAT.5.15	Kawarain alampara puttane, tɨm ampal unanchi. Kancha alampara kwashta kantawa, wan awa tukin kai izanapa. 
MAT.5.16	Kawarain une awa iztakin watsal uztain, awa u wat kiamtu aizpa izanapa. U wat kirɨt aizpa izarane, uspane u Taitta Dios chiyuras kwisha wari kizanazi.”
MAT.5.17	“Une nawa nil minñamtuchi. Une Moisés kaizta aizpakas Dios kainammtuz kamtara aizpakas piankamamtu. Uspa kamtara aizpa kwaimanash. Nane apa arau, u wan Dios kaizta aizpa watcha piankamanapa. 
MAT.5.18	Nane watcha kaiznamtus. Aune chiyura iztumakpas. Aune an sura uztumakpas. Chiyukas an sukas azain pailsachi. Kawarain wan Dios ɨnintu aizpa pailmanazi. Paiña pitkas paiña kamtamkas pailmanazi, wan chiwal kinkima. 
MAT.5.19	Katmizna Dios ɨnintu aizpa kimtuchimikane, Dios ɨnintu aizpa kiman kamtamtumikane, Dios ɨnintukin katsa awakana nammanazi. Dios ɨnintu aizpa kimturuzkas mamaztuza sunkanain kinpa kamtamtuzkas, Dios ɨnintukin an katsa awakana namanazi. 
MAT.5.20	Uruza kainanamtus. Une Moisés kaizta aizpa kamtamtuzkinkas Fariseo awakinkas an watsal uzarawa. An watsal uzamtukine, une Dios ɨnintukin nappasachi.”
MAT.5.21	“Une ñamin uztuza kamtanara aizpa mɨara. Usparuza ka kiznara: ‘Mamazta piantaman. Mɨnpazhara piantarɨtmikane katsa mikwara kwail ilninna ɨtpa,’ kiznara.
MAT.5.22	Sunkana nain kaiznamtus: aimpihshkasa pilchapuztumikane mikwara ilninna ɨtpa. Mɨnpazha aimpihshta kwail pit parakane, katsa mikwara ilninna ɨtpa. Mɨnpazha aimpihshta nune ‘tɨmpa i’ kiztamikane ĩnta ɨrɨshina.
MAT.5.23	Sunkana kirain. Diosta chiwazha mɨlam mɨlamtuasmin, aimpihshta kwail kirɨt nɨjkulkane, up mɨlan mɨlkain. 
MAT.5.24	Kancha up mɨlan mɨlamtukin tuij ɨtpa. An ñancha aimpihshkasa wat kultawa. Up aimpihshkasa wat kultawane, suasne kailtawane, up mɨlan Diosta mɨlatpa.
MAT.5.25	Mɨnpazha nu kwail kirɨt kizkane, katsa mikwara ɨmtuasmin, nune azain nu kwail kirɨt kizmumikakasa nɨjkultawa, izmuruz namanapa. Katsa mikwane nua policíara ɨninshina, kajchira sɨpninna. 
MAT.5.26	Watcha kaiztus. Suain kajchiras puzsachi, nu wan pial tanakima.”
MAT.5.27	“Une ñamin uruza kamtara aizpa mɨara. Uruza ka kiznara: ‘Mamazpa ashampara sanachi,’ kiznara.
MAT.5.28	Sunkana nane uruza kaiznamtus. Mɨnpazha ashampara iztane, ashampara sashimtu mintane, usne me ashampara piz kit sarɨtkana uztu.
MAT.5.29	Mane nune kasu waj. Mɨnpazha kwail aizpa kin iztumikane sunpa kwail kin min kit kwail kishina. Chinkas kwail aizpa kin izman, kwail minmanpa, kwail kishimanpa. Kasukasa kwail izturuzkas kwail kishimturuzne ĩnta ianazi. Katmizna kwail aizpa kin izman, ĩnta ɨamanpa. 
MAT.5.30	Awane chihtɨ waj. Awane uspa chihtɨkasa kwail kiashina. Chihtɨkasa kwail kishimtuzne maizarawa, uspa chihtɨkasa kwail kiamanpa. Paiña chihtɨkasa kwail kishimtumikane ĩnta ɨrɨnazi.”
MAT.5.31	“Sunkas une ñamin uruza kamtara aizpa mɨara. Usparuza ka kiznara: ‘Mɨnpazha paiña ashampara kwairane, kwaina pɨnkɨh pat kit ussa chɨhkatpa,’ kiznara.
MAT.5.32	Me nain mamaz tuntu uruza kurunnamtus. Mɨnpazha ashampa mamaz ampukasa pittachimikasha kwairane, usne ashampara kwail kinintu. An ashampane mamazkasa uztɨnazi. Mɨnpazha ashampa kwairɨtmikakasa kasara kimtune, uskas kwail kimtu.”
MAT.5.33	“Sunkas une ñamin uruza kamtara aizpa mɨara. Uruza ka kiznara: ‘U anpat iztakin sun kin namta aizpa maintachin kiarawa,’ kiznara.
MAT.5.34	Me nain mamaz tuntu uruza kurunnamtus. Kwinta kimtuasmin, nil pit paraarawa. Kain pit kaizman. Chiwazha kin namtuasmin, chiyura nu kaizta aizpa mɨna akwanchi. Chiyura akwatne, nune Diosta akwantu, nu kaizta aizpa mɨnapa. 
MAT.5.35	Chiwazha kin namtuasmin, au sukin nu kaizta aizpa mɨna akwanchi. Sun au sura kaiztane, nune Diosta, paiña su ɨnintukin, akwantu. Jerusalén pɨpulura nu kaizta aizpa mɨna akwanchi. Jerusalén pɨpulura akwatne, Jerusalénpa katsa mikwasha nu kaizta aizpa mɨna akwantu. 
MAT.5.36	Chiwazha kin namtuasmin, up kɨzpukasa sunkana kin nammun, up tɨlkaya ash putchã ash chikninsachi akwa. 
MAT.5.37	Nune ‘watchain’ kaizti. ‘Watcha chine, watcha chi’ kizti. Mamaz tuntu pit kaiztane, nune Diablo pit kaiztɨnazi.”
MAT.5.38	“Sunkas une ñamin uruza kamtara aizpa mɨara. Uruza ka kiznara: ‘Kasukin kɨzmumikane kwarain kɨzmumikawa kasu uktawa. Sulakin kɨzpianmumikane kawarain sula kɨzpianmikawa sula uktawa.’
MAT.5.39	Sunkana nain uruza kurunnamtus: Nua kwail kirɨtmikasha puija kwail kinchi. Maza nua matsɨhkin kuzkane, mamazpa matsɨhkin kuzshina pianninti kizti. 
MAT.5.40	Mɨnpazha mikwasha up kamisha uknapa ɨninkane, ɨsal kwam kamishakas ussa mɨlatpa. 
MAT.5.41	Mɨnpazha nua maza kilómetro kakwakima kwana ɨninkane, nune kutña kilómetrokima ɨtpa. 
MAT.5.42	Mɨnpazha chiwazha paikukane, mɨlatpa. Mɨnpazha chiwazha nua nampizkane, nammɨlatpa, kaiztachin.”
MAT.5.43	“Sunkas une ñamin uruza kamtara aizpa mɨara. Uruza ka kiznara: ‘Izmuruza pashinarawa. Aliztuza aliz kultawa,’ kizara.
MAT.5.44	Me nain mamaz tuntu uruza kurunamtus. Aliztuza pashinarawa. Uruza kwail kimtuz akwa Diosta paikwatpa. 
MAT.5.45	Sunkana kitne, une chiyura Taitta pashparuzkana uzanazi. Diosne kwail awaruzakas wat awaruzakas pãn malninamtu. Usne wat kimtuz surakas nilchi kimtuz surakas alu kinintu. 
MAT.5.46	U uruza pashimtuzain pashinarakas, une uruza pashinamtuchiruza pashinarawa, Dios uruza chiwazha mɨlananapa. Kwail kimtuzne usparuza pashinamturuzakas pashiamtu. 
MAT.5.47	U izmuruzain ‘wat kɨntɨre’ kiznarane, une Diosta pianchiruzkana uzamtu. Diosta pianchiruzne usparuzpain kawarain kiamtu. 
MAT.5.48	U chiyuras Papihshne chinkas kwail kit chi. Kawarain u chiyura Papihsh uztukanain watsal uz kit watsal kirain.”
MAT.6.1	“U mamaz awa akwa watsal kal kikane, sun kal awa iztakin kinchi. Sunkana awa iztakin kitne, u chiyuras Papihshne uruza chinkas mɨlanamanazi.
MAT.6.2	Katmizna we mɨjtuza kiwainamtune, u kiamtu aizpa mɨnpazhara kainanachi. Awa iztakin an katsa namshimtumikane awa wanmakmukinkas awa pianamal chamtukinkas kianazi, mamaztuz paiña watsal kal kimtu aizpa izanapa, mamaztuz nua watsal kal kirɨt kizanapa. Uspane chiwazha mɨlam me sapparɨt, awa uspa wat kiarɨt kizara akwa. 
