MAT.1.1	Yiesu 
MAT.1.17	Dɑɑfiid din tie Ablɑɑhɑɑnm yɑɑbuonpiik nɑn ŋɑnnɑ e. K Dɑɑfiid yuo k tɑn tuu yuo nbɑ k b din suol niib mɑnŋ dɑɑbɑ k sɑɑn nɑn’m Bɑɑbiilonn nɑ mun din tie yɑɑbuonpiik nɑn ŋɑnnɑ. Lɑɑ din nyii l yuo k tɑn tuu Klistu mɑɑlu yuo mun biɑ din tie yɑɑbuonpiik nɑn ŋɑnnɑ e.
MAT.1.18	Bɑɑ din mɑl Yiesu Klistu biɑnŋ nbɑ e nɑ: u nɑɑ Mɑɑli din tie Suosiɑf sɑlkpenŋ e. B dɑɑ din k kuɑn lieb, ŋɑɑn k Suosiɑf din tɑn lɑ k Mɑɑli mɔk puol, k Foŋɑnm pɑnŋ ni e k u suol puol mɑnŋ. 
MAT.1.19	Suosiɑf nbɑ k u din yɑɑ wun kunn’ɔ nɑ din tie Yennu nipiemɔ e. L pɑɑk, u din k luon k wun nyinn’l pɑɑnu ni k lin dinn Mɑɑli fei, ŋɑɑn u din lol u pɑl ni e nɑn u ji kɑn kuɑn’ɔ. 
MAT.1.20	Wɑɑ ji din duki lin nbɑ nɑ po nɑ e, k Yennu 
MAT.1.21	U tɑn sɑɑ mɑl bonjɑk e, k ɑ sɑɑ pul u sɑnn Yiesu, k mɑɑn u tɑn sɑɑ fiel u niib b biit ni.»
MAT.1.22	Lin nbɑ nɑ kul din tun ɑ lin gbien lin nbɑ k Yonmdɑɑnɔ din te k u sɔkniisuɑ yet ɑ: 
MAT.1.23	«Sɑpɑɑnmunn
MAT.1.24	Suosiɑf nbɑ din tɑn fiil guɑn ni yuo nbɑ k u tun nɑn Yennu mɑlɑkɑ nɑ nbɑ yet’ɔ biɑnŋ nbɑ nɑ, k ji din gɑɑl u sɑlkpenŋ Mɑɑli u ŋɑɑk ni, 
MAT.1.25	ŋɑɑn u din k duɑ nɑn’ɔ mɔkmɔk nɑn wɑɑ din tɑn mɑl u sɑpɑɑnmɑl, bonjɑk nɑ. K Suosiɑf din pul u sɑnn Yiesu.
MAT.2.1	Mɑɑli din mɑl Yiesu dosɑu nnɑ ni, k b yi’l Betlehenm, k l be Suude tinŋ ni. U din mɑl’ɔ kpɑnbɑl 
MAT.2.2	k tɑn boi niib ɑ: «Islɑɑeltieb kpɑnbɑl nbɑ k b mɑl’ɔ nɑ, u be lee? T dɑɑn lɑ u ŋmɑɑbil e yendopo k bɑɑl nɑ ɑ t tɑn jiɑnt’ɔ.» 
MAT.2.3	Kpɑnbɑl Heluod nbɑ din gbɑt nnɑ mɑnŋ, k l biil ŋuɑ nɑn Selusɑɑlenmtieb kul pɑlɑ ni. 
MAT.2.4	K u din yiin Yennu mɑnntieb yudɑnm nɑn 
MAT.2.5	K b jiin’ɔ ɑ: «Betlehenm duo nbɑ be Suude tinŋ ni nɑ, k mɑɑn 
MAT.2.6	‹Fin Betlehenm nbɑ be Suudɑ tinŋ ni nɑ,
MAT.2.6	ɑ k tie tinbik kɑɑ Suudɑ yiɑl ni,
MAT.2.6	k mɑɑn Kpɑnbɑlsuɑ tɑn sɑɑ nyi ɑ ni e,
MAT.2.6	k ŋuɑ e tɑn sii tie n niib Islɑɑeltieb nɑ pekpɑɑlk.›»
MAT.2.7	Lin nbɑ nɑ puolpo e k kpɑnbɑl Heluod din yiin bɑntieb mɑnŋ wuol ni, k tɑn boi’b k fiit’b fɑnu ɑ wun bɑnn yuo nbɑ k ŋmɑɑbil nɑ dɑɑn nyii, 
MAT.2.8	k din yet’b: «Ii sɑɑ mɑn Betlehenm k sɑɑ lon bik mɑnŋ fɑnu. Yuo nbɑ k i lɑ’u, yin jen ɑ k tɑn yet’n k n mun sɑɑn k sɑɑ jiɑnt’ɔ.» 
MAT.2.9	Kpɑnbɑl nɑ nbɑ din pɑk nnɑ k gbenn yuo nbɑ, k b nyii k suol sɔnu. Bɑɑ din sɑɑ mɑnŋ k b lɑ ŋmɑɑbil nbɑ dɑɑn nyii yendopo nɑ, k l gɑl b tuɑnn po k sɑɑ set bik mɑnŋ nbɑ be ŋɑɑk nbɑ nɑ ni, l sɑnpɑɑpo. 
MAT.2.10	Bɑɑ lɑ ŋmɑɑbil mɑnŋ nɑ, k b pɑlɑ ni penn bonciɑnn. 
MAT.2.11	K b kuɑ ŋɑɑk mɑnŋ ni, k lɑ bik mɑnŋ nɑn u nɑɑ Mɑɑli. Ŋɑnn e k b gbɑɑn k jiɑnt bik mɑnŋ, ŋɑɑn biit b pɑkɑ k nyinn piini k tul’ɔ. Piini mɑnŋ din tie sɑlmɑ nɑn tulɑɑlnyun nɑn tulɑɑlsiɑl nnɑ k b yi’l miil
MAT.2.12	Tɔn, k Yennu din pɑk k tul’b b dɑmiit ni, ɑ b ji dɑɑ ŋmɑt kpɑnbɑl Heluod buol ni. L pɑɑk, k b ji din tɔkn sɑnjogɑɔnŋ k ŋmɑt kun b duo ni. 
MAT.2.13	Bɑntieb nɑ nbɑ din kun nɑ puolpo e k Yonmdɑɑnɔ Yennu 
MAT.2.14	K u din fiil nyiɑɔk k jii bik nɑ nɑn u nɑɑ k ciɑl k sɑɑn nɑn’m Ejipt tinŋ ni. 
MAT.2.15	U din be lenŋ e nɑn yuo nbɑ k kpɑnbɑl Heluod din tɑn kpo nɑ. Lin nbɑ nɑ kul din tun ɑ lin gbien lin nbɑ k Yonmdɑɑnɔ Yennu din te k u sɔkniisuɑ pɑk l po nɑ e ɑ: «Min, Yennu, n din yiin n Bijɑ ɑ wun nyi Ejipt tinŋ ni.»
MAT.2.16	Heluod nbɑ din tɑn bɑnn nɑn bɑntieb mɑnŋ kpɑl’ɔ e nɑ, k u wutuol din duo bonciɑnn. K u din tun sejenm ɑ bin sɑɑn Betlehenm nɑn l digbɑnbis ni k sɑɑ kpi bonjɑbis kul, lɑɑ jii sɑnpɑnti k sɑɑ tuu bin nbɑ mɔk binɑ ŋɑnle, nɑn wɑɑ dɑɑn boi bɑntieb mɑnŋ k bɑnn yuo nbɑ k ŋmɑɑbil nɑ dɑɑn nyii nɑ.
MAT.2.17	Nnɑ e k lin nbɑ k 
MAT.2.18	«Lɑɑmɑ
MAT.2.18	mɔni nɑn fɑbni,
MAT.2.18	k Lɑɑsiɑl
MAT.2.18	k b bɑln’mɔ k tɑn guo,
MAT.2.18	k mɑɑn u wɑɑs kul ɑ kpo wɑɑ.»
MAT.2.19	Tɔn, k kpɑnbɑl Heluod tɑn kpo, k u kuun puolpo k Yonmdɑɑnɔ Yennu mɑlɑkɑ biɑ din sɑɑn Suosiɑf buol u dɑmiit ni, Ejipt tinŋ ni, 
MAT.2.20	k sɑɑ yet’ɔ ɑ: «Fiit k jii bik mɑnŋ nɑn u nɑɑ, k ŋmɑt sɑɑn Islɑɑel tinŋ ni, k mɑɑn bin nbɑ din lol ɑ bin kpi bik mɑnŋ nɑ kpo wɑɑ.» 
MAT.2.21	K Suosiɑf din fiil k jii bik mɑnŋ nɑn u nɑɑ k din ŋmɑt k sɑɑn Islɑɑel tinŋ ni.
MAT.2.22	Ŋɑɑn wɑɑ din tɑn gbɑt ɑ Alkelɑus dii nɑɑn k kɑl u bɑɑ Heluod nɑɑngbɑnt pɑɑk Suude tinŋ ni nɑ, k jɑŋmɑɑni suol’ɔ nɑn wun kun lenŋ, k Yennu biɑ din kpɑɑn’ɔ u dɑmiit ni, k u din sɑɑn Gɑɑliile tinŋ ni, 
MAT.2.23	k din sɑɑn k sɑɑ kɑl duo nbɑ k b yi Nɑɑsɑɑlet nɑ ni. Nnɑ e k l tien gbien mɑɑn nbɑ k Yennu sɔkniinbɑ din yet ɑ: «B tɑn sii yi’u Nɑɑsɑɑlet nilɔ e.»
MAT.3.1	Binɑ bonciɑnn din gɑl e wɑɑ, k Sɑn nbɑ din wuul niib Yennu nyunwulu nɑ tɑn dɔkt muuk ni, Suude tinŋ ni, k muɑntl Yennu mɑɑn k yien ɑ: 
MAT.3.2	«Mɔn kuɑŋɑɑn mɑn k lebt binbenŋ, k mɑɑn Yennu nɑɑn pel nɑ.» 
MAT.3.3	 sɔkni Esɑɑyi
MAT.3.3	«Suɑ be muuk ni k huot k yɑɑ ɑ:
MAT.3.3	‹Ŋɑnmt mɑn Yonmdɑɑnɔ bɑɑlu sɔnu k tul’ɔ,
MAT.3.3	k te k u sɔni ii tuok.› »
MAT.3.4	Sɑn din liɑ yuyouk
MAT.3.5	L yuo k Selusɑɑlenm duo ni tieb, nɑn Suude tinŋ kul ni tieb, nɑn digbɑnɑ nbɑ din kpiɑ 
MAT.3.6	k fiit b biit, k u wul’b Yennu nyunwulu 
MAT.3.7	Wɑɑ din tɑn lɑ k Fɑɑliisiɑnnbɑ nɑn 
MAT.3.8	Ii tuun mɑn lin nbɑ sɑɑ wɑnn nɑn i set mɔ kuɑŋɑɑn k lebt binbenŋ. 
MAT.3.9	I dɑɑ mɔk pɑlbifɑɑnt nɑn Ablɑɑhɑɑnm tie i yejɑ. N yien’i e, Yennu sɑɑ fit k fiin tɑnɑ nbɑ nɑ k lin kpɑnt Ablɑɑhɑɑnm yɑɑbuonɑ. 
MAT.3.10	Pɑjɑl ponŋ tien siil ɑ, ɑ wun cuɑ tiini nɑn l jiinɑ, k tiik kul nbɑ k luon luɑnŋɑnɑ, b sɑɑ cuɑ’l e k lu’l muu ni. 
MAT.3.11	Min ŋɑnin wuul’i Yennu wulu nɑn nyun ɑ i mɔ kuɑŋɑɑn k lebt binbenŋ, ŋɑɑn wun nbɑ yɑɑ wun bɑɑl n puolpo nɑ cie’n, k n ponŋ k ŋɑn nɑn k n jii u tɑɑsɑɑt. Ŋuɑ e tɑn sɑɑ jii Foŋɑnm nɑn muu k wul’i Yennu wulu. 
MAT.3.12	U diɑ u dilenn ŋmɑni e k yɑɑ wun lenn bonŋɑnn, k nyinn u dibin k wuun u buɑl ni, ŋɑɑn juo founŋ nɑ muu nbɑ kɑn mi k kpien nɑ ni.»
MAT.3.13	L yuo mɑnŋ k Yiesu din nyii Gɑɑliile k sɑɑn Suulden kpenu po, k bɑɑl Sɑn buol ni ɑ wun wul’ɔ Yennu nyunwulu. 
MAT.3.14	K Sɑn k sɑk, k yet’ɔ ɑ: «Min e bo sɑɑ bɑɑl ɑ buol ni k ɑ wul’n, ŋɑɑn k ɑ mun tɑn bɑɑt n buol ni ii?»
MAT.3.15	Ŋɑɑn k Yiesu yet’ɔ ɑ: «Ŋɑɑnt k lin tun nnɑ mɔtɑɑnɑ, k mɑɑn nnɑ e k t sɑɑ fit tun lin nbɑ kul k Yennu luon.» L yuo nɑ k Sɑn sɑk.
MAT.3.16	Wɑɑ wul Yiesu Yennu nyunwulu k gbenn yuo nbɑ, l tɑɑkpɑɑk ni k Yiesu nyii nyun nɑ ni, k sɑnpɑɑpo tɑn luot, k u lɑ k Foŋɑnm siik u pɑɑk k nɑɑn nɑn ŋmɑnn nɑ, k tɑn jɑkn u pɑɑk. 
MAT.3.17	K kunkɔl nyii sɑnpɑɑpo k yet ɑ: «N Bilonkɑk e nɑ, ŋuɑ e k n nunm gbuo’u.»
MAT.4.1	K Foŋɑnm din sɑɑn nɑn Yiesu pɑɑnpieonŋ ni ɑ 
MAT.4.2	U din be lenŋ k k dii siɑl dɑpiinnɑ yennu ni nɑn nyiɑɔk, k kon ji din tɑn suol’ɔ. 
MAT.4.3	K Jɑnmidɑɑnɔ bɑɑl u buol ni k tɑn yet’ɔ ɑ: «L i tie k ɑ tie Yennu Bijɑ i e, fɑn yet tɑnɑ nɑ k lin kpɑnt pɑɑnu.»
MAT.4.4	K Yiesu jiin k yet’ɔ ɑ: «L diɑn Yennu lolkpel kɑdɑɑɔk ni ɑ: ‹Pɑɑnu kuukuɑ pɑɑk kɑɑ te k nilɔ fo, ŋɑɑn mɑɑn nbɑ kul nyi Yennu mɔb ni nɑ pɑɑk e te k nilɔ fo.› »
MAT.4.5	L puolpo k Sɑɑtɑn jii’u k sɑɑn nɑn’ɔ Yennu duo nbɑ k b yi lenŋ Selusɑɑlenm, k sɑɑ donn’ɔ Yennu jɑɑnti ŋɑsɑɑkɑk mɔpinyelk pɑɑk, 
MAT.4.6	ŋɑɑn yet’ɔ ɑ: «L i tie k ɑ tie Yennu Bijɑ i e, fɑn yukl mɔb nnɑ nɑ, k mɑɑn l diɑn Yennu lolkpel kɑdɑɑɔk ni ɑ:
MAT.4.6	‹U sɑɑ te k u 
MAT.4.6	B sii diɑ’ɑ nɑn b nii
MAT.4.6	k ɑ tɑɑl kɑn gbiɑt tɑnn k ɑ lɑ dɑnŋ.› »
MAT.4.7	K Yiesu yet’ɔ: «L biɑ yet Yennu lolkpel kɑdɑɑɔk ni ɑ: ‹Suɑ dɑɑ biki Yonmdɑɑnɔ Yennu.› »
MAT.4.8	L puolpo k Sɑɑtɑn biɑ din jii’u k duo nɑn’ɔ juɑl nbɑ fɔk bonciɑnn pɑɑk k sɑɑ wɑnn’ɔ tingbounŋ nɑ yent kul kul nɑn l ŋɑnt, 
MAT.4.9	ŋɑɑn yet’ɔ ɑ: «L i tie k ɑ gbɑɑn k jiɑnt’n, n sɑɑ tul’ɑ yent mɑnŋ kul ɑ.»
MAT.4.10	K Yiesu yet’ɔ: «Sietl nnɑ Sɑɑtɑn. L diɑn Yennu lolkpel kɑdɑɑɔk ni ɑ: ‹Nilɔ i jiɑntl Yonmdɑɑnɔ Yennu kuukuɑ e, kii biɑ kii tuun kii tien ŋuɑ kuukuɑ.› »
MAT.4.11	Ŋɑnn e k Sɑɑtɑn ji din yɑɑt ŋɑɑn nyik’ɔ, k Yennu mɑlɑkɑɑnbɑ bɑɑl k tɑn cɑnt’ɔ.
MAT.4.12	Yiesu nbɑ din tɑn gbɑt nɑn 
MAT.4.13	Wɑɑ din bɑɑl Nɑɑsɑɑlet nɑ u din k wei lenŋ, ŋɑɑn gɑl k sɑɑn Kɑpelnɑunm duo nbɑ be mɔk-kpinŋ, Sɑɑbuulɔn nɑn Neftɑɑli tinŋ ni nɑ. 
MAT.4.14	Lin nbɑ nɑ din tun ɑ lin gbien 
MAT.4.15	«Sɑɑbuulɔn tinŋ nɑn Neftɑɑli tinŋ nbɑ be
MAT.4.15	k biɑ be mɔkgbenŋl buol,
MAT.4.15	nɑn Gɑɑliile tinŋ nbɑ k bin nbɑ k tie 
MAT.4.16	bin nbɑ be bunbɔnn ni nɑ lɑ yentjɑɑnn;
MAT.4.16	bin nbɑ kɑl kuun bunbɔnn yent ni nɑ lɑ k
MAT.4.16	yentu nɑ yentl k bɑɑt’b.»
MAT.4.17	L yuo mɑnŋ k Yiesu din piin k muɑntl Yennu lɑbɑmɑnn k tien niib ɑ: «Mɔn kuɑŋɑɑn mɑn k lebt binbenŋ, k mɑɑn Yennu nɑɑn pel nɑ.»
MAT.4.18	Yiesu nbɑ din sonm Gɑɑliile mɔkgbenŋl kpinŋ nɑ, k u tɑn lɑ nilɔ, wun nbɑ k b yi’u Siimɔn k biɑ yi’u Piɑl nɑ, nɑn u ninjɑ Andle, k b lubn jɑnlɑɑɔnŋ mɔkgbenŋl ni, k mɑɑn b din tie jɑnsuolɑ e. 
MAT.4.19	K u yet’b ɑ: «Ii wɑɑ’n mɑn, k n sɑɑ te k i so niib nɑn yɑɑ so jɑni bɑnnu nbɑ.» 
MAT.4.20	K b set din nyik b jɑnlɑɑnt l tɑɑkpɑɑk ni ŋɑɑn wɑɑ’u.
MAT.4.21	Wɑɑ din nyii lenŋ k sɑɑn tuɑnn po, k u lɑ jɑb bɑnle, Sɑɑk nɑn u ninjɑ Sɑn k b tie Sebede wɑɑs. B din be bulgbetl ni nɑn b bɑɑ Sebede k ŋɑnmt b jɑnlɑɑnt k u yiin’m. 
MAT.4.22	L tɑɑkpɑɑk ni, k b nyik bulgbetl nɑ nɑn b bɑɑ, ŋɑɑn wɑɑ Yiesu.
MAT.4.23	Yiesu din lin Gɑɑliile tinŋ mɑnŋ kul ɑ po, k tumi niib, Suifnbɑ jɑɑnti diet ni, k muɑntl Yennu nɑɑn lɑbɑmɑnn k tien’m, k te k bin nbɑ mɔk yiɑlbuoli buoli kul nɑn bin nbɑ mɔk gbɑnɑntont kul pɑɑkt. 
MAT.4.24	K niib din lin k muɑnt u sɑnn Siili tinŋ ni kul ɑ po. K b din jikt bɑɑtbuoli buoli kul ɑ, k bɑɑt nɑn’m u buol ni: bin nbɑ din yiɑl yiɑlbuolu nbɑ kul, gbɑnɑntont, bin nbɑ din gbie nɑn nɑlnbiit, bin nbɑ din bɑɑ gbitgbiɑ, nɑn gbɑnɑnkpienɑ dɑnm, k u din te k b pɑɑk. 
MAT.4.25	K nibulciɑɔnŋ nbɑ din nyii Gɑɑliile, nɑn Doi-piik
MAT.5.1	Yiesu nbɑ din lɑ nibulciɑɔnŋ mɑnŋ nɑ, k u duo juɑl pɑɑk k sɑɑ kɑl, k u 
MAT.5.2	K u yɑɑt u mɔb k piin k tumi’b k yien ɑ:
MAT.5.3	«Bin nbɑ mi b mɔnŋ nɑn b nɑmi,
MAT.5.3	pɑlpienn tie b yɑl e,
MAT.5.3	k mɑɑn Yennu nɑɑn tie b yɑl e.
MAT.5.4	Bin nbɑ mɔ k fɑbn, pɑlpienn tie b yɑl e,
MAT.5.4	k mɑɑn Yennu sɑɑ mɑɑn b pɑlɑ wɑɑ.
MAT.5.5	Bin nbɑ sikn b mɔnŋ, pɑlpienn tie b yɑl e,
MAT.5.5	k mɑɑn ŋɑnm e tɑn sii yen tingbounŋ nɑ.
MAT.5.6	Bin nbɑ yɑɑ ninbinɑ mɔn ɑ bii be binbenŋ nbɑ gbuot Yennu nunm nɑ ni
MAT.5.6	pɑlpienn tie b yɑl e,
MAT.5.6	k mɑɑn Yennu sɑɑ gbuo’m ɑ.
MAT.5.7	Bin nbɑ tiin b lieb ninbɑɑɔk nɑ,
MAT.5.7	pɑlpienn tie b yɑl e,
MAT.5.7	k mɑɑn ŋɑnm e k Yennu mun biɑ sɑɑ tin’m ninbɑɑɔk.
MAT.5.8	Bin nbɑ yɑɑ pɑlɑ ni yien,
MAT.5.8	pɑlpienn tie b yɑl e,
MAT.5.8	k mɑɑn ŋɑnm e sɑɑ lɑ Yennu.
MAT.5.9	Bin nbɑ tie sɑndɑntinnɑ nɑn kunkɔnpɑt-tieb,
MAT.5.9	pɑlpienn tie b yɑl e,
MAT.5.9	k mɑɑn ŋɑnm e k Yennu sɑɑ yii’m u wɑɑs.
MAT.5.10	Bin nbɑ k b muks’b bɑɑ tuun Yennu lonm nɑ pɑɑk,
MAT.5.10	pɑlpienn tie b yɑl e,
MAT.5.10	k mɑɑn Yennu nɑɑn tie b yɑl e.»
MAT.5.11	«Niib i suki’i k muks’i, k fɑ fɑɑk buoli buoli kul k biil’i, k mɑɑn yɑɑ tie n puolpoweitieb nɑ pɑɑk, pɑlpienn tie i yɑl e. 
MAT.5.12	Ii mɔk pɑlpienn mɑn bonciɑnn, k i pɑlɑ ii mɑn, k mɑɑn i nyuɑt tɑn sii yɑb 
MAT.5.13	«I tie nɑn yɑɑln nɑ e tingbounŋ nɑ ni. Yɑɑln i tɑnŋ i biil k ji k mɑn, nlee k b biɑ sɑɑ fit mɑnŋ’ɔ ɑ? L ji kɑɑ nyuɑt. Sie k b kpɑɑl k yɑl nɑn-yel po k niib sonm l pɑɑk.
MAT.5.14	«Yinm e tie tingbounŋ nɑ yentu. Duo nbɑ k b mɑɑ k senn kunkonn pɑɑk, l kɑn fit bɔl. 
MAT.5.15	Suɑ mun k jokt fitl ŋɑɑn jikt bokt k cibnt l pɑɑk. Sie k u jii’l k tuɑn bonsiɑl nbɑ fɔk nɑ pɑɑk, k lin tul ŋɑɑk niib kul ɑ yentu. 
MAT.5.16	Yinm mun, ii be nnɑ. Ŋɑɑnt k i yentu n yent tul nifosɑɑli, ɑ bii lɑɑt i tuonŋɑnɑ kii dont i Bɑɑ nbɑ be Yendɔunŋ ni nɑ.»
MAT.5.17	«I dɑɑ duki nɑn n bɑɑl mɑɑ n tɑn piin Yennu 
MAT.5.18	Bɑlmɔni e k n yien’i nɑ, sɑnpɑɑk nɑn tinŋ nɑ tɑn sɑɑ bot, ŋɑɑn Yennu senni kɑn mi bot nɑn bonmintk nnɑ wɑɑ, sie k l kul ɑ tɑn tun k gbenn. 
MAT.5.19	L pɑɑk, wun nbɑ tɑn tun k kpet Yennu senni mɑnŋ yenn kuɑ, k biɑ wɑnn lieb bonkpetl mɑnŋ, u tɑn sɑɑ juont tɑlk e Yennu nɑɑn ni, ŋɑɑn wun nbɑ wɑɑ senni mɑnŋ fɑnu, k biɑ wɑnt u lieb fɑnu, ŋuɑ e tɑn sii tie nijɑɑnn Yennu nɑɑn ni. 
MAT.5.20	K mɑɑn min yien’i nɑn sie k i tuun Yennu nbɑ luon bɑnnu nbɑ k cie 
MAT.5.21	«I ponŋ gbɑt k b din yien yɑɑyuo ni niib ɑ: ‹Dɑɑ kpi nilɔ, k mɑɑn wun nbɑ tɑn kpii nilɔ tɑn sii be mɑɑn ni,› 
MAT.5.22	ŋɑɑn min ŋɑnin yien’i e lɑɑ, wun nbɑ dont wutuol u nɑɑ bik pɑɑk, u tɑn sii be mɑɑn ni, k wun nbɑ sukl u nɑɑ bik ɑ: ‹Bon-yɑnn nɑ,› u tɑn sii be mɑɑn ni, k wun nbɑ mun biɑ sukl u nɑɑ bik ɑ: ‹Bonjɑtl nɑ,› u tɑn sii be mɑɑn ni k kuɑ muu nbɑ kɑn mi kpien nɑ ni. 
MAT.5.23	L pɑɑk, wun nbɑ tɑn kuɑ Yennu jɑɑnti ŋɑsɑɑkɑk ni ɑ wun pi Yennu piini binbintl buol, ŋɑɑn tiɑl nɑn u mɔk biit nɑn u nɑɑ bik, 
MAT.5.24	wun nyik u piini mɑnŋ lenŋ, ŋɑɑn ŋmɑt sɑɑn u nɑɑ bik nɑ buol k bin sɑɑ ŋɑnm b mɑɑn k gbenn ɑ, k wun jen k tɑn pi u piini mɑnŋ k tul Yennu.
MAT.5.25	«Fin nɑn suɑ i mɔk mɑɑn, k sɑɑ mɑɑn mɑnŋ buut, fɑn ŋɑɑn k yin tɑɑn mɔyenm kuɑ k ŋɑnm i mɑɑn mɑnŋ yuo nbɑ k i dɑɑ be sɔnu ni nɑ. L i kii tie nnɑ i kɑɑ, dɑɑnɔ nɑ sɑɑ jii’ɑ k sɑɑn nɑn’ɑ bɑlbuulɔ buol ni, k bɑlbuulɔ nɑ n mun jii’ɑ k tien’ɑ dɑnsɑlguulɔ nuu ni k wun kuɑn’ɑ dɑnsɑlk. 
MAT.5.26	Bɑlmɔni e k n yien’ɑ nɑ, ɑ kɑn mi nyi lenŋ, sie k ɑ tɑn pɑ likli kul nbɑ k b jiɑl’ɑ, k kuuk kɑn tenn.»
MAT.5.27	«I ponŋ biɑ gbiɑ k b din yien ɑ: ‹I mi k ɑ tun boncuncontuonɑ,› 
MAT.5.28	ŋɑɑn min ŋɑnin yien’i e, nɑn wun nbɑ got puo k u niɑɔnŋ kuɑ’u, u tun 
MAT.5.29	L i tie k ɑ diitu po ninbinn i e te k ɑ tuun biit, fɑn kpɑkl’ɔ k lu’u bɑnfɔkl ɑ, k mɑɑn l i tie k ɑ kɔnŋ siɑl buol gbɑnɑnt, l cie nɑn k Yennu n tɑn kuɑn ɑ gbɑnɑnt kul muu nbɑ kɑn mi kpien nɑ ni. 
MAT.5.30	L i tie k ɑ niidiitu e te k ɑ tuun biit, fɑn pot’ɔ k lu’u bɑnfɔkl ɑ, k mɑɑn l i tie k ɑ kɔnŋ ɑ nuuyenŋ kuɑ, l cie nɑn k ɑ gbɑnɑnt kul n tɑn kuɑ muu mɑnŋ ni.»
MAT.5.31	«B biɑ din yien ɑ: ‹Wun nbɑ luon k wun yet u ŋɑɑpuo, wun tul’ɔ puoyetu kɑdɑɑɔk,› 
MAT.5.32	ŋɑɑn min ŋɑnin yien’i e, nɑn wun nbɑ kul tɑn yet u ŋɑɑpuo, k l k tie u tun boncuncontuonn kɑɑ, ŋuɑ e te k puo mɑnŋ tun boncuncontuonn, k wun nbɑ kuɑn puo nbɑ k b yet’ɔ nɑ mun biɑ tun boncuncontuonn ɑ.»
MAT.5.33	«I ponŋ biɑ gbiɑ k b din yien yɑɑyuo ni niib ɑ: ‹I mi k ɑ pol mɔb nɑn fɑɑk, ŋɑɑn l i tie k ɑ pol mɔb Yennu sɑnn ni, l ŋɑn k ɑ tun k gbenn ɑ mɔpol mɑnŋ,› 
