MAT.1.1	Inu nərgɨ tɨpɨ Iesu Kristo rat mɨn, kit in Kig Tefɨt, kən kit mɨn in Epraham.
MAT.2.23	Kən kəməhaluwɨn mətəhlatɨg nɨtən əh Kalili e taon kit, nərgɨn u Nasaret, məmə otol nəghatən rəha ien mɨn rəha Uhgɨn aupən otuwa mol nɨpahrienən. Ilat kəmotən-ipən məmə, “Okotən məmə in etəm Nasaret.”
MAT.3.1	Nup mɨn neen tɨnuwa mɨnuwɨn rəkɨs, kən Jon Baptais təmiet-arəpa, kən mətamnus-iarəp nəghatən rəha Uhgɨn əpəh Jutia ikɨn taruən-aruən ikɨn,
MAT.3.2	matən məmə, “Otəuhlin itəmat e rəhatəmat nolən rat mɨn, kən motuwɨn o Uhgɨn, məto-inu, nian itəm Uhgɨn otərəmərə e netəmim rafin tɨnatuwa iuəhkɨr.”
MAT.3.3	Jon Baptais u, itəm Aesea, ien rəha Uhgɨn aupən, təmatəghat-in məmə, “Suah kit tətaun əpəh ikɨn taruən-aruən ikɨn matən məmə, ‘Itəmat, otol əpen-əpenə rəha Iərəmərə, kən motol rəhan suatɨp tətuatɨp.’”
MAT.3.4	Jon tatuwɨn e natɨmnat itəm kəmol e nɨməme nat megəh kit katən məmə kamel, kən rəhan kətəut kəmol e nuwigɨ kau, kən nɨgɨn nagwənən, tatun pitɨp ne nahui sukapak.
MAT.3.5	Kən netəmim tepət kəmotɨsɨ-pən Jerusalem, ne ikɨn mɨn nɨtən Jutia, ne ikɨn mɨn iuəhkɨr o nəhau əh Jotan, kəmotuwa məmə okotəplan Jon. 
MAT.3.6	Kən kəmotən-iarəp rəhalat nolən rat mɨn, kən in təmol baptais elat e nəhau əh Jotan.
MAT.3.7	Məto nian Jon təməplan məmə Farisi mɨn ne Satusi mɨn tepət kəmotuwa məmə otol baptais elat, kən təmən-ipən kəm ilat məmə, “!Itəmat nəkotahmen e təgəluə mɨn! Rəhatəmat nolən teko-eko. ?Nɨkitəmat təht məmə okəmə nəkoatol əm baptais u, kən onəkotagɨm tənin nalpɨnən ne neməha rəha Uhgɨn itəm otuwa? !Kəp!
MAT.3.8	Otol natɨmnat itəm koatəgətun məmə nəmotəuhlin nətəlɨgən rəhatəmat, motapəs pahrien nolən rat mɨn, kən motuwɨn o Uhgɨn.
MAT.3.9	“Kən sotən atɨpən kəm itəmat e nausitən məmə itəmat nəkotətuatɨp əm məto-inu itəmat noanol mɨn rəha Epraham. !Kəp! Inu nat əpnapɨn əm. Iatən kəm itəmat məmə nat əpnapɨn kəpiel mɨn əm, məto Uhgɨn tɨtun nəuhlinən ilat kotuwa noanol mɨn rəha Epraham.
MAT.3.10	Məto-inu roiu ne, Uhgɨn tɨnətul matɨp rəkɨs məmə otahtɨl-pən nɨg əpəh e nəukətɨn. Kən okəmə nɨg kit təsoe-inən noan itəm təwɨr, kən in otahtɨl mərakin-pən e nɨgəm.
MAT.3.11	“Roiu, iatol baptais etəmat e nəhau məto-inu, itəmat nəmotəuhlin rəhatəmat nətəlɨgən o nolən rat mɨn rəhatəmat. Məto etəmim kit otuwa itəm rəhan nəsanənən ne nepətən taprəkɨs-in io. Kən io ləhau agɨn, esahmen-pənən məmə ekɨləs rəhan put tahmen e rəhan iolwək. Kən suah əh, in otol baptais etəmat e Narmɨn Rəha Uhgɨn ne nɨgəm.
MAT.3.12	In tatətul matɨp o nakilən nolən rəha netəmim məmə otoor netəmim, tahmen-pən e etəm tətasum matoor nagwənən təwɨr ne nagwənən tərat. Tatos nagwənən təwɨr matuwɨn latuənu. Məto tatərakin-pən nagwənən tərat e nɨgəm asol itəm tatuəp namnun tɨkə.”
MAT.3.13	Kən Iesu təmiet e nɨtən Kalili muwa e nəhau Jotan məmə Jon otol baptais lan. 
MAT.3.14	Məto Jon tatən-iəhau əskasɨk in mən-ipən məmə, “Tətuatɨp əm məmə ik onəkol baptais lak. ?Tahro natuwa məmə ekol baptais lam?” 
MAT.3.15	Məto Iesu təmən-ipən kəm in məmə, “Kəp. Pəs otol nəhlan roiu. E nolən əh, kilau okioal nat kit itəm Uhgɨn tolkeike.” Kən Jon təmegəhan-in.
MAT.3.16	Kən Jon təmol baptais e Iesu, kən roiu agɨn Iesu təmər e nəhau, kən əmun nego e neai təmerəh, kən təməplan Narmɨn Rəha Uhgɨn təmeiuaiu-pa tahmen e mak, kən məpələh-pər lan.
MAT.3.17	Kən nəwia Uhgɨn təmɨsɨ-pən e neai matən məmə, “Inu nətɨk keike itəm iakolkeike pɨk, kən nɨkik tagien pɨk ron.”
MAT.4.1	Kən Narmɨn Rəha Uhgɨn təməghat-pən e nɨki Iesu məmə in otuwɨn əpəh ikɨn taruən-aruən ikɨn məmə Setan otos-ipən-os-ipən kəm in. Kən Iesu təmuwɨn ikɨn.
MAT.4.2	Kən Iesu təmapəs nagwənən o nian foti, e nərauiəgən ne lapɨn, kən uarisɨg lan nəumɨs təmus pɨk.
MAT.4.3	Kən Setan təmuwa mɨnatos-ipən-os-ipən kəm Iesu mən-ipən kəm in məmə, “Okəmə ik Nətɨ Uhgɨn, ən-ipən kəm kəpiel mɨn pəs kotəuhlin ilat motuwa motol pɨret lan.”
MAT.4.4	Məto Iesu təmuhalpɨn nəghatən rəha Setan məmə, “Kəməte e Naoa Rəha Uhgɨn məmə, ‘Netəmim okol kəsotatɨgən e nagwənən əm, məto okotatɨg e nəghatən mɨn rafin itəm tatɨsɨ-pən o Uhgɨn.’”
MAT.4.5	Kən Setan təmit Iesu mian əpəh Jerusalem, e nətuei nimə əpəh ilɨs agɨn e Nimə Rəha Uhgɨn,
MAT.4.6	kən mən-ipən kəm Iesu məmə, “Okəmə ik Nətɨ Uhgɨn, ətɨpən əpəh ləhau e nɨsɨp, məto-inu Naoa Rəha Uhgɨn tatən məmə, ‘Uhgɨn otən-ipən kəm rəhan nagelo mɨn məmə okoatehm wɨr ik, kən motɨləs əm ik ilɨs e nelmɨlat məmə nəkəsorinən nelkəm məsɨn ne e kəpiel.’”
MAT.4.7	Kən Iesu təmuhalpɨn nəghatən rəha Setan məmə, “Naoa Rəha Uhgɨn tatən mɨn məmə, ‘Okol nəkəsotos-ipən-os-ipənən kəm rəhatəmat Iərəmərə Uhgɨn məmə otol nat kit, kən məmə onəkotəplan məmə in tətatɨg itəmat min, o kəp.’”
MAT.4.8	Kən Setan təmit mɨn Iesu mian əpəh ilɨs e nɨtot asol, kən təməgətun in e kantri mɨn rafin e nətueintən, ne nəsanənən rəhalat, ne natɨmnat wɨr agɨn mɨn rafin itəm kotatɨg lan, 
MAT.4.9	kən təmən-ipən kəm Iesu məmə, “Natɨmnat rafin mɨn əh, oekos-ipɨnə kəm ik məmə onatərəmərə olat, okəmə nəkɨsin-pa nulɨm kən məfak-pa kəm io.”
MAT.4.10	Kən Iesu təmuhalpɨn rəhan nəghatən məmə, “!Uwɨn isəu, Setan! Naoa Rəha Uhgɨn tatən məmə, ‘Onəkotəfak əm kəm rəhatəmat Iərəmərə Uhgɨn, kən in əm, onəkotol əm rəhan nətəlɨgən.’”
MAT.4.11	Kən Setan təmagɨm mapəs Iesu, kən nagelo mɨn kəmotuwa motasitu lan.
MAT.4.12	Kən e nian əh, kəmaskəlɨm Jon Baptais kɨləs-ipən e kalapus. Kən nian Iesu təməto nəghatən lan, kən in təmiet muwɨn e nɨtən Kalili.
MAT.4.13	Kən təmapəs natɨgən Nasaret, kən miet muwɨn əpəh ləhau e taon kit, nərgɨn u Kapaneam, iuəhkɨr o Lek Kalili, kən mətatɨg ikɨn əh e nɨtən asol rəha noanol mɨn rəha Sepulun ne Naptali aupən. 
MAT.4.14	Təmuwɨn ikɨn əh məmə nəghatən rəha ien Aesea otuwa mol nɨpahrienən lan itəm təmən aupən məmə, 
MAT.4.15	“Nəptən rəha noanol rəha Sepulun, ne nəptən rəha noanol rəha Naptali tatəməhl e suatɨp tatuwɨn e lek Kalili, entənɨpən-pən e nəhau Jotan. Inu nɨtən asol Kalili, ima Iaihluə mɨn. 
MAT.4.16	Netəm ikɨn kəmotatɨg e napinəpən, məto kəmotəplan nəhag-əhagən asol kit. Kən tɨnatian, kən nəhag-əhagən asol təmasiəgəpɨn ilat itəm kəmotatɨg e napinəpən rəha nɨmɨsən u tatəfətain ilat nian rafin.”
MAT.4.17	Kən mətuoun e nian əh, Iesu təmatən-iarəp nəghatən rəha Uhgɨn matən məmə, “Otəuhlin itəmat e rəhatəmat nolən rat mɨn, kən motɨtəlɨg-pən o Uhgɨn, məto-inu nərəmərəən rəha Uhgɨn tɨnatuwa iuəhkɨr.”
MAT.4.18	Iesu təmətaliwək e nɨkalɨ Lek Kalili, kən məplan suah mil kəiu ilau pian, Antru ne Saimon, u nərgɨn kit mɨn u Pita. Ilau katuərakin net e Lek Kalili məto-inu ilau etəmim mil rəha niuwən nəm mɨn.
MAT.4.19	Kən təmən-ipən kəm ilau məmə, “Uea, mətəu-pa io, muea rəhak etəmim mil, kən io ekol itəmlau nakuea etəmim mil rəha niuwən netəmim məmə okotuwa rəhak mɨn netəmim.” 
MAT.4.20	Kən roiu agɨn, ilau kəmuapəs rəhalau net, kən muətəu-pən.
MAT.4.21	Kən Iesu təmaliwək muwɨn noan məsɨn mɨn, kən məplan suah mil kəiu mɨn ilau pian, nərgɨlau u Jemes ne Jon, nətɨ Sepeti mil. Katuəpələh e nɨpəgnoa pot iləhal rəhalau tata matuəhl wɨr rəhalau net mɨn, kən Iesu təmaun-in ilau məmə okuea miauarisɨg-in in. 
MAT.4.22	Kən roiu agɨn, ilau kəmuətul muapəs pot ne tata rəhalau, kən muətəu-pən Iesu.
MAT.4.23	Kən Iesu təmaliwək ikɨn mɨn rafin e nɨtən Kalili, matəgətun netəmim əpəh e nimə mɨn rəha nuəfɨmɨnən, kən matən-iarəp namnusən təwɨr rəha nərəmərəən rəha Uhgɨn kəm netəmim, kən matol-wɨr netəmim itəm koatɨmɨs e nɨmɨsən rafin, ne netəmim itəm nɨpətɨlat tərat o nɨmɨsən rafin.
MAT.4.24	Kən namnusən e Iesu təmɨtəlau rafin e profens ikɨn Siria, kən netəmim kəmotəmɨk netəmim rafin itəm koatɨmɨs motuwa o Iesu, rəhalat nɨmɨsən tol min-nulan: neen koatɨmɨs, neen nɨpətɨlat tɨtahmə, neen narmɨn rat tətatɨg elat, neen koatos nɨmɨsən rəha mənɨg moataut, kən neen nɨpətɨlat məsɨn təmɨmɨs. Məto Iesu təmol-wɨr ilat.
MAT.4.25	Kən nɨmanin netəmim kəmotiet e nɨtən Kalili, ne ikɨn Tekapolis, ne Jerusalem əpəh Jutia, ne ikɨn pɨsɨn mɨn neen əpəh Jutia, ne ikɨn mɨn entənɨpən-pən e nəhau Jotan, kən ilat rafin kəmotuarisɨg-in Iesu.
MAT.5.1	Nian Iesu təməplan nɨmanin netəmim itəm koatətəu-pən in, kən in təmuwɨn əpəh ilɨs e nɨtot, kən məpələh, kən rəhan netəmim itəm koatuarisɨg-in in, ilat kəmotuwa. 
MAT.5.2	Kən mɨnətuoun matəgətun ilat.
MAT.5.2	Iesu təmən məmə,
MAT.5.3	“Nakoatatɨg e nəwɨrən pahrien nian nəkoatɨləs-iəhau itəmat, moatən e nɨkitəmat məmə nakoatəkul-pən əm e Uhgɨn. In nəwɨrən pahrien məto-inu, itəmat netəmim rəha Uhgɨn, kən in tatərəmərə etəmat.
MAT.5.4	Nakoatatɨg e nəwɨrən pahrien nian nakoatasək kən nɨkitəmat tɨtahmə.
MAT.5.5	Nakoatatɨg e nəwɨrən pahrien nian nəsotos-ipər atɨpən itəmat. In nəwɨrən pahrien məto-inu, o nian kit Uhgɨn otos-ipɨnə nətueintən kəm itəmat u rəhan mɨn.
MAT.5.6	Nakoatatɨg e nəwɨrən pahrien nian nakotolkeike pɨk e nɨkitəmat rafin agɨn məmə nəmegəhən rəhatəmat okotətuatɨp e nɨganəmtɨ Uhgɨn. In nəwɨrən pahrien məto-inu, Uhgɨn otol rəhatəmat nəmegəhən kotətuatɨp e nɨganəmtɨn.
MAT.5.7	Nakoatatɨg e nəwɨrən pahrien nian nakotasəkitun netəmim. In nəwɨrən pahrien məto-inu, Uhgɨn otasəkitun itəmat.
MAT.5.8	Nakoatatɨg e nəwɨrən pahrien nian nɨkitəmat tətuatɨp məwɨr. In nəwɨrən pahrien məto-inu, onəkotəplan Uhgɨn.
MAT.5.9	Nakoatatɨg e nəwɨrən pahrien nian itəmat netəmim rəha nələhəuən nəməlinuən. In nəwɨrən pahrien məto-inu, okaun-in itəmat məmə nenətɨ Uhgɨn.
MAT.5.10	Nakoatatɨg e nəwɨrən pahrien nian nəkoatol natɨmnat itəm kotətuatɨp e nɨganəmtɨ Uhgɨn, kən netəmim koatol tərat kəm itəmat ron. In nəwɨrən pahrien məto-inu, itəmat netəmim rəha Uhgɨn, kən in tatərəmərə etəmat.
MAT.5.11	“Nakoatatɨg e nəwɨrən pahrien nian netəmim koatol natɨmnat mɨn tərat kəm itəmat məto-inu itəmat netəmim rəhak, inəh koatən rat itəmat, kən moatərəkɨn itəmat, kən moateiuə-in itəmat moatən nəghatən tərat mɨn moatərəkɨn itəmat lan.
MAT.5.12	Nɨpahrienən, netəmim kəmoatol nolən ahmen mɨn əm kəm ien mɨn aupən ikɨn itəm ilat koatol kəm itəmat. Kən otagien pɨk, məto-inu nətouən asol rəhatəmat tətatɨg əpəh e nego e neai.
MAT.5.13	“Itəmat nəkotahmen e sol kəm netəmim rafin e nətueintən.
MAT.5.14	Itəmat nəhag-əhagən rəha netəmim e nətueintən. Taon itəm kəmol əpəh ilɨs e nɨtot, okol təsəhluaigən.
MAT.5.15	Kən etəmim kit tɨkə məmə otasiepən e lait, kən məfətain-iəhau e kətɨm. Kəp, nian tasiepən e lait, kən in otəkəike mətu-pər ikɨn lait tatəpələh ikɨn məmə lait otasiəgəpɨn rafin nɨpəgnoa nimə o netəmim rafin.
MAT.5.16	Kən e nolən ahmen mɨn əm, otol rəhatəmat lait e nəmegəhən rəhatəmat tasiə məmə netəmim okotəplan wək wɨr mɨn itəm itəmat nəkoatol, kən ilat okotɨləs-ipər nərgɨ tata Uhgɨn itəm tətatɨg e nego e neai.”
MAT.5.17	Kən Iesu təmatəkəike matən-ipən kəm ilat məmə, “Təsəwɨrən məmə nɨkitəmat otəht məmə emuwa məmə ekərakin Lou itəm Uhgɨn təmos-ipən kəm Moses ne ien mɨn aupən. !Kəp! Eməsuwamən məmə ekərakin ilat, məto emuwa məmə ekol nɨpətɨ nəghatən mɨn əh okotuwa motol nɨpahrienən.
MAT.5.18	Pahrien, iatən kəm itəmat məmə nian nəptən ne neai kətuatɨg, kən Lou, in mɨn otatɨg. Kən okol nat kit otəsɨkəən lan, nat əpnapɨn in leta əkəku agɨn, kən Lou otətul motol wək mətoarus-pa nəghatən mɨn rafin rəha Lou kotuwa motol nɨpahrienən lan.
MAT.5.19	Kən, o nat əh inəh, suah kit itəm tapəs Lou matəgətun netəmim mɨn məmə ilat mɨn okotapəs, nat əpnapɨn in Lou kit ləhau agɨn, kən okotaun-in suah əh məmə in ləhau agɨn e nərəmərəən rəha Uhgɨn. Məto suah kit itəm tatol Lou mɨn əh, matəgətun netəmim lan, kən okotaun-in suah əh məmə in ilɨs agɨn e nərəmərəən rəha Uhgɨn.
MAT.5.20	Iatən nəhlan kəm itəmat məto-inu, rəhatəmat nolən otəkəike mətuatɨp wɨr agɨn e nɨganəmtɨ Uhgɨn, taprəkɨs-in nolən mɨn rəha Farisi mɨn ne iəgətun mɨn rəha Lou itəm nɨkilat əm təht məmə kotətuatɨp wɨr. Okəmə rəham nolən təsətuatɨp wɨrən nəhlan, kən okol nəsuwɨnən matɨg ahgin nərəmərəən rəha Uhgɨn.”
MAT.5.21	Kən Iesu təmən mɨn məmə, “Itəmat nəmotəto rəkɨs nəghatən itəm iəgətun mɨn kəmotən kəm pipi rat mɨn rəhatəmat aupən. Ilat kəmotən məmə, ‘Əsotohamnuən etəmim,’ kən ‘Etəmim itəm təmohamnu itəm, otəkəike mətul e nɨganəmtɨ kot mos nalpɨnən.’
MAT.5.22	Məto io iatən kəm itəmat məmə,
