MAT.1.1	Ginn kaw lə Jeju Kirisitɨ kɨ ngonnkaw *Dabidɨ, kɨ ngonnkaw *Abiraham ə to kin: 
MAT.2.6	Kadɨ in gəri tokɨ rɔta’tɨ,
MAT.2.6	Ɓe lə’se in kɨ nda’a goto el jagɨ dann ɓebo’gɨ’tɨ kɨ dɔnangɨ kɨ Jude’tɨ, kɨ nda’de to’tɨ,
MAT.2.6	Tadɔ ngar kɨ njekɔrnon de’gɨ lə’m, Isirayel’gɨ a te dann’se’tɨ
MAT.2.7	Lo kin’tɨ, Erodɨ ɓar nje nyagər’gɨ kɨ dɔ mee’gɨ’tɨ gidɨ kuwə, dəjɨ’de ke dɔkagilo kɨ ra inɓe bangɨ ə mee te’n wa? 
MAT.2.8	Ningə go’tɨ, ulə’de Betilehem’tɨ ene: «Ai dəji ta kɨ rɔta’tɨ dɔ ngonn’tɨ kin. Lokɨ ingəi’ə ningə, rei eli’m’in adɨ m’in kaa m’aw m’ɔsɨ məkəsɨ’m nanga non’a’tɨ tɔ.»
MAT.2.9	Go ta’tɨ lə ngar kin ningə, nje nyagər’gɨ osi dɔ row’tɨ isɨ awi. Ə lokɨ isɨ awi ningə nyɨ oyi mee kɨ oyi’ə lo kuwə kadɨ’tɨ kakin ə ra njiyə non’de’tɨ. Njiyə re te dɔ kəy’tɨ kɨ ngonn to’tɨ ningə, ra lokatɨ. 
MAT.2.10	Lokɨ oyi mee kin, rɔ’de nəl’de ngayn. 
MAT.2.11	Ə uri me kəy’tɨ ningə, oyi ngonn in kɨ kon’a Mari, ningə ɔsi məkəsɨ’de nanga, piti’ə. Go’tɨ, tei ta ɓɔl’gɨ lə’de, adi’ə ɔr, kɨ ndujɨ kagɨ kɨ ətɨ majɨ, kɨ nom kagɨ. 
MAT.2.12	Go nya’gɨ’tɨ kin, Luwə el’de me nii’tɨ kadɨ təli gogɨ kɨ row kɨ dɔ Erodɨ’tɨ el. Be ə, təli awi ɓe lə’de kɨ row kɨ rangɨ.
MAT.2.13	Lokɨ nje nyagər’gɨ awi ningə, malayka lə Burəɓe te me nii’tɨ el Jisepɨ ene: «Ində taa un ngonn in kɨ kon’a, ə anyi aw se’de Ejipitɨ. Aw sɨ’tɨ non bitɨ kadɨ m’in m’el’i ɓay taa in təl re se’de, tadɔ Erodɨ a sangɨ kadɨ n’tɔl ngonn kin.»
MAT.2.14	Jisepɨ ində taa kondɔ’tɨ non, un ngonn in kɨ kon’a, ningə anyi aw se’de Ejipitɨ’tɨ. 
MAT.2.15	Sɨ’tɨ non bitɨ koy Erodɨ, adɨ ta kɨ Burəɓe el kɨ ndu njekeltakita’a’tɨ ene: «M’ɓar ngonn’m kadɨ te me ɓe’tɨ kɨ Ejipitɨ kɔ
MAT.2.16	Lokɨ Erodɨ oo kadɨ nje nyagər’gɨ ədi’ə, wongɨ ra’a ngayn. Wongɨ ra’a adɨ un ndu’ne kadɨ tɔli ngann’gɨ kɨ kasɨ kɨ in dɔ ɓal kɨ joo’tɨ təl kɨ nanga ne pətɨ me ɓe’tɨ kɨ Betilehem, kɨ ngann ɓe’gɨ kɨ gidɨ’tɨ. Ɓal kin in kigo dɔkagilo’tɨ kɨ nje nyagər’gɨ ɔji’ə’n’ə. 
MAT.2.17	Be ə, ta lə njekeltakita Luwə’tɨ Jeremi, kɨ el tɔl’n ta’ne. Jeremi ene:
MAT.2.18	«Ndu’de ɓar me ɓe’tɨ kɨ Rama,
MAT.2.18	non’gɨ kɨ ndingərɔ’gɨ kɨ ətɨ ɓol ngayn.
MAT.2.18	Rasel non ngann’ne’gɨ,
MAT.2.18	Ndigɨ kadɨ de sɔl me’ne el,
MAT.2.18	Tadɔ gotoi
MAT.2.19	Lokɨ Erodɨ oy nga ningə, go koy’o’tɨ, malayka lə Burəɓe te kɨ rɔ Jisepɨ’tɨ, Ejipitɨ’tɨ me nii’tɨ, el’ə ene: 
MAT.2.20	«Ində taa, un ngonn kɨ kon’a, ə təli awi dɔnangɨ Isirayel’tɨ gogɨ, tadɔ de’gɨ kɨ isɨ sangi kadɨ n’tɔli ngonn kaa oyi nga.» 
MAT.2.21	Jisepɨ ində taa, un ngonn kɨ kon’a, ə təli awi dɔnangɨ Isirayel’tɨ gogɨ. 
MAT.2.22	Nan lokɨ oo kadɨ Arkelosɨ onɓe dɔ Jude’tɨ tor baw’ne Erodɨ’tɨ, ɓol ra’a kadɨ aw Jude’tɨ. Be ə, Luwə el’ə me nii’tɨ ad’a aw Galile’tɨ yo. 
MAT.2.23	Aw isɨ me ɓebo’tɨ kɨ ɓari’ə Najaretɨ. Be kadɨ ta kɨ de’gɨ kɨ njekeltakita Luwə’tɨ eli eyina: «A ɓari’ə de kɨ Najaretɨ’tɨ kin tɔl’n ta’ne.»
MAT.3.1	Ɓal’gɨ dər go’tɨ, Jan Batisɨ te, iləmbər diləlo’tɨ kɨ Jude ene: 
MAT.3.2	«Inyəi gorow njiyə’se’gɨ kɨ majel kɔ, tadɔ Konɓe lə Luwə in ndəkba.» 
MAT.3.3	Jan Batisɨ ə, in de kɨ njekeltakita Luwə’tɨ Ejay elta dɔ’a’tɨ ene: «Ndu de madɨ ɓar diləlo’tɨ ene:
MAT.3.3	“Rai gorow lə Burəɓe!
MAT.3.3	Rai gorow li’ə adɨ ra njururu
MAT.3.4	Jan ulə ku kɨ in kɨ ra kɨ bin jambal rɔ’ne’tɨ, ningə dɔ me’ne kɨ ndar tɔ. Nyakusɔ’a in giwiri’gɨ kɨ təjɨ. 
MAT.3.5	De’gɨ kɨ ɓebo Jerujalem’tɨ, kɨ dɔnangɨ Jude’tɨ pətɨ, kɨ dɔnangɨ kɨ kadɨ ba Jurden’tɨ pətɨ, rei rɔ Jan’tɨ. 
MAT.3.6	Rei tɔri ndu’de dɔ majel’gɨ’tɨ lə’de, adɨ Jan ra’de batəm me ba Jurden’tɨ.
MAT.3.7	Lokɨ Jan oo adɨ *Parisɨ’gɨ kɨ *Sadusi’gɨ ngayn rei kadɨ ra’de batəm ningə, el’de ene: «Ingɨ kɨ mann’se majel to mann lii pir’gɨ be kam, nan ɔjɨ’se row kadɨ anyinan wongɨ lə Luwə kɨ a re ə? 
MAT.3.8	Majɨ kadɨ kulə ra’se tɔjɨ kadɨ in de’gɨ kɨ inyəi gorow njiyə’se kɨ majel kɔ. 
MAT.3.9	Ningə, kadɨ inyəi ta kɔjɨ me’se’tɨ kene: “J’in ngann kaw Abiraham.” Tadɔ, adɨ m’el’se, Luwə asɨ kadɨ a təl gajɨ mbal’gɨ kam ngann kaw Abiraham’tɨ kare. 
MAT.3.10	Kɨ ngɔsine kin, kungə in ndəkba kadɨ tugə kagɨ’gɨ ngirə’de’tɨ gangɨ nga. Kagɨ kɨ ra kɨ andɨ majɨ el ə, a tugəi’ə kadɨ iləi’ə me por’tɨ kɔ. 
MAT.3.11	M’in, m’ra’se batəm me mann’tɨ, kadɨ tɔjɨ tokɨ inyəi gorow njiyə’se’gɨ kɨ majel kɔ, nan de kɨ a re go’m’tɨ, in nje tɔgɨ kɨ utə’m sanyi. M’asɨ kadɨ sa kɨ nja’a’tɨ kaa m’ɔr el. In a ra’se batəm me Ndil Luwə’tɨ, kɨ me por’tɨ. 
MAT.3.12	Uwə keh to nya ji’ne’tɨ kadɨ to’n kandɨ ko kɨ majɨ, ɔy me dam’tɨ, ningə ulə tisə por. In por kɨ a oy el ratata.»
MAT.3.13	Lo kin’tɨ non, Jeju in Galile’tɨ, re ta ba Jurden’tɨ rɔ Jan’tɨ, kadɨ ra’a batəm. 
MAT.3.14	Nan Jan ge kɔdɨ el, adɨ el ene: «In m’in ə kadɨ in, ra’m batəm, ningə in yo ta in təl re rɔ’m’tɨ kadɨ m’ra’i batəm ɓay tɔ wa?» 
MAT.3.15	Nan Jeju el’ə ene: «Kɨ ngɔsine kin, in ra be, tadɔ in kigo’ə kin ə j’a jɨ tɔl’n ta ndigɨ lə Luwə.» Be ə, Jan ndigɨ dɔ’tɨ, ra’a’n’ə batəm. 
MAT.3.16	Lokɨ Jeju ra batəm taa par, ə te me mann’tɨ ningə, low’ə’tɨ non, dɔran te ta’ne, adɨ oo Ndil Luwə risɨ to dər dum be re isɨ dɔ’a’tɨ. 
MAT.3.17	Ningə, ndu ta madɨ te dɔran’tɨ, ene: «In kam in Ngonn’m njendigɨ lə’m, kɨ rɔ’m nəl’m dɔ’a’tɨ ngayn.
MAT.4.1	Go’tɨ, Ndil Luwə ɔrnon Jeju aw si’ə diləlo’tɨ, kadɨ Su nan’a. 
MAT.4.2	Jeju ɔgɨ rɔ’ne nyakusɔ, kondɔ dɔsɔ kɨ kadɨ, dɔsɔ, ə go’tɨ ɓo ra’a. 
MAT.4.3	Lo kin’tɨ, Su, njenan de’gɨ ɔtɨ re rɔ’a’tɨ, el’ə ene: «Re in Ngonn lə Luwə ə, adɨ mbal’gɨ kin təli mapa adɨ m’oo.» 
MAT.4.4	Ə Jeju ilə’tɨ ene: «Ndangi me makitu’tɨ lə Luwə eyina: De a isɨ kɨ dɔ’ne taa kɨ takul nyakusɔ par el, nan kɨ takul ta’gɨ pətɨ kɨ tei ta Luwə’tɨ tɔ
MAT.4.5	Go’tɨ, Su aw kɨ Jeju me ɓebo’tɨ kɨ Jerujalem, kɨ in ɓebo kɨ to ta dangɨ tadɔ Luwə, aw si’ə jam dɔ Kəy’tɨ lə Luwə taa, 
MAT.4.6	ningə el’ə ene: «Re in Ngonn lə Luwə ə, inyə ji’i taa osɨ adɨ m’oo. Tadɔ ndangi me makitu’tɨ lə Luwə eyina: “Luwə a adɨ ndu’ne malayka’gɨ lə’ne kadɨ a lai’nu dala ji’de’tɨ, kadɨ nja’i tugə mbal el
MAT.4.7	Jeju təl el’ə ene: «Ndangi me makitu’tɨ lə Luwə tɔ eyina: A nan Burəɓe Luwə lə’i el
MAT.4.8	Su təl aw kɨ Jeju dɔ mbal’tɨ kɨ ngal taa ngayn ɓay, ɔj’ɔ konɓe’gɨ kɨ dɔnangɨ’tɨ ne pətɨ, kɨ nyakingə’gɨ kɨ me’tɨ, 
MAT.4.9	ningə el’ə ene: «M’a m’ad’i nya’gɨ kin pətɨ, lokɨ re ɔsi məkəs’i nanga non’m’tɨ ə ulə tɔjɨ dɔ’m’tɨ.» 
MAT.4.10	Jeju təl el’ə ene: «In *Satan, ɔtɨ kɔ sanyi. Tadɔ ndangi me makitu’tɨ lə Luwə eyina: “A ɔsikurə Burəɓe Luwə’tɨ lə’i, ningə in kɨ kar’ne ba par ə a re non’a’tɨ kadɨ in gos’o
MAT.4.11	Be ə, Su inyə Jeju ə ɔtɨ aw. Ningə malayka’gɨ rei rɔ Jeju’tɨ, rai si’ə.
MAT.4.12	Dɔkagilo madɨ, uwəi Jan dangay’tɨ, ə Jeju oo ta’a ningə, təl ɔr rɔ’ne aw Galile’tɨ. 
MAT.4.13	Nan kin ə, inyə ɓebo kɨ Najaretɨ, ə aw isɨ Kapernayim’tɨ yo. Kapernayim kɨ in ɓebo kɨ ra kadɨ ba’tɨ kɨ Galile, dɔnangɨ’tɨ lə Jabulon ge kɨ Nepitali ge. 
MAT.4.14	Be kadɨ tɔlta ta kɨ njekeltakita Luwə’tɨ Ejay el ene:
MAT.4.15	«In de’gɨ kɨ Dɔnangɨ Jabulon’tɨ kɨ dɔnangɨ Nepitali’tɨ,
MAT.4.15	Kɨ sii ndəkba kadɨ babo’tɨ,
MAT.4.15	Gidɨ ba Jurden’tɨ,
MAT.4.15	In de’gɨ kɨ dɔnangɨ Galile’tɨ,
MAT.4.15	Kɨ in de’gɨ kɨ in Juwipɨ’gɨ el!
MAT.4.15	Uri mbi’se oyi:
MAT.4.16	De’gɨ kɨ kete sii lo kɨ ndul’tɨ,
MAT.4.16	Oyi kunjɨ kibo,
MAT.4.16	Ningə de’gɨ kɨ kete sii ɓe lə yo,
MAT.4.16	Kɨ in lo kɨ ndul kururu,
MAT.4.16	Lo kunjɨ te dɔ’de’tɨ
MAT.4.17	Dɔ gangɨ lowə’tɨ kin, Jeju ulə ngirə kiləmbər ene: «Inyəi gorow njiyə’se’gɨ kɨ majel kɔ, tadɔ Konɓe lə Luwə in ndəkba rɔ’se’tɨ.»
MAT.4.18	Ndɔ kare, Jeju ra njiyə kadɨ babo’tɨ, kɨ Galile ningə oo ngannkon’a’gɨ joo: adɨ in Simon kɨ ɓari’ə Piyər ingɨ kɨ ngonnkon’ne Andire kɨ in njendon kanjɨ’gɨ, a iləi bandɨ me mann’tɨ. 
MAT.4.19	Jeju el’de ene: «Rei go’m’tɨ adɨ m’ndo’se, kadɨ in təli nje sangi de’gɨ adɨ m’in kadɨ ingəi kajɨ.» 
MAT.4.20	Kalangiba, inyəi bandɨ’gɨ lə’de, ə awi uni go Jeju. 
MAT.4.21	Jeju ɔtɨ kɨ kete nden ningə, oo ngannkon’nan’gɨ kɨ rangɨ joo: Jakɨ in kɨ Jan kɨ in ngann lə Jebede, sii me to’tɨ kɨ baw’de, isɨ rai go bandɨ’gɨ lə’de, ə ɓar’de. 
MAT.4.22	Lokɨ Jeju ɓar’de ningə, kalangɨ ba, inyəi baw’de Jebede kɨ to, ə awi uni go Jeju.
MAT.4.23	Jeju njiyə dɔnangɨ Galile’tɨ ba pətɨ, ndo nya de’gɨ me kəykawnan’gɨ’tɨ lə Juwipɨ’gɨ, iləmbər Poyta kɨ majɨ kɨ ɔjidɔ Konɓe lə Luwə, taa ajɨ njemonyi’gɨ kɨ njerɔto’gɨ kɨ dann de’gɨ’tɨ tɔ. 
MAT.4.24	Tɔɓar li’ə sanan dɔnangɨ’tɨ kɨ Siri ba pətɨ, adɨ rei kɨ de’gɨ pətɨ kɨ rɔ’de ra’de, njerɔto’gɨ kɨ dangɨ dangɨ, nje kɨ ndil’gɨ kɨ majel rai’de ge, njedamsil’gɨ ge kɨ njerɔkoy njururu’gɨ ge, adɨ ajɨ’de. 
MAT.4.25	Bulə de’gɨ ngayn rei go Jeju’tɨ. Nje kin dɔnangɨ Galile’tɨ ge, dɔnangɨ Ɓebo’gɨ’tɨ kɨ Dɔgɨ ge, ɓebo Jerujalem ge, kɨ dɔnangɨ Jude’tɨ ge, kɨ dɔnangɨ kɨ gidɨ ba Jurden’tɨ ge.
MAT.5.1	Lokɨ Jeju oo bulə de’gɨ kin ningə, ɔtɨ aw isɨ dɔ mbal’tɨ, adɨ njendo’gɨ li’ə rei rɔ’a’tɨ. 
MAT.5.2	Lo kin’tɨ, Jeju ilə rɔ’ne ndo nya de’gɨ ene:
MAT.5.3	«Majikur in lə nje kɨ oyi rɔ’de kadɨ n’asi el takum Luwə’tɨ,
MAT.5.3	tadɔ Konɓe lə Luwə in yan’de.
MAT.5.4	Majikur in lə nje kɨ isɨ nonyi ɓone,
MAT.5.4	tadɔ lo ti ə Luwə a sɔl me’de.
MAT.5.5	Majikur in lə nje kɨ sɔli lɔm lɔm,
MAT.5.5	tadɔ Luwə a adɨ’de dɔnangɨ kadikare’tɨ.
MAT.5.6	Majikur in lə nje kɨ ɓo kɨ kundə ra nya kigo ndu Luwə’tɨ in me de’tɨ,
MAT.5.6	tadɔ lo ti ə a ndanni.
MAT.5.7	Majikur in lə nje kɨ isɨ oyi kumtondoo lə de’gɨ,
MAT.5.7	tadɔ Luwə a ra se’de majɨ.
MAT.5.8	Majikur in lə nje kɨ me’de in kare dɔ Luwə’tɨ,
MAT.5.8	tadɔ a oyi Luwə kɨ kum’de.
MAT.5.9	Majikur in lə nje kɨ isɨ sangi row lapiya,
MAT.5.9	tadɔ a ɓari’de ngann’gɨ lə Luwə.
MAT.5.10	Majikur in lə nje kɨ de’gɨ isɨ adi’de kon tadɔ nyara kɨ dana,
MAT.5.10	tadɔ Konɓe lə Luwə in yan’de.
MAT.5.11	Majikur in lə’se lokɨ de’gɨ isɨ taji’se ge, isɨ adi’se kon ge, isɨ tətita dɔ’se’tɨ ge tadɔ lə’m. 
MAT.5.12	Rai rɔnel, tiləi kole, tadɔ nyakugə goji’se in ngayn dɔran’gɨ’tɨ. *Njekeltakita Luwə’tɨ, kɨ rai kulə kete non’se’tɨ, ingəi kon kin be tɔ.
MAT.5.13	«Ingɨ ə in katɨ kɨ dɔnangɨ’tɨ. Ningə kin ə mbann katɨ goto ə, de a ra bann ə kadɨ katɨ təl mbann gogɨ ɓay wa? Maj’a goto nga; a ɓuki’ə kɔ gidɨ lo’tɨ kadɨ de’gɨ njiyəi dɔ’tɨ par nga.
MAT.5.14	«Ingɨ ə in kunjɨ kɨ dɔnangɨ’tɨ. Ningə ɓebo kɨ indəi’ə dɔ mbal’tɨ taa, asɨ kadɨ a iyə rɔ’ne el. 
MAT.5.15	De a ində por lambɨ’tɨ re’n kəy ə dow ngo dɔ’tɨ el. A ində dɔ nya’tɨ taa kadɨ de’gɨ kɨ me kəy’tɨ pətɨ oyi lo. 
MAT.5.16	Be tɔ ə, kadɨ de’gɨ pətɨ oyi kunjɨ lə’se me nyara kɨ majɨ’tɨ. Lokɨ oyi nya ra’se kɨ majɨ ningə, a uləi tɔjɨ dɔ Baw’se Luwə’tɨ kɨ isɨ dɔran’tɨ.
MAT.5.17	«Majɨ kadɨ in məri tokɨ m’re kadɨ m’bujɨ ndukun’gɨ lə *Mojɨ eke ta lə njekeltakita Luwə’tɨ el. M’re tadɔ bujɨ’de el, nan m’re tadɔ tɔl ta’de yo. 
MAT.5.18	Tokɨ rɔta’tɨ, m’el’se, kete non kadɨ dɔran in kɨ dɔnangɨ kin a gotoi kɔ, ngonn kur ta kɨ nden be, eke ngonn ndaja madɨ kɨ me ndukun’tɨ lə Luwə kɨ ndangi kɨ a ɔr kɔ goto. A to be bitɨ kadɨ nya’gɨ pətɨ kɨ ndangi me’tɨ rai nya. 
MAT.5.19	De kɨ aldɔ ngonn mbərkikində kɨ nden be dann mad’a’gɨ’tɨ, ə ndo de’gɨ kadɨ rai tokɨ in ra’n be tɔ ningə, a in kɨ du ngayn me Konɓe’tɨ lə Luwə tɔ. Nan de kɨ təl rɔ’ne go’tɨ, ə ndo de’gɨ, a in kibo me Konɓe’tɨ lə Luwə. 
MAT.5.20	Adɨ m’el’se: kin ə nyara kɨ dana lə’se utə nya njendo ndukun’gɨ lə Luwə kɨ Parisɨ’gɨ el ə, a uri me Konɓe’tɨ lə Luwə el.
MAT.5.21	«Ingɨ, in gəri majɨ tokɨ ndu ta el kaw’je’gɨ ene: “A tɔl de el,
MAT.5.22	Nan m’in m’el’se: «De kɨ ra wongɨ kɨ ngonnkon’ne, majɨ kadɨ awi si’ə non njegangɨ ta’gɨ’tɨ; de kɨ tajɨ ngonnkon’ne “mbo”, majɨ kadɨ awi si’ə non njegangɨ ta’gɨ’tɨ kibo lə Juwipɨ’gɨ; ə de kɨ ɓar ngonnkon’ne “man”, majɨ kadɨ iləi’ə me por’tɨ kɨ bitɨ kɨ non’tɨ. 
MAT.5.23	Kin ə aw kɨ kadikare lə’i ringiri lo kilə kadikare’tɨ kadɨ Luwə, ə me’i olo dɔ’tɨ kadɨ ngonnkon’i aw sə’i kɨ ta madɨ ningə, 
MAT.5.24	majɨ kadɨ inyə kadikare kin non ringiri’tɨ, ə in re aw ulə noji nan’tɨ si’ə ɓay taa in təl re un kadikare lə’i adɨ Luwə.
MAT.5.25	«Kin ə isɨ awi lo gangita’tɨ kɨ nje ta lə’i ə, lokɨ in dɔ row’tɨ ɓay kin ə, in sangɨ row kadɨ ndu’se osɨ go nan’tɨ si’ə kalangɨ, nan to aw sə’i uləi ji njegangita’tɨ, adɨ njegangɨ ta uni uləi ji njerɔ’gɨ’tɨ, adɨ njerɔ’gɨ awi sə’i iləi’nu dangay’tɨ. 
MAT.5.26	Tokɨ rɔta’tɨ adɨ m’el’i, a te lo kin’tɨ el bitɨ kadɨ ugə dɔboy sisi ɓay taa a inyəi’nu taa.
MAT.5.27	«In gəri ndu kɨ el ene: “A uwə marum el
MAT.5.28	Nan m’in m’el’se: “De kɨ gon dene kɨ kumnda ə, uwə si’ə marum me’ne’tɨ nga.” 
MAT.5.29	Kin ə kum’i kɨ dɔjikɔl’i’tɨ rai adɨ osɨ me majel’tɨ ə, ɔr’ɔ ilə kɔ sanyi. Tadɔ in sotɨ kadɨ ngonn rɔ’i kare goto, utə kadɨ iləi darɔ’i ba pətɨ me por’tɨ kɨ bitɨ kɨ non’tɨ. 
MAT.5.30	Kin ə ji kɔl’i rai adɨ osɨ me majel’tɨ ə, in gang’a ilə kɔ sanyi. Tadɔ, in sotɨ kadɨ ngonn darɔ’i kare goto, utə kadɨ iləi darɔ’i ba pətɨ me por’tɨ kɨ bitɨ kɨ non’tɨ.
MAT.5.31	«In gəri kadɨ ndukun el ɓay tɔ ene: “Re de tuwə ne’ne ningə, kadɨ ad’a makitu gangɨ nan
MAT.5.32	Nan m’in m’el’se tokɨ: “Re de tuwə ne’ne tadɔ nya kɨ rangɨ, um in ta lə kaya kɨ ra el ə, de’ə kin sur’ə ta kuwə marum’tɨ. A re de ta dene kɨ ngaw’a tuwə ningə, de’ə kin təl njekuwə marum tɔ.”
MAT.5.33	«Ndu ta el kaw’je’gɨ kete ɓay tɔ ene: “Re iw rɔ’i dɔ nya madɨ’tɨ ə, ra dɔ’tɨ, kadɨ in ra nya kɨ iw rɔ’i dɔ’tɨ non Burəɓe’tɨ
MAT.5.34	Nan m’in m’el’se tokɨ a iw rɔ’i el to kiw el. A iw rɔ’i kɨ dɔran el, tadɔ in kumbər kisɨ Luwə; 
MAT.5.35	a iw rɔ’i kɨ dɔnangɨ el, tadɔ in kumbər kində nja’a; a iw rɔ’i kɨ Jerujalem el, tadɔ in ɓebo lə Ngar kibo; 
MAT.5.36	a iw rɔ’i kɨ jam dɔ’i el, tadɔ in asɨ kadɨ in təl bin dɔ’i kare be kaa kɨ nda’tɨ eke kɨ ndul’tɨ el. 
MAT.5.37	Re ta lə’se in oyo ningə, rai dɔ oyo’tɨ, re ta lə’se in jagɨ ningə, rai dɔ jagɨ’tɨ par tɔ, ə ndəgɨ ta pətɨ kɨ a re go’tɨ kin in rɔ Su’tɨ.
