MAT.1.1	Yesu Kristu kaweriti mwiwuka gwa Dawudi na mwiwuka gwa Aburahamu. Ayi ndo walanga ya ukowu wakuwi,
MAT.1.19	Yosefu mpalu gwakuwi kaweriti kamfiriziya Mlungu, kafiriti ndiri kumlanguziya kwa wantu kuwera kana vidoda, Hangu kafiriti kumleka kwa bada. 
MAT.1.20	Pakaweriti kankali kankulihola hangu, ntumintumi gwa kumpindi gwa Mtuwa kamulawira mukulota na kumgambira, “Yosefu mwana gwa Dawudi, nagutira kumtola Mariya kaweri mdala gwaku. Mana kana yinda kwa uwezu wa Rohu Mnanagala. 
MAT.1.21	Hakamwiwuli mwana mpalu, nagwenga hagumshemi Yesu, toziya yomberi ndo hakawalopoziyi wantu kulawa muvidoda vyawu.”
MAT.1.22	Vinu, vyoseri avi vilawira su viweri nakaka visoweru vyakatakuliti Mtuwa kupitira mbuyi gwa Mlungu, 
MAT.1.23	“Mwali hakaweri na yinda, hakamwiwuli mwana mpalu na womberi hawamshemi litawu lyakuwi Imanuweri.” Mana yakuwi, “Mlungu kapamuhera na twenga”.
MAT.1.24	Su, Yosefu pakimkiti mumpota katenditi gambira vyakamgambiriti ulii ntumintumi gwa kumpindi gwa Mtuwa, kamtola mdala gwakuwi ukaya. 
MAT.1.25	Kumbiti Yosefu waliwoniti ndiri na Mariya mpaka pakamwiwuliti mwana mpalu. Yosefu kamupananiti mwana litawu Yesu.
MAT.2.1	Yesu kiwukiti mlushi lwa Betirehemu, muliboma lya Yudeya, shipindi Herodi pakaweriti mfalumi. Kamkamu hera pakiwukiti kala, wantu wana malifa ga ntondu wiziti kulawa kwagulawa mshenji kwa kutali wasokiti Yerusalemu, 
MAT.2.2	wakosiyiti, “Kakoshi mwana, Mfalumi gwa Wayawudi yakiwukiti? Tuyiwona ntondu yakuwi kulawa kwagulawa mshenji, na twiza kumguwira yomberi.”
MAT.2.3	Mfalumi Herodi pakapikaniriti aga, kalisheriti, yomberi pamuhera na woseri yawalikala Yerusalemu. 
MAT.2.4	Su kawashemiti watambika wakulu woseri pamuhera na wafunda wa Malagaliru na kuwakosiya, “Kristu Mlopoziya hakiwuki koshi?”
MAT.2.5	Womberi wamwankula, “Hakiwuki mlushi lwa Betirehemu, muliboma lya Yudeya. Hangu ndo ntambu yawalembiti wambuyi wa Mlungu,
MAT.2.6	‘Gwee Betirehemu isi ya Yuda,
MAT.2.6	Gwenga gwa mdidini ndiri mulushi lumanikana lwa Yudeya,
MAT.2.6	Toziya kwa gwenga hakalawili mlongoziya njira,
MAT.2.6	Yakawalongoziya wantu wangu Israeli.’ ”
MAT.2.7	Su Herodi kawashemiti mubada wahenga yawalawiti kwagulawa mshenji, kawakosiyiti shipindi sheni ntondu payiwalawiriti. 
MAT.2.8	Shakapanu kawagambiriti wagendi Betirehemu pakalonga, “Mgendi mwakaloli weri visoweru vya mwana ayu, pamvimana kala munjegeli visoweru su naneni hang'endi kumguwira.”
MAT.2.9	Pawampikaniriti kala mfalumi, wamana ntondu walii wagenditi. Su ntondu ilii yawayiwoniti kwagulawa mshenji iwalonguleliti hata igenda kugoloka pahala palii pakaweriti mwana. 
MAT.2.10	Pawayiwoniti ndondi ilii wanemeleriti nentu. 
MAT.2.11	Su, wingiriti mnumba, wamwoniti mwana ulii pamuhera na Mariya mawu gwakuwi, wasuntama pasi na wamguwira. Shakapanu wavugula na kumupa mafupu gawu ga zahabu na ubani na manemane.
MAT.2.12	Mlungu kawabeliziiyti mumpota nawamwuyira Herodi, su wawuyiti kuisi kwawu kwa njira yamonga.
MAT.2.13	Pawawukiti kala wahenga walii, ntumintumi gwa kumpindi gwa Mtuwa Mlungu kamlawiriti Yosefu mukulota, kamgambiriti, “Gwimuki! Gumtoli mwana pamuhera na mawu gwakuwi, mtugili Misri. Mulikali kulii mpaka panukugambira, toziya Herodi kafira kumlaga mwana ayu.”
MAT.2.14	Su, Yosefu kimukiti, kamtola mwana pamuhera na mawu gwakuwi, kawukiti pashiru kugenda Misri. 
MAT.2.15	Kalikaliti kulii mpaka pakahowiti Herodi. Shitwatila ashi shitendikiti su shisoweru shakatakuliti Mtuwa kwa njira ya mbuyi gwa Mlungu shitendeki, “Numshemiti mwana gwangu kulawa Misri.”
MAT.2.16	Shakapanu Herodi pakavimaniti wahenga walii yawalawiti kwagulawa mshenji wamzyanga, kakalariti nentu. Kalagaliriti wanonu woseri wapalu mulushi lwa Betirehemu na mumpeku mwakuwi yawawera na umuli wa mivinja miwili na pasi pawu walagwi. Katenditi hangu kulawirana na shilii shakamaniti kulawa kwa wahenga walii wamana ntondu.
MAT.2.17	Hangu ndo ntambu ya vitimiyiti visoweru vya umbuyi wa Mlungu kwa njira ya mbuyi gwa Mlungu Yeremiya,
MAT.2.18	“Liziwu lipikanika aku Rama,
MAT.2.18	Shiwembu na kudaya kuvuwa.
MAT.2.18	Raheri kankuwalilira wana wakuwi,
MAT.2.18	Na kafira ndiri kunyamala,
MAT.2.18	Toziya woseri wahowa.”
MAT.2.19	Herodi pakahowiti kala, ntumintumi gwa kumpindi gwa Mtuwa Mlungu kamlawiriti Yosefu mundotu kulii Misri, 
MAT.2.20	kamgambira, “Gwimuki! Gumtoli mwana pamuhera na mawu gwakuwi muwuyi muisi ya Israeli toziya woseri yawafiriti kumlaga mwana, wahowa kala.” 
MAT.2.21	Su Yosefu kimuka, kamtola mwana pamuhera na mawu gwa mwana na wawuya Israeli.
MAT.2.22	Kumbiti Yosefu pakapikaniriti handa Arikerawu, mwana gwa Herodi kaweriti mfalumi gwa Yudeya pahala pakakolitimlima Herodi tati gwakuwi, katiliti kugenda kulii. Nayomberi, pawambereziyiti mundotu, su kagenditi wega zya Galilaya 
MAT.2.23	na kalikaliti mlushi lwawalushema Nazareti. Hangu ndo ntambu yavitimiyiti visoweru vyakalongiti mbuyi gwa Mlungu, “Hawamshemi Mnazareti.”
MAT.3.1	Majuwa galii Yohani Mbatiza kalawiliti, kanjiti kubwera mushiwala sha Yudeya, 
MAT.3.2	“Mleki vidoda vyamtenda, toziya Ufalumi wa kumpindi wapakwegera!” 
MAT.3.3	Yohani ayu ndo ulii mweni Isaya mbuyi gwa Mlungu kamtakuliti pakalongiti,
MAT.3.3	“Liziwu lya muntu lipikanika kushiwala,
MAT.3.3	‘Mumtandiri kala Mtuwa njira yakuwi,
MAT.3.3	Mumnyosheri njira zyakuwi!’ ”
MAT.3.4	Yohani kavaliti nguwu yawasoniti kwa mibahira ya ngamiya na lugoyi lwa lukuli mushunu mwakuwi na shiboga shakuwi shiweriti wanjombi na lwashi lwa kuntundu. 
MAT.3.5	Su wantu kulawa Yerusalemu na kulawa wega zoseri zya Kuyudeya na mbwega zoseri za mump'eku mwa kulushemba lya Yoridani. 
MAT.3.6	Walonga vidoda vyawu na yomberi kawabatiziti mulushemba lwa Yoridani.
MAT.3.7	Kumbiti pakawawoniti Mafalisayu wavuwa na Masadukayu wankumwizira su wabatizwi, kawagambiriti, “Mwenga wana wa njoka! Muntu gaa yakawagambireni muyitili maya ya Mlungu yayiza? 
MAT.3.8	Mlanguziyi kwa matendu handa mleka vidoda. 
MAT.3.9	Namulihola na kulitakulila, ‘Tati gwetu ndo Aburahamu!’ Nukugambirani nakamu, Mlungu kaweza kugatenda mabuwi aga gaweri wana wa Aburahamu!
MAT.3.10	“Su vinu liwagu litulwa kala kudumula mishigira ya mitera, na kila mtera gwagulera ndiri mabwajubwaju gaherepa hagudumulwi na kugwasila mumotu. 
MAT.3.11	Neni nukuwabatiza kwa mashi kulanguziya kuwera mleka vidoda vyamtenditi. Kumbiti yakiza kumbeli kwangu kawera na makakala kuliku neni, neni nfaa ndiri ata kupapa vilwatu vyakuwi. Yomberi hakakubatizani kwa Rohu Mnanagala na kwa motu. 
MAT.3.12	Yomberi muliwoku lyakuwi kana luselu lwa kupepetera, hakayijojiniri nganu na kuitula muluhanja lwakuwi, kumbiti hakatoli miwawi na kuipambira pamotu gwagutenda ndiri tiya.”
MAT.3.13	Shipindi shilii Yesu kiziti kulawa Galilaya kasokiti palushemba lwa Yoridani, kamgenderiti Yohani su kambatizi. 
MAT.3.14	Kumbiti Yohani kajeriti kumbelera pakalonga, “Yani gwenga gwankwiza kwa neni? Neni ndo nfiruwa kubatizwa na gwenga.”
MAT.3.15	Su Yesu kamwankuliti, “Guleki hera iweri ntambu ira ayi vinu, hangu ndo ntambu iherepa kugatenda goseri gakafira Mlungu.” Palii Yohani kajimiriti.
MAT.3.16	Kamkamu hera Yesu pawambatiziti kala, kalawiti mumashi, su kumpindi kwa Mlungu kuvuguka na kamwoniti Rohu gwa Mlungu pakiza pasi gambira ng'unda na kumkangira mulibega. 
MAT.3.17	Liziwu kulawa kumpindi kwa Mlungu lilongiti, “Ayu ndo Mwana gwangu yanumfira nentu, nherepeziwa nayomberi.”
MAT.4.1	Shakapanu Rohu Mnanagala kamlonguziyiti Yesu kushiwala su kajerwi na Shetani. 
MAT.4.2	Kaliyiti ndiri kwa malongu msheshi pashiru na paliwala, shakapanu Yesu kaweriti na njala. 
MAT.4.3	Su Shetani kamwiziriti, kamgambira, “Handa gwenga nakaka gwa Mwana gwa Mlungu, gugagalambuziyi mabuwi aga gaweri mabumunda.”
MAT.4.4	Yesu kamwankuliti, “Malembu galonga, ‘Muntu hapeni kalikali kwa kuliya shiboga hera, kumbiti kwa kila shisoweru shakatakula Mlungu.’ ”
MAT.4.5	Shakapanu Shetani kamtoliti mpaka Yerusalemu, Lushi Lunanagala na kamtuliti pashinara sha Numba nkulu ya Mlungu, 
MAT.4.6	kamgambiriti, “Handa gwenga nakaka gwa Mwana gwa Mlungu, gulyasi pasi, toziya malembu galonga,
MAT.4.6	‘Mlungu hakawagambiri wantumintumi wa kumpindi wakuwi kuusu gwenga,
MAT.4.6	Hawakutoli mumawoku mwawu,
MAT.4.6	Nagulikwala mumabuwi’ ”
MAT.4.7	Yesu kamgambiriti, “Kumbiti Malembu galonga viraa, ‘Nagumjera Mtuwa, Mlungu gwaku.’ ”
MAT.4.8	Shakapanu Shetani kamtoliti mpaka pampindi nentu palugongu na kamlanguziyiti falumi zoseri zya pasipanu na ulunda wakuwi. 
MAT.4.9	Kamgambiriti, “Hanukupi gwenga goseri aga, handa pagusuntama pasi na kunguwira neni.”
MAT.4.10	Palii Yesu kamgambiriti, “Gugendi zyaku Shetani! Malembu galonga, ‘Hagumguwiri Mtuwa Mlungu gwaku na kumtendera gweka yakuwi!’ ” 
MAT.4.11	Shakapanu, Shetani kamleka Yesu na wantumintumi wa kumpindi wa Mlungu wiziti kumtanga.
MAT.4.12	Yesu pakapikaniriti handa Yohani wamtula mushibetubetu, kagenditi Kugalilaya. 
MAT.4.13	Kawukiti Nazareti, kagenditi Kafarinaumu, lushi lwaluweliti mump'eku mwa bahali ya genisareti, mumbaka mwa Zebuluni na Nafutari kalikala aku. 
MAT.4.14	Hangu ndo ntambu yashitimiyiti shisoweru sha Mlungu shakatakuliti kwa njira ya Isaya mbuyi gwa Mlungu,
MAT.4.15	“Isi ya Zebuluni na isi ya Nafutari,
MAT.4.15	Kuyigendera bahali, kumwambu kwa lushemba Yoridani,
MAT.4.15	Galilaya, isi ya wantu Wayawudi ndiri!
MAT.4.16	Wantu yawakaliti muntiti
MAT.4.16	Wawona kulangala kukulu.
MAT.4.16	Na woseri yawalikaliti muisi ya ntiti na shivinyiru sha kuhowa
MAT.4.16	Kulangala Kuwalangalira.”
MAT.4.17	Kwanjira shipindi shilii Yesu kanjiti kubwera pakalonga, “Mleki vidoda, toziya Ufalumi wa kumpindi wapakwegera!”
MAT.4.18	Yesu pakaweriti kankugendagenda kumbeku kulitanda lya Galilaya, kawawoniti walongu wawili yawaweriti walowa wa wasomba, Simoni yawamshema Peteru na mlongu gwakuwi Andereya, waweriti wankulowa wasomba mulitanda kwa wavu. 
MAT.4.19	Yesu kawagambiriti, “Munfati, naneni hanuwatendi mwenga muweri walowa wa wantu.” 
MAT.4.20	Kamukamu hera wazilekiti nyavu zyawu, wamfatiti.
MAT.4.21	Pakagenditi kulongolu kidogu, kawawoniti walongu wamonga wawili, Yakobu na Yohani, wana wa Zebedayu. Waweriti wa mumtumbwi pamuhera na tati gwawu Zebedayu wankuzinyawa nyavu zawu. Yesu kawashemiti, 
MAT.4.22	palaa palii waguleka mtumbwi pamuhera na tati gwawu na wamfatiti.
MAT.4.23	Yesu kagenditi Mugalilaya yoseri, kafunditi mnumba za Mlungu na kabweriti Shisoweru Shiwagira sha Ufalumi, na Kaponiziyiti wantu yawawera na malweli ga ntambu zoseri. 
MAT.4.24	Visoweru kuusu Yesu vyeniyiti muisi yoseri ya Siriya, su wantu woseri yawawera na malweli na yawalwala malweli ga ntambu zoseri na ndabiku, wantu yawawera na washamshera na wantu yawawera na visirika na wantu yawaweriti wahushu, wawajegiti kwa Yesu na kawaponiziyiti woseri. 
MAT.4.25	Lipinga likulu lya wantu limfatiti kulawa Galilaya na lushi lilongu na Yerusalemu na Yudeya na kumwambu kwa lushemba Yoridani wamfatiti.
MAT.5.1	Yesu pakagawoniti mapinga ga wantu, kakweniti kulugongu, kalivagiti pasi. Wafundwa wakuwi walivagiti pawamzyengeta, 
MAT.5.2	na Yomberi kanjiti kuwafunda.
MAT.5.3	“Mbaka ya woseri yawawera wahushu wa shirohu,
MAT.5.3	Toziya Ufalumi wa mpindi ndo wawu!
MAT.5.4	Mbaka kwa woseri yawawera na hinginiku,
MAT.5.4	Toziya Mlungu hakawazyangizyangi!
MAT.5.5	Mbaka kwa woseri yawawera wapoli,
MAT.5.5	Toziya hawayihali isi.
MAT.5.6	Mbaka kwa woseri yawawera na njala na yimiluwa ya kutenda gakafira Mlungu,
MAT.5.6	Mlungu hakawayukutiziyi!
MAT.5.7	Mbaka kwa woseri yawawera na lusungu kwa wamonga,
MAT.5.7	Mlungu hakawawoneri lusungu womberi!
MAT.5.8	Mbaka kwa woseri yawamfira Mlungu kwa myoyu yawu yoseri,
MAT.5.8	Womberi hawamwoni Mlungu!
MAT.5.9	Mbaka kwa woseri yawajega ponga,
MAT.5.9	Mlungu hakawashemi wana wakuwi!
MAT.5.10	“Mbaka kwa woseri yawatabika toziya yakutenda gakafira Mlungu,
MAT.5.10	Ufalumi wa kumpindi ndo gwawu!
MAT.5.11	“Mbaka mwenga wantu pawawigilanga na kuwazulumu na kuwatendera madoda ga ntambu zoseri toziya mwenga munjimila neni. 
MAT.5.12	Mwenga mnemeli na kusekelera toziya mafupu genu ndo makulu kumpindi kwa Mlungu. Hangu ndo ntambu yawalikaliti wambuyi wa makashu wa Mlungu pamberi pa mwenga.
MAT.5.13	“Mwenga mulifana gambira munu gwa pasipanu. Kumbiti munu pagwasa unoga wakuwi, kwahera njira yingi yakugutenda gunogi kayi. Hapeni gufayi, su hawagwasi kunja na wantu hawagutimbangi.
MAT.5.14	“Mwenga ndo langala ya pasipanu! Lushi lwa walunyawiti mulugongu hapeni lulififi.
MAT.5.15	“Kwahera wantu yawawasha shikoloboyi na kushigubikira na shiwiga, badala yakuwi hakashituli pampindi pa shintambi, su kulangala kwakuwi kulangali kwa kila muntu mnumba. 
MAT.5.16	Ntambu ira ayi, langala ya mwenga ilangali mpaka kulongolu kwa wantu, su wagaloli matendu genu gaherepa, wamkwisi Tati gwenu yakawera kumpindi.
MAT.5.17	“Namulihola handa niza kuwusiya Lilagaliru lya Musa na mafundu ga wambuyi wa Mlungu. Niza ndiri kugawusiya Malagaliru, kumbiti kutenda mafundu gawu gatendeki. 
MAT.5.18	Nukugambirani nakaka, kumpindi na pasipanu pazipelera, kumbiti hapeni ata shisoweru shididini ama seemu ndidini yavilembitwi Mumalagaliru yiwusiwi, su mpaka mafundu goseri gatendeki. 
MAT.5.19	Su yoseri yakamegi ata lilagaliru limu lididini na kuwafunda wamonga watendi viraa, ayu hakaweri mdidini muufalumi wa kumpindi kwa Mlungu. Kumbiti ulii yakabatira malagaliru na kuwafunda wamonga kutenda viraa, muntu ayu hakaweri mkulu muufalumi wa kumpindi kwa Mlungu. 
MAT.5.20	Toziya nukugambirani, handa kumfiriziya Mlungu kwamwenga pakakanka ndiri ulii wa Mafalisayu na wafunda wa Malagaliru, hapeni mwingiri nakamu muufalumi wa kumpindi kwa Mlungu.
MAT.5.21	“Mpikaniriti ntambu ya wantu wagona wawagambiriti, ‘Nagulaga! Na yoseri yakalaga hawamtozi.’ 
MAT.5.22	Kumbiti vinu neni nukugambirani, yoseri yakawera na maya kwa mlongu gwakuwi hawamtozi, yakamzarawu mlongu gwakuwi hawamjegi mumahakama. Na yakamshema mlongu gwakuwi, ‘Mzigizigi’ hakaweri muhatari ya kwingira mumotu gwa Jehanamu. 
MAT.5.23	Su pagulaviya mafupu gaku pashitalawanda sha kutambikira na gulihola gwana ungondu na mlongu gwaku, 
MAT.5.24	guleki mafupu gaku pashitalawanda sha kutambikira, guwuyi huti gwakatendi ponga na mlongu gwaku, su gwizi na gulaviyi mafupu gaku kwa Mlungu.
MAT.5.25	“Gupatani na mstaki gwaku kanongola pamuwera mwankali munjira kugenda kumahakama. Pagutenda ndiri hangu, mstaki gwaku hakakujegi kwa mtoza, nayomberi hakakujegi kwa wanjagila wakutatili mushibetubetu. 
MAT.5.26	Nakaka nukugambira, hapeni gulawi mulii mpaka gulipi ligwala lya kumalalira.
MAT.5.27	“Mpikanira handa wantu wawagambiriti, ‘Nagutenda uhumba!’ 
MAT.5.28	Su vinu neni nukugambirani, yoseri yakamlola mdala kwa kufira kutenda nayu undiyandiya, muntu ayu katenda kala uhumba mumoyu mwakuwi. 
MAT.5.29	Su, lisu lyaku lya kumliwu palitenda gutendi vidoda, gulikolopoli na kuliyasa kutali! Mbaka nentu kwasa shiwungu shimu sha nshimba yaku, kuliku nshimba yaku yoseri wayasi mumotu gwa Jehanamu. 
MAT.5.30	Handa liwoku lyaku lya kumliwu litenda gutendi vidoda, gulidumuli na kulyasa kutali! Mbaka nentu gwenga kwasa shiwungu shimu munshimba yaku, kuliku nshimba yaku yoseri kwingira mumotu gwa Jehanamu.
MAT.5.31	“Itakulitwi kala viraa, ‘Yakamleka mdala gwakuwi ifiruwa kampanani malembu ga kumleka.’ 
MAT.5.32	Kumbiti neni nukugambirani, yakamupanana mdala gwakuwi malembu ga kumleka, tembera ndiri kwa shitwatira, kamtenda kaweri mndiyandiya, na muntu pakamyuga mdala yawampananiti malembu ga kumleka, katenda uhumba.”
MAT.5.33	“Kayi mpikanira handa wantu wagona wawagambiriti, ‘Naguleka kulirapa kwaku, kumbiti gutendi ntambu yagulirapa kwa Mtuwa.’ 
MAT.5.34	Kumbiti neni nukugambirani, nagulirapira kwa ntambu yoseri ilii. Nagulirapira kwa kumpindi, toziya ndo shibanta sha ufalumi sha Mlungu, 
MAT.5.35	ama mupasipanu, mana ndo shiti shakuwi sha kutulila magulu, ama kwa Yerusalemu toziya ndo lushi lwa Mfalumi mkulu. 
MAT.5.36	Nagulirapira ata kwa mtuwi gwaku, toziya hapeni guwezi kutenda ata vilii yimu iweri neru ama ntiti. 
MAT.5.37	Pagutakula ‘Yina’ su iweri ‘Yina’, pagutakula ‘Ndala’ su iweri ‘Ndala’. Shoseri shilii shagutakula kunja na ashi shilawa kwa ulii Shetani.
MAT.5.38	“Mpikaniriti ntambu yawatakulaga, ‘Lisu kwa lisu na linu kwa linu.’ 
MAT.5.39	Kumbiti neni nukugambirani, namumwuzilira muntu mdoda. Muntu pakakukoma lisaya lya kumliwu gumleki kakukomi viraa na lya kumshigi. 
MAT.5.40	Muntu pakakujegera kumahakama kafira kalitoli lishati lyaku, gumlekeri viraa na likoti lyaku. 
MAT.5.41	Na muntu pakakulazimisha kupapa shisanka shakuwi kilumita yimu, gushipapi kilumita mbili. 
MAT.5.42	Muntu yakakuluwa gumpanani, nagumpanana shisogu muntu yakafira kukuwanda shintu.
MAT.5.43	“Mpikanira ntambu yawatakuliti, ‘Guwafiri waganja waku na guwakalaliri wang'ondu waku.’ 
MAT.5.44	Kumbiti neni nukugambirani, muwafiri wang'ondu wenu na muwaluwili kwa Mlungu walii yawakuzulumani, 
MAT.5.45	su hamuweri wana wa Tati gwenu kakumpindi. Yomberi kawawalira mshenji wantu wadoda na wantu waheri na kawatowera viraa wantu woseri yawamfiriziya Mlungu na wantu yawamfiriziya ndiri Mlungu. 
MAT.5.46	Hashi, Mlungu hakakupanani mafupu ga ntambu gaa pamuwafira hera walii yawawafira mwenga? Ata watola kodi watenda viraa! 
MAT.5.47	Handa pamuwalamusiya hera walongu wenu, hashi, mtenda shitwatira sha hera hangu ndiri? Ata wantu yawamumana ndiri Mlungu watenda viraa! 
MAT.5.48	Muweri waheri ntambu yakawera muheri Tati gwenu kakumpindi!
MAT.6.1	“Mulikali weri namwiza kutenda matendu genu gagamfiriziya Mlungu kulongolu kwa wantu su mfira wakuloleni. Handa pamtenda hangu, Tati gwenu kakumpindi hapeni kawapanani mafupu.
MAT.6.2	“Su, pagumpanana vintu muhushu nagulibwera, nagutenda gambira wafyangu ntambu yawatenda mnumba za Mlungu na munjira wantenda hangu su wantu wawakwisi. Nukugambirani nakaka, wantu awa wapata kala mafupu gawu goseri. 
MAT.6.3	Kumbiti gwenga pagumpanana vintu muhushu, gutendi ntambu ayi ata ganja gwaku nakavimana shagutenda. 
MAT.6.4	Shilii shagutenditi hashiweri muubada. Tati gwaku yakawona muubada, hakakupi lifupu.
MAT.6.5	“Pamluwa Mlungu namtenda gambira wafyangu! Womberi wafira kugoloka na kumluwa Mlungu pakati pa numba za Mlungu na pakati pa mbwega za njira su wantu wawaloli. Nukugambirani nakaka, womberi wapata kala mafupu gawu goseri. 
MAT.6.6	Kumbiti gwenga pagumluwa Mlungu, gwingiri mushumba shaku, gutati mlyangu, shakapanu gumluwi Tati gwaku yakawoneka ndiri. Na Tati gwaku yakawona vintu vya muubada, hakakupanani lifupu.
MAT.6.7	“Pamumluwa Mlungu, nambotanga gambira wantu yawamumana ndiri Mlungu. Womberi walihola kuwera milungu yawu hayiwapikaniri toziya ya visoweru vyawu vivuwa. 
MAT.6.8	Namuwera gambira womberi. Tati gwenu kavimana kala galii gamfira pamberi pa kumluwa. 
MAT.6.9	Su, hangu ndo ntambu yamfiruwa kumluwa Mlungu,
MAT.6.9	‘Tati gwetu gwa kumpindi,
MAT.6.9	Litawu lyaku likwiswi.
MAT.6.10	Ufalumi waku wizi,
MAT.6.10	Shagufira shitendeki pasipanu gambira kumpindi.
MAT.6.11	Gutupanani leru shiboga shetu sha kila lishaka.
MAT.6.12	Gutulekiziyi vidoda vya twenga, ntambu yatuwalekeziyiti yawatutendiriti vidoda.
MAT.6.13	Nagutwingiziya mukujerwa,
MAT.6.13	Kumbiti gutulopoziyi kulawa kwa Mkondola ulii’.
MAT.6.14	“Toziya pamuwalekeziya wantu vidoda vyawu, Tati gwenu gwa kumpindi hakawalekiziyani mwenga. 
MAT.6.15	Kumbiti pamuwalekeziya ndiri wantu vidoda vyawu, Tati gwenu hapeni kawalekiziyi mwenga vidoda vyenu.
MAT.6.16	“Pamleka kuliya, namhinginika kusheni ntambu yawatenda wafyangu. Womberi wahinginika kusheni kwawu, su kila muntu kamloli handa woya kuliya. Nuwagambirani nakaka, womberi wapata kala mafupu gawu. 
MAT.6.17	Kumbiti gwenga pagoya kuliya, guliswagi mtuwi gwaku lipaki na gunawi sheni shaku, 
MAT.6.18	Su, muntu yoseri nakavimana handa gwoya kuliya, Su gumanikani hera Tati gwaku yakawonekana ndiri. Na Tati gwaku yakawona shagutenda muubada, hakakupanani lifupu.
MAT.6.19	“Namlitulira luhanja pasipanu, wameyi na kutu vihalibisiya na vimpegu wabomolanga na kwiwa. 
MAT.6.20	Mlituliri luhanja lwenu kumpindi, kweni wamehi na kutu hapeni waluharibisii na vimpegu hapeni wabomolangi na kwiwa. 
MAT.6.21	Toziya palii paluwera luhanja lwaku, ndo haguweri moyu gwaku.
MAT.6.22	“Lisu ndo limuliku lya nshimba. Handa lisu lyaku ndo likomu, nshimba yaku yoseri hayiweri mugulangala. 
MAT.6.23	Handa lisu lyaku palilwala, nshimba yaku yoseri hayiweri muntiti. Su, gulangala waguwera mngati mwaku ndo ntiti, su ayi ndo ntiti ya kulyogisiya nentu!
MAT.6.24	“Kwahera muntu yakaweza kuwatendera watuwa wawili, toziya hakamkalaliri yumu na kumfira yumonga, ama hakamjimiri yumu na kumbeza yumonga. Hapeni mumtenderi Mlungu na mpiya.
MAT.6.25	“Ndo mana nuwagambirani, namtira kuusu shiboga na shilandwa vyamfira su mulikali, ama hamvali shishi. Hashi, makaliru ndo shiboga hera ama nentu? Na nshimba hashi handa nentu ndiri ya nguwu? 
MAT.6.26	Muwaloli wampongu wa muntundu, wayala ndiri mbeyu na wabena ndiri, wala wahera luwanja loseri. Ata hangu, Tati gwenu gwa kumpindi kawaliyiziya! Hashi, mwenga mwamana ndiri kuliku wampongu awa? 
