MAT.1.1	Ini se guhud te kepuun ni Hisu Kristu, kevuwaran ni David wey kevuwaran dema ni Abraham.
MAT.1.13	si Serubabil ne amey ni Abiyud,
MAT.1.13	si Abiyud ne amey ne Iliyakim,
MAT.1.13	si Iliyakim ne amey ni Asur,
MAT.1.14	si Asur ne amey ni Saduk,
MAT.1.14	si Saduk ne amey ni Akim,
MAT.1.14	si Akim ne amey ni Iliyud,
MAT.1.15	si Iliyud ne amey ni Iliasar,
MAT.1.15	si Iliasar ne amey ni Matan,
MAT.1.15	si Matan ne amey ni Jacob,
MAT.1.16	si Jacob ne amey ni Jose, ke esawa ni Maria ne iney ni Hisus ne ed-ingaranan ki Mesiyas, ne iyan din meana ne impasad te Eleteala ne Ebperetuen te langun.
MAT.1.17	Ketà be ne igenat ki Abraham taman te kineanak ki David ne sepulù wey epat ne lapis. Ne igenat ki David taman te kinekeviyag dan diyà te inged ne Bebilunya ne sepulù wey epat ded ne lapis. Ne igenat te kinekeviyag dan taman te kineanak ki Hisu Kristu ne sepulù ded dema wey epat ne lapis.
MAT.1.18	Iring kayi se ned-ulaula te kineanak ki Hisu Kristu. Nepesaran en se ed-esawaen ke iney rin ne si Maria ni Jose, ugaid ne warà den pà mekedtimpung ne netuenan ni Maria te mehingey sikandin egenat te gehem te Kedesenan ne Ebpetuntul te Menusiyà. 
MAT.1.19	Si Jose ini ne egkeesawa rin ne metidtu ne etew, ugaid ne warà din metueni ke engkey se amey rut te vatà. Tembù be nepegitung din se kenà din edleusan te ed-esawa si Maria asal ed-usayen dà te meeles su apey kenà meyeyai si Maria.
MAT.1.20	Ne gewii rin te ebpegpegitung kayi ne nekelipereng sikandin ne mibpekita ke suluhuen te Kerenan kayi te tehinep din se egkahi te, “Jose, sikuna ne kevuwaran ni David, kenà ka egkeandek ne ebpengesawa ki Maria su arà se ibmehingey rin ne egenat te gehem dut te Kedesenan ne Ebpetuntul te Menusiyà. 
MAT.1.21	Ne ed-anak sikandin te meama ne iyan nu id-ingaran ne si Hisus su sikandin ke ebpelihaun te menge etew rin dut te menge salà dan,” ke se suluhuen.
MAT.1.22	Langun kayi ne ned-ulaula su apey metuman ke impekahi rengan te Kerenan dut te ebpelambas te lalag din ne egkahi te, 
MAT.1.23	“Ebmehingey ini se raha ne warà pà mebeyugi ne ed-anak te meama ne iyan id-ingaran ne si Imanwil” (ne iyan din meana ne “Ke Eleteala ne kayi en te kenitew”).
MAT.1.24	Guna su nekehimerat si Jose ne midtuman din ke insuhù dut te suluhuen te Kerenan ne mid-esawa rin si Maria. 
MAT.1.25	Ugaid ne warà din pà uvaya si Maria taman te warà pà mid-anak. Guna su mid-anak en ne mid-ingaranan ni Jose ini se batà ne meama ki Hisus.
MAT.2.1	Diyà in-anak si Hisus te inged ne Bitlihim lusud te Hudiya te gewii te iyan egkamal te inged ne datù ne ed-ingeranan ki Hirudis. Warà meuhet ne ruen menge etew ne metau te bituen riyà ebpuun te Edsilaan ne nekeuma riyà te Hirusalim. 
MAT.2.2	Nekeuma ran ne mid-insà dan se egkahi te, “Endei ke behu pà ne in-anak ne vatà ne midtendù ne edetuen te menge etew ne Hudiyanen? Su nekita rey ke bituen ne edlepew riyà te inged dey ne rapit te Edsilaan ne tuus te in-anak en sikandin, tembù be mibpengkayi key su ebpengarap key kandin.”
MAT.2.3	Guna su nerineg ni Hirudis ini ne warà meupiya ne itungan din, ne iring ded dema ketà ke langun ne menge etew te inged ne Hirusalim. 
MAT.2.4	Ketà ne miburun din ke langun ne menge mepurù te terebpelengesa te menge Hudiyanen wey ke menge meyterù te penduan dan ne mid-insaan din sikandan te, “Endei igkeanak ke Impasad te Eleteala rengan ne Ebperetuen te langun?”
MAT.2.5	“Diyà te inged ne Bitlihim lusud kayi te Hudiya,” ke sikandan, “su ini ke impesurat dut te ebpelambas te Lalag te Eleteala rengan se egkahi te,
MAT.2.6	‘Sikiyu ne menge etew te inged ne Bitlihim lusud te Hudiya,
MAT.2.6	misan deisek ke inged niyu ne kenà sikiyu ke mewri
MAT.2.6	dut te menge inged ketà;
MAT.2.6	su riyà te keniyu ne ruen edlepew
MAT.2.6	ne ebpeneheewit dut te menge sakup ku
MAT.2.6	ne menge kevuwaran ni Israyil.’ ”
MAT.2.7	Guna su nerineg ni Hirudis ini ne midtawag din ke behu pà ne nekeuma ne riyà ebpuun te Edsilaan te in-eles din ne mid-insaan din sikandan ke keenu medlepew ini se bituen ne nekita ran, ne netuenan din ketà te kandan. 
MAT.2.8	Ketà ne impependiyà din en sikandan te Bitlihim se egkahi te, “Pendiyà kew en ne ey-eyari niyu te ebpemengà arà se vatà. Ne embiya egketuen niyu ne lived kew kayi ne peketueni niyu kedì su apey a mekependiyà su ebpengarap a rema.”
MAT.2.9	Nerineg den dà ini ne mid-ipanew ran en. Ne gewii te ed-ipanew ran ne ketà en maa ke bituen ne nekita ran te riyà dan pà te Edsilaan su mid-una kandan taman te edrenged en ketà te neubpaan te batà. 
MAT.2.10	Nekita ran dà ke bituen ne nehalew ran nevenar. 
MAT.2.11	Midlusud dan ketà te valey ne nekita ran ke vatà wey ke iney rin ne si Maria ne midlumpeng dan se ebpengarap kandin. Ne ketà ne mibukaan dan ke midtehuan te ibehey ran kandin ne indenà dan diyà te kandin ke bulawan, mepurù ne rukut, wey periyemut ne ed-ingaranan te mira.
MAT.2.12	Ne guna su ed-ulì dan en ne impesabut kandan te Eleteala impepevayà te tehinep te kenà dan en medlived diyà te ki Hirudis. Ne ketà ne riyà dan en mibpevayà te seveka ne ralan te kineulì dan en.
MAT.2.13	Guna su migenat en ke menge meama ne riyà ebpuun te Edsilaan ne mibpetehinep en ke suluhuen te Kerenan ki Jose se egkahi te, “Enew ke en ne kua nu ke vatà wey ke iney rin ne pelahuy kew riyà te inged ne Ihiptu. Ne kenà kew awà diyà taman te kenà ku ebpeulien sikiyu su ebpemengaan ni Hirudis ayan se vatà su ed-imetayan din.”
MAT.2.14	Ne arà dà ne mid-enew si Jose ne mid-ewit din ke vatà wey ke iney rin te arà dà ne kerukileman te ebpendiyà te inged ne Ihiptu. 
MAT.2.15	Ne riyà dan mid-ubpà taman te minatey en si Hirudis.
MAT.2.15	Ned-ulaula ini su apey metuman ke impekahi te Kerenan rengan dut te ebpelambas te Lalag din ne si Husiyas ne egkahi te, “Impeulì ku ke Anak ku riyà ebpuun te inged ne Ihiptu.”
MAT.2.16	Guna su netuenan ni Hirudis te negaga rà sikandin te itungan dut te menge meama ne riyà ebpuun te Edsilaan ne neregreg sikandin te langet din. Ne insuhù din te ebpeimetayan ke langun ne menge vatà ne meama diyà te inged ne Bitlihim wey ketà te nekelingut ne menge inged ne egenat te deruwa pà ne rahun taman te behu pà ne in-anak su mid-antap din dut te nerineg din ketà te menge etew ne riyà ebpuun te Edsilaan ne nekederuwa en ne rahun igenat dutun te nekita ran ke bituen.
MAT.2.17	Ne ketà ne netuman en ke impekahi rut te ebpelambas te Lalag te Eleteala rengan ne si Jeremias ne egkahi te,
MAT.2.18	“Duen nerangkub ne egkerineg diyà te inged ne Rama,
MAT.2.18	ne edsinehew wey ebpenderawit.
MAT.2.18	Su ebpenderewitan ni Raquel ke menge anak din,
MAT.2.18	ne kenè en egkelangan ke hinawa rin
MAT.2.18	su warè en ke menge anak din.”
MAT.2.19	Guna su minatey en si Hirudis ne mibpetehinep en maa ke suluhuen te Kerenan ki Jose diyà te inged ne Ihiptu, 
MAT.2.20	ne migkahi te, “Enew ka ne kua nu ke vatà wey ke iney rin ne ulì kew en diyà te inged ne Israyil su minatey en ke menge etew ne egkiyug ne ebpeimatey rut te vatà.”
MAT.2.21	Ne mid-enew si Jose ne migkuwa rin ke vatà wey ke iney rin ne mid-ulì dan en diyà te inged te Israyil. 
MAT.2.22	Ugaid ne guna su nerineg ni Jose te si Arkilew se egkamal dut te inged ne Hudiya nekesambì dut te amey rin ne si Hirudis ne neandek sikandin ne ed-ulì ketà. Ne mibpetehinep ma ke Eleteala ne mibaag kandin ne ketà ne riyà dan mibpesinaru te lusud te Geliliya, 
MAT.2.23	ne mid-ubpà dan ketà te inged ne ed-ingaranan te Nesarit. Ned-ulaula rin ini su apey metuman ke impekahi rut te ebpelambas te Lalag te Eleteala rengan ne egkahi te, “Ed-ingeranan sikandin te etew te Nesarit.”
MAT.3.1	Ketà ne hewii ne nekeuma si Juan ne Ebpembunyag kayi te tanà ne kenà egkeubpaan te menge etew diyà te lusud te Hudiya, ne impesabut din ke Lalag te Eleteala riyà te menge etew ne ed-uvey kandin. 
MAT.3.2	Migkahi sikandin diyà te menge etew te, “Pemedsendit kew ne engkeri niyu ke menge meraat ne ulaula niyu su mehaan en Edatù ke Eleteala kenitew.” 
MAT.3.3	Si Juan ini ke nekahi ni Isayas ke mibpelambas te Lalag te Eleteala rengan se egkahi te,
MAT.3.3	“Duen etew riyà te tanà ne kenà egkeubpaan te menge etew
MAT.3.3	ne ebpenawag dut te menge etew
MAT.3.3	ne ed-uvey kandin, ke sikandin te,
MAT.3.3	‘Mehaan ebpekeuma ke Kerenan,
MAT.3.3	ne ihewani niyu ke ralan,
MAT.3.3	ne tidtuwa niyu ke ibayà din,
MAT.3.3	ne iyan din meana ne tilaka niyu ke hinawa niyu
MAT.3.3	su apey kew egkepenehana te kebpekeuma rin.’ ”
MAT.3.4	Si Juan ini ne iyan din belegkas ne mid-avel ne bulvul te binatang ne ed-ingeranan te kemilu, ne iyan din insebitan ne lundis ded dut te binatang. Ne iyan din keuyehan se tepurì wey teneb. 
MAT.3.5	Ne merakel ne menge etew ne mibpendiyà su ebpemineg kandin ne riyà ebpemuun te inged ne Hirusalim, ne riyà ebpemuun te lusud te tivuuk ne inged te Hudiya, wey langun ne menge inged ne nekepesuvà te wayig ne Hurdan. 
MAT.3.6	Ne intarem dan te nekedsendit dan dut te langun ne meraat ne ulaula ran ne arà pà ne mibpebunyag dan ki Juan diyà te wayig ne Hurdan.
MAT.3.7	Guna su nekita ni Juan ke merakel ne Peresiyu wey Sadusiyu ne mibpengkayi su ebpebunyag ne migkehiyan din sikandan te, “Iring kew te menge uled ne ebpelahuy dut te apuy! Mehaan en egkeuma ke kedusa te Eleteala keniyu. Engkey se midtarem keniyu te ebpekeliyu kew ketà te ebpebunyag kew? 
MAT.3.8	Embiya benar ne mid-engkeran niyu ke meraat ne ulaula niyu, ne ipekita niyu kayi te ulaula niyu. 
MAT.3.9	Ne kenà kew egkahi te sikiyu ne kenà edusaan te Eleteala su geina te kevuwaran kew ni Abraham. Su igkahi ku keniyu,” ke si Juan, “misan ini se menge batu ne egkepebaluy te Eleteala ne etew ne tuney ne kevuwaran ni Abraham ne igkesambì keniyu. 
MAT.3.10	Ne sikiyu ne iring te menge kayu ne kenà ebahas te meupiya, tembù be ebpilayen. Ne iring te nekekayew en ke adsa su ebpemilayen su idtimbag diyà te apuy.
MAT.3.11	“Wayig se ibunyag ku keniyu ne tuus te mid-engkeran niyu ke meraat ne ulaula niyu,” ke si Juan. “Ugaid ne ruen ebpeketundug kediey ne mepurù pà kediey, su misan ke telumpà din ne kenà a edait ne ebitbit. Ne iyan din ibunyag keniyu ke Kedesenan ne Ebpetuntul te Menusiyà ne ebunyahan din ke ruma te apuy. 
MAT.3.12	Geina te ibpesivey rin ke menge etew ne ebperetiyaya rut te menge etew ne kenà ebperetiyaya,” ke si Juan, “ne iring sikandin te etew ne ruen teluung din su ed-ukap ne ibpelayap din ke ukap rut te rimahas. Ke rimahas ne idtahù din diyà te patil, ne ke ukap ne ebinsulan din te apuy ne kenà egkeevukan.”
MAT.3.13	Warà meuhet ne nekeuma en si Hisus kayi te wayig ne Hurdan se riyà ebpuun te lusud te Geliliya su ebpebunyag ki Juan. 
MAT.3.14	Ugaid ne kenà perem ebunyag si Juan kandin, ke sikandin te, “Meambe ke ebpengkayi ka te kedì se ebpebunyag? Su iyan edait ne ebpebunyag a kenikew.”
MAT.3.15	Ne midtavak si Hisus kandin te, “Ed-iringen ta en kayi ne bunyahi ad nikuna su apey ta metuman ke langun ne insuhù te Eleteala.” Ne ketà ne migkiyug si Juan ne mibunyahan din en si Hisus.
MAT.3.16	Guna su nebunyahan en si Hisus ne migaun en ketà te wayig. Ne nevukaan ke langit ne nekita rin ke Kedesenan ne Ebpetuntul te Menusiyà ne midragid te melepati ne mibpehunrerenà ne midlatun kayi te kandin. 
MAT.3.17	Ketà ne ruen suwara ne riyà ebpuun te langit ne nerineg din se egkahi te, “Sikew ke Anak ku ne igkelimù ku nevenar, ne utew en ne ingkesuatsuat ku sikew.”
MAT.4.1	Ne ketà ne mid-ewit en si Hisus dut te Kedesenan ne Ebpetuntul te Menusiyà diyà te tanà ne kenà egkeubpaan te menge etew su ebpenggeraman dut te datù te pekaid. 
MAT.4.2	Ne lusud te epat nepulù ne andew wey kerukileman ne warà bulug mekekaan sikandin, ne nevitil nevenar. 
MAT.4.3	Ne mid-uvey kandin si Setanas ke datù te pekaid ne mibpenggeraman din se egkahi te, “Embiya sikuna en ke Anak te Eleteala ne pebeluya nu ini se menge batu ne pan ne egkekaan.”
MAT.4.4	Ne migkahi si Hisus te, “Iyan insurat ne Lalag te Eleteala ne egkahi te, ‘Kenà egkeenen dà se igkeuyag te etew, ugaid ne iyan ebpekeuyag kandin ne uman senge tahà ne lalag te Eleteala.’ ”
MAT.4.5	Ne ketà ne mid-ewit dut te datù te pekaid si Hisus diyà te inged ne Hirusalim ne ed-ingaranan te Berekat ne Siyudad ne rutun ne miduma rin si Hisus diyà te migketikangan dut te Nekebpuru ne Valey te Eleteala. 
MAT.4.6	Ne migkahi ke datù te pekaid te, “Embiya benar ne sikew ke Anak te Eleteala ne umpak ka ruen. Su ruen impesurat ne Lalag te Eleteala ne egkahi te,
MAT.4.6	‘Edsuhù ke Eleteala te menge suluhuen din
MAT.4.6	ne ebpetugenuren keykew.
MAT.4.6	Ne edsepirawen ka nikandin
MAT.4.6	su apey kenà egkerudruri
MAT.4.6	ke paa nu te batu.’ ”
MAT.4.7	Ne migkahi si Hisus te, “Ugaid ne ruen dema Lalag ne impesurat te Eleteala ne egkahi te, ‘Kenà kew baal te ralan ne ibpenggeram te gehem dut te Kerenan ne Eleteala niyu.’ ”
MAT.4.8	Neipus ketà ne mid-ewit maa si Hisus dut te datù te pekaid diyà te metmetikang ne buvungan ne impekita rin ki Hisus ke langun ne menge inged kayi te ampew te dunya wey ke kekewesai ran. 
MAT.4.9	“Ini se kebayàbayà kayi te langun ne inged ini ne ibehey ku keykew,” ke se datù te pekaid, “wey langun ini ne kekewesai embiya ebpenimbuel ka ne ed-arap ka kedì.”
MAT.4.10	Ne migkahi si Hisus te, “Awà ka kayi, Setanas! Duen impesurat ne Lalag te Eleteala ne egkahi te, ‘Iyan niyu rà erapa ne Kerenan ne Eleteala niyu, ne sikandin dà se edsenguren niyu.’ ”
MAT.4.11	Ne ketà ne mid-ewaan en dut te datù te pekaid sikandin ne nekeuma en ke menge suluhuen te Eleteala ne midtuganur kandin.
MAT.4.12	Guna su nerineg ni Hisus te impevilanggù en si Juan ke Ebpembunyag ne mibpendiyà sikandin te inged ne Geliliya. 
MAT.4.13	Nekeuma sikandin diyà te inged ne Nesarit ugaid ne warà ketà mid-ubpà su mibpendiyà sikandin te inged ne Kapirnawum diyà te beyvey te ranew te Geliliya diyà te tanà ne imbehey rengan dut te keep-epuan ni Sibulun wey Neptali. 
MAT.4.14	Ned-ulaula rin ini su apey metuman ke impesurat ki Isayas ke mibpelambas te Lalag te Eleteala rengan ne egkahi te,
MAT.4.15	“Tanà te Sibulun wey tanà te Neptali
MAT.4.15	diyà te beyvey te rahat,
MAT.4.15	diyà te ripag te wayig ne Hurdan,
MAT.4.15	ne ed-ingeranan te Geliliya ne ed-ubpaan te kenà Hudiyanen!
MAT.4.16	Ke menge etew ne ed-ubpà ketà
MAT.4.16	ne rengan ne iring te nerusireman,
MAT.4.16	ugaid ne nekekita en te mesmesihey ne rayag.
MAT.4.16	Uya, ini se riyà te merusirem
MAT.4.16	ne mid-ubpà te alung te kepepatey,
MAT.4.16	ugaid ne mid-endlahan en te rayag!”
MAT.4.17	Ne igenat ketà ne midrudsù en si Hisus se ebpesabut te menge etew, ke sikandin te, “Pedsendit kew en ne engkeri niyu en ke meraat ne ulaula niyu su mehaan en ebpekeuma ke Kedatù te Eleteala keniyu.”
MAT.4.18	Gewii te mid-ip-ipanew si Hisus diyà te beyvey te Ranew te Geliliya ne nekita rin ke deruwa ne teleari, si Simon (ne ed-ingeranan ki Pedro) wey si Andres ke ari rin. Ebpemiyala ran diyà te ranew su arà ke helevek dan. 
MAT.4.19	Ne migkehiyan dan ni Hisus te, “Pengkayi kew en ne duma kew kediey,” ke sikandin, “su serà se ebpemiyalaan niyu guntaani, ugaid ne ebpenuruen ku pà sikiyu te iyan niyu mulà egkeutel ne menge etew ne eduma kedì.” 
MAT.4.20	Arà dà ne mid-ewaan dan en ke biyala ran su miduma ran en ki Hisus.
MAT.4.21	Guna su midlevundus en si Hisus ne nekita rin se deruwa pà maa ne teleari ne si Santiago wey ke ari rin ne si Juan, ke menge anak ni Sibidiyu. Diyà dan te avang dan ne elin ke amey ran ne ebpengumbayà te biyala ran. Midtawag dan ni Hisus, 
MAT.4.22	ne arà dà ne mid-ewaan dan en ke amey ran dutun te avang ne miduma ran en ki Hisus.
MAT.4.23	Ne mid-eneb-eneb en si Hisus dut te langun ne menge inged diyà te lusud te inged ne Geliliya se ebpenurù ketà te menge valey ne ebpengedian te menge Hudiyanen te penduan dan. Impesabut din te menge etew ke Meupiya ne Tudtul mekeatag te Kedatù te Eleteala kandan, ne nengeulian din ke piya engkey en ne sakit wey menge daru te menge etew. 
MAT.4.24	Ne nekeeneb en ke bantug ni Hisus diyà te tivuuk ne inged te Siriya ne mibpeneheewit te menge etew diyà te kandin ke langun ne egkerasey te piya engkey ne sakit wey daru, menge midsuukan te vusew, menge ebevuyen, wey menge etew ne minatey se lawa rin, ne nengeulian ni Hisus ke langun dan. 
MAT.4.25	Ne medmerakel ne menge etew ne miduma kandin egenat te lusud te inged ne Geliliya, lusud te inged ne Dikapulis, inged ne Hirusalim, lusud te inged ne Hudiya wey menge inged diyà te ripag te wayig ne Hurdan.
MAT.5.1	Guna su nekita ni Hisus ke denda ne menge etew ne miduma kandin ne midtekereg sikandin diyà te buvungan ne rutun mibpinuu. Ne mid-uvey kandin ke menge edumdumaan din. 
MAT.5.2	Ne mibpenurù din sikandan se egkahi te,
MAT.5.3	“Dayirayi ke menge etew ne netuenan dan
MAT.5.3	te kenà dan ebpekeulaula te meupiya
MAT.5.3	ke kenà dan edtevangan te Eleteala,
MAT.5.3	su sikandan ke ebpekeamung dut te Edetuan te Eleteala!
MAT.5.4	Dayirayi ke menge egkemutuwan,
MAT.5.4	su edlenganen te Eleteala ke hinawa ran!
MAT.5.5	Dayirayi ke menge mepeembavà te hinawa rin,
MAT.5.5	su ebpeketelimà dan te impasad te Eleteala!
MAT.5.6	Dayirayi ke menge ebpeuna te hinawa ran
MAT.5.6	se kedtuman te kiyug te Eleteala,
MAT.5.6	su edtevangan dan te Eleteala te kedtuman kayi!
MAT.5.7	Dayirayi ke menge iiruwen te menge ruma ran,
MAT.5.7	su egkeyruwan dan dema te Eleteala!
MAT.5.8	Dayirayi ke menge kenà egkereruwa se hinawa rin,
MAT.5.8	te kedtumana ran te metidtu ne ulaula,
MAT.5.8	su sikandan se ebpekekita te Eleteala keuremà!
MAT.5.9	Dayirayi ke menge ebpemedtuntey te menge etew,
MAT.5.9	su sikandan ke ed-engkunan te Eleteala ne anak din!
MAT.5.10	Dayirayi ke menge ebpekesekitan te kedtuman dan
MAT.5.10	te engkey se metidtu diyà te etuvangan te Eleteala,
MAT.5.10	su sikandan ke ebpekelusud dut te Edetuan te Eleteala!
MAT.5.11	Dayirayi kew ke ebpenempelaen kew, wey ebpekesekitan kew, wey edtevuan kew te langun ne edsusunan te mereatey ne ulaula su sabap te keduma niyu kediey. 
MAT.5.12	Kehalew kew misan iring kayi te ini kew te ampew te dunya su dekelà se idlalew keniyu diyà te langit. Su iring ded dema ke impekaid dan dut te menge mibpelambas te Lalag te Eleteala rengan.”
MAT.5.13	“Sikiyu ne eduma kedì,” ke si Hisus, “ne iring kew te timus ne ibmeupiya te nanam te egkeenen su iyan kew ibmeupiya dut te langun ne menusiyà. Ugaid ne upama ke egkeawà en ke nanam din, ne warà en dalan te kebmetimus din pà maa. Warà egkeetahan din, tembù be idtimbag dà ne egiekan dà te menge etew.
MAT.5.14	“Ne iring kew te sulù ne ebpeketeyew diyà te langun ne menusiyà. Su ruen beseanan ne egkahi te, ‘Ke inged ne riyà meketahù te puntur te buvungan ne kenà ebpekeeles.’ 
MAT.5.15	Su warà etew ne midtemtem te sulù ne ebpelengkevan din etawa ibperalung din, ugaid ne riyà din ibpeluukluuk te saag su apey egkerayahan ke etew ne edlusud. 
MAT.5.16	Ne iring ded te sulù ne impeluukluuk te saag ne ebpekerayag te langun ne menge etew ketà te lusud te baley, ne pekereyaha niyu ke sulù niyu riyà te menge etew su apey ran mekita ke meupiya ne ed-ul-ulaan niyu ne ebpekereyù dan dut te Amey niyu ne Eleteala diyà te langit.”
MAT.5.17	“Kenà niyu pegitunga,” ke si Hisus, “te iyan ku impengkayi te ampew te dunya ne apey egkeawà ke penduan ne intelau ni Moises rengan wey ke impenurù te menge mibpelambas te Lalag te Eleteala rengan. Kenà ku iyan impengkayi se id-awà ku ini, ugaid ne mibpengkayi a su apey ku meup-upiani metuman ke langun ne nekahi. 
MAT.5.18	Tentenuri niyu ini, su taman te duen pà langit wey tanà ne warà senge tahà ne egkeawà dut te penduan. Su egkeawà ke langit wey tanà ne warà pà meawà ke penduan. 
MAT.5.19	Tembù be piya entei ne etew ne edsurang te misan deisek dà dut te penduan ne ibpenurù din te ruma se edsurang iring kandin, ne sikandin ke egkevaluy ne kevevaan ne etew diyà te menge etew ne Edetuan te Eleteala diyà te langit. Ugaid ne ke etew ne edtuman dut te penduan ne ibpenurù din te ruma se kedtuman, ne egkevaluy sikandin ne mepurù ne etew diyà te menge etew ne Edetuan te Eleteala diyà te langit. 
MAT.5.20	Su idtarem ku keniyu,” ke si Hisus, “wey kew rà ebpekeamung diyà te menge etew ne Edetuan te Eleteala diyà te langit embiya iyan kew pà metidtu diyà te etuvangan din dut te menge meyterù te penduan wey menge Peresiyu.”
MAT.5.21	Ne migkahi pà maa si Hisus te, “Iyan niyu nerineg ne impenurù te menge lukes tew rengan ne egkahi te, ‘Kenà kew ed-imatey, su ke etew ne ed-imatey ne egkesuhat te kukuman.’ 
MAT.5.22	Ugaid ne igkahi ku keniyu te piya entei ne egkeepes te ruma rin ne egkesuhat dema te kukuman. Ne piya entei ne egkahi te ruma rin te, ‘Warà itungan nu!’ ne ebpeneheewitan sikandin diyà te punggus en dut te kukuman. Ne piya entei ne egkahi te ruma rin te, ‘Buneg ka ne warà rantek nu!’ ne dait ne ebpekednerakà sikandin.
MAT.5.23	“Tembù be embiya diyà ke en te edenaan su ebehey ka te Eleteala ne netenuran nu te ruen nesakit se hinawa rin kenikew, 
MAT.5.24	ne itahak nu pà arà se ibehey nu ne beyai nu pà ne pekid-ulit ka pà ketà te ruma nu, ne arà pà ne lived ka su ebehey ke en diyà te Eleteala.
MAT.5.25	“Ne embiya ruen etew ne edwagib kenikew ne ed-ewiten ka riyà te kukuman, ne gaangaan ke en pekidtuntey kandin te kenà ka pà ebpekeetuvang diyà te kukuman. Su embiya ebpekeetuvang ka en diyà te kukuman, ne ibehey ka en diyà te uwis, ne ibehey ka riyà te menge pulis ne ke menge pulis ne ebilanggù keykew. 
MAT.5.26	Idtarem ku keniyu,” ke si Hisus, “kenà kew ebpekelihawang ketà taman te kenà niyu egkevayaran ke langun ne keselaan nu.”
MAT.5.27	Ne migkahi pà maa si Hisus te, “Iyan niyu nerineg dema ne impenurù dengan te, ‘Kenà kew edlanglangkad te esawa nu.’ 
MAT.5.28	Ugaid ne igkahi ku keniyu te piya entei ne meama se edtengteng te meritan ne kenà din esawa ne igkeerihi rin, ne timbang te nepengingniyuhan din en arà se meritan. 
MAT.5.29	Su embiya iyan ebpekepeneheewit keykew te kebpekedsalà nu ke kewanan ne mata nu, ne lesika nu ne itimbag! Su iyan pà tumù ne dibdivaluy rà se mata nu tumin dè be ke langun ne lawa nu ne igkeantug diyà te apuy nerakà. 
MAT.5.30	Ne embiya iyan ebpekepeneheewit keykew te kebpekedsalà nu ke kewanan ne belad nu, ne tempera nu ne itimbag nu! Su iyan pà tumù ne egkesarir ka tumin dè be ke langun ne lawa nu ne igkeantug diyà te apuy nerakà.”
MAT.5.31	Ne migkahi maa si Hisus te, “Impesurat rema dengan te, ‘Embiya ruen meama ne ebpekid-engked te esawa rin, ne edsurat pà te ebpeketuenan te ebpekid-engked en sikandin.’ 
MAT.5.32	Ugaid ne igkahi ku keniyu embiya ruen meama ne ebpekid-engked te esawa rin, misan kenà edlangkadlangkad ini se esawa rin kandin, ne ini se meama se puunan te salà te esawa rin su embiya edsaup ed-esawa ke meritan ne timbang te nekelangkadlangkad en sikandin. Ne engketà ded dema timbang te nekelangkadlangkad en ke meama ne ed-esawa kandin.”
MAT.5.33	Ne migkahi pà maa si Hisus te, “Nerineg niyu red dema se impenurù te menge lukes tew dengan, ‘Kenà niyu perisa ke impasad niyu, su embiya ruen impasad niyu te Kerenan ne tumana niyu iya.’ 
MAT.5.34	Ugaid ne igkahi ku keniyu, embiya ruen ibpasad niyu ne kenà kew sesapà. Kenà kew sesapà te langit su arà ke ubpaan te Eleteala, 
MAT.5.35	ne kenà kew sesapà kayi te ampew te dunya su ini ne iring te edtembaran te paa rin. Ne kenà ka sesapà te inged ne Hirusalim su arà ke inged dut te pinekemepurù ne Datù. 
