MAT.1.1	Akko kitawu
MAT.2.9	Mana Maiyedǝa fangeranniya, ilmuwudǝ jawal ngojane leyera. Ledu cadi duwon, akko sillowu adinnamlan culuwe carunadǝ fuwunjaro koje leje, har na tadadǝ dǝganadǝa nayeyenniya, tak dayeno. 
MAT.2.10	Sillowudǝa kerunniya, karwunja tai daje kǝjiyeno! 
MAT.2.11	Daji fadodǝro ngasaye tadadǝ-a yanju Meram-aa carune tungurumjane tadadǝro ambǝtkeyera. Ajanja kajane tiro dinar so, kaaji so, kawudi so kedo. 
MAT.2.12	Daji Kǝmande kǝnnasimlan tayia galaje bare na Mai Hirudussero waldanni yenniya, jawal gade ngojane lardunjaro walladara.
MAT.2.13	Ngawo ilmuwudǝ saptanayen, malaiya Kǝmandeye laa kǝnnasimlan Isuwuro fǝlediye: «Cine tadadǝ-a yanju-aa ngone Masarro kasowo lenowo, nadǝn har kawu mana njadǝkkiro nammowo, dalilnjudǝ Mai Hirudus tadadǝa njejoro maji nangaro,» yeno. 
MAT.2.14	Daji Isuwu cije buneman tadadǝ-a yanju-aa ngoje Masarro lejane, 
MAT.2.15	nadǝn har karmo Mai Hirudussero napkera. Adǝgaima awo Kǝmande kuren ci nawiyen wuljǝnadǝ wakkayeno. Tiye: «Tadania Masarnin culuworo bowokkǝna,»
MAT.2.16	Mai Hirudus ilmuwudǝ tia jambajanaro asuyenniya, fum gǝrgaje wada ce kǝla sa ilmuwudǝ tiro tabbaccaanayen tadawa kongwa kǝrwu yindia-a yindi cadǝnni-a bǝla Baitalamiye-a bǝladeyanju-alan dasaana sammaa roro keyeso. 
MAT.2.17	Adǝgaima awo Kǝmande kuren ci Nawi Irimiyayen wuljǝnadǝ wakkayeno. Tiye:
MAT.2.18	«Bǝrni Ramayelan so lagaranne jauro fandi,
MAT.2.18	Rahila diye yallanjuro cikkiri.
MAT.2.18	Kanadi ta wajǝna,
MAT.2.18	bawo bawojana nangaro,»
MAT.2.19	Ngawo Mai Hirudus bawojǝnayen, Masarnin malaiya Kǝmandeye laa kǝnnasimlan Isuwuro fǝlediye: 
MAT.2.20	«Cine tadadǝ-a yanju-aa ngone lardu Israyilawuyero waldǝnowo, am duwon tadadǝa roro njejoro majaidǝ sanuna nangaro,» yeno. 
MAT.2.21	Daji Isuwu cije tadadǝ-a yanju-aa ngoje lardu Israyilawuyero walladara. 
MAT.2.22	Amma Mai Arkilawus cuju bawanju Mai Hirudussero cidi Yahudiyayea cunodidǝro fangenniya, Isuwu nadǝro ngaworo riyeno. Daji Kǝmande kǝnnasimlan tia galayenniya, cidi Galileyero leje 
MAT.2.23	bǝla laa Najarat canidǝn napkeno. Adǝgaima awo Kǝmande kuren ci nawiyayen wuljǝnadǝ wakkayeno. Tayiye: «Tia
MAT.3.1	Jaman adǝn Nawi Yahaya Kasalama fǝlediye karaa cidi Yahudiyayen jamaro kawuɍi cǝdde: 
MAT.3.2	«Tǝmmowo, *nodo bargaa Mai Samemaye del karǝnjǝna!» cǝni kǝrga. 
MAT.3.3	Tima kam duwon Kǝmande kuren ci Nawi Ishayayen kǝlanjun mana cǝdǝnadǝ wo. Tiye:
MAT.3.3	«Karaan kam laa kowo sapce:
MAT.3.3	“Kǝmandero jawal dabbargǝnowo,
MAT.3.3	koduramnju cǝkko dewo!”
MAT.3.3	cǝne wormaji.»
MAT.3.4	Yahayaye kajǝmunjudǝ kanduɍi kaɍimoyen caaada, canjanju ye ngirin tikkerǝna. Kǝmbonju ye kawi-a kǝmagǝn-a. 
MAT.3.5	Daji am bǝrni Jerujalembe-a lardu Yahudiyaye sammaye-a cidi bǝrǝm Jordaniye ngaye-a nanjuro isane 
MAT.3.6	biwunja wuljane curo bǝrǝm Jordaniyen tayiro kasala tuwaye kiddo.
MAT.3.7	Yahaya Farisawa-a Sadusiya-a kada tayiro kasala tuwaye cǝddoro nanjuro isairo kirunniya, tayiro: «Nayi kaduwu fusiyayeso! Wundu nayia ajawu isidǝro kasoworo galanja? 
MAT.3.8	Awo tuwa jireye fǝlejiyisoa dewo! 
MAT.3.9	Bare karwundon: “Andi kaduwu Nawi Ibrahimbe,” wulluwwi. Nayiro wulnjagakki, Alaye kǝnduwonju dongur kauye anilan Nawi Ibrahimbo kaduwu alaktuwuye mbeji. 
MAT.3.10	Akko kǝrmamaro bewodǝ fǝrdu kǝskayen gǝnaada. Kǝska fi duwon tada ngǝla cakkiwawodǝa caljane kannuro fijagai.
MAT.3.11	«Wudǝ tǝmmuwwa nangaro ingilan nayiro kasala ngeddǝkko, amma kam laa wua kǝnduwon kosǝna sunonju tuluwoma tikkǝni ngawonin isi. Tidǝ Ruhu Alaye-a kannu-alan nayiro kasala
MAT.3.12	Mukkonjun kǝmo laladuramba na wasturamnjuyero ise algama-a kalaɍi-a firji. Algamanjudǝa culore bǝralan gǝnaji, amma kalaɍidǝa kannu tǝmmaro nuiwawolan warji,» yeno.
MAT.3.12	______________________________________________________________________
MAT.3.12	______________________________________________________________________
MAT.3.13	Daji Isa cidi Galileyen cije bǝrǝm Jordaniyero Nawi Yahaya tiro kasala cǝddoro kadio. 
MAT.3.14	Yahaya tiro daptuwuro maje: «A! Awiro gǝle naniro isǝmidǝ? Ngǝlanjudǝ, nima diye wuro kasala sǝddǝmi,» yeno. 
MAT.3.15	Amma Isaye tiro: «Kǝrmadǝ kasadde, dalilnjudǝ awo jire sammaa diodǝ andiro jussǝna nangaro,» yenniya, Yahaya kasatkeno.
MAT.3.16	Tiro kasala cǝdde Isa ingidǝlan kiluwunniyama, same farakko fǝrǝmde Ruhu Alaye alama bullam gai tiro jǝpciyi kiro. 
MAT.3.17	Koro samelan kowo nukce: «Adǝma Tadani wo, tia raakkǝna. Tiramnin jauro karwuni kǝjijǝna!» yeno.
MAT.4.1	Daji Yiwulis tia jarapcoro Ruhu Alaye Isaa simojiye karaa dǝɍiro kiluwo. 
MAT.4.2	Kawu fidewuro bune-a kausu-aro asem kidanniya, kǝna tia kida. 
MAT.4.3	Daji Jaraptumadǝ nanjuro ise tiro: «Ni Tada Alayea, dongur kauye aniro wulgǝne kǝmboro walja!» yeno. 
MAT.4.4	Isaye: «A’a, kitawulan ruwuwada: “Kam kǝmbo baslan gǝni, mana Ala wuljǝna samman dǝgai,”»
MAT.4.5	Koro Yiwulis tia bǝrni tayirro
MAT.4.6	tiro: «Ni Tada Alayea, sǝktǝne cidiro yukkure! Awoa kitawulan ruwuwada: “Ala kǝlanǝmnin malaiyawanjuro wada ce mukkonjan kamnjagai bare sinǝm kauro gǝmdǝgǝnniro,”»
MAT.4.7	Isaye tiro: «A’a, kitawulan ruwuwada: “Bare Ala Kǝmandea rijammǝmmi!”»
MAT.4.8	Koro yaye Yiwulis tia kǝla kau kuruwu fet laayero cade tiro larduwa duniaye samma-a darajanja-aa fǝleyeyenniya, 
MAT.4.9	tiro: «Ngunǝme wuro sujada sǝddǝmia, ani sammaa niro njikki!» yeno. 
MAT.4.10	Daji Isaye tiro kalakciye: «Nani kolle, Yiwulis! Kitawulan ruwuwada: “Ala Kǝmandero sujada yidde, ti tilonjuro ambǝtkǝgǝne!”»
MAT.4.11	Daji Yiwulis tia kolyeno, malaiyawa ye isane tiro ngiskeyera.
MAT.4.12	Isa Nawi Yahayaa kosoro casakkǝnaro fangenniya, cidi Galileyero wallada. 
MAT.4.13	Bǝla Najarattea kolje leje bǝrni laa Kafarnaam canilan napkeno, bǝrni duwon ci bǝrǝmben cidi Jabulonne-a Naptaliye-alan
MAT.4.14	Adǝgaima awo Kǝmande kuren ci Nawi Ishayayen wuljǝnadǝ wakkayeno. Tiye: 
MAT.4.15	«Cidi Jabulonne-a Naptaliye-a kanji jawal bǝrǝmbe na duwon fǝde bǝrǝm Jordaniyen tiro Galile cidi kǝrdiyaye canidǝlan, 
MAT.4.16	am curo duwuyen dasaanadǝ nur kura laa caruna, koro tayi curo kaudi karmoyen dasaanadǝ yea nur wassǝna!»
MAT.4.17	Sa adǝn Isa jamaro kawuɍi kǝji wulduwu badiyeno. Tiye: «Tǝmmowo, nodo bargaa Mai Samemaye del karenjǝna!» yeno.
MAT.4.18	Yim laa Isa ci bǝrǝm Galileyea jǝgai duwon, yaana yindi Siman tiro Biturus cani-a yanjugǝna Andarawus-a buni taramnja bǝrǝmdǝro fijagai kiro. Tayidǝ buni tawu. 
MAT.4.19	Isaye tayiro: «Arowo wua sǝgaiwo, nayia kam tawuro
MAT.4.20	Sadǝman buni taramnja koljane tia geya.
MAT.4.21	Koro nadǝn fuwuyenniya, yaana yindi gade ye Yakuba tada Jabadiye-a yanjugǝna Yahaya-a bawanjan kundenno curo maarayen buni taramnja caassai kiro. Tayia bowoyenniyama, 
MAT.4.22	cijane maaradǝ-a bawanja-aa koljane tia geya.
MAT.4.23	Daji Isa bǝla bǝlaro leje dandalnjan jamaa alamje kawuɍi kǝji nodo bargaa Alaye wuljiyi, am dondia kasuwanja jiɍi fi yayen isangajiyi ngai duwon, cidi Galileye sammaa diriyeno. 
MAT.4.24	Adǝgainin lawarnju cidi Siriyaye ngaro tatargaada. Koro am larduyedǝ amnja kasuwaa-a kǝndondi jiɍi jiɍia-a karuwaa-a sedan koroyea-a tiyi canaa-a sammaa Isaro cakkude isangayeyeno. 
MAT.4.25	Jama kada tia geya, laanja cidi Galileye, laa cidi Bǝlamewuye, laa bǝrni Jerujalembe, laa cidi Yahudiyaye, laa ye ngawo bǝrǝm Jordaniye.
MAT.5.1	Isa jama kada kadami captairo kirunniya, kǝla kau kuruwu laayero juwane napkeno. Fuwurawanju ye nanjuro kadira. 
MAT.5.2	Daji tayia alamdu badiyeno.
MAT.5.3	«Barganja am karwulan talaawadǝ,
MAT.5.3	nodo bargaa Mai Samemayedǝ nuwanjadǝro.
MAT.5.4	Barganja am kǝrma cesiridǝ,
MAT.5.4	fuwun simalonja bawodǝro.
MAT.5.5	Barganja am rokura bawoadǝ,
MAT.5.5	fuwun dunia warasajaidǝro.
MAT.5.6	Barganja am kǝrma kǝna-a ngudu-aaro jire dioro ngǝnǝptaimadǝ,
MAT.5.6	fuwun kuljaidǝro.
MAT.5.7	Barganja am kanjimaɍimasodǝ,
MAT.5.7	tayi ye fuwun kanjimaɍi cawandidǝro.
MAT.5.8	Barganja am karwu bulladǝ,
MAT.5.8	fuwun Alaa caruidǝro.
MAT.5.9	Barganja am kǝrma nanlewa cawudidǝ,
MAT.5.9	fuwun tayia tadawa Alayelan
MAT.5.10	Barganja am kǝla jire dionjayen tayia basarjaidǝ,
MAT.5.10	nodo bargaa Mai Samemayedǝ nuwanjadǝro.
MAT.5.11	«Am wu nangaro nayia raranjane basarnjane diwindo jiɍi jiɍi wuljaiya, bargando! 
MAT.5.12	Kǝji dama baworo fanowo, dalilnjudǝ samelan mukowando jauro ngǝwu nangaro. Nonowo, adǝgaiman nawiya kureye burwonjanadǝa basaryera.
MAT.5.13	«Nayima manda duniaye wo. Amma mandadǝ kǝlambo walyenoa, jiɍi fin gǝle cayenju gairo walji? Awimaro faidajiwawo, tia deyan yirjane am guguwaccai. 
MAT.5.14	Nayima nur duniaye wo. Bǝrni kǝla kau kuruwuyen dǝganadǝ gǝradiwawo. 
MAT.5.15	Wunduma fatǝla wasse kǝmon tǝmjiwawo. Kam fatǝla wassiya, kǝla gǝnaduramnjuyen gǝnaje fadodǝn wundusoro nur ci. 
MAT.5.16	Adǝgaima nayi ye kollowo nurndo fuwu amben wasso, awo ngǝla diwidǝa caro Bawando Mai Samemaro daraja cadoro!
MAT.5.17	«Bare awo Attaura-a kitawuwa nawiyaye-alan ruwuwadadǝa baworo dioro kadikkoro tǝmanuwwi. A’a, tayia baworo dioro gǝni, tayi samma wakkajaro kadikko. 
MAT.5.18	Jiremaro nayiro wulnjagakki, kawu same-a cidi-a baworo waljaimaro, arawu bi sǝkkal falma Attauralan baworo waljiwawo, sai tayi samma wakkajaiya duwon. 
MAT.5.19	Wundu duwon wadawa aniye gananjaa ga waje am gade yea ngai alamjidǝ, curo am nodo bargaa Mai Samemayen tia kam daraja jauro ganaalan bowojai. Amma wundu duwon wadawa ania jǝgane am gade yea jaaro alamjidǝ, curo am nodo bargaa Mai Samemayen tia kam daraja kuraalan bowojai. 
MAT.5.20	Adǝ nangaro nayiro wulnjagakki, malǝmba Attauraye-a Farisawa-aa jire diolan konuwwawoa, tǝmmaro nodo bargaa Mai Samemayero ngawuwwawo.
MAT.5.21	«Amwurawande jaman kureyero: “Bare kam yejǝmmi, wundu duwon kamba cejǝnadǝa shararo caadi,”
MAT.5.22	Amma wu nayiro wulnjagakki, kam kamanjuro gǝrgajǝgǝnadǝa shararo caadi. Koro kam kamanjuro “Kam bowuye!” cǝne rajǝnadǝa majilis adinwuyero caadi. Koro kam duwon kamanjua waje tiro: “Batti!” cǝnnadǝa kannu jaanamayero koljagai.
MAT.5.23	«Adǝ nangaro na laya duwaduramben sadaa njǝddoro isǝmma duwon, awo kuttu laa kamanǝmbo yiddǝmmaa tangǝmia, 
MAT.5.24	fuwu laya duwaduramdǝyen sadaanǝmdǝa kolle lene ni-a kamanǝm-a solodǝnowo duwon, daji walde are sadaanǝm yidde.
MAT.5.25	«Shararambo lawalamanǝm-a rokko ledu diwi duwon, kǝla jawallen doiro kowoɍi de tawaktǝne, bare nia alkaliro sǝrǝnjǝgǝnniro. Adǝ gǝnia, alkali nia mukko sojiyero njakke, soji ye nia kosolan jannjiyi. 
MAT.5.26	Jiremaro niro wulnjǝgǝkki, nadǝn wuɍi njǝgaidǝa cotto rǝmbǝmmia, tǝmmaro luwumbawo!
MAT.5.27	«Koro tayiro: “Bare kǝnjǝna dimmi,”
MAT.5.28	Amma wu nayiro wulnjagakki, wundu duwon kamua cure mangarjǝnadǝ, karwunjun kǝnjǝna cǝdǝna. 
MAT.5.29	Simmǝm kǝmboramdǝ njakke biwu dimia, tia kulaine gǝmme. Tiyinǝm samma kannuro fidiyidǝroa, sim fal fuddǝmmadǝma niro ngalwo. 
MAT.5.30	Koro mukkonǝm kǝmboramdǝ njakke biwu dimia, tia kamme gǝmme. Tiyinǝm samma kannuro fidiyidǝroa, mukko fal fuddǝmmadǝma niro ngalwo.
MAT.5.31	«Koro waldane tayiro: “Kam kamunjua dǝpcidǝ tiro kakkadu kamu dǝptaye co,”
MAT.5.32	Amma wu nayiro wulnjagakki, wundu duwon kamunjua kǝla kǝnjǝnayen gǝni dǝpcǝnadǝ tia kǝnjǝnamaro cǝdǝna. Koro wundu duwon kamu dǝpkadaa niyajǝnadǝ, ti ye kǝnjǝna cǝdǝna.
MAT.5.33	«Koro amwurawande jaman kureyero: “Bare bowuro kansi bummi, kansi Kǝmandero yibbummadǝa de!”
MAT.5.34	Amma wu nayiro wulnjagakki, bare tǝmmaro kansi buwwi! Bare sameyen kansi buwwi, Alaye kurisnju kǝrmaiye nangaro, 
MAT.5.35	bi cidiyen, sinju gǝnaduram nangaro, bi Jerujalemben, bǝrni Mai Kuraye nangaro. 
MAT.5.36	Koro bare kǝlandoyen kansi buwwi, ranguwe kanduɍi kǝlandoye falmaa bul bi cǝlǝmbo diwwawo nangaro. 
MAT.5.37	Ngǝlanjudǝ “Aaa,” bi “A’a,” wullowo. Awi yaye adǝa kojǝnadǝ na ti Kǝladoyen
MAT.5.38	«Koro tayiro: “Kam laa sim bi timi kamanjuye fal kittuluwoa, simnju bi timinju fal ye cattuluwo!”
MAT.5.39	Amma wu nayiro wulnjagakki, bare kam kǝlado wanuwwi. Kam laa feɍinǝm kǝmboram maɍin bakcia, wailadǝ yea tiro kalakkǝgǝne. 
MAT.5.40	Koro kam laa gǝmajenǝm moworo nia shararo njadi cǝnia, kolle garinǝmdǝ yea ngojo. 
MAT.5.41	Kam laa dunodunon njakke na kilometǝr fallaro lenǝmia, na kilometǝr yindiaro ti-a rokko lenowo. 
MAT.5.42	Kam njuworǝnamadǝro ye, koro kam nanǝmnin tagari cǝraanadǝro bare dapkǝgǝmmi.
MAT.5.43	«Koro tayiro: “Kǝmaskinǝmba raye,
MAT.5.44	Amma wu nayiro wulnjagakki, kǝladowandoa rawowo, koro am nayia basarnjanadǝ yero Alaa yukkorowo, 
MAT.5.45	tadawa Bawando Mai Samemayero walloworo. Dalilnjudǝ Ala cakke kǝngal am ngǝla-a diwi-aa wassi, koro ingi sameye ye jirewu-a jirenambuwu-aro cuduriyi nangaro. 
MAT.5.46	Am nayia njaraanaa raawia, awi mukowaye diw? Akki mowomaso ye ngai gǝna cadi? 
MAT.5.47	Koro kǝramiyando runjaa lewanuwia, awi gǝle am gadesoyea kojǝna diw? Kǝrdiya ye ngai gǝna cadi? 
MAT.5.48	Adǝ nangaro Bawando Mai Samemadǝ kalkallo diomadǝ gai, nayi ye kalkallo diowuro wallowo!
MAT.6.1	«Hangal gǝnanowo, bare kǝndondo jireye federo jama nayia njaroro diwwi. Adǝ gǝnia, mukowa na Bawando Mai Samemayen fanduwwawo. 
MAT.6.2	Adǝ nangaro sadaa talaawaro yiddǝmiya, bare mǝnafǝkkaso gai am gadero awo dimmadǝa wulgǝmmi. Tayidǝ dandal so, farsam solan am tayia caro daraja cadoro sadaa cadi. Jiremaro nayiro wulnjagakki, nuwanja cawandǝna. 
MAT.6.3	Amma nidǝ sadaa talaawaro yiddǝmiya, bare mukkonǝm waila awo mukkonǝm kǝmboram cǝdidǝa nojǝnni, 
MAT.6.4	sadaanǝmdǝ asǝrlan napco. Daji Bawanǝm asǝrlan curuidǝ niro mukowa nji.
MAT.6.5	«Moduwa dimiya, bare mǝnafǝkkaso cadidǝ gai dimmi. Tayidǝ dandal so, farsam solan daada am tayia caroro moduwa cadiya, caraana. Jiremaro nayiro wulnjagakki, nuwanja cawandǝna. 
MAT.6.6	Amma nidǝ moduwa dimiya, ngimmǝmbo ngaye cinnadǝa jange Bawanǝm turuiwawodǝa kore. Daji Bawanǝm asǝrlan curuidǝ niro mukowa nji. 
MAT.6.7	Koro moduwa diwiya, bare kǝrdiyadǝ gai awo falla ngǝwuro wuwulluwwi. Mananja ngǝwu nangaro Ala tayia fanjiro tǝmajai. 
MAT.6.8	Bare tayi gairo walluwwi, dalilnjudǝ kawu tia koruwidǝmaro Bawando mǝradundosodǝa nojǝna nangaro. 
MAT.6.9	Akko ngailan moduwa dewo:
MAT.6.9	“Bawande Mai Samema,
MAT.6.9	cunǝmbo daraja tio!
MAT.6.10	Nodonǝm bargaa iso!
MAT.6.10	Awo raamma dunian tǝdo,
MAT.6.10	jiɍi same yen tǝdidǝ gai!
MAT.6.11	Kǝmbonde kuye sade.
MAT.6.12	Biwunde gawursagane,
MAT.6.12	andi ye am biwu saddǝnadǝa
MAT.6.12	gawurniyenadǝ gairo.
MAT.6.13	Bare kolsame jaraptiyende,
MAT.6.13	Kǝladodǝro kasane.
MAT.6.13	Nodo-a kǝnduwo-a daraja-a
MAT.6.13	har abadaro kaanǝmdǝma. Amin.”
MAT.6.14	«Nonowo, am biwu njaddǝnadǝa gawurnuwia, Bawando Mai Samema nayi yea gawurnjai. 
MAT.6.15	Amma tayia gawurnuwwawoa, Bawando ye biwundo gawurjiwawo.
MAT.6.16	«Asem diwiya, bare mǝnafǝkka cadidǝ gai fǝkkando dinuwwi! Tayidǝ am asemnja caroro fǝkkanja faljai. Jiremaro nayiro wulnjagakki, nuwanja cawandǝna. 
MAT.6.17	Amma nidǝ asem dimiya, kǝlanǝm ye kǝndawulan samme, fǝkkanǝm ye lamme, 
MAT.6.18	Bawanǝm turuiwaworo kajia, bare wunduma asem dimiro nojǝnniro. Daji Bawanǝm asǝrlan curuidǝ niro mukowa nji.
MAT.6.19	«Bare kǝlandoro arsiyi dunialan cammuwwi, na duwon kanam-a diwuram-a bannajai, barwuso ye faljane ngasaye ngojaidǝ. 
MAT.6.20	Kǝlandoro arsiyi samelan cammowo, na duwon kanam-a diwuram-a bannajaiwawo, barwuso ye faljane ngasaye ngojaiwawodǝ. 
MAT.6.21	Nonowo, na arsiyindo dǝganadǝman karwundo ye kǝrga.
MAT.6.22	«Simdǝ, tima fatǝla tiyiyedǝ wo. Simmǝm ngaa, tiyinǝm samma ye nurraro walji. 
MAT.6.23	Amma simmǝm jaujia, tiyinǝm samma ye duwuaro walji. To, nur nilan dǝganadǝ duwua, duwu adǝ jaumaro kura, diye!
MAT.6.24	«Wunduma rakce wolodi kam yindiyero waljiwawo. Bi fal waje fal cǝrayi, bi fal bǝrsǝmje fal bassi. Nayi ye ranguwe wolodi Ala-a wuɍi-ayero walluwwawo.
MAT.6.25	«Adǝ nangaro nayiro wulnjagakki, bare kǝla awo rondoro buwi-a yawi-ayen bi kǝla awo tiyindoro yakkuwiyen karwungai diwwi. Rodǝ kǝmboa kojǝna, koro tiyidǝ ye kajǝmua kojǝna, gǝna? 
MAT.6.26	Ngudowa sameyea ruiwo, kulo ye canadiwawo, kala ye cadiwawo, koro nema ye jawulan capcaiwawo yaye, Bawando Mai Samema tayia ambaji. Nayidǝ jauro ngudowaa darajan konuwwa, gǝna? 
MAT.6.27	Wundundo gǝle rakce karwungainjulan sa fal kawunjuro cǝrgaidǝ?
MAT.6.28	«Koro awiro kǝla kajǝmuyen karwungai diwi? Fǝɍeso karaaye jiɍi ɍijaidǝa ruiwo, ngǝnǝpcaiwawo, koro caa cadiwawo. 
MAT.6.29	Amma nayiro wulnjagakki, Mai Sulemana jauro darajaa yaye, ngaltema kajǝmu fǝɍe aniye falnjaa nanshawan najǝgǝna cakkǝnni. 
MAT.6.30	Ala fǝɍeso ku karaan ɍijai baɍi kannuro fijagai ania ngai jakcidǝ, fagatto nayi yea jannjai, nayi kambǝrse ganaadǝ!
MAT.6.31	«Adǝ nangaro bare kǝla awo aniyen karwungai diwwi, bare kǝlandoro: “Awi gǝle buiye?” bi “Awi gǝle yaiye?” bi “Awilan gǝle tiyinde jangiye?” wulluwwi. 
MAT.6.32	Kǝrdiyaso awo ania majai, amma Bawando Mai Samema nayi ye awo ani samman mǝradundoaro nojǝna. 
MAT.6.33	Attǝroa, nodo bargaa Alaye-a jirenju-a manowo duwon, awo ani samma yea nayiro njadi. 
MAT.6.34	Adǝ nangaro bare karwungai baɍiye diwwi, karwungai baɍiyedǝ kuye gǝni. Ku nguson suwol kaanjua.
MAT.7.1	«Bare wundumaro shara yidduwwi,
MAT.7.2	Jiɍi ambo shara yidduwidǝ gai, nayi yero shara njaddi. Koro jiɍi ambo ngalgǝwidǝ gai, nayi yero ngalnjagai.
MAT.7.3	«Awiro kalǝm sim kamanǝmben rumi duwon, karjǝm curo simmǝmbea asunǝmbawodǝ? 
MAT.7.4	Akko ni simmǝmlan karjǝmbadǝ, awiawin gǝle kamanǝmbo: “Kolle kalǝm simmǝmbedǝa tuluwukke,” nǝmi? 
MAT.7.5	Mǝnafǝk! Karjǝm simmǝmbedǝa tuluwumiya duwon, daji ngǝlaro rume kalǝm sim kamanǝmbedǝa tuluwumi.
