MAT.1.1	Ísu Káráísitina akúni'a uráan-kwasai. Ísu aíkwá'náma Tévítimani. Tévíti aíkwá'náma Ááváramumani.
MAT.3.12	aawinkwínaumo sípétivimbo mósá makésamo iyaavumásúwááwanamo anómbo marapá'ó kúmísanamo ásima úndáomo tútúwaisasamo kaíkai'o ínín-iravimbo kwiyúmaimo agaisuwésamo anómbo naaúmpa'o mósá máráantemba kwaási miráráámbá íníye Yóni siráiye.
MAT.3.13	minkánáá Ísu Káríri-ayampakemba Yóntáni-nompa'a téna Yóni nombá pésinkainkwae séna túwana 
MAT.3.14	Yóni séna ímanivo emó nombó pésinkaniyonda kanaán-ivo kentáváí se nombá pésinkaao kwésene súwana 
MAT.3.15	Ísu séna ivátuke súndantemba mirá uwo. mirámó ékaimo ékai Áánútu siráini'a óyauye súwana owé séna 
MAT.3.16	nombá pérankowana nompínkémbá usásinowana sokón-tawaai taaínkaar-úwana Yóni awánómba Áánútun-amanko mááiraamba úmaena Ísu ane'á kumbáyowana 
MAT.3.17	aaigówé su'mai kwíyómpakemba séna maawámá kesáánimba isa'á kwená imáyáa kwée'a ávááraumai aamoí umánkaumne siráiye.
MAT.4.1	súwana Sáátáánigo Ísumba áísaa umai isáníntavena Áánútun-amanko Ísumba simámuwana kavóná-marava'a 
MAT.4.2	koména toómbá íma néna ayáátááka'a 40 no'waamba kwaúwana ávááran-aai ankówana 
MAT.4.3	Sáátáánigo Ísu sáwí'o índa awánanae séna Ísunopa'a téna séna emá Áánútu áánimba úne kwésempo maanóntánkóntáváí toómbá aúréna'a naanó siyó súwana 
MAT.4.4	Ísu séna Áánútun-aai aúváí-kwandaaivinkemba séna
MAT.4.4	toómbó náíyawaiye su'mai kwaási íma tátoraivo
MAT.4.4	Áánútu siráini'a amápa'a íyana tátoraniye
MAT.4.4	siráimba pó'a emó sénda íma mirá ónaumne súwana 
MAT.4.5	Sáátáánigo Ísumba áí'maena Yérúsaremu-naopa'a kwéna anóm-bono'-nankona ávúmayaapa'a móankena 
MAT.4.6	séna Áánútun-aai aúváí-kwandaaivimba séna
MAT.4.6	Áánútu kwíyómpakemba kwená kwayó'nárawa'a ti'maráínasa enká'á kárákwiresa pósa óntanka'a aísamaima turaráanavo sésa tiyáándei aramónááowe
MAT.4.6	siráiye. mindáyavai emá Áánútu áánimba úne kwésempo maankákémbá ásávenasa kwíyómpakendarawa'a arámbaesa marapá'á móru ankánááowe Sáátáánigo súwana 
MAT.4.7	Ísu séna Áánútun-aai aúváí-kwandaaivinkemba á'a mirá siréna moórá-ainkwara'a séna
MAT.4.7	kentí Ísóigo Áánútumba
MAT.4.7	áísaa umai isánáe íma seró
MAT.4.7	siráimba emó séndantembo mirámó ékai Áánútumba áísaa umai isáúsino. mindáyavai emó sénda íma mirá ónaumne Ísu súwana 
MAT.4.8	Sáátáánigo Ísumba áí'maena anón-omapa'a iréna móankena amápa'-marava'a kárákwiron-kwaasiye miwítí anón-asirayane agaráárankena 
MAT.4.9	séna kenká'ó kívairemo kesí imáyáamo mósá máréna'o é'a kárákwiyi-mayai áména kárákwiyiniyone Sáátáánigo súwana 
MAT.4.10	Ísu séna Sáátáánigo kówaao. Áánútun-aai aúváí-kwandaaivinkemba séna
MAT.4.10	kentí Ísóigo Áánútumpa'a imáyáa é'a kwenáwíre
MAT.4.10	su'mai mósá maré'a kwená mayáíyé su'mai máyáaro
MAT.4.10	siráimba pó'a emó sénda íma mirá ónaumne súwana 
MAT.4.11	Sáátáánigo auwéna kúwasa kwíyómpakemba Áánútuna kwayó'nárawa'a kumésa Ísumba áwa'naa uráawe.
MAT.4.12	Yóni marará-káwáánákó áwí'a Érótintavena séna sáwí'a uráiye siróntavena ándáva'a máankowana máyon-aimba Ísu iséna Káríri-ayampa'a kwéna 
MAT.4.13	Násáreti-naopa'a íma koména Kápénéamu-naopa'a koméraiye. mindáópa'a Káríri-nonkwaaunkon-awampa'-naopa'a Sépiyuraaniye Návataraiye tísaavutantamba uráawaiti maravá'á kwáyon-daopa'ani. 
MAT.4.14	Ísu Kápénéamu-naopa'a komáyomba naaóvá'á Áánútun-aai simátímakowai áwí'a Áísáya agaimaréna sirónka'a póna mirá uráiye. kwemá agaimaréna séna
MAT.4.15	Sépiyuraaninte Návatarainte mindárai tísaavutantamba uráawaiti maravá'á nonkwaaúnkón-awampa'a Yóntáni-nonkona menávápá'-máráó áwí'a Káríri-marava'a máyáawai ó'on-o'on-kwaasiyave'a súnda 
MAT.4.16	minkwáásí túnkwi-ayampa'a mésa sámo kaípa'a awánanaaowe. Áánútuna némpa'o túnkwi-ayampa'o máyáawai sán-kamátinkaniye
MAT.4.16	agaimaréna sirónka'a póna Ísu paáréna mirá uráiye. 
MAT.4.17	minkánáá Ísu simátimindayavena ááimba ásámai simátimena séna Áánútu kwená kwaási kawááimba ááimba kwéasaivo kentí sáwí-imayaa tuwé'a Áánútunopa'a teró siráiye.
MAT.4.18	Ísu Káríri-kwaaunkon-awampakavamba kúmba kae-kwáásíráí mésarai awaaó áwí'a Sáímoni moórá-awi'a Pítaa úwana áváko áwí'a Éndaru umái mésarai miwítí mayáímá pósarai noyáá'a to'mái tímapa'a kwénaaesarai kwase-únámbá nompí tukóyana 
MAT.4.19	Ísu simátimena séna kesé tekaiyó. noyáá'o to'máímo tímapa'o kwénaaoyantemba aúná-mayai tíménakai kwénaaekai kesáái simátímapa'a kwénaaiyasa kesópa'a teró súwasarai 
MAT.4.20	minkwásé-únámbá tuwésarai kwesé kurááiye.
MAT.4.21	kwesé kuyaná Ísu kómarena kúmba kae-kwáásíráí mésarai Sépéti ááninkai awaaó áwí'a Yémési úwana áváko áwí'a Yóniye tivowámpi kwimái nompí-sípívímbá mésaya kwase-únámbá to'mayaa kwéuwana Ísu minkáé'nárai tááyowasarai 
MAT.4.22	avekáámbá tivowámbá mindómpí-sípívímbá auwésarai Ísuwe kurááiye.
MAT.4.23	Ísu Káríri-ayampa'a naaó'-nao'a kwénaaena mono'-náúmpímpá'á Áánútu kwená kwaási kawááin-aimba mináséí-kwásáí kosimátímapa'a kwénaaena ó'on-o'on-ti'o ún-kwaasi asóvamatinkava'a kúwana 
MAT.4.24	kwenááigo Síriyaa-marava'a naaó'-nao'a kóyáwé úwasa ó'on-o'on-ti'o ún-kwaasiye taraváá-kwámbó tirumpimbó máyon-kwaasiye tíyayaambo árúkun-kwaasiye tíyayaambo pukón-kwaasiye mirámó un-kwáásí taagwiya'maésa Ísunopa'a mátínkówana asóvamatinkena 
MAT.4.25	aambó kwénaaumba sáwívarawai Káríri-ayampakene Tékáporisi-ayampakene Yérúsaremu-naopakene Yútiyaa-ayampakene Yóntáni-nonkona menávápákén-kwáásíyé miráumai-naoken-kwaasi kwenópa'a tóyo uráawe.
MAT.5.1	Ísu máyowasa sáwíva-kwaasimo tóyo umbá tuwánéna omápa'a umáyowasa kwená kwaásiyomba torupamái máyówana 
MAT.5.2	simátimena séna 
MAT.5.3	Áánútu súwa'naa ínkwáe sewáí Áánútu miwí kawe'á kwéumatinkena miwírá'á kwégawaaiye. 
MAT.5.4	miwívímbá sáwí-imayaa kwáyáísana tirunkó umbaí kwétaiwai Áánútu miwí kawe'á kwéumatinkena etóyóí kwéumatinkaiye. 
MAT.5.5	kesáváí túmo ímo maé kwéiyowai Áánútu miwí kawe'á kwéumatinkaimba pósa siráim-barama mayánááowe. 
MAT.5.6	Áánútu siráintemba mirá ónáe kwésewai Áánútu miwí kawe'á kwéumatinkena kawe'ó umáímo ménaaontavena kawerí'a umátinkaniye. 
MAT.5.7	tirumbó kwéumatinkaawai Áánútu miwí kawe'á kwéumatinkena arumbá umátinkaniye. 
MAT.5.8	tirumpinkémbó kawer-áíné su'mai kwésewai Áánútu miwí kawe'á kwéumatinkaimba pósa Áánútumba awánanaaowe. 
MAT.5.9	kwaásivimbo paru umátinkanaaontavesa mayáí kwémayaawai Áánútu miwí kawe'á kwéumatinkena kesí iyámpóin-owe síníye. 
MAT.5.10	Áánútuntavesamo imáyáamo ésamo arupí umáímo máyáantavesa sáwí'a kwéumatinkaawe. Áánútu miwí kawe'á kwéumatinkena miwí kwená kwaási-i'o ombá póna kwégawaaiye. 
MAT.5.11	keinárawa'o kentávé'o asiramáímo máyáantavesa mindáyavesa sáwí-aimba simátinkesa sáwí'a umátinkesa ó'on-o'on-kampar-aimba simátinkaamba Áánútu keinárawa'a kawe'á kwéumatinkaiye. 
MAT.5.12	naaóvá'ó Áánútun-aaimo simátímakowaimo sáwí'o umátínkaraantemba ívé'a sáwí'a kwéumatinkaamba tirunkó kawe'á kwéina'a aamoí é'a kwíyómpakemba kentí kawe'-méyámbá mayánááowe Ísu siráiye.
MAT.5.13	Ísu simásuwena simátimena séna marapá'ó máyáan-kwaasivimba mé'a uwígómó áséimo intenkáámbá kwéowe. mirá kwéombanivo uwímó sáwí'o énamo imbá íma kawe'á umái kéna íma áséi éna úwoisankaamba umágwisasa aampa'á tukésa kwénaaowe.
MAT.5.14	marapá'ó máyáan-kwaasivimba mé'a sámo kaintenkáámbá kwéowe. ááraipa'o kwáyáin-daopa'o mósá awánaantemba keinárawa'a máyáawaina ááimba kwéawanaawe. 
MAT.5.15	iramá oómbá kúra'maresa íma aúpá'á maráíyamba avora'á maráíyamba mindáópaken-kwaasi awánanaaowe. 
MAT.5.16	miráumai sámo kaintembá kwaásivimba mé'a sán-kamátinkaiyasa kentí kawe'-máyáí tuwánésa kentivo kwíyómpa'o máyáiwai áwí'a mósá maránááowe Ísu siráiye.
MAT.5.17	Ísu mináímbá simásuwena séna íma kentávé'a sé'a Mósesi siráin-aine Áánútun-aai simátímakaawai siráan-aine ivá'á túwáiwaiye íma seró. Áánútun-aai siráan-aimba íma tuwánaumpo siráanteni'o umáímo paárinintave'a kunkáumne. 
MAT.5.18	simátíménda ísáaro. kwíyómba maramá kwáyáísana póna Áánútun-aai kwaíkwai'a kwéiye. Áánútun-aaigo amápa'a kwaíkwai'a kwéimba póna mináínkómó siráinten-umai amápa-tantaa'a paáriniye. 
MAT.5.19	miráumai Áánútun-aaivinkembo kítor-aimbo araaisésamo ó'owantavesamo sésamo kwéundantemba mirá ínímba mindá kanaán-iye síyanamo éna Áánútu séna kesí kwaási kawááunda-kwaasivinkemba íma asirayán-kwáásímán-owe sínívo Áánútun-aaimo taagwiyavésamo simátimesamo sésamo Áánútun-aai ísáaro kwésewaiyavena Áánútu séna kesí kwaási kawááunda-kwaasivinkemba anón-kwaasiman-owe síníye. 
MAT.5.20	moórá-aimba simátimunda ísáaro. ámáán-kawaa-kwaasiye ámáámba sen-kwáásíyé sésa Áánútumo siráintemba umái máyaumnemo sembá kampa'á kwésewe. miwímó ontembó keinárawa'o é'a Áánútumo kawááipa'a íma mé'a Áánútumo siráintemba árai'a mirámó é'o é'a Áánútumo kawááipa'a ménaaowe Ísu siráiye.
MAT.5.21	Ísu maarán-áínkwárá'á séna naaóvá'á Mósesi kentíkwá'náyavena simátímakain-aimba ísaraamba maará séna tínkamiyasamo puwónááoni'a íma oró. mirámó íyasamo ésa aaivimbá maitinkánááowe siráimbanivo 
MAT.5.22	simátime'a sé'a miwítí kwaásiyavesa aaisambá kwétiyiyawai aaivimbá maitinkánááomba mindá kanaán-iye. miwítí kwaásiyavesa sáwí-aimba simátínkáawaima tí'maesa aaimó ísáawaitopa'a mátinkaiyasa aaivimbá maitinkánááomba mindá kanaán-iye. miwítí kwaásiyavesa uwo'aó-kwáásíyá'o. úwoi-kwaasiya'o. sésa simái sáwí'a kwéiyawai sáwí-meyambo mayánááopa'o iramó kwégaipa'a ménaaomba mindá kanaán-iye. 
MAT.5.23	mirán-áímbá imáyáa ombá Áánútuntave'o imáyáamo é'o moórá-yantaa'o aménáe'o anóm-bono'-naumpa'o komé'o é'a kentí kwaási aaí tátokaiya'o tááka'o maké'o é'a 
MAT.5.24	Áánútumbo aménááon-tantaa'a óntan-taareigona egwaa'á mámare'a mináímbá koísámai arupí umásuwe'a koyauweré'a Áánútumba áméro. 
MAT.5.25	aaimó simátinkanae síyawaimo tí'mae kwíyasa aampa'á mósimai paárumasuwesa koró. anón-kwaasimo mátimiyasamo ésa i-kwáásí timíyasa ándá-naumpa'a tinkánááowe. 
MAT.5.26	ímo mirámó íyasamo ésa ándá-naumpa'a mótinkaiyasa íma ááéma ánásanaumne sésa amápa'-meyamba tímatuwaiyasa ayútinkanaaowe Ísu siráiye.
MAT.5.27	Ísu mináímbá simásuwena séna naaóvá'á Mósesi simátímakain-aimba ísaraamba maará séna ó'owi tuwainímbááre tuwai'mááte íma nááóro siráimbanivo 
MAT.5.28	simátime'a sé'a moóráwaimo moórá-inimbo awánénamo tavisénáe sénamo ínímba íma avora'á ínívo imáyáaneiye su'mai tavisínana Áánútu séna imáyáavinkemba á'a kwéyavisiye síníye. 
MAT.5.29	túrankomo sáwí'o ína'a misáwí-ámpá'á kúnavo sé'a moórá-turamba pítuwaaro. kae-túrándéímó awáné'o é'a sáwí-marupa'o iramó kwégaipa'a kónááomba mindá sáwí'an-iye. sáwí'o uráinda maisuwé'o máyáamba mindá kawe'án-iye. 
MAT.5.30	tiyáánkomo sáwí'o ína'a misáwí-ámpá'á kúnavo sé'a moórá-tiyaamba arátúwáaro. kae-tíyáámbó kwáyaina'o é'a sáwí-marupa'o iramó kwégaipa'a kónááomba mindá sáwí'an-iye. sáwí'o uráinda maisuwé'o máyáamba mindá kawe'án-iye.
MAT.5.31	naaóvá'á Mósesi maará séna moóráwai awainínkómbá ai'mátuwaindawai aúváívimba agaimaréna séna kesuwainímbá ai'mátuwaumne séna agaimái amiíno siráimbanivo 
MAT.5.32	simátime'a sé'a awainínkó íma moórá-kwaasigoe kwénaaisana awaikó ai'mátuwaisana minínínkó kówéna moórá-kwaasi komairéna minínínkó aúná-kwaasigoe kwénaaimba sáwí-amba kwénaaiye. aivar-áwáíkómó ai'mátukaintavena mirá kwéiye. moórá-kwaasigo ai'mátukain-inimbo kwémayaimba kwegwárá'á umóyámbá kwémayaiye Ísu siráiye.
MAT.5.33	Ísu maarán-áínkwárá'á séna naaóvá'á Mósesi simátímakain-aimba ísaraamba maará séna Ísóigompata mirá ónaumne síyamba kampa'á seváínivo árai'a sé'a mirá oró siráimbanivo 
MAT.5.34	simátime'a sé'a kemó mirá ónaumnemo síyambo é'a árai'a mirá oró. kemó ímo mirá ónaumnemo síyambo é'a árai'a íma mirá oró. Áánútu kárákwiraiwai kwíyómpa'a máyáivo Áánútu áwíka'a íma matuwé'a seró. 
MAT.5.35	Áánútu marapá'á kárákwiraipa'an-ivo íma marará'á matuwé'a seró. Yérúsaremu-naopa'a Áánútu kárákwirain-daópa'an-ivo íma mindáópa'a matuwé'a seró. 
MAT.5.36	avután-á'nóntáúrá'á kaantáún-a'nontau íma kanaán-umai auré'a kaantáún-a'nontaura'a avután-á'nóntáú íma kanaán-umai auránááovo ti'nónká'á íma matuwé'a seró. 
MAT.5.37	kemó mirá ónaumnemo síyambo é'a maarán-áíné su'mai seró. owé mirá ónaumne seró. kemó ímo mirá ónaumnemo síyambo é'a maarán-áíné su'mai seró. a'áo íma mirá ónaumne seró. simátimunda-aimba Sáátáánigona imáyáavinkeni'a kwéowe Ísu siráiye.
