MAT.1.1	Tákɨ̀rɨ́b ndùtì ndútí Yésù Krístù nyȩ Dàvît ya dundóŋce nyȩ Àbɨ̀ràháàm á rè:
MAT.1.15	Èlìwûd ɨ́ fèìn Èlèyàsáàr; Èlèyàsáàr ɨ́ fèìn Màtâŋ; Màtâŋ ɨ́ fèìn Yákòb; 
MAT.1.16	Yákòb ɨ́ fèìngì Yòsə̂b, ŋgwáá Màríyà yà Yésù kùb du ɓénɨ Krístùù.
MAT.1.17	Yànɨ ɓwâ ya Àbɨ̀ràháàm há̧á̧ ɓwâ Dàvíìt, tákɨ̀rɨ́b ndùtì ndútí Yésùù yaá cóóŋ ɨ́ nààsɨ̀b. Yàréndóŋnɨ Dàvît ya há̧á̧ ɓwâ gbàŋ Ísràyéèl ya gɨ nìrì Bàbìlôn ndɨ, ŋgáb yaá ɓwê cóóŋ ɨ́ nààsɨ̀b. Yàrécénɨ ɓwâ ŋgáb ya gɨ nìrì kɨ́ gònɨ féínnɨ fin Krístùù, ŋgáb yaá ɓwêhá cóóŋ ɨ́ nààsɨ̀b.
MAT.1.18	Ndáín Yésù Krístù sóò á rè. Màríyà yà Yésùù yaám kóóm Yòsə́ə̀b kùb ya ə́əmnaɓa gùmní á. Kí á Màríyà ɨ́ gàm ɓur ɓe nyòm Nyéhè Sarɨ́nne, ɓwâ kɨ́ ŋgə́ nɨ dùyèwá ɓe ŋgwáá noò. 
MAT.1.19	Hȩ Yòsə̂b, ŋgwáá Màríyàà ya du nò ɗɨ́ɗɨ̧́ Mèèín íhɨ́nné, ŋgə́ ɨ́ tà ní ŋgə́ sə̀ə̀kɨ́nɨ mɨ̀kùnín ɗàà, ní á nɨ ŋgə́ mbɨ́knɨ yoó yáá. 
MAT.1.20	Hȩ ŋgə́ ɓwáínɨ u̧nèé, á dùgal Kékéé ya lə́ ŋgə́ wuúm ɗà ŋgə́ ɨ́ tànà Yòsə̂b ɨnè: «Yòsə̂b, nyȩ Dàvíìt, wu wu árê gwi woò Màríyà yóò lùr. Mwin ŋgéé ɓɔ̧ɔ̧ ɗàrɨ́, ŋgə́ gam nɨ ɓe nyòm Nyéhè Sarɨ́nne á. 
MAT.1.21	Ŋgə́ ɓa fènnɨ mwin nɨ̀ŋgwá á, wu a bɨ́nà mwɨi kɨ́ ɨ́r ‹Yésù›, ɓetí ŋgə́ ɨ́ ɓa ɓátɨ̀hó̧nɨ gbàŋ noò cum ŋgábè no ku ru.»
MAT.1.22	Nɨ́ɨ́b kɨ́ ya ndɨŋ u̧ àm nɨ́m Kéké yi tawona nɨ́m 
MAT.1.23	Ŋgə́ ya taá ɨnè: «Péye, máyɨr ɓa gàmnɨ ɓur á; ŋgə́ a fèìn mwin nɨ̀ŋgwá,
MAT.1.23	kùb a bɨ́nà mwɨi kɨ́ ɨ́r ‹Èmànúwèl.› »
MAT.1.23	(Kí ta: «Mèín á ɓe nɨ́m» na á.)
MAT.1.24	Ɓwâ Yòsə̂b ya səmne wum kíì, ŋgə́ ɨ́ ndɨ̀ŋ nɨ́m dùgal Kékéé ya tana ŋgéé. Ŋgə́ ɨ́ árê gwi noò yó. 
MAT.1.25	Ɓe kùùŋ ɨ́ dù bɨ́ dùwá há̧á̧ hȩ Màríyà ya go fènnɨ mwin nɨ̀ŋgwá, ɗà Yòsə̂b ɨ́ bɨ́nà mwɨi kɨ́ ɨ́r «Yésù».
MAT.2.1	Kùb ya fein Yésù Bétɨ̀lèhêm á, ti Jùdéè no; ɓwâ kɨ́ 
MAT.2.2	«Mvèìn jíri Jwîf ɓoò kùb fein ɗàrò rè á ŋga? Nɨ́m tɨ péé káŋyerè ŋgéé ɓə̀nɨ péín mvii fó̧ré, àm kɨ́ á nɨ́m ta nɨ́m gòyè ŋgə́ ɗómnɨ ru.»
MAT.2.3	Hȩ Hèrôdə̀ nò yi du mvèìn jírií ya ók àm kíì, ŋgwé ɨ́ jɨ̀hè ŋgə́ ɓe nùb Yèrúsàlèèm lâs. 
MAT.2.4	Á ŋgə́ ya ɓáhe 
MAT.2.5	Ŋgáb ɨ́ pììnà ŋgə́ ɨnè: «Bétɨ̀lèhêm á, ti Jùdéè no, ɓetí 
MAT.2.6	‹Wu Bétɨ̀lèhêm, ti Jùdéè no,
MAT.2.6	wu ɓà wu kúr ti sé mvókín kwɨ́ì Jùdéè lâs no,
MAT.2.6	ɓetí mvèìn kwá gə́tɨ Ísràyêl gbàŋ moò,
MAT.2.6	kwá fó̧ wu no.› »
MAT.2.7	Nùb jííb ɗəŋhȩ àám káŋyerɨ̀bì rè, Hèrôdə̀ ɨ́ ɓê ŋgáb yoó, fɔ́nɨ ŋgáb ɓwâ ŋge á ŋgáb ya pə́ káŋyerè ɓə̀nɨ. 
MAT.2.8	Ŋgə́ ɨ́ tómsò ŋgáb Bétɨ̀lèhêm, ŋgə́ ɨ́ tànà ŋgáb: «Gɨnáam mányààŋnɨ mwɨi kɨ́, óo nyí kwaá ŋgə́, nyí a tàcùwònà mɨ yá ŋgə́ duré, mɨ yè gɨceé ŋgə́ ɗómɓwênɨ.»
MAT.2.9	Ɓwâ ŋgáb yi ók nɨ́m mvèìn jíri yi tana ŋgábè, ŋgáb ɨ́ gì. Ŋgáb ɨ́ pê káŋyerè ŋgáb tɨ pə́ péín mvii fó̧ré rè gɨ̀sénɨ ŋgábè tíí, há̧á̧ ɨ́ gì féínnɨ yɨ́ mutí náná kɨ́ yi duré. Ŋgə́ ɨ́ ə́ə̀ŋsówò ɓè. 
MAT.2.10	Hȩ ŋgáb pə́cu káŋyerè kíì, ŋgáb ɨ́ ókɓà mɨ̀tù cei. 
MAT.2.11	Ɓwâ ŋgáb lə́ yóò, ŋgáb ɨ́ pê mutí ɓe yà nóò Màríyà. Ŋgáb ɨ́ cáàmsê ɗàá ŋgéé tíí, ɗà ŋgáb ɨ́ ɗôm ŋgə́. Ŋgáb ɨ́ kùmnè haain ŋgábè, ɗà ŋgáb ɨ́ nà ŋgə́ múúb ŋgábè: Gôl, nyuŋ ɓe làmɨ́ndà. 
MAT.2.12	Kí á hȩ Mèín ya lə́ ŋgáb wumí ŋgáb yá Hèrôdə̀ féíncùwáá, ŋgáb ɨ́ pèìn jɨ̀r. Ŋgáb ɨ́ gɨ̀cù ɓo ti̧í̧ jɨ̀r jií no.
MAT.2.13	Ɓwâ nùb ɗəŋhȩ àám káŋyerɨ̀bì ya go pénɨ Yésùù ya gɨcu ŋgábè ti̧né, á dùgal Kékéé ya go lénɨ Yòsə̂b wuúm, ŋgə́ ɨ́ tànà ŋgə́ ɨnè: «Yòsə̂b, éíwúum còóm, hain mutí ɓe yà nóò, lugem ti Èjíìbtə̀ no. Wu a dù ku há̧á̧ ɓwâ mɨ ɓa wu ɓécùwòniì, ɓetí 
MAT.2.14	Kí á Yòsə̂b éíwú sɨ́mnìín, ŋgə́ ɨ́ â mutí ɓe yà nóò, ŋgáb ɨ́ gì bɨ́ ti Èjíìbtə̀ no. 
MAT.2.15	Ŋgə́ ɨ́ dùɓà ku há̧á̧ ɓwâ Hèrôdə̀ ya kúré. Nɨ́m kɨ́ yi ndɨŋ u̧ àm nyindí Kéké ya nyinndé 
MAT.2.16	Ɓwâ 
MAT.2.17	U̧ á nɨ́m Jèrèmî 
MAT.2.18	«Kùb ya óó kúu kɨ́ŋní péín Rámà,
MAT.2.18	kɨ́kɨ́í ɓe lòòmèé síhé.
MAT.2.18	Ràsêl ɨ́ du munɨ́b noò kɨ́nnɨ ru.
MAT.2.18	Ŋgə́ ɗúwa kùb mbə̀tɨ̀ ní, ɓetí ŋgáb nduktɨ́ bɨ́.»
MAT.2.19	Ɓwâ 
MAT.2.20	Ŋgə́ ɨ́ tànà Yòsə̂b: «Éíwúum còóm, hain mutí ɓe yà nóò, gɨcunáam ti Ísràyéèl, ɓetí nùb ya ɗú kwíìnɨ mutíí kúú bɨ́.»
MAT.2.21	Kí á Yòsə̂b ya éíwú còóm, ŋgə́ ɨ́ hàìn mutí ɓe yà nóò, ŋgáb ɨ́ gɨ̀cù ti Ísràyéèl no. 
MAT.2.22	Ɨ́dù hȩ Yòsə̂b ya ók ɨnayâna Àrkèlàyûs mwin Hèrôdə̀ ya ácuú nɨ́ ju mvènnì tá niì ti Jùdéè tə̧né, á vùù ya bɨ nɨ́ ŋgə́ gìnɨ ku. Hȩ Mèín ya tanace nɨ́ ŋgə́ wuúm ŋgə́ gɨ̀ nɨ ɗɔ̀ɔ́b Gàlìléè rèé, á ŋgə́ ya gi nɨ́ ku. 
MAT.2.23	Ŋgə́ ɨ́ gì dùrénɨ Nàsàrêt. U̧nè á nyindí 
MAT.3.1	Mvókín kù no á Jâŋ nò kɔhɨ kùb kɔ ə́mní ya féínwo, ŋgə́ ɨ́ yà ɓéènɨ àm Mèèín ŋgwàì ndɨ̀ŋnì ók ɓe Jùdéè no, 
MAT.3.2	ŋgə́ yaá tànɨ ɨnè: «Ɓandɨnáam sum, ɓetí 
MAT.3.3	Nò Èsáyà, 
MAT.3.3	«Kúu nyindíí kù á kɨ́ŋɓéwònɨ ŋgwàì ndɨ̀ŋnì, a tace:
MAT.3.3	Nyaaŋkɨ́náam jɨ̀r Kékéé,
MAT.3.3	nyaaŋnáɓam jìíb ɗɨ́ɗɨ̧́!»
MAT.3.3	Na rè, Jâŋ kɨ́ á. 
MAT.3.4	Júk Jáàŋ sóò yaá nyaŋhîn ɓe mvɨ̀tí ŋgɨ̀rɨ̀màà, lí ŋgù̧né noò yaá ɓe kwa; cɔŋ noò yaá mɨ̀nánè ɓe lamé. 
MAT.3.5	Nùb Yèrúsàlèèm ɓe nùb ti Jùdéè bɨ̂ŋ, ɓe nùb ya dukom gíngín mvúm kùb ɓé Jùrdə̧̂ lâs yaá ŋgə́ gáíwònɨ. 
MAT.3.6	Ŋgáb ya viikomɓa cum ŋgábè mɨ̀kùnín, Jâŋ a kɔɔce ŋgáb kɔ ə́mní mvúm Jùrdə̧̂ kɨ́ no.
MAT.3.7	Ɨ́dù ɓwâ ŋgə́ yi pə́ 
MAT.3.8	Nyí ma dùhácɨ̀ ɓe ɗɨ́m nò ɓandɨ sumí du ɓe kíí kà. 
MAT.3.9	Nyí nɨ gíí sə̀ŋkɨ̂r nyí a tà: ‹Nɨ́m nɨ nyȩrɨ́b Àbɨ̀ràháàm yóò á.› Ɓetí mɨ tànàɓà nyí wááŋ, Mèín á ɓe nyòm ndɨŋ sɨɨ bɨ rè sèì nyȩrɨ́b Àbɨ̀ràháàm. 
MAT.3.10	Kùb ɓóobcií bɨ́ fár àm sárɨkɨ́ yɨ̀bí. Yɔ̀ lâs du gum nyɔ̧ɔ̧́ jáàbwáá, kùb ɓa ŋgə́ cə́bsékɨ́nɨ ɗàá á, kùb a tòŋkî ŋgə́. 
MAT.3.11	Kɨ́ moò mɨ kɔɔ nyí kɔ ə́mní ɓe mvúm àm túmnɨ ɨnayâna nyí ɓandií sum na á, nɨ́m mwi̧, nò kù á mɨ tùwònɨ cùrì, ŋgə́ ɓa nyí kɔ̀ɔ̀nɨ ɓe Nyéhè Sarîn ɨ́ wa á. Ŋgə́ á nɨ tamnì ndóóŋ nɨ́ mɨ; mɨ ɓàcéyè mɨ ɗóhîn njèìkɨ́nànɨ ŋgə́ tə́b gure ɗàɓàwá. 
MAT.3.12	Ŋgə́ á ɓe tɨmwà nóò ŋgáré. Ŋgə́ ɓa fɨ́ínɨ mvéín á, ŋgə́ a kɨ́klê no kárȩ́ȩ́, ŋgə́ a tòŋkɨ́cè orɨ́b kɨ́ wa du lɨ́ɨ̀mnɨ lɨ́mîn ɗàwáá no.»
MAT.3.13	Mvókín Kɨ́ no á Yésù éíwo ɗɔ̀ɔ́b Gàlìléè, gìnɨ swaàr Jùrdə̧́ə̧̀. Ŋgə́ ɨ́ féìn gín Jáàŋ, àm ŋgə́ kɔ̀ɔ̀ ní kɔ ə́mní. 
MAT.3.14	Jâŋ ɨ́ ɗû mvúnɨ, ŋgə́ ɨ́ tànà Yésù ɨnè: «Wu ɨ́ du nò fɨ́tɨ mɨ kɔ̀ɔ̀nɨ kɔ ə́mní ru, wu á gàìncùwòcì wú mɨ à!»
MAT.3.15	Kí á Yésù tacuna ŋgə́: «Ə́mnɨm u̧ ɗàrò; ɓetí u̧nè á nɨ́ɨ́b lâs Mèín ɗúré ɓa fó̧nɨ hàrák.» Á Jâŋ ya ə́əmgɨ ŋgə́ kɔ̀ɔ̀nɨ. 
MAT.3.16	Jɔ̀ kùb kɔ̀ɔ̀cáàŋnɨ Yésù kɔ ə́mní, ŋgə́ ɨ́ fô̧ mvúúm. Ɓè mu̧u̧, ɓɨɨr ɨ́ nə̀tɨ̀nà ŋgə́; ŋgə́ ɨ́ pə́cì na Nyéhè Mèèín á sówònɨ ŋgə́ yá hȩ mbɨmbɨm ndɨ́ u̧. 
MAT.3.17	Á kúu kù nyinsówogɨ ɓɨllin, kúu kɨ́ ɨ́ tà ɨnè: «Nò rè mwin ɗûnɨ́mí moò mɨ caré á; mɨ̀tɔ̀k moò lâs á ŋgə́ ya.»
MAT.4.1	Cùr kɔ ə́mní Yésùù á Nyéhè ya ge ŋgə́ ŋgwàì ndɨ̀ŋnì, àm Sátàìn a kə̀hè ŋgéé. 
MAT.4.2	Ŋgə́ ɨ́ jə̂b ŋgwàì ndɨ̀ŋnì ku há̧á̧ jíì vii bɨrɨ́b, ŋgə́ a 
MAT.4.3	Kí á sátàìn gɨso ɗà ŋgə́ ɨ́ tànà Yésù ɨnè: «Duú ɓè wu dumeɓa Mwin Mèèín, tanam sɨɨ bɨ rè, ŋgáb sèì bɨ̀rê.»
MAT.4.4	Á Yésù pihe ɨnè: «Káàtà Mèèín wáaɓatɨ́ ɨnè: ‹Nɨ ɓe bɨ̀rê sé ɗóò á nɨ̀vɨ́tè du ɓáínɨ, ɨ́dù nɨ̀vɨ́tè ɓáíɓwée nɨ ɓe nyindí lâs du fó̧nɨ Mèèín ɓɔ̧ne á.› »
MAT.4.5	Kí á Sátàìn ya gendóŋ Yésù Yèrúsàlèm, kwɨ́í sarɨ́nne, ŋgə́ ɨ́ kɨ́kwúsò ŋgə́ ŋgwé 
MAT.4.6	Ɗà ŋgə́ ɨ́ tànà Yésù ɨnè: «Duú ɓè wu dumeɓa Mwin Mèèín, sɨ́msə́əm ɗàá, ɓetí káàtà Mèèín wáaɓatɨ́ ɨnè:
MAT.4.6	‹Mèín ɓa tànànɨ dùgallɨb noò
MAT.4.6	ŋgáb gò wu hànnɨ á,
MAT.4.6	àm gurub tɨ̀ ɓei wu sɨɨ kù ya kwe.› »
MAT.4.7	Yésù ɨ́ pììnà ŋgə́ ɨnè: «Káàtà Mèèín wáaɓwéetɨ́ ɨnè: ‹Wu wu Kéké nò du Mèín wóò kə̀hɨ̀r.› »
MAT.4.8	Á Sátàìn ya gendóŋgwa Yésù ɓe kàm nyáam kù ya; ŋgə́ ɨ́ túùmkɨ́nà ŋgə́ tɨb ɗɔ̀bɨ́nné lâs, ɓe mgbíí ŋgábè lâs. 
MAT.4.9	Ɗà ŋgə́ ɨ́ tànà ŋgə́: «Nɨ́ɨ́b wu pə́ rè lâs, mɨ ɓa wu nànɨ á, ɓè wu cáamsé ɗàá mɨ ɗómniì.»
MAT.4.10	Yésù ɨ́ tàcùnà ŋgə́ ɨnè: «Éí ɓè, Sátàìn! Ɓetí káàtà Mèèín wáatɨ́ ɨnè: ‹Jə̀ŋ Kéké nò du Mèín wóò, wu á ɗôm ŋgə́, ŋgə́ mwi̧cáŋ.› »
MAT.4.11	Kí á Sátàìn ya mbɨ́kgi Yésù, ɗà 
MAT.4.12	Ɓwâ Yésù ya ók ɨnayâna kùb kɨ́kléé Jâŋ nìrì, ŋgə́ ɨ́ gì nɨ́ ti Gàlìléè no. 
MAT.4.13	Ŋgə́ ɨ́ dù nɨ́ Nàsàrêt dùrécɨ̀wá. Ŋgə́ ɨ́ gì nɨ́ dùrénɨ Kàpèrnàwûm, kwɨ́í ya du gín ɓáí Gàlìléè, ɗɔ̀ɔ́b Sàbùlôŋ ɓe Nèftàlíì no. 
MAT.4.14	Nɨ́m kɨ́ yi ndɨŋ u̧ àm nɨ́m Èsáyà, 
MAT.4.15	«Nùb ɗɔ̀ɔ́b Sàbùlóòŋ ɓe nùb ɗɔ̀ɔ́b Nèftàlíì,
MAT.4.15	gìnɨ péín mɨ̀kwehɨ̀rí ɓe tɨb Jùrdə̧̂ cəré,
MAT.4.15	Gàlìlê yá nùb du Jwîf séé,
MAT.4.16	Gbàŋ ya dukom sɨ́mnɨ̀rí tə̧né
MAT.4.16	péé bɨ́ mwa kàm kù,
MAT.4.16	kɨ́ nùb ya dukomce ti cwéé,
MAT.4.16	sɨ́mnɨ̀r du nóò rɨ,
MAT.4.16	mwa ya ɓəəséé nɨ́ ŋgáb ya!»
MAT.4.17	Yàrénɨ ɓwâ kɨ́, Yésù ɨ́ yà ɓéètèènànɨ nɨ̀vɨ́tɨ̀b lâs ɨnè: «Ɓandɨnáam sum nyínè; ɓetí 
MAT.4.18	Hȩ Yésù ya du ɓàŋndóŋnɨ gín ɓáí Gàlìléè, ŋgə́ ɨ́ ɓàndê ɓe mwin yàáb bɨrɨ́b kù, ɨ́í nò kù yaá Àndɨ̀rê, nò kù cè Sìmôŋ kùb yi ɓékom Píyéèr. Ŋgáb ya waakom mvɨ́njááb ɓárín á. 
MAT.4.19	Yésù ɨ́ tànà ŋgáb: «Tùná mɨ, mɨ á nyí nànɨ nyòm ɓáaró nɨ̀vɨ́tɨ̀b mo cùrì hȩ mvɨ́njá du ɓáànɨ həréé.» 
MAT.4.20	Ɓè mu̧u̧, ŋgáb ɨ́ mbɨ́kkɨ́sò mvɨ́njááb ŋgábè, ŋgáb ɨ́ tù Yésù. 
MAT.4.21	Yésù ɨ́ ŋgɨ̀ɨ̀sòkwà tíí ŋgób, ŋgə́ ɨ́ kwàgwà mwin yàáb kù bɨrɨ́b. Nɨ̀mwi̧ ɨ́r noò yaá Jâk, nò kù cè Jâŋ. Ŋgáb yaám munɨ́b Sèbèdéè á. Ŋgáb yaá kwáìn ɓe tá ŋgábè Sèbèdê kɨ́, nyààŋcùnɨ mvɨ́njááb ŋgábè. Á Yésù ɓéwo ŋgáb. 
MAT.4.22	Ɓè mu̧u̧, ŋgáb ɨ́ mbɨ́kkɨ́sò kwáí ŋgábè, ɓe tá ŋgábè, ɗà ŋgáb ɨ́ tù bɨ́ Yésù.
MAT.4.23	Yésù yaá yə̀ŋtèènɨ ɗɔ̀ɔ́b Gàlìléè no lâs, ŋgə́ a tɔɔce àm Mèèín 
MAT.4.24	Wúúm noò ya gakíí ti Sìríì bɨ̂ŋ, ɗà kùb ɨ́ gèwònà ŋgə́ nùb ya du yábnɨ mɨ̀kúúŋ yâbí lâs, dùgɨ̀ nùb ɓáŋhɨ́b kù yi du jáàbniì; nùb nɨ̀wàtɨ̀b sóò, nùb gu cáícáí kèè, kɨ̀ɓóòb lâs, Yésù ɨ́ ɓátè ŋgáb. 
MAT.4.25	Nɨ̀vɨ́tɨ̀b ɨ́ yà ŋgə́ tùnɨ; nùb éíwo Gàlìléè kèè, nùb éíwo ɗɔ̀ɔ́b kùb ɓé «Kwɨ́ì cóóŋ» ndɨ noò kèè, nùb éíwo Yèrúsàlèèm kèè ɓe nùb éíwo Jùdéè ɓe ɗɔ̀ɔ́b Jùrdə̧̂ cəré.
MAT.5.1	Ɓwâ Yésù ya pə́ vùùm kàm nɨ̀vɨ́tɨ̀bì ya tuwo ŋgéé, ŋgə́ ɨ́ wúì ɓeè còóm, ŋgə́ ɨ́ dùrê ɗàá. 
MAT.5.2	Ŋgə́ ɨ́ yàrê ŋgáb tɔ̀ɔ̀nɨ, ŋgə́ ɨ́ tà:
MAT.5.3	«Mɨ̀tù á ɓe nùb ɗəəŋcuɓa vúm á ɓe tii ə́mní;
MAT.5.3	ɓetí 
MAT.5.4	Mɨ̀tù á ɓe nùb du kɨ́kɨ́rí,
MAT.5.4	ɓetí Mèín kwá nyoŋnɨ ŋgáb.
MAT.5.5	Mɨ̀tù á ɓe nùb kerɨ́b,
MAT.5.5	ɓetí ŋgáb kwá kwa ɗɔ̀ɔ́b Mèín ya ɓwállé.
MAT.5.6	Mɨ̀tù á ɓe nùb du óknɨ cɨ̧̀ ɓe síì ndɨ̧̀ɨ̧́ ə́r ɗɨ́ɗɨ̧́ hȩ Mèín ɗúré,
MAT.5.6	ɓetí ŋgáb kwá fubhá.
MAT.5.7	Mɨ̀tù á ɓe nùb du óknɨ mwàmí,
MAT.5.7	ɓetí Mèín kwá ókɓwéece ŋgáb mwàm.
MAT.5.8	Mɨ̀tù á ɓe nùb njɔ̧̀ ɓoò du Mèín yaà,
MAT.5.8	ɓetí ŋgáb kwá pə́ Mèín.
MAT.5.9	Mɨ̀tù á ɓe nùb kɨ́klé ju ɗóóŋ ŋgábè tə̧né,
MAT.5.9	ɓetí Mèín kwá ɓé ŋgáb munɨ́b níì.
MAT.5.10	Mɨ̀tù á ɓe nùb kùb du túùmnɨ jábɨ́r ɓe ɨ́r ndɨ̧̀ɨ̧́ nɨ́m ɗɨ́ɗɨ̧́ Mèín ɗúré,
MAT.5.10	ɓetí Ŋgɔ̧́ɔ̧̀ Mèèín duna ŋgáb á.
MAT.5.11	Mɨ̀tù á ɓe nyí, nyí nùb kùb du àndɨ̀nɨ, kùb du túùmnɨ jábɨ́r, kùb a tȩ́ȩ̀wû àám só ví̧i̧ àm nyí du 
MAT.5.12	Óknáam mîn, dunáɓam ɓe mɨ̀tù, ɓetí lɔ̀ɔ́ nyínè du ɓɨllɨnne á ɓà jíri. 
MAT.5.13	«Nyí ɨ́ du mbeè nùb ɗɔ̀bɨ́nné ru. Mbeè duɓa nɨ́m nyɔ̧ɔ̧́ á, ɨ́dù ɗɨ́ɗóme ŋgéé ɨ́ cɔ̧̂, ɨna á kùb fɨ́tɨ ndɨ̀ŋnɨ ŋgə́ a ɗómcù? Ŋgə́ nɨ mîn ɗàcɨ̀wá. Á ɗúnɨ kùb wààhó̧sòkɨ́ lúu, ɗà kùb a ɗèèrɨ̀kî.
MAT.5.14	«Nyí mwa nùb ɗɔ̀bɨ́nné á; kwɨ́í du ɓeè còóm ó̧ne nɨ kwɨ́í du yo̧né sé. 
MAT.5.15	Kùb bɨ tòŋnɨ lámbà kùb a fúùsékî mɨ̀kə́ə̀ŋ ya ɗàà, ɨ́dù kùb á ŋgə́ dɨ̀ɨ̀nɨ laŋtɨ̧ɨ̧́, àm mwa nóò a ɓə̀wû nùb lâs du yóò ya kwe. 
MAT.5.16	U̧nè ɓwê á du ɗúnɨ mwa nyínè ɓə̀ɓà nɨ̀vɨ́tɨ̀b lâs íhín, ɗà ŋgáb a ô nyɔ̧ɔ̧́ ɓe nɨ́m nyí du ndɨ̀ŋniì, ŋgáb a mgbíhè Tá nyínè nò du ɓɨllɨnne.»
MAT.5.17	«Nyí tɨ̀ lə́mne mɨ go mɨ ɓáàŋkɨ́nɨ ɓíì 
MAT.5.18	Mɨ tanaɓa nyí àmɨɨr wááŋ á: ɓwâ ɓɨɨr ɓe ɗɔ̀ɔ́b duye cɔ̧́wa rè, dùgɨ̀ sɨ̀ɨ̀ŋ ti ɓíhì mwi̧ tɨ̀ nɨ éíkɨ̂r, há̧á̧ ɓwâ cáŋhȩ̀ nɨ́ɨ́b lâs ɓa féínniì. 
MAT.5.19	Nò ɓa ɓèìnɨ ɓíì mwi̧ tɨŋtɨ̀ŋ ɓíhɨ̀b cutɨ́b kɨ́ noò, ŋgə́ ɨ́ tɔ̀ɔ̀nà nɨ̀vɨ́tɨ̀b ŋgáb ndɨ̀ŋɓwê u̧nèé, nò kɨ́, 
MAT.5.20	Ɓetí mɨ tànà nyí, nyí ɨ́ dù jə̀ŋwá nɨ́m Mèín taré ɨ́ ndôŋ 
MAT.5.21	«Nyí ya óktɨ́ kùb ya tanaá tákɨ̀rɨ́b nyínè ɨnè: ‹Wu nɨ̀vɨ́tè kwíìwá, nò kwíhe kùùŋ ɓa ə́ə̀ŋnɨ ŋgù̧ní á.› 
MAT.5.22	Ɨ́dù kɨ́ moò, mɨ tànà nyí: nò lâs ɓa óknànɨ kùŋ mwin yàá njù̧ú̧ kwá ə́ŋhɨ ŋgù̧ní. Nò andɨɓaye mwin yàá noò: ‹Wu nɨ́m sam á!› rɨ, ɓa nyìnnyààŋnɨ àm kɨ́ 
MAT.5.23	Wu ɨ́ dù gìnɨ nànɨ Mèín múúb wóò 
MAT.5.24	mbɨ́kkɨ́soye múúb wó kɨ́ gín tə́bə̀rè múbí kíì, ɗà wu a gɨ̀cùyè àm kɨ́ nyààŋnɨ; cùr kɨ́ no wu a gòcùgì múúb kɨ́ nànɨ.
