GEN.1.1	Ainau anai bag God safam a tafanam ifourai. 
GEN.2.24	On yabinai orot arimon ayon taman inikirires ato inan jever rus sinikaita ato osi rus arimon sinnat usin kaitamom sinmatar.
GEN.2.25	Orot awan jever rus on keremomotis, baise osi men sibomamai on.
GEN.3.1	BADA God on rega an bobaitu engon ifofouris sanasi, mota on kutatabir ansagobotin bag men bobaitu fani ba. Mota on jever aurin iyau, “Omi min dura bag, God iyawurem atonio masau amonai on men wengar uwan tani wonan i?”
GEN.3.2	Jever on mota iyawur iyau, “Wei on masau amonai wengar uwas on engon wanam. 
GEN.3.3	Baise God on iyau, ‘Omi wengar ato masau basunai bag etatawar on uwan men wonan a men wonruyein mes, ato omi on wonbiyamai on arimon wonarab.’”
GEN.3.4	Baise mota on jever iyawur iyau, “Omi dura bag arimon men wonarab on. 
GEN.3.5	Yabin God isagob omi wengar uwan wonboai wonanin on arimon matam sinruserenis wonnat God ba wonmatar, ato arimon wonsagob menan on obin a menan on komasin.”
GEN.3.6	Namon jever wengar uwan it on bayu obin ato wakiroron isoror, mat inonot on igogoi bag gigiboan itboai, on mes jever wengar uwan tani ibo iyan. On awan orot bisinai imama on turin itai iyan. 
GEN.3.7	Namon osi rus matas on siruserenis, ato tous sisagobis on keremomotis. On mes osi bubudau rorous sisagiren ato beber mes siyafofotes.
GEN.3.8	On rabirabi wera saminai orot awan rus on BADA God masauai ibibib on rarabin sitatam, on mes osi rus sinai wengar sanasi siyob. 
GEN.3.9	Baise BADA God on orot aurin iyor iyau, “Adam, om menan?”
GEN.3.10	Orot iyafotai iyau, “Yau atatamim Om masauai ubib unat on mes aber auob, yabin yau on keremomotiu.”
GEN.3.11	Ato God iyau, “Iyafan ikasonem om keremomotim? Om wengar uwan ato dura wawaninai asofafarim men utan on ubo uyan bait?”
GEN.3.12	Orot iyafotai iyau, “Jever ato om ubiteu on wengar uwan turin iteu aan.”
GEN.3.13	Namon BADA God on jever aurin iyau, “Atonio bobo on aifan uyamai?” Ato jever iyafotai iyau, “Mota min on ikuyoyowiu ato abo aan.”
GEN.3.14	On mes BADA God mota aurin iyau, “Om atonio bobo uyamai on mes, om on gogabur asi bobaitu a rega asi bobaitu engon tefasi on om audabim! Om arimon yamui undudun ato arimon fofou unam am yawas tutufinai. 
GEN.3.15	Ato Yau arimon aniyamai om a jever rum on sanamui on wonbimagigiren bonen a om am fesi a jever an fesi mat on sinbiragit bonen. Ato osi tani on arimon unim infasfinim ato om on arimon ann etun ungiai.”
GEN.3.16	Namon God on jever aurin iyau, “Om unbinafot nan on arimon usibaban gagamin anitem, om arimon usibaban auman fifirig unitu. Baise om on arimon nana awam orot ungogoiai bisinai wat. Ato om arimon on an faiwar babanai unama.”
GEN.3.17	Ato God on Adam aurin iyau, “Om dura wawaninai asofafarim wengar uwan men utan, ato om awam fonan utatam ubo uyan on mes, Yau motob on audabai. Om arimon am yawas tutufinai bobo gagamin bag unabo weie bayu inmatar unan 
GEN.3.18	Gwagwar a wayo aisikis on arimon sinkubouis sinag am masau sintoutanis, om arimon wengar a wayo rorous motob emon segeg on unam. 
GEN.3.19	Om arimon bobo wawanin unabo abar untakakair unreben weie bayu inmatar. Om wantoan nana bobo wawanin unbobo mom asir unarab ato au motob unmatabir men unsur, yabin Yau on motob emon afourim. Yau on fofou emon afourim on mes om unmatabir men au fofou.”
GEN.3.20	Adam awan iwabai Eve,
GEN.3.21	BADA God bobaitu korofis on iyamen beber mes, ato Adam awan rus iyotes. 
GEN.3.22	Ato BADA God iyau, “Orot ari inat ot ba imatar, on sawar engon tutufin obin a komasin on isagob. On men tanibasitai iman inotet ingat wengar yayawasin ba uwan inboai inan, ato yawasin wantoan inama.” 
GEN.3.23	On mes BADA God orot ifaitan Eden masau emon igat, efan menan God orot ifourai nan masau ittar itab mes. 
GEN.3.24	BADA God on orot a jever ifaitanis sigat gibunai, on anea wawanin a seri wairaf wamemeran auman aunan augibun ebitabubu on Eden Masau au wera matan na iya eta itkakaifarai onai sabu men yawas an wengar aurin sitar mes.
GEN.4.1	Adam awan Eve rus siyen ato jever inafot fifi orot ituai wabin iyor Cain. Jever iyau, “Yau BADA an baibaisai on fifi orot aituai.” 
GEN.4.2	On gibunai jever on Cain tain Abel ba ituai ato osi sirat gagamis simatar weie, Abel on sheep kaifarotin imatar ato Cain on masau bofefesotin imatar.
GEN.4.3	Wera fani sisawar gibunai Cain an masau emon bayu fani iboen inat BADA aurin sirifu ikutetai. 
GEN.4.4	Baise Abel on an foro sheep sanasi abou boboun tani on iyasubun iweyab bios momos wat iboen inat. BADA on Abel a an sirifu ikutetai aurin on iyasisir, 
GEN.4.5	baise Cain an sirifu ikutetai on BADA it men iyasisir. On mes Cain iyatatab kwakwan ato magin iwani. 
GEN.4.6	Namon BADA on Cain aurin iyau, “Om aibo mes ebiyatatab? Om aibo mes magim iwani? 
GEN.4.7	Om bobo obin wat unfofour on Yau arimon anibasitem. Baise om men bobo obis unfofour on bokomas on ebotitiwag iniragitem mes. Bokomas on egogoi bag inboem, baise om unfaskikin bokomas unbomerubai.”
GEN.4.8	Namon Cain on tain Abel aurin iyau, “Ot tagat tanai au masau.” On an werai osi masauai nan Cain imisir tain Abel irab iyasubun.
GEN.4.9	Namon BADA on Cain aurin iyau, “Om taim Abel on menan?”
GEN.4.9	On iyafotai iyau, “Yau men asagob. Ato nin min yau au bobo taiu an kaifarai mes i?”
GEN.4.10	BADA iyau, “Om aifan uiyamai? Etatam om taim an tara on orot jever ba motob emon auriu eyoyor. 
GEN.4.11	Om taim uyasubun ato an tara on igaror isur motobai. On fasinai Yau audabim ato om arimon atonio motob emon on an faitanim ungat. 
GEN.4.12	Om atonio motobai masau unbobo on men arimon bayu yabin obin inyein on. Om arimon am mair ma ambin ato asir amui unidadanamim mom tafanam au engonai.”
GEN.4.13	Ato Cain on BADA aurin iyau, “Yau au baimaki ubiteu on gagamin bag men fofonin anboai on. 
GEN.4.14	Om on ari atonio motob emon urukouwiu agat, ato arimon magim emon mat anob. Yau arimon tafanamai au goa ambin ato etai anidadanam, ato iyai iyafan ingatureu on arimon inasubunueu.”
GEN.4.15	Baise BADA on Cain iyawur iyau, “Ambin bag. Iyai iyafan om inasubun on arimon an garamin nimtereban ruam ba on tefanai nanaba animakiai.” Namon BADA on Cain usinai kukufot iyein onai iyai iyafan ingaturai on men inasubun. 
GEN.4.16	On mes Cain on BADA magin emon igat inai Eden wera matan Nod tafanamai nan ima.
GEN.4.17	Cain awan rus siyen ato inafot natun orot Enoch ituai. On gibunai Cain on mafam gagamin iyoyonin min on natun fifi orot wabin Enoch on iwab seirai. 
GEN.4.18	Enoch natun Irad irat, ato Irad on Mehujael taman, a Mehujael on Methushael taman a Methushael on Lamech taman. 
GEN.4.19	Lamech on jever ruam iawanis, tani wabin Adah ato tani wabin Zillah, 
GEN.4.20	Adah natun orot Jabal ituai, on min iyabon ato guwi ai sima gogabur an bobaitu sibitues on osi tamas. 
GEN.4.21	On tain on Jubal; on min iyabon ato tataf a orof sikwakwareren on osi tamas. 
GEN.4.22	Zillah mat on natun orot Tubal-Cain ituai, on min baiyuyur ta, ta on agim bronze a agim iron ai iteteren. Tubal-Cain robun min Naamah.
GEN.4.23	Lamech awawan ruam iyawures iyau, “Omi Adah a Zillah, rum tainam wonreben. Omi Lamech awawan au dura wontatam, yau orot ibigawudeu aurin on asubun a orot boboun kiyam ibiteu on asubun. 
GEN.4.24	Iyafan Cain inasubun on arimon baimaki ra nimtereban ruam inboai ato iyafan Lamech inasubun on arimon baimaki ra orot ton, orot ta aurin auyotoat an yayatan nimtereban ruam inboai (77).”
GEN.4.25	Adam awan rus siyen men ato jever fifi tani ba ituai ato iwabai Seth, ato iyau, “God on fifi tani ba iteu Abel an efan irorog, yabin Cain tain iyasubun on mes.” 
GEN.4.26	Seth on eb natun orot irat ato iwabai Enosh. On an werai sabu sibosuruf BADA sikwakwafirai.
GEN.5.1	Adam wawan agirin wabis min atonio. On an rai God sabu ifofouris on, On Toun an itin ba ifouris. 
GEN.5.2	God on orot jever ifouris weie imomogines, ato iwabis, “orot a jever.” 
GEN.5.3	Adam ima an kwanda 130 weie natun orot Seth irat. Seth min taman an itin ba irat. 
GEN.5.4	Seth irat gibunai Adam on kwanda 800 ba ima weie nanatun orot a jever fani ba sirat. 
GEN.5.5	Ato on ima an kwanda 930 weie irabob.
GEN.5.6	Seth ima an kwanda 105 an rai on natun orot Enosh irat. 
GEN.5.7	Enosh irat on gibunai, Seth on kwanda 807 ba ima weie nanatun orot a jever fani ba sirat. 
GEN.5.8	Ato Seth ima an kwanda 912 weie irabob.
GEN.5.9	Namon Enosh ima an kwanda on orot bat, orot ta aurin auyotoat weie on natun orot Kenan irat. 
GEN.5.10	Ato Kenan irat gibunai Enosh on ima kwanda 815 on amonai weie nanatun orot a jever fani ba sirat. 
GEN.5.11	Enosh ima an kwanda 905 weie irabob.
GEN.5.12	Namon Kenan ima an kwanda orot ton, orot ta aurin auyotoat an rai, on natun orot Mahalalel irat. 
GEN.5.13	Mahalalel irat gibunai, Kenan ima an kwanda 840 weie nanatun orot a jever fani ba sirat. 
GEN.5.14	Ato Kenan ima an kwanda 910, weie irabob.
GEN.5.15	Namon Mahalalel ima an kwanda orot ton an yayatan nim weie natun orot Jared irat. 
GEN.5.16	Ato Jared irat gibunai, Mahalalel on kwanda 830 ba ima weie nanatun orot a jever fani ba sirat. 
GEN.5.17	Mahalalel on ima an kwanda 895 weie irabob.
GEN.5.18	Namon Jared on ima an kwanda 162 weie natun orot Enoch irat. 
GEN.5.19	Ato Enoch irat gibunai, Jared on kwanda 800 ba ima weie nanatun orot a jever fani ba sirat. 
GEN.5.20	Jared an ima kwanda 962 weie irabob.
GEN.5.21	Namon Enoch ima an kwanda orot ton an yayatan nim weie natun orot Methuselah irat. 
GEN.5.22	On gibunai, Enoch an kwanda 300 ato on God ituranai rus sikaita sima, ato on nanatun orot a jever fani ba sirat. 
GEN.5.23	Enoch on an kwanda 365 ba ima. 
GEN.5.24	Ato Enoch on an yawas tutufinai God ituranai rus sikaita simama, on mes God ibo igai au safam.
GEN.5.25	Methuselah ima an kwanda 187 weie natun orot Lamech irat. 
GEN.5.26	Ato Lamech irat gibunai, Methuselah on an kwanda 782 ba ima, weie nanatun orot a jever fani ba sirat. 
GEN.5.27	Ato Methuselah ima an kwanda 969 weie irabob.
GEN.5.28	Lamech ima an kwanda 182 weie natun orot irat. 
GEN.5.29	On wabin iyor Noah,
GEN.5.30	Noah irat gibunai on Lamech ima an kwanda 595 weie on nanatun orot a jever fani ba sirat. 
GEN.5.31	Lamech ima an kwanda 777 weie irabob.
GEN.5.32	On gibunai Noah ima an kwanda 500 weie on nanatun orot ton sirat. Osi wabis min, Shem, Ham a Japheth.
GEN.6.1	On an rai sabu ibosuruf irarat tafanam au engon ibonu ato nanatus jeverig mat sirat. 
GEN.6.2	Osi God nanatun orot sabu tafanamai nanatus jeverig sites on momogis fafa on mes asi gogoi nanaba siboes siawanis. 
GEN.6.3	Namon BADA iyau, “Yau au yabat aratein ato sabu abites on men arimon sinama au wantoan mes, yabin osi on sabu maiauis. Osi on men sinama inan kwanda 120 inisobonai mes.” 
GEN.6.4	On an werai a wera gibunai sabu on gagamis kokoiis bag simama. Osi on God nanatun orot ato tafanamai sabu nanatus jeverig sibiawanis on nanatus sirat sabu faiwaris a wabis gagamis bag ainau simama. 
GEN.6.5	Ato BADA it sabu tafanamai simama asi yawas on komasis bag, mat osi sabu asi bainonot ra fufur sibinonot on engon komasis wat. 
GEN.6.6	Ato BADA inonotai on iyobin sabu tafanamai on men itifouris on mes nunuan on ibaban kwakwan. 
GEN.6.7	On mes BADA iyau, “Basit Yau sabu tafanamai afofouris on engon anikomasis a anfufun insawar, bobaitu, kiwiu a motob tefanai sawar yayawasis baiyayobis on mat engon anikomasis, yabin abiyababan on aibo mes nanaba afouris.” 
GEN.6.8	Baise BADA on Noah aurin iyasisir.
GEN.6.9+GEN.6.10	Atonio on Noah an dudur. On nanatun orot engon ton: Shem, Ham a Japheth. Noah an yawas on totorin wat, on tafanamai sabu sanasi imama on an ubar tani ambin. On God ituranai rus kaitanei wat sibibib. 
GEN.6.11	Baise God matanai sabu tafanamai simama asi yawas sifofour on engon komasin wat. Tafanam au engon on baigagam a yawasis komsis wat on ibonu. 
GEN.6.12	God iyeit tafanam au engon it on komasin bag, yabin sabu engon tutufin on yawas komasis wat sifofour simama.
GEN.6.13	On mes God on Noah iyawur iyau, “Yau ainonot nono sabu engon tutufin anfufun insawar, yabin tafanam amonai on gamo a baigagam wat on awan ibonu. Yau on dura bag tafanam a sabu engon anikomasis. 
GEN.6.14	On mes om wengar obin tani unboai ato on nan am wa unyon, ato amonai efan engon unbotitiwag, weie amonai a kounai on fotu rababarinai wat on unbobabaren. 
GEN.6.15	Om wa unyoyonin an weroromin on 130 mita, ato wa an tayabarin on 22 mita, ato wa amon emon igai au uwayob on 13 mita. 
GEN.6.16	Om wa tefan an guwi unyoyonin on men uniyamai insur kwakwan wa rewan engon inyafotai mes. Ab om 5 mita nanaba on masar unikirir ato ratafin inar. Ato wa amonai ma an efan on engon ton uniyamen, tani on babanai, tani on basunai a tani on tefanai ato metewan on kaitamom sesebinai unyein. 
GEN.6.17	Yau arimon sareu gagamin aniyafarai tafanam au engon inboai ato sawar yayawasis semama on engon inikomasis. Ato sawar engon tutufin tafanamai semama on engon sinarab. 
GEN.6.18	Ato baise yau arimon rut dura bo baibasit taniyamai weie om awam rum a nanatum orot awawas mat on wonan wa amonai wonar. 
GEN.6.19	Om on bobaitu a sawar yayawasis ruruam ruruam, orot a jever on unboes mat wa amonai wonar ato unkaifares yawasis sinama. 
GEN.6.20	Mat om kiwiu asi dam ta ta on ruruam ruruam, orot a jever a bobaitu gagamis a gugudis asi dam ta ta a sawar baiyayobis asi dam ta ta motobai sekakayam on mat engon unboes wa amonai wonar unkaifares yawasis sinama. 
GEN.6.21	Om on bayu magis ta ta menan aam aurin on engon unabo ato nan efan kaita unyadodog, fani om aurim a fani osi mat auris.” 
GEN.6.22	God mamaba Noah iforai on engon nanaba ifour.
GEN.7.1	BADA on Noah iyawur iyau, “Om awam a nanatum orot awawas mat engon eboes, ato wonai wa amonai worui, yabin Yau agaturem om ekesim wat nin tafanamai on am yawas totorin wat efofour. 
GEN.7.2	Ato bobaitu ta ta gumidaris awawas mat on nimtereban ruam nanaba eboen, ato bobaitu men gumidaris on eb awawas mat kakaita kakaita eboen, 
GEN.7.3	a on eb kiwiu magis magis awawas mat engon nimtereban ruam eboen, yabin osi bobaitu kiwiu min arimon tafanamai yawasis sinama ato sinatoub men. 
GEN.7.4	Ato ari inan ra nimtereban ruam gibunai, yau usan gagamin aniyafarai arimon inyayar mom inan ra orot ruam a fom orot ruam insawar. Ato orot jever a bobaitu yawasis mamaba afofouren on engon anfufun sinsawar.” 
GEN.7.5	BADA mamaba Noah iforai on engon nanaba ifour.
GEN.7.6	Noah an kwanda 600 an rai on sareu gagamin bag tafanamai igat. 
GEN.7.7	On awan rus a nanatun orot awawas mat engon sinai wa amonai sirui, onai sareu gagamin on men itikomasis mes. 
GEN.7.8	Bobaitu gumidaris a men gumidaris, a mat kiwiu, sawar yayawasis, baiyayobis kakaita kakaita awawas mat, 
GEN.7.9	on sinat Noah mat wa amonai sirui, mamaba BADA dura wawaninai iyau on nanaba. 
GEN.7.10	Ra nimtereban ruam gibunai sareu gagamin bag igat tafanam engon ikiman.
GEN.7.11	On an werai Noah min an kwanda 600, ra auyotoat an yayatan nimtereban ruam, roke bairuinai nan sareu matas ta ta motob babanai sitasesebis, safam asi metewan engon siruserenis ato usan gagamin bag isur. 
GEN.7.12	Ato usan min tafanamai nana iyayar mom ra orot ruam a fom orot ruam isawar. 
GEN.7.13	On ra kaitamomai usan ibosuruf iyayar an werai Noah awan rus, nanatun orot ton; Shem, Ham a Japheth awawas mat on engon sinai wa amonai sirui. 
GEN.7.14	Gogabur a rega asi bobaitu ta ta gugudis gagamis, kiwiu ta ta, sawar yayawasis baiyayobis motobai sekakayam ta ta engon mat sinai. 
GEN.7.15	Sawar yawasis ta ta awawas awawas mat on Noah mat sinai wa amonai sirui. 
GEN.7.16	Ato bobaitu orot jever kakaita kakaita mamaba God Noah iforai iyau on nanaba sinai sirui weie BADA Toun metewan irufot fotai.
GEN.7.17	Ra orot ruam amonai usan on nana iyayar ato sareu gagamin igat ibururum igai motob engon ikiman ato wa iyarugai. 
GEN.7.18	Sareu on ibururum igai ato iborit, on mes wa on sareu tefanai iyaru. 
GEN.7.19	Ato sareu on ibururum igai oyau gagamis tefas mat egnon ikiman. 
GEN.7.20	On sareu on ibururum igai oyau gagamis tefas isobonai igai aiyetun bag ato an fofon on mita nimtereban ruam ibo. 
GEN.7.21	Ato rega an bobaitu magis magis simama a kiwiu ta ta, bobaitu gugudis yawasis nin tafanamai simama on, sabu mat engon sirabob isawar. 
GEN.7.22	Sawar engon ato tafanamai siyaratein yawasis simama on engon sirabob isawar. 
GEN.7.23	Ato sawar yayawasis nin tafanamai simama on engon ifufun, sabu a bobaitu ato motobai sibibib a kiwiu aiyetunai osi mat engon tafanam emon ifufun. Noah ekesin mom a iyabon on mat wa amonai sirui on siyawas. 
GEN.7.24	Ra 150 amonai on sareu on nana ibururum iyen.
GEN.8.1	Baise God on Noah a bobaitu mat engon nan wa amonai simama on men inosfotes on. God on yabat iyamai isisin ato sareu ibosuruf itiririn isusur. 
GEN.8.2	A motob babanai sareu sigegeg on iyafotai a safamai sareu an metewan on irufotai ato usan iyayar on ibotan, 
GEN.8.3	ato sareu on sunub sunub itiririn isusur mom asir ra 150 isawar. 
GEN.8.4	Roke nimtereban ruam amonai ra auyotoat an yayatan nimtereban ruam nan on wa inat Ararat oyauai iyagai. 
GEN.8.5	Sareu on nana itiririn isur inan, ato roke auyotoat an ra ainauinai nan on oyau tefas sirerebis.
GEN.8.6	Ra orot ruam isawar gibunai Noah on wa an gigo iruseren, 
GEN.8.7	ato owe on iyafarai igat, baise owe on asir irorob inan inat mom sareu engon itiririn isur isawar ato motob rerebai igat. 
GEN.8.8	Namon Noah on kiwiu kumag ba iyafarai igat sareu ititai mamaba itiririn isur isawar ai ambin. 
GEN.8.9	baise on werai sareu on nana motob engon ikiman iyen on mes kumag on men efan tani igaturai nan itamair itiyarir. On mes on irob imatabir men inat wa aurin ato Noah iman iyotet igat ibo men irui. 
GEN.8.10	Basit Noah on ra nimtereban ruam ba imousin ato kumag iyafarai men igat inai. 
GEN.8.11	On rabirabi on kumag awanai wengar olive roroun igi auman imatabir men inat Noah aurin. On nan Noah isagob on sareu itiririn isur.
GEN.8.12	Namon on ra nimtereban ruam ba imousin ato kiwiu kumag iyafarai men igat inai, baise ari on men imatabir men.
GEN.8.13	On an rai Noah an kwanda 601, on roke ainauin an ra ainauin nan on sareu motobai on ibosuruf iraran. Noah on wa tefanai guwi on iruseren ato it on motob iraran. 
GEN.8.14	Roke bairuin an ra orot kaitamom an yayatan nimtereban ruam amonai on motob engon iraran isawar.
GEN.8.15	Namon God on Noah aurin iyau, 
GEN.8.16	“Om awam rum a nanatum orot awawas mat on engon wa emon wogat. 
GEN.8.17	Om sawar yayawasis asi itis ta ta ato mat womama, osi min kiwiu a bobaitu, sawar yayawasis ato motobai sekakayam on engon eboes mat wogat, onai osi arimon sinatoub ato tafanam engon sinibonuai.” 
GEN.8.18	On mes Noah awan rus a nanatun orot awawas mat engon wa emon sigat sinai. 
GEN.8.19	Bobaitu engon a sawar yayawasis motobai sekakayam engon a kiwiu asi dam ta ta engon on asi kuayoai asi kuayoai nan wa emon sigat sinai.
GEN.8.20	Noah on sirifu agim kema iyon BADA aurin; on bobaitu a kiwiu gumidaris ta ta asi itin itinai iboen ato tutufis agim kema tefanai iteren sirifu ikutetai. 
GEN.8.21	BADA atonio sirifu yanden ninibin on iyasisirai ato iyau, “Yau men meyan arimon sabu bobo aifan sebiyamai fasinai on motob an audabai men; Yau asagob ari wera sabu bobous asi bainonot on komasis. Yau men meyan arimon sawar yawasis anikomasen men, ato ari wera afofour ba. 
GEN.8.22	Tafanam nana yen on arimon fesi bofefes an wera, bayu kuwain an wera, sibuin an wera a forabin an wera, kwanda an wera a baimar an wera, ra a fom. Atonio osi matu on arimon nanaba sinen au wantoan.”
