GEN.1.1	U poèetku stvori Bog nebo i zemlju. 
GEN.1.23	I bi veèe i bi jutro, dan peti. 
GEN.1.24	Potom reèe Bog: neka zemlja pusti iz sebe duše žive po vrstama njihovijem, stoku i sitne životinje i zvijeri zemaljske po vrstama njihovijem. I bi tako. 
GEN.1.25	I stvori Bog zvijeri zemaljske po vrstama njihovijem, i stoku po vrstama njezinijem, i sve sitne životinje na zemlji po vrstama njihovijem. I vidje Bog da je dobro. 
GEN.1.26	Potom reèe Bog: da naèinimo èovjeka po svojemu oblièju, kao što smo mi, koji æe biti gospodar od riba morskih i od ptica nebeskih i od stoke i od cijele zemlje i od svijeh životinja što se mièu po zemlji. 
GEN.1.27	I stvori Bog èovjeka po oblièju svojemu, po oblièju Božijemu stvori ga; muško i žensko stvori ih. 
GEN.1.28	I blagoslovi ih Bog, i reèe im Bog: raðajte se i množite se, i napunite zemlju, i vladajte njom, i budite gospodari od riba morskih i od ptica nebeskih i od svega zvjerinja što se mièe po zemlji. 
GEN.1.29	I još reèe Bog: evo, dao sam vam sve bilje što nosi sjeme po svoj zemlji, i sva drveta rodna koja nose sjeme; to æe vam biti za hranu. 
GEN.1.30	A svjemu zvjerinju zemaljskom i svjema pticama nebeskim i svjemu što se mièe na zemlji i u èem ima duša živa, dao sam svu travu da jedu. I bi tako. 
GEN.1.31	Tada pogleda Bog sve što je stvorio, i gle, dobro bješe veoma. I bi veèe i bi jutro, dan šesti.
GEN.2.1	Tako se dovrši nebo i zemlja i sva vojska njihova. 
GEN.2.2	I svrši Bog do sedmoga dana djela svoja, koja uèini; i poèinu u sedmi dan od svijeh djela svojih, koja uèini; 
GEN.2.3	I blagoslovi Bog sedmi dan, i posveti ga, jer u taj dan poèinu od svijeh djela svojih, koja uèini; 
GEN.2.4	To je postanje neba i zemlje, kad postaše, kad Gospod Bog stvori zemlju i nebo, 
GEN.2.5	I svaku biljku poljsku, dokle je još ne bješe na zemlji, i svaku travku poljsku, dokle još ne nicaše; jer Gospod Bog još ne pusti dažda na zemlju, niti bješe èovjeka da radi zemlju, 
GEN.2.6	Ali se podizaše para sa zemlje da natapa svu zemlju. 
GEN.2.7	A stvori Gospod Bog èovjeka od praha zemaljskoga, i dunu mu u nos duh životni; i posta èovjek duša živa. 
GEN.2.8	I nasadi Gospod Bog vrt u Edemu na istoku; i ondje namjesti èovjeka, kojega stvori. 
GEN.2.9	I uèini Gospod Bog, te nikoše iz zemlje svakojaka drveta lijepa za gledanje i dobra za jelo, i drvo od života usred vrta i drvo od znanja dobra i zla. 
GEN.2.10	A voda tecijaše iz Edema natapajuæi vrt, i odande se dijeljaše u èetiri rijeke. 
GEN.2.11	Jednoj je ime Fison, ona teèe oko cijele zemlje Evilske, a ondje ima zlata, 
GEN.2.12	I zlato je one zemlje vrlo dobro; ondje ima i bdela i dragoga kamena oniha. 
GEN.2.13	A drugoj je rijeci ime Geon, ona teèe oko cijele zemlje Huske. 
GEN.2.14	A treæoj je rijeci ime Hidekel, ona teèe k Asirskoj. A èetvrta je rijeka Efrat. 
GEN.2.15	I uzevši Gospod Bog èovjeka namjesti ga u vrtu Edemskom, da ga radi i da ga èuva. 
GEN.2.16	I zaprijeti Gospod Bog èovjeku govoreæi: jedi slobodno sa svakoga drveta u vrtu; 
GEN.2.17	Ali s drveta od znanja dobra i zla, s njega ne jedi; jer u koji dan okusiš s njega, umrijeæeš. 
GEN.2.18	I reèe Gospod Bog: nije dobro da je èovjek sam; da mu naèinim druga prema njemu. 
GEN.2.19	Jer Gospod Bog stvori od zemlje sve zvijeri poljske i sve ptice nebeske, i dovede k Adamu da vidi kako æe koju nazvati, pa kako Adam nazove koju životinju onako da joj bude ime; 
GEN.2.20	I Adam nadjede ime svakom živinèetu i svakoj ptici nebeskoj i svakoj zvijeri poljskoj; ali se ne naðe Adamu drug prema njemu. 
GEN.2.21	I Gospod Bog pusti tvrd san na Adama, te zaspa; pa mu uze jedno rebro, i mjesto popuni mesom; 
GEN.2.22	I Gospod Bog stvori ženu od rebra, koje uze Adamu, i dovede je k Adamu. 
GEN.2.23	A Adam reèe: sada eto kost od mojih kosti, i tijelo od mojega tijela. Neka joj bude ime èovjeèica, jer je uzeta od èovjeka. 
GEN.2.24	Zato æe ostaviti èovjek oca svojega i mater svoju, i prilijepiæe se k ženi svojoj, i biæe dvoje jedno tijelo. 
GEN.2.25	A bjehu oboje goli, Adam i žena mu, i ne bješe ih sramota.
GEN.3.1	Ali zmija bješe lukava mimo sve zvijeri poljske, koje stvori Gospod Bog; pa reèe ženi: je li istina da je Bog kazao da ne jedete sa svakoga drveta u vrtu? 
GEN.3.2	A žena reèe zmiji: mi jedemo roda sa svakoga drveta u vrtu; 
GEN.3.3	Samo roda s onoga drveta usred vrta, kazao je Bog, ne jedite i ne dirajte u nj, da ne umrete. 
GEN.3.4	A zmija reèe ženi: neæete vi umrijeti; 
GEN.3.5	Nego zna Bog da æe vam se u onaj dan kad okusite s njega otvoriti oèi, pa æete postati kao bogovi i znati što je dobro što li zlo. 
GEN.3.6	I žena videæi da je rod na drvetu dobar za jelo i da ga je milina gledati i da je drvo vrlo drago radi znanja, uzabra roda s njega i okusi, pa dade i mužu svojemu, te i on okusi. 
GEN.3.7	Tada im se otvoriše oèi, i vidješe da su goli; pa spletoše lišæa smokova i naèiniše sebi pregaèe. 
GEN.3.8	I zaèuše glas Gospoda Boga, koji iðaše po vrtu kad zahladi; i sakri se Adam i žena mu ispred Gospoda Boga meðu drveta u vrtu. 
GEN.3.9	A Gospod Bog viknu Adama i reèe mu: gdje si? 
GEN.3.10	A on reèe: èuh glas tvoj u vrtu, pa se poplaših, jer sam go, te se sakrih. 
GEN.3.11	A Bog reèe: ko ti kaza da si go? da nijesi jeo s onoga drveta što sam ti zabranio da ne jedeš s njega? 
GEN.3.12	A Adam reèe: žena koju si udružio sa mnom, ona mi dade s drveta, te jedoh. 
GEN.3.13	A Gospod Bog reèe ženi: zašto si to uèinila? A žena odgovori: zmija me prevari, te jedoh. 
GEN.3.14	Tada reèe Gospod Bog zmiji: kad si to uèinila, da si prokleta mimo svako živinèe i mimo sve zvijeri poljske; na trbuhu da se vuèeš i prah da jedeš do svojega vijeka. 
GEN.3.15	I još meæem neprijateljstvo izmeðu tebe i žene i izmeðu sjemena tvojega i sjemena njezina; ono æe ti na glavu stajati a ti æeš ga u petu ujedati. 
GEN.3.16	A ženi reèe: tebi æu mnoge muke zadati kad zatrudniš, s mukama æeš djecu raðati, i volja æe tvoja stajati pod vlašæu muža tvojega, i on æe ti biti gospodar. 
GEN.3.17	Pa onda reèe Adamu: što si poslušao ženu i okusio s drveta s kojega sam ti zabranio rekavši da ne jedeš s njega, zemlja da je prokleta s tebe; s mukom æeš se od nje hraniti do svojega vijeka; 
GEN.3.18	Trnje i korov æe ti raðati, a ti æeš jesti zelje poljsko; 
GEN.3.19	Sa znojem lica svojega ješæeš hljeb, dokle se ne vratiš u zemlju od koje si uzet; jer si prah, i u prah æeš se vratiti. 
GEN.3.20	I Adam nadjede ženi svojoj ime Jeva, zato što je ona mati svjema živima. 
GEN.3.21	I naèini Gospod Bog Adamu i ženi njegovoj haljine od kože, i obuèe ih u njih. 
GEN.3.22	I reèe Gospod Bog: eto, èovjek posta kao jedan od nas znajuæi što je dobro što li zlo; ali sada da ne pruži ruke svoje i uzbere i s drveta od života, i okusi, te dovijeka živi. 
GEN.3.23	I Gospod Bog izagna ga iz vrta Edemskoga da radi zemlju, od koje bi uzet; 
GEN.3.24	I izagnav èovjeka postavi pred vrtom Edemskim heruvima s plamenijem maèem, koji se vijaše i tamo i amo, da èuva put ka drvetu od života.
GEN.4.1	Iza toga Adam pozna Jevu ženu svoju, a ona zatrudnje i rodi Kajina, i reèe: dobih èovjeka od Gospoda. 
GEN.4.2	I rodi opet brata njegova Avelja. I Avelj posta pastir a Kajin ratar. 
GEN.4.3	A poslije nekoga vremena dogodi se, te Kajin prinese Gospodu prinos od roda zemaljskoga; 
GEN.4.4	A i Avelj prinese od prvina stada svojega i od njihove pretiline. I Gospod pogleda na Avelja i na njegov prinos, 
GEN.4.5	A na Kajina i na njegov prinos ne pogleda. Zato se Kajin rasrdi veoma, i lice mu se promijeni. 
GEN.4.6	Tada reèe Gospod Kajinu: što se srdiš? što li ti se lice promijeni? 
GEN.4.7	Neæeš li biti mio, kad dobro èiniš? a kad ne èiniš dobro, grijeh je na vratima. A volja je njegova pod tvojom vlašæu, i ti si mu stariji. 
GEN.4.8	Poslije govoraše Kajin s Aveljem bratom svojim. Ali kad bijahu u polju, skoèi Kajin na Avelja brata svojega, i ubi ga. 
GEN.4.9	Tada reèe Gospod Kajinu: gdje ti je brat Avelj? A on odgovori: ne znam; zar sam ja èuvar brata svojega? 
GEN.4.10	A Bog reèe: šta uèini! glas krvi brata tvojega vièe sa zemlje k meni. 
GEN.4.11	I sada, da si proklet na zemlji, koja je otvorila usta svoja da primi krv brata tvojega iz ruke tvoje. 
GEN.4.12	Kad zemlju uzradiš, neæe ti više davati blaga svojega. Biæeš potukaè i bjegunac na zemlji. 
GEN.4.13	A Kajin reèe Gospodu: krivica je moja velika da mi se ne može oprostiti. 
GEN.4.14	Evo me tjeraš danas iz ove zemlje da se krijem ispred tebe, i da se skitam i potucam po zemlji, pa æe me ubiti ko me udesi. 
GEN.4.15	A Gospod mu reèe: zato ko ubije Kajina, sedam æe se puta to pokajati. I naèini Gospod znak na Kajinu da ga ne ubije ko ga udesi. 
GEN.4.16	I otide Kajin ispred Gospoda, i naseli se u zemlji Naidskoj na istoku prema Edemu. 
GEN.4.17	I pozna Kajin ženu svoju, a ona zatrudnje i rodi Enoha. I sazida grad i prozva ga po imenu sina svojega Enoh. 
GEN.4.18	A Enohu rodi se Gaidad; a Gaidad rodi Maleleila; a Maleleilo rodi Matusala; a Matusal rodi Lameha. 
GEN.4.19	I uze Lameh dvije žene: jednoj bješe ime Ada a drugoj Sela. 
GEN.4.20	I Ada rodi Jovila; od njega se narodiše koji žive pod šatorima i stoku pasu. 
GEN.4.21	A bratu njegovu bješe ime Juval; od njega se narodiše gudaèi i sviraèi. 
GEN.4.22	A i Sela rodi Tovela, koji bješe vješt kovati svašta od mjedi i od gvožða; a sestra Tovelu bješe Noema. 
GEN.4.23	I reèe Lameh svojima ženama, Adi i Seli: èujte glas moj, žene Lamehove, poslušajte rijeèi moje: ubiæu èovjeka za ranu svoju i mladiæa za masnicu svoju. 
GEN.4.24	Kad æe se Kajin osvetiti sedam puta, Lameh æe sedamdeset i sedam puta. 
GEN.4.25	A Adam opet pozna ženu svoju, i ona rodi sina, i nadje mu ime Sit, jer mi, reèe, Bog dade drugoga sina za Avelja, kojega ubi Kajin. 
GEN.4.26	I Situ se rodi sin, kojemu nadjede ime Enos. Tada se poèe prizivati ime Gospodnje.
GEN.5.1	Ovo je pleme Adamovo. Kad Bog stvori èovjeka, po oblièju svojemu stvori ga. 
GEN.5.2	Muško i žensko stvori ih, i blagoslovi ih, i nazva ih èovjek, kad biše stvoreni. 
GEN.5.3	I poživje Adam sto i trideset godina, i rodi sina po oblièju svojemu, kao što je on, i nadjede mu ime Sit. 
GEN.5.4	A rodiv Sita poživje Adam osam stotina godina, raðajuæi sinove i kæeri; 
GEN.5.5	Tako poživje Adam svega devet stotina i trideset godina; i umrije. 
GEN.5.6	A Sit poživje sto i pet godina, i rodi Enosa; 
GEN.5.7	A rodiv Enosa poživje Sit osam stotina i sedam godina, raðajuæi sinove i kæeri; 
GEN.5.8	Tako poživje Sit svega devet stotina i dvanaest godina; i umrije. 
GEN.5.9	A Enos poživje devedeset godina, i rodi Kajinana; 
GEN.5.10	A rodiv Kajinana poživje Enos osam stotina i petnaest godina, raðajuæi sinove i kæeri; 
GEN.5.11	Tako poživje Enos svega devet stotina i pet godina; i umrije. 
GEN.5.12	A Kajinan poživje sedamdeset godina, i rodi Maleleila; 
GEN.5.13	A rodiv Maleleila poživje Kajinan osam stotina i èetrdeset godina, raðajuæi sinove i kæeri; 
GEN.5.14	Tako poživje Kajinan svega devet stotina i deset godina; i umrije. 
GEN.5.15	A Maleleilo poživje šezdeset i pet godina, i rodi Jareda; 
GEN.5.16	A rodiv Jareda poživje Maleleilo osam stotina i trideset godina, raðajuæi sinove i kæeri; 
GEN.5.17	Tako poživje Maleleilo svega osam stotina i devedeset i pet godina; i umrije. 
GEN.5.18	A Jared poživje sto i šezdeset i dvije godine, i rodi Enoha; 
GEN.5.19	A rodiv Enoha poživje Jared osam stotina godina, raðajuæi sinove i kæeri; 
GEN.5.20	Tako poživje Jared svega devet stotina i šezdeset i dvije godine, i umrije. 
GEN.5.21	A Enoh poživje šezdeset i pet godina, i rodi Matusala; 
GEN.5.22	A rodiv Matusala poživje Enoh jednako po volji Božjoj trista godina, raðajuæi sinove i kæeri; 
GEN.5.23	Tako poživje Enoh svega trista i šezdeset i pet godina; 
GEN.5.24	I živeæi Enoh jednako po volji Božjoj, nestade ga, jer ga uze Bog. 
GEN.5.25	A Matusal poživje sto i osamdeset i sedam godina, i rodi Lameha; 
GEN.5.26	A rodiv Lameha poživje Matusal sedam stotina i osamdeset i dvije godine, raðajuæi sinove i kæeri; 
GEN.5.27	Tako poživje Matusal svega devet stotina i šezdeset i devet godina; i umrije. 
GEN.5.28	A Lameh poživje sto i osamdeset i dvije godine, i rodi sina, 
GEN.5.29	I nadjede mu ime Noje govoreæi: ovaj æe nas odmoriti od posala naših i od truda ruku naših na zemlji, koju prokle Gospod. 
GEN.5.30	A rodiv Noja poživje Lameh pet stotina i devedeset i pet godina, raðajuæi sinove i kæeri; 
GEN.5.31	Tako poživje Lameh svega sedam stotina i sedamdeset i sedam godina; i umrije. 
GEN.5.32	A Noju kad bi pet stotina godina, rodi Noje Sima, Hama i Jafeta.
GEN.6.1	A kad se ljudi poèeše množiti na zemlji, i kæeri im se narodiše. 
GEN.6.2	Videæi sinovi Božji kæeri èovjeèije kako su lijepe uzimaše ih za žene koje htješe. 
GEN.6.3	A Gospod reèe: neæe se duh moj dovijeka preti s ljudima, jer su tijelo; neka im još sto i dvadeset godina. 
GEN.6.4	A bijaše tada divova na zemlji; a i poslije, kad se sinovi Božji sastajahu sa kæerima èovjeèijim, pa im one raðahu sinove; to bijahu silni ljudi, od starine na glasu. 
GEN.6.5	I Gospod videæi da je nevaljalstvo ljudsko veliko na zemlji, i da su sve misli srca njihova svagda samo zle, 
GEN.6.6	Pokaja se Gospod što je stvorio èovjeka na zemlji, i bi mu žao u srcu. 
GEN.6.7	I reèe Gospod: hoæu da istrijebim sa zemlje ljude, koje sam stvorio, od èovjeka do stoke i do sitne životinje i do ptica nebeskih; jer se kajem što sam ih stvorio. 
GEN.6.8	Ali Noje naðe milost pred Gospodom. 
GEN.6.9	Ovo su dogaðaji Nojevi: Noje bješe èovjek pravedan i bezazlen svojega vijeka; po volji Božjoj svagda življaše Noje. 
GEN.6.10	I rodi Noje tri sina: Sima, Hama i Jafeta. 
GEN.6.11	A zemlja se pokvari pred Bogom, i napuni se zemlja bezakonja. 
GEN.6.12	I pogleda Bog na zemlju, a ona bješe pokvarena; jer svako tijelo pokvari put svoj na zemlji. 
GEN.6.13	I reèe Bog Noju: kraj svakome tijelu doðe preda me, jer napuniše zemlju bezakonja; i evo hoæu da ih zatrem sa zemljom. 
GEN.6.14	Naèini sebi kovèeg od drveta gofera, i naèini pregratke u kovèegu; i zatopi ga smolom iznutra i spolja. 
GEN.6.15	I naèini ga ovako: u dužinu neka bude trista lakata, u širinu pedeset lakata, i u visinu trideset lakata; 
GEN.6.16	Pusti dosta svjetlosti u kovèeg; i krov mu svedi ozgo od lakta; i udari vrata kovèegu sa strane; i naèini ga na tri boja: donji, drugi i treæi. 
GEN.6.17	Jer evo pustiæu potop na zemlju, da istrijebim svako tijelo, u kojem ima živa duša pod nebom; što je god na zemlji sve æe izginuti. 
GEN.6.18	Ali æu s tobom uèiniti zavjet svoj: i uæi æeš u kovèeg ti i sinovi tvoji i žena tvoja i žene sinova tvojih s tobom. 
GEN.6.19	I od svega živa, od svakoga tijela, uzeæeš u kovèeg po dvoje, da saèuvaš u životu sa sobom, a muško i žensko neka bude. 
GEN.6.20	Od ptica po vrstama njihovijem, od stoke po vrstama njezinijem, i od svega što se mièe na zemlji po vrstama njegovijem, od svega po dvoje neka uðe s tobom, da ih saèuvaš u životu. 
GEN.6.21	I uzmi sa sobom svega što se jede, i èuvaj kod sebe, da bude hrane tebi i njima. 
GEN.6.22	I Noje uèini, kako mu zapovjedi Bog, sve onako uèini.
GEN.7.1	I reèe Gospod Noju: uði u kovèeg ti i sav dom tvoj; jer te naðoh pravedna pred sobom ovoga vijeka. 
GEN.7.2	Uzmi sa sobom od svijeh životinja èistih po sedmoro, sve mužjaka i ženku njegovu; a od životinja neèistih po dvoje, mužjaka i ženku njegovu, 
GEN.7.3	Takoðer i od ptica nebeskih po sedam, mužjaka i ženku njegovu, da im se saèuva sjeme na zemlji. 
GEN.7.4	Jer æu do sedam dana pustiti dažd na zemlju za èetrdeset dana i èetrdeset noæi, i istrijebiæu sa zemlje svako tijelo živo, koje sam stvorio. 
GEN.7.5	I Noje uèini sve što mu zapovjedi Gospod. 
GEN.7.6	A bješe Noju šest stotina godina kad doðe potop na zemlju. 
GEN.7.7	I uðe Noje u kovèeg i sinovi njegovi i žena njegova i žene sinova njegovijeh s njim radi potopa. 
GEN.7.8	Od životinja èistih i od životinja neèistih i od ptica i od svega što se mièe po zemlji, 
GEN.7.9	Uðe k Noju u kovèeg po dvoje, muško i žensko, kao što bješe Bog zapovjedio Noju. 
GEN.7.10	A u sedmi dan doðe potop na zemlju. 
GEN.7.11	Kad je bilo Noju šest stotina godina, te godine drugoga mjeseca, sedamnaesti dan toga mjeseca, taj dan razvališe se svi izvori velikoga bezdana, i otvoriše se ustave nebeske; 
GEN.7.12	I udari dažd na zemlju za èetrdeset dana i èetrdeset noæi. 
GEN.7.13	Taj dan uðe u kovèeg Noje i Sim i Ham i Jafet, sinovi Nojevi, i žena Nojeva i tri žene sinova njegovijeh s njima; 
GEN.7.14	Oni, i svakojake zvijeri po vrstama svojim, i svakojaka stoka po vrstama svojim, i što se god mièe po zemlji po vrstama svojim, i ptice sve po vrstama svojim, i što god leti i ima krila. 
GEN.7.15	Doðe k Noju u kovèeg po dvoje od svakoga tijela, u kojem ima živa duša, 
GEN.7.16	Muško i žensko od svakoga tijela uðoše, kao što bješe Bog zapovjedio Noju; pa Gospod zatvori za njim. 
GEN.7.17	I bi potop na zemlji za èetrdeset dana; i voda doðe i uze kovèeg, i podiže ga od zemlje. 
GEN.7.18	I navali voda, i usta jako po zemlji, i kovèeg stade ploviti vodom. 
GEN.7.19	I navaljivaše voda sve veæma po zemlji, i pokri sva najviša brda što su pod cijelijem nebom. 
GEN.7.20	Petnaest lakata doðe voda iznad brda, pošto ih pokri. 
GEN.7.21	Tada izgibe svako tijelo što se micaše na zemlji, ptice i stoka, i zvijeri i sve što gamiže po zemlji, i svi ljudi. 
GEN.7.22	Sve što imaše dušu živu u nosu, sve što bijaše na suhu, pomrije. 
GEN.7.23	I istrijebi se svako tijelo živo na zemlji, i ljudi i stoka i što god gamiže i ptice nebeske, sve, velim, istrijebi se sa zemlje; samo Noje osta i što s njim bješe u kovèegu. 
GEN.7.24	I stajaše voda povrh zemlje sto i pedeset dana.
GEN.8.1	A Bog se opomenu Noja i svijeh zvijeri i sve stoke što bjehu s njim u kovèegu; i posla Bog vjetar na zemlju da uzbije vodu. 
GEN.8.2	I zatvoriše se izvori bezdanu i ustave nebeske, i dažd s neba prestade. 
GEN.8.3	I stade voda opadati na zemlji, i jednako opadaše poslije sto i pedeset dana; 
GEN.8.4	Te se ustavi kovèeg sedmoga mjeseca dana sedamnaestoga na planini Araratu. 
GEN.8.5	I voda opadaše sve veæma do desetoga mjeseca; i prvoga dana desetoga mjeseca pokazaše se vrhovi od brda. 
GEN.8.6	A poslije èetrdeset dana otvori Noje prozor na kovèegu, koji bješe naèinio; 
GEN.8.7	I ispusti gavrana, koji jednako odlijetaše i dolijetaše dokle ne presahnu voda na zemlji. 
GEN.8.8	Pa pusti i golubicu da bi vidio je li opala voda sa zemlje. 
GEN.8.9	A golubica ne našavši gdje bi stala nogom svojom vrati se k njemu u kovèeg, jer još bješe voda po svoj zemlji; i Noje pruživši ruku uhvati je i uze k sebi u kovèeg. 
GEN.8.10	I poèeka još sedam dana, pa opet ispusti golubicu iz kovèega. 
GEN.8.11	I pred veèe vrati se k njemu golubica, i gle, u kljunu joj list maslinov, koji bješe otkinula; tako pozna Noje da je opala voda sa zemlje. 
GEN.8.12	Ali poèeka još sedam dana, pa opet ispusti golubicu, a ona mu se više ne vrati. 
GEN.8.13	Šest stotina prve godine vijeka Nojeva prvi dan prvoga mjeseca usahnu voda na zemlji; i Noje otkri krov na kovèegu, i ugleda zemlju suhu. 
GEN.8.14	A drugoga mjeseca dvadeset sedmoga dana bješe sva zemlja suha. 
GEN.8.15	Tada reèe Bog Noju govoreæi: 
GEN.8.16	Izidi iz kovèega ti i žena tvoja i sinovi tvoji i žene sinova tvojih s tobom; 
GEN.8.17	Sve zvijeri što su s tobom od svakoga tijela, ptice i stoku i što god gamiže po zemlji, izvedi sa sobom, neka se raziðu po zemlji, i neka se plode i množe na zemlji. 
GEN.8.18	I izide Noje i sinovi njegovi i žena njegova i žene sinova njegovijeh s njim. 
GEN.8.19	Sve zvijeri, sve sitne životinje, sve ptice i sve što se mièe po zemlji po svojim vrstama izidoše iz kovèega. 
GEN.8.20	I naèini Noje žrtvenik Gospodu, i uze od svake èiste stoke i od svijeh ptica èistijeh, i prinese na žrtveniku žrtve paljenice. 
GEN.8.21	I Gospod omirisa miris ugodni, i reèe u srcu svojem: neæu više kleti zemlje s ljudi, što je misao srca èovjeèijega zla od malena; niti æu više ubijati svega što živi, kao što uèinih. 
GEN.8.22	Otsele dokle bude zemlje, neæe nestajati sjetve ni žetve, studeni ni vruæine, ljeta ni zime, dana ni noæi.
GEN.9.1	I Bog blagoslovi Noja i sinove njegove, i reèe im: raðajte se i množite se, i napunite zemlju; 
GEN.9.2	I sve zvijeri zemaljske i sve ptice nebeske i sve što ide po zemlji i sve ribe morske neka vas se boje i straše; sve je predano u vaše ruke. 
GEN.9.3	Što se god mièe i živi, neka vam bude za jelo, sve vam to dadoh kao zelenu travu. 
GEN.9.4	Ali ne jedite mesa s dušom njegovom, a to mu je krv. 
GEN.9.5	Jer æu i vašu krv, duše vaše, iskati; od svake æu je zvijeri iskati; iz ruke samoga èovjeka, iz ruke svakoga brata njegova iskaæu dušu èovjeèiju. 
GEN.9.6	Ko prolije krv èovjeèiju, njegovu æe krv proliti èovjek; jer je Bog po svojemu oblièju stvorio èovjeka. 
GEN.9.7	Raðajte se dakle i množite se; narodite se veoma na zemlji i namnožite se na njoj. 
GEN.9.8	I reèe Bog Noju i sinovima njegovijem s njim, govoreæi: 
GEN.9.9	A ja evo postavljam zavjet svoj s vama i s vašim sjemenom nakon vas, 
GEN.9.10	I sa svijem životinjama, što su s vama od ptica, od stoke i od svega zvijerja zemaljskoga što je s vama, sa svaèim što je izašlo iz kovèega, i sa svijem zvijerjem zemaljskim. 
GEN.9.11	Postavljam zavjet svoj s vama, te otsele neæe nijedno tijelo poginuti od potopa, niti æe više biti potopa da zatre zemlju. 
GEN.9.12	I reèe Bog: evo znak zavjeta koji postavljam izmeðu sebe i vas i svake žive tvari, koja je s vama dovijeka: 
GEN.9.13	Metnuo sam dugu svoju u oblake, da bude znak zavjeta izmeðu mene i zemlje. 
GEN.9.14	Pa kad oblake navuèem na zemlju, vidjeæe se duga u oblacima, 
GEN.9.15	I opomenuæu se zavjeta svojega koji je izmeðu mene i vas i svake duše žive u svakom tijelu, i neæe više biti od vode potopa da zatre svako tijelo. 
GEN.9.16	Duga æe biti u oblacima, pa æu je pogledati, i opomenuæu se vjeènoga zavjeta izmeðu Boga i svake duše žive u svakom tijelu koje je na zemlji. 
GEN.9.17	I reèe Bog Noju: to je znak zavjeta koji sam uèinio izmeðu sebe i svakoga tijela na zemlji. 
GEN.9.18	A bijahu sinovi Nojevi koji izidoše iz kovèega: Sim i Ham i Jafet; a Ham je otac Hanancima. 
GEN.9.19	To su tri sina Nojeva, i od njih se naseli sva zemlja. 
GEN.9.20	A Noje poèe raditi zemlju, i posadi vinograd. 
GEN.9.21	I napiv se vina opi se, i otkri se nasred šatora svojega. 
GEN.9.22	A Ham, otac Hanancima, vidje golotinju oca svojega, i kaza obojici braæe svoje na polju. 
GEN.9.23	A Sim i Jafet uzeše haljinu, i ogrnuše je obojica na ramena svoja, i iduæi natraške pokriše njom golotinju oca svojega, licem natrag okrenuvši se da ne vide golotinje oca svojega. 
GEN.9.24	A kad se Noje probudi od vina, dozna šta mu je uèinio mlaði sin, 
GEN.9.25	I reèe: proklet da je Hanan, i da bude sluga slugama braæe svoje! 
GEN.9.26	I još reèe: blagosloven da je Gospod Bog Simov, i Hanan da mu bude sluga! 
GEN.9.27	Bog da raširi Jafeta da živi u šatorima Simovijem, a Hanan da im bude sluga! 
GEN.9.28	I poživje Noje poslije potopa trista i pedeset godina. 
GEN.9.29	A svega poživje Noje devet stotina i pedeset godina; i umrije.
GEN.10.1	A ovo su plemena sinova Nojevijeh, Sima, Hama i Jafeta, kojima se rodiše sinovi poslije potopa. 
