MAT.1.1	A wo li nwer nyi etꞌtohngo ji Jisos Kraist lohng no, ji jolo mmon a Devid,
MAT.1.23	“Mmongungu a nnenkal, (Ngbahme nyi bo kala nꞌnoongo a ne) bahke sake ela, jel mmon no nlum, no bo bahke jo lung-e re Emanuel.” (Ji lohngo re, “Esowo li a nahre”).
MAT.1.24	Josef nyahme kan go ellu, á kehm limi ana enjel nyi Ntul Esowo tong-e no, á feere song ko Meri go elbal. 
MAT.1.25	Á tikem noongo a ne tete á jel ngbokambang a mmon ewe no nlum. Josef kehm-e gungu mbing re Jisos.
MAT.2.1	Jisos, bo jel-e go Betlehem ji Judea ngare nyi Herod jolo ntul. Owo akahnkahn ane kehm lohngo go ero nfam ba go Jerusalem, 
MAT.2.2	ba kehme elbahbe re, “Mmon no na, no bo m-e jel, no li ntul no Jus? Tibre wahr ebnyehn elonlo eje go ero nfam. Owo wahnge e ba no re wahr ba kak-e.”
MAT.2.3	Eji ntul a Herod wuku ano, eltim kehm-e jokko, a aneb Jerusalem kpee. 
MAT.2.4	Owo á kehm lungu atubesi abalimajom, a atꞌtibi ba atahm, bo ba kono edi ajehng. Á kehm bahbe bo re, “Kraist jio, bo bahk-e jele gan?”
MAT.2.5	Bo kehm-e faange re, “Go Betlehem ji Judea.
MAT.2.6	“ ‘Wahn Betlehem ji Juda,
MAT.2.6	wahn erennge ejahbe sang go mbang anyehng anyehng
MAT.2.6	go ellong atubesi ajahbe nya li go Juda.
MAT.2.6	Tibre go egahne ellong wo,
MAT.2.6	ntubesi bahke lohngo,
MAT.2.6	no bahke ba fili Israel, ane ebame.’ ”
MAT.2.7	Herod kehm lungu akahnkahn ane bao, tahm a bo go nkpohko, song bahb bo ekahmekahme ngare nyi elonlo jio lohngo no. 
MAT.2.8	Owo á kehm tumu bo tv go Betlehem, a elle ni á tubu bo re, “Songen, wahn song seb mmon noo nob nob! Ń lꞌsong seb-e nyehn, lim-m wahn, me n kahn, eji me n lꞌtob je song kak-e fvfo.”
MAT.2.9	Eji bo ma wuk ana ntul bungu no, bo kehm tahme. Elonlo ji bo jo nyehn go ero nfam kehm gboko bo mbang tete song yiimi edi ji mmon noo jolo no. 
MAT.2.10	Eji bo kpe nyehn elonlo jio yim no, bo bele eyebatahng sehng, fere jo gꞌgeere. 
MAT.2.11	Bo kehm yele ekpꞌkpa, song nyehn mmon, a Meri nnyehn, gbo jamme alahng, kak mmon. Bo kehm soro lennge abam ebo, yehke agul, frankinsens, a mmir, yare mmon.
MAT.2.12	Esowo kehm rehke bo go nlem re, bo kꞌkpe feere goji Herod. Owo bo kehm sehnge mbang nyindiki kehnge.
MAT.2.13	Ngare nyi akahnkahn ane bao ma tahm fi, owo enjel nyi Esowo kehm ba kpiri Josef go nlem, kehm-e tongo re, “Tahm, wo rod mmon, a nnyehn, be, song go Ijipt, kang ona tete me n kpe ba tong-a. Tibre Herod yahke ba mmon noa seb re á wul.”
MAT.2.14	Josef kehm tahme, rod mmon, a nnyehn, bo tahm atv atv song rehng go Ijipt. 
MAT.2.15	Owo á jolo no tete Herod kpo, eji lꞌlohko jol ana Ntul Esowo bungu sehng goji nnyehnamahr re, “N lungu mmon ewame go Ijipt, á lohng ba.”
MAT.2.16	Herod sebe kan kahn re, akahnkahn ane m-e nehm, atahng kehm-e rake tete. Á kehm tumu ane, bo song wul abon ba nlum kpee go Betlehem, a abon ajahbe ba li sennge o kak, ba ma kang bomo nnya ebal feere ndi, tib ana á wuku goji akahnkahn ane bao bada ngare nyi elonlo lohngo no.
MAT.2.17	Ngare nyio nyi lohko lim ana nnyehnamahr Jeremaya bungu no re,
MAT.2.18	“Bobwuk ewahl ane go Rama,
MAT.2.18	ewahl ji ane ma biingi aling,
MAT.2.18	fere kpꞌlingi ndon ndon.
MAT.2.18	Resel kpꞌlingi abon ebe.
MAT.2.18	Bo kak-e eltim,
MAT.2.18	jol eltim we tikem naange,
MAT.2.18	tibre bo kpeem li elikiliki.”
MAT.2.19	Ngare nyi Herod ma kpo, owo enjel nyi Ntul Esowo kehm kpe song kpiri Josef go nlem, eji á jolo go Ijipt, kehm-e tongo re, 
MAT.2.20	“Tahm, rod mmon, a nnyehn, wo feere a bo go ndi nyi Israel. Tibre ane ba jo seb re bo ba wul mmon bobkpo.”
MAT.2.21	Josef kehm tahme, rod mmon, a nnyehn, feere a bo go ndi nyi Israel. 
MAT.2.22	Eji Josef wuku re, Arkelaus ebko nji nyi nde Herod, kpꞌfili Judea, á kehm kehme elfahle eljeke o. Owo Esowo kehm-e kpe rehke go nlem, Josef kehm tahme go ejang bi Galili, 
MAT.2.23	song lene go ejahbe ji bo kpo lung re Nasaret, eji lꞌlohko jol ana abanyehnamahr Esowo bungu no re, “Bo bahke jo lung-e re nne a Nasaret.”
MAT.3.1	Ngare nyio Jon ji nwohngalahb kehm lohngo ba, ba kehme elbungu go elka emahng nio ni Judea re, 
MAT.3.2	“Yaangen elkpin enahne, tibre etul bi Esowo ebkabbe.”
MAT.3.3	Jon wo jolo nne no nnyehnamahr Aisaya jo bung bada ne, eji á jo bung re,
MAT.3.3	“Nne noa,
MAT.3.3	kpꞌrabe go elka emahng re,
MAT.3.3	‘Tuungen mbang nyi Ntul bum-e.
MAT.3.3	Limen mbang tꞌtor,
MAT.3.3	nyi á bahke sehnge.’ ”
MAT.3.4	Nsol nyi Jon jo kak, bo limi go anyar nyam nyi bo kpo lung re ekamel. Á jo gbaange egbaange ji bo limi go ngunyam. Á jo li agohrobi, fere jo yab akehng ekon. 
MAT.3.5	Ane jo lohngo go Jerusalem je go ege, a ane ba jolo go Judea kpee, go ane kpee ba lene ajahbe nya jolo egbuk ebbal ebbal bi aya ma bo kpo lung re Jodan. 
MAT.3.6	Bo jo fvvrv abiafem ebo, á jo wohngo bo alahb go Jodan.
MAT.3.7	Eji Jon nyehne aneb Farisi, a anebe Sadusi gbalee kpꞌbake re á wohngo bo alahb, á kehm tongo bo re, “Wahn ane ba li ana akumbad ba! Nne awo tong-n re, ḿ bahke foro go erakatahng ji Esowo ji kpꞌbake? 
MAT.3.8	Limen nsol nyi bahke tibi re, wahn eblohko yaange elkpin enahne. 
MAT.3.9	Kana kpe laange, fere jo bung go egahna ntim re, ‘Ebraham wo li nso ejahre.’
MAT.3.10	“Bobtoobo elfuk bum, ni bo bahke kiimi alohk nti, melle nti nyio. Eti ajehng ajehng ji tohko kab akab nya nno, bo bahke mehle tub, fere rod kak agun.
MAT.3.11	“N kp-n wohngo alahb mao ma egbokondon. Nne no kpꞌbake toon-m wo ga gbal sehnge me. Jol me n fuumem re me n sol akpaketa enye. Á bahk-n wohngo alahb go Etingi Etohko, a agun.
MAT.3.12	A fili edꞌda go ebo, kpꞌfebe arasi enye. Á bahke kpuku arasi enye, song kak go ege ekpꞌkpa, fere jahm awal go agun nya lꞌkꞌtiki lahme elahmelahme.”
MAT.3.13	Ngare nyio Jisos kehm tahme go Galili, song rehng go Jodan goji Jon re Jon wohng-e alahb.
MAT.3.14	Jon jo gare re á sahd-e, kehm-e tongo re, “Kehn wo wo nobo re wo wohngo na me alahb, wo ma fere ba na ga egame.”
MAT.3.15	Owo Jisos kehm-e faange re, “Nong jol ano! Tibre fuumu re wahr lim nsol kpee nyi Esowo sebe re wahr lim.”
MAT.3.16	Tvtv o eji Jisos ma bel ewohngalahb, á kehm lohngo go alahb. Ngare nyio ejahbetul Esowo eblennge ka-e. Owo á kehm nyehne etohko ji Esowo go elfoongo ni ebbehl kpꞌbadde abake, kehm ba jol a ne. 
MAT.3.17	Owo bo kehm wuku ellum go ejahbetul Esowo ni bungu re, “A wo li akor-m mmon ewame, no kpo kor-m sꞌsehng.”
MAT.4.1	Etingi Etohko kehm yehke Jisos, song kak go elka emahng re nnehm gar-e.
MAT.4.2	Eji Jisos ma bade elne njal nfung atahl abal, owo njal kehm-e yame. 
MAT.4.3	Nnehm kehm bake, ba tong-e re, “A lꞌjol Mmon Esowo, tong atal nyaa siingi abred.”
MAT.4.4	Jisos kehm-e faange re, “Bo nyono go nwer Esowo re, ‘Abred nya nya sang wahnge nne kpo kpin, á kpo bel elkpin go ellum anehng anehng ni lohng go nnyo mi Esowo.’ ”
MAT.4.5	Nnehm kehm rodo Jisos, tahm a ne go mbarebare ejahbe, song kun-e go elkong etahk Esowo, 
MAT.4.6	kehm-e tongo re, “A lꞌjol Mmon Esowo, yehb, wo ba gbo go ndi! Tibre bo nyono go nwer Esowo re,
MAT.4.6	“ ‘Esowo bahke tongo enjel enye bada na.
MAT.4.6	Bo bahk-a gbiiri go bo abo,
MAT.4.6	eji a lꞌkꞌba jahre akpade enya go eltal.’ ”
MAT.4.7	Jisos kehm faange re, “Bo tꞌtob nyon go nwer Esowo re, ‘Ka gare Esowo, Ntul ewa!’ ”
MAT.4.8	Nnehm kehm kpe rod Jisos, tahm a ne go ewong ji sahb wꞌwahre, fere tib-e ajahbe kpee nya li go njini, a ellub ni bo kpi no, 
MAT.4.9	kehm-e tongo re, “M bahk-a kake nyaa kpee, a lꞌjamme alahng kak-m.”
MAT.4.10	Owo Jisos kehm-e tongo re, “Nnehm, tahm-m go esamahr! Tibre bo nyono go nwer Esowo re, ‘Esowo, Ntul ewa wo wo, a bahk-e jo kak. Ye ntahngtahng wo, a bahke fere jo lok-e.’ ”
MAT.4.11	Nnehm kehm-e soro yake. Babenjel soro ba kak-e ebo.
MAT.4.12	Eji Jisos wuku re, Jon, bo m-e kak ngbekobo, á kehm tahme eje, song rehng go Galili.
MAT.4.13	A kehm tahme go Nasaret, fere song lene go Kapenium ji jolo kohlo eto ji Galili, go ndi nyi abone Sebulon, a ba Naftali, 
MAT.4.14	eji lꞌlohko jol jang jang ana nnyehnamahr Aisaya bungu no re,
MAT.4.15	“Ndi nyi abon Sebulon,
MAT.4.15	a ba Naftali,
MAT.4.15	ba lene ejang bio bi eto ji Galili li no,
MAT.4.15	egbuk Jodan
MAT.4.15	jehko go Galili jio ji ane ba ki nyi Esowo,
MAT.4.16	ane bao ba jehk go ejannge
MAT.4.16	ebnyehn egburu ellennge.
MAT.4.16	Ane bao ba nong go emel elkv,
MAT.4.16	edi ebkehme bo lennge.”
MAT.4.17	Bomo ngare nyio asongo Jisos kehm kehme etib ebe tiingi re, “Senngen njahm go egahne abiafem! Tibre etul bi Esowo ebkabbe.”
MAT.4.18	Eji Jisos jo jen go nkpe eto nyi Galili, á kehm nyehne abasahre nsahre, ane na abal, noko jolo Saimon ji bo jo lung-e re Pita, noko, bo jo lung-e re Andru ji mmonannyehn Pita.
MAT.4.19	Owo Jisos kehm tongo bo re, “Tahmen toon-m, m bahk-n limi ń fere jo bim ane.” 
MAT.4.20	Bo kehm soro tahm arim ebo sa, tahm toon-e.
MAT.4.21	Jisos kehm kpe sehng asongo, kpe song nyehn ane abal bako. Noko, bo jo lung-e re Jems. Noko, bo jo lung-e re Jon, mmonannyehn Jems. Bo jolo abon Sibidi. Bo woomo go egbang, jo baade arim ebo, a Sibidi nde ebo. Owo Jisos kehm lungu bo. 
MAT.4.22	Bo kehm soro tahm egbang sa, tahm nde ebo sa, tahm toono Jisos.
MAT.4.23	Jisos kehm tahme, jo yannge go Galili kpee, jo tib ane go bo ntahk ero, fere jo tiingi nnoobo etib bio bi etul bi Esowo, fere jo lim ane, bo nob elkohn eyam abehng abehng.
MAT.4.24	Ane kpee ba jolo go Siria wuku kan elgahm ene, owo bo kehm koko aneb ayam kpee ba go ege, ba jo yam ajoobo ayam tvv, fere jo nyehn ajoobo arem, a ane ba bele abi atohko go bo a ntim, a aneb eyam atatehk, a ane ba ma banne. Jisos limi bo kpee, bo nob. 
MAT.4.25	Ellong ane gbalee ba jo toon-e, egom jindiki lohng go Galili, egom jindiki lohng go Dekapolis, egom jindiki lohng go Jerusalem, egom jindiki lohng go Judea, egom jindiki lohng go egbuk Jodan jehko.
MAT.5.1	Eji Jisos nyehne ellong ane bao, á kehm tahme go ewong. Á ji kan a me, abatꞌtoono ebe kehm bake go ege. 
MAT.5.2	Á kehm kehme bo tib re,
MAT.5.3	“Elfuulu li ka ane ba ma gbo ekpak bio bi etohko. Tibre etul bi Esowo li ka bo.
MAT.5.4	“Elfuulu li ka ane ba jehk ndon ndon. Tibre bo bahke kake bo eltim.
MAT.5.5	“Elfuulu li ka ane ba kpi nnaange eljini. Tibre bo bahke bele njini ana ejum elehke elkv ebo.
MAT.5.6	“Elfuulu li ka ane ba kpꞌsahb sꞌseb re bo li eno go esamahr bi Esowo. Tibre bo bahke lehke eno.
MAT.5.7	“Elfuulu li ka ane ba, ane kpo fili bo ndon. Tibre bo bahke tob fili Esowo ndon.
MAT.5.8	“Elfuulu li ka ane ba ntim ebo li saang. Tibre bo bahke nyehne Esowo.
MAT.5.9	“Elfuulu li ka ane ba kpo seb elkoono.
MAT.5.10	“Elfuulu li ka ane ba, bo kpꞌnohko bo tib eji bo kpꞌlimi nsol nyi li go etingitingi. Tibre etul bi Esowo li ka bo.
MAT.5.11	“Elfuulu li ka-n, ane lꞌjo su-n, fere jo nohk-n, fere jo kiimi elkohn efahnge anehng anehng lak-n tib go egame esi.
MAT.5.12	“Belen eyebatahng, wahn jo geere. Tibre eltuuru enahne ni li go ejahbetul Esowo kpꞌgbale. Ano wo bo jo tob nohk abanyehnamahr Esowo ba tohko jol, wahn kehm jini.
MAT.5.13	“Wahn ba li akang ma njini.
MAT.5.14	“Wahn ba li ellennge ni njini.
MAT.5.15	Nnene limm, no kpo nyaale etꞌrekahng, rod ejeere konngo. Á bahke rodo na kunu go ejum ji bo kpo kunu atꞌrekahng. Owo bahke yake ka ane kpee ba wob ekpꞌkpa jio. 
MAT.5.16	Nong, ellennge enahne ni ń kpi no jo ya go esamahr ane, eji bo lꞌnyehn nnoobo enyahne nyi ń kpo lim, fere jo tehk nso ejahne no li go ejahbetul.
MAT.5.17	“Kana tir re m ba re me m ba range atahm nya Moses, a eltibi ni abanyehnamahr tibi no.
MAT.5.18	Etingitingi, n kp-n tongo re, Eji elbung abola ndi kpeke li, mmonrꞌrohka mmojum awohng awohng no atahm nehm range tete rehng esꞌkohro ji nsol kpee bahke male.
MAT.5.19	“Owo fvfo, nne awohng awohng no lꞌyuudu nrꞌrohka mmontahm awohng awohng,
MAT.5.20	“N kp-n tongo re, ń nehm ma yel go ejahbetul Esowo, sehngem re, eno ejahne ji ḿ bahke lehke go esamahr Esowo sehnge ji atꞌtibi ba atahm, a Bab Farisi.
MAT.5.21	“Wahn ebwuk ana bo tongo ane ba jolo mahne mahne re, ‘Kana jo wul nne! Nne awohng awohng no lꞌwul nne, bo bahk-e koko, tahm ane go elam.’ 
MAT.5.22	Wo, me n kp-n tongo re, Nne awohng awohng no eltim lꞌrak-e tob mmonannyehn, bo bahk-e koko, tahm a ne go elam. Nne awohng awohng no lꞌsu mmonannyehn, bo bahk-e koko, tahm a ne go esub. Nne awohng awohng no lꞌtong mmonannyehn re, ‘Egboolo ji!’ yeblim ebi ji bo bahk-e koko, song kak go ellulagun.
MAT.5.23	“A lꞌko ayare ba a nya go edi njom alimi, a lꞌfere buumu ona re, ń li go ntong awahn a mmonanne, 
MAT.5.24	yake ayare enya bum kohlo edi njom alimi jio, wo feere, tohko song bung ntong nyio mal, fere koono a mmonanne, wo kehm feere ba ka ayare enya.
MAT.5.25	Jo koono a nnekv ewa elwaare, eji ngare kpeke li,
MAT.5.26	Etingitingi, n kp-a tongo re, Owo a bahke woomo tete a gohro gal mbong nyi a bele no, jol ederi ajehng ajehng nehm sa.
MAT.5.27	“Wahn ebwuk ana bo bungu re, ‘Ka jo lim erehbe!’ 
MAT.5.28	Wo, me n kp-n tongo re, Nne awohng awohng no lꞌyehke amahr enye kunu nnenkal re á noongo a ne, yeblim abiafem nya erehbe go ege eltim.
MAT.5.29	Elmahr eboblum ena lꞌwahng re wo lim abiafem, luudu ro go! Ga nob re ejum ngubjing enya demme, sehnge re bo rod ngubjing enya kpee, song kak go ellulagun. 
MAT.5.30	Eboblum eba lꞌwahng re wo lim abiafem, kim tub go!
MAT.5.31	“Bo kpe bung re, ‘Nne awohng awohng no lꞌyehke nkal ewe elbal, nong á nyon nwer ka-e, nyi á me yehke elbal.’ 
MAT.5.32	Wo, me n kp-n tongo re, Nne awohng awohng no lꞌyehke nkal ewe elbal, eji nnenlum nondiki ki noongo a ne, á kp-e limi re á lim erehbe. Nne awohng awohng no lꞌko nnenkal no bo m-e yehke elbal, á kpꞌlimi erehbe.
MAT.5.33	“Wahn ebtob wuk ana bo tongo ane ba jolo mahne mahne re, ‘Ka jo tir go edaange! Ka kane enyam bi a nyame no go esamahr bi Ntul Esowo!’ 
MAT.5.34	Wo, me n kp-n tongo re, wahn kꞌjo tir nkpel anyehng anyehng. Kana jo tir elbung! Tibre elbung, eti etul ji Esowo ji. 
MAT.5.35	Kana jo tir ndi! Tibre ndi, etikunakpade eje ji. Kana jo tir Jerusalem! Tibre Jerusalem, ejahbe ji egburu ntul ji. 
MAT.5.36	Ka jo tir esi eja! Tibre a nehm ma lim ellv esi anehng re, jol mbarebare, jol a nehm ma lim re, jol nnyakenyake.
MAT.5.37	“Nong, wahn jo faange re, ‘Ee,’ tohko jol ano, ‘Eꞌee.’ Ellum anehng anehng ni lꞌjol sehnge ano, lohng goji Ebinne jio.
MAT.5.38	“Wahn ebwuk ana bo bungu re, ‘Nne no lꞌwa ntem elmahr, bo tob wa-e elmahr. Nne no lꞌbahk ntem elmahn, bo tob bahk-e elmahn.’ 
MAT.5.39	Wo, me n kp-n tongo re, Kana jo sahde ebi nne go eko!
MAT.5.40	Nne no lꞌgbaame ewobo eja re á kpꞌkoko, kpe yake nkud enya ka-e.
MAT.5.41	Nne no lꞌbob-a re, wo jen mmal anyehng a ne, jen mmal ebal a ne. 
MAT.5.42	Nne no lꞌlem-a ejum, ka-e! Nne no lꞌba re á ba yaame ejum go ega, ka-e!
MAT.5.43	“Wahn ebwuk ana bo tongo re, ‘Nne ebjing ewa bahke jo kor-a, nnekv ewa jo sab-a.’ 
MAT.5.44	Wo, me n kp-n tongo re, Nong, anebekv ebahne jo kor-n. Jo biren nnoobo tv ane ba kp-n suku! Jo limen nnoobo ka ane ba kpo ko-n ekv!
MAT.5.45	eji ń lꞌjol abon ba Nso ejahne no li go ejahbetul.
MAT.5.46	“Anv, ane ba ń kpo kor bo, bo lꞌkor-n, eltuuru anii Esowo bahk-n tuuru? Anv, abakokatak kpehme lim anoa? 
MAT.5.47	Ń lꞌjo kak abonane ejahne nnyo ba ba, anv, nkpokosi ejum anyi nyi ḿ ma lim? Anv, ane ba ki nyi Esowo kpehme lim anoa? 
MAT.5.48	Jolen saang, wahn kꞌbel elem ajehng ajehng, ana Nso ejahne no li go ero li saang.
MAT.6.1	“Kunen ekpu, eji ń lꞌkꞌjo lim nnoobo enyahne go esamahr ane, tohko jol ano, Nso ejahne no li go ero wahn nehm tuuru. 
MAT.6.2	Ngare anyehng anyehng nyi a lꞌlim nnoobo, ka jo tooro yannge, ana ane ba kpo tib elbo go ekpꞌkpa ero, fere jo jen alab nfam, eji ane lꞌjo tehk bo. N kp-n tongo re, Eltuuru ebo ebsehng mbang. 
MAT.6.3	A lꞌlim nnoobo, nong, ebobkal eba kꞌkahn ji eboblum eba kpꞌlimi, 
MAT.6.4	eji nnoobo enya nyi a kpꞌlimi lꞌkꞌjo jol gbul gbul gbuul. Nso no kpo nyehn nsol nyi ki li gbul gbul gbuul bahk-a tuuru.
MAT.6.5	“A lꞌkehme ero kak, ka jo lim ana ane ba kpo tib elfuumu elfuumu. Kpo kor bo re bo jo mehl yiimi go ekpꞌkpa ero, fere yiimi elatahkgur, jo kak ero, eji ane lꞌnyehn bo. Etingitingi, n kp-n tongo re, Eltuuru ebo ebsehng mbang. 
MAT.6.6	A lꞌkehm kake ero, yel go ega nkimi. Eji a ma bam mbu tv elna, wo kehm kake ero ka Nso no ane lꞌki-e ma nyehn. Nsoo no kpo nyehn nsol nyi ki li gbul gbul gbuul bahk-a tuuru.
MAT.6.7	“A lꞌkehm kake ero, ka jo lim ewok mbol mbol, ana ane ba ki nyi Esowo kpo lim. Ane bao ba kpo tir re, Esowo bahke wuku bo, tib eji bo kpꞌkake alaabe aro. 
MAT.6.8	Kana jol ana bo! Tibre Nso ejahne kpꞌkahne nsol nyi ń kpꞌsebe, jol ń kehm-e bahbe. 
MAT.6.9	Ana wo nobo re wahn jo kak ero re,
MAT.6.9	“Nso ejahre no li go ero, nong, mbing enya jol saang.
MAT.6.10	Yake etul eba ba.
MAT.6.10	Nong, mbang enya lim,
MAT.6.10	afi jolo go ndi, afi jolo go ero.
MAT.6.11	Ka-r ejum alehke ji lꞌbiingi a nahre lela.
MAT.6.12	Jo tahm ka-r go egahre abiafem, ana wahr kpo tahm ka ane ba lim-r abiafem.
MAT.6.13	Ka lim, e yel go elgaare.
MAT.6.14	“Ń lꞌtahm ka ane go bo abꞌbi nya bo lim-n no, Nso ejahne no li go ero bahke tob tahm ka-n go egahne abꞌbi. 
MAT.6.15	Ń tohko tahm ka ane go bo abꞌbi nya bo lim-n no, bahke limi renan, Nso ejahne kehm tob tahm ka-n?
MAT.6.16	“Ń lꞌkehme elnahne njal bade, kana jo gehn asamahr, ana ane ba kpo tib elfuumu elfuumu kpo lim. Bo kpo gbod asamahr ebo, eji ane lꞌkahn re, bo kpi elbo njal bade. Etingitingi, n kp-n tongo re, Eltuuru ebo ebsehng mbang.
MAT.6.17	A lꞌkehme elna njal bade, jo ru esamahr, wo fere jak esi, 
MAT.6.18	eji ane lꞌkꞌkahn re, a kpi elna njal bade, sehngem Nso no ane kil-e elnyehne wo bahke kahne. Nso no kpo nyehn nsol nyi ki li gbul gbul gbuul bahk-a tuuru.
MAT.6.19	“Kana jo kpu nsol afang bum elnahne go njini nyia, edi ji bahke biili amahn, etan fere wo, awajv fere wa yel ba v.
MAT.6.20	Ga nob re wahn kpu nsol afang bum elnahne go ejahbetul Esowo, edi ji lꞌkꞌtiki biili amahn, etan lꞌkꞌma wo, awajv lꞌkꞌma wa yel song v.
MAT.6.21	Tibre eltim ena bahke tiki jol edi ji afang enya li no.
MAT.6.22	“Elmahr ni li ana etꞌrekahng ka ngubjing. Elmahr ena lꞌjol sange sange, ngubjing enya bahke bele ellennge. 
MAT.6.23	Elmahr ena lꞌjol abꞌbi abꞌbi, ngubjing enya bahke jolo ejannge ejannge. Ellennge ni wob-a go atahng lꞌfere kpiidi, jol ejannge, nkom ejannge nyi bahke jolo tete, jol nyi nse sang.
MAT.6.24	“Nnene limm, no bahke ma loko nde na ebal. Á bahke koko noko ekv, noko jo kor-e. Tohko jol ano, á bahke lake na awohng, fere jo daange noko. Ń nehm ma loko Esowo, fere jo loko akpohko.
MAT.6.25	“Ana wo wahnge n kp-n tongo re, Kana jo tiiri bada nsol nyi ḿ bahke jo li, fere jo wꞌwo, a nsol nyi ḿ bahke jo kak go ngubjing.
MAT.6.26	Nyehnen nruk ana bo kpꞌfonngo go elbung yannge. Bo kpehme bahm nsol. Bo kpehme kpa. Bo kpehme sol, song lake go abuungu. Nso ejahne no li go ero wo kpo le bo. Anv, wahn sang ga gbal sehnge nruka?
MAT.6.27	Nne awo ewahne no bahke kpe ma budu abon nnya go ege elkpin, eji á kpꞌtiiri ana?
MAT.6.28	“Jen ji wahnge ń kpꞌtiiri bada nsol ngubjing? Nyehnen ana atꞌtul nkpad kpo gbal go emahng. Bo kpehme nyennge lim eltum. Bo kpehme jamme nsol kak elbo. 
MAT.6.29	N kp-n tongo re, Jol Solomon go ege ellub á liibem ana atꞌtul nyao. 
MAT.6.30	Ana Esowo kpo liibi ajele nya li go emahng, nya kpo kpin lela lela, behna bo jahm fi, jen ji wahnge á lꞌki-n tob liibi, wahn ji kpꞌkahn taame ntiil?
MAT.6.31	“Owo fvfo nobo re wahn kꞌjo tiiri, fere jo bung re, ‘Ejum aji e bahke jo li, fere jo wo, fere jo kak go ngubjing?’ 
MAT.6.32	Nsol nyia nyi ane ba ki nyi Esowo kpo tiiri. Wo, wahn, Nso ejahne no li go ero kpꞌkahne re, nsol nyia kpee nobo re wahn bel.
MAT.6.33	Ga nob re wahn gbo mbang tiiri bade etul bi Esowo, ana ḿ bahke lehke eno go ege esamahr. Á bahk-n budu nsol nyehko kpee.
MAT.6.34	“Kana jo tiiri bade nya behna! Nong behna tiiri bade elne. Efung abehng abehng kpo bel afemfem nyanye. Wahn, kana jo budu atꞌtiiri nya nyahne!
MAT.7.1	“Kana jo lam ane bako, eji Esowo lꞌki-n tob lam.
