GEN.1.1	No princípio Deus criou o céu e a Terra. 
GEN.2.21	Então o 
GEN.2.22	Dessa costela o 
GEN.2.23	“Esta sim!”, exclamou Adão.
GEN.2.23	“Esta é parte dos meus ossos e da minha carne.
GEN.2.23	O seu nome será mulher.
GEN.2.23	Pois foi tirada do homem!”
GEN.2.24	Assim, o homem deve deixar o pai e a sua mãe, para se unir com a sua mulher, e serão os dois como um só.
GEN.2.25	Ora acontecia que ambos, o homem e a mulher, estavam nus; mas nenhum deles se sentia envergonhado com isso.
GEN.3.1	A serpente era o mais astuto de todos os animais selvagens que o 
GEN.3.2	“Não. Nós podemos comer do fruto de todas as árvores do jardim. 
GEN.3.3	Só da árvore que está no meio é que não devemos comer. Dessa é que Deus disse que não devíamos comer e nem sequer tocar-lhe, senão morreríamos.”
GEN.3.4	“Não morrem nada!”, retorquiu-lhe a serpente. 
GEN.3.5	“Deus sabe muito bem que no mesmo instante em que comerem esse fruto os vossos olhos abrir-se-ão e, tal como Deus, serão capazes de distinguir o bem do mal!”
GEN.3.6	A mulher vendo que a árvore era agradável, que o fruto era bom para alimento, belo, fresco e apetecível, e que ainda por cima lhe daria entendimento, chegou-se, apanhou do fruto, começou a comer e ofereceu ao marido que com ela estava, e ele também comeu. 
GEN.3.7	Enquanto comiam, começaram a dar-se conta de que estavam nus, e não se sentiam à vontade. Foram então arrancar folhas de figueira que coseram para se cobrirem à volta da cintura.
GEN.3.8	Ao cair a tarde daquele dia ouviram o 
GEN.3.9	O 
GEN.3.10	“Ouvi-te a passar pelo jardim”, respondeu Adão, “e não quis que me visses nu. Então escondi-me.”
GEN.3.11	“Mas quem te mostrou que estavas nu? Comeste do fruto daquela árvore sobre a qual te avisei?”
GEN.3.12	Ele respondeu: “A mulher que me deste por companheira é que me deu do fruto dessa árvore e eu comi.”
GEN.3.13	O 
GEN.3.13	“Foi a serpente que me enganou.”
GEN.3.14	O 
GEN.3.14	“Este é o teu castigo; de entre todos os animais, serás o único que é amaldiçoado. Terás de rastejar no pó da terra e comê-lo toda a tua vida.
GEN.3.15	De agora em diante tu e a mulher serão inimigas, assim como os descendentes de ambas. O descendente da mulher te esmagará a cabeça, enquanto tu lhe ferirás o calcanhar.”
GEN.3.16	E à mulher disse:
GEN.3.16	“Terás de ter filhos com custo e dor. Desejarás muito a afeição do teu marido e este terá predomínio sobre ti.”
GEN.3.17	E para Adão:
GEN.3.17	“Porque deste ouvidos à tua mulher e comeste o fruto que te avisei que não tocasses, o solo da terra será maldito por tua causa. Terás de lutar a vida inteira para tirares da terra a tua subsistência. 
GEN.3.18	Dar-te-á muitos espinhos e cardos, mas tu comerás das suas verduras. 
GEN.3.19	Terás de suar muito durante a vida toda, para teres o sustento, até que morras e voltes para a terra donde foste tirado. Porque fundamentalmente és terra e para a terra voltarás.”
GEN.3.20	Portanto, Eva foi o nome que Adão chamou à sua mulher, “porque”, disse ele, “se tornará a mãe de toda a humanidade.”
GEN.3.21	O 
GEN.3.22	Disse então o 
GEN.3.23	Por isso, o 
GEN.3.24	E depois de o ter tirado dali, pôs querubins a oriente do jardim, os quais, com uma espada flamejante, guardavam o caminho de acesso à árvore da vida.
GEN.4.1	Então Adão juntou-se à sua mulher; ela concebeu e teve um filho, a que chamou Caim 
GEN.4.2	Depois teve outro filho, Abel.
GEN.4.2	Abel tornou-se pastor de gado, enquanto Caim trabalhava na terra. 
GEN.4.3	Quando chegou o tempo da colheita, Caim trouxe ao 
GEN.4.4	Abel fez o mesmo, mas com os primogénitos e melhores do seu gado. E o 
GEN.4.5	mas não de Caim nem da sua oferta. Este, em consequência, ficou muito dececionado e irritado. O seu aspeto alterou-se, por causa do ódio que sentia. 
GEN.4.6	“Porque é que estás furioso?”, perguntou-lhe o 
GEN.4.7	Se fizeres o bem, serás bem aceite e serás feliz. Se agires mal e não obedeceres, toma atenção, porque o pecado está à espera para poder atacar-te, e o seu desejo é destruir-te. No entanto, está na tua mão poder dominá-lo.”
GEN.4.8	Um dia, Caim veio ter com o irmão e sugeriu-lhe que fossem andar pelos campos. Quando iam juntos, Caim atacou-o e matou-o.
GEN.4.9	O 
GEN.4.9	“Não sei”, respondeu Caim. “Será que sou o guarda dele?”
GEN.4.10	O 
GEN.4.11	Por isso, agora viverás como um banido nessa terra manchada com o sangue dele. 
GEN.4.12	Quando a cultivares, não dará mais o fruto resultante do teu esforço. Daqui em diante andarás sempre errante e fugido.”
GEN.4.13	Caim replicou: “É um castigo demasiado pesado para suportar. 
GEN.4.14	Se me expulsas desta terra que tenho cultivado, fazes de mim um fugitivo e um vagabundo. E qualquer que me encontrar há de querer matar-me!”
GEN.4.15	“Não”, respondeu-lhe o 
GEN.4.16	Assim, Caim se afastou da presença do 
GEN.4.17	Entretanto, a mulher de Caim concebeu e teve uma criança chamada Enoque. Caim construiu então uma cidade e deu-lhe o nome do seu filho.
GEN.4.18	Enoque veio a ser pai de Irade, o qual teve por filho Meujael; este gerou Metusael, que foi pai de Lameque.
GEN.4.19	Lameque casou com duas mulheres: Ada e Zila. 
GEN.4.20	Ada teve um filho por nome Jabal que foi pai de todos os criadores de gado e de todos os nómadas que vivem em tendas. 
GEN.4.21	O seu irmão chamava-se Jubal, o primeiro músico; o inventor da harpa e da flauta. 
GEN.4.22	Zila, a outra mulher de Lameque, foi mãe de Tubal-Caim, o primeiro a trabalhar com metal fundido, fazendo obras em bronze e em ferro. Este tinha ainda uma irmã: Naamá.
GEN.4.23	Um dia, Lameque disse às suas mulheres:
GEN.4.23	“Ada e Sila, ouçam-me com atenção!
GEN.4.23	Ó mulheres de Lameque,
GEN.4.23	prestem atenção ao que vou dizer!
GEN.4.23	Eu estou pronto a matar um homem,
GEN.4.23	um jovem, por me atacar ou ferir.
GEN.4.24	Na verdade, quem matar Caim
GEN.4.24	será castigado sete vezes mais do que ele foi
GEN.4.24	e quem me matar a mim, para se vingar,
GEN.4.24	será setenta e sete vezes mais castigado.”
GEN.4.25	Adão teve de novo relações com sua mulher e ela teve outro filho a quem chamou Sete. E ela disse: “Deus me deu outro filho em lugar de Abel que Caim havia assassinado.” 
GEN.4.26	Sete teve um filho a quem chamou Enos.
GEN.4.26	E foi a partir de então, durante a vida deste, que se começou a invocar o nome do 
GEN.5.1	Esta é uma lista de alguns dos descendentes de Adão. Deus criou o homem e fê-lo semelhante ao próprio Deus. 
GEN.5.2	Criou um homem e uma mulher e abençoou-os. A esta sua criação Deus chamou homem, desde esse dia.
GEN.5.3	Adão tinha 130 anos, quando seu filho Sete nasceu, um filho que reconheceu como semelhante a si próprio em tudo. 
GEN.5.4	Depois desse nascimento, Adão viveu ainda mais 800 anos, e teve filhos e filhas, 
GEN.5.5	morrendo com a idade de 930 anos.
GEN.5.6	Sete tinha 105 anos, quando lhe nasceu Enos. 
GEN.5.7	Depois viveu mais 807 anos, tendo tido filhos e filhas, 
GEN.5.8	morrendo com a idade de 912 anos.
GEN.5.9	Enos contava 90 anos, quando nasceu Quenã, seu filho. 
GEN.5.10	E viveu mais 815 anos, tendo filhos e filhas; 
GEN.5.11	morreu aos 905 anos.
GEN.5.12	Quenã contava 70 anos, quando do nascimento de Malaliel, seu filho. 
GEN.5.13	Depois viveu mais 840 anos, tendo-lhe nascido filhos e filhas. 
GEN.5.14	Ao todo, viveu 910 anos e morreu.
GEN.5.15	Malaliel tinha 65 anos, quando Jarede nasceu. 
GEN.5.16	Viveu ainda 830 anos, tendo tido e filhas. 
GEN.5.17	Quando morreu contava 895 anos.
GEN.5.18	Jarede viveu 162 anos e teve Enoque. 
GEN.5.19	Depois disso, viveu 800 anos, durante os quais teve filhos e filhas. 
GEN.5.20	Ao todo, viveu 962 anos e morreu.
GEN.5.21	Enoque tinha 65 anos, quando lhe nasceu Metusalém. 
GEN.5.22	E os 300 anos que viveu depois passou-os em comunhão com Deus. E teve filhos e filhas. 
GEN.5.23	Então, quando contava 365 anos de uma vida 
GEN.5.24	de andar sempre em comunhão com Deus, desapareceu, porque Deus o levou.
GEN.5.25	Metusalém tinha 187 anos, quando lhe nasceu Lameque. 
GEN.5.26	Durante os 782 anos que viveu ainda, gerou mais filhos e filhas, 
GEN.5.27	vindo a morrer com 969 anos.
GEN.5.28	Lameque tinha 182 anos quando lhe nasceu um filho, 
GEN.5.29	a que chamou Noé porque, disse ele: “Este há de trazer-nos descanso para o duro trabalho da terra que o 
GEN.5.30	Lameque viveu mais 595 anos e teve mais filhos e filhas. 
GEN.5.31	Ao todo, foram 777 os anos de vida que teve e morreu.
GEN.5.32	Noé, aos 500 anos, tinha tido três filhos: Sem, Cam e Jafete.
GEN.6.1	Quando os homens começaram a multiplicar-se na Terra e assim foram nascendo mais mulheres, 
GEN.6.2	então os filhos de Deus repararam que as filhas dos homens eram belas, e tomaram para si as que quiseram. 
GEN.6.3	E o 
GEN.6.4	Naqueles dias, e mesmo depois, quando os filhos de Deus tiveram relações com as filhas dos homens, os filhos que lhes nasceram tornaram-se gigantes, os heróis de grande fama de que nos falam os relatos da antiguidade.
GEN.6.5	E o 
GEN.6.6	Então entristeceu-se muito de os ter criado. 
GEN.6.7	“Tirarei da face da Terra tudo o que tem vida, desde o homem até aos próprios animais, inclusive répteis, aves, tudo. Porque estou bem triste de os ter feito.”
GEN.6.8	Noé, contudo, achou graça aos olhos do 
GEN.6.9	Esta é a história da vida de Noé, um homem justo e íntegro entre as pessoas daquele tempo. Noé andava em comunhão com Deus. 
GEN.6.10	E tinha três filhos: Sem, Cam e Jafete.
GEN.6.11	Entretanto, a corrupção aumentava em toda a Terra. E Deus via isso. A violência alastrava por toda a parte. 
GEN.6.12	Deus, ao verificar como todo o género humano se tinha deixado arrastar para a depravação e o vício, 
GEN.6.13	disse a Noé: “Decidi acabar com toda a humanidade, porque a Terra está cheia de crime e perversão por causa do ser humano. Por isso, os destruirei.
GEN.6.14	Faz então uma embarcação, com madeira resinosa, e que tenha compartimentos no interior. Reveste-a de alcatrão no interior e no exterior. 
GEN.6.15	Terá de ter 150 metros de comprimento, 25 de largura e 15 de altura. 
GEN.6.16	Terá uma abertura na parte de cima, meio metro logo abaixo do telhado, e no interior haverá três andares. E coloca uma porta de lado. 
GEN.6.17	Porque tenciono cobrir toda a Terra com uma imensa cheia que destruirá tudo aquilo em que houver vida. 
GEN.6.18	Mas contigo estabelecerei a minha aliança, e entrarás nessa embarcação, com a tua mulher, os teus filhos e suas respetivas mulheres. 
GEN.6.19	De todos os animais que existem traz dois, macho e fêmea, para a embarcação, para que sobrevivam contigo, durante o dilúvio. 
GEN.6.20	De cada espécie de aves, de quadrúpedes, até do mais pequeno bichinho ou verme que rasteja no solo hás de trazer um par, para que se reproduzam. 
GEN.6.21	Armazena também toda a espécie de comida, para sustento vosso e dos bichos.”
GEN.6.22	Noé fez tudo conforme Deus lhe tinha ordenado.
GEN.7.1	Finalmente, chegou o dia em que o 
GEN.7.2	Faz também entrar sete pares, macho e fêmea, de todos os animais cerimonialmente limpos, e um só par, macho e fêmea, dos animais não puros. 
GEN.7.3	Das aves farás entrar igualmente sete pares reprodutores. Assim, se poderá manter viva cada espécie após a cheia. 
GEN.7.4	Daqui a uma semana começarei a fazer chover, durante 40 dias e 40 noites, e tudo quanto criei com vida morrerá.”
GEN.7.5	Noé fez tudo segundo o que o 
GEN.7.6	Era da idade de 600 anos, quando o dilúvio começou. 
GEN.7.7	Entrou então na embarcação com a sua mulher, filhos e noras, para escaparem àquela imensa cheia. 
GEN.7.8+GEN.7.9	Com ele estava lá dentro, igualmente, toda a variedade de vida animal, tanto dos animais cerimonialmente limpos como não; tanto aves como animais terrestres. Estavam ali pares, macho e fêmea, tal como Deus mandara.
GEN.7.10	Passada aquela semana, as águas do dilúvio começaram a cair sobre a Terra. 
GEN.7.11	No dia 17 do segundo mês, do ano em que Noé completou 600 anos, começou a chover torrencialmente, como nunca se tinha visto. Era como se os reservatórios dos abismos se tivessem aberto, juntamente com todas as comportas do céu. 
GEN.7.12	E assim choveu durante 40 dias e 40 noites.
GEN.7.13	Contudo, Noé, no dia em que a chuva começou, tinha entrado naquela construção flutuante com a mulher e os filhos, Sem, Cam e Jafete, e estes com as mulheres. 
GEN.7.14	Com eles tinham-se abrigado também todas as espécies de animais, domésticos e selvagens, desde aves aos que rastejam no solo. 
GEN.7.15+GEN.7.16	Entraram dois a dois, de todos os seres que respiram, conforme o que Deus tinha indicado. Um macho e uma fêmea de cada espécie. Então o 
GEN.7.17	Durante 40 dias, aquela enchente enorme cobriu a Terra toda; primeiro as planícies, levantando a construção flutuante. 
GEN.7.18	Depois as águas continuaram a subir, sempre cada vez mais, 
GEN.7.19	de forma que a embarcação já flutuava em segurança, muitos metros acima da terra. Até que, finalmente, como o dilúvio não parava, mesmo as montanhas mais altas ficaram cobertas. 
GEN.7.20	Não se via, debaixo do céu, um só monte que não estivesse sob as águas, as quais os ultrapassavam em uns 7 metros ou mais. 
GEN.7.21	E morreu tudo o que tinha vida sobre a terra: aves, quadrúpedes, répteis e, é claro, todo o ser humano. 
GEN.7.22	Tudo o que respirava, quer voasse ou vivesse na terra seca, desapareceu. 
GEN.7.23	Assim, desapareceu tudo o que existia na Terra, animais e seres humanos. Apenas Noé e os que estavam com ele na embarcação sobreviveram.
GEN.7.24	As águas cobriram a terra durante 150 dias.
GEN.8.1	Deus não se esqueceu de Noé e de toda a vida animal que estava na embarcação. Fez soprar um vento forte e as águas começaram a baixar. 
GEN.8.2	Os reservatórios profundos do mundo e as comportas do céu estancaram-se e aquela chuva torrencial parou. 
GEN.8.3	As águas começaram gradualmente a baixar de tal forma que, passados os cento e cinquenta dias, 
GEN.8.4	no décimo sétimo dia do sétimo mês, a embarcação tocou no cimo do monte Ararat, ficando aí. 
GEN.8.5	As águas continuaram escoando até o décimo mês e, no primeiro dia do décimo mês, já se viam os cimos das montanhas.
GEN.8.6	Ao fim de mais quarenta dias Noé abriu a janela que tinha feito na parte superior da construção, 
GEN.8.7	e soltou um corvo que voava e voltava, até que a Terra se secou. 
GEN.8.8	Entretanto, enviou também uma pomba para ver se já haveria alguma parte seca. 
GEN.8.9	A pomba, contudo, não achou nada onde pousar e voltou para a embarcação, porque o nível das águas ainda era muito elevado. Noé estendeu a mão e tomou-a para dentro.
GEN.8.10	Esperou então sete dias e soltou de novo a pomba. 
GEN.8.11	Desta vez, ela só voltou ao cair da tarde, e trazia no bico uma folha de oliveira. Noé concluiu, assim, que as águas estavam a descer bastante. 
GEN.8.12	Deixou passar ainda mais uma semana, soltou de novo a pomba, mas desta vez ela não voltou.
GEN.8.13	Passaram-se ainda 29 dias depois disso; era o primeiro dia do primeiro mês. Noé tinha a idade de 601 anos, quando levantou a cobertura da construção e verificou que as águas tinham descido totalmente. 
GEN.8.14	Ao fim de mais 8 semanas, no dia 27 do segundo mês, a terra estava completamente seca.
GEN.8.15	Então Deus disse a Noé: 
GEN.8.16	“Podem sair todos; tu e a tua família. 
GEN.8.17	Deixa sair igualmente os animais por toda a parte, de forma a que se reproduzam abundantemente na Terra.” 
GEN.8.18	E assim a embarcação em breve ficou vazia dos seus habitantes, tanto da família de Noé 
GEN.8.19	como daqueles animais de toda a espécie. 
GEN.8.20	Noé construiu um altar e sacrificou nele alguns dos animais que o 
GEN.8.21	O 
GEN.8.22	Enquanto a Terra durar,
GEN.8.22	sempre há de haver tempo de sementeiras e de colheitas,
GEN.8.22	frio e calor,
GEN.8.22	inverno e verão,
GEN.8.22	tal como há dia e noite.”
GEN.9.1	Deus abençoou Noé e os seus filhos e disse-lhes que se multiplicassem e repovoassem a Terra.
GEN.9.2	“Todas as criaturas da Terra, assim como os pássaros e os peixes, terão medo de vocês”, disse-lhes Deus. “Porque coloquei-os sob o vosso domínio. 
GEN.9.3	Servirão para vosso alimento e subsistência, para além da comida de origem vegetal.
GEN.9.4	Mas nunca comam a carne com a sua vida, isto é, com o sangue. 
GEN.9.5	Nunca assassinem um ser humano. Pedir-vos-ei contas do sangue humano que tenham feito derramar. E até aos animais que matarem criaturas humanas pedirei contas do sangue que derramaram, porque era a sua vida.
GEN.9.6	Quem assassinar um ser humano terá de morrer, pois ele foi feito à imagem de Deus.
GEN.9.7	Multipliquem-se pois, repovoem a Terra e subjuguem-na.”
GEN.9.8	Deus disse mais a Noé e aos seus filhos: 
GEN.9.9	“Faço a minha aliança contigo, com todos os teus descendentes, 
GEN.9.10	e não só em relação a esses, mas a todo o ser vivo que trouxeste contigo durante o dilúvio. 
GEN.9.11	Estabeleço a minha aliança contigo. Nunca mais mandarei à Terra uma cheia semelhante que destrua tudo o que existe.
GEN.9.12	E este será o sinal da aliança eterna que faço convosco, e com todos os seres vivos que estão convosco: 
GEN.9.13	aparecerá um arco nas nuvens, como sinal da minha aliança com a Terra. 
GEN.9.14	Quando o céu se acumular de nuvens e houver chuva, há de aparecer esse arco, 
GEN.9.15	como lembrança da minha aliança contigo e com todo o ser vivo, de que nunca mais destruirei a vida que existe, por meio de um dilúvio semelhante. 
GEN.9.16	O arco, ao surgir entre as nuvens, lembrar-me-á desta aliança eterna, que existe entre mim e todos os seres vivos, com tudo o que vive na Terra. 
GEN.9.17	Este é o sinal, para todos os seres que existem na Terra, da aliança que faço convosco”, disse Deus a Noé.
GEN.9.18	Os nomes dos três filhos de Noé eram Sem, Cam e Jafete. Cam é aquele de quem descendem todos os cananeus. 
GEN.9.19	Destes três vieram todos os povos da Terra.
GEN.9.20	Noé tornou-se agricultor, plantou vinhas e foi vinicultor. 
GEN.9.21	Um dia, embriagou-se e despiu-se completamente dentro da sua tenda. 
GEN.9.22	Cam, o pai de Canaã, viu o pai despido e foi chamar os outros dois irmãos. 
GEN.9.23	Então Sem e Jafete pegaram numa capa e, de costas, com a capa suspensa pelos ombros, aproximaram-se do pai no meio da tenda e cobriram-o, sem o terem visto nu.
GEN.9.24	Quando Noé se refez da embriaguês e soube o que tinha acontecido, e a forma como Cam, o filho mais novo, tinha agido, 
GEN.9.25	amaldiçoou os descendentes de Cam:
GEN.9.25	“Malditos sejam os cananeus.
GEN.9.25	Que se tornem escravos dos descendentes de Sem e de Jafete.”
GEN.9.26	E acrescentou:
GEN.9.26	“Que o 
GEN.9.26	Que os cananeus o sirvam.
GEN.9.27	Que Deus abençoe Jafete
GEN.9.27	e partilhe da prosperidade de Sem,
GEN.9.27	e que os cananeus o sirvam igualmente.”
GEN.9.28	Noé viveu ainda 350 anos depois do dilúvio. 
GEN.9.29	Tinha 950 anos quando morreu.
GEN.10.1	Os descendentes de Noé são os seguintes: Sem, Cam e Jafete que lhe nasceram antes do dilúvio.
GEN.10.2	Os filhos de Jafete foram:
GEN.10.2	Gomer, Magogue, Madai, Javã, Tubal, Meseque e Tiras.
GEN.10.3	Os filhos de Gomer:
GEN.10.3	Asquenaz, Rifat e Togarma.
GEN.10.4	Os filhos de Javã:
GEN.10.4	Elisá, Társis, Quitim e Dodanim. 
GEN.10.5	Os descendentes destes tornaram-se povos marítimos, conquistando terra além-mar, formando nações, cada uma com a sua língua.
GEN.10.6	Os filhos de Cam foram:
GEN.10.6	Cuche, Mizraim
GEN.10.7	Os filhos de Cuche:
GEN.10.7	Seba, Havila, Sabta, Rama e Sabteca.
GEN.10.7	Os filhos de Ramá:
GEN.10.7	Sabá e Dedã.
GEN.10.8	Um dos descendentes de Cuche foi Nimrode que se tornou um dos homens mais poderosos da Terra. 
GEN.10.9	Era um grande caçador e Deus ajudou-o de tal forma que o povo costumava dizer: “Que o 
GEN.10.10	O seu reino incluía grandes cidades como Babel, Ereque, Acade e Calné, na terra de Sinar.
GEN.10.11	Daqui estendeu-se para a Assíria onde edificou Nínive, Reobote-Ir, Cala, 
GEN.10.12	Resen, entre Nínive e Cala, que era a maior cidade daquele império.
GEN.10.13	As famílias que descenderam de Mizraim foram os ludeus, anameus, leabeus, naftueus, 
GEN.10.14	patruseus e caslueus, de onde descenderam os filisteus, e os caftoreus.
GEN.10.15	Entre os descendentes de Canaã contam-se Sídon, o seu filho primogénito, e Hete. 
GEN.10.16	Canaã foi também o antepassado dos jebuseus, amorreus, girgaseus, 
GEN.10.17	heveus, arqueus, sineus, 
GEN.10.18	arvadeus, zemareus e hamateus. Depois disso, espalharam-se as famílias dos cananeus. 
GEN.10.19	O seu território estendia-se desde Sídon a Gerar, chegando ao limite de Gaza. Chegaram mesmo a Sodoma e Gomorra e a Admá e Zeboim perto de Lasa.
GEN.10.20	Estes são os descendentes de Cam que se espalharam, formando povos e nações com as suas diferentes línguas.
GEN.10.21	Sem, o irmão mais velho de Jafete, teve também filhos. Todos os filhos de Eber são descendentes de Sem.
GEN.10.22	Sem teve como filhos Elão, Assur,
GEN.10.23	Este último foi pai de Uz, Hul, Geter e Mas.
GEN.10.24	Arfaxade gerou Sala e este gerou Eber.
GEN.10.25	Eber teve dois filhos:
GEN.10.25	Pelegue, porque foi durante a sua vida que os povos de todo o mundo começaram a separar-se e a dispersar-se, e Joctã.
GEN.10.26	Os filhos de Joctã foram Almodade, Selefe, Hazarmavet, Jera, 
GEN.10.27	Hadorão, Uzal, Dicla, 
GEN.10.28	Obal, Abimael, Sabá, 
GEN.10.29	Ofir, Havila e Jobabe.
GEN.10.30	Todos estes descendentes de Joctã viveram entre Messa e Sefar que é uma montanha do oriente.
GEN.10.31	Estes são os descendentes de Sem, segundo os povos e as nações que foram formando, com as suas línguas próprias e a localização geográfica respetiva.
GEN.10.32	É esta a relação dos descendentes de Noé, a partir dos quais se formaram as nações da Terra depois do dilúvio.
GEN.11.1	Naquele tempo toda a humanidade falava uma só língua. 
GEN.11.2	Deslocando-se e espalhando-se em direção ao oriente, os homens descobriram uma planície na terra de Sinar e depressa a povoaram. 
GEN.11.3	E começaram a falar em construir uma grande cidade, para o que fizeram tijolos de terra bem cozida, para servir de pedra de construção e usaram alcatrão em vez de argamassa. 
GEN.11.4	Depois eles disseram: “Vamos construir uma cidade com uma torre altíssima, que chegue até aos céus; dessa forma, o nosso nome será honrado por todos e jamais seremos dispersos pela face da Terra!”
GEN.11.5	O 
GEN.11.6	“Vejamos se isto é o que eles já são capazes de fazer; sendo um só povo, com uma só língua, não haverá limites para tudo o que ousarem fazer. 
GEN.11.7	Vamos descer e fazer com que a língua deles comece a diferenciar-se, de forma que uns não entendam os outros.”
GEN.11.8	E foi dessa forma que o 
GEN.11.9	Por isso, ficou a chamar-se Babel,
GEN.11.10	A linha de descendentes de Sem incluía Arfaxade, nascido dois anos após o dilúvio, quando Sem tinha 100 anos de idade. 
GEN.11.11	E depois ainda viveu mais 500 anos e teve muitos filhos e filhas.
GEN.11.12	Arfaxade tinha 35 anos, quando lhe nasceu Sala. 
