GEN.1.1	Naa tiba jutyunu uwanun, Dios tiba deke' faawaandu, selu bain, tu bain dekemi. 
GEN.2.10	Edénnu pijula main fale' jitu, juntsa vijpala pi ajkemu jumi, ma pijularen taapai pala ma velaa pijula. 
GEN.2.11	Ajke' pala jumuya Pisón mumumi; entsa pi uru tsunu Havilá tusha yatemu jumi. 
GEN.2.12	Entsa tenatalaa naa kayu ura uru bain, naa chi pillu aindyayaa bain, naa unise mumu shupuka bain kataamumi. 
GEN.2.13	Tsenmala kama pijuu palaya Guihón mumumi, Cus tinu tusha yatemu pijula. 
GEN.2.14	Tsenmala kama pijuu palaya Tigris pi mumumi, Asur pebulu pajlanu pasha pumu pi. Tsenmala entsaba kumuinchibi taapai pijuu pala jumuya Éufrates mumumi. 
GEN.2.15	Tsejtu Yavé Dios, cha' rukunu Edén vijpaasha pu', tiba dewajke' washkisa tyatu, 
GEN.2.16	Yavé Dios entsangue uudenguemi cha' rukunu: Vijtyasha naaju chinu puka ka' findenñuba ka' finuu juve, 
GEN.2.17	tsaaren main main tyee keñu urañu bain, tyee keñu urajtuñu bain mijakaamu chinu namu pukaya ka' fityude; ñu naama juntsa puka ka' fi' bain, uwain peyanbera inu tsuve, timi.
GEN.2.18	Tsejtu bene Yavé Dios tsandimi: Unbee rukun maali juu tsanashu juntsaa urajtuve. Tsa' mitya main ti bain yaba bulu ura' kivetekenuunu kenu tsuyu, timi. 
GEN.2.19+GEN.2.20	Tsejtu Yavé Dios tu llujpenuren kumuinchi animaa juula bain, naa pishku juula bain dekemuwaatu, umaa cha' ruku' junga deta'mi, mumu pukaanu. Tsenñu cha' ruku naajulanuba mumu depukemi, naa cha' miyanuu animaalanu bain, naa pishkulanu bain, naa jeendaa chumu ajara animaalanu bain. Tsejtu naake mumu puñuba juntsai shuwala. Tsaaren juntsa animaala, maliiba cha' rukunu bulu ura' kivetekenuu faatyula. 
GEN.2.21	Tsenñu Yavé Dios cha' rukunu tengan jutyungue kaskare', ya kasu'tsunu uwanu ma vi'chi kalaami. Tsanguetu ya' allachiren junu vi'chi kalaanunu mandu'kaami.
GEN.2.22	Tsejtu juntsa vi'chinun Yavé Dios ma shinbu ketu, cha' rukunu taji' keewaami. 
GEN.2.23	Tsenñu cha' ruku katatu tsandimi: ¡Entsaya uwain in allaren jumin, in taku bain jumin juve! “Supu shinbu” mumu junu tsuve, matyu Dios unbee rukunaa kalaañu' mitya, timi.
GEN.2.24	Tsa' mityaa unbee rukuya ya' apanu bain, ya' amanu bain shuike' ji', ya' shinbuba buudi' chunu tsuve; tsai' yala main juuñuu tiyainu detsuve.
GEN.2.25	Tsejtu naa unbee ruku bain, naa ya' shinbu bain cha'tene juularen, ne tsa deeyu tya' yujtyatyu jula.
GEN.3.1	Yavéchi, matyu Dioschi imu jeendaa nemu ajaa animaalanu pensanguiñuya piñee kayu bibumi. Tsa' mitya supu shinbunu tsandimi: ¿Tsejtu Dios ñullanu vijpalanu chudenashu juntsa chinu puka namulaa, naaju bain fityudei, tii? timi.
GEN.3.2	Tsenñu supu shinbu pakatu: Lalaya naaju chinu puka ka' findenñuba ka' finuu dejuyu, 
GEN.3.3	tsaaren vijtya kejtaa chunashu juntsa chinuya Dios lalanu naa ta'kabainguityudei tiñu' mitya, ka' finu dejutyuyu, matyu tsanguishu juntsaa peyanu dejuve tiñu' mitya, timi.
GEN.3.4	Tsenñu supu shinbunu piñi tsandimi: Anbudave, ñulla peyan dejutyuve. 
GEN.3.5	Matyu Diosya naama ñulla juntsa chinu puka deka' fi' bain ñulla' kapuka dedanware', naaju urañu bain, naaju urajtuñu bain demija', Dios tsaa tiyanu dejuñuba mi' mityaa tsandive, timi.
GEN.3.6	Tsenñu supu shinbu juntsa chinu namu puka ne keranchiya uu finuuve tya' mujkere', aseetaju tiyachi tya' mitya, fi'kera tyami. Tsejtu manbuka walla' chiti' fitu, ya' rukunu bain kuñu, ya bain fimi. 
GEN.3.7	Tsenmalan juntsa uwanu yala' kapuka dedanguiñu, naa yala pallu tsaa cha'tene ju deju'ba kayu narai mija' yujtyala. Tsejtu iguera tapee deka' detyundyu' tele' juntsachi dishukila.
GEN.3.8	Tsejtu bene unbee ruku bain, ya' shinbu bain kependu' ishuwa juyinu uratala Yavé Dios vijtyasha nentsuñuba demeetu, chi kejtsapala yangachi tene ji' pantsudila, matyu Yavé Dios yalanu katatyusa tyatu. 
GEN.3.9	Tsenñuren unbee rukunu Yavé Dios tsandimi: ¿Nuka naanayu? timi.
GEN.3.10	Tsenñu cha' ruku pakatu tsandimi: Ñu vijpalasha nentsuñu meetu, cha'tene ju' mityaa, jeetenñu pantsudiyu, timi.
GEN.3.11	Tsenñu Dios tsandimi: ¿Tsen maa ñunu cha'tene juuve tin? ¿Tsaaya, ñunu fityude tyeesu juntsa chinu namu pukaa ka' fii? timi.
GEN.3.12	Tsenñu cha' ruku tsandimi: Ñu iba chunu ti' kuwakishu juntsa shinbu inu juntsa puka kuwañaa fiyu, timi.
GEN.3.13	Tsenñu supu shinbunu Yavé Dios tsandimi: ¿Nenñaa tsanguiyu? timi.
GEN.3.13	Tsandiñu juntsa shinbu: Inu piñi anbutiñun, juntsa puka tsangue' fikeeñuve, timi.
GEN.3.14	Tsenñu piñinu Yavé Dios tsandimi: Ñu' juntsanguen mitya, mika firu' inu tsuve, ñu' chungamaya kumuinchi animaatala ñaa firu' i' taaju imu junu tsuve. Entsa malu ajkeshaa shilla' nenchi tene neinu tsuve, tsenmin ñu' chungamaya malumere tu llujpee fin chunu tsuve. 
GEN.3.15	Tsenmin ñunu cha' shinbuba veta' veta' kundaa juu tirenu tsuyu, tsenmin naa ñunu sera' jimula bain, naa entsa shinbunu sera' jimula bain naa-uwanuba tsaren kundaa juu chunu detsuve. Tsa' mitya yanu sera' jimu ñu' mishunu ijchaa teenu tsuve. Ñuya ya' nenbujkuwanaa lluidi' finu tsuve, timi.
GEN.3.16	Tsejtu cha' shinbunu entsandimi: Navi' nakandu taaju' iinuke tirenu tsuyu; nakanu uwanu kityandaa ñu' kaillanu kanu tsuve. Ñu' rukunu meneste jujuunu tsuve, tsenmala yaa ñunu mandanguen chunu tsuve, timi.
GEN.3.17	Tsenmin unbee rukunu bain entsandimi: Ñu' shinbunu meedi', juntsa chinu imu puka fityude tiñun fiñu' mitya, ñu' kuipa' mityaren entsa tu mika firu' juu junu tsuve. Tsa' mitya ñu' chungamaya tsamantsa daran taawasha ketaa tyeeba wajke' de-iwaatu ka' fin chunu tsuve. 
GEN.3.18	Tunu naa puchi bain, naa pu chuu tape bain awanu detsuve, tsenmin jeenbaasha chumu kiya juula bain ñu fin chunu tsuve. 
GEN.3.19	Tsa' mitya taawasha ketu llashkapa chipinbee netaa panda fin chunu tsuve, ñun peya' tu mandi'mujchiya, matyu turen ñu chachi tiyamu' mitya, turen mandinu tsuve, timi.
GEN.3.20	Tsejtu juntsa cha' ruku Adán ya' shinbunu Eva mumu pumi, matyu yaa kumuinchi chachillachi ya' amañu' mitya. Eva titu “chumu” titundive.
GEN.3.21	Yavé Dios, unbee rukunu bain, ya' shinbunu bain animaa kika jali deke' kuwa' pandemi. 
GEN.3.22	Tsejtu tsandimi: Umaa chachi bain lala tsaa ma tiyaive, matyu naaju urañu bain, naaju urajtuñu bain mi' mitya. Tsa' mitya naa chuwaanu tiremu chinu bain ta-ere' puka ka' fimiya, naa-uwanuba tsana chunu tiya'ba inu juve, timi. 
GEN.3.23	Tsejtu Yavé Dios, cha' rukunu Edén vijtyasha mangalaatu, yanu ke' kujteñu tunuren taawasha kenu pukemi. 
GEN.3.24	Tsejtu chachinu mangalare' dyatu, vijpalanu uidi' pensanguiñuya pajlanu pasha, anjee keraalanu dewashkaami, tsenmin ma peeniya, ñi llu'waraaya, juntsa miñunu nutsa kelushaba lu'tetintsunu pumi, tsenmalaa chuwaawaa kemu chisha muba kalen ji'nudetsu.
GEN.4.1	Cha' ruku ya' shinbu Evaba chuñu, entsa navi' Caínnu nakami. Tsejtu tsandimi: Yavé kuñuya na main unbeena miyayu, timi. 
GEN.4.2	Tsejtu bene Caín' benna, Abelnu, na mangami. Tsenñu Abelya uveja washke' awakaamu tiyami, tsenmala Caínya tunu buikiya wajke' awakaamu tiyami.
GEN.4.3	Tsanguen dechuturen, ma malu Caín yachi tiba wajke' awakare' iwaañu puka Yavénu mantsa taji' ufeenda keewaami. 
GEN.4.4	Tsenñu Abel bain ajke' nakayamu uveja kayu naraa jumu tute' ju'ke' Yavénu keewaami. Tsenñu Yavé yuj sundya' keemi Abelnu bain, naa ya' ju'ke' keewaanu ufeendanu bain. 
GEN.4.5	Tsaaren naa Caínnu bain, naa ya' keewaañu ufeendanu bain mutya' keetyumi. Tsenñu' mitya Caín tsamantsai ajaavitu, naa kajuuba devera' laimi. 
GEN.4.6	Tsenñu Yavé tsandimi: ¿Ti' mityaa ajaavitu iyu, naa kajuruba devera' juu ma neintsumi? 
GEN.4.7	¿Uwain ñu ura' keñuya iya mutyan jutyuwa? Tsaaren ñu tsanguityuñu' mitya, umaa ujcha jumuren ñunu mandanguenu keenave. Tsaanuren ñaa juntsa ujchanu puinuu juve, timi.
GEN.4.8	Ma malu, Caín ya' benna Abelba pami. Tsejtu jeenbaasha ji' yai tene punalan Caín ya' benna Abelnu tsaa tutekemi.
GEN.4.9	Tsanguiñu Caínnu Yavé pake'meetu: ¿Ñu' benna Abel nuka naanain? timi.
GEN.4.9	Tsandiñu Caín pakatu: Iyaa mijtuyu, ne iyaa in bennanu washkemaaba juumiñu, timi.
GEN.4.10	Tsenñu Yavé tsandimi: ¿Nenñunguiyu tsanguemi? Entsa tusha ñu' benna' asa shajaakaakishu juntsan inu naakeñu urañuba ke' kuwaka ti' pakakeñunguentsuve, timi. 
GEN.4.11	Tsa' mitya, ñu firu' iwaraa jude, matyu ñu' bennanu tute' asa kushkakaakishu juntsa tuya ñunu ura' ikare' puiten jutyuve. 
GEN.4.12	Tsaju' naamika tinu taawasha keñu bain, puka juntsai ma-i'nu detsuve. Tsenmin naa-uwanuba lekayajturen entsa tunu nedandaanu tsuve, timi.
GEN.4.13	Tsandiñu Caín pakatu Yavénu tsandimi: Inu tsamantsangue taaju ikaanujtuuyu. 
GEN.4.14	Ñu umaa inu entsa tunu kelaakeñu' mitya, ñu putyuinsha baasha naa-uwanuba lekai'mujchi nedandaanu tsuyu. Tsaita nentsunmalaa mun inu kata'ba tu'nu dejuve, timi.
GEN.4.15	Tsandiñuren Yavé manbakatu tsandimi: Tsa jutyuve. Mun ñunu tute' bain, yalaa kayu mandishpai bijee taaju iinuu kuipa manganu detsuve, timi. Tsejtu Caínnu Yavé ma señas chujtimi, mun kata'ba tutei'nudetsu. 
GEN.4.16	Tsenñu Caín Yavéba kuinda ketu Yavé' ajuunu lu' jimi, tsai' Nod tusha ji' chumi, Edénnu pensanguiñuya pajlanu deechusha.
GEN.4.17	Caín ya' shinbunu ka' chu' tsaiñu, entsa navi', nakatu Henocnu faawaami. Tsejtu Caín ma pebulu kentsu' mitya, Henoc mumu pumi, matyu ya' na naaju mumuñuba tsanguetu. 
GEN.4.18	Henocya, Irad' ya' apa
GEN.4.19	Lámec pai shinbu miyandimuwaami: mainya Adá mumunmala, kamainya Silá mumuwaami. 
GEN.4.20	Adáya Jabalnu nakami, tsenñu entsaa ajke' bijee yapayatala chudi' animaa awakaakaa kemu juwaañu, veela bain bene tsaren kila. 
GEN.4.21	Tsenñu Jabal bain ma naatala Jubal mumu puu miyandimi, tsenñu entsa Jubalya beesanguendu pakaakaa kentsumi sitara bain, naa pujkuna bain ajke' bijee ke' pakaamuwaami, tsenñu bene veela bain tsaren kila. 
GEN.4.22	Siláya, Tubal-caínnu nakami, tsenñu entsaa naa brunsetala bain, naa ura jerutala bain taawasha ke' tiba kiikemuwaami. Tsenñu Tubal-caínchi ma tsujki juwaami, ya' mumu Naamá.
GEN.4.23	Ma malu, Lámec ya' pai shinbulanu Adánu bain, Silánu bain tsandimi: Ura' meedidei in patintsaashu juntsanu: Ma cha' ruku inu lastema kishu juntsaa, iya tu'nu tsuyu; ma unna inu kai'shu juntsaa, iya tu'nu tsuyu.
GEN.4.24	Tsa' mitya uwain mun Caínnu tu'mulanaa, mandishpai bijee kayu taaju iwaanu jushu juntsaa, mun inu tu'mulaa kayu 77 bijee taaju iwaranuu kuipa vinu dejuve, timi.
GEN.4.25	Adán manen ya' shinbuba matsumi, tsenñu ya' shinbu na mavi' mangatu, Set
GEN.4.26	Tsenñu Set bain na main miyanditu, Enós mumu pumi. Tsenñaa umaa Diosa' mumunu pakatu, Yavé tiitin chula.
GEN.5.1	Enaa Adán' paandela naa-i sera' dejiñuba juntsa pillave. Dios chachi ke' kujtetu, ya kerake ke' kujte', 
GEN.5.2	unbee ruku bain, supu bain kikemi, tsangue' Dios yalanu ura' dejusa ti' pami. Tsejtu yalanu ke' kujtenu malunu Dios tsandimi: “Chachi” mumu junu detsuve, timi.
GEN.5.3	Adán 130 añu juunu uwanu na mamiyanditu, Set mumu pumi, tsenmin entsa kaana ya' apa keraami. 
GEN.5.4	Set nakayañu, Adán kayu 800 añu manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.5	Tsejtu kumuinchibi 930 añu chumi; tsai ruku' chunu uwanu peyami.
GEN.5.6	Set 105 añu juunu uwanu na miyandimi Enósnu. 
GEN.5.7	Enós nakayañu, Set kayu 807 añu yapa manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.8	Tsejtu kumuinchibi 912 añu chumi; tsai ruku' chunu uwanu peyami.
GEN.5.9	Enósya 90 añu juunu uwanaa Cainánnu miyandimi. 
GEN.5.10	Cainán nakayañu, Enós kayu 815 añu manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.11	Tsejtu kumuinchibi 905 añu chumi; tsai ruku' chunu uwanu peyami.
GEN.5.12	Cainánya 70 añu juunu uwanu na miyandimi Mahalalelnu. 
GEN.5.13	Mahalalel nakayañu, Cainán kayu 840 añu manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.14	Tsejtu kumuinchibi 910 añu chumi; tsai ruku' chunu uwanu peyami.
GEN.5.15	Mahalalelya 65 añu juunu uwanu na miyandimi Jérednu. 
GEN.5.16	Jéred nakayañu, Mahalalel kayu 830 añu manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.17	Tsejtu kumuinchibi 895 añu chumi; tsai ruku' chunu uwanu peyami.
GEN.5.18	Jéredya 162 añu juunu uwanu na miyandimi Henocnu. 
GEN.5.19	Henoc nakayañu, Jéred kayu 800 añu manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.20	Tsejtu kumuinchibi 962 añu chumi; tsai ruku' chunu uwanu peyami.
GEN.5.21	Henocya 65 añu juunu uwanu na miyandimi Matusalénnu. 
GEN.5.22	Tsejtu Henoc, naa-uwanuba Dios naaken chusa tyañuba tsanguen chumi. Tsejtu Henoc, ya' na Matusalén kayañu, 300 añu kayu manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.23	Tsejtu kumuinchibi 365 añu chumi. 
GEN.5.24	Henocya naa-uwanuba Dios naaken chusa tyañuba tsanguen chumuñu, Dios yanu ka' jiñu, tsaa ma malu piyanchi ne iimi.
GEN.5.25	Matusalénya 187 añu juunu uwanu na miyandimi Lámecnu. 
GEN.5.26	Lámec kayañu Matusalén kayu 782 añu manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.27	Tsejtu kumuinchibi 969 añu chumi; tsai ruku' chunu uwanu peyami.
GEN.5.28	Lámecya 182 añu juunu uwanu na main miyandimi. 
GEN.5.29	Tsejtu Noé mumu pumi, entsanditu: Yavé tunu firu' iwaraa tireñu, lala daran taawasha ketaa tiba wajke' awakaanuu dejuyu; tsaanuren entsa kaana jayu ma lekakaanu juve, titu. 
GEN.5.30	Tsejtu Lámec, ya' na Noé nakayañu, kayu 595 añu manchutu, naa unbeenala bain, naa supu na'mala bain kayu miyandimi. 
GEN.5.31	Tsejtu kumuinchibi 777 añu chumi; tsai ruku' chunu uwanu peyami.
GEN.5.32	Noéya yumaa 500 añu ma juunu uwanaa na miyandimuwaami Semnu bain, Camnu bain, Jafetnu bain.
GEN.6.1	Chachilla entsa tunu chutu pure' seraindu, naa pannala bain tsaren serala. 
GEN.6.2	Tsenñu cha' rukula' na'mala nara deeñu' mitya, Diosa' nala
GEN.6.3	Tsenñu Yavé tsandimi: Cha' ruku naa-uwanuba te' peyatyumujchi ne tsanasa tendyuve; yaa ne chachiren juñu' mitya, 120 añun chudinuke tirenu tsuyu, timi.
GEN.6.4	Tsa' mitya aa kasta chachi tusha defaalaya Diosa' nala cha' na'malanu supu deka' na dekiñaa faala. Tsaaren naa bene bain faala. Tsejtu juntsalaa kaspee tinbunu daj ruku jumuwaala.
GEN.6.5	Entsa tusha chumu chachilla mika firu' ken dechu', naa-uwanu bain firu' kiikenu pensan judeeñu, 
GEN.6.6	Yavé katatu, chachillanu entsa tusha ke' chujtin jutyuunuba kikeeñuve tya', veta' pensa mantu yuj llakindyami. 
GEN.6.7	Tsejtu tsandimi: In keñu chachillanu entsa tunu tsaa demanbirekenu tsuyu, tsenmin kumuinchi animaa chachi miyanuu judeeshu juntsalanu bain, naa ajkachi shilla' neimu animaalanu bain, naa pishkulanu bain demanbirekenu tsuyu, matyu ke' chujtin jutyuunuba kikeeñuve, timi.
GEN.6.8	Tsaaren Noéya Yavéchi ura' katawami.
GEN.6.9	Entsaa Noé' kuindave. Noéya yuj ura' rukuwaami, naa-uwanuba Diosnu meenguemu. Tsa' mitya ya' chunu tinbunuya, yaa Dios naaken chusa tyamuñuba tsanguen chumuwaami. 
GEN.6.10	Noé pen na miyandimuwaami: Semnu bain, Camnu bain, Jafetnu bain.
GEN.6.11	Dioschiya tu urajtu kuraa tiyaimi, chachilla urajtu tene ken chu', tituba ne kikendetsuñu. 
GEN.6.12	Tsejtu kumuinchi entsa tusha chumula urajtu tene tiya deiñu' mitya, entsa tusha tsamantsa ujcha landetsuñu katatu, Dios 
GEN.6.13	tsandimi Noénu: Chachillanu depirekenu tsuyu. Yala' kuipa' mityan entsa tusha tsamantsa tituba kiken ne chudenave. Tsa' mitya, yalanu depireke', kayu vera entsa tusha tiba chudenashu juntsalanu bain depirekenu tsuyu. 
GEN.6.14	Tsa' mitya pillu laimu chi mi'ke' ka', baaku main ke', suku puja'tee kide, tsangue' naa juusha bain, naa avindala bain ba'dindalaya amuyachi tene kide pi vin jutyu. 
GEN.6.15	Matyu iya ñunu naake aawa kide tiñuba juntsaaya kide: bare' mityaya 300 tyabulu, tsenmala bungunchiya 50 tyabulu, tsenmin katyu' mityaya 30 tyabulu. 
GEN.6.16	Tsenmin pen dijki pude, tsenmin mishbui' lunu ma tyabulu faatanainshaya ma kaa juukapaa pude ke'laalaadinunu, tsenmin luluinu juukapa bain main pude ma kelusha. 
GEN.6.17	Entsa tusha pi bu'ware', kumuinchi entsa tu' chumulanu depirekenu tsuyu, naa nuka bain. Tsa' mitya kumuinchi entsa tunu chudenashu juntsalaya millai peyanu detsuve. 
GEN.6.18	Tsaaren ñubaa veta' veta' uraa kenu tsuyu. Tsa' mitya baakunu vi', ñu' shinbunu bain, ñu' nalanu bain, naa ñu' suyalanu bain miya' vide. 
GEN.6.19	Tsenmin tusha kataamu kumuinchi animaalanu bain, main llupu ka', main supu kake', baakusha vimishtide, yai bain ñuba bulu livee inudetsu. 
GEN.6.20	Tsa' mitya vee vee animaala pallu pallu baakusha ñuba vinu dejuve; naa pishkula bain, naa tusha nemu animaala bain, naa ajkachi shilla' neimu animaala bain, tsejtaa mantsala peyai'mujchi laranudetsu. 
GEN.6.21	Tsenmin titi famuñu bain juntsa vee vee deka' uukaade, tsenmee naa ñulla chachilla bain, naa animaala bain fikenuu tananudetsu, timi.
GEN.6.22	Tsenñu Dios naake mandangueñuba Noé kumuinchi juntsanguemi.
GEN.7.1	Tsejtu bene Noénu Yavé tsandimi: Kumuinchi entsa tinbunu chumu chachiitala pensangue' keeñuya, ñuren main iya naaken chusa tyañuba tsanguen chumu juuve. Tsa' mitya ñu' bululaba baakusha bulu vide. 
GEN.7.2	Tsenmin kumuinchi animaala Dioschiya ura kuramulanuya, llupu bain mandishpallu, supu bain mandishpallu ka' vinu juve, tsaaren Dioschi urajtu kuraa animaalanuya llupu bain main, supu bain main kakide. 
GEN.7.3	Tsenmin vee vee pishkulanu bain supu mandishpallu kamin, naa llupu bain mandishpallu kaminguide, tsanguenmalaa yai bain entsa tusha piyai'mujchi chunudetsu, 
GEN.7.4	matyu mandishpai malu insha 40 malu, 40 kepe shuwa jakaanu tsuyu, tsangue' entsa tunu kumuinchi in keñu chumulanu depirekenu tsuyu, timi. 
GEN.7.5	Tsenñu Yavé naake mandangueñuba Noé kumuinchi juntsanguemi.
GEN.7.6	Tsejtu tunu debu'waakenu tinbunu Noé 600 añu juuwaami.
