MAT.1.1	Ma əlfa na Zezu Krestu, wətən Davitti*, wətən Abraham:
MAT.1.24	Gala afɗah səket sini, Zozef aɗɗak va maslay anah səni, agəmtək gon ananda, 
MAT.1.25	məza wəvoŋ dəndət ɓa, ha ndət bok wina Zozef alvanək na Zezu.
MAT.2.1	Muwani Zezu a Betelihem awalaŋ gəla na dələv na Zude, daga Herodə asan aka məlĩya. Dərɓaga muwani, məsənaŋ wənnet gərzleɗ səmba pay nampum, azoŋko a Zerusalem. 
MAT.2.2	Assohoŋ na: Aŋgay win muwanəŋ di, an məs dədawsan məlĩ net Yahudiyenɗe di? Mulak ngərzla nan ambra pay nampum vini məde vi kaw gakdakani.
MAT.2.3	Adan məlĩ Herodə apprəm vaska, makran azlahək diiɗa, daga ɗii na Zerusalem pakə atapetike. 
MAT.2.4	Herodə akkeletik ɗii gugiriɗ net məs dəlveŋge na Maŋgəlva, dit ɗii nan məsənaŋ ɗerewel na ma henziŋ na Maŋgəlva, atokonək met na, aŋgay adah wanən Messiya* di. 
MAT.2.5	Azlan sənənək na: A Betelihem dələv na Zude. Vaski məs kleŋ evere.
MAT.2.6	Is Betelihem dələv na Zude
MAT.2.6	kəgəs azet walaŋ gəleɗe mbrit na Zude ɓa:
MAT.2.6	Vi sə Zoki məlĩ adawgilyeni
MAT.2.6	məs naw taɗ ɗii naw Israyel.
MAT.2.7	Yaŋ Herodə aye məsənaŋ zəga məɗamma yaŋ apprəm pay mula ngərzla təstəs səmeti. 
MAT.2.8	Aslinik a Betelihem, apsit na, mədoŋ məkayan gəla winəŋ lewlewi, an kərəhnənka, kəzoŋ gən wənahsuwa ndaw gən əgakdakan tamə.
MAT.2.9	Adan apprəmən vas səma məlĩya, ambataŋka. Yaŋ ngərzla məs awlaŋ amba pay nampum naka adawka abeti, adek izu aka gəla an məs wiyən asan adaka. 
MAT.2.10	Adan awlanən ngərzla, an nekenənək zit diiɗa. 
MAT.2.11	Atoŋgoŋko eŋgili, awlanənək wina dət man, Mari. Agdukoŋko fuŋ a gakdakanənka. Yaŋ apələn ma gabal net əmpa apsənənək zəga, meleŋge də gaŋgəlnya, gəm tursan nani. 
MAT.2.12	Yaŋ Maŋgəlva anah sit də wisine adaw milyeŋ kəla za Herodə ɓa, amndoŋko aka dələv net dəka tive mbərən.
MAT.2.13	Dərɓaga məsənaŋ zəga ambataŋgə, maslay na Ɗəfdaya adek aza Zozef də wisine apsən na: Asili, aslan wina dət mani dok a Misra, asok adak ha gap nənah suk gəni. Vi Herodə wakayan wina, kawbayən.
MAT.2.14	Zozef afɗahka aslanək wina dət mani dəfɗa ambataŋka Misra. 
MAT.2.15	Asanka daka ha gap Herodə zamə. Vas na vi kapprəman an Ɗəfdaya anah də ma məs kleŋ nani, nəyak wətu sə Misra.
MAT.2.16	Adan Herodə awla məsənaŋ zəga ammakanənək dərwa, gədəvən adək diiɗa. Aɗɗak wənna, kawbay kirin mezeŋleket sə Betelihem pak gəm səket meŋge nan pakə, təŋ səka wəsva sula ha məs dəgapaŋ ɓa pakə, va an məs apprəm səmet məsənaŋ zəga va pay awlanən ngərzla nan egili. 
MAT.2.17	Yaŋ apprəmanənək an məs kleŋ Zeremiya apeli.
MAT.2.18	Məpprəmni vamvəl a Rama,
MAT.2.18	wəhəmma də gugoyo tay diiɗa,
MAT.2.18	Rakel tatə həmma viyit kirtita,
MAT.2.18	tənger kapprəm wəɓət gət ɓa vi amtaŋka.
MAT.2.19	Dan Herodə amtə, maslay na Ɗəfdaya adek aza Zozef də wisine a Misra. 
MAT.2.20	Apsən na: Asili, aslan wina dət mani a amil dənɗaŋ aka dələv na Israyel vi məzu kayanən wiyən kawbayən amtaŋka.
MAT.2.21	Asilke aslanək wina dət mani amilyeŋgək aka dələv na Israyel. 
MAT.2.22	Adan apprəmna Arkelawus dəsan məlĩ a gəla affəni, a Zude, geslne armak dawsan adaka, yaŋ wəsine ade azani amzla aka dələv na Galile. 
MAT.2.23	Ambatka asanək awalan gəla məs adawyaŋ na Nazaret. Vi kapprəman an məs kleŋɗe anahaŋ na: Kawyani na mə Nazaret.
MAT.3.1	Də pay nani Zaŋ məgəɗ baptem agilke a muya na Zude, atəŋgək wəpele. 
MAT.3.2	Amna: Məkpaŋgan wədaw nokum vi məlĩ na Maŋgəlva go'oy.
MAT.3.3	Zaŋ ndəni an məs kleŋ Ezay apel wənnani amna:
MAT.3.3	Ɗəf tay wənzla vamvəl awra:
MAT.3.3	Məzaɓan tive na Ɗəfdaya,
MAT.3.3	məɗɗa sən tiveɗ dəsoŋgən sarara.
MAT.3.4	Zaŋ tay gul lukut məɗan də denɗeke na zlogomo, tay winan dədakan də kətu, zəga nawzəm nan na heyɗeŋɗe gəm amama. 
MAT.3.5	Ɗii məs dəzoŋ sə Zerusalem səka dələv na Zude may səka dələv na maŋgava məlpa na Zordan pakə, azoŋko azani. 
MAT.3.6	Arbanənək mambray neti, Zaŋ aɗɗa sitik baptem a məlpa na Zordan.
MAT.3.7	Adan Zaŋ awle Farisiyenɗe* dit Sadusiyenɗe ada zoŋ azani vi kawrəh baptemi, apsit na: Kirtit barwayɗe nawa dənah sukum na wakukohoŋ səma wəda gədəv na Maŋgəlva an dədazan di? 
MAT.3.8	Məgəɗ wəza an narban na kəkpaŋgaŋka, kəpplanənək wəza nokum məsvani: 
MAT.3.9	Kədaɗumoŋ amokrokum na: Dəhiŋgiɗin Abraham mənani ɓa. Naw əntatə nah sukum, Maŋgəlva tay də sembe na kpeŋget kuneŋge dəkpaŋgaŋ gən kirtin Abraham. 
MAT.3.10	Məzaɓani zlimbe kaw bəl wəlaŋga daga səza gbumgburən, wəlaŋga məs awa mogon ɓa pak kaw bəlni, kaw sapni aka offo. 
MAT.3.11	Naw əntatə gəɗ sukum baptem dit iŋkile vi ndəni dəgəɗ sukum saydawa na kəkpaŋgaŋka. Amma ɗəffan nazan dərɓagawa waɗɗa sukum baptem də Əmpəs Salala gəm də offo, na kita. Nan adayək kiyu diiɗa. Nəgap ko nəgbuk gən hensek nan ɓa. 
MAT.3.12	Tay də tekpesle naw seŋger hay nan avani vi aŋgəl kaw seŋger haya, wagohon dit keselme. Wakkalan hay a maha a nanda, amma wazle keselme də offo an məza amta ɓa.
MAT.3.13	Yaŋ Zezu asil səka dələv na Galile, ade a məlpa na Zordan aza Zaŋ, vi Zaŋ dəgəɗ sən gən baptem. 
MAT.3.14	Zaŋ dəŋgəm ɓa, apsən na: Naw nəŋgəl dərəŋ na, kəgəɗ suwə gən baptem yaŋ is əmpa pay azawa? 
MAT.3.15	Amma Zezu apsəna: Apan dəgəɗ vas kakaŋka vi vaski məɗɗa gən an Maŋgəlva assoh avam pakə.
MAT.3.15	Yaŋ Zaŋ aŋgeri. 
MAT.3.16	Aɗɗa sənək baptem. Adan Zezu egil siret iŋkile disiŋ akolko, awlak Əmpəs na Maŋgəlva aprike va mokuɗuŋgulo asanək akani. 
MAT.3.17	Yaŋ wəla ade sə disiŋ amna: Aŋki wətu an nəŋgələ, əntatə neken zu dəndən sawɓa.
MAT.4.1	Dərɓaga nəska Əmpəs na Maŋgəlva akak Zezu awra vi Satan dərakan gəni. 
MAT.4.2	Zezu dəzəm zəga ɓa, pay kaklaw poɗo, may armaka. 
MAT.4.3	Satan azarka zani, apsən na: An Wət Maŋgəlva kənani anahsit girmeŋgeŋki dəkpaŋgaŋ gən zəga nawzəma. 
MAT.4.4	Zezu azlansənka: Ɗerewel amna: Ɗəf asana madaran vi way kaaka ɓa, amma də wəpel an dədawgilyen səma Maŋgəlva pakə.
MAT.4.5	Satan akak awalaŋ gəla metiŋ salala, asugənək aka gəla metiŋ naw zuliya*. 
MAT.4.6	Apsən na: An Wətən Maŋgəlva* kənan na, azlah daga saŋka ha a fuŋ, vi ɗerewel anahək na:
MAT.4.6	Maŋgəlva waɗi wən nan set maslayɗe nan viko,
MAT.4.6	də kaslkun gəni də veti,
MAT.4.6	vi tuluk adaŋgbay aza gərəm ɓa.
MAT.4.7	Zezu azlan sən na: Ɗerewel amna: Kədawrakan Maŋgəlva Ɗəfdaya nok ɓa.
MAT.4.8	Yaŋ Satan apaŋ gən aka mosorgo məɓayən diiɗa, arban sənək milyeŋge na duniya də gakdak net pakə.
MAT.4.9	Apsən na: An kukdukuk takprok vi ka gakdakawa wanəpsuko.
MAT.4.10	Amma apsən na: Dok səzawa, Satan, appawa. Vi ɗerewel amna: Agakdakan Maŋgəlva Ɗəfdaya noko, anan katər gən kəlgəɗ sən wəza.
MAT.4.11	Dəpaski Satan apan Zezu, yaŋ maslayɗe azoŋ azani aɗɗaŋ sənənək wəza.
MAT.4.12	Yo adan Zezu apprəm na, məsgani Zaŋ a daŋgay, asilke, ambatka aka dələv na Galile. 
MAT.4.13	Asana a Nazaret ɓa, ambatək wəsan a Kafarnahum, awalaŋ gəla disiŋ ki pe'e, na Galile aka dələv an mərslani, Zabulon də Neftali. 
MAT.4.14	Də wəɗɗan vaski aknəhan wəpel na məs kleŋ Ezay anah na:
MAT.4.15	Dələv na Zabulon də dələv na Neftali,
MAT.4.15	daga səka tive nawmbat a pe'e dəgar ki məlpa na
MAT.4.15	Zordan də Galile, aka dələv net ɗiiyen dəsənaŋ Maŋgəlva ɓa asuwaŋ,
MAT.4.16	ɗii məsoŋ ara guzliyo wawlanən təki babar diiɗa.
MAT.4.16	Ɗii məsoŋ aka dələv namta də tiɗim tiɗim nani,
MAT.4.16	təki babar wakaseke.
MAT.4.17	Dəpaski Zezu atəŋ wəpel wənna. Anahək na: Mətubiyə vi məlĩ na disiŋ go'oy.
MAT.4.18	Adan Zezu adabal aba məlpa na Galile, awlek ɗii də məlma zit sula mərmaŋ kilfi. Simoŋ məs adawyaŋ na Piyer də Andre an məlməni tahəŋ wəsgetin zəveɗe net eret iŋkile. 
MAT.4.19	Zezu apsit na: Məsbawa, wanəkpaŋgokum məkayaŋ ɗiiyi. 
MAT.4.20	Go'ləŋ apetinik zəveɗe neti, asbanənka.
MAT.4.21	Ambatək abe faraɗa, awlek ɗii də məlma zit sula meɓɓeti, Zak wətən Zebede, gəm Zaŋ an məlməni tahəŋ adəv bəlay də Zebede affiti, tayə zeɓetin zəveɗe neti. Zezu ayeke. 
MAT.4.22	Go'ləŋ apanənək bəlay də affiti asbanənək Zezu.
MAT.4.23	Zezu abbalək a Galile pak arbanək wən adəv gəla nawpel wənnet Yahudiyenɗe, apelik Wən Nenek na məlĩ na Maŋgəlva ambəl gitik ɗii məs gbəgbaɗe pak dit ɗii məmbər sit pakə. 
MAT.4.24	Halabara nan atərayək aka dələv na Siriya pakə, akisənənək məzu zəmaŋ saha də gbəgba' temtem gəm məs gbəgbaɗe məɗeŋgreŋ. Zezu ambəl gitike. 
MAT.4.25	Ngaɓa net ɗii diiɗa asbanənək daga sə Galile, gəm səka dələv məs adawyaŋ na walaŋ gəleɗe klaw sə Zerusalem, daga sə Zude, gəm daga sə dəgar ki məlpa na Zordan.
MAT.5.1	Adan Zezu awle ɗii diiɗa, apaŋka aka mosorgo, asanka, gewleɗ nan azoŋko zani, 
MAT.5.2	nan bo atəŋgək wərban sit zəga vaŋka.
MAT.5.3	Zəzay azet ɗiiyen dəsənən zit na məs sahaŋɗeŋ aba Maŋgəlva,
MAT.5.3	net wasoŋ də Maŋgəlva adəv məlĩ nani.
MAT.5.4	Zəzay azet ɗiiyen məzuhəmaŋ vi mambray na duniya net Maŋgəlva waɓit giti.
MAT.5.5	Zəzay azet ɗiiyen məza aɗɗaŋ ɗarɗar ɓa,
MAT.5.5	net Maŋgəlva wapsət dəlva va anahə.
MAT.5.6	Zəzay azet ɗiiyen məzu kayaŋ kaɗɗa əŋgla na Maŋgəlva də mekret pakə,
MAT.5.6	Maŋgəlva wabah sit daɗɗa an məs akayaŋ.
MAT.5.7	Zəzay azet ɗiiyen mulaŋ saha aket ɗiiyi,
MAT.5.7	net Maŋgəlva wawəl saha aketi.
MAT.5.8	Zəzay azet ɗiiyen məs mekret bar,
MAT.5.8	net wawlanən Maŋgəlva.
MAT.5.9	Zəzay azet ɗiiyen məzu sleretin ɗiiyi,
MAT.5.9	net wasoŋ kirtin Maŋgəlva.
MAT.5.10	Zəzay azet ɗiiyen mərma meti vi adaɗɗaŋ an Maŋgəlva aŋgələ,
MAT.5.10	net wasoŋ də Maŋgəlva adəv məlĩ nani.
MAT.5.11	Zəzay azokum, an ɗii arokumənka, armaŋgək mama azokum awaŋ sukumənək wənna vi kusoŋ gewleɗ nawa. 
MAT.5.12	Mənneken zukum, zukum dəsan neki vi riba diiɗa tay gukum a disiŋ vaski aɗɗaŋ sitin məs kleŋɗe en dabəŋ kikum.
MAT.5.13	Va bəttu adawtər wəray aza zəga nawzəma, vaski kədawtəraŋ wəray aza duniya. Amma an bəttu azanək lellem nani, mbari lellem nan adawsan əmpa di? Bəttu nan atər na wəray ɓa, say wəfukkun ɗii də ndapanən gəni.
MAT.5.14	Munokumtə təki məzu wiɗ na duniya, walaŋ gəla naka mosorgo aɗam na ɓa. 
MAT.5.15	Kasɗani offo adəv pitirla vi kaw ɗəp hilu akan ɓa, say kaw ɗiyən aka mətoŋgotoŋgo vi dəkasekgən gən ɗii neŋgil pakə. 
MAT.5.16	Say babar nokum də kasak gən vaska, abet ɗii pakə, vi ɗii dulanən gən wəza mogon nokum də gakdakanən gən Affukum ana disiŋ.
MAT.5.17	Kəda ɗumoŋ na nədek vi kaw pəl ma henziŋ na Moyis walla wəpel net məs kleŋɗe ɓa. Naw nəde vi kaw pələn ɓa, amma vi kaknəhan nəde. 
MAT.5.18	Gesiŋ nəda nah sukum: Ko va disiŋ də dəlva fuŋ adanziyaŋ pakə, ko ma masinək muzliyəkə walla muzliyək na ma henziŋ kasgati agisbe ɓa, ha gap wəgrak net zigeɗ pakə. 
MAT.5.19	Vi ko naway dəzelet ma henziŋgək akən muzliyəkə, walla arban sit ɗii dəɗɗaŋ gən vaska, nan wasan muzliya adəv məlĩ na Maŋgəlva. Amma ko naway dərma wənani arbanək sit ɗii dərmanən gən wənan vaska, nan wasan ɗəf metiŋgin adəv məlĩ na Maŋgəlva. 
MAT.5.20	Gesiŋ nədawnah sukum: Kətoŋgoŋ na məlĩ na Maŋgəlva ɓa, say an munokum tatərmanən an Maŋgəlva aŋgələ daykiyit məsənaŋ zəga na ma henziŋ dit Farisiyenɗe*.
MAT.5.21	Kəpprəmənək va mənah sit dəhiŋgiɗkum: Kəda bay gəbay ɓa, ko naway də bay ɗəffa warah kita. 
MAT.5.22	Amma naw əntatə nah sukum: Ko naway məs gədəvən adawda aka məlməni, kaw kani aba arkali. Ko naway dənahsən məlmən na: Zəga ɗəɗar kənani, kawkani aba kita net ɗii gugiriɗ na dəlva. Ko naway dənahsən məlmən na: Məzok kənani, agapək na gulun aka offo an metiŋgini. 
MAT.5.23	Vi vaski an kədek də zəga napsən Maŋgəlva, say aɗumoni an wən tay awalaŋkum də məlmuko 
MAT.5.24	apan zəga nok aba Maŋgəlva adaka, agəm zuk doko məsleren dəndən tagay, nok kəmil gən əpsən zəga nok sən Maŋgəlva.
MAT.5.25	An ɗəf awəli kuko, munokum tatə mbat aza arkali agəm zuko məsleren dəndəni adan munokum tat aka tive dəndən tagay ɗaŋka, vi adawkuk ava arkali ɓa, arkali tamə adawkuk avet sozeɗ kasgokən a daŋgay ɓa. 
MAT.5.26	Gesiŋ nədawnah sukum: Kəgil na sədak ɓa say an kəfaɗək an nanəŋ a kokəŋ pakə.
MAT.5.27	Kəpprəmənək va anahə: Kəldaɗɗa mana'a ɓa. 
MAT.5.28	Amma naw əntat nah sukum: Ko naway ɗəf məzilin dulət gulku də wəŋgla nata, agəɗək mana'a amakrani. 
MAT.5.29	An horok dəzəŋ ambəɗokuk wəɗɗa mambraya, akdəha, asgan fara'a səzoko. Ɗəɗaah wəzzan gəɓa zuk taka ki zuk pak wəmbat aka offo metiŋgini. 
MAT.5.30	An vok dəzəŋ dədaw kuk adəv mambraya, atawa asgan fara'a səzoko, ɗəɗaah wəzzan zuk taka ki zuk pak wəmbat aka offo metiŋgini.
MAT.5.31	Anahək na: Ko naway duɗak dət ɗak nani, say dəpsət gən ɗerewel na saydawa na awɗakək dənta. 
MAT.5.32	Amma naw əntatə nah sukum: Ko naway duɗak dət ɗak nani an vi arəhət daɗɗa mana'ayi ɓa, an vas na akpaŋ ngatək məgəɗ mana'a an təgəmək ɗəf mambərən. Ko naway dəgəm guluk akən tuɗak də zilta agəɗək mana'a.
MAT.5.33	Kəpprəmənək va anah sit dəhiŋgiɗmə: Kədaw suwayaŋ də təppelke ɓa, amma aɗɗa an məs kinan nawsuway aba Ɗəfdaya. 
MAT.5.34	Amma naw əntatə nah sukum: Kədaw suwayaŋ kpak ɓa, ko də disiŋ vi təki nasuwa na Maŋgəlvayi. 
MAT.5.35	Ko də dəlva fuŋ, vi təki naw ɗi təlni, ko də Zerusalem day day vi asan walaŋ gəla na məlĩ metiŋ. 
MAT.5.36	Ko də kikum kədaw suwayaŋ ɓa, vi kəɓapnəna wəgil gən magalagala ɓa ko muhur titir ɓa. 
MAT.5.37	Say mənah na: Ha'aw ha'aw, walla awwo awwo, vi wəpel day ki aska səza mambray ade.
MAT.5.38	Kəpprəmənək va anahə: Harani vi harani, slayni vi slayni. 
MAT.5.39	Amma naw na əntatə nah sukum: Kədam ndaganən mambray ɓa. 
MAT.5.40	An ɗəf avərkuko atapaslayuk dəzəŋ, akpaŋgansən zlaɓay, an ɗəf aŋgələk uwəliyuk vi kawtafət lukutuk muzliyək noko, apan də gəm lukut məkso'o noko. 
MAT.5.41	An ɗəf agəɗ sukuk dewle nawslansən zəga nan gap kilometər taka, aslansən gap kilometər sula. 
MAT.5.42	An ɗəf aŋgələk zəga apsəni, an ɗəf assohək dəmən kəl ɓoŋ ɓa.
MAT.5.43	Kəpprəmənək va anahə: Aŋglu meggoko azel məzuzelko. 
MAT.5.44	Amma naw əntatə nah sukum: Miŋglu məzuzel kumoni, məkaman Maŋgəlva viyit məzərmaŋ mama azokum. 
MAT.5.45	Vi kəsoŋ gən kirtin Affukum na disiŋ. Tay gilgin paya ket ɗii mambrayɗe dit məɗɗaŋ mogon pakə, tay zi buwən viyit məɗɗaŋ wəza mogoni dit məɗɗaŋ mambray pakə. 
MAT.5.46	An munokum tat əŋglunən məzu ngulukumən kaaka'ə, vi mi kədaw ganən riba səza Maŋgəlva di? Ko mətafaŋ garama day day tay ɗaŋ vaska. 
MAT.5.47	Vi kəsɗetin milmiŋgiɗkum kaaka na, wən metiŋgin kəɗɗaŋ sa? Ko məs dəsənaŋ Maŋgəlva ɓa day day tay ɗaŋ vaska. 
MAT.5.48	Məsoŋ məza də mambray ɓa, va Affukum na disiŋ nan tay də mambray ɓa.
MAT.6.1	An munokum tatəɗɗaŋ wəza mogon vi Maŋgəlva, kədaɗɗanən vi ɗii dulukumən gən ɓa. An munokum tatəɗɗaŋ vas na, kərəhaŋ na riba səza Affukum na disiŋ ɓa.
MAT.6.2	An əstatə baahsən məzuraya, kədaɗɗan vi ɗii dulukun gən ɓa va net məluvuluvuɗe adaɗɗaŋ adəv gəla nawpel wənnet Yahudiyenɗe, gəm aket tiveɗi. Adaɗɗaŋ vas na vi ɗii də gakdaketin gəni. Gesiŋ nədawnah sukum: Arəhənək riba net səkay. 
MAT.6.3	Amma noko an əstatə baahsən məzuraya, apsən məɗamma, ko baynok na makroko adawsənən ɓa. 
MAT.6.4	Aɗɗa mogon nok məɗamma, Affuk məzula an kədaɗɗa məɗamma wagəɗ suk riba.
MAT.6.5	An munokum tatə zuliyaŋ kədaɗɗaŋ vanet muluvuluvuɗe ɓa, səka aŋglaŋ wizu adəv gəleɗe nawpel wənnet Yahudiyenɗe ɓa. Aka zləzlaŋbray tiveɗi, aŋglaŋ kəzuli adaka vi ɗii dulenən gəni. Gesiŋ nədawnah sukum: Arəhənək riba net agrakə. 
MAT.6.6	Amma an kəŋgələk wəzuliya, atoŋ eŋgil anok da, amba təkiya ampan madamba akaman Affuk an na təki nawlay ɓa, Affuk an məzula an kədaɗɗa məɗamma wapsuk riba nani.
MAT.6.7	An munokum tatə zuliyaŋ kəda mə gənən wəpel va net ɗiiyen də tafaŋ ɓa adaɗɗaŋ ɓa. Azet na Maŋgəlva wataf wəzuli neti vi adaw peleŋ diiɗa. 
MAT.6.8	Kədaɗɗaŋ venet ɓa, vi Affukum asənək an kədaŋglaŋ daga kəɓəlaŋ wəzuli sən ɓa. 
MAT.6.9	An munokum tatə zuli na, vaŋki kədaw nəhaŋ:
MAT.6.9	Aw Affəm na disiŋ, salala* kənani,
MAT.6.9	aɗɗa ko naway pak də gakdakan gən iya noko.
MAT.6.10	Arban səm məlĩ noko.
MAT.6.10	Wəŋgla nok dəsan aka dəlva fuŋ va asan a disiŋ.
MAT.6.11	Apsəm way an na tərsəm wəray dəpaŋka.
MAT.6.12	Aviyan səm mambray namə,
MAT.6.12	va mədah viyan sit ɗiiyen məɗɗaŋ mambray azamə.
MAT.6.13	Ataɗmə vi Satan ada mbəɗamə,
MAT.6.13	kapan wətaf nam ɓa.
MAT.6.13	Amma agil gəm səva Satan.
MAT.6.13	Vi məlĩ van noki də sembe də gakdaka, ha faɗə. Amin.
MAT.6.14	Am munokum tatə viyanən mbrayen an ɗii adaɗɗaŋ sukuməni, Affukum na disiŋ waviyan sukum mambray nokum tamə. 
MAT.6.15	Amma an kaviyan sitin mbray an adaɗɗaŋ sukumən ɓa, Affukum na disiŋ aviyan sukum na mambray nokum ɓa'a.
MAT.6.16	An munokum tat əsee'eŋ meme kədar banən zukum sah venet muluvuluvuɗe adaɗɗaŋ ɓa, taŋ wərosonən ki hereti, vi ɗii dulenən gən na taŋ əsee'eŋ meme. Naw gesiŋ nədawnah sukum: Net arəhənək riba net grakə. 
MAT.6.17	Amma isi an əstat əsee' meme aɗah horoko, akot kiko, 
MAT.6.18	vi ɗii adasənən na əstatə see meme ɓa. Affuk an na təki məɗamən ndəni dəl sənən kaaka'ə Affuk an məwəl an kədaɗɗa məɗamma, wapsuk riba.
MAT.6.19	Kəl dah zaɓanən arya nokum a duniya ɓa, atəki na məsuk-sləma də təki zazaya kawray gən ɓa, atəki net maheleŋɗe kaw soo' nən gəleɗe kaw halnən ɓa. 
MAT.6.20	Amma məzaɓan arya nokum a disiŋ, adaka məsuk-sləma də təki zazay aɓap na kawray gən ɓa, mahelɗe bo aɓapnənna wəhalən ɓa'a. 
MAT.6.21	Vi atəki arya nok asani makrok bo adaki adawsani.
MAT.6.22	Haran ɗəf tay va pitirla na zəni. An horok tay mogoni, zuk wasan va naw kekeɓe'e. 
MAT.6.23	Amma an horok tay mogon ɓa, zuk pak tay ara guzliyo. An təki babar na zuk kəŋka ara guzliyi, guzli nan wasan diiɗa.
MAT.6.24	Ɗəf tay naɗɗa wəza viyit ɗii gugiriɗ sula ɓa. Wazel ɗəffaŋka waŋglu ɗəf andaka, wagakdakan ɗəf aŋka, wazelen ɗəf andaka. Kəɓapaŋ na wəɗɗa wəza sən Maŋgəlva də wəgay sit wənnet deleɗ pak ɓa.
MAT.6.25	Vi vaski nədawnah sukum: Kədawyanən zukum də wənna zəga naw zəma də zəga naw saa walla wənna lukut ɓa. Zeŋgille tay də sləman dayki wəzəma, zən bo dayki lukut də sləmani, vaski ɓa sa? 
MAT.6.26	Mula biŋgeɗi, aslgaŋ ɓa, aw bəlaŋ ɓa, zəga tay ada kalanən a maheɗ net ɓa, amma Affukum na disiŋ tay zəm giti. Kədayaŋ kiyit biŋgeɗ də sləma diiɗa ɓa sa? 
MAT.6.27	Naway səmbokum də sembe naw kay maŋgesl wəsva nan ko suɗike di?
MAT.6.28	Vi mi kədawgayaŋ sənən wənna lukut di? Mule wəfiyeɗ nawra va ada fiyoŋgu. Aɗɗaŋ wəza ɓa, awhoŋ gabaga ɓa. 
MAT.6.29	Amma naw əntatə nah sukum: Ko Salmoŋ də arya nan diiɗaŋ pak də gul ɗaah lukut mogon va net wəfiyok ɓa. 
MAT.6.30	Maŋgəlva tay gulsən kevile awra dəpaŋka, pumpum offo wazla. An vaski na agul sukum na dayki as ɓa sa, munokum məs wətaf nokum tay diiɗa ɓa? 
MAT.6.31	Kəda nahaŋ na: Mi məl zəm di? Walla mi məl saa di? Walla mi məl gul di ɓa? 
MAT.6.32	Ɗii məs dətafaŋ ɓa taŋ wəkayetin zigeɗis pakə. Amma Affukum na disiŋ asənək pak wəraykum taya zet zigeɗiski. 
MAT.6.33	Məgaysən məlĩ na Maŋgəlva dabəŋ də əŋgla nani, asna wapsukum an dəmbər pakə. Kədawkayaŋ vi pumpum ɓa, vi pumpum wasən kini, tattuwãh an də dazan pay pak məkki sən pay nani. 
MAT.6.34	Kəda ɗumoŋ vi pumpum ɓa: Vi pumpum waɗumsən kini. Payan digil pak tay gaysən tattuwãh nani.
