MAT.1.1	Atea, David, Abraham pãrami ca niiricʉ, Jesucristo ñicʉ̃ jʉ̃mʉa niiquĩricarãre owa tuurique nii:
MAT.1.20	—José, David pãrami, Maríare nʉmo cʉtirʉgʉ uwiticãña. Cõ ca macʉ̃ jãñagʉa Añuri Yeri cʉ̃ ca tii maji niirije jʉori cõ ca bʉaricʉ niimi. 
MAT.1.21	María jĩcʉ̃ macʉ̃ cʉtirucumo, “Jesús” cõ ca wãmeo tiipʉre. O biro wãme cʉtirucumi, cʉ̃ yaarã ñañarije cʉ̃ja ca tii niirijere ca ametʉenepʉ niiri —ĩiupi. 
MAT.1.22	Ate niipetirije biiupa, Ʉmʉreco Pacʉ cʉ̃ yee quetire wede jʉgueri majʉ mena:
MAT.1.23	“Jĩcõ nomio, ʉmʉ mena ca nii ñaatigora, ʉtaaga nii, jĩcʉ̃ macʉ̃ cʉtirucumo,
MAT.1.23	Emanuel cõ ca wãmeo tiipʉre,” cʉ̃ ca ĩiricarore biro to biijato ĩiro. (“Emanuel” ĩiro, “Ʉmʉreco Pacʉ mani mena niimi,” ĩirʉgaro ĩi.)
MAT.1.24	To biri José cãni wãcã, Ʉmʉreco Pacʉ pʉto macʉ̃ cʉ̃re cʉ̃ ca tii dotiricarore birora Maríare cõre nʉmo cʉtiupi. 
MAT.1.25	Ména, cõ macʉ̃ Jesús cõ ca wãmeo tiiricʉ cʉ̃ ca baʉaparo jʉguero, cõ mena niitiupi.
MAT.2.1	Tii yepa macʉ̃ wiogʉ Herodes cʉ̃ ca niiri cuure, Judea yepa macã macã Belén'pʉ Jesús cʉ̃ ca baʉaricaro jiro, jĩcãrã ca majirã,
MAT.2.2	o biro ĩi jãiña eaupa:
MAT.2.2	—¿Noo cʉ̃ niiti, judíos wiogʉ ca baʉaricʉ? Cʉ̃ ñocõre muipũ cʉ̃ ca mʉa doori nʉñapʉ niirã ĩari, cʉ̃re jãa ĩi nʉcʉ̃ bʉorã doojãwʉ —ĩiupa.
MAT.2.3	To biro cʉ̃ja ca ĩirijere tʉogʉ, wiogʉ Herodes pea ñee pee ĩi majiticã, bʉaro tʉgoeña paicoaupi. Ñucã Jerusalén macãrã cãa niipetirãpʉra to birora biiupa. 
MAT.2.4	To biri wiogʉ Herodes pea, paia ʉparãre, doti cũuriquere jʉo bueri majare, jʉo nea poori:
MAT.2.4	—Mesías, ¿noopʉ cʉ̃ baʉarʉgaupari? —cʉ̃jare ĩi jãiñaupi.
MAT.2.5	To biro cʉ̃ ca ĩi jãiñaro:
MAT.2.5	—Judea yepa macã macã Belén'pʉ. O biro ĩi owaupi Ʉmʉreco Pacʉ yee quetire wede jʉgueri majʉ:
MAT.2.6	“Mʉ Belén, Judea yepare ca niiri macã, tii yepa macã macãri ca nii majuropeeri macãri watoare, watoa macã macã méé mʉ nii.
MAT.2.6	Mʉre jĩcʉ̃ wiogʉ baʉarucumi, yʉ yaarã, Israel yaa pooga macãrãre ca ĩa nʉnʉjeepʉ,”
MAT.2.7	To cõrora Herodes pea, ca majirã wadore jʉo cojori, ñocõ cʉ̃ ca bau ea jʉorica cuure añuro cʉ̃jare jãiña tʉoupi. 
MAT.2.8	To biri Herodes Belén'pʉ cʉ̃jare tiicojogʉ, o biro ĩi cojoupi:
MAT.2.8	—Waarãja, wimagʉ yee maquẽre añuro mʉja jãiña tʉo peticãwa. Cʉ̃re bʉarã, yʉ cãare mʉja queti tiicojowa, yʉ cãa, cʉ̃re yʉ ca nʉcʉ̃ bʉogʉ waapere biro ĩirã —cʉ̃jare ĩiupi Herodes.
MAT.2.9	Wiogʉ to biro cʉ̃jare cʉ̃ ca ĩirijere tʉo yapanori jiro, ca majirã pea waacoaupa ñucã. Ñocõ, muipũ cʉ̃ ca mʉa doori nʉña macã yepapʉ niirã cʉ̃ja ca ĩaricʉ pea ñucã cʉ̃jare jʉgue nʉnʉa waa, wimagʉ cʉ̃ ca niiri tabe jotoa tua nʉcã eaupi. 
MAT.2.10	Ñocõ to biro cʉ̃ ca biiro ĩarã, ca majirã pea bʉaro ʉjea niiupa. 
MAT.2.11	Tii wiipʉ earã, wimagʉre, cʉ̃ paco María mena ca niigʉre ĩaupa. Cʉ̃re ĩarã, cʉ̃ja ãjʉro jupeari mena ea nuu, cʉ̃re ĩi nʉcʉ̃ bʉoupa. To biro tii, cʉ̃ja acacũmuarire pãa, oro,
MAT.2.12	Jiro quẽñaricaropʉ, “Herodes pʉto peera waaticãña,” ca ĩi wede majio ecoricarã niiri, cʉ̃ja yaa yepapʉ tua waarã, ape maa pee waacoaupa. 
MAT.2.13	Ca majirã cʉ̃ja ca tua waaro jiro, jĩcʉ̃, Ʉpʉ yʉʉ cʉ̃re queti wede bojari majʉ Josére cʉ̃ ca quẽñaropʉ cʉ̃re baua eari, o biro cʉ̃re ĩiupi: “Wãcãña. Wimagʉre, cʉ̃ pacore, Egiptopʉ jʉo duti waagʉja. Toopʉ mʉ niicãrucu ména. Jiro mʉre yʉ wederucu ñucã. Herodes wimagʉre cʉ̃re jĩa cõarʉgʉ mʉjare amagʉ doogʉ tiimi,” ĩiupi.
MAT.2.14	To cõrora José pea wãcã, wimagʉre ami, cʉ̃ pacore jʉo, tii ñamira waacoaupa Egiptopʉ. 
MAT.2.15	Toopʉ niicãupa, Herodes cʉ̃ ca bii yairopʉ. O biro bii eaupa, Ʉmʉreco Pacʉ cʉ̃ yee quetire wede jʉgueri majʉ mena: “Egiptopʉ ca niigʉre yʉ jʉo cojowʉ yʉ Macʉ̃re,” cʉ̃ ca ĩi owa cũu jʉguequĩrique.
MAT.2.16	Herodes pea ca majirã cʉ̃re cʉ̃ja ca ĩi ditoriquere majiri, ajia ametʉacoari, Belén macãrã, tii macã wejari macãrã niipetirã ʉmʉa wimarãre pʉa cʉ̃ma ca cʉorã, cʉ̃ja jiro macãrã cãare jĩa peoticã dotiupi, ca majirã cʉ̃ja ca wedericarore biro, “To cãnacã cʉ̃ma ca cʉogʉ niicumi,” ĩi majiri.
MAT.2.17	O biri wãme bii eaupa, Ʉmʉreco Pacʉ yee quetire wede jʉgueri majʉ Jeremías niiquĩricʉ o biro cʉ̃ ca ĩi owarique:
MAT.2.18	“Ramápʉre acaro buirique wedeo, yacó, ñañaro tamʉo tʉgoeña pai otirique, wedeo.
MAT.2.18	Raquel ĩimo, cõ punare otigo. ‘Otiticãña,’ ĩiriquere bootimo,
MAT.2.18	mee, cõ puna cʉ̃ja ca bii yaicoarique ca niiro macã,” ĩiupi.
MAT.2.19	Herodes cʉ̃ ca bii yairo jiro, jĩcʉ̃ Ʉpʉ yʉʉ cʉ̃re queti wede bojari majʉ, José, Egiptopʉ cʉ̃ ca niiro cʉ̃ ca quẽñaropʉ cʉ̃re baua eari, o biro cʉ̃re ĩiupi: 
MAT.2.20	“Wãcãña. Wimagʉre, cʉ̃ pacore, jʉo tua waagʉja ñucã Israel yepapʉ. Mee wimagʉre ca jĩarʉgamiricarã bii yai peticoama,” cʉ̃re ĩiupi. 
MAT.2.21	To biri José wãcã, wimagʉre, cʉ̃ pacore, Israel yepapʉ jʉo tuacoaupi ñucã. 
MAT.2.22	To biro bii pacagʉ, Herodes macʉ̃ Arquelao, cʉ̃ pacʉ wajoaye Judea yepa macãrã wiogʉ cʉ̃ ca niirijere queti tʉori, toopʉre waarʉgʉ uwi jañuupi. To biri cʉ̃ ca quẽñaropʉ Ʉmʉreco Pacʉ cʉ̃ ca wede majioricʉ niiri, Galilea yepa pee waacoaupi. 
MAT.2.23	Toopʉ eagʉ, Nazaret macãpʉ niigʉ waaupi. O biro bii eaupa, Ʉmʉreco Pacʉ yee quetire wede jʉgueri maja, “ ‘Nazaret macʉ̃ niimi,’ ĩiricʉ niirucumi,” cʉ̃ja ca ĩiricarore birora biro. 
MAT.3.1	Tii rʉmʉrire Uwo Coeri majʉ Juan, Judea yepa macã yepa, ca yucʉ maniri yepapʉre Ʉmʉreco Pacʉ yee quetire wede eaupi. 
MAT.3.2	O biro ĩiupi:
MAT.3.2	—Ñañarije mʉja ca tii niirijere tʉgoeña yeri wajoaya. Mee, Ʉmʉreco Pacʉ cʉ̃ ca dotipa cuu eacoaro bii —ĩiupi.
MAT.3.3	Juan, Ʉmʉreco Pacʉ yee quetire wede jʉgueri majʉ Isaías o biro cʉ̃ ca ĩi owa jʉguericʉ niiupi:
MAT.3.3	“Ca yucʉ maniri yepapʉ jĩcʉ̃ cʉ̃ ca acaro buirije o biro ĩi wedeo:
MAT.3.3	‘Ʉpʉre maa queno yueya; díámacʉ̃ maari cʉ̃re queno bojaya,’ cʉ̃ ca ĩiquĩricʉ.”
MAT.3.4	Juan jutiro camello poa mena tiiricaro niiupa. Ñucã waibʉcʉ quejero daa menara wẽñaupi. Cʉ̃ baarique pea yejeroa, macãnʉcʉ̃ macãrã dobea oco, niiupa. 
MAT.3.5	Cʉ̃ ca wederijere tʉorʉgarã, Jerusalén macãrã, Judea yepa niipetiro macãrã, dia Jordán pʉtori macãrã, niipetirã bojoca cʉ̃ pʉtopʉre earucuupa. 
MAT.3.6	Ñañarije cʉ̃ja ca tiiriquere cʉ̃ja ca wede ametʉenero, Juan pea dia Jordán'pʉ cʉ̃jare uwo coeupi.
MAT.3.7	Paʉ fariseos, to biri saduceos, cʉ̃re uwo coe dotirʉgarã cʉ̃ja ca dooro ĩagʉ, o biro cʉ̃jare ĩiupi Juan:
MAT.3.7	—Añaa punaa, ¿ñiru mʉjare, Ʉmʉreco Pacʉ ñañaro cʉ̃ ca tiipe ca cõña doorijere, “Mʉja ametʉacãrucu,” mʉjare cʉ̃ ĩijãri? 
MAT.3.8	Ñañarije mʉja ca tiirucurijere tii yerijãari, mʉja ca tʉgoeña yeri wajoarijere ĩñorã, ĩa majiricarora añuro niirique cʉti ĩño niiña. 
MAT.3.9	Mʉja majuropeera, “Jãa, Abraham pãramerã jãa nii,” ĩi tʉgoeñaticãña. Yee méé mʉjare yʉ ĩi: Ʉmʉreco Pacʉa, ate ʉ̃tãgaarirena Abraham pãramerã tii jeeñocã majimi. 
MAT.3.10	Mee, Ʉmʉreco Pacʉ bojoca ñañarãre, ñañaro cʉ̃ ca tiipe nii yerijãa.
MAT.3.11	”Yʉa, añuro petira, ñañarije mʉja ca tii niirijere cʉ̃ja tʉgoeña yeri wajoajato ĩigʉ, oco mena mʉjare yʉ uwo coe. Yʉ jiro ca doogʉ pea yʉ ametʉenero do biro ca tiiya manigʉ niimi. Yʉa, cʉ̃ yee dʉpo juti ʉno cãare cʉ̃re ca jee cotepʉ ʉno méé yʉ nii. Cʉ̃a, Añuri Yeri mʉjapʉre cʉ̃ ca ñaajãa nʉcãro tiiri, ca ñañarije manirã mʉja ca tuaro tiirucumi. 
MAT.3.12	Trigo quejerire cʉ̃ ca maa mʉene batepa tabere ami doomi. Ca ape peera
MAT.3.13	Jesús, Galilea ca niiricʉ, dia Jordán Juan cʉ̃ ca niiropʉ waaupi, “Yʉre cʉ̃ uwo coejato,” ĩigʉ. 
MAT.3.14	Juan pea cʉ̃re uwo coerʉgatigʉ, o biro cʉ̃re ĩiupi:
MAT.3.14	—Yʉ pee yʉ nii, mʉ ca uwo coepʉa. ¿Ñee tiigʉ mʉ pee yʉ peere mʉ uwo coe dotigʉ dooti? —ĩiupi.
MAT.3.15	To biro cʉ̃ ca ĩiro, o biro cʉ̃re ĩi yʉʉupi Jesús:
MAT.3.15	—Añurucu. Mʉra yʉre uwo coecãña, Ʉmʉreco Pacʉ cʉ̃ ca ĩa cojorore añurije mani ca tiipera niiro bii —ĩiupi.
MAT.3.15	To biro cʉ̃ ca ĩiro, Juan pea Jesús're uwo coeupi.
MAT.3.16	Juan cʉ̃ ca uwo coe yapanoro, Jesús cʉ̃ ca maa nʉcãrora, ʉmʉreco quejero pãa nʉcãcoaupa. To biro ca biiro Ʉmʉreco Pacʉ yʉʉ Añuri Yeri, buare biigʉ bau duwi doo, cʉ̃re ca ñaapea eagʉre ĩaupi Jesús. 
MAT.3.17	To cõrora ʉmʉreco tutipʉ o biro ĩi wedeoupa:
MAT.3.17	—Ani niimi yʉ Macʉ̃, yʉ ca maigʉ. Cʉ̃ mena bʉaro yʉ ʉjea nii —ĩiupa.
MAT.4.1	Jiro, Añuri Yeri ca bopori yepapʉ Jesús're amicoaupi, Satanás're ñañarije cʉ̃ tii doti eco ñaajato ĩigʉ. 
MAT.4.2	Toopʉre cuarenta rʉmʉri, cuarenta ñamiri, baari méé biima ĩigʉ, queya tʉgoeñaupi. 
MAT.4.3	To biro cʉ̃ ca biiro, Satanás, Jesús pʉto eari, cʉ̃re ĩi buiyee ñaagʉ, o biro cʉ̃re ĩiupi:
MAT.4.3	—Díámacʉ̃ra Ʉmʉreco Pacʉ Macʉ̃ra mʉ ca niijata, ate ʉ̃tãgaarire “Pan jee ñaaña,” ĩiña —cʉ̃re ĩiupi.
MAT.4.4	To biro cʉ̃ ca ĩiro, Jesús pea o biro cʉ̃re ĩi yʉʉupi:
MAT.4.4	—Ʉmʉreco Pacʉ wederique o biro ĩi: “Bojoca, baarique mena wado catitima. Niipetirije Ʉmʉreco Pacʉ wederique mena cãare caticã majima,” ĩi —cʉ̃re ĩi yʉʉupi.
MAT.4.5	Jiro Satanás, ca ñañarije maniri macã Jerusalén'pʉ cʉ̃re ami waa, Ʉmʉreco Pacʉ yaa wii jotoa bʉaro ca emʉari tabepʉ ami mʉa waari, 
MAT.4.6	o biro cʉ̃re ĩiupi:
MAT.4.6	—Díámacʉ̃ra Ʉmʉreco Pacʉ Macʉ̃ra mʉ ca niijata, anopʉ menara bupu duwi waagʉja. Ʉmʉreco Pacʉ wederique o biro ĩi:
MAT.4.6	“Ʉmʉreco Pacʉ, cʉ̃ pʉto macãrãre mʉre ĩa nʉnʉjee doti cojorucumi,
MAT.4.6	cʉ̃ja amori mena mʉre tuu ñeerucuma,
MAT.4.6	jĩcãga ʉ̃tãga ʉno mena peera mʉ ca pʉata ñaatipere biro ĩirã,” ĩi —cʉ̃re ĩiupi Satanás.
MAT.4.7	To biro cʉ̃ ca ĩiro, Jesús pea o biro cʉ̃re ĩi yʉʉupi:
MAT.4.7	—Ñucã Ʉmʉreco Pacʉ wederique o biro ĩi: “Ʉpʉ, mʉ Ʉmʉreco Pacʉre ĩi buiyee ñaaticãña,” ĩi —ĩiupi Satanás're.
MAT.4.8	Jiro ñucã Satanás, ʉ̃tãgʉ ca emʉaricʉ jotoapʉ Jesús're ami waa, ati yepa macã macãri, to biri tii macãri ca cʉorije niipetirijere cʉ̃re ĩño peoticãri, 
MAT.4.9	o biro cʉ̃re ĩiupi:
MAT.4.9	—Ate niipetirije mʉre yʉ tiicojorucu, mʉ ãjʉro jupea mena ea nuuri, yʉre mʉ ca ĩi nʉcʉ̃ bʉojata —cʉ̃re ĩiupi.
MAT.4.10	To biro cʉ̃ ca ĩirora:
MAT.4.10	—Waagʉja Satanás. Ʉmʉreco Pacʉ wederique o biro ĩi: “Ʉpʉ, mʉ Ʉmʉreco Pacʉre ĩi nʉcʉ̃ bʉoya. Cʉ̃ jĩcʉ̃rena cʉ̃ ca ĩirore biro tii nʉnʉjeeya,” ĩi —cʉ̃re ĩi yʉʉupi Jesús.
MAT.4.11	To cõrora Satanás pea, Jesús're camotaticoaupi. To biro cʉ̃ ca biiro, jĩcãrã Ʉmʉreco Pacʉ pʉto macãrã Jesús're tii nemorã eaupa.
MAT.4.12	Jiro Jesús, Juan're cʉ̃ja ca tia cũuriquere queti tʉori, Galilea yepa pee tuacoaupi. 
MAT.4.13	Nazaret macãre tuatigʉra, Zabulón, Neftalí jãa yaa yepa macã macã ʉtabʉcʉra tʉjaro ca niiri macã Capernaúm pee niigʉ waaupi. 
MAT.4.14	Ate to biro biiupa Ʉmʉreco Pacʉ yee quetire wede jʉgueri majʉ Isaías, o biro cʉ̃ ca ĩiquĩricarore biro bii earo:
MAT.4.15	“Zabulón, Neftalí jãa yaa yepa, Jordán ape nʉña, dia pairi yaa buuro jotoare, Galilea, judíos ca niitirã cʉ̃ja ca niiri yepa,
MAT.4.16	Ʉmʉreco Pacʉre majitima ĩirã, ca naitĩaropʉ ca niirãre biro ca niiricarã, pairo ca boe baterijere ĩawa. Ñañaro ca bii yaiparã ca niirãre, ca boerije cʉ̃jare boe bate ñaacũmu eawʉ,” cʉ̃ ca ĩirique.
MAT.4.17	Tii tabe mena Jesús, añurije quetire o biro ĩi wede jʉoupi: “Ñañarije mʉja ca tii niirijere tʉgoeña yeri wajoa, Ʉmʉreco Pacʉ peere tʉo nʉnʉjeeya. Mee Ʉmʉreco Pacʉ cʉ̃ ca dotirije eacã dooro bii,” ĩiupi.
MAT.4.18	Jiro Jesús, Galilea ʉtabʉcʉra tʉjaro waa nʉnʉa waarucugʉ, pʉarã jĩcʉ̃ punare ĩa bʉaupi. Jĩcʉ̃ Simón, ñucã cʉ̃ra Pedro ca wãme cʉtigʉ, apĩ Andrés, niiupa. Wai wajari maja niiri, cʉ̃ja bapi yucʉre cõañua niirã tiiupa. 
MAT.4.19	Cʉ̃jare ĩa, o biro cʉ̃jare ĩiupi Jesús:
MAT.4.19	—Yʉ mena dooya. Yʉ pea waire mʉja ca waja bʉa majirore birora, bojoca, yʉre ca tʉo nʉnʉjeerã cʉ̃ja ca niiro ca tii majirã mʉjare yʉ tiirucu —ĩiupi. 
MAT.4.20	To biro cʉ̃jare cʉ̃ ca ĩiro, cʉ̃ja bapi yucʉre cũu, cʉ̃ mena waacoaupa.
MAT.4.21	Ñucã too jʉguero jañuroacã pʉarã ĩa bʉaupi, Zebedeo puna Santiago, Juan, cʉ̃ja pacʉ mena cũmuapʉ cʉ̃ja bapi yucʉre ca jia jãa queno niirãre. Jesús pea cʉ̃jare jʉoupi. 
MAT.4.22	To cõrora cʉ̃ja pea cũmuare, cʉ̃ja pacʉre, cũu, cʉ̃ mena waacoaupa.
MAT.4.23	Jesús, Galilea yepa niipetiropʉ cʉ̃ja ca nea poo juu bueri wiijeripʉ cʉ̃jare bue, Ʉmʉreco Pacʉ cʉ̃ ca doti niiri tabe maquẽ añurije quetire wede, ñucã niipetirije bojoca cʉ̃ja ca diarique cʉtirijere, cʉ̃jare ca punirijere, cʉ̃jare ametʉene, tii yujuupi. 
MAT.4.24	To biro Jesús cʉ̃ ca tiirije pea, Siria yepa niipetiropʉ queti bate nʉcã peticoaupa. To biri Jesús pʉtore bojorica wãmeri ca diarique cʉtirã niipetirã, upʉri ca ñejerãre, ca wãtĩa jãa ecoricarãre, ñama diarique ca diarique cʉtirãre, ca bʉʉricarãre, jee dooupa. Jesús pea cʉ̃jare catioupi.
MAT.4.25	Paʉ bojoca, Galilea macãrã, Decápolis yepa macã macãri macãrã, Jerusalén macãrã, Judea macãrã, to biri dia Jordán ape nʉña muipũ cʉ̃ ca mʉa doori nʉña macã yepa macãrã, niipetirã Jesús're cʉ̃re nʉnʉupa.
MAT.5.1	Paʉ bojocare ĩari, Jesús pea ʉ̃tãgʉ ca nii mʉa waari buuropʉ maa waa, ea nuu waawi. To biro cʉ̃ ca biiro cʉ̃ buerã cãa cʉ̃ pʉto pee nea poo waawa. 
MAT.5.2	Cʉ̃ pea o biro cʉ̃jare ĩi bue jʉo waawi:
MAT.5.3	—Ʉjea niima, ca boo pacarã yeri ca yeri cʉtirã; Ʉmʉreco Pacʉ cʉ̃ ca dotiri tabea cʉ̃ja yaa tabe nii.
MAT.5.4	Ʉjea niima ñañaro ca tamʉorã, tʉgoeña tutuariquere tiicojo ecorucuma.
MAT.5.5	Ʉjea niima “O biro ca biirã jãa nii,” ca ĩitirã; Ʉmʉreco Pacʉ “Yʉ tiicojorucu,” cʉ̃ ca ĩirica yepare cʉo earucuma.
MAT.5.6	Ʉjea niima, añurijere tiirʉgarã, oco jinirʉga, aʉa boa, biirãre biro ca bii tʉgoeñarã; cʉ̃ja ca tiirʉgarore biro cʉ̃jare ca bii bojaro ʉjea niirucuma.
MAT.5.7	Ʉjea niima ca boo paca ĩarã; Ʉmʉreco Pacʉ cãa cʉ̃jare boo paca ĩarucumi.
MAT.5.8	Ʉjea niima, cʉ̃ja yeripʉ añurije wado ca tʉgoeñarã; cʉ̃ja, Ʉmʉreco Pacʉre ĩarucuma.
MAT.5.9	Ʉjea niima, añuro jĩcãri mena niirique maquẽre ca pade niirã; Ʉmʉreco Pacʉ, “Yʉ puna,” cʉ̃jare ĩirucumi.
MAT.5.10	Ʉjea niima, añurijere tiima ĩirã, ñañaro cʉ̃ja ca tiirʉga nʉnʉjeerã; Ʉmʉreco Pacʉ cʉ̃ ca doti niiri tabea cʉ̃ja yaa tabe nii.
MAT.5.11	”Ʉjea niirã mʉja niirucu, yʉ yee jʉori, bojoca ñañarije mʉjare ĩi tuti, ñañaro mʉjare tii, ñucã ĩi ditorãra mʉja menare niipetirije ñañarije ĩi, cʉ̃ja ca ĩiro. 
MAT.5.12	Ʉjea niiña; añuro ʉjea niirã niiña. Ʉmʉreco tutipʉ añurijere pairo mʉja tiicojo ecorucu. Mʉja jʉguero ca dooricarã Ʉmʉreco Pacʉ yee quetire wede jʉgueri maja cãare o birora ñañaro cʉ̃jare tiirʉga nʉnʉjeeupa.
MAT.5.13	”Mʉja ati yepa macãrã moa mʉja nii. ¿Moa, ca ocarije to ca peticoajata, do biro pee biicãri ñucã nemo to oca eabogajati? Ca ocatirijepʉa ñee ʉno pee añuti. To biri macãpʉ cʉ̃ja ca cõarijere bojoca pea teere ʉta yaio batecãma. 
MAT.5.14	Mʉja ati yepare ca ʉ̃ʉ boerije mʉja nii. Jĩcã macã ʉ̃tãgʉ jotoa ca niiri macã do biro pee bii yai majiti. 
MAT.5.15	Ñucã jĩa boericagare upa coro doca pee cũurʉgarã méé jĩa tuama. To biro tiitirã, emʉaro pee peoma, wii ca niirã niipetirãre to ʉ̃ʉ boejato ĩirã. 
MAT.5.16	Teere birora mʉja cãa, bojoca cʉ̃ja ca ĩa cojoro añurijere tii niiña. Añuro mʉja ca tii niirijere ĩari, niipetirã cʉ̃ja Pacʉ ʉmʉreco tutipʉ ca niigʉre cʉ̃ja ca baja peopere biro ĩirã.
MAT.5.17	”Mʉja, “Doti cũuriquere, Ʉmʉreco Pacʉ yee quetire wede jʉgueri maja cʉ̃ja ca wede cũuquĩriquere, cõagʉ doogʉ doojacupi,” ĩi tʉgoeñaticãña. Teere cõagʉ doogʉ méé yʉ biiwʉ. Tee ca ĩirore biro tiigʉ doogʉ pee yʉ doowʉ. 
MAT.5.18	Yee méé mʉjare yʉ ĩi: Ména, ati ʉmʉreco, ati yepa, ca niiro, doti cũuriquea, jĩcã tabeacã ʉnora, jĩcã wãmeacã ʉnora, yai nʉcãcoa biitirucu, tee niipetirije ca ĩirore biro ca biiparo jʉguerore. 
MAT.5.19	To biri doti cũurique ca dotirijere bʉaro ca biitirijeacã ʉnorena tee ca ĩirore biro tii nʉnʉjeeti, aperã cãare “Tee ca ĩirore biro tii nʉnʉjeeya,” ĩi bue majioti, ca biigʉa, Ʉmʉreco Pacʉ cʉ̃ ca doti niiri tabepʉre “Watoa macʉ̃ niimi,” ĩi ecorucumi. Doti cũurique ca ĩirore biro tii nʉnʉjee, ñucã aperã cãare “Tee ca ĩirore biro tii nʉnʉjeeya,” cʉ̃jare ca ĩi bue majio ca tiigʉa, Ʉmʉreco Pacʉ cʉ̃ ca doti niiri tabepʉre “Ca nii majuropeegʉ niimi,” ĩi ecorucumi.
