MAT.1.1	Yisa Masiya
MAT.1.16	Jekɔb le nan ma Josef, wan a poo nan ye Meri-n, le Meri ma Yisa wan wee bi yi u ke Masiya nan.
MAT.1.17	Naah nan nyan Abiraham a yonn ki nan kpaa Defid a yonn bi nan ye yaajam piig nin bina le. Le Defid a yonn ki tan kpaa n-yonn man wee bi nan chor bininfob ki jɔɔ bi chaa Babilɔnn nan, bi nan ye yaajam piig nin bina. Le Naah nan nyan iyaayoo ki tan kpaa Masiya a maalim a yoo, bi mu nan ye yaajam piig nin bina le.
MAT.1.18	Baah nan ma Yisa Masiya man sɔ: U na Meri nan ye Josef a jakpeŋ le, amaa baa la nan kɔɔn tabi, le bi nan kan ki miin Meri jɔɔ lipool le. Kasi a Naaŋ a pɔɔm bu. 
MAT.1.19	Josef wan nan ye u chalin nan ye uninfo buchinn le, mambu, waa nan ban un nyan ti npaan nin ni, wee Meri n ji ifa, amaa u nan lol u sufu ni ke waa ji yin kɔɔn wi. 
MAT.1.20	Amaa waah ni nan tiɛr ni niɛ nan bu-n, le Uwonbɔr a malaka degirin u bu tidindɔgin ni, le ki nan bei u ke, “Fin Josef wan ye Defid a yaabil nan, laa san bijawaam ke a ta Meri kun ki tan ŋaa u a poo,
MAT.1.21	U na li maa kibijag, le a yin ki yinl ke Yisa, nan bu-n u na li nyan u ninfob bi toonbirin.”
MAT.1.22	Ni niɛ nan biɛn nan tun ke nin gbeen nan wee Uwonbɔr nan che u linlenu nan pag ni bu-n ke: 
MAT.1.23	“Lig! Usapɔɔn wan kaa nyi uja na li choo lipool ki maa kibijag, le bi na li yin u yinl ke Imanuel.”
MAT.1.24	Josef kaah nan nan fii njiɛmin n-yonn man ni, le u tun ke Uwonbɔr a malaka kaah bei u ke un tun man ni, le ki ta Meri kun tan ŋa u poo. 
MAT.1.25	Amaa waa la nan ta u ki ŋa u poo nin waah nan nan ma kibijagin. Le Josef yin u yinl ke Yisa.
MAT.2.1	Baah nan ma Yisa Betiliham a tiŋ kan be Judiya a tingbɔŋin n-yonn man wee Herɔd nan ye ubɔr nan. Ni bɔɔn bu le bibiɛndam biba nan nyan liwonpɔɔnl paam ki dan Jerusalam, 
MAT.2.2	ki nan baan bininfob ke, “Juu yaab a bɔru wan wee bi ma-n, u be laa? Ti kan u ŋmabil
MAT.2.3	Ubɔr Herɔd kaah nan gbir man ni, ni nan bii u ma nin Jerusalam yaab biɛn a sufu le. 
MAT.2.4	Le u yin kumanug a yudam nin ban wɔɔnn Uwonbɔr a siim ki baan bi ke la ban wee bi yin maa Masiya nmɔn naa?
MAT.2.5	Le bi jiin u ke, “Betiliham, kitiŋ kan be Judiya a tingbɔŋin ni; nan bu-n man le ulinlenn nan sɔb:
MAT.2.6	‘Amaa fin Betiliham kan be Juda a tingbɔŋin ni,
MAT.2.6	ŋaa ye kitinbig Juda a paamin ni,
MAT.2.6	nan bu-n a ban le ubɔr na li nya
MAT.2.6	wan na li ye upeekpaar N ninfob ban ye Iziral yaab.’
MAT.2.7	Le ubɔr Herɔd woon yin bibiɛndam nmɔn ki tan baan bi, ki feen bi nbamɔm un biɛ n-yonn man wee liŋmabilin nan nyann. 
MAT.2.8	Le ki bei bi ke, “Ni li chaa Betiliham wee ki tan ban kibig nmɔn nbamɔma; ni tan kan ki n-yonn man ke ni jirin ki nan beim wee n mu n jo ki tan jiɛn u.”
MAT.2.9	Bibiɛndamin kaah nan gbir ubɔr a bɔr ki diɛn a bɔɔn, le bi gaa nsan, le ki kan liŋmabil lan wee bi pii nan kan liwonpɔɔnl paam min, le bi nɔɔ li. Le liŋmabilin nmɔn liin bi sam ki tan sir nan yaan wee kibigin be-n a paab. 
MAT.2.10	Baah nan kan liŋmabil nmɔn ni le ni mɔŋ bi takpem. 
MAT.2.11	Le bi kɔɔ iniin nmɔn yaan, ki kan kibigin nin u na Meri; le bi gbaan ki jiɛn kibig nmɔn, le ki biir bi pɔgi ki nyan ipiin ki sei kibig nmɔn; ipiin nmɔn nan ye salima, nin nnyɔgkusim, nin tulaali kan wee bi yi ki ke miɛr nan.
MAT.2.12	Tɔ, le Uwonbɔr kpaan bi tidindɔgin ni, ke bi laa ji jir ubɔr Herɔd ban ni, mambu le bi ni nan nɔɔ nsan nba ki jir kun bi tiŋ.
MAT.2.13	Baah nan kun a bɔɔn le Uyudaan a malaka nan dan Josef ban tidindɔgin nin, ki bei u ke. “Fiim ki ta kibiliɛg nmɔn nin ki na ki li gu chaa Ijibir a tiŋin na, hali nin maah na li yin ni, nan bu-n ubɔr Herɔd yin ban kibigin a bol le un ku ki.” 
MAT.2.14	Le u nan fii kunyiɛg ki ta kibigin nin ki na ki guun jon Ijibir a tiŋin, 
MAT.2.15	nan yaan wee u nan tan be hali nin ubɔr Herɔd kaah nan nan kpo. Ni niɛ nan biɛn nan tun ki gbeen nan wee Uwonbɔr che u linlem nan pag ke, “Ijibir a tiŋin le n yin n bija nmɔn nyann.”
MAT.2.16	Herɔd kaah nan nan biɛ ke bibiɛndam nmɔn lar u le-n, liŋuul nan gbir u pam, le u tun bitɔtogib ke bi li chaa Betiliham nin kitinbum ni ki tan ku nbijabum ban kaa lagir ibin ilee biɛn na, ke waah nan baan bibiɛndamin wee bi bei u liŋmabilin kaah nyan n-yonn man ni.
MAT.2.17	Le ni nan gbeen nan wee ulinlenn Jerimaya nan pagin:
MAT.2.18	“Ti gbir ikuun Rama a tiŋin,
MAT.2.18	ifabin nin tikpemɔr tan yab,
MAT.2.18	Rekiɛl le mɔr u buwaab bu,
MAT.2.18	ki yii ibalin,
MAT.2.18	nan bu-n baa ji be.”
MAT.2.19	Herɔd kaah nan nan kpo a bɔɔn, le Uwonbɔr a malaka degirin Josef bu tidindɔgin nin Ijibir a tiŋin, 
MAT.2.20	ki bei u ke, “Fiim ki yuur kibig nmɔn nin ki na, ki jir Iziral a tingbɔŋin, nan bu-n ban nan lol bin ku kibigin kpou.”
MAT.2.21	Le Josef fii ki ta kibig nmɔn nin ki na ki jir Iziral a tingbɔŋin. 
MAT.2.22	Amaa waah nan gbir ke Akeliɛsi jin nnaam ki ka u baa Herɔd a naangbann bu Judiya a tingbɔŋin ni, le bijawaam choo u nin un kun nin yaan, le Uwonbɔr ji kpaan u tidindɔgin ni ke un jir ki li chaa Galilii a tingbɔŋin na. 
MAT.2.23	Le u nan jon ki tan kal kitiŋ kan wee bi yi ki ke, Nazarif nan. Le ni nan gbeen nan wee bilinlem nan sɔb ki ke, “Bi na li yin u Nazarif a ninfou.”
MAT.3.1	Iyaayoo nmɔn, le Jɔnn Wan nan Fu Bininfob Uwonbɔr a Nyunfulin nan nan be kukunkɔɔg bu, Judiya a tingbɔŋin, ki mɔɔn Uwonbɔr a bɔr 
MAT.3.2	ki ke “Ni jiɛn tibira, nan bu-n paab a naamin a jim mala.” 
MAT.3.3	Wan wee Ulinlenn Azaya nan pagin sɔ, waah nan ke:
MAT.3.3	“Uninfo uba be kukunkɔɔg bu ki kuun ke
MAT.3.3	‘Ni mann Uyudaan a dam a samin ki bila,
MAT.3.3	ki mann u sam nmɔn wee mi li tela.’ ”
MAT.3.4	Alakoomi a gbann le bi nan ta ŋaa Jɔnn a wan yeewann, le ki nan lol nchangban u chaŋin, le u jiir nan ye itɔɔn nin tiseer. 
MAT.3.5	Le bininfob nan nyan Jerusalam, nin Judiya a tingbɔŋ biɛn, nin Jɔdann a tingbɔŋin biɛn ki jon u ban. 
MAT.3.6	Le ki tan kpiir bi toonbir, le u fun bi Uwonbɔr a nyunful Jɔdann a kpenn.
MAT.3.7	Amaa waah nan nan kan Farasii yaab nin Sadusi yaab takpem mu chaan u ban ke un fu bi Uwonbɔr a nyunful nan, le u bei bi ke, “Nim iwaalab a buwaab nan! Ŋma kpaan ni ke ni guun ki nya Uwonbɔr a ŋuufiiŋ kan yin dan ni bu nan naa? 
MAT.3.8	Ni tun nan li wɔɔn ke ni sin jiɛn ni toonbira. 
MAT.3.9	Ni laa tiɛr ke ni li fir bei niba ke, ‘Ti jɔɔ Abiraham wan ye ti yaaja.’ N bei ni le ke Uwonbɔr li fir fiin itangbag nan wee yin kpann Abiraham a yaabili. 
MAT.3.10	Lilajal pii tɔɔ isiig a nyagi bu le, le busub ban biɛn kaa lo iloon ŋan ke, bi li ga i jaa nŋmi-n.
MAT.3.11	“Min fun ni nnyum man wɔɔn ke ni jiɛn ni toonbira, amaa wan yin ŋɔɔrin n bɔɔn nan ma jon ma, le maa pii kpaan nin n tu u naatagili, u ma yin fun ni Kasi a Naaŋ nin nŋmi
MAT.3.12	U ŋmag u dilenn yikpeŋin le ki yin lenn idi nmɔn biɛn nbamɔm, ki nyan ndibimin ki ŋuun u binbolin, le ki nyɔɔ kufoŋin nŋmi man kaa jɔɔ njunimi.”
MAT.3.13	Le Yisa nyan Galilii ki jon Jɔdann a kpenn ke Jɔnn ntan fu u Uwonbɔr a nyunful. 
MAT.3.14	Amaa le Jɔnn kaa chee. Le ki bei u ke, “Min li bi ye n dan a ban wee a fum, le a mu ji chaan n ban naa?”
MAT.3.15	Le Yisa jiin ke, “Che ni ŋa man daandaan nan, ni ŋan nin ti tun man wee nin gbeen nbuchin binben biɛn.” Iyaayoo nmɔn le Jɔnn chee.
MAT.3.16	Waah fun Yisa Uwonbɔr a nyunful diɛ-n, le Yisa nyan nnyumin weem. Libol nmɔn le kitilangbɔŋ loor, le u kan Uwonbɔr a Naaŋ kaah jiirin u bu ki nann ulanjel, ki nan wonn u bu. 
MAT.3.17	Le likukɔl nyan paab ni ki len ke, “N bija sɔ, u ma le N jiɛ, u ma le N num gbee.”
MAT.4.1	Le Kinaaŋ che Yisa don kukunkɔɔg bu ke ulinlaril ntan bigin u. 
MAT.4.2	Waah nan lol bimɔb iweehn pina nin tinyiɛr pina-n a bɔɔn bu, le nkom nan choo u. 
MAT.4.3	Le ulinlaril dan u ban ki nan bei u ke, “Ni ye ke a sin ye Uwonbɔr a Bija ke, a bei itangbag nan wee i kpann tijiir.”
MAT.4.4	Le Yisa jiin ke, “Ni sɔb ke: ‘Uninfosaal kaa be tijiir a binba bu, amaa imɔleen yan biɛn nyann Uwonbɔr a mɔnn ni.’
MAT.4.5	Le ulinlaril ta u ki jon Jerusalam, kan a yinl ji ye kasi a tiŋin, le ki ta u don iwonjiɛn niin a mɔɔ pin yul
MAT.4.6	Le ki bei u ke “Ni ye a sin ye Uwonbɔr a Bija ke, a yug ki lu tuma. Nan bu-n ni sɔb Uwonbɔr a gbɔŋin ke:
MAT.4.6	‘U li che u malakam nguuriŋ,
MAT.4.6	wee ki keŋ nin bi nɔɔi,
MAT.4.6	le a taal kaa li gbiɛr litangbagili.’
MAT.4.7	Le Yisa jiin u ke, “Ni ji sɔb Uwonbɔr a gbɔŋin ke: ‘Laa mag Uyudaan a Wonbɔr wi.’
MAT.4.8	Le ulinlaril ji ta u ki don lijɔɔl lan kper a paab, ki wɔɔn u kutingbɔŋ nan a yagi nin i ŋam biɛn. 
MAT.4.9	Le ki ke, “A bi li gbaan ki jiɛm ke, n bi li ta ni biɛn ki seiŋ.”
MAT.4.10	Le Yisa bei u ke, “Fɔr n ban na, Sintani! Nan bu-n ni sɔb Uwonbɔr a gbɔŋin ke: ‘Li jiɛn Uyudaan wan ye a Wonbɔr win, ki li tun tenn u binba.’
MAT.4.11	Le ulinlaril fɔr ki sin jiɛn u, le malakam dan ki nan ter u.
MAT.4.12	Yisa kaah nan nan gbir ke bi loon Jɔnn kuloondiigin ni, le u nan jir Galilii. 
MAT.4.13	U nan nyan Nazarif le, ki tan be Kapeniɛm kan be Zebulun nin Nafitali a mɔgil a gbaamin. 
MAT.4.14	Ni niɛ nan nan tun ki gbeen ulinlenn Azaya kaah nan pag nan ke:
MAT.4.15	“Zebulun a tiŋin nin Nafitali a tiŋin,
MAT.4.15	man be limɔgil a sam bu-n, ki yeg Jɔdann ni,
MAT.4.15	ban kaa ye Juu yaab a Galilii;
MAT.4.16	bininfob ban be libunbɔnlin nan
MAT.4.16	ni kan nwonween takpen na;
MAT.4.16	le ban ka nkum a jinjiimin a tingbɔŋin ni
MAT.4.16	kan nween nin kaah won ki pii ba.”
MAT.4.17	Iyaayoo nmɔn le Yisa piin ki mɔɔn ke, “Ni jiɛn ni toonbirin na ke paab a naamin malin na.”
MAT.4.18	Yisa kaah nan chonn Galilii a mɔgil a gbaamin, le u nan kan nnabum milee, bi ma nan ye Simɔnn wan wee bi nan yi u ke Piita, nin u waal Anduru. Bi nan ye bijanchoob le ki be jaar kujanlaaŋ limɔgilin. 
MAT.4.19	Le Yisa bei bi ke, “Ni dan, ki na li nɔɔm ni, wee n che ni li chor bininfob ke naah chor ijan man ni.” 
MAT.4.20	Le bi nan jiɛn bi janlann weem ki nɔɔ u.
MAT.4.21	Waah nan nyan niin ki chaa-n, le u kan Zebedi a naachim bilee, Jemisi nin u waal Jɔnn. Bi ma nin bi baa li nan be kuŋaluŋin ki mann bi janlann. Le Yisa yin bi, 
MAT.4.22	libol nmɔn, le bi jiɛn bi ŋaluŋ nmɔn weem, le ki nɔɔ u.
MAT.4.23	Yisa nan chonn jin Galilii a tim biɛn ni le, ki wɔɔn tiwonjiɛndirin, ki mɔɔn Uwonbɔr a naam a bɔŋann ni, ki che ban bu iwiɛn a booli biɛn kan kutebug. 
MAT.4.24	Le u yinl nan mɔɔn Siriya a tiŋin. Le bi nan ŋmagin bibaarib a booli biɛn, ki dan u ban: Tigbanann wiɛn, ban gbee nin nnaanbiim, ban nan lur likpikpiil, nin tigbanann kpiindam, le u teb bi biɛn. 
MAT.4.25	Le kuninfogbaluŋ nan nyan Galilii, nin Ntim Piigin nin Jerusalam nin Judiya, nin Jɔdann a kpenn dool yaab biɛn nan nɔɔ u.
MAT.5.1	Tɔ le Yisa kaah nan kan kuninfogbaluŋin, le u nan don lijɔɔl a paab le ki tan kal. U bɔɔnɔɔb nan dan u ban, 
MAT.5.2	le u nan piin ki wɔɔn bi ke:
MAT.5.3	“Tikaar be ban ye bilanjiim kinaaŋin ni,
MAT.5.3	nan bu-n paab a nnaamin ye bi yaal
MAT.5.4	Tikaar be ban mɔr tikpemɔr bu,
MAT.5.4	nan bu-n bi li balin bi.
MAT.5.5	Tikaar be ban jiin bi ba tum nan bu,
MAT.5.5	nan bu-n bi li ji dulinya nan a faal.
MAT.5.6	Tikaar be nbuchin binben a kom nin nnyunyum kaah jɔɔ ban bu,
MAT.5.6	nan bu-n bi na li gbee.
MAT.5.7	Tikaar be binyunyunbasam bu,
MAT.5.7	nan bu-n bi ma le bi na li san kunyunyunbaag.
MAT.5.8	Tikaar be ban a sufu be kasi nan bu,
MAT.5.8	nan bu-n bi ma na li kan Uwonbɔr.
MAT.5.9	Tikaar be ban ban nposɔɔn bu,
MAT.5.9	nan bu-n bi ma le bi na li yin bi Uwonbɔr a buwaab.
MAT.5.10	Tikaar be ban kan limugil nbuchin binben bu,
MAT.5.10	nan bu-n paab a naamin ye bi yaal le.
MAT.5.11	“Tikaar be nim ban wee bininfob sugir, ki mugir, ki por tibɔkar tan bir biɛn ki tenn ni-n bu. 
MAT.5.12	Che ni pool li sɔɔ ke ni mɔ na, ke ni nyɔɔr na li yab paab, nan bu-n man le bi pii nan mugir bilinlem baah kaa la nan ma ni-n.
MAT.5.13	“Ni ye kutingbɔŋ nan a yaam le, amaa n-yaam nan lann nmimalig ke, mu ji yin ŋa nii ki mɔŋ ŋaa? Maa ji ŋan ki li fir ŋa niba, man ke bin kpaar mi wur, le bininfob ni taan mi bu.
MAT.5.14	“Ni ye dulinya nan a wonweem le. Kitiŋ kan be ligungonl a paab kaa li fir woon ni. 
MAT.5.15	Bininfob mu kaa nyɔɔr fila wee ki ta kiyiig chigin ki bu. Amaa bi jɔɔ tɔɔg nan kper bu le, wee ki li tenn iniin a ninfob biɛn nwonween. 
MAT.5.16	Ni mu li ŋaan man na, ni che ni wonweem li ween bininfob ban na, wee bi li ga ni ŋaar kaah ŋan wee ki don ni Baa wan be paab nan a yinl.
MAT.5.17	“Ni laa tiɛr ke n dan n nan bii Nsiimin bee Bilinlemin le; Maa dan n nan bii i, amaa n na yin gbeen i le. 
MAT.5.18	N bei ni ibamɔn le, paab nin tum kaa na li be, hali nsɔbimin a wama kaa li nyi bor nsiimin yaan ni, see ke ni biɛn nan nan tun ki diɛ. 
MAT.5.19	Uninfo wan bii nsiim nan a wan finfiŋ, wee ki sin wɔɔn u tab ke bi mu li ŋaan man ke, bi na li yin u kuwan finfiŋ paab a naamin; amaa wan tun nsiim kaah ban man, ki ji wɔɔn u tab nsiimin nmɔn nbamɔm ke, bi na li yin u lininfojal paab a naamin. 
MAT.5.20	N bei ni le ke, naa che ni buchim yab jon Farasii nin ban wɔɔnn nsiimin a buchinn ke, naa sin li fir kɔɔ paab a naamin ni.
MAT.5.21	“Ni pii gbir baah nan bei bininfob iyoo yan jon ni ke, ‘Laa ku uninfo, le wan ku uninfo ke u na li kan litudaril tibɔr a ji daal.’ 
MAT.5.22	Amaa N bei ni le ke uninfo wan fiin u ŋuul u nabig bu ke u li kan litudaril tibɔr a ji daal. Le wan mu ji sug u nabig ke, ‘wan yɔli nan’ ke, ni ye bin ta u ki jo Juu yaab a yudam a laguŋ ban le. Bee wan mu ji sug u nabig ke, ‘kujɔrug nan!’ Ke, u na li be nŋmi man kaa jɔɔ ndiɛmin a daŋin.
MAT.5.23	“Mambu ni ye a yin pu ipiin iwonjiɛn niin wee ki tiɛr a nabig kaah galiŋ bu ke, 
MAT.5.24	jiɛn a piini nmɔn iwonjiɛn niin na. Chinn jo a nabigin ban wee ni tan tugin ni nabitiig nmɔn wee a nin jirin ki nan ta a piini nmɔn ki sei.
MAT.5.25	“Fin nin uba jɔɔ tibɔr, wee u yin taaŋ jo bibɔjib ban ke, a che ni ŋa mɔb biba ki mann ni bɔr nmɔn, n-yonn man wee ni la be nsan bu-n; naa ye man ke, u li taaŋ ki jo ubɔjir ban, le u mu li taaŋ ki ŋa uloondiiguur a nɔɔn, le un kɔɔniŋ kuloondiigin. 
MAT.5.26	N bei ni ibamɔn le, ŋaa li nyi ki nya, see ke a nan yɔn lipɔnlin biɛn ke koobu kaa guri.
MAT.5.27	“Ni pii nan gbir baah ke, ‘Laa tun iwanchɔgin toon ni.’ 
MAT.5.28	Amaa N bei ni le ke wan lig upii nin kɔlisa ke u pii tun iwanchɔgin toon nin upii nmɔn u sufu ni na. 
MAT.5.29	Ni ye a nɔɔjiim a numbil yin che a tun tibir ke, a logir mi gaba, a lann a gbanann bɔgil liba ke, ni sɔ nin bin nan ta a gbanann biɛn ki gab nŋmi-n. 
MAT.5.30	Le ni ye a nɔɔjiim le che a tun tibir ke, a ga mi gaba. A lann a gbanann bɔgil liba ke, ni sɔ nin a gbanann biɛn nan kɔɔ nŋmi-n.
MAT.5.31	“Bi nan gbaa len ke, ‘Wan yii u poo ke, un sei u lipiiyiil a gbɔŋ.’ 
MAT.5.32	Amaa N bei ni le ke wan biɛn yii u poo wee naa ye u tun iwanchɔgin toon le ke, u ma che u tun iwanchɔgin toon, ni ye wan kɔɔn upii nmɔn ke u tɔɔl tun iwanchɔgin toon na.
MAT.5.33	“Ni ji gbir ke bi nan bei bininfob iyoo yan nan jon ni ke, ‘Ni laa poog tipoor wee kaa nɔɔ ti, amaa ni li ŋmag tipoor tan wee ni poo sei Uyudaan ni na.’ 
MAT.5.34	Amaa N bei ni le, Ni laa poo kolibi: Laa poo paabi, nan bu-n ni ye Uwonbɔr a naam a bol le; 
MAT.5.35	bee ni poo kutingbɔŋ nan ni, nan bu-n ki ye Uwonbɔr a taai a sisibol le; ni mu laa ji len ke ni poo Jerusalami, nan bu-n ki ye Libɔrgbingbemil a tiŋ le; 
MAT.5.36	A mu laa ji len ke a poo a yuli, nan bu-n ŋaa li fir che kuyukpobig kuba npenn bee ku nbɔnn ni. 
MAT.5.37	Fin le li che a ‘Nn’ ye ‘Nn’ bee a ‘Aai’ li ye ‘Aai’, nan biɛn kpiɛ ni nan bu ke, ni nyan ulinlaril ban le.
MAT.5.38	“Ni gbir baah nan len ke, ‘Ni ye uba fɔɔr a numbim ke, a mu fɔɔr u yaam ki jiin na; bee ni ye uba faaŋ wee a nyil fonn ke a mu n fonn u nyinl ki jiin na.’ 
MAT.5.39	Amaa min bei ni le ke, ni laa yii titoonbirdaan ni. Ni ye uba peb a nɔɔjiim paam a tapag ke, a labir a gam paam ki sei u wee un peb. 
MAT.5.40	Ni ye uba taaŋ ki jon bibɔjib ban ke un ga a daala ke, a cheeu wee un gbaar a tanl a kinkenl ki li jɔɔ chaau. 
MAT.5.41	Ni ye uba mugiŋ ki ke a tu u tugil lan kpiɛg ki choon maal u ba ke, fin tum li ki choon ke maal ilee paam ki sei wa ki laa ŋulin ni. 
MAT.5.42	Ni ye uba miɛŋ niba ke, a sei mu, wan mu ji ban a pen u niba ke a pen mu ki laa mɔn wi.
MAT.5.43	“Ni gbir baa nan len ke, ‘Ni li jiɛ ni kunkɔɔn taba, ki li nan ni dataama.’ 
MAT.5.44	Amaa n bei ni le, ni li jiɛ ni dataama, ki li miɛ Nween ki tenn ban mugir ni nan na, 
MAT.5.45	wee ni fir ŋa ni Baa wan be paab nan a buwaab, nan bu-n u ma che nween wonn tininfobir nin bininfoŋam bu, ki ji che utaal nu bibuchim nin ban kaa ye bi buchim a timin. 
MAT.5.46	Ni ye ni jiɛ ban jiɛ ni a binba ke, baa a nyɔɔr wee ni yin kan naa? Naa ye man le bilanpogaab
MAT.5.47	Le ni ye ni poor ni nabum a binba ke, itoon ŋan ilaba wee ni tun ki jon ni tab baa? Naa ye man le ban kaa jɔɔ Nween ni mu ŋaan naa? 
MAT.5.48	Mambu, ni li be nbamɔm ke ni paab a Baa kaah be man ni.
MAT.6.1	“Ni choom niba ki laa ŋaan tibuchinn bininfob bu, ni ŋa man wee bin kan ki pag ni. Ni tun man ke naa yin kan niba a yɔr ni Baa wan be paab ban ni.
MAT.6.2	“Ni ye a yin pu bilanjiim ipiin ke, a laa mɔɔn ke bilinlarib kaah ŋaan man tiwonjiɛndirin, nin isanjal bu ke bininfob n kan bi toon ŋan wee ki pag bin ni. Ibamɔn le n bei ni nan, bi pii ga bi yɔra. 
MAT.6.3	Amaa ni ye a pu ulanjiin ke, laa che a nɔɔgam li nyi a nɔɔjiim kaah tun nan ni. 
MAT.6.4	Le a piin nmɔn li ye liwoolin. Wee a Baa wan ga nan ŋaan liwoolin nan, na li yɔŋ.
MAT.6.5	“Ni ye a miɛ Uwonbɔr ke, a laa miɛ ke bilinlarib kaah tun man nin ni, nan bu-n bi ban bi li si tiwonjiɛndirin le, nin kitiŋ poolin a sanjali bu, ke bininfobin kan bi. N bei ni ibamɔn le, bi ma gaa bi yɔr ki gbeeu. 
MAT.6.6	Amaa ni ye a miɛ Uwonbɔr ke, a kɔɔm a diigin ki loon linaanganl, wee ki miɛ a Baa Uwonbɔr wan gbir tibɔr woon kaarin, wee un yɔŋ.
MAT.6.7	“Le ni ye a miɛ Uwonbɔr ke, a laa jabin ke ban kaa jɔɔ Nween ni kaah ŋaan man ni ni, bi tiɛr ke bi miɛm takpem nmɔn le yin che Uwonbɔr ngbir. 
MAT.6.8	Ni laa be ke baah be man nmɔn ni, nan bu-n ni Baa Uwonbɔr pii nyi nan wee ni ban, ke naa la miɛ wi.
MAT.6.9	“Naah li miɛ Uwonbɔr man sɔ:
MAT.6.9	‘Ti Baa wan be paab,
MAT.6.9	che a yinl li be kasi,
MAT.6.10	che a naamin foon,
MAT.6.10	che a bam nŋa
MAT.6.10	dulinya nan yaan, ke naah ŋaan paab man ni.
MAT.6.11	Sei ti dinan a jiir.
MAT.6.12	Jiɛn ti bir ki per ta.
MAT.6.12	Ke ti mu kaah jiɛn per ti pɔndam man ni.
MAT.6.13	Ki laa liin ti ki kɔɔn libiginlin ni,
MAT.6.13	amaa wee ki nyan ti titoonbirdaan a nɔɔn.’
MAT.6.14	Nan bu-n ni ye ni jiɛn ni tab a bir ki per bi ke, ni Baa Uwonbɔr wan be paab nan mu li jiɛn per ni. 
MAT.6.15	Amaa naa jiɛn per ni tab bi bir ke, ni Baa Uwonbɔr mu kaa yin jiɛn ni bir ki per ni.
MAT.6.16	“Ni ye ni lol imɔɔŋ ke, ni laa bii ni num paam ke bilinlarib kaah ŋaan man nin ni, nan bu-n bi ti bii bi num paam le, ke bininfob biɛn n kan ki biɛ ke bi lol bi mɔɔŋi le. N bei ni ibamɔn le, bi pii gaa bi yɔra.” 
MAT.6.17	Amaa ni ye a lol bimɔb ke, a ŋunn a num paama ki ta nkpam ki ŋa a yul; 
MAT.6.18	wee ni laa che bininfobin biɛ ke a lol bimɔbi, amaa a Baa wan wee baa ga win a binba, nin a Baa wan ga liwoolin ni, le li yɔŋ.
MAT.6.19	“Laa jɔɔ a jɔɔm ki woog dulinya nan yaan ni, nan yaan wee ikootug nin gamlali nin ndundum li mɔɔ ki bii mi; bee binaayigib na li kɔɔ ki su. 
MAT.6.20	Amaa ta a jɔɔm ki woon paab, nan yaan wee ikootug nin gamlali kaa li fir bii, bee binaayigib kaa li fir kɔɔ su. 
MAT.6.21	Nan bu-n, nan yaan wee a jɔɔm be-n a potiɛl mu be niin le.
MAT.6.22	“Linunbil le ye tigbanann a fila. Ni ye a numbili ŋan ke, a gbanann biɛn yin ye nwonween le. 
MAT.6.23	Amaa ni ye a numbil kaa ŋan ke, a gbanann biɛn yin be libunbɔnlin le. Mambu ni ye nwonween man be a ni-n nan bɔŋ ke, ni yin ye libunbɔnl takpenl le!
