MAT.1.1	Yeezuu yaabɔɔ wɔɔ ba n nɩ: Yeezuu ɩ yɩrɛ ɩ ʊ, cir *Davɩd Nyɩ m, Abraham do gʊaa m sɔ.
MAT.1.15	Eliyud n Eleyazaar yɩ,
MAT.1.15	Eleyazaar n Matan yɩ,
MAT.1.15	Matan n Zakɔɔb yɩ,
MAT.1.16	Zakɔɔb n Maarii zim Zozɛf yɩ,
MAT.1.16	Maarii bɩ do ɩ Yeezuu yɩ n n'a birm Krista.
MAT.1.17	Yaabɔɔ wɔɔ haay lɛ a zɛ kʊ ra bueeresi-si. A n a sa Abraham ma an ta m Davɩd ra bueeresi, an a sa Davɩd ma an ta m Babɩlɔnnɩ lɔmbaa ma bueeresi, an a sa Babɩlɔnnɩ lɔmbaa ma an ta m Krista ra bueeresi.
MAT.1.18	Yeezuu yɩrɛ bɩ zaa ba n nɩ: A da Maarii bɩ, nyɩnta a ʊ Zozɛf jaan, bɩ, an lɛɛ ka kʊ Maarii n a ba Zozɛf lʊ bɩ, *Sɛnt-Ɛspri a ka Maarii n jɩsɩ sa. 
MAT.1.19	A jaan Zozɛf bɩ kʊ gʊaa mɩŋŋa m bɩ, a n a ŋʊa k'a a da nyannɩ ʊ y. A n a hɔɔn da k'a wɔ saa kʊ gɔsɩ b'a dɔ y. 
MAT.1.20	K'a n'a hɔɔn darɛ ncɩnaaʊ bɩ, Zuuba Malɛɛka bʊr zi nɩnnarɛ nɔ ʊ, an a hɩ m, a ʊ: «Zozɛf, Davɩd do gʊaa, ɩ bɩ nyi ba k'ɩ Maarii sa ɩ ba ɩ lʊ y, bala, Sɛnt-Ɛspri paŋŋa y'a ka, an nɩ jɩsɩ bɩ m, 
MAT.1.21	a nyɩ yɩm yar, k'ɩ tɔ ka Yeezuu, bala, a m n'a do bɩ bʊmbɔrɛ a mimbʊnyaarɔ nɔ ʊ.» 
MAT.1.22	Naa do woo… naa, ba ʊ kʊ meerbaa kʊ Woso a ba kan a lɛsinnɩsorazaa lɛ kɩ bɩ n kʊ yɩ.
MAT.1.23	A ba n nɩ: nyɩmbʊɛɛrɛ k'a n yar dɔ bɩ jɩsɩ sim,
MAT.1.23	an nyɩ yɩ yar, n y'a tɔ karɛ Emanʊwɛl,
MAT.1.23	a jɩ lɛ taa k'a hɩ, a ʊ: Woso ɩ kan wɔɔ kɩ.
MAT.1.24	Zozɛf k'a bɩ gu hinceem ma bɩ, a hɔ kʊ Zuuba malɛɛka b'a hɩ m bɩ ba: A Maarii gaa, an a ba a lʊ, 
MAT.1.25	bɩ, a n a dɔ lʊ y, an ta an aa dɔmɩm k'a nyɩyar bɩ yɩ ʊ bɩ ku, an a tɔ ka Yeezuu.
MAT.2.1	Yeezuu bɩ, yɩ a ʊ Betelehɛm ʊ Zidee kʊ ʊ, cir Hɩrɔɔdɩ dɔmɩm ʊ, bɩ hɔdonno a to dɔjɩr ʊ, ŋnɩ bʊr Zerizalɛm ʊ, 
MAT.2.2	ŋnɩ laaka da: «Zɩɩfʊrɔ cir k'a yɩ b'ɩ ka? Wɔɔ monyaa yɩ dɔjɩr ʊ bɩ y'a ka, wɔɔ n bʊr k'ʊ b'a da ʊ.» 
MAT.2.3	Hɩrɔɔdɩ k'a naa ma bɩ, a da bɔ ʊ kan Zerizalɛm zannɔ kɩ haay. 
MAT.2.4	A n wosocɛmannɩbənno jɩtannɔ wɔɔ so kʊ ma kan wosocikarɩnsaambɔɔ wɔɔ kɩ, an laaka da ŋ han kʊ niŋŋə kʊ Krista bɩ n nɩ yɩŋ ʊ bɩ ma. 
MAT.2.5	Brɔɔ n a nyɩ bɔ ʊ, ŋ ʊ: Betelehɛm ʊ Zidee kʊ ʊ, bala, hɔ kʊ wosolɛsinnɩsorazaa b'a hɩ bɩ n naa do.
MAT.2.6	B'ɩbɩɩ Betelehɛm, Zidee kʊ,
MAT.2.6	ɩbɩɩ bɛɛ m poore Zidee kʊrɔ gʊtɔɔ wɔɔ barla y.
MAT.2.6	Bala, cir bɔrɛ ɩbɩɩ bireyaa ʊ,
MAT.2.6	an ka Israyɛl mɔɔ gʊɔɔ wɔɔ lɛɛ.
MAT.2.7	A m bɩ, Hɩrɔɔdɩ n hɔdonno wɔɔ bir sɛɛrɛ, an laaka da ŋ han dɔmɩm kʊ monyaa bɩ bɔ ʊ bɩ ma. 
MAT.2.8	A n ŋ nyɔɔ Betelehɛm ʊ, an n'a hɩrɛ ŋ nɩ, a ʊ: «K'a ta a laaka da nyɩ bɩ mim ma mɩŋŋa, k'a nyɩ bɩ yɩ, k'a a wusigə a b'a hɩ mɔɔ m, kʊ m ta m aa da ʊ sɔ.» 
MAT.2.9	Cir bɩ k'a naa hɩ bɩ, ŋ y'a hʊr, ta kʊ ŋ nawʊm bɩ, monyaa kʊ ŋ lɛɛ ka ŋn'a yɩ dɔjɩr b'ɩ tarɛ ŋ lɛɛ, an ta an aa jɩm lɛɛ kʊ nyɩ bɩ n ta ʊ bɩ burə ʊ. 
MAT.2.10	Monyaa bɩ kʊ ŋ y'a yɩ bɩ, ŋ heer yɩ nyɩnta gʊta. 
MAT.2.11	Ŋ gasʊ cɛ b'ʊ, ŋn'aa nyɩ bɩ yɩ kan a da Maarii kɩ, ŋnɩ kukurə zɛ a taa, ŋnɩ yaa da m, bɩ jɛ ʊ, ŋn'a mɔdrɔ wɔɔ hʊr, ŋnɩ gan wʊ ma: Sarma m kan tidəər nyisi kɩ, *mɩɩr kɩ. 
MAT.2.12	Bɩ Woso a hɩ ŋ nɩ nɩnnarɛ nɔ ʊ, a ʊ: ŋ b'a ya, ŋnɩ bɔ Hɩrɔɔdɩ zi y. Naa minto bɩ, brɔɔ zaa vanta sa ŋnɩ doo a kʊ ʊ. 
MAT.2.13	A hʊr kʊ ŋ y'a ʊ bɩ, Zuuba malɛɛka a hɩnka Zozɛf m nɩnnarɛ nɔ ʊ, an a hɩ m, a ʊ: «Wuti ɩ nyɩ bɩ gaa kan a da bɩ kɩ, ɩ ɩ si, ɩ ta Eziptɩ ʊ, nyɩnta b'ʊ k'an ta an aa dɔmɩm kʊ mɔɔ n nɩ m yarɛ m meer ba kan ɩbɩɩ kɩ bɩ ku, bala, Hɩrɔɔdɩ y'a kam nyɩ bɩ ma, k'a zɛ.» 
MAT.2.14	Zozɛf n wuti, an nyɩ bɩ kan a da bɩ kɩ gaa gunuu ʊ, an a hʊr an ta Eziptɩ ʊ. 
MAT.2.15	A gɔɔta b'ʊ an ta, an Hɩrɔɔdɩ garɛ ku, kʊ Woso meerbaa k'a ba kan a lɛsinnɩsorazaa lɛ kɩ bɩ n kʊ yɩ.
MAT.2.15	Mɔɔ m Nyɩ bɩ bir, k'an bɔ Eziptɩ ʊ.
MAT.2.16	Hɩrɔɔdɩ k'a b'a dɔ a ʊ, hɔdonno wɔɔ a yamba a m bɩ, a wuti nɔmaa gandaara m. A n gʊɔɔ nyɔɔ Betelehɛm ʊ kan kʊrɔ vantɔɔ k'a a so ŋ ʊ rɔ wɔɔ kɩ ʊ, kʊ ŋ n'aa nyɩnɔ poorero yaarɔ kʊ ŋ dɔɔraa hɩɩya gɛɛ ŋ n a ku rɔ wɔɔ zɩnzɛ. Amba hɔdonno wɔɔ a hɩ m, nyɩnta k'a ʊ, an laaka da k'a nyɩ bɩ yɩrɛ dɔmɩm dɔ bɩ ma. 
MAT.2.17	Naa ma bɩ, hɔ kʊ wosolɛsinnɩsorazaa Zeremii a hɩ bɩ kʊ yɩ, a ʊ:
MAT.2.18	N zeedarɛ ma Ramaa ʊ,
MAT.2.18	nyikəre kan heerzarlɛ gʊta kɩ:
MAT.2.18	Rasɛl nɩ nyi karɛ a nyɩnɔ minto,
MAT.2.18	a lɛ baa kʊ n n'a wɔ zɩnzɛ a nɩ y, nyɩnɔ wɔɔ kʊ ŋ gɩnga bɩ tɔ ma.
MAT.2.19	Hɩrɔɔdɩ garɛ jɛ ʊ bɩ, Zuuba malɛɛka a hɩnka Zozɛf m nɩnnarɛ nɔ ʊ Eziptɩ ʊ. 
MAT.2.20	A n meer ba kan kɩ, a ʊ: «Wuti, ɩ nyɩ bɩ kan a da bɩ kɩ gaa ɩ ɩ wusigə, ɩ ta Israyɛl tara ra. Bala, gʊɔɔ kʊ ŋ n'a kam ma k'a nyɩ bɩ meeyaa bɔ ʊ rɔ wɔɔ gɩnga.» 
MAT.2.21	Zozɛf n wuti, an nyɩ bɩ kan a da bɩ kɩ gaa, an ta Israyɛl ʊ. 
MAT.2.22	Bɩ, Zozɛf k'a a ma, n ʊ, Arkelayus nɩ cirbəə m Zidee ʊ a zɩ Hɩrɔɔdɩ bɩncɛ ʊ bɩ, nyibəə a nyasʊ k'an ta b'ʊ bɩ kɩ, bɩ Woso meer ba kan kɩ nɩnnarɛ nɔ ʊ, an ta Galilee kʊ ʊ. 
MAT.2.23	A n aa nyɩnta kʊ kʊ n n'a hɩm ma Nazarɛtɩ ʊ b'ʊ, k'an bɩr yɩrɛ ɩ ʊ hɔ kʊ wosolɛsinnɩsorazannɔ wɔɔ a hɩ bɩ n kʊ yɩ, ŋ ʊ:
MAT.2.23	N y'a birm Nazarɛtɩ gʊaa.
MAT.3.1	Dɔmɩnnɔ wɔɔ duro ʊ bɩ, Zaan-Batiisi bʊr Zidee poo nɔ ʊ, an nɩ Woso lemim pa dam. 
MAT.3.2	A n n'a hɩrɛ, a ʊ: «K'a a bɔ a taam, k'a sugur yɛ, bala, Woso cirbəə b'a zɔ.» 
MAT.3.3	A mɩŋŋa wosolɛsinnɩsorazaa Ezayii a hɩ ma, a ʊ:
MAT.3.3	Gʊaa leer nɩ bɔm poo nɔ ʊ:
MAT.3.3	k'a Zuuba zaa banka,
MAT.3.3	k'a zaa fɔɔrɛrɔ wɔɔ bɩmbanka
MAT.3.3	kʊ ŋ nɩ yɩ tɩrga.
MAT.3.4	Zaan bɩ, yoonde ka huu a a du a ma, an kʊmbar sa an a so a ʊ, bɩsɩnɔ kan zɔɔn kɩ n a hɔbɩrɛ. 
MAT.3.5	A m naa, Zerizalɛm, Zidee kʊ bɩ haay, kɔ k'a tɔ m Zʊrdɛn kʊrɔ wɔɔ haay nɩ tam zi, 
MAT.3.6	ŋ n'a mimbʊnyaarɔ hɩrɛ, Zaan nɩ batɛm karɛ ŋ ʊ Zʊrdɛn kɔ ʊ.
MAT.3.7	K'a farizɛɛnrɔ kan sadisɛɛnrɔ kɩ yɩ ŋn'ɩ zɛm gʊta batɛm sire bɩncɛ ʊ bɩ, a a hɩ ŋ nɩ, a ʊ: «Mɩnnɔ kʊsɩrɔ do, nka y'a hɩ awɔɔ m, a ʊ, a a si Woso nɔmaa gʊta k'a nɩ zɛm bɩ lɛɛ? 
MAT.3.8	K'a zibəə k'a n'a hɩnkarɛ a ʊ, awɔɔ heerlʊrlɛ yɩ bɩ ba. 
MAT.3.9	B'a b'a hɔɔn da a ʊ, awɔɔ zɩ m Abraham nɩ y. Bala, mɔɔ y'a hɩrɛ awɔɔ m, Woso a da ma an jaarɔ nɔɔn duro wusigə an ŋ ba Abraham nyɩnɔ. 
MAT.3.10	Bɩ dɩɩtaa naa, n sɩga banka k'an gɔrɔ zɩnzɛ ra ŋ məsi ma, gɔ niŋŋə k'a bɩr nyɩ mɩŋŋa darɛ y, n y'a zɛm la, n n a da sɛ ʊ.»
MAT.3.11	«Mɔɔ ɩ batɛm karɛ awɔɔ ʊ hi ʊ a heer k'awɔɔ lʊr bɩ minto. Bɩ, an nɩ zɛm mɔɔ jɛ ʊ bɩ paŋŋa lɛ da mɔɔ ra, mɔɔ n m ga m, m a kʊsɔrɔ waa a gannɔ ʊ y, a batɛm karɛ awɔɔ ʊ *Sɛnt-Ɛspri kan sɛ kɩ nɔ ʊ. 
MAT.3.12	A y'a gʊr m a wɔ ʊ, a y'a tʊyaa waarɛ an a hɔyaa gʊr an a zar sɩ ʊ, bɩ, a sɛ k'a bɩr lihim bɩ nyam puur b'ʊ.»
MAT.3.13	A m bɩ, Yeezuu n a to Galilee ʊ, an bʊr Zʊrdɛn ʊ Zaan zi, k'a bɩ batɛm si. 
MAT.3.14	Bɩ, Zaan a gu an n'a hɩrɛ, a ʊ: «Ɩbɩɩ y'ɩ ga m, ɩ batɛm ka mɔɔ ʊ, b'ɩbɩɩ ɩ ya, ɩ nɩ zɛm mɔɔ zi!» 
MAT.3.15	Yeezuu n a hɩ m, a ʊ: «A to k'an yɩ ncɩnaaʊ naa ma, bala, naa n'a karɛ, wɔɔ n hɔ haay k'an tɩrga Woso ma bɩ ba.» Zaan n yɛ kɛɛrɛ. 
MAT.3.16	Yeezuu k'a batɛm bɩ si bɩ, a bɔ hi b'ʊ. A m bɩ, brama n a gʊ, an Woso Ɛspri yɩ an nɩ zerle, am cirpʊʊrɛ hɔ bɩ m an bɩ zer la. 
MAT.3.17	Leer n a to mim ʊ an n'a hɩrɛ, a ʊ: «Ba mɔɔ Nyɩ m na. Mɔɔ ŋʊa gʊta. A mɔɔ nɔ yɩ paan….»
MAT.4.1	Bɩ jɛ ʊ bɩ, Sɛnt-Ɛspri bɩ ta Yeezuu m poo nɔ ʊ, kʊ Sʊtaana n a gɩnga ma. 
MAT.4.2	K'a a lɛ kʊsɩ dɔmɩm busi sinuu ʊ kan a gunuu ʊ kɩ bɩ, nɔ b'a nyasʊ. 
MAT.4.3	Sʊtaana n a zɔ ma, an a hɩ m, a ʊ: «Kʊ Woso Nyɩ n'ɩbɩɩ m, k'ɩ ka kʊ jaarɔ nɔɔn duro n a ba hɔbɩrɛ.» 
MAT.4.4	Bɩ, Yeezuu a nyɩ bɔ nʊ, a ʊ: «N y'a gʊrsɩra ba Wosoci ʊ, n ʊ:
MAT.4.4	Hɔbɩrɛ bɛɛ gʊaa n'a bɩm bala k'a mɩsɩrbaa ba y,
MAT.4.4	bɩ lemim haay k'a nɩ bɔm Woso lɛ ʊ bɩ m.»
MAT.4.5	Sʊtaana n a gaa an ta m Zerizalɛm ʊ, an a der Wosocɛ bɩ mim ʊ. 
MAT.4.6	A n a hɩ m, a ʊ: «Kʊ Woso Nyɩ n'ɩbɩɩ m k'ɩ hɩr ɩ ɩ da tara ʊ, bala, n y'a gʊrsɩra ba, n ʊ:
MAT.4.6	A lɛrɔ karɛ a malɛɛkarɔ ʊ, kʊ ŋ n'ɩbɩɩ busu a wɔrɔ ʊ k'ɩbɩɩ b'ɩ gəm zɛ y.»
MAT.4.7	Yeezuu n a hɩ m, a ʊ: «N y'a gʊrsɩra ba sɔ, n ʊ:
MAT.4.7	Ɩ bɩ da Zuuba ɩ Woso lɛ ʊ y.»
MAT.4.8	Sʊtaana n a ya, an ta m ci gʊta mim ʊ, an durnya cirbəəro kʊrɔ hɩnka m kan ŋ paŋŋa kɩ, 
MAT.4.9	an a hɩ, a ʊ: «K'ɩbɩɩ kukurə zɛ mɔɔ taa, ɩ mɔɔ da ʊ, mɔɔ naa haay karɛ ɩbɩɩ ʊ.» 
MAT.4.10	Yeezuu a nyɩ bɔ nʊ, a ʊ: «Ɩ jɛ bɔ mɔɔ jɩr ʊ, Sʊtaana! Bala, n y'a gʊrsɩra ba, n ʊ:
MAT.4.10	Zuuba Woso y'a deem ɩbɩɩ nɩ yaa dam nɩ, ɩ da ʊ.»
MAT.4.11	Bɩ jɛ ʊ bɩ, Sʊtaana n a bɔ a jɛ ʊ, lɛɛm bɩ malɛɛkarɔ n bʊr, ŋnɩ bɩ hɔbɩrɛ ka ʊ.
MAT.4.12	Yeezuu k'a a ma, n ʊ, n Zaan du lɔnnɔcɛ ʊ bɩ, a a hʊr, an ta Galilee ʊ. 
MAT.4.13	A n gɔɔta Nazarɛtɩ ʊ y. A hʊr a ʊ, an aa nyɩnta Kapɛrnawum ʊ. Kʊ m bɩ, an nɩ Galilee higʊta lɛ ra Zabɩlɔn kan Nɛftalii kɩ kʊrɔ wɔɔ barla. 
MAT.4.14	Yɩ a ʊ ncɩnaaʊ kʊ wosolɛsinnɩsorazaa Ezayii meerbaarɔ nɔɔn duro n kʊ yɩ.
MAT.4.15	Zabɩlɔn tara, Nɛftalii tara, higʊta zaa, kʊrɔ kʊ ŋ nɩ Zʊrdɛn kɔ gəm la
MAT.4.15	kan doro vantɔɔ kʊ ŋ nɩ Galilee ʊ rɔ wɔɔ kɩ.
MAT.4.16	Do k'a nɩ monsigə ʊ bɩ lɛɛgure gandaara yɩ,
MAT.4.16	gʊɔɔ kʊ ŋ nɩ zɛ kʊ ʊ kan zɛ hinni kɩ rɔ wɔɔ,
MAT.4.16	lɛɛgure bʊr brɔɔ minto.
MAT.4.17	A n a sa naa ma bɩ, Yeezuu a sɩŋŋɩda sa, an nɩ Woso lemim pa darɛ, an n'a hɩrɛ, a ʊ: «K'a bɔ a taam k'a sugur yɛ: Woso cirbəə b'a zɔ.»
MAT.4.18	Yeezuu k'a nɩ Galilee higʊta lɛ ra an nɩ tam bɩ, a gʊɔɔ yɩ hɩɩya: Sɩmɔɔn kʊ n n'a birm Pɩyɛɛr kan a danzaa Andɩr kɩ, ŋn'ɩ zaŋŋa zom higʊta b'ʊ, bala, zɔbənno m. 
MAT.4.19	A n a hɩ ŋ nɩ, a ʊ: «K'a bʊr a zu mɔɔ ʊ, mɔɔ y'awɔɔ bam gʊɔɔ kama zannɔ.» 
MAT.4.20	Lɛɛm bɩ, ŋ y'a zaŋŋarɔ wɔɔ to, ŋn'ɩ zum Yeezuu ʊ. 
MAT.4.21	K'a ta lɛɛ bɩ, a Zakkɩ yɩ kan a danzaa Zaan kɩ, Zebedee nyɩnɔ m ŋn'ɩ kɔɔlʊʊ ʊ kan a zɩ Zebedee bɩ kɩ, ŋn'a zaŋŋarɔ bankam. A n ŋ bir. 
MAT.4.22	Ŋ n a bɔ a zɩ b'ʊ kan kɔɔlʊʊ bɩ kɩ lɛɛm, ŋn'ɩ zure a jɛ ʊ. 
MAT.4.23	Yeezuu gasʊ Galilee kʊ b'ʊ haay, an nɩ bɩmbɩrm, an nɩ hɔ dɩndam gʊɔɔ m zɩɩfʊrɔ sokʊmacɛrɔ wɔɔ ʊ, an nɩ Woso cirbəə lemim nyɩnta bɩ pa dam, an nɩ yaaba do haay waam kan kʊsɩ do haay kɩ zamaa bɩ bire ʊ. 
MAT.4.24	A tɔ bɔ lɛɛ haay ʊ, an ta kan Siirii kʊ kɩ haay, a m naa, n nɩ zɛm gʊɔɔ kʊ ŋ nɩ cicir bam yaaba do haay kan kʊsɩ do haay nɔ ʊ rɔ wɔɔ kɩ m: Gʊɔɔ kʊ zinəro n ta ŋ nɩ, parparlɔzannɔ, mɛgarɛzannɔ kɩ an ŋ waa. 
MAT.4.25	Zamaa cir gʊta nɩ zure a jɛ ʊ, a to ŋ y'a ʊ Galilee ʊ, Taraburo ʊ, Zerizalɛm kan Zidee kɩ, kan Zʊrdɛn kɔ gəm la kɩ.
MAT.5.1	Yeezuu k'a zamaa bɩ yɩ bɩ, a der ci burə ʊ, an nyɩnta. A karɩndanyɩnɔ wɔɔ n a zɔ ma. 
MAT.5.2	A n a sɩŋŋɩda sa, an nɩ hɔ dɩndarɛ ŋ nɩ, an n'a hɩrɛ, a ʊ:
MAT.5.3	«Mimbirenyɩntazannɔ m mɩŋŋazerlezannɔ m:
MAT.5.3	Ŋ hɔ m Woso cirbəə bɩ m.
MAT.5.4	Mimbirenyɩntazannɔ m gʊɔɔ bʊgʊ-bʊgʊdɔɔ wɔɔ m:
MAT.5.4	Ŋ y'a hɔjirle yɩm durnya ʊ.
MAT.5.5	Mimbirenyɩntazannɔ m nyikərezannɔ m:
MAT.5.5	Woso bra barɛ ŋ nɩ.
MAT.5.6	Mimbirenyɩntazannɔ m gʊɔɔ kʊ tɩrgabaa nɔ nɩ ŋ zɛm kan mɩsɩ kɩ rɔ wɔɔ m:
MAT.5.6	Hɔ yɩ ŋ kam.
MAT.5.7	Mimbirenyɩntazannɔ m cicirzɛrɛzannɔ m:
MAT.5.7	Woso yɩ ŋ cicir zɛrɛ.
MAT.5.8	Mimbirenyɩntazannɔ m heerhuzannɔ m:
MAT.5.8	Ŋ Woso yɩrɛ.
MAT.5.9	Mimbirenyɩntazannɔ m gʊɔɔ kʊ ŋ n'a kam kʊmarɛ ma rɔ wɔɔ m:
MAT.5.9	Woso yɩ ŋ birle a nyɩnɔ.
MAT.5.10	Mimbirenyɩntazannɔ m gʊɔɔ kʊ ŋ nɩ cicir bam tɩrgabaa tɔ ma rɔ wɔɔ m:
MAT.5.10	Ŋ hɔ m Woso cirbəə bɩ m.
MAT.5.11	Mimbirenyɩntazannɔ n'awɔɔ m, kʊ n y'awɔɔ sʊnsɔ wʊrɛ, n nɩ cicir karɛ awɔɔ ma, n nɩ ŋʊaar do haay karɛ awɔɔ ra mɔɔ minto, 
MAT.5.12	k'a heer nyɔɔ heernyɔɔ gʊta m, bala, awɔɔ ganwʊrɛ gʊta yɩm arzana ʊ. A ba n y'a ʊ ncɩnaaʊ wosolɛsinnɩsorazannɔ kʊ ŋ lɛɛ ka awɔɔ m nɔ wɔɔ m.»
MAT.5.13	«Durnya yɛ n'awɔɔ m. Bɩ, kʊ yɛ nyɩntabaa bɔ, n y'a bam lɔ, k'a a ya, a nyɩntabaa ka ʊ? A zibəə ba ʊ dɔ y, a lo n nawʊm garga ra, gʊɔɔ nɩ tʊntɔm la.»
MAT.5.14	«Durnya lɛɛgure n'awɔɔ m, kʊ k'a nɩ zigi burə ʊ bɩ b'a dam ma, an a nyaakʊm da y. 
MAT.5.15	Kʊ gʊaa sɛ nya fɩtɩrɛ ʊ a bɩr a cɩntam kasɩ taa y, a cɩnta a tɩr a ʊ hɔ burə ʊ an cɛ bɩ gu gʊɔɔ kʊ ŋ nɩ b'ʊ haay rɔ wɔɔ daahan minto. 
MAT.5.16	Bɩ, k'awɔɔ lɛɛgure n yɔ ncɩnaaʊ gʊɔɔ mɩm ʊ, kʊ ŋ n'a lɛ bɔ awɔɔ Zɩ k'a nɩ arzana ʊ b'ʊ, awɔɔ zibəəro mɩŋŋɔɔ kʊ ŋ yɩ ŋ yɩ rɔ wɔɔ minto.»
MAT.5.17	«A b'a hɔɔn da a ʊ, bʊr mɔɔ ʊ kʊ m bɩ Moyiisi lɛ, gɛɛ, wosolɛsinnɩsorazannɔ wɔɔ n a hɩ rɔ wɔɔ zar y. Mɔɔ n bʊr kʊ m bɩ ŋ zar y, bʊr mɔɔ ʊ kʊ ŋ nɩ kʊ yɩ. 
MAT.5.18	Sɩra mɔɔ n'a hɩrɛ awɔɔ m, an lɛɛ ka kʊ tara kan brama kɩ n cem bɩ, Woso lɛ bɩ nyɩ deem bɩ bɩ cenle y, a jɩ deem bɩ cenim sɔ y, kʊ nawɔnnɔ haay n bɔkarɛ an kʊ yɩ. 
MAT.5.19	Naa minto bɩ, kʊ gʊaa bɩsɩ ka Woso lɛ bɩ poore deem taan… ma an a dɩnda gʊɔɔ m kʊ ŋ n'a ba maam sɔ, a zaa bɩ do bir n nawʊm gʊɔɔ wɔɔ haay poore Woso cirbəə b'ʊ. Bɩ gʊaa k'a zu lɛrɔ wɔɔ ʊ, an a dɩnda gʊɔɔ m ŋn'a ba maam sɔ bɩ, bɩ zaa nyɩntam gʊta Woso cirbəə b'ʊ. 
MAT.5.20	Kʊ m sɩra hɩ awɔɔ m. K'awɔɔ tɩrgabaa n cem wosocikarɩnsaambɔɔ wɔɔ kan farizɛɛnrɔ wɔɔ tɩrgabaa kɩ han, awɔɔ bɩ gasʊm Woso cirbəə ʊ y.»
MAT.5.21	«Awɔɔ ma n n a hɩ wɔɔ yaabɔɔ m, n ʊ: ‹Ɩ bɩ gər zɛ y›, kʊ gʊaa a mim meeyaa bɔ ʊ, a a ga m, kʊ n n ta m dʊdɔkənno taa. 
MAT.5.22	Bɩ mɔɔ y'a hɩrɛ awɔɔ m: Kʊ gʊaa nɔmaa ba kan a mim kɩ, a a ga m, kʊ n n ta a zaa m dʊdɔkənno taa. Kʊ gʊaa a hɩ a mim m, a ʊ: ‹Hɔɔnwarzaa›, a a ga m, kʊ n n ta a zaa m dʊdɔkənno jɩtannɔ taa. Kʊ gʊaa a hɩ a mim m, a ʊ: ‹hɔɔzaa›, a ga a ʊ m k'an ta sɛhar ʊ. 
MAT.5.23	Naa minto bɩ, k'ɩbɩɩ ta Wosocɛ ʊ k'ɩ yaa ganwʊrɛ ka Woso ʊ, ɩ bɔkarɛ ɩ tɔ da ɩ nɔ ʊ, ɩ ʊ, ɩ ɩ zar ɩ mim ma, 
MAT.5.24	k'ɩ ganwʊrɛ bɩ to Wosocɛ ʊ b'ʊ, ɩ ta ɩ yaa n'ɩ zɛ kʊ ra kan ɩ mim bɩ kɩ, k'ɩ bɔkarɛ ɩ ɩ wusigə ɩ bʊr, ɩ b'ɩ ganwʊrɛ bɩ ka Woso ʊ. 
MAT.5.25	K'ɩbɩɩ jɩm ɩ tarɛ ɩ m dʊdɔkarɛ bɩncɛ ʊ, k'ɩ tɔ ʊ, a kʊ ma zaa ra. K'a n yɩ ncɩnaaʊ y, a y'ɩ kam dʊdɔkər ʊ, dʊdɔkər bɩ n ɩ ka lɔnnɔdɔmazannɔ ʊ, ŋn'ɩ du lɔnnɔcɛ ʊ. 
