MAT.1.1	Oyo ezali bakombo ya bankoko ya Yesu Kristo, mwana ya David, mwana ya Abraham :
MAT.2.19	Sima ya liwa ya Erode, anzelu ya Nkolo abimelaki Zozefi na ndoto na Ezipito, 
MAT.2.20	mpe alobaki na ye :
MAT.2.20	—Telema, kamata mwana na mama na ye mpe zonga na mokili ya Isayele, pamba te baoyo bazalaki koluka koboma mwana basiʼbakufi.
MAT.2.21	Zozefi atelemaki, akamataki mwana na mama na ye, mpe azongaki na mokili ya Isayele. 
MAT.2.22	Kasi tango ayokaki ete Arkelawusi akomaki mokonzi ya Yudea na esika ya tata na ye Erode, abangaki kokende kuna. Awa bakebisaki ye na ndoto, akendaki kovanda na ekolo ya Galileya, 
MAT.2.23	kuna afandaki na vile ya Nazareti. Na bongo nde maloba ya baprofeta ekokisamaki : 
MAT.3.1	Na mikolo wana, Jean-Batiste ayaki mpe abandaki koteya na esobe ya Yudea.
MAT.3.2	Azalaki koloba boye :
MAT.3.2	—Bobongola mitema, pamba te Bokonzi ya likolo ekomi pene-pene !
MAT.3.3	Ezali ye nde moprofeta ezayi alobelaki :
MAT.3.4	Jean azalaki kolata bilamba oyo basala na bapuale ya shamo, mpe mokaba ya mposo ya nyama na loketo. Azalaki kolia mabanki na mafuta ya nzoyi. 
MAT.3.5	Bato bazalaki kowuta na Yeruzalem, na Yudea mobimba mpe na bapembeni ya mayi ya Yordani, bazalaki kokende epai na ye. 
MAT.3.6	Bazalaki koyambola masumu na bango, bongo Jean azalaki kobatisa bango na mayi ya Yordani.
MAT.3.7	Kasi tango amonaki ete bafarizeo mingi na Basaduseoo bazalaki koya kozwa libatisi, alobaki na bango :
MAT.3.7	—Bino libota ya banioka ! Nani akebisi bino ete bokima kandaoyo ezali koya ? 
MAT.3.8	Bobota mbuma oyo ebongi mpo na bato oyo babongoli mitema. 
MAT.3.9	Bokanisa te ete bokoki komiloba : “Abraham azali tata na biso !” Pamba te nalobi na bino ete Nzambe akoki kobimisela Abraham bana wuta na mabanga oyo
MAT.3.10	Epasola komi esiʼebongisami mpo na kokata misisa ya nzete. Nzete nyonso oyo ebotaka mbuma ye malamu te, bakokata yango mpe bakobwaka yango na moto.
MAT.3.11	—Ngai nazali kobatisa bino na mayi mpo na kolakisa ete bosiʼbobongoli mitema. Kasi moto oyo akoya sima na ngai, aleki ngai na nguya mpe nakoki kutu te komema basapato na ye ; ye moto akobatisabino na Molimo Mosantu mpe na moto. 
MAT.3.12	Asimbi kiyungulu na maboko na ye, mpe akopetola esika na ye oyo batutelaka mbuma ; mpe akobomba ble
MAT.3.13	Yesu awutaki na Galileya mpe ayaki na Yordani. Ayaki epai ya Jean mpo na kozwa libatisi. 
MAT.3.14	Kasi Jean alingaki kopekisa ye, mpe alobaki na ye :
MAT.3.14	—E e ! ezali ngai moto nalingaki koya kozwa libatisi epai na yo, kasi yo oye epai na ngai !
MAT.3.15	Kasi Yesu azongisaki :
MAT.3.15	—Tika ete ezala bongo sikʼoyo ! Pamba te, ezali na lolenge oyo nde ekoki na biso kokokisa bosembo nyonso.
MAT.3.15	Bongo Jean andimaki.
MAT.3.16	Tango Yesu azuaki libatisi, abimaki na mayi, likolo efungwamaki, mpe amonaki Molimo na Nzambe azalaki kokita lokola pijon, mpe ayaki likolo na ye. 
MAT.3.17	Mpe mongongo ewutaki na likolo elobaki :
MAT.3.17	—Oyo azali Mwana na ngai ya bolingo, asepelisaka ngai mingi !
MAT.4.1	Bongo Molimo amemaki Yesu na esobe mpo zabolo ameka ye. 
MAT.4.2	Sima ya koboya kolia bilei mpo na mabondeli mikolo ntuku minei : moi mpe butu, Yesu ayokaki nzala. 
MAT.4.3	Momeki ayaki epai na ye mpe alobaki :
MAT.4.3	—Soki ozali Mwana ya Nzambe, loba na mabanga oyo ebongwana mampa !
MAT.4.4	Kasi Yesu azongisaki :
MAT.4.4	—Ekomama :
MAT.4.5	Bongo Zabolo amemaki ye na vile ya bosantu, atiaki ye na esika oyo eleki likolo, oyo ya Ndako ya Nzambe, 
MAT.4.6	mpe alobaki na ye :
MAT.4.6	—Soki ozali Mwana ya Nzambe, mibwaka na nse. Pamba te ekomama :
MAT.4.7	Yesu azongisaki :
MAT.4.7	—Ekomama lisusu : 
MAT.4.8	Zabolo amemaki ye lisusu likolo ya ngomba moko ya molayi penzampe alakisaki ye bokonzi ya mikili nyonso, na lokumu na yango. 
MAT.4.9	Bongo alobaki na ye :
MAT.4.9	—Soki ofukameli ngai mpe okumbameli ngai, nakopesa yo nyonso oyo !
MAT.4.10	Kasi yesu alobaki na ye :
MAT.4.10	—Longwa Satana ! Pamba te ekomama :
MAT.4.11	Bongo zabolo atikaki ye, mpe baanzelu bayaki kosalela ye.
MAT.4.12	Tango yesu ayokaki ete batiaki Jean na boloko, azongaki na Galileya ; 
MAT.4.13	tango atikaki Nazareti, akendaki kovanda na Kapenawumi, oyo ezali pembeni ya ebale, na mikili ya zabumoni mpe ya Neftali, 
MAT.4.14	mpo ete maloba ya moprofeta Ezayi ekokisama :
MAT.4.17	Banda tango wana, Yesu abandaki koteya boye :
MAT.4.17	—Bobongola mitema, pamba te Bokonzi ya likolo ekomi pene-pene !
MAT.4.18	Awa Yesu azalaki kotambola pembeni-pembeni ya ebale monene ya Galileya, amonaki bandeko mibale : Simon oyo bazalaki kobenga lisusu Piere na ndeko na ye Andele ; bazalaki kobwaka monyama na ebale, pamba te bazalaki baluki mbisi. 
MAT.4.19	Yesu alobaki na bango :
MAT.4.19	—Bolanda ngai, mpe nakokomisa bino baluki ya bato !
MAT.4.20	Kaka na tango wana, batikaki minyama na bango ; mpe balandaki ye.
MAT.4.21	Tango apusanaki mwa liboso, amonaki lisusu bandeko mibale : Zaki mwana ya Zebede na ndeko na ye Jean ; bazalaki kobongisa minyama na bango na kati ya bwato elongo na tata na bango Zebede. Bongo Yesu abengaki bango. 
MAT.4.22	Mpe kaka na tango wana, basundolaki bwato na bango, batikaki tatana bango, mpe balandaki ye.
MAT.4.23	Yesu atambolaki na Galileya mobimba, azalaki koteya na bandakona bango ya mayangani, azalaki kosakola Sango Malamu ya Bokonzi, mpe azalaki kobikisa bamaladi ya ndenge nyonso mpe bapasi ya ndenge na ndengekati na bato. 
MAT.4.24	Sango na ye epanzanaki na ekolo ya Siriya mobimba, mpe bamemelaki ye bato nyonso oyo bazalaki na maladi, baoyo bazalaki koyoka bapasi ya ndenge na ndenge, mpe minyoko ya ndenge na ndenge, baoyo bazalaki na milimo mabe, baoyo bazalaki na maladi ya ndeke, mpe baoyo bazalaki na maladi ya buka-buka. Bongo yesu azalaki kobikisa bango.
MAT.4.25	Bato ebele penza bazalaki kolanda ye ; ezalaki : bato ya Galileya, ya “Bavile zomi”, ya Yeruzalem na yo Yudea, mpe ya mokili oyo ezalaki na ngambo ya Yordani.
MAT.5.1	Tango Yesu amonaki bato ebele, amataki likolo ya ngomba mpeavandaki ; bongo bayekoli na ye bayaki epai ye azalaki. 
MAT.5.2	Mpe abandaki koteya bango :
MAT.5.3	—Esengo na baoyo bazali babola na molimo, pamba te Bokonzi ya Likolo ezali ya bango.
MAT.5.4	Esengo na baoyo bazali kolela, pamba te bakobondisa bango !
MAT.5.5	Esengo na bato ya boboto, pamba te 
MAT.5.6	Esengo na baoyo bazali na nzala mpe posa ya bosembo, pamba te bakotondisa bango.
MAT.5.7	Esengo na bato ya mitema mawa, pamba te bakoyokela bango mpe mawa.
MAT.5.8	Esengo na bato ya mitema peto, pamba te bakomona Nzambe.
MAT.5.9	Esengo na bato oyo balukaka kotia kimia, pamba te bakobenga bango bana ya Nzambe.
MAT.5.10	Esengo na baoyo baniokwamaka mpo na bosembo, pamba te Bokonzi ya Likolo ezali ya bango.
MAT.5.11	Esengo na bino soki bakofinga bino, soki bakonyokola bino, mpe soki bakokosela bino makambo ya mabe ya ndenge na ndenge mpo na ngai.
MAT.5.12	Ya solo, bosepela mpe botonda na esengo, mpo lifuti monene ezali kozela bino na Likolo, pamba te baprofeta oyo bazalaki liboso na bino, baniokolaki bango mpe bongo.
MAT.5.13	—Bino bozali mungwa ya mokili. Soki mungwa ebungisi elengi na yango, bakozongisa yango lisusu elengi na nini ? Mungwa yango ekozala lisusu malamu mpo na eloko moko te ; bakobwaka yango libanda mpe bato bakoniata-niata yango.
MAT.5.14	Bino bozali mwinda ya mokili, mboka oyo ezali likolo ya ngomba, yango ekoki kobombama te. 
MAT.5.15	Mpe bapelisaka mwinda te mpo na kotia yango na nse ya katini, kasi na likolo ya eloko oyo batiela muinda mpo engengisa bato nyonso oyo bazali na kati ya ndako. 
MAT.5.16	Yango wana, mwinda na bino esengeli engenga ndenge wana liboso ya bato, mpo bamona misala na bino ya malamu mpe bakumisa Tata na bino oyo azali na Likolo.
MAT.5.17	Bokanisa te ete ngai naye mpo na kolongola Mibeko to mpe mateya ya baprofeta ; naye mpo na kolongola yango te, kasi mpo na kokokisa yango. 
MAT.5.18	Nalobi na bino ya solo, kino likolo mpe nse ekoleka, ata likomi moko te ya moke, ata oyo ya moke penza ekolongwa na Mibeko kino tangomakambo nyonso ekokisama.
MAT.5.19	Yango wana, moto oyo akoboya kotosa moko ya Mibeko oyo, ata oyoeleki moke, mpe akolakisa bato mosusu basala bongo, akobengama moto moke na Bokonzi ya Likolo. Kasi moto oyo akolakisa Mibeko yango na bato mosusu mpe akotosa yango, akobengama moto monene na Bokonzi ya Likolo !
MAT.5.20	Pamba te nayebisi bino, soki bosembo na bino eleki ya bafalizeompe balakisi ya Mibeko te, bokokota te na Bokonzi ya Likolo.
MAT.5.21	Boyokaki ete balobaki na bakoko na biso : “Koboma moto te”. Mpe moto oyo akoboma moto, akosamba liboso ya bazuzi. 
MAT.5.22	Kasi ngai nalobi na bino : moto nyonso oyo akokangela ndeko na ye kanda, ekoki asamba liboso ya bazuzi. Moto oyo akofinga ndeko na ye : “Zoba” ; ekoki bamema ye liboso ya likita ya banganga-Nzambe mpo asamba. Mpe oyo akofinga ndeko na ye ; “Liboma !” ebongi babwaka ye na moto ye lifelo.
MAT.5.23	Lisusu, soki otelemi liboso ya mesa ya makabo mpo na kopesa makabo, mpe okanisi na mbala moko ete ndeko na yo azali na likambo na yo, 
MAT.5.24	tika makabo na yo wana, liboso ya mesa, mpe kende naino koyokanana ndeko na yo ; bongo yaka kopesa makambo na yo.
MAT.5.25	Soki moto azwi yo likambo, yokana na ye noki tango bozali naino na nzela, soki te akopesa yo na maboko ya zuzi, bongo zuzi akotinda yo epai ya polisi mpo atia yo na boloko. 
MAT.5.26	Nalobi na yo ya solo : okobima te, kino tango okosilisa kofuta likuta ya suka.
MAT.5.27	—Boyokaki balobaki ete : “Kosala ekobo te !” 
MAT.5.28	Kasi ngai nalobi na bino, soki moto atali mwasi na miso oyo etonda na baposa ya mabe asiʼasali ekobo na ye na motema. 
MAT.5.29	Yango wana, soki liso na yo ya mobali ezali kokweyisa yo na masumu, longola yango mpe bwaka yango mosika ! Pamba te, malamu ozanga eteni moko ya nzoto kasi nzoto na yo mobimba ebwakama na lifelo te. 
MAT.5.30	Soki mpe loboko na yo ya mobali ezali kokweyisa yo na masumu, katayango mpe bwaka yango mosika. Pamba te, malamu ozanga eteni moko ya nzoto, kasi nzoto na yo mobimba ebwakama na lifelo te.
MAT.5.31	—Balobaki lisusu ete : “Soki moto akabwani na mwasi na ye, esengeli apesa ye mokanda ya koboma libala.” 
MAT.5.32	Kasi ngai nalobi na bino : mobali oyo akabwani na mwasi na ye, longola kaka mpo na likambo ya ekobo, ezali ye moto afungoleli mwasi yango nzela ya kosala kindumba. Oyo mpe abali mwasi balongola na libala, asali ekobo.
MAT.5.33	—Boyokaki lisusu balobaki na bakoko na biso : “Kobebisa te ndayi oyo olapaki ; bilaka oyo opesaki tango olapaki ndayi liboso ya Nkolo, esengeli okokisa yango.” 
MAT.5.34	Kasi ngai nalobi na bino : bolapaka ndayi te ; ezala na kombo ya Likolo, pamba te Likolo ezali Kiti ya Nzambe ; 
MAT.5.35	ezala na kombo ya mokili, pamba te mokili ezali esika Nzambe atiaka makolo na ye ; ezala na kombo ya Yeruzalem, pamba te yango ezali mboka ya Mokonzi monene. 
MAT.5.36	Kolapa mpe te na kombo ya motu na yo pamba te okoki kokomisaata suki moko te ya motu na yo pembe to mwindu.
MAT.5.37	Kasi tika kaka ete “Ee !” na bino, ezala “Ee !” mpe “Te !” na bino, ezala kaka “Te !” Pamba te nyonso oyo ebakisamaka na likolo, ewutaka na molimo mabe.
MAT.5.38	—Boyokaki balobaki ete : “Soki moto atoboli liso ya moninga, ye mpe bakotobola oyo ya ye. Soki moto abuki lino ya moninga, ye mpe bakobuka oyo ya ye”. 
MAT.5.39	Kasi ngai nalobi na bino : botia tembe te na moto oyo alingi kosala bino mabe ; kutu soki moto abeti yo mbata na litama ya mobali, pesa ye mpe oyo mosusu. 
MAT.5.40	Soki moto alingi kofunda yo mpe kozwa simisi na yo, pesa ye mpe kazaka na yo. 
MAT.5.41	Soki moto atindi yo na makasi otambola kilometele moko, yotambola na ye bakilometele mibale. 
MAT.5.42	Pesa na moto asengi yo, mpe koboya te kodefisa moto oyo alingi kodefa epai na yo.
MAT.5.43	Bayokaki balobaki ete : “linga moninga na yo mpe yina monguna na yo”. 
MAT.5.44	Kasi ngai nalobi na bino : bolinga banguna na bino mpe bosambela mpo na baoyo banyokolaka bino ! 
MAT.5.45	Na ndenge wana nde, bokozala bana ya Tata na bino oyo azali na likolo. Pamba te, ye angengisaka moi na ye likolo ya bato ya malamu mpe likolo ya batu mabe ; anokisaka mbula na ye likolo ya bato na sembo mpe likolo ya bato oyo bazali sembo te. 
MAT.5.46	Soki bolingaka kaka bato oyo balingaka bino, lifuti nini bokozwa ? Boni, bafutisi mpaku basalaka mpe bongo te ? 
MAT.5.47	Soki bopesaka mbote kaka na bandeko na bino, likambo nini ya kokamwa bosalaka ? Boni, bapakano basalaka mpe bongo te ? 
MAT.5.48	Yango wana, bozala bato ya kokoka ndenge Tata na bino ya Likolo azali ya kokoka.
MAT.6.1	—Bokeba ete bosala bolamu te na miso ya bato, mpo ete bango bamona bino ; soki te bokozanga lifuti oyo Tata na bino ya Likolo abomopanga bino. 
MAT.6.2	Tango ozali kopesa likabo na mobola, kobeta kelelo te liboso na yo
MAT.6.3	Kasi tango yo ozali kopesa eloko na mobola, sala yango na ndenge ete loboko na yo ya mwasi eyeba te likambo loboko ya mobali ezali kosala ; 
MAT.6.4	mpo ete likabo na yo epesama na sekele ; bongo Tata na yo oyo amonaka makambo oyo esalamaka na sekele akopesa yo lifuti.
MAT.6.5	Tango bozali kobondela, bolanda te bizaleli ya bato ya lokuta, bango balingaka kobondela ya kotelema na bandako ya losambo mpe na bisika oyo babala-bala ekutanaka, mpo ete bato bamona bango. Ya solo nalobi na bino : basiʼbazwi lifuti na bango. 
MAT.6.6	Kasi yo, soki olingi kobondela, kota na ndako na yo, kanga porte mpe bondela Tata na yo oyo azali na esika ya sekele ; bongo Tatana yo oyo amonaka makambo oyo esalamaka na sekele, akopesa yo lifuti.
MAT.6.7	Tango bozali kobondela, bozongela-zongela maloba te ndenge bapakano basalaka. Pamba te, bakanisaka ete Nzambe akoyoka bango soki balobi mingi. 
MAT.6.8	Bosalaka lokola bango te. Pamba te, Tata na bino ayebi soki bozali na posa ya eloko nini, liboso ete bosenga ye yango !
MAT.6.9	Bobondelaka boye :
MAT.6.9	Tata na biso ozali na Likolo,
MAT.6.9	tika ete kombo na yo ekumisama,
MAT.6.10	tika ete Bokonzi na yo eya,
MAT.6.10	tika ete mokano na yo esalama, awa na nse
MAT.6.10	mpe kuna na likolo.
MAT.6.11	Pesa biso lelo bilei na biso ya mokolo na mokolo,
MAT.6.12	limbisa mabe na biso
MAT.6.12	ndenge biso mpe tolibisaka baoyo basalaka biso mabe.
MAT.6.13	Batela biso mpo tokweya na komekama te,
MAT.6.13	kasi kangola biso na mabe.
MAT.6.13	[Pamba te, bokonzi, nguya mpe kembo
MAT.6.13	ezali ya yo mpo na libela na libela
MAT.6.14	Pamba te soki bolimbisi bato mabe na bango, Tata na bino ya Likolo akolimbisa bino mpe. 
MAT.6.15	Kasi soki boboyi kolimbisa bato mabe na bango, Tata na bino mpe akolimbisa bino te.
MAT.6.16	Tango bozali koboya kolia mpo na mabondeli, bokoma mawa-mawa tendenge bato ya lokuta basalaka. Pamba te, bakomisaka bilongi mawa-mawa mpo na kolakisa bato ete bazali koboya kolia. Nalobi na bino ya solo, basiʼbazwi lifuti na bango. 
MAT.6.17	Kasi tango yo ozali koboya kolia mpo na mabondeli, sukola elongi na yo mpe pakola malasi na motu, 
MAT.6.18	mpo moto ata moko te ayeba ete oboyi kolia mpo na mabondeli ; longola kaka Tata na bino oyo avandaka na sekele. Bongo Tata na yo, oyoamonaka makambo oyo esalamaka na sekele, akopesa yo lifuti.
MAT.6.19	— Bobomba bomengo na mokili oyo te ; epai mpese ekoki kolia yango mpe ekoki kobeba, mpe epai miyibi bakoki kotobola mpe koyiba. 
MAT.6.20	Kasi bobomba bomengo na likolo ; epai mpese ekoki kolia yango te mpe ekoki kobeba te, mpe epai miyibi bakoki kotobola te mpe koyiba te. 
MAT.6.21	Pamba te, epai bomengo na yo ezali, motema na yo mpe ekozala kuna.
MAT.6.22	Liso ezali mwinda ya nzoto ; soki liso na yo ezali malamu, nzoto na yo mobimba ekozala moi. 
MAT.6.23	Kasi soki liso na yo ezali mabe, nzoto na yo mobimba ekozala molili. Bongo soki moi oyo ezali na yo ekomi molili, molili yango ekokoma makasi penza.
MAT.6.24	—Moto moko te akoki kosalela bakonzi mibale. Pamba te, akoyina moko mpe akolinga mosusu, to akokangama na moko mpe akoboya oyo mosusu : bokoki kosalela Nzambe na mbongo te.
MAT.6.25	Yango wana nalobi na bino, bomitungisa te mpo na bomoi na bino : soki bokolia nini mpe soki bokomela nini. To mpo na nzoto na bino, soki bokolata nini. Boni, bomoi eleki biloko ya kolia te ? Bongo nzoto, eleki bilamba te ? 
MAT.6.26	Botala bandeke ya likolo elonaka te, ebukaka te, mpe ebombaka bilei na bibomopanga te, kasi Tata na bino ya Likolo aleyisaka yango. Boni, boleki yango na tina te ? 
MAT.6.27	Nani kati na bino, mpo na mitungisi na ye, akoki kobakisa molayi ya bomoi na ye, ata mpo na ngonga moko.
MAT.6.28	Bongo mpo na nini bomitungisaka mpo na bilamba ya kolata ? Botala bafololo ya bilanga ndenge ekolaka ; yango esalaka te mpe etongaka bilamba te. 
MAT.6.29	Nzokande nayebisi bino, ata mokonzi Salomon, kati na nkembo na ye mobimba, alataki te lokola moko na yango. 
MAT.6.30	Bongo soki Nzambe azali kolatisa na ndenge wana matiti ya bilanga, oyo ezali na bomoi lelo mpe lobi ekobwakama na moto ; akoki kolatisabino koleka yango te ? A a ! bato ya kondima moke ! 
MAT.6.31	Yango wana, bomitungisa te mpe boloba te : “Tokolia nini ?” to “Tokomela nini ?” to “Tokolata nini ?” 
MAT.6.32	Biloko wana nyonso, ezali bapakano nde baluka-lukaka yango. Kasi mpo na bino, Tata na bino ya Likolo ayebi ete bozali na yango posa. 
MAT.6.33	Boluka liboso Bokonzi ya Nzambe mpe bosembo na ye, bongo biloko wana nyonso bakobakisela bino yango. 
MAT.6.34	Yango wana, bomitungisa te mpo na mokolo ya lobi ; pamba te, mokolo ya lobi ekomitungisa na makambo na yango, yango moko. Mokolo na mokolo ezali na pasi oyo ekoki na yango !
MAT.7.1	—Bosambisa te, mpo basambisa bino mpe te. 
MAT.7.2	Pamba te, bakosambisa bino ndenge bino mpe bosambisaka baninga ; mpe bakozongisela bino ndenge bino mpe bozongiselaka baninga.
MAT.7.3	Bongo mpo na nini ozali komona mwa lititi oyo ezali na liso ya ndeko na yo, kasi ozali komona te eteni ya nzete oyo ezali na liso na yo ? 
MAT.7.4	Ndenge nini okoki koloba na ndeko na yo : “nalongola mwa lititi oyo ezali na liso na yo”, nzokande, oyo ya yo moko ezali na eteni ya nzete ? 
MAT.7.5	Moto ya kokosana ! Longola liboso mwa eteni ya nzete oyo ezali na liso na yo, bongo okomona malamu mpo na kolongola mwa lititi oyoezali na liso ya ndeko na yo.
MAT.7.6	—Bopesa te biloko ya bosantu na bambwa ; mpe babwakela bangulu bapawuni na bino te ; nakobanga ete eniata-niata yango mpe ezongela bino mpo na kopasola bino mike-mike.
MAT.7.7	—Bosenga, mpe bakopesa bino ; boluka, mpe bokozwa ; bobeta, mpe bakofungolela bino. 
MAT.7.8	Pamba te oyo asengaka, bapesaka ye. Oyo alukaka, azwaka. Mpe oyo abetaka, bafungolelaka ye porte. 
MAT.7.9	Nani kati na bino akoki kopesa mwana na ye libanga soki asengi ye limpa ? 
MAT.7.10	To soki asengi ye mbisi, akopesa ye nioka ? 
MAT.7.11	Soki bino bato mabe, boyebi kopesa biloko ya malamu na bana na bino, bongo mpo na nini te, Tata na bino oyo azali na Likolo, akopesabiloko ya kitoko na baoyo basengaka ye yango ?
MAT.7.12	—Makambo nyonso oyo bolingaka ete bato mosusu basalela bino, bosala yango mpe ndenge moko mpo na baninga. Pamba te, oyo nde mateya ya Mibeko mpe ya baprofeta.
MAT.7.13	—Bokota na porte ya moke ! Pamba te porte ezali monene, mpe nzela oyo ememaka na libebi ezali monene. Mpe bato mingi penza bazali kokota na yango. 
MAT.7.14	Kasi Porte ezali moke, mpe nzela oyo ememaka na bomoi ezali moke. Mpe bato moke kaka nde bazali komona yango.
MAT.7.15	—Bokeba na baprofeta ya lokuta. Bayelaka bino na loposo ya bameme, kasi na solo bazali penza bambwa ya zamba. 
