MRK.1.1	Seo mar a tha an Deagh Sgeul mu Iosa Crìosd, Mac Dhè, a' tòiseachadh. 
MRK.3.14	Chuir e air leth dà dhuine dheug (“abstoil” a thug e orra) a bhiodh còmhla ris, 's a chuireadh e a‑mach a shearmonachadh, 
MRK.3.15	le ùghdarras deamhain a ruagadh à daoine.
MRK.3.16	Seo an dà dhuine dheug a thagh e: Sìmon air an tug e an t‑ainm Peadar, 
MRK.3.17	Seumas mac Shebede agus Eòin a bhràthair — orrasan thug e an t‑ainm Boanerges, 'se sin, Mic an tàimeanaich; 
MRK.3.18	Anndra agus Philip agus Bartolomèus; Mata agus Tòmas agus Seumas mac Alphèuis; Tadèus agus Sìmon an Canànach 
MRK.3.19	agus Iùdas Iscariot, am fear a thug thairis e dha nàimhdean.
MRK.3.20	Chaidh e an‑uairsin dhachaigh. Chruinnich a leithid a shluagh a‑rithist 's nach b'urrainn dhaibh fiù 's blasad bìdh ithe. 
MRK.3.21	Nuair a chuala a chàirdean seo, chaidh iad a‑mach a dhèanamh grèim air, oir bhathar ag ràdh gun robh e ás a chiall.
MRK.3.22	Bha na sgrìobhaichean a thàinig a‑nuas à Ierusalem ag ràdh, “Tha e fo smachd aig Beelsebul” agus “'Sann an ainm ceannard nan deamhan a tha e a' tilgeil a‑mach nan deamhan.”
MRK.3.23	Ghairm Iosa thuige fhèin iad, 's thòisich e air bruidhinn riu ann an samhlaidhean: “Ciamar as urrainn dhan t‑Sàtan an Sàtan a thilgeil a‑mach? 
MRK.3.24	'S ma tha rìoghachd air a roinn na h‑aghaidh fhèin, chan urrainn dhan rìoghachd sin seasamh. 
MRK.3.25	'S ma tha taigh air a roinn na aghaidh fhèin, chan urrainn dhan taigh sin seasamh. 
MRK.3.26	'S ma tha Sàtan air èirigh na aghaidh fhèin agus air a roinn, chan urrainn dhàsan seasamh, ach thàinig crìoch air a rìoghachd.
MRK.3.27	“Chan urrainn do dhuine sam bith gabhail a‑steach a thaigh an duine làidir agus a chuid a ghoid mura ceangail e an duine làidir an toiseach. An‑uairsin faodaidh e an taigh aige a chreachadh an ceart da‑rìribh.
MRK.3.28	“Gu cinnteach tha mi ag ràdh ruibh gum faigh duine mathanas airson a h‑uile peacadh agus toibheum, 
MRK.3.29	ach ma nì duine sam bith toibheum an aghaidh an Spioraid Naoimh, cha bhi mathanas ann dha gu bràth, ach mairidh a chionta gu sìorraidh.” 
MRK.3.30	Thuirt Iosa seo a chionns gun robh iad ag ràdh gun robh droch spiorad ann.
MRK.3.31	An sin thàinig màthair agus bràithrean Iosa. Sheas iad taobh a‑muigh an taighe, 's chuir iad fios ga iarraidh. 
MRK.3.32	Bha mòran dhaoine nan suidhe timcheall air, 's thuirt iad ris, “Seall, tha do mhàthair 's do bhràithrean a‑muigh, 's tha iad gad iarraidh.”
MRK.3.33	Fhreagair esan, “Cò iad mo mhàthair agus mo bhràithrean?” 
MRK.3.34	Aʼ toirt sùil man cuairt air an fheadhainn a bha nan suidhe timcheall air, thuirt e, “Seo agaibh mo mhàthair agus mo bhràithrean. 
MRK.3.35	Oir duine sam bith a nì toil Dhè, is esan mo bhràthair agus mo phiuthar agus mo mhàthair.”
MRK.4.1	Turas eile thòisich e air teagasg ri taobh an loch. Chruinnich urad a shluagh man cuairt air 's gum b'fheudar dha bàta a ghabhail agus suidhe innte air an loch, 's an sluagh cruinn air a' chladach.
MRK.4.2	Bha e a' cleachdadh mòran shamhlaidhean gan teagasg 's thuirt e riu, 
MRK.4.3	“Eisdibh. Chaidh fear a‑mach a chur sìl, 
MRK.4.4	agus nuair a bha e ga chur, thuit cuid dheth air an rathad, 's thàinig na h‑eòin agus shluig iad e. 
MRK.4.5	Thuit cuid eile dheth air talamh creagach far nach robh mòran ùrach, agus dh'fhàs e suas an ùine ghoirid a chionns nach robh doimhneachd talmhainn aige. 
MRK.4.6	Nuair a dh'èirich a' ghrian, chaidh a losgadh, 's a chionns nach robh bun aige, shearg e ás. 
MRK.4.7	Thuit cuid eile a‑measg nan drisean, 's dh'fhàs na drisean agus thachd iad e, 's cha tàinig bàrr sam bith air. 
MRK.4.8	Thuit cuid eile air talamh math. Dh'fhàs e suas 's thàinig toradh air, a dheich-ar‑fhichead urad 's a thrì fichead urad 's a cheud urad.”
MRK.4.9	'S thuirt e riu, “Ma tha cluasan agaibh gu èisdeachd, èisdibh.”
MRK.4.10	Nuair a dh'fhalbh an sluagh, chuir an fheadhainn a bha còmhla ris agus an dà fhear dheug ceistean air mu na samhlaidhean. 
MRK.4.11	Thuirt e riu, “Fhuair sibhse eòlas air nithean mu rìoghachd Dhè a bha falaichte thuige seo, ach dhan fheadhainn a tha an taobh a‑muigh tha gach nì air a chur ann an samhlaidhean, 
MRK.4.12	gus am bi iad ‘a' coimhead 's a' coimhead 's gun iad a' faicinn, 's ag èisdeachd 's ag èisdeachd 's gun iad a' tuigsinn, air eagal gum feum iad tionndadh gu Dia agus mathanas fhaighinn’.”
MRK.4.13	Thuirt e riu, “An e nach eil sibh a' tuigsinn an t‑samhlaidh seo? Ciamar mar sin a thuigeas sibh na samhlaidhean uile? 
MRK.4.14	'Se facal Dhè an sìol a tha am fear seo a' cur. 
MRK.4.15	Seo mar a tha an fheadhainn far a bheil am facal ga chur air uachdar an rathaid: nuair a tha iad ga chluinntinn, tha an Sàtan a' tighinn sa mhionaid 's a' togail leis an fhacail a chaidh a chur annta. 
MRK.4.16	Seo mar a tha an fheadhainn far an do chuireadh an sìol air talamh creagach: nuair a chluinneas iadsan am facal, tha iad a' gabhail ris le aoibhneas. 
MRK.4.17	Ach a chionns nach eil freumh aca annta fhèin, chan eil iad a' seasamh ach ùine ghoirid, 's nuair a thig trioblaid agus sàrachadh air sgàth an fhacail, tha iad a' tuiteam. 
MRK.4.18	Tha cuid eile far an do chuireadh an sìol a‑measg nan drisean. Tha iad sin a' cluinntinn an fhacail, 
MRK.4.19	ach tha urad a chùram orra mu thimcheall na beatha seo, agus urad a thlachd aca ann an saoibhreas agus urad a shannt airson nithean eile, 's gu bheil na rudan sin uile a' tighinn a‑steach 's a' tachdadh an fhacail, 's chan eil toradh sam bith a' tighinn air. 
MRK.4.20	Ach seo mar a tha an fheadhainn far a bheil an sìol air a chur ann an talamh math: tha iadsan a' cluinntinn an fhacail 's ga ghabhail thuca fhèin, 's a' toirt a‑mach toraidh, a dheich-ar‑fhichead urad 's a thrì fichead urad 's a cheud urad.”
MRK.4.21	Thuirt e riu, “Cò an duine a bheireadh a‑steach lampa 's a chuireadh i fo mhìs no fon leabaidh? Nach ann a chuireadh e air a' bhòrd i? 
MRK.4.22	Chan eil nì sam bith air fhalach ach gus a thoirt am follais, 's chan eil nì sam bith ga chur à sealladh nach bi air fhoillseachadh. 
MRK.4.23	Ma tha sibh toileach èisdeachd, èisdibh.”
MRK.4.24	Thuirt e, “Thoiribh an aire dha na tha sibh a' cluinntinn. 'Sann a‑rèir an tomhais a bhios sibh a' cleachdadh a bheir Dia dhuibh fèin, agus tuilleadh a bharrachd air a sin. 
MRK.4.25	Am fear aig a bheil rud, gheibh e tuilleadh bho Dhia, ach am fear aig nach eil, caillidh e am beagan a th'aige.”
MRK.4.26	Thuirt e, “Seo mar a tha rìoghachd Dhè. Tha i mar gun sgapadh fear sìol air an talamh, 
MRK.4.27	's fhad 's a bhios esan a' cadal san oidhche 's ag èirigh san là, tha an sìol a' beothachadh 's a' fàs, 's gun fhios aige ciamar. 
MRK.4.28	Tha an talamh a' cur bàrr dheth leis fhèin, an toiseach am fochann, an‑uairsin an dias, 's an‑uairsin an t‑arbhar làn-abaich anns an dèis. 
MRK.4.29	Ach cho luath 's a tha am bàrr abaich, tha e ga bhuain leis a' chorran, oir tha am foghar air tighinn.”
MRK.4.30	Thuirt e a‑rithist, “Cò ris a chanas sinn a tha rìoghachd Dhè coltach, no dè an dealbh a nì sinn oirre? 
MRK.4.31	Tha i coltach ri gràinne a shìol mustard. Chan eil sìol air thalamh cho beag ris an t‑sìol seo nuair a thathar ga chur. 
MRK.4.32	Ach an‑uairsin tha e a' fàs nas àirde na preas sam bith 's a' cur a‑mach gheugan a tha cho mòr 's gum faod eòin an adhair neadachadh fodha.”
MRK.4.33	Bha e a' cur an cèill an fhacail dhaibh le iomadh samhladh dhen t‑seòrsa seo, a‑rèir 's mar a b'urrainn dhaibh a ghabhail a‑steach. 
MRK.4.34	Cha robh e a' bruidhinn riu uair sam bith as aonais samhlaidh. Ach nuair a bhiodh e‑fhèin 's a dheisciobail leo fhèin, bhiodh e a' mìneachadh a h‑uile nì dhaibh.
MRK.4.35	An là sin fhèin, nuair a thàinig am feasgar, thuirt e riu, “Rachamaid a‑null chun an taobh eile.” 
MRK.4.36	Dh'fhàg iad an sluagh 's thug iad leo e, mar a bha e, anns a' bhàta, 's bha bàtaichean eile ann cuideachd. 
MRK.4.37	Thàinig sgal gharbh air a' ghaoith, 's bha am bàta gu bhith làn leis mar a bha na tuinn a' sadadh a‑steach innte. 
MRK.4.38	Bha Iosa na chadal san deireadh 's a cheann air cluasaig. Thug iad air dùsgadh, 's thuirt iad ris, “A Mhaighistir, a bheil thu coma gu bheil sinn gu bhith bàithte?”
MRK.4.39	Dhùisg esan, 's chuir e casg air a' ghaoith, 's thuirt e ris na tuinn, “Bithibh sàmhach, 's bithibh aig fois.” Shìolaidh a' ghaoth, 's thàinig fèath mhòr. 
MRK.4.40	Thuirt e riusan, “Carson a tha a leithid a dh'eagal oirbh? An e nach eil sibh fhathast a' creidsinn?” 
MRK.4.41	Thàinig fìor eagal orra an‑uairsin, 's thuirt iad ri cach-a‑chèile, “Dè an seòrsa duine a tha seo, nuair a tha a' ghaoth 's na tuinn fhèin a' toirt feairt air?”
MRK.5.1	Thàinig iad gu taobh thall an loch, gu dùthaich nan Gearasènach. 
MRK.5.2	Nuair a thàinig Iosa a‑mach ás a' bhàta, thachair fear anns an robh droch spiorad ris, 
MRK.5.3	's e a' tighinn on chladh far an robh e a' còmhnaidh. Cha chumadh duine sam bith ceangailte e, fiù 's le sèinichean. 
MRK.5.4	Chaidh sèinichean 's geimhlean a chur air iomadh uair, ach bhrist e na sèinichean 's chuir e na geimhlean nam bloighdean, 's cha robh neach sam bith cho làidir 's gun cuireadh e casg air. 
MRK.5.5	A dh'oidhche 's a là bha e a' falbh air feadh nan uaighean 's nam monaidhean, a' sgriachail 's ga ghearradh fhèin le clachan.
MRK.5.6	Nuair a chunnaic e Iosa astar bhuaithe, ruith e far an robh e, 's thuit e aig a chasan. 
MRK.5.7	Dh'eubh e àird a chlaiginn, “Dè an gnothach a th'agadsa riumsa, Iosa, a Mhic an Dè as àirde? Tha mi a' guidhe ort an ainm Dhè, na dèan mo phianadh.” 
MRK.5.8	Oir bha Iosa air a ràdh ris an droch spiorad, “Thig a‑mach ás an duine.”
MRK.5.9	Dh'fhaighnich Iosa dheth, “Dè an t‑ainm a th'ort?”
MRK.5.9	Fhreagair esan, “'Se Lègion m'ainm, oir tha mòran dhinn ann.” 
MRK.5.10	Dh'iarr e gu dùrachdach air gun na droch spioradan a chur a‑mach ás an dùthaich.
MRK.5.11	Bha treud mhòr mhuc ann an siod ag ithe air a' mhonadh. 
MRK.5.12	Dh'eubh na droch spioradan ris, “Cuir sinn gu ruig na mucan, gus an tèid sinn a‑steach anntasan.” 
MRK.5.13	Thug esan cead dhaibh. Thàinig na droch spioradan a‑mach ás an duine, 's ghabh iad a‑steach dha na mucan. Thog an treud orra le roid, mu dhà mhìle dhiubh, sìos leis a' bhruthach a‑mach air an loch, 's chaidh am bàthadh.
MRK.5.14	Theich an fheadhainn a bha gam buachailleachd, 's dh'innis iad anns a' bhaile 's air feadh na dùthcha mar a thachair, 's thàinig daoine a‑mach a choimhead. 
MRK.5.15	Thàinig iad gu Iosa, 's dè chunnaic iad ach am fear anns an robh an Lègion dheamhan, 's e na shuidhe 's a chuid aodaich uime, 's a chiall air tilleadh thuige. Chuir seo eagal orra. 
MRK.5.16	'S dh'innis an fheadhainn a chunnaic e mar a thachair dhan fhear anns an robh na deamhain, 's dha na mucan.
MRK.5.17	Thòisich iad air iarraidh air Iosa a bhith a' falbh ás na crìochan aca.
MRK.5.18	Nuair a bha e a' dol air bòrd a' bhàta, dh'iarr am fear anns an robh na deamhain cead air falbh còmhla ris.
MRK.5.19	Ach cha do leig Iosa leis. 'Sann a thuirt e ris, “Bi falbh dhachaigh gu do dhaoine fhèin, 's innis dhaibhsan na nithean mòra a rinn an Tighearna air do shon, 's mar a rinn e tròcair ort.”
MRK.5.20	Dh'fhalbh esan 's thòisich e air innse anns na Deich Bailtean na rinn Iosa air a shon, 's ghabh a h‑uile duine ioghnadh.
MRK.5.21	Nuair a thill Iosa air ais chun an taobh thall, chruinnich sluagh mòr man cuairt air, ri oir an loch. 
MRK.5.22	Thàinig fear de cheannardan an t‑sionagoig, air an robh Iàrus, 's nuair a chunnaic e Iosa, thuit e aig a chasan 
MRK.5.23	's ghuidh e air, ag ràdh ris, “Tha mo nighean bheag ri uchd bàis. Nach tig thu 's nach cuir thu do làmhan oirre gus am bi i air a slànachadh, 's gum mair i beò.”
MRK.5.24	Dh'fhalbh e còmhla ris. Bha sluagh mòr ga leantainn 's iad ga dhùmhlachadh air gach taobh.
MRK.5.25	'S bha boireannach ann a bha air a bhith a' call fala fad dà bhliadhna dheug. 
MRK.5.26	Bha i air mòran fhulang fo iomadh dotair, 's air a cuid gu lèir a chosg, 's cha robh i dad na b'fheàrr, ach na bu mhiosa buileach. 
MRK.5.27	Chuala i iomradh air Iosa, thàinig i air a chùlaibh a‑measg an t‑sluaigh, 's bhean i ri aodach. 
MRK.5.28	Oir bha i ag ràdh rithe fhèin, “Ma thèid agam air beantainn fiù 's ri aodach, bidh mi air mo shlànachadh.”
MRK.5.29	Agus gun dàil sam bith sguir i a shileadh fala, agus mhothaich i innte fhèin gun deach a trioblaid a leigheas. 
MRK.5.30	Dh'aithnich Iosa sa mhionaid gun robh cumhachd air a dhol a‑mach bhuaithe, 's thionndaidh e man cuairt am meadhon an t‑sluaigh, 's thuirt e, “Cò bhean ri m'aodach?”
MRK.5.31	Thuirt a dheisciobail ris, “Nach eil thu a' faicinn an t‑sluaigh gad dhùmhlachadh, 's carson mar sin a tha thu ag ràdh, ‘Cò bhean rium?’ ”
MRK.5.32	Thug e sùil man cuairt feuch am faiceadh e cò bh'ann. 
MRK.5.33	A chionns gun robh fhios aice dè thachair dhi, thàinig am boireannach 's i air chrith leis an eagal. Thuit i aig a chasan 's dh'innis i dha a h‑uile nì mar a bha. 
