GEN.1.1	Apanll chtakchu, kanindaatstam, tsapootstam tinarangiya. 
GEN.2.14	Anumunshat, arangeemsha kung tuchparini sur Tigirisa tushaparangitamta. Yapeem zar yaku ambeem tsap sur Asiriya taarangiya.
GEN.2.14	Mishat, arangeemsha kung ipunpunarini suru Eufratisa tushaparangitamta.
GEN.2.15	Ashiriya, Apanllsha kamuzaa mzatsish Edengash wayarangiya. Shiy mzats ksutangcha, tárangiya. 
GEN.2.16	Itaru waneeyaru: Ichingaru wanus shiy zandkush ktungangcha, tárangiya. 
GEN.2.17	Itaru, mzatsish apusanand tatsumim taaru anoo wanusi ktunginllpa. An tsipatsimashtanda. Anoo katungkachinaareesha, urutamari tsipiptatsha, tárangiya Apanlli.
GEN.2.18	Anumunsha, Apanll; Kamuz waani minum taaku pinasakcha. Ashiriya, nimun wipunasheem tinachima. Ashkachuri, waanpatatin uru kis ipunkusin taachinllinaya, tárangiya.
GEN.2.19	Apanllshat ichingaru tinarangiya; manginshucheetstam, mishat purangtaru anootstam ichingaru tsapuptari tinarangiya. Sheeru, kamuzaatsshat tárangiya; Shiyshat ashpari maacheetsi suroom ísamangcha, tárangiya. Táyaru, tputssha anooritam maacheetsi ichingaru suroo ísamarangiya. Ashirucha, natpur anooritam iyshat suroo tssurtakuni taakaniya. 
GEN.2.20	Tputssha zamzee, chinuzee, maachee kayustaneew, manginshucheew, kpurangamsheew, kayupcheew, ashpa anoo ichingaru ísamarangiya. Zamiz waani minamtawari sur taachinllinpa, tárangiya. Itaru, kamuzaamsha wipunasheem wand ndunarimuna.
GEN.2.21	Ashiriya, Apanllsha kamuzaa tumachirtarangiya. Tputsshat kizpur maramchu, anush Apanllshat tputsee watandaram iwachirangiya. Watandaramaa iwacheeru, kararamchu anoo yusursha waanchichitam wanuts yáyaru, tapatstarangiya. 
GEN.2.22	Yuwshat kamuzaa watandaram yarangu anootsshat kizaamshat tinarangiya. Ashiramchu, anush kamuzsha támarangiya. Apanllshat, Neewa, shiyaam ipunshish, tárangiya. 
GEN.2.23	Kamuzshat kizpur mangu ksarangiya. ¡Kizpurcha wanasiriya! Nuwaana nutsi tamapari ashiritamta, watam nuwaantatam nutsinawa, mishat watam nuwaantatam napurinawa. Ashiriya, nee kizaa, Izanllchee, táchshaparina, watam nuwash shitungaranguwa, mang kamuz tárangiya. 
GEN.2.24	Apanllsha tputsee tárangu: Ashiriya, tputssha kamuz uruta waparee, wanireetstam kasayaru, izuuru wizanllpatamarisha minumaripaz nutsas ashirusin taachinllinaya, tárangiya Apanlli.
GEN.2.25	Ashiriya, tsimbunartisin zapeersin taaranganaya. Itaru, yuwaa zapeerangana anoo pakchiyam nda tácharangusin, yasarangazinllinaja, izuuru mapiyrsin taaranganaya.
GEN.2.25	Ashiriya, na kamaneena yuwaa Apanll kamuzaa wizanllpatari tinarangu anootsi.
GEN.3.1	Apanll maacheetsi ichingaru tinaramchu, anshutam maak kizpur tamapingampan taarangiya. Ashiriya, maaksha
GEN.3.2	Kizshat: Nda, ¿nitaati Apanll amb ateeja? Dancha. Wanusee ichingaru ktungangtsa, tárangcha. 
GEN.3.3	Itaru, minam apusanand mzatsish xiyaru anootsimari ktunginllpa; misha ayamtaatiya ptatinllpa. Patatkachinaareesa ashiru, uru tsipatssa, Apanll tárangcha, kiz mkaa tárangiya.
GEN.3.4	Maaksha: Nda, uru katungkachitaateesa nda tsipatssa. 
GEN.3.5	Siyaa Apanll pachindkucha atasha. Watam nee wanusee katungkachus uru kizpur yasatssa. Waana Apanll tamapari ashiritamtis taatssa. Chinashis wanasirimshee yasatssa. Mishat, yutaritamasheetstam yasachitamsa, maak tárangiya.
GEN.3.6	Ashirucha, kizsha wanusee napeeru, Kizpurcha wanasiriya, tárangiya. ¿Tamareeja? Katungachuri, kizpurshapari yasachina, mangush chinaku kiz tárangiya. Naantachu, wanusee pusayaru, katungkarangiya. Wazaranlleemshat, Na shiysha káchangancha. ¡Kischa! tárangiya. Wazaranllshat anuritam ayu táyaru, katungkarangitamta. 
GEN.3.7	Katungam iwatsparamchusin, mangush chinakataraa ashiranganaya. Waanaatstisin nap ashkusin, Zapeerniwa, mang tárangusin, kizpur paziranganaya. Ashirucha, masharpasha k'tayarusin, anpa maxaranganaya.
GEN.3.8	Mang pukamatsha zar kchizataramchu, Apanll mzatsish káyashinu naantachu, anoo mazinanataranll ashiranganaya. Papcha, Apanll naanllpa. Tapisheeni yasinshu, táranganaya. 
GEN.3.9	Apanllshat kuruzurangiya. ¿Yapshasa? ¿Tamaksa? tárangiya. 
GEN.3.10	Kamuzsha: Shiyap kusamaam paziktanicha; watam zapeeraniwa. Ashirucha tapisheerini, táranganaya. 
GEN.3.11	Apanllshat; ¿Chaksha siyaa, Zapeetischa átu, Zapeetanicha átssa? tárangiya. ¿Ndusha nuw yuwaa ktunginllpa tárangi anoo katungeeris? tárangiya. 
GEN.3.12	Kamuzsha; Yuw shiy kizaa ipunsheemi panarangish ancha nuwaam martayranda. Ashirucha, nuwsha katungeeri, kamuz tárangiya.
GEN.3.13	Apanllshat kizaa masharangiya; ¿Mayaamsha amb ashirangsha? tárangiya. Kizshat; Maakcha nuwaa tamapingayranda, tárangiya.
GEN.3.14	Apanll mkaatsshat; Yuwamand tputsee tamapingarangish anumand kizpur kiyung kachiyachsha. Shiyamari maacheetsi kasiru mantsirimish taakush, kiyung kachiykush taachsha. Uru nimun titkurpatish pshiyrapshiyrtansha. Tsapumun chishish ipuxpuxtar ashkush, tsapuri katungkush taachsha. 
GEN.3.15	Shiyaatsimari ichingarusin tputs kundartaksin taachinllinaya. Ayamtaati kiz nllurnur shiyaatsimari kundartaksin taachinllinaya. Itaru, minam tputs shiyaa kasichiya. Yuwamand shiy wanashiree kapuxkachish anumand uwsha shiyaa mucheetsish tsaritsartachiya, Apanll tárangiya mkaatsi.
GEN.3.16	Apanll kizaatsshat tárangiya; Watam shiy nuwaa kuki kapeeteerush katungkarangshawa. Urutamari shiy iparinakush, wasuree kiyung kachiychitanllsha. Mishat, zaranllimaritish shiyaa kasiku taaratartanllsha. Shiysha uru zaranllingazish zandkush, chinakush tachitaa kizarush ashichsha, Apanll kizaa tárangiya.
GEN.3.17	Apanll kamuzaatssha tárangiya; Shiysha izanlleetsish kuk payuyarush, wanusee katungkarangsha. Yuwamand nuwaa kuki kapeetarangish anumanda na nimun arang urutamari tarawaztayarush, kchitakush taaratartansha. 
GEN.3.18	Mzakush, urutamari kpaa kiyung kachiychiytansha. Mzarshish karut urutamari karutaku puptanlliya; kiyung kachiyachsha. 
GEN.3.19	Mzatsee tarawaztakchush, msastatansha. Ambiri ashkush, anpa katungkush kchitachsha. Anuri ashkush tsipachsha. Tsipakchush, yusur wapitam tsapoomatam kinachsha, watam nuw shiyaam tsapuptatam tinaranginawa, Apanlli kamuzaatssha tárangiya.
GEN.3.20	Mang kamuz suru Ataga. Wizanlleetssha sur Epa ísamarangiya. Watam ichingarusin Epamand tputs pzapanichinllinaya, tárangiya Ataga.
GEN.3.21+GEN.3.22+GEN.3.23+GEN.3.24	Ashiriya, Apanllshat kamuzaa misha kizaa ashiru maachi tas tumaxtarangiya yuwaam zapeerna anooma. Apanllsha tárangiya; Ashiriya, kamuz, kiz ashirusin yaana tamapari ashiritamsin zapan chinaksin taakanawa. Yutaritamashee mishat wanasirimshee yasakusin, ashirusin taakanaya. Ashiriya, tputsee Edengash mzatsi tashitungchima. Tashitungayaruri, arap wayachima nda wanusee wanasirimshee taarashipanee katungamaama; watam katungkusin urutamari taachinllinaya, tárangiya. Táyaru, tputsee tashitungayaru, piyamsha zanganirangiya. Ambirisha tarawaztakush taangcha, tárangiya. Táyaru, anumunshat Edengash yap zar yaku amb wasundururee ksutamapaneem wayarangiya. Nda tputs anush wanusee wanasirimshee patatamaama, átu wayarangiya. Anumunsha, mchit wazuran sumas tamapari ashiru kurakurtaru anush wayarangitamta. Anshat, mchit piyam naanataraa piyam naanataraa ashirangu, ngootsee kámanarangiya. Nda tputs nish mzatsish pshtumaama átu, ashirangiya Apanlli.
GEN.3.21+GEN.3.22+GEN.3.23+GEN.3.24	Ashiriya, na kamaneena yuwaa Atagarini Apanllee kuk kapeetarangana anootsi.
GEN.4.1	Atagarini Eppat wizanllpa maarangana. Anush wipsha ichtamarini wanindarangiya. Suroo Kayínaa ísamaranganaya. Epshat, Apanllpari nuwaam ipareemi panayandanaya, tárangiya. 
GEN.4.2	Anumunshat zapish, yusur wip kamuztam wanindarangiya. Suru Abela ísamarangiya. Sheeru, zoonllpatari kanungaranganaya. Abela chinuzpan opeejpanimuna ksutamapan taarangiya. Kayínshat mzatspaneem tatsumapani taarangiya.
GEN.4.3	Anumunsha zapish, Kayínarini Apanlleem ungirtamaam mazarish wanusee pusayaru, anpat Apanlleem ungirtarangiya. 
GEN.4.4	Zoonllshat Abelarini, uwshat Apanlleem ungirtamaam chinoo opeeja putarangiya. Yuwanandari karupanawa kizpur wanasireewa annandari ipuseeru, anpat Apanlleem pachayaru, mucheeru, kis ungirtarangiya. Ashirucha, Apanllshat Abelarineetsi kis naparangiya yuwaa ungirtaku Apanlleem ashirangu anootsi. 
GEN.4.5	Itaru, Kayínarineetsshat Apanll nda kaapa kis naparangiya yuwaa wanusee wayarangu anootsi. Ashirucha, Kayínarinshat kizpur tsiyantarangiya. Zoonllee pamaam nda zandarangu, 
GEN.4.6	Apanllshat; ¿Mayaamsha kapung tsiyantaksha? ¿Zuwanlleetsish natsamaama zandaksha? 
GEN.4.7	Mangish ksanaari taakush, uru kisshapari taachsha. Itaru, arang tsiyantakinaareesha, papcha. Tsiyanus kasiyanllpa. Itaru, shiyshat tsiyaneetsish zambazangcha. Mapiyrush taangcha, tárangiya Apanlli. Kayínarinshat Apanllee kuk nda mazinarangiya.
GEN.4.8	Zapishsha, Kayínarini zoonllee tamapingayaru, mzatsip machtarangiya. Ansha mzatsish kuseeramatssin, Kayínarinshitini zoonllee putayaru pacharangiya.
GEN.4.9	Apanllshat Kayínarineetsi másharangiya. ¿Natuwa? ¿Zuwanllish yapshita Abela? tárangiya. Kayínarinsha: Nuw yasareezi. ¿Antaati nuw zuwanlleemi ksutamapan taakinawa? tárangiya. 
GEN.4.10	Itaru, Apanllshat: ¿Mayaamsha amb ashiksha? Nuw shiyaa paranginawa; zuwanlleetsish ursir tsapumun tuchumurangshawa. 
GEN.4.11	Yuwamand zuwanlleetsish ursir tuchumurangish tsapushu anumand uru nuw wanichinllpa. Watam zuwanllish ursirimand, Waneengi, atuwa. 
GEN.4.12	Mishat, yuwamand zuwanlleetsish tsapumun ursiree tuchumurangish anumand uru mzakush, tatsumkush, nda kxunku taachiya. Arap tsap naachsha minup tsapurunasiya. Ambiri masarush xixtarashin ashichsha. Kiyung kachiykush taaratartanllsha, tárangiya Apanlli. 
GEN.4.13	Kayínarinsha kizpur mang' mantsarangiya; punirangiya. ¿Tamari amb ashkuri kis taachee? Nuwaa kapung kiyung yachamaam shiy zandaksha. 
GEN.4.14	¿Tamari tsapuneetsi arap kasachi? Mishat, ¿tamari shiyaatstam, Apaa, arap kasachi? Amb ashkachinaareena, nuw arap masaruri xitat ashkuri, nuwaa tputs pachachapandanaya, watam minumtinawa, tárangiya. 
GEN.4.15	Itaru Apanllsha: ¡Ndaj! ¿Tamari shiyaa tputs pachach? Shiyaa tputs pachakchinaari, nuwsha anoo tputsee kizpurinasha wanichima. Shiyaa waneerangi anoo kasirinashta. Ashiriya, shiyaa tputs nda pachamaam nutsimunish yandayarunll kasachinllpa. Anumunari shiyaa tputs pakchusin, natstakchusin, nda shiyaa pachachinllinaya, tárangiya Apanlli. 
GEN.4.16	Amb táyaru, Apanll zanganirangiya Kayínarineetsi. Itaru, Kayínarinshitini mang naatarangiya. Maachiritawaa kasarangiya. Apanlleetstam arap kasarangitamta. Sheeru, yapeem zar yaku amb naatarangiya. Ambiri taarangiya. Ashirucha, tsapoo suru ísamaranganaya Masangunazi atusina, itaru Hebrewshuchsha kuk Nod atiya, watam masaru taaratartarashin ashtaruwa.
GEN.4.16	Ashiriya, na kamaneena yuwaa Kayínarini zoonllee Abelarineetsini pacharangu anootsi.
GEN.4.17	Yapiri masataru taarangu ambiri Kayínarini wizanlleem yamarangiya. Anush wip kamuz iparinarangiya. Sur Enoka ísamarangiya. Anumunshat, wipsha pzapaneeyaranllu, pangoom, pangu, pangu ashirusin, yaktaa sur Enoka ísamarangiya. Wipatam suru Enoka ísamarangiya. 
GEN.4.18	Arangshat, Kayínarini wizanll iparinarangitamta. Wipaa sur ísamarangiya Irada.
GEN.4.18	Iradaatssha wachinayaru, uwshat arang iparinarangiya Meyujaela. Meyujaelshat uwshat iparinarangitamta Metusaela. Metusaelsha uwshat iparinarangitamta Lamekaama.
GEN.4.19	Lamekshat wizanlleem tsimbun yamarangiya. Min wizanll ichtam sur Adamuncha. Anumunsha mashingamarinshitini suru Silámuncha. 
GEN.4.20	Ichtamarini Ada wipaam iparinarangiya Jabalaamshita. Jabalshat chinuzpanimun taarangiya. Pangoomshat chinuzpat tas pangurangiya. Jabalchichimun tputs ichingaru taspa pangoom pangu, pangu, sheersin anush taataranaya. 
GEN.4.21	Anumunshat yusurshat Ada iparinarangitamta Jobalaamshita. Jobalshat kitarpanimuna. Kitartama kizpur yasarangiya. Tiruchimaam yasarangitamta. Jobalchich tputs ichingarusin anpaneewtamsin taaranganaya.
GEN.4.22	Mishat, Lamek wizanll mashingamarinshitini sur Selá iparinarangitamta. Topalkayina sur ísamarangiya. Topalkayinshat ichingaru maacheewaatsi tinamaam yasarangiya. Ngusambawaatstam mishat yuwapa tarawaztatarich anoowaatstam ichingaru tinamaam yasarangiya mbammasheewaatstamta. Mishat, wizarsha taarangtamta suru Nahaama.
GEN.4.23	Minushshat zar Lamek wizanllee tsimbunaatsiri Adaatsi, mishat Selaátsi ashiru tamasingaru kapung tsiyatarangiya;
GEN.4.23	Izanllee, siysa nuwaam kurakaatsi kuki mazinangcha.
GEN.4.23	Kanungas nuwaa tpeerangu,
GEN.4.23	nuwshat anumand kapung tsiyantaranguri,
GEN.4.23	anoo kanungasee pacharangina.
GEN.4.24	Mishat, waanari yuwamand ashirangi anumand tputs kisatamaam zandkinaariya,
GEN.4.24	nuwsha kizpur wanichima.
GEN.4.24	Zitamina Kayínarineetsi tputs pacharanginaariya, anumand sietinasha tputs tsipamaam waritaranginaparee. Itaru, nuwamandsha setentisietinasha tputs tsipamaam waritachiya,
GEN.4.24	Lamek wizanllee tárangiya.
GEN.4.25	Atagarinshitini yusursha wizanllpa maarangana. Sheeru, Epsha mireerangshita. Mireeyaru, yusursha tatsipurangiya. Wipaa sur Set ísamarangiya. Ashirucha, Epsha; Apanll nuwaa kizpurparee chinakiya. Napangi, ipareemi yusursha panayanda Abelamuncheema yuwamunach Kayín pacharangu anumunchiya, tárangiya.
GEN.4.26	Setshat kanungeeru, uwshat arang iparinarangitamta. Enos suroo ísamarangu. Anpursha zar ashpatam tputs Apanllimun sur Apanllee ungirtamaam chtaranganaya.
GEN.4.26	Ashiriya, na kamaneena yuwaa Atagarini Setaam iparinarangu anootsi.
GEN.5.1	Ichtakachuri Apanll tputseem waana tamaparee ashiru tinarangiya. 
GEN.5.2	Minum kamuz, anumunsha minumtam kiz ashiru
GEN.5.3	Atagarin mang taarangiya 130 masachirini yuwapur Setaa iparinarangu anpur zari. Setshat wapar wach tamapari ashtamaru nllurtarangiya. 
GEN.5.4	Anumunsha zapish Atagarini 800 masachiri taarangiya. Anush wip arangshat pzapaneerangiya; kamuztam mishat kizatam ashiru taarangiya. 
GEN.5.5	Ashiriya, zapishshat Atagarini 930 masachirini taaramchu, anush tsiparangiya.
GEN.5.6	Anumunshat, Setshat mang 105 masachirini taaramchu anush Enosaa iparinarangiya. 
GEN.5.7	Enosaa iparinachu anumunsha arang 807 masachirini taarangiya. Wipshat anush uwshat arang iparinarangiya kamuztam mishat kizatamta. 
GEN.5.8	Ashiriya, zapishshat Setarini 912 masachirini tatsamoochu anush tsiparangiya.
GEN.5.9	Anumunshat, Enosarinshitini 90 masachirini tatsamooramchu anush iparinarangiya. Wipaa Kayinaga sur ísamarangiya. 
GEN.5.10	Anumunshat arang Enosarini 815 masachirini taarangiya. Wipsha anush uwshat arang iparinarangitamta kamuztam mishat kizatamta. 
GEN.5.11	Ashirucha, zapishshat Enosarini 905 masachirini tatsamoochu anush tsiparangiya.
GEN.5.12	Anumunshat, Kayinagarinshitini 70 masachirini taaramchu anush iparinarangiya. Wipaa Malalela sur ísamarangiya. 
GEN.5.13	Anumunshat arang Kayinagarini 840 masachirini mang taarangiya. Wipsha anush uwshat arang iparinarangitamta kamuztam mishat kizatamta. 
GEN.5.14	Ashirucha, zapishshat Kayinagarini 910 masachirini tatsamoochu anush tsiparangiya.
GEN.5.15	Anumunshat, Malalelarinishitini 75 masachirini taaramchu anush iparinarangiya. Wipaa Hareta sur ísamarangiya. 
GEN.5.16	Anumunshat arang Malalelarini 830 masachirini mang taarangiya. Wipsha anush uwshat arang iparinarangitamta kamuztam mishat kizatamta. 
GEN.5.17	Ashirucha, zapishshat Malalelanini 895 masachirini tatsamoochu anush tsiparangiya.
GEN.5.18	Anumunshat, Haretarinishitini 162 masachirini taaramchu anush iparinarangiya. Wipaa Enokaa sur ísamarangiya. 
GEN.5.19	Anumunshat arang Haretarini 800 masachirini mang taarangiya. Wipsha anush uwshat arang iparinarangitamta kamuztam mishat kizatamta. 
GEN.5.20	Ashirucha, zapishshat Haretarini 962 masachirini tatsamoochu anush tsiparangiya.
GEN.5.21	Anumunshat, Enokarinshitini 65 masachirini taaramchu anush iparinarangiya. Wipaa Matusalemaa sur ísamarangiya. 
GEN.5.22	Anumunshat arang Enokarini 300 masachirini mang taarangiya. Wipsha anush uwshat arang iparinarangitamta kamuztam mishat kizatamta. 
GEN.5.23+GEN.5.24	Washunandari Enokarini 365 masachirini taarangiya. Anush mang Enokarini Apanllee kizpur chinarangiya. Apanllee kuk payurangiya. Ashirucha, Apanllsha Enokaa yamakchu, Enokshat tsípata ashirangiya. Enokarini nda tsiparangiya.
GEN.5.25	Anumunshat, Matusalemarinishitini 187 masachirini taaramchu anush iparinarangiya. Wipaa Lamekaa sur ísamarangiya. 
GEN.5.26	Anumunshat arang Matusalemarini 782 masachirini mang taarangiya. Wipsha anush uwshat arang iparinarangitamta kamuztam mishat kizatamta. 
GEN.5.27	Ashirucha, zapishshat Matusalemarini 969 masachirini tatsamoochu anush tsiparangiya.
GEN.5.28	Anumunshat, Lamekarinshitini 182 masachirini taaramchu anush iparinarangiya. Wipaa Nowe sur ísamakchu, 
GEN.5.29	anush tárangiya; Sirú Apanll tsapoo mbamaam wayarangu, iysha tarawaztakuni, kiyung kachiyarangani. Itaru, nimandana iparimandi ndushaparee kiyung kachiychiniya, tárangiya Lamekarini. 
GEN.5.30	Anumunshat arang Lamekarini 595 masachirini taarangiya. Wipsha anush uwshat arang iparinarangitamta kamuztam mishat kizatamta. 
GEN.5.31	Ashirucha, zapishshat Lamekarini 777 masachirini tatsamoochu anush tsiparangiya.
GEN.5.32	Anumunshat, Nowerinshitini mang masachirini 500 tatsamooramchu anush wip kamuzanand tuchip wanindarangiya. Suroo ísamarangiya iwachiztamaa Simo, mishat Kamu, mishat Hapeta ashpamuna.
GEN.5.32	Ashiriya, na kamaneena yuwaa Atagarini wip Setchich pzapaneerangana anootsi.
GEN.6.1	Yuwapur Nowerini taarangu anpur tputs tsapurunasish zapan pzapaneerangana. Uwshtisin arang iparinanatara, iparina ashiranganaya; kamuztam misha kiztam ashiru pzapaneeranganaya. 
GEN.6.2	Ashirucha, Apanllchichtisin wip
GEN.6.3	Ashiriya, Apanllsha: Yuwamand tputs yutarit taakana anumand nuwshat taarashee ningatsha wayachima wanuts musásimasheemshita. 120 yungandpasimunarishta wachinayarusin, tsipachinllinaya, tárangiya Apanlli.
GEN.6.4	Anpur ashpatam tputs wazuraneewa, wanuts kapunguwatam, tapazpaneewtam taaranganaya. Anumunshat, Apanllchichtisin wip piyartacheewa wip yamayarusin, kurakaamaw pzapaneeranganaya. Tsiyatsis waamunamari zapan kimarangiya.
GEN.6.5	Zitaminarini ichingarusin chínash mantsiri chinaranganaya. Ashirucha, Apanllsha yuwaa tputs ashkana anoo parangu, tárangiya: Anootsimari yutaritshisheetsimari kis chinakana. 
GEN.6.6	Nuw anoom zandkeezi. Yuwamand tputseem tinarangi, itaru yutaritaam patatarangana anumand nuwcha mangi mantsakina. 
