GEN.1.1	Idi punganay, pinarsua ti Dios ti lubong.
GEN.1.21	Pinarsua ti Dios dagiti dadakkel a parsua iti taaw, ken amin a kita ti parsua iti danum ken amin a kita ti tumatayab. Naragsakan ti Dios idi makitana dagiti inaramidna. 
GEN.1.22	Binendisionanna amin ida, ket imbagana kadagiti parsua nga agnaed iti danum nga umaduda, ket punnoenda ti taaw. Binilinna met dagiti tumatayab nga umaduda.
GEN.1.23	Limmabas ti rabii, ket dimteng ti bigat. Daytoy ti maikalima nga aldaw.
GEN.1.24	Imbilin ti Dios, “Maaddaan ti daga iti amin a kita ti ayup: naamo ken naatap, dadakkel ken babassit.” Ket naaramid a kasta. 
GEN.1.25	Inaramid amin ida ti Dios. Naragsakan ti Dios iti nakitana.
GEN.1.26	Kalpasanna,
GEN.1.27	Iti
GEN.1.28	Binendisionanna ida a kunana, “Aganakkayo iti adu tapno agnaedto dagiti kaputotanyo iti amin a paset ti daga ket iturayandanto ti daga. Iturayanyo dagiti ikan, dagiti tumatayab, ken amin nga atap nga animal. 
GEN.1.29	Itedko a taraonyo dagiti amin a kita ti bukel ken amin a bunga ti kayo. 
GEN.1.30	Ngem itedko kadagiti amin nga atap nga animal ken amin a tumatayab dagiti ruruot ken mulmula nga adda bulongna a kas taraonda.” Ket naaramid a kasta. 
GEN.1.31	Kinita ti Dios dagiti amin nga inaramidna, ket napalalo ti ragsakna.
GEN.1.31	Limmabas ti rabii, ket dimteng ti bigat. Daytoy ti maikanem nga aldaw.
GEN.2.1	Ket kasta a naaramid dagiti langit ken ti daga ken amin a linaonda. 
GEN.2.2	Iti
GEN.2.3	Binendisionanna ti maikapito nga aldaw, ket inlasinna a naisangsangayan gapu ta iti dayta nga aldaw, nalpasna ti trabahona ket naginana kalpasan ti panagparsuana. 
GEN.2.4	Kastoy ti pannakaparsua ti sangalubongan.
GEN.2.4	Idi parsuaen ni Yahweh
GEN.2.5	awan pay ti mula iti daga ken awan ti bukel a nagrusing agsipud ta awan pay tudo ken awan pay dagiti mannalon. 
GEN.2.6	Ngem adda danum nga aggapu iti ubbog ket siboganna ti daga.
GEN.2.7	Nangala
GEN.2.8	Nangaramid ni Yahweh a Dios iti maysa a minuyongan idiay Eden, iti Daya. Sadiay ti nangikabilanna iti pinarsuana a tao. 
GEN.2.9	Pinagtubona
GEN.2.10	Adda karayan nga agayus iti Eden a mangpasayak iti minuyongan. Iti panagayusna iti ruar ti Eden, nagsanga iti uppat a paset. 
GEN.2.11	Pison ti nagan ti umuna a karayan ket agayus iti likmut ti pagilian ti Havila. 
GEN.2.12	Ditoy ti pakasarakan iti puro a balitok agraman bangbanglo a manmano a masarakan, ken agkakapateg a bato. 
GEN.2.13	Gihon ti nagan ti maikadua ket agayus iti likmut ti pagilian ti Cus. 
GEN.2.14	Tigris ti maikatlo ket agayus iti dayaen ti Asiria. Eufrates ti maikapat a sanga ti karayan.
GEN.2.15	Impan ni Yahweh a Dios ti tao iti Minuyongan ti Eden tapno talonen ken aywananna. 
GEN.2.16	Imbagana iti lalaki, “Mabalinmo ti mangan iti bunga ti uray ania a kayo iti Minuyongan 
GEN.2.17	malaksid ti bunga ti kayo ti pannakaammo iti naimbag ken dakes.
GEN.2.18	Kinuna ni Yahweh a Dios, “Saan a nasayaat nga agmaymaysa ti lalaki. Yaramidak iti maitutop a kadua ken katulonganna.” 
GEN.2.19	Nangala iti daga ket inaramidna dagiti amin nga animal ken amin a tumatayab. Impanna ida iti lalaki ket binay-anna nga isu ti mangted iti naganda. No ania ti awagna kadakuada, isu met ti nagbalin a naganda. 
GEN.2.20	Pinanaganan ngarud ti lalaki dagiti amin a tumatayab ken dagiti amin nga animal. Ngem awan kadagitoy ti maitutop a kaduana ken katulonganna.
GEN.2.21	Kalpasanna, pinaturog ni Yahweh a Dios ti lalaki. Bayat ti nargaan a pannaturogna, nangala iti maysa kadagiti paragpagna sana tinapalan iti lasag ti nangikkatanna. 
GEN.2.22	Inaramidna a babai ti paragpag ket impanna iti lalaki. 
GEN.2.23	Kinuna ti lalaki,
GEN.2.23	“Adda met laengen kas kaniak—
GEN.2.23	Tulang a naggapu iti tulangko, ken lasag a naala iti lasagko.
GEN.2.23	‘Babai’ ti naganna ta lalaki ti nagtaudanna.”
GEN.2.24	Daytoy
GEN.2.25	Agpada a lamolamo ti lalaki ken ti babai ngem awan kadakuada ti panagbain.
GEN.3.1	Ti
GEN.3.2	“Mabalinmi ti mangan iti bunga ti uray ania a kayo iti minuyongan,” insungbat ti babai. 
GEN.3.3	“Ngem saanmi a mabalin a kanen ti bunga ti kayo nga adda iti tengnga. No mangankami kano iti bungana wenno uray sagidenmi la koma, mataykami.”
GEN.3.4	“Saan a pudno dayta,” kinuna ti uleg. “Saankayo a matay! 
GEN.3.5	Kasta ti sao ti Dios ta ammona a no mangankayo iti bunga ti kayo, maaddaankayto iti pannakaawat. Agbalinkayto a kas iti Dios
GEN.3.6	Nakita ti babai a napintas ti kayo ken impapanna a nasayaat a kanen ti bungana. “Nagsayaat ket ngatan ti agbalin a masirib!” kinunana iti nakemna. Nangpuros iti sumagmamano a bunga ti kayo sa nangan. Inikkanna met ti asawana ket nangan ti lalaki. 
GEN.3.7	Apaman a nakapanganda, naaddaanda iti pannakaawat ket nabigbigda a lamolamoda. Iti kasta, namagsasaipda kadagiti bulong ti kayo nga igos a pinangabbongda iti bagida.
GEN.3.8	Iti dayta a sumipnget,
GEN.3.9	ngem pinukkawan ni Yahweh a Dios ti lalaki. “Sadino ti ayanmo?” kinunana.
GEN.3.10	“Nagbutengak a nakangngeg iti timekmo iti minuyongan,” insungbat ti lalaki. “Ket naglemmengak gapu ta lamolamoak.”
GEN.3.11	“Siasino ti nangibaga a lamolamoka?” sinaludsod ti Dios. “Nanganka kadi iti bunga nga imparitko a kanem?”
GEN.3.12	“Wen, inikkannak ti babai nga intedmo a katakunaynayko ket kinnanko,” insungbat ti lalaki.
GEN.3.13	“Apay
GEN.3.13	Insungbatna, “Inallilawnak ti uleg, isu a nasulisogak a nangan.”
GEN.3.14	Kinuna ni Yahweh a Dios iti uleg, “Madusaka gapu iti inaramidmo. Sika laeng kadagiti amin nga animal ti masapul a mangibaklay iti daytoy a lunod: Manipud ita, aguyaska ket tapok ti kanem iti unos ti panagbiagmo. 
GEN.3.15	Pagginnuraenkayto
GEN.3.16	Kinunana iti babai, “Paaduekto ti rigat a sagabaem bayat ti panagsikogmo. Ket ad-addanto pay inton dumteng ti panagpasikalmo. Nupay kasta, kasapulamto latta ti asawam ngem iturayannakanto.”
GEN.3.17	Kinunana
GEN.3.18	Agtubonto dagiti ruruot ken sisiitan ket kapilitanto a manganka kadagiti mula ti talon. 
GEN.3.19	Masapul nga agling-etka ket agtrabahoka iti nadagsen tapno adda ibunga ti daga agingga nga agsublika iti daga a nakaparsuaam. Nabukelka iti tapok ket agsublikanto met laeng iti tapok.” 
GEN.3.20	Eva
GEN.3.21	Ket nangaramid ni Yahweh a Dios kadagiti pagan-anay a lalat a pinangkawesna kada Adan ken Eva.
GEN.3.22	Kalpasanna,
GEN.3.23	Ngarud, pinagtalaw ni Yahweh a Dios ti tao iti minuyongan ti Eden ket pinagtrabahona iti daga a nagtaudanna. 
GEN.3.24	Iti bangirna't daya ti minuyongan, nangikabil kadagiti narungsot nga animal a nagpayak. Nangikabil pay iti sumsumged a kampilan tapno awan umasideg iti kayo ti biag.
GEN.4.1	Kinaidda ni Adan ni Eva nga asawana ket nagsikog ti babai. Nangipasngay iti lalaki ket kinunana, “Babaen iti tulong ti 
GEN.4.2	Iti saan a nabayag, nangipasngay iti sabali nga anak a lalaki, ni Abel. Nagbalin ni Abel nga agpaspastor, ngem nagbalin a mannalon ni Cain.
GEN.4.3	Naglabas ti tiempo. Nangala ni Cain kadagiti apitna ket indatagna a kas daton ken ni Yahweh. 
GEN.4.4	Innala
GEN.4.5	ngem linaksidna ni Cain ken ti datonna. Kasta unay ti pungtot ni Cain ket uray la nagrupanget. 
GEN.4.6	Kinuna ni Yahweh ken ni Cain, “Apay nga agpungtotka? Apay a kasta ti rupam? 
GEN.4.7	No naimbag ti inaramidmo, umis-isemka koma. Ngem gapu ta nagaramidka iti dakes, mayarig ti basol iti demonio nga agur-uray a mangkemmeg kenka. Kayatnaka nga iturayan ngem masapul a parmekem.”
GEN.4.8	Kinuna
GEN.4.9	Sinaludsod ni Yahweh ken ni Cain, “Sadino ti ayan ni Abel a kabsatmo?”
GEN.4.9	“Diak ammo,” insungbatna. “Apay, siak aya koma ti mangay-aywan iti kabsatko?”
GEN.4.10	Ket
GEN.4.11	Mailunodka ket dimon mabalin a talonen daytoy a daga, ta inungapna ti ngiwatna a nangawat iti dara ni kabsatmo idi pinataymo. 
GEN.4.12	No mulaam ti daga, awanto ti maapitmo. Awanto ti masnop a pagtaengam ket agalla-allakanto iti daga.”
GEN.4.13	Ket kinuna ni Cain ken ni Yahweh, “Nadagsen unay kaniak daytoy a pannusa. 
GEN.4.14	Ita ta pinagtalawnakon iti daytoy a daga tapno adayoak iti imatangmo, agkalkallautang ken agalla-allaakto. Papatayennakto ti siasinoman a makakita kaniak.”
GEN.4.15	Ngem insungbat ni Yahweh, “Saan a mapasamak dayta.
GEN.4.16	Pimmanaw ngarud ni Cain iti imatang ni Yahweh ket napan nagnaed iti daya ti Eden, iti lugar a maaw-awagan iti Nod.
GEN.4.17	Naaddaan ni Cain ken ti asawana iti anak a lalaki a pinanagananda iti Enoc. Nangbangon ni Cain iti siudad sana impanagan iti anakna. 
GEN.4.18	Adda anak ni Enoc a napanaganan iti Irad. Isu ti ama ni Mehujael nga ama ni Metusael nga ama ni Lamec. 
GEN.4.19	Dua ti assawa ni Lamec, da Ada ken Zilla. 
GEN.4.20	Impasngay ni Ada ni Jabal. Ni Jabal ti kapuonan dagiti agpaspastor ket agnaedda kadagiti tolda. 
GEN.4.21	Kabsatna ni Jubal a kapuonan ti amin nga tumutokar iti arpa ken flauta. 
GEN.4.22	Inyanak ni Zilla ni Tubal Cain a nagaramid kadagiti amin a kita ti alikamen
GEN.4.23	Kinuna ni Lamec kadagiti assawana,
GEN.4.23	“Ada ken Zilla, denggendak.
GEN.4.23	Adda lalaki nga agtutubo a pinatayko.
GEN.4.23	Kinabilnak isut' gapuna nga inuloyak.
GEN.4.24	No pito a biag ti maipatli a kas sukat ti biag ni Cain,
GEN.4.24	pitopulo ket pito a biag ti maipatli no patayendak.”
GEN.4.25	Naaddaan ni Adan ken ti asawana iti sabali nga anak a lalaki. Kinuna ti asawana, “Pinaraburannak ti Dios iti anak a sukat ni Abel a pinatay ni Cain.” Ngarud, pinanagananna iti Set.
GEN.4.26	Naaddaan ni Set iti anak a lalaki a pinanagananna iti Enos. Iti dayta a tiempo, rinugian dagiti tattao nga aramaten ti nagan ni Yahweh iti panagdaydayawda.
GEN.5.1	Daytoy
GEN.5.2	Nangparsua
GEN.5.3	Idi agtawen ni Adan iti 130, naparaburan iti anak a lalaki a kas kenkuana, ket pinanagananna iti Set. 
GEN.5.4	Nagbiag pay ni Adan iti 800 a tawen. Adda pay dadduma nga annakna. 
GEN.5.5	Natay idi agtawen iti 930.
GEN.5.6	Idi agtawen ni Set iti 105, naparaburan iti anak a lalaki a pinanagananna iti Enos. 
GEN.5.7	Nagbiag pay iti 807 a tawen. Adda pay dadduma nga annakna. 
GEN.5.8	Natay idi agtawen iti 912.
GEN.5.9	Idi agtawen ni Enos iti 90, naparaburan iti anak a lalaki a pinanagananna iti Kenan. 
GEN.5.10	Nagbiag pay iti 815 a tawen. Adda pay dadduma nga annakna. 
GEN.5.11	Natay idi agtawen iti 905.
GEN.5.12	Idi agtawen ni Kenan iti 70, naparaburan iti anak a lalaki a pinanagananna iti Mahalalel. 
GEN.5.13	Nagbiag pay iti 840 a tawen. Adda pay dadduma nga annakna. 
GEN.5.14	Natay idi agtawen iti 910.
GEN.5.15	Idi agtawen ni Mahalalel iti 65, naparaburan iti anak a lalaki a pinanagananna iti Jared. 
GEN.5.16	Nagbiag pay iti 830 a tawen. Adda pay dadduma nga annakna. 
GEN.5.17	Natay idi agtawen iti 895.
GEN.5.18	Idi agtawen ni Jared iti 162, naparaburan iti anak a lalaki a pinanagananna iti Enoc. 
GEN.5.19	Nagbiag pay iti 800 a tawen. Adda pay dadduma nga annakna. 
GEN.5.20	Natay idi agtawen iti 962.
GEN.5.21	Idi agtawen ni Enoc iti 65, naparaburan iti anak a lalaki a pinanagananna iti Matusalem. 
GEN.5.22	Nagbiag ni Enoc a nakikadkadua iti Dios iti 300 a tawen. Adda pay dadduma nga annakna. 
GEN.5.23	Kalpasanna, nagbiag pay iti 365 a tawen.
GEN.5.24	Nagbiag
GEN.5.25	Idi agtawen ni Matusalem iti 187, naparaburan iti anak a lalaki a pinanagananna iti Lamec. 
GEN.5.26	Nagbiag pay iti 782 a tawen. Adda pay dadduma nga annakna. 
GEN.5.27	Natay idi agtawen iti 969.
GEN.5.28	Idi agtawen ni Lamec iti 182, naparaburan iti anak a lalaki. 
GEN.5.29	Kinuna ni Lamec, “Manipud iti daga nga inlunod ti 
GEN.5.30	Nagbiag pay ni Lamec iti 595 a tawen. Adda pay dadduma nga annakna. 
GEN.5.31	Natay idi agtawen iti 777. 
GEN.5.32	Agtawen ni Noe iti 500 idi naparaburan iti tallo nga annak a lallaki: da Sem, Ham ken Jafet.
GEN.6.1	Napuskolen
GEN.6.2	Idi makita dagiti nailangitan a parsua
GEN.6.3	Kinuna ni Yahweh, “Diak ipalubos nga agbiag iti agnanayon dagiti tattao
GEN.6.4	Kadagidi
GEN.6.5	Nakita
GEN.6.6	Nagbabawi iti panangaramidna kadakuada ken ti panangisaadna kadakuada iti daga. 
GEN.6.7	Kinuna ni Yahweh, “Pukawek dagitoy a tattao a pinarsuak, dagiti animal ken dagiti tumatayab. Agbabawiak a nangaramid kadakuada.” 
GEN.6.8	Ngem ni laeng Noe ti nasayaat iti imatangna.
GEN.6.9+GEN.6.10	Daytoy
GEN.6.11	Ngem nagbalin a dakes dagiti amin a tattao iti imatang ti Dios ket nagwaras ti kinadakes iti amin a lugar. 
GEN.6.12	Nakita ti Dios a dakes ti kasasaad ti lubong ken dakes met ti panagbiag dagiti tattao.
GEN.6.13	Kinuna ti Dios ken ni Noe, “Inkeddengko a pukawen ti amin a tattao. Aglablabesen ti kinaranggas iti lubong gapu iti dakes nga aramidda. Dadaelek ida a mamimpinsan ken ti lubong. 
GEN.6.14	Mangalaka kadagiti tarikayo a sedro ket mangaramidka iti dakkel a daong nga addaan kadagiti kuarto. Pastaam iti alketran iti uneg ken iti ruar. 
GEN.6.15	Aramidem a 133 a metro ti kaatiddog, 22 a metro ti kaakaba ken 13 a metro ti kangatona. 
GEN.6.16	Ikkam iti atep nga 44 a sentimetro ti ngatngatoanna kadagiti diding. Aramidem a tallo a kadsaaran ket ikkam iti ridaw ti sikigan. 
GEN.6.17	Layusek ti daga tapno mapukaw amin a parsua. Matayto amin nga adda biagna iti rabaw ti daga. 
GEN.6.18	Ngem makitulagak kenka. Lumugankayo iti daong—sika, ti asawam, dagiti annakmo ken dagiti assawada. 
GEN.6.19+GEN.6.20	Ikuyogmo ti sangapagassawaan ti amin a kita ti animal ken ti amin a kita ti tumatayab ket dimo baybay-an a matayda. 
GEN.6.21	Mangalaka iti amin a kita ti taraon nga agpaay kadakayo, kasta met kadakuada.”
GEN.6.22	Inaramid
GEN.7.1	Kinuna ni Yahweh ken ni Noe, “Sumrekkayo a sangafamiliaan iti daong. Nasarakak a sika laeng ti nalinteg ditoy lubong. 
GEN.7.2	Mangikuyogka iti pito a pagassawaan iti amin a kita ti animal a maibilang a nadalus ken sangaparis iti amin a saan a maibilang a nadalus. 
GEN.7.3	Mangikuyogka met iti pito a paris ti amin a kita ti tumatayab. Aramidem daytoy tapno mataginayon ti amin a kita ti animal ken tumatayab ket umadudanto manen iti rabaw ti daga. 
GEN.7.4	Pito nga aldaw manipud ita, pagtudoek nga agpaut iti 40 nga aldaw ken rabii tapno mapukaw ti amin a sibibiag a parsua.” 
GEN.7.5	Ket inaramid ni Noe ti amin nga imbilin ni Yahweh.
GEN.7.6	Agtawen ni Noe iti 600 idi malayus ti daga. 
GEN.7.7	Naglugan
GEN.7.8+GEN.7.9	Kas imbilin ti Dios, inkuyogna ti pagassawaan ti amin a kita ti animal ken tumatayab, maibilangda man a nadalus wenno saan. 
GEN.7.10	Dimteng ti layus kalpasan ti pito nga aldaw.
GEN.7.11	Agtawenen
GEN.7.12	ket nagtudo iti unos ti 40 nga aldaw ken rabii. 
GEN.7.13	Iti dayta met la nga aldaw, limmugan ni Noe ken ti asawana iti daong. Kaduada dagiti tallo nga annakda—da Sem, Ham ken Jafet ken dagiti assawada. 
GEN.7.14	Limmugan met ti amin a kita ti animal, naamo ken naatap, dagiti agkarkarayam ken dagiti agkarkaradap ken amin a kita ti tumatayab. 
GEN.7.15	Kas imbilin ti Dios, sangapagassawaan ti tunggal kita ti sibibiag a parsua ti inkuyog ni Noe iti daong. 
GEN.7.16	Kalpasanna, rinikpan ni Yahweh ti ruangan ti daong.
GEN.7.17	Uppat a pulo nga aldaw a nagpaut ti layus. Dimmakkel ti danum agingga a timpaw ti daong. 
GEN.7.18	Idi umadalem nga umadalem, nayan-anud ti daong. 
GEN.7.19	Nagtultuloy a dimmakkel ti danum agingga a natinep dagiti kangatoan a bantay. 
GEN.7.20	Immadalem nga immadalem ket ngimmato ti danum iti pito a metro iti labes ti tuktok dagiti bantay. 
GEN.7.21	Natay amin a nabiag iti rabaw ti daga—dagiti tumatayab, dagiti animal ken amin a tattao. 
GEN.7.22	Natay amin nga adda angesna ditoy daga. 
GEN.7.23	Pinukaw ni Yahweh ti amin a sibibiag ditoy daga—tao, animal ken tumatayab, malaksid ni Noe ken dagiti kakaduana iti daong. 
GEN.7.24	Saan a nagimbaas ti danum iti uneg ti 150 nga aldaw.
GEN.8.1	Saan a nalipatan ti Dios ni Noe ken dagiti amin nga animal a kaduana iti daong. Pinaganginna ket nangrugi a bimmassit ti danum. 
GEN.8.2	Narikpan dagiti ubbog iti uneg ti daga ken dagiti ruangan ti danum iti tangatang. Nagsardeng ti tudo, 
GEN.8.3	ket nain-inut a nagimbaas ti danum iti unos ti 150 nga aldaw. 
GEN.8.4	Iti maika-17 nga aldaw iti maikapito a bulan, naisadsad ti daong iti kabambantayan ti Ararat. 
GEN.8.5	Nagtuloy a bimmaba ti danum ket iti umuna nga aldaw ti maika-10 a bulan, nagparang ti tuktok dagiti bantay.
GEN.8.6	Kalpasan ti 40 nga aldaw, nangilukat ni Noe iti maysa a tawa ti daong 
GEN.8.7	ket nangibulos iti wak. Saan a nagsubli ti wak ngem nagtayab a naglawlawlaw agingga iti awanen ti danum. 
GEN.8.8	Kabayatanna, nangipatayab ni Noe iti kalapati tapno kitaenna no imbaasen ti danum. 
GEN.8.9	Ngem gapu ta natinep pay laeng ti daga, awan ti nasarakan ti kalapati a pagdissoanna. Nagsubli iti daong ket tiniliw ni Noe sana insubli iti uneg. 
GEN.8.10	Pinalabas ni Noe ti pito nga aldaw sana manen imbulos ti kalapati. 
GEN.8.11	Iti sumipnget, nagsubli kenkuana ti kalapati. Adda nalangto a bulong ti olibo iti sippit ti kalapati. Daytoy ti nakaammoan ni Noe a bimmaban ti danum. 
GEN.8.12	Pinalabasna manen ti pito nga aldaw sana impatayab ti kalapati. Saanen a nagsubli ti tumatayab.
GEN.8.13	Agtawen idin ni Noe iti 601. Iti umuna nga aldaw ti umuna a bulan, inikkat ni Noe ti atep ti daong, inwarasna ti panagkitana ket nakitana nga agmagmagan ti daga. 
GEN.8.14	Iti maika-27 nga aldaw ti maikadua a bulan, namagaanen a namimpinsan ti daga.
GEN.8.15	Kinuna ti Dios ken ni Noe, 
GEN.8.16	“Rummuarkayon nga agassawa agraman dagiti annakmo ken dagiti assawada. 
GEN.8.17	Paruarem met dagiti amin a tumatayab ken animal; bay-am nga umaduda tapno agwarasda iti rabaw ti daga.”
GEN.8.18	Rimmuar ngarud iti daong ni Noe, ti asawana, dagiti annakda ken dagiti assawada. 
GEN.8.19	Rimmuar met dagiti amin nga animal ken tumatayab. Nagrupo-grupoda segun ti klaseda.
GEN.8.20	Nangbangon ni Noe iti altar a maipaay ken ni Yahweh. Nangala iti saggaysa kadagiti maibilang a nadalus nga animal ken tumatayab sana pinuoran dagitoy iti altar a kas daton. 
GEN.8.21	Nalang-ab ni Yahweh ti nabanglo nga ayamuom ti sakrifisio ket kinunana iti nakemna, “Pulos a diakton ilunod ti daga gapu iti aramid ti tao. Ammok a dakes ti panunotna manipud kinaubingna. Diakton dadaelen ti aniaman nga adda biagna a kas iti inaramidko.
GEN.8.22	No la ket adda ti lubong,
GEN.8.22	addanto latta tiempo ti panagmula ken tiempo ti panagapit;
GEN.8.22	addanto latta panawen ti lam-ek ken panawen ti pudot,
GEN.8.22	panawen ti kalgaw ken panawen ti tudtudo.
GEN.8.22	Addanto latta aldaw ken rabii.”
GEN.9.1	Binendisionan
GEN.9.2	Kabutengdakayto dagiti amin nga animal, tumatayab ken ikan. Mayawatda amin iti turayyo. 
GEN.9.3	Ita, mabalinyo a kanen dagitoy, kasta met dagiti nalangto a mula. Itedko amin dagitoy a taraonyo. 
GEN.9.4	Adda
GEN.9.5	No adda mangpatay iti tao, patayek met, uray ti animal. Patayek met ti siasinoman a mangpatay iti padana a tao. 
GEN.9.6	Siasinoman
GEN.9.7	“Masapul
GEN.9.8	Kinuna ti Dios ken ni Noe ken kadagiti annakna, 
GEN.9.9	“Ita, makitulagakon kadakayo ken kadagiti kaputotanyo 
GEN.9.10	ken kadagiti amin nga adda biagna—amin a tumatayab, ken amin nga animal—amin a kinaduam a rimmuar iti daong. 
GEN.9.11	Daytoy ti pagtutulagantayo: Ikarik a saankonton a pukawen ti amin a sibibiag—awanton ti layus a mangdadael iti daga. 
GEN.9.12	Kas pakakitaan iti agnanayon a tulagko kadakayo ken iti amin nga adda biagna, 
GEN.9.13	ikabilko ti bullalayawko iti ulep. Daytoy ti tanda ti pannakitulagko iti lubong. 
GEN.9.14	Tunggal adda ulep iti tangatang ket agparang ti bullalayaw, 
GEN.9.15	laglagipekto ti karik kadakayo ken kadagiti animal nga awanton ti layus a mangpukaw kadagiti amin a parsua. 
GEN.9.16	No agparang ti bullalayaw iti ulep, makitakto ket malagipko ti agnanayon a pannakitulagko kadagiti amin a sibibiag a parsua iti daga.”
GEN.9.17	Kinuna ti Dios ken ni Noe, “Daytoy ti pagilasinan ti tulagko kadagiti amin a sibibiag a parsua.”
GEN.9.18	Adtoy dagiti annak ni Noe a kinaduana iti daong: da Sem, Ham ken Jafet. (Ni Ham ti tatang ni Canaan.) 
GEN.9.19	Isuda a tallo ti kapuonan dagiti amin a tattao ditoy daga. 
GEN.9.20	Mannalon ni Noe ket isu ti immuna a nagmula iti ubas. 
GEN.9.21	Iti naminsan, nabartek iti yiinumna iti arak ti ubas; inuksobna ti pagan-anayna sa nagidda a lamolamo iti toldana. 
GEN.9.22	Idi nakita ni Ham a lamolamo ti amana, napanna imbaga kadagiti dua a kakabsatna. 
GEN.9.23	Nangala da Sem ken Jafet iti kagay ket inyabadayda kadagiti abagada. Simrekda a sitatallikud iti tolda sada inabbongan ti bagi ni tatangda; saanda a simmango tapno saanda a makita a lamolamo. 
GEN.9.24	Idi namunawan ni Noe ket naammoanna ti inaramid ti inaudi nga anakna, 
GEN.9.25	kinunana,
GEN.9.25	“Mailunod koma ni Canaan!
GEN.9.25	Agbalinto a tagabu dagiti kakabsatna.
GEN.9.26	Madaydayaw ti 
GEN.9.26	Agbalinto ni Canaan a tagabu ni Sem.
GEN.9.27	Palawaen koma ti Dios ti sakup ni Jafet.
GEN.9.27	Makipagnaed koma dagiti kaputotanna kadagiti tattao ni Sem.
GEN.9.27	Agbalinto ni Canaan a tagabu ni Jafet.”
GEN.9.28	Tallo gasut ket limapulo a tawen ti panagbiag ni Noe kalpasan ti layus. 
GEN.9.29	Agtawen iti 950 idi matay.
GEN.10.1	Dagitoy dagiti kaputotan da Sem, Ham ken Jafet nga annak ni Noe, kalpasan ti layus. 
GEN.10.2	Dagiti lallaki nga annak ni Jafet—Gomer, Magog, Madai, Javan, Tubal, Mesec ken Tiras—dagiti naganda ti naisurat kadagiti tribu a kaputotanda. 
GEN.10.3	Ni Gomer ti nagtaudan dagiti tattao ti Askenaz, Rifat ken Togarma. 
GEN.10.4	Kaputotan ni Javan dagiti tattao ti Elisa, Tarsis, Cyprus ken Rodes. 
GEN.10.5	Isuda dagiti kapuonan dagiti agnaed iti igid ti baybay ken kadagiti isla. Dagitoy dagiti kaputotan ni Jafet nga agnaed kadagiti bukodda a tribu ken il-ili ken addaan iti bukod a pagsasao.
GEN.10.6	Dagiti lallaki nga annak ni Ham—Cus, Egipto, Put ken Canaan—ti kapuonan dagiti tattao a napanaganan kadagiti naganda. 
GEN.10.7	Ni Cus ti nagtaudan dagiti tattao ti Seba, Havila, Sabta, Raama ken Sabteca. Ni Raama ti nagtaudan dagiti tattao ti Seba ken Dedan. 
GEN.10.8	Naaddaan ni Cus iti anak a lalaki nga agnagan Nimrod a nagbalin nga immuna a maingel a mannakigubat iti lubong. 
