MAT.1.1	Ninteh iwejkatatawah n Cristo Jesús, non walewatok itech David iwa noijki walewatok itech Abraham.
MAT.5.18	De milajka nomechilia, n ilwikak iwan tlaltíkpaktli pojpoliwiskeh, pero nochi tlan ijkuilitok, maya tlan okachi tsijtsikitsi, saman mochiwas. 
MAT.5.19	Yika, akin amo kintlakita seme de ninteh tlanawátilteh, maya amo okachi ipati, iwa ijkó kitemachtia, non tlakatl kitaskeh kemi se non amo okachi ipati kan Dios tlanawatia. Pero tla aka kintlakitas nochteh n tlanawátilteh iwa kinmachtis oksikimeh makintlakitakah, yetos weyi kan Dios tlanawatia. 
MAT.5.20	Ne nomechilia, tla amo nonkichiwah tlan Dios kineki, amo nonkalakiskeh ilwikak kan Dios tlanawatia. Moneki nonkiyekchiwaskeh nochi ni, iwa amo tlan okitemachtijkeh n fariseos iwa non kitemachtiah intlanawatil.
MAT.5.21	'Xikilnamikikah yowejka Moisés okinmilijkah nomotatawah: “Amo xitemikti, porke akin temiktis trato kitlajtlakolmakaskeh.” 
MAT.5.22	Ne nomechilia: Nochi akin kikualankaita se ikni, moneki makitlajtlakoltikah. Iwa akin kilia ikni amo kipia ikuatetex, kitlajtlakolmakaskeh kan Sanedrín.
MAT.5.23	'Noiwa, tla ya tio tiktemakati motlamanal itech artal iwa tikilnamiki amo timowika iwan mokni, 
MAT.5.24	ompa xikkawa motlamanal iyakapa n artal iwa achto xio ximotlapojpolwiti iwa mokni. Ijkuakó ya weletis tiwalmokopas kan artal iwa tikyektemakas motlamanal.
MAT.5.25	'Tla aka mitsteilia iwa kijtoa itla tikwikilia, ximoyekkawa íwa, para amo mamitstemakti imak tekiwa, tlamó n tekiwa tlanawatis mamitstsakuakah. 
MAT.5.26	De milajka nimitsilia, amo tikisas de ompa asta ijkuak yotiktlaxtla nochi tlan mitstlajtlanilia.
MAT.5.27	'Nomejwah yononkikakeh tlan achto omijto: “Amo xikinpapatla siwameh.” 
MAT.5.28	Ne nomechilia, nochi tlakatl non kelewia se siwatl non amo iaxka, kijtosneki yokimomekati itech iyolo.
MAT.5.29	'Noiwa, tla moixtololo non kajki moyekma mitstoktia xitlajtlakolchiwa, wejka xiktlamotla. Okachi kuali xikpolo itla de mokuerpo, iwa amo nochi mokuerpo makontlamotlakah miktla. 
MAT.5.30	Iwa tla momayekma mitstoktia xitlajtlakolchiwa, xikmotekili iwa wejka xikontlamotla. Okachi kuali xikpolo itla de mokuerpo, iwa amo nochi mokuerpo makontlamotlakah miktla.
MAT.5.31	'Moisés okijkuilo: “Akin mosiwakajkawa, moneki makimaka isiwa se amatl non makichijto kikajkawa isiwa.” 
MAT.5.32	Ne nomechilia: tla se tlakatl kikajkawa isiwa, maya isiwa amo kema omomekati, non tlakatl kitopejtok isiwa mamomekatijtinemi. Iwa akin monamiktia iwa non siwatl, san kimomekatijtok.
MAT.5.33	'Nomejwah yononkikakeh yowejka Dios okinmili nomotatawah: “Tla itla yotiksentlalili Dios, moneki tikchiwas.” 
MAT.5.34	Axa Ne nomechilia, amitla xiksentlalikah: nion por ilwikak, porke Dios ompa yayantitok. 
MAT.5.35	Nion xiksentlalikah por nin tlaltíkpaktli, porke ompa kan Dios kinsewijtok ikxiwah. Nion xiksentlalikah por Jerusalén, porke non altepetl iaxka n Weyi Rey. 
MAT.5.36	Nion amo ximotlajtolsentlali por motsonteko, porke amo tiweletis tiktlilewiltis nion tikistayaltis nion se motsonkal. 
MAT.5.37	Tla itla nonkichiwaskeh san xikijtokah tla “ejé”, “ejé”, noso tla “amó”, “amó”, porke nochi tlan amo milák nonkajxitiliskeh, walewatok itech amokualitlakatl.
MAT.5.38	'Nomejwah yononkikakeh kan Moisés okijkuilo: “Tla aka mitskopinilia moixtololo, makikopinilikah ye noiwa. Tla aka tetlantepewa, makitlantepewakah ye noiwa.” 
MAT.5.39	Pero axa Ne nomechilia: Amo xikmokopilikah ijkuak itla amo kuali nomechtoktiah. Yej, tla aka mitsixtlatsinia xikkawili mamitsixtlatsini iojkatia moixko. 
MAT.5.40	Tla aka mitsteilia para mitskixtilis motlake, xikkawili noiwa mamitskixtili mokoto. 
MAT.5.41	Iwa tla aka mitstoktia xikwikili itlamamal se kilómetro, te xikwikili ome kilómetro. 
MAT.5.42	Akin mitstlajtlanilis itla, xikmaka. Iwa akin mitstlanewilis itla, xiktlaneti.
MAT.5.43	'Noiwa yononkikakeh tlan yomijto: “Xiktlasojtla non mitstlasojtla, iwa xikkokoli non mitskokolia.” 
MAT.5.44	Pero Ne nomechilia: Xikintlasojtlakah akimeh nomechkokoliah, iwa xiktlajtlanilikah Dios makintiochiwa akimeh nomechtotojtokah. 
MAT.5.45	Ijkó nomejwah nonyetoskeh ipilwah n Totajtsi Dios non kajki ilwikak. Ye kichiwa makisa n tonati impa non kichiwah tlan kuali iwa kichiwah tlan amo kuali. Iwa kualtitlani n kiawitl impa n kualteh tlakah iwa n tlakah non amo kualteh. 
MAT.5.46	Porke tla nomejwah nonkintlasojtlah sanwel akimeh nomechtlasojtlah, ¿tlan tlaxtláwili nonkiseliskeh ika noni? N tominoololojkeh noijkó kichiwah. 
MAT.5.47	Iwa tla san nonkintlajpaloah nomokniwah, ¿amo nonkichiwah tlan oksikimeh kichiwah? Non amo kixmatih Dios, noijkó kichiwah. 
MAT.5.48	Nomejwah xiyetokah non milajkameh, ijkó kemi Nomotajtsi Dios non kajki ilwikak.
MAT.6.1	'Ijkuak nomejwah nonkichiwaskeh itla kuali, amo xiktematiltikah ixpa n tlakah, porke tla ijkó nonkichiwah, Dios ayakmó nomechmakas nomotlatliokolil kan ilwikak. 
MAT.6.2	Yika, ijkuak itla tikintliokolis n próbesteh, amo xiktematiltijtinemi kemi kichiwah non kipiah ome imixko. Yejwah kinekih makinmitakah itech sinagogas iwa itech ojtli yejwah milák kitemoah Dios, iwa ijkó kuali matlajtokah de yejwah. Pero de milajka nomechilia, Dios mach ok itla kintliokolis nonteh tlakah. 
MAT.6.3	Pero ijkuak te itla tiktetliokolis, amaka xiktlapowi.
MAT.6.4	Ijkó motlatliokolil yetos san ichtaka, iwa Dios n Teta non kita nochi tlan tikchiwa san ichtaka, Ye mitsmakas motlatliokolil.
MAT.6.5	'Ijkuak nomejwah nonmotiotsajtsiliskeh, amo xikchiwakah tlan kichiwah n íxkopteh, yejwah kiwilitah makinmitakah ijkuak motiotsajtsiliah. Yika motiotsajtsiliah moketokeh itech sinagogas iwa itech ojmeh kan panoah miakeh tokniwah. Kuali xikmatikah, san ijkó kipiaskeh intlatliokolil. 
MAT.6.6	Ijkuak timotiotsajtsilis, xikchiwa moselti. Xikalaki mocha, ximokaltsakua iwa ompa ximotlapowi san ichtaka iwa n Dios Motajtsi, iwa Ye mitsmakas tlan tiktlajtlanilis san ichtaka.
MAT.6.7	'Iwa ijkuak nonmotiotsajtsiliskeh, amo san ompa xikojpatilijtokah nomotlajtol kemi kichiwah non amo kixmatih Dios, yejwah kimoliah tla san ompa kojpatilijtoskeh intlajtol, Dios okachi kinkakis. 
MAT.6.8	Nomejwah amo xikchiwakah kemi yejwah kichiwah, porke Totajtsi Dios ya kimatok tlan nomechpoloa achto de nonkitlajtlaniliskeh. 
MAT.6.9	Yika, nomejwah ijkí moneki ximotiotsajtsilikah:
MAT.6.9	Totajtsi Dios non timoitstika ilwikak,
MAT.6.9	nochipa makiyektenewakah motoka.
MAT.6.10	Xiwalmuika xitlanawatiki,
MAT.6.10	mamochiwa tlan Tejwatsi tikmonekiltia itech nin tlaltíkpaktli,
MAT.6.10	ijkó kemi mochiwa kan ilwikak.
MAT.6.11	Techmaka nochi tonati tlan tikmomajsewiskeh.
MAT.6.12	Techintlapojpolwili totlajtlakolwah,
MAT.6.12	ijkó kemi tejwah noiwa tikintlapojpolwiah akimeh techtoktiah tlan amo kuali.
MAT.6.13	Amo xiktekawili matechyoltilana n tlajtlákoli,
MAT.6.13	yej techmakixti imak n amokualitlakatl.
MAT.6.14	'Tla nomejwah nonkintlapojpolwiah non nomechtoktiah tlan amo kuali, Nomotajtsi non kajki ilwikak noiwa nomechtlapojpolwis. 
MAT.6.15	Pero tla amo nonkintlapojpolwiah n tlakah, noiwa Nomotajtsi amo nomechtlapojpolwis.
MAT.6.16	'Ijkuak nomejwah nonmosawaskeh, amo xiiknotlachiakah kemi kichiwah non íxkopteh. Yejwah iknotlachiah san para makinmitakah mosaujtokeh. Ne nomechilia, sanwel noni yetos intlatliokolil. 
MAT.6.17	Yika, ijkuak te timosawas, ximotejtema iwa ximixami, 
MAT.6.18	para amaka makimati kox timosaujtok. Sanwel Dios Motajtsi, Akin kimati nochi tlan se kitlatijtok itech iyolo, Ye kimati timosaujtok iwa mitsmakas motlatliokolil.
MAT.6.19	'Amo xikoololokah miak tomi itech nin tlaltíkpaktli kan tlakuakualoa iwa tlapoxkawi, iwa n ichtekeh techankalakih iwa tetlachtekiah. 
MAT.6.20	Yej xikoololokah itech ilwikak tlan milák ipati. Ompa amo weletis kuakualos iwa amo poxkawi, nion ichtekeh weleti kalakih. 
MAT.6.21	Kan kajki tlan momejwah nonkimoliah ipati, ompa kajki nomoyolo.
MAT.6.22	'Nomoixtololowah kateh kemi se tláwili non kitlawiliah nomokuerpo. Yika, tla nomoixtololowah chipawatokeh, kuali kitlawilijtoskeh nochi nomokuerpo. 
MAT.6.23	Pero tla nomoixtololowah tlajtlakolchiwah, nochi nomokuerpo kajki kan tleyua. Iwa tla motlawil ayakmó tlawia, kijtosneki nonkateh kan sentleyua, ¡saikpanoa tliliktik yetos non sentleyuálistli nomotech!
