MAT.1.1	Chitabu cha lukolo lwa Yesu Kiristu, mtsukulu wa Daudi, iyakalile mtsukulu wa Abrahamu. 
MAT.1.18	Ukwelekighwa kwa Yesu Kiristu tsakukala pfino, Mariya mai wake Yesu tsakalapfighwa tsengele na Yosefu, lekeni ng'ana wawase hamwe bae, Mariya tsakoneka kana inda kwa uwetso wa Ghumuhe Mwenzeluka. 
MAT.1.19	Kwaapfila Yosefu tsakakala imunu yanoghile, ng'abamile bae kumghela ichinyala Mariya, apfo kabama yamleke chinyelenyele. 
MAT.1.20	Hang'ali yakwalangula chinu acho, Malaika kamlawila mndoto kamlongela, “Yosefu mwana wa Daudi, uleke kupfuka kumsola Mariya yawe mwehe wako, kwaapfila inda yake ilawa kwe Ghumuhe Mwenzeluka. 
MAT.1.21	Katsakwelekela imwana mmale, naghwe kutsomwing'a taghwa Yesu. Kwaapfila katsowakombola iwanu wake kulawa mne nzambi tsawo.”
MAT.1.22	Ghose ghano ghalawila kutimilitsa aghala ghayalongile Imtwatsa kubitila nabii,
MAT.1.23	“Mwali ng'ana yawase na mmale katsokinda inda,
MAT.1.23	katsomweleka imwana,
MAT.1.23	nawo watsomkema Imanweli!
MAT.1.23	Mana yake, Imulungu kahamwe na twetwe.”
MAT.1.24	Apfo Yosefu hayalamke katenda ka malaika pfayamlongele, kamsola Mariya, mwehe wake. 
MAT.1.25	Lekeni ng'awasile naye bae mbaka hayeleke imwana. Yosefu kamwing'a litaghwa imwana ayo Yesu.
MAT.2.1	Yesu tsakoneka mne ghumji ghwa Betilehemu mne isi ya Yudeya, ghamatsuwa ghala Herodi hakalile Imndewa. Iwanu iwomanya igholawila kwa kulola tsinondo iwalawile ubali wa kwalilawila litsua tsawatsa Yerusalemu, 
MAT.2.2	waghutsa, “Yalikwani imndewa wa Wayahudi yelekighwe? Tuyona inondo yake kulawa ubali wa kwalilawila litsua, kuya tutsa kumtamanila.”
MAT.2.3	Imndewa Herodi na iwanu wose iwali Yerusalemu hawahulike apfo, tsawaghanzika. 
MAT.2.4	Herodi kawakema hamwe iwatambika wakulu na iwolangulitsa Ghamalaghitso, kawaghutsa, “Kiristu Mkombotsi yatsakonekela kwani?”
MAT.2.5	Wamwidika, “Katsakonekela Betilehemu mne isi ya Yudeya, kwaapfila yandikighwa na nabii, 
MAT.2.6	‘Naghwe Betilehemu yuli mne isi ya Yuda, ng'auli mdodo bae mne ipfilongotsi wa Yudeya, kwaapfila kuna ghweghwe katsolawila chilongotsi, naye katsokuwa imdimi we iwanu wangu we Isiraeli.’ ”
MAT.2.7	Kuya Herodi kawakema chinyelenyele awala iwanu iwomanya igholawila kwa kulola tsinondo ili wamlongele inondo tsailawile tsuwachi. 
MAT.2.8	Kuya kawatuma Betilehemu, kawalongela, “Mghende mkabame pfinoghile kwayali imwana. Baho hamtsomwona muye mnilongele ili na nene nighende nikamtamanile.”
MAT.2.9	Nawo hawamalitse kumhulikitsa imndewa tsawoka, na inondo iyawonile kulawa ubali wa kwalilawila litsuwa iwalongotsa na ukwima hanu kwayakalile imwana. 
MAT.2.10	Hawayonile inondo ayo, wadeng'elela sideke. 
MAT.2.11	Apfo wengila mng'anda, wamwona imwana hamwe na Mariya mai wake, nawo wenama hambele hake, wamtamanila. Kuya wapfughula imikoba yawo, wamwing'a nzawadi, nzahabu, upfumba na dawa inoghile iikemighwa manemane.
MAT.2.12	Kuya woya ukaye yawo kwa inzila ingi, kwaapfila Imulungu tsakawakanya mndoto waleke kumuyila Herodi.
MAT.2.13	Iwanu awo hawokile, malaika kamlawila Yosefu mndoto kamlongela, “Winuke, umsole imwana na mai wake, mtsumile Misiri. Mkale ako mbaka hanitsokulongela, kwaapfila Herodi kobama yamkome imwana.” 
MAT.2.14	Apfo Yosefu kalamka, kamsola imwana na mai wake ichilo chicho, waghenda Misiri. 
MAT.2.15	Tsakakala ako mbaka Herodi hayafile. Chinu acho chitendeka ili imbuli yalongile Imtwatsa kubitila nabii itimile, “Tsanimkema mwanangu kulawa Misiri.”
MAT.2.16	Herodi hayatangile ka iwanu iwomanya igholawila kwa kulola tsinondo wamghutsukila, tsakona maya ng'ani. Kalapfa laghitso iwana wose iwamale iwali Betilehemu na awala iwali habehi wakomighwe, iwana iwakalile na miyaka mili na awala ing'awapfikile miyaka mili kulawa litsuwa lila iwanu wala hawayonile inondo. 
MAT.2.17	Kuya achila ichilongighwe na nabii Yeremiya chitimila,
MAT.2.18	“Listi lyohulikighwa ako Rama,
MAT.2.18	chililo cha usungu mkulu,
MAT.2.18	Raheli kowalilila iwanaghe
MAT.2.18	naye kolema kukanzighwa,
MAT.2.18	kwaapfila wose wafa.”
MAT.2.19	Herodi hayafile, malaika we Imtwatsa kamlawila Yosefu mndoto mne isi ya Misiri, 
MAT.2.20	kamlongela, “Winuke, umsole imwana na mai wake muye Isiraeli, kwaapfila awala iwabamile kumkoma imwana, wose ma wafa.” 
MAT.2.21	Apfo Yosefu kenuka, kamsola imwana na mai wake woya Isiraeli. 
MAT.2.22	Lekeni Yosefu hayahulike Akelao kawa mndewa hanu ha Herodi, aba wake ako Yudeya, tsakapfuka kughenda ako, naye kwaapfila kakanyighwa mndoto, tsakaghenda Galilaya, 
MAT.2.23	kuya kakala mne ghumji ghwa Natsareti. Apfo chitimila achila ichilongighwe na manabii,
MAT.2.23	“Katsokemighwa Mnasaleti.”
MAT.3.1	Imiyaka mingi hambele Yohane Mbatitsa tsakaghenda mne inyika ya Yudeya, kandusa kuwapetela iwanu. 
MAT.3.2	Kalonga, “Mtsileke nzambi tsenu kwaapfila Undewa wa kulanga wa habehi!” 
MAT.3.3	Yohane iyo imunu iyalongighwe ne nabii Isaya,
MAT.3.3	“Litsi lye imunu lyokema kunyika,
MAT.3.3	‘Muiyandae inzila ye Imtwatsa,
MAT.3.3	mgholoseleni inzila yake.’ ”
MAT.3.4	Yohane tsakapfala ghamaghwanda ighatendighwe kwe imighala ye ngamiya, na ghumsipi ghwe ingotsi mchuno, chijo chake tsachikala iwanzighe ne uki ye kwibagho. 
MAT.3.5	Iwanu wamghendela kulawa Yerusalemu, Yudeya yose na kulawa mne isi tsose itsili habehi ne ghumto Yoridani. 
MAT.3.6	Watsitoghola nzambi tsawo na kutsileka, naye kawabatitsa mne ghumto Yoridani.
MAT.3.7	Yohane hawonile Mafarisayo na Masadukayo wengi womtsila yawabatitse, kawalongela, “Mwemwe iwana we nzoka! Yuhi yawalongele mwodaha kuhepa ukuhighighwa ne Imulungu ikukutsa? 
MAT.3.8	Mtende aghala igholangusa ka mtsileka nzambi tsenu. 
MAT.3.9	Mleke kwipfikitsa ka mwodaha kuhepa ukuhighighwa ne Imulungu kwa kulonga mwinaye aba wenu Abrahamu. Nomlongelani ghendo, Imulungu kodaha kumtendela Abrahamu iwana kulawa mne ghamabwe ghano. 
MAT.3.10	Hoya ma ikighwa mmasina mwe imibiki, apfo chila mbiki ing'aukweleka ghamatunda ghanoghile woghanighwa na kwasighwa mmoto. 
MAT.3.11	Nene nowabatitsa kwa ghamatsi kulangusa ka mtsileka nzambi tsenu. Lekeni ayo iyakutsa kuchughu kwangu kana ingupfu kubita nene, nene sibamighwa bae hata kughala imikwabatsa yake. Ayo katsowabatitsa kwa Ghumuhe Mwenzeluka na kwa ghumoto. 
MAT.3.12	Lungo lwake lwe ukubetela lwa mmoko mwake. Naye katsokunga uhemba na kuwika mkano, na katsolakatsa mikumvi mne ghumoto ing'aghutsimika bae.”
MAT.3.13	Kuya Yesu kalawa Galilaya, kaghenda ghumto Yoridani kubatisighwa na Yohane. 
MAT.3.14	Lekeni Yohane tsakabama yamghome, kalonga, “Nene nobamighwa nibatitsighwe naghwe, naghwe konitsila nene?” 
MAT.3.15	Yesu kamwidika, “Uleke sambi iwe pfipfo. Kwaapfila twobamighwa kughatenda aghala ghose ghobama Imulungu.” Kuya Yohane katoghola. 
MAT.3.16	Yesu hayamalitse kubatisighwa, bahala kalawa mmatsi. Baho lilanga lipfughuka, kamwona Ghumuhe ghwe Imulungu kohulumka ka njiwa na kumtsila mchanya mwake. 
MAT.3.17	Kuya litsi kulawa kulanga lilonga, “Ayuno Imwanangu iyoninoghela, noghelighwa naye.”
MAT.4.1	Kuya Yesu kalongotsighwa na Ghumuhe we Imulungu mbaka kunyika yaghetsighwe na Yehile. 
MAT.4.2	Tsakafunga ukuja ghamatsuwa alubaini chilo na misi, kuya tsakona nzala. 
MAT.4.3	Baho Setani kamghendela, kamlongela, “Ka ghweghwe kwa Imwana we Imulungu, ghalongele ghamabwe ghano ghawe pfighate.”
MAT.4.4	Yesu kamwidika, “Yandikighwa mne Ghamaandiko Mahenzeluka. ‘Imunu ng'odaha bae kuwa mghima kwa chijo chiliyeka, ila kwa chila imbuli iyolonga Imulungu.’ ”
MAT.4.5	Kuya Setani kamsola Yesu mbaka Yerusalemu, ghumji ghwenzeluke, kamwika mchiswili ghendo mwe Ing'anda ye Imulungu. 
MAT.4.6	Kuya kamlongela, “Ka ghweghwe kwa Imwana we Imulungu, wilaghatse hasi, kwaapfila yandikighwa,
MAT.4.6	‘Imulungu katsowalaghitsa wamalaika wake,
MAT.4.6	nawo watsokukinda kwa ghamoko ghawo,
MAT.4.6	uleke kwilagha mne ghamabwe.’ ”
MAT.4.7	Yesu kamwidika, “Pfipfila yandikighwa, ‘Uleke kumghetsa Imtwatsa Imulungu wako.’ ”
MAT.4.8	Kuya Setani kamsola keli mbaka mne chidando chitali ng'ani, kamlangusa undewa wose we isi na ukulu wose we isi. 
MAT.4.9	Kuya kamlongela, “Ung'enama hambele hangu na kunitamanila, nitsokwing'a ghano ghose.”
MAT.4.10	Yesu kamlongela, “Ghenda Setani! Kwaapfila yandikighwa, ‘Umtamanile Imtwatsa Imulungu wako, umtumikile yeye yaliyeka!’ ” 
MAT.4.11	Kuya Setani kamleka Yesu, na wamalaika watsa wamtumikila.
MAT.4.12	Yesu hayahulike Yohane wamwika mchifungo, koka Galilaya. 
MAT.4.13	Kalawa Natsareti, kaghenda kukala Kaperinaumu, isi iili habehi ne tsimbu lya Galilaya, na iibakane ne isi ya Sabuloni na ya Nafutali. 
MAT.4.14	Achino chitendeka ili achila chayalongile nabii Isaya chitimile,
MAT.4.15	“Isi ya Sabuloni na isi ya Nafutali,
MAT.4.15	inzila ya kughendela mna bahali,
MAT.4.15	kumwambu mwe Yoridani.
MAT.4.15	Galilaya, isi ye iwanu iwali si Wayahudi!
MAT.4.16	“Iwanu iwokala mchisi
MAT.4.16	watsakona ghumwanga.
MAT.4.16	Awala iwokala mne isi ye chimbeho che lifwa
MAT.4.16	ghumwanga ghutsowamwemwesela.”
MAT.4.17	Kulawa matsuwa agho Yesu kanza kuwapetela usenga wake, “Mleke kutenda nzambi, kwaapfila undewa wa kulanga wa habehi.”
MAT.4.18	Yesu hayang'ali yoghenda mmbalimbali mwe tsimbu lya Galilaya, kawona iwandughu weli, Simoni iyakemighwe Petiri na ndughu yake Andereya. Tsawang'ali wolowa iwasomba kwa nyapfu mne tsimbu lya. 
MAT.4.19	Yesu kawalongela, “Mniwinze, nani nitsowatenda muwe iwalowa we iwanu.” 
MAT.4.20	Bahala watsileka nyapfu tsawo, wamuwinza.
MAT.4.21	Haghendile hambele chidogho, kawona iwandughu wangi weli, Jakobu imwana we Sebedayo na ndughu yake Yohane. Tsawakala mne mnumbwi hamwe na aba wawo Sebedayo, wotenda nyapfu tsawo. Yesu kawakema, 
MAT.4.22	bahala waghuleka mnumbwi na aba wawo, wamuwinza.
MAT.4.23	Yesu tsakanga Galilaya yose, kalangulitsa mne tsing'anda tse ukulombela, kawapetela iwanu Imbuli Inoghile ye Undewa we Imulungu na kawahonetsa iwanu wane matamu ghose. 
MAT.4.24	Mbuli tsake tsenela mne isi yose ya Siriya, apfo iwanu wamghalila iwatamu wose, iwoghula utamu wowose, awala iwodununzika, wane pfinyamkela, iwakughwa chisala na awala iwaholole, naye kawahonetsa. 
MAT.4.25	Na iwanu wengi wamuwinza kulawa Galilaya, isi tsa Dekapoli, Yerusalemu, Yudeya ne isi ili kumwambu mwa ghumto Yoridani.
MAT.5.1	Yesu hawonile mtingano ghwe iwanu, kagheluka mchidunda, kuya kakala hasi. Iwanang'ina wake wamghendela, 
MAT.5.2	naye kandusa kuwalangulitsa, 
MAT.5.3	Wabweda iwanu wala iwomuhuwila Imulungu,
MAT.5.3	kwaapfila Undewa we kulanga wawo.
MAT.5.4	Wabweda awala wane usungu,
MAT.5.4	kwaapfila watsokanzighwa.
MAT.5.5	Wabweda awala iwahole,
MAT.5.5	kwaapfila watsoihala iisi.
MAT.5.6	Wabweda awala wane inzala ne ing'ilu ya kutenda ghayobama Imulungu,
MAT.5.6	kwaapfila Imulungu katsowaghutitsa.
MAT.5.7	Wabweda awala wane libatsi,
MAT.5.7	kwaapfila Imulungu katsowonela libatsi.
MAT.5.8	Wabweda awala wane imimoyo inoghile,
MAT.5.8	kwaapfila watsomwona Imulungu.
MAT.5.9	Wabweda awala iwalamulitsi,
MAT.5.9	kwaapfila watsokemighwa iwana we Imulungu.
MAT.5.10	Wabweda awala iwodununzika kwa kutenda aghala ghayobama Imulungu,
MAT.5.10	kwaapfila undewa wa kulanga wawo.
MAT.5.11	“Mbweda iwanu hawatsomlighani na kumdununzani na kumlongani pfihile kwa ughutsu, kwaapfila mwemwe mwoniwinza nene. 
MAT.5.12	Mdeng'e na kudeng'elela kwaapfila ghweko lyenu kulu likighwa kulanga, apfi pfipfo manabii wa ghumwande we Imulungu pfawadununzike hala ng'ana mwemwe mwelekighwe.
MAT.5.13	“Mwemwe mwa imunyu ye isi. Lekeni imunyu ing'ahinyika, angu mtsoghuma choni mbaka ikole keli? Yahela sang'ano bae, apfo yakwasighwa kunze na iwanu woibayugha.
MAT.5.14	“Mwemwe mwa ghumwanga ghwe iisi. Kaye ing'awa mchidando ng'aidaha bae kwipfisa. 
MAT.5.15	Iwanu ng'awotuwa bae chitasa na kuchighubika ne iseghe, ila wochika hanu ha kwikila chitasa, nacho chowamulikila iwanu wose iwali mng'anda. 
MAT.5.16	Pfipfila namwe ghumwanga ghwenu ghumulike hambele he iwanu, nawo waghone ghala ighanoghile ighamtenda, wamtunitse Aba wenu iyali kulanga.
MAT.5.17	“Mleke kupfikitsa ka nene nitsa kuleghusa Ghamalaghitso gha Musa au pfitabu pfe manabii we Imulungu. Sitsile bae kuleghusa, ila nitsa kutimilitsa. 
MAT.5.18	Nowalongelani ghendo, mbaka lilanga ne isi hapfitsohupa, kuduhu imbuli ndodo mne Ghamalaghitso iitsoleghusighwa mbaka ghose ghatimile. 
MAT.5.19	Imunu wowose iyolema kukinda laghitso dodo kulawa mne Ghamalaghitso ghano na kuwalangulitsa iwanu wangi watende pfipfo, ayo katsokuwa mdodo mne undewa wa kulanga. Lekeni ayula iyokinda Ghamalaghitso na kuwalangulitsa iwanu watende pfipfo, ayo katsokemighwa mkulu mne undewa wa kulanga. 
MAT.5.20	Nowalongelani ghendo, ka ng'amtenda bae ghobama Imulungu kubita pfawotenda Mafarisayo na iwolangulitsa Ghamalaghitso, ng'amtsokwingila bae mne undewa wa kulanga.
MAT.5.21	“Muhulika iwanu wa ghumwande pfawalongelighwe, ‘Mleke kukoma, na imunu wowose ang'akoma katsohighighwa.’ 
MAT.5.22	Lekeni nene nowalongelani ghendo, imunu wowose iyomwonela maya ndughu yake, katsohighighwa. Na ayula iyombetsa ndughu yake katsoghalighwa kune libaratsa, na ayula iyomkema ndughu yake, ‘Mbotsi!’ ayo kahabehi ukwingila mne ghumoto ghwa jehanamu. 
MAT.5.23	Ka komlapfila Imulungu wako nambiko hanu ha kutambikila, na kwokumbuka tsakwisonga na ndughu yako, 
MAT.5.24	tanu uileke nambiko yako hanu aho, ughende wikelamlitse na ndughu yako, kuya uye uilapfe nambiko yako.
MAT.5.25	“Wilamle ne imunu iyakughalile kune libaratsa. Utende apfo mng'ali mnzila, hela katsokughala kwe imlamulitsi na imlamulitsi katsokughala kwe asikali mkulu, naye katsokwika mchifungo. 
MAT.5.26	Nokungela ghendo, ng'utsolawa bae mbaka ulihe sendi yose.
MAT.5.27	“Muhulika tsailongighwa, ‘Mleke ughoni.’ 
MAT.5.28	Lekeni nene nowalongelani, imunu wowose iyomlolesa ipinga kwa kumbama, ayo ma katenda naye ughoni mmoyo mwake. 
MAT.5.29	Ka inenge yako ya kujilo yokuhonza utende ghehile, uing'ole uyase kutali naghwe. Ng'apfu kwaghisa chilungo chako chimwe, kubita kululeka lukuli lwako lwose lwasighwe mne ghumoto ghwa jehanamu. 
MAT.5.30	Na ghumoko ghwako ghwa kujilo ka wokuhonza utende ghehile, ughane, ughwase kutali naghwe. Ng'apfu kwaghisa chilungo chimwe, kubita kululeka lukuli lwako lwose lwasighwe mne ghumoto ghwa Jehanamu.
MAT.5.31	“Tsailongighwa, ‘Imunu wowose iyomleka mwehe wake kobamighwa yamwing'e talaka.’ 
MAT.5.32	Lekeni nene nomlongelani, imunu wowose iyomleka mwehe wake, ila kwaapfila katenda ughoni, komtenda yawe mghoni, na imunu wowose iyomkwela ipinga yalekighwe, naye kotenda utsinzi.
MAT.5.33	“Kuya muhulika iwanu wa ghumwande pfawalongelighwe, ‘Uleke kubena lilaghano, ila ukindilise lilaghano lyako kwe Imtwatsa.’ 
MAT.5.34	Lekeni nene nomlongelani, mleke kwilaha, wala kwa kulanga, kwaapfila acho chighoda che undewa we Imulungu, 
MAT.5.35	au kwilaha kwe isi, kwaapfila aho hanu he ukwikila ghamaghulu ghake, wala kwa Yerusalemu, kwaapfila agho ghumji ghwe Imndewa Mkulu. 
MAT.5.36	Wala mleke kwilaha kwa litwi, kwaapfila ng'amdaha bae kulutenda lupfili lumwe luwe lutselu au lutitu. 
MAT.5.37	Mng'alonga ‘Ona,’ iwe ‘Ona,’ na mng'alonga ‘Bae,’ iwe ‘Bae.’ Ichinu chochose kubita agha, cholawa kwa Yehile.
MAT.5.38	“Muhulika tsailongighwa, ‘Inenge kwa inenge, na tsino kwa tsino.’ 
MAT.5.39	Lekeni nene nowalongelani, mleke kwihisanya ne imunu yehile. Imunu ang'akutowa kanza lya kujilo, pfipfila umleke yakutowe kanza lya kumoso. 
MAT.5.40	Na imunu ang'abama kukughala kune libaratsa ili asole lighwanda lyako, mleke asole na likoti lyako pfipfila. 
MAT.5.41	Ka imunu kokubama umghalile mtsigho ghwake kwa utali wa chilomita imwe, umghalile kwa chilomita mbili. 
MAT.5.42	Umwing'e ayula iyokulomba, na ayula iyobama kukukopa uleke kumwima.
MAT.5.43	“Muhulika tsailongighwa, ‘Mnoghele miyagho, na umhile mwihile wako.’ 
MAT.5.44	Lekeni nene nowalongelani, muwanoghele iwehile wenu na muwalombele awala iwomdununzani, 
MAT.5.45	ili muwe iwana wa Aba wenu iyali kulanga. Kwaapfila litsuwa lyake lyowamwemwesela iwanu iwehile na iwanu iwanoghile, naye kowatowela imvula iwanu iwanoghile na iwanu iwehile. 
MAT.5.46	Ka mwowanoghela iwanu wala iwomnoghelani mwemwe waliheka, mtsopata ghweko lyachi? Apfi iwasola kodi ng'awotenda pfipfo bae? 
MAT.5.47	Na ka mwowalamsa ndughu tsenu waliyeka, mtenda choni chikulu kubita iwanu wangi? Angu iwanu ing'awommanya Imulungu ng'awotenda pfipfo bae? 
MAT.5.48	Muwe watimilifu, ka Aba wenu iyali kulanga pfayali mtimilifu.
MAT.6.1	“Mwalangitse, mleke kutenda ghanoghile hambele he iwanu ili wamwoneni. Mng'atenda apfo, ng'amtsopata ghweko bae kulawa kwa Aba wenu iyali kulanga.
MAT.6.2	“Apfo hauweng'a iwahingwa chinu chochose, uleke kwilangusa kwe iwanu. Uleke kutenda ka wang'enye pfawotenda mne tsing'anda tse ukulombela na mne tsinzila, ili iwanu wawatoghole. Nowalongelani ghendo, ma wabokela ghweko lyawo lyose. 
MAT.6.3	Lekeni ghweghwe haumwapfila mhingwa, ghumoko ghwako ghwa kumoso ghuleke kumanya achila ichitenda ghumoko ghwako ghwa kujilo. 
MAT.6.4	Ulapfe chinyelenyele. Na Aba wako iyakona ighafisike, katsokughweka.
MAT.6.5	“Na hamlomba, mleke kwighala ne iwang'enye! Kwaapfila wawo wonoghela kwima mne tsing'anda tse ukulombela na mnzila ili iwanu wawone. Nowalongelani ghendo, ma wabokela ghweko lyawo lyose. 
MAT.6.6	Lekeni haulomba, wingile mne chiheleto chako, uhinde libani lyako, umlombe Aba wako yang'akoneka. Kuya Aba wako iyakona aghala ighapfisike, katsokughweka.
MAT.6.7	“Hamlomba, mleke kulonga chaka ka iwanu ing'awommanya Imulungu pfowotenda. Kwaapfila wopfikitsa imilungu yawo itsowahulika kwa mbuli tsawo nyingi. 
MAT.6.8	Apfo mleke kwighala nawo. Kwaapfila Aba wenu komanya achila chambama ng'ana mumlombe bae. 
MAT.6.9	Lekeni mwemwe mlombe apfi,
MAT.6.9	‘Aba wetu yuli kulanga,
MAT.6.9	Taghwa lyako litunyighwe,
MAT.6.10	Undewa wako utse
MAT.6.10	ghaubama ghatendeke mne isi ka kulanga.
MAT.6.11	Utwing'e leloli ichijo chetu cha chila litsuwa,
MAT.6.12	Utuleghusile ghamatotso ghetu,
MAT.6.12	ka twetwe pfatuwaleghusila awala iwatutendile ghamatotso.
MAT.6.13	Uleke kutwingitsa mne ghamaghetso,
MAT.6.13	ila utukombole na ayula Yehile.
MAT.6.13	Kwaapfila ghamatsuwa ghose, ukulu una ghweghwe na ingupfu na utunitso.
MAT.6.13	Amina.’
MAT.6.14	“Mng'awaleghusila iwanu ghamatotso ghawo, na Aba wenu iyali kulanga pfipfila katsowaleghusila ghamatotso ghenu. 
MAT.6.15	Lekeni ka ng'amuwaleghusila bae iwanu ghamatotso ghawo, naye Aba wenu iyali kulanga ng'atsowaleghusila bae ghamatotso ghenu.
MAT.6.16	“Hamfunga ukuja, mleke kwighala ne iwang'enye iwotenda pfihanga pfawo ka wana usungu ili woneke wafunga ukuja. Nowalongelani ghendo, ma wabokela ghweko lyawo. 
MAT.6.17	Lekeni haufunga ukuja, ubake ghamafuta mwitwi mwako na uchihopfughe chihanga chako, 
MAT.6.18	ili iwanu waleke kumanya ka kufunga, ila yamanye Aba wako yaliyeka yang'akoneka. Na Aba wako iyakona ighapfisike katsokughweka.
MAT.6.19	“Mleke ukwika tsimali tsenu muisi, amwo iwang'onyo ne ing'angagha pfotsihinya, na iwabapfi wobomola ne ukwiba. 
MAT.6.20	Lekeni mwike tsimali tsenu kulanga, ako ing'angagha ne iwang'onyo ng'awotsihinya bae, ne iwabapfi ng'awodaha bae kubomola ne ukwiba. 
MAT.6.21	Kwaapfila hala hane tsimali tsako, ghumoyo ghwako ghutsokala baho.
MAT.6.22	“Tsinenge tsitso ichitasa cha lukuli. Ka nenge tsako tsinogha, lukuli lwako lwose lutsakuwa mne ghumwanga. 
MAT.6.23	Lekeni ka tsinenge tsako tsiha, lukuli lwako lwose lutsakuwa mchisi. Apfo ka ghumwanga ighuli mghati mwako ghwa ichisi, acho ambe chisi chikulu!
MAT.6.24	“Haduhu imunu iyodaha kuwatumikila iwatwatsa weli, kwaapfila katsomhila yumwe na kumnoghela yungi, au katsomuwinza yumwe na kumbetsa yungi. Ng'amdaha bae kumtumikila Imulungu na tsimali.
MAT.6.25	“Apfo nowalongelani, mleke kusumbukila ipfijo au pfokunwa pfambama ili mkale waghima. Wala ng'uli tsenu tsitsopfala choni. Angu ughima ng'aunoghile bae kubita ichijo? Na lukuli ng'alunoghile bae kubita lighwanda? 
MAT.6.26	Mlole wapfideghe iwali kulanga, ng'awohanda bae, wala ng'awopfuna bae, wala kwika mkano na Aba wenu iyali kulanga kowaghutitsa! Angu mwemwe ng'amnoghile bae kubita wapfideghe? 
MAT.6.27	Yuhi mna mwemwe kwa kwisumbula imwenyegho kodaha ukwongetsa utali wake?
MAT.6.28	“Ule lelo mwosumbukila ghamaghwanda? Mghalole ghamaluwa ighali kumghunda pfaghokula. Ng'aghosang'ana bae wala ukwitendela ghamaghwanda. 
MAT.6.29	Na nene nomlongelani, hata Selemani imwenyegho mne tsimali tsake tsose, ng'apfasighwe bae pfinoghile ka luwa limwe mna ghamaluwa ghano. 
MAT.6.30	Lelo ka Imulungu koipfatsa apfo imitsani ye kwibagho, leloli yabaha, na ilupfi yakwasighwa mmoto, angu Imulungu ng'atsompfatsani mwemwe bae? Pfii mwemwe yamtoghola chidogho! 
MAT.6.31	Apfo mleke kwisumbula, mwolonga, ‘Tutsakuja choni?’ au ‘Tutsakunwa choni?’ au ‘Tutsopfala choni?’ 
MAT.6.32	Kwaapfila iwanu ing'awammanyile Imulungu woghasumbukila agho ghose, na Aba wenu iyali kulanga komanya ka mwoghabama agho ghose. 
MAT.6.33	Lekeni tanu muubame undewa we Imulungu, na mtende aghala ghobama Imulungu, naye katsomwing'ani agho ghose. 
MAT.6.34	Apfo mleke kughasumbukila gha ilupfi, kwaapfila gha ilupfi ghatsesumbukila ghenyegho. Chila litsuwa lyesumbukila lyenyegho.
MAT.7.1	“Mleke kuwahigha iwanu wangi, hela namwe mtsohighighwa ne Imulungu, 
MAT.7.2	kwaapfila pfamuwahigha iwanu wangi, namwe pfipfila mtsohighighwa pfipfo, na chamuwahighila iwanu wangi, Imulungu katsotumila chicho kuwahighani mwemwe. 
MAT.7.3	“Ule ulola chibanzi ichili mnenge mwa ndughu yako, na baho ng'ulyona bae libiki ilili mnenge mwako? 
