MAT.1.1	Kitabu cha lukolo lwa Yesu Kilisito mzukulu wa Daudi, mzukulu wa Abulahamu.
MAT.4.6	‘Mulungu kowalagiza wasenga zake wa kuulanga mbuli ya gweye,
MAT.4.6	nao wokusola mmakono gao,
MAT.4.6	sekeuilumize magulu gako mgamabwe.’ ”
MAT.4.7	Yesu kamwidika, “Vivija Maandiko Gang'alile golonga, ‘Sekeumgeze Mndewa Mulungu wako.’ ”
MAT.4.8	Abaho Mwenembago kamsola Yesu mbaka uchanha ng'hani kuna ulugongo lutali na kamulagusila undewa wa mwiisi yose na unovu wake. 
MAT.4.9	Mwenembago kamulongela, “Vino vose nokugwaa, kamba wahanifugamila na kunitambikila.”
MAT.4.10	Yesu kamulongela, “Segela kumwangu Mwenembago! Kwavija Maandiko Gang'alile golonga, ‘Mtambikile Mndewa Mulungu wako, na umsang'hanile heyo yaiyeka!’ ”
MAT.4.11	Baho Mwenembago kamuleka Yesu, na wasenga wa kuulanga weza wamsang'hanila.
MAT.4.12	Yesu viyahulike Yohana Mbatizaji kagodekigwa kukifungo, kachola isi ya Galilaya. 
MAT.4.13	Hakalile Nazaleti lakini kachola kukala Kapelinaumu kudibuga dili behi na lamba da Galilaya, kuzimbaka za isi ya Zabuloni na Nafutali. 
MAT.4.14	Mbuli ino ilawilila kamba vija viyalongile mtula ndagu wa Mulungu Isaya,
MAT.4.15	“Isi ya Zabuloni na isi ya Nafutali
MAT.4.15	nzila ya kucholela mbahali, umwambu uyagwe wa lwanda lwa Yolidani
MAT.4.15	Galilaya, isi ya wanhu haweli Wayahudi!
MAT.4.16	Wanhu wakalile mdiziza
MAT.4.16	wawona mulenge wa ukombozi wa Mulungu
MAT.4.16	Waja wose wokala mwiisi ya sisila da ifa
MAT.4.16	mulenge uwamwemwesela.”
MAT.4.17	Kulawa kipindi acho Yesu kasonga kuwapetela usenga wake, “Lekeni nzambi zenu, kwavija Undewa wa kuulanga wammabehi.”
MAT.4.18	Yesu viyakalile kobita kumgwazo wa lamba da Galilaya, kawavika munhu na mkulu wake wovuwa somba. Wakala Simoni yakemigwe Petulo na mdodo wake Andeleya, wakala wovuwa somba mna dilamba na mizavu yao. 
MAT.4.19	Yesu kawalongela, “Nikwelelezeni na niye nowatenda muwe wavuwaji wa wanhu.” 
MAT.4.20	Bahaja waileka mizavu yao, wamkweleleza.
MAT.4.21	Kagenda kumwande kawavika wandugu wabili wayagwe. Yakobo na Yohana wanage Zebedayo. Wakala mwiingalawa hamoja na tatao Zebedayo woitanda mizavu yao. Yesu kawakema, 
MAT.4.22	bahaja waileka ngalawa na tatao, na wamkweleleza Yesu.
MAT.4.23	Yesu kachola mwiisi yose ya Galilaya, kafundiza mzing'anda za kumpula Mulungu na kawapetela wanhu Mbuli Inogile ya Undewa wa Mulungu na baho kawahonya wanhu wakalile na mitamu na magayo gose. 
MAT.4.24	Mbuli zake zenela mwiisi yose ya Siliya, avo wanhu wamgalila wanhu wose wakalile watamu, waja wodununzika na kila utamu, weli na vinyamkela, na visango na waja waholole na Yesu kawahonya wose. 
MAT.4.25	Wanhu wengi wamkweleleza Yesu kulawa Galilaya na Dekapoli,
MAT.5.1	Yesu viyaluwone lunhu lwa wanhu, kakwela kulugongo, kakala hasi. Wanahina zake wamcholela, 
MAT.5.2	nayo kasonga kuwafundiza.
MAT.5.3	“Wamweda wanhu waja womtamanila Mulungu yaiyeka,
MAT.5.3	kwavija Undewa wa kuulanga uli wao!
MAT.5.4	Wamweda wanhu waja wonyunyuwala,
MAT.5.4	kwavija Mulungu kowahoza!
MAT.5.5	Wamweda wanhu waja weli wahole,
MAT.5.5	kwavija Mulungu kowagwaa isi yose.
MAT.5.6	Wamweda wanhu waja weli na nzala na ng'hilu ya kutenda gaja goyolonda Mulungu,
MAT.5.6	kwavija Mulungu kowatenda wegute!
MAT.5.7	Wamweda wanhu waja weli na bazi kwa wayagwe,
MAT.5.7	kwavija Mulungu nayo kowonela bazi!
MAT.5.8	Wamweda wanhu waja wailavile kwa Mulungu kwa mizoyo yao yose,
MAT.5.8	kwavija womona Mulungu!
MAT.5.9	Wamweda wanhu waja wotenda wanhu wailumbe,
MAT.5.9	kwavija wokemigwa wana wa Mulungu!
MAT.5.10	Wamweda wanhu waja wodununzika mbuli ya kutenda gaja goyolonda Mulungu,
MAT.5.10	kwavija Undewa wa kuulanga uli wao!”
MAT.5.11	“Mmweda mweye muligigwa na kudununzigwa na kulongigwa vihile, kwavija mwa wanahina zangu. 
MAT.5.12	Sekeleleni na kudeng'helela, kwavija mwikiligwa nhunza ng'hulu kuulanga. Kwavija vino vivo wadununzigwe watula ndagu wa Mulungu wakalile umwaka, mweye hamunavumbuka.”
MAT.5.13	“Mweye mulinga kamba mkele kwa wanhu wose wa mwiisi. Ila kamba mkele wahagiza ukali wake, vino wogeligwa choni mbaka ubweze ukali wake kabili? Haufaya bule, ila wokwasigwa kunze na wanhu woubojoga.”
MAT.5.14	“Mweye muigala na mulenge kwa wanhu wa mwiisi. Buga dizengigwe kulugongo hadidaha kuifisa. 
MAT.5.15	Kuduhu munhu yobwinha taa na kuigubika na kikalango, lakini koika kukingolobweda. Baho yomwemwesela kila munhu yeli mng'anda. 
MAT.5.16	Vivo ili kumwenu mweye, mulenge wenu uwamwemwesele wanhu wagone gaja ganogile gomtenda muladi wamtogole Tataenu yeli kuulanga.
MAT.5.17	“Sekemugese nene niza kugasegeza Malagizo ga Musa hebu mafundizo ga watula ndagu wa Mulungu. Niye niza kutenda Malagizo gago galawilile. 
MAT.5.18	Nowalongela ukweli, mbaka ulanga na isi vosegela, kuduhu hata mbuli ndodo ng'hani yonda isegezigwe mna Gamalagizo mbaka gose galongigwe galawilile. 
MAT.5.19	Munhu yoyose yolema kukweleleza lagizo dodo mna Gamalagizo gano na kuwafundiza wayagwe watende vivo, munhu ayo kokuwa mdodo mna undewa wa kuulanga. Lakini munhu ija yogagoga Malagizo na kuwafundiza wanhu wayagwe watende vivo, munhu ayo kokuwa mkulu Muundewa wa kuulanga. 
MAT.5.20	Nowalongeleni, kamba hamutenda ganogile goyolonda Mulungu kubanza wafundiza Malagizo ga Musa na Mafalisayo, hamwingila ng'o Muundewa wa kuulanga.
MAT.5.21	“Muhulika wanhu wa umwaka viwalongeligwe, ‘Sekemukome. Munhu yoyose yonda yakome yatagusigwe.’ 
MAT.5.22	Lakini niye nowalongeleni munhu yoyose yomwihila ndugu yake kotagusigwa. Munhu yoyose yombeza ndugu yake kolondeka yagaligwe kukitala, na munhu yoyose yomkema ndugu yake, ‘Mbozi!’ ayo kolondeka yengile muumoto wa jehanamu.
MAT.5.23	“Avo kamba wahalonda kumulavila Mulungu nhunza muupango, na kokumbuka mugomba na ndugu yako, 
MAT.5.24	tanhu ileke nhunza yako aho hana uupango, chola hima ukailumbe na ndugu yako, na abaho ubwele umulavile Mulungu nhunza yako.
MAT.5.25	“Munhu yahawa na mbuli na gweye na kolonda kukugala mna ikitala, uilumbe nayo yang'hali hanakugala kukitala. Buleavo yahakugala kukitala, na kukwika mmakono ga msemi, nayo kokwika mmakono ga wakalizi, na gweye kogodekigwa mkifungo. 
MAT.5.26	Nokulongela kweli, mumo humulawa ng'o mbaka ulipe sente yose.
MAT.5.27	“Muhulika wanhu viwalongeligwe, ‘Sekemutende ugoni.’ 
MAT.5.28	Lakini niye nowalongela, munhu yoyose yonda yamulole mtwanzi kwa kumsulukila, munhu ayo katenda ugoni na mtwanzi ayo muumoyo wake. 
MAT.5.29	Avo kamba siso jako da mkono wa kudila dahakuhonza utende nzambi, ding'ole ujase. Kwavija yokuwa vinoga ng'hani gweye wagize kinhu kimoja cha lukuli lwako, kubanza lukuli lwako lose lwasigwe muumoto wa jehanamu. 
MAT.5.30	Kamba mkono wako wa kudila wahakuhonza utende nzambi, ukanhe uwase! Kwavija vinoga ng'hani kumwako wagize kinhu kimoja cha lukuli lwako kubanza lukuli lwako lose lwasigwe muumoto wa jehanamu.
MAT.5.31	“Vivija muhulika wanhu viwalongeligwe, ‘Munhu yoyose yomwasa mwehe wake kolondeka yamgwee kibua cha nyasa.’ 
MAT.5.32	Lakini niye nowalongeleni, mbigalo sekeyamwase mwehe wake, ila kamba mtwanzi ayo katenda ugoni. Kwavija kamba yahamwasa, komtenda yawe mgoni, na mbigalo yonda yamsole mtwanzi ayo yasigwe vivija kotenda ugoni.
MAT.5.33	“Muhulika wanhu wa umwaka viwalongeligwe, ‘Sekeuleke kutenda kija kiuiduile, ila kolondeka utende mbuli zose ziuiduile kwa Mndewa.’ 
MAT.5.34	Lakini niye nowalongeleni, sekemuiduile. Sekemuiduile kwa ulanga, kwavija acho kigoda cha Mulungu, 
MAT.5.35	vivija sekemuiduile kwa isi, kwavija aho hanhu ha kwikila magulu gake, hebu kwa Yelusalemu, kwavija dijo buga da Mndewa mkulu. 
MAT.5.36	Vivija sekeuiduile kwa pala jako, kwavija hudaha kulutenda hata luvili lumoja luwe luzelu hebu lutitu. 
MAT.5.37	Wahalonga, ‘Ona’ iwe ‘Ona,’ hebu wahalonga, ‘Bule’ iwe ‘Bule.’ Mbuli yoyose iyagwe kubanza zino yolawa kwa Mwenembago.
MAT.5.38	“Muhulika viilongigwe, ‘Siso kwa siso, na zino kwa zino.’ 
MAT.5.39	Lakini niye nowalongeleni, sekeumbwezele munhu yakutendele gehile. Munhu yahakutowa kanza da mkono wa kudila, muhindusile da kumoso. 
MAT.5.40	Kamba munhu yahakugala kukitala kwa kulonda kusola shati jako, muleke yasole na koti jako. 
MAT.5.41	Kamba munhu kokunanahiza umpapile mzigo wake kwa utali wa kilometa imoja, umpapile kwa kilometa mbili. 
MAT.5.42	Munhu yahakupula kinhu mgwee, munhu yahalonda kukukopa sambiumulemele.
MAT.5.43	“Muhulika wanhu viwalongeligwe, ‘Wanogeleni mbwiga zako, na uwehile waja wakwihile.’ 
MAT.5.44	Lakini niye nowalongeleni, wanogeleni wanhu wowehila na wapulileni kwa Mulungu waja wowadununza, 
MAT.5.45	baho mokuwa wana wa Tataenu yeli kuulanga. Kwavija heyo kowamwemwesela zuwa jake wanhu wehile na wanogile, na kowagwaa mvula waja wotenda gayolonda na waja wotenda gomgevuza. 
MAT.5.46	Vino Mulungu kowagwaa nhunza gani kamba muhawanogela waiyeka wanhu waja wowanogela mweye? Vino hata wabokela kodi hawatenda vivo? 
MAT.5.47	Muhawalamusa mbwiga zenu waiyeka, motenda kilozo gani? Vino hata wamhazi hawatenda vivo? 
MAT.5.48	Molondeka mutelele kamba Tataenu yeli kuulanga viyatelele.
MAT.6.1	“Iteganyeni, sekemutende mbuli zinogile mgameso ga wanhu muladi wanhu wawatogole. Muhatenda avo Tataenu wa kuulanga honda yawagwee nhunza yoyose.
MAT.6.2	“Avo kamba komgwaa kinhu munhu mkiwa, sekeutowe mhalati kutenda wanhu wakijuwe kija kiutenda, kamba viwotenda wanafiki mna izing'anda za kupulila na mna zinzila muladi wanhu wawatogole. Nowalongeleni ukweli, awo wabokela mwaka nhunza yao yose. 
MAT.6.3	Lakini gweye wahamgwaa kinhu munhu mkiwa, mkono wako wa kumoso sekeujuwe kija kitendigwa na mkono wako wa kudila. 
MAT.6.4	Tenda avo kwa kinyelegezi. Tatako yolola gotendigwa kinyelegezi kokugwaa nhunza.
MAT.6.5	“Mwahampula Mulungu, sekemuigale na wanafiki! Kwavija awo wanogelwa kwima na kumpula Mulungu mna zing'anda za ukupula na mna zinzila mhanda, muladi wanhu wawalole. Nowalongeleni ukweli, awo wabokela mwaka nhunza yao yose. 
MAT.6.6	Lakini gweye wahampula Mulungu, ingila mdigati jako, hinda lwivi lwako, umpule Tatako hakoneka. Tatako iyolola gaja gotendigwa kinyelegezi kokugwaa nhunza.
MAT.6.7	“Mwahampula Mulungu, sekemulonge mbuli nyingi za chaka chaka kamba viwotenda wamhazi, kwavija wogesa wohulikigwa kwa mbuli zao nyingi. 
MAT.6.8	Sekemuigale nao, kwavija Tataenu kajuwa kija kimulonda mung'hali hamunampula. 
MAT.6.9	Lakini mweye puleni vino,
MAT.6.9	‘Tataetu uli kuulanga,
MAT.6.9	twaga jako ditogoligwe,
MAT.6.10	undewa wako wize,
MAT.6.10	goulonda mwiisi gatendigwe, kamba viili kuulanga.
MAT.6.11	Utugwee lelo lujo lwetu lwa kila siku.
MAT.6.12	Uzigele kumgongo nzambi zetu zitutendile,
MAT.6.12	kamba vija tweye vituzigela kumgongo mbuli za wanhu wayagwe ziwatutendele.
MAT.6.13	Sekeutwingize kuna ukugezigwa,
MAT.6.13	lakini utuhonye na ija Imdumuka.
MAT.6.13	[Kwavija siku zose undewa ni wako na inguvu na ukulu. Ona.’]
MAT.6.14	“Kamba mwahazigela kumgongo nzambi wanhu ziwawatendele, vivija Tataenu yeli kuulanga kozigela kumgongo nzambi zenu. 
MAT.6.15	Lakini kamba hamuzigela bule kumgongo nzambi za wanhu wayagwe, Tataenu yeli kuulanga nayo hazigela bule kumgongo nzambi zenu zimutendile.
MAT.6.16	“Mwahafunga kuja, sekemuwe kamba wanafiki, awo wovitenda vihanga vao vigele bazi muladi wakoneke kamba wafunga kuja. Nowalongeleni ukweli, awo wabokela mwaka nhunza yao yose. 
MAT.6.17	Lakini gweye wahafunga kuja, sunha kihanga chako na ubunhe mvili zako, 
MAT.6.18	muladi wanhu wayagwe sekewakujuwe kamba kufunga kuja ila Tatako yaiyeka yoleka koneka, ayo yonda yajuwe. Nayo Tatako yolola gaja goutenda kinyelegezi kokugwaa nhunza.
MAT.6.19	“Sekemwike ngama zenu mwiisi ino muli na ng'hobo na lungwi luzibananga, na wabavi wokwingila na kwiba. 
MAT.6.20	Lakini mwike ngama zenu kuulanga, ako ng'hobo na lungwi havidaha kubananga, na wabavi hawadaha kwingila na kwiba. 
MAT.6.21	Kwavija kuko kuili ngama yako, vivija kuko kondauwe moyo wako.
MAT.6.22	“Meso gago taa ya lukuli. Kamba meso gako magima, lukuli lwako lose lokuwa na mulenge, 
MAT.6.23	lakini kamba meso gako gabanangika, lukuli lwako lose lokuwa mdiziza. Avo kamba mulenge ulimgati mmwako wahawa ziza, dokuwa ziza totolo!
MAT.6.24	“Kuduhu munhu yodaha kuwasang'hanila wakulu wabili, kwavija komwihila imoja na kumnogela iyagwe, hebu koilumba na imoja na kumbeza iyagwe. Hamudaha kumsang'hanila Mulungu hamoja na mali.
MAT.6.25	“Lekaavo nowalongeleni, sekemuugaiye ugima, moja choni na kung'wa choni, hebu ng'huli zenu zovala choni. Vino ugima haunogile bule kubanza lujo? Hebu lukuli halunogile bule kubanza viwalo? 
MAT.6.26	Waloleni bondwa, hawahanda, hawasenga, hebu kwika kudikanho, lakini Tataenu yeli kuulanga kowadima. Vino mweye hamunogile ng'hani bule kubanza iwabondwa? 
MAT.6.27	Nani kumwenu kwa kuigaza ng'hani kodaha kwengeza hata saa dimoja da ugima wake?
MAT.6.28	“Habali mogaiya viwalo? Loleni maluwa ga kumuhulo vigokula, hagasang'hana hebu kuitendela viwalo. 
MAT.6.29	Lakini nowalongeleni, hata mndewa Sulemani mwenyego na utajili wake wose, havalile goya kamba luwa dimoja mna gamaluwa gano. 
MAT.6.30	Kamba Mulungu heyo yodivaza jani da kumuhulo, lelo dabahano na mayo dokwasigwa muumoto, vino hondayawavaze ng'hani mweye? Mweye wanhu mutamanila kidogo!
MAT.6.31	“Avo sekemuigaze kwa kulonga, ‘Toja choni?’ hebu, ‘Tong'wa choni?’ hebu, ‘Tovala choni?’ 
MAT.6.32	Kwavija vinhu vino vivo voogaiya wamhazi. Tataenu yeli kuulanga kojuwa kamba movilonda vinhu vose avo. 
MAT.6.33	Lakini tanhu uzahileni Undewa wa Mulungu na gaja goyolonda, na vino vose mogweleligwa. 
MAT.6.34	Avo sekemugagaiye ga mayo, kwavija mayo yoigaiya yenyego. Kila siku yoigaiya yenyego.
MAT.7.1	“Sekemuwataguse wanhu wayagwe, avo na mweye sekemutagusigwe na Mulungu. 
MAT.7.2	Kwavija vimuwatagusa wanhu wayagwe, na mweye motagusigwa vivo. Mulungu kowatendela vivija vimuwatendela wayagwe. 
MAT.7.3	Habali kolola kibanzi kili mdisiso da ndugu yako, lakini hulola biki dili mdisiso jako? 
MAT.7.4	Hebu kodahaze kumulongela ndugu yako, ‘Chonde leka nikulave kibanzi kili mdisiso jako,’ na kuno gweye mwenyego mdisiso jako mna biki? 
MAT.7.5	Gweye kwa mnafiki! Tanhu lava biki dili mdisiso jako, abaho kodaha kulola goya na kulava kibanzi kili mdisiso da ndugu yako.
MAT.7.6	“Sekemuwagwee umbwa vinhu vilavigwe kwa Mulungu, kwavija wowahinduka na kuwaluma. Hebu sekemuwapigisile nguluwe lulu zenu, kwavija wozibojoga.
MAT.7.7	“Puleni, na mweye mogweleligwa, zahileni, na mweye movona, gong'ondeni ulwivi, na mweye movugulilwa. 
