GEN.1.1	No princípio, Deus criou os céus e a terra.
GEN.5.18	Aos 162 anos, Jarede gerou Enoque. 
GEN.5.19	Depois do nascimento de Enoque, Jarede viveu mais 800 anos e teve outros filhos e filhas. 
GEN.5.20	Jarede viveu 962 anos e morreu.
GEN.5.21	Aos 65 anos, Enoque gerou Matusalém. 
GEN.5.22	Depois do nascimento de Matusalém, Enoque viveu em comunhão com Deus por mais 300 anos e teve outros filhos e filhas. 
GEN.5.23	Enoque viveu 365 anos, 
GEN.5.24	andando em comunhão com Deus até que, um dia, desapareceu, porque Deus o levou para junto de si.
GEN.5.25	Aos 187 anos, Matusalém gerou Lameque. 
GEN.5.26	Depois do nascimento de Lameque, Matusalém viveu mais 782 anos e teve outros filhos e filhas. 
GEN.5.27	Matusalém viveu 969 anos e morreu.
GEN.5.28	Aos 182 anos, Lameque gerou um filho. 
GEN.5.29	Chamou-o de Noé,
GEN.5.30	Depois do nascimento de Noé, Lameque viveu mais 595 anos e teve outros filhos e filhas. 
GEN.5.31	Lameque viveu 777 anos e morreu.
GEN.5.32	Depois que completou 500 anos, Noé gerou três filhos: Sem, Cam e Jafé.
GEN.6.1	Os seres humanos começaram a se multiplicar na terra e tiveram filhas. 
GEN.6.2	Os filhos de Deus perceberam que as filhas dos homens eram belas, tomaram para si as que os agradaram e se casaram com elas. 
GEN.6.3	Então o S
GEN.6.4	Naqueles dias, e por algum tempo depois, havia na terra gigantes,
GEN.6.5	O S
GEN.6.6	E o S
GEN.6.7	O S
GEN.6.8	Noé, porém, encontrou favor diante do S
GEN.6.9	Este é o relato de Noé e sua família. Noé era um homem justo, a única pessoa íntegra naquele tempo, e andava em comunhão com Deus. 
GEN.6.10	Noé gerou três filhos: Sem, Cam e Jafé.
GEN.6.11	Deus viu que a terra tinha se corrompido e estava cheia de violência. 
GEN.6.12	Deus observou a grande maldade no mundo, pois todos na terra haviam se corrompido. 
GEN.6.13	Assim, Deus disse a Noé: “Decidi acabar com todos os seres vivos, pois encheram a terra de violência. Sim, destruirei todos eles e também a terra!
GEN.6.14	“Construa uma grande embarcação, uma arca de madeira de cipreste,
GEN.6.15	A arca deve ter 135 metros de comprimento, 22,5 metros de largura e 13,5 metros de altura.
GEN.6.16	Deixe uma abertura de 45 centímetros
GEN.6.17	“Preste atenção! Em breve, cobrirei a terra com um dilúvio que destruirá todos os seres vivos que respiram. Tudo que há na terra morrerá. 
GEN.6.18	Com você, porém, firmarei minha aliança. Portanto, entre na arca com sua mulher, seus filhos e as mulheres deles. 
GEN.6.19	Leve na arca com você um casal de cada espécie de animal selvagem e doméstico, um macho e uma fêmea, para mantê-los com vida. 
GEN.6.20	Um casal de cada espécie de ave, de cada espécie de animal e de cada espécie de animal que rasteja pelo chão virá até você, para que os mantenha com vida. 
GEN.6.21	Cuide bem para que haja alimento suficiente para sua família e para todos os animais”.
GEN.6.22	Noé fez tudo exatamente como Deus lhe havia ordenado.
GEN.7.1	O S
GEN.7.2	Leve com você sete casais, macho e fêmea, de cada espécie de animal puro, e um casal, macho e fêmea, de cada espécie de animal impuro. 
GEN.7.3	Leve também sete casais de cada espécie de ave. Cada casal deve ter um macho e uma fêmea para garantir que todas as espécies sobreviverão na terra depois do dilúvio. 
GEN.7.4	Daqui a sete dias, farei chover sobre a terra. Choverá por quarenta dias e quarenta noites, até que eu tenha eliminado da terra todos os seres vivos que criei”.
GEN.7.5	Noé fez tudo exatamente como o S
GEN.7.6	Noé tinha 600 anos quando o dilúvio cobriu a terra. 
GEN.7.7	Entrou na arca, junto com a mulher, os filhos e as mulheres deles, para escapar do dilúvio. 
GEN.7.8	Entraram com eles animais de todas as espécies: os puros e os impuros, as aves e todos os animais que rastejam pelo chão. 
GEN.7.9	Entraram na arca em pares, macho e fêmea, como Deus tinha ordenado a Noé. 
GEN.7.10	Depois de sete dias, vieram as águas do dilúvio e cobriram a terra.
GEN.7.11	Quando Noé tinha 600 anos, no décimo sétimo dia do segundo mês, todas as fontes subterrâneas de água jorraram da terra, e a chuva caiu do céu em grandes temporais 
GEN.7.12	e continuou sem parar por quarenta dias e quarenta noites.
GEN.7.13	Naquele mesmo dia, Noé tinha entrado na arca com a esposa, os filhos, Sem, Cam e Jafé, e as mulheres deles. 
GEN.7.14	Entraram com eles na arca casais de todas as espécies de animais: animais domésticos e selvagens, grandes e pequenos, e aves de toda espécie. 
GEN.7.15	Entraram de dois em dois na arca, representando todos os seres vivos que respiram. 
GEN.7.16	Um macho e uma fêmea de cada espécie entraram, como Deus tinha ordenado a Noé. Então o S
GEN.7.17	Durante quarenta dias, as águas do dilúvio se tornaram cada vez mais profundas, cobriram o solo e elevaram a arca bem acima da terra. 
GEN.7.18	Enquanto as águas subiam cada vez mais acima do solo, a arca flutuava em segurança em sua superfície. 
GEN.7.19	Por fim, as águas cobriram até as montanhas mais altas da terra 
GEN.7.20	e se elevaram quase sete metros
GEN.7.21	Todos os seres vivos que havia na terra morreram: as aves, os animais domésticos, os animais selvagens, os animais que rastejavam pelo chão e todos os seres humanos. 
GEN.7.22	Tudo que respirava e vivia em terra firme morreu. 
GEN.7.23	Deus exterminou todos os seres vivos que havia na terra: os seres humanos, os animais domésticos, os animais que rastejavam pelo chão e as aves do céu. Todos foram destruídos. Apenas Noé e os que estavam com ele na arca sobreviveram. 
GEN.7.24	E as águas do dilúvio cobriram a terra por 150 dias.
GEN.8.1	Então Deus se lembrou de Noé e de todos os animais selvagens e domésticos que estavam com ele na arca. Deus fez soprar um vento sobre a terra, e as águas do dilúvio começaram a baixar. 
GEN.8.2	As fontes subterrâneas pararam de jorrar, e as chuvas torrenciais cessaram. 
GEN.8.3	As águas do dilúvio foram baixando aos poucos. Depois de 150 dias, 
GEN.8.4	exatamente cinco meses depois do início do dilúvio,
GEN.8.5	Dois meses e meio depois,
GEN.8.6	Passados mais quarenta dias, Noé abriu a janela que havia feito na arca 
GEN.8.7	e soltou um corvo, que ia e voltava até as águas do dilúvio secarem sobre a terra. 
GEN.8.8	Noé também soltou uma pomba para ver se as águas tinham baixado e se ela encontraria terra seca, 
GEN.8.9	mas a pomba não encontrou lugar para pousar, pois a água ainda cobria todo o solo. Então a pomba retornou à arca, e Noé estendeu a mão e a trouxe de volta para dentro. 
GEN.8.10	Depois de esperar mais sete dias, Noé soltou a pomba mais uma vez. 
GEN.8.11	Quando ela voltou ao entardecer, trouxe no bico uma folha nova de oliveira. Noé concluiu que restava pouca água do dilúvio. 
GEN.8.12	Esperou outros sete dias e soltou a pomba novamente. Dessa vez, ela não voltou.
GEN.8.13	Noé tinha completado 601 anos. No primeiro dia do novo ano, dez meses e meio depois do início do dilúvio,
GEN.8.14	Mais dois meses se passaram
GEN.8.15	Então Deus disse a Noé: 
GEN.8.16	“Saiam da arca, você, sua mulher, seus filhos e as mulheres deles. 
GEN.8.17	Solte todos os animais, as aves, os animais domésticos e os animais que rastejam pelo chão, para que sejam férteis e se multipliquem na terra”.
GEN.8.18	Noé, sua mulher, seus filhos e as mulheres deles desembarcaram. 
GEN.8.19	Todos os animais, grandes e pequenos, e as aves saíram da arca, um casal de cada vez.
GEN.8.20	Em seguida, Noé construiu um altar ao S
GEN.8.21	O aroma do sacrifício agradou ao S
GEN.8.22	Enquanto durar a terra, haverá plantio e colheita, frio e calor, verão e inverno, dia e noite”.
GEN.9.1	Então Deus abençoou Noé e seus filhos e lhes disse: “Sejam férteis e multipliquem-se. Encham a terra. 
GEN.9.2	Todos os animais da terra, todas as aves do céu, todos os animais que rastejam pelo chão e todos os peixes do mar terão medo e pavor de vocês. Eu os coloquei sob o seu domínio. 
GEN.9.3	Assim como dei a vocês os cereais e os vegetais por alimento, também lhes dou os animais. 
GEN.9.4	Mas nunca comam carne com sangue, pois sangue é vida.
GEN.9.5	“Exigirei o sangue de todo aquele que tirar a vida de alguém. Se um animal selvagem matar alguém, deverá ser morto; quem cometer assassinato, também deverá morrer. 
GEN.9.6	Quem tirar a vida humana, por mãos humanas perderá a vida. Pois eu criei o ser humano
GEN.9.7	Agora, sejam férteis e multipliquem-se, povoem a terra outra vez”.
GEN.9.8	Então Deus disse a Noé e seus filhos: 
GEN.9.9	“Confirmo aqui a minha aliança com vocês, seus descendentes 
GEN.9.10	e todos os animais que estavam com vocês na embarcação: as aves, os animais domésticos e os animais selvagens, todos os seres vivos da terra. 
GEN.9.11	Sim, confirmo a minha aliança com vocês. Nunca mais os seres vivos serão exterminados pelas águas; nunca mais a terra será destruída por um dilúvio”.
GEN.9.12	Então Deus disse: “Eu lhes dou um sinal da minha aliança com vocês e com todos os seres vivos, para todas as gerações futuras. 
GEN.9.13	Coloquei o arco-íris nas nuvens. Ele é o sinal da minha aliança com toda a terra. 
GEN.9.14	Quando eu enviar nuvens sobre a terra, nelas aparecerá o arco-íris, 
GEN.9.15	e eu me lembrarei da minha aliança com vocês e com todos os seres vivos. Nunca mais as águas de um dilúvio destruirão toda a vida. 
GEN.9.16	Ao olhar para o arco-íris nas nuvens, eu me lembrarei da aliança eterna entre Deus e todos os seres vivos da terra”. 
GEN.9.17	Então Deus disse a Noé: “Este arco-íris é o sinal da aliança que confirmo com todas as criaturas da terra”.
GEN.9.18	Os filhos de Noé que saíram da arca com o pai foram Sem, Cam e Jafé. (Cam é o pai de Canaã.) 
GEN.9.19	Desses três filhos de Noé vêm todas as pessoas que agora povoam a terra.
GEN.9.20	Depois do dilúvio, Noé começou a cultivar o solo e plantou uma videira. 
GEN.9.21	Certo dia, bebeu do vinho que ele próprio havia produzido, ficou embriagado e foi deitar-se nu em sua tenda. 
GEN.9.22	Cam, pai de Canaã, viu que seu pai estava nu e saiu para contar aos irmãos. 
GEN.9.23	Então Sem e Jafé pegaram um manto e o colocaram sobre os ombros. Em seguida, entraram na tenda de costas e, olhando para o outro lado a fim de não ver a nudez do pai, cobriram-no com o manto.
GEN.9.24	Quando Noé se recuperou da bebedeira e descobriu o que Cam, seu filho mais novo, havia feito, 
GEN.9.25	exclamou:
GEN.9.25	“Maldito seja Canaã!
GEN.9.25	Que ele seja o servo mais insignificante de seus parentes!”.
GEN.9.26	E disse ainda:
GEN.9.26	“Bendito seja o S
GEN.9.26	e que Canaã seja servo de seu irmão!
GEN.9.27	Que Deus amplie o território de Jafé!
GEN.9.27	Que Jafé compartilhe da prosperidade de Sem
GEN.9.27	e Canaã seja seu servo”.
GEN.9.28	Depois do dilúvio, Noé viveu mais 350 anos. 
GEN.9.29	Viveu, ao todo, 950 anos e morreu.
GEN.10.1	Este é o relato das famílias de Sem, Cam e Jafé, os três filhos de Noé, que geraram muitos filhos depois do dilúvio.
GEN.10.2	Os descendentes de Jafé foram: Gômer, Magogue, Madai, Javã, Tubal, Meseque e Tirás.
GEN.10.3	Os descendentes de Gômer foram: Asquenaz, Rifate e Togarma.
GEN.10.4	Os descendentes de Javã foram: Elisá, Társis, Quitim e Rodanim.
GEN.10.5	Seus descendentes se espalharam por vários territórios junto ao mar, formando nações de acordo com suas línguas, seus clãs e seus povos.
GEN.10.6	Os descendentes de Cam foram: Cuxe, Mizraim, Pute e Canaã.
GEN.10.7	Os descendentes de Cuxe foram: Sebá, Havilá, Sabtá, Raamá e Sabtecá. Os descendentes de Raamá foram: Sabá e Dedã.
GEN.10.8	Cuxe também foi o antepassado de Ninrode, o primeiro guerreiro valente da terra. 
GEN.10.9	Porque era o mais corajoso dos caçadores,
GEN.10.10	Ninrode construiu seu reino na terra da Babilônia,
GEN.10.11	Expandiu seu território até a Assíria,
GEN.10.12	e Resém, a grande cidade situada entre Nínive e Calá.
GEN.10.13	Mizraim foi o antepassado dos luditas, anamitas, leabitas, naftuítas, 
GEN.10.14	patrusitas, casluítas e dos caftoritas, dos quais descendem os filisteus.
GEN.10.15	O filho mais velho de Canaã foi Sidom, antepassado dos sidônios. Canaã foi o antepassado dos hititas,
GEN.10.16	jebuseus, amorreus, girgaseus, 
GEN.10.17	heveus, arqueus, sineus, 
GEN.10.18	arvadeus, zemareus e hamateus. Com o tempo, os clãs cananeus se espalharam. 
GEN.10.19	O território de Canaã se estendia desde Sidom, ao norte, até Gerar e Gaza, ao sul, e, a leste, até Sodoma, Gomorra, Admá e Zeboim, próximo a Lasa.
GEN.10.20	Esses foram os descendentes de Cam, de acordo com seus clãs, línguas, territórios e povos.
GEN.10.21	Sem, irmão mais velho de Jafé,
GEN.10.22	Os descendentes de Sem foram: Elão, Assur, Arfaxade, Lude e Arã.
GEN.10.23	Os descendentes de Arã foram: Uz, Hul, Géter e Más.
GEN.10.24	Arfaxade gerou Salá,
GEN.10.25	Héber teve dois filhos. O primeiro recebeu o nome de Pelegue,
GEN.10.26	Joctã foi o antepassado de Almodá, Salefe, Hazarmavé, Jerá, 
GEN.10.27	Adorão, Uzal, Dicla, 
GEN.10.28	Obal, Abimael, Sabá, 
GEN.10.29	Ofir, Havilá e Jobabe. Todos eles foram descendentes de Joctã. 
GEN.10.30	O território que ocupavam se estendia desde Messa até Sefar, nas montanhas ao leste.
GEN.10.31	Esses foram os descendentes de Sem, de acordo com seus clãs, línguas, territórios e povos.
GEN.10.32	Esses foram os clãs descendentes dos filhos de Noé, de acordo com suas linhagens. Todas as nações da terra vieram desses clãs depois do dilúvio.
GEN.11.1	Houve um tempo em que todos os habitantes do mundo falavam a mesma língua e usavam as mesmas palavras. 
GEN.11.2	Ao migrarem do leste, encontraram uma planície na terra da Babilônia,
GEN.11.3	Começaram a dizer uns aos outros: “Venham, vamos fazer tijolos e endurecê-los no fogo”. (Naquela região, era costume usar tijolos em vez de pedras, e betume em vez de argamassa.) 
GEN.11.4	Depois, disseram: “Venham, vamos construir uma cidade com uma torre que chegue até o céu. Assim, ficaremos famosos e não seremos espalhados pelo mundo”.
GEN.11.5	O S
GEN.11.6	“Vejam!”, disse o S
GEN.11.7	Venham, vamos descer e confundi-los com línguas diferentes, para que não consigam mais entender uns aos outros.”
GEN.11.8	Assim, o S
GEN.11.9	Ela recebeu o nome de Babel,
GEN.11.10	Este é o relato da família de Sem.
GEN.11.10	Dois anos depois do dilúvio, aos 100 anos, Sem gerou
GEN.11.11	Depois do nascimento de
GEN.11.12	Aos 35 anos, Arfaxade gerou Salá. 
GEN.11.13	Depois do nascimento de Salá, Arfaxade viveu mais 403 anos e teve outros filhos e filhas.
GEN.11.14	Aos 30 anos, Salá gerou Héber. 
GEN.11.15	Depois do nascimento de Héber, Salá viveu mais 403 anos e teve outros filhos e filhas.
GEN.11.16	Aos 34 anos, Héber gerou Pelegue. 
GEN.11.17	Depois do nascimento de Pelegue, Héber viveu mais 430 anos e teve outros filhos e filhas.
GEN.11.18	Aos 30 anos, Pelegue gerou Reú. 
GEN.11.19	Depois do nascimento de Reú, Pelegue viveu mais 209 anos e teve outros filhos e filhas.
GEN.11.20	Aos 32 anos, Reú gerou Serugue. 
GEN.11.21	Depois do nascimento de Serugue, Reú viveu mais 207 anos e teve outros filhos e filhas.
GEN.11.22	Aos 30 anos, Serugue gerou Naor. 
GEN.11.23	Depois do nascimento de Naor, Serugue viveu mais 200 anos e teve outros filhos e filhas.
GEN.11.24	Aos 29 anos, Naor gerou Terá. 
GEN.11.25	Depois do nascimento de Terá, Naor viveu mais 119 anos e teve outros filhos e filhas.
GEN.11.26	Depois que completou 70 anos, Terá gerou Abrão, Naor e Harã.
GEN.11.27	Este é o relato da família de Terá, pai de Abrão, Naor e Harã. Harã, que foi o pai de Ló, 
GEN.11.28	morreu em Ur dos caldeus, sua terra natal, enquanto seu pai, Terá, ainda vivia. 
GEN.11.29	Tanto Abrão como Naor se casaram. A mulher de Abrão se chamava Sarai, e a mulher de Naor, Milca. (Milca e sua irmã, Iscá, eram filhas de Harã, irmão de Naor.) 
