GEN.1.2	A terra, porém, era 
GEN.3.12	Respondeu o homem: A mulher que me deste por companheira deu-me da árvore, e eu comi. 
GEN.3.13	Perguntou Deus Jeová à mulher: Que é isso que fizeste? Respondeu a mulher: 
GEN.3.14	Então, disse Deus Jeová à serpente: 
GEN.3.15	Porei inimizade entre ti e a mulher, e entre a tua semente e a sua semente; 
GEN.3.16	Disse ele à mulher: Multiplicarei grandemente o teu sofrer e a tua conceição; 
GEN.3.17	E a Adão disse: Porque escutaste a voz de tua mulher e comeste da árvore de que te ordenei que não comesses, 
GEN.3.18	Ela te produzirá também espinhos e abrolhos, e comerás as ervas do campo. 
GEN.3.19	No suor do teu rosto comerás o teu pão, até que 
GEN.3.20	Chamou o homem à sua mulher 
GEN.3.21	Fez Deus Jeová para Adão e para sua mulher túnicas de peles e os vestiu.
GEN.3.22	Disse Deus Jeová: Eis que o homem se tem tornado como um de 
GEN.3.23	Deus Jeová o enviou para fora do jardim do Éden, a fim de cultivar a terra de que havia sido tomado. 
GEN.3.24	Assim, 
GEN.4.1	O homem conheceu a Eva, sua mulher; ela concebeu e, dando à luz a Caim, disse: Adquiri um homem com o auxílio de Jeová. 
GEN.4.2	Tornou a dar à luz a um filho, a Abel, seu irmão. 
GEN.4.3	Ao cabo de dias, trouxe Caim, do fruto da terra, uma oferta a Jeová. 
GEN.4.4	Abel também trouxe dos primogênitos das suas ovelhas com as gorduras destas. 
GEN.4.5	mas 
GEN.4.6	Perguntou-lhe Jeová: 
GEN.4.7	Porventura, 
GEN.4.8	Caim o contou a seu irmão Abel. Sucedeu, pois, que, estando eles no campo, se levantou Caim contra seu irmão Abel e o 
GEN.4.9	Perguntou Jeová a Caim: 
GEN.4.10	Disse Jeová: Que fizeste? 
GEN.4.11	Agora, 
GEN.4.12	Quando 
GEN.4.13	Disse Caim a Jeová: A minha punição é maior do que a que se pode suportar. 
GEN.4.14	Eis que, hoje, me 
GEN.4.15	Respondeu-lhe Jeová: Por isso, quem matar a Caim, sobre ele cairá a vingança 
GEN.4.16	Saiu Caim da presença de Jeová e habitou na terra de Node, ao oriente do Éden. 
GEN.4.17	Conheceu Caim à sua mulher; ela concebeu e deu à luz a Enoque. Caim edificou uma cidade e chamou o nome da cidade do nome de seu filho, Enoque. 
GEN.4.18	A Enoque nasceu Irade; Irade gerou a Meujael, Meujael gerou a Metusael, e Metusael gerou a Lameque. 
GEN.4.19	Lameque tomou para si 
GEN.4.20	Ada deu à luz a Jabal, que foi o pai dos que habitam em tendas e possuem gado. 
GEN.4.21	O nome de seu irmão era Jubal, que foi o pai de todos os que tocam harpa e flauta. 
GEN.4.22	Zilá também deu à luz um filho, Tubalcaim, fabricante de todo o instrumento cortante de cobre e de ferro; e a irmã de Tubalcaim foi Naamá. 
GEN.4.23	Disse Lameque à suas mulheres:
GEN.4.23	Ada e Zilá, ouvi a minha voz;
GEN.4.23	Vós, mulheres de Lameque, escutai as minhas palavras:
GEN.4.23	e um mancebo, porque me pisou.
GEN.4.24	Se por Caim tomar-se-á vingança 
GEN.4.24	com certeza, por Lameque o será setenta e sete vezes.
GEN.4.25	Tornou 
GEN.4.26	A Sete também nasceu 
GEN.5.1	Este é o livro das gerações de Adão. No dia em que Deus criou o homem, 
GEN.5.2	homem e mulher os criou, e os 
GEN.5.3	Adão viveu cento e trinta anos e gerou à sua semelhança, conforme a sua imagem, um filho, a quem pôs o nome de Sete. 
GEN.5.4	Foram os dias de Adão, depois que gerou a Sete, oitocentos anos; e gerou filhos e filhas. 
GEN.5.5	Todos os dias que Adão viveu foram novecentos e trinta anos; e morreu.
GEN.5.6	Sete viveu cento e cinco anos e gerou a Enos. 
GEN.5.7	Viveu Sete, depois que gerou a Enos, oitocentos e sete anos; e gerou filhos e filhas. 
GEN.5.8	Todos os dias de Sete foram novecentos e doze anos; e morreu.
GEN.5.9	Enos viveu noventa anos e gerou a Cainã. 
GEN.5.10	Viveu Enos, depois que gerou a Cainã, oitocentos e quinze anos; e gerou filhos e filhas. 
GEN.5.11	Todos os dias de Enos foram novecentos e cinco anos; e morreu.
GEN.5.12	Cainã viveu setenta anos e gerou a Maalaleel. 
GEN.5.13	Viveu Cainã, depois que gerou a Maalaleel, oitocentos e quarenta anos; e gerou filhos e filhas. 
GEN.5.14	Todos os dias de Cainã foram novecentos e dez anos; e morreu.
GEN.5.15	Maalaleel viveu sessenta e cinco anos e gerou a Jerede. 
GEN.5.16	Viveu Maalaleel, depois que gerou a Jerede, oitocentos e trinta anos; e gerou filhos e filhas. 
GEN.5.17	Todos os dias de Maalaleel foram oitocentos e noventa e cinco anos; e morreu.
GEN.5.18	Jerede viveu cento e sessenta e dois anos e gerou a Enoque. 
GEN.5.19	Viveu Jerede, depois que gerou a Enoque, oitocentos anos; e gerou filhos e filhas. 
GEN.5.20	Todos os dias de Jerede foram novecentos e sessenta e dois anos; e morreu.
GEN.5.21	Enoque viveu sessenta e cinco anos e gerou Metusalém. 
GEN.5.22	Andou Enoque com Deus, depois que gerou a Metusalém, trezentos anos; e gerou filhos e filhas. 
GEN.5.23	Todos os dias de Enoque foram trezentos e sessenta e cinco anos. 
GEN.5.24	Enoque andou com Deus; e não apareceu mais, porque Deus o 
GEN.5.25	Metusalém viveu cento e oitenta e sete anos e gerou a Lameque. 
GEN.5.26	Viveu Metusalém, depois que gerou a Lameque, setecentos e oitenta e dois anos; e gerou filhos e filhas. 
GEN.5.27	Todos os dias de Metusalém foram novecentos e sessenta e nove anos; e morreu.
GEN.5.28	Lameque viveu cento e oitenta e dois anos e gerou um filho, 
GEN.5.29	a quem chamou Noé, dizendo: Este nos dará descanso das nossas obras e do trabalho das nossas mãos, os quais vêm 
GEN.5.30	Viveu Lameque, depois que gerou a Noé, quinhentos e noventa e cinco anos; e gerou filhos e filhas. 
GEN.5.31	Todos os dias de Lameque foram setecentos e setenta e sete anos; e morreu.
GEN.5.32	Noé era da idade de 
GEN.6.1	Quando os homens começaram a multiplicar-se sobre a terra e lhes nasceram filhas, 
GEN.6.2	viram os filhos de Deus que as filhas dos homens eram formosas e tomaram para si mulheres de todas as que escolheram. 
GEN.6.3	Então, disse Jeová: 
GEN.6.4	Ora, naqueles dias, estavam os nefilins na terra e também depois, quando os filhos de Deus conheceram as filhas dos homens, as quais lhes deram filhos. Os nefilins eram os valentes que houve na antiguidade, varões de renome.
GEN.6.5	Viu Jeová que era grande a maldade do homem na terra e que 
GEN.6.6	Então, 
GEN.6.7	Disse Jeová: 
GEN.6.8	Porém Noé 
GEN.6.9	Estas são as gerações de Noé. Noé foi 
GEN.6.10	Gerou três filhos: Sem, Cam e Jafé. 
GEN.6.11	A terra estava 
GEN.6.12	Viu Deus a terra, e eis que estava corrompida; porque 
GEN.6.13	Disse Deus a Noé: 
GEN.6.14	Faze para ti uma arca de madeira de gofer; compartimentos farás na arca e untá-la-ás com betume por dentro e por fora. 
GEN.6.15	Desta maneira a farás: o comprimento da arca será de trezentos cúbitos, a sua largura, de cinquenta e a sua altura, de trinta. 
GEN.6.16	Farás para a arca uma janela e lhe darás um cúbito de alto; a porta da arca porás no seu lado; fa-la-ás com andares, um embaixo, um segundo e um terceiro. 
GEN.6.17	Eis que eu vou trazer o dilúvio de águas sobre a terra, para fazer perecer de debaixo do céu toda a carne, em que há o espírito de vida; tudo o que há na terra morrerá. 
GEN.6.18	Porém, contigo estabelecerei a 
GEN.6.19	De tudo o que vive de toda a carne, dois de cada espécie farás entrar na arca, para os conservar vivos contigo; macho e fêmea serão. 
GEN.6.20	Das aves segundo as suas espécies, do gado segundo as suas espécies, e de todo o réptil da terra segundo as suas espécies, dois de cada espécie virão a ti, para os conservares em vida. 
GEN.6.21	Leva contigo de tudo o que se come e ajunta-o para ti; ser-te-á para alimento, a ti e a eles. 
GEN.6.22	Assim fez Noé; segundo tudo o que Deus lhe ordenou, assim o fez.
GEN.7.1	Disse Jeová a Noé: Entra na arca, tu e toda a tua casa, porque vi que eras 
GEN.7.2	De todos os 
GEN.7.3	também das aves do céu, de sete em sete, macho e fêmea, para se conservar em vida semente sobre a face da terra. 
GEN.7.4	Porque, passados ainda 
GEN.7.5	Fez Noé segundo tudo o que Jeová lhe ordenara.
GEN.7.6	Noé tinha 
GEN.7.7	Entrou 
GEN.7.8	Dos 
GEN.7.9	entraram de dois em dois na arca, macho e fêmea, como Deus ordenara a Noé. 
GEN.7.10	Passados os 
GEN.7.11	No ano 
GEN.7.12	Caiu 
GEN.7.13	Nesse mesmo dia, 
GEN.7.14	Entraram estes com todo o animal segundo as suas espécies, todo gado segundo as suas espécies, todo o réptil que se arrasta sobre a terra segundo as suas espécies, e toda a ave segundo as suas espécies, pássaro de toda a qualidade. 
GEN.7.15	Entraram a Noé na arca a 
GEN.7.16	Os que entraram, entraram macho e fêmea de toda a carne, como Deus lhe ordenara; e Jeová o fechou dentro. 
GEN.7.17	Durou o dilúvio 
GEN.7.18	Prevaleceram as águas e cresceram grandemente sobre a terra; mas a arca andava sobre as águas. 
GEN.7.19	As águas prevaleceram excessivamente sobre a terra, e todos os altos montes que havia debaixo do céu foram cobertos. 
GEN.7.20	Quinze cúbitos por cima deles prevaleceram as águas, 
GEN.7.21	Pereceu 
GEN.7.22	tudo o que tinha o fôlego do espírito de vida em seus narizes, tudo o que havia na terra seca morreu. 
GEN.7.23	Foram destruídas todas as criaturas que havia sobre a face da terra, desde o homem até o gado, até o réptil e até as aves do céu; pereceram da terra: foi deixado somente 
GEN.7.24	Prevaleceram 
GEN.8.1	Deus lembrou-se de Noé, de todos os animais e de todo o gado que estavam com ele na arca; 
GEN.8.2	Fecharam-se 
GEN.8.3	Iam-se as águas retirando continuamente de cima da terra e, no fim de 
GEN.8.4	No sétimo mês, no dia dezessete do mês, 
GEN.8.5	As águas iam diminuindo continuamente até o décimo mês; no décimo mês, no primeiro dia do mês, foram vistos os cumes dos montes.
GEN.8.6	Passados quarenta dias, abriu Noé a janela que havia feito na arca; 
GEN.8.7	soltou um corvo que, saindo, ia e voltava, até que as águas se secaram de sobre a face da terra. 
GEN.8.8	Depois, soltou uma pomba, para ver se as águas tinham minguado de sobre a face da terra; 
GEN.8.9	mas a pomba não achou onde pousar a planta do pé e voltou a ele, para a arca; porque as águas ainda cobriam a face da terra. Noé, estendendo a mão, tomou-a e a fez recolher na arca. 
GEN.8.10	Esperou ainda outros sete dias e, de novo, soltou a pomba para fora da arca. 
GEN.8.11	À tarde, a pomba voltou para ele, e eis no seu bico uma folha verde de oliveira; assim soube Noé que as águas tinham minguado de sobre a terra. 
GEN.8.12	Então, esperou ainda outros sete dias e enviou a 
GEN.8.13	No ano 
GEN.8.14	No segundo mês, aos vinte e sete dias do mês, a terra estava seca. 
GEN.8.15	Então, disse Deus a Noé: 
GEN.8.16	Sai da arca, tu com tua mulher, teus filhos e as mulheres de teus filhos. 
GEN.8.17	Faze também sair a todos os animais que estão contigo, de toda a carne, tanto aves como gado e todo o réptil que se arrasta sobre a terra; para que 
GEN.8.18	Saíram, pois, Noé, seus filhos, sua mulher e as mulheres de seus filhos. 
GEN.8.19	Todo o animal, todo o réptil, toda a ave, tudo o que se move sobre a terra, segundo as suas famílias, saíram da arca.
GEN.8.20	Edificou Noé um 
GEN.8.21	Sentiu Jeová o suave cheiro e disse no seu coração: Não tornarei mais a 
GEN.8.22	Enquanto durar a terra, não deixará de haver sementeira e ceifa, frio e calor, 
GEN.9.1	Abençoou Deus a Noé e a seus filhos e lhes disse: 
GEN.9.2	Terá medo e pavor de vós todo o animal da terra e toda a ave do céu; nas vossas mãos serão eles entregues juntamente com tudo o que se move sobre a terra e com todos os peixes do mar. 
GEN.9.3	Tudo o que se move e vive vos servirá de mantimento; 
GEN.9.4	A carne, porém, com sua vida, isto é, com 
GEN.9.5	Certamente, requererei o 
GEN.9.6	Se alguém 
GEN.9.7	Mas vós 
GEN.9.8	Disse também Deus a Noé e a seus filhos: 
GEN.9.9	Eis que eu 
GEN.9.10	e também com todo o animal vivente que está convosco: com as aves, com o gado e com todo o animal da terra, desde todos os que saem da arca até todo o animal da terra. 
GEN.9.11	Estabelecerei a minha aliança convosco: 
GEN.9.12	Disse Deus: Este é o 
GEN.9.13	o meu 
GEN.9.14	Quando eu trouxer nuvens sobre a terra, e aparecer o arco nas nuvens, 
GEN.9.15	então, 
GEN.9.16	O arco estará nas nuvens; olharei para ele, a fim de me lembrar da aliança eterna entre Deus e todo o animal vivente de toda a carne que está sobre a terra. 
GEN.9.17	Disse Deus a Noé: Este é o sinal da aliança que tenho estabelecido entre mim e toda a carne que está sobre a terra.
GEN.9.18	Os filhos de Noé, que saíram da arca, foram Sem, Cam e Jafé. 
GEN.9.19	Estes três foram os filhos de Noé; e 
GEN.9.20	Começou Noé a ser lavrador e plantou uma vinha. 
GEN.9.21	Bebendo do vinho, embriagou-se e achou-se nu dentro da sua tenda. 
GEN.9.22	Cam, pai de Canaã, viu a nudez de seu pai e contou a seus dois irmãos que estavam fora. 
GEN.9.23	Então, tomaram Sem e Jafé uma capa, puseram-na sobre os seus ombros e, andando virados para trás, cobriram a nudez de seu pai; tiveram virado os seus rostos, e não viram a nudez de seu pai. 
GEN.9.24	Despertando Noé do seu vinho, soube o que seu filho mais moço lhe fizera.
GEN.9.25	E disse:
GEN.9.25	servo dos servos será de seus irmãos.
GEN.9.26	E acrescentou:
GEN.9.26	e seja-lhes Canaã por servo.
GEN.9.27	e habite Jafé nas tendas de Sem;
GEN.9.27	e seja-lhes Canaã por servo.
GEN.9.28	Noé viveu, depois do dilúvio, trezentos e cinquenta anos. 
GEN.9.29	Foram todos os dias de Noé novecentos e cinquenta anos; e morreu.
GEN.10.1	Estas são as gerações de Sem, Cam e Jafé, filhos de Noé; e a estes nasceram filhos depois do dilúvio.
GEN.10.3	Os filhos de Gômer: 
GEN.10.4	Os filhos de Javã: Elisá, 
GEN.10.5	Por estes foram repartidas as ilhas das nações nas suas terras, cada qual segundo a sua língua, segundo as suas famílias, entre as suas nações.
GEN.10.7	Os filhos de Cuxe: 
GEN.10.8	Cuxe gerou a Ninrode, que começou a ser poderoso na terra. 
GEN.10.9	Ele era poderoso caçador diante de Jeová; pelo que se diz: Como Ninrode, poderoso caçador diante de Jeová. 
GEN.10.10	O princípio de seu reino foi 
GEN.10.11	Daquela terra saiu ele 
GEN.10.12	e Resém entre Nínive e Calá (esta é a grande cidade). 
GEN.10.13	Mizraim gerou a 
GEN.10.14	Patrusim, Casluim (donde saíram os filisteus) e Caftorim.
GEN.10.15	Canaã gerou a 
GEN.10.16	e ao 
GEN.10.17	o heveu, o arqueu, o sineu, 
GEN.10.18	o arvadeu, o zemareu e o hamateu; e depois se espalharam as famílias dos cananeus. 
GEN.10.19	Era o termo dos cananeus desde Sidom, no caminho de Gerar, até Gaza; e no caminho de 
GEN.10.20	Estes são os filhos de Cam segundo a sua família, segundo as suas línguas, nas suas terras, nas suas nações.
GEN.10.21	A Sem, que foi pai de todos os filhos de Éber e irmão mais velho de Jafé, a ele também nasceram filhos. 
GEN.10.22	Os filhos de Sem: 
GEN.10.23	Os filhos de Arã: 
GEN.10.24	Arfaxade gerou a 
GEN.10.25	A Éber nasceram dois filhos: o nome de um foi Pelegue, porque nos seus dias foi dividida a terra; e o nome de seu irmão foi Joctã. 
GEN.10.26	Joctã gerou a Almodá, Salefe, Hazar-Mavé, Jerá, 
GEN.10.27	Hadorão, Uzal, Dicla, 
GEN.10.28	Obal, Abimael, Sabá, 
GEN.10.29	Ofir, Havilá e Jobabe; todos estes foram filhos de Joctã. 
GEN.10.30	Foi a sua habitação desde Messa, no caminho de Sefar, monte do Oriente. 
GEN.10.31	Estes são os filhos de Sem segundo as suas famílias, segundo as suas línguas, nas suas terras, segundo as suas nações.
GEN.10.32	Estas são as famílias dos filhos de Noé segundo as suas gerações, nas suas nações; e 
GEN.11.1	Ora, toda a terra tinha uma só linguagem e um só modo de falar. 
GEN.11.2	Viajando os homens para o Oriente, acharam uma planície na terra de 
GEN.11.3	Disseram uns aos outros: Vinde, façamos tijolos e queimemo-los bem. Os tijolos lhes serviram de pedras, e o 
GEN.11.4	E disseram: Vinde, edifiquemos para nós uma cidade e uma torre cujo cume 
GEN.11.5	Porém, 
GEN.11.6	Disse Jeová: Eis que o povo é um só, e todos eles têm 
GEN.11.7	Vinde, 
GEN.11.8	Assim Jeová os 
GEN.11.9	Por isso, se chamou o seu nome 
GEN.11.11	Viveu Sem, depois que gerou a Arfaxade, quinhentos anos; e gerou filhos e filhas.
GEN.11.12	Arfaxade viveu trinta e cinco anos e gerou a Salá. 
GEN.11.13	Viveu Arfaxade, depois que gerou a Salá, quatrocentos e três anos; e gerou filhos e filhas.
GEN.11.14	Salá viveu trinta anos e gerou a Éber. 
GEN.11.15	Viveu Salá, depois que gerou a Éber, quatrocentos e três anos; e gerou filhos e filhas.
GEN.11.16	Éber viveu trinta e quatro anos e gerou a Pelegue. 
GEN.11.17	Viveu Éber, depois que gerou a Pelegue, quatrocentos e trinta anos; e gerou filhos e filhas.
GEN.11.18	Pelegue viveu trinta anos e gerou a Reú. 
GEN.11.19	Viveu Pelegue, depois que gerou a Reú, duzentos e nove anos; e gerou filhos e filhas.
GEN.11.20	Reú viveu trinta e dois anos e gerou a Serugue. 
GEN.11.21	Viveu Reú, depois que gerou a Serugue, duzentos e sete anos; e gerou filhos e filhas.
GEN.11.22	Serugue viveu trinta anos e gerou a Naor. 
GEN.11.23	Viveu Serugue, depois que gerou a Naor, duzentos anos; e gerou filhos e filhas.
GEN.11.24	Naor viveu vinte e nove anos e gerou a 
GEN.11.25	Viveu Naor, depois que gerou a Tera, cento e dezenove anos; e gerou filhos e filhas.
GEN.11.26	Tera viveu setenta anos e gerou a Abrão, a Naor e a Harã.
GEN.11.27	Estas são as gerações de Tera: Tera gerou a Abrão, a Naor e a Harã; e 
GEN.11.28	Harã morreu antes de seu pai Tera, na terra do seu nascimento, em 
GEN.11.29	Abrão e 
GEN.11.30	Sarai era estéril; ela não tinha filhos. 
GEN.11.31	Tomou Tera a Abrão, seu filho, e a Ló, filho de Harã, filho de seu filho, e a Sarai, sua nora, mulher de seu filho Abrão, e saiu com eles de 
GEN.11.32	Foram os dias de Tera duzentos e cinco anos; e morreu Tera em Harã.
GEN.12.1	Ora, disse 
GEN.12.2	farei de ti uma grande nação, e te 
GEN.12.3	Abençoarei os que te abençoarem e amaldiçoarei aquele que te amaldiçoar; 
GEN.12.4	Partiu, pois, Abrão, como Jeová lhe ordenara, e 
GEN.12.5	Abrão levou consigo a Sarai, sua mulher, e a Ló, filho de seu irmão, e todos os 
GEN.12.6	Atravessou Abrão a terra até o lugar de 
GEN.12.7	Apareceu Jeová a Abrão e disse: 
GEN.12.8	Passando dali para o monte ao oriente de Betel, levantou a sua tenda, ficando-lhe 
GEN.12.9	Continuou Abrão o seu caminho, indo sempre para o 
GEN.12.10	Havia fome naquela terra; Abrão, pois, desceu ao Egito para peregrinar ali, porquanto era grande a fome na terra. 
GEN.12.11	Quando ele estava quase a entrar no Egito, disse a Sarai, sua mulher: Ora, bem sei que és 
GEN.12.12	Acontecerá que, quando os egípcios te virem, hão de dizer: Esta é a mulher dele, e me matarão a mim, mas a ti te guardarão em vida. 
GEN.12.13	Dize, pois, que és minha 
GEN.12.14	Tendo Abrão entrado no Egito, viram os egípcios que a mulher era em extremo formosa. 
GEN.12.15	Os príncipes de Faraó viram-na e gabaram-na diante de Faraó; e 
GEN.12.16	Ele 
GEN.12.17	Mas 
GEN.12.18	Então, chamou Faraó a Abrão e disse: 
GEN.12.19	Por que disseste: É minha irmã? Assim a tomei para ser minha mulher. Agora, pois, eis tua mulher; toma-a e vai-te. 
GEN.12.20	Faraó deu ordens à sua gente a respeito dele, e o conduziram pelo caminho, a ele, sua mulher e tudo o que tinha.
GEN.13.1	Saiu do Egito Abrão com sua mulher e com tudo o que tinha, e Ló, com ele, para o 
GEN.13.2	Abrão era muito rico em gado, em prata e em ouro. 
GEN.13.3	Fez as suas jornadas do Neguebe até Betel, até o lugar onde primeiro estivera a sua tenda, 
GEN.13.4	até o lugar do altar, que dantes ali havia feito; ali, invocou Abrão o nome de Jeová. 
GEN.13.5	Ló também, que ia com Abrão, tinha rebanhos, gado e tendas. 
GEN.13.6	A terra não podia sustentá-los, de maneira que habitassem juntos, 
GEN.13.7	Houve 
GEN.13.8	Disse Abrão a Ló: Não haja contenda entre mim e ti, e entre os meus pastores e os teus, porque somos irmãos. 
GEN.13.9	Porventura, não está toda a terra diante de ti? Rogo-te que te apartes de mim: se tu fores para a esquerda, eu irei para a direita; porém, se tu fores para a direita, eu irei para a esquerda. 
GEN.13.10	Ló levantou os olhos e viu toda a 
GEN.13.11	Assim Ló escolheu para si toda a planície do Jordão e partiu para o oriente; apartaram-se um do outro. 
GEN.13.12	Habitou Abrão na terra de Canaã, e Ló, nas 
GEN.13.13	Ora, os homens de Sodoma eram maus e 
GEN.13.14	Disse Jeová a Abrão, depois que Ló se separou dele: 
GEN.13.15	porque toda essa terra que vês 
GEN.13.16	Farei a tua semente 
GEN.13.17	Levanta-te, 
GEN.13.18	Abrão mudou a sua tenda e foi habitar perto dos terebintos de 
GEN.14.1	Aconteceu nos dias de Anrafel, rei de 
GEN.14.2	que fizeram estes guerra contra Bera, rei de Sodoma, contra Birsa, rei de Gomorra, contra Sinabe, rei de 
GEN.14.3	Todos estes se ajuntaram 
GEN.14.4	Doze anos serviram a Quedorlaomer, mas no décimo terceiro se rebelaram. 
GEN.14.5	Ao décimo quarto ano veio Quedorlaomer e os reis que estavam com ele e feriram aos 
GEN.14.6	e aos 
GEN.14.7	Na volta, vieram a En-Mispate (que é 
GEN.14.8	Então, saíram os reis de Sodoma, de Gomorra, de Admá, de Zeboim e de Bela (esta é Zoar); e ordenaram batalha contra eles 
GEN.14.9	contra Quedorlaomer, rei de Elão, contra Tidal, rei de Goim, contra Anrafel, rei de Sinear, e contra Arioque, rei de Elasar; quatro reis contra cinco. 
GEN.14.10	Ora, o vale de Sidim estava cheio de poços de betume; 
GEN.14.11	Eles tomaram todos os bens de Sodoma e Gomorra, com os seus víveres, e foram-se. 
GEN.14.12	Levaram também a Ló, 
GEN.14.13	Veio um que escapara e deu parte a Abrão, o 
GEN.14.14	Tendo Abrão ouvido que 
GEN.14.15	Dividiu-se contra eles de noite, ele e seus servos, e, ferindo-os, os perseguiu até Hobá, que fica à esquerda de 
GEN.14.16	Tornou a trazer todos os bens, e tornou a trazer também a Ló, 
GEN.14.17	O 
GEN.14.18	Melquisedeque, rei de Salém, trouxe 
GEN.14.19	Abençoou a Abrão e disse: Bendito seja Abrão pelo Deus Altíssimo, 
GEN.14.20	E bendito seja o Deus Altíssimo, que entregou os teus inimigos às tuas mãos! Abrão 
GEN.14.21	Então, o rei de Sodoma disse a Abrão: Dá-me a mim as pessoas e toma para ti os bens. 
GEN.14.22	Respondeu-lhe Abrão: Levanto a minha mão para Jeová, 
GEN.14.23	jurando que 
GEN.14.24	salvo o que os mancebos comeram e a porção que toca aos homens 
GEN.15.1	Depois destas coisas, veio 
GEN.15.2	Respondeu Abrão: Senhor Jeová, que me darás, visto que morro sem filhos, e o herdeiro da minha casa é Eliézer de Damasco? 
GEN.15.3	Acrescentou Abrão: Eis que a mim não me tens dado filhos, e um 
GEN.15.4	Veio-lhe a palavra de Jeová: Este não será o teu herdeiro; 
