GEN.1.1	No princípio Deus criou os céus e a terra.
GEN.1.20	Disse também Deus: “Encham-se as águas de seres vivos, e voem as aves sobre a terra, sob o firmamento do céu”. 
GEN.1.21	Assim Deus criou os grandes animais aquáticos e os demais seres vivos que povoam as águas, de acordo com as suas espécies; e todas as aves, de acordo com as suas espécies. E Deus viu que ficou bom. 
GEN.1.22	Então Deus os abençoou, dizendo: “Sejam férteis e multipliquem-se! Encham as águas dos mares! E multipliquem-se as aves na terra”. 
GEN.1.23	Passaram-se a tarde e a manhã; esse foi o quinto dia.
GEN.1.24	E disse Deus: “Produza a terra seres vivos de acordo com as suas espécies: rebanhos domésticos, animais selvagens e os demais seres vivos da terra, cada um de acordo com a sua espécie”. E assim foi. 
GEN.1.25	Deus fez os animais selvagens de acordo com as suas espécies, os rebanhos domésticos de acordo com as suas espécies, e os demais seres vivos da terra de acordo com as suas espécies. E Deus viu que ficou bom.
GEN.1.26	Então disse Deus: “Façamos o homem à nossa imagem, conforme a nossa semelhança. Domine ele
GEN.1.27	Criou Deus o homem à sua imagem,
GEN.1.27	à imagem de Deus o criou;
GEN.1.27	homem e mulher
GEN.1.28	Deus os abençoou e lhes disse: “Sejam férteis e multipliquem-se! Encham e subjuguem a terra! Dominem sobre os peixes do mar, sobre as aves do céu e sobre todos os animais que se movem pela terra”.
GEN.1.29	Disse Deus: “Eis que dou a vocês todas as plantas que nascem em toda a terra e produzem sementes, e todas as árvores que dão frutos com sementes. Elas servirão de alimento para vocês. 
GEN.1.30	E dou todos os vegetais como alimento a tudo o que tem em si fôlego de vida: a todos os grandes animais da terra
GEN.1.31	E Deus viu tudo o que havia feito, e tudo havia ficado muito bom. Passaram-se a tarde e a manhã; esse foi o sexto dia.
GEN.2.1	Assim foram concluídos os céus e a terra, e tudo o que neles há.
GEN.2.2	No sétimo dia Deus já havia concluído a obra que realizara, e nesse dia descansou. 
GEN.2.3	Abençoou Deus o sétimo dia e o santificou, porque nele descansou de toda a obra que realizara na criação.
GEN.2.4	Esta é a história das origens
GEN.2.4	Quando o 
GEN.2.5	ainda não tinha brotado nenhum arbusto no campo, e nenhuma planta havia germinado, porque o 
GEN.2.6	Todavia brotava água
GEN.2.7	Então o 
GEN.2.8	Ora, o 
GEN.2.9	Então o 
GEN.2.10	No Éden nascia um rio que irrigava o jardim, e depois se dividia em quatro. 
GEN.2.11	O nome do primeiro é Pisom. Ele percorre toda a terra de Havilá, onde existe ouro. 
GEN.2.12	O ouro daquela terra é excelente; lá também existem o bdélio e a pedra de ônix. 
GEN.2.13	O segundo, que percorre toda a terra de Cuxe, é o Giom. 
GEN.2.14	O terceiro, que corre pelo lado leste da Assíria, é o Tigre. E o quarto rio é o Eufrates.
GEN.2.15	O 
GEN.2.16	E o 
GEN.2.17	mas não coma da árvore do conhecimento do bem e do mal, porque no dia em que dela comer, certamente você morrerá”.
GEN.2.18	Então o 
GEN.2.19	Depois que formou da terra todos os animais do campo e todas as aves do céu, o 
GEN.2.20	Assim o homem deu nomes a todos os rebanhos domésticos, às aves do céu e a todos os animais selvagens. Todavia não se encontrou para o homem
GEN.2.21	Então o 
GEN.2.22	Com a costela que havia tirado do homem, o 
GEN.2.23	Disse então o homem:
GEN.2.23	“Esta, sim, é osso dos meus ossos
GEN.2.23	e carne da minha carne!
GEN.2.23	Ela será chamada mulher,
GEN.2.23	porque do homem
GEN.2.24	Por essa razão, o homem deixará pai e mãe e se unirá à sua mulher, e eles se tornarão uma só carne.
GEN.2.25	O homem e sua mulher viviam nus, e não sentiam vergonha.
GEN.3.1	Ora, a serpente era o mais astuto de todos os animais selvagens que o 
GEN.3.2	Respondeu a mulher à serpente: “Podemos comer do fruto das árvores do jardim, 
GEN.3.3	mas Deus disse: ‘Não comam do fruto da árvore que está no meio do jardim, nem toquem nele; do contrário vocês morrerão’ ”.
GEN.3.4	Disse a serpente à mulher: “Certamente não morrerão! 
GEN.3.5	Deus sabe que, no dia em que dele comerem, seus olhos se abrirão, e vocês, como Deus
GEN.3.6	Quando a mulher viu que a árvore parecia agradável ao paladar, era atraente aos olhos e, além disso, desejável para dela se obter discernimento, tomou do seu fruto, comeu-o e o deu a seu marido, que comeu
GEN.3.7	Os olhos dos dois se abriram, e perceberam que estavam nus; então juntaram folhas de figueira para cobrir-se.
GEN.3.8	Ouvindo o homem e sua mulher os passos
GEN.3.9	Mas o 
GEN.3.10	E ele respondeu: “Ouvi teus passos no jardim e fiquei com medo, porque estava nu; por isso me escondi”.
GEN.3.11	E Deus perguntou: “Quem disse que você estava nu? Você comeu do fruto da árvore da qual o proibi de comer?”
GEN.3.12	Disse o homem: “Foi a mulher que me deste por companheira que me deu do fruto da árvore, e eu comi”.
GEN.3.13	O 
GEN.3.13	Respondeu a mulher: “A serpente me enganou, e eu comi”.
GEN.3.14	Então o 
GEN.3.14	“Uma vez que você fez isso,
GEN.3.14	maldita é você entre todos os rebanhos domésticos
GEN.3.14	e entre todos os animais selvagens!
GEN.3.14	Sobre o seu ventre você rastejará,
GEN.3.14	e pó comerá todos os dias da sua vida.
GEN.3.15	Porei inimizade entre você e a mulher,
GEN.3.15	entre a sua descendência e o descendente
GEN.3.15	este ferirá a sua cabeça,
GEN.3.15	e você lhe ferirá o calcanhar”.
GEN.3.16	À mulher, ele declarou:
GEN.3.16	“Multiplicarei grandemente o seu sofrimento na gravidez;
GEN.3.16	com sofrimento você dará à luz filhos.
GEN.3.16	Seu desejo será para o seu marido,
GEN.3.16	e ele
GEN.3.17	E ao homem declarou:
GEN.3.17	“Visto que você deu ouvidos à sua mulher
GEN.3.17	e comeu do fruto da árvore
GEN.3.17	da qual ordenei a você que não comesse,
GEN.3.17	maldita é a terra por sua causa;
GEN.3.17	com sofrimento você se alimentará dela
GEN.3.17	todos os dias da sua vida.
GEN.3.18	Ela lhe dará espinhos e ervas daninhas,
GEN.3.18	e você terá que alimentar-se das plantas do campo.
GEN.3.19	Com o suor do seu rosto você comerá o seu pão,
GEN.3.19	até que volte à terra, visto que dela foi tirado;
GEN.3.19	porque você é pó,
GEN.3.19	e ao pó voltará”.
GEN.3.20	Adão deu à sua mulher o nome de Eva, pois ela seria mãe de toda a humanidade. 
GEN.3.21	O 
GEN.3.22	Então disse o 
GEN.3.23	Por isso o 
GEN.3.24	Depois de expulsar o homem, colocou a leste do jardim do Éden querubins e uma espada flamejante que se movia, guardando o caminho para a árvore da vida.
GEN.4.1	Adão teve relações com Eva, sua mulher, e ela engravidou e deu à luz Caim. Disse ela: “Com o auxílio do 
GEN.4.2	Voltou a dar à luz, desta vez a Abel, irmão dele.
GEN.4.2	Abel tornou-se pastor de ovelhas, e Caim, agricultor. 
GEN.4.3	Passado algum tempo, Caim trouxe do fruto da terra uma oferta ao 
GEN.4.4	Abel, por sua vez, trouxe as partes gordas das primeiras crias do seu rebanho. O 
GEN.4.5	mas não aceitou Caim e sua oferta. Por isso Caim se enfureceu e o seu rosto se transtornou.
GEN.4.6	O 
GEN.4.7	Se você fizer o bem, não será aceito? Mas, se não o fizer, saiba que o pecado o ameaça à porta; ele deseja conquistá-lo, mas você deve dominá-lo”.
GEN.4.8	Disse, porém, Caim a seu irmão Abel: “Vamos para o campo”.
GEN.4.9	Então o 
GEN.4.9	Respondeu ele: “Não sei; sou eu o responsável por meu irmão?”
GEN.4.10	Disse o 
GEN.4.11	Agora amaldiçoado é você pela terra
GEN.4.12	Quando você cultivar a terra, esta não lhe dará mais da sua força. Você será um fugitivo errante pelo mundo”.
GEN.4.13	Disse Caim ao 
GEN.4.14	Hoje me expulsas desta terra, e terei que me esconder da tua face; serei um fugitivo errante pelo mundo, e qualquer que me encontrar me matará”.
GEN.4.15	Mas o 
GEN.4.16	Então Caim afastou-se da presença do 
GEN.4.17	Caim teve relações com sua mulher, e ela engravidou e deu à luz Enoque. Depois Caim fundou uma cidade, à qual deu o nome do seu filho Enoque. 
GEN.4.18	A Enoque nasceu Irade, Irade gerou a Meujael, Meujael a Metusael, e Metusael a Lameque.
GEN.4.19	Lameque tomou duas mulheres: uma chamava-se Ada; a outra, Zilá. 
GEN.4.20	Ada deu à luz Jabal, que foi o pai daqueles que moram em tendas e criam rebanhos. 
GEN.4.21	O nome do irmão dele era Jubal, que foi o pai de todos os que tocam harpa e flauta. 
GEN.4.22	Zilá também deu à luz um filho, chamado Tubalcaim, que fabricava todo tipo de ferramentas de bronze e de ferro
GEN.4.23	Disse Lameque às suas mulheres:
GEN.4.23	“Ada e Zilá, ouçam-me;
GEN.4.23	mulheres de Lameque, escutem minhas palavras:
GEN.4.23	Eu matei um homem porque me feriu,
GEN.4.23	e um menino, porque me machucou.
GEN.4.24	Se Caim é vingado sete vezes,
GEN.4.24	Lameque o será setenta e sete”.
GEN.4.25	Novamente Adão teve relações com sua mulher, e ela deu à luz outro filho, a quem chamou Sete, dizendo: “Deus me concedeu um filho no lugar de Abel, visto que Caim o matou”. 
GEN.4.26	Também a Sete nasceu um filho, a quem deu o nome de Enos.
GEN.4.26	Nessa época começou-se a invocar
GEN.5.1	Este é o registro da descendência de Adão:
GEN.5.1	Quando Deus criou o homem, à semelhança de Deus o fez; 
GEN.5.2	homem e mulher os criou. Quando foram criados, ele os abençoou e os chamou Homem
GEN.5.3	Aos 130 anos, Adão gerou um filho à sua semelhança, conforme a sua imagem; e deu-lhe o nome de Sete. 
GEN.5.4	Depois que gerou Sete, Adão viveu 800 anos e gerou outros filhos e filhas. 
GEN.5.5	Viveu ao todo 930 anos e morreu.
GEN.5.6	Aos 105 anos, Sete gerou
GEN.5.7	Depois que gerou Enos, Sete viveu 807 anos e gerou outros filhos e filhas. 
GEN.5.8	Viveu ao todo 912 anos e morreu.
GEN.5.9	Aos 90 anos, Enos gerou Cainã. 
GEN.5.10	Depois que gerou Cainã, Enos viveu 815 anos e gerou outros filhos e filhas. 
GEN.5.11	Viveu ao todo 905 anos e morreu.
GEN.5.12	Aos 70 anos, Cainã gerou Maalaleel. 
GEN.5.13	Depois que gerou Maalaleel, Cainã viveu 840 anos e gerou outros filhos e filhas. 
GEN.5.14	Viveu ao todo 910 anos e morreu.
GEN.5.15	Aos 65 anos, Maalaleel gerou Jarede. 
GEN.5.16	Depois que gerou Jarede, Maalaleel viveu 830 anos e gerou outros filhos e filhas. 
GEN.5.17	Viveu ao todo 895 anos e morreu.
GEN.5.18	Aos 162 anos, Jarede gerou Enoque. 
GEN.5.19	Depois que gerou Enoque, Jarede viveu 800 anos e gerou outros filhos e filhas. 
GEN.5.20	Viveu ao todo 962 anos e morreu.
GEN.5.21	Aos 65 anos, Enoque gerou Matusalém. 
GEN.5.22	Depois que gerou Matusalém, Enoque andou com Deus 300 anos e gerou outros filhos e filhas. 
GEN.5.23	Viveu ao todo 365 anos. 
GEN.5.24	Enoque andou com Deus; e já não foi encontrado, pois Deus o havia arrebatado.
GEN.5.25	Aos 187 anos, Matusalém gerou Lameque. 
GEN.5.26	Depois que gerou Lameque, Matusalém viveu 782 anos e gerou outros filhos e filhas. 
GEN.5.27	Viveu ao todo 969 anos e morreu.
GEN.5.28	Aos 182 anos, Lameque gerou um filho. 
GEN.5.29	Deu-lhe o nome de Noé e disse: “Ele nos aliviará do nosso trabalho e do sofrimento de nossas mãos, causados pela terra que o 
GEN.5.30	Depois que Noé nasceu, Lameque viveu 595 anos e gerou outros filhos e filhas. 
GEN.5.31	Viveu ao todo 777 anos e morreu.
GEN.5.32	Aos 500 anos, Noé tinha gerado Sem, Cam e Jafé.
GEN.6.1	Quando os homens começaram a multiplicar-se na terra e lhes nasceram filhas, 
GEN.6.2	os filhos de Deus viram que as filhas dos homens eram bonitas, e escolheram para si aquelas que lhes agradaram. 
GEN.6.3	Então disse o 
GEN.6.4	Naqueles dias, havia nefilins
GEN.6.5	O 
GEN.6.6	Então o 
GEN.6.7	Disse o 
GEN.6.8	A Noé, porém, o 
GEN.6.9	Esta é a história da família de Noé:
GEN.6.9	Noé era homem justo, íntegro entre o povo da sua época; ele andava com Deus. 
GEN.6.10	Noé gerou três filhos: Sem, Cam e Jafé.
GEN.6.11	Ora, a terra estava corrompida aos olhos de Deus e cheia de violência. 
GEN.6.12	Ao ver como a terra se corrompera, pois toda a humanidade havia corrompido a sua conduta, 
GEN.6.13	Deus disse a Noé: “Darei fim a todos os seres humanos, porque a terra encheu-se de violência por causa deles. Eu os destruirei com a terra. 
GEN.6.14	Você, porém, fará uma arca de madeira de cipreste
GEN.6.15	Faça-a com cento e trinta e cinco metros de comprimento, vinte e dois metros e meio de largura e treze metros e meio de altura
GEN.6.16	Faça-lhe um teto com um vão de quarenta e cinco centímetros
GEN.6.17	“Eis que vou trazer águas sobre a terra, o Dilúvio, para destruir debaixo do céu toda criatura que tem fôlego de vida. Tudo o que há na terra perecerá. 
GEN.6.18	Mas com você estabelecerei a minha aliança, e você entrará na arca com seus filhos, sua mulher e as mulheres de seus filhos. 
GEN.6.19	Faça entrar na arca um casal de cada um dos seres vivos, macho e fêmea, para conservá-los vivos com você. 
GEN.6.20	De cada espécie de ave, de cada espécie de animal grande e de cada espécie de animal pequeno que se move rente ao chão virá um casal a você para que sejam conservados vivos. 
GEN.6.21	E armazene todo tipo de alimento, para que você e eles tenham mantimento”.
GEN.6.22	Noé fez tudo exatamente como Deus lhe tinha ordenado.
GEN.7.1	Então o 
GEN.7.2	Leve com você sete casais de cada espécie de animal puro, macho e fêmea, e um casal de cada espécie de animal impuro, macho e fêmea, 
GEN.7.3	e leve também sete casais de aves de cada espécie, macho e fêmea, a fim de preservá-los em toda a terra. 
GEN.7.4	Daqui a sete dias farei chover sobre a terra quarenta dias e quarenta noites, e farei desaparecer da face da terra todos os seres vivos que fiz”.
GEN.7.5	E Noé fez tudo como o 
GEN.7.6	Noé tinha seiscentos anos de idade quando as águas do Dilúvio vieram sobre a terra. 
GEN.7.7	Noé, seus filhos, sua mulher e as mulheres de seus filhos entraram na arca, por causa das águas do Dilúvio. 
GEN.7.8	Casais de animais grandes, puros e impuros, de aves e de todos os animais pequenos que se movem rente ao chão 
GEN.7.9	vieram a Noé e entraram na arca, como Deus tinha ordenado a Noé. 
GEN.7.10	E, depois dos sete dias, as águas do Dilúvio vieram sobre a terra.
GEN.7.11	No dia em que Noé completou seiscentos anos, um mês e dezessete dias, nesse mesmo dia todas as fontes das grandes profundezas jorraram, e as comportas do céu se abriram. 
GEN.7.12	E a chuva caiu sobre a terra quarenta dias e quarenta noites.
GEN.7.13	Naquele mesmo dia, Noé e seus filhos, Sem, Cam e Jafé, com sua mulher e com as mulheres de seus três filhos, entraram na arca. 
GEN.7.14	Com eles entraram todos os animais de acordo com as suas espécies: todos os animais selvagens, todos os rebanhos domésticos, todos os demais seres vivos que se movem rente ao chão e todas as criaturas que têm asas: todas as aves e todos os outros animais que voam. 
GEN.7.15	Casais de todas as criaturas que tinham fôlego de vida vieram a Noé e entraram na arca. 
GEN.7.16	Os animais que entraram foram um macho e uma fêmea de cada ser vivo, conforme Deus ordenara a Noé. Então o 
GEN.7.17	Quarenta dias durou o Dilúvio, e as águas aumentaram e elevaram a arca acima da terra. 
GEN.7.18	As águas prevaleceram, aumentando muito sobre a terra, e a arca flutuava na superfície das águas. 
GEN.7.19	As águas dominavam cada vez mais a terra, e foram cobertas todas as altas montanhas debaixo do céu. 
GEN.7.20	As águas subiram até quase sete metros
GEN.7.21	Todos os seres vivos que se movem sobre a terra pereceram: aves, rebanhos domésticos, animais selvagens, todas as pequenas criaturas que povoam a terra e toda a humanidade. 
GEN.7.22	Tudo o que havia em terra seca e tinha nas narinas o fôlego de vida morreu. 
GEN.7.23	Todos os seres vivos foram exterminados da face da terra; tanto os homens como os animais grandes, os animais pequenos que se movem rente ao chão e as aves do céu foram exterminados da terra. Só restaram Noé e aqueles que com ele estavam na arca.
GEN.7.24	E as águas prevaleceram sobre a terra cento e cinquenta dias.
GEN.8.1	Então Deus lembrou-se de Noé e de todos os animais selvagens e rebanhos domésticos que estavam com ele na arca, e enviou um vento sobre a terra, e as águas começaram a baixar.
GEN.8.2	As fontes das profundezas e as comportas do céu se fecharam, e a chuva parou. 
GEN.8.3	As águas foram baixando pouco a pouco sobre a terra. Ao fim de cento e cinquenta dias, as águas tinham diminuído, 
GEN.8.4	e, no décimo sétimo dia do sétimo mês, a arca pousou nas montanhas de Ararate. 
GEN.8.5	As águas continuaram a baixar até o décimo mês, e no primeiro dia do décimo mês apareceram os topos das montanhas.
GEN.8.6	Passados quarenta dias, Noé abriu a janela que fizera na arca. 
GEN.8.7	Esperando que a terra já tivesse aparecido, Noé soltou um corvo, mas este ficou dando voltas. 
GEN.8.8	Depois soltou uma pomba para ver se as águas tinham diminuído na superfície da terra. 
GEN.8.9	Mas a pomba não encontrou lugar onde pousar os pés porque as águas ainda cobriam toda a superfície da terra e, por isso, voltou para a arca, a Noé. Ele estendeu a mão para fora, apanhou a pomba e a trouxe de volta para dentro da arca. 
GEN.8.10	Noé esperou mais sete dias e soltou novamente a pomba. 
GEN.8.11	Quando voltou ao entardecer, a pomba trouxe em seu bico uma folha nova de oliveira. Noé então ficou sabendo que as águas tinham diminuído sobre a terra. 
GEN.8.12	Esperou ainda outros sete dias e de novo soltou a pomba, mas dessa vez ela não voltou.
GEN.8.13	No primeiro dia do primeiro mês do ano seiscentos e um da vida de Noé, secaram-se as águas na terra. Noé então removeu o teto da arca e viu que a superfície da terra estava seca. 
GEN.8.14	No vigésimo sétimo dia do segundo mês, a terra estava completamente seca.
GEN.8.15	Então Deus disse a Noé: 
GEN.8.16	“Saia da arca, você e sua mulher, seus filhos e as mulheres deles. 
GEN.8.17	Faça que saiam também todos os animais que estão com você: as aves, os grandes animais e os pequenos que se movem rente ao chão. Faça-os sair para que se espalhem pela terra, sejam férteis e se multipliquem”.
GEN.8.18	Então Noé saiu da arca com sua mulher e seus filhos e as mulheres deles, 
GEN.8.19	e com todos os grandes animais e os pequenos que se movem rente ao chão e todas as aves. Tudo o que se move sobre a terra saiu da arca, uma espécie após outra.
GEN.8.20	Depois Noé construiu um altar dedicado ao 
GEN.8.21	O 
GEN.8.22	“Enquanto durar a terra,
GEN.8.22	plantio e colheita,
GEN.8.22	frio e calor,
GEN.8.22	verão e inverno,
GEN.8.22	dia e noite
GEN.8.22	jamais cessarão”.
GEN.9.1	Deus abençoou Noé e seus filhos, dizendo-lhes: “Sejam férteis, multipliquem-se e encham a terra. 
GEN.9.2	Todos os animais da terra tremerão de medo diante de vocês: os animais selvagens, as aves do céu, as criaturas que se movem rente ao chão e os peixes do mar; eles estão entregues em suas mãos. 
GEN.9.3	Tudo o que vive e se move servirá de alimento para vocês. Assim como dei a vocês os vegetais, agora dou todas as coisas.
GEN.9.4	“Mas não comam carne com sangue, que é vida. 
GEN.9.5	A todo aquele que derramar sangue, tanto homem como animal, pedirei contas; a cada um pedirei contas da vida do seu próximo.
GEN.9.6	“Quem derramar sangue do homem,
GEN.9.6	pelo homem seu sangue será derramado;
GEN.9.6	porque à imagem de Deus foi o homem criado.
GEN.9.7	Mas vocês sejam férteis e multipliquem-se; espalhem-se pela terra e proliferem nela
GEN.9.8	Então disse Deus a Noé e a seus filhos, que estavam com ele: 
GEN.9.9	“Vou estabelecer a minha aliança com vocês e com os seus futuros descendentes, 
GEN.9.10	e com todo ser vivo que está com vocês: as aves, os rebanhos domésticos e os animais selvagens, todos os que saíram da arca com vocês, todos os seres vivos da terra. 
GEN.9.11	Estabeleço uma aliança com vocês: Nunca mais será ceifada nenhuma forma de vida pelas águas de um dilúvio; nunca mais haverá dilúvio para destruir a terra”.
GEN.9.12	E Deus prosseguiu: “Este é o sinal da aliança que estou fazendo entre mim e vocês e com todos os seres vivos que estão com vocês, para todas as gerações futuras: 
GEN.9.13	o meu arco que coloquei nas nuvens. Será o sinal da minha aliança com a terra. 
GEN.9.14	Quando eu trouxer nuvens sobre a terra e nelas aparecer o arco-íris, 
GEN.9.15	então me lembrarei da minha aliança com vocês e com os seres vivos de todas as espécies
GEN.9.16	Toda vez que o arco-íris estiver nas nuvens, olharei para ele e me lembrarei da aliança eterna entre Deus e todos os seres vivos de todas as espécies que vivem na terra”.
GEN.9.17	Concluindo, disse Deus a Noé: “Esse é o sinal da aliança que estabeleci entre mim e toda forma de vida que há sobre a terra”.
GEN.9.18	Os filhos de Noé que saíram da arca foram Sem, Cam e Jafé. Cam é o pai de Canaã. 
GEN.9.19	Esses foram os três filhos de Noé; a partir deles toda a terra foi povoada.
GEN.9.20	Noé, que era agricultor, foi o primeiro a plantar uma vinha. 
GEN.9.21	Bebeu do vinho, embriagou-se e ficou nu dentro da sua tenda. 
GEN.9.22	Cam, pai de Canaã, viu a nudez do pai e foi contar aos dois irmãos que estavam do lado de fora. 
GEN.9.23	Mas Sem e Jafé pegaram a capa, levantaram-na sobre os ombros e, andando de costas para não verem a nudez do pai, cobriram-no.
GEN.9.24	Quando Noé acordou do efeito do vinho e descobriu o que seu filho caçula lhe havia feito, 
GEN.9.25	disse:
GEN.9.25	“Maldito seja Canaã!
GEN.9.25	Escravo de escravos será para os seus irmãos”.
GEN.9.26	Disse ainda:
GEN.9.26	“Bendito seja o 
GEN.9.26	o Deus de Sem!
GEN.9.26	E seja Canaã seu escravo.
GEN.9.27	Amplie Deus o território de Jafé;
GEN.9.27	habite ele nas tendas de Sem,
GEN.9.27	e seja Canaã seu escravo”.
GEN.9.28	Depois do Dilúvio Noé viveu trezentos e cinquenta anos. 
GEN.9.29	Viveu ao todo novecentos e cinquenta anos e morreu.
GEN.10.1	Este é o registro da descendência de Sem, Cam e Jafé, filhos de Noé. Os filhos deles nasceram depois do Dilúvio.
GEN.10.2	Estes foram os filhos
GEN.10.2	Gômer, Magogue, Madai, Javã, Tubal, Meseque e Tirás.
GEN.10.3	Estes foram os filhos de Gômer:
GEN.10.3	Asquenaz, Rifate e Togarma.
GEN.10.4	Estes foram os filhos de Javã:
GEN.10.4	Elisá, Társis, Quitim e Rodanim
GEN.10.5	Deles procedem os povos marítimos, os quais se separaram em seu território, conforme a sua língua, cada um segundo os clãs de suas nações.
GEN.10.6	Estes foram os filhos de Cam:
GEN.10.6	Cuxe, Mizraim
GEN.10.7	Estes foram os filhos de Cuxe:
GEN.10.7	Sebá, Havilá, Sabtá, Raamá e Sabtecá.
GEN.10.7	Estes foram os filhos de Raamá:
GEN.10.7	Sabá e Dedã.
GEN.10.8	Cuxe gerou
GEN.10.9	Ele foi o mais valente dos caçadores
GEN.10.10	No início o seu reino abrangia Babel, Ereque, Acade e Calné
GEN.10.11	Dessa terra ele partiu para a Assíria, onde fundou Nínive, Reobote-Ir
GEN.10.12	e Resém, que fica entre Nínive e Calá, a grande cidade.
GEN.10.13	Mizraim gerou
GEN.10.13	os luditas, os anamitas, os leabitas, os naftuítas, 
GEN.10.14	os patrusitas, os casluítas, dos quais se originaram os filisteus, e os caftoritas.
GEN.10.15	Canaã gerou
GEN.10.15	Sidom, seu filho mais velho, e Hete
GEN.10.16	como também os jebuseus, os amorreus, os girgaseus, 
GEN.10.17	os heveus, os arqueus, os sineus, 
GEN.10.18	os arvadeus, os zemareus e os hamateus.
GEN.10.18	(Posteriormente, os clãs cananeus se espalharam. 
GEN.10.19	As fronteiras de Canaã estendiam-se desde Sidom, iam até Gerar, e chegavam a Gaza e, de lá, prosseguiam até Sodoma, Gomorra, Admá e Zeboim, chegando até Lasa.)
GEN.10.20	São esses os descendentes de Cam, conforme seus clãs e línguas, em seus territórios e nações.
GEN.10.21	Sem, irmão mais velho de Jafé
GEN.10.22	Estes foram os filhos de Sem:
GEN.10.22	Elão, Assur, Arfaxade, Lude e Arã.
GEN.10.23	Estes foram os filhos de Arã:
GEN.10.23	Uz, Hul, Géter e Meseque
GEN.10.24	Arfaxade gerou
GEN.10.24	Salá
GEN.10.25	A Héber nasceram dois filhos:
GEN.10.25	um deles se chamou Pelegue, porque em sua época a terra foi dividida; seu irmão chamou-se Joctã.
GEN.10.26	Joctã gerou
GEN.10.26	Almodá, Salefe, Hazarmavé, Jerá, 
GEN.10.27	Adorão, Uzal, Dicla, 
GEN.10.28	Obal, Abimael, Sabá, 
GEN.10.29	Ofir, Havilá e Jobabe. Todos esses foram filhos de Joctã.
GEN.10.30	A região onde viviam estendia-se de Messa até Sefar, nas colinas ao leste.
GEN.10.31	São esses os descendentes de Sem, conforme seus clãs e línguas, em seus territórios e nações.
GEN.10.32	São esses os clãs dos filhos de Noé, distribuídos em suas nações, conforme a história da sua descendência. A partir deles, os povos se dispersaram pela terra, depois do Dilúvio.
GEN.11.1	No mundo todo havia apenas uma língua, um só modo de falar.
GEN.11.2	Saindo os homens do
GEN.11.3	Disseram uns aos outros: “Vamos fazer tijolos e queimá-los bem”. Usavam tijolos em lugar de pedras, e piche em vez de argamassa. 
GEN.11.4	Depois disseram: “Vamos construir uma cidade, com uma torre que alcance os céus. Assim nosso nome será famoso e não seremos espalhados pela face da terra”.
GEN.11.5	O 
GEN.11.6	E disse o 
GEN.11.7	Venham, desçamos e confundamos a língua que falam, para que não entendam mais uns aos outros”.
GEN.11.8	Assim o 
GEN.11.9	Por isso foi chamada Babel
GEN.11.10	Este é o registro da descendência de Sem:
GEN.11.10	Dois anos depois do Dilúvio, aos 100 anos de idade, Sem gerou
GEN.11.11	E depois de ter gerado Arfaxade, Sem viveu 500 anos e gerou outros filhos e filhas.
GEN.11.12	Aos 35 anos, Arfaxade gerou Salá. 
GEN.11.13	Depois que gerou Salá, Arfaxade viveu 403 anos e gerou outros filhos e filhas.
GEN.11.14	Aos 30 anos, Salá gerou Héber. 
GEN.11.15	Depois que gerou Héber, Salá viveu 403 anos e gerou outros filhos e filhas.
GEN.11.16	Aos 34 anos, Héber gerou Pelegue. 
GEN.11.17	Depois que gerou Pelegue, Héber viveu 430 anos e gerou outros filhos e filhas.
GEN.11.18	Aos 30 anos, Pelegue gerou Reú. 
