GEN.1.1	No 
GEN.3.11	E Deus disse: Quem te mostrou que estavas nu? Comeste tu da árvore de que te ordenei que não comesses? 
GEN.3.12	Então, disse Adão: 
GEN.3.13	E disse o 
GEN.3.14	Então, o 
GEN.3.15	E porei inimizade entre ti e a mulher e entre a 
GEN.3.16	E à mulher disse: Multiplicarei grandemente a tua dor e a tua conceição; 
GEN.3.17	E a Adão disse: Porquanto deste ouvidos à voz de tua mulher e comeste da árvore de que te ordenei, dizendo: Não comerás dela, maldita 
GEN.3.18	Espinhos 
GEN.3.19	No suor do teu rosto, comerás o teu pão, até que te tornes à terra; porque dela foste tomado, porquanto és pó e em pó te tornarás.
GEN.3.20	E chamou Adão o nome de sua mulher 
GEN.3.21	E fez o 
GEN.3.22	Então, disse o 
GEN.3.23	o 
GEN.3.24	E, havendo lançado fora o homem, pôs 
GEN.4.1	E conheceu Adão a Eva, sua mulher, e ela concebeu, e teve a 
GEN.4.2	E teve mais a seu irmão 
GEN.4.3	E aconteceu, ao cabo de dias, que Caim trouxe do fruto da terra uma oferta ao 
GEN.4.4	E Abel também trouxe dos primogênitos das suas ovelhas e da sua gordura; e atentou o 
GEN.4.5	Mas para Caim e para a sua oferta não atentou. E irou-se Caim fortemente, e descaiu-lhe o seu semblante. 
GEN.4.6	E o 
GEN.4.7	Se bem fizeres, não haverá 
GEN.4.8	E falou Caim com o seu irmão Abel; e sucedeu que, estando eles no campo, se levantou Caim contra o seu irmão Abel e 
GEN.4.9	E disse o 
GEN.4.10	E disse Deus: Que fizeste? A voz do sangue do teu irmão clama a mim desde a terra. 
GEN.4.11	E agora maldito 
GEN.4.12	Quando lavrares a terra, não te dará mais a sua força; fugitivo e errante serás na terra. 
GEN.4.13	Então, disse Caim ao 
GEN.4.14	Eis que hoje me lanças da face da terra, e da tua face me esconderei; e serei fugitivo e errante na terra, e será que todo aquele que me achar me matará. 
GEN.4.15	O 
GEN.4.16	E saiu Caim de diante da face do 
GEN.4.17	E conheceu Caim a sua mulher, e ela concebeu e teve a Enoque; e ele edificou uma cidade e chamou o nome da cidade pelo nome de seu filho Enoque. 
GEN.4.18	E a Enoque nasceu Irade, e Irade gerou a Meujael, e Meujael gerou a Metusael, e Metusael gerou a Lameque. 
GEN.4.19	E tomou Lameque para si duas mulheres; o nome de uma era Ada, e o nome da outra, Zilá. 
GEN.4.20	E Ada teve a Jabal; este foi o pai dos que habitam em tendas e 
GEN.4.21	E o nome do seu irmão era Jubal; este foi o pai de todos os que tocam harpa e órgão. 
GEN.4.22	E Zilá também teve a Tubalcaim, mestre de toda obra de cobre e de ferro; e a irmã de Tubalcaim 
GEN.4.23	E disse Lameque a suas mulheres: Ada e Zilá, ouvi a minha voz; vós, mulheres de Lameque, escutai o meu dito: porque eu matei um varão, por me ferir, e um jovem, por me pisar. 
GEN.4.24	Porque sete vezes Caim será 
GEN.4.25	E tornou Adão a conhecer a sua mulher; e ela teve um filho e chamou o seu nome 
GEN.4.26	E a Sete mesmo também nasceu um filho; e chamou o seu nome Enos; então, se começou a invocar o nome do 
GEN.5.1	Este é o livro das gerações de Adão. No dia em que Deus criou o homem, 
GEN.5.2	Macho 
GEN.5.3	E Adão viveu cento e trinta anos, e gerou um 
GEN.5.4	E foram os dias de Adão, depois que gerou a Sete, oitocentos anos, e gerou filhos e filhas. 
GEN.5.5	E foram todos os dias que Adão viveu novecentos e trinta anos; 
GEN.5.6	E viveu Sete cento e cinco anos e gerou a Enos. 
GEN.5.7	E viveu Sete, depois que gerou a Enos, oitocentos e sete anos e gerou filhos e filhas. 
GEN.5.8	E foram todos os dias de Sete novecentos e doze anos; e morreu.
GEN.5.9	E viveu Enos noventa anos; e gerou a Cainã. 
GEN.5.10	E viveu Enos, depois que gerou a Cainã, oitocentos e quinze anos e gerou filhos e filhas. 
GEN.5.11	E foram todos os dias de Enos novecentos e cinco anos; e morreu.
GEN.5.12	E viveu Cainã setenta anos e gerou a Maalalel. 
GEN.5.13	E viveu Cainã, depois que gerou a Maalalel, oitocentos e quarenta anos e gerou filhos e filhas. 
GEN.5.14	E foram todos os dias de Cainã novecentos e dez anos; e morreu.
GEN.5.15	E viveu Maalalel sessenta e cinco anos e gerou a Jarede. 
GEN.5.16	E viveu Maalalel, depois que gerou a Jarede, oitocentos e trinta anos e gerou filhos e filhas. 
GEN.5.17	E foram todos os dias de Maalalel oitocentos e noventa e cinco anos; e morreu.
GEN.5.18	E viveu Jarede cento e sessenta e dois anos e gerou a Enoque. 
GEN.5.19	E viveu Jarede, depois que gerou a Enoque, oitocentos anos e gerou filhos e filhas. 
GEN.5.20	E foram todos os dias de Jarede novecentos e sessenta e dois anos; e morreu.
GEN.5.21	E viveu Enoque sessenta e cinco anos e gerou a Metusalém. 
GEN.5.22	E andou 
GEN.5.23	E foram todos os dias de Enoque trezentos e sessenta e cinco anos. 
GEN.5.24	E andou Enoque com Deus; e não se viu 
GEN.5.25	E viveu Metusalém cento e oitenta e sete anos e gerou a Lameque. 
GEN.5.26	E viveu Metusalém, depois que gerou a Lameque, setecentos e oitenta e dois anos e gerou filhos e filhas. 
GEN.5.27	E foram todos os dias de Metusalém novecentos e sessenta e nove anos; e morreu.
GEN.5.28	E viveu Lameque cento e oitenta e dois anos e gerou um filho. 
GEN.5.29	E chamou o seu nome 
GEN.5.30	E viveu Lameque, depois que gerou a Noé, quinhentos e noventa e cinco anos e gerou filhos e filhas. 
GEN.5.31	E foram todos os dias de Lameque setecentos e setenta e sete anos; e morreu.
GEN.5.32	E era Noé da idade de quinhentos anos e gerou Noé a 
GEN.6.1	E aconteceu que, como os homens começaram a multiplicar-se sobre a face da terra, e lhes nasceram filhas, 
GEN.6.2	viram os filhos de Deus que as filhas dos homens eram 
GEN.6.3	Então, disse o 
GEN.6.4	Havia, naqueles dias, gigantes na terra; e também depois, quando os filhos de Deus entraram às filhas dos homens e 
GEN.6.5	E viu o 
GEN.6.6	Então, arrependeu-se o 
GEN.6.7	E disse o 
GEN.6.8	Noé, 
GEN.6.9	Estas 
GEN.6.10	E gerou Noé três filhos: Sem, Cam e Jafé.
GEN.6.11	A terra, porém, estava corrompida diante da face de Deus; e encheu-se a terra de violência. 
GEN.6.12	E viu Deus a terra, e eis que estava corrompida; porque toda carne havia corrompido o seu caminho sobre a terra.
GEN.6.13	Então, disse Deus a Noé: O fim de toda carne é vindo perante a minha face; porque a terra está cheia de violência; e eis que os desfarei com a terra. 
GEN.6.14	Faze para ti uma arca da madeira de gofer; farás 
GEN.6.15	E desta maneira farás: de trezentos côvados o comprimento da arca, e de cinquenta côvados a sua largura, e de trinta côvados a sua altura. 
GEN.6.16	Farás na arca uma janela e de um côvado a acabarás em cima; e a porta da arca porás ao seu lado; far-lhe-ás 
GEN.6.17	Porque eis que eu trago um 
GEN.6.18	Mas contigo estabelecerei o meu pacto; e entrarás na arca, tu e os teus filhos, e a tua mulher, e as mulheres de teus filhos contigo. 
GEN.6.19	E de tudo o que vive, de toda carne, 
GEN.6.20	Das aves conforme a sua espécie, dos animais conforme a sua espécie, de todo réptil da terra conforme a sua espécie, dois de cada 
GEN.6.21	E tu toma para ti de toda comida que se come e ajunta-a para ti; e te será para mantimento, para ti e para eles. 
GEN.6.22	Assim fez Noé; 
GEN.7.1	Depois, disse o 
GEN.7.2	De todo animal 
GEN.7.3	Também das aves dos céus sete 
GEN.7.4	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda substância que fiz. 
GEN.7.5	E fez Noé conforme tudo o que o 
GEN.7.6	E 
GEN.7.7	E entrou Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com ele na arca, por causa das águas do dilúvio. 
GEN.7.8	Dos animais limpos, e dos animais que não 
GEN.7.9	entraram de dois em dois para Noé na arca, macho e fêmea, como Deus ordenara a Noé. 
GEN.7.10	E aconteceu que, passados sete dias, vieram sobre a terra as águas do dilúvio.
GEN.7.11	No ano seiscentos da vida de Noé, no mês segundo, aos dezessete dias do mês, naquele mesmo dia, 
GEN.7.12	e houve chuva sobre a terra quarenta dias e quarenta noites. 
GEN.7.13	E, no mesmo dia, entrou Noé, e Sem, e Cam, e Jafé, os filhos de Noé, como também a mulher de Noé, e as três mulheres de seus filhos, com ele na arca; 
GEN.7.14	eles, e todo animal conforme a sua espécie, e todo gado conforme a sua espécie, e todo réptil que se roja sobre a terra conforme a sua espécie, e toda ave conforme a sua espécie, todo pássaro de 
GEN.7.15	E de toda carne, em que havia espírito de vida, entraram de dois em dois para Noé na arca. 
GEN.7.16	E os que entraram, macho e fêmea de toda carne entraram, como Deus lhe tinha ordenado; e o 
GEN.7.17	E esteve o dilúvio quarenta dias sobre a terra; e cresceram as águas e levantaram a arca, e ela se elevou sobre a terra. 
GEN.7.18	E prevaleceram as águas e cresceram grandemente sobre a terra; e a arca andava sobre as águas. 
GEN.7.19	E as águas prevaleceram excessivamente sobre a terra; e 
GEN.7.20	Quinze côvados acima prevaleceram as águas; e os montes foram cobertos. 
GEN.7.21	E expirou toda carne que se movia sobre a terra, tanto de ave como de gado, e de feras, e de todo o réptil que se roja sobre a terra, e 
GEN.7.22	Tudo o que 
GEN.7.23	Assim, foi desfeita toda substância que 
GEN.7.24	E prevaleceram as águas sobre a terra 
GEN.8.1	E 
GEN.8.2	Cerraram-se também as 
GEN.8.3	E as águas tornaram de sobre a terra 
GEN.8.4	E a arca repousou, no sétimo mês, no dia dezessete do mês, sobre os montes de Ararate. 
GEN.8.5	E foram as águas indo e minguando até ao décimo mês; no décimo mês, no primeiro dia do mês, apareceram os cumes dos montes.
GEN.8.6	E aconteceu que, ao cabo de quarenta dias, 
GEN.8.7	E soltou um corvo, que saiu, indo e voltando, até que as águas se secaram de sobre a terra. 
GEN.8.8	Depois, soltou uma pomba, a ver se as águas tinham minguado de sobre a face da terra. 
GEN.8.9	A pomba, porém, não achou repouso para a planta de seu pé e voltou a ele para a arca; porque as águas 
GEN.8.10	E esperou ainda outros sete dias e tornou a enviar a pomba fora da arca. 
GEN.8.11	E a pomba voltou a ele sobre a tarde; e eis, arrancada, uma folha de oliveira no seu bico; e conheceu Noé que as águas tinham minguado sobre a terra. 
GEN.8.12	Então, esperou ainda outros sete dias e enviou fora a pomba; mas não tornou mais a ele.
GEN.8.13	E aconteceu 
GEN.8.14	E, no segundo mês, aos vinte e sete dias do mês, a terra estava seca.
GEN.8.15	Então, falou Deus a Noé, dizendo: 
GEN.8.16	Sai da arca tu, e tua mulher, e teus filhos, e as mulheres de teus filhos contigo. 
GEN.8.17	Todo animal que 
GEN.8.18	Então, saiu Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com ele; 
GEN.8.19	todo animal, todo réptil, toda ave, tudo o que se move sobre a terra, conforme as suas famílias, saiu para fora da arca.
GEN.8.20	E edificou Noé um altar ao 
GEN.8.21	E o 
GEN.8.22	Enquanto a terra durar, sementeira e sega, e frio e calor, e verão e inverno, e dia e noite 
GEN.9.1	E abençoou Deus a Noé e a seus filhos e disse-lhes: 
GEN.9.2	E será o vosso temor 
GEN.9.3	Tudo quanto se 
GEN.9.4	A carne, porém, com 
GEN.9.5	E certamente requererei o vosso sangue, 
GEN.9.6	Quem derramar o sangue do homem, pelo homem o seu sangue será derramado; porque Deus fez 
GEN.9.7	Mas vós, frutificai e multiplicai-vos; povoai abundantemente a terra e multiplicai-vos nela.
GEN.9.8	E falou Deus a Noé e a seus filhos com ele, dizendo: 
GEN.9.9	E eu, eis que estabeleço o meu 
GEN.9.10	e com toda 
GEN.9.11	E eu convosco estabeleço o meu concerto, que não será mais destruída toda carne pelas águas 
GEN.9.12	E disse Deus: Este 
GEN.9.13	O meu 
GEN.9.14	E acontecerá que, quando eu trouxer nuvens sobre a terra, aparecerá o arco nas nuvens. 
GEN.9.15	Então, me lembrarei do meu concerto, que está entre mim 
GEN.9.16	E estará o arco nas nuvens, e eu o verei, para me lembrar do concerto eterno entre Deus e toda alma vivente de toda carne, que 
GEN.9.17	E disse Deus a Noé: Este é o sinal do concerto que tenho estabelecido entre mim e toda a carne que 
GEN.9.18	E os filhos de Noé, que da arca saíram, foram Sem, e Cam, e Jafé; e 
GEN.9.19	Estes três 
GEN.9.20	E começou Noé a ser lavrador da terra e plantou uma vinha. 
GEN.9.21	E bebeu do vinho 
GEN.9.22	E viu Cam, o pai de Canaã, a nudez de seu pai e fê-lo saber a ambos seus irmãos, fora. 
GEN.9.23	Então, tomaram Sem e Jafé uma capa, puseram-na sobre ambos os seus ombros e, indo 
GEN.9.24	E despertou Noé do seu vinho e soube o que seu filho menor lhe fizera. 
GEN.9.25	E disse: Maldito seja 
GEN.9.26	E disse: Bendito seja o 
GEN.9.27	Alargue Deus a Jafé, e habite nas tendas de Sem; e seja-lhe Canaã por servo. 
GEN.9.28	E viveu Noé, depois do dilúvio, trezentos e cinquenta anos. 
GEN.9.29	E foram todos os dias de Noé novecentos e cinquenta anos, e morreu.
GEN.10.1	Estas, pois, são as gerações dos filhos de Noé: Sem, Cam e 
GEN.10.2	Os filhos de Jafé 
GEN.10.3	E os filhos de Gomer 
GEN.10.4	E os filhos de Javã 
GEN.10.5	Por estes, foram repartidas 
GEN.10.6	E os filhos de Cam 
GEN.10.7	E os filhos de Cuxe 
GEN.10.8	E Cuxe gerou a 
GEN.10.9	E este foi poderoso caçador diante da face do 
GEN.10.10	E o princípio do seu reino foi Babel, e Ereque, e Acade, e 
GEN.10.11	Desta mesma terra saiu ele à Assíria e edificou a Nínive, e Reobote-Ir, e Calá, 
GEN.10.12	e Resém, entre Nínive e Calá (esta é a grande cidade). 
GEN.10.13	E Mizraim gerou a Ludim, e a Anamim, e a Leabim, e a Naftuim, 
GEN.10.14	e a 
GEN.10.15	E Canaã gerou a Sidom, seu primogênito, e a Hete, 
GEN.10.16	e ao jebuseu, e ao amorreu, e ao girgaseu, 
GEN.10.17	e ao heveu, e ao arqueu, e ao sineu, 
GEN.10.18	e ao arvadeu, e ao zemareu, e ao hamateu, e depois se espalharam as famílias dos 
GEN.10.19	E foi o termo dos cananeus desde Sidom, indo para Gerar, até Gaza; indo para Sodoma, e Gomorra, e Admá, e Zeboim, até Lasa. 
GEN.10.20	Estes são os filhos de Cam, segundo as suas famílias, segundo as suas línguas, em suas terras, em suas nações.
GEN.10.21	E a Sem nasceram 
GEN.10.22	Os filhos 
GEN.10.23	E os filhos de Arã 
GEN.10.24	E Arfaxade gerou a Salá; e Salá gerou a Éber.
GEN.10.25	E a Éber nasceram dois filhos: o nome de um 
GEN.10.26	E Joctã gerou a Almodá, e a Selefe, e a Hazar-Mavé, e a Jerá, 
GEN.10.27	e a Hadorão, e a Uzal, e a Dicla, 
GEN.10.28	e a Obal, e a Abimael, e a Sabá, 
GEN.10.29	e a Ofir, e a Havilá, e a Jobabe; todos estes foram filhos de Joctã. 
GEN.10.30	E foi a sua habitação desde Messa, indo para Sefar, montanha do Oriente. 
GEN.10.31	Estes 
GEN.10.32	Estas são as famílias dos filhos de Noé, segundo as suas gerações, em suas nações; e destes foram divididas as nações na terra, depois do dilúvio.
GEN.11.1	E era toda a terra de uma mesma língua e de uma mesma fala. 
GEN.11.2	E aconteceu que, partindo eles do Oriente, acharam um vale na terra de Sinar; e habitaram ali. 
GEN.11.3	E disseram uns aos outros: Eia, façamos tijolos e queimemo-los bem. E foi-lhes o tijolo por pedra, e o betume, por cal. 
GEN.11.4	E disseram: Eia, edifiquemos nós uma cidade e uma torre cujo 
GEN.11.5	Então, desceu o 
GEN.11.6	e o 
GEN.11.7	Eia, desçamos e 
GEN.11.8	Assim, o 
GEN.11.9	Por isso, se chamou o seu nome 
GEN.11.10	Estas são as gerações 
GEN.11.11	E viveu Sem, depois que gerou a Arfaxade, quinhentos anos; e gerou filhos e filhas.
GEN.11.12	E viveu Arfaxade trinta e cinco anos e gerou a Salá. 
GEN.11.13	E viveu Arfaxade, depois que gerou a Salá, quatrocentos e três anos; e gerou filhos e filhas.
GEN.11.14	E viveu Salá trinta anos e gerou a Éber. 
GEN.11.15	E viveu Salá, depois que gerou a Éber, quatrocentos e três anos; e gerou filhos e filhas.
GEN.11.16	E viveu Éber trinta e quatro anos e gerou a Pelegue. 
GEN.11.17	E viveu Éber, depois que gerou a Pelegue, quatrocentos e trinta anos; e gerou filhos e filhas.
GEN.11.18	E viveu Pelegue trinta anos e gerou a Reú. 
GEN.11.19	E viveu Pelegue, depois que gerou a Reú, duzentos e nove anos; e gerou filhos e filhas. 
GEN.11.20	E viveu Reú trinta e dois anos e gerou a Serugue. 
GEN.11.21	E viveu Reú, depois que gerou a Serugue, duzentos e sete anos; e gerou filhos e filhas.
GEN.11.22	E viveu Serugue trinta anos e gerou a Naor. 
GEN.11.23	E viveu Serugue, depois que gerou a Naor, duzentos anos; e gerou filhos e filhas.
GEN.11.24	E viveu Naor vinte e nove anos e gerou a Tera. 
GEN.11.25	E viveu Naor, depois que gerou a Tera, cento e dezenove anos; e gerou filhos e filhas.
GEN.11.26	E viveu Tera setenta anos e gerou a Abrão, a Naor 
GEN.11.27	E estas são as gerações de Tera: Tera gerou a Abrão, a Naor e a Harã; e Harã gerou a Ló. 
GEN.11.28	E morreu Harã, estando seu pai Tera ainda vivo, na terra do seu nascimento, em Ur dos caldeus. 
GEN.11.29	E tomaram Abrão e Naor mulheres para si; o nome da mulher de Abrão 
GEN.11.30	E Sarai foi estéril 
GEN.11.31	E tomou Tera a Abrão, seu filho, e a Ló, filho de Harã, filho de seu filho, e a Sarai, sua nora, mulher de seu filho Abrão, e saiu com eles de Ur dos caldeus, 
GEN.11.32	E foram os dias de Tera duzentos e cinco anos; e morreu Tera em Harã.
GEN.12.1	Ora, o 
GEN.12.2	E far-te-ei 
GEN.12.3	E abençoarei 
GEN.12.4	Assim, partiu Abrão, como o 
GEN.12.5	E tomou Abrão a Sarai, sua mulher, e a Ló, filho de seu irmão, e toda a sua fazenda, que haviam adquirido, e as almas que lhe acresceram em Harã; e saíram para irem à terra de Canaã; e vieram à terra de Canaã. 
GEN.12.6	E passou Abrão por aquela terra até ao lugar de Siquém, até ao carvalho 
GEN.12.7	E apareceu o 
GEN.12.8	E moveu-se dali para a montanha à banda do oriente 
GEN.12.9	Depois, caminhou Abrão 
GEN.12.10	E havia fome naquela terra; e desceu Abrão ao Egito, para peregrinar ali, porquanto a fome era grande na terra. 
GEN.12.11	E aconteceu que, chegando ele para entrar no Egito, disse a Sarai, sua mulher: Ora, bem sei que és mulher formosa à vista; 
GEN.12.12	e será que, quando os egípcios te virem, dirão: Esta é a sua mulher. E matar-me-ão a mim e a ti te guardarão em vida. 
GEN.12.13	Dize, peço-te, 
GEN.12.14	E aconteceu que, entrando Abrão no Egito, viram os egípcios a mulher, que era mui formosa. 
GEN.12.15	E viram-na os príncipes de Faraó e gabaram-na diante de Faraó; e foi a mulher tomada para a casa de Faraó. 
GEN.12.16	E fez bem a Abrão por amor dela; e ele teve ovelhas, e vacas, e jumentos, e servos, e servas, e jumentas, e camelos.
GEN.12.17	Feriu, porém, o 
GEN.12.18	Então, chamou Faraó a Abrão e disse: Que é isto 
GEN.12.19	Por que disseste: É minha irmã? De maneira que a houvera tomado por minha mulher; agora, pois, eis aqui tua mulher; toma-
GEN.12.20	E Faraó 
GEN.13.1	Subiu, pois, Abrão do Egito para a banda do Sul, ele, e sua mulher, e tudo o que tinha, e com ele Ló. 
GEN.13.2	E 
GEN.13.3	E fez as suas jornadas do Sul até Betel, até ao lugar onde, ao princípio, estivera a sua tenda, entre Betel e Ai; 
GEN.13.4	até ao lugar do altar 
GEN.13.5	E também Ló, que ia com Abrão, tinha rebanhos, e vacas, e tendas. 
GEN.13.6	E não tinha capacidade a terra para 
GEN.13.7	E houve contenda entre os pastores do gado de Abrão e os pastores do gado de Ló; e os cananeus e os ferezeus habitavam, então, na terra.
GEN.13.8	E disse Abrão a Ló: 
GEN.13.9	Não está toda a terra diante de ti? Eia, pois, aparta-te de mim; se 
GEN.13.10	E levantou Ló os seus olhos e viu toda a campina do Jordão, que 
GEN.13.11	Então, Ló escolheu para si toda a campina do Jordão e partiu Ló para o Oriente; e apartaram-se um do outro. 
GEN.13.12	Habitou Abrão na terra de Canaã, e Ló habitou nas cidades da campina e armou as suas tendas até Sodoma. 
GEN.13.13	Ora, 
GEN.13.14	E disse o 
GEN.13.15	porque toda esta terra que vês te hei de dar a ti e à tua semente, 
GEN.13.16	E farei a tua semente como 
GEN.13.17	Levanta-te, percorre essa terra, no seu comprimento e na sua largura; porque a ti a darei. 
GEN.13.18	E Abrão armou as suas tendas, e veio, e habitou nos carvalhais de Manre, 
GEN.14.1	E aconteceu, nos dias de Anrafel, rei de Sinar, Arioque, rei de Elasar, Quedorlaomer, rei de Elão, e Tidal, rei de 
GEN.14.2	que 
GEN.14.3	Todos estes se ajuntaram no vale de Sidim (que é o mar de Sal). 
GEN.14.4	Doze anos haviam servido a Quedorlaomer, mas, ao décimo terceiro ano, rebelaram-se. 
GEN.14.5	E, ao décimo quarto ano, veio Quedorlaomer e os reis que estavam com ele e feriram aos refains em Asterote-Carnaim, e aos zuzins em Hã, e aos emins em Savé-Quiriataim, 
GEN.14.6	e aos horeus no seu monte Seir, até à campina de Parã, que 
GEN.14.7	Depois, tornaram, e vieram a En-Mispate (que é Cades), e feriram toda a terra dos amalequitas e também os amorreus, que habitavam em Hazazom-Tamar. 
GEN.14.8	Então, saiu o rei de Sodoma, e o rei de Gomorra, e o rei de Admá, e o rei de Zeboim, e o rei de Bela (esta é Zoar) e ordenaram batalha contra eles no vale de Sidim, 
GEN.14.9	contra Quedorlaomer, rei de Elão, e Tidal, rei de Goim, e Anrafel, rei de Sinar, e Arioque, rei de Elasar; quatro reis contra cinco. 
GEN.14.10	E o vale de Sidim estava cheio de poços de betume; e fugiram os reis de Sodoma e de Gomorra e caíram ali; e os restantes fugiram para um monte. 
GEN.14.11	E tomaram toda a fazenda de Sodoma e de Gomorra e todo o seu mantimento e foram-se.
GEN.14.12	Também tomaram a 
GEN.14.13	Então, veio um que escapara e o contou a Abrão, o hebreu; ele 
GEN.14.14	Ouvindo, pois, Abrão que o seu irmão estava preso, armou os seus criados, nascidos em sua casa, trezentos e dezoito, e os perseguiu até Dã. 
GEN.14.15	E dividiu-se contra eles de noite, ele e os seus criados, e os feriu, e os perseguiu até Hobá, que 
GEN.14.16	E tornou a trazer toda a fazenda e tornou a trazer também a Ló, seu irmão, e a sua fazenda, e também as mulheres, e o povo. 
GEN.14.17	E o rei de Sodoma saiu-lhes ao encontro (depois que voltou de ferir a Quedorlaomer e aos reis que 
GEN.14.18	E Melquisedeque, 
GEN.14.19	E abençoou-o e disse: Bendito 
GEN.14.20	e bendito 
GEN.14.21	E o rei de Sodoma disse a Abrão: Dá-me a mim as almas e a fazenda toma para ti. 
GEN.14.22	Abrão, porém, disse ao rei de Sodoma: 
GEN.14.23	e juro que, desde um fio até à correia dum sapato, não 
GEN.14.24	salvo tão somente o que os jovens comeram e a parte 
GEN.15.1	Depois destas coisas veio a palavra do 
GEN.15.2	Então, disse Abrão: Senhor 
GEN.15.3	Disse mais Abrão: Eis que me não tens dado semente, e eis que um nascido na minha casa será o meu herdeiro. 
GEN.15.4	E eis que 
GEN.15.5	Então, o levou fora e disse: Olha, agora, para os céus e conta as 
GEN.15.6	E creu ele no 
