GEN.1.1	No princípio, criou Deus os céus e a terra. 
GEN.1.27	Criou Deus, pois, o homem à sua imagem,
GEN.1.28	E Deus os abençoou e lhes disse: Sede fecundos, multiplicai-vos, enchei a terra e sujeitai-a; dominai sobre os peixes do mar, sobre as aves dos céus e sobre todo animal que rasteja pela terra. 
GEN.1.29	E disse Deus ainda: Eis que vos tenho dado todas as ervas que dão semente e se acham na superfície de toda a terra e todas as árvores em que há fruto que dê semente; isso vos será para mantimento. 
GEN.1.30	E a todos os animais da terra, e a todas as aves dos céus, e a todos os répteis da terra, em que há fôlego de vida, toda erva verde lhes será para mantimento. E assim se fez. 
GEN.1.31	Viu Deus tudo quanto fizera, e eis que era muito bom. Houve tarde e manhã, o sexto dia.
GEN.2.1	Assim, pois, foram acabados os céus e a terra e todo o seu exército. 
GEN.2.2	E, havendo Deus terminado no dia sétimo
GEN.2.3	E abençoou Deus o dia sétimo e o santificou; porque nele descansou de toda a obra que, como Criador, fizera.
GEN.2.4	Esta é a gênese dos céus e da terra quando foram criados, quando o 
GEN.2.5	Não havia ainda nenhuma planta do campo na terra, pois ainda nenhuma erva do campo havia brotado; porque o 
GEN.2.6	Mas uma neblina subia da terra e regava toda a superfície do solo. 
GEN.2.7	Então, formou o 
GEN.2.8	E plantou o 
GEN.2.9	Do solo fez o 
GEN.2.10	E saía um rio do Éden para regar o jardim e dali se dividia, repartindo-se em quatro braços. 
GEN.2.11	O primeiro chama-se Pisom; é o que rodeia a terra de Havilá, onde há ouro. 
GEN.2.12	O ouro dessa terra é bom; também se encontram lá o bdélio e a pedra de ônix. 
GEN.2.13	O segundo rio chama-se Giom; é o que circunda a terra de Cuxe. 
GEN.2.14	O nome do terceiro rio é Tigre; é o que corre pelo oriente da Assíria. E o quarto é o Eufrates.
GEN.2.15	Tomou, pois, o 
GEN.2.16	E o 
GEN.2.17	mas da árvore do conhecimento do bem e do mal não comerás; porque, no dia em que dela comeres, certamente morrerás.
GEN.2.18	Disse mais o 
GEN.2.19	Havendo, pois, o 
GEN.2.20	Deu nome o homem a todos os animais domésticos, às aves dos céus e a todos os animais selváticos; para o homem, todavia, não se achava uma auxiliadora que lhe fosse idônea.
GEN.2.21	Então, o 
GEN.2.22	E a costela que o 
GEN.2.23	E disse o homem:
GEN.2.23	Esta, afinal, é osso dos meus ossos
GEN.2.23	e carne da minha carne;
GEN.2.23	chamar-se-á varoa,
GEN.2.23	porquanto do varão foi tomada.
GEN.2.24	Por isso, deixa o homem pai e mãe
GEN.2.25	Ora, um e outro, o homem e sua mulher, estavam nus e não se envergonhavam.
GEN.3.1	Mas a serpente,
GEN.3.2	Respondeu-lhe a mulher: Do fruto das árvores do jardim podemos comer, 
GEN.3.3	mas do fruto da árvore que está no meio do jardim, disse Deus: Dele não comereis, nem tocareis nele, para que não morrais. 
GEN.3.4	Então, a serpente disse
GEN.3.5	Porque Deus sabe que no dia em que dele comerdes se vos abrirão os olhos e, como Deus, sereis conhecedores do bem e do mal. 
GEN.3.6	Vendo a mulher que a árvore era boa para se comer, agradável aos olhos e árvore desejável para dar entendimento, tomou-lhe do fruto e comeu e deu também ao marido, e ele comeu. 
GEN.3.7	Abriram-se, então, os olhos de ambos; e, percebendo que estavam nus, coseram folhas de figueira e fizeram cintas para si.
GEN.3.8	Quando ouviram a voz do 
GEN.3.9	E chamou o 
GEN.3.10	Ele respondeu: Ouvi a tua voz no jardim, e, porque estava nu, tive medo, e me escondi. 
GEN.3.11	Perguntou-lhe Deus: Quem te fez saber que estavas nu? Comeste da árvore de que te ordenei que não comesses? 
GEN.3.12	Então, disse o homem: A mulher que me deste por esposa, ela me deu da árvore, e eu comi. 
GEN.3.13	Disse o 
GEN.3.14	Então, o 
GEN.3.15	Porei inimizade entre ti e a mulher, entre a tua descendência e o seu descendente. Este te ferirá a cabeça, e tu lhe ferirás o calcanhar. 
GEN.3.16	E à mulher disse: Multiplicarei sobremodo os sofrimentos da tua gravidez; em meio de dores darás à luz filhos; o teu desejo será para o teu marido, e ele te governará. 
GEN.3.17	E a Adão disse: Visto que atendeste a voz de tua mulher e comeste da árvore que eu te ordenara não comesses, maldita é a terra
GEN.3.18	Ela produzirá também cardos e abrolhos, e tu comerás a erva do campo. 
GEN.3.19	No suor do rosto comerás o teu pão, até que tornes à terra, pois dela foste formado; porque tu és pó e ao pó tornarás.
GEN.3.20	E deu o homem o nome de Eva a sua mulher, por ser a mãe de todos os seres humanos. 
GEN.3.21	Fez o 
GEN.3.22	Então, disse o 
GEN.3.23	O 
GEN.3.24	E, expulso o homem, colocou querubins ao oriente do jardim do Éden e o refulgir de uma espada que se revolvia, para guardar o caminho da árvore da vida.
GEN.4.1	Coabitou o homem com Eva, sua mulher. Esta concebeu e deu à luz a Caim; então, disse: Adquiri um varão com o auxílio do 
GEN.4.2	Depois, deu à luz a Abel, seu irmão. Abel foi pastor de ovelhas, e Caim, lavrador. 
GEN.4.3	Aconteceu que no fim de uns tempos trouxe Caim do fruto da terra uma oferta ao 
GEN.4.4	Abel, por sua vez, trouxe
GEN.4.5	ao passo que de Caim e de sua oferta não se agradou. Irou-se, pois, sobremaneira, Caim, e descaiu-lhe o semblante. 
GEN.4.6	Então, lhe disse o 
GEN.4.7	Se procederes bem, não é certo que serás aceito? Se, todavia, procederes mal, eis que o pecado jaz à porta; o seu desejo será contra ti, mas a ti cumpre dominá-lo.
GEN.4.8	Disse Caim a Abel, seu irmão: Vamos ao campo. Estando eles no campo, sucedeu que se levantou Caim contra Abel, seu irmão,
GEN.4.9	Disse o 
GEN.4.10	E disse Deus: Que fizeste? A voz do sangue de teu irmão clama da terra a mim. 
GEN.4.11	És agora, pois, maldito por sobre a terra, cuja boca se abriu para receber de tuas mãos o sangue de teu irmão. 
GEN.4.12	Quando lavrares o solo, não te dará ele a sua força; serás fugitivo e errante pela terra. 
GEN.4.13	Então, disse Caim ao 
GEN.4.14	Eis que hoje me lanças da face da terra, e da tua presença hei de esconder-me; serei fugitivo e errante pela terra; quem comigo se encontrar me matará. 
GEN.4.15	O 
GEN.4.16	Retirou-se Caim da presença do 
GEN.4.17	E coabitou Caim com sua mulher; ela concebeu e deu à luz a Enoque. Caim edificou uma cidade e lhe chamou Enoque, o nome de seu filho. 
GEN.4.18	A Enoque nasceu-lhe Irade; Irade gerou a Meujael, Meujael, a Metusael, e Metusael, a Lameque. 
GEN.4.19	Lameque tomou para si duas esposas: o nome de uma era Ada, a outra se chamava Zilá. 
GEN.4.20	Ada deu à luz a Jabal; este foi o pai dos que habitam em tendas e possuem gado. 
GEN.4.21	O nome de seu irmão era Jubal; este foi o pai de todos os que tocam harpa e flauta. 
GEN.4.22	Zilá, por sua vez, deu à luz a Tubalcaim, artífice de todo instrumento cortante, de bronze e de ferro; a irmã de Tubalcaim foi Naamá.
GEN.4.23	E disse Lameque às suas esposas:
GEN.4.23	Ada e Zilá, ouvi-me;
GEN.4.23	vós, mulheres de Lameque, escutai o que passo a dizer-vos:
GEN.4.23	Matei um homem porque ele me feriu;
GEN.4.23	e um rapaz porque me pisou.
GEN.4.24	Sete vezes se tomará vingança de Caim,
GEN.4.24	de Lameque, porém, setenta vezes sete.
GEN.4.25	Tornou Adão a coabitar com sua mulher; e ela deu à luz um filho, a quem pôs o nome de Sete; porque, disse ela, Deus me concedeu outro descendente em lugar de Abel, que Caim matou. 
GEN.4.26	A Sete nasceu-lhe também um filho, ao qual pôs o nome de Enos; daí se começou a invocar o nome do 
GEN.5.1	Este é o livro da genealogia de Adão. No dia em que Deus criou o homem, à semelhança de Deus o fez; 
GEN.5.2	homem e mulher
GEN.5.3	Viveu Adão cento e trinta anos, e gerou um filho à sua semelhança, conforme a sua imagem, e lhe chamou Sete. 
GEN.5.4	Depois que gerou a Sete, viveu Adão oitocentos anos; e teve filhos e filhas. 
GEN.5.5	Os dias todos da vida de Adão foram novecentos e trinta anos; e morreu.
GEN.5.6	Sete viveu cento e cinco anos e gerou a Enos. 
GEN.5.7	Depois que gerou a Enos, viveu Sete oitocentos e sete anos; e teve filhos e filhas. 
GEN.5.8	Todos os dias de Sete foram novecentos e doze anos; e morreu.
GEN.5.9	Enos viveu noventa anos e gerou a Cainã. 
GEN.5.10	Depois que gerou a Cainã, viveu Enos oitocentos e quinze anos; e teve filhos e filhas. 
GEN.5.11	Todos os dias de Enos foram novecentos e cinco anos; e morreu.
GEN.5.12	Cainã viveu setenta anos e gerou a Maalalel. 
GEN.5.13	Depois que gerou a Maalalel, viveu Cainã oitocentos e quarenta anos; e teve filhos e filhas. 
GEN.5.14	Todos os dias de Cainã foram novecentos e dez anos; e morreu.
GEN.5.15	Maalalel viveu sessenta e cinco anos e gerou a Jarede. 
GEN.5.16	Depois que gerou a Jarede, viveu Maalalel oitocentos e trinta anos; e teve filhos e filhas. 
GEN.5.17	Todos os dias de Maalalel foram oitocentos e noventa e cinco anos; e morreu.
GEN.5.18	Jarede viveu cento e sessenta e dois anos e gerou a Enoque. 
GEN.5.19	Depois que gerou a Enoque, viveu Jarede oitocentos anos; e teve filhos e filhas. 
GEN.5.20	Todos os dias de Jarede foram novecentos e sessenta e dois anos; e morreu.
GEN.5.21	Enoque viveu sessenta e cinco anos e gerou a Metusalém. 
GEN.5.22	Andou Enoque com Deus; e, depois que gerou a Metusalém, viveu trezentos anos; e teve filhos e filhas. 
GEN.5.23	Todos os dias de Enoque foram trezentos e sessenta e cinco anos. 
GEN.5.24	Andou Enoque
GEN.5.25	Metusalém viveu cento e oitenta e sete anos e gerou a Lameque. 
GEN.5.26	Depois que gerou a Lameque, viveu Metusalém setecentos e oitenta e dois anos; e teve filhos e filhas. 
GEN.5.27	Todos os dias de Metusalém foram novecentos e sessenta e nove anos; e morreu.
GEN.5.28	Lameque viveu cento e oitenta e dois anos e gerou um filho; 
GEN.5.29	pôs-lhe o nome de Noé, dizendo: Este nos consolará dos nossos trabalhos e das fadigas de nossas mãos, nesta terra que o 
GEN.5.30	Depois que gerou a Noé, viveu Lameque quinhentos e noventa e cinco anos; e teve filhos e filhas. 
GEN.5.31	Todos os dias de Lameque foram setecentos e setenta e sete anos; e morreu.
GEN.5.32	Era Noé da idade de quinhentos anos e gerou a Sem, Cam e Jafé.
GEN.6.1	Como se foram multiplicando os homens na terra, e lhes nasceram filhas, 
GEN.6.2	vendo os filhos de Deus que as filhas dos homens eram formosas, tomaram para si mulheres, as que, entre todas, mais lhes agradaram. 
GEN.6.3	Então, disse o 
GEN.6.4	Ora, naquele tempo havia gigantes
GEN.6.5	Viu o 
GEN.6.6	então, se arrependeu o 
GEN.6.7	Disse o 
GEN.6.8	Porém Noé achou graça diante do 
GEN.6.9	Eis a história de Noé. Noé era homem justo
GEN.6.10	Gerou três filhos: Sem, Cam e Jafé.
GEN.6.11	A terra estava corrompida à vista de Deus e cheia de violência. 
GEN.6.12	Viu Deus a terra, e eis que estava corrompida; porque todo ser vivente havia corrompido o seu caminho na terra. 
GEN.6.13	Então, disse Deus a Noé: Resolvi dar cabo de toda carne, porque a terra está cheia da violência dos homens; eis que os farei perecer juntamente com a terra. 
GEN.6.14	Faze uma arca de tábuas de cipreste; nela farás compartimentos e a calafetarás com betume por dentro e por fora. 
GEN.6.15	Deste modo a farás: de trezentos côvados será o comprimento; de cinquenta, a largura; e a altura, de trinta. 
GEN.6.16	Farás ao seu redor uma abertura de um côvado de altura; a porta da arca colocarás lateralmente; farás pavimentos na arca: um em baixo, um segundo e um terceiro. 
GEN.6.17	Porque estou para derramar águas em dilúvio sobre a terra para consumir toda carne em que há fôlego de vida debaixo dos céus; tudo o que há na terra perecerá. 
GEN.6.18	Contigo, porém, estabelecerei a minha aliança; entrarás na arca, tu e teus filhos, e tua mulher, e as mulheres de teus filhos. 
GEN.6.19	De tudo o que vive, de toda carne, dois de cada espécie, macho e fêmea, farás entrar na arca, para os conservares vivos contigo. 
GEN.6.20	Das aves segundo as suas espécies, do gado segundo as suas espécies, de todo réptil da terra segundo as suas espécies, dois de cada espécie virão a ti, para os conservares em vida. 
GEN.6.21	Leva contigo de tudo o que se come, ajunta-o contigo; ser-te-á para alimento, a ti e a eles. 
GEN.6.22	Assim fez Noé,
GEN.7.1	Disse o 
GEN.7.2	De todo animal limpo levarás contigo sete pares: o macho e sua fêmea; mas dos animais imundos, um par: o macho e sua fêmea. 
GEN.7.3	Também das aves dos céus, sete pares: macho e fêmea; para se conservar a semente sobre a face da terra. 
GEN.7.4	Porque, daqui a sete dias, farei chover sobre a terra durante quarenta dias e quarenta noites; e da superfície da terra exterminarei todos os seres que fiz. 
GEN.7.5	E tudo fez Noé, segundo o 
GEN.7.6	Tinha Noé seiscentos anos de idade, quando as águas do dilúvio inundaram a terra. 
GEN.7.7	Por causa das águas do dilúvio, entrou Noé na arca,
GEN.7.8	Dos animais limpos, e dos animais imundos, e das aves, e de todo réptil sobre a terra, 
GEN.7.9	entraram para Noé, na arca, de dois em dois, macho e fêmea, como Deus lhe ordenara. 
GEN.7.10	E aconteceu que, depois de sete dias, vieram sobre a terra as águas do dilúvio.
GEN.7.11	No ano seiscentos da vida de Noé, aos dezessete dias do segundo mês, nesse dia romperam-se todas as fontes
GEN.7.12	e houve copiosa chuva sobre a terra durante quarenta dias e quarenta noites. 
GEN.7.13	Nesse mesmo dia entraram na arca Noé, seus filhos Sem, Cam e Jafé, sua mulher e as mulheres de seus filhos; 
GEN.7.14	eles, e todos os animais segundo as suas espécies, todo gado segundo as suas espécies, todos os répteis que rastejam sobre a terra segundo as suas espécies, todas as aves segundo as suas espécies, todos os pássaros e tudo o que tem asa. 
GEN.7.15	De toda carne, em que havia fôlego de vida, entraram de dois em dois para Noé na arca; 
GEN.7.16	eram macho e fêmea os que entraram de toda carne, como Deus lhe havia ordenado; e o 
GEN.7.17	Durou o dilúvio quarenta dias sobre a terra; cresceram as águas e levantaram a arca de sobre a terra. 
GEN.7.18	Predominaram as águas e cresceram sobremodo na terra; a arca, porém, vogava sobre as águas. 
GEN.7.19	Prevaleceram as águas excessivamente sobre a terra e cobriram todos os altos montes que havia debaixo do céu. 
GEN.7.20	Quinze côvados acima deles prevaleceram as águas; e os montes foram cobertos. 
GEN.7.21	Pereceu toda carne que se movia sobre a terra, tanto de ave como de animais domésticos e animais selváticos, e de todos os enxames de criaturas que povoam a terra, e todo homem. 
GEN.7.22	Tudo o que tinha fôlego de vida em suas narinas, tudo o que havia em terra seca, morreu. 
GEN.7.23	Assim, foram exterminados todos os seres que havia sobre a face da terra; o homem e o animal, os répteis e as aves dos céus foram extintos da terra; ficou somente Noé e os que com ele estavam na arca. 
GEN.7.24	E as águas durante cento e cinquenta dias predominaram sobre a terra.
GEN.8.1	Lembrou-se Deus de Noé e de todos os animais selváticos e de todos os animais domésticos que com ele estavam na arca; Deus fez soprar um vento sobre a terra, e baixaram as águas. 
GEN.8.2	Fecharam-se as fontes do abismo e também as comportas dos céus, e a copiosa chuva dos céus se deteve. 
GEN.8.3	As águas iam-se escoando continuamente de sobre a terra e minguaram ao cabo de cento e cinquenta dias. 
GEN.8.4	No dia dezessete do sétimo mês, a arca repousou sobre as montanhas de Ararate. 
GEN.8.5	E as águas foram minguando até ao décimo mês, em cujo primeiro dia apareceram os cimos dos montes.
GEN.8.6	Ao cabo de quarenta dias, abriu Noé a janela que fizera na arca 
GEN.8.7	e soltou um corvo, o qual, tendo saído, ia e voltava, até que se secaram as águas de sobre a terra. 
GEN.8.8	Depois, soltou uma pomba para ver se as águas teriam já minguado da superfície da terra; 
GEN.8.9	mas a pomba, não achando onde pousar o pé, tornou a ele para a arca; porque as águas cobriam ainda a terra. Noé, estendendo a mão, tomou-a e a recolheu consigo na arca. 
GEN.8.10	Esperou ainda outros sete dias e de novo soltou a pomba fora da arca. 
GEN.8.11	À tarde, ela voltou a ele; trazia no bico uma folha nova de oliveira; assim entendeu Noé que as águas tinham minguado de sobre a terra. 
GEN.8.12	Então, esperou ainda mais sete dias e soltou a pomba; ela, porém, já não tornou a ele.
GEN.8.13	Sucedeu que, no primeiro dia do primeiro mês, do ano seiscentos e um, as águas se secaram de sobre a terra. Então, Noé removeu a cobertura da arca e olhou, e eis que o solo estava enxuto. 
GEN.8.14	E, aos vinte e sete dias do segundo mês, a terra estava seca. 
GEN.8.15	Então, disse Deus a Noé: 
GEN.8.16	Sai da arca, e, contigo, tua mulher, e teus filhos, e as mulheres de teus filhos. 
GEN.8.17	Os animais que estão contigo, de toda carne, tanto aves como gado, e todo réptil que rasteja sobre a terra, faze sair a todos, para que povoem a terra, sejam fecundos e nela se multipliquem. 
GEN.8.18	Saiu, pois, Noé, com seus filhos, sua mulher e as mulheres de seus filhos. 
GEN.8.19	E também saíram da arca todos os animais, todos os répteis, todas as aves e tudo o que se move sobre a terra, segundo as suas famílias.
GEN.8.20	Levantou Noé um altar ao 
GEN.8.21	E o 
GEN.8.22	Enquanto durar a terra, não deixará de haver sementeira e ceifa, frio e calor, verão e inverno, dia e noite.
GEN.9.1	Abençoou Deus a Noé e a seus filhos e lhes disse: Sede fecundos, multiplicai-vos
GEN.9.2	Pavor e medo de vós virão sobre todos os animais da terra e sobre todas as aves dos céus; tudo o que se move sobre a terra e todos os peixes do mar nas vossas mãos serão entregues. 
GEN.9.3	Tudo o que se move e vive ser-vos-á para alimento; como vos dei a erva verde, tudo vos dou agora. 
GEN.9.4	Carne, porém, com sua vida, isto é, com seu sangue, não comereis.
GEN.9.5	Certamente, requererei o vosso sangue, o sangue da vossa vida; de todo animal o requererei, como também da mão do homem, sim, da mão do próximo de cada um requererei a vida do homem. 
GEN.9.6	Se alguém derramar o sangue do homem,
GEN.9.7	Mas sede fecundos e multiplicai-vos;
GEN.9.8	Disse também Deus a Noé e a seus filhos: 
GEN.9.9	Eis que estabeleço a minha aliança convosco, e com a vossa descendência, 
GEN.9.10	e com todos os seres viventes que estão convosco: tanto as aves, os animais domésticos e os animais selváticos que saíram da arca como todos os animais da terra. 
GEN.9.11	Estabeleço a minha aliança convosco: não será mais destruída toda carne por águas de dilúvio, nem mais haverá dilúvio para destruir a terra. 
GEN.9.12	Disse Deus: Este é o sinal da minha aliança que faço entre mim e vós e entre todos os seres viventes que estão convosco, para perpétuas gerações: 
GEN.9.13	porei nas nuvens o meu arco; será por sinal da aliança entre mim e a terra. 
GEN.9.14	Sucederá que, quando eu trouxer nuvens sobre a terra, e nelas aparecer o arco, 
GEN.9.15	então, me lembrarei da minha aliança, firmada entre mim e vós e todos os seres viventes de toda carne; e as águas não mais se tornarão em dilúvio para destruir toda carne. 
GEN.9.16	O arco estará nas nuvens; vê-lo-ei e me lembrarei da aliança eterna entre Deus e todos os seres viventes de toda carne que há sobre a terra. 
GEN.9.17	Disse Deus a Noé: Este é o sinal da aliança estabelecida entre mim e toda carne sobre a terra.
GEN.9.18	Os filhos de Noé, que saíram da arca, foram Sem, Cam e Jafé; Cam é o pai de Canaã. 
GEN.9.19	São eles os três filhos de Noé; e deles se povoou toda a terra.
GEN.9.20	Sendo Noé lavrador, passou a plantar uma vinha. 
GEN.9.21	Bebendo do vinho, embriagou-se e se pôs nu dentro de sua tenda. 
GEN.9.22	Cam, pai de Canaã, vendo a nudez do pai, fê-lo saber, fora, a seus dois irmãos. 
GEN.9.23	Então, Sem e Jafé tomaram uma capa, puseram-na sobre os próprios ombros de ambos e, andando de costas, rostos desviados, cobriram a nudez do pai, sem que a vissem. 
GEN.9.24	Despertando Noé do seu vinho, soube o que lhe fizera o filho mais moço 
GEN.9.25	e disse:
GEN.9.25	Maldito seja Canaã;
GEN.9.25	seja servo dos servos a seus irmãos.
GEN.9.26	E ajuntou:
GEN.9.26	Bendito seja o 
GEN.9.26	e Canaã lhe seja servo.
GEN.9.27	Engrandeça Deus a Jafé,
GEN.9.27	e habite ele nas tendas de Sem;
GEN.9.27	e Canaã lhe seja servo.
GEN.9.28	Noé, passado o dilúvio, viveu ainda trezentos e cinquenta anos. 
GEN.9.29	Todos os dias de Noé foram novecentos e cinquenta anos; e morreu.
GEN.10.1	São estas as gerações dos filhos de Noé, Sem, Cam e Jafé; e nasceram-lhes filhos depois do dilúvio.
GEN.10.2	Os filhos de Jafé são: Gomer, Magogue, Madai, Javã, Tubal, Meseque e Tiras. 
GEN.10.3	Os filhos de Gomer são: Asquenaz, Rifate e Togarma. 
GEN.10.4	Os de Javã são: Elisá, Társis, Quitim e Dodanim. 
GEN.10.5	Estes repartiram entre si as ilhas das nações nas suas terras, cada qual segundo a sua língua, segundo as suas famílias, em suas nações.
GEN.10.6	Os filhos de Cam: Cuxe, Mizraim, Pute e Canaã. 
GEN.10.7	Os filhos de Cuxe: Sebá, Havilá, Sabtá, Raamá e Sabtecá; e os filhos de Raamá: Sabá e Dedã. 
GEN.10.8	Cuxe gerou a Ninrode, o qual começou a ser poderoso na terra. 
GEN.10.9	Foi valente caçador diante do 
GEN.10.10	O princípio do seu reino foi Babel, Ereque, Acade e Calné, na terra de Sinar. 
GEN.10.11	Daquela terra saiu ele para a Assíria e edificou Nínive, Reobote-Ir e Calá. 
GEN.10.12	E, entre Nínive e Calá, a grande cidade de Resém. 
GEN.10.13	Mizraim gerou a Ludim, a Anamim, a Leabim, a Naftuim, 
GEN.10.14	a Patrusim, a Casluim (donde saíram os filisteus) e a Caftorim.
GEN.10.15	Canaã gerou a Sidom, seu primogênito, e a Hete, 
GEN.10.16	e aos jebuseus, aos amorreus, aos girgaseus, 
GEN.10.17	aos heveus, aos arqueus, aos sineus, 
GEN.10.18	aos arvadeus, aos zemareus e aos hamateus; e depois se espalharam as famílias dos cananeus. 
GEN.10.19	E o limite dos cananeus foi desde Sidom, indo para Gerar, até Gaza, indo para Sodoma, Gomorra, Admá e Zeboim, até Lasa. 
GEN.10.20	São estes os filhos de Cam, segundo as suas famílias, segundo as suas línguas, em suas terras, em suas nações.
GEN.10.21	A Sem, que foi pai de todos os filhos de Héber e irmão mais velho de Jafé, também lhe nasceram filhos. 
GEN.10.22	Os filhos de Sem são: Elão, Assur, Arfaxade, Lude e Arã. 
GEN.10.23	Os filhos de Arã: Uz, Hul, Geter e Más. 
GEN.10.24	Arfaxade gerou a Salá; Salá gerou a Héber.
GEN.10.25	A Héber nasceram dois filhos: um teve por nome Pelegue, porquanto em seus dias se repartiu a terra; e o nome de seu irmão foi Joctã. 
GEN.10.26	Joctã gerou a Almodá, a Selefe, a Hazar-Mavé, a Jerá, 
GEN.10.27	a Hadorão, a Uzal, a Dicla, 
GEN.10.28	a Obal, a Abimael, a Sabá, 
GEN.10.29	a Ofir, a Havilá e a Jobabe; todos estes foram filhos de Joctã. 
GEN.10.30	E habitaram desde Messa, indo para Sefar, montanha do Oriente. 
GEN.10.31	São estes os filhos de Sem, segundo as suas famílias, segundo as suas línguas, em suas terras, em suas nações.
GEN.10.32	São estas as famílias dos filhos de Noé, segundo as suas gerações, nas suas nações; e destes foram disseminadas as nações na terra, depois do dilúvio.
GEN.11.1	Ora, em toda a terra havia apenas uma linguagem e uma só maneira de falar. 
GEN.11.2	Sucedeu que, partindo eles do Oriente, deram com uma planície na terra de Sinar; e habitaram ali. 
GEN.11.3	E disseram uns aos outros: Vinde, façamos tijolos e queimemo-los bem. Os tijolos serviram-lhes de pedra, e o betume, de argamassa. 
GEN.11.4	Disseram: Vinde, edifiquemos para nós uma cidade e uma torre cujo tope chegue até aos céus e tornemos célebre o nosso nome, para que não sejamos espalhados por toda a terra. 
GEN.11.5	Então, desceu o 
GEN.11.6	e o 
GEN.11.7	Vinde, desçamos e confundamos ali a sua linguagem, para que um não entenda a linguagem de outro. 
GEN.11.8	Destarte, o 
GEN.11.9	Chamou-se-lhe, por isso, o nome de Babel, porque ali confundiu o 
GEN.11.10	São estas as gerações de Sem. Ora, ele era da idade de cem anos quando gerou a Arfaxade, dois anos depois do dilúvio; 
GEN.11.11	e, depois que gerou a Arfaxade, viveu Sem quinhentos anos; e gerou filhos e filhas.
GEN.11.12	Viveu Arfaxade trinta e cinco anos e gerou a Salá; 
GEN.11.13	e, depois que gerou a Salá, viveu Arfaxade quatrocentos e três anos; e gerou filhos e filhas.
GEN.11.14	Viveu Salá trinta anos e gerou a Héber; 
GEN.11.15	e, depois que gerou a Héber, viveu Salá quatrocentos e três anos; e gerou filhos e filhas.
GEN.11.16	Viveu Héber trinta e quatro anos e gerou a Pelegue; 
GEN.11.17	e, depois que gerou a Pelegue, viveu Héber quatrocentos e trinta anos; e gerou filhos e filhas.
GEN.11.18	Viveu Pelegue trinta anos e gerou a Reú; 
GEN.11.19	e, depois que gerou a Reú, viveu Pelegue duzentos e nove anos; e gerou filhos e filhas.
GEN.11.20	Viveu Reú trinta e dois anos e gerou a Serugue; 
GEN.11.21	e, depois que gerou a Serugue, viveu Reú duzentos e sete anos; e gerou filhos e filhas.
GEN.11.22	Viveu Serugue trinta anos e gerou a Naor; 
GEN.11.23	e, depois que gerou a Naor, viveu Serugue duzentos anos; e gerou filhos e filhas.
GEN.11.24	Viveu Naor vinte e nove anos e gerou a Tera; 
