MAT.1.1	Am maŋge ŋen maŋge ŋen sokbem kotnepeme Zisas ek Abalaam ma Dewit egegat iŋsokŋit penaŋ sokbeye.
MAT.1.17	An sokbemkwebienen kalakumann maŋge tuk kapigok benak. Abalaamagengatnaŋ Dewitmagen kwadelaŋ peinen an maŋge sokbemkwapme 14 kogok beye. Ma Dewitmagengatnaŋ Babilon msalen mka katikŋan indatmebienen kogogak an maŋge 14 sokbewien. Ma Babilon mka katiknaŋgatnaŋ Kilasmagen kwazinen kogogagak an maŋge 14 sokbewien.
MAT.1.18	Zisas Kilais sokbeye keyet yaŋaŋ kapigok penaŋ tazin. Mamaŋ kwitnaŋ Malia. Egat apmaŋ Zosep ewe an zapatnaŋ etaŋ zempeme igak igak manepemalu Emetak Teŋaŋ menok mme Malia ek nemba kambakmak tage. 
MAT.1.19	Kegok mme an zapatnaŋ Zosep ek mama mimiŋaŋ dolakŋaŋ maŋgeyepmti keŋanŋegak kapigok otnâŋge, “Neŋ zetnaŋ sosok zema sakambuk temaŋ tisemgat belak buzak katipemti mebap.” Kegok nâŋge.
MAT.1.20	Kegok mimiyelen nâmti manepeme Amobotnaŋgalen ensel ŋenaŋ mulugen sokbemsamti kapigok dunduye. “Zosep, geŋ Dewitgat guluk galakŋaŋ, imbindi Malia wawagat yayaŋ ku msenik. Nemba kambakmak tazin ke Emetak Teŋmagengatnaŋ. 
MAT.1.21	Nemba atam mbe kwitnaŋ Zisas kuwanik. Kwit keyet yaŋaŋ, Egaŋ ikŋaŋ amŋane yomengatnaŋ indatim kwabe.”
MAT.1.22	Kwitnaŋ kwitnaŋ sokbeye ke golaŋ zenze an ŋenaŋ eweŋan Amobotnaŋ Kawawaŋgalen Zet Itnaŋanen kapigok zeye, ke penaŋaŋmak bembeyelen sokbeye,
MAT.1.23	“Nâip, imbi nembip ŋenaŋ nemba kambakmak tati nemba ambebe. Âpme anemba keyet kwitnaŋ ‘Imanuel’ kuwep. Imanuel kwit kapiyet ningalen zeleset yaŋaŋ Kawawaŋ ninmak main.” 
MAT.1.24	Âpme Zosewaŋ mulugengatnaŋ wati Amobotnaŋgalen ensel egalen zetnaŋ gawepumti Malia mkaŋan wati moge. 
MAT.1.25	Mobunaŋgut awembiŋ mama ke ŋen ku mambun. Belak imbiŋaŋ kekenemuŋ penaŋ tetimti manepeme nemba ke sokbeme Zosewaŋ kwitnaŋ Zisas kuye.
MAT.2.1+MAT.2.2	Elot ek amobotnaŋ mame kan keyet Zisas Beteleem mkaen Zudia msalen sokbeye. Âpme kan keyet kasup kwakwatnaset an notnaŋ Zelusalem mkaen kwati am pigok indayaŋkwesiwien, “Zuda am ingalen Amobotnaŋ alakŋaŋ sokbeye. Ek mka deset tazin? Nin msatnan beŋan daengatnaŋ okak sokbembeyelen wenzim busatnaŋ ekti pedondom sesewatpesâgât takotnup.”
MAT.2.3	Kegok zeme amobotnaŋ Elot ma Zelusalem mka toŋaŋ ekŋenaŋ ilinsakwep zet ke nâmti endilipewien. 
MAT.2.4	Âpme Elot egaŋ sâpe sâpe bumbu an ŋeŋaŋ ma zii zet zikat indanda an ekŋen ondekindemti pigok indayaŋkwesiye, “Kilais pe msat deset sokbembeyet zenzeŋaŋ ze? Zeme nâne.”
MAT.2.5	Âpme ekŋenaŋ kapigok dunduwien, “Beteleem mkaen Zudia msalen sokbewe. Golaŋ zenze an ŋenaŋ kapigok kuye,
MAT.2.6	‘Beteleem mka Zudia msalen tadik geŋ Zuda am ekŋenaŋ mka tototnaŋ yek. Mka ŋotekŋaŋ temaŋ. Geŋmagen An ŋen temaŋ sokbemti Islael aminne indikdamuŋ mbe.’” 
MAT.2.7	Zet kegok zeme nâmti Elot egaŋ an ekŋen beŋangatnaŋ kobien ekŋen ke buzakset indamandamti wenzim zukŋan sokbeye keyet yaŋaŋgat indayaŋkwesime yaŋaŋ dunduwien. 
MAT.2.8	Dundume nâmti, Beteleem mkaen meeegat nâmindemti pigok zeye, “In meti windeŋaŋ mti aikti kot nâgât zeme nâmti neŋ kegogak meekti pedondom samti sesewatpesap.” Dâsuki kogok zemindeme mebien.
MAT.2.9	Amobotnaŋaŋ kegok diindome toti meti selen mepme mkaŋinan wenzim ekbien keyaŋ ewe ŋeŋaŋ bemindap meti Zisasiyaŋ mka weŋge keyet dukŋan wenzimaŋ kaliŋaŋ atam tage. 
MAT.2.10	Âpme ekŋenaŋ wenzim ekti keŋ oloŋen igagen mbien. 
MAT.2.11	Mti mka keŋan moti nemba ma mamaŋ Malia idikti nemba pedondom samti zemsesewatpewien. Mti milawat boŋgisiŋin mâtâti gol ma kwitnaŋ kwitnaŋ sesikŋaŋ dolakŋaŋ tosaŋaŋ temaŋ ke timti taolet msawien. 
MAT.2.12	Âpme Kawawaŋaŋ kieset zemkulumindemti zeye, “In Elotmagen set mebepiŋ.” Kegok zemindeme set ŋenieset meti msalinan pataŋ zewien.
MAT.2.13	Ekŋenaŋ gilik zem mepme An Temaŋgalen Ensel Zosep mulugen sokbemsamti pigok dunduye, “Geŋ wati imbi nembandi idatimti Izip msalen meti nâlen zetgat damuŋ manepeme neŋ zemaŋgut nâmti kobep. Nânik, Elot ek nemba timati aikti kusât tazein.”
MAT.2.14	Zeme Zosep egaŋ tambuyet penaŋ wati imbi nembaŋaŋ time Izip msalen kunzuŋ mebien. 
MAT.2.15	Kwitnaŋ kwitnaŋ kegok sokbeme Amobotnaŋaŋ golaŋ zenze an ŋeniyet zet zeme nâmti meluwaŋ pigok mge ke penaŋaŋ sokbeye,
MAT.2.15	“Nemun Izip msalen met manepeme neŋ kumtetima gilik zemti kobe.” 
MAT.2.16	An kasup kwakwatnaset kobien, ekŋenaŋ Kawawaŋaŋ zemâtâtindame nâmti set butnaset mepme amobotnaŋ Elot egaŋ tapme beme pigok nâŋge, “An ekŋen pi tetimnemti butnaset melo.” E nâmti ŋeŋaŋ penaŋ zime an kobien ekŋenaŋ nup kan zut keyet keŋan sokbeme ekŋenaŋ zeme nâŋge keyepmti kasa kuku an zemindeme Beteleem mkaen meti mka isikŋan eyo tokwati anemba okak nup kanŋin zut ma keyet kandaŋan tozin ekŋen indome delaŋ zemâge. 
MAT.2.17	Âpme kan keyet golaŋ zenze an Zelemaiayaŋ zet pigok zeye ke penaŋaŋ sokbeye.
MAT.2.18	“Lema mkaen Zuda msalen kwisak temaŋ sokbein. Nembaŋine sambe penaŋ gakimâpme keyepmti Islael nemba mamine ekŋen sume delaŋ zeme am ekŋenaŋ keŋin mme sewakŋaŋ bembeyet olalip.” 
MAT.2.19	Zosep imbi nembaŋaŋ ekŋen ewe Izip msat mame amobotnaŋ Elot gakime Amobotnaŋgalen ensel ŋenaŋ kie Zosep pigok dunduye, 
MAT.2.20	“Geŋ milawat weyaŋ bemti imbi nembandi indatimti Islael msalen ewe melit nemba kume gakikiyet giŋgiŋ mamtan elak gakiye.”
MAT.2.21	Âpme Zosep egaŋ imbi nembaŋaŋ idatimti Islael msalen ewe kobien. 
MAT.2.22+MAT.2.23	Gilik zem koti Zosewaŋ zet kapigok nâŋge. Akeleas ek bipmaŋgat munduman amobotnaŋ tati amobotnaŋ mulup Zudia msalen ke met tapm zeme kiŋgage, yaŋgut mulugen Kawawaŋaŋ zet dundume nâmti Galili msaleset meti mka ŋen kwitnaŋ Nasalet ke met mamtemien. Kegok mme golaŋ zenze an ekŋengalen zet ŋen pigok tazin ke penaŋaŋ sokbeye.
MAT.2.22+MAT.2.23	“Am ekŋenaŋ, ‘Nasalet an,’ zewep.” 
MAT.3.1	Kan keyet Zân an tu zululut egaŋ Zudia msalen msat tuŋgupman sokbemkawaŋ bemti mulupmaŋ yaŋbem mmambe am zet pigok diindoye, 
MAT.3.2	“Kawawaŋgalen zemâtâtâtgat katnanen mama keyaŋ kot indaombem tazingat in yomgalen set bekanaŋ bee peme tapme keŋin gilik zeit.” 
MAT.3.3	Zânmagen golaŋ zenze an Aizayayaŋ muluwaŋ pigok mge ke penaŋaŋmak bein,
MAT.3.3	“An ŋenaŋ msat tuŋgupman kwizet kapigok takuin, ‘Amobotnaŋgat setnaŋ weyaŋme dolakŋaŋ ma kwetetepmaŋ bemti tapme kobe.’” 
MAT.3.4	Zân ek kâlâpmaŋ kamel zupmaŋaŋ weyayaŋaŋ mmamtan ma bitim ŋen pemanen zam mamtan. Meuŋaŋ didikŋaŋgatnaŋ bizik tuŋaŋ ma gwidek ke etaŋ nimti mamtan. 
MAT.3.5	Âpme am sambe Zelusalem mka temaŋmak mka isisikŋaŋ ekŋen Zudia am ondekti ma Zodan Tu nembet timat butnaŋ butnaŋ Zânmagen kopmâti ondekbien. 
MAT.3.6	Mti yomin zemsokbeme Zânaŋ Zodan tuyen tu zulutindeye.
MAT.3.7	Âpme Palisi ma Sadusi ekŋenaŋ kegogak tu zulusâgât kopme kapigok diindoye, “In nombeyelen alikŋaŋ. In kapi Kawawaŋaŋ yominaŋgat dopmaŋ mutumindasâgât tapm ke walabep bein? Yek penaŋ. 
MAT.3.8	In mama mimi dolakŋaŋ mme keyaŋ in yomengatnan keŋin gilik zewien ke sokbemkawaŋ bewe. 
MAT.3.9	In keŋinan kapigok ku otnâit, ‘Nin Abalaamgat insokŋane manup keyepm Kawawaŋaŋ ku zemndowe.’ Neŋ pigok diindoma nâit, zet ke belakŋaŋ etaŋ. Kawawaŋ egaŋ zenak beme ke ŋep zeme nanzaŋ ekŋen kapiyaŋ Abalaamgat alikŋane bewiek.” 
MAT.3.10	Kegok zemti zet zapat sesepmaŋ ewe tusum pigok zeye, “An ŋen ek nâmkiŋpepeŋaŋmak bewe ke tep katnaŋ maelikzin keboŋ. Âpme an nâmkiŋpepeŋepiŋ bewe ek tep sinaŋ memuŋ bemti matozin sepem keboŋ mme ek kapupme tewen ziwe.
MAT.3.11	Neŋ in yomengatnan keŋin gilik zeme tu etaŋ manzulutindeyap yaŋgut bamnan an kosâpm ek Amobotnaŋ temaŋ windeŋaŋbeŋaŋ kosâpm. Neŋ an tototnaŋ penaŋaŋ; ek keboŋ ke neŋ bukeboŋaŋ elewat temaŋ timpema ŋep ku bewe. Egaŋ ikŋaŋ Kawawaŋgalen Emetak Teŋ mulupmaŋ tep manzinok yom zime kwetetepmaŋ mambein kemak temakwep zulutindewe. 
MAT.3.12	Egaŋ omkakalili takasetnaŋmak takozinaŋ wit omkakalimti mwapme tâgâyaŋ kumti sekŋaŋ maŋge ŋen ma wit penaŋ maŋge ŋen bewe. Mti wit penaŋ time mkaŋan mowebe sekŋaŋ ulume tep katikŋan monzimti manzimopmambe. Keyet yaŋaŋ am nâmkiŋpepeŋinmak time maŋgeŋen mopme am nâmkiŋpepeŋinpiŋ time maŋge ŋen mobep.”
MAT.3.13	Kan keyet Zisas egaŋ Galili msalen Zodan tuyen meti Zân egaŋ tu zulutpepeyelen nâmti koge. 
MAT.3.14	Âpme Zân nâme nukŋaŋ beme dunduye, “Neŋ keboŋgat eneyet kot tazenik? Geŋ keboŋaŋ neŋ zulutnemane ŋep benak.”
MAT.3.15	Zeme Zisasiyaŋ zet kapigok gilik zem saye, “Geŋ alak yayaŋ pematalak. Kawawaŋaŋ mulup zet teŋ penaŋ gaingapmti gawepusenik.” Kegok zeme Zânaŋ nâmti tu zulutpeye.
MAT.3.16	Âpme Zisasiyaŋ tu zuluti kwapme keyegak kululuŋaŋ ŋandeme Kawawaŋgalen Emetak Teŋaŋ sasakandenombe nemboŋ bemti ekmagen toge. 
MAT.3.17	Âpme kululuŋengatnaŋ zet ŋen kapigok sokbeye, “Kapi nanaŋgat Nemun penaŋ; egat nâmtikŋaŋ omba penaŋ manâmpeyap. Neŋ ek ombempewangapmti am yomengatnaŋ indati kwabe keyet oloŋen miap.”
MAT.4.1	Âpme Emetak Teŋaŋ Zisas msat tuŋgupman Sadaŋaŋ tetipepeyelen nâmti watmeti 
MAT.4.2	Zisasiyaŋ mame kasup 40 ma tambumbu 40 maneti tu meuyet penaŋ gakiwaleletgalen mge. 
MAT.4.3	Âpme Sadaŋaŋ ekmagen koti zeye, “‘Neŋ Kawawaŋgat Nemuŋaŋ’ kok manzenik keyepmti ke penaŋ manik beme zemane nanzaŋ kapiyaŋ meu sokbeme ŋep nsenik.”
MAT.4.4	Kegok zeme Zisasiyaŋ kapigok dunduye, “Kawawaŋgalen zet meluwaŋ itnaŋanen kapigok kukuŋaŋ tazin,
MAT.4.4	‘Amnaŋ keŋin tu meuyet etaŋ bemti ku mamayelen. Yek penaŋ. Zet kwep kwep Kawawaŋmagengatnaŋ kozin ke keŋinan mkipmaŋ bembeyelen.’” 
MAT.4.5	Kegok zeme Sadaŋaŋ Zisas naman wati Zelusalem sesewat mka temaŋ dukŋan wapmotati 
MAT.4.6	kapigok dunduye, “Geŋ Kawawaŋgat Nemuŋaŋ manik beme kapiyetnan palam towepmane zet meluwaŋ ŋen kapigok tazin ke nânik,
MAT.4.6	‘Kawawaŋaŋ enselŋane ekŋengat belinan geme ekŋenaŋ belen gatam topme nanzaŋaŋ sedi ku aaŋgalen.’” 
MAT.4.7	Zeme Zisasiyaŋ kapigok dunduye, “Yaŋgut Kawawaŋgalen zet meluwaŋ itnaŋanen zet ŋen kapigok kukuŋaŋ tazinegek,
MAT.4.7	‘Kawawaŋ Amobotnaŋdi yaŋaŋ ku mim ekbanik.’”
MAT.4.8+MAT.4.9	Kegok zeme Sadaŋaŋ kalaŋ teepmaŋ ŋengat watmotati msat sambeyelen kwitnaŋ kwitnaŋ dolakŋaŋ sepem igak igak ke zikat samti zeye, “Geŋ pedondom namti dundum namane kwitnaŋ kwitnaŋ sambe ke ekdik beke gâlen belen bepema damuŋ mmambanik.”
MAT.4.10	Âpme Zisasiyaŋ kapigok gilik zem zeye, “Kawawaŋgalen zet meluwaŋ itnaŋanen zet ŋen kapigok kukuŋaŋ tazin,
MAT.4.10	‘Kawawaŋ Amobotnaŋdi etaŋ pedondom samti dundum sawanik ma ek kwewetaŋ sisiliŋ msamti mambanik.’ 
MAT.4.10	Sadaŋ, geŋ nemti met.”
MAT.4.11	Kegok zeme Sadaŋaŋ pemti mege. Âpme Kawawaŋgalen ensel ekŋenaŋ koti mukulem mpewien.
MAT.4.12	Zân mka katikŋan peme tapme Zisasiyaŋ zapatnaŋ nâmti Galili msalen mege. 
MAT.4.13	Mti egaŋ Zudia msat peme tapme Galili msalen meti mkaŋaŋ ŋotakŋan Nasalet ke met tabi tabi mineti peme tapme naman Kapaneam mkaen mege. Mka ke Galili tunduamak msat zut Zebulanmak Naptalai keyet sokŋanik ke matatan. 
MAT.4.14	Kegok mme golaŋ zenze an Aizaya egaŋ Kawawaŋgalen Zet Itnaŋanen zet ŋen kapigok kukuŋaŋ ke katikŋaŋ beye,
MAT.4.15+MAT.4.16	“Am Zebulan msaleset ma Naptalai msaleset mamaip ekŋenaŋ Galili tundua lemunaŋ temaneset mamaip. Am Zuda maŋgeen ku sokbembeŋaŋmak lumaŋti kileŋ mamaip. Sambe beke tambusosok temaŋ keŋan mamaip ekŋenmagen busatnaŋaŋ sokbemindawe. Am waleletgat zapat mamaip ekŋen kemagen busatnaŋ sokbembeyelen.” 
MAT.4.17	Kan keyet Zisasiyaŋ Zet Zapat Dolakŋaŋ zemti am kapigok yaŋbem diindoye, “Kawawaŋgalen zemâtâtâtgat katnanen mamayelen kan ilak kolapgat yomengatnan keŋin gilik zeit.”
MAT.4.18	Âpme kasup ŋeniyet Zisas egaŋ Galili Tundua keyet nelum palen mepmambe an zut dapmeniŋ idige ŋen Saimon egat kwitnaŋ ŋen Pita ma datnaŋ Endulu. Egelaŋ tunduaen eleŋgolamit pemti tapmambun. Egegat muluwit ŋotekŋaŋ aŋgala titi. 
MAT.4.19	Eget ke idikti zeye, “It kopmalu neŋmak meti neŋ naman am indatitiyelen mulup ke neŋmak tusumti indandayelen zikat idawap.” 
MAT.4.20	Zeme keyegak eleŋgolamit mee pemalu tapme Zisasmak tusum mebien.
MAT.4.21	Âpme belaknik meti an dapmeniŋ ŋen ewe idaige Zems ma meniŋaŋ Zân. Eget Zebediyet nembaŋanet. Biwitmak waŋgaŋinan tati eleŋgolamin taweyaŋmambien. 
MAT.4.22	Idikti Zisasiyaŋ idakumtetime eleŋgolamit mee ma biwit pemti Zisasmak tusum mebien.
MAT.4.23	Âpme Zisas ek Galili msat toweti sesewat mka kataŋ mototi am Zet Zapat Dolakŋaŋ diindomti Kawawaŋgalen zemâtâtâtgat katnanen mama keyet zapatnaŋ diindoye. Mti am zawalin sepemaŋ igak igak ke mme alik bemâbien. 
MAT.4.24	Kegok mme kwit zapatnaŋ Silia msalen palakŋaŋ beme nâmti am zawat sepemaŋ igak igak sek sindemak ma we bekanaŋinmak ma gakim wat gakim wat mamip keboŋ ma selin belin selauuŋaŋ ekmagen indatim kopme weyaŋindemâge. 
MAT.4.25	Âpme Galili msalengatnaŋ ma Dekapolas mkaengatnaŋ ma Zelusalem mkaengatnaŋ ma Zudia msalengatnaŋ ma Zodan tu nembet daeset am maŋge temaŋ penaŋ ondekti ekmak tasât mebien.
MAT.5.1	Zisasiyaŋ am sambe penaŋ indikti kalaŋ dukŋan mot totapme nembaŋaneyaŋ met egat kandaŋanen totapme 
MAT.5.2	Zet Zapat Dolakŋaŋ kapigok zemzikat indaye,
MAT.5.3	“Am ilinaŋgat yominaŋgat nâme kembeŋ mambein ma ilin keŋin mtoti mamaip ekŋen oloŋen mip ma bamgat ekŋen keyaŋ mundum kululuŋen toŋaŋ bewep.
MAT.5.4	Am yominaŋgat keŋinan Kawawaŋ masumsaip ekŋenaŋ oloŋen mip. Am ekŋen ke Kawawaŋaŋ yomin katipeme keŋin sewakŋaŋ penaŋ mambein.
MAT.5.5	Am ilinaŋgat sekŋin mamtolip ekŋen ke oloŋen mip. Ekŋen ke Kawawaŋgalen zemâtâtâtgat katnanen mama aikbep.
MAT.5.6	Am mama mimi teŋ Kawawaŋaŋ indandayet windeŋaŋ mamip ekŋen oloŋen palen talip. Bamgat Kawawaŋaŋ winde igagen penaŋ indawe.
MAT.5.7	Am olat olat palen mame maindamukulem mimindep ekŋen oloŋen palen maip. Ekŋen ke Kawawaŋaŋ sepem kwep kegogak mimindawe.
MAT.5.8	Am keŋinangalen yom Kawawaŋaŋ katikpepeŋaŋ ekŋen oloŋen palen maip. Am ekŋen keyaŋ kululuŋen moti Kawawaŋgat zimosetnaŋ eksâip.
MAT.5.9	Am kalalaŋaŋ mme keŋ kwep mambeip an ekŋen ke Kawawaŋaŋ keŋin mme oloŋen palen talip. Bamgat Kawawaŋaŋ, ‘Nemunambanne,’ zemindewe.
MAT.5.10	Am Kawawaŋangat zikatnan teŋ mame notnaŋaŋ nâmbekam bemindemti sisipeŋpeŋ mti maindop ekŋenaŋ oloŋen palen maip. Ekŋenaŋ kululuŋen mundum ke met tiwep.
MAT.5.11	In neŋmak tusumti mame keyepmti amnaŋ zet mgasik diindomti zet dâsuki bemzenze sambe sekŋinan bemzemti sisipeŋpeŋ penaŋ mamimindeip. 
MAT.5.12	In maneti nukŋaŋ maindaip keyepm oloŋen mit. Wa ke in etaŋ yek. Golaŋ zenze an eweŋan tipman baen mamkwabien ekŋen sisipeŋpeŋ sepem kegogak mimindamkwabien keyepm webeit tosaŋin kululuŋen gwaen motiwep.
MAT.5.13	Msalen am mamaip ekŋenmagen mama mimiŋin dolakŋaŋ dalaŋ keyet sepemnok beme mambep. Dalaŋ ke yaŋaŋ kapigok, dalaŋaŋ meuyen pemann meu mme tikŋaŋ mambemâzin. In dalaŋnok kwati am mama mimiŋin mme tikŋaŋmak beme amnaŋ nâmtikŋaŋ mbep. Âk dalaŋaŋ tikŋaŋ maasekzin sepem kegogak in nâmkiŋpepeŋin asekmâbe beme in Kawawaŋgalen Zet Zapat Dolakŋaŋ ku mâbep. Egaŋ zemindeme zupman toweti sakamaŋ dalaŋ bekanaŋ timtati selen time mepme amnaŋ mekoti selaŋ maim enzeŋip in sepem keboŋ bewep. 
MAT.5.14+MAT.5.15	Amnaŋ lam koŋbemti menzimaŋ dukŋan ku makwalapeip. Ekŋenaŋ lam koŋti munduman sosok bempeme tapme am mka keŋan matalip bee mbusatnaŋ mambemindein. In sepem kegok kawaŋ sutnan tati am msat sambe mbusatnaŋ bemindeme ekŋen Kawawaŋgalen zapat sokbewep. Mka ŋande temaŋ ŋen kalaŋ sutnan belak kawaŋan tapme kwileki ŋenaŋ ku mautukekzin. 
MAT.5.16	Keyepmti in mama mimiŋin dolakŋaŋ lamnok ke belak peme kawaŋan busatnaŋaŋ busatnaŋ bem talep keyepm am ekŋenaŋ busatnaŋin ke ekme dolakŋaŋ beme ekŋenaŋ ingat Biwin kululuŋen tazin sesewatpewep.
MAT.5.17	In zii zet ma golaŋ zenze an ekŋengalen zet ke aseksâgât kolap nâgât kegok ŋen zewiegat. Neŋ zet ke aŋgososoyelen yek. Zii zet keyet yaŋaŋ penaŋ zemzikat indasât koban. 
MAT.5.18	Neŋ penaŋ diindoma nâit, msat ma kululuŋ tazin kataŋ zii zelaŋ wemti mulupmaŋ mbe ma zii zet mulupmepiŋ belak ku tabe. Ke penaŋaŋmak etaŋ bemâbe. 
MAT.5.19	Keyepmti am ŋenaŋ zii zet belaknik bugan aŋgosop ma notnane zikat indame zii zet aŋgososoyelen min an ke ek Kawawaŋgalen zemâtâtâtgat katnanen mama ke ku map. Naman am ŋenaŋ zii zet gawepumti notnaŋne ke mimiyet zemzikat indawe egaŋ Kawawaŋgalen zemâtâtâtgat katnanen mama keyet keŋan mambe. 
MAT.5.20	Neŋ pigok diindoma nâit, ingalen zii zet gawepum mama keyaŋ zii zet zikat indanda anmak Palisi ekŋen bugan meti sebemindesem. Yek bein beme in Kawawaŋgalen zemâtâtâtgat katnanen mama ke keŋan ku tabep.
MAT.5.21	Yeŋ sokŋineyet zet kapigok diindondoŋaŋ,
MAT.5.21	‘Geŋ am ku indomane gakiwep. Am ŋenaŋ kegok mbe beme zet muluwen motabe.’ 
MAT.5.22	Zet ke penaŋ keyaŋgut neŋ tusumti pigok diindoma nâit, Am ŋenaŋ notnaŋ ŋenzinziŋ msawe beme an ke zet muluwen wati mebep. Ma ŋenaŋ notnaŋ zemkwelat kuwe beme an ke sesewat mka temaŋgalen an damuŋ ekŋengalen ondedagen onzempewep. Ma ŋen egaŋ notnaŋ ŋen, ‘Kopa belakŋaŋ penaŋ,’ dundumti mtopewe beme an keboŋ ke teziŋ ŋandaŋgat zapat bewe.
MAT.5.23	Keyepm geŋ Kawawaŋ sesewatsasâgât meti naman kapigok nâmbanik, ‘O neŋ notn kaindeyaŋ nâgât nâmbekam bembeŋaŋ tazin.’ 
MAT.5.24	Kegok nâmbanik beme geŋ gilik zemti ekmagen meti nâmbekam bembeŋit zemkwetetepmaŋ mtiŋgut kot sesewatpewanik.
MAT.5.25	Kegogak geŋ nodi ŋengalen kwileki ŋen dopmaŋ sasayet zemti mbanan yaŋ sasapiŋ mane pemane egaŋ geŋ zet muluwen gati mebe beme geŋ zet muluwen ewe mobopiŋ selen mepmambe nodi kemagen sakwep meti zelit weyaŋbalup. Kegok ku mbanik beme nodi keyaŋ sakwep moti zet muluwen geme zet tiyape yape mmane zet nânâyelen an keyaŋ tipdak kutum ekŋen zemindeme ekŋenaŋ kot gatamti met mka katikŋaŋ geme towebanik. 
MAT.5.26	Neŋ penaŋ diŋgoma nâmbak, geŋ ke tatneti belak penaŋ ku tobanik, nodaŋgalen dopmaŋ mutumane delaŋ penaŋ zemeŋgut tobanik.
MAT.5.27	In Kawawaŋgalen zii zelaŋ pigok mandiindome nâip,
MAT.5.27	‘In am ŋengalen imbi ma an eyak mti set buzak ku indatmambep’. 
MAT.5.28	Zet ke penaŋ keyaŋgut neŋ naman tusumti ingat pigok diindoma nâit, an ŋenaŋ ŋengat imbiŋaŋ keŋanen eksegat mti egaŋ imbi ke menzem wawagat keŋaŋ etaŋ otnâmbe beme egaŋ ilak zii zelaŋ an notnaŋgat imbiŋaŋmak ku weweyet zewenn kelak imbi kemak wep. 
MAT.5.29	Keyepmti zikadi ŋenaŋ bekanaset gatetimti mesât mbe beme geŋ kwenzempemane mebe. Mineti geŋ zikadi zuzulak tagame maneti teziŋ ŋandaŋ towebanikgat kwenzempemane mebe. 
