MAT.1.1	Si Jesus a sya a Cristo
MAT.1.17	Nga'mi-nga'min, mangibwat kona ni Abraham angga kona ni David, labin'a'pat a nisusunor a kapamilyawan; labin'a'pat anamaet mangibwat kona ni David anggan sa nikai'ras ran Israelita sa Babilonia, tan labin'a'pat a lamang anamaet mangibwat sin nai'ras sarayna sa Babilonia angga sin naiyanak ya a Cristo.
MAT.1.18	Wanti ey isturya nin nikaiyanak na ni Jesus a syay Cristo: Si Maria a syay ina na, naitarato
MAT.1.19	Ket si Jose a asawa na, bana' ta maong yan tawo tan kai na rabay a maikwa ya sa kading'eyan si Maria, nidisisyon na nin isyay
MAT.1.20	Bale' sin man'isip-isipen nayti, nanaynep ya ket sa taynep na pina'kit yay sayay anghil nan Dios tan wana kona, “Jose a puri na ni David, andi' ka mag'alangan nin mangikasal kona ni Maria. Wanin ta si buktot na ket nangibwat ya sa pakayadi' nan Ispirito nan Dios. 
MAT.1.21	Manganak ya nin lalaki ket pangaranan ma li' nin Jesus
MAT.1.22	Sain ket mangyadi' ta pigaw nin matukid a nipaibarita' naynan na'teng nin Dios konan prupita na a wana,
MAT.1.23	“Ket si sayay birhin a balasang, gumuktot ya li'!
MAT.1.23	Lalaki ya li' a anak na tan tawagen ya li' nin Emmanuel.”
MAT.1.23	Say rabay nan irgwen ket “Kalamo' tamoyay Dios.”
MAT.1.24	Nakaimata yayna si Jose, ket ginwa' na a nipagwa' nan anghil nan Dios kona; nikasal naya si Maria. 
MAT.1.25	Bale' kai naya nin kinudit si Maria leg'an nin kai ya et nin nangabing. Sin nangabing yayna si Maria, pinangaranan naya ni Jose a abing nin Jesus.
MAT.2.1	Sawanin, niyanak ya si Jesus sa babalin Betlehem sa prubinsyan Judea sin kapresan a si Herodes a adi'. Ket main nin lulalakin madudunong
MAT.2.2	Nitepet-tepet ra, “Adti yaytaw si Adi' ra nin Judio a naiyanak? O' a ta na'kit miya a bituen nin sinyal a naiyanak yayna sin itaw kami sa baytan
MAT.2.3	Sin natandaan nayti ni Adi' Herodes, inmaburido ya tan wanin ra anamaet nin saray tutawodtaw sa Jerusalem. 
MAT.2.4	Miniting nasaray Pupangulon Pupadi' tan saray Madudunong sa Gugan-gan tan tinepet na konra, “Adti ya nin wanra maiyanak a Cristo a syay mag'in nin adi'?”
MAT.2.5	Ni'bat ra kona, “Sa babalin Betlehem sa Judea; ta sain a wana nin Dios a nisurat nan prupita na. Wana,
MAT.2.6	‘Si Betlehem, sa prubinsya nan Judea,
MAT.2.6	Sya a sangkaimpurtantiwan nin babali konran pupangulo nin bubabali sa Judea
MAT.2.6	ta mangibwat ya li' konran tawo na a pangulon mamaga li' konran tutawo ko nin saray puri na ni Israel.’
MAT.2.7	Sinmunor, sikriton nipakayaban nasara in ni Adi' Herodes a mumadunong nin tawo nin nangibwat sa nasyon sa baytan. Sin kaadap nasarayna, natandaan na sa nipanepet-tepet na no ka'no rayan peteg na'kit a bituen. 
MAT.2.8	Kayadi', pinaibwat nasaran mako sa Betlehem tan nibibilin na konra, “Mako kamo sa Betlehem tan tandaen moyon maong a maipa'ka' konan siin a anak, tan no nadumog moyayna li', patandaan rako ta pigaw nin mataman nin si'ko ket makapika' anamaet nin mangigalang kona.”
MAT.2.9+MAT.2.10	Sin nayadi' nasarayna nin binibilin nin Adi', nibwat saraynan mako sa Betlehem. Ket sin iti sara sa dalan na'kit rayaynaet taw si bituen nin na'kit ra intaw sin itaw sara sa baytan. Pinasyan ririket ran naka'kit anamanaet konan sitaw a bituen. Mandumaras yan iti sa temben sa u'na ra tan tinumgen ya sa temben nan peteg nin balin kami'nan nan anak a si Jesus.
MAT.2.11	Sinumrep sara konan bali, ket na'kit raya a anak sa dani nan ina nan si Maria. Nanalimukod sara ket pinagalangan rayan sayay adi' a anak, mi'sa inabryan ray nangwan tan niprisinta ray mablin rurigalo ra nin balitok, insinso, tan mira.
MAT.2.12	Sinmunor, nipatanda' nan Dios konra sa taynep a andi' sarayna nin sumubli' kona ni Adi' Herodes. Kanya' nin sakalakon dalan anay dinalanan ran sinmubli' sa lugar ra.
MAT.2.13	Ambo' nin na'teng sin nakaibwat sarayna ket, nipa'kit ya sa taynep a sayay anghil nan Dios kona ni Jose. Wana kona ni Jose, “Mibangon ka ket ilakwan mosaray mitraina tan ika' mosara sa Egipto, tan andi' kamo nin lumakwan itaw anggan ibarita' ko ta ipatingkap nayayna ni Herodes a anak tan ipapati naya.”
MAT.2.14	Ket nibangon ya si Jose tan nilakwan nasara konan siin a yabi a anak tan ina na nin nako sara sa Egipto. 
MAT.2.15	Itaw sara niikap angga sin nati ya si Herodes.
MAT.2.15	Nangyadi' ti ta pigaw nin matukid a wanan Dios a nipaibarita' na konan prupita na. Wana,
MAT.2.15	“Nangibwat yadtaw sa Egipto kinayaban koyay anak ko.”
MAT.2.16	Ket, sin natandaan na ni Adi' Herodes a manlingwen raya sin saytaw nin saraytaw saray mangingipadles, pinasyan sager na. Ket nipapati nasara nga'min a magtaon rwa tan kumayupa' nin ua'nak a lulalaki sa Betlehem tan sa sarban lulugar sa libed na. Binilang nay taon ra nin tinmarana' sin panaon a na'kit rayan mangingipadles nin ibat sa baytan a bituen.
MAT.2.17	Sa wanin natukid a nipadles na ni Prupita Jeremias a wana,
MAT.2.18	“Marnge' mangibwat sa babalin Rama a asisit tan agrem,
MAT.2.18	ta man'abet-abetan nasara ni Raquel
MAT.2.18	tan kai ya nin maliwaliwa ta nati sara nga'min.”
MAT.2.19	Ket sin nati yayna si Herodes, nipa'kit ya sa taynep a sayay anghil nan Dios kona ni Jose itaw sa Egipto. Wanan anghil, 
MAT.2.20	“Mibangon ka. Sumubli' kayna tan saray mitraina sa nasyon moyon Israel ta nati sarayna a marabay nin mangmati konan anak.” 
MAT.2.21	Nibangon ya si Jose ket nibwat saraynan sumubli' sa Israel.
MAT.2.22	Bale' sin natandaan na ni Jose nin si Arquelao nin anak na ni Herodes a sinmilin adi' sa Judea, linmi'mo yan sumubli' itaw. Konan saya anamanaet nin taynep, nibarita' na anamana nin Dios a gaw'en na ni Jose, kanya' nin nako sara sa prubinsya nin Galilea, 
MAT.2.23	ket niikap saradtaw sa babalin Nazaret nin abaw a taon. Anaod, natukid a wanran prupita nan Dios maipa'ka' kona ni Cristo, a matawag ya li' nin sayay taga Nazaret
MAT.3.1	Ket sin saytaw, main nin sayay tawo nin mamawtismo
MAT.3.2	wanti: “Pagbabawian tan gurutan moyoynay duka' a man-gaw'e-gaw'en moyo ta dandani yayna nin mag'adi' iti sa mundo a Dios.” 
MAT.3.3	Wanin a ginwa' na ta syayti si man'ibarita' na ni Prupita Isaias sin wana,
MAT.3.3	“Marnge' ya li' a sayay mampangita'wa-ta'way nin mampangipatanda' itaw sa lugar a ambo' nin matawo a wana,
MAT.3.3	‘Si'kamon tutawo, sadyaan moyoy irarate' nan Catawan,
MAT.3.3	patu'riren moyoy dalanan na.’ ”
MAT.3.4	Say aysing na ni Juan ket nagwa' nangibwat sa sabot nin kamilyo tan binarkesan nan katat sa awak.
MAT.3.5	Abaw saray tutawon nangibwat sa syudad nin Jerusalem tan sa raruma nin bubabalidtaw sa prubinsyan Judea tan mataman et sa bubabalin adani sa Ilog Jordan a nako nangrenge'-renge' kona. 
MAT.3.6	Ket sin nipatutuo ray kukasalanan ra, binawtismwan nasara sa Ilog Jordan.
MAT.3.7	Sin sain, abaw saray pangulo nin mantawagen nin Pariseo tan Saduseo a mako pabawtismo kona. Sin na'kit nasara ni Juan wana konra, “Si'kamo a bara'mo nin masirib a ulay! Ani a puon a nako kamodti? Wamoyo angangko a mapal'isan moyoy alakin sager nan Dios. 
MAT.3.8	No talagan disidido kamon pabawtismo, ipa'kit moyon mampagbabawian moyoynay kukasalanan moyo yupa' sa pangwa' moyon manepeg a gugawa'. 
MAT.3.9	Andi' moyo nin ilalwan a bana' ta puri nakamo ni Abraham ket, matkap nakamon ipwira nin Dios sa panunusa na. Ibarita' koyti komoyo a magwa' nan Dios a saytin bubato ket gaw'en na a mag'in nin puri na ni Abraham nin ibi na konray nipangako' na. 
MAT.3.10	Si Dios, bilang sa sayay mammukan nin kayo a niinsayo nayayna a payakor na nin pukanen ta puuran nay barang kayon ambo' nin mabistay bunga, ket nasadya' yaynan dusawen nakamo.
MAT.3.11	Si'ko, binawtismwan katamo sawanin nin ranom nin mangipa'kit a nagbabawian moyoynay kukasalanan moyo, bale' main li' nin sumubray kongko a sya bawtismwan nakamon Ispirito nan Dios tan nin apoy. Sya, makapangyayadi' ya dyan si'ko a kai ako gapo nin maikana' nin mataman tanan mangwarwar nin kurdon nin sandalyas na. 
MAT.3.12	Sya a manintinsya sa tutawo nin bara'mo yan mangngirik. Ringgasan nayan maong a pangirikan mi'sa pipuruken nay apa tan irik. Ikwa nasaray pa'sar irik sa agamang na, bale' puuran nasaray pa'sar apa itaw sa apoy a kai gapo nin ma'rep.”
MAT.3.13	Ket rinmate' yadtaw sa Ilog Jordan nin nangibwat ya sa prubinsyan Galilea si Jesus ta pigaw nin pabawtismo ya kona ni Juan. 
MAT.3.14	Bale' inima'no naya ni Juan a wana, “Kai! Si'koy manepeg nin pabawtismo komo a ambo' nin si'kay mako pabawtismo kongko.”
MAT.3.15	Bale' wana ni Jesus, “Kai, ambo' nin wanin, ta matkap nin gaw'en tamo a sarba nin manepeg.” Ket inmaburoy ya si Juan tan binawtismwan naya si Jesus.
MAT.3.16	Kayadi' na nin nabawtismwan ni Jesus, nako yaynan tampor sa rigrig. Kaaram-aram niburwang a langit tan na'kit naya a Ispirito nan Dios a bilang kalapati nin mangkumayupa' tan dinumpa' ya kona. 
MAT.3.17	Ket main nin busis a nangibwat sa langit nin kami'nan nan Dios a narnge' ra. Wana, “Siti a anak kon mangkawa-kawa'nanen ko. Sya a pakaririketan kon tuloy.”
MAT.4.1	Kaaram, nika' nayan Ispirito nan Dios si Jesus sa kasan katawu-tawon lugar ta pigaw nin sugsugen nayan magkasalanan nin Dimunyo. 
MAT.4.2	Sin napalabas a a'pat a pulo' a awro a kai ya nin nangan si Jesus, pinasyan bitil nayna. 
MAT.4.3	Kinadanyan nayan Mannugsog ket wana kona, “Bana' ta si'kay peteg a Anak nan Dios, pagbaliwen mon tinapay ti say bato.”
MAT.4.4	Bale' ni'bat na ni Jesus, “Wana sa Masanton Kasuratan,
MAT.4.4	‘Ambo' a say kanen tamo' a ikabyay nan tawo no kai matkap na a barang sarita' a mangibwat konan Dios nin ikabyay.’
MAT.4.5	Kaaram, nika' naya nin pina'deng nin Dimunyo si Jesus sa sangkata'gayan a parti nan Timplo nan Dios sa Jerusalem, si Masanton Syudad. 
MAT.4.6	Wanan Dimunyo, “Bana' ta si'kay peteg a Anak nan Dios, painabo' kadti. Tutal, wana sa Masanton Kasuratan,
MAT.4.6	‘Bibilinen nasaran Dios a uanghil na a pagawan raka,
MAT.4.6	tan salanggawen raka li' ta pigaw nin kai gapo nin masakitan a ayi mo nin bato.’
MAT.4.7	Ni'bat na ni Jesus, “O', bale' wana et a lamang sa Masanton Kasuratan,
MAT.4.7	‘Andi' ka mangwa' nin padalan nin ipanubok mo konan Uunuren a syay Dios mo.’
MAT.4.8	Kaaram, nika' naya et nin Dimunyo si Jesus sa pinasyan kata'gayan nin talugtog tan nipa'kit na nga'min kona a sarban nunasyon sa intiron mundo tan sarban kukayamanan tan pupakayadi' ra, 
MAT.4.9	a wana kona ni Jesus, “Sarban sain ibi ko komo no tumwek ka kongko ket unuren nako.”
MAT.4.10	Ni'bat na ni Jesus kona, “Lumakwan kadti, Satanas! Wana anaod sa Masanton Kasuratan,
MAT.4.10	‘Si Uunuren a Dios mo tamo' a unuren mo tan pagsirbyan mo.’
MAT.4.11	Linmakwan yaynay Dimunyo ket rinmate' saray uanghil tan inasikaso raya si Jesus.
MAT.4.12	Sawanin, dinakep tan nipriso ya si Juan. Sin natandaan nayti ni Jesus, sinmubli' ya sa prubinsyan Galilea. 
MAT.4.13	Nako ya sa Nazaret bale' ambo' yadtaw nin niikap no kai nako ya sa syudad nin Capernaum a iti sa rigrig nan Baybay Galilea a sakop nin lugar ran puri na ni Zabulon tan puri na ni Neftali. 
MAT.4.14	Nangyadi' ti nin pakatukidan nin nipadles na ni Prupita Isaias a wana,
MAT.4.15	“Sa lugar nin Zabulon tan Neftali,
MAT.4.15	iti sa dalan a adap sa taaw,
MAT.4.15	tan itaw sa rubari' nan Ilog Jordan
MAT.4.15	tan sa parti nan Galilea a luta' ran ambo' nin Judio,
MAT.4.16	saray tutawodtaw, bara'mo saran mampiikap sa dedlem.
MAT.4.16	Say pa'sar ra et ket bara'mon nati sarayna ta naisyay sara konan Dios.
MAT.4.16	Bale', ma'kit ra li' a bara'mon sangkaslagan nin palaway,
MAT.4.16	ta nasiraan saradtaw nin siin nin palaway a say pangingisalba nan Dios.”
MAT.4.17	Ket nangibwat sin rinmate' yadtaw sa Galilea, tinaranaan nayna ni Jesus a mamari-barita' konran tutawo, a wana, “Pagbabawian tan gurutan moyoynay kukasalanan moyo ta adani yayna nin mag'adi' a Dios.”
MAT.4.18	Sawanin, manlumalako ya sa rigrig nan Baybay Galilea si Jesus sin na'kit nasaray mibsat nin maninilay a sara si Simon nin say sakalakon ngaran na ket Pedro, tan si Andres. Sin sain ket mampangikatkat saran eket. 
MAT.4.19	“Kikalamo' kamo kongko,”
MAT.4.20	Ket tampor linakwanan ray eket ra tan nikikalamo' sarayna kona.
MAT.4.21	Kai sara et nakakadayo' nin tuloy, na'kit nasara et a mibsat a a'nak na ni Zebedeo a si Santiago tan si Juan. Itaw sara sa baluto ra a kalamo' raya si tatay ra nin mampangunong nin eket ra. Kinayaban nasara ni Jesus a mibsat, 
MAT.4.22	ket tampor a linakwanan rayay baluto ra tan mataman si tatay ra tan nikikalamo' sara kona ni Jesus.
MAT.4.23	Ket nako ya sa intiron prubinsya nan Galilea si Jesus nin nako naya nin nipata-patanda' sa susinaguga
MAT.4.24	Natandaan a maipa'ka' kona ni Jesus sa intiron prubinsya nin Siria. Kanya' nin saray tutawo ket nika' rasara kona a main nin sarba anan klasin masakit tan saray main nin ingar-ingaren bilang saray nasrepan nin ispiriton duka', saray matin-binulan, tan saray paralitiko, ket pinaanda' nasara nga'min ni Jesus. 
MAT.4.25	Bana' sa wanin pinasyan ka'bawan ran tinmumbu-tumbok kona ni Jesus. Main nin nangibwat sa Galilea, sa Decapolis, sa Jerusalem, sa Judea tan sa lulugar sa rubari' nan Ilog Jordan.
MAT.5.1	Na'kit nasara ni Jesus a pinasyan ka'bawan nin tutawo ket tinmangkar ya sa purod tan itaw ya tinmekre' nin mangyakay. Inmarak sara kona a tumutumbok na, 
MAT.5.2	ket tinmarana' yayna a wana,
MAT.5.3	“Makarma' saray mangalilbi' a main nin mampagkurangan ra,
MAT.5.3	ta mag'in nin ikon ra a say iti sa Pag'adian nan Dios.
MAT.5.4	Makarma' saray mabereng bana' sa duka' a gawa'-gawa' a mangka'kit ra sawanin
MAT.5.4	ta si Dios ket liwaliwawen nasara li'.
MAT.5.5	Makarma' saray ambo' nin mabayani a piuugali' ra
MAT.5.5	ta risibyen ra li' a nipangako' nan Dios.
MAT.5.6	Makarma' saray makaingar sa pakatkapan ran mangwa' nin maabig sa pangingikit nan Dios,
MAT.5.6	ta papdaen nasara nin Dios nin mangwa' nin sain.
MAT.5.7	Makarma' saray mapainganga'do,
MAT.5.7	ta ka'dwan nasara li' nin Dios.
MAT.5.8	Makarma' saray napasayay nakem ra sa panunumbok konan Dios,
MAT.5.8	ta ma'kit raya li' nin peteg a Dios.
MAT.5.9	Makarma' saray mamitunon migugura',
MAT.5.9	ta patutu'wan na li' nin Dios a a'nak nasara nin kabakas-bakas na.
MAT.5.10	Makarma' saray mangirangep nin pammaidap ran tutawo konra bana' sa pangngawa' ran maabig sa pangingikit nan Dios,
MAT.5.10	ta mampag'adi' yay Dios konra.
MAT.5.11	Makarma' kamo no bana' ta mantumumbok kamo kongko ket pagsari-saritaan rakamo tan paidapen rakamo tan mamabrika saraynan sarban bula'-bula' maipa'ka' komoyo. 
MAT.5.12	Wanin anamaet a lamang a ginwa' ra nin tutawo konran prupita nan Dios sin nu'na. Kanya' nin rumiriket kamon maong ta pinasyan anda' nin gun-gunan man'isadya' na anamaet nin Dios komoyodtaw sa langit.”
MAT.5.13	“Si'kamo, bara'mo kamon asin para konran tutawodti sa mundo. Bale' no bilang wadi' ta tinmab'ang anay asin, kai ana gapo nin maisubli' a taway nin ma'sin. Kasaynan kabalikasan, ket itampal ana tan da'da-da'daan tana.
MAT.5.14	Bara'mo kamon tyo' a mamalaway konran sarban tutawo. Si syudad a iti sa ata'gay nin lugar ket kai ya nin maiyadi. 
MAT.5.15	Kasa anamaet nin manulsol nin tyo' mi'sa naya nin sakban, no kai edet, ikwa naya sa sayay pangngitukduan ta pigaw nin mapalawayan sara nga'min a iti sa bali. 
MAT.5.16	Wanin anamaet a maabig a gugawa' moyo ta pigaw nin bana' sa sain ket raywen rayay Dios a Ama moyo nin itaw sa langit.”
MAT.5.17	“Andi' moyo nin ipa'ka' a nako akodti sa luta' ta pigaw nin gaw'en kon kai ana nin magkuri a Gugan-gan nin nibi na ni Moises tan say akay ran prupita nan Dios, no kai edet, nako akodti ta pigaw nin ipapalaway tan tukiden ko a niyakay ra. 
MAT.5.18	Ibarita' koyti komoyo: Mintras nin iti et a langit tan luta' ni sayay litra o sayay partin litra sa Masanton Kasuratan ket kai nin magkurang no kai et nin matukid nga'min a naisurat. 
MAT.5.19	Kanya' anaod nin sangkaayupaan sara li' sa Pag'adian nan Dios a tawon mangwa' nin kasan kwinta konan wanra a sangkabugaan nin impurtanti nin gan-gan nan Dios tan iyakay nasara et a raruma nin gaw'en raya anamaet nin kasan kwinta. Bale' si manukid sa gan-gan nan Dios tan iyakay nasara et a raruma nin manukid anamaet, sangkata'gayan sara li' sa Pag'adian nan Dios. 
MAT.5.20	Tukiden moyon maong nga'min ta ipangako' ko komoyo a kai kamo gapo nin makasrep sa Pag'adian nan Dios no kai moyo sara nin mapasurukan sa pangngawa' nin matunong a Pariseo tan saray Madudunong sa Gugan-gan.”
MAT.5.21	“Bilang sa wanti e: Tanda' moyo a niyakay konran lulaking tan bubaying tamo sin nu'nan panaon a andi' sara nin mangmati ta si si'numan a mangmati nin kapada nan tawo ket umbat ya sa husgado.
MAT.5.22	Bale', si'ko, ibarita' koyti komoyo: Si mangura' sa kapada nan tawo, umbat ya et a lamang sa husgado tan si si'numan a mag'irgon mabyat sa kapada nan tawo a wana, ‘Waweng ka!’
MAT.5.23	Kanya' nin no man'ida'ton moyna sa altar a da'ton mo konan Dios, ket napanemtem mon main nin masakit a nakem komo, 
MAT.5.24	ibati' mo yapo' itaw a da'ton mo tan mako ka kidunong konan nagkasalananan mo mi'sa moyna nin ituloy a pangingida'ton mo konan Dios.
MAT.5.25	No main nin mangidimanda komo, mako kan tampor nin kiariglo kona mintras nin iti kamo et sa dalan, ba'yo ka nin maiyadap sa kurti, ta no kai, ipagamet nakan hwis konran pulis ket ipriso raka, 
MAT.5.26	tan, ibarita' ko komoyo, buruken rakadtaw sa tana a mabayadan mo nga'min a multa mo.”
MAT.5.27	“Tanda' moya a akay et a wana, ‘Andi' ka nin kiraray sa ambo' mon asawa.’
MAT.5.28	Si'ko bale', ibarita' koyti komoyo: Si lalakin namastang tamo' nin main nin pangangapes konan sayay babayi, nagkasalanan yaynan kapada a namabayi ya.
MAT.5.29	Ket, no si mata moy puon nin pakasida' nin pammemper mo, sukiten ma tan itampal ma. Maong anay makasawan kan sayay parti nin lalaman mo dyan si kumplito yan page' a lalaman mo bale' maika' ka sa impyirno. 
MAT.5.30	No si wanan nin gamet mo a puon nin pakasida' nin pammemper mo, putulen ma tan itampal ma. Maong anay makasawan kan sayay parti nin lalaman mo dyan si kumplito yan page' a lalaman mo bale' maika' ka sa impyirno.”
MAT.5.31	“Niyakay ra et nin na'teng ana a no main nin lalakin isyay nayay asawa na, matkap nayan byan ti nin kasuratan nin pisyayan ra
MAT.5.32	Bale' si'ko, ibarita' koyti komoyo: No isyay nayan lalaki a asawa na a kai ya anamaet nin nikilalaki, pagkasalananen naya no kikalamo' ya sa sakalakon lalaki. Ket si si'numan a mangalamo' konan babayi magkasalanan yaynamaet.”
MAT.5.33	“Tanda' moyon lamang a main yayti et e nin akay konran lulaking tan bubaying tamo a wana, ‘Andi' mo nin kai sustinyen a sinambawan mo, no kai edet, tukiden moy sinambawan mo konan Catawan.’
MAT.5.34	Bale' si'ko, ibarita' koyti komoyo: Andi' moyo gapo nin sambawan a nipangako' moyo. Andi' moya usaren nin sumamba a langit ta itaw yay truno nan Dios, 
MAT.5.35	tan a luta' ta siti a tukduan na. Andi' moya anamaet a lamang nin usaren a syudad nin Jerusalem ta siti a syudad nan Sangkata'gayan nin Adi' nin sarba. 
MAT.5.36	Ni andi' moyo usaren nin sumamba a byay moyo a bilang nin si'kamoy main nin pakauray sa sayti ta ni si sayay sabot sa ulo moyo ket kai moya nin mapauban o mapangisit. 
MAT.5.37	‘O',’ wamoyo tamo' no mangipangako' kamo; o ‘Kai,’ tamo' no andi' kamo, ta animan et a ibarita' moyon ipaaluyon sa kasasamba moyo, ibat ana konan si sya a Kadukaan.”
MAT.5.38	“Tanda' moya a akay et a wana, ‘Si nakabulding nin kapada nan tawo, buldingen ya anamaet. Si nakaburas nin ngipen nan kapada nan tawo, burasen anamaet a ngipen na.’
MAT.5.39	Bale' si'ko, ibarita' koyti komoyo: Andi' kamo nin gumale' konran mangwa' nin duka' komoyo. No rampaen rayay wanan nin rupa moyo, iyadap moyay wiri nin rampaen ra et. 
MAT.5.40	No idimanda rakamo ta rabay rayan makalap a mabistan aysing moyo, ibi moya et a mas mabli nin aysing moyo. 
MAT.5.41	O, no main nin sundalo' nin mamabalatay komoyo nin sayay kilumitro sa kargada na, awiten moya nin rway kilumitro. 
MAT.5.42	No main nin kidawat komoyo, byan moyo sara; no main nin mangdam komoyo, pa'daman moyo sara.
MAT.5.43	Main et nin akay a wana, ‘Aduen mosaray uamigo
MAT.5.44	Bale' si'ko, ibarita' koyti komoyo: Aduen moyo saray kalaban moyo tan idasalan moyo saray mampamaidap komoyo. 
MAT.5.45	Sa pangngawa' moyon siin, ma'kit a bara'mo kamon si Dios a Ama moyo nin itaw sa langit ta si Dios, pari-parihwen nayan pasiraen a awro para konran maong a tutawo tan para konran duka' a tutawo, tan parapegen naya para konran matunong a tutawo wanin anamaet para konran maraet a tutawo. 
MAT.5.46	Main paran gun-gunan mataga'nan moyo konan Dios no sara tamo' a mampangawa'nan komoyo a kawa'nanen moyo? Kasa! Saray maniningir nin buis, a wamoyon saray sangkadukaan nin tutawo, wanin a pigagawa' ra. 
MAT.5.47	Wanin anamaet, no masami-sami kamo tamo' konran kukamuko moyo, ani a ipa'kit nin naiduman kamaungan moyo nin sain? Kasa! Wanin anamaet lamang a ugali' ran tutawon kai nin magtanda' konan Dios. 
MAT.5.48	Matkap anaod a mag'in kamon bara'mon konan si Dios a Ama moyon itaw sa langit a kasan pagkurangan na.”
MAT.6.1	“Ilagen moyon ambo' nin parayo sa tawo a rason moyon mangwa' nin mabista, ta no wanin a rason moyo ket kai nakamo gun-gunawan nin Dios a Ama moyo nin itaw sa langit.
MAT.6.2	Bilang no mami kamo konan sayay makatkap, kai moyoyna nin matkap et nin ipata-patanda' a bilang sa gawa' ran masantos kano wadi' a itaw sara mami sa sinaguga tan sa dalan ta pigaw nin raywen rasara nin tutawo. Ibarita' ko komoyo, bana' ta rinayo rasaraynan tutawo, kasaynan risibyen ran mangibwat konan Dios. 
MAT.6.3	No mami kamo andi' moyoyna nin ipatanda' et abirno konan sangkaadanyan nin amigo moyo.
MAT.6.4	Sikritoy pammi moyo ket si Ama tamon itaw sa langit, a syay maka'kit nin sarban sikriton man-gaw'en, gun-gunawan nakamo.”
MAT.6.5	“Ket no dumasal kamo andi' moyo sara nin arigen a kano wadi' ket masantos sara. Rabay-rabay ray dumasal nin naka'deng sa sinaguga tan iti sa dadalanan ta pigaw nin ma'kit rasaran tutawo ket raywen rasara. Ibarita' ko komoyo, bana' ta rinayo rasaraynan tutawo, kasaynan risibyen ran mangibwat konan Dios. 
MAT.6.6	Bale' si'kamo, no dumasal kamo, lumuob kamo sa kwarto moyo tan isada' moyay purta. Itaw dumasal kamo konan Dios a Ama moyo nin kai nin ma'kit, a sya tamo' a maka'kit, ket gun-gunawan nakamo.
MAT.6.7	No dumasal kamo, andi' moyo nin paanrwen sa kasan kabalikasan a panguman-uman moyon sarita' a kapadan gawa' ran kai nin magtanda' konan Dios. Ipa'ka' ran reng'en nasaran Dios bana' sa abaw a sarita' ra. 
MAT.6.8	Andi' moyo sara nin arigen, ta ba'yo moyo et nin dawaten, si Dios a Ama moyo, tanda' nayna a matkap nin barang saya komoyo.
MAT.6.9	Bilang sa wanti ey dasal moyo:
MAT.6.9	O Dios, Ama mi nin isen sa langit,
MAT.6.9	mapagalangan ka kumon nin liso.
MAT.6.10	Mag'adi' kayna kumon sa sangkamundwan.
MAT.6.10	Maunor kumon a karabayan mo iti sa luta'
MAT.6.10	kapadan pakaunor isen sa langit.
MAT.6.11	Byan rakami kumon nin kanen min inawru-awro
MAT.6.12	Pirdunawen rakami kumon sa kukasalanan mi kapada nin
MAT.6.12	pammirduna mi anamaet konran nagkasalanan komi.
MAT.6.13	Andi' rakami nin iyadap sa mabyat tuloy a panunubok tan
MAT.6.13	ikadayo' nakami konan si sya a Kadukaan.
MAT.6.14	Wanin, no pirdunawen moyo saray nagkasalanan komoyo, pirdunawen nakamo anamaet nin Dios a syay Ama moyo nin itaw sa langit. 
MAT.6.15	Bale' no kai moyo sara nin pirdunawen a nagkasalanan komoyo, kai nakamo anamaet lamang nin pirdunawen nin Ama tamo sa langit.”
